GEN.1.1	Ese agafare Anumzamo monane mopane trohu'ne. 
ACT.3.14	Hianagi tamagra fatgo huno ruotge hu'nea Nera, tamefi humitma vahe'ma ahenefria neku avare atreho, hazage'za avare'za tamami'naze. 
ACT.3.15	Hagi tamagra Asimu'mofo agafa ahe fri'nazanagi, Anumzamo azerioti nemofo, tagra tamage huta tavufinti ke'no'a zanku nehu'e. 
ACT.3.16	Hagi Jisasi, Agri agire tamentinti hu'azamo, e'i ama ana agimo amama negaza nera azeri knare hu'ne. Hagi Jisasinte amentinti hu'nea zamo, mika vahe'moka kavufina agrira azeri so'e hu'ne.
ACT.3.17	Menina nafuhete, nagra tamantahi'noe, ontahinetma Jisasima tamavutamavama hunte'nazana, kva tamimo'za nehazankna hutma ontahi'netma hu'naze. 
ACT.3.18	Hagi korapa Anumzamo'a, Kasnampa vahepima runtaninoma, Kraisia ata hoza erigahie hu'noma hunte'neazamo, ana kante efore hu'ne. 
ACT.3.19	E'i zanku, kasunku hunka kagu'a rukarehe hunka, Anumzamofonte egeno, kumika'a eri atregantegahie. 
ACT.3.20	Ana knafi Rantimofo avateti kahefa hanave ne'e sigeno, hagi ko'ma Agra'ma huramante'nea nera Kraisina huntesigeno egahie. E'i Jisasi'e. 
ACT.3.21	Ama ana Nera monamo avare'anagamu tenesigeno umani'nenigeno, Anumzamo'a mika zana azeri kasefa hugahie, Anumzamo ko' huama hu'ne, korapa knafima ruotge kasnampa vahe'mofo zamagipi huvempa hu'naze. 
ACT.3.22	Mosese'a huno, 
ACT.3.24	Anahu kante maka Samuelinteti'ma eno erami'naza kasnampa vahe'moza, ke nehu'za huama hu'nazana, ama knagu hu'naze. (Diu-Kas 18:15-19) 
ACT.3.25	Tamagra kasnampa vahe'mokizmi mofavre, Anumzamo'ma tmafahe'zanema huvempa huno huhagerafinea kemofo mofavre mani'naze, Abrahamunku'ma huno, 
ACT.3.26	Na'ankure Anumzamo'a pusante eri'za Ne'a azeri otigeno tagrite e'ne, havi zampintira magoke magoke'mota, tazeri rukarahe huno asomu hurante'ne.
ACT.4.1	Pita'ene Jonikema ana vahe zganema keaga nehake'za, prisi vahe'ene ra mono nonte kva nehaza kva vahe'mokizmi kva'neki, Sadusi vaheki hu'za znagrite e'naze. 
ACT.4.2	Na'ankure keagama hapina, vahe'ma frisutma, Jisasi hanavefi etetma otigahaze huno zamasmia kegu zamarimpagna hu'naze. 
ACT.4.3	Ana higeno znazerino kina nompi ome znantege'ne mase'na'e. Na'ankure hago kinaga se'negeno'e. 
ACT.4.4	Hianagi mika kema antahi'naza vahe krerafamo'za zamentinti hu'nazana, venene'agema hampri'nazana 5 tauseni'a nazampi mareri'ne.
ACT.4.5	Msakeno ko atigeno, kasegere ugagota hunaza vahe'ene mono nonte kva vahe'ene Jerusalemi etru hu'naze. 
ACT.4.6	Ugagota hu'nea prisi ne' Ananaisi'a anampina mani'ne. Hagi Kaiafasi'ma Joni'ma Aleksendaki, ugagota hu'nea prisi ne'mofo nagapinti ruga'a mani'naze. 
ACT.4.7	Amu'no zamifima Pitane Joni kizni zanzeri otite'za, agafa hu'za znantahige'naze, Inankna hankavereti ene iza agifi amanahu'zana hu'na'e? 
ACT.4.8	Pitana Ruotge Avamu'mo avite'nea ne'mo, zamagri kenona anage hu'ne, tra kere ugagota hu'naza vahe'ene ranra kva vahere, 
ACT.4.9	menima knare tavutva'ma kri ne'ma hunte'no'a zantema, tagri'ma refko hutma tagesnazana, na'amo higeno ama nera kri'amo'a atrente'ne nehazana, 
ACT.4.10	tamagra ne Israeli vahe'enena antahi ankereho. E'i Nazareti Jisas Kraisima tamagra ma aheta hantizageno, Anumzamo'ma azeri oti'neama, e'ina ne'mofo agire, amama tamugama oti'nea nera kri'amo'a knare huntegeno oti'ne. 
ACT.4.11	Ama ana Jisasina, 
ACT.4.12	Mago vahe'mo'e huno tza huga osu'ne, na'ankure ama mopafi vahe'motafina, tahokehehesia agi'a ontami'neanki, magoke ne' Jisas Kraisi agifi, Anumzamo'a tahokehegahie. 
ACT.4.13	Anante'ma ana vahe'mo'za znagazana, Pitake Jonikea, kema ha'ana korera osake'za, zanagrira antahi ama hu'za, avonona osuke, nontega ne'tremoke Jisasi'enena mani'na'e hu'za antahi ama nehu'za tusi antri nehu'za, nankna'za fore nehie hu'naze. 
ACT.4.14	Ana higeno azeri so'e hunte'nea ne', znagranema oti'nege'za nege'za, anazanku kema huznantekea omane'ne. 
ACT.4.15	Hianagi kva vahe'mo'za huznantegeke ana atru zamifintima atirami'ne fegia vake'ne, zamagrazmi ke hugantugma hu'za, 
ACT.4.16	anage hu'naze, ama netrena na'a huznantegahune? Na'ankure ama kri ne' azeri so'e'ma hu'nea kaguvazamo'a, mika Jerusale mani'naza vahe'pina amate hige'za hago ke'nazankita tagra onke'none huta hufra okigahune. 
ACT.4.17	Hianagi ama kemo'ma mago'ane vahepima vuno'eno osanigura, kore ke znasamisunke'ne, mago'ane ama ana agirera mago'a vahera ozanasmisaze huta zanasamisune. 
ACT.4.18	Pitane, Joninena ke hzageke efrake'za zanasmi'za, mago ene Jisasi agirera vahera zamasmige, rempi huzamige osutfa hi'o, hu'naze. 
ACT.4.19	Hianagi Pitake Jonikea, anage huke ke nona zamire hu'na'e, Anumzamofo avurera knare, tmagri ke antahisupi, Anumzamofo ke antahigahu'e, tamagra tmi fako huta antahiho. 
ACT.4.20	Na'ankure tagra keta antahita huno'a zante keaga nehuankita, tagra'ma kema tagane'zamo'a amuho hurantegahie. 
ACT.4.21	Anama hu'za mago'ane korekema huznantete'za, kina huzanante kankmuna hake'za eri fore osu'za hu'zanantage'ne vu'na'e. Na'ankure ana mika vahe'mo'za e'inahu zama fore hiazankura Anumzamofo ra agi amizage'za nege'za, vaheku koro hu'naze. 
ACT.4.22	Na'ankure ana nera 40ti'a zgekfu agatere'nea nete ana avame'zana fore huno azeri so'e hu'ne.
ACT.4.23	Huma znantegekea, va'azamo'ke, prisi vahe'mo'zane, ranra vahe'mozama makazama humaznante'naza kea magoka zamentinti nehaza naga ome zamasmi'na'e. 
ACT.4.24	Ana kema nentahi'za, mago zamagu zamagesare zamagerura erintesga huza Anumzantega anage huza hu'naze. Maka'zamofo Ramoke, Kagra monane, mopane, hagerine, hagi mika zama anampinkama me'nea zantmina trohu'nane, 
ACT.4.25	Kagra ka'a Avamukafi hankeno Deviti nerafa eri'za ne'kamofo agipi huvazinkeno anage hu'ne, 
ACT.4.26	 (Sam-Zga 2:1-2) 
ACT.4.27	Na'ankure tamagerafa huno Herotiki, Pointus Pailatiki, megi'a vahe'ene, Israeli vahe ene, ama rankumapina zogitru hute'za, Ruotge eri'za Ne'ka'a huhamprinte'nana Jisasina ha' rentaze.
ACT.4.27	Tamage e'i ana avamente Heroti'ene Paeroti'ene ru vahe'ene Israel vahe'mo'zane ama kumate eri atru hu'za manine'za kagri mofavre kagrama hampri'nana nera Jisasina ahenaku hu'naze. 
ACT.4.28	Himamu hanaveka'afima ko antahinka egahie hunka retro hunte'nanazamo efore nehie. 
ACT.4.29	Hagi menina Ramoka, amama tazeri kore'ma hunerantaza'zana ko, tagra kagri eri'za vaheki, tazeri hanavetigeta oti hampona huneta Kagri nanekea huama hugahune. 
ACT.4.30	Kagra kri vahe'ma krizmima zamazeri amane huzantema, tazama nentesunkeka avame zane, kaguva zanena, Kagri ka'a ruotge eri'za ne' Jisasi agire eri fore huo. 
ACT.4.31	Nunamu hutageno, anama zogitru hu'za mani'naza nomo'a kazakaza higeno, ruotge Avamumo'a zamagu'afi avitege'za, Anumzamofo nanekea reku osu'za agafa hu'za hu'naze.
ACT.4.32	Jisasinte zamentinti nehaza vahe'mo'za raru hu'za mago zamarimpare ene antahintahire nemni'za, tagri' zane hu'za osu'za havia mika'zana omiami nehu'za mani'naze. 
ACT.4.33	Tusi'a hanavereti aposol nagamo'za, Ramo'ma Jisasi'ma fripinti oti'nea nanekea huama nehazageno, zamentintima haza nagara tusi'a asunku huzmante'ne. 
ACT.4.34	Anampima mani'naza kevufintira mago'zankura mago'mo'a upara osu'ne, na'ankure inamofoma mopa'a me'neo, noma'a me'nemo'a zagore atreno ana zago erino, 
ACT.4.35	aposol naga eme zamizage'za, fako hu'za zagogu'ma upa'ma hu'naza vahe zami'naze. 
ACT.4.36	Hagi mago Livae nera, Saiprus hageri amuragozafi ksente'nea nera Josefe'e, mago agi'a aposol nagamo'za antemi'nazana Banabasi'e. (Ana agimofo agafa'a, zamazeri hankaveti ke zamasmi mofavre.) 
ACT.4.37	Hanki agripina mopa'a menegeno ana mopa zagore atreno, ana zagoa erino viazamo aposol nagamofo ome zami'ne.
ACT.5.1	Ana hutegeno Ananaiasi ene nenaro Safaira enena anahuke, mopa zania zagore atreteke, 
ACT.5.2	nenaro'a mago rimpa huno antahi'negeno, mago'a zagoa refako huno agra suna nenteno, mago'a zagoa erino aposol naga ome zami'ne. 
ACT.5.3	Hu'neanagi Pita'a anage hu'ne, nahigeno Ananaiasiga Sata'a kaguafina efregenka ruotge Avamura revataga hunka mago'a zgoa mopama atrantetira refko hunte'nane? 
ACT.5.4	Zagore'ma otre'nantera, kagri mopa megeno, zagore'ma atrantera, kagri kavesite me'neane. Na'a higenka amanahu antahintahia kagu'afina antahi'nane? Kagra vahe rezmataga osananki, Anumzamofo revtaga hane. 
ACT.5.5	Hagi anankema nentahino'a, Ananaiasi'a traka huno frige'za, anankema antahiza nagatera tusi'a kore'zamo zamagrite e'ne. 
ACT.5.6	Anante nehazave nagamo'za azeri anteno vazite'za, eri'za ome asente'naze.
ACT.5.7	Tri'a aua evigeno nenaro'a anazama fore hu'neana ontahineno anante e'ne. 
ACT.5.8	Pita'a, anage huno Safairana antahige'ne, zgorema mopama atra'ana, mizana asma'areke atrenampi? nasamio higeno agra anage hu'ne, Izo atreno'a mizana asi'ne higeno, 
ACT.5.9	Pita'a amanage huno Safairana asamine, Nahigetna kagrane negave'enena mago tanarimpa huta Ramofo Avamura reheta nega'e? Negavema ome asentete'za aza vahera, kasante oti'nazanki ko, kagrira anazanke hu'za eri'za vugahaze. 
ACT.5.10	Anage nehigeno agafi hantaka'a traka huno frige'za, nehazave zgamo'za emegazana hago fri'nege'za, erizafa hu'za vazazamo'za, nevema asente'naza asopare ome asente'naze. 
ACT.5.11	Higeno tusi'a kore zamo ana mika mono vahete'ene, ana zama hia kema antahi'naza vahete enena e'ne.
ACT.5.12	Aposol nagamofo zamazantera, rama'a avame'zane, kuguva zamo mika vahetera fore hige'za, ra mono nompi, Solomoni'e hu'za hunaraginte'pinka ana mika vahe'tamimo'za mago zamarimpa huza magopi atru hu'naze. 
ACT.5.13	Magore hu'za anampintira zamagripina hageorafi'nazanagi, mika vahe'moza kentahiza, agazone hunezmante'za husga huzmante'naze. 
ACT.5.14	Hanki hakare vahe krerfamo'za a'nea, venenea hu'za Ramofonte zamentintia hu'za, rama'a vahekrerfa efre'naze. 
ACT.5.15	Ana higeno mika vahe'mo'za Pita'ma ene vanigeno, amemo'a hagutesie huza kri vahera sesenku huza zafa hu'za kampi, nosiva masi'ne'za zmantage'za mase'naze. 
ACT.5.16	Anazanke huno ranra kuma'ma Jerusalemi me'nefintira, kari'erinea vahepi, havi avamu'mo agu'afi fre'nea vahe tmina zamare'za ageno, maka vahera zamazeri so'e hu'ne.
ACT.5.17	Hianagi ugagota prisi kva ne'mofo, agri kvafima erizama e'neri'za nagamo'za, (sadusi nagare) aposol nagara kanive rezmante'naze. 
ACT.5.18	Zamagra e'za aposol naga eme zamazeri'za mika vahe'mokizmi kina nompi omezmante'naze. 
ACT.5.19	Hu'neanagi ana kenegera Ramofo ankeromo'a eno kina vahe kafantmina eme anagino, zamareno atineramino, anage huno zamasmi'ne, 
ACT.5.20	Ra mono nompi vutma vahepi omo otitma kahefa mani'za eri'zamofo keaga mika zamasmiho. 
ACT.5.21	Anankema nentahiza, zahufa ko'ma atiama'afi, ra mono nompi umareri'za agafa hu'za rempi huzami'naze.
ACT.5.21	Anante mono nonte ugota kva ne'ene (hae pris), agranema nemni'za naga'ane e'za, kanisol (Senhidren) vahe ke hige'za atru nehazageno, ana maka Isareli kva vahetminena ke hutru hute'za, kina nonte kva vahetega ke atre'za, kinama hu'naza aposol vahera zamaretma eho hu'naze. 
ACT.5.22	Hu'neanagi kina nonte eri'za vahe'mo'za kina nompi eme kazana onke'za, ete'za naneke eri'za vazazamo'za ome zamasmi'za, 
ACT.5.23	anage hu'naze, Ome konana kina nona nofinu hentrako hunte'za, kerage kva vahe'ene ana nonte kegva hu'naza vahe'mo'za kafante otiza mani'naze. Hu'neanagi tagrama anagitama ufronana, agu'afina mago vahere huta onke'none. 
ACT.5.24	Ra mono'nontema kegva nehaza (tempol kat) vahe'mofonte ugagota hu'nea kva ne'ene, mono nonte ugota kva (hae prisi) vahe'mo'za anankema nentahi'za, tusi'za hu'za hava nehu'za antahintahi hu'naze. Amanahu'zamo'a nankna hugahie hu'naze. 
ACT.5.25	Hu'neanagi mago vahe'mo eno, kinama ome huzmante'naza vahe'mo'za, mono nompi otine'za, vahe'zgarmi mono naneke rempi hu'nezmize huno zamasmi'ne. 
ACT.5.26	Mono nonte kva nehia ne'mo'a, magoka sondia vahe'ene vazazamo'za, ana aposol nagara ome zamavare'za e'nazanagi, sondia vahe'mo'za akohe'za agazone hu'za zamavare'za e'naze. (Na'ankure vahe'mo'za have knonu zamahe frizanku kore hu'za razana osu zamare'za e'naze.)
ACT.5.27	Ome zamare'za ana aposol nagara ete'za kanisol (Senhidren) vahe zamure eme zamazeri oti'naze. Mono nontema ugote'nea nemo'a (hae prisi) zamantahigeno anage hu'ne, 
ACT.5.28	tagra menina hanave kea huta, mago'anena ama ana agifina vahera rempi huozmitfa hiho huramantone. Keho amama rempima huzamiza zamo'a Jerusale kumapina antahi vgaraze, hankino Jisasima ahe'nazana tagriku ahe'naze hutma huneranta'ze. 
ACT.5.29	Hu'neanagi Pita'ene ruga'a aposol nagamo'za kenona zamire anage hu'naze, Anumzamofo ke'age nentahita ama mopafi vahe'mofonkea ontahigahune. 
ACT.5.30	Tagri tafahe'i Anumzamo, keka zafarema ahetma hantinaza nera Jisasina azeri otine. 
ACT.5.31	Anumzamo'a azeri otino aza tmaga kaziga'a anteno, ugagota kva ne' taguvazi nere hu'ne. Agrite Israeli vahe'mo'za zamagu'a rukrahe hanageno, kumizmia eri atrezmantegahie. 
ACT.5.32	Higeta tagra e'i ana zama fore'ma hu'neana keteta, ama anankea hu'ama nehune. Ana higeno tagrama ke'nonazana ruotge Avamumo'a keteno huama hu'ne, kema antahiza avariri'za vahera Anumzamo'a zami'ne.
ACT.5.33	Kva vahe'mo'za anankema nentahi'zageno'a, tusi zamarimpa hege'za zamahe frinaku hu'naze. 
ACT.5.34	Hianagi Farisi nera Gamalieli'e nehaza ne'mo tra kemofo (lo) kagota huno rempi hunezmige'za, rama'a vahe'mo'za antahinemiza ne'kino otino, osia kna ama vene'ne zga zamare megi'a zamanteho huno huzmante'ne. 
ACT.5.35	Anante amanage huno kansol vahera zamasmi'ne, Israeli vahe'mote, Inazama huzmante'gahune hutma kema retroma hana'zana, antahi so'e hunetma anazana huzmanteho. 
ACT.5.36	Mago'a kna koma evunefina, Tiutasi'a otino, Nagra ra vahe mani'noe hige'za, vahera 400ti'a naza vene'nemo'za, agranena eme hagerafi'naze. Hianagi agrira ahefri'zage'za, amage'ma nentaza naga'moza atre'za panini hazageno mago'zana osu'ne. 
ACT.5.37	Anama hutegeno'a ana mefiga, mago Galiliti nera, Judasi'e nehaza ne'mo, zamagi kre'za erifatago haza knare otino, mago'a vahera zamare agrarega atre'nea nera anazanke huno fri'geza amage'ma antenaza naga'mo'za panini hu'naze. 
ACT.5.38	E'inahu'za fore hu'negu, tamagrira ama nanekea neramasmue, ama nagara mago kea huozmanteta zamatreho. Na'ankure, mopafi vahe'mo'ma amanahu'zama hanigeno'a, amne'zankna hugahie. 
ACT.5.39	Hianagi Anumzantegati'ma ne'esigetma keaga huozmantegahaze. Anama hanutma aru Anumzamofo ha'rentezanku nehue, hige'za nentahi'za zamatre'naze.
ACT.5.40	Kanisol vahe'mo'za ana zamumro kema nentahi'za, ana aposol nagara kehu'agu'a zamante'za zamazeri'za tusi sefu zamite'za, mago'anena Jisasi agifina nanekea osutfa hiho nehu'za, zmatrage'za vu'naze. 
ACT.5.41	Hige'za aposol nagamo'za ana kanisol naga zamureti'ma zamatre'za nevu'za, Anumzamofo avure mani'neta Jisasi agire'ma eriga knaza erune, nehu'za muse hume vu'naze. 
ACT.5.42	Hanki hakare knafina, ra mono nompi'ne, nonte nontera nevu'za Jisasi'a, tazahu ne' Kraisi'e hu'za knare muse kea rempi hunezmi'za huama hu'naze.
ACT.6.1	Anama haza knafina, amage nentaza disaipol nagamo'za ra hu'za ame'nanempi mareri'zageno, Griki kema nehaza Jiu vahe'mo'za, Hibru kema nehaza Jiu kuma agafa vahetmina kanive rezamante'za, mika zupa kave'ma fakoma hazana kento a'ne nagara antahi nozamize hu'za hu'naze. 
ACT.6.2	Hage'za 12fu'a aposol nagamo'za ana mika amage'ma nentaza disaipol kevu zamasmizage'za emeritru hazage'za anage hu'naze. Ne'zama fakohu avu'avazamo'a, Anumzamofo nanekema hu'zampina tazeorigahie. 
ACT.6.3	E'ina hu'negu tafuhete, tamagra amu'no tamifinti keso'e hutma 7ni'a vahema zamu'zmamo knare'ma hu'nesnia vahe'ma, Avamu'ene knare antahi'zamo'ma avitenesia vahe zamazeri otinke'za, esageta tagra ama erizana refako huta zamazampi antesune. 
ACT.6.4	Hu'neanagi tagratia nunamu hu'zante'ene, Anumzamofo naneke'a huama huta veamofona zamasmita maka knafina vugahune. 
ACT.6.5	Ana mika vahe kevumokizmia zamesige'za, ana hugahune nehu'za, ana 70ti'a vahe hampri'naze, mago ne'ma hampona amentintine ne' Ruotge Avamu'mo agu'afima avite'nea nera Stiveni huhampriza Filipinki Prokulusinki Nikenanki Taimoninki Pamenasima, mago Antioku ne' Nikolasi'a megi'a nagapinti ne'mo agu'a akrehe huno Jiu monopi amentinti nehia ne' huhampri'za zamaretru hu'naze. 
ACT.6.6	Ana hute'za ana vene'ne zga zamare'za aposol nagate vazage'za zamaza ante'za, nunamu huzmante'naze.
ACT.6.7	Anumzamofo kemo'a mago'ane ra huno nevigeno, amagema nentaza disaipol nagamo'za Jerusalemi kumapina rama'a efore nehageno, ra'ma'a Jiu prisi vahe'mo'za zamentinti hu'za ke amage'anteme vu'naze.
ACT.6.8	Ana higeno, Stivenina Anumzamofo asunkuzamo'ene hihamumo avite'negeno, tusi'a kaguva zane, avame'zanena vahe'mokizmi amunompi erifore hu'ne. 
ACT.6.9	Hianagi mago'a vene'nezga, Hibru osi mono nona (Sinagog) vahe zamazeri atre monore nehazafinti Sairini kumate'ene Aleksandria kumate'ene, mago'a Silisiane, Esia rankuma'mo kegva hu'nefinti (provins) vahe'mo'za oti'za Stiveni keha rente'naze. 
ACT.6.10	Hianagi Stiveni'ma knare Avamupine, knare antahizampine kema hiazamofona, zamagra magore hu'za kea osu'naze. 
ACT.6.11	Anante zamagra oku'a mago'a vahera anage hiho hu'za zamasmi'naze; Tagra nentahunkeno Mosesene, Anumzanena zanazeri havizahu kea hu'ne hutma hiho hu'naze. 
ACT.6.12	Ana kema hazazamo vahera zamarimpa zamazeri otigeza, ranra vahe'mo'zane kasere ugagota hunaza vahe'mo'zanena oti'za Stivenina eme avazu hu'za kanisol (Senhitren) vahe zamure vu'naze. 
ACT.6.13	Zamagra pusante havigema hunte vahe zamaretageno, ana vahe'mo'za hu'za ama ne'mo'a, ontagneno Mosese kasegegu'ene, ra mono nonku enena huhaviza hunte'ne hu'za hu'naze. 
ACT.6.14	Na'ankure tagra nentahunkeno ama nemo'a amanage huno hu'ne, Nazareti Jisasi'a eri haviza ruotge mono nona nehuno, Mosesi'ma tami'nea avu'ava'zana, eriatreno kahefa avu'ava eri fore hunaku nehie. 
ACT.6.15	Anankema huntaza fakohu'za kenaku nehu'za ana mika kva vahe'mo'za avugosafima kazana, avugosamo'a ankero vahe'mofo avugosamo msa hiaza hige'za ke'naze.
ACT.7.1	Ugagota prisi ne'mo'a Stiveniga, amama hunegantaza kemo'a tamagefi? 
ACT.7.2	Higeno Stiveni'a huno, nafuhetane nafaheta mika'motma nagri kea antahiho, nerageho Abrahamu'a, Mesapotamia mani'negeno, Msanentake Anumzamo'a avure ehanati'tegeno henka'a atreno Harania umani'negeno, 
ACT.7.3	Anumzamo'a amanage huno asami'ne, 
ACT.7.4	Anante Kaldia mopa atreno, Harani kumate umani'ne. Anante Abrahamu nefa frigeno, Anumzamo'a huntegeno amama menima mani'nana mopare e'ne.
ACT.7.5	Anumzamo'a mago mopa manisana zane huno Abrahamuna omi'ne, mago osi atupa'e huno refako huomi'ne. Mofavrea onte'tfa hunananagi Anumzamo'a huvempa hu'ne, ana hu'neanagi Nagra kagri'ene mofavre zgaka'a henka zamigahue huno hu'ne. 
ACT.7.6	Hianagi Anumzamo'a amanahu ke huno Abrahamuna asami'ne, 
ACT.7.7	 (Jen-Agf 15:13-14) 
ACT.7.8	Anumzamo'a Abrahamu'ene huvempa hagerafikea huno oku avufama tagahu nanekea hutegeno, Abrahamu'a, Aisakina nefaza higeno 8'a zgegnama nemaniana, oku avufa taga hu'naze. Aisaki'a Jekopu nefaza higeno, Jekopua 12fu'a tagehemofona nezmafa mani'ne. (Jen-Agf 17:10-14)
ACT.7.9	Ana tagehe'mo'za Josefena kanive rente'za mizante atrage'za ru vahe'mo'za avare'za Isipi vu'naze. Ana hu'nazanagi Anumzamo'a agrane mani'neno, 
ACT.7.10	knama nemizageno'a aza nehuno, knare avu'vazane, antahizana Josefena amigeno, Isipi kini ne'mofo Fero avurera knare higeno, Fero'a huntegeno ugagota kva Isipia hu'neno, noma'afima me'neazane nemania vahetera anazanke huno kegva hu'ne. 
ACT.7.11	Anante Isipi mopare'ene Kenani moparera ne'zana fanane higeno, vahe'mo'za tusi'a zamagate'zampi mani'zage'za, tagehe'za mago kavera hakare'za eri fore osu'naze. 
ACT.7.12	Hianagi ne'zana Isipi me'ne kema Jekopu'a nentahino'a, tagehemofona esete ne'za omerihogu huzmantege'za vu'naze. 
ACT.7.13	Anante'ma mago'ane (second time) vazageno'a, Josefe'ne huno agra'agu huama higeno, Fero'a, Josefe afuhe'za e'naza kea antahi'ne. 
ACT.7.14	Anantera Josefe'a ke naneke atrenteno nefa Jekopunku ene ana miko tuzgarazga'agura nagritega eho huno hu'ne, ana mika'a 75fu'e. 
ACT.7.15	Hanki Jekopu'a Isipi umani'neno, anantega agrane tagehezanena fri'naze. 
ACT.7.16	Anantegatira zaferina'a eri'za Sekemu vazazamo'za, Abrahamuma zagoma atreno Hamori mofavre nagapinti'ma mago'a zagoreti'ma mizama asente'nea kerigampi Sekamu ome asente'naze. (Jen-Agf 50:13)
ACT.7.17	Hu'neanagi, Anumzamo'ma, Abrahamuma huvempama hunte'nea knamo'a kofta huno eku nehigeno, Isipima tagri vahe'ma mani'naza vahe'mo'za tusi vahe krerfa fore hu'naze. 
ACT.7.18	Henka Josefema antahino keno osu'nea kini ne' Isipi fore huno kegva hu'ne. 
ACT.7.19	Ana kinimo'a vahetia rezmatga nehuno, tagehe'ina havi avu'ava hunezmanteno kasefa mofavrema ksentenazana megi'a zamatrenke'za friho huno huhanavetine. (Ekso-Uti 1:8–2:15) 
ACT.7.20	Anama hianknafi Mosesena ksentegeno Anumzamofo avurera hentofa mofavre fore huteno, 3'a ikamofo agu'afina nefa nompi manitegeno, 
ACT.7.21	henka avare'za megi'a ometrageno, Fero mofamo'a avareno agri'a mofavregna huno kegva hu'ne. 
ACT.7.22	Mosese'a Isipi vahe'mofo antahi'zana rempi huno maka eriteno, kema hu'zampine, avu'ava'zama'afina hankave nentake ne' fore huno mani'ne.
ACT.7.23	Hu'neanagi 40ti'a zagegafu huku'ma nehuno'a nafuhei, Israeli vahera nantu antezmante nagesahie huno antahi'ne. 
ACT.7.24	Mosese nevuno keana Isipi ne'mo, Israeli kazokzo eri'za nera nehegeno negeno, Israeli ne'mofo ahoke heno Isipi nera ahe fri'ne. 
ACT.7.25	Mosese'a antahiana agri vahe'mo'za antahi ama hu'za, nagripi huvazino Anumzamo'a huntegeno tagrira tahokeheno tavarenaku e'ne hu'za hugahaze huno antahine, hianagi zamagra Mosesena antahi omi'naze. 
ACT.7.26	Umaseno nanterana Mosese'a nevuno keana, tare Israeli ne'tremoke ha' nehakeno, zanarimpa zanazeri fru hunaku, agra amu'noznifi vuno znazeri atrenaku nehuno anage hu'ne, Ama ve rarena, tanagra kogna mani'na'e. Nahigeta hara neha'e? 
ACT.7.27	Magomo'ma haviza huno ahe frinaku nehimo'a, Mosesena retufe kanti netreno anage hu'ne, 
ACT.7.28	 (Ekso-Uti 2:14) 
ACT.7.29	Ana kema hia Mosese'a nentahino, Isipia atreno viazamo, Midieni mopare anantega rurega vahe umani'ne. Mosese'ma Midienima umani'neno'a, tare ne'mofavre kseznante'ne.
ACT.7.30	Foti'a zgegfuma agateregeno mago ankeromo hagage kokampi Sainai agonamofo agiafi osi zafafi teve srasra huno nerefi fore humi'ne. 
ACT.7.31	Mosese'ma anazama negeno'a, naza fore nehieha nehuno kenakuma etvaoma higeno'a, Ra Anumzamo keza tino, 
ACT.7.32	 huno higeno, Mosesena, tusi ahirahitegeno avuge'zankura tusi agogogu nehuno uravao osu'ne. 
ACT.7.33	Higeno Anumzamo'a Mosesena anage huno asami'ne, 
ACT.7.35	E'ima ana Mosesima zamesra hunente'za, anagema hu'za, 
ACT.7.36	Ana ne'mo zamavreno nevuno Isipi mopare ene koranke hagerinte'ene ka'ma hagege mopafina kaguvazane avame'zana 40ti'a zgegfufina huzmeri hu'ne. 
ACT.7.37	Ama ana Mosese, Israeli vahe'zgagura huno, Anumzamo'a kasnampa vahe'tmia tmagri'pintira nagrima hiaza huno azeri otigahie. 
ACT.7.38	E'i ana ne'mo, vahe kevumokizmi amu'nompima ka'ma mopafi mani'negeno ankeromo Sainae agonafima tagri tagehemokizmi, Anumzamo kea huntegeno asimu erino mani naneke erino'ma eme tmi'nea nere. 
ACT.7.39	Tagri tagehe'za ke'a antahizanku zamefi hunemi'za, retufeganti netre'za, zamagu'afina Isipigura tusi zamagesa antahi'naze. 
ACT.7.40	Eronina amanage hu'za asmi'naze, 
ACT.7.41	Hige'za ana knafina kolire havi anumzana bulimaka anenta kna huza tro hu'za, kre sramna avuga vunente'za anama zamazanuma troma hazazankura muse hunte'naze. (Ekso-Uti 32:1-10) 
ACT.7.42	Hu'neanagi Anumzamo'a amagena huzmantege'za, zamagra havi anumzantema zagere'ma, ofunte'ma ikante monora hunte'naze, ko'ma kasnampa vahe'moma krente'neana 
ACT.7.43	 (Emo 5:25-27)
ACT.7.45	Henka tagehe'za ana seli mono nona e'neriza, zamagra ana mopafi Josua'ene naga'amo'zanena megi'a vahe'mofo mopafi ha'hu'za eri'za mani'neza, seli mono nona kiza mani'nageno henka Deviti kna e'ne. 
ACT.7.46	Anumzamofo avesi zamo'a Devitinte megeno, Anumzamoka natregena ra mono nonka'a kineno huno antahige'ne, Jekopu Anumzamo'ma manisia no kinaku hu'ne. 
ACT.7.47	Hu'neanagi Solomoni'a Agri ra mono nona kinte'ne. (1 Kin 6:1) 
ACT.7.48	Hu'neanagi, Mareri Agatere'nea Anumzamo'a vahe'mo azanteti kinte nompina omanigahie huno, Kasnampa ne'mo hunte'ne, 
ACT.7.50	 (Aisa 66:1-2)
ACT.7.51	Tamagra ke ontahi vahe mani'nageno tamaguamo ene tamagesamo'a tamage kemofona ifo nehie! Tamagra Ruotge Avamumofona tamagehemoma hu'nea kna hutma maka kna tmefi hunemize! 
