MAT.1.1	Ho’oy tulurn empo de Mori Yésus Kristus, wa’u di Daud, wa’u di Abraham. 
1CO.1.18	Ai keréba latang te panggol hitu te pandé bapa laing latang te isé situt kudut ampus, maik latang te itét kudut selamak, keréba hitu te toto mberes de Mori Keraéng. 
1CO.1.19	Ai manga tulis:
1CO.1.19	“Aku te pandé ampus
1CO.1.19	nggalas data manga nggalasd
1CO.1.19	agu nggepuk data nggalas
1CO.1.19	te pandé moras Laku.”
1CO.1.20	Nias ata situt manga nggalasd? Nias ata situt pecing Taurat? Nias ata situt hoté-hatel lemad oné-mai lino ho’o? Toé weli Mori Keraéng poli pandé caling nggalas de lino ho’o te ciri bapa laing? 
1CO.1.21	Landing nggalas de lino ho’o toé pecing Mori Keraéng, itup tara nggalas de Mori Keraéng henan te pandé selamak isé situt imbi ali wéro de Keréba Di’a atat loi-la’it taé de lino. 
1CO.1.22	Ata Yahudi ngoéng tanda agu ata Yunani kawé nggalas. 
1CO.1.23	Maik ami wéro keréba hi Kristus hitut panggoly. Keréba ho’o, latang te ata Yahudi ného ca watu te pandé timpok laing, agu latang te ata toé Yahudi ného te pandé bodok laing. 
1CO.1.24	Maik latang te isét bénta le Mori Keraéng, ata Yahudi ko toé ata Yahudi, hi Kristus hitu mberes agu nggalas de Mori Keraéng. 
1CO.1.25	Ai ata siot bodok oné-mai Mori Keraéng céwé mésé nggalasd oné-mai manusia, agu situt les oné-mai Mori Keraéng céwé mberes oné-mai manusia. 
1CO.1.26	Nuk kaut asé-ka’én, co’o du ciri ata seranis méu: Lorong wolo de manusia toé dod ata nggalas, toé dod ata cau kuasa, toé dod ata pangkat mésé. 
1CO.1.27	Maik apa ata bodok lorong wolo de lino ho’o, pilés le Mori Keraéng kudut pandé ritak ata situt manga nggalas. Apa ata les taé de lino ho’o, pilés le Mori Keraéng kudut pandé ritak situt mberes. 
1CO.1.28	Apa ata toé lélos agu ata bocik le lino ho’o, pilés le Mori Keraéng. Ngot apa ata toé manga betua laingd, pilés le Mori Keraéng te pandé mora situt manga ngasangd. 
1CO.1.29	Wiga toé manga cengatan manusia ata pandé angos weki run oné ranga de Mori Keraéng. 
1CO.1.30	Maik, ali Mori Keraéng, méu neki ca oné hi Kristus Yésus, ata poli téi nggalas le Mori Keraéng latang te ité. Hia pandé molor agu pandé nggeluk agu sambé ité. 
1CO.1.31	Ného manga ata poli tulis: “Céing kaut ata pandé angos, céwé di’an hia pandé angos oné Mori Keraéngy.”
1CO.2.1	Asé-ka’én, nenggitu kolé du aku mai oné méu, aku toé mai ba keréba hitu le go’ét ko ata penong le widang de lino kudut keréba pété céha de Mori Keraéng oné méu. 
1CO.2.2	Ai aku poli wérét kudut toé ba keréba bana oné beréha méu, hanang keréba Mori Yésus Kristus hitut poli panggoln. 
1CO.2.3	Du ka’éng oné beréha méu, aku déméng les’g, rantang agu jejer’k. 
1CO.2.4	Sanggéd curup daku, ko keréba daku toé tombos laku ali penong le widang de lino, maik ali imbi oné kuasa de Nai Nggeluk. 
1CO.2.5	Kudut imbi de méu néka wéo oné nggalas de manusia, maik wéo oné kuasa de Mori Keraéng.
1CO.2.6	Koném po nggitu ami ba keréba nggalas oné isét poli mentengd, ngong nggalas ata toé mai oné-mai lino ho’on, agu toé oné-mai isét cau kuasa de lino. Ai ata cau kuasa situ kudut pandé mora’s. 
1CO.2.7	Maik situt keréba dami, nggalas de Mori Keraéng. Nggalas hitu toé ita le matas agu pété cehas latang te lino ho’o, maik poli mengkekd le Mori Keraéng latang te angos dité du toé di dédékn lino ho’o. 
1CO.2.8	Toé manga oné-mai ata cau kuasa de lino ata pecing nggalas de Mori Keraéng, ai émé pecing lisé, toé panggol lisé Mori Yésus hitut mengit. 
1CO.2.9	Ného ata poli tulis:
1CO.2.9	“Apa kaut ata toé dé’it ita le mata, toé dé’it dengé le tilu, toé dé’it tua oné nai de manusia: Sanggéd taung situ poli mengkekd le Mori Keraéng latang te isét momang Hia.”
1CO.2.10	Ai latangt ité Mori Keraéng poli si’angn le Nai Nggeluk, ai Nai Nggeluk hitu ata kawé polok sanggéd cao’ca, ngot apa ata cehad oné weki de Mori Keraéng. 
1CO.2.11	Céing oné-mai itét manusia ata pecing ici nai siot manga oné weki de manusia? Hanang nai de run manusia hitu. Nenggitu kolé néng, toé manga cengatan manusia ata pecing ici nai de Mori Keraéng, hanang Nai de run Mori Keraéng. 
1CO.2.12	Ité toé tiba nai de lino, maik nai de Mori Keraéng, kudut pecing lité apa ata widang Diha latang te ité. 
1CO.2.13	Émé téntang lami sanggéd cao’ca latangt Mori Keraéng oné isét tiba Nai Nggeluk, ami te curup sanggéd widang de Mori Keraéng ata toing le Nai Nggeluk, toé le nggalas de manusia. 
1CO.2.14	Maik manusia siot paéng de lino ho’o toé tiba apa ata mai oné-mai Nai Nggeluk, ai le nuk nai disé, widang hitu néhot pandé bodok laing, agu isé toé ngancéng pecing, ai nggalas hitu ngancéng wolo’n hanang le widang de Nai Nggeluk. 
1CO.2.15	Manusia ata tiba widang nggeluk ngancéng wolod sanggéd cao-ca, maik latang te weki run hia toé ngancéng wolo lata bana’y. 
1CO.2.16	Ai manga tulis: “Céing ata pecing nuk de Mori Keraéng, wiga ngancéng toing Mori Keraéng?” Maik ami paéng nuk di Kristus.
1CO.3.1	Asé-ka’én, du hitu aku toé ngancéng tombo agu méuk cama ného agu ata tiba widang nggeluk, maik hanang agu manusia paéng de lino, ata toé di bisa’y oné hi Kristus. 
1CO.3.2	Hang habel de anak koé dé situt téi daku agu méu danong, toé hang cirang, ai toé di ngancéng maman le méu hang cirang. Te ho’on kolé toé kin ngancéng hang le méu. 
1CO.3.3	Ai méu ngai manusia paéng de lino kis. Émé oné bahi-réha méu manga kin beti-nai agu léwang tau, toé weli gauk hitu pandé toto te méu manusia paéng de lino agu mosé lorong ngoéng disét toé imbi? 
1CO.3.4	Émé taé dihat cengata, “Aku oné-mai diding di Paulus,” agu taé data iwod, “Aku oné-mai diding di Apolos,” toé weli léwang tau hitu pandé si’ang te méu manusia paéng de linom? 
1CO.3.5	Jari, céing néng hi Apolos? Céing néng hi Paulus hitu? Isé ata keturu laing wiga méu ciri imbim, néténg gori lorong widang de Mori Keraéng. 
1CO.3.6	Aku te weri, hi Apolos latang te worangn, maik Mori Keraéng ata pandé todod. 
1CO.3.7	Landing hitu ata mésén, toé hiat werin ko hiat worangn, maik Mori Keraéng hitut pandé todod. 
1CO.3.8	Ata weri ko ata worang cama mtaungs; agu néténg weki te tiba lahén lorong agu gori de weki-run. 
1CO.3.9	Ai ami haé-reba oné ca gori latang te Mori Keraéng, méu cama ného uma lokang agu cama ného mbaru de Mori Keraéng.
1CO.3.10	Lorong agu tabing de Mori Keraéng ata widang oné aku, aku ného cengata ata pecing pandé mbaru ata poli na’a ligéngn, agu ata bana pandé mbaru bétan. Maik néténg ata paka lélo, co’o hia te pandé mbaru bétan. 
1CO.3.11	Ai toé manga cengatan ata ngancéng na’a ligéng bana oné-mai ligéng ata poli mangan, ngong hi Yésus Kristus. 
1CO.3.12	Manga ata hesé ného mbaru bétan ligéng ho’o, ali emas, pérak, watu hiot wegit, haju, remang dango ko roas woja. 
1CO.3.13	Cemoln tai sanggéd gori néténg weki te itas, ai du leso de Mori Keraéng kudut pandé ita taungs. Oné leso hitu kudut si’angn le api, agu co’oy gori néténg ata kudut damang le api hituy. 
1CO.3.14	Émé gori hitut pandé dihat cengata ta’ong oné-mai apin, hia te tiba lahén. 
1CO.3.15	Émé gori diha muntungy, hia te hena le woréngy; weki run hia te selamak, maik ného ata céla oné-mai apin. 
1CO.3.16	Toé baé le méu ko, te méu hitu mbaru de Mori Keraéngm agu Nai Nggeluk de Mori Keraéng ka’éng oné méuy? 
1CO.3.17	Émé manga ata hiot pandé ampus mbaru de Mori Keraéng, Mori Keraéng kolé te pandé ampus hia. Ai nggelukn mbaru de Mori Keraéng, agu mbaru de Mori Keraéng hitu ngong sanggés taung méu.
1CO.3.18	Néka manga ata pandé nggopét weki run. Émé manga oné-mai méu ata rékéng weki run manga nggalasn lorong ngoéng de lino ho’o, kong demeng hia ciri bodokn kudut manga nggalasn. 
1CO.3.19	Ai nggalas de lino ho’o, bodok latang te Mori Keraéng. Ai manga poli tulisn, “Mori Keraéng deko ata manga nggalasn ali cedekn.” 
1CO.3.20	Agu iwon kolé, “Mori Keraéng pecing tu’ung nuk data nggalas; cetu’ungn sanggéd taung nggalas situ oké bod.” 
1CO.3.21	Landing hitu néka manga ata bombong rak landing le lut cengata-cengata, ai sanggéd cao-ca poli téing oné méud: 
1CO.3.22	koném po hi Paulus, hi Apolos, ko hi Pétrus, nenggitu kolé lino, mosé ko mata, koném te ho’on ko latang te nggere-olon. Sanggéd taung situ de haus morid, 
1CO.3.23	maik méu hitu paéng di Kristusm agu hi Kristus hitu paéng de Mori Keraéngy.
1CO.4.1	Nahé ata lélo ami: Cama ného mendi di Kristus, hiot imbi le Mori Keraéng te caun pété ceha adak Surga. 
1CO.4.2	Cemoln, isét keturu paka ciri mendi di Kristus kudut isé ngancéng imbi le Mori Keraéng. 
1CO.4.3	Latang te aku toé manga co’o laingn, koném po aku beté-bicar le méu ko beté-bicar le manusia. Aku kolé toé gorig te beté-bicar weki rug. 
1CO.4.4	Ai baé laku, aku toé manga salag, landing toé le hitu aku ciri molork, maik Mori Keraéng ata beté-bicar akuy. 
1CO.4.5	Landing hitu néka beté-bicar émé toé di hitu redun, ngong émé toé di mai Mori Keraéng. Hia te pandé gérak apa situt ceha oné nendép, agu Hia kudut totos apa situt nanéng oné nai. Du leson tai, néténg ata kudut tiba naring de Mori Keraéng.
1CO.4.6	Ase ka’én, sanggéd curup situ bebolod te hena kolé oné weki rug aku agu hi Apolos, landing te di’a méu. Kudut oné-mai tuming dami, pecing le méu apa betuan go’ét ho’o: “Néka lagé ata poli tulis.” Kudut néka manga oné-mai méu ata mésé nai ali méséng kéta hiat cengata oné-mai ata bana. 
1CO.4.7	Ai céing ata bilang hau ciri ata mengit? Apa néng ata manga oné hau ata toé tiba oné-mai Mori Keraéng? Émé tu’ung tibas le hau, co’o weli tara pandé angos weki rum, néhot paéng de rum? 
1CO.4.8	Méu poli becurs, poli ciri boras, poli ciri rajas, maik ami toé. Oé, céwé di’an émé tu’ung méu poli ciri rajas, wiga ami kolé lut méu ciri rajakm. 
1CO.4.9	Ai lorong nuk daku, Mori Keraéng poli téing oné ami sanggéd rasul osang ata taki-wan, cama ného ata siot poli beté-bicar kudut matas. Ai ami poli ciri ata te porong laing latang te lino ho’o, latang te malékat-malékat agu latang te manusia. 
1CO.4.10	Ami ciri bodok ali imbi oné Kristus, maik méu ciri nggalas ali imbi oné hi Kristus. Ami les, maik méu mberes. Méu mengitm, maik ami ciri ata bocik.
1CO.4.11	Dengkir ho’og ami darem, masa waé, lacokm, ongga latakm, agu mosé lé-lau kaut, 
1CO.4.12	agu pandés lami sanggéd gori ata mendod. Émé tidakm lata, ami berkak isé situ, émé onggakm lata, ta’ong kaut lami, 
1CO.4.13	émé loérkm lata, walé joél isé lami, ami cama ného wéang de lino, cama ného saki oné-mai sanggéd cao-ca dengkir te ho’on.
1CO.4.14	Sanggéd taung so’o tulis taungs laku, toé kudut pandé ritak méu, maik kudut wahéng méu sanggéd anak ata momang daku. 
1CO.4.15	Ai koném capa kauts dod guru ata toing méu te lorong hi Kristus, toé dod ema de méu. Aku dé ema de méu ata lorong Kristus Yésus, ai aku ata wéro Keréba Di’a hitu oné méu. 
1CO.4.16	Landing hitu aku toing méu: Lorong koé le méu toming daku! 
1CO.4.17	Landing le hitu tara wuatn laku hi Timotéus. Hia anak momang daku, ata junggu oné Mori Keraéng. Hia kudut pandé nuk taungs le méu, co’o mosé daku ali lorong hi Kristus Yésus, cama ného ata toing daku oné nia-nia kaut wan ata serani. 
1CO.4.18	Maik manga pisa taus oné-mai méu ata ciri mésé nais, ai bet disé aku toé mai kolék. 
1CO.4.19	Maik aku kudut gélang ngo oné méuk, émé ngoéngn Mori Keraéng, agu aku kudut baé toé latang te curup data situt mésé nai, maik ngong mberes disé. 
1CO.4.20	Ai adak de Mori Keraéng toé oné-mai tombo, maik oné-mai kuasa. 
1CO.4.21	Apa weli ngoéng de méu ga? Aku paka ngo oné méu agu lecék méu, ko ali momang agu lembés?
1CO.5.1	Poli dengén laku, te manga ata inung toé nipu agu hang toé tanda oné bahi-réha méu. Ngot pandé nenggitu toé dé’it manga dumpun laku oné wa’u bana ata toé pecing Mori Keraéngs, te manga ata jurak agu wina de eman. 
1CO.5.2	Koném po nenggitu, méu mésé nai kis. Céwé di’an méu ngawa-ngaés agu mbérs ata situt pandé da’at oné-mai bahi-réha méud. 
1CO.5.3	Ai aku koném po tadang oné-mai méu, maik naig ruis agu méu. Ali hitu aku manga oné bahi-réha méu kudut wahéng ata te pandé da’at hitu. 
1CO.5.4	Émé impung kis méu, aku manga oné bahi-réha méu ali kuasa di Yésus, Mori dité, 
1CO.5.5	ata hitut pandé da’at paka téing oné jing da’at le ngasang de Mori Yésus, wiga ampus taung wekin, maik wakarn ga pandé selamak du leso de Mori Keraéng. 
1CO.5.6	Toé di’an mésé nai de méu hitu. Toé néng baé le méu ko, koném cekoén kaut ragi maik ngancéng pandé bombong taung roti? 
1CO.5.7	Oké koés ragi manga situ, ngong ndékoks, wiga méu ciri hamol weru. Pecing laku te méu toé manga ndékoks. Ai anak jimbal Paska dité ngong hi Kristus, polig mbelén. 
1CO.5.8	Landing hitu mai ga ité pandé ramé, toé ali ragi manga, ngong gauk da’at agu pandé da’at, maik ali roti ata toé manga ragin, ngong nggeluk agu molor.
1CO.5.9	Olo poli tulis laku latang te méu, kudut méu néka léjong agu ata situt pandé jurak. 
1CO.5.10	Betuan daku, toé ngong sanggéd taung ata pandé jurak oné-mai lino ho’o, ko ata gomeng, ata nggopét ko agu ata io pina-naéng, ai émé nenggitu, méu paka legong lino ho’o. 
1CO.5.11	Betuan tulis daku hitu, kudut méu néka léjong agu ata situ, koném po carod asé-ka’é ca imbi, maik isé situ ata jurak, ata gopa, ata io pina-naéng, loér ata, ata langu agu ata nggopét, néka kéta manga hang cama agu ata nenggitu. 
1CO.5.12	Ai le kuasa apa aku ngancéng beté-bicar isé situt be pé’ang-mai weki serani? Toé weli méu paka pandé beté-bicar isét manga oné bahi-réha weki serani? 
1CO.5.13	Isét manga be pé’ang mai weki serani kudut beté-bicar le Mori Keraéngs. Mbérs le méu ata situt pandé da’at oné-mai bahi-réha méu.
1CO.6.1	Asa néng, manga weli cengatan oné-mai méu émé manga léwang tau agu ata banay, ngancéng mboték oné ata toé imbi, maik toé oné ata imbi? 
1CO.6.2	Toé baé le méu ko, te ité kudut beté-bicar lino ho’o? Émé beté-bicar lino ho’o manga oné limé de méuy, ma’ut toé ngancéng le méu te wintuk caca mbolot situt toé manga betua laingd? 
1CO.6.3	Toé baé le méu ko, te ité kudut beté-bicar malékat-malékat? Jari, apan kolé latang te caca mbolot oné mosé dité lété leso. 
1CO.6.4	Koném po nenggitu, émé méu paka wintuk caca mbolot so’ot laséngd, méu néka téi wintuk hitu oné isét ata toé weki serani. 
1CO.6.5	Curup daku ho’o kudut pandé ritak méu. Toé kéta manga cengatan oné-mai méu paéng nggalas, ata ngancéng wintuk caca mbolot oné-mai asé-ka’é ca imbis? 
1CO.6.6	Asa weli ga, asé-ka’é hitut ca imbi ngancéng mboték oné asé-ka’é bana, agu nonong kéta oné ata siot toé imbis? 
1CO.6.7	Émé manga kaut mbolot oné bahi-réha méu, manga ata léwang tau, cama ného ca koda latang te méu. Co’o tara toé ngoéngs méu te tiba susa ali toé agil? Co’o tara toé ngoéngs méu tiba woréng? 
1CO.6.8	Maik weki rus méu pandé toé agil agu pandé woréng ata ali sabi nggopét, agu ngot toé agil hitu pandé le méu kamping asé-ka’é ca imbis. 
1CO.6.9	Toé baé le méu ko, te ata situt toé agil, toé manga osangd oné adak de Mori Keraéng?
1CO.6.9	Néka wéléng! Loma ata, io pina-naéng, ngoéng ata, ata rona ngoéng taud cama ata ronad, 
1CO.6.10	ata tako, ata gopa, ata langu, loér ata, agu ata nggopét, toé kéta manga osangd oné adak de Mori Keraéng. 
1CO.6.11	Pisa taus oné-mai méu bo tu’ung pandé nenggitus olo. Maik méu poli téi wekis kudut pandé nggélok, méu poli nggeluks, méu poli pandé molors oné ngasang de Mori Yésus Kristus agu oné Nai Nggeluk.
1CO.6.12	Taé data, “Sanggéd cao-ca naud kéta taung,” maik latang te aku toé sanggéd taung manga betuad. Sanggéd cao-ca naud taung latang te aku, maik aku toé ondang wekig te mendi de sanggéd cao’ca situ. 
1CO.6.13	Manga kolé ata taé nenggo’o, “Hang latang te tuka agu tuka latang te hang,” maik hang ko tuka te pandé ampus tai le Mori Keraéng. Ai weki toé latang te pandé loma, landing latang te keturu Mori Keraéngy, agu Mori Keraéng latang te tinu weki. 
1CO.6.14	Mori Keraéng ata pandé to’o kolén Mori Yésus, nenggitu kolé ité te pandé mosé kolé ali kuasa Diha. 
1CO.6.15	Nuk dé, te sanggés méu ného nggota weki di Kristus. Jari, ngancéng weli laku emi nggota di Kristus hitu te ciri nggota weki data mbérong? Toé! 
1CO.6.16	Toé baé le méu ko, te céi kaut ata neki agu iné-wai mbérong ciri ca wekis agu hia? Ai nggo’o taé de Surak Nggeluk: “Isét sua ciri ca wekis.” 
1CO.6.17	Maik céi ata ulu-pukul agu Mori Yésus ciri ca nai agu Hia. 
1CO.6.18	Jari, néka loma ata! Néténg ndékok bana ata pandé le manusia, toé hena dungka wekin. Maik ata pandé loma tau, te copel wekin. 
1CO.6.19	Toé baé le méu ko, te sanggéd weki de méu ciri osang baté ka’éng de Nai Nggeluk ata poli tiba le méu oné-mai Mori Keraéng? Méu toé paéng de rus. 
1CO.6.20	Ai méu poli welis agu poli bajar taungs le Mori Keraéng: Landing hitu bong koé Mori Keraéng le weki de méu!
1CO.7.1	Agu ho’o ga latang te cao-ca ata tulis le méu nggere-oné aku. Manga di’an latang te ata rona, émé hia toé kawingy, 
1CO.7.2	maik émé humer kin nain te ngoéng ata, céwé di’an néténg ata rona manga wina run agu néténg inéwai manga rona run. 
1CO.7.3	Poro rona paka téing waé latang te winan, nenggitu kolé wina néka tadu salang waé latang te ronan. 
1CO.7.4	Wina toé manga kuasan latang te wekin, maik kuasa le ronan. Nenggitu kolé rona, toé manga kuasan latang te wekin, maik kuasa le winan. 
1CO.7.5	Méu néka manga ciga taus, bo émé toé béhéng tama poli bantang camas, kudut méu manga lingas te ngaji. Poli hitu poro méu mosé neki-ca kolém, kudut jing da’at néka damang méu. Ai méu toé ngancéng caka belek da’ats. 
1CO.7.6	Curup ho’o tombo laku agu méu luing toing, toé ného perénta. 
1CO.7.7	Koném po nenggitu, céwé di’an émé sanggén ata cama ného aku. Landing néténg ata woléng tiba widang oné-mai Mori Keraéng, hiat cengata tiba widang ho’o, ata bana tiba widang hituy. 
1CO.7.8	Maik latang te ata rona luang ko iné-wai luang, tegi laku, céwé di’an isé néka kawing kolé, maik kong mosé kaut hanang koé cama ného aku. 
1CO.7.9	Maik émé isét toé ngancéng ta’ong belek, céwé di’an isé kawings. Ai céwé di’an kawings, po wunteng humer.
1CO.7.10	Latang te isét poli kawingd, ho’oy perénta de Mori Yésus, toé oné-mai aku, kudut wina néka legong ronan. 
1CO.7.11	Émé legong liha, kong mosé hanang koé, ko hambor kolé agu ronan. Agu ata rona, néka céar winan.
1CO.7.12	Latang te ata bana, ho’oy toing daku, toé toing de Mori Yésus: Émé manga cengatan ata imbi, emi wina ata toé imbi, agu iné-wai hitu ngoéng kin te ciri wina diha, néka pandé céary. 
1CO.7.13	Émé manga cengata iné-wai ata imbi na’a rona agu cengata ata toé imbi, agu ata rona hitu ngoéng kin te ciri rona diha, néka pandé céary. 
1CO.7.14	Ai ronan hitut toé imbi pandé nggeluk le winan, agu wina hitut toé imbi pandé nggeluk le ronan. Émé toé nenggituy, toét-toé sanggéd anak de méu ciri ata kafir, kali po te ho’on isé ciri ata imbi. 
1CO.7.15	Ai émé ata hitut toé imbi ngoéng te céary, kong demeng céarn. Oné bicar pété ho’o, hiat ata rona ko hiat iné-wai ata imbi toé manga do’ongd. Ai Mori Keraéng bénta méu kudut mosé oné hambor-libur. 
1CO.7.16	Ai co’o le hau baén, oé iné-wai, émé hau toé ngancéng pandé selamak ronam? Ko co’o le hau baén, oé ata rona, émé hau toé ngancéng pandé selamak winam?
1CO.7.17	Poro néténg ata kong kid mosé ného apa ata poli wérétn le Mori Keraéng latang te hia agu cama ného du béntan hia le Mori Keraéng. Ho’o dé wérét daku latang te sanggéd weki serani. 
1CO.7.18	Émé hiat cengata bénta du poli sunatn, hia néka pandé mora sanggéd tanda sunatn hitu. Émé hiat cengata bénta toé di sunaty, hia néka nanang kolé te sunaty. 
1CO.7.19	Ai poli sunat ko toé di sunat toé manga betua laing. Ata betua laing kali, lorong taungs Adak de Mori Keraéng. 
1CO.7.20	Nahé néténg ata kong kin mosé, ného du béntan le Mori Keraéng. 
1CO.7.21	Émé du béntam hau ngai mendi kim, toé manga co’o laingn. Maik émé manga sokor latang te ledo hau oné-mai mendim, papé sokor hitu. 
1CO.7.22	Ai mendi ata bénta le Mori Keraéng te ciri keturu Diha, mendi hitu toé manga do’ongn te ciri paéng de Mori Yésus. Nenggitu kolé ata siot toé mendi bénta le Mori Yésus, te ciri mendi Diha. 
1CO.7.23	Méu poli welis agu poli taung bajars le Mori Keraéng. Landing hitu, méu néka ciri mendi de manusiam. 
1CO.7.24	Asé-ka’én, poro néténg ata kong mosé ného du béntan le Mori Keraéng.
1CO.7.25	Latang te ata siot toé di kawing, aku toé manga tiba perénta oné-mai Mori Yésus. Maik le nuk nai de rug, ai le tiba widang nabit de Mori Yésus, aku naun te imbi laing kudut toing méu. 
1CO.7.26	Nggo’o nuk daku, émé nuk mosé céncés te ho’on ata pandé copel laing, céwé di’an latang te manusia kong kid oné mosé, ného ata laséngd ga. 
1CO.7.27	Émé hau manga winam, néka manga bet te pandé céar. Émé hau toé di manga winam, kong kaut néka na’a winah. 
1CO.7.28	Maik émé kawing hau, toé manga ndékokm. Nenggitu kolé émé ata molas, kawingy, hia toé manga pandé ndékokn. Maik sanggéd ata kawing te hena le susa, agu aku pandé cépé méu oné-mai susa hitu. 
1CO.7.29	Asé-ka’én, ho’oy betuan daku: Wokokn’g dé cekeng! Landing hitu oné cekeng ho’ot manga kin cekoé, sanggéd ata manga winad néka nuk hanang winad, 
1CO.7.30	agu isét rétang mosé néhot toé wéong-naid, agu isét tawa mosé néhot toé nakas, agu ata manga weli néhot toé manga paéng ceca situt welid. 
1CO.7.31	Cai wan ga, sanggéd ata paké ceca de lino, néhot toé kéta manga pakéd lisé. Ai lino ho’ot pecing dité, kudut moray. 
1CO.7.32	Ngoéng daku, kudut méu néka kéta simpung do lari mosés. Ata siot toé manga winad, renom nukd oné apa kaut latang te gori de Mori Keraéng, ai isé ngoéng te pandé cembes nai Diha. 
1CO.7.33	Maik isét manga winad, renom nukd oné apa kaut latang te gori de lino, ai isé te pandé cembes nai de winad, 
1CO.7.34	agu ali hitu pati-péar nukd. Iné-wai ata toé manga ronad agu anak molas, renom nukd oné gori latang te Mori Keraéng, kudut weki agu wakar disé nggeluks. Maik inéwai ata manga ronad, renom nukd oné apa-kaut latang te gori de lino ho’o, ai isé te pandé cembes nai de ronad.
1CO.7.35	Sanggéd taung so’o tombos laku latang te weki rus méu, toé latang te pandé do’ong méu. Maik kudut méu pandé apa ata naun agu toé manga cégots latang te keturu Mori Keraéng. 
1CO.7.36	Maik émé bet dihat ata rona te hia pandé ata toé naun latang te nacan, émé nacan hitu tambang tu’an, agu hia tu’ung-kéta nuk disé paka kawings, céwé di’an isé kawings émé ngoéngd isé. Bet hitu toé manga ndékok laing. 
1CO.7.37	Maik émé manga cengata ata toé dedek latay kudut pandé nenggitu, ali mberes de nai run te tu’ung kéta toé kawing agu nacan, hia hitu pandé di’ay. 
1CO.7.38	Jari, ata kawing agu nacan pandé di’a, agu ata toé kawing agu nacan hia pandé céwé di’an kolé. 
1CO.7.39	Wina neki ca du rémé mosé kin ronan. Émé poli mata ronan, hia ngancéng kawing agu ata rona bana céing kaut ata ngoéng diha, tama ata hitu cengata ata imbi. 
1CO.7.40	Maik, hia céwé mosé di’ay émé hia kong kin mosé oné luangn hitu. Noing daku, nuk daku ho’o, le titong de Nai Nggelukg.
1CO.8.1	Tombo ho’o, latang te nuru hiot takung kudut io pina-naéng. Bet data: “Sanggéd ité manga taung pecingd.” Pecing nenggitu pandé ata ciri mésé naiy, maik momang hitu te pandé di’a. 
1CO.8.2	Émé manga ata hiot le betn te hia manga “pecingn,” hia hitu toé di haéng pecing ata délemn. 
1CO.8.3	Maik ata hiot momang Mori Keraéngy, hia hitu pecingy le Mori Keraéng.
1CO.8.4	Ngong hang nuru situt takung oné io pina-naéng, pecing lité: “Toé manga io pina-naéng oné lino ho’o agu toé manga Mori Keraéng bana, ai hanang ca kanangy kali Mori Keraéng.” 
1CO.8.5	Bo manga apa situt carod “dewa” éta awang agu oné lino. 
1CO.8.6	Maik latang te ité hanang manga ca kanangy kali Mori Keraéng, Hi Ema, ata dédékd sanggéd cao-ca. Latang te Hiat ité moséd. Agu ca kanang kali Morin ngong hi Yésus Kristus, ata lut Hia sanggéd cao-ca poli dédék agu landing le Hia, ité moséd. 
1CO.8.7	Maik toé sanggén taung ata manga pecing nenggitud. Manga kid ata siot danong io pina-naéng. Teho’on noing lisé te nuru hitut takung latang te io pina-naéng, tu’ung kéta hang latang te io pina-naéng. Wiga émé hang lisé, noing lisé te isé pandé ndékok. Ai isé toé di mberes tu’ung imbid. 
1CO.8.8	“Apa ata hang dité, toé ngancéng ba ité te céwé ruis agu Mori Keraéng. Toé manga rowak apa-apad, émé ité toé hang, agu toé manga ontong apa-apad émé ité hang.” 
1CO.8.9	Maik jerék koé, kudut ba weki situt sara-nai, néka ciri watu timpok laing latang te isét les kin imbid. 
1CO.8.10	Ai émé ita lata haut manga “pecingm”, hitu lari lonto hangm oné mbaru io pina-naéng, toé weli ata siot les imbid ného ata dur kaut kudut hang nuru hitut takung lata te io pina-naéng? 
1CO.8.11	Ali hitu, isé situt les imbid, ngong asé-ka’ém situt ca imbi, ciri ampus ali “pecingm”, hitu, kali po hi Kristus poli matan latang te isé kolé. 
1CO.8.12	Émé nenggitu hau pandé ndékokm kamping asé-ka’ém situt ca imbi, agu pandé réu nai disét les imbid, cetu’ungn hau pandé ndékok kamping hi Kristus. 
1CO.8.13	Landing hitu, émé ali hang situ ciri watu timpok laing latang te asé-ka’ém situt ca imbi agu aku, aku toé gorig te hang nuru kolé dengkir tédéng lén, wiga aku toé ciri watu timpok laing latang te asé-ka’é situt ca imbi agu akus.
1CO.9.1	Toé weli aku ho’o ata toé manga do’ong? Toé weli aku ho’o rasulk? Toé weli aku ho’o poli ita hi Yésus, Mori dité? Toé weli méu wua gori de Mori Yésus lut aku? 
1CO.9.2	Koném po toé rasulk aku taé data bana, maik latang te méu aku ho’o cengata rasulk. Ai mosé de méu oné Mori Keraéng ciri tanda te aku rasulk. 
1CO.9.3	Ho’oy kambé daku kamping isét ata toé tiba curup daku:
1CO.9.4	Toé weli manga hakgm ami latang te hang agu inung? 
1CO.9.5	Toé weli manga hakgm ami kudut dadé winagm ata ca imbi lari lakogm, ného pandé de asé-ka’é de Mori Yésus agu sanggéd rasul bana agu hi Pétrus? 
1CO.9.6	Ko hanang aku agu hi Barnabas kanang ata te kawé hang? 
1CO.9.7	Céing weli ata bajar le run émé ngo rampas? Céing weli ata weri anggor oné uman, maik toé kolé hang wuad? Ko céing ata wéling jimbal, maik toé kolé inung waé cucu de jimbal situ? 
