MAT.1.1	Man buk me kwari a Yecu Kricito, akwar Daudi, akwar Iburaim. 
ACT.13.39	Pire, jo luŋ ame oye doŋ okwanogi ni kitegi atira, kun okwanyo i komgi bal ducu ame mom otwero kwanyo i komgi pi cik a Muca. 
ACT.13.40	Gwokere wunu doŋ ba, me kop a nwaŋ odwarpiny okobo kur tun i komwu, ni,
ACT.13.41	Wur wunu, ite rwenyo wunu odoco;
ACT.13.41	pien atye ka tiyo ticcoro i karewu,
ACT.13.41	tic ame mom ibino wunu ye,
ACT.13.41	kadi ŋattoro tittiwu pire.’ ”
ACT.13.42	Kare ame gin doŋ okato oko, lwak te kwayo ni kop man myero dok tittigi i cabit a bino ca. 
ACT.13.43	A doŋ cokere oket oko, Ojudaya apol kede jo olokere i dini Ojudaya ame woro Obaŋa rik te lubo Paulo gin kede Baranaba; gin rik te bedo kop kedgi kun oeukuro cunygi me medde bedo i kica Obaŋa.
ACT.13.44	Eka i ceŋ me aryo mere, jo me boma luŋ obuco cokere karacel pi winyo kop Obaŋa. 
ACT.13.45	Cite Ojudaya ka oneno lwak apol, nyeko te makogi atek, ote pyem i Paulo kun oyete ayeta. 
ACT.13.46	Paulo kede Baranaba te kop i tekcuny ni, “Onwoŋo myero yam koŋ oge rabbiwu kop Obaŋa. Ento kit ame wun giwu ibolo wunu oko teŋe, kun mom itamo wunu ni iromo wunu nwoŋo kwo a perakino nakanaka, wan doŋ olokere giwa baŋ Orok. 
ACT.13.47	Pien Rwot ocikowa ni:
ACT.13.47	‘An doŋ aketi me bedo cen baŋ Orok,
ACT.13.47	me imi yo me larre otun i agikki wi podo luŋ.’ ”
ACT.13.48	Ka Orok owinyo, oyomoro yigi atek, ote keto kwogo i kop Obaŋa. Jo luŋ a nwaŋ oyero pi kwo a perakino nakana ka te doko jo oye Yecu. 
ACT.13.49	Kop a Rwot rik te lal i lobo-nono luŋ. 
ACT.13.50	Ojudaya rik te cupo monnogo a ŋeye, a woro Obaŋa, kede odoŋe me boma-nono; gin rik te tugo jo me wuno Paulo gin kede Baranaba, eka ote ryemogi oko i bomagi. 
ACT.13.51	Paulo-gi te teŋo apua me tyengi i komgi, ote wot gigi i Ikonio. 
ACT.13.52	Olub Yecu rik te lelo, Cuny Acil te poŋ i yigi.
ACT.14.1	I boma me Ikonio daŋ dok te timere i kite acellono. Paulo kede Baranaba owoto i kacokere Ojudaya, ote kop iye i yore ame te miyo lwak jo ecipan, Ojudaya kede jo Grik, te ye Yecu. 
ACT.14.2	Cite Ojudaya a mom oye rik te tugo Orok kun oketo tam areco i cunygi i kom omego. 
ACT.14.3	Rik gin te ri kuno pi kare alac, kun orabo kop i kom Rwot i tekcuny, Rwot daŋ te bedo caden me kop i kom kica mere, kun miogi teko me tiyo anyuttogo kede taŋo. 
ACT.14.4	Jo me bomanono te pokere oko; mogo odok baŋ Ojudaya, eka mogo te dok baŋ okwena. 
ACT.14.5	Orok kede Ojudaya karacel kede olocgi rik te mito timogi arac kun omito napogi i gweŋ, 
ACT.14.6	ento okwena ka oŋeo, te riŋo gigi oko i Licitra kede Derube, ame gin boma me Likaonia, kede i lobo omano kannono. 
ACT.14.7	Gin daŋ te rabo amut aber kuno.
ACT.14.8	I Licitra rik onwoŋo tye iye lo moro ame bedo abeda, kun mom twero wot i tyene; en onwoŋo oŋwalo con i yi tottere, daŋ onwoŋo mom ru owoto kadi acelloro. 
ACT.14.9	En onwoŋo rik tye awinyo kop ame Paulo tye arabo. Paulo te nene atek ateka; ka oneno ni en tye kede iyee me caŋ, 
ACT.14.10	okobbe i dwon aloŋo ni, “Ya icuŋ atira kede tyeni.” En oputte malo iwic, te cako wot oko. 
ACT.14.11	Lwak ka oneno gin ame Paulo otio, gin owo i dwon aloŋo kun okobo i leb jo Likaonia ni, “Obaŋa mogo doŋ ociro piny baŋwa, kun ocalli jo!” 
ACT.14.12	Baranaba gin te lwoŋo ni, Jeuc, eka Paulo gin te lwoŋo ni, Kermec, pien Paulo en a rik onwoŋo obedo kop. 
ACT.14.13	Alamdog a Jeuc, ame ot jokkere onwoŋo tye i nyim boma-nono, te kelo twoni i dogcel ame odolo tigo ature i ŋutgi, kun en karacel kede lwak onwoŋo amito ŋologi me yalo Caulo-gi. 
ACT.14.14	Cite ka okwena Baranaba kede Paulo owinyo pire, gin oyeyeco boŋŋigi, ote mwomere i dye lwak kun okobo ni, 
ACT.14.15	“Jo-ni, kara Ŋo omio itimo wunu kittono? Wan, daŋ obedo dano adana, ame rom aroma kedwu. Wan orabbiwu amut aber me iya wunu oko i gigi mogo a tere mom, ilokere wunu baŋ Obaŋa akwo a rik otio polo kede lobo kede nam kede jami luŋ a tye iye. 
ACT.14.16	Rik i kare acon en oweko rok luŋ owoto gigi i yogi ata; 
ACT.14.17	kadi amanno, en rik mom oweko dano aboŋo cadennoro a nyute baŋwu. Pien en rik obedo tiyo gin aber, omiowu kot ame oya i polo, kede kare me ceko cam, daŋ omio iyen wunu i cem kede yiwu daŋ opoŋo kede lelo.” 
ACT.14.18	Kadi gin okobo kop man, mom obedo yottigi me geŋo lwak ŋolo twoni me yalogi.
ACT.14.19	Ento Ojudaya mogo te bino ame oya i Antiokia kede i Ikonio; gin ocupo lwak te napo Paulo kede gweŋ, ote waye tere i ne boma kun otamo ni en doŋ oto oko. 
ACT.14.20	Ento jo a lubo Yecu te cokere guro Paulo dyere, en te ya malo, te dok gire i boma. Orwo mere Paulo te wot gin i Baranaba i Derube. 
ACT.14.21	Eka gin te rabo amut aber i boma-nono, te miyo jo apol lokere doko jo a lubo Yecu; gin gigi doŋ te dok oko i Licitra, lkonio kede Antiokia. 
ACT.14.22	Gin odio cuny jo a lubo Yecu, kun ocukoro cunygi me medde bedo iyi iyee man, kun okobbigi ni, “Myero ocor wunu can apol pi donyo i loc Obaŋa.” 
ACT.14.23	Ame gin doŋ otyeko yero odoŋe pi lwak jo oye Yecu i kabedo acel acel, gin te miyo jo-nono i ciŋ Rwot Yecu ame gin geno, kun koŋ ogeo kwayo Obaŋa kede kanyo kec.
ACT.14.24	Gin obeo i Picidia, ote bino i Pampulia. 
ACT.14.25	A doŋ gin otyeko rabo kop i Perga, owoto i Attalia. 
ACT.14.26	Gin te kwaŋo nam i kannono, ote tuno i Antiokia, kan ame rik okwayigi iye winyo Obaŋa pi tic ame rik gin doŋ otyeko cobo.
ACT.14.27	Kare ame gin doŋ otuno, gin te coko lwak jo oye Kricito karacel, ote tittigi ginnoro luŋ ame Obaŋa otio karacel kedgi, dok ni en doŋ oyabbi Orok doggola me iyee. 
ACT.14.28	Gin rik te bedo i jo a lubo Yecu pi kare alalac.
ACT.15.2	Pwony man rik te miyo tam pokere oko, Paulo kede, Baranaba te pyem i jo-nono atek, omio ote yiko ni Paulo kede Baranaba karacel kede jo mogo i akinagi myero wot i Jerucalem baŋ okwena kede odoŋe, me niaŋ kop i kom pyem man. 
ACT.15.3	Lwak jo oye Kricito rik te lwokogi i wotgi-nono, gin rik ote beo i Poinike kede i Camaria kun otitti jo kit ame Orok olokere kede me lubo Yecu; omio omego luŋ olelo meicel. 
ACT.15.4	Ame gin doŋ otuno i Jerucalem lwak jo oye Kricito, kede okwena, kede odoŋe te jologi aber, gin daŋ ote tittigi gin ducu ame Obaŋa omiogi otio. 
ACT.15.5	Cite jo mogo oye Yecu, ame onwoŋo me dul Oparicayo, te ya malo, kobo ni, “Orok gire myero lir, dok daŋ cikgi me gwoko cik a Muca.”
ACT.15.6	Okwena kede odoŋe te cokere karacel me laro kop man. 
ACT.15.7	A doŋ gin olaro pi kare alac, Petero te ya malo, te kobbigi ni, “Omegona, wun iŋeo wunu ni i kare acon Obaŋa rik obin oyera i akinawu, me ami Orok winy amut aber, ote ye. 
ACT.15.8	Dok daŋ Obaŋa ame ŋeo cuny jo obedo cadengi kun miogi Cuny Acil a rom i en a rik omiowa. 
ACT.15.9	En gire mom oketo apokapoka moro i akinawa kede gin, ento olonyo cunygi daŋ pi iyee. 
ACT.15.10	Kara piŋo wun itemo wunu Obaŋa kun iyimo wunu lodi apek i ŋut jo a lubo Yecu, ame kadi kwariwa onyo wan mom oromo yeyo? 
ACT.15.11	Wan giwa doŋ kwariwa onyo wan mom oromo yeyo? Wan giwa doŋ oye ni wan karacel kede gin, wan ducu obino larre pi kica a Rwot Yecu.”
ACT.15.12	Jo luŋ i cokere te koŋ liŋ mot; ote winyo kop a Baranaba kede Paulo kun oporo pi anyuttogo kede taŋo ame Obaŋa omiogi teko me tiyo i akina Orok. 
ACT.15.13	Ame gin doŋ otyeko kop, Yakobo te gamo ni, “Omegona, koŋ iwinya wunu. 
ACT.15.14	Cimeon doŋ otyeko tittiwa kite ame Obaŋa ogeo limo kede Orok kun kwanyo lwak jo iyi akinagi me bed jo mere. 
ACT.15.15	Man gire orwatte arwata kede kop odwarpiny a rik ocoo ni,
ACT.15.16	abino dok gero kabedo a Daudi a rik orette oko;
ACT.15.16	abino dok gero i wi oburrere, abino dok tiŋo malo,
ACT.15.17	me jo odoŋ mo Rwot,
ACT.15.17	kede rok ducu ame odoko jo mere,
ACT.15.18	Man kop a Rwot, ame omio kop magi oŋeye geye i kare acon.’
ACT.15.19	En omio an aŋolo ni pe myero wan ocanu Orok ame lokere baŋ Obaŋa, 
ACT.15.20	ento myero wan ocoyigi waraga, otittigi kur ocam ginnoro me kwer ame otyeko yalli cal jogi, owek daŋ timmogo me coco, kede camo ginnoro ame odeo adea, dok daŋ kur ocam remo. 
ACT.15.21	Pien cakere i kare acon Muca daŋ rik tye kede jo a rabo pire i boma luŋ; bukkere pwod okwano cabit i cabit i kacokere.”
ACT.15.22	Eka okwena kede odoŋe, karacel kede lwak jo oye Kricito luŋ, rik te moko ni myero yer jo mogo iyi akinagi, cwagi Antiokia karacel i Paulo kede Baranaba. Gin te yero Juda ame olwoŋo ni Barcaba gin kede Cira, ame onwoŋo gin rik jo adoŋo i akina omego, 
ACT.15.23	ote miyo jo-nono waraga ame ocoo aman: “Baŋ omegowa ame obedo Orok a tye i Antiokia, Curia kede Kilikia, Wan okwena kede odoŋe ame wan omegowu, omotowu. 
ACT.15.24	Doŋ otyeko winyo ni tye jo mogo ame oya i baŋwa kan, ame tye ka poto cunywu i koppogo a rubo tamwu, aco kun wan mom ocikogi kadi acelloro. 
ACT.15.25	Mano omio wan omoko i cuny acel me yero jo cwayo baŋwu kun obino karacel i dyerewa Baranaba kede Paulo, 
ACT.15.26	ame gin jo a doŋ otyeko jalo kwogi pi nyiŋ Rwotwa Yecu Kricito. 
ACT.15.27	En omio daŋ ocwao Juda gin i Cira; gin ikomgi bino porriwu kite kop acellono i dog. 
ACT.15.28	Pien Cuny Acil kede wan doŋ omoko ni myero mom yim yeccoro apek i komwu, kono ka kop magi a pirgi tek: 
ACT.15.29	kwer wunu ginnoro ducu ame oyalli cal jogi, kede remo, kede gin ame odeo adea, wek wunu daŋ timmogo me coco. Maginono en ame ka igwokere wunu iye, nwoŋo itimo wunu ber. Doŋ ibedu giwu.”
ACT.15.30	Kare ame doŋ ocikogi oko, gin te wot i Antiokia, ote coko lwak karacel, ote miyogi waraga. 
ACT.15.31	Ka gin okwano, gin olelo pi cuko cunygi. 
ACT.15.32	Eka Juda kede Cira, ame onwoŋo rik gin odwarpiny, te daŋ cuko cuny omego kede kop apol, ame meddigi teko. 
ACT.15.33	Gin rik te koŋ bedo kuno pi kare anonokkoro, eka omego te cikogi kede kuc i dokgi baŋ jo a nwaŋ ocwaogi. [
ACT.15.34	Ento Cira te tamo ni kono gire en edoŋ kuno.]
ACT.15.35	Paulo kede Baranaba te doŋ i Antiokia. Gin te bedo pwony kede rabo kop a Rwot kuno karacel kede jo ocele apol.
ACT.15.36	Ame kare doŋ okato alalac, Paulo te kobbi Baranaba ni, “Odok koŋ cen i boma ducu ame rik wan orabo iye kop a Rwot, me owot olim omegowa, onen kit ame gin tye kede.” 
ACT.15.37	Baranaba rik te tamo ni kono otero Lakana ame olwoŋo daŋ ni Marako owoto kedgi. 
ACT.15.38	Ento Paulo te tamo ni mom ber me tero dano a yam koŋ olwi owekogi oko i Pampulia, kun mom owoto kedgi i tic. 
ACT.15.39	Kop-pi te miyogi pyem atek ateka, te miyo ŋat acel acel pokere oko awottere. Baranaba te tero Marako, kwaŋ wot kede naka i Kupuru; 
ACT.15.40	Paulo te yero mere Cira, te wot kede, kun omego koŋ okwayigi winyo a Rwot. 
ACT.15.41	En te beo i Curia kede i Kilikia kun omio teko baŋ lwak oye Kricito luŋ.
ACT.16.1	Paulo te wot tuno i Derube kede i Licitra. Kuno onwoŋo tye iye alub Yecu moro a nyiŋe Temoteo, wot a dako moro ame Ajudaya oye Rwot, ento pappere rik gire dano me Grik. 
ACT.16.2	Omego me Licitra kede Ikonio rik pwoo lonnono. 
ACT.16.3	Paulo rik te mito ni en wot kede; eka te tere wot lire, pien Ojudaya a rik tye i kabedo-nono, rik gin luŋ ŋeo ni pappere obedo dano me Grik. 
ACT.16.4	Kare ame gin tye abe bea i boma apapat, gin omio baŋ jo cik me agwoka ame rik okwena kede odoŋe oyiko i Jerucalem. 
ACT.16.5	Mano omio lwak jo oye Kricito me kabedo apapat medde atek i iyeegi, kun daŋ wel jo medde didik.
ACT.16.6	Gin rik te bel i lobo me Purugia kede Galatia, pien Cuny Acil onwoŋo ogenogi oko ni kur orab kop Obaŋa i Acia. 
ACT.16.7	A doŋ gin otuno i waŋ apokki me Mucia, ote tamo ni kono owoto i Bitunia, cite Cuny a Yecu mom te yegi beo. 
ACT.16.8	Gin doŋ te beo i dye Mucia, wot piny i Teroa. 
ACT.16.9	Ginanyuta te nen baŋ Paulo dyewor, kun lonnoro me Makedonia abako doge, alwoŋe ni, “Kwaŋ nam idokoro i Makedonia, ikonywa.” 
ACT.16.10	Ka en doŋ oneno gin ame onyutte, wan doŋ ote yenyo yo oyotoyot me wot i Makedonia, pien onwoŋo doŋ oniaŋ aber ni Obaŋa doŋ olwoŋowa me wot rabo amut aber baŋgi.
ACT.16.11	En omio wan ote kwaŋ oko kun oya i Teroa, ote kwaŋ atira naka i Camoturake, orwo mere ote tuno Neapoli. 
ACT.16.12	Oya i kuno ote wot i Pilipi, ame en boma me agege me lobo Makedonia, dok daŋ en kan ame jo Roma bedo iye kun olubo cik me Roma. Obedo i boma-nono pi kare alalac. 
ACT.16.13	I cen me cabit ote donyo oko i dogcel wot i dog kulo, kan ame onwoŋo otamo ni tye iye kabedo me kwayo Obaŋa. Eka ote bedo piny kuno, ote kop i monnogo ame onwoŋo ocokere karacel. 
ACT.16.14	Dako ame olwoŋo ni Ludia, ame onwoŋo oya i paco me Tuatira, en ame obedo winyo kopwa. Dako-nono onwoŋo acat boŋŋi obedo amaramar, daŋ rik en awor Obaŋa. Rwot oyabo cunye, en te bedo keto cunye i kom gin a Paulo akobo. 
ACT.16.15	Ka en otyeko batija karacel kede jo i ode, obako doge baŋwa kun kobo ni, “Ka ityeko moko wunu ni an aye Rwot ateteni, biye ibed wunu i oda,” En odiowa atek, te miyowa wot kede.
ACT.16.16	Ame gin rik otye owot i ka kwayo Obaŋa, gin te rwatte kede nyannoro ame onwoŋo opii, ame jokkere rik tucce kop. Nyannono onwoŋo kelli odoŋe mere lim abup pi tyettere. 
ACT.16.17	En olubowa wan i Paulo kun redo ni, “Jo man obedo omiro Obaŋa Amalo Meicel. Gin arabbiwu yo me larre.” 
ACT.16.18	Nyan-nu obedo timere amanno pi nino apol, omio Paulo oŋo, te lokere kobbijok ni, “Aciki i nyiŋ Yecu Kricito, ya oko i kome.” Daŋ te ya oko i caanono cuto.
ACT.16.19	Odoŋe mere ka oneno ni gengi me nwoŋo Iim otum oko, gin te mako Paulo kede Cira, ote wayogi terogi i cuk baŋ oloc. 
ACT.16.20	A doŋ gin okelogi i nyim oŋolkop, ote piddigi ni, “Jo-ni tye ka rurubo boma wa-ni; aco kono gin Ojudaya. 
ACT.16.21	Gin okelo kitgi mogo ame cik mom ye ni wan omak onyo oti kede, pien wan giwa ojo Roma.” 
ACT.16.22	Lwak te twarre malo, oŋolkop te yeyeco boŋŋigi oko, ote ciko ni myero pwod jo-nono kede abiro. 
ACT.16.23	A doŋ otyeko pwodo dudgi atek, ote ketogi i buc, ote daŋ ciko agwok obuc ni gwokgi aber. 
ACT.16.24	Agwok obuc te cwalogi i ot buc tyelo, te goyo kol i tyengi oko.
ACT.16.25	I dye idiŋ Paulo kede Cira onwoŋo tye akwayo Obaŋa kun daŋ owero wer me pako Obaŋa, ame obuc daŋ awinyo. 
ACT.16.26	Twon oyeŋo moro te yeyeŋo piny atek meicel cucuttono, te ot buc daŋ oyenere; doggola luŋ me ot buc te yabere oko, nyony otweo obuc daŋ te gony oko. 
ACT.16.27	Ka agwok obuc oco, oneno doggola me buc luŋ tye twolo; en te woto pala battere me nekere kene, pien onwoŋo otamo ni obuc doŋ olwi oko. 
ACT.16.28	Ento Paulo te redo kede dwon aloŋo ni, “Kur iwanne keni, pien wan luŋ otye giwa kan.” 
ACT.16.29	Agwok obuc te lwoŋo mac, omwomere i ot, te wot ryebere piny i nyim Paulo gin i Cira kun kome tye amyel amyela pi lworo. 
ACT.16.30	En te kelogi oko, penyogi ni, “Odoŋena, kara atim ŋo me alarre?”
ACT.16.31	Paulogi te kobbe ni, “Ye Rwot Yecu, ibino larre, yin karacel kede jo i odi luŋ.” 
ACT.16.32	Eka ote rabbe kop i kom Rwot, en kede jo ame bedo i ode luŋ. 
ACT.16.33	En rik te tero jo-nono i caa-naca cuto i dyeworraca, te wot mado waŋ kan owawano i komgi. Eka en karacel kede jo me ode ducu ote batija oko cuto. 
ACT.16.34	Icennere en te terogi i ode, te miyogi cem, kun olelo gin kede jo i ode luŋ, pien en doŋoye Obaŋa.
ACT.16.35	A doŋ piny oru, oŋolkop te cwayo cirikale kun okobo ni, “Gony doŋjo-nono oko.” 
ACT.16.36	Agwok obuc te tero koppono baŋ Paulo kun kobo ni, “Oŋolkop ocwao kop ni gonywu oko. Doŋ pi manno, donnyo wunu oko me iwot giwu i kuc.” 
ACT.16.37	Cite Paulo te kobbigi ni, “Wan opwodowa i nyim lwak kannaler aboŋo ŋolliwa kop a kungu wan Oroma! Gin ocwaowa-gu i buc. Aman doŋgin omito cwayowa oko i muŋ? Mom gire Myero gin ikomgi obin ogonywa.” 
ACT.16.38	Cirikale te dwoko koppono baŋ oŋolkop. Gin ka owinyo ni jo-nono kara onwoŋo obedo jo Roma, lworo omakogi atek. 
ACT.16.39	Gin te bino bako doggi baŋgi; i kare ame doŋogonyogi odonyo oko, ote kwayogi me ya oko i bomanono. 
ACT.16.40	Gin doŋ te ya wot tuŋ a Ludia; gin ka otyeko neno omego, kun ocuko daŋ cunygi, ote wot gigi oko.
ACT.17.1	Gin obeo Ampipoli kede Apolonia, ote tuno naka i Tecalonika, en kan ame onwoŋo kacokere Ojudaya tye iye. 
ACT.17.2	Acalo kit a Paulo me kare luŋ, en owoto te donyo i kacokere, te laro kedgi kop oya i coc a yam ocoo pi cabit adek, 
ACT.17.3	kun en gonyo tere me nyuto ni Kricito myero to te cer oko i akina a jo oto, dok te kobo ni, “Yecu ame an arabbiwu kop i kome-nono, en Kricito.” 
ACT.17.4	Jo mogo i akinagi te ye koppere, ote ribere i kom Paulo kede Cira, kede jo apol daŋ i akina jo Grik a woro Obaŋa, anaka mon adoŋo apopol. 
ACT.17.5	Ento nyeko te mako Ojudaya, gin te tero jo mogo areco ame tio i cuk, eka jo-nono te kelo woo adwoŋ i boma. Gin te guro ot a Yacon kun oyenyo Paulo kede Cira me otergi i nyim lwak. 
ACT.17.6	A doŋoyenyogi kwe, ote wayo Yacon kede omego mogo terogi i nyim wegi twer me paco-nono, kun oredo ni, “Jo ame aman doŋtye aloko wi podo luŋ oluktuke, otuno doŋanaka kan daŋ, Yacon te gamogi i ode. 
ACT.17.7	Ginjo-nono otyeobalo cik a Kaicari oko, kun okobo ni tye dok abaka moro ocele ame olwoŋo ni Yecu.” 
ACT.17.8	Kopgi-nono te tugo lwak kede wegi twer me paco-nono i kare ame gin doŋowinyo. 
ACT.17.9	Wegi twer te miyo Yacon kede jo ocele jeŋo lim, ote gonyogi.
ACT.17.10	Oyotoyot omego te cwayo Paulo kede Cira dyewor i Berea. Gin ka otuno kuno, ote wot i kacokere Ojudaya. 
ACT.17.11	Ojudaya-naca rik tamgi beco kato me Tecalonika, pien gin rik obin ogamo kop Obaŋa i cunygi luŋ; nino i nino gin rik te bedo moyo i coc a yam ocoo ka ce kop ame okobo tye kakare. 
ACT.17.12	Jo apol i akinagi te lokere doko jo oye Yecu, karacel kede monnogo apopol a ŋeye, anaka co daŋ ame gin jo Grik. 
ACT.17.13	Ka Ojudaya me Tecalonika oniaŋ ni Paulo tye a rabo kop Obaŋa i Berea daŋ, gin daŋ te wot kuno, ote bedo tutugo kede rurubo lwak. 
ACT.17.14	Oyotoyot omego te cwayo Paulo oko i dog nam, ento Cira kede Temoteo te doŋ kuno. 
ACT.17.15	Jo ame olwoko Paulo otuno kede naka i Atene; Paulo te cikogi baŋ Cira kede Temoteo ni myero gin bino baŋe oyot acalo twerre, jo-nono te dok gigi.
ACT.17.16	Ame Paulo pwod tye akurogi i Atene, cunye owaŋ atek ka oneno boma-nono ducu opoŋ i cal jogi. 
ACT.17.17	Omio en te bedo laro kop i kacokere kede Ojudaya kede jo a woro Obaŋa, dok daŋ piny a ru rik te bedo laro kop i cuk kedejo a tye kuno. 
ACT.17.18	Jo mogo a gin oryeko me eryoŋet a jo Epikuria kede jo Citoiki daŋ okobo kede, eka jo mogo te kobo ni, “Lon akobo kop miŋomiŋoni ka ŋit akobo ŋo?” Jo ocele akobo ni, “En nen bala arabkop i kom Yecu kede i kom cerrere.” 
ACT.17.19	Jo-nono te make, tere i wi kidi me Areopago kun openye ni, “Itwero niaŋowa i kom pwony anyen ame ikelo-nie? 
ACT.17.20	Pien ikelliwa gigi mogo apat apata ame owinyo; wan doŋ omito ŋeyo ginnono.” 
ACT.17.21	Pien jo me Atene luŋ aluŋa, kede wele ame bedo iye, otyeko karegi i kobo onyo i winyo gigi mogo anyen keken.
ACT.17.22	Paulo te cuŋ i dye kidi me Areopago, te kobo ni, “Wun jo Atene, an doŋaneno ni, wun iketo wunu cunywu i woro obaŋa apapat i yore luŋ aluŋa. 
ACT.17.23	Pien ka abedo be bea kun aneno gin ame iworo wunu, anwoŋo keno me lam ame ocoo kome ni, ‘Me Obaŋa a mom oŋeo.’ Doŋ gin ame iworo wunu a mom iŋeo wunu-nono, en ame an arabo pire baŋwu. 
ACT.17.24	Obaŋa ame oketo wi podo luŋ kede jami a tye iye ducu, en ame obedo Rwot a bwoo polo kede lobo, en mom bedo i ot ame jo ogero i ciŋgi. 
ACT.17.25	Daŋ jo gire mom twero tiye kede ciŋgi, bala en mito ginnoro; pien en ikome ame mio baŋ jo luŋ kwo kede weo kede jami Iuŋ. 
ACT.17.26	En daŋ oketo jo luŋ a rokgi papat ame tye i wi podo kun gin ducu oya i kom dano acel. En onwoŋo omoko karegi oko coŋ kede waŋ kio me kabedogi, 
ACT.17.27	me gin omo Obaŋa, kun ogenoni atot ya obino boboŋo ote nwoŋe. Aco kono Obaŋa gire mom tye bor i ŋattoro. 
ACT.17.28	Pien
ACT.17.28	‘Wan okwo i en, olelea i en, obedo tye daŋ i en’;
ACT.17.28	Dok tye acalo oco werwu mogo okobo,
ACT.17.28	‘Pien wan daŋ wan ikwae mere.’
ACT.17.29	Doŋ ka wan obedo ikwae Obaŋa, pe myero opar ni kite Obaŋa calli jabu, onyo ryal, onyo gweŋ, ame gin jami ame opao pi diro kede tam a dano. 
ACT.17.30	I kare ame jo pwod kwia piny Obaŋa obedo bala mom oneno, ento amanni en doŋciko jo luŋ me ŋut. 
ACT.17.31	Pien en doŋotyeko moko oko nino ame en bino ŋolli lobo kop atira, a kun dano ame en oyero en a bino ŋolo. En daŋ doŋomoko kop man oko baŋ jo luŋ i cero Yecu i akina a jo oto.”
ACT.17.32	Ka gin owinyo pi cer a jo oto, jo mogo onyero anyera, cite jo ocele okobo ni, “Dok obino medo winyo kop man baŋi i nino ocele.” 
ACT.17.33	Paulo gire doŋte ya wot oko i akinagi. 
ACT.17.34	Ento jo mogo onotte kede ote lokere doko jo oye Yecu; i kin jo-nono onwoŋo tye iye Dionecio ame en dano a bedo i okiko me Areopago, kede dako moro ame nyiŋe Damari, karacel i jo ocele mere daŋ.
ACT.18.1	Icennere Paulo te ya oko i Atene wot i Korinti. 
ACT.18.2	En te nwoŋo Ajudaya moro kuno a nyiŋe Akwila, ame onwoŋo dano me Ponto. Dano-nono onwoŋo rik pwod obino abina kun oya i Itali gin i dako mere Puricikula, pien onwoŋo Kulaudio ociko ni Ojudaya luŋ myero ya oko i Roma. Paulo owoto baŋgi, 
ACT.18.3	te bedo baŋgi, pien dirogi me tic rik kwone acel; gin ducu rik okwo kema. 
ACT.18.4	Paulo rik te bedo laro kop i kacokere cabit i cabit, kun temo wa yo tam Ojudaya kede mea jo Grik.
ACT.18.5	Kare ame Cira kede Temoteo doŋ otuno kun oya i Makedonia, Paulo te miyo kare mere luŋ i rabo kop Obaŋa, kun mio caden baŋ Ojudaya ni, Yecu gire en Kricito. 
ACT.18.6	Ka gin opyem kede kun oyete daŋ, en otennigi rukkere kun kobbigi ni, “Remowu bed i wiwu! An balloro gira mom baŋa. Cakere tin an gira doŋ abino wot baŋ Orok.” 
ACT.18.7	En te ya i kannaca oko, te wot i paco a lo moro a nyiŋe Titio Yucito; en rik onwoŋo dano a woro Obaŋa, ode ceŋ ceggi kede kacokere. 
ACT.18.8	Kricipo, adwoŋ me kacokere, te lokere doko ŋat oye Rwot, karacel i jo me ode luŋ; jo Korinti apol daŋ ka owinyo, oye Yecu ote batijagi.
ACT.18.9	I dyeworrono, Rwot te kobbi Paulo i ginanyuta ni, “Kur ilwor; yin kobbi, kur iliŋ; 
ACT.18.10	pien an atye kedi. Dano moro mom gire bino timi i ginnoro arac, pien jo mera pol i boma man.” 
ACT.18.11	En te bedo kuno mwaka acel kede dwete abicel kun pwonyo kop Obaŋa i akinagi.
ACT.18.12	I kare ame Galio loo Akaya, Ojudaya luŋ obin oputte i kom Paulo i cuny acel, ote tere i ka ŋolo kop, 
ACT.18.13	kun okobo ni, “Dano-ni tye abito jo me woro Obaŋa i yore ame cik mom mito.” 
ACT.18.14	A doŋ Paulo cok yabo doge me kop, Galio te kobbi Ojudaya ni, “Wun Ojudaya, kono woki obedo kopporo me tim arac onyo me turo cik i yo arac, kono adio cunya me winyo kopwu, mano ŋeye kene. 
ACT.18.15	Aco ka kop i kom nyiŋ kop kede nyiŋ jo kede kop i kom eikwu-ni, wun nenu giwu keŋwu; an adag gira bedo aŋolkop me kodi koppono.” 
ACT.18.16	En te ryemogi oko ika ŋolo kop. 
ACT.18.17	Gin ote mako Cocitene, adwoŋ me kacokere, ote pwode inyim kom me ŋolo kop; ento Galio gire mom oparo kadi acelloro.
ACT.18.19	A doŋ gin otuno i Epeco, Paulo te wekogi kuno, en te wot gire laro kop Ojudaya i kacokere. 
ACT.18.20	Ka gin okwae ni koŋ dikere baŋgi pi kare alalaccoro, en mom oye. 
ACT.18.21	Ame en doŋ ocikogi, okobo ni, “Abino dwogo baŋwu ka Obaŋa oye.” Eka en te kwaŋo nam kun ya i Epeco.
ACT.18.22	Ka gin otuno i wi tela me Kaicaria, gin te wot moto lwak jo oye Kricito, eka ote wot i Antiokia. 
ACT.18.23	A doŋ otyeko kare moro kuno, en te ya oko, te bebea i kabedo acel acel i lobo me Galatia kede Purugia, kun mio teko baŋ jo luŋ a lubo Yecu.
