GEN.1.1	Ne waro Õꞌacʉ̃ ʉꞌmʉse, tojo nicã diꞌtare bajurẽcʉ niwĩ. 
LUK.10.1	Beꞌro Jesú setenta y dos ãpẽrã ʉmʉarẽ pijinemocʉ niwĩ. Narẽ pʉarẽrã diaꞌcʉ̃ nipeꞌtise cʉ̃ waꞌatje macãrĩpʉ cʉ̃ dʉporo oꞌóyucʉ niwĩ.
LUK.10.2	Narẽ aꞌtiro nicʉ niwĩ:
LUK.10.2	—Diacjʉ̃ mʉsãrẽ weregʉti. Marĩ otese peje pĩꞌrĩ dʉcatiꞌi. Tere miirã peꞌe marĩbocurema. Tojo weerã mʉsã te otese wiogʉre ãpẽrã miitamudutirã sẽrĩnemoña, nicʉ niwĩ. Aꞌte weronojõ Õꞌacʉ̃ ye quetire masĩsĩꞌrĩrã pãjãrã waro nima. Te quetire wererã peꞌe pejetirãcã nima. Tojo weerã ãpẽrã cʉ̃ oꞌónemocã Õꞌacʉ̃rẽ sẽrĩña. 
LUK.10.3	Mʉsã waꞌaya. Yʉꞌʉ mʉsãrẽ wiose waꞌteropʉ oꞌógʉ weeꞌe. Oveja wĩꞌmarãrẽ yaiwa waꞌteropʉ oꞌógʉ weronojõ oꞌóꞌo. 
LUK.10.4	Mʉsã waꞌarã, ajuri miaticãꞌña. Niyeru sãarĩ ajuro quẽꞌrãrẽ miaticãꞌña. Sapatu ape paꞌa miaticãꞌña. Maꞌapʉ waꞌarã, ãpẽrãrẽ añudutirã, yoacã ucũticãꞌña. Diacjʉ̃ waꞌaya. 
LUK.10.5	Mʉsã wiꞌipʉ sãjãarã, ti wiꞌicjãrãrẽ añudutirã, aꞌtiro nimʉꞌtãña: “Mʉsã aꞌti wiꞌicjãrãrẽ añurõ waꞌato”, niña. 
LUK.10.6	Ti wiꞌicjãrã cumuca marĩrõ nicã, mʉsã añudutise “Añurõ waꞌato” nise na ye tojarosaꞌa. Tojo niticãma, mʉsã tojo nise mʉsãrẽta tojarosaꞌa tja. 
LUK.10.7	Mʉsã niꞌcã wiꞌipʉ ejarã, ti wiꞌipʉta tojayá. Na baꞌasenojõrẽ, na sĩꞌrĩsenojõrẽ, mʉsã quẽꞌrã baꞌasirutuya. Daꞌrari masã na daꞌrase wapa wapataꞌabaꞌamasĩma. Tojo weerã mʉsã buꞌerã waꞌacã, mʉsãrẽ baꞌase weetamurãsama. Apeye wiꞌseripʉ waꞌamʉjã, cãrĩbajaqueꞌatiticãꞌña. 
LUK.10.8	Mʉsã niꞌcã macãpʉ etacã, ti macãcjãrã añurõ ñeꞌemeꞌrĩcã, noꞌo na ecasere baꞌaya. 
LUK.10.9	Ti macãpʉ dutitirãrẽ yʉꞌrʉoya. Narẽ aꞌtiro wereya: “Õꞌacʉ̃ cʉ̃ wiogʉ nise mʉsã tiropʉ aꞌtiatje cãꞌrõ dʉꞌsaꞌa.” 
LUK.10.10	Niꞌcã macãpʉ mʉsã etacã, tocjãrã añurõ põtẽrĩticãma, macã decopʉ waꞌaya. Aꞌtiro niña: 
LUK.10.11	“Aꞌti macã cjase ʉ̃sã dʉꞌpocãrĩpʉ diꞌta wãꞌaꞌquepʉreta paastecõꞌarãti. Aꞌti macãcjãrã buꞌiritisere ĩꞌorã, tojo weerãti”, niña. Narẽ aꞌtiro ninemoña. “Mʉsã aꞌtere masĩña. Õꞌacʉ̃ cʉ̃ wiogʉ nise mʉsã tiropʉ aꞌtiatje cãꞌrõ dʉꞌsaꞌa”, niña. 
LUK.10.12	Jesú aꞌtiro ninemocʉ niwĩ:
LUK.10.12	—Mʉsãrẽ weregʉti. Õꞌacʉ̃ masãrẽ beseatji nʉmʉ nicã, ti macãcjãrã mʉsãrẽ ʉatiꞌcãrãrẽ aꞌtiro weegʉsami. Sodomacjãrãrẽ buꞌiri daꞌreꞌcaro nemorõ daꞌrenoꞌrãsama, nicʉ niwĩ Jesú.
LUK.10.13	Beꞌro Jesú apeye macãrĩcjãrãrẽ aꞌtiro nicʉ niwĩ:
LUK.10.13	—Mʉsã Corazĩ́, tojo nicã Betsaida wãmetise macãrĩcjãrãrẽ ñaꞌabutiaro waꞌarosaꞌa mʉsãrẽ. Yʉꞌʉ weeĩꞌoꞌquere ĩꞌamirã, dʉcayuweꞌe. Yʉꞌʉ ãpẽrã judío masã nitirã nirõpʉ Tiro, Sidṍ wãmetise macãrĩpʉ weeĩꞌocãma, dʉporopʉ na ñaꞌarõ weeꞌquere bʉjaweti dʉcayutojabopã. Na bʉjawetisere ĩꞌorã, na weewʉaronojõpʉma suꞌti wãquĩsenojõrẽ sãña, nujãrẽ na dʉpoapʉ ṍrẽ́stepeobopã. 
LUK.10.14	Õꞌacʉ̃ masãrẽ beseatji nʉmʉ nicã, Tiro, Sidṍcjãrã nemorõ mʉsã peꞌere buꞌiri daꞌreyʉꞌrʉnʉꞌcãgʉ̃sami. 
LUK.10.15	Niꞌcãrõacãma Capernaucjãrãrẽ wereꞌe. “Tojowaro ʉꞌmʉsepʉ mʉjãrãti”, ni wãcũticãꞌña. Õꞌacʉ̃ mʉsãrẽ pecameꞌepʉ cõꞌabutiagʉsami, nicʉ niwĩ.
LUK.10.16	Beꞌro cʉ̃ buꞌerãrẽ aꞌtiro werenemocʉ niwĩ:
LUK.10.16	—Mʉsã buꞌesere tʉꞌorã, yʉꞌʉreta tʉꞌoma. Mʉsãrẽ ʉatirã, mejãrõta yʉꞌʉre ʉatima. Tojo yʉꞌʉre ʉatirã, yʉꞌʉre oꞌóꞌcʉpʉ Õꞌacʉ̃ quẽꞌrãrẽ ʉatima, nicʉ niwĩ Jesú.
LUK.10.17	Beꞌro Jesú setenta y dos cʉ̃ oꞌóyuꞌcãrã eꞌcatise meꞌrã tojatacãrã niwã. Aꞌtiro nicãrã niwã:
LUK.10.17	—Ʉ̃sã wiogʉ, wãtĩapʉta mʉꞌʉ dutiro, mʉꞌʉ wãme meꞌrã ʉ̃sã cõꞌawĩrõmʉjãcã, yʉꞌtiama, nicãrã niwã.
LUK.10.18	Jesú narẽ nicʉ niwĩ:
LUK.10.18	—Mʉsã nírõnojõta niꞌi. Wãtĩrẽ ʉꞌmʉsepʉ níꞌcʉ bʉpo yaꞌbaro weronojõ docaqueꞌa dijacã ĩꞌawʉ̃. 
LUK.10.19	Yʉꞌʉ mʉsãrẽ tutuasere oꞌowʉ. Mʉsã añapʉre ʉꞌtapeomicã, cutipapʉre ʉꞌtapeomicã, na cũꞌrĩcã, toacã pũrĩnoꞌtisere oꞌowʉ. Nipeꞌtise wãtĩ cʉ̃ tutuasere docaqueꞌadutigʉ oꞌowʉ. Ne cãꞌrõ mʉsã ñaꞌarõ weenoꞌsome. 
LUK.10.20	“Wãtĩa ʉ̃sãrẽ yʉꞌtiama” nise diaꞌcʉ̃rẽ eꞌcatiticãꞌña. Aꞌte peꞌere eꞌcatiya. Ʉꞌmʉsepʉ Õꞌacʉ̃ yarã catinuꞌcũse cʉorã na wãmerẽ ojaõꞌorĩ turipʉ mʉsã wãmerẽ ojaõꞌocã, eꞌcatiya, nicʉ niwĩ.
LUK.10.21	Jesú cʉ̃ buꞌerãrẽ ucũrĩ cura Espíritu Santu cʉ̃rẽ eꞌcatise oꞌoyʉꞌrʉacʉ niwĩ. Titare cʉ̃ pacʉre aꞌtiro nicʉ niwĩ:
LUK.10.21	—Pacʉ, mʉꞌʉ ʉꞌmʉse, aꞌti turi wiogʉ niꞌi. “Ʉ̃sã masĩyʉꞌrʉnʉꞌcãrã niꞌi” nirãrẽ mʉꞌʉ ye cjasere masĩcã weeticʉ niwʉ̃. Ãpẽrã wĩꞌmarã weronojõ maata tʉꞌo ẽjõpeorã peꞌere tere masĩcã weecʉ niwʉ̃. Mʉꞌʉ tojo weesere wãcũgʉ̃, mʉꞌʉrẽ eꞌcatise oꞌoꞌo. Aꞌtere mʉꞌʉ ʉaꞌcaronojõta queoro weeꞌe, nicʉ niwĩ cʉ̃ pacʉre.
LUK.10.22	Beꞌro masãrẽ ninemocʉ niwĩ tja:
LUK.10.22	—Yʉꞌʉ pacʉ nipeꞌtise weemasĩsere yʉꞌʉre oꞌowĩ. Cʉ̃ niꞌcʉ̃ta yʉꞌʉ nisetisere masĩpeꞌocãꞌsami. Yʉꞌʉ quẽꞌrã niꞌcʉ̃ta cʉ̃ nisetisere masĩpeꞌoꞌo. Noꞌo yʉꞌʉ masĩcã weenoꞌrã quẽꞌrã cʉ̃ nisetisere masĩsama, nicʉ niwĩ Jesú.
LUK.10.23	Beꞌro cʉ̃ buꞌerãrẽ ĩꞌa, na seꞌsarore nicʉ niwĩ:
LUK.10.23	—Yʉꞌʉre mʉsã, mʉsã ye caperi meꞌrã ĩꞌaꞌa. 
LUK.10.24	Mʉsãrẽ aꞌtiro weregʉti. Pãjãrã dʉporocjãrãpʉ Õꞌacʉ̃ ye queti weremʉꞌtãrĩ masã, tojo nicã wiorã mʉsã niꞌcãrõacã ĩꞌasere ĩꞌasĩꞌrĩcãrã nimiwã. Ne ĩꞌaticãrã niwã. Yʉꞌʉ mʉsãrẽ weresere tʉꞌosĩꞌrĩcãrã nimiwã. Ne niꞌcãti tʉꞌoticãrã niwã, nicʉ niwĩ.
LUK.10.25	Beꞌro niꞌcʉ̃ Moisé ojaꞌquere buꞌeri masʉ̃ Jesú cʉ̃ ucũsere tʉꞌogʉ, wãꞌcãnʉꞌcã, Jesú meꞌrã ucũgʉ̃ waꞌacʉ niwĩ. Cʉ̃rẽ mejẽcã yʉꞌticã ʉagʉ, aꞌtiro sẽrĩtiñaꞌcʉ niwĩ:
LUK.10.25	—Masãrẽ buꞌegʉ, yʉꞌʉ Õꞌacʉ̃ meꞌrã catinuꞌcũsĩꞌrĩgʉ̃, ¿deꞌro weegʉsari? nicʉ niwĩ.
LUK.10.26	Jesú cʉ̃rẽ yʉꞌticʉ niwĩ:
LUK.10.26	—¿Moisé ye queti ojáca pũrĩpʉ deꞌro ojanoꞌtito? Mʉꞌʉ tere buꞌégʉ, ¿deꞌro tʉꞌoti? nicʉ niwĩ.
LUK.10.27	Moisé ojaꞌquere buꞌeri masʉ̃ cʉ̃rẽ yʉꞌticʉ niwĩ:
LUK.10.27	—Aꞌtiro ojanoꞌo: “Õꞌacʉ̃ marĩ wiogʉre nipeꞌtise mʉꞌʉ ẽjõpeose meꞌrã, mʉꞌʉ wãcũse meꞌrã, mʉꞌʉ tutuase meꞌrã, mʉꞌʉ tʉꞌoñaꞌse meꞌrã maꞌiña. Mʉꞌʉ basu maꞌirõnojõta ãpẽrãrẽ maꞌirõʉaꞌa”, niꞌi, nicʉ niwĩ.
LUK.10.28	Tere tʉꞌogʉ, Jesú cʉ̃rẽ nicʉ niwĩ:
LUK.10.28	—Mʉꞌʉ queoro waro yʉꞌtiꞌi. Mʉꞌʉ aꞌtere wéégʉ, Õꞌacʉ̃ meꞌrã catinuꞌcũgʉ̃saꞌa, nicʉ niwĩ.
LUK.10.29	Moisé ojaꞌquere buꞌegʉ peꞌe cʉ̃rẽ añurõ wãcũcã ʉagʉ, Jesure aꞌtiro nicʉ niwĩ tja:
LUK.10.29	—¿Noanojõ niti ãpẽrãrẽ maꞌirõʉaꞌa nirãnojõ? nicʉ niwĩ.
LUK.10.30	Jesú cʉ̃rẽ queose meꞌrã yʉꞌticʉ niwĩ:
LUK.10.30	—Niꞌcʉ̃ ʉmʉ Jerusalẽ́cjʉ̃ maꞌa Jericó waꞌari maꞌapʉ buꞌacʉ niwĩ. Topʉ cʉ̃ waꞌari cura yajari masã cʉ̃rẽ ñeꞌe, cʉ̃ cʉosere yajapeꞌocãꞌcãrã niwã. Suꞌti cʉ̃ sãñaꞌquepʉ quẽꞌrãrẽ tuweemiicãꞌcãrã niwã. Cʉ̃rẽ ʉpʉtʉ paawẽjẽcũu, waꞌa waꞌacãrã niwã. 
LUK.10.31	Tojo waꞌari cura niꞌcʉ̃ paꞌi cʉ̃ buꞌaca maꞌapʉta buꞌacʉ niwĩ. Cʉ̃rẽ ĩꞌagʉ̃, ĩꞌatigʉ weronojõ diacjʉ̃ yʉꞌrʉbuꞌa waꞌacʉ niwĩ. 
LUK.10.32	Cʉ̃ beꞌro tja apĩ Leví ya curuacjʉ̃ cʉ̃ cũñarõpʉta cʉ̃ quẽꞌrã ejacʉ niwĩ. Cʉ̃rẽ ĩꞌagʉ̃, cʉ̃ quẽꞌrã ape pãꞌrẽ peꞌe pẽꞌa, ĩꞌayʉꞌrʉbuꞌa waꞌacʉ niwĩ. 
LUK.10.33	Na beꞌro apĩ tja Samariacjʉ̃ judío masã na yabigʉ ti maꞌapʉta buꞌacʉ niwĩ. Cʉ̃ cʉ̃rẽ ĩꞌagʉ̃, pũrõ pajañaꞌcʉ niwĩ. 
LUK.10.34	Tojo weegʉ cʉ̃, cʉ̃ tiro waꞌa, cʉ̃ cãmirẽ ocoyegʉ, ʉꞌsere, tojo nicã vino meꞌrã cʉ̃ ye cãmipʉ piopeocʉ niwĩ. Tuꞌajanʉꞌcõ, suꞌti caseri meꞌrã dʉꞌrecʉ niwĩ. Beꞌro cʉ̃ yagʉ burro buꞌipʉ cʉ̃rẽ miipeocʉ niwĩ. Miipeo, niꞌcã wiꞌi sijari masã cãrĩrĩ wiꞌipʉ miaa, cʉ̃rẽ coꞌtedutigʉ cũucʉ niwĩ. 
LUK.10.35	Ape nʉmʉ peꞌe tja Samariacjʉ̃ coꞌtedutigʉ pʉa nʉmʉ daꞌrase wapa weronojõ niyeru ti wiꞌi coꞌtegʉre oꞌocʉ niwĩ. Cʉ̃rẽ aꞌtiro nicʉ niwĩ: “Ãꞌrĩrẽ coꞌteya. Yʉꞌʉ mʉꞌʉrẽ oꞌoꞌque nemorõ nicã, dajatojagʉ mʉꞌʉrẽ wapayepeꞌogʉti”, nicʉ niwĩ. 
LUK.10.36	Aꞌtere wéréca beꞌro Jesú Moisé ojaꞌquere buꞌegʉre aꞌtiro nicʉ niwĩ:
LUK.10.36	—Mʉꞌʉ ĩꞌacã, ¿niꞌinojõ peꞌe na iꞌtiarã waꞌterore yajari masã na ñaꞌarõ weeꞌcʉre pajañaꞌpari? nicʉ niwĩ.
LUK.10.37	Moisé ojaꞌquere buꞌeri masʉ̃ yʉꞌticʉ niwĩ:
LUK.10.37	—Cʉ̃rẽ pajañaꞌa weetamuꞌcʉ añurõ weepĩ, nicʉ niwĩ.
LUK.10.37	Jesú cʉ̃rẽ nicʉ niwĩ:
LUK.10.37	—Mʉꞌʉ quẽꞌrã ãpẽrãrẽ ãꞌrĩ weronojõ weegʉ waꞌaya, nicʉ niwĩ.
LUK.10.38	Jesú cʉ̃ waꞌaro yʉꞌrʉagʉ, niꞌcã macãpʉ ejacʉ niwĩ. Ti macãpʉ niꞌcõ Marta wãmetigo co ya wiꞌipʉ cʉ̃rẽ põtẽrĩ, cãrĩse oꞌoco niwõ. 
LUK.10.39	Co niꞌcõ María wãmetigore acabijotico niwõ. Cóta Jesú ucũsere tʉꞌogo, cʉ̃ dʉꞌpocãrĩ tiroacãpʉ dujico niwõ. 
LUK.10.40	Co tojo weeri cura Marta peꞌe co daꞌrasere wãcũqueꞌtiyʉꞌrʉaco niwõ. Tojo weego co Jesú tiro waꞌa, cʉ̃rẽ nico niwõ:
LUK.10.40	—Yʉꞌʉ wiogʉ, aꞌtigo yʉꞌʉ acabijo yʉꞌʉre weetamusere ne wãcũtimo. ¿Mʉꞌʉ ne mejẽcã tʉꞌoñaꞌweti co tojo weesere? Core yʉꞌʉre weetamudutiya, nico niwõ.
LUK.10.41	Jesú core yʉꞌticʉ niwĩ:
LUK.10.41	—Marta, mʉꞌʉ weesere ʉpʉtʉ waro wãcũqueꞌtiꞌi. 
LUK.10.42	María peꞌe yʉꞌʉ ucũsere tʉꞌogo, añuse warore weego weemo. Co tʉꞌo ẽjõpeoꞌquere ne ãpẽrã ẽꞌmamasĩtisama. Tenojõ peꞌere weeroʉaꞌa, nicʉ niwĩ.
LUK.11.1	Niꞌcã nʉmʉ Jesú aperopʉ ñubuegʉ weecʉ niwĩ. Cʉ̃ ñubuetuꞌajaca beꞌro niꞌcʉ̃ cʉ̃ buꞌegʉ Jesure nicʉ niwĩ:
LUK.11.1	—Ʉ̃sã wiogʉ, Juã masãrẽ wãmeyeri masʉ̃ cʉ̃ buꞌerãrẽ Õꞌacʉ̃rẽ ñubuesere buꞌecʉ niwĩ. Mʉꞌʉ quẽꞌrã ʉ̃sãrẽ buꞌeya, nicʉ niwĩ.
LUK.11.2	Jesú yʉꞌticʉ niwĩ:
LUK.11.2	—Õꞌacʉ̃rẽ ñubuerã, aꞌtiro niña:
LUK.11.2	“Pacʉ, mʉꞌʉ ʉꞌmʉsepʉ niꞌi.
LUK.11.2	Nipeꞌtirã mʉꞌʉrẽ wiopesase meꞌrã ẽjõpeoato.
LUK.11.2	Aꞌti turipʉre mʉꞌʉ beseꞌcʉ maata wiogʉ sãjãgʉ̃ aꞌtiato.
LUK.11.2	Ʉꞌmʉsepʉre mʉꞌʉ ʉaro diaꞌcʉ̃ weesama.
LUK.11.2	Na weronojõ aꞌti turicjãrã quẽꞌrã mejãrõta weeato.
LUK.11.3	Ʉ̃sãrẽ ʉmʉcorinʉcʉ̃ baꞌase oꞌoya.
LUK.11.4	Ʉ̃sã ñaꞌarõ weeꞌquere acobojoya.
LUK.11.4	Ʉ̃sã ãpẽrãrẽ acobojoꞌcaro weronojõta ʉ̃sã quẽꞌrãrẽ acobojoya.
LUK.11.4	Ʉ̃sã ñaꞌarõ weesĩꞌrĩsere cãꞌmotaꞌaya.
LUK.11.4	Tojo nicã ñaꞌagʉ̃ ʉ̃sãrẽ niquesãsĩꞌrĩcã, cãꞌmotaꞌaya”, nicʉ niwĩ.
LUK.11.5	Jesú apeye ninemocʉ niwĩ:
LUK.11.5	—Noꞌo mʉsã waꞌteropʉre niꞌcʉ̃ cʉ̃ meꞌrãcjʉ̃ cʉobosami. Cʉ̃ ñami deco mʉsã ya wiꞌipʉ waꞌa, aꞌtiro nibosami: “Yʉꞌʉ meꞌrãcjʉ̃, iꞌtiaga pã́ yʉꞌʉre wasoya. 
LUK.11.6	Yʉꞌʉ meꞌrãcjʉ̃ apĩ aperopʉ sijagʉ ejaꞌcʉ yá wiꞌipʉ ejami. Ne cʉ̃rẽ apeyenojõ cãꞌrõ ecase moosaꞌa”, nisami. 
LUK.11.7	Cʉ̃ apetero weegʉ mʉꞌʉrẽ wiꞌi poꞌpeapʉ aꞌtiro yʉꞌtiwĩrõbosami: “Yʉꞌʉre wãꞌcõtigʉta. Sope pʉꞌto añurõ waro biꞌacãꞌnoꞌapʉ. Yʉꞌʉ põꞌrã yʉꞌʉ meꞌrã cãrĩrã pesama. Yʉꞌʉ mʉꞌʉrẽ wãꞌcã apeyenojõ oꞌogʉ waꞌamasĩtisaꞌa”, nisami. 
LUK.11.8	Mʉsãrẽ weregʉti. Cʉ̃, cʉ̃ meꞌrãcjʉ̃ nimicã, wãꞌcã, cʉ̃rẽ apeyenojõ oꞌogʉ waꞌatisami. Aꞌtiro peꞌe weesami. Cʉ̃rẽ sẽrĩnuꞌcũcã ĩꞌagʉ̃, caribonemoticãꞌto nígʉ̃, nipeꞌtise cʉ̃ ʉasere oꞌosami. Cʉ̃, cʉ̃ meꞌrãcjʉ̃ nise ye buꞌiri mejẽta tojo weesami. 
LUK.11.9	Tojo weegʉ mʉsãrẽ weregʉti. Õꞌacʉ̃rẽ sẽrĩña. Cʉ̃rẽ sẽrĩcã, oꞌogʉsami. Mʉsã sẽrĩ aꞌmanuꞌcũrã, bocarãsaꞌa. Mʉsã meꞌrãcjʉ̃ ya wiꞌire sope pʉꞌto pisunuꞌcũcã cʉ̃ mʉsãrẽ pãosõrõrõ weronojõ weegʉsami. 
LUK.11.10	Õꞌacʉ̃ cʉ̃rẽ sẽrĩrãrẽ oꞌosami. Noꞌo aꞌmagʉ̃nojõ bocagʉsami. Sope pʉꞌto pisugʉ weronojõ sẽrĩnuꞌcũgʉ̃rẽ oꞌogʉsami.
LUK.11.11	»Mʉsã põꞌrã baꞌase sẽrĩcã, ne niꞌcʉ̃ ʉ̃tãpere oꞌotibosaꞌa. Waꞌi sẽrĩcã quẽꞌrãrẽ, añarẽ oꞌotibosaꞌa. 
LUK.11.12	Tojo nicã cãrẽꞌquẽ die sẽrĩcã, cutipare oꞌotibosaꞌa. 
LUK.11.13	Mʉsã ñaꞌarã nimirã, mʉsã põꞌrãrẽ añusere oꞌomasĩꞌi. To pũrĩcãrẽ marĩ pacʉ ʉꞌmʉsepʉ nigʉ̃́, nemorõ añuse oꞌogʉsami. Cʉ̃rẽ sẽrĩrãrẽ Espíritu Santure oꞌogʉsami, nicʉ niwĩ.
LUK.11.14	Niꞌcʉ̃ masʉ̃ wãtĩ sãjãnoꞌcʉ ucũmasĩtigʉ tojacʉ niwĩ. Jesú cʉ̃rẽ cõꞌawĩrõgʉ̃ weecʉ niwĩ. Cʉ̃rẽ cõꞌawĩrõcã, ucũmasĩtimiꞌcʉ ucũcʉ niwĩ. Tere ĩꞌarã, masã ĩꞌamarĩacãrã niwã. 
LUK.11.15	Niꞌcãrẽrã aꞌtiro nicãrã niwã:
LUK.11.15	—Ãꞌrĩ Jesú wãtĩa wiogʉ Beelzebú wãmetigʉ tutuaro meꞌrã wãtĩrẽ cõꞌawĩrõmi, nicãrã niwã.
LUK.11.16	Ãpẽrã peꞌe ¿diacjʉ̃ta Jesú tutuamiticʉ̃? nírã, cʉ̃rẽ ʉꞌmʉse cjasere weeĩꞌoduticãrã nimiwã. 
LUK.11.17	Cʉ̃ na tojo wãcũsere masĩgʉ̃, narẽ nicʉ niwĩ:
LUK.11.17	—Niꞌcã curuacjãrã aꞌmerĩ dʉcawati, aꞌmequẽrã, masãpeꞌtia waꞌasama. Niꞌcã wiꞌicjãrã dʉcawatirã, na quẽꞌrã peꞌtidijasama. 
LUK.11.18	Aꞌte weronojõ wãtĩa wiogʉ cʉ̃ basu dʉcawatigʉ, cʉ̃ deꞌro wee tutuanemotisami majã. Mʉsãrẽ aꞌtere ucũgʉ̃ti. Mʉsã yʉꞌʉre “Wãtĩ Beelzebú tutuaro meꞌrã wãtĩarẽ cõꞌawĩrõmi”, nimiꞌi. 
LUK.11.19	To pũrĩcãrẽ yʉꞌʉ tojo weecãma, mʉsã buꞌesere siruturã wãtĩarẽ cõꞌawĩrõrã, ¿noa tutuaro meꞌrã cõꞌawĩrõsari? Narẽ mʉsã “Õꞌacʉ̃ tutuaro meꞌrã wãtĩarẽ cõꞌawĩrõma”, niꞌi. Tojo weero masĩnoꞌo. Mʉsã yʉꞌʉre nise diacjʉ̃ niweꞌe. 
LUK.11.20	Yʉꞌʉ Õꞌacʉ̃ dutiro meꞌrã peꞌe wãtĩarẽ cõꞌawĩrõꞌo. Aꞌte meꞌrã “Õꞌacʉ̃ wiogʉ nise mʉsã tiropʉre nitojaꞌa”, ninoꞌo, nicʉ niwĩ.
LUK.11.21	Jesú narẽ aꞌtiro ninemocʉ niwĩ:
LUK.11.21	—Niꞌcʉ̃ ʉmʉ tutuamʉ nipeꞌtise wãmotigʉ cʉ̃ ya wiꞌire coꞌtecã, cʉ̃ yere mejẽcã weetisama. 
LUK.11.22	Noꞌo cʉ̃ nemorõ tutuagʉ aꞌti, cʉ̃rẽ wapataꞌagʉ, cʉ̃ wãmotimiꞌquere ẽꞌmapeꞌocãꞌsami. Tojo weegʉ cʉ̃ wãmo marĩgʉ̃ mejõ nigʉ̃ tojacãꞌsami. Ẽꞌmaꞌcʉ cʉ̃ meꞌrãcjãrãrẽ tere dʉcawaasami. Jesú, yʉꞌʉ wãtĩ yʉꞌrʉoro tutuayʉꞌrʉnʉꞌcãꞌa nígʉ̃, tojo nicʉ niwĩ.
LUK.11.22	Jesú aꞌtiro ninemocʉ niwĩ:
LUK.11.23	—Yʉꞌʉre ʉatirã yʉꞌʉre ĩꞌatuꞌtirã nima. Yʉꞌʉre seeneotamutigʉnojõ doquestewãꞌcãgʉ̃ weronojõ nimi. Yʉꞌʉre ẽjõpeotirã masãrẽ Õꞌacʉ̃rẽ ẽjõpeocã weetamurã mejẽta weema nígʉ̃, tojo nicʉ niwĩ.
LUK.11.24	Jesú masãrẽ aꞌtiro ninemocʉ niwĩ:
LUK.11.24	—Wãtĩ masʉ̃pʉre cõꞌawĩrõnoꞌca beꞌro aco marĩrõpʉ sijabaqueꞌatisami. Cʉ̃ niatjore aꞌmagʉ̃, tojo weesami. Cʉ̃ nirṍ bocatigʉ, aꞌtiro wãcũsami: “Yʉꞌʉ wijaaꞌcʉpʉre dajasãjãagʉ̃ti tja”, nisami. 
LUK.11.25	Cʉ̃pʉre dajasãjãagʉ̃, wiꞌi oꞌaca wiꞌi, añurõ apóca wiꞌi weronojõ bocaejasami. 
LUK.11.26	Beꞌro ãpẽrã wãtĩa sietere cʉ̃ yʉꞌrʉoro ñaꞌarãrẽ pijisami. Piji, beꞌro todʉporopʉ cʉ̃ wijaaꞌcʉpʉre na nipeꞌtirã sãjãasama. Tojo weegʉ masʉ̃ cʉ̃ todʉporopʉ níꞌcaro nemorõ ñaꞌarõ tojasami, nicʉ niwĩ Jesú.
LUK.11.27	Jesú ucũrĩ cura niꞌcõ numio masã pãjãrã waꞌteropʉ nigṍ caricũquejoco niwõ:
LUK.11.27	—Mʉꞌʉrẽ põꞌrãti masõꞌco añurõ waro eꞌcatiyʉꞌrʉsamo, nico niwõ.
LUK.11.28	Jesú core nicʉ niwĩ:
LUK.11.28	—Yʉꞌʉ peꞌe aꞌtiro nigʉ̃ti. Õꞌacʉ̃ cʉ̃ ucũsere tʉꞌo, cʉ̃ dutisere weerã́ peꞌe pũrĩcã añurõ waro co nemorõ eꞌcatisama, nicʉ niwĩ.
LUK.11.29	Jesú tiro pãjãrã masã nerẽwãꞌcãcãrã niwã. Na tojo weecã, cʉ̃ ucũcʉ niwĩ:
LUK.11.29	—Masã aꞌtocaterocjãrã ñaꞌayʉꞌrʉama. Na ñaꞌarã nírã, weeĩꞌose diaꞌcʉ̃rẽ ʉama. Na tere ʉamicã, aꞌte diaꞌcʉ̃rẽ weregʉti. Joná dʉporocjʉ̃pʉ waꞌaꞌquenojõ diaꞌcʉ̃rẽ ĩꞌogʉ̃ti. 
LUK.11.30	Joná Nínivecjãrãrẽ queose oꞌogʉ weecʉ niwĩ. Te weronojõ yʉꞌʉ Õꞌacʉ̃ macʉ̃ masʉ̃ weronojõ upʉtigʉ quẽꞌrã aꞌtocateropʉ nirãrẽ queose oꞌoꞌo. 
LUK.11.31	Dʉporocjõ mujĩpũ mʉjãtiro diacjʉ̃ peꞌe nirĩ diꞌta wiogo Israe curuacjãrã wiogʉ Salomó masĩsere tʉꞌogo aꞌtico niwõ. Yʉꞌʉ Salomó yʉꞌrʉoro masĩyʉꞌrʉnʉꞌcãmicã, mʉsã peꞌe yʉꞌʉre tʉꞌosĩꞌrĩweꞌe. Tojo weego Õꞌacʉ̃ masãrẽ beseatji nʉmʉ nicã, ti diꞌta wiogo níꞌco aꞌtocaterocjãrãrẽ “Mʉsã Jesure ẽjõpeotirã, ñaꞌarõ weewʉ”, nigõsamo. 
