GEN.1.1	I muan tan tatanik, tan nainy te kat faruak e Gov a gormirmir an puputaa, 
ACT.26.32	Kat to ai Agripa tsue to ten Festas, “A mes to aya onot non ma tafuts en ma gim ya ma sing ma naa fi ya tan vaatsuk ten Sisa Na Aatouf A Karap.”
ACT.27.1	Festas te fakats mamam ma sepuu fi naa tana gum fan iny Itali, ri faan iny naa to Pol fiisen ramen mes panair vainy kotskots ten Julias, a tsoiny mumua tana isen a gum nar vainy puaan iny Roum to te binun non fain e Sisa, koo rori na Gum iny vainy Puaan tana Aatouf a Karap. 
ACT.27.2	Mam jias tana isen a toraara iny Aramitiam, te kakoun ma naus osing a pan iny Sesaria, ser sepuu fi naa tana fo ngats fan teis tana gum fan iny Esia. Aristakas ayei na vaatau a fafaaman tana ngats fan iny Tesalonaika tana gum fan iny Masedonia te kaakaa fiisen mamimam.
ACT.27.3	Tan mes nainy mam ruak to Saidon, Julias kat kat rof ten Pol sa famanat iny ya ma nai tagei yan vaatau tsunia ri te fainy ya ta ka te komainy non ya. 
ACT.27.4	Mam naus osing to na Saidon. Ana ainysat taf mito sa fapan mamam mam fakats to ma famaruf tsom em vou na toor iny Saipras. 
ACT.27.5	Mam sepuu faguas fi naa to na namaan tana gum fan iny Silisia ai tana gum fan iny Pamfilia, mam ruak to tana ngats fan iny Maira tana gum fan iny Lisia. 
ACT.27.6	Na aya, a tsoiny mumua tan vainy puaan sab a isen a toraara iny Aleksandria te kat iny naa fi naa non tana gum fan iny Itali ana ya nai aton matuamam tana toraara to ayei.
ACT.27.7	Mam kovoo busem ma naa to sana toraara gima onot iny taan tsikap, mam taataan faamo tsun ma naa tan fo mes fo nainy tana saa, a ainysat. Mam tanaf ma ruak panan a ngats fan iny Naidas. Ainysat kat tap mamam, sa mam gima onot iny naa pis na, kat to mam taan fafauf fi naa to mam fis naa to na Salmoni, famaruf fi naa voun a toor iny Krit. 
ACT.27.8	Mam taainy tsuktsuk nan guararen iny Krit mam sukei naa to na ainysat, vou mam ruak to tana isen a pan koo rori na Matsin iny Maruf, gima veevian osing a ngats fan iny Lasia.
ACT.27.9	Mam kaa fananaangis em tana Matsin iny Famaruf san sekeiny ratsuu ruak ename mam gim to ma onot ma taan pis, an Nainy iny Tavtaav iny a kainy ainy tana taa Jiu kap kanen nato. Ai Pol faan ratuarin tsue taatag, 
ACT.27.10	“Amin a vainy tatanamots yam, te naa rora, ra nai sab ror a iring, foka ravaa non, vainy ruk ror ri te mat ana toraara kan taaboree na non, to sana ra ma taan pis vaare.” 
ACT.27.11	Sana tsoiny mumua tan vainy puaan faamainy tsue tana tsoiny tau ana tsoiny fasito tana toraara, ya gim to ma faamainy tsue ten Pol. 
ACT.27.12	Sana pan to aya na gima rof iny atang ma atang a toraara tan nainy tana ainysat tsian ana tonok. Kat to ana tsoiny tana toraara tsue faonot to, ri komainy naus osing ror a pan to aya ri te naa fi unya Finiks te rof fi non ya ri te kaa tana pan to aya tan nainy tana tonok. Finiks ayei a isen a suun iny Krit a rof iny tapiny tan nainy tana ainysat ana tonok, tana saa ai te gum non fapoopoan nana kowan ana kabas.
ACT.27.13	Nainy te taf iny tsitsiuf me na ainysat iny vou sai te gima taf faparits fiisok me, ser pon fi nei ri onot ror iny tsiir ereer naa tana suun to aya te tsue ri, kat to ser ras a fagum tap ser tsiir vovou iny nana mats iny Krit. 
ACT.27.14	Sana ainysat tsian tapoor veesau tsun naa me koo rori na Towisim Mataisia tapan ising me tobeer iny Krit nai ruak me tana toraara. 
ACT.27.15	Ayei taf fatsuutap a toraara, ana toraara gim to ma onot ma tsiir ana mam sagoor mato. 
ACT.27.16	Mam famaruf fi naa to vou na isen a toor a kakaii, koo rori Koda, mam nag fiisok em tana binun, ma pon ma aungits iny puak tana toraara. 
ACT.27.17	Ri ras fapaas puak, ser tang vavis iny a fo aungits ri roots tap faparits mi towa na toraara. Ri oraav kat ror ser tsiir sab naa ta kokoon tan mounan iny Libia, kat to ser fauf sepuu. Ri tanyiny a ainysat ma taaf iny ya na toraara mam sagoor faamo tsun mato. 
ACT.27.18	Ainysat an posaa gima sariof, tan mes nainy ri tanik iny ravainy to na foka tana toraara, 
ACT.27.19	ai tan fafofopis nan nainy ana ri raravainy to na foka te tamaar iny ari, faarei non aungits an sepuu ana mes foka nima rari. 
ACT.27.20	Mamatsiny nainy mam gima onot ma tagei a nuaf an kootsits, ana ainysat gima sariof vaarik to tan taf. Mam pon tsun fi rom nei mam gim on rom ma ruak faarof on tan ta isen ta pan, mam nai nun tsun marom.
ACT.27.21	Nainy kinai te gima ainy a vainy vou ai Pol tsutsun to mata rari, ya tsue to, “Mi tabuiny nongon vanyo te tsue fi nyo, ma naus osing tsom vaare ra naa Krit, ara buiny gima sab nainy sekeiny ratsuu to aya ra te sab nainy iring ana fokinai ka te gima nai nun nats. 
ACT.27.22	Sai roman nyo tsue of maromi, fagagaar vaare yam fakats tsumi, ma gima mat on ta isen tsumi, sana toraara tsun taaboree non. 
ACT.27.23	Nyo nat rou, tana saa, naanaf tana voiny morena ten Gov to te natiny fafaatouf ronyo ana nyo na tsoiny binun Tsunia naa mito tsonyo. 
ACT.27.24	Sa tsue, ‘Bainy oraav Pol! Te tsutsun rom anyi tan vaatsuk matan e Sisa Na Aatouf A Karap. Gov tan koma ree'un Tsunia, kat, kat rof to te faakats of anyi sa nongoiny faakats tsumanyi, sana ri gima mat, iton vainy te sepuu fiisen mi nyi.’ 
ACT.27.25	Amin vainy fagagaar vaare yam fakats tsumi tana saa nyo kaa mirou faason parits ten Gov ana nyo faaman rou fo mamatsiny ka nai ruak iny man enanats non, te tsue of fi vanyo Ya. 
ACT.27.26	Sana ainysat taf fasung rarora tan ta toor.”
ACT.27.27	Fasafunuu ana fats a voiny busen ana ainysat taf fasagoor fi matuamam tana Namaan Mediterenian. Te sisiruiny onots ya na tangats iny voiny an vainy binun tana toraara pon iny to na toraara te fasiruu nana tan ta isen ta toor. 
ACT.27.28	Kat to ri fauf to na naknak, ri nat fi to nei a kakeits nana namaan onots a fats safunuu na ngaf (120 feet) mam taan fasak pis naa to ri kat pis ton senviir kat, ser sab a kakeits nana namaan a fopis safunuu na ngaf (90 feet). 
ACT.27.29	Ri oraav, kat non sana ainysat taf fi ma naa mam tan fats ana toraara te tamormor en, ri fauf to na fats a fagum tap vou na toraara, ana ri fafaakats of to na nainy ma arasan tsikap ya. 
ACT.27.30	An vainy binun tana toraara pon to ma bus osing a toraara, ri fauf ton puak namaan ana ri pon to ma gam er fauf naa to ta fo mes ta fo fagum tap imus nana toraara. 
ACT.27.31	Sen Pol tsue tana tsoiny mumua tan vainy puaan an vainy puaan, “Te tsiak osing rorin vainy binun a toraara mi mat fakap marom.” 
ACT.27.32	Kat to an vainy puaan tek ots to na tabinon nan puak ser fakei ya ma sagoor naa ya.
ACT.27.33	Te sisiruiny takiir me na nainy, ai Pol vasuet ratuari ma ainy ta kainy ainy, “Mi kaa babainy em safunuu an fats nainy, an fokinai nainy to aya, mi gima ainy vaarik ta ka tana saa mi kaa iny reesik tsun em. 
ACT.27.34	Nyo vasuet maromi, ainy yam ta kainy ainy te komainy romi, ma parits ami ana mi te gima nom oiny ta iring.” 
ACT.27.35	Te vegiau fakap e Pol, ya nom ton koinykoiny ya tsutsun to mata rari ya tsue faarof iny towa ten Gov sa ivoo ya sa tanik ainy to. 
ACT.27.36	Kat to ana fokinai vainy koma rof to ana ri ainy to na kainy ainy. 
ACT.27.37	As'as tsumam a fokinai vainy te jias onots fuan natus an fits safunuu ana aunom. 
ACT.27.38	Te ainy faonot a fokinai, ana ri ravainy to na fo ong koun namaan ma tsig a toraara ai te kenak me onot iny taf iny naa ya na ainysat mou poporos.
ACT.27.39	Te paas me na nuaf ana ri gim to ma tagaa fanatnat iny mounan. Sana ri tagei a isen a sof a nai gagon kaa minon mooyon rof, ser fakats ma fasung naanaa toraara a soon iny to na fain ya tan mooyon. 
ACT.27.40	Kat to ana ri ots to na aungits te patom ari na fagum tap, ser fakei ya sa ruk na gagon namaan, ai tan senviir nainy ri puruur to na aungits te roots ari na fos iny tau te natiny kaa non kapits nana toraara, ri ras ton sepuu matan a toraara ma taf ya na ainysat a toraara, ai te tanaf iny sung naa. 
ACT.27.41	San u goor ras fatsiir a toraara sa soon iny naan imus na ya tana kokoon an posaa tatats iny ton tau, ana toraara taaboree to.
ACT.27.42	Vainy puaan kat fakats ma atsuiny famat arin fuainy vainy kotskots, an ta sikia ta isen tsuri te onot ma aga ya te bus. 
ACT.27.43	Sana tsoiny mumua tan vainy puaan komainy ma faakouts e Pol, ya tsue tap raton vainy puaan ma atsun vaare rin vainy kotskots ya tsue faparits of raton a vainy ere sei te onot iny aga ror ee, tsiak faamuan osing yam a toraara ai te aga fasung naa. 
ACT.27.44	Ana fokinai te vovou mes vainy nom tap ror tana fo painy om, ge tana fo painy om te taaboree tana toraara ana mi te sagoor fasung naa, ri kat fi nei aya ana fokinai vainy ruak faarof to teis.
ACT.28.1	Tan nainy te sung bus amam mats, mam nat fi to nei a toor te koo rori Malta. 
ACT.28.2	Vainy fan tana toor to aya vivaatau faarof tsun fiisen mamimam. A ruat kan tanik iny tsidup me ya kat to na pan sa kour en, ri kat to ser faakoor guaf ri nai fi ras mito tsumam. 
ACT.28.3	Pol farosoon nau ya sog iny towa, kat to ya fatuei naa ton nau tan guaf ana isen a koraa sarei to na fisikii nan guaf ya tafuts osing mito na sog nau sa kots a niman e Pol. 
ACT.28.4	Tan nainy te tagein vainy tana fan a koraa te kots fi ya na niman e Pol nei sa gageits patsukanen nato, ri favevegiau patsukan rato fapoopoan narari, ri tsue to na ka, “Toroman, a mes to te natiny atsuiny famat raror vavainy, kainon te gima mat fi ya namaan, san fo gov tsura gim ror ma famanat iny ya ma toto ya.” 
ACT.28.5	Sen Pol fabirat iny a niman ana koraa gotsiny of naton guaf sana ayei gima sarei vaarik ta kamits te rof tsun. 
ACT.28.6	A vavainy te anaanos ma tagaa ri te tsub fi non a niman e Pol ge ri te pon iny ya ma gotsiny putaa na mat. San tan nainy te anaanos ari ri gim to ma tagei ta iring ma ruak ri kopis pis ton fakats tsuar ri tsue to, “Ayei na isen a gov!”
ACT.28.7	A pan te kaa mam gima veevian tana pan te kaa ror a fo painy petoo ten Pabilias, a tsunaun te tatagaa ot iny non a toor. Ayei fikoo mamam ana ayei fafasung faarof tsun matuamam sa tagaa ot matuamam sa onots fopis nainy. 
ACT.28.8	Taman Pabilias a soon iny faadis, puan ya na fisikii ana ayei te kaa men faadis purus iny rafatsiny. Pol sof naa to tana pan te soon non ya ana ayei fasaur to na niman ana ayei faakats to ana faadis kajiaa nato. 
ACT.28.9	Nainy te tagei a vainy a ka to, an vainy faadis kinai naa mito ser tsipaar fatabin rato. 
ACT.28.10	Ri faan matuamam a fo fifaan a kinai, ai tan nainy te kat iny kovoo mam ri faan to na fo mamatsiny ka faonots arin koman tsumam tan tou taataan tsumam namaan.
ACT.28.11	Vou na fopis a iifaa mam sepuu bus mato tana toraara to te poo fi me Aleksandria, asangan a toraara e “Muinyasiny gov Puna,” a toraara to aya te kaa patsukan en tana toor tan nainy tana tonok. 
ACT.28.12	Mam ruak to tana ngats fan iny Sirakius mam kaa ton fopis nainy. 
ACT.28.13	Mam poo to unya ya mam sepuu to, mam nai ruak to tana ngats fan iny Rejium. Ai tan mes nainy ana ainysat iny vou tapoor mito, voun fuan nainy mam ruak to tana ngats fan iny Putioli. 
ACT.28.14	Mam sab to na tee vainy te kaa kan miror a faaman ten Jisas, ari rangats matuamam ma kaa fiisen ramiri onots fits nainy. Vou mam see naanaa fi mito Roum. 
ACT.28.15	A fo vamuinyasiny te natiny kaa ror Roum nongon to te kaa fi romam ri kat to ser naa me, rin vainy te naa me onot me tana tuan iny Apius ai tana fopis a numaa iny favusuan tan vainy, ri nai tagei mamimam. Tan nainy te tagei rari Pol ri faparits towa ya faarof to ten Gov.
ACT.28.16	Tan nainy te ruak bus amam Roum, an vainy tana gamaman famanat iny to Pol ma kaa tsivon en ya tana isen a numaa fiisen kainy me na tsoiny puan ma bei ot iny ya ya.
ACT.28.17	Voun fopis nainy te kaa bus amam Pol fikoo raton tsunaun tana taa Jiu tana pan to aya ma naa mi ri tan vaagum. Tan nainy te vaaguam bus mi ri ana ayei tsue to tsuri, “Vamuinyasiny tsiau, man enanon a sikia ta iring ma kat anyo tan vainy tsura ge tan kat tan fuainy tsuvurara to te fafaatsuts iny ari muan. Ri kotskots vanyo tana ngats fan iny Jerusalem ri kat to ser faan vanaa nyo tana taa Roum. 
ACT.28.18	Taa Roum rangat vatuanyo ri kat to ser komainy ma puruur vanyo tan kotskots tana saa ri gima sab ta iring ma kat anyo to ma atsuiny famat vanyo ri. 
ACT.28.19	Sana taa Jiu koma suar iny a ka to, nyo kat to sana nyo sing ma naa fi tan vaatsuk ten Sisa Na Aatouf A Karap, kainon te sikia fi ronyo tu vegiau tu iring te sak ronyo na vavainy tsonyo fatoobing. 
ACT.28.20	Ai na ka te fikoo of im yam ma vegiau anyo tsumi; anyo kaa mirou a tseen to nimau tana faaman te kaa mironyo tana Tsoiny Fiisaup tana taa Isrel te naano anaanos rora ma tagei Ya.”
ACT.28.21	Kat to ana ri tsue to tsunia, “Amam gima nom tu noun te kirkir mi ri Judia ma tsue fanat of mamimam tsumanyi, an fo vamuinyasiny tsumam to te poo me naa aya tana gum fan iny Judia ri kan gima siisio of mamam ta ka, ge ma siisio fifiiring manyi. 
ACT.28.22	Sana mam komainy nongoiny rom ta fo fakats tsuam, tana saa mam nat fi rom nei tan fo mamatsiny fan vainy tsugei ror a gum nar vainy to ari nyi na isen tsuri.”
ACT.28.23	Ri kat to ser tanuu Pol saf nainy te naa mirori naa. Te ruak bus nainy ana vainy a kinai faroruak faavot mito tana pan te kaakaa Pol. Ya tanik iny vegiau fa'arasainy of ratuari na Waan e Gov tana voinyvoiny sa nai onot ovei tana voiny. Ayei komainy ma fa'arasainy of rari Jisas a Krais a mes te pisainy e Gov ma Tsoiny Fiisaup Ya tana vainy to tan nom a fo vegiau tan Faun te kirkir iny e Moses, ana foka te kirkir iny kuigin muan. 
ACT.28.24	Ana mesapan tsurin vainy faamainy tsue ten Pol, san mes panan tsuri sikia ma faaman. 
ACT.28.25	Ana ri koma suar to fapoopoan narari ser fakats ma takibaa, vou te tsue fakap bus iny ya Pol sen vegiau tovei, “U vegiaun rof ovei te faruak Aaven Taabos nguen e Aisaia na kuigin to sana ayei fafaatai ir tsuvurara! 
ACT.28.26	E Aisaia na kuigin te tsue,
ACT.28.26	‘Kua ana nyi te tsue tana taa Jiu:
ACT.28.26	Ami nongon rom sai te nongon tsun rom, mi sikia rom ma nongon fanatnat iny ya; mi matoong rom sai mi matoong tsun rom, mi sikia rom ma tagaa fanatnat iny ya,
ACT.28.27	tana saa, u fakats te nun ovei en, ana mi pip a teinam, mi kaput tap iny to na matam kat rom sam tagaa fanatnat, mi te nongon fanatnat an fakats tsumi te arasan me mi te nat, ana mi te takopis osing aveto tsumi mi takopis mito Tsonyo, ana Nyo te anofe ravainy aveto tsumi,’ tsue fi Gov.” 
ACT.28.28	Pol fakap ton vegiau tsuan sa tsue, “Mi ma nat fi nei, Gov faan bus iny vaanan Tsunia tan kat iny saup fatabiny tan vainy sikia ma taa Jiu. Ri nai nongon ror ya!” 
ACT.28.29	[Tan nainy te tsue fakap iny e Pol a ar karainy vegiau to, kat to ana taa Jiu tsun to ser naa eer, sana ari te fa'ararat ir fapoopoan narari patsukaner.]
ACT.28.30	Fuan a ingainy ovei, Pol kaakaa patsukan en tana numaa te natiny foiny non ya tan nainy te kaa fi non ya, ana ayei natiny fasof raror vainy numaa tsuan tan nainy to komainy tagei rori ya. 
ACT.28.31	Ana ayei ongoor to iny favaanan iny a Waan e Gov ya te faatsuts kan rari tana Tsunaun e Jisas Krais, ayei kaa me na parits iny favaanan ana sikia kan ta mes ma kat tap iny ya.
ROM.1.1	Nyo Pol, nyo na tsoiny binun ten Krais Jisas te fikoo vanyo ma faarei anyo na amaraav, ana Ayei pets ya jiats vatuanyo ma pokei faruak iny Vurungan Rof ten Gov nane Krais.
ROM.1.2	Muan ovei, Gov tsue faman ma pokei of Ya na vainy tan Vurungan Rof naa to aya nguer fuainy kuigin Tsunia ser kirkir ya koman Vegiau Ten Gov tana fo mamatsiny ka te tsue faman iny Ya, Ayei te nai kat non Ya. 
ROM.1.3	An Vurungan Rof na to aya, te tsue pokei minon a Guei Tsoiny ten Gov, a Tsunaun tsura e Jisas Krais. Ana Guei Tsoiny to ayei, na Gov, ai tan puainy mes Tsunia faarei mito na mes, ana Ayei na tsubnaain e Devit a aatouf fatoobing. 
ROM.1.4	Vou, ai Gov nom Towa sa faarei na Guei Tsoiny Tsunia ma tagaa ot of Ya Ya, ana Ayei fainy Towa na parits a reits, tana saa Ayei te kaa fataabos ovei en patsun puputaa to. Ai Gov faatok to Krais sa faarei na Guei Tsoiny Tsunia tan nainy te fatoto fatabiny fi Ya, Krais tana mat Tsunia. Ana Guei Tsoiny te tsue tsuk iny ronyo to, e Jisas Krais, Gov te jiats mi Ya, ma faarei Ya na Tsunaun tsura. 
ROM.1.5	Ito ten Jisas Krais tsun, Gov faan vanyo na koma ree'un Tsunia ma kat a binun ten Krais sa nyo faarei na amaraav. Gov kat a ka to, ma tsue pokaa iny anyo na asangan e Krais ana nyo te tsue of ir a vainy a sikia ma taa Jiu ma faason ari ten Krais, er manaats Towa. 
ROM.1.6	Ami nato tana ngats fan tsian iny Roum, ana mi kan a mesapan, Gov te fikoo mami, sam faarei mirom fasito ten Jisas Krais.
ROM.1.7	To tsonyo kirkir naa roun noun tovei tsumin vainy fafaaman ten Jisas Krais te kaa rom tana ngats fan tsian iny Roum. Gov te mangiir fiisok maromi, ana Ayei fikoo matuami sam faarei men vainy taabos, u fasito ten Krais.
ROM.1.7	Nyo faakats rou ten Gov a Tamarara ana Tsunaun Jisas Krais ma faan mami na koma ree'un ana aaverof.
ROM.1.8	Vaamuan tsom non, nyo komainy tsue of maromi, tan nainy te fakats anyo mi, nyo tsue faarof to ten Gov tsonyo tana saa, tana ka te kat e Jisas Krais tsumi, ai to kan tana vainy faavot te vegiau tsuk maromi, ri te tsue na ka, ami te faason fareits em ten Krais. 
ROM.1.9	Tagaa yam, tana ka te tsue ronyo tsumi, te tagaa farokot non e Gov, ayei na ka na man fiisok. Ayei na isen tsun a mes to te fafaakats of ronyo ana nyo te bibinun tana binun Tsunia fiisen me na aave vanyo faavot tan nainy te naa vavis ronyo, nyo te favaanan of kainy a vainy tan Vurungan Rof nana Guei Tsoiny Tsunia. Rof, tan nainy te faakats ronyo ten Gov, nyo fafaakats fatatabin of maromi, Gov nat non. 
ROM.1.10	Tan mamatsiny nainy nyo faakats of maromi ten Gov, nyo te sing maamaa Ya ma fa'arasainy Ya na sanaan tsonyo ma naa mi nyo ana nyo te tagaa tsom tsumi, ito te koman fi non Ya, tana saa nyo pon ma naa me tsumi tan ta fo nainy te naa en. 
ROM.1.11	Nyo rangats rou e Gov a ka to, tana saa, nyo komainy fiisok rou ma tagei a mata mami, nyo te faakouts mami tana fo fifaan te faan vanyon Aaven Taabos, ka iny faparits mami ma vovou iny ami Krais. 
ROM.1.12	Kifon a ka te tsue iny ronyo na ka to, i tovei, amin vainy sikia taa Jiu ana nyo kan, ara faavot nai fafaakouts faavot patsukan fi raror to ma nat faarof iny ara Gov ra te vovou iny a sanaan ten Krais; Gov nai faakouts faparits maromi, ito tan nainy te tagei fi romi nyo, te faason fi nyo ten Krais, ai Gov te nai faakouts faparits vanyo, ito tan nainy te tagei fi ronyo mi te faason fi kanem marom ten Krais.
ROM.1.13	Sana nyo komainy fiisok maromi ma nat faarof iny a tou naa me tsonyo fuainy vamuinyasiny fafaaman tsonyo, nyo fakats fiisok ma naa me tsumi tan mamatsiny nainy ma favevegiau ara, sana fo mes a foka te kat fasasapam varonyo nei. Nyo komainy binun fifiisen mamiromi tana binun ten Krais ana nyo te faakouts mami ma reits mimi tana faaman ai tan vovou iny a sanaan ten Krais faarei te kat fi nyo fapoopoan nar mes vainy sikia ma taa Jiu. 
ROM.1.14	Nyo komainy binun rou tana binun ten Krais fapoopoan namami, tana saa, Gov tsue faparits of vanyo ma tsue of ir a vainy, tan vaanan nane Krais te naa of ror a vainy to te kaakaa ror koman a ngats fan, ana ri kan ton vainy voor, ana ri kan vainy nat ana vainy a sikia ta nat. 
ROM.1.15	Ai tovei, nyo komainy fiisok rou ma favaanan iny Vurungan Rof nan e Krais i naa kan tsumi to te kaa rom tana ngats fan tsian iny Roum.
ROM.1.16	Tovei nyo paparaa rou nyo te ongoor, nyo te gima rejiaf ma favaanan iny Vurungan Rof nane Krais. Nyo favaanan faparits iny ya tana saa, tan nainy te faamainy non a mes u Vurungan Rof nane Krais to ayei, Gov saup fatabiny non ya tan aveto tsunia ana Ayei te kat fatavaroiny ya matan Ya. U taa Jiu, arin vaamuan nar vainy te nongoiny Vurungan Rof nane Krais to ayei, ai tovei roman, arin vainy sikia ma taa Jiu kan te nongon kan er tan Vurungan Rof nane Krais to ayei. 
ROM.1.17	Kifon a ka te tsue ronyo tovei: U Vurungan Rof to ayei tsue of rarora tana sanaan te kat fatavaroiny fi rarora Gov, ito tana faason tsun kan to ten Krais te kaa en tan tatanik ana Ayei tsun kan a sanaan tovei roman te kat non Ya, Ayei te kat fatavaroiny patsukainy non a vainy to te faason ror Tsunia. Ana ra nat fi ror nei, u man fiisok tana saa, te tamainy non a ka te kirkir iny a kuigin koman Vegiau Ten Gov muan fiisok. Ana ayei kirkir to na ka to:
ROM.1.17	“A mes te tavaron non matan e Gov ma faason tsun a Tsunia.” 
ROM.1.17	An kat rof to ayei tana mes, te tavaron me matan e Gov ana ayei ma faason tsun naa Tsunia tana fo mamatsiny sanaan tsunia.
ROM.1.18	Tovei nyo komainy faakouts maromi ma nat faarof iny ami na kifon a ka te kat fi non e Gov ma tavaron fi me na mes matan Ya ei. Ito tsun kan tana parits a reits Tsunia, tana saa Ayei pokei faruak ya tana vainy ana Ya peits fiisok ratuari, ana Ayei nai fasaraa rarori to te gim finy rori ma famaari Ya ito tan vovou iny a fo sanaan Tsunia, ai to tan kat fifiiring a mesmes, ai to tan vovou fo kat iring tana mesapan, ana ri te kat tap ir a mesapan ma nat faarof iny ari na man nan e Gov. 
ROM.1.19	Te toobing non ten Gov te nai fasaraa raror a vainy, tana saa, Ayei te kat a sanaan to ma nat faarof iny ari Ya, tana saa, Gov te fa'arasainy Ya tsuri ma nat faarof iny ari Ya. 
ROM.1.20	Kainon to te gim fi rori ma tagei e Gov matar, san tan nainy te vaamuan iny fapogaar Ya na fo mamatsiny ka to, Ayei kat to na foka ma inainy fanatnat a vainy, ana ri te fakats Ya, ri te nat faarof iny Ya, Ayei te faarei non e sei ai te tagei rori na foka te fapogaar Ya. Te onot kan non tsuri ma nat faarof iny a foka te fapogaar bus Ya ana ri te nai arasan iny me na fuan a ka te tsutsun of non Ya. Gov, Ayei na siireits ana Ayei nai kaa enanon roman ai tana fo nainy te naa minon vou, ana Ayei kaa patsukanen nanon ana Ayei na Gov faman. Ana ri ma tsue vaare ta ka, “Nyo gim rou ma natiny e Gov, ana nyo komainy kaa patsukan varou ma kat fapaparei anyo na tsivou.” 
ROM.1.21	Ari gim ror ma tsue ta ka, “Amam te gim rom ma nat, tan nainy te kat romam a iring,” tana saa, kainon to te nat finy rori Gov, ri gim ror ma vamarits faarof Ya, tana sanaan ma vamarits faarof ari Ya na vainy e Gov, ana ri kan gim ror ma tsue faarof naa ten Gov. A sikia, ri tanik iny fakats fapeepiou ror tan nainy te fakats patsukan rori tan fakats tsuar, fei te mamatan fi non e Gov ei, ai fapoopoan nar kan rof an kan iring ma kat ari. Ai ri te piou fatsian pis nats tan fakats tsuri ana aave rari te via taptap nats men kat tana uurup. 
ROM.1.22	Ana ri te tsue na ka, “Amam nat fiisok,” sana ri te mamatan faarei raror, u piou ovei. 
ROM.1.23	Ai tan kat to aya, ri faonot to tan fafaatouf a Gov a siireits to te gim non ma mat, Ya te kuav ravaa, ri tanik iny fafaatouf ton kaisa te kat a vainy nimar te mamatan faarei ror mes, gen marei, an fuainy marei sensen, gen fo koraa to te mat ror ri te kuav ravaa. 
ROM.1.24	To sen Gov naus osing babainy rari ser kat, kat iring vovou iny fakats tsuar te komainy kat rori. Ai tan kat to aya, ri kat ror a foka te farejiaf patsukainy non isiseiny puar rari.
ROM.1.25	Ai to kan, te kat kat ror a vainy, ri faonot er tan faamainy a foka te pokei faruak iny e Gov tana vainy to te pokei iny mi Ya na Tsivon, ana ri tanik iny faamainy ton kan gam. Ri tanik iny vamarits to na foka to te fapogaar e Gov faarei non a gov tsuri, ma faan iny naa rin a fo fifaan ana fo faakor tsuar, i tsuri, ana ri te gima vamarits e Gov to te fapogaar a fo mamatsiny ka. Ana Ayei tsun a isen ma fafaatouf vainy, roman ai tan fo mamatsiny nainy te naa minon! Man ovei.
ROM.1.26	Gov naus osing babainy vainy ma vovou iny arin kat iny tagaa tsuk tan kat, kat iny fiinot men kat, kat iring te koman fi rori tana saa, ari te faonot tan fafaatouf e Gov ana ri kuar fuainy to, ri faatouf ton gov gamgam. Ana nyo tsue pis rou tan fo kat iring tovei: u moun tsun to te gim ror ma fifanging men tsoiny te koman fi Gov, san sikia, ari tanik iny kaakaa fiisen men moun fafaarei ror tsoiny fanging tsuri, 
ROM.1.27	jesan kan, u tsoiny te gima fifanging men moun to te koman fi Gov, sana sikia, ri tagaa tsuk tan mes tsoiny, to tsurin tsoiny fifanging fatabin miror mes tsoiny. Ai Gov tafan ratuari fiisen men fasaraa vovou iny kat iring tsuri, tana saa, u tsoiny te vovou fatatabin iny kat iring to ayei fiisen men mes tsoiny, ito te vovou fi rin kat iring tan fifaanaum fatabin.
ROM.1.28	Ana mes a ka, Gov naus osing babainy rari ma vovou iny fakats iring tsuri to ser gim ma inan fanatnat iny kat rof an kat iring te katkat rora vainy, tana saa, ari baainy ma fakats a ka te faatok rari Gov tana tou kaa iny man Tsunia, to ser kat a fo kat iring ma gima kat a vainy. 
ROM.1.29	Vainy to ari te kat fatatabin fi ror to tan mamatsiny nainy: ri natiny kat fifiiring raror a vainy, ana ri te kat a fo viir kat iring vavajia, ana ri te kat, kat iny mataguas, ana ri te kat fijior ir a mesapan, an kat iny fitsufainy. Ana ri te atsuiny famat fatatabin ir a vainy, an ngue poor fatatabin iny a mesmes, an kat iny fagaug a mesmes, ana ri te kat vegiau kabuts tana mesapan. Tan sumainy kainy naa na fo kat to, ari na vainy to ari te atou bus men kat iny tsue kabuts iny a mesapan tana iring te nongoiny rori tana vainy. 
ROM.1.30	Ri te sisigan ir a mesapan tana arasan, ri te tsugei e Gov, ri te tsue fifiiring ir a mesapan, pon rarorin ka babainy tsun, ri komainy ror ma fapaas a tsivor. Ana ri te tenoor me na tsivor matar a mesapan, ri te fakats ta fo sanaan tu foun an tu iring ma kat fifiiring ari na mesapan, ana ri te gima fatsiitsii faarof ir fuainy tamar min tsinar, ri te gima nongoiny rari. 
ROM.1.31	Ri natiny kat fapeepiou ror, ri te gima fakats fei te biny fatabiny finy non e Gov a fo aveto tsuri ei. Ana ri te gima vovou pis iny a fo vegiau te tsue ri. Ri te gima kaa men mangiir tan fuainy nuatsi rari, ana ri te gima kaa me na tagtag tan ta mes. 
ROM.1.32	A vainy te kat kat fi ror to, nat buser ten Gov te kat bus a faun a tavaron to te tsue non a ka: Te toobing non, tana mes te kat kat fi non to, ma atsun famat ravaa. Kainon to te nat finy rori na faun to, ri kat pas er, an sikia ma kat tsun to aya, sana ri te faarof iny ya, te rof non tana mesapan ma kat fatatabiny kat to.
