MAT.1.1	Jisu Krista rui ryzâm dân chu: David sapâ, Abraham sapâ kyntâ: 
ROM.4.15	Dân chu ningrymyknâ a sym sin a; imyitinung dân a awm maknâ kyn chu dân mysyt khawm awm thyi mak. 
ROM.4.16	Hamâtâsiknin, ryngmunâ kân a chang thyi rang kân khymnâ tâsik â chang hi, a rui ngyi kipka samâiton sai chu zawk lounin yng man rang kân, Abraham kuvang khymnâ â nyi ngyi khawm man seng yng. Athi ngyi rang a midam le, tharo awm mak ngyi rang â awm kuvang â rilmi, 
ROM.4.17	ai khym Pathyn mit munâ kyn chu Abraham te yi châk tâ pâ â chang. (“Rui tamka ngyi pâ rang tâ ki sym ha,” tinin sui ai chang kuvang.) 
ROM.4.18	Khym lom i a awm mak khawm atak chu khym taknin â awm a, tam takka ngyi pâ a chang thyi rang kân; “Chumâ ngyi zika ny rui ngyi la awm yng,” tinin ril ai chang kuvang. 
ROM.4.19	Khanung, khymnâ nget mak chang lêm lounin, atak âthi kuvang ai awm ha, a ryvak a, (atak ha kum ryzâka deng a chang ta ia) Sari banchi chang khawm a ryvak a, 
ROM.4.20	imyitinung khymnâ nyi lounin Pathyn Samâiton chu khym lounin awm mak a, Pathyn rang a mypâk a, 
ROM.4.21	a samâiton chu a michang thyi tinin khawm â khym a, a khymnâ mitou a nget ta. 
ROM.4.22	Hamâtâsiknin, a khymnâ ha a diknânin bê a chang ta.
ROM.4.23	Khanung chu, a khymnâ chu a diknânin bê â chang ti ha atak tâsiknin reng sui chang mak a, 
ROM.4.24	yini tâsiknin khawm â chang. Jisu yi Pumâ âthi kyntâ a mythoumi rang â khymmi yi chang a, yi khymnâ chu diknânin bê chang at. 
ROM.4.25	Hâ Jisu chu yi pâp tâsiknin miman â chang a, â dikmi yi chang thyi rang tânin thounin khawm a awm ta.
ROM.5.1	Hamâtâsiknin, khymnâ âdik changnin, yi Pumâ Jisu Krista kânin Pathyn le rawzawmnin awm yi ti. 
ROM.5.2	A kân rêlênin hi ryngmunâ kyn yi dingnâ hi ryngmunânin yi lut ta ia; Pathyn roulynnâ khymnin lawmnin khawm awm yi ti.
ROM.5.3	Khanung, hamâ reng tek lounin, yi rawkhawlnâ kyn khawm lawmnin awm yi ti; rawkhawlnâ chu tipsawinâ a sym, 
ROM.5.4	tipsawinâ chu hoithyinâ a sym a, hoithyinâ chu khymnâ a sym tinin yi hoi a; 
ROM.5.5	hanung, Rythâ Rythyng yi kyn ai pêk ha, Pathyn ryngmunâ chu yi mulunga ai bok tâsiknin khymnâ chu pouleng yi na mirytâr mak. 
ROM.5.6	Yi zâl a hek lâizing kyn ha, a zo dik tak kyn Krista chu mi pâp ngyi ruthulnin a thi ta. 
ROM.5.7	Maniâ dik tâsiknin thi rang a nom awm ang po mak. Imyitinung, maniâ thâ ruthulnin chu atu mychang chu â thi â nom â awm thyi. 
ROM.5.8	Imyitinung, Pathyn mawawlnâ chu mypâk kâinin a mirylang a, rono kyn yi awm lâi ngan Krista chu yini tâ ai thi tâsiknin ha. 
ROM.5.9	Hamâtâsik, atun, âthi le âdikmi yi chang zounin, atak tâsiknin Pathyn ningsy kyntâ zawknin awm rêlê iyi. 
ROM.5.10	Mâitem yi chang lâi ngan a Sapâ thinâ tâsiknin Pathyn le ryngyi sai yi chang ta nung te, ryngyinin yi awm zounin a nunnâ tâsiknin zawknin awm rêlê iyi. 
ROM.5.11	Hamâ reng khawm chang mak a, atun ryngyinâ yi na mirumumi, yi Pumâ Jisu Krista tâsiknin, Pathyn kyn khawm kyi zâi â pâr.
ROM.5.12	Hakhanung, maniâ luka tâsiknin khawmola pâp â lut a, pâp tâsiknin thinâ khawm â lut a, hamâ kuvangnin maniâ kipka awm thamak yng tho tâsiknin, thinâ hi maniâ kipka kyn a lêng ta. 
ROM.5.13	Dân a awm mâna ngan khawmola rono a awm ta ia; dân a awm mak nung chu rono rang rono tinin pawm chang nâ ni, 
ROM.5.14	imyitinung Adam awm kyntâ phut Mosi zo tenka, Adam rysylnâ kuvang awm rysyl lou ngyi kyn khawm thinâ chu rou a bo sin. Adam chu a lâ hawng rang lom le rekhennâ â chang.
ROM.5.15	Imyitinung, tharo manboupêk chu rononâ le ryang mak. Maniâ luka rono tâsiknin maniâ tamka yng thi a chang nung chu, Pathyn ryngmunâ le maniâ luka Jisu Krista ryngmunânin tharopêk chu maniâ tamtak chunga vurnin awm rêlê iat. 
ROM.5.16	Khanung tharopêk chu maniâ luka rono tâsiknin tharo awm le ryang thyi mak; dikmak awmnâ chu maniâ luka tâsiknin a hawng awm a, âdik min changnâ tharo manboupêk chu, rono tamtaka tâsiknin a hawng awm ta. 
ROM.5.17	Maniâ luka siknin thinânin, hâ maniâ luka tâsiknin sêk rou ai bo a chang nung, ryngmunâ rysâng tak le diknâ tharopêk â manmi ngyi chu, maniâ luka tâ (Jisu Krista) siknin damnâ kyn roubo rêlê iyng.
ROM.5.18	Khanung chu, rono khatka tâsiknin dikmak michangnâ bonâ chu maniâ kipka chunga a hawng awm a; hamâ kuvangnin khatka tharo thâ tho ai chang tâsiknin damnâ man rang tâsiknin âdikmi a chang ta, damnâ man rang tâsiknin âdikmi chunga tharo manboupêk chu maniâ kipka chunga a hawng awm. 
ROM.5.19	Maniâ luka chawng ryngâi mak tâsik ha maniâ tamka chu ronomi yng hawng chang ta; hamâ kuvangnin mi luka chawng ryngâi tâsiknin maniâ tamka chu maniâ thâ hawng chang yng. 
ROM.5.20	Khanung, rono hanungzika a rylang thyi rang kânin dân a hawng awm ta. Imyitinung, rono a pungnâ kipka kyn ryngmunâ khawm hanungzika â pung nok sin; 
ROM.5.21	rono chu thinânin rou ai bo tâk kânin, ryngmunâ chu diknânin, yi Pumâ Jisu Krista zâra rou a bo thyi rang kân.
ROM.6.1	Imaw ti tai ti ai? Ryngmunâ chu hanungzika a pung thyi rang kânin rono thonin reng maw awm tai ti? 
ROM.6.2	Dep chang mak. Yini rono kyntâ âthi sai ngyi te hakhanin maw rono le sêk la awm thyi iyi ti? 
ROM.6.3	Yi bil atâ Krista Jisu le baptisma â chang khoka ngyi chu, a thinâ le baptisma yi chang tinin hoi mak chou maw ai. 
ROM.6.4	Hamâsiknin a thinâ le baptisma changnin, a kyn phumnin yi awm ta seng; Pâ roulynnâ le ai thi kyntâ Krista rang ai mythou kuvang, yini khawm damnâ tharnin yi awm thyi rang kân. 
ROM.6.5	A thinâ le munkân rawzawmnin yi awm ta nung, a thounoknâ le khawm rawzawmnin awm yi ti. 
ROM.6.6	Hi ngyi hi hoi nang; yi maniâ mului chu a kyn târnin a awm ta, yi taksâ rono pêlmi chu rymangnin a awm thyi rang kân, atun kyntâ phut chu rono sokro kyn yi awm mak rang kân. 
ROM.6.7	Mi atu khawm a thi nung chu rono kyntâ a sok ta. 
ROM.6.8	Khanung, Krista kyn yi thi nung chu a kyn dam khawm dam seng yi tinin yi khym; 
ROM.6.9	Krista chu âthi kyntâ thounoknin â awm a, a dang thi nok khâi nâ ni tinin yi hoi a; thinâ chu a chunga kut nyi khâi mak. 
ROM.6.10	A thinâ chu rono tyngtânin kumkhoka siknin vawika reng ai thi, imyitinung a damnâ chu Pathyn lam tyng chu â dam. 
ROM.6.11	Hakhavangnin nyngni khawm rono lam tyngtânin kyi na thi ta tinin rêbê nang, imyitinung Pathyn lam tyngtânin chu Krista Jisu le kyi dam tinin rohoi rou.
ROM.6.12	Hamâtâsiknin nyng taksâ ai nom kân nyng zawm thyi rang kânin, nyng taksâ â thi thyimi chu rono le roubo chang mar se. 
ROM.6.13	Nyng tak mychang ngyi khawm dikmaknâ rono tho rangnin kutchemchoi kuvang ryphal ma rou; imyitinung chu âthi kyntâ â dam nok kuvangnin Pathyn kyn mylân rou, nyng taksâ mychang khawm diknâ chemchoi rangnin Pathyn kyn mi lam pe rou. 
ROM.6.14	Rono nyng chunga kutnyi khâi nâ ni, dân roubonâ kyn nyng awm chang mak a, ryngmunâ roubonâ kyn mitou nyng awm.
ROM.6.15	Hakhanin maw chang at ai? Dân roubonâ kyn yi awm chang mak a, ryngmunâ roubo kyn yi awm tâsiknin maw awm rono tho tai ti?
ROM.6.15	Dep chang thyi mak. 
ROM.6.16	Atu kyn khawm yng chawng dawn rangnin sokro nyng lut nung (thinâ tenka rono sokro, a chang mak kale diknâ tenka chawng dawn sokro) a chawng nyng dawnmi sokro nyng chang tinin hoi mak chou maw? 
ROM.6.17+ROM.6.18	Imyitinung, rono sokro nyng chang khawm, rysyi dân a kyn nyng rêpêknâ chu sadim kân mulung le nyng dawn a; hanung rono kyntâ soknin nyng awm a, diknâ sokromi ngyi tou nyng chang tâk; hamâsiknin Pathyn kyn lawmchawng ai awm chang se; 
ROM.6.19	(nyng zâl ai hek tâsiknin maniâ dân chawngnin nyng na ki ril hi) nyng taksâ mychang ngyi chu a repek ngyi kyn le, awmrysyl rangnin rysylnâ sokro kyn nyng rêpêk kuvang, atun nyng taksâ mychang ngyi chu rythyngnâ rang tânin diknâ kyn sokro rangnin repe rou. 
ROM.6.20	Rono sokro nyng chang lâi ha diknâ kyntâ nyng zawk a. 
ROM.6.21	Atun tharo nyng zakpui zât ngyi ha, hamalâi a myrâ imaw nyng man sin? Hâ tharo ngyi mawngnâ chu thinâ tou â chang sin. 
ROM.6.22	Imyitinung atun kyn chu rono kyntâ zawknin Pathyn sokro ngyi tou nyng chang tâk, rythyngnâ man rang tenka a myrâ nyng nyi a, hâ a myrâ chu a mawngnâ tyng kumkhoka damnâ, 
ROM.6.23	rono man chu thinâ; imyitinung Pathyn manboutharopêk chu yi Pumâ Krista Jisu zâra kumkhoka damnâ â chang.
ROM.7.1	Khanung te, sokpui ngyi dân chu maniâ a dam sung chu a chunga rou a bo sin ti ha hoi mak chou maw? (dân â hoimi kyn ki ti â chang hi). 
ROM.7.2	Nupang lompu nyi mitâ chu a lompu a dam tenka chu dânnin a lompu le rikhitnin â awm sin; imyitinung a lompu a thi kale chu, dân rikhitnâ kyntâ chu zawknin â awm sin. 
ROM.7.3	Hakhavangnin, a lompu a dam sunga midang a lâk nung chu, atak rang, “A myngnang nu,” ti iyng; imyitinung a lompu a thi kale nung chu, hâ dân kyntâ chu zawknin â awm a, hamâsiknin midang ai lâk khawm chang tar synang ngan myngnang chang khâi nâ ni.
ROM.7.4	Hamâsiknin, ky sokpui ngyi, mi dang changnin (Pathyn lamtyng yi myrâ thyi rang kânin âthi kyntâ mythou â changmi rêlê ha) nyng lâk thyi rang kân, Krista taksâ tâsiknin Dân lamtyng chu rythatnin nyng awm ta. 
ROM.7.5	Mênin yi awm lâi Dân siknin rono ai hawng rylang ngyi chu yi tak mychang ngyi, thi tenka myrâ rang tânin a tho sin. 
ROM.7.6	Atun chu yi nâ manmi kyntâ thinin, Dân kyntâ musutnin yi awm ta, lekhasui mului kuvang chang lounin, rythâ tharnin tul yi sin thyinâ rangnin.
ROM.7.7	Khanung imaw ti tai ti? Dân chu rono maw â chang?
ROM.7.7	A chang sin maw. Imyitinung Dân siknin ai rohoi chang mar synang chu rono ky hoi mak rang; Dân chu, “Ruzuk ma raw,” ti mar synang chu ruzuk hi ky hoi mak rang â chang. 
ROM.7.8	Imyitinung, rononin, chawngpêk ai chang tâsiknin, ruzuknâ tinka ku chunga a miawm a. Dân bounin rono chu âthi tou â chang. 
ROM.7.9	Khanung, aphut lâi chu kyima te dân bounin ki dam a; imyitinung, chawngpêk a hawng awm kale nung rono chu sangnin a hawng thou a; kyima chu ka thi ta. 
ROM.7.10	Khanung, damnâ rang tânin chawngpêk chu thinâ mitou â chang tinin ky hoi ta; 
ROM.7.11	rono chu chawngpêk tâsiknin kyi lêm rang tânin lam â man a, hâ chawngpêk rang mangnin ka that tâk. 
ROM.7.12	Khanung, Dân chu a rythyng, chawngpêk khawm a rythyng a, â dik a, â tha.
ROM.7.13	Khanung te, tharo thâ chu kyima tâ rangnin thinâ maw â chang?
ROM.7.13	Chang mak, rono chu kyima tâsiknin thinâ mitou a chang ta, hanung chu rono chu rono â chang tinin a rylang thyi rang kân, tharo thâ mangnin ka that a; rono chu (chawngpêk tâsiknin) rono thuk tak a chang thyi rang kânin.
ROM.7.14	Dân chu rythâ tyng tharo â chang tinin yi hoi a; imyitinung kyimate mê tyngtâmi, rono sokro rangnin zor ky chang ta. 
ROM.7.15	Tharo ki tho hi i hoi thyi ming; ki tho hi tho rang ki nommi chang mak a, ki hot takmi tou ky tho sin. 
ROM.7.16	Ki nom mak ngyi ki tho a chang nung, Dân chu â tha tinin ki pawm kuvang â chang. 
ROM.7.17	Khanung chu, ki tho hi kyima ki tho chang khâi mak a, ky kyn rono â awmmi ai tho tou tâk. 
ROM.7.18	Ky kyn (hamâ ha ky mê kyntâ tinâ â chang) tharo thâ reng awm mak tinin ki hoi a; tharo thâ tho rang tâsiknin nomnâ ky nyi khawm chang synang, âtha tho thyinâ chu nyi ming. 
ROM.7.19	Atha tho rang ki nom hi tho sin ming a; rono tho lou rangnin ki nom mitou ky tho sin. 
ROM.7.20	Ki nom mak kân ky tho nung â thomi chu kyima chang khâi ming a, ky kyn â awm ronomi tou ai tho a chang tâk.
ROM.7.21	Hanungchu hi dân hi ky hoi ta; tharo thâ tho rang ky nomnâ kyn rono ky kyn a hawng awm sin. 
ROM.7.22	Ku mulung taknin Pathyn dân chunga ki lawm sin a; 
ROM.7.23	imyitinung ky taksâ mychang ngyi kyn dân danglam â awm tinin ki hoi a, hamâ ha ku mulung atâ dân a rydoupui a, ky tak kyntâ mychang ngyi rono dân â awmmi kyn sokro rangnin ka roi sin.
ROM.7.24	Ryngsokawm tak tou ky chang tâk! Hi taksâ thinâ kyntâ atu maw kyi chang thyi at? 
ROM.7.25	Jisu Krista yi Pumâ tâsiknin Pathyn kyn lawmchawng ki ril â chang.
ROM.7.25	Hanungchu, kyima tak chu ku mulung le Pathyn dân kân tul ki sin sin, imyitinung, ky mê le chu rono dân kân tul ki sin sin.
ROM.8.1	Hanungchu atun kyn Krista Jisu kyn â awm ngyi tâ chu, yng na mêtêknâ lom reng awm mak khâi, 
ROM.8.2	Krista Jisu kyn Damnâ Rythâ dân chu rono le thinâ dân kyntâ ka misok ta. 
ROM.8.3	Mê tâsiknin Dân chu rât mak a, ai tho thyi mak tâsiknin Pathyn chu a sapâ rêlê rang, mê rono nyi kuvang, rono robolnâ rang hawng depnin, mê bylap rono awm rang chu a mitem tâk a; 
ROM.8.4	mê tyngtânin dân zawm lounin Rythâ dân â zawmmi yi kyn hi Dân sym ai chang chu a roso thyi rang kânin.
ROM.8.5	Mê dâna â awm ngyi tâ chu mê tyngtâ tharo yng nom sin; imyitinung Rythâ dâna â awm ngyi tâ chu Rythâ tyngtâ tharo ngyi yng nom sin. 
ROM.8.6	Mê lam tyngtâ tharo nomnâ chu thinâ â chang a, Rythâ lam tharo nomnâ chu damnâ le sungdâinâ â chang; 
ROM.8.7	mênin ai nom chu Pathyn mâitem ai chang tâsiknin. Hamâ chu Pathyn dânnin te awm mak a, awm thyi zât khawm chang mak. 
ROM.8.8	Hamâsiknin, mê kyn â awm ngyi chu Pathyn rang milawm thyi ma ngyi.
ROM.8.9	Imyitinung, Pathyn Rythâ nyng kyn a awm kale chu, mê kyn awm chang khâi mak chou a, Rythâ kyn awm mitou nyng chang tâk. Imyitinung, mi atu khawm Krista Rythâ nyi makmi chu a tâ chang mak chou. 
ROM.8.10	Krista chu nyng kyn a awm nung chu rononâ tâsiknin tak chu â thi; rythâmi chu diknâ tâsiknin damnâ â chang. 
ROM.8.11	Imyitinung, âthi kyntâ Jisu rang a mythoumi Rythâ chu nyng kyn a awm nung chu, âthi kyntâ Krista Jisu rang a mythoumi ha, nyng kyn â awmmi Rythâ zâra chu nyng tak â thi thyi ngyi rang khawm midam at.
ROM.8.12	Hamâtâsiknin, sokpui ngyi, lyi yi ok; mê tyngtâ dân kyn awm rangnin mê tyngtânin chu chang mak. 
ROM.8.13	Mê tyngtâ dânnin nyng awm nung nyng na thi rêlê iat; imyitinung taksânin a tulsin ngyi Rythâ kyn nyng that sin nung dam nyng. 
ROM.8.14	Pathyn Rythâ moroinâ le â awm khoka chu Pathyn synâu yng chang. 
ROM.8.15	Chinâ kyn awm nok rangnin sokro changnâ rythâ nyng man chang mak a; synâu changnâ rythâ nyng man tou â chang, hâ rythâ tâsiknin tou “Abba! (Ky pâ!)” tinin yi hêt sin hi. 
ROM.8.16	Rythâ rêlê ngan yi rythâ le Pathyn synâu yi chang tinin yi na mihoi sin; 
ROM.8.17	hanung, synâu yi chang nung rou a lâ lo lom ngyi yi chang a; Pathyn rou â lomi, Krista rang â lopui ngyi yi chang; a bylap tornin yi awm nung chu a bylap mypâkmannin la awm yi.
ROM.8.18	Atun kyn tornâ ngyi hi nunga yi chunga roulynnâ a rylang lom le chu rekhennâ rangnin ngan chuk mak. 
ROM.8.19	Tharo sym tinka ngyi ha khym tytaknin, Pathyn synâu ngyi yng rylang rang chu ngâknin yng awm. 
ROM.8.20	Tharo sym tinka ngyi chu tharo chukmak awm dân kânin yng na miawm a chang ta (yng nom kân yng awm chang mak a, yng na miawmmi tâsik chu â chang); khymnâ nyinin. 
ROM.8.21	Tharo sym tinka ngyi rêlê khawm ha rysytnâ sokro kyntâ misoknin awm yng a, Pathyn synâu ngyi zawknâ rysâng tak kyn la lut yng. 
ROM.8.22	Tharo sym tinka chu, atun tenka murum le nâu nyi sangpêk tornin munkân yng awm tinin yi lâ hoi. 
ROM.8.23	Hamâ reng chang mak, yini rêlê khawm, Rythâ le moroi â man ngyi hi, synâu yi changnâ (yi tak rang rytannâ chu) ngâknin, yini rêlê khawm yi mulung sung le khawm yi murum rêk sin. 
ROM.8.24	Khymnânin zawknâ yi man a; imyitinung yi mu thyi reng khymnâ hi khymnâ chang mak. Maniâ ai mu thyi reng rang chu i lom maw a lâ khym sin? 
ROM.8.25	Imyitinung yi mu thyi mak chu yi khym kân tipsawi taknin ngâknin yi awm sin.
ROM.8.26	Hamâ kuvang ny Rythâ chu yi zâlheknâ ngyi kyn yi na chang sin a; hakhanin maw chawngmychai lom hoi mak me ia; imyitinung Rythâ chu murum raknin chawng yi na mychai pêk sin. 
ROM.8.27	Khanung, Pathyn ai nom kuvangnin, maniâ rythyng ngyi rang tâsiknin chawng yng na mychai pêk sin tinin, mulung kipka a mivârmi chu Rythâ ai nom kân â hoi sin.
ROM.8.28	Khanung, Pathyn rang a mawawlmi, ai bê kân ai kou ngyi tâsiknin, yng thanâ rang tâsiknin atinka munkân yng na tho pêk sin tinin yi hoi a; 
ROM.8.29	ai hoi sai ngyika chu a Sapâ kuvang awm rang tânin a zen sai ta ia, a Sapâ chu sokpui tamka ngyi sunga nâu ulyn chem a chang thyi rang kân. 
ROM.8.30	Khanung, ai zen sai ngyi chu kou khawm yng na kou a; hanung, ai kou ngyi rangka chu âdikmi yng na sym a, âdikmi â chang ngyi rang chu yng na mypâk khawm mypâk.
ROM.8.31	Hâ chawng ngyi kyn chu imaw ril yi ai? Pathyn yi khak tyng a chang kale atu maw yi na rutukpui thyi lom? 
ROM.8.32	A Sapâ rêlê rang khawm zok lounin, yi châk tâ ruthulnin â pemi chu tharo tinka khawm a man bounin yi na pe nâ ni maw? 
ROM.8.33	Pathyn ai zen ngyi rang chu atu maw diklounin la rêsêl yng ti? Adik â symmi chu Pathyn â chang. 
ROM.8.34	Atu maw dikmak la bê iat? A thimi chu Krista Jisu â chang a; â chang, â thounokmi tou, Pathyn bunêk tyng khak awmnin yi na rawnmi sêk â chang.
ROM.8.35	Krista mawawlnâ kyntâ chu atu maw yi na sikak thyi at? Rawkhawlnâ le maw, mulung ryvaknâ le maw, ronnâ le maw, ngyichâm le maw, takting le maw, chinâ le maw, khendai le maw yi na sikak at?
ROM.8.36	“Nyngma tâsiknin niterepnin thatnin
ROM.8.36	Kyi awm sin;
ROM.8.36	Merâ tan lom ngyi kuvangnin kyi chang,”
ROM.8.36	tinin ai rusui kuvang.
ROM.8.37	Sikak thyi mak, hangyi kipka yi na mawawlnâ siknin sadim kân a mênêmi yi chang. 
ROM.8.38+ROM.8.39	Thinâ ngyi, damnâ ngyi, ryvânpilâi ngyi, mylal changnâ ngyi, tharo awm sai ngyi, tharo a lâ hawng awm lom ngyi, chuknâ ngyi, rysângnâ ngyi, thuknâ ngyi, tharo dang sym tinka ngyi khawm, yi Pumâ Krista Jisu kyn â awm Pathyn mawawlnâ kyntâ chu yi na sikak thyi nâ ni tinin dik taknin yi hoi.
ROM.9.1	Krista kyn chu chawngtak ki ril, lêm ming, Rythâ Rythyng zâra chu kai sy le kai tha hoinâ khawm hi kâ hoipui a, 
ROM.9.2	ku mulung sunga rawkhawlnâ lyn tak le mulung ryvaknâ hek thyi mak ky rawkawl; 
ROM.9.3	sokpui ngyi, mê tyngtânin ku rui ngyi ruthulnin, kyima hi Krista kyntâ rykhaknin ky awm lâi lêu tawngnin tenka awm nang ki ti a; 
ROM.9.4	Israel mi yng chang; synâu changnâ ngyi, roulynnâ ngyi, chawngsawi tinka, Dân pêknâ ngyi, Pathyn tulsinnâ ngyi, samâitonnâ kipka yng tâ â chang a; 
ROM.9.5	rubul ngyi khawm yng tâ â chang, mê tyngtânin te Krista chu yng sung atâ ai hawng sok khawm â chang a; atak chu tharo tinka chunga â awm kumkhoka mypâk lawm Pathyn â chang. Amen.
ROM.9.6	Imyitinung, Pathyn chawng chu i chang lounin ai awm chang mak a. Israel rui ngyi chu Israel mi pheng chang ma ngyi a, 
ROM.9.7	Abraham rui ngyi yng chang tâsiknin yng châknin pheng a nâu chang ma ngyi a; “Isaak rang tou nu rui ngyi yng ti kuvang,” tinin mitou â awm. 
ROM.9.8	Hangyi, mênin tâ synâu ngyi chu Pathyn synau chang ma ngyi a, samâiton le tâ synâu ngyi mitou Abraham chirui bê yng chang tinâ â chang. 
ROM.9.9	Samâiton chu hikhanin â chang, “Hi zo kuvang kyn hawng ket a, Sari chu sapâ nyi at,” ti hi. 
ROM.9.10	Hamâ reng chang mak a, Rebeki khawm luka (yi pu Isaak) le tâ aphir a nyi lâi ha. 
ROM.9.11	Nâutê ngyi yng la zir mân âsy le âtha i yng la tho mân a, yng kâmthonânin chang mak a, â koumi nom dân kân mitou, zennâ lam tyng Pathyn chawng chu a nget thyi rang kân, 
ROM.9.12	a kyn chu, “Ulyn mitou nâupangmi sokro chang at,” Pathyn ai ti ha. 
ROM.9.13	“Jakob rang ky mawawl a, Esau rang chu ki hot,” tinin sui ai chang kuvang.
ROM.9.14	Imaw ti tai ti ai? Pathyn kyn chu a dik maknâ maw â awm? A awm sin maw.
ROM.9.15	Atak chu, “Ryng ki mu khoka rang chu ryng mu ket a, ku mulung ai kham khoka rang chu ku mulung mikham ket,” tinin, Mosi rang a ril ha. 
ROM.9.16	Hamâsiknin, â nommi tâ chang mak a, a rytoumi tâsik khawm chang mak, ryng â mumi Pathyn tâsik tou â chang. 
ROM.9.17	Pathyn Lekha Chawnga Pharao kyn chu, “Himâtâsik reng ngan tou nyngma rang nyng ki mirythou chu â chang. Ny kyn ku chuknâ ki mien thyinâ rang le khawmol pumpuia ki riming a rethek thyi rang kân,” a ti a. 
ROM.9.18	Khanung chu, Pathyn chu ai nom kipka rang ryng â mu sin a, ai nom khoka rang khawm a mulung a mikhyu sin.
ROM.9.19	Nyngma te ky kyn, “I lom maw sêk rêsêl a lâ nyi ai? Ai nom rang atu maw a la khâl thyi?” ni ti â chang thyi.
ROM.9.20	Achang, imyitinung aw maniâ sapâ, Pathyn rang a mykhalmi chu atu maw ni chang? Tharo sym sai chu â symmi kyn, “I lom maw hikhanin ky ny sym?” ti iat maw? 
ROM.9.21	Bêl lung takka, a dang luk lung lounin sym rangnin â symmi tâte bêl nêngpawk chunga te kut nyi mak maw? 
ROM.9.22+ROM.9.23	Ryngmunâ bêl, rysâng tak rang tânin ai rotok sai ngyi chunga chu, a ryngmunâ a mirylang thyi rang kân: ningsynâ bêl a rysyt lom ngyi chunga ha, Pathyn chu a ningsy le a chuknâ mirylang rang nom synang khawm, myyinin tipsawi taknin ai awm chu imaw a rysyt lom? 
ROM.9.24	(Hâ ryngmunâ bêl ngyi chu Juda ngyi sung kyntâ chang lounin, Jentail ngyi sung kyntâ khawm kou yi chang.)
ROM.9.25	Hose lekhabu kyn chu,
ROM.9.25	“Ki mi chang makmi ngyi rang chu,
ROM.9.25	‘Ki mi ngyi,’ yng na ti ket;
ROM.9.25	Hanung, ki mawawl chang makmi rang chu,
ROM.9.25	‘Ki Mawawlmi,’ ti ket.
ROM.9.26	Khanung, hikhanin hawng chang at a, yng kyn, ‘Ki mi ngyi chang mak chou,’ a tinâ muna rêlê chu Pathyn ring synâu ngyi bênin awm yng,” tinin sui ai chang kuvang ha. 
ROM.9.27	Isai khawm Israel mi ngyi tâ hi chawng luk mêhêtnin, “Israel mi ngyi chu tuipuia nêngseret zika tam ngyi synang khawm, yng nai ron lyika ngyi reng kumkhoka zawknâ le damnâ man yng, 
ROM.9.28	Pumâ chu rang taknin zounin rênêng chunga a ron rang lom chawng miroso iat,” ti ai chang ha.
ROM.9.29	Isai sêk ngan, “Mipui ngyi Pumâ chu chi a mythâkmi yi na zok pêk mar synang chu, Sodom kho kuvang chang tai ti ia, Gomora kho kuvang yi na symnin khawm awm tai ti,” tinin ai hai bê sai kuvang khawm ha.
ROM.9.30	Imaw ti tai ti khanung? Jentail, diknâ um lou ngyi chu diknâ yng tung ta; khymnânin diknâ chu. 
ROM.9.31	Imyitinung hâ Israel diknâ dân â um ngyi mi chu diknâ rang tuk zou thyi khâi ma ngyi. 
ROM.9.32	Itâsik maw? Khymnânin um ma ngyi a, sintho le mu rang tânin yng um tâsik â chang. Rukhupnâ lunga yng na rukhup a;
ROM.9.33	“En raw, Zion kyn chu
ROM.9.33	Rukhupnâ lung le
ROM.9.33	Khâlnâ lungpui ky syk a,
ROM.9.33	Mi atu khawm atak rang
ROM.9.33	A khym kipka chu
ROM.9.33	Pouleng rytâr nâ ni,” tinin
ROM.9.33	sui ai chang kuvang.
ROM.10.1	Sokpui ngyi, ku mulung ai nom kân le yngni tâ Pathyn kyn ky chawngmychainâ chem hi, zawknâ yng man thyi rang kân â chang. 
ROM.10.2	Pathyn lam tyng zâl yng sawng tinin yng na ki hoipui a, imyitinung hoi rikip kuvangnin chu ryvak ma ngyi. 
ROM.10.3	Pathyn diknâ hoi lounin, yng diknâmi rang minget rawthawknin, Pathyn diknâ kyn repe ma ngyi.
ROM.10.4	Krista chu â khym kipka ngyi tâ diknâ yng man thyi rang kânin Dân a mimawngmi â chang.
ROM.10.5	Mosi chu, “Dân le diknâ zawm chu, hâ diknâ tâsiknin dam at,” tinin a sui. 
ROM.10.6	Imyitinung khymnâ kân diknâ chu hi khanin a ril: “Nyng mulung le, ‘Atu maw ryvâna lui at?’ (hamâ chu chung tyngtâ Krista rang a muchum tinâ â chang.) 
ROM.10.7	Atu maw nêng khursunga â chum lom? Achang mak kale (hamâ chu âthi kyntâ Krista rang dawm nok rang tinâ â chang) ti ma rou,” tinin. 
ROM.10.8	Hanungte imaw a ti? “Chawng chu ny kyn â nâi, nu mur le nu mulunga khawm â awm,” tinin a ril a; hamâ chu khymnâ chawng yi ril sin hi â chang; 
ROM.10.9	“Nu mur le Jisu te Pumâ â chang tinin ny kam nung, Athi kyntâ Pathyn chu a mythou tinin nu mulung le ny khym nung mawzawknin awm net,” ti hi. 
ROM.10.10	Mi ngyi mulung le yng khym a, diknâ yng man sin a; mur le yng kam a, damnâ khawm yng man sin. 
ROM.10.11	Pathyn lekha chawng a, “Mi atu khawm atak rang â khym kipka mol yng na ryphou nâ ni,” a ti. 
