MAT.1.1	Maketourou gel ka dooudjé lo Jésus Christ, ngon lo David, ngon lo Abraham.
JHN.20.23	Doou ke sésè ïyaidjé né ke madjang la, né ke madjang la goto. Doou ke sésè ngemidjé madjang dè té, madjang la to dè té.
JHN.20.24	Thomas, ke mmarè na Ndounga, kada kedè ke to dökou gérè djo, tokou Jésus dé nè néh kedè ang.
JHN.20.25	Tokou ban mare ndjè kao gè tédjé pa arè na, Djèdjè djo Mbaibé Seigneur mbä. A nè mpa naredè, Tokou ma mo doo ngaonarè ke dja té ke ma moula ngaodjim kem doo ngaonarè té ang, ke ma moula djim karè té ang, ma ma ko mem té ang.
JHN.20.26	Gè té ndò djidjo, ndjè kao gè tédjé éh mè kei té bai, ke Thomas éh kedè. Tokou tadeo kei to ke koutou, Jésus dé arr horodè té, pana, Mè woul éh kesè.
JHN.20.27	Goukoudang nè mpa nare Thomas, Oula ngaodji wo djim ke oula dji karem té, emaitar ang, wo mei té.
JHN.20.28	Thomas tél pa arè, Mbaibé Seigneur lom ke Allah lom.
JHN.20.29	Jésus pa sa na, Mbata i wom, i wo mei té wa? Madji éh ke dooudjé ke wom ang, a dèdè do mèdè té.
JHN.20.30	Tokou ban Jésus da mare né mori nya nò ndjè kao gè tédjé, ke nda maketourou té nèn ang.
JHN.20.31	Tar nèn nda maketourou té, baa sésè asidjé ko mèsè té Jésus to da rò Christ, Ngon lo Allah, mbata sésè woidjé mèsè té, sésè asidjé kinga tébe ke ria.
JHN.21.1	Go né té nèn, Jésus tél tòdjou rè yéh ndja ndjè kao gè tédjé ke tokou man Tibériade té. Nè ntòdjoudè tokou ban.
JHN.21.2	Simon Pierre, ke Thomas ke mmarè na Ndounga, ke Nathanaél ke Cana té ke Galilée, ke ngan lo Zébédée, ke mare ndjè kao gè tédjé djo, dèdè déh loou kadaba.
JHN.21.3	Simon Pierre pa aredè, Ma mao ta sange kaindjidjé. Dèdè mpa sa, Djèdjè djao sei tò. Dèdè dao dourou mè to té, ke dèdè dinga kaindji kada tiltin lé ang.
JHN.21.4	Tokou loou arè, Jésus arr mbòr man té, a ndjè kao gè tédjé geré to Jésus ang.
JHN.21.5	Tokou ban Jésus pa aredè, Ngandjé, sésè éhdjé ke né kousa wa? Dèdè ntél mpa darè, Goto.
JHN.21.6	Nè mpa naredè, Ilaidjé boura er to té ke kòl, sésè a kingaidjé kaindji. Tokou ban dèdè dila boura, ke bashénè bai dèdè dase kòrou boura ang, mbata kaindjidjé dousou.
JHN.21.7	Tokou ban ndjè kao go Jésus té ke Jésus ndikè pa are Pierre, Yèn to Mbaibé Seigneur. Tokou ban, tokou Simon Pierre wo to Mbaibé Seigneur, nè noula koubou rè té, mbata nè néh ke gali ba, ke nè noso mè tokou man té.
JHN.21.8	Ke mare ndjè kao gè tédjé dé ke to ke lem, ndòrou né boura ke kaindjidjé dousou, mbata nange to eo ang, ase mere dji kòrdjo.
JHN.21.9	Tokou ban, tokou dèdè ntéh ngange kongo té, do pourou mï to nou, kaindji to pouro ke mourou.
JHN.21.10	Jésus pa aredè, Edéidjé ke mare kaindji ke waaidjé loshénè nèn.
JHN.21.11	Tokou ban Simon Pierre ourou mè to té, nòrou boura ke nange, ke tòkou kaindjidjé dousou boura, dè dòdòkou ke dòmi gérè mouta, a lé tokou kaindjidjé to baya ban boura tir ang.
JHN.21.12	Jésus pa aredè, Edéidjé öndjé mourou. Mare ndjè kao gè té kada ase ta doudjè ang, I to doou di wa? Mbata dèdè ngeré to Mbaibé Seigneur.
JHN.21.13	Jésus dé oun mourou aredè, ke kaindji tò.
JHN.21.14	Yèn dé gar mouta ke Jésus tòdjou rè ndja ndjè kao gè tédjé, gè té ke nè nï mè bwa yo té.
JHN.21.15	Tokou ban, goukoudang dèdè dön mourou mbä, Jésus pa are Simon Pierre, Simon, ngon lo Jonas, i ndikim wotadè wa? Nè mpa sa, Tokoro, Mbaibé Seigneur, i geré mam ndiki. Jésus pa arè, Are mourou ngan batidjé lom.
JHN.21.16	Nè ntél ndoudjè gar djo, Simon, ngon lo Jonas, i ndikim wa? Pierre pa arè, Tokoro, Mbaibé Seigneur, i geré mam ndiki. Jésus pa arè, Ngem batidjé lom.
JHN.21.17	Nè ntél ndoudjè gar mouta, Simon, ngon lo Jonas, i ndikim wa? Mè Pierre tooè mbata Jésus doudjè gar mouta, i ndikim wa? Nè mpa narè, Mbaibé Seigneur, i geré né toï. I geré mam ndiki. Jésus pa arè, Are mourou batidjé lom.
JHN.21.18	Tokoro, tokoro, ma mpa mari, tokou nai basä, i ndja oula koubou ròi té, ao né deo té ke mei ndiki. Tokou i dé to bouka, i a koula dji kare mare doou a koulai koubou, ke ouni ao sei loou té ke mei ndiki ang.
JHN.21.19	Nè mpa yèn baa ta tòdjè deo kwoei la, ke nata kòsou gadji Allah. Gè té nè mpa yèn mbä, nè mpa narè, Ndja gom té.
JHN.21.20	Pierre tourou rè, a no ndjè kao go Jésus té ke Jésus ndikè godè té. Yèn to nè ke nto kare Jésus té ke dèdè dao dön né mourou ke lowoul té, ke nè mpana, Mbaibé Seigneur, doou ke da a ndokoi wa?
JHN.21.21	Tokou ban, tokou Pierre woè, nè mpa nare Jésus, Mbaibé Seigneur, di a doou nèn ao da wa?
JHN.21.22	Jésus pa sa na, Tokou mam ndiki ta karè nisi sar ta mam ntél, tar nèn to loi wa? I ndja gom té.
JHN.21.23	Tokou ban tar nèn bar horo ngaköèdjé té, ke ndjè kao go Jésus té nèn a kwoei ang. A Jésus pa arè ang, nè na kwoei ang, nè mpana, Tokou mam ndiki ta karè nisi sar ta mam ntél, tar nèn to loi wa?
JHN.21.24	Yèn to ndjè kao go Jésus té ke pa tar nadji né nèn, ke nè nda maketourou té. Djèdjè ngeré tar nadji la to tar ke tokoro.
JHN.21.25	Jésus da mare né nya, tokou dèdè nda maketourou té toï, mam ngeré ang tokou loou ase nange ndja ta taa maketourou ke dèdè da da.
ACT.1.1	Ke maketourou ke dongor lom, Théophile, ma mpa tar do né té toï ke Jésus ounkotè ta da, ke ta tòdjou dooudjé.
ACT.1.2	Nderèng ndò ke nè nao ke tarr, gè té ke nè nare ndjè kouladjé ke nè mberedè tar ndedji deo té lo Ndil ke madji toï.
ACT.1.3	Gè té ke nè ninga ongou toï, nè ntòdjou rè ke siki naredè, deo tar té nya ke dèdè dase maitar dè té ang. Nè ntéh ròdè té ndò doso, ke nè mpa tar béh ko lo Allah.
ACT.1.4	Tokou nè mbona kedè, nè ndedjidè ta kïya Jérusalem ang, a ta ngebe tar ke madji lo Bòi Allah. Tar nèn, nè mpana, Sésè woidjé ke ma mpa maresè mbä.
ACT.1.5	Mbata Jean da baptême ke man, a nai ndò baya ang, sésè a kingaidjé baptême Ndil ke madji toï.
ACT.1.6	Tokou ban, tokou dèdè mbona naaté, dèdè ndoudjè, Mbaibé Seigneur, i a tél béh ko kare Israël loshénè wa?
ACT.1.7	Nè mpa naredè, To tar losè ta geré ang ndò aséh nai ke Bòi Allah da ta ngem mè dja té ndja.
ACT.1.8	A sésè a kingaidjé singa tokou Ndil ke madji toï dé dòsè té. Sésè a déidjé tar nadji lom mè béh Jérusalem té, ke Judée toï, ke Samarie, sar ngange nange toï.
ACT.1.9	Tokou nè mpa ban mbä, tokou dèdè doè, nè nao tarr ke ndi ke il téh niki kemdè té.
ACT.1.10	Tokou dèdè darr daa dara tokou nè nao mbä, wo, dooudjé djo ke koubou ke ndaa arr horodè té.
ACT.1.11	Dèdè mpana. Dooudjé ke Galilée, sésè arridjé ta kaa loou ke dara mbata di wa? Jésus nèn ke dara tèè horosè té, nè na tél deo kadaba tokou sésè woidjé nè nao ke dara mbä.
ACT.1.12	Tokou ban dèdè ntél béh Jérusalem té, dïya tokou err ke ria na Olivier, ke to ngosiba ke Jérusalem. Deo eo ase ta ndja ta tél ndò sabbat té.
ACT.1.13	Tokou dèdè ndé kei té mbä, dèdè dao mè kei té ke to do marè té, loou ke dèdè disi kendé. Dèdè nto Pierre ke Jean ke Jacques ke André, Philippe ke Thomas ke Barthélemy ke Matthieu, Jacques ngon lo Alphée, Simon Zélote ke Jude ngon lo Jacques.
ACT.1.14	Dèdè toï mbona mèdè kadaba ta ngem ta doudjou Allah naaté, ke dènèdjé ke Marie ke to ko Jésus, ke ngaköèdjé ke dingao.
ACT.1.15	Ndò té ke nou, Pierre arr tarr horo ngaköèdjé té, dèdè toï dase dooudjé ngosiba ke dòdòkou gérè dòdjo. Pierre pana,
ACT.1.16	Ngakömdjé, tar maketourou lo Allah ase ta dé to tar ke tokoro ke Ndil ke madji toï pa ban dongor, tokou ta David pa tar lo Judas, nè ke ntòdjou deo nare dèdè ke dwaa Jésus.
ACT.1.17	Mbata dèdè ntourè horodjè té, ke nè ntaa koula ke ka tòdjou tar nèn.
ACT.1.18	Tokou ban doou nèn ndoko nange ke kouka né ke madjang la, nè nòsou gosè nange, mèa mboutou ke koulaa së gaï nange toï.
ACT.1.19	Dooudjé toï ke isi Jérusalem té wo tar nèn. Tokou ban dèdè mmar nange nèn ke ta lodè Hakeldama, yèn pana, Nange nèn to nange mese.
ACT.1.20	Mbata maketourou lo Psaume pana,
ACT.1.20	Ïya kei la are to ba,
ACT.1.20	Ïya doou kada are isi mè té ang,
ACT.1.20	ke
ACT.1.20	Ase kare mare doou taa koula la.
ACT.1.21	Tokou ban horo dooudjé té ke ndja horodjè té ke ndò toï ke Mbaibé Seigneur dé ke ao horodjè té,
ACT.1.22	Kounkoutou baptême lo Jean nderèng ndò ke nè nao dara ke horodjè té, ke horodè té nèn ase kare doou kada dé ndjè tar nadji kï la mè bwa yo té, deo kadaba kedjè to.
ACT.1.23	Dèdè dongou dooudjé djo horodè té, Joseph ke dèdè mmarè na Barsabbas, mare ria na Justus, nè ke Matthias.
ACT.1.24	Dèdè ndoudjou Allah, dèdè mpana, Mbaibé Seigneur, i ke geré mè dooudjé toï, etòdjoudjè doou ke horodè té ke djo nèn, doou ke i mberè.
ACT.1.25	Ta taa loou koula ke ka pa tar horo ndjè kouladjé té ke Judas ïya mba, mbata né ke madjang la, mbata nè nase kao loou la ndja.
ACT.1.26	Dèdè nda lemtë ta bar ridè, ke oso do ri Matthias té, dèdè ntourè deo kadaba ke ndjè kouladjé dòkou gérè kada.
ACT.2.1	Tokou ndò Pentecôte dé mba, dèdè toï mbona loou kadaba.
ACT.2.2	Loshénè loshénè tar téh dara, dé tokou lél bourä. Nè ndousou kei toï ke dèdè disi kendé.
ACT.2.3	Né téh ròdè té, né tokou ndò pourou baya ke kai kada kada, disi do dooudjé té kada kada toï.
ACT.2.4	Mèdè toï dousou ke Ndil ke madji toï, dèdè mpa tar ke mare ta ke dang dang ke Ndil ndja aredè ta pa.
ACT.2.5	Mare dooudjé ke to Juifdjé disi béh Jérusalem té, dooudjé ke ngem tar lo Allah. Dèdè nto gel dooudjé dang dang toï ke isi do nange té nèn.
ACT.2.6	Dooudjé baya baya mbòna naaté tokou dèdè do tokou tar nèn. Dodè tourou mbata dèdè kada kada toï do dèdè mpa tar ke ta koudjoudè ndja.
ACT.2.7	Mèdè ounda do bia, dèdè dedji nya mpana, Woidjé, dooudjé toï ke pa tar to to dooudjé ke Galilée té ang wa?
ACT.2.8	To to di baa djèdjè kada kada toï djo tar koudjoudjè ndja wa?
ACT.2.9	Dooudjé Parthe ke dè ke Mèdes, ke Elamit, ke dèdè ke disi Mésopotamie, ke dèdè ke Judée ke Cappodoce ke Pont ke Asie,
ACT.2.10	Ke dèdè ke Phrygie ke Pamphylie ke Egypte, ke maredjé ke mare nange ke Libye ke to nange té ke Cyrène, ke dooudjé ke to ndjè mbaadjé ke ï Rome té, Juifdjé ke dooudjé ke tourou ròdè to Juifdjé to.
ACT.2.11	Dèdè ke Crétois ke Arabe, djèdjè djo dèdè mpa tar lo tokou koula lo Allah ke ta koudjoudjè kada kada ndja.
ACT.2.12	Mèdè toï ounda do biä ke mèdè sangedè. Dèdè mpa tar horodè té, Yèn to to di wa?
ACT.2.13	Maredjé koukoudè pana, Dèdè nèn vin ke siki dadè.
ACT.2.14	Pierre ao arr tarr horodè té dòkou gérè kada, nè nila mber mpa naredè, Dooudjé ke Judée, ke sésè toï ke isidjé Jérusalem té, ase kare egeridjé tar nèn, etoukaidjé mbisè ta ko tar lom.
ACT.2.15	Mbata vin da dooudjé nèn ang tokou sésè edjidjé, mbata kade ï dél ase mouta ba bai.
ACT.2.16	Yèn to tar ke prophète Joël pa leo,
ACT.2.17	Allah pa, Ndò ke goukou a dé tokou ban,
ACT.2.17	Ma ma kongou Ndil lom do dooudjé té toï,
ACT.2.17	Ngansè ke dingao ke ngansè ke dènè a pa tar lo Allah,
ACT.2.17	Ke basädjé losè a ko né tokou mare lo ni,
ACT.2.17	Ke boukadjé losè a ko né ke ni baya.
ACT.2.18	Tokoro, ke ndò té ke nou, ma ma kongou Ndil lom do ndjè kouladjé té lom ke dingao ke ndjè kouladjé té lom ke dènè, ke dèdè da pa tar lo Allah.
ACT.2.19	Ke ma ma tòdjou né ke dara ke tarr, ta kare mè dooudjé ounda do biä, ke né tòdjou ke nange nèn, tar mese ke pourou ke sa pourou.
ACT.2.20	Kade a tél ndoul, ke nnè a tél mese dongor ndò lo Mbaibé Seigneur dé, ndò ke to tokou ndò ke bo ke tòdjou ndokoo.
ACT.2.21	Tar a dé tokou ban, dooudjé kada kada toï ke bar ri Mbaibé Seigneur a kinga kadji.
ACT.2.22	Dooudjé lo Israël, woidjé tar nèn. Jésus ke Nazareth doou ke Allah oulè horosè té ke tokou koula, ke né ta kare mè dooudjé ounda do biä, ke né tòdjou ke Allah da deo té la kemsè té, sésè ndja egeridjé tokou ban.
ACT.2.23	Jésus nèn ke dèdè dwèè deo té lo tar ke Allah edji mèa té leo ta da, ke tar ke nè ngeré leo, sésè arèdjé dji dooudjé té ke mbeté tar ndedji ta tòlè do kake dèse té.
ACT.2.24	A Allah arè nï tarr mbata nè nòrou né ongou yo mbä, mbata yo ase ta ngemè ang.
ACT.2.25	Mbata David pa tar la,
ACT.2.25	Ma mo Mbaibé Seigneur nòm té ke ndò ke ndò,
ACT.2.25	Mbata nè nisi do dji kòlem té ta kare né a yèm ang,
ACT.2.26	Mbata yèn mem koukou ke ndöm pa ke koukou, tokou ban da rom a kisi ke mè ngebe to.
ACT.2.27	Mbata i a kïya oumam loou té ke djabao ang, ke i a kïya ndjè kada loi ke madji toï ta ndoum ang.
ACT.2.28	I tòdjoum deo tébe mbä, i a kare mem dousou ke koukou mbòri té.
ACT.2.29	Ngakömdjé, ma mase pa tar lo kadjèdjè David madji toï karesè, ke nè noei mba ke dèdè ndoubè to, ke dòbarè to horodjè té bokonè bai.
ACT.2.30	Tokou ban, mbata nè nto prophète, ke nè ngeré Allah tòè ke koubou rè leo, ke Allah a karè ngon kada ke nè na koudjè ta kisi ngèndé béh kö té la,
ACT.2.31	Nè no tar dongor ke nè mpa tar kï mè bwa yo té lo Christ mbä, ke nè nai loou té ke djabao ang, ke da rè ndoum ang to.
ACT.2.32	Jésus nèn ke Allah arè nï tarr, djèdjè toï nto tar nadji tar nèn.
ACT.2.33	Tokou ban mbata Allah wèè ke tarr do dji kòlè té, ke mbata nè ninga ke dji Bòi Allah té tar ke madji lo Ndil ke madji toï, nè nongou yéh nèn ke sésè woidjé ke kemsè ke mbisè.
ACT.2.34	Mbata David ao dara ang, nè ndja mpana,
ACT.2.34	Mbaibé Seigneur pa are Mbaibé Seigneur lom,
ACT.2.34	Isi dò dji kòlem té,
ACT.2.35	Sar mam nda ndjè kembaadjé loi ta karedè ndé to né kongou gòli.
ACT.2.36	Tokou ban are dooudjé ke kei lo Israël toï geré ke tokoro ke Allah are Jésus isi to Mbaibé Seigneur ke to Christ to, Jésus nèn ke sésè etòlèdjé do kake dèse té.
ACT.2.37	Tokou dèdè do tar nèn, bel ourou mèdè té, dèdè mpa dare Pierre ke mare ndjè kouladjé, Ngaködjè, djèdjè dja da di wa?
ACT.2.38	Pierre pa aredè, Mbetidjé kedji né da ke madjang losè, ao ingaidjé baptême kada kada toï ke ri Jésus Christ, nè ke na kïya né ke madjang losè, tokou ban sésè a kingaidjé né kinga ba lo Ndil ke madji toï.
ACT.2.39	Mbata tar nèn to mbata losè ke ngansè, ke to mbata dèdè toï ke disi deo eo, dèdè kada kada toï ke Mbaibé Allah lodjè bardè rè té.
ACT.2.40	Bana Pierre pa tar ke mare tar baya baya, ke nè ndedjidè mpana, Etéhdjé are Allah adjisè ke horo gel dooudjé té ke madjang nèn.
ACT.2.41	Tokou ban dèdè ke do tar la mèdè té, dèdè dinga baptême mbä. Ndò té ke nou dooudjé ngosiba ke dourou mouta mbona kedè.
ACT.2.42	Dèdè disi ta ko tar ke ndjè kouladjé tòdjoudè ke mè kadaba, ke ta koukou mourou ke ta doudjou Allah tò.
ACT.2.43	Bel da dooudjé kada kada toï, ke deo né té ke ndjè kouladjé da ta kare mè dooudjé ounda do biä ke né tòdjou nya.
ACT.2.44	Dèdè toï ke do mèdè té disi loou kadaba, ke dèdè mbòn né lodè toï naaté mbata dèdè toï.
ACT.2.45	Dèdè nlabe ndòò lodè ke né lodè, dèdè nkaina né horodè té kada kada toï asedè tokou né doudè.
ACT.2.46	Ndò ke ndò dao tòkou kei Allah té naaté, ke dèdè dön mourou mè kei té lodè, dèdè dön mourou lodè ke mè kada ke koukou.
ACT.2.47	Dèdè mpiti Allah, ke dèdè ndé madji kem dooudjé té toï. Ke ndò ke ndò Mbaibé Seigneur mbòna kedè dèdè ke dinga kadji.
ACT.3.1	Pierre ke Jean ao ta kao tòkou kei Allah té ke kade ke to ka doudjou Allah, kade tél ase djikada to kade doudjou,
ACT.3.2	Dooudjé oto doou kada ke doudjè to ndjè mete. Ke ndò ke ndò dèdè dïyè tadeo tòkou kei Allah té, ria na Koura, ta koi né dji dooudjé té ke ao mè tòkou kei Allah té.
ACT.3.3	Tokou nè no Pierre ke Jean dao ta kande mè tokou kei Allah té, nè ndoudjoudè mbata koidè né.
ACT.3.4	Pierre ke Jean dèè nya, nè mpana, Wodjè.
ACT.3.5	Nè naadè nya mbata nè nedji pana da karè mare né.
ACT.3.6	Pierre pana, Narè aséh lor to djim té ang, a né ke to djim té ma mari, ke ri Jésus Christ ke Nazareth, ï tarr, ndja.
ACT.3.7	Pierre waa dja ke kòl, nouè ke tarr. Loshénè loshénè gòlè ke sèngelè gòlè inga singa.
ACT.3.8	Nè nkoudja, nï tarr narr, nè ndja, nè nao mè tòkou kei Allah té kedè, nao ndja, nao nkoudja ke nao mpiti Allah.
ACT.3.9	Dooudjé toï woè nao ndja ke nao mpiti Allah.
ACT.3.10	Dèdè ngeré nto nè ke nisi tadeo tòkou kei Allah té, ria na Koura, ta koi né, mèdè sangedè ke mèdè ounda dò biä mbata né ke da doou nèn.
ACT.3.11	Tokou nè nao ngange Pierre ke Jean, dooudjé toï aïngorou ròdè té kare kei té lo Salomon, mèdè ounda do biä nya.
ACT.3.12	Tokou Pierre wo tar nèn, nè mpa nare dooudjé mpana. Dooudjé lo Israël, mbata di a mèsè sangesè mbata tar nèn wa, aséh mbata di a aaidjédjè ban wa, tokou to singa lodjè ndja aséh tar ke madji lodjè ndja ke are doou nèn ta ndja wa?
ACT.3.13	Allah lo Abraham ke lo Isaac ke lo Jacob, Allah lo kadjèdjè òsou gadji Ngonè Jésus mbä, nè ke sésè wèèdjé ke mbetédjè nò Pilate té, tokou Pilate ndiki ta kïyè.
ACT.3.14	A sésè mbetidjé ndjè kada ke madji toï ke gaté gaté toï mbä, ke sésè edoudjidjé ta karesè ndjè toï doou mbä.
ACT.3.15	Sésè etòlidjé Mbai tébe mba, a Allah arè nï tarr mè bwa yo té. Djèdjè nto tar nadji tar nèn.
ACT.3.16	To ria, ke ko mè té ke ria ke are doou nèn singa ke sésè woèdjé ke egerèdjé. To ko mè té deo té lo Jésus ke are doou nèn rò ke siki kemsè té toï.
ACT.3.17	Loshénè ngakömdjé, mam ngeré ke sésè edaidjé ban mbata sésè egeridjé gatang, deo kadaba tokou mbaidjé losè da tokou ban to.
ACT.3.18	A tar ke Allah pa dongor ke ta prophètedjé toï ke Christ la ase kinga né ongou, tokou ban nè nda toï mbä.
ACT.3.19	Tokou ban mbetidjé kedji né da ke madjang losè, etélidjé bai ta kare mè Allah ase ta kïya né ke madjang losè, ta kare ndò kinga rònèl ta dé ke rò Mbaibé Seigneur té.
ACT.3.20	Tokou ban nè na kase koula Christ ndja ke nè mmarè ke daka mbata losè, Jésus ndja.
ACT.3.21	Nè ke dara ase ta ngemè sar ndò da né toï ke Allah pa ta prophètedjé té la ke madji dongor kèté leo.
ACT.3.22	Moïse pana, Mbaibé Allah a koula prophète kada karesè ke ï horo ngakösè té, deo kadaba tokou ma ndja. To tar losè ta ko tar toï ke nè na pa karesè.
ACT.3.23	Tar a dé tokou ban, dooudjé kada kada toï ke wo tar lo prophète nèn ang, na toudjoudè toï horo dooudjé té.
ACT.3.24	Prophètedjé toï ke pa tar mbä, sar Samuel ke dèdè ke ndé gè té, dèdè mpa tar ndò nèn toï to.
ACT.3.25	Sésè etoidjé ngandjé lo prophètedjé, ke ngandjé lo tar ke Allah to are bòsésè mba, tokou nè mpa nare Abraham, Ke mè ngandjé té loi gel dooudjé toï ke nange nèn a kinga madji.
ACT.3.26	Allah ke are Ngonè ï tarr, noulè ròsè té dongor, ta da madji kesè, ta télsè kada kada toï ta kïya né ke madjang losè.
ACT.4.1	Tokou dèdè nai mpa tar ke dooudjé, ndjè kòrdjé ke mbai ke tòkou kei Allah té, ke Sadducéendjé ndé dodè té.
ACT.4.2	Mèdè toodè mbata dèdè ntòdjou tar dooudjé, ke dèdè ntòdjou tar kï mè bwa yo té mè Jésus té.
ACT.4.3	Dèdè dwaadè, diladè kei koula té ta ngebe bara, mbata loou ndoul mbä.
ACT.4.4	Maredjé baya baya ke horodè té ke wo tar ndja, do mèdè té, dèdè ngosiba ke dooudjé dourou mi.
ACT.4.5	Ke bara ke si, mbaidjé lodè ke tòkou dooudjé ke ndjè da maketourou ndedjidjé mbòna naaté Jérusalem té.
ACT.4.6	Ke Anne mbai lo ndjè kòrdjé, ke Caïphe ke Jean ke Alexandre, ke dèdè toï ke nto to gel mbaidjé lo ndjè kòrdjé.
ACT.4.7	Tokou dèdè dila Pierre ke Jean horodè té, dèdè ndoudjoudè, Ke singa lo na aséh ke ri na a sésè edaidjé né nèn wa?
ACT.4.8	Tokou ban Pierre dousou ke Ndil ke madji toï, pa aredè, Mbaidjé lo Juifdjé ke tòkou dooudjé,
ACT.4.9	Tokou ao esangidjé tar lodjè bokonè mbata né ke madji ke nda ke ndjè rò too nèn, ke ka deo di a doou nèn isi madji wa,
ACT.4.10	Ase kare egeridjé tar nèn toï, ke dooudjé lo Israël toï tò, ke deo té lo ri Jésus Christ ke Nazareth, nè ke sésè etòlèdjé do kake dèse té, nè ke Allah arè nï tarr mè bwa yo té, deo té la ndja doou nèn arr horosè té ke rè ke madji.
ACT.4.11	Jésus to err nèn ke sè ndjè da kei mbetidjé mbä, ke dé to tòkou kikil kei.
ACT.4.12	Kadji to mè mare doou kada ang, mbata mare ri kada goto ko dara té ke to horo dooudjé té ke a kase kadjidjè.
ACT.4.13	Tokou ban, tokou dèdè do bel lo Pierre ke Jean goto, ke dèdè ngeré ke Pierre ke Jean to dooudjé ke geré maketourou ang, dèdè nto dooudjé ba, mèdè edji. Dèdè ngeré ke Pierre ke Jean disi ke Jésus mba nga.
ACT.4.14	Mbata dèdè do doou ke ndjè rò too ke rè dé madji arr horodè té, dèdè déh ke tar ta tél né karedè ang.
ACT.4.15	Tokou dèdè mpa daredè ta kao daka ke horo ndjè gange sariadjé té, dèdè mpa horodè té, sariadjé té, dèdè mpa horodè té,
ACT.4.16	Mpana, Djèdjè dja da di ke dooudjé nèn wa? Mbata deo té lodè tokou né mori téh kem dooudjé té ke Jérusalem toï, djèdjè djase ta mai ang.
ACT.4.17	A ta kare tar nèn ndja horo dooudjé té marè ang nga, ase kare djèdjè ndangedè ta pa kare mare doou kada ke ri nèn ang nga.
ACT.4.18	Tokou ban dèdè mmardè, ke dèdè ndangedè ta pa aséh ta tòdjou tar ke ri Jésus ang nga.
ACT.4.19	A Pierre ke Jean ntél tar aredè, Di a to gaté gaté kem Allah té, ta ko tar losè wota tar lo Allah, sésè asidjé gange tar nèn.
ACT.4.20	Mbata djèdjè djase ta pa tar ke djèdjè djo ke kemdjè ke djo ke mbidjè mbä to.
ACT.4.21	Tokou dèdè ndangedè bai, dèdè dïyadè dare dao, mbata dèdè dinga deo ta koundadè ang mbata lo dooudjé, mbata dooudjé toï òsou gadji Allah mbata né ke dèdè nda mbä.
ACT.4.22	Mbata doou ke inga madji deo té lo né mori nèn, bal la ase wota bal doso.
ACT.4.23	Tokou dèdè dïyadè dare dao, dèdè dao rò ndjè bokoradjé té lodè. Dèdè mpa tar ke tòkou ndjè kòrdjé ke tòkou dooudjé pa aredè.
ACT.4.24	Tokou dèdè do tar nèn, dèdè mpa naaté dare Allah, mpana, Mbaibé Allah, i ke da dara ke nange nèn, ke tòkou man ke né toï ke mèdè té,
ACT.4.25	Ke deo té lo ta bòdjèdjè David, ndjè koula loi, I pa deo té lo Ndil ke madji toï,
ACT.4.25	Mbata di a Gentildjé pa ke ongou,
ACT.4.25	Ke dooudjé dang dang edji tar ba ba wa?
ACT.4.26	Mbaibédjé ke nange nèn ï tarr,
ACT.4.26	Ke mbaidjé mbona naaté mba ta mbeté Mbaibé
ACT.4.26	Seigneur ke ta mbeté Christ la.
ACT.4.27	Mbata tokoro mè béh té nèn, Hérode ke Ponce Pilate djokem, ke Gentildjé ke dooudjé lo Israël mbona naaté ta mbeté Ngon ke madji loi Jésus, nè ke i ila oubou dè té mbä.
ACT.4.28	Dèdè mbòna ta da né ke dji ke mei edji leo ta karedè nda.
ACT.4.29	Loshénè Mbaibé Seigneur, wo tar ndange lodè, are djèdjè ndjè kouladjé loi ta pa tar loi ke bel kada ang.
ACT.4.30	Tokou i oula dji ta kòrou rò too ke ta da né tòdjou, ke né ta kare mè dooudjé ounda do biä, deo té lo ri Ngoni Jésus ke madji toï.
ACT.4.31	Tokou dèdè ndoudjou Allah mbä, loou ke dèdè disi kendé yè, ke mèdè toï dousou ke Ndil ke madji toï, ke dèdè mpa tar lo Allah ke bel ang.
ACT.4.32	Dooudjé toï ke wo mèdè té, dèdè disi ke mè kadaba ke kedji kadaba, ke doou kada pa ang, né ke to dja té to né la ndja. Dèdè mbòn né lodè toï naaté mbata dèdè toï.
ACT.4.33	Ndjè kouladjé pa tar nadji ke singa nya do tar kï mè bwa yo té lo Mbaibé Seigneur. Tokou mè madji to dodè té toï.
ACT.4.34	Doou kada horodè té isi ba ang, mbata dèdè toï ke disi ke ndoo aséh kei, dèdè nlabe toï. Dèdè doun narè né ke dèdè nlabe mbä,
ACT.4.35	Dila narè nèn no gòl ndjè kouladjé té, baa dèdè nkai dare dooudjé kada kada asedè tokou né doudè.
ACT.4.36	Tokou ban Joseph, nè ke ndjè kouladjé ounda ria na Barnabas, yèn pana, Ngon ndedji, ke gel Lévi ke dèdè doudjè béh Chypre té,
ACT.4.37	Nè nlabe ndòò la, nè noun narè nila nò gòl ndjè kouladjé té.
ACT.5.1	Mare doou kada ria na Ananias ke dènè la Saphira nlabe mare ndòò la,
ACT.5.2	Nè niyaa mare narè goukou, dènè la geré tar nèn to. Nè noun mare narè nila nò gòl ndjè kouladjé té.
ACT.5.3	A Pierre pana, Ananias, mbata di a Satan dousou mei ta pa tar ngem kare Ndil ke madji toï, ta kiyaa mare narè ndòò loi goukou wa?
