MAT.1.1	Taki̱da ki̱kuwang Yesu Masiya, buke Dauda, wu n ki̱n buke Yibrayime.
ACT.23.21	Aya keduwe, di̱ne ni̱bu a la wani taana bi̱bu a lailaiye mu ki̱baddu ka chi̱u ki̱nu, n chi a tu a twa̱n chi ko a ne chi chadu ka chi node a mwintuwe chi chi̱u ki̱nangu.”
ACT.23.22	Yinu wuduwe a yi ki̱n ko, “Fwadu wuka nii mi̱nu we mwi n fwami ya̱m bi̱bu. Yinu a yo ki̱n a yikan.”
ACT.23.23	Yinu wuduwe a yal kwa̱bi ni̱bu ki̱rang Romami burau a yi chi ko, “Ti̱do bwi di̱ne ta kunnu ta yika Kaisariya yo ki̱swi kanodu a fi a turkube wu kume n ti ni̱bu ki̱rangmu kuuliti turau n ti ni̱bu ki̱rangmu ki̱ni kweretimu wan ti̱dibiin n ti ni̱bu kuni̱m yarti̱mu kuuliti turau.” 
ACT.23.24	A yi ti̱n ko, “Ti̱bau kwere wu m Bulus ka fi̱le. Yati̱ yo ki̱ne li̱mang we di̱ Felise.” 
ACT.23.25	Yinu wuduwe ni̱bu kuni̱me a mwal lwangi̱ni ying. 
ACT.23.26	“M mi̱na Kalaudiya Lisiya, mi̱n mwal mi̱nu Kwabna Felis. Mi̱n siinu.
ACT.23.27	“Ni̱bu Yafudam a tau nii wu, n chi a mwata ya̱mu ka chi̱u ki̱nu. Yinu n fumbwi m mi̱n n ti ni̱bu ki̱rangmu ni̱n chaka ki̱n a fa̱li bwai di̱ne mang nwe ko n ki̱n naba Roma. 
ACT.23.28	Yo mang kwer mi̱n baddu mang nwe ki̱le wu n ki̱n a mange, n tung ki̱n a kwa̱l muraki̱n chiin. 
ACT.23.29	N ya chi ki̱turadu a ya̱m yilang chiyang, aya ki̱le n chi a yo ki̱mi̱ne a lambu wu a kwakku niyange ka wu a chikku kange. 
ACT.23.30	Yinangu mang ya di̱mwaru ko ni̱bu a bwa̱u ya̱mu yaka ma ki̱mi̱n muli̱nangu, nang wu mang tum mi̱ne. Yinu n yi ni̱bu a Mai keme komu mi a fwa we kakku mwangu ki̱le n chi a ku a ma.”
ACT.23.31	Di̱ne yiko, ni̱bu kuni̱mu a da̱u Bulus yinangu ni̱bu a yi chiyangu. N chi a yikan Atifatiri ki̱ni kum. 
ACT.23.32	Bafi̱nenangeko n chi a du ni̱bu ki̱rangmu kweretimu ko a chakakku a yikani ki̱n, bi̱kamu a ki̱lawe sabi̱r
ACT.23.33	Kangu bi̱kamu ni̱bu ki̱rangmu a lam Kaisariyangu, n chi a ni Kwabna lwangi̱nu, a duti̱ Bulus we fiko.
ACT.23.34	Yo n Kwabna a ki lwangi̱n di̱de a bi̱u Bulus yaa wu n ki̱n a chir mi̱ne. Yinangu a nwe ko a chire a Ki̱likiyangu, 
ACT.23.35	yinu a yi ko, “Mang kaba ya̱m mumu, ki̱dangu ni̱bu a mar kememu ka bedangu. Yinu n ki̱n a yi ni̱bu ko a yingen a sa̱ngka Yiriduse.”
ACT.24.1	A kuteng ditiyi yunuwangu, wuduwe fansetiye n Ananiya a ya n ti bi̱kam tikaketi ni̱bi n ti wukane naba yingku yili̱ne, wu di̱n ki̱nu n Taruluse, a ya mar keme Buluse a di̱Kwabna. 
ACT.24.2	Yo kuu ni̱be a lewe ki̱ni Buluse, n Taruluse a mwe a ya ki̱ni keme Bulus we kakku Kwabnange ko:
ACT.24.2	“Kwabna, ni̱n nwe ta̱ma̱ng mati̱n mwitangu, di̱ne mwang kasane, mun ya̱nti̱la chitu, mun dodu yinangu ka dadangu. 
ACT.24.3	Kasi no bwa̱le, kasi no yire ni̱n weri̱nu ni̱n wananu Felis. 
ACT.24.4	Aya ke ni̱n kai mi̱nu ki̱swi we, ni̱n baddu mwang nwe ni̱nu. 
ACT.24.5	N we yiko, ni wu a ma kulangkulang, ki̱yo bi̱ngaiyu we ni̱bu Yafudamu n ti kasi no bwa̱le we ti̱mu. Ti̱nti̱ne n ki̱n nang wuduwe we kwa̱l di̱du ki̱bunti̱ naba Nasa̱rete. 
ACT.24.6	Ni̱n tau ki̱n di̱ne n ki̱n, a no ki̱baddu ka kai Kan Kwamanu.
ACT.24.7	“Aya Lisiyas wuduwe ni̱bu kuni̱me a be yiti̱ ki̱n we a fa̱li niiyu ki̱ni dukan. 
ACT.24.8	Ka n ya̱nti̱la ya̱m bi̱bu m mun fwa̱ne, mwang swaanu we di̱ki̱ne chi ni̱n fwadu a dur ki̱nitu.”
ACT.24.9	Ni̱bu Yafudamu we fiko a ke ko ya̱m bi̱bu we yiko.
ACT.24.10	Ki̱dangu Kwabna a ni Bulus da ko a fwa ya̱ma̱ngu, m Bulus a kun ko, “Tete Kwabna, n yim m ma swa̱ti̱tu nabwen mun kaba ya̱mi kuu ni̱bu Yafudam, ti̱tu a ni mi̱n dukanu mang kwila ya̱mu a dur mi̱ni̱mu. 
ACT.24.11	Ka n ta̱lle, mwang swaanu ko n ya Wurchalima a labu ditiyi kub chiri yurabiyu ke n sii ki̱n. 
ACT.24.12	Ni̱bu a mar keme mi̱mu a kubu mang mabu di̱kulan yiin n ti wuka ni, mang sukebu ni̱bu kasi no a bwa̱le we bi̱nu. 
ACT.24.13	Ya̱miyu n chi ki̱fwadu a dur mi̱niyu a ne kwa̱l chi we dur mi̱nu.
ACT.24.14	“Chi mang ketu nang ya̱mu ko mi̱n sii Kwama mi̱n bunti̱ wa̱re bunti̱ke wu a tukebu chi̱reme wu n chi ki̱kodu ko a ne bi̱yili̱m we. Mi̱n n ke bi̱yili̱mu ya̱m bi̱mwali̱li̱mu we ya̱mu Fa̱ku Musa a mwal we tatti̱ki̱dai yika̱rimu. 
ACT.24.15	Mi̱n n yo ni̱ru we Kwama yinang chi, mi kunku kwa̱miyangu n we, di̱ne ni̱bu yilemu n ti bi̱bwilami kwang. 
ACT.24.16	Mi̱n funti̱bwi diti ki̱da̱ng mi̱n do ni̱ri si̱k we kakku Kwamangu n ti ni̱bu.
ACT.24.17	“A kutengu swa̱ti̱tu a su bayimangu, m be Wurchalima be mang ma kuu ni̱bu mi̱mu mi̱n ki̱li̱mang di̱ne ti̱lusanitu ke m mati̱ niku we se Kwama. 
ACT.24.18	Yo mang le mi̱n ma ti̱te, n chi a be, a tai we se Kwama. A ya n tu n nura bwiyu n ri, n newe n ti wuka nii, mang mati̱bu kulangkulange. 
ACT.24.19	Aya bi̱kam ni̱bu Yafudam bi̱bu a be a Asiya we fiko, n chi no nang ni̱bu ka bedu ki̱ni ya̱m we dur mi̱ni̱mu. 
ACT.24.20	Ka bi̱bu we fimu ka fwa ki̱le n chi a ya, mi̱n madu we kakku kwa̱l kabaki̱ne. 
ACT.24.21	Ya̱mu mang yimi̱mu ka bi̱bu mang kun mang ti a kakku chiyang mang fwa mi, ‘Ni̱bu ki̱kaba midu di a ya̱m kunku kwa̱miyang.’ ”
ACT.24.22	N Felis wu a yim chitu a lwe chi we wa̱re bunti̱ku Yesuwange, a ti ki̱ni chi we ya̱mu ko, “Ka yam yo n tikake Lisiyas ka bede yinu ka mwata ya̱mu.” 
ACT.24.23	N Felis a yi wuduwe ni̱bu toki̱me ko a yotu Bulus we didiin, a nidu riye we, yinu a du fati̱bu ki̱mu a nang ni chi ki̱badditu.
ACT.24.24	A kutengu a da diti bayimangu, n Felis a be n ti nayeko n Durusila wu n ki̱n na Yafuda, a ni da ni̱bu a chake Bulus, a si ki̱tele we ya̱m ki̱mu a keku bi̱yili̱mang Yesu Masiyangu. 
ACT.24.25	Yinu m Bulus a fwa ya̱m yilemu n ti yinangu ni ka tau dur ki̱nangu n ti mwataki̱ku ki̱bedangu. We bi̱bu ya̱m, tayi a tau Felis, a yi Bulus ko, “Ki̱latuwe didiin, n we mang yali̱nu yo mang ya ki̱swiye.” 
ACT.24.26	Yade n ki̱n ki̱yo ni̱ru ko kanodu m Bulus ka fu ki̱mi̱n yii ki̱ni ka̱mbi̱re, n ki̱n a le ki̱yal Bulus ki̱dati kwang ki̱fwa ya̱mu ware.
ACT.24.27	A kuteng swa̱ti̱ti turabangu, n Fokiyu Festu a sute Felis we Kwabnatu. N Felis a du Bulus we di̱bi̱nti̱lu di̱ne ke ni̱bu Yafudamu a wer ki̱n.
ACT.25.1	Diti yitta a kuteng ki̱ku n Festu a be ke ki̱chakakku ki̱ni Kwabnatangu, A kun we Kaisariya a yika Wurchalima. 
ACT.25.2	We bwako, tikaketi fansetiyu n ti tikaketi ni̱bu Yafudam, a mar keme Buluse a di̱ki̱ne. N chi a wana ki̱n ko, 
ACT.25.3	a ma wa̱re m Bulus ka ki̱lan Wurchalima di̱ne chi a do bi̱kam ni̱bu ka mwatu ki̱nu we wa̱re ka chidu. 
ACT.25.4	N Festu a yi chi ko, “Ni̱bu ka to Bulus a Kaisariya, m mi̱n m mi̱fwan mang ya bwako a ne tike. 
ACT.25.5	Di̱ne yiko, bi̱duum chimu a be ware n ti mi̱n, ka ni wu a ma wuka ki̱le, n chi ka bi̱tti̱nu.”
ACT.25.6	A kuteng ki̱ku n Festu a da ditiyi nari̱bu ka kubengu, a kun a ki̱la Kaisariya. Bafi̱nenangeko, a yi ni̱bu ko a chakku ki̱mi̱ne Bulus, n ki̱n a swe a kaba ya̱mu. 
ACT.25.7	Yo m Bulus a lam fiko, ni̱bu Yafudamu a chire we Wurchalima a kun a mu ki̱mi̱ntuwe ki̱ni ya̱miyu we dur ki̱nu nabwen yiyu a mabi̱ duri. 
ACT.25.8	Yinu m Bulus a kun a yu dur ki̱nu ko, “Mang mabu ki̱le we yili̱n ni̱bu Yafudamitu n ti kan di̱dunu a Wurchalimanu ka n Kaisare ko bayim.”
ACT.25.9	N Festu wu ki̱baddu ni̱bu Yafudamu ka wer ki̱ne, a yi Bulus ko, “We mwang kedu mwang ya Wurchalima ke ni̱bu a kaba mi̱n ya̱m bi̱bu we kakku manga?”
ACT.25.10	M Bulus a yi ki̱n ko “M mi̱n a kakku kan mwataku Kaisar, finu nang kan mwataki̱nu wu a Roma siine, fi nang fi a dakan ni̱bu ka kaba mi ya̱m we. Yo kwer mwang yim mang mabu ki̱lewe ni̱bu Yafudame. 
ACT.25.11	Ka m mi̱n mang ma ki̱le wu a lwe mang bwade, a ne mang kodu mi ni̱bu a chiyuwe. Aya ka a ne bi̱yili̱m we keme chiye, a ne nii a lwe ka ni mi̱nu a fa̱la̱ng chiyange we. N ke ya̱mu ka yika kakku Kaisar.”
ACT.25.12	A kuteng ki̱ku n Festu a twaya ya̱mu n ti kwa̱l ki̱nangu a ke ko, “Ya̱m mumu a da, ni̱n tung ya̱mu a di̱Kaisare yinangu mwang babbangu.”
ACT.25.13	A kuteng diti bayimangu, m Mai Aka̱rifa n ti Benis a ya Kaisariya yaka siye Festu. 
ACT.25.14	Yade n chi yaka ma diti we bwako, n Festu a fwa Mai mi̱n ya̱m we dur Bulusi̱nu. N ki̱n a yi Mai ko, wuka ni we wu n Felis a dummi a di̱bi̱nti̱le. 
ACT.25.15	Yo mang ya Wurchalima, tikaketi fanseti n ti tikaketi ni̱bu Yafudamu a mar keme niwe a di̱mi̱ne ko, mwata ki̱mi̱n ya̱m chi̱kki̱m.
ACT.25.16	N ki̱nta chi mi a dakabu we da wu Roma ni mwata ni mi̱n ya̱mu niyang ya̱nti̱labi̱m. A dakan bi̱bu a mar kememu ka fwa ya̱m, n ti wu n chi a mar keme ko yinu naba ki̱le ka da̱u ki̱le ko. 
ACT.25.17	Yo n chi a be fi a di̱mi̱ne, mang kaibu ki̱swi n yi chi mi a be miye ki̱n, n swe n kaba ya̱mu.
ACT.25.18	Yo ni̱bu a mar kememu a kun ki̱fwa ya̱me, n chi a chirebu ki̱ni wuka ki̱le wuduwe wu ki̱kamadu kanodu a mange. 
ACT.25.19	Chi mang swaane, n chi a tuka ya̱m a wa̱re bunti̱ke, n chi a kebu n ti bwa wuka niye wu n chi ki̱yalu ko n Yesuwe, wu m Bulus kiyi ni̱bu ko n we ki̱ni ti̱kuriye. 
ACT.25.20	Yinangu mang ku chitu a ma bwarangu, m bi̱u Bulus mi ka n ki̱n ka kedu ka ya Wurchalima ke ni̱bu a kaba ki̱mi̱n ya̱m bi̱bu we bwako. 
ACT.25.21	Aya yo m Bulus a bau ya̱m ki̱mu ka yika kakku Kaisarange, n yi ni̱bu mi a nang to ki̱nu a lami̱nti̱ yo mang tung ki̱nu a bwa di̱Kaisare.
ACT.25.22	Yinu n Aka̱rifa a yi Festu ko, “N ke mang nwe ya̱m ni wumu m mi̱fwan. Wuko ko, ‘Mwang nwe ya̱m bi̱bu fi̱nenang.’ ”
ACT.25.23	Bafi̱nenangeko n Aka̱rifa n ti Benis a lewe ki̱ni kuli̱n mati̱mi̱n, n chi a be n ti tikaketi ni̱bu kuni̱mu n ti bi̱duumu a bi̱ni̱mu. Yinu n Festu a yi ni̱bu ko a be ki̱ni Bulus. 
ACT.25.24	Yinu n Festu a yi ko “Mai Aka̱rifa n ti ni̱bu we fimu, nii wu ni̱bu Yafudami kwang a mar kemeko a Wurchalima n ti Kaisariya n nang wu. N chi ki̱bwa̱ka ti̱ni kemi ko ni dudu we ki̱ni ti̱kuritu. 
ACT.25.25	Aya m mi̱n mang kubu chi a ma, wu a lwe ka bwade. Aya yo n ki̱n a yi ko ni ya ki̱ni ya̱m ki̱mu a nii wuduwe n Kaisare, n ke mi mang tung ki̱nu we bwako.
ACT.25.26	“Aya a bwin yiko, m mi̱n mang yabu ki̱kwi tas wu mang mwal Mai Kaisar mi̱nu a dur ki̱ne. Di̱ne yiko m be ki̱ni ki̱n we kakku changu Aka̱rifa mi ka we mang ya chi mang mwalu a dur ki̱n a kutengu ni ta̱l ya̱m ki̱mange. 
ACT.25.27	We di̱mi̱ne ka kadu yinang di̱tu ka ni chaku ni wu we di̱bi̱nti̱lu ni tum, niyang yungbu ki̱le wu a mange.”
ACT.26.1	Yinu Aka̱rifa a yi Bulus ko, “Ni̱n nin ki̱swi, kwila ya̱mu a dur muni̱mu.” M Bulus a kuku kangu, a mwe ki̱fwa ya̱mu.
ACT.26.2	“Mai Aka̱rifa, m ma ki̱ti̱me yinangu mang kwila ya̱m bi̱bu ni̱bu Yafudamu a fwaran we dur mi̱ni̱mu diwu we kakki̱ mwangu. 
ACT.26.3	Ti̱nti̱ne, n yim m mun ki̱ni yingku we dati ni̱bu Yafudamu n ti dokaku ni̱bangu a yo yaram a le tibe chiye. Di̱ne yiko, mi̱n wananu, ma bwanu we nweki̱ ya̱m bi̱bangu.”
ACT.26.4	Yinangu tikaketi ni̱bu Yafudamu a yimangu, a mwetuwe ki̱dangu mi̱n a bwelenangu, yo m mi̱n we kuu bi̱n mi̱ne a lanta Wurchalima. 
ACT.26.5	N chi a yim mi̱n feredi. N chi chifwan ka medu ka fwadu ko m mi̱n a kwa̱l ni̱bu Farisamu. Kwa̱l ni̱bu Yafudam di̱du a mabu ti̱kali ki̱ni bunti̱ki̱mu 
ACT.26.6	Ki̱ka̱ngu n ti we kakku changu ti̱mami kabaki̱ku di̱ne mang yo ni̱ru we riku bwa̱ki̱ Kwamangu a ma tukebi̱ chi̱remu mi̱nangu. 
ACT.26.7	Bwa̱ki̱ Ki̱ku nang ki̱ku ti̱fi̱ki̱ri ni̱nti kub chiri turabitu a yo ni̱ru we ki̱yam riku kangu, a yo n chi ki̱funbwiyu ki̱ sii Kwama kum n ti kuko. Tete Mai, Di̱ne mang yo ni̱ru we riku bwa̱kangu, nang chi a yo ni̱bu Yafudamu ki̱ku ki̱le miye. 
ACT.26.8	Wureni a yo we da̱ngki̱ changu ti̱kudu n Kwama a ne ka medu ka kuku kwa̱miye?
ACT.26.9	“M mi̱n no m bwa̱u we ni̱r mi̱nu ti̱n mi mang funti̱bwi mang kai chaku kakang di̱n Yesunu naba Nasa̱rete. 
ACT.26.10	Nang chi mang ma a Wurchalima, tikake Fansetiyu a ni mi̱n da n yo ni̱bu nabwen a le di̱bi̱nti̱le we Wurchalima. M mi̱n wetuwe bi̱bu a ke ki̱ni bwa chimu. 
ACT.26.11	Mi̱n bunti̱ kambi Kwamatu mi̱n ni ni̱bu riye, mi̱n funti̱bwi mi̱n yo chidu ki̱fwa ya̱m swa̱ban we di̱n Yesunu. Di̱ne mang kai ni̱re, mi̱n bunti̱ chi we bi̱nti̱tu ka nang bi̱bi̱le ti̱me mi̱n ni chi riye.”
ACT.26.12	Yinangu mang chakakku ki̱ni nangang ki̱bwilang ki̱kangu, wuka di m mi̱n a wa̱re Dimasku, di̱ne tikaketi fanseti a ni da a niti̱ taki̱da wu ki̱ni dukane. 
ACT.26.13	Ki̱ni tibe kuko Mai, nang daandu we, n ku kaang yiiku ki̱ku a lati̱ wu a kuko a chire a dii, a yingei n ti ni̱bu ni̱n bungadu waremu. 
ACT.26.14	Ni̱nni ki̱ni kwang ni̱n yaran a ti̱m, yinu n nwe di̱kan ker ki̱fwami ya̱m ki̱ni yii ni̱bu Yafudame ko, “Chawulu, a mayire mun ni mi̱n riye? Mun ni dur mun riye we kati̱n ti̱tu mun madu n ti mi̱nitu.”
ACT.26.15	M mi̱n m bi̱u mi, muna wure, Tewuduwe?
ACT.26.15	Mi̱n nang Yesu, wu mun ni riye. 
ACT.26.16	Kun, n yungi̱n dur mi̱nu di̱ne mwang kau wuduwe bwe nangangemi mwan mami nangang, mwang ma di̱mwar we chi mwang kuutu a di̱mi̱ne n ti chi yamang yungi̱nu a bwa kake.
ACT.26.17	Mang yunu we ni̱bu mumu, n ti ni̱bu bi̱bu n ke kuu ni̱bu Yafudamu, bi̱bu man tum munu we di̱chiyemu. 
ACT.26.18	Mwang wudu chimi̱n nuiyu, ka chiredu we ki̱liye n ti fa̱la̱ng Setanangu ka ki̱la bwa di̱Kwama. Ka a ma yiko ka ya duku we ki̱leti chiyu. N chi ka yati̱ kula ware n ti ni̱bu bi̱bi wauwadi̱mu di̱ne keku bi̱yili̱mang a di̱mi̱nengu.
ACT.26.19	Di̱ne yiko, Tete Mai Aka̱rifa, mang kobu dwakam bi̱yili̱mu mang kuumu. 
ACT.26.20	Di̱ne yiko, m mwe di̱mwaru we Dimasku yinu m mwetuwe Wurchalima n ti ba̱la̱ng Yafudiya kwang n ti yikayu kuuti, mi n chi a duwe chi ti̱bwilaitu a ki̱la bwa di̱Kwama, ti̱nti̱ne nangi̱n ti̱yili chitu ka yungdu n chi a suten. 
ACT.26.21	Nang chi a yo bi̱kamu ni̱bu Yafudamu a tai we Kan di̱dunu a Wurchalimanu ki̱baddu ka chiyitu.
ACT.26.22	Aya n Kwama a makai a lanta di, nang chi a yo mi̱n ma seli̱bu n ti bwesi̱mu mi̱n di̱mwaritu. Mang fwabu bi̱kam ya̱m aya nang bi̱bu fa̱kubu n ti Musa a fwa ko ka fwedi̱mu. 
ACT.26.23	Mi̱n fwa Masiya wu a mwintuwe ka nwe riye, ka kau wukake we kunki̱ kwa̱miyagu. We yiko, nang ki̱swi ni̱bu nabwen ka kuun diye, ni̱bu Yafudam n ti yikayu kuuti.
ACT.26.24	Yo m Bulus we ki̱kwila ya̱m ni̱bi̱mu a dur ki̱ni̱me, n Festu a fwa ya̱m ki̱ni dukan ko, “Bulus, dur munu a ribu! Nabwe kiku mwangu a yingle ki̱kwa̱me mo!”
ACT.26.25	Aya m Bulus ko, Tete Festu, dur mi̱nu a ri. Mi̱n fwa bi̱yili̱mu ki̱ni ni̱r mi̱ni si̱k. 
ACT.26.26	Mare m Mai a yim, mi̱n fwa ki̱mi̱n ya̱mu a ne tayi we. N yim a tabi̱bu bi̱kam we ya̱miyu mi̱n fwadiyu. Di̱ne a fwebu a bura. 
ACT.26.27	Tete Mai Aka̱rifa, “N ke bi̱yili̱mu we fa̱kubu Kwama ma? N yim n ke.”
ACT.26.28	M Mai Aka̱rifa ko, “Bulus, mwang yodu mang kau naba bunti̱ke we baku swi wu bayi̱ma?”
ACT.26.29	M Bulus a yi ki̱n ko, “Ki̱swi bayim ka nabwen na, mi̱n twa̱ba̱bunitu we Kwama n ke di̱ne kana mune aya n ti bi̱bu we fi ki̱nweyimu, ka kadu yinang mi̱n aya a bwin kwabaku a maklanangu.”
ACT.26.30	M Mai a kun, Kwabna a kun ti̱n n ti Benis n ti bi̱bu ware n ti chimu. 
ACT.26.31	Yo n chi a chir we kan kabaki̱ne, n chi a ti ki̱twayadu ko ni wu a mabu chi a lwe yi̱ngeke ka bwange.
ACT.26.32	N Aka̱rifa a yi Festu ko, “Ka n ke ni wu a tu a yi ko ni̱bu a tung ya̱m ki̱mu a di̱Kaisare, a no mwang maiyu.”
ACT.27.1	Yo dokaku a ri nang yika Yitaliya, ni̱bu a du Bulus n ti bi̱kam ni̱bu ti̱bi̱nti̱li̱m a kang wuka wuduwe ni̱bu ki̱rangmu, wu di̱n ki̱nu n Yuliyus, n ki̱n wuka we ni̱bu ki̱rang kwa̱l Kaisari̱nu. 
ACT.27.2	Ni̱n kun yayu, ni̱n bunti̱ kwa̱mbi̱re mwe wu a ti̱m Adiramitiya, wu ki̱baddu ka bunti̱ beti̱ bi̱ni yiyu a ki̱ti̱ku Asiya. Wuka naba Tasalonika wu a ti̱m Makadoniya di̱n ki̱nu n Aristakus, n we n ti ni̱n. 
ACT.27.3	Bafi̱nenangeko ni̱n lam Sidon. N Yuliyus a maka Bulus, a du ki̱n a ya bwana fati̱bi̱ ki̱me ke n chi a maka ki̱n. 
ACT.27.4	Yo Nang kun ki̱ni kwa̱mbi̱re mwe, ki̱fi̱be mwe a yingle ni̱n. Di̱ne yiko ni̱n bunti̱ kuteng Saiyifuru ba̱la̱ngu ki̱fi̱be a ne dukan wengu. 
ACT.27.5	A kutengu nang yabu nabwe la ti̱m Ki̱likiya wu a wume Famfiliya, ni̱n yika Mira, wu a wume ti̱m Likiyame. 
ACT.27.6	We fiko wuduwe ni̱bu ki̱rang Romame a bau wuka kwa̱mbi̱re mwe Aleksandiriya wu ki̱yika ti̱m Yitaliyame, a yo ni̱n we. 
ACT.27.7	Ni̱n ma ditiyu nabwen yayu a ku ni̱mi̱nbu, ni̱n mwata Kinidus yi bawi. Di̱ne ki̱fi̱be mwe a du ni̱n be, ni̱n bunti̱ ki̱ti̱ku bale a ne mwe we, ka nang chikiye a kuteng bekune Kirite a kwati̱na Salomiye. 
ACT.27.8	Ni̱n bunti̱n ki̱ti̱ku laang, ni̱n su fiko bawi, yinu ni̱n lam wuka fi wu ni̱bu ki̱yalu ko yo ni̱re laike ki̱dwan n ti bi̱n Likiyanu.
ACT.27.9	Yade nang kai ki̱swi we fiko nabwene, yayu a kabbi ki̱ni riye. We ki̱dang kangu ki̱swi a tu a su nabwen, ka nang chikiye di yiye yafudame wu a da̱uku dimwen ki̱letiye a su. Yinu m Bulus a ngau chimi̱n ki̱kure. 
ACT.27.10	N ki̱n a yi chi ko, “Ni̱bu, n ku yayu wu yaka bwiladu, yaka yo chitu nabwen ka twiyadu, chi ka twiyade n ke kana kwa̱mbi̱re mwe n ti kuli̱n, ti̱kuri chi̱retu n wetuwe.” 
ACT.27.11	Aya n Yuliyus a kebu ki̱ni ya̱m Bulus, n ki̱n a ki̱la a ke ya̱m ni wu ki̱sii kwa̱mbi̱re mwe n ti wu kwa̱mbi̱re mwe n wu ki̱ne.
ACT.27.12	Yade fi n chi ka fi̱kande a lebu we kwa̱mbi̱re mwe ka sa̱na̱ng wenge, duwe chi kwang a ke ko chi chakakku ki̱ni yayu, ka we chi lam Finikiya ke chi ma sa̱na̱ngu a bwako. Finikiya wuka fi wu kwa̱mbi̱ri mwei ki̱ tiindu a Kirite wu ki̱da̱ng ki̱twale n ti tibe ki̱twale n ti twa̱r wuli̱n.
ACT.27.13	Yo ki̱fi̱be a mwe ki̱kunedu we twa̱r wuli̱ni bayim bayi̱me, ni̱bu a da̱u ko chitu ka swe bunge. N chi a wuwe ka̱mbi̱ru ki̱tau kwa̱mbi̱re mwenu, a bunti̱ bekune mwe wu a Kirite, ki̱dwan n ti ki̱ti̱ku laangu. 
ACT.27.14	A tibu ke di̱kan di̱bwilan ki̱fi̱ben a chire a bale tibe kir kulane n ti twa̱r a fwale suuu we bekune mwe. 
ACT.27.15	Yinangu ki̱fi̱be a tung kwa̱mbi̱re mwengu, a newe ki̱ni dukan ka mwatu ki̱fi̱benu we. Ni̱n du ki̱fi̱be ki̱ tung ni̱nu a ne chi nang maditu we. 
ACT.27.16	Yinangu nang bunti̱ kuteng wukane bekune mwengu, wu ni̱bu ki̱yalu ko Kauda, ki̱fi̱be a swe bunge we fiko, ni̱n wuwe be kwa̱mbi̱re mwe bawi ki̱dwan n ti kwa̱mbi̱re mwe wuduwe.
ACT.27.17	A kuteng ki̱ku n chi a wuwe kwa̱mbi̱re mwe wuti̱re a yo we wuduwengu, n chi a do bwiyu a kwaba dwati̱tu a kana kwa̱mbi̱re mwe wuduwe ki̱n, ko ke a wuladuwe. Di̱ne n chi ki̱wulu ko kwa̱mbi̱re mwe ke a a ngaudu duru we yane Sirtise, n chi a si̱ku si̱kki̱ni ka̱mbi̱ri a no kukunu ko ke ki̱fi̱be a tung kwa̱mbi̱re mwe a ya yayu n ki̱fwane.
ACT.27.18	Di̱ne muli̱n mwenu, ki̱yingle ni̱nu yinang, bafi̱nenangeko, n chi a mwe ki̱ wo kuli̱nu a kwa̱mbi̱re mwenu ki̱kuru a mwe. 
ACT.27.19	We wutare di, n chi a chaku di̱kanu kuli̱n ki̱ni fa̱li chi we kwa̱mbi̱re mwe a fwal a fi̱lang. 
ACT.27.20	We yiko, ni̱n ma ditiyu nabwenabwen nang kubu di n ti ki̱switiyu. Di̱bwilan ki̱fi̱ben di̱du ki̱riti̱nu a ka di̱ni̱nne. Di̱ne riye, ni̱n da̱u ko nang twiyadu we mwe laa.
ACT.27.21	Yade a da̱u ki̱swi n chi a chabu chiye, m Bulus a kun a ti we tibe chi a yi chi ko, ni̱bu, ka no ti̱nwe ya̱m mi̱mu mang yi mi ni kunu we bekune mwe Kirite, a no niyang nwebu riye wu. 
ACT.27.22	Aya ki̱ka̱ngu mi̱n ngau chimi̱n ki̱kure ti̱mu ni̱ri kwing, a ne ni ka kwala ti̱kuri kite we tibe chi̱n aya ni medu ni kwala kwa̱mbi̱re mwe. 
ACT.27.23	Nangki̱n, we kum wu, wuka naba di̱tumbi̱re wu m mi̱n a fa̱la̱ng kange, Kwama wu mi̱n ma ki̱mi̱n nangange, a timituwe. 
ACT.27.24	A yi ko, “Nwedu tayi we Bulus, a mwintuwe mwang tidu we kakku Kaisarangu. Aya di̱ne mune, bi̱bu ti̱bungadu waremu ka swidu we a li̱me Kwama. 
ACT.27.25	Di̱ne yiko, ti̱mu ni̱ru kwing ni̱bu, di̱ne n ke bi̱yili̱mu we Kwamami yinangu a fwamiyangu, ka fwedi yiko. 
ACT.27.26	Aya a mwintuwe di̱bwilan ki̱fi̱benu ka twa̱ki̱ nidu ka yika mi̱n wuka yane bekune mwe.”
ACT.27.27	We kum wi kub chiri yaana, di̱bwilan ki̱fi̱benu ki̱fi̱ki̱ kwa̱mbi̱re mwe nabwe laa Meditereniyane, ki̱ni ki̱tangti̱lang kuma̱ng, ni̱bu ki̱sii kwa̱mbi̱re mwemu a da̱u ko kano ni̱n mwata ki̱dwan n ti ti̱mu. 
ACT.27.28	N chi a swe swa̱n mwenu, aya a lam naniyu kuul ki̱ni wan turau. A kutengu nang chau kakki bayimangu, a sweti̱ ki̱da. A ya naniyu wan turkubu. 
ACT.27.29	Di̱ne n chi ki̱wul tayu ko ke chi tekaduwe n ti wuka bekune mwe, n chi a kwi ka̱mbi̱ru ki̱ni turenginu n chi yaana a mar we kuteng kwa̱mbi̱re mwengu ko ke kwa̱mbi̱re mwe a kwanti̱duwe.
