MAT.1.1	Iyan haini mga gin-apuan hi Cristo Jesus. Si Jesus kaliwat hi David sa kaliwat daan hi Abraham.
JHN.19.32	Aman inelegan ku mga sundalu su impanlansang duma ki Jesus daw pamalia sa mga paa dan. 
JHN.19.33	Ba su makauma sidan diyà ki Jesus naahà dan ha minatay en haena aman hurà dan en pamalia sa mga paa din. 
JHN.19.34	Ba amin sabuwa ha sundalu ha dinughang din hu bangkaw sa kilid hi Jesus, aman sagunà tuminulù duun sa langesa daw sa wahig. 
JHN.19.35	Siak sa nakaahà taena makapanistigus a ha laus gayed haena. Natun-an ku ha kamatuuran sa tag-ikagiyen ku aman insulat ku haini ta daw makatuu kaw daan. 
JHN.19.36	Nahitabù haena ta daw matuman sa insulat ha lalang hu Dios ha tagyanaen, “Hurà bisan sabuwa ha mabalì duun hu mga tul-an din.” 
JHN.19.37	Daw amin pa daan insulat ha lalang hu Dios ha tagyanaen, “Tagtengtengan dan haena sa etaw ha dinughang dan.”
JHN.19.38	Amin etaw ha tagngaranan ki Jose ha taga-Arimatea ha duminiyà ki Pilato daw panayua sa lawa hi Jesus. Saena in-ila hi Pilato kandin aman duminuun si Jose ku krus daw timua sa lawa hi Jesus. Si Jose sumusunud hi Jesus ba inheles din sa pagtuu din su anay ta agkahaldek hu mga agalen hu Judio. 
JHN.19.39	Si Nicodemo sa migpakig-ahà daan ki Jesus duun hu daleman su anay duminuma ki Jose ha tag-uwit hu madakel tungkay ha pahumut ha mira ha inamulan hu aloe. 
JHN.19.40	Binungkusan ku daruwa sa lawa hi Jesus hu maputì ha manggad daw inugsakan dan hu pahumut sumalà hu tulumanen hu mga Judio ku taglebeng. 
JHN.19.41	Duun hu ubay ku piglansangan ki Jesus amin mga pamulahen ha kayu daw amin daan duun liyang ha hurà pa gayed kalebengi. 
JHN.19.42	Saena ha liyang ubay dà duun hu piglansangan ki Jesus daw agkaana-ana en sidan ta madani en sa pagsaulug, aman duun dan dà inlebeng sa lawa hi Jesus.
JHN.20.1	Su kaaldawen hu Duminggu si Maria Magdalena duminuun taena ha piglebengan ki Jesus. Ba naahà din ha naawà en su batu ha in-ipel taena ha lebeng. 
JHN.20.2	Aman minulalaguy payanaen diyà ki Simon Pedro daw taena ha pinalanggà hi Jesus ha tinun-an daw inikagiyan din sidan, “Inawà dan en sa lawa hi Jesus duun hu piglebengan kandin daw hurà day katun-i ku hindu dan en duun in-ugsak.”
JHN.20.3	Aman uminagpas si Pedro daw saena ha duma din duun ku lebeng. 
JHN.20.4	Miglumbà sidan sa daruwa ba saena ha duma hi Pedro nauna duun ku lebeng. 
JHN.20.5	Dayun sinil-ip din su lebeng daw naahà din su maputì ha mga manggad ha nakaugsak duun, ba hurà en seled su tinun-an. 
JHN.20.6	Pagpakauma hi Simon Pedro sa nahudiyan sagunà haena sumineled. Naahà din su maputì ha manggad ha nakaugsak duun 
JHN.20.7	daw sa panyù ha imbungkus ta ulu hi Jesus. Saena ha panyù napanday nalupì ha hurà makaamul duun hu duma ha mga manggad. 
JHN.20.8	Dayun sumineled daan haena sa duma hi Pedro ha nauna dì kandin diyà ta lebeng daw naahà din sa alan aman nakatuu ha nabanhaw si Jesus. 
JHN.20.9	Duun taena ha panahun hurà dan pa gayed kasabut sa insulat ha lalang hu Dios ha tagyanaen ha kinahanglan ha mabanhaw si Jesus.
JHN.20.10	Dayun naman-ulì su mga tinun-an.
JHN.20.11	Diyà ta guwà taena ha lebeng si Maria tag-agalaay. Sinil-ip din daan su lebeng 
JHN.20.12	daw naahà din sa daruwa ha balinsuguen hu Dios ha tungkay maputì sa bisti dan. Sa sabuwa diyà tagpinuu hu ulunan taena ha naugsakan hu lawa hi Jesus daw sa sabuwa diyà ta sikwayan din.
JHN.20.13	Su mga balinsuguen hu Dios minikagi, “Imbà ka tag-agalaay?”
JHN.20.13	Tuminubag si Maria, “Tinimù dan sa lawa hu Ginuu ku daw harì ku agkatun-an ku hindu dan en duun in-ugsak.” 
JHN.20.14	Dayun luminingì si Maria na amin din naahà ha tagtiyadeg diyà ta talikudan din ba hurà din kakilala ha iyan en man diay haena si Jesus.
JHN.20.15	Saena nanginginsà diyà ta kandin, “Imbà ka tag-agalaay? Sin-u sa tagpan-ahaen nu?”
JHN.20.15	Abi hi Maria ha iyan haena su tag-alima hu mga pamulahen aman tinubag din, “Ku iyan ka migtimù hu lawa hi Jesus ikagiya nu kanak ku hindu nu duun in-ugsak ta agtimuen ku dà.”
JHN.20.16	Ba minikagi si Jesus diyà ta kandin, “Maria.”
JHN.20.16	Sagunà nakasinalu si Maria diyà ki Jesus daw ikagiyi hu madaging, “Raboni” saini inikagiyan ha Hebreo ha tagkahulugan hu Manunudlù.
JHN.20.17	Ba si Maria inikagiyan hi Jesus, “Butawani a ikaw ta hurà a pa makaulì duun hu Amay ku. Elegi nu sa mga tinun-an ku daw ikagiyi sidan ha ag-ulì a duun hu Dios ha Amay ku ha iyan Amay daw Magbabayà nuy daan.”
JHN.20.18	Aman inelegan hi Maria Magdalena su mga tinun-an hi Jesus daw ikagiyi sidan, “Naahà ku sa Ginuu.” Dayun intultul din sa inikagi hi Jesus diyà ta kandin.
JHN.20.19	Su daleman en hu Duminggu nangaamul-amul sa mga tinun-an hi Jesus duun hu sabuwa ha balay ha pigsirahan dan ta agkangahaldek sidan hu mga agalen hu Judio. Migpaahà si Jesus diyà ta taliwarà dan daw ikagiyi sidan, “Magmalinawen kaw.” 
JHN.20.20	Su maikagi din haena impaahà din kandan sa alima din daw sa kilid din. Aman tungkay gayed nangalipay sa mga tinun-an din ta naahà dan en sa Ginuu.
JHN.20.21	Dayun inikagiyan sidan hi Jesus, “Magmalinawen kaw en. Iling ha sinugù a hu Dios ha Amay ku agsuguen ku daan inyu hu pagpanunultul mahitenged kanak.” 
JHN.20.22	Daw inikagiyan din pa daan sidan, “Dawata nuy sa Balaan ha Ispiritu. 
JHN.20.23	Bisan sin-u sa pasayluwen nuy pasayluwen daan hu Dios, ba sa harì nuy pasayluwen harì din en daan pasayluwen.”
JHN.20.24	Sa sabuwa ha tinun-an hi Jesus ha iyan si Tomas sa tagngaranan hu Saleping hurà diyà su magpaahà si Jesus kandan. 
JHN.20.25	Su matultulan hu mga tinun-an ha duma din ha naahà dan en sa Ginuu minikagi si Tomas, “Harì a gayed makatuu ha nabanhaw haena ku harì ku matubluk sa alima din ha naagiyan hu lansang daw sa kilid din ha pigdughang.”
JHN.20.26	Su nangkasimana en naisab dà nangaamul-amul sa mga tinun-an hi Jesus duun ku balay ha pig-amul-amulan dan su anay daw human en nakatampu kandan si Tomas. Bisan ku nasirahan haena sa balay ba migpaahà si Jesus diyà ta taliwarà dan daw ikagiyi sidan, “Magmalinawen kaw.” 
JHN.20.27	Dayun inikagiyan din daan si Tomas, “Ahaa daw tubluka nu sa alima ku daw tubluka nu daan sa kilid ku. Endai nud en sa pagduwa-duwa daw tuu kad en iman kanak.”
JHN.20.28	Dayun nakaikagi si Tomas, “Ginuu daw Dios ku.”
JHN.20.29	Ba inikagiyan haena hi Jesus, “Nakatuu ka gayed ta naahà a ikaw, ba malipayen gayed sa etaw ha tuminuu kanak bisan hurà a kandin kaahà.”
JHN.20.30	Madakel pa ha mga belenganen sa naahà hu mga tinun-an hi Jesus ba hurà en isulat duun taini ha libru. 
JHN.20.31	Ba insulat haini ta daw makatuu kaw ha si Jesus iyan su Misiyas ha Batà hu Dios, daw pinaagi hu pagtuu nuy kandin mailahan kaw gayed hu kinabuhì ha hurà din katapusan.
JHN.21.1	Su maiwas en haena mig-isab pa gayed migpaahà si Jesus duun hu mga tinun-an din diyà ta Danaw ta Tiberias. Iyan haini naul-ulahan. 
JHN.21.2	Naamul diyà si Simon Pedro daw si Tomas ha tagngaranan hu Saleping, si Natanael ha taga-Cana ha sakup ta Galilea daw sa daruwa ha batà hi Zebedeo, daw amin pa daan daruwa ha tinun-an hi Jesus. 
JHN.21.3	Si Simon Pedro uminikagi duun hu mga duma din, “Agpamaling a.” Aman saena ha mga duma din minikagi daan, “Agduma kay ikaw.” Dayun namanlulan sidan duun hu barutu daw pamaling, ba bisan ku luminam-ag sidan hurà gayed sidan makatimù.
JHN.21.4	Su maselem en si Jesus tagtiyadeg diyà ta kilid taena ha danaw ba hurà kakilala hu mga tinun-an din.
JHN.21.5	Dayun ininsaan sidan hi Jesus, “Nakatimù kaw ba?”
JHN.21.5	Tuminubag sidan, “Hurà kay gayed.”
JHN.21.6	Sinugù sidan hi Jesus, “Ilabya dà sa baling nuy diyan ta kawanan dapit ta daw makatimù kaw.” Dayun binuhat dan haena. Ba su butwaen dan su baling harì dan en agkahenat ta madakel tungkay sa nakatagù duun ha sedà.
JHN.21.7	Dayun su tinun-an ha pinalanggà hi Jesus minikagi diyà ki Pedro, “Ay, iyan man diay hayana sa Ginuu taw.” Su mapaliman haena hi Simon Pedro sagunà migpinaksuy ta miglebas haena, dayun uminagbul diyà ta wahig payanaen diyà ki Jesus. 
JHN.21.8	Sa mga duma din ha tinun-an ha taglulan duun ku barutu luminupug kandin ha tagguyud en ku baling ha napunù-punù hu sedà. Ubay dà sidan diyà ta kilid, mga nanggatus dà ha mitrus sa pig-elangan dan.
JHN.21.9	Su makagaun en sidan naahà dan sa supas daw sa baga ha amin en duun sedà ha inanag. 
JHN.21.10	Inikagiyan sidan hi Jesus, “Uwita en dini sa natimù nuy ha mga sedà.”
JHN.21.11	Aman duminuun si Simon Pedro ku barutu daw guyuda su baling ha napunù hu mga adagi ha sedà, sa kadakelen taena nanggatus daw kalimahan daw tatulu. Bisan ku madakel tungkay sa sedà ha natimù dan ba hurà gayed kayahà su baling dan. 
JHN.21.12	Dayun inikagiyan sidan hi Jesus, “Pamangaen kaw en.” Hurà sidan makaamel hu pagpanginginsà kandin ku sin-u ta natun-an dan ha iyan en sa Ginuu. 
JHN.21.13	Tinimù hi Jesus su supas daw su nalutù ha sedà daw saada kandan. 
JHN.21.14	Saena ikatulu en ha pagpaahà hi Jesus duun hu mga tinun-an din sugud hu pagkabanhaw din.
JHN.21.15	Su makapenga en kumaen si Jesus daw sa mga tinun-an din ininsaan din si Simon Pedro, “Simon ha batà hi Juan, labaw ba sa pagpalanggà nu kanak dì taini ha mga duma nu?”
JHN.21.15	Tuminubag si Pedro, “Ginuu, natun-an nu ha palanggà ku ikaw.”
JHN.21.15	Aman inikagiyan hi Jesus, “Alimahi nu sa mga nati ku ha karniru.”
JHN.21.16	Dayun minisab minikagi si Jesus diyà ta kandin, “Simon ha batà hi Juan, palanggà a ba ikaw?”
JHN.21.16	Tuminubag si Pedro, “Hee, Ginuu, natun-an nu ha palanggà ku ikaw.”
JHN.21.16	Aman inikagiyan hi Jesus, “Alimahi nu sa mga karniru ku.”
JHN.21.17	Duun hu ikatulu ininsaan dà paman hi Jesus, “Simon ha batà hi Juan, palanggà a ba gayed ikaw?”
JHN.21.17	Suminakit sa gahinawa hi Pedro ta katulu en insai ku palanggà din ba si Jesus. Ba tuminubag gihapun, “Ginuu, natun-an nud sa alan aman natun-an nu ha palanggà ku gayed ikaw.”
JHN.21.17	Dayun inikagiyan hi Jesus si Pedro, “Alimahi nu sa mga karniru ku. 
JHN.21.18	Laus gayed sa ag-ikagiyen ku ha su batan-en ka pa pakabaluy kad en tagpinaksuy hu kaugalingen nu daw bisan hindu ka duun agpayanaen agkabaluy nu. Ba ku malaas ka asem makapangindedepa ka daw lain en sa magpinaksuy ikaw daw uwiten ka duun hu agtambagan nu ha lugar.” 
JHN.21.19	Saena pag-ikagi hi Jesus mahitenged hu kamatayen hi Pedro ha makadayè hu Dios. Dayun inikagiyan hi Jesus si Pedro, “Sunud ka kanak hangtud en hu kamatayen nu.”
JHN.21.20	Luminingì si Pedro daw naahà din ha taglupug kandan su tinun-an ha palanggà hi Jesus daw iyan abay din su anay duun hu pagpanihapun dan daw iyan daan nanginginsà, “Ginuu, sin-u kanay sa maglimbung ikaw?” 
JHN.21.21	Aman ininsaan hi Pedro si Jesus, “Ginuu, inu gid sa maul-ulahan tayana ku malugay?”
JHN.21.22	Ba si Jesus tuminubag, “Ku iyan ku pagbayà sa bubuhay pa hayana ku lumikù a dini ta kalibutan hurà nu duun labet. Bà ka dà sunud kanak.” 
JHN.21.23	Tumenged taini ha inikagi hi Jesus nakalekep sa tultul duun hu alan ha mga sumusunud din ha su palanggà din ha tinun-an harì en matay. Ba kenà iyan inikagi hi Jesus ha harì en matay ta iyan inikagi din sa, “Ku iyan ku pagbayà ha bubuhay pa hayana ku lumikù a dini ta kalibutan hurà nu duun labet.”
JHN.21.24	Iyan a su tinun-an ha tagsubayen hi Jesus daw iyan a daan migsulat taini. Natun-an day ha laus gayed haini ta naahà day gayed.
JHN.21.25	Madakel pa sa binuhat hi Jesus na ku iamin haena isulat harì maaul dini ta kalibutan sa mga libru ha masulatan duun.
ACT.1.1	Suled ku ha Teofilo, duun hu nauna ha balasahen insulat ku sa alan ha binuhat daw intudlù hi Jesus 
ACT.1.2+ACT.1.3	payanaen en hu pagligtu din diyà ta langit. Seled hu kap-atan ha aldaw hu pagkabanhaw din madakel sa mga paagi ha impaahà din duun hu mga apustulis ha nabanhaw gayed daw tinudluan din daan sidan mahitenged hu pagharì hu Dios. Su hurà pa haena ligtu diyà ta langit, pinaagi hu Balaan ha Ispiritu tinudluan din su mga pinilì din ha mga apustulis hu igpabuhat din kandan. 
ACT.1.4	Amin aldaw ha naamul sa mga apustulis duma ki Jesus aman inikagiyan din sidan, “Magtimà kaw pa enà dini ta Jerusalem daw angatan nuy sa insaad hu Dios ha Amay taw ha inikagi ku inyu su anay. 
ACT.1.5	Duun hu panahun hi Juan diyà haena agpamautismu ta wahig ba harì malugay sa igbautismu inyu iyan sa paulinan kaw hu Balaan ha Ispiritu.”
ACT.1.6	Amin panahun ha naamul en paman sa mga apustulis duma ki Jesus aman ininsaan dan haena, “Ginuu, iyan en ba haini panahun ha ilikù nu dini ta kanay sa katenged hu pagharì duun taini ha nasud day sikay sa mga kaliwat hi Israel?”
ACT.1.7	Ba tuminubag si Jesus, “Harì mabaluy ha matun-an nuy ku kan-u haena katuman ta iyan dà sa Dios ha Amay taw migtugun hu panahun. 
ACT.1.8	Ba gaheman kaw hu Dios ku maulinan kaw en hu Balaan ha Ispiritu daw iyan kaw gayed makapanunultul mahitenged kanak dini ta Jerusalem daw duun hu alan ha banuwa diyà ta Judea daw ta Samaria daw dini ta tibuuk ha kalibutan.”
ACT.1.9	Su maikagi din en haena sagunà luminigtu diyà ta langit. Su tag-ahaen dan haena tigkan dan nahanaw duun hu gabunan.
ACT.1.10	Su kamulu dan pa tagtengtengi tigkan daan nakahitindeg diyà ta ubay dan sa daruwa ha maama ha maputì sa bisti dan 
ACT.1.11	daw minikagi, “Sinyu sa mga taga-Galilea, imbà kaw taghangadà diyà ta langit? Si Jesus ha luminigtu diyà ta langit aglikù dà asem dini ku malugay iling ha naahà nuy iman diyà tayà ha gabunan.”
ACT.1.12	Namanlikù sa mga apustulis diyà ta Jerusalem ha napuun ta Buntud ta Ulibu, na mga nangkakilumitru dà sa pig-elangan taena. 
ACT.1.13	Su makauma sidan diyà namanlatun sidan payanaen duun ku kuwartu diyà ta sampaw taena ha balay ha taghulabungan dan. Iyan haena si Pedro daw si Juan, si Santiago daw si Andres, si Felipe daw si Tomas, si Bartolome daw si Mateo, si Santiago ha batà hi Alfeo, si Simon sa Patriyuta daw si Judas ha batà hi Santiago. 
ACT.1.14	Sigi sidan tag-amul-amul hu pag-ampù duma hu mga bahi daw hi Maria sa inay hi Jesus daw sa duma pa ha suled hi Jesus.
ACT.1.15	Amin aldaw ha naamul-amul sa nanggatus daw kaluwaan ha tumutuu. Dayun huminitindeg si Pedro duun hu atubangan dan daw ikagi, 
ACT.1.16	“Mga suled, kinahanglan gayed ha matuman sa insulat ha lalang hu Dios ha inikagi hi David gaun su ulinan hu Balaan ha Ispiritu mahitenged ki Judas sa panulù hu kadakepa ki Jesus. 
ACT.1.17	Ta saena duma day su anay ha pinilì ha apustul.
ACT.1.18	“Amin bugtà ha napalit ku insuhul ki Judas hu paglimbung din ki Jesus. Duun taena ha bugtà nakadaghà sa lawa hi Judas aman migbutu sa getek din daw nakayat sa bituka din. 
ACT.1.19	Su matun-an haena hu mga etaw diyà ta Jerusalem pigngaranan dan su bugtà hu Akeldama ha tagkahulugan hu Bugtà ha Pigbayaran hu Langesa. 
ACT.1.20	Nakasulat haini duun hu balasahen hu mga Salmo ha tagyanaen,
ACT.1.20	‘Mabuhat haini ha pinakabulung-bulung ha lugar ha hurà en magtimà duun.’
ACT.1.20	Daw inikagi daan,
ACT.1.20	‘Sa katengdanan din iila duun hu lain ha etaw.’
ACT.1.21+ACT.1.22	“Aman kinahanglan ha ilisan si Judas hu etaw ha nakaduma-duma kanuy sugud hu pagpamautismu hi Juan daw payanaen en hu pagligtu hi Jesus ha Ginuu taw diyà ta langit, ta kinahanglan ha makapanunultul daan haini mahitenged hu pagkabanhaw hi Jesus.”
ACT.1.23	Aman pigpilian dan su daruwa ha etaw ha iyan si Matias daw si Jose ha tagngaranan ki Barsabas ha pigdagnayan daan ki Justo. 
ACT.1.24	Dayun mig-ampù sa mga tumutuu ha tagyanaen, “Dios ha Magbabayà hu alan, natun-an nu sa henà-henà hu alan ha mga etaw. Iman ipaahà kanay ku sin-u duun taini ha daruwa sa pinilì nu 
ACT.1.25	ha iyan makailis ki Judas ha apustul ta inawaan din haena sa katengdanan daw duminuun hu dapit ha angay kandin.” 
ACT.1.26	Dayun pigripa dan haena aman si Matias iyan napilì ha ig-isab duun taena ha sampulù daw sabuwa ha apustulis.
ACT.2.1	Su mauma sa aldaw ha agsaulugen sa Pentecostes sa alan ha mga tumutuu mig-amul-amul duun hu sabuwa ha balay. 
ACT.2.2	Tigkan nakauma sa daheneg ha napuun ta langit iling hu maseleg ha kalamag duun ku balay ha duun sidan mig-amul-amul. 
ACT.2.3	Amin dan naahà iling hu mga dila ha tagkalegdeg ha kuminunsad duun hu kada sabuwa kandan. 
ACT.2.4	Dayun inulinan sidan hu Balaan ha Ispiritu daw nakaikagi sidan hu migkalain-lain ha inikagiyan sumalà hu impaikagi hu Balaan ha Ispiritu kandan.
ACT.2.5	Amin daan mga masinimbahen ha Judio ha napuun duun hu migkalain-lain ha nasud dini ta kalibutan ha diyà tagtimà ta Jerusalem. 
ACT.2.6	Su mapaliman dan sa magulub madakel kandan sa uminubay duun daw nangabeleng gayed ta sa kada sabuwa kandan nakapaliman hu kandin ha inikagiyan. 
ACT.2.7	Aman nakaikagi sidan, “Dì ba alan man haini sidan taga-Galilea? 
ACT.2.8	Imbà man agkapaliman taw sa inikagiyan hu kada sabuwa kanuy? 
ACT.2.9	Sa duma kanuy mga taga-Partia, mga taga-Media daw mga taga-Elam. Sa duma mga taga-Mesopotamia, mga taga-Judea daw mga taga-Capadocia, mga taga-Ponto daw mga taga-Asia. 
ACT.2.10	Sa duma mga taga-Frigia daw mga taga-Pamfilia, mga taga-Ehipto daw duun nangapuun hu mga banuwa diyà ta Libya ha ubay ta Cirene. Sa duma mga langyaw ha sakup ta Roma ha sa duma mga Judio daw sa duma daan mga kinabig duun hu tinuuwan hu mga Judio. 
ACT.2.11	Sa duma mga taga-Creta daw mga taga-Arabia. Ba napaliman taw alan duun hu kanuy ha mga inikagiyan sa inikagi dan mahitenged hu belenganen ha binuhat hu Dios.” 
ACT.2.12	Aman nangabeleng gayed sa alan ha mga etaw daw migpainsaay ku inu haena sa naula-ula kandan.
ACT.2.13	Ba sa duma bà dà migtameyes kandan ha tagyanaen, “Bà dà sidan agkangabeleng ta nakainum gid.”
ACT.2.14	Huminitindeg si Pedro duma hu sampulù daw sabuwa ha apustulis daw minikagi hu madaging ha tagyanaen, “Sinyu sa duma ku ha Judio daw sa alan ha tagtimà iman dini ta Jerusalem, magpaliliman kaw. 
ACT.2.15	Abi nuy gid ha saini ha mga duma ku na mga beleng, ba harì haini mahimu ta seselem pa. 
ACT.2.16	Saini ha naula-ula iman iyan en su lalang hu Dios ha inikagi hi Joel sa prupita ha tagyanaen,
ACT.2.17	‘Duun hu hudiyan ha panahun igpaulin ku sa Balaan ha Ispiritu duun hu kaet-etawan. Sa mga batà nuy ha maama daw mga bahi makasaysay hu igpaikagi ku, sa mga batan-en ha maama makaahà hu panan-awen daw sa magulang magpandamugu daan. 
ACT.2.18	Duun asem taena bisan sa mga suluguen ku ha maama daw mga bahi paulinan ku daan hu Balaan ha Ispiritu ta daw makasaysay sidan hu igpaikagi ku. 
ACT.2.19	Ipaahà ku sa mga belenganen diyà ta langit daw sa mga timaan dini ta kalibutan ha iyan sa langesa, sa hapuy daw sa malabung ha ebel. 
ACT.2.20	Sumukilem sa aldaw daw sa bulan mailing hu langesa dayun makauma sa paghukum hu Dios hu kaet-etawan. 
ACT.2.21	Duun asem taena ha panahun sa alan ha magpabulig hu Ginuu maluwas.’
ACT.2.22	“Sinyu sa mga duma ku ha kaliwat hi Israel, palilimani nuy haini sa ag-ikagiyen ku ha si Jesus sa taga-Nazareth sinugù hu Dios. Sa timaan taena iyan sa pagkagamhanan din daw sa mga belenganen ha impabuhat kandin hu Dios. Natun-an nuy en haini ta nahitabù en diyan ta inyu. 
ACT.2.23	Daan en intagana hu Dios ha si Jesus itugyan diyan ta inyu daw ipalansang nuy duun hu krus taena ha mga etaw ha masinupaken. 
ACT.2.24	Ba binanhaw hu Dios ta harì gayed mabaluy ha madaeg haena hu kamatayen. 
ACT.2.25	Si David migtagnà daan su anay mahitenged kandin ha tagyanaen,
ACT.2.25	‘Sigi dà tagduma-duma kanak sa Dios daw harì a kandin ag-awaan aman malinawen a. 
ACT.2.26	Pinaagi taena malipayen a gayed daw tagdayè a hu Dios. Igsalig ku daan kandin sa lawa ku 
ACT.2.27	ta natun-an ku ha harì a kandin itugyan diyà ta Kamatayan daw harì din daan itugut ha maledak haini sa lawa ku siak sa sinugù din. 
ACT.2.28	Intuen din kanak sa dalan payanaen duun hu kinabuhì ha hurà din katapusan daw malipayen a gayed ta sigi dà dini ta kanak.’
ACT.2.29	“Mga suled, natun-an taw ha sa bantugan ha gin-apuan taw ha si David nalugay en sa kapatay din daw agkatulen taw pa iman sa lebeng din. 
ACT.2.30	Prupita haena aman natun-an din sa impanumpà hu Dios kandin ha duun hu kaliwat din amin humiwal ha magharì iling kandin. 
ACT.2.31	Intagnà din daan sa pagkabanhaw hu Misiyas ha harì itugyan diyà ta Kamatayan daw harì daan itugut ha maledak sa lawa din. 
ACT.2.32	Su pigtagnà hi David iyan si Jesus sa pigbanhaw hu Dios daw alan kay makapanistigus ha laus gayed haini ta naahà day. 
ACT.2.33	Impatangkaw haena hu Dios daw diyà impapinuu ta kawanan din. Inilahan din daan hu katenged hu pagsugù dini hu Balaan ha Ispiritu sa insaad din. Aman sa naahà nuy daw sa napaliman nuy iman iyan en pagpaulin din hu Balaan ha Ispiritu. 
ACT.2.34	Kenà iyan si David luminigtu diyà ta langit ba migtagnà haena,
ACT.2.34	‘Inikagiyan hu Dios sa Ginuu ku, “Dini ka pinuu ta kawanan ku 
ACT.2.35	hangtud ha madaeg ku sa mga kuntra nu.”’
ACT.2.36	“Aman kinahanglan ha sikuy sa alan ha mga kaliwat hi Israel, matun-an taw gayed ha si Jesus sa impalansang nuy duun hu krus binuhat hu Dios ha iyan Ginuu taw daw Misiyas.”
ACT.2.37	Su mapaliman haena hu kaet-etawan suminakit sa gahinawa dan aman ininsaan dan si Pedro daw da duma ha mga apustulis, “Mga suled, inu man sa buhaten day?”
ACT.2.38	Tuminubag si Pedro, “Alan kaw maghinulsul ta daw mapasaylu sa mga salà nuy daw magpabautismu kaw duun hu ngaran hi Cristo Jesus. Dayun maulinan kaw hu Balaan ha Ispiritu 
ACT.2.39	ta iyan haena insaad hu Dios ha Magbabayà taw ha ig-ila din inyu daw hu mga kaliwatan nuy daw bisan hu alan ha mga etaw duun hu madiyù ha aghimuwen hu Dios ha tumuu kandin.”
ACT.2.40	Madakel pa gayed sa inikagi hi Pedro hu paghangyù kandan ha tagyanaen, “Endai nuy sa madaet ha buhat hu kaet-etawan iman ta saena agsilutan hu Dios.” 
ACT.2.41	Madakel sa tuminuu hu inikagi hi Pedro aman binautismuwan sidan. Mga tatulu ha libu sa nakatuu ha nakaisab kandan taena ha aldaw.
ACT.2.42	Sigi dà gayed mig-amul-amul sa mga tumutuu hu pagpaliliman taena ha intudlù kandan hu mga apustulis daw hu pagkaen, hu paghenà-henà taena ha kamatayen hi Jesus daw hu pag-ampù.
ACT.2.43	Madakel sa belenganen daw timaan ha impaahà hu mga apustulis aman nangabeleng gayed sa mga etaw. 
ACT.2.44	Duun taena ha panahun nasabuwa sa alan ha mga tumutuu daw migpaila-ilahà sidan hu mga butang dan. 
ACT.2.45	Impamaligyà dan daan sa mga katigayunan dan dayun sa halin taena binahin-bahin sumalà hu kinahanglanen hu kada sabuwa kandan. 
ACT.2.46	Aldaw-aldaw tag-amul-amul sidan diyà ta Timplu daw agduun daan sidan hu mga balay dan hu pagkaen ha tungkay gayed sidan malipayen 
ACT.2.47	ha tagdayè hu Dios, daw tinahud daan sidan hu alan ha mga etaw. Kada aldaw amin pakaisab kandan ha agluwasen hu Dios.
ACT.3.1	Amin panahun ha su agkabalalay en sa aldaw si Pedro daw si Juan duminiyà ta Timplu ta iyan haena panahun hu pag-ampù. 
ACT.3.2	Duun taena ha pultahan hu Timplu ha tagngaranan hu Madagway ha Pultahan amin etaw ha daan en pigket su ibatà. Kada aldaw ag-uwiten diyà ta daw magpakilimus duun hu mga etaw ha agseled ta Timplu. 
ACT.3.3	Su maahà din si Pedro daw si Juan sa agseled en diyà ta Timplu pinanayuan din sidan hu limus. 
ACT.3.4	Uminahà si Pedro daw si Juan diyà ta kandin daw inikagiyan hi Pedro, “Ahà ka dini ta kanay.” 
ACT.3.5	Aman uminahà haena diyà ta kandan ta tagsalap ku ilahan.
ACT.3.6	Ba inikagiyan haena hi Pedro, “Hurà day salapì ba ku inu sa dini ta kanay iila day ikaw. Aman pinaagi hu ngaran hi Cristo Jesus ha taga-Nazareth hipanaw ka.” 
ACT.3.7	Dayun inibitan hi Pedro sa kawanan ha alima taena daw ipahitindeg. Sagunà naulian sa paa din 
ACT.3.8	daw huminitindeg dayun hipanaw. Sumineled diyà ta Timplu duma kandan ha taghiphipanaw daw taglaksu-laksu ha tagdayè hu Dios. 
ACT.3.9	Su maahà hu mga etaw haena sa taghiphipanaw ha tagdayè hu Dios 
ACT.3.10	nakilala dan ha iyan en haena su tagpinuuwà daw tagpakilimus duun ku Madagway ha Pultahan ta Timplu, aman nangabeleng gayed sidan hu nahitabù taena.
ACT.3.11	Su diyà en si Pedro daw si Juan ta sihungà ha tagngaranan hu Sihungà hi Solomon daw tagpangibità pa diyà ta kandan su naulian ha pigket, inamul-amulan sidan hu mga etaw ha agkangabeleng gayed. 
ACT.3.12	Su maahà hi Pedro su mga etaw inikagiyan din, “Sinyu sa mga duma ku ha kaliwat hi Israel, imbà nuy haini agkabelengi daw imbà kaw tag-ahaay dini ta kanay? Abi nuy gid ha pinaagi hu kanay ha pagkamatareng daw gahem sa impakahipanaw taini. 
ACT.3.13	Sa Dios ha iyan tagsimbahen hi Abraham, hi Isaac daw hi Jacob sa mga gin-apuan taw migdayè ki Jesus ha sinugù din. Intugyan nuy si Jesus duun hu mga agalen daw pigtameyes nuy daan duun hu atubangan hi Pilato bisan su igpaawà en ngaay haena hi Pilato. 
ACT.3.14	Hurà nuy kabayai ha libriyen haena sa balaan daw matareng ba iyan nuy pinanayù ha ipaawà sa sabuwa ha talamunù. 
ACT.3.15	Pinahimatayan nuy sa tag-ila hu kinabuhì ba binanhaw dà haena hu Dios daw naahà day. 
