MAT.1.2	Ibrahím waalʊ́rʊ 
MAT.8.11	Ménveerím mɩ́ɩ́ sɩsɩ ɩráa ɖabata wángalɩɩnáa wɩ́sɩ yaagalɩɩɖɛ́ na sɩyaagazalaɖɛ́ fáráńdɩ́ bána Ibrahím, Isaáka na Yaakúbu boyóózi bɔcɔ́ɔ beɖi Ɩsɔ́ɔ‑dɛ́ɛ 
MAT.8.12	Bɩka wenbá báta basʊ́ʊ kadaá nɛ́, bɛbɛ́ɖɩ wɛ asʊ temeenuú‑daá bewíi balá mányɩ lé.»
MAT.8.13	Ngɛ Yeésu wɔɔdɔ́ sɔ́ɔ́ja kʊ́bɔnɩ́ sɩsɩ: «Bo ngbé, nyɛ́dɛ́ɛ toovonúm‑fáa wénÿelíi nÿuú wenbí nyɔ́ɔ́bɔ́ɔ́zɩ nɛ́.» Ngɛ kʊ́bɔnɩ́‑dɛ́ɛ tɩmɛ́‑lanɖʊ́ waadáwáa sáátɩ kɩḿ nɔ́ɔ́.
MAT.8.14	Bʊwɔ́rɔ́ nɛ́, Yeésu woobó 
MAT.8.15	Yeésu weedekiná ɩnʊ́ʊ́nɩ, ngɛ waawáa ɩkʊrʊ́ ɩɖʊ yɩ kíɖíím.
MAT.8.16	Ɖaanɩ́ŋa waalá nɛ́, bɔɔgɔná Yeésu ɩráa ɖabata zííniwá wánjaarɩ́ wɛ nɛ́, na ɩdɛ́ɛ ŋmatɩrɛ gɛ wɔɔɖɔɔná zííniwá. Ngɛ waawáázɩ kʊdɔndɩnáa bɔɔgɔ́nɩ nɛ́ barɩ́ŋa. 
MAT.8.17	Waalá bɩlɛ́ gɛ na wentí 
MAT.8.18	Yeésu waana wenbí zamɔ́ɔ waalára kamɩlɩná yɩ nɛ́, ngɛ sɩsɩ bɛ́ɖɛ́ɛ́ná lɩɩrɛ́ kʊ́bɔńɖɛ‑dɛ́ɛ fúu lí ńgɩ‑rɔ. 
MAT.8.19	Ńna gɛ 
MAT.8.20	Ńna gɛ Yeésu woobúsi yɩ sɩsɩ: «Sɔɔlɛ́ɛ́rásɩ wɛná bɔ́ɔ́nɩ sɩ́nzʊʊ́, bɩka siḿsi wɛná ɖɛ́ndɛ́lá sɩ́nzʊʊ́, amá 
MAT.8.21	Bʊwɔ́rɔ́ gɛ Yeésu‑dɛ́ɛ wanbaaráa‑daá naárʊ wɔɔdɔ́ yɩ sɩsɩ: «Kʊ́bɔnɩ́, fa ma nɩ́bááwʊ mobó megébi majaa naanɩ́.» 
MAT.8.22	Ngɛ Yeésu woobúsi yɩ sɩsɩ: «Kovu ma bɩka nÿéle ɩsɩɖáa ibí bɛdɛ́ɛ ɩsɩɖáa.»
MAT.8.23	Bɩlɛ́ bʊwɔ́rɔ́ gɛ Yeésu waagba kpɩ́ɩ́rʊ́ʊ‑daá, ngɛ 
MAT.8.24	Ńna‑ńna gɛ fefelimá kʊ́bɔná waabáázɩ fɛtɩ́ lɩɩrɛ́ kʊ́bɔńɖɛ‑rɔ bɩka bɩ́ndańdɩ kpɩ́ɩ́rʊʊ́ hálɩ lɩ́m wánzʊʊ́ kɩdaá. Amá Yeésu wɛ wónɖóm. 
MAT.8.25	Ńna gɛ ɩwanbaaráa woogódúu ɩjɔ́ beféézi yɩ bɔtɔ yɩ sɩsɩ: «Kʊ́bɔnɩ́, lɛɛ ɖáa, ɖánzɩ́m!» 
MAT.8.26	Ngɛ Yeésu woobúsi wɛ sɩsɩ: «Ngbaalá gɛ mɩ́jɔ́ɔ nɩndáárɛ bɩlɛ́, yaraɖá buḿsi‑dɩnáa mɩ́ɩ́.» Ngɛ waagʊrʊ́ ɩkazɩ́ fefelimá na lɩ́m, ngɛ aazála bɩcɔ́ɔ ɖɛfɛɛ. 
MAT.8.27	Ńna gɛ bɩɩlá ɩwanbaaráa rɩ́ŋa bítí hálɩ bɔ́nbɔɔzɩ́ badɩ sɩsɩ: «Ɩrʊ́ ceení gɛ weení gɛ bɩkpɛdɩ́na lɩ́m na fefelimá wánlám wenbí wɔɔbɔ́ɔ́zɩ nɛ́?»
MAT.8.28	Yeésu wɛɛdɛsɩná lɩɩrɛ́ kʊ́bɔńɖɛ‑dɛ́ɛ fúu li ńgɩ‑rɔ Gadaráa tɛ́ɛ́dɩ‑daá nɛ́, ngɛ ɩráá nɔwɔ́lɛ zííniwá wánjaarɩ́ wɛ nɛ́, waagálɩ́ɩ́ná bɔláánɩ‑daá bɛgɛgɛrɛŋɛ sɩ basɩ́ŋ yɩ. Bɛdɛ́ɛ bánlám ɩráa bidaavé nɛ́ weeyéle naárʊ tɔ́ngbɔɔná, nɩ́bááwʊ kɩḿ. 
MAT.8.29	Ngɛ ɩráa bɛḿ baabáázɩ agogo sɩsɩ: «
MAT.8.30	Afawá natɩ́rɩ cɔɔ́na wɛ bolíni cʊ́kɔ, tɩlɛ́ tɩwɛ tinɖíi kíɖíím. 
MAT.8.31	Ngɛ zííniwá waavɩ́nɩ Yeésu sɩsɩ: «A bɩgɛ́ɛ sɩ nɖɔ́ɔ ɖáa, yele ɖáa ɖɩsʊ́ʊ afawá fuúre ɖɩna ɖɩdaá.» 
MAT.8.32	Ngɛ Yeésu waava tɩ wɛ́ɖɛ sɩsɩ: «Ibó ɩɖɛ́ɛ!» Ngɛ zííniwá waalɩ́ɩ ɩráa nɔwɔ́lɛ bana bɔrɔ tibó tɩsʊ́ʊ afawá. Ngɛ afawá waalɩ́ɩ bʊ́ʊyɔ́ɔ kʊjʊʊ́‑daá na sewɔ́ɔ tɩsʊ́ʊ lɩɩrɛ́ kʊ́bɔ́nɖɛ‑daá lɩ́m iɖi tɩ tɩsɩ́. 
MAT.8.33	Wenbá béngetí afawá tɩḿ nɛ́ beeze bobó tɛ́ɛ́dɩ‑daá batɩ́ wenbí bɩɩlá nɛ́ befééri, na wenbí bɩmɔɔná zííniwá‑dɩnáa nɔwɔ́lɛ bana nɛ́. 
MAT.8.34	Ńna gɛ tɛ́ɛ́dɩ‑daá ɩráa rɩ́ŋa waagálɩ́ɩ sɩ bɛkɛ́tɩ Yeésu. Baana yɩ nɛ́, ngɛ baavɩ́nɩ yɩ sɩsɩ ɩ́lɩɩ bɛḿ balaadɔ́ɔ‑rɔ.
MAT.9.1	Ngɛ Yeésu waagba kpɩ́ɩ́rʊʊ́‑daá ɩtɛ́sɩ lɩɩrɛ́ kʊ́bɔńɖɛ ɩbɩ́sɩ ɩdɛ́ɛ́dɩ‑daá. Ńna gɛ bɔɔgɔná yɩ gaalɔ‑gáálɔ́ɔ kagavɩ́nɛ́ɛ kagɩgbɛ́lɛ́wʊ‑rɔ.
MAT.9.2	Yeésu waana nŋɩ́nɩ́ baava yɩ toovonúm nɛ́, ngɛ wɔɔdɔ́ gaalɔ‑gáálɔɔ́ sɩsɩ: «Ɖɔkɩ nyádɩ móbú, mɛ́ɛ́jɛ́ nya nyɛ́dɛ́ɛ alaháácɩ́wá.» 
MAT.9.3	Ńna gɛ Mará wɩlɩɖáa nɛbɛ́rɛ wɔɔdɔ́ badaá sɩsɩ: «Ɩrʊ́ ceení wánŋmatɩ́ wɛ́ngbɛɛnáa Ɩsɔ́ɔ.» 
MAT.9.4	Yeésu waadɩlɩ́ wentí bánmaazɩ́ nɛ́, ngɛ wɔɔdɔ́ wɛ sɩsɩ: «we‑rɔ gɛ mɩ́nmaazɩ́ wenbí bidaavé nɛ́ bɩlɛ́?» 
MAT.9.5	Mɔdɔ́ sɩsɩ: «bɛɛjɛ́ nya nyɛ́dɛ́ɛ alaháácɩ́wá, na kʊrʊ́ nnʊ́m bɔlɔwʊtáá, wenbí fɛ́yɩ́na káálɛ? 
MAT.9.6	Amá mɔ́zɔ́ɔlɛ́ɛ ɩtɩlɩ́ sɩsɩ 
MAT.9.7	Ngɛ ɩlɛ́ waagʊrʊ́ ikpé ɩdɛ́ɛ. 
MAT.9.8	Zamɔ́ɔ waana bɩlɛ́ nɛ́, ngɛ kɩɩnɩ́ɩ nɩndáárɛ bɩka kɩ́nzám Ɩsɔ́ɔ ńŋɩnáa waava ɩráa yíko ńŋɩnáa kɩna nɛ́.
MAT.9.9	Yeésu waalɩ́ɩ ńna wɛ́nɖɛɛ́ nɛ́, ngɛ waana abaalʊ́ naárʊ bánÿaá yɩ sɩsɩ Maatéwu, ɩjɔɔ́ wánmʊ́ʊ tikée ɩdɛ́ɛ tɩmɛ́rɛ‑daá. Ngɛ wɔɔdɔ́ yɩ sɩsɩ: «Kovu ma.» Ngɛ Maatéwu waagʊrʊ́ ikóvú yɩ. 
MAT.9.10	Bɩɩgɔ́nɩ Yeésu ibó ɩsʊ́ʊ Maatéwu‑dɛ́ɛ ɖaána‑daá kíɖíím ɖíi. Tikée mʊʊráa na alaháácɩ́‑dɩnáa, bɔɔgɔ́nɩ bɔcɔ́ɔ ɩjɔ́ bána ɩwanbaaráa bénɖíi kíɖíím. 
MAT.9.11	Farízi‑dɩnáa waana bɩlɛ́ nɛ́, ngɛ bɔɔdɔ́ Yeésu‑dɛ́ɛ wanbaaráa sɩsɩ: «Bɩyáásɩ́ gɛ mɩ́dɛ́ɛ kʊ́bɔnɩ́ na tikée mʊʊráa na ɩráa badaavé nɛ́ booyóózi bénɖíi kíɖíím?» 
MAT.9.12	Yeésu waanɩ́ɩ bánŋmatɩ́ bɩlɛ́ nɛ́ gɛ sɩsɩ: «Kʊdɔndɩnáa wánjáádɩ kʊ lɔ́kʊ́ta, alaafɩ́ya‑dɩnáa baafɛ́yɩ́na yɩ. 
MAT.9.13	Ibó ɩcáa Ɩsɔ́ɔ‑dɛ́ɛ tɔ́m waaŋmátɩ sɩsɩ: "Kʊnyɔnɩɩrɛ́ waagɩ́lɩ ma fʊ́ńdɩ kpɩná mɩ́ngʊ́ʊ sɩsɩ mɩ́ɩ́lá ma sarɔ́ɔ nɛ́" tugutoluú, káma mɔ́dɔ́kɔ́nɩ sɩ mayáa wenbá bazɩɩzɛ́ɛ nɛ́, amá alaháácɩ́‑dɩnáa‑rɔ gɛ mɔ́ɔ́gɔ́nɩ.»
MAT.9.14	Yeésu waaŋmátɩ bɩlɛ́ bɩtɛ́ nɛ́, ngɛ 
MAT.9.15	Yeésu woobúsi wɛ sɩsɩ: «Mɩ́nmaazɩ́ sɩsɩ wetáhárʊ ɖɔndɩnáa mɔɔ́na bɔcɔ́ɔ ɩzányɩ́ŋɩ́rɛ‑daá sáátɩ bána wetáhárʊ nɛ́? Bɩdánlaḿ bɩlɛ́. Sáátɩ nakɩ́rɩ wɔ́ngɔnɩ́, bɔ́ngɔnɩ́ bɔkpɔ́ɔ wetáhárʊ bɔjɔ́ bɛɖɛɛná. Bɩdɛ́ɛ sáátɩ gɛ bɔ́nvɔkɩ́ nɔɔ́.»
MAT.9.16	Yeésu waadásɩ ɩtɔ́ wɛ sɩsɩ: «Naárʊ fɛ́yɩ́ wɔ́ngbɔwʊ́ʊ bɩsaawʊ́ kedeyɔ́ɔ kɩ́falɔɔ́ ɩtɔná tóko kɩ́bɩńgɩ. Tɩ́fa bɩsaawʊ́ kɩ́falʊʊ́ wánjɩrɩ́ɩ tóko kɩ́bɩńgɩ gɛ bɔɔwʊ́ ɩnyɔ́ɔ́zɩ kɩwála. 
MAT.9.17	Ngʊ́ bɩlɛ́ gɛ bodónzuú sʊlʊ́m kɩ́fábɩ bɩdabɩɩtá bɩtɛ́ nɛ́ tɔ́nɖɛ furuú kɩ́bɩńgɩ‑daá, tɩ́fa kɩ́nÿáa gɛ sʊlʊ́m ɩbɩ́rɩ adɛ tɔ́nɖɛ furuú ɩlá ásáráwʊ́. Amá bónzuú sʊlʊ́m kɩ́fábɩ bɩdabɩɩtá bɩtɛ́ nɛ́ tɔ́nɖɛ furuú kɩ́fálʊʊ́‑daá gɛ na bɩrɩ́ŋa bɩcɔ́ɔ ɖéyí‑ɖéyí.»
MAT.9.18	Yeésu bamáa ŋmatɩrɛ bɩlɛ́ nɛ́ gɛ Yahúɖúwá‑dɛ́ɛ kʊ́bɔnɩ́ naárʊ wɔɔgɔ́nɩ ɩká ɩɖʊná‑rɔ ɩnʊvɔ́‑daá ɩtɔ́ sɩsɩ: «Lɛlɛɛkɩna gɛ mɛwɛɛlɛ́ɛ weevéti. Amá kɔnɩ ngádɩ́nɩ nʊ́ʊ́nɩ ɩrɔ, wénvém.» 
MAT.9.19	Ńna gɛ Yeésu waagʊrʊ́ ɩ́na 
MAT.9.20	Ngɛ alʊ́ naárʊ azimá wéndináa yɩ bɩwɛná bɩ́ɩ́zɩ fuú na nasɩ́lɛ nbɩlɛ́ nɛ́ woogódúu itekiná Yeésu‑dɛ́ɛ tóko njʊ́ʊ́rɛ na ɩwɔ́rɔ́. 
MAT.9.21	Alʊ́ ɩmʊ́ waamáázɩ sɩsɩ: «A ɖé máábɩ́ɩ́zɩ medekiná idóko, mánwaá.» 
MAT.9.22	Yeésu wɛɛgɛ́ɛ́zɩ ɩdɩ ɩbɛ́ɛ́m yɩ, ngɛ wɔɔdɔ́ yɩ sɩsɩ: «Ɖɔkɩ nyádɩ, mɛwɛɛlɛ́ nyɛ́dɛ́ɛ toovonúm fáa wɛɛlɛ́ɛ nya.» Sáátɩ kɩḿ nɔ́ɔ́ gɛ alʊ́ ɩmʊ́ waajáŋ ɩwáa.
MAT.9.23	Yeésu woobó ɩtála Yahúúɖúwá‑dɛ́ɛ kʊ́bɔnɩ́ ɩmʊ́ ɩdɛ́ɛ. Ngɛ wɔɔmɔɔná foyísi‑dɩnáa bángbɩɩrɩ́ sɩ bɛɖɛ́ɛ ɩrʊ́ bím, bɩka ɩráa zamɔ́ɔ wɛ ɖaána‑daá bénwií bóngoó.
MAT.9.24	Ńna gɛ Yeésu wɔɔdɔ́ wɛ sɩsɩ: «Ɩlɩ́ɩ, káma aléeré tasɩ́, wónɖóm gɛ.» Ngɛ bɛlɛ́ baamʊ́m yɩ. 
MAT.9.25	Baalɩzɩ́ zamɔɔ́ asʊ nɛ́, Yeésu waazʊ́ʊ ɖaḿ‑daá ɩɖɔ́kɩ aléeré ɩmʊ́ ɩnʊ́ʊ́nɩ‑daá, ngɛ aléeré waagʊrʊ́. 
MAT.9.26	Ngɛ tɔ́m tɩḿ tɩɩnɩ́ɩ fáráńdɩ́ kɩḿ kɩrɩ́ŋa kɩdaá.
MAT.9.27	Yeésu waalɩ́ɩ ńna wɛ́nɖɛɛ́ nɛ́ gɛ njɛma nɔwɔ́lɛ waalɩ́ɩ batɩ́nɩ ɩwɔ́rɔ́ bóngoó sɩsɩ: «
MAT.9.28	Yeésu waadála ɖaána nɛ́, njɛma woogódúu ɩjɔ́. Ngɛ wɔɔbɔ́ɔ́zɩ wɛ sɩsɩ: «Mɩ́ɩ́vá toovonúm sɩsɩ mánbɩɩzɩ́ mawáázɩ mɩ́ɩ́?» Ngɛ bɛlɛ́ boobúsi yɩ sɩsɩ: «Ɩɩ́n kʊ́bɔnɩ́.» 
MAT.9.29	Ńna gɛ Yeésu weedekiná baazá ɩtɔ́ sɩsɩ: «Bɩ́la mɩ́ɩ́ ńŋɩnáa wenbí mɩ́ɩ́vá toovonúm nɛ́.» 
MAT.9.30	Ngɛ baabáázɩ náa. Ngɛ waabá ɩbásɩ wɛ sɩsɩ békéyele naárʊ ɩnɩ́ɩ tɩ. 
MAT.9.31	Amá bɛlɛ́ boobó gɛ bekiliná tɩ fáráńdɩ́ kɩ́m kɩrɩ́ŋa kɩdaá.
MAT.9.32	Sáátɩ wenkí njɛma wánlɩɩ́ nɛ́ gɛ bɔɔgɔná Yeésu ɩrʊ́ naárʊ zííni waabɩsɩná yɩ komóómúŋa nɛ́. 
MAT.9.33	Yeésu wɔɔɖɔ́ɔ zííni kɩḿ nɛ́, ngɛ komóómúŋa waabáázɩ ŋmatɩrɛ. Ngɛ bɩɩlá zamɔ́ɔ bítí bɩka kɩ́ndɔ́m sɩsɩ: «Kɛtɛngɛrɛ ɖádánááta bɩna bɩdaká Israyɛ́ɛ́lɩ tɛ́ɛ́dɩ‑daá cé.» 
MAT.9.34	Amá faarízi‑dɩnáa bɛlɛ́ sɩsɩ zííniwá‑dɛ́ɛ wúro wánváa kʊ yɩ yíko wɔ́nɖɔɔnáa zííniwá.
MAT.9.35	Yeésu wɛ wéngilím tɛ́ɛ́dɩwá na tɛɛ‑bíízi‑daá wánwɩlɩ́ɩ ɩráa Ɩsɔ́ɔ‑dɛ́ɛ tɔ́m 
MAT.9.36	Waana ɩráa zamɔ́ɔ nɛ́, ngɛ bɩɩlá yɩ kʊnyɔḿ, káma bɩ́ńnɩ́ɩ ɩráa bɩka balaakáárɩ kʊráa ńŋɩnáa fééni tɩvɛ́yɩ́na 
MAT.9.37	Ńna gɛ wɔɔdɔ́ ɩwanbaará sɩsɩ: «Kíɖíím sɩ bakʊ́ nɛ́ bɩɩɖɔ́ɔ, amá kʊmɖáa tɔɖɔ́ɔ. 
MAT.9.38	Ɩzʊ́lʊ fɔɔ́‑dʊ́ʊ ikédíri kʊmɖáa bʊɖɔ́ɔ bɔkɔ́nɩ bakʊ́.»
MAT.10.1	Ngɛ Yeésu waayáa tɩndɩnáa fuú na nɔwɛ́lɛ ɩfa wɛ yíko sɩsɩ bɔ́ɖɔɔ zííniwá bɩka bawáázɩ ɩráa‑dɛ́ɛ kʊdɔmɩ́nɩ na gala‑gáálátɩ. 
MAT.10.2	 fuú na nɔwɛ́lɛ bɛḿ bayɩrá nɖɔ́: kaɖaa ńnɩ́ gɛ Sɩmɔ́ɔ́nɩ weení bánÿaá yɩ sɩsɩ 
MAT.10.3	Filíípu na Bartelemíi, Tomáa na Maatéwu tikée mʊʊrʊ́, Yaakúbu alfée biyaalʊ́ na Taadée; 
MAT.10.4	Simɔ́ɔ́nɩ tɛ́ɛ́dɩ‑bú na Yudási Isikariyóo weení sɩ ɩyá yɩ nɛ́.
MAT.10.5	Ɩráa fuú na nɔwɛ́lɛ bana gɛ yeésu weedíri, ifééri wɛ sɩsɩ: 
MAT.10.6	«Íkóbó wenbá bɛdɛkɛ́ɛ Yahúúɖúwá nɛ́ bɔjɔ́, ngʊ́ ɩ́kásʊ́ʊ Samaaríya tɛ́ɛ́dɩwá‑daá. Amá ibó Israyɛ́ɛ́lɩ bíya‑jɔ́; bɔjɔɔ́ gɛ nyazɩ fééni tɩɩdɛlɛ́m nɛ́. 
MAT.10.7	Nɩ́bááwʊ‑daá, ɩlá waázu ifééri ɩráa sɩsɩ: "Ɩsɔ́ɔ‑dɛ́ɛ 
MAT.10.8	Ɩwáázɩ kʊdɔndɩnáa, ivéézi ɩsɩɖáa, ɩwáázɩ cɛnɩ́sɩ, ɩɖɔ́ɔ zííniwá. Faala gɛ baava mɩ́ɩ́, mɩ́nyɔ́ɔ ɖʊɖɔ ɩva faala. 
MAT.10.9	A sɩ ɩɖɛ́ɛ, ɩ́káɖʊ siká, liideé yáá jɩtɔ́ɔ mízíba‑daá. 
MAT.10.10	Ngʊ́ ɩ́kɔ́kpɔ́ɔ furuú nɩ́bááwʊ kɩ́ɖɛ́ɛnákʊ, ɩ́kɔ́kpɔ́ɔ tókowá natɩ́lɛ. Ɩ́kɔ́kpɔ́ɔ takaḿwá yáá ɖɛ́nɩ 
MAT.10.11	A mííbó tɛ́ɛ́dɩ yáá tɛɛ‑biiyá nɛkɛ́rɛ‑daá, ɩjáa ɩbɛ́ɛ sɩsɩ naárʊ wɛ wéndisí ɩmʊ mɩ́ɩ́ bɩka ɩcɔ́ɔ ɩdɛ́ɛ hálɩ wɩ́rɛ wenɖé sɩ ɩdɛ́ɛ nɛ́. 
MAT.10.12	A mɩ́ɩ́zʊ́ʊ ɖaána wenká‑daá nɛ́, ɩdɔ́ sɩsɩ: "Ɩsɔ́ɔ‑dɛ́ɛ fɛɛzɩrɛ ɩ́cɔ́ɔ́ná mɩ́ɩ." 
MAT.10.13	A bɩgɛ́ɛ baamʊ mɩ́ɩ́, Ɩsɔ́ɔ‑dɛ́ɛ fɛɛzɩrɛ wɔ́njɔɔnáa wɛ. Amá a badamʊ mɩ́ɩ́, mɩ́dɛ́ɛ kooríti wángabɩsɩ́ mɩ́ɩ́. 
MAT.10.14	A bɩgɛ́ɛ míízʊ́ʊ ɖaána nɛkɛ́rɛ yáá tɛ́ɛ́dɩ natɩ́rɩ‑daá, ngɛ badamʊ mɩ́ɩ́ ngʊ́ bedewélési mɩ́ɩ́, ɩlɩ́ɩ ńna bɩka ikpíízi mɩ́nʊvɔ́‑dɛ́ɛ buuruú ɩtalɩná wɛ
MAT.10.15	Ménveerím mɩ́ɩ́ toovonúm sɩsɩ wɩ́rɛ wenɖé Ɩsɔ́ɔ sɩ ɩfʊʊná ɩráa nɛ́, Sodɔ́ɔm na Gomɔ́ɔ́rɩ‑dɛ́ɛ fʊʊnáa wánlám sóńcí na tɛ́ɛ́dɩ tɩḿ.
MAT.10.16	Iwélési ɩnɩ́ɩ ma. Méndiríi mɩ́ɩ́ dɔ́ nɛ́, bɩjɔɔ́ gɛ nyazɩ bónbonáa fééni káwʊ́‑káwʊ́wá lɔwʊ́táá nɛ́. Bɩlɛ́ nɛ́ ɩlá laakáarɩ, ɩlá ɖɛnyɛm nyazɩ ɖomáa bɩka ńŋɩnáa avówa kʊ́fʊ́lʊmá cɔɔ́ bɩ nɛ́, míwénbé‑daá ɖʊɖɔ ɩ́fʊ́lʊ bɩlɛ́. 
MAT.10.17	Ɩlá laakáarɩ, káma ɩráa wánÿaá mɩ́ɩ́ wanásɩ tɔ́m‑vʊʊráa‑dɛ́ɛ bakʊ mɩ́dɔ́m, bamá mɩ́ɩ́ agbáázá bɛdɛ́ɛ Ɩsɔ́ɔ 
MAT.10.18	mɔ́ɔ́ mɔ́rɔ́ɔ́zɩ́ bónbonáa mɩ́ɩ́ tɛ́ɛ́dɩ nɩ́báadɛɛráa na wúrowá‑jɔ́, ńna nɛ́ mɩ́nlɩzɩ́ɩ séríya bána wenbá bɛdɛkɛ́ɛ Yahúúɖúwá nɛ́ bɔjɔ́. 
MAT.10.19	A bɩgɛ́ɛ booboná mɩ́ɩ́ tɔ́m‑vʊʊráa‑jɔ́, ɩ́káyɩ́tɩ mɩ́dɩ sɩsɩ nŋɩ́nɩ́táá gɛ sɩ ɩŋmátɩná, yáá wentí gɛ sɩ ɩŋmátɩ, káma sáátɩ kɩḿ nɔ́ɔ́, Ɩsɔ́ɔ tɩtɩŋa wénveerím mɩ́ɩ́ wentí sɩ ɩŋmátɩ nɛ́. 
MAT.10.20	Káma bɩdɛkɛ́ɛ mɩ́nyɔ́ɔ́ sɩ ɩŋmatɩná, mɩ́jáa‑dɛ́ɛ Kezeŋa sɩ ɩŋmatɩná na mɩ́nɔ́ɔ́. 
MAT.10.21	Koobúu wɔ́ngɔnɩ́ iyéle bakpa koobúu sɩ bákʊ́ yɩ, caáwʊ́ iyéle bakpa ibú sɩ bákʊ́ yɩ; bíya ɩkʊrʊ́ na bajaanáa bakʊ bɔdɔ́m sɩsɩ bákʊ́ wɛ. 
MAT.10.22	Mɔ́ɔ́ mɔ́rɔ́ɔ́zɩ́, ɩráa rɩ́ŋa wánlɩzɩ́ɩ mɩ́ɩ́ báɖáárɛ. Amá weení wɔɔɖɔ́kɩ ɩdɩ hálɩ bɩkádʊ́lʊ́ nɛ́, Ɩsɔ́ɔ wɛ́nlɛɛ́ yɩ. 
MAT.10.23	A bɩgɛ́ɛ sɩsɩ bánváa mɩ́ɩ́ fúkúḿsi tɛ́ɛ́dɩ natɩ́rɩ‑daá, ize ɩkɛ́ɛ tɛ́ɛ́dɩ. Ménveerím mɩ́ɩ́ toovonúm sɩsɩ mídéngilí Israyɛ́ɛ́lɩ tɛ́ɛ́dɩwá rɩ́ŋa‑daá ɩtɛ́ na 
MAT.10.24	Wanbaarʊ́ tángɩlɩ́ weení wɛ́ngbɛlɛḿ yɩ nɛ́, cáńfáná bɔwʊtá‑dʊ́ʊ ɩkɩ́lɩ ɩdɛ́ɛ kʊ́bɔnɩ́. 
MAT.10.25	Wanbaarʊ́ mɔɔ́na ɩjɔɔ́ gɛ nyazɩ weení wɛ́ngbɛlɛḿ yɩ nɛ́, bɩka bɔwʊtá‑dʊ́ʊ nyazɩ ɩgʊ́bɔnɩ́. A baadʊ́ʊ ɖaána‑dʊ́ʊ sɩsɩ Bɛlɩzebúuli, mɩ́nyɔ́ɔ ɖaána‑daá ńba, badándʊʊ mɩ́ɩ́ bɩcɛzɩ́ bɩlɛ́?
MAT.10.26	Bɩlɛ́ nɛ́, ɩ́kanɩ́ɩ banɩndáárɛ, nabʊ́rʊ fɛ́yɩ́ bɩmʊ́sɛ́ɛ bɩdánlɩɩ bana bɩ nɛ́, cáńfáná ásíírí badándɩlɩ́ kɩ nɛ́. 
MAT.10.27	Wentí ménveerím mɩ́ɩ́ nuvoowú nɛ́, ɩŋmátɩ tɩ ɩdaawʊ́. Wentí bánzaazɩ́ mɩ́ɩ́ nɛ́, ɩbɔ́ɔ tɩ ɖamɩ́nɩ kʊjʊ́nɩ‑rɔ. 
MAT.10.28	Ɩ́kanɩ́ɩ wenbá bángʊ́ʊ tɔnʊʊ́ bɩka badánbɩɩzɩ bakʊ kezeŋa nɛ́ banɩndáárɛ, amá ɩnɩ́ɩ weení wánbɩɩzɩ́ ɩkʊ kezeŋa na tɔnʊʊ́ nimíni‑daá nɛ́ ɩnɩndáárɛ. 
MAT.10.29	Mányɩ sɩsɩ fárám gɛ bánÿám cɩcɩ́sɩ nasɩ́lɛ ya? Amá na bɩrɩ́ŋa bɩlɛ́, sɩdaá nɛkɛ́rɛ fɛ́yɩ́ kánzalɩ́ɩ adɛ bɩka mɩ́jáa Ɩsɔ́ɔ waasɩ bʊrɔ nɛ́. 
MAT.10.30	Nyááná mɩ́nyɔ́ɔ nɛ́, bɩrɩ́ŋa na mɩ́nyɔ́ɔ́zɩ, Ɩsɔ́ɔ nyɩ sɩgʊjʊʊ́. 
MAT.10.31	Bɩlɛ́ nɛ́, ɩ́kánɩ́ɩ nɩndáárɛ, mɩ́wɛ́na Ɩsɔ́ɔ fɔ́ɔ́zɩrɛ bɩcɛzɩ́ cɩcɩ́sɩ birika.
MAT.10.32	A naárʊ waaŋmátɩ zamɔ́ɔ ɩzá‑daá sɩsɩ ɩmʊ́ ɩgɛ́ɛ mɛ́dɛ́ɛ ńnɩ́, mɔ́ɔ́ ɖʊ́ɖɔ majaa weení ɩwɛ ɩsɔ́ɔ́dáá nɛ́ waazá‑daá, mánŋmatɩ́ sɩsɩ bʊdʊ́ʊ kɛ́ɛ mɛ́dɛ́ɛ ńnɩ́. 
MAT.10.33	Amá a naárʊ wɔɔdɔ́ zamɔ́ɔ ɩzá‑daá sɩsɩ waasɩ ma, mɔ́ɔ́ ɖʊɖɔ mɔ́ndɔ́m majaa weení ɩwɛ ɩsɔ́ɔ́daá nɛ́ waazá‑daá sɩsɩ máásɩ yɩ.
MAT.10.34	Ɩ́kámáázɩ sɩsɩ fɛɛzɩrɛ gɛ mɔ́ɔ́gɔ́ná adɛ laadɔ́ɔ‑rɔ; mɔ́dɔ́kɔ́ná fɛɛzɩrɛ, amá yowú gɛ mɔ́ɔ́gɔ́ná. 
MAT.10.35	Mɔ́ɔ́gɔ́nɩ gɛ sɩ madára ɩrʊ́ na ɩjaa, aléeré na ɩgɔɔ, awónboolú na ɩwɔ́nɩ́. 
MAT.10.36	Ɩráa wánlɩzɩ́ɩ bogoobíya báɖáárɛ. 
