GEN.1.1	Pakuyamba Mulungu adalenga dzulu napantsi. 
PSA.24.3	Mbani angayime pambuto yake yakuyela?
PSA.24.4	Munthu wamanja yalibe mulandu nawantima ulibe katsa,
PSA.24.4	ansaya kunama,
PSA.24.4	panango kulumbila bzamagunkha,
PSA.24.5	an'zatambila daliso kuchoka kwa Chawuta,
PSA.24.5	nachilungamo kuchoka kwa Mulungu wachipulumuso chake.
PSA.24.6	Uwu ndiwo m'badwe waanimupsaga,
PSA.24.6	ampsaga nkhope yako, Jakobho.
PSA.24.7	Sumusani misolo yanu, imwe misuwo!
PSA.24.7	Sumusikani, imwe bzitseko bzakale,
PSA.24.7	kuti mambo wandemela apite!
PSA.24.8	Ko nimponi uyu mambo wandemela?
PSA.24.8	Chawuta wakulimba nawamphamvu,
PSA.24.8	Chawuta wamphamvu munkhondo!
PSA.24.9	Sumusani misolo yanu, imwe misuwo!
PSA.24.9	Sumusani,
PSA.24.9	kuti mambo wandemela apite!
PSA.24.10	Ko nimponi uyu mambo wandemela?
PSA.24.10	Chawuta waanyankhondo,
PSA.24.10	iye ndiye mambo wa Ndemela! Selah.
PSA.25.1	Kwayimwe Chawuta, nin'zasumusa n'zimu wangu!
PSA.25.2	Mulungu wangu, mwayimwe nin'themba!
PSA.25.2	Lekani kundilekelela ndichinyala;
PSA.25.2	lekani kuti azondi wangu asekelele!
PSA.25.3	Chadidi, wentse ankukhulupililani ngaaleke kunyala,
PSA.25.3	koma wentse ankupandukilani an'zanyala.
PSA.25.4	Chawuta ndidziwiseni njila zanu,
PSA.25.4	ndifundiseni njila zanu.
PSA.25.5	Nditsogoleleni muchadidi chanu, mundifundise,
PSA.25.5	pakuti ndimwe Mulungu wachipulumuso changu,
PSA.25.5	nin'choma dzuwa lentse ndichinyanganila kwayimwe.
PSA.25.6	Kumbukani chifundo chanu nantsisi zanu, Chawuta!
PSA.25.6	Thangwe lakuti m'bzakale kuchokela lini nalini.
PSA.25.7	Lekani kukumbuka kutaza kwapawung'ono wangu.
PSA.25.7	Kuteyeza ntsisi zanu, Chawuta ndikumbukeni,
PSA.25.7	nathangwe lakukoma kwanu.
PSA.25.8	Chawuta niwabwino pomwe niwakukonkholoka,
PSA.25.8	nakutenepo anfundisa wakuyipa njila yaanfamba nayo.
PSA.25.9	An'tsogolela wakubzichepesa kulinganiza,
PSA.25.9	anfundisa wakubzichepesa njila yake.
PSA.25.10	Njila zentse za Chawuta nintsisi pomwe n'zakukhulupilika,
PSA.25.10	kwaawo wentse an'chengeta chibvano chake nawufakazi wake.
PSA.25.11	Nathangwe ladzina lanu Chawuta,
PSA.25.11	ndilekeleleni chakuyipa changu pakuti n'chikulu.
PSA.25.12	Mbani munthu an'gopa Chawuta?
PSA.25.12	An'zafundisa njila yaan'zasankhula.
PSA.25.13	Iye pachake an'zakhala muwubwino,
PSA.25.13	wana wake an'zatola dziko kukhala nthaka yawo.
PSA.25.14	Kuyeluza kwa Chawuta kuna awo animugopa
PSA.25.14	aniwadziwisa chibvano chake.
PSA.25.15	Nthawe zentse maso yangu yali kwa Chawuta,
PSA.25.15	pakuti ndiye an'tsudzula minyendo kuchoka muwukonde.
PSA.25.16	Chewukani kwayine, mundikomele ntima,
PSA.25.16	pakuti ndili ndekha pomwe ndikuwawiwa!
PSA.25.17	Kushupika kwantima wangu kwawanda.
PSA.25.17	Ndichizeni munyathwa zangu!
PSA.25.18	Nyanganani kudzudzika kwangu nanthamu zangu!
PSA.25.18	Ndilekeleleni bzakuyipa bzangu!
PSA.25.19	Nyanganani azondi wangu pakuti awanda kwene-kwene,
PSA.25.19	anin'zonda nachizondo chandewo!
PSA.25.20	Chinjilizani umoyo wangu, pomwe mundipulumuse!
PSA.25.20	Lekani kundilekelela ndichinyala, pakuti nimpotela kwayimwe!
PSA.25.21	Kukhuma muchikhulupililo nakukonkholoka ngabzindichengete,
PSA.25.21	pakuti nin'nyanganila kwayimwe.
PSA.25.22	Mulungu lombolani Izraeli,
PSA.25.22	mukushupika kwayene kwentse.
PSA.26.1	Chawuta wonesani kuti ndilibe mulandu,
PSA.26.1	pakuti ndidafamba mwakukhuma chikhulupililo
PSA.26.1	ndidathemba na Chawuta ndilibe kugona.
PSA.26.2	Chawuta ndinyanganisiseni pomwe ndiyeseni,
PSA.26.2	yesani ntima wangu nayimpso zangu.
PSA.26.3	Pakuti ntsisi zanu zili patsogolo pangu,
PSA.26.3	ninfamba muchikhulupililo chanu.
PSA.26.4	Ninkhala lini nawanthu wamagunkha,
PSA.26.4	naawo am'bzibisa wakusaya kuwa pachadidi.
PSA.26.5	Nin'zonda chipani chawanthu an'chita bzakuyipa
PSA.26.5	wanthu wakuyipa, nin'khala lini pabodzi nawo.
PSA.26.6	Nin'zasamba manja yangu ndilibe mulandu,
PSA.26.6	ndichiyenda kazungunuka mbuto yanu yakupelekela ntsembe, Chawuta.
PSA.26.7	Niniyimba nyimbo yakulemekeza,
PSA.26.7	ndichilalikila bzamabasa yanu yan'dabwisa.
PSA.26.8	Chawuta ninfuna nyumba yamun'khala,
PSA.26.8	mbuto in'khala ndemela yanu.
PSA.26.9	Lekani kuchosa n'zimu wangu pabodzi nawakuyipa,
PSA.26.9	lekani kuchosa umoyo wangu pabodzi nawanthu wakutaya gazi,
PSA.26.10	m'manja mwawo mudadzala bzakuyipa,
PSA.26.10	pomwe manja yawo yadidi yadadzala nabzivalamulomo.
PSA.26.11	Mwakukhuma chikhulupililo, ninfamba
PSA.26.11	ndilomboleni mundikomele ntima.
PSA.26.12	Mwendo wangu udayima pambuto ili thasa,
PSA.26.12	nkati mwawanthu azinji nin'dalisa Chawuta.
PSA.27.1	Chawuta ndiye mwenje wangu nachipulumuso changu,
PSA.27.1	ko mbani wandingagope?
PSA.27.1	Chawuta ndiye mbuto yakuthawila, yawumoyo wangu,
PSA.27.1	ko mbani wandingagope?
PSA.27.2	Wanthu wakuyipa paaninfikila,
PSA.27.2	kuti adye nyama yangu,
PSA.27.2	akapondo wangu naazondi wangu,
PSA.27.2	an'dzedzeleka achigwa.
PSA.27.3	Ne akandizungunuka,
PSA.27.3	ntima wangu un'zagopa lini,
PSA.27.3	Ne nkhondo ikandimukila,
PSA.27.3	nin'zathemba nayimwe.
PSA.27.4	Chinthu chibodzi chandakumbila kwa Chawuta,
PSA.27.4	chanimpsaga,
PSA.27.4	kuti ndizakhale munyumba ya Chawuta kwawumoyo wangu wentse,
PSA.27.4	kuti ndiwone kukoma ntima kwa Chawuta,
PSA.27.4	kuti ndibvunze mu Tembele yake.
PSA.27.5	Pakuti an'zachinjiliza mumbuto yake yakuthawila,
PSA.27.5	pantsiku yakushupika.
PSA.27.5	An'zandibisa mutenti yake,
PSA.27.5	achindiyikha padzulu pamwala.
PSA.27.6	Tsapano nsolo wangu un'zasumusiwa,
PSA.27.6	padzulu paazondi wangu adandizungunuka,
PSA.27.6	nin'zapeleka ntsembe mutenti yake,
PSA.27.6	ntsembe namafala yakukondwa.
PSA.27.6	Nin'zayimba ndichipembeza Chawuta.
PSA.27.7	Chawuta ibvani fala langu panin'chemela,
PSA.27.7	ndikomeleni ntima, mundidayile!
PSA.27.8	Ntima wangu uniti kwayimwe, “Nin'zapsaga nkhope yanu, imwe Chawuta!”
PSA.27.8	Ntima wangu uniti kwayimwe,
PSA.27.8	“Nimpsaga nkhope yanu Chawuta.”
PSA.27.9	Lekani kubisa nkhope yanu kwayine.
PSA.27.9	Lekani kubweza mulanda nawukali wanu,
PSA.27.9	pakuti ndimwe thandizo langu.
PSA.27.9	Lekani kunditaya panango kundilamwa,
PSA.27.9	Mulungu wachipulumuso changu!
PSA.27.10	Apayi naamayi anditaya,
PSA.27.10	koma Chawuta aninilokota.
PSA.27.11	Ndifundiseni njila yanu, Chawuta!
PSA.27.11	Nditsogoleleni munjila yanu yakuthasama,
PSA.27.11	thangwe laazondi wangu.
PSA.27.12	Lekani kundipeleka kwaazondi wangu,
PSA.27.12	pakuti mboni zakunama zandimukila,
PSA.27.12	pomwe niwabefu nandewo.
PSA.27.13	Ninga ndilibe kukhulupilila kuwona ubwino wa Chawuta,
PSA.27.13	padziko lawanthu wamoyo.
PSA.27.14	Dikhila Chawuta,
PSA.27.14	limba, wonesa mphamvu!
PSA.27.14	Yimila Chawuta.
PSA.28.1	Kwayimwe Chawuta, nin'chemela!
PSA.28.1	Mwala wangu, lekani kufunga makutu yanu,
PSA.28.1	pakuti mukandinyamalila,
PSA.28.1	nin'zachita ninga wale aniyenda kudindi.
PSA.28.2	Ibvani fala lakupemphela kwangu,
PSA.28.2	paninilila thandizo kuchoka kwayimwe,
PSA.28.2	paninsumusila manja yangu kumbuto yanu yakuyelesesa.
PSA.28.3	Lekani kundikwekwetela pabodzi nawakuyipa,
PSA.28.3	naawo am'phata basa lakuyipa;
PSA.28.3	awo anilewa-lewa mafala yan'delekho kwawan'khalisana nawo,
PSA.28.3	koma mitima ichilewa bzakuyipa.
PSA.28.4	Apaseni kuteyeza mabasa yawo,
PSA.28.4	kuteyeza kuyipa kwabzakuyipa bzawo,
PSA.28.4	kuteyeza mabasa yamanja yawo, apaseni,
PSA.28.4	abwezeleni kutaza kwawo!
PSA.28.5	Pakuti achakumbuka lini mabasa ya Chawuta,
PSA.28.5	namabasa yamanja yake.
PSA.28.5	An'zaang'amba,
PSA.28.5	an'zaamanga lini pomwe.
PSA.28.6	Ngaadalisiwe Chawuta!
PSA.28.6	Pakuti adabva fala lakulila kwangu.
PSA.28.7	Chawuta mphamvu zangu, nanchinjilizo yangu,
PSA.28.7	mwayimwe ntima wangu un'themba.
PSA.28.7	Ndidathandiziwa, ntima wangu unkuziwa,
PSA.28.7	kuchoka munyimbo yangu, nimpeleka kutenda kwayiye.
PSA.28.8	Chawuta nimphamvu kwayiye,
PSA.28.8	mbuto yakuthawila wakudzodzewa wake.
PSA.28.9	Chizani wanthu wanu,
PSA.28.9	mudalise nthaka yanu,
PSA.28.9	abuseni, muwatakule kufika lini nalini.
PSA.29.1	Pelekani kwa Chawuta, imwe wana wa Mulungu,
PSA.29.1	pelekani kwa Chawuta ndemela namphamvu.
PSA.29.2	Pelekani kwa Chawuta ndemela yadzina lake,
PSA.29.2	kotamilani Chawuta musilile mbuto yake yakuyela.
PSA.29.3	Fala la Chawuta lili padzulu pamadzi,
PSA.29.3	Mulungu wa ndemela anililima,
PSA.29.3	Chawuta ali padzulu pamadzi mazinji.
PSA.29.4	Fala la Chawuta lina mphamvu,
PSA.29.4	fala la Chawuta lidadzala nakulemekezeka.
PSA.29.5	Fala la Chawuta likutyola misidhari,
PSA.29.5	Chawuta adatyola-tyola misidhari yamu Lebhanoni.
PSA.29.6	Adayichita kuti imoge-moge ninga mwana wang'ombe,
PSA.29.6	Lebhanoni na Siriyoni, ninga mwana wanyati.
PSA.29.7	Fala la Chawuta likuchetuma malilimi yamoto.
PSA.29.8	Fala la Chawuta lintekenyesa chipululu,
PSA.29.8	Chawuta antekenyesa chipululu cha Kadheshi.
PSA.29.9	Fala la Chawuta lintekenyesa
PSA.29.9	limpulula masamba yamiti
PSA.29.9	mu Tembele yake wentse aniti, “Ndemela!”
PSA.29.10	Chawuta an'zakhala padzulu pamadzi yagumbula,
PSA.29.10	Chawuta an'zakhala mambo kufika lini nalini.
PSA.29.11	Chawuta an'zapasa mphamvu kwawanthu wake,
PSA.29.11	Chawuta an'zadalisa wanthu wake nankhalo.
PSA.30.1	Ninkukuzani Chawuta pakuti mudandichiza,
PSA.30.1	pomwe mulibe kuleka azondi wangu achisekelela.
PSA.30.2	Chawuta, Mulungu wangu!
PSA.30.2	Ndidalilila thandizo kwayimwe mudandipozeka.
PSA.30.3	Chawuta mudachosa n'zimu wangu kumbuto yawanthu wakufa,
PSA.30.3	mudandichitisa kuti ndileke kuyenda kumbuto yawanthu wakufa.
PSA.30.4	Imbani nyimbo zakudumbiza Chawuta, imwe mwentse wanthu wake wakukhulupilika,
PSA.30.4	pomwe pelekani kutenda pakukumbukila kuyela kwake.
PSA.30.5	Pakuti ukali wake niwakamphindi,
PSA.30.5	koma kukoma ntima kwake nkwalini nalini.
PSA.30.5	Kulila kum'bwela usiku,
PSA.30.5	kusekelela kum'bwela machibese.
PSA.30.6	Mukusumukila kwangu ndidati,
PSA.30.6	“Nin'zatekenyeka lini.”
PSA.30.7	Nakukoma ntima kwanu imwe Chawuta,
PSA.30.7	mudandikonza kundichita ninga phili lakulimba.
PSA.30.7	Mudabisa nkhope yanu,
PSA.30.7	ndidabva mantha kwene-kwene.
PSA.30.8	Kwayimwe Chawuta, nin'zachemela!
PSA.30.8	Kwayimwe Mfumu nin'zapsaga kukoma ntima kwanu.
PSA.30.9	Niphindu lanyi kuyenda kwangu kudindi?
PSA.30.9	Ko dongo lingakutendeni?
PSA.30.9	Ko lingazalewe bzakukhulupilika kwanu?
PSA.30.10	Ibvani Chawuta, ndikomeleni ntima!
PSA.30.10	Khalani n'thandizi wangu Chawuta!
PSA.30.11	Mudasandula kulila kwangu kuchikhala kubvina,
PSA.30.11	mudatsudzula bzakubvala bzangu bzamasakha,
PSA.30.11	muchindibvadzika kukondwa.
PSA.30.12	Kuti ndemela ikuyimbileni ichikudumbizani, ileke kunyamala,
PSA.30.12	ninkutendani kufika lini nalini, imwe Chawuta Mulungu wangu.
PSA.31.1	Mwayimwe Chawuta, nimpotela!
PSA.31.1	Lekani kuchita kuti ndinyale.
PSA.31.1	Mukulungama kwanu, ndipulumuseni!
PSA.31.2	Teyani khutu lanu kamangu kwayine,
PSA.31.2	ndichizeni!
PSA.31.2	Khalani mwala wakupotela nanyumba yakuthawila kuti mundichize.
PSA.31.3	Pakuti ndimwe pakuthawila pangu, mwala napakubisala pangu,
PSA.31.3	nathangwe ladzina lanu, ndiwoneseni pomwe nditsogoleleni.
PSA.31.4	Mun'zandichosa muwukonde waadanditeya,
PSA.31.4	pakuti imwe ndimwe mbuto yangu yakupotela.
PSA.31.5	M'manja mwanu, niniyikha n'zimu wangu,
PSA.31.5	mudandilombola imwe Chawuta, Mulungu wakukhulupilika.
PSA.31.6	Nin'zonda, awo aniyikha nzelu kubzinthu bzapezi-pezi,
PSA.31.6	koma ine nin'themba na Chawuta.
PSA.31.7	Ninsekelela pomwe ninkondwa muntsisi zanu,
PSA.31.7	pakuti imwe mudawona kudzudzika kwangu,
PSA.31.7	mudadziwa kushupika kwan'zimu wangu.
PSA.31.8	Mulibe kundiyikha m'manja mwan'zondi wangu,
PSA.31.8	mudachita kuti minyendo yangu iyime pambuto yakutambalala.
PSA.31.9	Ndikomeleni ntima Chawuta,
PSA.31.9	pakuti ndili panyathwa,
PSA.31.9	diso langu lafoka, pomwe n'zimu wangu nathupi langu.
PSA.31.10	Pakuti umoyo wangu namagole yangu bzamala nakubuwula,
PSA.31.10	mphamvu zangu zamala nabzakuyipa bzangu,
PSA.31.10	mabondo yangu yafoka.
PSA.31.11	Ndakhala wakunyozeka kwene-kwene kwaazondi wangu, nakwawentse wanin'khala nawo,
PSA.31.11	pomwe wakugopsa wanthu anin'dziwa,
PSA.31.11	awo aniniwona munjila anin'thawa.
PSA.31.12	Ndayebwewa kuchita ninga munthu adachoka munzelu zawanthu,
PSA.31.12	ndakhala ninga n'tsuko wakuphwanyika.
PSA.31.13	Pakuti ndikubva azinji achindifudza kachete-chete,
PSA.31.13	mantha yandizungunuka.
PSA.31.13	Wentse pabodzi ampangana bzakundipha.
PSA.31.14	Koma ine nin'themba imwe, Chawuta,
PSA.31.14	ndiniti, “Ndimwe Mulungu wangu.”
PSA.31.15	M'manja mwanu, ndimo muna nthawe zanu,
PSA.31.15	ndipulumuseni kuchoka m'manja mwaazondi wangu,
PSA.31.15	pomwe naawo anin'thamangisa!
PSA.31.16	Nkhope yanu ngayiwinikile mulanda wanu,
PSA.31.16	ndichizeni nantsisi zanu.
PSA.31.17	Nin'zanyala lini, imwe Chawuta,
PSA.31.17	pakuti nin'chemela kwayimwe.
PSA.31.17	Wakuyipa ngaanyala,
PSA.31.17	anyamaliziwe mpaka kumbuto yawanthu wakufa.
PSA.31.18	Lekani milomo inilewa magunkha inyamaliziwe,
PSA.31.18	wentse anilewa bzakuyipa padzulu pawakulungama,
PSA.31.18	nakubzikuza nakuchepsa.
PSA.31.19	Nkuwanda tani kwakukoma kwanu,
PSA.31.19	kwamudachengetela awo ankugopani!
PSA.31.19	Pomwe kwamudachitila awo ampotela mwayimwe,
PSA.31.19	patsogolo pawanthu.
PSA.31.20	Mun'zaabisa pambuto yakubisalila patsogolo panu,
PSA.31.20	kuchoka paampangana wanthu mun'zaabisa,
PSA.31.20	muchakubzigwanila, kutali nawanthu wamalilimi yakuyipa.
PSA.31.21	Ngaadalisiwe Chawuta,
PSA.31.21	pakuti adachita kuti ntsisi zake zindidabwise,
PSA.31.21	pandikhadachitiwa ninga guta lakuzungunukiwa.
PSA.31.22	Koma ine, pakukulumiza kwangu, ndidati,
PSA.31.22	“Ndachosewa patsogolo panu.”
PSA.31.22	Koma imwe mudabva pemphelo lakuti mundikomele ntima,
PSA.31.22	pandidalilila kwayimwe.
PSA.31.23	Funani Chawuta imwe mwentse wakukhulupilika,
PSA.31.23	Chawuta an'chinjiliza wakukhulupilila,
PSA.31.23	anilanga kwene-kwene wentse am'bzikuza.
PSA.31.24	Limbani wonesani mphamvu zanu,
PSA.31.24	imwe mwentse mun'dikhila Chawuta.
PSA.32.1	Niwakudalisiwa munthu anilekelelewa kutaza kwake,
PSA.32.1	bzakuyipa bzake bzidagwaniliwa.
PSA.32.2	Niwakudalisiwa munthu ansaya kukumbukiliwa bzakuyipa bzake na Chawuta,
PSA.32.2	alibe chakuyipa muntima mwake.
PSA.32.3	Pakuti ndidakhala chete, mabondo yangu yafoka,
PSA.32.3	nakulila nanyathwa ntsiku yentse.
PSA.32.4	Pakuti Chawuta usiku namasikati, janja lanu lidandilemela,
PSA.32.4	mphamvu zangu zidamala,
PSA.32.4	ninga kumaliwa nakuphsa kwadzuwa. Selah.
PSA.32.5	Ndidawonesa bzakuyipa bzangu kwayimwe,
PSA.32.5	ndilibe kubisa kuyipa kwangu kwayimwe.
PSA.32.5	Ndidati, “Ndiniwulula kutaza kwangu kwentse kwayimwe Chawuta”,
PSA.32.5	imwe mudandilekelela bzakuyipa bzangu. Selah.
PSA.32.6	Nakutenepo lekani munthu wentse wakukhulupilila, apemphele kwayimwe,
PSA.32.6	kuti panthawe yanyathwa, madzi yagumbula yaleke kumufikila.
PSA.32.7	Imwe ndimwe mbuto yangu yakubisalila,
PSA.32.7	muninjinjiliza mukushupika kwangu;
PSA.32.7	imwe mudandizungunuka nachipulumuso. Selah.
PSA.32.8	“Nin'zakuwonesa ndichikufundisa njila yawun'zafamba nayo,
PSA.32.8	nin'zafundisa, diso langu lin'zawa payiwe.
PSA.32.9	Leka kuchita ninga hachi panango nyulusi, bzinsaya kubvesesesa,
PSA.32.9	bzin'chita kuyikhiwa chakumulomo kuti bzikhale pafupi,
PSA.32.9	bzikasaya kuchitiwa tenepo bzinkhala lini pafupi nayiwe.”
PSA.32.10	Kuna nthamu zizinji kwawanthu wakuyipa,
PSA.32.10	koma ntsisi zin'zungunuka an'themba na Chawuta.
PSA.32.11	Kondwani mwa Chawuta musekelele imwe mwentse wakulungama,
PSA.32.11	pomwe chemelelani nakukondwa imwe mwentse wantima wakukonkholoka.
PSA.33.1	Kuwani muchikondwa mwa Chawuta imwe wakulungama!
PSA.33.1	Kudumbiza kunkomela awo wakukonkholoka.
PSA.33.2	Tendani Chawuta nachipendani!
PSA.33.2	Mupembezeni nagitale lina mawaya khumi!
PSA.33.3	Imbani kwayiye nyimbo inyowani!
PSA.33.3	Lizani mwaluso gitale muchikuwa!
PSA.33.4	Pakuti fala la Chawuta nilakukonkholoka,
PSA.33.4	pomwe basa lake lentse lin'chitiwa mwachikhulupililo.
PSA.33.5	Anfuna chilungamo nakulinganiza,
PSA.33.5	ntsisi zake zin'dzadza dziko lentse.
PSA.33.6	Nafala la Chawuta, kudzulu kudalengewa,
PSA.33.6	pomwe nampuye wamulomo wake, bzentse bzakudzulu bzidalengewa.
PSA.33.7	Adakocheza madzi yamunyanja kuyachita mudwi,
PSA.33.7	adayikha maboo yamadzi m'magwangwa.
PSA.33.8	Dziko lentse ngaligope Chawuta,
PSA.33.8	lekani wanthu wentse wamudziko ayime amutetemele!
PSA.33.9	Pakuti adalewa-lewa, pomwe dziko lidakhalapo,
PSA.33.9	adalewa, ibzo nkuyima.
PSA.33.10	Chawuta ansayisa basa nzelu zawamadziko,
PSA.33.10	antazisa bzinkumbuka wanthu.
PSA.33.11	Nzelu za Chawuta zin'khala kufika kwalini nalini,
PSA.33.11	bzinkumbuka ntima wake bzin'khala kufika kumibadwe yentse.
PSA.33.12	Uli bwino nshowo uwo Mulungu wawo ni Chawuta,
PSA.33.12	wanthu waadasankhula kukhala nthaka yake!
PSA.33.13	Kuchoka kudzulu, Chawuta aninyangana pantsi,
PSA.33.13	aniwona wana wawanthu wentse.
PSA.33.14	Kuchoka pampando wake wakutonga aninyangana wanthu wentse an'khala padziko.
PSA.33.15	Ndiye ankonza mitima yawo wentse,
PSA.33.15	an'dziwa bzentse bzaan'chita.
PSA.33.16	Kulibe mambo an'chiziwa nakukula kwankhondo yake,
PSA.33.16	wankhondo ampulumusiwa lini nam'phamvu zake.
PSA.33.17	Hachi lankhondo nichikhulupililo chapezi pakukunda nkhondo,
PSA.33.17	pomwe mphamvu yalene lin'chiza lini.
PSA.33.18	Diso la Chawuta lili paawo animugopa,
PSA.33.18	paawo an'nyanganila muntsisi zake,
PSA.33.19	kuti apulumuse umoyo wawo kuyimpfa,
PSA.33.19	achiwalalamisa panthawe yanjala yamudziko.
PSA.33.20	N'zimu wathu uniyimila Chawuta,
PSA.33.20	ndiye thandizo lathu nanchinjilizo.
PSA.33.21	Yinde, ntima wathu unkondwa mwayiye,
PSA.33.21	pakuti tin'themba nadzina lake lakuyela.
PSA.33.22	Lekani ntsisi zanu imwe Chawuta, zikhale payise,
PSA.33.22	ne patinyanganila kwayimwe.
PSA.34.1	Nin'zadalisa Chawuta nthawe zentse,
PSA.34.1	kudumbiziwa kwake kun'zakhala pamulomo wangu nthawe zentse.
PSA.34.2	N'zimu wangu un'zasamwa mwa Chawuta,
PSA.34.2	lekani amphayi abve, akondwe!
PSA.34.3	Ngatikuzeni Chawuta pabodzi nayine,
PSA.34.3	bwelani tisumuse dzina lake pabodzi!
PSA.34.4	Ndidapsaga Chawuta, iye nkundidayila,
PSA.34.4	adandipulumusa kubzinthu bzentse bzinin'gopsa.
PSA.34.5	Nyanganani kwayiye muwonekele,
PSA.34.5	kuti nkhope zanu zileke kuchita manyazi,
PSA.34.6	Uyu munthu mphayi adachemelela pomwe Chawuta adabva,
PSA.34.6	achimuchiza mukushupika kwake kwentse.
PSA.34.7	Ngilozi ya Chawuta in'zungunuka awo animugopa,
PSA.34.7	ichiwapulumusa.
PSA.34.8	Layidzani muwone kuti Chawuta niwabwino!
PSA.34.8	Ali bwino munthu an'thawila kwayiye.
PSA.34.9	Gopani Chawuta, imwe wakuyela wake,
PSA.34.9	pakuti awo animugopa palibe chaansaya.
PSA.34.10	Wana wamphondolo ansaya, achibva njala,
PSA.34.10	koma wentse ampsaga Chawuta ansaya lini bzentse bzabwino.
PSA.34.11	Bwelani, imwe wana mutetekele kwayine,
PSA.34.11	ninkufundisani kugopa Chawuta.
PSA.34.12	Nimunthu mponi anfuna umoyo,
PSA.34.12	anfuna kukhala ntsiku zizinji kuti awone bzabwino?
PSA.34.13	Bweza lilimi lako mubzakuyipa,
PSA.34.13	namilomo yako kulewa chinyengo.
PSA.34.14	Choka pachakuyipa uchite bzabwino,
PSA.34.14	psaga n'delekho, uwuteyele.
PSA.34.15	Maso ya Chawuta yali pawakulungama,
PSA.34.15	makutu yake yanibva kulila kwawo.
PSA.34.16	Nkhope ya Chawuta idanyanganana naan'chita bzakuyipa,
PSA.34.16	kuti agwate nkhumbusila yawo padziko.
PSA.34.17	Wakulungama akalilila thandizo Chawuta anibva,
PSA.34.17	achiwapulumusa mukushupika kwawo kwentse.
PSA.34.18	Chawuta ali pafupi naawo wakusweka ntima
PSA.34.18	an'chiza wakutaya ntima.
PSA.34.19	N'zizinji nthamu zawanthu wakulungama,
PSA.34.19	koma Chawuta aniwachiza mubzentse.
PSA.34.20	An'chengeta mabondo yake yentse,
PSA.34.20	palibe ne libodzi lokha lintyolewa.
PSA.34.21	Chakuyipa chin'zapha wakuyipa,
PSA.34.21	pomwe wentse an'zonda wakulungama an'zapasiwa milandu.
PSA.34.22	Chawuta anilombola umoyo waalanda wake,
PSA.34.22	pomwe palibe ampotela kwayiye an'zapasiwa mulandu.
PSA.35.1	Shupanani, Chawuta naawo aninyanganana nayine,
PSA.35.1	menyanani naawo am'menyana nayine!
PSA.35.2	Takulani nchinjilizo nachakuvalilizisa chanu,
PSA.35.2	sumukani muzandithandize!
PSA.35.3	Takulani dipa namondo,
PSA.35.3	nyangananani naawo akunditeyela!
PSA.35.3	Lewani kun'zimu wangu kuti, “Ndine chipulumuso chako.”
PSA.35.4	Ngaanyazisiwe afumuliwe,
PSA.35.4	awo ampsaga umoyo wangu!
PSA.35.4	Ngaabwezewe azungayile,
PSA.35.4	awo ankumbuka bzakuyipa kwayine!
PSA.35.5	Ngaachitiwe ninga mungu kumphepo,
PSA.35.5	ngilozi ya Chawuta ichiwathamangisa!
PSA.35.6	Njila yawo ngayichite n'dima ichitelela,
PSA.35.6	ngilozi ya Chawuta ichiwateyela!
PSA.35.7	Pakuti adanditeya nakombe wawo, palibe namulandu wentse;
PSA.35.7	adachelela umoyo wangu dindi, palibe namulandu wentse.
PSA.35.8	Kuchenekeka ngakubwele kwayiwo mwakusaya kudziwa!
PSA.35.8	Lekani kombe waadateya awamange iwo,
PSA.35.8	lekani agwelemo mukuchenekeka.
PSA.35.9	Pamwepo n'zimu wangu un'zakondwa mwa Chawuta,
PSA.35.9	uchisekelela muchipulumuso chake.
PSA.35.10	Mabondo yangu yentse yan'zati, “Chawuta, mbani aninga imwe?
PSA.35.10	Imwe mumpulumusa alibe mphamvu,
PSA.35.10	kuchoka kwawuyo ana mphamvu kwene-kwene kuposa iye,
PSA.35.10	pomwe alibe mphamvu naansaya, kuchoka kwaanimupambila!”
PSA.35.11	Mboni zadima zinsumuka,
PSA.35.11	zinin'bvunza bzinthu bzaninsaya kudziwa.
PSA.35.12	Anim'bwezela bzakuyipa pabzabwino,
PSA.35.12	ntima wangu ukuwawa.
PSA.35.13	Koma ine, iwo paakhaduwala,
PSA.35.13	ndidabvala masakha,
PSA.35.13	ndidabzichepesa nakubzinyima chakudya.
PSA.35.13	Ndidapemphela ndidakotamisa nsolo pachifuwa,
PSA.35.14	kuchita ninga ndikulila shamwali yangu panango m'bale wangu.
PSA.35.14	Ndidafamba ninga munthu akulila amayi wake,
PSA.35.14	kwakukotama achilila.
PSA.35.15	Koma pakukhukhumudwa kwangu, adakochezana pabodzi achikondwa,
PSA.35.15	adakochezana pabodzi adanyanganana nayine,
PSA.35.15	wanthu wadima wandikhasaya kudziwa,
PSA.35.15	adapitiliza kundicheneka.
PSA.35.16	Adandinyomba achindinyomba,
PSA.35.16	achikukuta mano yawo kwayine.
PSA.35.17	Kufikila lini, imwe Mfumu, muchindonyangana?
PSA.35.17	Ndipulumuseni pakundimenya kwawo,
PSA.35.17	kuchoka kumphondolo.
PSA.35.18	Nin'zakutendani pakati pawanthu azinji,
PSA.35.18	nkati mwagunyenye lawanthu nin'zakudumbizani.
PSA.35.19	Lekani kulekelela azondi wangu anin'zonda palibe milandu achikondwa payine,
PSA.35.19	ngaaleke kutinya diso lawo, awo anin'zonda palibe milandu.
