MAT.1.1	Ísu Káráísitini akúníꞌo uráan-aai. Ísun-aíwáꞌná Téfítin-iye. Téfítin-aíwáꞌná Émbaramun-iye.
ACT.19.2	Póro tuwánéna tísai ena séna Ísun-aaisafeꞌa timankúnkúmbo uráan-kanaa éra Maníkóní Ufaen-ámútánkó kentirumpimbá kumbéraiyo súwasa miwí sésa ímbaniye. Maníkóní Ufaen-ámútánkón-aaisa ínta ísaraumne suwaná 
ACT.19.3	Póro séna nóran-aaiya wésesawa nombá maitínkaraao súwasa miwí sésa Yónimo simátímakain-aai simásimesasa nombá maisínkaraawe suwaná 
ACT.19.4	Póro séna Yóni séna sáwí-imayaa tínaaemba uwásuweꞌa Maníkómpáꞌá teró súwasa miyá uwaná nombá maitinkéna séna moóráwigo kesínaaembo tíndawin-aaisafeꞌa timankúnkúmba oro Yóni siyáiye. Miwántáféna Ísuwe siyáiye Póro súwasa 
ACT.19.5	miwí isésa Fasiꞌaénkó Ísuntafesa ísámai nombá máúwana 
ACT.19.6	Póro tineꞌá ayáámba taꞌótorowana Maníkóní Ufaen-ámútánkó miwífímbá óraaꞌa uwátinkowasa fíꞌo-fiꞌon-kwaasi-taaifinkemba sésa Maníkón-aai simátimesa 
ACT.19.7	sísamaifakemba kaeꞌá kumbaimái-waasi miyá uráawe.
ACT.19.8	Miyá uwaná Póro miwíséꞌa ména kaumbo-wíyónkáꞌá Yúndaa-waasiti ámáán-daumpaꞌa iyéna Maníkó wení waásimo kawáánin-aai óraaka simátímaꞌmaena iyúwasa 
ACT.19.9	tuwímbai tiruntéꞌa marésa minááísáfésa ímba éraiꞌe sésa seyaafáꞌ-wáásí túrankaꞌa Fasiꞌaénkóní aantafésa símai sáwíꞌa uwaná Póro tiyuwéna Ísuni aampaꞌó kun-kwáásí tíꞌmaena moóráwigon-awiꞌa Tíránasi túwaandu un-dámbó úmakopaꞌa mótínkarena aasiyaasi-kánáá Fasiꞌaénkón-aai simátímaꞌmae iyéna 
ACT.19.10	kaeꞌ-áátáí maisuwówasa Yúndaa-waasiye fíꞌonkaa-waasiye Ésiyaa-marafaꞌo méron-kwaasi seyaafáꞌá Fasiꞌaénkón-aai ísaraawe.
ACT.19.11	Fasiꞌaénkón-aai ísówana Maníkó Póromba fasiꞌaémbá amúwana ímbo awáron-kisau fíꞌon-kisau maúwasa 
ACT.19.12	tuwímbai-waasisomba ampantasámbá Póron-aneꞌá toꞌmaésa miwítí waásimo tíꞌo úwai tineꞌá mátoꞌmarowasa asófowasa miwítí waási tirumpimbó sáwí-amutambo mérowi miyá máuwatinkowasa sáwí-amutamba kóuwasa 
ACT.19.13	tuwímbai-Yundaa-waasi wénesa waási tirumpinkémbá sáwí-amutamba maitíyuꞌmae wénesa sáwí-amutantafeta óraaka séta Ísun-awikaꞌo Póro sin-áwíkáꞌá kórosa súne suwaná 
ACT.19.14	moóráwigon-awiꞌa Sífa Yúndaa-amaan-kawaa-waasigon-áánintomba afakaeté mésa miyán-kísáú wémauwana 
ACT.19.15	sáwí-amutanko simátimena séna kemá Ísune Pórone wétuwanaumpo kemá nááwiyaꞌo súwana 
ACT.19.16	sáwí-amutanko arumpimbó méron-kwaasigo tínkamuwana naaemá kumúwana unáánkwátói tarátiyuwena mináfákáété-waasi íyáákena famétuwowasa unáánkwátói-iyaimba máápaꞌa kúmúwasa 
ACT.19.17	Yúndaa-waasiye fíꞌonkaa-waasiye seyaafáꞌá Éfésási-naopaken-kwaasi minááí isésa táátafesa ésa Fasiꞌaénkó
ACT.19.17	Ísun-awiꞌa mósá makáawe.
ACT.19.18	Sáwífaꞌ-waasi méronkaꞌa Ísun-aaisafesa timankúnkúmbo uwáí tésa waási túrankaꞌa paápé ésa sésa sáwíꞌa uráumne sésa 
ACT.19.19	miwífínkémbá titambá ésa fintómó non-kwáásí miwítí aúfáí-wandaai tamaiyésa titambá ésa fintómó non-ááí wérontafesa tamaimái iyafímbá agaisuwésa mináúfáí-wándááímó méyánuraamba sáwífaꞌ-waasi tíyayaamba faikámai minóntámbá 50,000 kina tuwésa 
ACT.19.20	miyá óraa-fasiꞌaembo umbá pósa Fasiꞌaénkón-aai simátímaꞌmaesa kuwaná wété éna íyáákaraiye.
ACT.19.21	Miyá uwaná Póro séna Máséndóniyaa-marafaꞌe Ákáyaa-marafaꞌe wéneꞌa Fasiꞌaénkón-aai simátímaꞌmae nónaeꞌe séna minkákémbá Yérúsaremufaꞌa kuréꞌa Rómu-naopaꞌa kónaumne séna 
ACT.19.22	Tímótinte Érásítasinte áwaꞌnai íyan-kwaasiyai tiꞌmarówasarai Máséndóniyaa-marafaꞌa kuyaná Ésiyaa-marafaꞌa weyáá méraiye.
ACT.19.23	Mérowasa minkánáá Éfésási-naopaken-kwaasi Fasiꞌaénkóní aampaꞌó kuwáísáfésa tirumbá sáwíꞌa uwátinkesa mindáópakemba óraakaꞌ-oraakaꞌa suwaná 
ACT.19.24	moóráwigon-awiꞌa Témítiriyasi minkwáásígó óntantamba úmakena miwítí karoꞌ-máníkóní káriꞌ-amaan-dane séna minkáróꞌ-mání-ínínkón-áwíꞌa Átémísiye sésa wení kísau-waasisomba úmakowasa sáwífaꞌ-waasi óntamba mátimesa minkáróꞌ-máníkóní naambá méyánuwana 
ACT.19.25	Témítiriyasi mimbórá-kísáú wémaun-kwaasi táántowasa tatúwaandu uwaná simátimena séna kesáá óraaꞌ-ontamba minkísáúrákéntá wémaumne. 
ACT.19.26	Énifo Póro séna waásimo úmáráámba karoꞌ-máníꞌá wéumaraawemo sin-ááí Ésiyaa-marafaꞌa Éfésási-naopaken-kwaasiye fíꞌo-fiꞌon-daopaken-kwaasiye isésa éraiꞌe wésewe. Kemá Póron-aai éꞌa ísaraawe. 
ACT.19.27	Póron-aaigo kentáásí kísaumo sáwíꞌo índasafena wéiye. Ímba miyá aantembanifo Ésiyaa-marafaken-kwaasiye seyaafáꞌ-máráfákén-kwáásíyé kentáásí maníꞌ-ínínkón-áwíꞌa Átémísi mósá wémaraamba Póron-aaigo Átémísini ámáán-damba sáwísankaamba símai uwásukaimba póna wenáwíko kumíníye siyáiye.
ACT.19.28	Súwasa minááí isésa tirunkó sáwíꞌa úwasa aaisambá sésa óraakaꞌ-oraakaꞌa sésa Éfésási-naopaken-kwaasi kentáásí Átémísin-awiꞌa óraaꞌa
ACT.19.28	wéiye sésa 
ACT.19.29	aaemái suwasá mindáópaꞌa tésa óraakaꞌ-oraakaꞌa sésa Póroeꞌo núyan-kwaasi Máséndóniyaafaken-kwaasiyai moóráwigon-awiꞌa Káyási úwana moóráwigon-awiꞌa Árísítakasi mindárai tafisímaesa túwaandu urópaꞌa mátínkówana 
ACT.19.30	Póro seyaafáꞌ-wáásímó túwaandu íyapaꞌa iyónae súwasa Ísuni aampaꞌó kuwáí ímba waaó sésa taꞌótórówasa 
ACT.19.31	mimbáráfákén-órááꞌ-wáásí tuwímbai Póroni waási pósa aaí tuwésa sáwífaꞌ-waasimo túwaandu íyapaꞌa ímba iyuwó Pórontafesa siyáawe.
ACT.19.32	Suwasá túwaandu un-kwáásísómbá miwítí imáyáa aupiri ésa fíꞌo-fiꞌon-aai sésa tuwímbai sésa nóran-aaisafetaawa tatúwaandu uráumno-imayaa uwasá 
ACT.19.33	Yúndaa-waasi miwífínkémbá moóráwigon-awiꞌa Árékísandaamba túrankaꞌa máánkówasa tuwímbai óraaka sésa emá aaí siyó suwaná miwí táái taraisónae séna ayáámba mósá tuwówasa 
ACT.19.34	awánomba Yúndaa-waasi úntafesa mimbórá-ááí ayáátáákaꞌa tafisímai óraaka sésa Éfésási-
ACT.19.34	naopaken-kwaasi kentáásí Átémísin-awiꞌa óraaꞌa wéiye siyáawe.
ACT.19.35	Óraaka suwaná mindáópaken-oraaꞌ-waasigo aúfáímo agaúwai tuwááwí éna séna Éfésási-waasisono. Seyaafáꞌnánkátá awánáúnda Átémísini ámáán-damba kawáánéta fíꞌonkaꞌmaꞌmai-ontambo wíyómpakemba marapáꞌó kunkáin-ontamba kawáánúne. 
ACT.19.36	Minááí ímba kanaaꞌá taraisónááfo seyaafá aseréꞌa ímba sáwíꞌan-oro. 
ACT.19.37	Mindárai ámáán-daumpakemba ímba umémbá ésarai kentáásí maníꞌ-íníntáfésarai ímba símai sáwíꞌa urááyaꞌa úwoi tíꞌmaeꞌa maankáꞌá tiyáawe. 
ACT.19.38	Témítiriyasiye wení kísau-waasiye aaí simátinkanae sésamo ésa aaimó simátinkai-kanaa úwoi wéraiye. Óraaꞌ-waasi méraamba pósa aaí símai kaweꞌá uwátinkanaawe. 
ACT.19.39	Énifo kembiwímó fíꞌon-aaimo wérainaꞌo éꞌa seyaafáꞌ-wáásímó túwaandu ompímbá símai kaweꞌá uwásuwanaawe. 
ACT.19.40	Kesáámó aaifintáámó méraandasa káféꞌo tíyáananasaamo Rómu-kamani-waasi tésamo tasísai ésasaamo nóin-aaiyakena tiyááomo síyata kesáámó senda-ááísá ímba wéraiye. 
ACT.19.41	Aúfáímo agaún-kwaasigo simátimena túwaandu urón-kwaasi tiꞌmátuwowasa kóuraawe.
ACT.20.1	Miwí táái taiꞌówana Póro Ísuni aampaꞌó kun-kwáásí táántowasa tuwaná miwítí imáyáa símai kaweꞌá uwátinkena séna Ísun-aai aantemba maimái tirumpimbá máráaro séna énifo méwaro séna tiyuwéna Máséndóniyaa-marafaꞌa wémena 
ACT.20.2	mifáꞌá naaóꞌ-naoꞌa wénena Ísuni aampaꞌó kun-kwáásísáféna áfááraumai simátímaꞌmaena núwasa tirunkó kaweꞌá úwana tiyuwéna Kíríki-marafaꞌa wémena 
ACT.20.3	koména kaumbo-wíyómbá maisuwéna nompín-táómpimba Síriyaa-marafaꞌa kónae séna úwasa Yúndaa-waasi wembó tufuwónae sumbá iséna ifátuwena Máséndóniyaa-marafaꞌa marapáꞌá kónaumne súwasa 
ACT.20.4	maaráumai-waasi moóráwigo Périya-naopakewi Pírasin-ááninkon-awiꞌa Sópata úwana Tésáróníkaa-naopakendarai túwíꞌa Árísítakasiye Sékandasiye uyaná Tépi-naopakewin-awiꞌa Káyási úwana Ésiyaa-marafakendarai túwíꞌa Tíkíkaasiye Tárófímasiye uyaná Tímóti úwasa úmai Póroeꞌa wésa 
ACT.20.5	aifaꞌá Tóróasi-naopaꞌa komésa kentáásimuꞌa makówata 
ACT.20.6	Yúndaa-waasimo ímbo intóráín-tantaaꞌwara-peretimo agáún-kanaamo taiꞌónkaꞌa Fírípái-naopakemba nompín-táómba taꞌótoreta íyáteta wémeta séfataase-noꞌwaamba mindómpín-táómpimba kówaeta Tóróasi-naopaꞌa marapá kúwateta aifaꞌó komésamo kentáásimuꞌo makón-kwaasiseta kométa
ACT.20.6	moórá-sondaasa maiyáumne.
ACT.20.7	Sondaaráꞌá Ísuntafeta ísámai tómbá néta aráá-tombo naandasáféta túwaandu uráawananasa Póro aafáyáa kónae séna simátímaꞌmaena nóꞌwaan-afufuntambo iyúmba 
ACT.20.8	afófumayaatanaan-daumpaꞌa méta sáwífaꞌ-omba kúraꞌmaketa méraawananasa 
ACT.20.9	moórá-ifokon-awiꞌa Yútíkási naan-afaapimbá imérowana Póro Ísun-aai simátímaꞌmae wéiyuwana Yútíkásimba aúgáfaaꞌa úwana aún-kwéna meminkákémbá tanaa féna marapáꞌá kuntufamúwasa kunkésa awánomba puwúwasa uwaná 
ACT.20.10	Póro kuména kunkífaena tapéna awánéna séna ímba imáyáan-oro. Pukéna aúnaraiye simátimena 
ACT.20.11	mindáúmpáꞌá iyéna Ísuntafena ísámai tómbá tafámbai timúwasa nowaná Póro simátímaꞌmae wéiyuwana siyarówana tiyuwéna kúwasa 
ACT.20.12	puwúwanamo íyáfasinankon-kwaasigomba áíꞌmaesa wení naaúmpaꞌa máankesa tirunkó kaweꞌá uráiye.
ACT.20.13	Úwana Póro simásimenasa séna kembiwí nompín-táómpimba Ásosi-naopaꞌa wéwiyaꞌa kemá marapáꞌá wémeꞌa Ásosi-naopakemba nompín-táómba taꞌótoreꞌa íyáteꞌa konó súwata aifaꞌá kunkéta nompín-táómba taꞌótoreta íyáteta wémeta Ásosi-naopaꞌa kówánanasa 
ACT.20.14	Póro marapáꞌá wémena Ásosi-naopaꞌa kuréna nompín-táómba taꞌótorowata kóaiꞌmaeta wémeta Mítíríni-naopaꞌa kówaeta 
ACT.20.15	siyarówata wémeta Káyosi-marafaꞌa kóyáákaawananasa fenówata kówaeta aafáyáarata wémeta Sémósi-marafaꞌa kóyáákaawananasa fenówata kówaeta aafáyáaraꞌa wémeta Máíritasi-naopaꞌa kówánanasa 
ACT.20.16	tómbá fákáꞌmai Maníkóntáfésa ísámai kaundánae sésamo túwaandu un-kánáá ampáánkáꞌá tíne úwana Póro séna minúwóíyáámbá Yérúsaremu-naopaꞌa kuréꞌa mintánómbá komandánae séna nompín-táómpimba Éfésási-naopaꞌa kóyáákanaumpo Ésiyaa-marafaꞌa ímba ayáátáákaꞌa ménaumne súwata Máíritasi-naopata kuráumne.
ACT.20.17	Máíritasi-naopata kówánanasa Póro moóráwigomba aiꞌmarówana Éfésási-naopaꞌa wémena Fasiꞌaénkóní waásiti óraaꞌ-waasi kosimátimena séna Póro wétaantaifo teró siyáiye súwasa 
ACT.20.18	tuwaná simátimena séna kesáái ísáaro. Kesí aifa-kánáá Ésiyaa-marafaꞌa keséꞌa koméꞌa kemó ówánda suwánaraawe. 
ACT.20.19	Yúndaa-waasi sínkamiyanesa suwaná sirunkó umbaí tówaꞌa ímba imáyáa éꞌa Fasiꞌaénkóní kísau-waasigo úne séꞌa wenaísamaifimba méꞌa wení kísau maiyáumne. 
ACT.20.20	Ímba aúpáꞌá tuwéꞌa seyaafáꞌ-ááí úwoi simátimeꞌa kembó túwaꞌnai í-ááí túwaandu umpíné kentí naaúmpaꞌe simátímaꞌmaeꞌo iyáunda éꞌa ísaraawe. 
ACT.20.21	Yúndaa-waasiye fíꞌonkaa-waasiye áfááraumai simátime séꞌa sáwí-imayaa tuwéꞌa Maníkómpáꞌá téꞌa Fasiꞌaénkó Ísun-aaisafeꞌa timankúnkúmba oro simátímaꞌmaeꞌa iyáumne. 
ACT.20.22	Énifo Maníkóní Ufaen-ámútánkó Yérúsaremufaꞌa waaó simásímakaimba póꞌa miyá ónaumne. Kesineꞌó paápé índasafeꞌa ímbo isáúnda úwoi kúne. 
ACT.20.23	Seyaafáꞌ-náópaꞌo kúnda Maníkóní Ufaen-ámútánkó óraaka simásimena séna umbai-tántááꞌá uwánkesa ándáfaꞌa máankanaawemo simásímímba mindá aantemba ísaraumne. 
ACT.20.24	Sínkamiyaꞌo púwóndaraꞌa ímba káráwiyaumpo Fasiꞌaénkó Ísumo símakain-kisau maimái taíꞌásuwanaumne. Maníkó úwoi súwaꞌnai
ACT.20.24	in-ááí ásé-aai simátímaꞌmaeꞌo iyúnda-kisau maimái taíꞌásuwanaumne.
ACT.20.25	Minkísáúmó maiyáunda kembiwífímbá wéneꞌa Maníkó wení waásimo kawáánin-aai simátímakaumpo ánaaembo éꞌa kembó ímbo suwánáíyamba ken-ísaraumne. 
ACT.20.26+ACT.20.27	Ímbo inkaisówánda Maníkón-aai seyaafáꞌ-ááí simátímakaunda pósa kembíwífínkémbó tuwímbaimo kesááimo ímbo isésamo Maníkómpáꞌó ímbo tésamo ombá ímba kesí áwáugon-ifo kentí áwáugo ínaꞌa miyá íyantafeꞌa minááí káféꞌa óraaka simátimune. 
ACT.20.28	Maníkó ááninkomba aiꞌmarówana kuména kumpuwéna wení naaesámbó méyánuwasukaimba Fasiꞌaénkóní waásin-ofo káráwiyoro. Maníkóní Ufaen-ámútánkó kembá íyáfasintinkaraifo kentúwawaaꞌwara Fasiꞌaénkóní waásiyaꞌwaraꞌa kaweꞌ-úmai káráwiyoro. Sipisípiyaꞌo káráwiyonten-úmai káráwiyoro. 
ACT.20.29	Áwáífiyaamo índa-iyamba téna sipisípi tafámaimo wáráíntemba kemá kónasa waási tésa tasáwíꞌa ónááwe. 
ACT.20.30	Moórá-kanaa tínasa kembiwífínkémbá tuwímbai íyáfasinesa Ísuni aampaꞌó kon-kwáásítí imáyáa tafisénae sésa karoꞌ-ááí síyasa tuwímbai éraiꞌe sésa arááíwaenaawe. 
ACT.20.31	Mindásafeꞌa káráwimai kaweꞌán-oro. Kaumbo-áátáí keséꞌa méreꞌa moórá-mora sirumbá uwátinkeꞌa aafáyáaraꞌe fenómpinkaꞌe nóꞌwaane aasiyaasí simátínkáfaꞌa iyáumne. Minááísáféꞌa imáyáa
ACT.20.31	úmai kaweꞌán-oro.
ACT.20.32	Kaweꞌá íyana Maníkó káráwitinkamae iyínaꞌa méraaro. Wenááigo fasiꞌátinkainiye. Wení waásimo kaweꞌó uwátínkáíntemba kembiwíwáráꞌá kaweꞌá uwátinkainiye. 
ACT.20.33	Óntantafeꞌe unáánkwátóisafeꞌe
ACT.20.33	fíꞌowiti moparáwíntáféꞌe ímba súraniyamba úne. 
ACT.20.34	Kísau wémaeꞌa minóntántámbá ímbo makáunda-tantaaꞌa méwémaeꞌa kembó súwaꞌnai on-kwáásítí tóné unáánkwátóiye maitiméꞌa úne. Miyámó ówánda éꞌa suwánaraawe. 
ACT.20.35	Fasiꞌaén-kísáúmó maéwánda suwánaraafo miyá éꞌa aamoisaén-kwáásí túwaꞌnai ónááwe. Fasiꞌaénkó Ísumo siyáin-aai imáyáan-oro. Wemá séna wémaewi tirunkó kaweꞌá imbánifo tímatuwaawi tirunkó kawetéꞌa wéiye Ísu
ACT.20.35	siyáin-aai Póro siyáiye.
ACT.20.36	Póro simásuwena kífaena minórááꞌ-wáásíyé Fasiꞌaénkómpáꞌá inaí simásuwowasa 
ACT.20.37	seyaafáꞌ-wáásí áfááran-ifiꞌa tésa Póromba tataparésa aaweyáá uwánkesa uwaná 
ACT.20.38	Póro séna ánaaembo éꞌa ímba suwánánááwe sún-aaisafena tirunkó umbaí tówasa nompín-táómpimba múaukaawe.
ACT.21.1	Múauwowata minkwáásísáféta méwaro séta tiyuwéta nompín-táómpimba íyáteta arupíse úmaisa wémeta Kósi-naopaꞌa kóyááketa wémeta kówaeta aafáyáaraꞌa Rósi-naopaꞌa kóyááketa wémeta Pátaraa-naopaꞌa kuréta marapáꞌá kuméta 
ACT.21.2	awánááwándasa Fínísiyaa-marafaꞌo wínda-nompin-taomba wérowata mimpímbá íyáteta wémeta 
ACT.21.3	Sáíparasi-marama siyáánaepaꞌa wérowata kóyááketa wémeta Síriyaa-marafaꞌo kówándasa Táyaa-naopaꞌa moparáwímbá mówétuwowata marapáꞌá kumówánasasa 
ACT.21.4	Ísuni aampaꞌó kuwáí mérowata tuwánéta moórá-sondaa miwíséꞌa méraawanasasa sésa Maníkóní ámútanko simátímakain-aai Póromba simámesa sésa tufúwófo Yérúsaremufaꞌa ímba waaó simámaꞌmae íyúwata 
ACT.21.5	miwíséꞌo méraawanda-kanaa taiꞌówata mindáópaꞌa tuwéta kówánasasa minkwáásísómbá miwítí aare-iyámpóíseꞌa síꞌmaesasa naaópaꞌa tuwésa uwí-nómpáꞌá kúmúwata kífaeta Maníkómpáꞌá inaí simásuweta ówánasasa 
ACT.21.6	kentáásáfésa énifo koró suwatá miwísáféta énifo méwataao simásuweta nompín-táómpimba íyátaawanasasa miwí kunuwerésa miwítí
ACT.21.6	naaópaꞌa iyáawe.
ACT.21.7	Miwítí naaópaꞌa íyúwata nompín-táómpimba Táyaa-naopata tuwéta Tórémesi-naopata marapáꞌó kondasáféta Ísun-aaimo ísówi tuwánéta siyáánta timéta moórá-noꞌwaamba miwíséꞌa waéta 
ACT.21.8	íyáfasineta marapáꞌá wémeta Sísááríyaa-naopaꞌo kówándasa ááéma aantá-waasi afakaeté-waasi Ísuni kísaumo tímakowifinkemba moóráwigon-awiꞌa Fírípini naaúmpata iméraawananasa wemá Ísun-aaimo simátimuwai mérowasa 
ACT.21.9	éíyain-ayaamumba mésa ímba waaí maiyésa úwoi mésa Maníkón-aai wésimatimesa tifowáeꞌa mérowata 
ACT.21.10	tuwímbai-noꞌwaamba mindáúmpátá waéwánanasa moóráwigo Maníkón-aaimo simátimuwain-awiꞌa Ákápáasi Yúndiyaa-marafakemba 
ACT.21.11	kuména Póroni áꞌwáánkau kumbaiyéna wení aíyayaankaꞌa káráꞌumai aiyowáíꞌa úmai aráánamena séna Maníkóní Ufaen-ámútánkó séna maanáꞌwáánkáúgóní afowámó Yérúsaremufaꞌo iyínasamo ésa Yúndaa-waasi taꞌótoꞌmai miyáumai káráꞌuwankesa áíꞌmaesa fíꞌonkaa-waasi mátimenaawe Maníkóní Ufaen-ámútánkó siyáiye Ákápáasi kusúwata 
ACT.21.12	iséta kesétaamo méron-kwaasiseꞌa Pórontafeta séta Yérúsaremufaꞌa ímba iyuwó óraaka séwánanasa 
ACT.21.13	Póro séna nóintafera ifiꞌá téra kaeꞌ-ímáyáá uwásínkááwanawa kesirunkó umbaí wétaiyo. Yérúsaremufaꞌo íyónasamo kembó taꞌótoraiyamba ímba sááꞌa wéiye. Fasiꞌaénkó Ísun-aai simátimudasafesamo sínkamonaesamo ésa úwoi sínkamonaawe Póro súwata 
ACT.21.14	wenááisa ímba kanaasá taraisónaumne séta ifátuweta séta Fasiꞌaénkóní imáyáaraꞌa miyá ónááwe siyáumne.
ACT.21.15	Miyá simásuweta tuwímbai-noꞌwaamba miwíséta waéta kentáásí moparáwímbá toꞌmayaa úmaeta mindáópaꞌa tuwéta Yérúsaremufaꞌa iyówánasasa 
ACT.21.16	Sísááríyaafaken-kwaasi Ísuni aampaꞌó kuwáí tuwímbai keséta Yérúsaremufaꞌa iyésa moóráwigon-awiꞌa Nésonini naaúmpata mósinkowana minkwáásígó Sáíparasi-marafaken-kwaasigo ayáátáákaꞌa Ísuni aampaꞌó kúwai séna kesí naaúmpaꞌa méranaawe súwasa wení naaúmpata mósinkaraawe.
ACT.21.17	Mósinkesasa kentí naaópaꞌa kúmúwata Yérúsaremufaꞌa méraawanasasa Ísun-aaimo ísówi aamoí umpínkémbá siyówata 
ACT.21.18	iwaéwándasa aafáyáaraꞌa Fasiꞌaénkóní waásiti óraaꞌ-waasi Yémísi túwaandu uwátinkowasa méropata Póro síꞌmae kúwata koméraawananasa 
ACT.21.19	Póro ayáámba tímaꞌmai aaweyáá éna séna Maníkó ámakain-kisaumo fíꞌonkaa-waasifimbo maiyáin-aai seyaafáꞌ-ááí simátimuwasa 
ACT.21.20	isésa Maníkón-áwíꞌa mósá marésa Fasiꞌaénkóntáfésa sésa kesí waásiyo. Sáwífaꞌ-waasi Yúndaa-waasi Ísun-aaisafesa timankúnkúmba ésa Móseseni ámáámba ímba tuwésa fasiꞌámai isésamo méraamba éꞌa ísaraane. 
ACT.21.21	Tuwímbai miwísáfésa sésa Póro fíꞌonkaa-waasiti naaóꞌ-naoꞌa wénena Yúndaa-waasi mindáópakaꞌo méraan-kwaasi simátimena séna Móseseni ámáámba ifátuweꞌa kentí iyámpói túma ímba kárámai araénáémba uwátinkeꞌa Yúndaa-waasiti aambá ímba arááíwáéro Póro wésiye sewasá isésa 
ACT.21.22	emó tiyáanda-aai isésa aaisambá wésefo 
ACT.21.23	simáméndantenta uwo. Maankáꞌá éíyain-kwaasi mésa Maníkómpáꞌá éraiꞌ-aai símakaamba po 
ACT.21.24	ewáráꞌá miyán-uwo. Yúndaa-waasiti ámáámba ísámai kaweꞌó í-tántááꞌá e minéíyáín-kwáásítí póíꞌo méyánuwatiyuwe ámáán-kawaa-waasi timé miwíséꞌa aꞌnóntáu kárásuwenasa awánésa Yúndaa-waasi Ísun-aaisafesa timankúnkúmbo owí sésa emá Móseseni ámáámba isé méraanasa entáfésa karoꞌ-ááí simánkaraawe seró. 
ACT.21.25	Énifo fíꞌonkaa-waasi Ísun-aaisafesa timankúnkúmbo uráawisafeta ááéma moórá-aai séta agaimaréta séta karoꞌ-máníkóntáfésa imáyáa ésa póíꞌo uwándaamba mimpóí ímba naaró. Naaemá ímba naaró. Póímo tufúꞌnewana wení naaemá ímbo kumínda úwoimo wérainaꞌa mimpóí ímba naaró. Aare-úméné waai-úméné ímba oró. Ááéma minááí agaimaréta tukáumne suwaná Póro iséna 
ACT.21.26	aafáyáaraꞌa minkwáásí tíꞌmaena Yúndaa-waasiti ámáámba ísámai kaweꞌó í-tántááꞌá uwásuwena Póro óraaꞌ-amaan-daumpaꞌa iyéna ámáán-kawaa-waasisafena séna afakaeté-noꞌwaamba maisuwéta Yúndaa-waasiti ámáámba ísámai kaweꞌó í-tántááꞌá úmai taíꞌásuweta moórá-mora-waasi póíꞌa úmaeta Maníkómpáꞌá máamenaumne simátímakaiye.
ACT.21.27	Simátimena mérowana mináfákáété-noꞌwaamba taiꞌówana Póro óraaꞌ-amaan-daumpaꞌo iméromba tuwímbai Yúndaa-waasi Ésiyaa-marafakewi iawánésa Pórontafesa sáwí-aai simánkesa tufuwíyan-imayaa ésa taꞌótokesa óraaka sésa 
ACT.21.28	Ísareri-waasi súwaꞌnai oro. Maankwáásígó naaóꞌ-naoꞌa wénena Ísareri-waasisafena sáwí-aai simátinkena Móseseni ámáámba símai sáwíꞌa uwánkena maanórááꞌ-ámáán-dámbá símai sáwíꞌa wéiye. Káféꞌa fíꞌonkaa-waasi tíꞌmaena maanórááꞌ-ámáán-dáúmpáꞌá Yúndaa-waasi aantembo íyón-daumpaꞌa mótinkaisana póna maankáwéꞌ-námbá sáwíꞌa wéiye sumbá 
ACT.21.29	Éfésási-naopaken-kwaasigon-awiꞌa Tárófímasi Póroeꞌa Yérúsaremufaꞌa núwasa awánonkaꞌa pósa imáyáa ésa Póro áíꞌmaena óraaꞌ-amaan-daumpaꞌa móankaraiye-imayaa karoꞌ-ímáyáá ésa mindásafesa minááí siyáawe.
ACT.21.30	Minááí óraaka simátimuwasa mindáópaken-kwaasi mimbóráfímbá tawiyésa Póromba tataꞌótoꞌmai ámáán-daumpakemba tafisímaesa mááꞌarifaꞌa múra auwésa ámáán-dankoni ontá wimarésa 
ACT.21.31	sáwífaꞌ-waasi Póromba tufúꞌnaafuꞌ-uwaná moóráwigo Rómu-i-waasiti óraakomba isimámena séna Yérúsaremufaꞌa seyaafáꞌ-wáásí wétiyaawe súwana 
ACT.21.32	minúwóíyáán-úmai i-wáásíyé miwítí kawáá-wáásíyé tíꞌmaena awaantanténa kuména waási túwaandu urómpimba tafákáraaꞌa úmaena kumúwasa i-wáásíyé miwítí óraakone tuwánésa tufuwémómba úwoi mérowana 
ACT.21.33	óraako Póromba tataꞌótorena i-wáásísáféna séna kaeꞌ-ándásámbá káráꞌoro simásuwena tísai ena séna maankwáásí nááwaꞌiyo. We nóra uráiyo súwasa 
ACT.21.34	tuwímbai fíꞌo-fiꞌon-aaisafesa suwasá tuwímbai miyá suwasá uwaná óraako minááígóní áwáu ímba iséna
ACT.21.34	i-wáásísáféna séna miwámbá áíꞌmaeꞌa i-wáásítí naaúmpaꞌa íyóro súwasa 
ACT.21.35	áíꞌmaesa ontafín-káráákáꞌó íyúmba tufuwónaesa untáfésa i-wáásí tiyáánkaꞌa farámbaesa íyúwasa 
ACT.21.36	tínaaemba tirááíwaꞌmae iyésa tufuwíyana puwíno símaesa óraakaꞌa iyáawe.
ACT.21.37	I-wáásí Póromba áíꞌmaesa miwítí naaúmpaꞌa iyónae suwaná Póro miwítí óraakomba simámena séna moórá-aai simámenae súwana óraako séna Kíríki-waasi-taaifinkemba wésempo 
ACT.21.38	emá ímba Ísípi-marafaken-kwaasi óne. Minkwáásígó Rómu-kamani-waasisafena aaisambá tiyéna sáwífaꞌ-waasi 4,000 waasi símai tíꞌmaena tiyáí-tántááꞌá maimaésa máásai-marafaꞌo kuráamba ímba wemá óne súwana 
