GEN.1.1	Do nakapamarswaw ni Āpo Dyos so hanyit kan lobong,
JHN.18.15	Do dawri, minonot si Simon Pedro di Jesos kontodo do asa paw a nanawhen ni Jesos.
JHN.18.16	Ki si Pedro, nabidin do gagan do masngenaw do rowanganaw. Dawa, iyaw nanawhenaw a chapapatak no katotohosanaw a padi, naybidi do rowanganaw, as nakapachisarita na do mabakesaw a magbantay do rowanganaw. Do dawri, inisdep nas Pedro.
JHN.18.17	Ki iyaw mabakesaw do rowanganaw, binata na di Pedro, “Imo abawriw asaw dyirad nanawhen naw no nawri a tawo?”
JHN.18.17	“Enggaw, yaken abaw!” initbay ni Pedro.
JHN.18.18	Do dawri, ki marokmeh. Siraw adipenaw kan siraw magbanbantayaw, napanginmaya sas apoy, as nakapanangdang da. Dawa, aran si Pedro, nachangay dyira a nachipanangdang.
JHN.18.19	Ki do dawri, nanahahes nagritirwaw a katotohosan a padi di Jesos maynamot dyirad nanawhen naw kan siraw innanawo naw.
JHN.18.20	Tominbay si Jesos dya a kāna, “Pirmi ako nangnanawo do salapen da no aro a tawotawo. Tabo nakapangnanawo ko, ki naparin do sinagoga saw mana do Timplo a paychichipehan dan Jodyo. Aba polos intayo ko a chinirichirin. 
JHN.18.21	Āngo panahahes mo dyaken? Iyahes mo pakono dyirad tawotawo saya a nakadngey dyaken, ta masigorādo a chapatak da sa tabo innanawo kwaw.”
JHN.18.22	Do nakabataw ni Jesos so nyaya, myan asa dyirad magbanbantayaw a masngen dya, ki pinitpit na, as nakabata na sya a kāna, “Aysa! Komwanoriw katbatbay mod katotohosan a padi ah?”
JHN.18.23	Ki tominbay si Jesos dya a kāna, “An naychirin akos madi, ipaneknek mo an āngo gatos ko. Ki an oyod inbahey kwaya, āngo sipatan mo dyaken?”
JHN.18.24	Sinpangan na, inpayangay ni Anas di Kaypas a katotohosan a padi, kan nāw na sibabahod.
JHN.18.25	Ki ditā pan Pedro a naytēnek a nanangdang do yananaw no apoy, kan inyahes darana dya no kadwan saw a kon da, “Imo abawriw asa paw dyirad nanawhen naw?”
JHN.18.25	Ki naglibak danas Pedro a kāna, “Enggaw! Yaken paro?”
JHN.18.26	Ki myan daw asa dyirad tobotoboyen naw no katotohosanaw a padi a kabagyan no riningodanaw ni Pedro. Ki inyahes na, “Imo abawriw naboya kwaw a asa dyirad rarayay naw do kaolibwan?”
JHN.18.27	Ki minirwa inlibak ni Pedro, kan nanyeng a minonyiw sabonganaw a manok.
JHN.18.28	Do kapaysesedang naranaw, do nakatayoka danaw no nakaosisa da si Jesos do yanan Kaypas, ki inyangay dan totorayen saw no Jodyo si Jesos do palasyowaw no gobirnador a taga Roma. Ki siraw totorayen saw no Jodyo, ki somindep saba do palasyowaw no gobirnador tan dyi sa maibidang a malapos. Ta sigon do linteg da, ki maparin saba a machakan do Pista no Nakahabasaw no Anghilaw an somdep sa do bahay no Dya-Jodyo.
JHN.18.29	Dawa, si Pilato a gobirnador do dawri, minohbot, as nakaiyahes na sya dyira a kāna, “Āngo pangidaroman nyos nyaya tawo?”
JHN.18.30	Initbay da dya a kon da, “Samna! Inyangay namen aba dyimo nyaya tawo, an dya nakaparin so gatos.”
JHN.18.31	Ki binata ni Pilato dyira a kāna, “Inyo makatoneng ah! Inyo manoroh so kaokom na sigon do myanaw do linteg nyo.”
JHN.18.31	Ki tominbay sa dya a kon da, “Namna! Aryoriw kalintegan namen a mangdiman so asa tawo?” 
JHN.18.32	Naparin nyaya tan matongpal binataw ni Jesos an maypāngo kadiman na.
JHN.18.33	Naybidi si Pilato do palasyowaw, as nakapatawag nas Jesos. Inyahes na dya a kāna, “Āngo? Imoriw āri daw no Jodyo?”
JHN.18.34	Ki tinbay ni Jesos a kāna, “Yapori do pangtoktwan mo nyaya iyahes mo mana myan nangibahey dyimo tan iyahes mo?”
JHN.18.35	Ki initbay ni Pilato a kāna, “Kanamna! Bata mo anwan Jodyo ako ah? Sirayaw kapayngay mwaya a Jodyo kan siraw matotohosaya a papadiw mismo a nangiparawat dyimo dyaken. Āngo pinarin mo ta dawa?”
JHN.18.36	Ki inatbay ni Jesos a kāna, “Do dyaba lobong yanan pagtorayan ko. An magāri ako do dya lobong, ayket na, machigobat saw rarayay ko saw tan dya kwa maiparawat dyirad totorayen daw no Jodyo. On, magāri akwaba do lobongaya.”
JHN.18.37	Binata ni Pilato dya a kāna, “Ayket, an komwan, asa ka a āri! Oyodori?”
JHN.18.37	Ki inatbay ni Jesos a kāna, “Oyod nabata mwaya a āri ako. Nawriw nangayan kod lobongaya a naiyanak iyaw no kapaneknek ko so oyod. Ta no sino a madaw so oyod, ki adngeyen na yaken.”
JHN.18.38	“Oyod? Āngo nawri?” binata ni Pilato.
JHN.18.38	Katayoka ni Pilato a nangibahey so nyaya, minohbot dana a minirwa a nangay dyirad Jodyowaw, as nakabata na sya dyira a kāna, “Abayaw nachichwasan kwa gatos na a panghapan ko a mangikeddeng so kaokom na. 
JHN.18.39	Ki sigon do dadakay nyowaw a mapakakaro akos asa nabahod dyinyo kāda Pistan Nakahabas no Anghil, chakey nyori a pakakarohen ko nyaya āri nyo a Jodyo?”
JHN.18.40	Ki insigīda inngengengey da a kon da, “Engga! Iyabaw nawri a tawo! Si Barrabas chakakey namen!” Ki si Barrabas, ki asa a tolisan.
JHN.19.1	Nakatayoka no nawri, inpahap ni Pilato si Jesos dyirad soldado naw, as nakaipasaplit na sya. 
JHN.19.2	As siraw soldadwaw, namahokon sas korona na a sangasanga no manolokaw a kayo, as nakapangay da syad oho naw, as nakakekeh da syas akmaw obi so kita a kekeh no āri. 
JHN.19.3	Naytatadi sa minsipsipat di Jesos a nangibahebahey sya a kon da, “Mabyay pakono Āri dayan Jodyo!”
JHN.19.4	Do dawri, minirwa minohbot si Pilato, as nakabata na sya dyirad Jodyowaw a kāna, “Sichangori, pahboten ko dyinyo tan mapatakan nyo a abaw nachichwasan ko a gatos na a panghapan ko a mangikeddeng so kaokom na.”
JHN.19.5	Minohbot si Jesos do dawri a sikokorona so sangasanga saw no manolok a kayo kan sikekekeh pa so akmaw obi so kita a kekeh no āri. Do dawri, binata ni Pilato dyira, “Chaya dyaw tawowaya!”
JHN.19.6	Ki do nakaboya daw syan matotohos saw a papadi kan siraw para bantayaw so Timplo, nanyeng da inngengengey a kon da, “Ipailansa mod kros! Ipailansa mo do kros!”
JHN.19.6	Ki binata ni Pilato dyira a kāna, “Inyo danaw makatoneng ah! Inyo danaw mangilansa sya do kros. Abayaw nachichwasan ko a gatos na a panghapan ko a mangikeddeng so kaokom na.”
JHN.19.7	Inatbay dan Jodyowaw si Pilato a kon da, “Sigon do linteg namen, machita madiman maynamot ta inpaneknek na a iyaw Anak no Dyos.”
JHN.19.8	Do nakadngeyaw syan Pilato so nyaya chirin da, naypangay danaw nakāmo na. 
JHN.19.9	Do dawri, pinaybidi dana ni Pilato si Jesos do palasyowaw, as nakapirwa narana nanahes dya a kāna, “Taga dino ka?”
JHN.19.9	Ki inatbay aba ni Jesos.
JHN.19.10	“Āngo dyi mwa atbayan?” binata ni Pilato dya. “Chapatak mo abawri a myan dyaken toray a mapakakaro mana mapailansa dyimo do kros?”
JHN.19.11	Initbay ni Jesos a kāna, “Aba polos toray mo dyaken, an dya itoroh no Dyos. Dawa, rakorakoh gatos da no tawotawo saw a nangiparawat dyaken dyimo kan iyaw gatos mo.”
JHN.19.12	Do nakadngeyaw syan Pilato, posposan na pakakarohen si Jesos. Ki do dawri, nāw da inngengengey no Jodyowaw a kon da, “An pakakarohen mo nawri a tawo, sit abaymon Impirador. Ta aran sino a mapatnek so inawan na a mayparin a āri, kontraen nas Impirador.”
JHN.19.13	Do nakadngeyaw syan Pilato so inchirin daw, pinahtot naranas Jesos, as nakangay na naydisnad disnan naw no pangokoman do yananaw a mayngaran so “Ratag a Bato.” Do Hebreo a chirin Jodyo, ki “Gabata.”
JHN.19.14	Do dawri, makey dana mayegen araw do kasakbayanaw no araw no pista da a araw a kapangisagāna da. Binata ni Pilato dyirad Jodyowaw a kāna, “Chadyaw āri nyowaya!”
JHN.19.15	Ki inngengengey da a kon da, “Ipadiman mo! Ipadiman mo! Ipailansa mo do kros!”
JHN.19.15	“Namna! Chakey nyori a ipailansa ko āri nyowaya do kros?” inyahes ni Pilato dyira.
JHN.19.15	Ki inatbay dan matotohos saw a papadi a inngengey, “Abaw matarek a āri namen, an dya iyaw no Impiradoraw!”
JHN.19.16	Do dawri, inparawat ni Pilato dyira a mailansa do kros.
JHN.19.17	Dawa, inpasabhay dan soldadwaw krosaw di Jesos, as nakahbot da do Jerosalem a nangay do “Logaraw no Bangabanga.” Do Hebreo a chirin Jodyo, ki mayngaran so Golgota. 
JHN.19.18	Dawriw nangilansaan da sya, kan myan pa saw dadwa nailansa do maybitaw ni Jesos, as si Jesos nanghobok. 
JHN.19.19	Ki do dawri, nangipapatolas si Pilato so pinangay da do krosaw ni Jesos. No naitolas, ki “SI JESOS A TAGA NASARET A ĀRI DAN JODYO.”
JHN.19.20	Aro dyirad Jodyo saw nakabāsa so nyaya, ta naitolas do chirin dan Hebreo, Latin, kan do chirin a Griego, as kan masngen nakailansaan ni Jesos do syodadaw.
JHN.19.21	Ki nangay saw matotohos saw a papadi dan Jodyo di Pilato, as nakairiklamo da sya dya a kon da, “Itolas mo aba, ‘Āri Dan Jodyo.’ Komwan pakono itolas mo ah, ‘Binata no nya tawo a iyaw Āri dan Jodyo.’”
JHN.19.22	Ki naskeh si Pilato, kan binata na dyira a kāna, “No tayoka ko a intolas, matadyan paba.”
JHN.19.23	Do nakatayoka daw a nangilansa si Jesos, inhap dan soldadwaw laylay na saw, as nakapaychapat da sya a bininglay, kan nakatataysan da. Inhap da paw no makatayrahemaw a laylay na. Ki iyaw nya, aba polos so saip. 
JHN.19.24	Ki no bata dan soldadwaw do katakatayisa dyira, “O, piripiriten tabaw nyaya, ta magbibinonot ta an sino akin dyira sya.”
JHN.19.24	Ki no nyaya, naparin tan matongpal danaw no naitolasaw do Masantwan a Tolas a kāna,
JHN.19.24	“Naychacharwan daw laylay ko saw, kan nagbibinonotan daw makatayrahemaw a laylay ko.”
JHN.19.25	Do dawri, do masngenaw do krosaw ni Jesos, myan a naytēnek si ānang na kan si ikit na a kakteh ni ānang na, as kan si Maria a baket ni Kleopas, as kan si Maria a yapod Magdalena.
JHN.19.26	Do nakaboyaw ni Jesos a myan a naytēnek do masngenaw di ānang na iyaw nanawhen naw a oyod nas chinadaw, binata na di ānang na a kāna, “Ānang, ibidang mo nya a anak mo.” 
JHN.19.27	Somnarono, inbahey na do nanawhen naw a kāna, “Ādi, ibidang mo nya a ānang mo.”
JHN.19.27	Ki yapo do dawri a oras, pinachiyan no nya nanawhen si ānang ni Jesos do bahay na, as kan inbidang na a akmay ānang na.
JHN.19.28	Sinpangan na, do dawri a naparin, chapatak danan Jesos a pinatayoka na a tabo intorohaw ni Āmang na a parinen na, ki tan matongpal danaw naitolasaw do Masantwan a Tolas, binata na, “Mawaw akwaya.” 
JHN.19.29	Ki myan do dawriw asa angang a napno so naysoka a palek. Dawa, napatneb saw soldadwaw so soka do dadyi, as nakapatap da sya do atngehaw no isopo a tamek, as nakapagolo da syad bibyaw ni Jesos. 
JHN.19.30	Do nakatahamaw ni Jesos so naysokaw a palek, binata na a kāna, “Tayoka dana.” Do dawri, nagdomog, as naybitos byay na do nakaiparawat naw so ispirito na di Āpo Dyos.
JHN.19.31	Do dawri a araw, ki Araw a Kapagsagāna, kan no somaronwaw a araw, ki iyaw kasisitaan a Araw no Kapaynaynahah maynamot ta maggedan kan pista daw a Nakahabas no Anghil. Maynamot ta chaskeh da no Jodyowaw a ditā da daw a malodyit no nailansa saw do Araw a Kapaynaynahah, yangay da chindaw no totorayen daw no Jodyo di Pilato a ibilin na mapotot kokod da no nailansa saw tan malisto sa madiman, as sinpangan na,, mapakaro inawan daw do kros daw.
JHN.19.32	Dawa, siraw soldadwaw, nangay da a pinotopotot saw kokodaw no dadwaw a kinayrayay ni Jesos a nailansa. 
JHN.19.33	Ki do kakwan daranaw di Jesos, naboya da a nadiman dana, dawa, pinotot da pabaw kokod naw. 
JHN.19.34	Ki aran komwan, pinabono pa no asa dyira do soldado saw chibot naw do bakrangaw ni Jesos. Ki insigīda namsot raya kan ranom.
JHN.19.35	No tawowaw a nakaboya so nya, inpaneknek na tan anohdan nyo. No inchirin naw, ki oyod, kan aba polos kapagmangamanga na a maynamot do inpaneknek naw, ta oyod a naparin nyaya.
JHN.19.36	Naparin sa tabo nyaya tan matongpal naitolasaw do Masantwan a Tolas a kāna, “Abaw aran asa dyirad tohang naw a napotot.”
JHN.19.37	As myan paw naitolas do Masantwan a Tolas a kāna, “Chiban danchiw no chinibotan daw.”
JHN.19.38	Do nakatayokaw no nyaya naparin, nangay si Jose a taga Arimatea di Pilato a nangdaw so bangkayaw ni Jesos. Si Jose, ki asa nanganohed di Jesos. Ki maynamot ta mamo dyirad totorayenaw no Jodyo, inbahey naba do aro a tawotawo a iya, ki asa rarayay ni Jesos. Do nakaipalobosaw syan Pilato, yay na inhap inawan naw ni Jesos, as nakaikaro na sya.
JHN.19.39	Ki myan pa nachangay di Jose si Nikodemo,
JHN.19.40	Inhap daw inawanaw ni Jesos, as nakabedbed da sya so mananaro saw a lamilamit kontodo bangbanglwaw, ta nawriw dadakay dan Jodyowaw a kapangitanem. 
JHN.19.41	Ki do masngenaw do nakailansaanaw ni Jesos, myan logar daw a kakaywan. Do dawri, myan asa tanem a aschip a bayo pa a nabangbangan kan ari pad abo bangkay a naitanem daw. 
JHN.19.42	Ki maynamot ta Araw a Kapagsagāna dan Jodyo do dispiras no Arawaw a Kapaynaynahah, chakey da a alistwan a itanem si Jesos. Dawa, yangay da a pinakabat do irahemaw no aschip do dawri, ta masngen.
JHN.20.1	Masari pa do kamabekas no manōmaw a araw no lawas, ki nangay si Maria Magdalena do aschipaw a nakaitanman ni Jesos. Do nakawara naw daw, naboya naw rowanganaw no aschip, ki naywangan, ta nabadede a nachibawaw aneb naw a bato. 
JHN.20.2	Dawa, nayyayo si Maria a nangay di Simon Pedro kan iyaw asaw a nanawhen
JHN.20.3	Dawa, nanyeng sa Pedro kan iyaw asaw a nanawhen a minohtot a nangay do aschipaw. 
JHN.20.4	Nayyayo sa dadwa, ki chinmah na si Pedro no rarayay naya, kan nakapanma a nakarapit do aschipaw. 
JHN.20.5	Do nakawara naw daw, nakadokōt a namalid sya do irahem, ki somindep aba. Naboya na a myan pa daw mananaro saw a lamilamit a pinangbedbed das Jesos. 
JHN.20.6	Ki do nakawaraw ni Simon Pedro, taros a somindep do irahemaw no aschipaw, as kan aran iya, ki naboya na a myan daw siraw mananaro saw a lamilamit. 
JHN.20.7	Myan pa daw iyaw panyowaw a pinay dad oho naw. Ki iyaw nya panyo, ki nahon kan nachitarek do bīt naw. 
JHN.20.8	Do dawri, iyaw nanmaw a nakarapit do aschipaw, ki aran iya, ki somindep do irahem. Do nakasdep naw kan nakaboya naw so naparinaw daw, ki nanganohed a nagongar si Jesos. 
JHN.20.9	Do dawri, dyi da pa maawātan naitolasaw do Masantwan a Tolas a mirwa mabyay si Jesos.
JHN.20.10	Katayoka no nawri, somnabat saw dadwaw a nanawhen ni Jesos.
JHN.20.11	As si Maria Magdalena, ki nabidin pa a maytēnek do gaganaw no aschip a tomanyitanyis. Ki do kayan naw a tomanyis, pinaybokot na pinalid do irahemaw no aschipaw. 
JHN.20.12	Ki do dawri, nakaboya so dadwa sa a anghil a nakalaylay so maydak a myan sa maydisna do inohwananaw kan tinokaranaw no yananaw no bangkayaw ni Jesos do kayan na paw daw.
JHN.20.13	“Ādi, āngo itanyis mo?” inyahes dan anghilaw dya.
JHN.20.13	“On, ata, inkaro dayas Āpo ko, kan chapatak ko abayaw napayan da sya,” initbay ni Maria.
JHN.20.14	Ki do nakabata naw so nyaya, minidit do dichodan naw. Ki nakaboyas asa maytēnek a si Jesos nawri, kan nailasin naba a si Jesos.
JHN.20.15	Sinpangan na, inyahes ni Jesos dya a kāna, “Āngo itanyis mo? Sino chichichwasen mo?”
JHN.20.15	Ki no chapatak ni Maria, iyaw no mangaywanaw so kakaywanaw. Dawa, binata na dya a kāna, “Ay on, mo Sir, an imo nangikaro sya, ibahey mo pa an dino yanan na tan yangay ko a ipahap.”
JHN.20.16	Ki tinbay ni Jesos a kāna, “Maria.”
JHN.20.16	Nanyeng do dawri a sinalap ni Maria, as nakabata na sya do chirin da a Hebreo, “Rabboni!” No chakey na batahen, ki “Maistro.”
JHN.20.17	Sinpangan na binata ni Jesos dya a kāna, “Aryan mo yaken mo Maria, ta ari akpad naybidi do yanan Āmang, basbāli a yay mwa ibahey dyirad nanawhen ko saw a maibidang a kakakteh ko a maybidi ako nad Āmang ko a Āmang nyo a iyaw Dyos ko a Dyos nyo.”
JHN.20.18	Do dawri, komnaro daw si Maria Magdalena a nangay a nangibahey dyirad nanawhenaw ni Jesos a kāna, “Nayboya kamyaw kan si Āpo!” Do dawri, inpadāmag na pa dyiraw no inbahey naw dya.
JHN.20.19	Do kamahepaw no nawri a Dominggo, naychipeh saw nanawhenaw ni Jesos do asaw a bahay. Nangneb sa, as nakaibalonet das aneb saw a maynamot do kāmo daw dyirad totorayen daw no Jodyo. Ki sinpangan na,, naychihat a myan si Jesos a naytēnek do salapen daw, kan binata na dyira a kāna, “Myan pakono kaydamnayan no kapangtokto nyo!” 
JHN.20.20	Ki do katayoka naw a nangibahey so nyaya, inpaboya na dyiraw no tanoro na saw a nayaman lansa kan bakrang naw a nabono. Do dawri, taywara chinasoyot daw nakaboya daw si Āpo.
JHN.20.21	Minirwa dana naychirin si Jesos dyira a kāna, “Myan pakono kaydamnayan no kapangtokto nyo! Akmas nakaitoboyaw dyaken Āmang, komwan katoboy ko dyinyo.” 
JHN.20.22	Katayoka na nangibahey syay, inalopan na sa, as nakaibahey na sya a kāna, “Rawaten nyo pakono iyaw Ispirito Santo a omyan dyinyo. 
JHN.20.23	Tan komwan, an mamakawan kamo so aran sino a nakagatos, napakawan dana do Dyos. Amnan dyi nyo a pakawanen, mapakawan abanchi no Dyos.”
JHN.20.24	Do dawri a ahep a nakapaboya ni Jesos dyirad nanawhen na saw, ki abo daw si Tomas a mayngaran so “Singin” a aran iya, ki asa dyirad dosi saw a nanawhen ni Jesos. 
JHN.20.25	Do nakaboya daw sya no kadwan saw a nanawhen na, binata da dya a kon da, “Nayboboya kamyaw kāda Āpo!”
JHN.20.25	Ki initbay ni Tomas dyira a kāna, “An dyi kwa maboya kan masalid nayaman saw no lansa do tanoro na saw kan dyi kwa masalid bigar naw do bakrang naw, manganohed akwaba.”
JHN.20.26	Do nakatayokaw no makadominggo, minirwa dana sa a naychipeh siraw nanawhen saw ni Jesos do bahayaw, as kan do dawri, myan danas Tomas dyira. Ki aran naibalonet aneb saw, naychihat a myan danas Jesos a naytēnek do salapen daw, kan binata na a kāna, “Myan pakono kaydamnayan no kapangtokto nyo!” 
JHN.20.27	Sinpangan na, pinerreng nas Tomas, as nakabata na sya dya a kāna, “Imom Tomas, cha dyaw tanoro ko saya! Saliden mo nayaman saya no lansa, as kasalid mos bakrang kwaya. Pakarohen mo nawri a kapagmangamanga mo kan manganohed ka na.”
JHN.20.28	Ki do dawri, binata ni Tomas dya a kāna, “Imom Āpo ko kan Dyos ko!”
JHN.20.29	Ki binata ni Jesos dya, “Changori, manganohed ka na, ta naboya mo na yaken. Ay, āngo a kagāsat da no tawotawowaw a manganohed dyaken a aran dyi da yaken a maboya!”
JHN.20.30	Arwaro paw makaskasdaaw a pinarin Jesos do salapen dan nanawhen na saw, ki naitolas saba tabo do dyaya libro. 
JHN.20.31	Ki naitolas saw nyaya do dya libro tan anohdan nyo a si Jesos iyaw Kristo a Anak no Dyos, as kan maynamot do kapanganohed nyo dya, myan anchiw abos pandan a byay nyo.
JHN.21.1	Katayoka no nawri, minirwa dana napaboyas Jesos dyirad nanawhen na saw do Minanga a Tiberyas.
JHN.21.2	Do naypisa, naychipeh sa Simon Pedro, Tomas a mayngaran so “Singin,” si Natanael a taga Kana do probinsya a Galilya, siraw anakaw ni Sebedeo, kan sira paw dadwaw a nanawhen ni Jesos.
JHN.21.3	Ki binata ni Simon Pedro dyira a kāna, “Mangay ako pa magkalap.”
JHN.21.3	“Machangay kami ah!” binata da tabo. Dawa, nayabang sa a naychararakan a nagsigay, ki aba polos nahap da.
JHN.21.4	Do kapaysesedang naranaw, myan si Jesos a naytēnek do aptanaw, ki nalasin daba no nanawhen na saw. 
JHN.21.5	Ki ngineyan na sa a kāna, “Inyom Sit, aba no nahap nyo a among ah?”
JHN.21.5	“Polos,” initbay da.
JHN.21.6	Ki binata na dyira a kāna, “Ipakat nyo sigay nyowaya do kawananayan abang nyo tan makahap kamo.”
JHN.21.6	Insigīda da a inpākat do makawananaw no abang da. Ki do nakaipakat daw sya, napasakay da paba do abang daw a maynamot do kāron nahap da.
JHN.21.7	Sinpangan na, binata no nanawhenaw a oyod nas chinadaw ni Jesos di Pedro, “Aysa! Si Āpo nawri!”
JHN.21.7	Ki do nakadngeyaw syan Simon Pedro so binata naw a, “Si Āpo nawri,” nyeng na inbarikis laylay naw, ta sibahabahas, as nakagtos nad ranomaw, as nakapakaraya na. 
JHN.21.8	Ki siraw rarayay na saw, nabidin sa do abangaw a nanggoyod so sigayaw a napnos among a nandad nakapakaraya da. Oyod saba mabawa do aptanaw. Myan ngataw asa gasot a kamitros so kabawa.
JHN.21.9	Do nakapakaraya daranaw, naboya da nanginmayaw apoyaw a myan danaw among a mapasopaso, as kan myan paw tinapay. 
JHN.21.10	Binata ni Jesos dyira a kāna, “Iyangay nyo dyaw kadwan saya kahahap nyo a among.”
JHN.21.11	Do dawri, naybidi si Simon Pedro a somnakay do abangaw. Sinidongan naw rarayay na saw a manggoyod so sigayaw a napnos rarakoh saw a among tan pakarayahen da. No bidang da no amongaw, ki asa gasot, dadima poho, kan tatdo a tabo. Ki aran komwan karon amongaw, napirit abaw sigayaw.
JHN.21.12	Sinpangan na, binata ni Jesos dyira a kāna, “Mangay kamo na dya, ta may kamo na magarmosal.”
JHN.21.12	Ki aba polos makaitored dyira a nanahes an sino iya, ta chapatak darana a iya, ki si Āpo.
JHN.21.13	Sinpangan na, kinamet ni Jesos tinapayaw kan iyaw no amongaw, as nakaibonong na sya dyira.
JHN.21.14	Nyaw chatatdo no nakapaboya ni Jesos dyirad nanawhen na saw nakatayoka no nakapagongar naw.
JHN.21.15	Do nakatayoka daw a komninan, inyahes ni Jesos di Simon Pedro a kāna, “Simon a anak ni Juan, oyodori a ipateg mo yaken a mangamangay pa kan siraw kadwan saya dya?”
JHN.21.15	Initbay ni Pedro dya a kāna, “Mo Āpo, taywara chapatak mwa chadaw koymo.”
JHN.21.15	“Na, an komwan, dāmen mo saw no manganohedaya dyaken a akma siras orbonaw a karniro,” binata ni Jesos.
JHN.21.16	Ki pinirwa danan Jesos a binata a kāna, “Simon a anak ni Juan, oyodori a ipateg mo yaken?”
JHN.21.16	Initbay ni Pedro, “Mo Āpo, taywara chapatak mwa chadaw koymo.”
JHN.21.16	“An komwan,” inbahey ni Jesos dya, “onongan mo saw manganohedaya dyaken a karniro ko.”
JHN.21.17	Sinpangan na, pinitdo danan Jesos a inyahes dya, “Simon a anak ni Juan, oyodori a chadaw mo yaken?”
JHN.21.17	Nagmamayo si Pedro do nakapitdwaw sya inyahes ni Jesos a kāna, “Chadaw mori yaken?”
JHN.21.17	Initbay ni Pedro dya a kāna, “Āpo, chapatak mo tabo, as kan chapatak mo kadaw ko dyimo.”
JHN.21.17	Ki binata ni Jesos, “Dāmen mo saw manganohedaya dyaken a karniro ko. 
JHN.21.18	No ibahey ko dyimo, ki oyod. Do kabaro mo, nagrobwat ka kan nakangay ka do aran dino a chinakey mo. Ki anchan malkem ka na, maydedpa kanchi kan matarek anchiw ombahod so tanoro mo saya, as kaiyangay nanchi dyimo do dyi mwa chakey a ngayan.” 
JHN.21.19	Nyaw binata ni Jesos an maypāngo kadiman Pedro a pakaidayawan ni Āpo Dyos. Sinpangan na, binata na dya a kāna, “Nāw mwa monot dyaken!”
JHN.21.20	Do kapagrobwat daw, minidit si Pedro, ki naboya na iyaw nanawhenaw a oyod nas chinadaw ni Jesos a minonot dyira. Iyaw nyaw nanarengaw di Jesos do nanawdyaw a kapangmalem da a nanahes sya a “Āpo, sino manglipot dyimo?”
JHN.21.21	Do nakaboyaw sya ni Pedro, inyahes na di Jesos a kāna, “Na, maypāngo maynamot dya, mo Āpo?”
JHN.21.22	Ki tinbay ni Jesos a kāna, “An chakey ko sibibyay mandanchan maybidi ako, riribok mori? Machita a imo monot dyaken.”
JHN.21.23	Maynamot do dyaya inchirin ni Jesos, naiwaras dāmag dyirad nanganohedaw di Jesos a dya madiman nya nanawhen. Ki nawri abaw chakey a batahen Jesos, ta no inbahey naw lang ki, “An chakey ko a sibibyay mandanchan maybidi ako, riribok mori?”
JHN.21.24	Iyaw nyaya nanawhen a minonot da Jesos kan si Pedro, ki yaken. Paneknekan ko sa tabo naitolasaya a maynamot di Jesos, ta yaken mismo a nangitolas sya. As chapatak namen a tabo saw nya a naitolas, ki oyod.
JHN.21.25	Arwaro pa saw pinariparin Jesos. Malabit a an naitolas sa tabo, ki mahap aban lobongayaw no kāron libro a pakaitolasan da.
ACT.1.1	Dyimom Teopilo, Do nanomaw a tolas ko, ki intolas ko a maynamot dyirad tabo saw a pinariparin ni Jesos kan iyaw nakapangnanawo naw a nakayapod nakasiknan naw a mangnanawo a 
ACT.1.2	mandad arawaw a nakapaybidi syan Āpo Dyos do hanyit. Ki do sakbay no nakapaybidi naw do hanyit, maynamot do panakabalin no Ispirito Santo, tinokos naw bilin naw dyirad apostolis
ACT.1.3	Ta do katayokaw no nakadiman kan nakapagongar na, nasanyib si Jesos a napaboya dyira
ACT.1.4	Do naypisa, do nakapaychipeh daw no nanawhen na, inbilin ni Jesos dyira a komaro saba do Jerosalem, ta panayahen daw kangayaw no Ispirito Santo dyira. Binata na dyira a kāna, “Panayahen nyo paw inkaryaw ni Āmang ko dyinyo a iyaw binata ko naw dyinyo do nakarahan. 
ACT.1.5	Si Juan a Mamonyag, ki binonyagan naw tawotawo so ranom. Ki papere dana karaw, as mabonyagan kamonchis Ispirito Santo.”
ACT.1.6	Do nakapirwa daranaw a naychipeh, inyahes dan apostolis saw di Jesos a kon da, “Āpo, narapit danawriw oras a kabangon mo a mirwa so torayen namen do dya Israel tan dyi dana Romano mangitoray dyamen?”
ACT.1.7	Ki tominbay si Jesos dyira a kāna, “Naitoroh aba dyinyo kapakatoneng so chimpo mana oras a kaparin nawri, ta si Āmang ko moyboh a myan so toray a mangikeddeng so mapariparin do masakbayan, 
ACT.1.8	basbāli a anchan mangay Ispirito Santo a omyan dyinyo, matorohan kamonchi so panakabalin tan inyo dananchiw mangsaksi dyaken. On, do Jerosalem saksyan nyonchi yaken, kan do intīro a Jodya kan Samarya, as kan aran mababawa saya a loglogar do intīrwaya lobong.”
ACT.1.9	Do nakabata naw so nyaya, in-īnot a naypatohos si Jesos do hanyit ranan katangatangay daw sya nandad nakawlib nad kademdemanaw.
ACT.1.10	Do dawri, do kayan daw a tomangay so kapaypaypatohosaw ni Jesos, naychihat a myan dadwa mahahakay a naylaylay so maydak, as kan naytēnek sa a nachitalin dyira. 
ACT.1.11	Binata da dyira a kon da, “Inyo a mahahakay a taga Galilya, āngo paw paytēnek nyo a tomangay? Iyaw nya Jesos a naikaro dyinyo a naypatohos do hanyit, ki maybidinchi a akmas nakaboya nyowaya so nakangay nad hanyit.”
