MAT.1.1	Ísti karakata Jesukristueri sïrukueri, enga Dabidi ka Abrani uájpeka:
ACT.25.10	Ka Páblu mókuntaspti: Ji Sésariri útatsperakuarhu jarhaska, ixusïni k'amanharhitanhantaaka. Ji judiuechani nómbe ma nósesi úkuaska, t'úri sési mítetixaka. 
ACT.25.11	Engani ji ónhakata jaka jimbokani ambe ma k'amanharhintaka ka uándikukueni, ji nómbe ma uandakorhesïnga; k'óru nórini úaka intsïnharhitpentani indeni ambe jimbo engajtsïni k'amanharhirantani jaka engaksï no újka xarhatani eska ísïska. Ji ísï kurhajkorhexaka eskarini Sésari útacheaka. 
ACT.25.12	Jiájkani Féstu imeri arhistatspirichani kurhamarheaspti ka tátsekua mókuntaspti: “Sésari jingundi níkuekaxaka, ka Sésari jingundi niuaka.” 
ACT.25.13	Tátsekua namuni jurhiatekua jimbo, irecha Agripa témba Bérenise jingunksï Sesarea niraspti Féstuni p'urhembeni. 
ACT.25.14	Ka jimbokaksï ima sáni ióni jima pakarapiringa, Féstu irechani Páblueri ambe aianguntaspti:
ACT.25.14	“Xu jurhasti acheti ma, arhispti, enga Féliksï ónhatini jurajkuka. 
ACT.25.15	Ka jiájkani engani ji Jerusaleni karhamapka, tátecheri urhejtsïkuricha ka judio anapu achamasïchajtsïni kurhachexapti eskani k'amanharhirantapiringa. 
ACT.25.16	Ka ji arhiaspka eskaksï Róma anapuecha no p'indeska intsïnharhitpeni, eka k'amanharhintsti no mókukuantauaka imechani engaksï k'amanharhitantani jauaka. 
ACT.25.17	Imaksï ixu jíndeni jinguni jurhaspti, ka pauandekua útatsperakuarhu uaxakaspka ka imani achetini p'itajkorhespka. 
ACT.25.18	Imaksï jurhaspti engaksï k'amarhitantani jápka, ka nómbemaksï k'óru arhispti nósesi ambe engani ji eranhaskani jápka; 
ACT.25.19	indecheri jakajkukueri arhirperata ambejkuksïsï uandani jápti, ka achetiri ma engaksï Jesusi arhimpka, enga uarhikia ka enga Páblu uandajka eska tsípiti jarhaska. 
ACT.25.20	Ji íni ambe no jánhaskeraspka ka arhispka: ¿Niuari Jerusaleni, ka eskakini íni ambe jini k'amanharhitantaaka? 
ACT.25.21	Ka jimboka Páblu uandakorhespka eska imeri ambeksï Sésarini jurajkukupiringa néna enga ima eratsepiringa, juramuspka eskaksï kuáni japiringa ekani jamberi Sésari jinguni axapiringa.” 
ACT.25.22	Agripa Féstuni arhispti: “Jíjtuni úekapiringa imani achetini kurhajchani.” Ka Féstu arhintaspti “Pauandi kurhajchaaka.” 
ACT.25.23	Pauandekuaksï Agripa Bérenise jinguni sési xukuparhantatini útatsperakuarhu inchaspti k'éri p'urhejkutichani jinguni ka iretarhu anapu achamasïchani jinguni. Enga Féstu juramupka, Páblunksï incharaspti. 
ACT.25.24	Ka Féstu uandaspti: “Irecha Agripa ka iámendu engajtsï ixu jaka; xéxakajtsï íni achetini engaksï uánekua judiuecha juka ísï eskaksï Jerusaleni na tángorhentapka uinhachaparini eska uándikukueska. 
ACT.25.25	Ji jánhaskaspka eska nómbe ma úspka enga jimbo jukanchapka uándikunhani; ka jimboka inde uandakorheska eska Sésari k'amanharhitantaaka, ji eratseskia ima jinguni axani. 
ACT.25.26	No jánhaskasïnga íni achetiri ambe, Sésarini ambesïni karakuaa; jimboksïnisï chánksïni juácheka, ka sánderu sáni chánksïnimendu ireche Agripa, jimbokani uékaxaka míteni, engajtsï ambe kurhamarheakia ji jánhaskaaka ambesïni karaa. 
ACT.25.27	Ji nósesi xésïnga ónhakatani ma axani no karaparini ambeksïsï xáni arhiparhatani jáki.”
ACT.26.1	Irecha Agripa Pábluni arhispti: “Úakaria uandakorheni.” Jiájkani Páblu iójkurhantaspti ka uénaspti uandakorheni: 
ACT.26.2	Kánekua tsípexaka irecha Agripa, engani iásï t'úngeni japarini uandakorheaka iámendu ambe engajtsïni judiuecha arhiparhatani jaka. 
ACT.26.3	Ka sánderia jimbokari t'u míteska iámendu p'indekuechani ka judiuecheri ambe. Ísï jimboksïnisï kurhacheni jaka eskarini tekaachentaaka kurhajchani. 
ACT.26.4	Iámendu judiuechaksï mítesti eskani jiájkantki engani ji tumbi sapichuepka, ji juchari iretarhu Jerusaleni irekaspka. 
ACT.26.5	Indejtsïni ióntkitki uératini mítesti, ka engaksï uéjka úatiksï uandantani eska ji fariseueni irekaspka, ísï eska ima kúngorhekua na k'amak'amasï juchari jakajkukuani arhistatspejka. 
ACT.26.6	Iásï engajtsïni ixu k'amarhirantani jaka, imani jimboesti jimbokani mintsikaxaka aiatsperakuani enga Diósï juchari tátechani aiakuaka, 
ACT.26.7	engaksï témbeni tsimani iretecha erokorheni jaka. 
ACT.26.8	¿Andijtsïsï cha no jakajkujki eska Diósï uarhirichani tsítantaasïnga? 
ACT.26.9	Ji ísï eratsexapka eskani nenauejki jásï jimbo jatsipiringa Jesusi Nasaretiri jakajkutichani k'amajkuani. 
ACT.26.10	Ka Jerusaleni ísï úspka, k'érati tátecheri juramukua jimbo, ji uánekua jakajkutichani ónhatarkorheaspka ka jíjtuni jamberi sési exesïrempka engaksï uarhikua jimbo k'amanharhitanhantani jarhempka. 
ACT.26.11	Mémechani uéntani k'umanchekua tángorhentskuecharhu niraspka, ka jángorhentasïrempka eskaksï nóteru jakajkupiringa, ka xáni kurhenheani máteru iretecharhu jamberi jirinhantaasïrempka. 
ACT.26.12	Íni ambe jimbosïni Damasku nira jápka k'érati tátecheri juramukua jimbo; 
ACT.26.13	ka sési jimbo, tata irecha, teruxutini xanhari jimbo exespka t'íntskua ma enga auandarhu uératini júpka, ka sánderu t'íxexapti eska tata jurhiata, ka jucheti pámpirichani jinguntsïni t'íntskachespti. 
ACT.26.14	Ka iámenduechachi kuarhatsespka ka ji kurhaska nemarini ebreo jimbo arhini: Sáulu, Sáulu, ¿andirinisï jirinhantajki? “Jandiojku jatindi atakorhexaka.” 
ACT.26.15	Ka ji arhispka: “¿Néskiri, Acha?” Ka Acharini arhispti. “Ji Jesusiska ima engari t'u jirinhantani jámani jaka. 
ACT.26.16	K'óru anhaxurhintsï; xarhacheskakini eskari jucheti jántspiriuaka ka eskari jucheti ambe uandantaaka engari exeka ka ambe engaterukini exeraaka. 
ACT.26.17	Jíkini chéti iretarhu ka no judiuecheri iretarhu axaxaka, ka kuájchakuakakini, 
ACT.26.18	eskari éskatarauakia; ka eskaksï pájpakandekuarhu uératini t'íntskuarhu niántaaka, ka eskaksï Satanasiri juramukuani jurajkuauaka ka Diósïnksï andarhentani; ka eskaksï k'amanharhintskuechani puápenhantaaka, ka eskaksï imani mínda p'iuaka erakukatecha jinguni engajtsïni jíndeni jakajkujka.” 
ACT.26.19	“Ísï jimbo irecha Agripa, ji kurhandiraska engani auandarhu uératini jánhastanhaka, 
ACT.26.20	jimbosïni Damasku anapuechani uénaka aianguantaani ka tátsekua Jerusaleni anapuechani, ka iápuru Judea ísï ka ístu no judiuechani arhistakuaska eskaksï móantaaka ka eskaksï Diósïni andarhentaaka ka eskaksï jángua jimbo xarhataaka eskaksï móantaskia. 
ACT.26.21	Íni ambe jimbojtsïnisï judiuecha, k'éri tiósïo jupikapti ka uándikuxamentijtsïnia. 
ACT.26.22	Ka jimbokarini Diósï kuájchakuxaka jimbosïni iásï jamberi anhatsekorheka k'érati ka sapirhatichani aianguantaani ambe angamenduksï Diósïri uandaricha uandaka ka enga Moisesi uandaka eska úkorhepiringa: 
ACT.26.23	Eska Krístu uarhipiringa ka eska ima uénapiringa tsíntani ka ísï judiuechani ka no judiuechani erajkutaapiringa.” 
ACT.26.24	Enga Páblu íni ambe uandakorheni jápka, Féstu ichajpaataspti: “Páblu tandonhaskaskaria, iámuri xerejtsïxakaia xáni arhintani.” 
ACT.26.25	Ka Páblu uandaspti: Nómbe tata Féstu, jinisïni imani ambe uandani jaka enga ísïka, no tandonhaskaxaka. 
ACT.26.26	Irecha Agripa íni ambe sési mítetixati, jimbosïni imani japarini no chéjka uandani, ji arhijka eska iámendu ambe míteka, jimboka iápuru ísï mítekorheska. 
ACT.26.27	¿Irecha Agripa cha Diósïri uandarichani jakajkukuasïnki? Ji mítetixaka eskajtsï jakajkusïnga. 
ACT.26.28	Ka Agripa Pábluni arhintaspti: “Sanorini chéti uandakuechani jimbo Krístu jinguniraxapkia.” 
ACT.26.29	Ka Páblu uandasptiteru: Eskamendu Diósï sóntku o ióni jimbo uékaaka ka isïjtsï jámani eskani ji, ka no t'újku, iámenduecha, engajtsïni iásï kurhajchani jaka, k'óru no ísï tiámu jimbo jótakata. 
ACT.26.30	Jiájkani irecha Agripa ka juramuti Féstu ka Bérenise ka iámendu engaksï márku uaxakatini jápka jauarasptiksï, 
ACT.26.31	ka engaksï uéntani jápka arhijperapantaxaptiksï: Inde acheti nómbe ma ústi engaksï jimbo uandikuaka óksï ónhani. 
ACT.26.32	Ka Agripa Féstu arhispti: “I acheti úpirindi jurajkunhani enga no ísï kurhajkorhepiringa eska Sésari útakupiringa.”
ACT.27.1	Enga eratsenhapkia eskajtsïni icharhuta jimbo Italia axapiringa, Pábluni ka máteru ónhakatechanksï p'urhejkuti urhejtsïkurinksï jurajkukuaspti enga Júlio arhinhempka, ima Augustueri kúngorhekuarhu jámasïrempti. 
ACT.27.2	Ka Adamitrio anapu máchi icharhutani jataspka, enga Ásia andamukuerapiringa, ka parhimespkachi. Aristarku Tesalonika anapu, enga Masedonia jaka, jucha jinguni jámaxapti. 
ACT.27.3	Ka pauandekuachi Sidoni niáraspka. Júlio Pábluni kánekua sési kámaspti ka jurajkuspti pámpiri jémbechani p'urhembeani ka eskaksï ima sáni exeni jápiringa. 
ACT.27.4	Jima uératinichi Chípre andamukueraspka, jimbachi jarhaspka erokorheni jimbokajtsïni tarhiata k'uanhaskuntasïrempka. 
ACT.27.5	Ka Silisia ka Panfilia anapu japundecharhuchi parhimespka ka témbeni iúmu jurhiatekua jimbochi Míra niáraspka enga Silisia jaka. 
ACT.27.6	P'urhejkuti jima xéntaspti icharhutani ma, Alejandria anapu ma, enga Italia nirempka, ka jatsirasptijtsïni. 
ACT.27.7	Sáni ióni, icharhuta kánekua iatsitapasti ka kánekuachi ióndaspka Knído andaparhakuerani. Ka jimbokajtsïni tarhiata no jurajkuspka andamukuerani, Salmunachi niraspka ka Krétachi uanondarheska jimesï enga no tarhiauempka; 
ACT.27.8	ka kánekua úkua jingunchi andamukueraspka jima enga Ambakiti niárantskua arhinhajka, jimajku enga k'éri ireta Lásea jaka. 
ACT.27.9	Sáni iónisptia ka kánekua úkua jukasti icharhuta jimbo nirani, ka k'arhinda jakueri k'uínchekua t'uíni nitamasptia. Ka Páblu arhiaxapti: 
ACT.27.10	Pámpiricha, xéxaka eskachi kánekua úkua jinguni parhimeaka, no icharhutajkusï uekameati, iámu ambe enga xáni jatarini jakajtu uekameati, juchachi jamberi uarhimeaka. 
ACT.27.11	K'óru p'urhejkuti urhejtsïkuri Pábluni no kurhajchaspti, imani enga icharhutani páni jápka ka enga icharhutani kámempka sánderu kurhajchaaxapti. 
ACT.27.12	Ka jimboka jima no iauantskua nitamakorhekuespka, iámenduechaksï eratsespti jima uératini Fenisia niárani, máteru ireta Kréta anapu, enga jimajku no iauani karhakua jápka, ka iauantskuani jima erokorheni. 
ACT.27.13	No uinhamu tarhiaxapti karhamani ísï, ka eratsesptiksï eskaksï úpiringa nirani, p'ímantaasptiksï icharhuta p'íngutarakuechani ka Krétaksï uanondarhespti. 
ACT.27.14	K'óru jimajku akuitse janikua ma úkorhespti enga ómekuarhu uératini kétsemupka. 
ACT.27.15	Icharhutani páspti, ka nóchi úspka icharhutani p'ínguni, ka tarhiatajtsïni páspti. 
ACT.27.16	Ka tarhiatajtsïni máteru ómekuarhu andamuteraspti enga Kaúda arhinhempka ka jimachi kánekua úkua jinguni icharhuta sapichuni tarhatantaspka. 
ACT.27.17	Engachi karhatantapkia, icharhutanksï kánekua sïndari jójchukuspti jimboka úpiringa kutsarirhu pisijchuni, p'ikuntarakuanksï tarhatantaspti ka jurajkusptiksï eska tarhiata pápiringa. 
ACT.27.18	Ka jimboka sánderu uinhamu tarhiaxapka, pauandekuaksï icharhutarhu ambe petanhaspti. 
ACT.27.19	Tanimu jurhiatekua jimboksï iámendu ambe engaksï icharhutarhu úrempka késkuspti. 
ACT.27.20	Ióni tata jurhiata ka jóskuechaksï no xarhanchespti; jimboka kánekua nósesi janixapka engachi jamberi nóteru eranhaskempkia eskachi tsípiti uémentapiringa. 
ACT.27.21	Sánchi ióni nóteru t'irespkia, Páblu jauaraspti ka iámenduechani arhiaspti: Erachicha, sési japiringachi engajtsïni Krétatki kurhajchapiringa, íni ambejtsï no nitamanchakorhepiringa ka xáni uánekua ambejtsï no ambendarhepiringa. 
ACT.27.22	Iásïksïni arhixaka eskajtsï uinhapentaaka; nónema uarhiati, icharhutajkusï xerekorhentaati. 
ACT.27.23	Íni chúrekuarini Diósïri ánjeli ma xarhachesti, ima engarini p'ímutantaka ka engani k'éri ambe arhijka, 
ACT.27.24	ka arhistirini: “Páblu ásï jama chéni, Sésari jingundi niuaka, exe Diósï t'úngeni jimbo k'uajchakuauati iámenduechani engajtsï icharhutani jatapani jaka. 
ACT.27.25	Ísï jimbo pámpiricha ásï che je, ji Diósïni mintsikaxaka ambe engarini arhika. 
ACT.27.26	Ómekuarhu ma isïchi niareraaka.” 
ACT.27.27	Témbeni t'ámu jurhiakuajtsïni itsï Adriatiku ísï páxapti ka terujkani chúri isïksï p'ikuarhetsespti echerirhu andamukuerani jarhani. 
ACT.27.28	Ts'ématakuanksï inchamaspti ka xésptiksï eska tanimu ekuatse ka iúmu tsimani ióxurhakua jauamespka, sántku urhepatinksï ménderu ts'éretakuani inchamaspti ka xésptiksï eska ma ekuatse ka iúmu tsimani ióxurhakua jauamespka. 
ACT.27.29	Chéxaptiksï jimbokachi úpiringa k'erandarhu ma uásarhentani, icharhutarhu tatsepani t'ámu p'íngutarakuechanksï k'uanimaaspti, ka kómarhaxaptiksï eska sóntku erandepiringa. 
ACT.27.30	Ima engaksï icharhutarhu ánchekorhempka kétsekuekaxapti, ka icharhuta sapichu máksï késkuxapti, arhimetaparinksï eskaksï urhepantu p'ingutarakua jatsirhukuxamempka. 
ACT.27.31	K'óru Páblu p'urhejkuti urhejtsïkurini ka p'urhejkutichani arhiaspti: “Engaksï inde no icharhutarhu pakaraska, chájtujtsï ixu uarhimeaka.” 
ACT.27.32	Jimajkanksï p'urhejkuticha sïndarichani kachukuaspti enga icharhutani késkuni jápka, ka icharhuta uékamespti. 
ACT.27.33	Engaksï erokorheni jápka eska erandepiringa, Páblu iámenduechani arhiaspti eskaksï t'irepiringia arhiaparini: “Témbeni t'ámu jurhiakuestia engajtsï nóteru ambe ma akaia erokorheparini nenaxamu jánhaskorhea. 
ACT.27.34	Ísï jimboksïnisï arhini jáka eskajtsï ambe atsïkorheaka, chári sési jimboesti; jimboka nónema ambe ma úkorhenchaaka.” 
ACT.27.35	Íni ambe uandarini k'urhinda ma p'ikuspti, ka iámenduechani japarini Diósïni diósïmaiamukua arhintaspti ka arhukuspti ka arhaspti. 
ACT.27.36	Jiájkanksï iámenduecha tsípentaspti ka t'iresptiksï. 
ACT.27.37	Engachi icharhutarhu jámani jápka témbeni tanimu ekuatse ka témbeni kuímu (276) ísïspkachi. 
ACT.27.38	Engaksï iámenduecha sési t'irepkia, tríjuksï japundarhu k'uanimaspti jimbokaksï uékasïrempka eska icharhuta nóteru xáni k'uetsapepiringa. 
ACT.27.39	Ka enga erandepka, icharhuta párichaksï no miiuntaspti; ka eraasptiksï eska inchandikutini ambandespka andamukuerani, ka icharhutanksï jima andanditerakuekaxapti. 
ACT.27.40	Icharhuta p'ingutarakuechanksï japundarhu jurajkuaspti, ka kuntsïkutarakuanksï kueratakuspti. Ka takusïksï karhatantaspti jirinhakutani eska tarhiata uémantaapiringa. 
ACT.27.41	K'óru icharhuta kutsarindu inchatseraspti, ka jima atarhutakorhespti, urhepani inchatseraspti, ka tátsepani nósesi kúskantaxapti jenguerakuechani jimbo xerejchuntani. 
ACT.27.42	Jiájkanksï p'urhejkuticha eratsespti ónhakatechani uándikuani, jimbokaksï máru úpiringa xarhiameparini sïpakorheni; 
ACT.27.43	k'óru p'urhejkuti enga Pábluni kuájpeni jápka no jurajkuaspti ka juramuspti eskaksï ima engaksï jurhenapka xarhiameni urhetku k'uanimepiringa ka urhetkuksï uémentani; 
ACT.27.44	ka eskaksï máruteruecha k'érati k'erericha jimbo uémentapiringa. Ísïchi iámenduecha tsípiti uémentaspka.
ACT.28.1	Engachi uémentapkia, mítespkachi eska ima ómekua Málta arhinhasïrempka. 
ACT.28.2	Ka ómekuarhu anapuechajtsïni kánekua sési kámaspti; ka k'éri máksï kurhikaspti jimboka janixapka ka tsirakorheni jarhani, ka sésijtsïni erokaspti. 
ACT.28.3	Páblu ma kununharhikua chkári k'arhiri tánantaspti; ka enga k'uanijpani jámempka, akuitse ma enga chpíri jimbo sïpakorheni jápka Pábluni mápkuspti. 
ACT.28.4	Engaksï ómekuarhu anapuecha Pábluni erajkupka arhijperasptiksï, “I acheti uándikpiti ambeti; tsípiti uémentasti, k'óru ikimekata jarhasti ka uarhiati.” 
ACT.28.5	K'óru Páblu akuitseni chpírirhu uauajkurhaspti ka nómbe ma úkorhenchaspti. 
ACT.28.6	Imaksï erokorhexapti eska k'úpiringa o eska mátirku uarhipiringa; ka erokatinksï ka exerinksï eska nómbe ma úkorhenchaspka, ménderuenksï eratsespti ka uénasptiksï uandani eska Diósï méspka. 
ACT.28.7	Jima no iauani, ómekuarhu anapu urhejtsïkuri ma enga Publio arhinhempka, echerichani máru kángorheasïrempti, imajtsïni sési erokaspti ka tanimu jurhiatekuajtsïni chéni jémbo pakataspti. 
ACT.28.8	Ka Publioeri tátjemba apondikuspti jimboka pákua p'iraska ka tinharani jarhani. Páblu inchaspti exeni, ka kómarhijpekuspti, ka p'ájtsïkuspti ka ima ambakerantaspti. 
ACT.28.9	Íni jimboksï máteru engaksï ómekuarhu p'amenchani jápka, Páblu jingunksï niraspti ka ambakeranhantasptiksï. 
ACT.28.10	Ka kánekuajtsïni sési kámaspti ka uánekua ambejtsïni intsïmbespti engachi pákorhepiringa.
ACT.28.11	Tanimu kutsï jimbochi Alejandria anapu icharhuta ma jimbo niraspka, enga iauantskuani jima nitamapka, ka icharhuta tsimani diósïchani jukarhuaspti. 
ACT.28.12	Sirakusachi niáraspka ka tanimu jurhiatekuachi jima pakaraspka. 
ACT.28.13	Jima uératinichi nipaska ka Réjiochi niáraspka. Ka pauandekua k'arhamani ísï tarhiaxapti ka tsimani jurhia jimbo Puteolichi niáraspka. 
ACT.28.14	Máru erachichanchi jima xéantaaspka ka kánekuachi sési p'ikuarheraspka, ka iúmu tsimani jurhia imecha jingunchi pakaraspka. Ka tátsekuachi Róma niáraspka. 
ACT.28.15	Engaksï erachicha mítetini eskani jucha niáraspkia, Apio kópekuarhu jamberijtsïni niraspti kúmani, jima engaksï tanimu jájkorhekuecha jaka. Páblu exearini, Diósïni diósïmaiamukua arhintaspti ka tsípentaspti. 
ACT.28.16	Engachi Róma inchaakupka, Páblunksï jurajkuspti k'umanchekuarhu ma jarhani p'urhejkuti ma jinguni enga exeni japiringa. 
ACT.28.17	Tanimu jurhiatekua jimbo, Páblu judio urhejtsïkurichani uandajpatarkorheaspti. Ka engaksï ima tángorhentapka, Páblu arhiaspti:
ACT.28.17	–Erachicha, ji nómbe ma nósesi úkuska jucheti iretani, níjtu juchari tátecheri p'indekuani nósesi úku, Jerusalentsïni jupikaspti ka Róma anapuechantsïni intsïnharhitaspti, 
ACT.28.18	imajtsïni mámaru ambe kurhamarhesti ka jurajkukuekaxaptia jimbokajtsïni nómbe ma xénhchentaspka engani jimbo uandikunhapiringa. 
ACT.28.19	Ka jimbokaksï judiuecha no jiókorhempka, ji uandakorhespka eskarini Sésari arhinharhikupiringa, no jimbokani Sésarini jucheti ireteri ambe uékani jáka aianguni. 
ACT.28.20	Íni ambe jimboksïnisï ióarhika, exekuekaxapkaksïni ka aiangukorhenksïni, nóchkani ji imani jimbosïni jójkukata jaki andi enga Israeli erokorheni jáka. 
ACT.28.21	Ka imaksï arhintaspti:
ACT.28.21	–Jucha Judea uératini nóma karakata intsïnhantaska enga chéti ambe arhijka, ka no ma erachi engaksï ixu janoka aianguntasti nósesi ambe chéti ambe. 
ACT.28.22	K'óruksïni kurhajchakuekaxaka ambe engari eratsejka, nóchkani jucha imani jakajkua arhujtateri mítetixaki andi eska iápuru isï imeri ambe nósesi uandanhaxaka. 
ACT.28.23	Ka pakatperasptiksï eskaksï ma jurhiatekua tángorhentapiringa ka ima jurhia uánekuaksï niáraspti jima enga Páblu jájkuarheni jápka. Ka Páblu chúskutaspti Diósïri irechekueri ambe aianguantaani, ka Jesusiri ambe jajkutakutaraani uékaaxapti, Moisesiri juramukuani ka Diósïri uandaricheri karakatani arhiantaaparini. 
ACT.28.24	Máruksï Pábluni kurhajchatini jakajkuspti, 
ACT.28.25	ka máruksï no jakajkuspti, ka engaksï no úpka teruatperani níntaxaptiksïa, jiájkani Páblu índerku arhiaspti:
ACT.28.25	“Jimbochkasï Espiritu Sántu juchari tátechani Diósïri uandari Isaiasïni jimbo uandapti 
ACT.28.26	arhiaparini:
ACT.28.26	Ni íni iretani arhini:
ACT.28.26	Sésiri kurhauaka,
ACT.28.26	k'óruri no kurhanguaka,
ACT.28.26	sésiri éskani jauaka,
ACT.28.26	k'óruri no exeaka.
ACT.28.27	Jimboka i ireta mintsitani chuperaska,
ACT.28.27	nóksï úekasïndi kurhani,
ACT.28.27	ka nóksï uékasïndi exeni;
ACT.28.27	ásïksï exee ka kurhaanksï
ACT.28.27	ka mintsita jingunksï kurhanguni
ACT.28.27	ka móantanksï ka ji ambakerantaani.”
ACT.28.28	Mítetini jáchka je eska i Diósïri p'ímutantskua no judiuechasï axamenhaka; imaksï k'óru kurhauati. 
ACT.28.29	[Engani íni ambe arhiapka judiuechaksï níntaspti mámaru ambeksï arhijperapantani.] 
ACT.28.30	Páblu tsimani uéxurhini k'umanchekuarhu ma jarhaspti enga kuámpepka ka iámendu eroasïrempti engaksï p'urhembempka. 
ACT.28.31	Diósïri irechekueri ambe uandantasïrempti ka Acha Jesusiri ambe jurhentpesïrempti jarhamekua jinguni, ka nónema ambe arhini jarhasïrempti.
ROM.1.1	Chári sésekua jimbo Roma anapuecha, Ji Páblusïni karani jaka, Jesukristueri uandakua páriska, Diósïrini erakusti imeri ambakiti aiangperakuani uandantani jámani, 
ROM.1.2	eska na aiatspetini jápka ka engaksï imeri uandakua páricha na karantapka, 
ROM.1.3	eska Dabiri sïrukueska jimboka ísï kángorhenhaspka eska parhakpeni anapu ma na kángorhenhajka, 
ROM.1.4	ka eskajtu Diósï Uájpeska, jimboka Espiritu pímbinhasïri uinhapekua jimbo tsítanhantaska. Juchari Acha Jesukristu.
ROM.1.5	Imeri jakangurhikua jimbo jucha míndanhaska iámu parhakpeni uandantani jámani eska ima kurhajchanhaaka ka mintsikanhani. 
ROM.1.6	Ka iámendu chájtu engajtsï Roma irekani jaka, Jesukristuni jingunijtsï eranhaxaka, 
ROM.1.7	Diósïksïni erakusti ka kánekuaksïni xénhchasïndi. Juchari Diósï Táte, ka Acha Jesukristuksïni úchakuare ka sési jakuaksïni kóndeni.
ROM.1.8	Urheta Diósïni diósmaiamukua arhixaka, Jesukristuni jimbo, jimboka iápuru isï mítekorhepaxaka eskajtsï cha imani mintsikaxaka. 
ROM.1.9	Ji Diósïni jimbo uandaxaka, jimbokani ima Uájperi ambakiti aiangperakuanisïni uandantani jámka, imanisïni mintsita jinguni marhuakujka, ka exexatirini eskaksïni kómarhijpecheni jarhasïnga, 
ROM.1.10	ka eskani kurhakuni jarhasïnga, eskarini sésekua íntskuaka niranksïni p'urhembeni, 
ROM.1.11	jimbokaksïni exentskuekaxaka ka aiangunksïni úekaxaka máru espiritueri jurhengorhekuechani engajtsï jinguni uinhapentaaka, 
ROM.1.12	eska ísï jámani chájtu úaka méntkueni mintsikani ka jarhojperani.
ROM.1.13	Míte je k'óru, erachicha, eskaksïni ióni p'urhembekuekaskia, ka méntkisïrini ambe ma p'íngusti. Uéksïnga cha jinguni jarhani ka jíjtuni p'ikuarherani na engajtsï xáni újchakurakata jaka, ísï eskani máteru iretecharhu na p'ikuarheraka. 
ROM.1.14	Íni ambe aiangukuekaxaka grieguechani ka ístu iauani isï anapuechani ka k'éri jurhendichani ka no jurhendichantu ísï. 
ROM.1.15	Jimbosïni xáni ninhejchani jaka chánksïni jinguni engajtsï Roma jaka, ka pájtamaakaksïni ambakiti aiangperakua aianguntani.
ROM.1.16	Sési jimbo no k'uratsesïnga ambakiti aiangperakuani aiangpeni, jimboka Diósïri uinhapekueska, enga p'ímutantajka imechani ne enga jakajkujka, judiouechani uénani ka grieguechantu ísï, 
ROM.1.17	jimboka ísïsï xarharajka ambe enga Diósï uékajka, eska sánderu jakajkupanhaaka ísï eska karakata na arhijka: “Kaxumbiti, jakajkukua jimbosï sési irekaati.”
ROM.1.18	Diósïri ikimperata xarharastia auandarhu, eska ikiakusïnga k'uiripuni enga no p'amojkpejka ka no xénhchpeni, ka engaksï nósesi jámaparini no uéjka eska mítekorheaka ambe enga ísïka, 
ROM.1.19	jimbokaksï jánhaskatixaka ambe enga Diósïrika, Diósï xarhatakuasti. 
ROM.1.20	Nájkirukachi Diósïni no exejka, parhakpeni kueraakuarhutki uératini xarharaxati imani ambe jimbo enga xáni újka: Enga imeri uinhapekua nómeni k'amarhujka, ka enga Diósïka, jimbo, iámu parhakpeni anapuecha nóteru ambema jimbo úati ónharhini; 
ROM.1.21	ka náuejkiksï mítepkia Diósïni, nóksï k'éri ambe arhisti, ka nójtuksï diósmaiamukua arhisti, sánderuksï mímixeti jurhendi p'ikuarheraparini, iámuksï tandojtsïsti ka mintsïtaksï pájpakasï ka chérhekueni jásï ma kámsïndi, 
ROM.1.22	Xánksï jurhendi arhikorhetini, iámuksï tandonhaskasti, 
ROM.1.23	ka Diósïri pimbinhaxiti tíntskuaniksï jurajkusti, enga no terejka; ka k'uiripueni járhatiksï úkorheasti ka kuínini járhatiksï úkorheasti ka ch'anchakini jarhatiksï úkorheasti ka akuitseni jarhatiksï úkorheasti engaksï ísku terejka.
ROM.1.24	Jimbosï Diósï jurajkuaati eskaksï jurajkutakorhentaaka ísku jánhchani, ka eskaksï imani úaka ambe engaksï mintsitarhu nósesi jásï ambe tsitini jaka, ka jamberiksï jimajku úndasti p'árhperani 
ROM.1.25	ima engaksï Diósïri jurhimbitkuekuani chkuándirakua jinguni mójtakuka, ka engaksï imani ambe jakajkujka ka marhuakuni enga Diósï úka ka nóksï Diósï Kuerajpirini jakajkuni, imani enga méntkisï k'éri arhinhajka. Ka ísïsti.
ROM.1.26	Jimbosï Diósï jurajkuati eskaksï méntku k'uratsekua tsîtatini irekaaka; ka indecheri uarhitichaksï jamberi nóteru tatakaecha jingunderku p'árhperasïndia, iásïksï máteru nanakecha jinguni ísï kámperasïndia, náuejki nóteru ísïjkia. 
ROM.1.27	Ka tatakechajtuksï témbechani mirikurhiastia ka máteru tatakechanksï jinguni k'uratsekua ambe niátaxati, jandiojkuksï p'íntaxati ambe engaksï andakorhetini jaka ísïksï no kurhandirarini.
ROM.1.28	Ka jimbokaksï no jiókorheka Diósïni, Diósï jurajkuasti eskaksï eratsekua tsîtaaka ka eskaksï imani ambe niátaaka enga nómbema jimbo sésika. 
