MAT.1.1	Ɗe'e ngoni inɗe maama'en Yeesu Almasiihu lenyol Dawda, Dawda lenyol Ibraahim.
JHN.13.8	Sey Biiturus wi'i, “Aa'a! Goonga a lootantaayam koyɗe.”
JHN.13.8	Yeesu wi'imo, “To mi lootanaayima koyɗe, an naa' a tokkuɗoyam.”
JHN.13.9	Siiman Biiturus wi'imo, “Moodibbo, taa' lootu koyɗe am tan, hawtu fuu e juuɗe am e hoore am!”
JHN.13.10	Sey Yeesu wi'i, “Koo moye lootiiɗo, fuu ɓandu maako wartii lamndu. Naa' naa o fuɗɗitii o lootii hoore maako, sey ni o loota koyɗe maako. Onon boo on laaɓuɓe, ammaa naa' on fuu mooɗon.” 
JHN.13.11	Yeesu e andi kokkitirayɗomo, kanjum waɗi o wi'i, “Naa' on fuu ngoni laaɓuɓe.”
JHN.13.12	Gaɗa Yeesu lootii koyɗe maɓɓe, o ɓornii toggoore maako, o so''ii o jooɗii to o wonnoo. O wi'iɓe, “On paamii ko ngaɗanmi'on jooni? 
JHN.13.13	On noddayam moodibbo e mawɗo, e ɗum haani nde ngaɗɗon non, ngam non ngonumi. 
JHN.13.14	Jooni, nde min, mawɗo mooɗon e moodibbo mooɗon, mi lootii koyɗe mooɗon, onon maa e haani lootindiron koyɗe. 
JHN.13.15	Mi waɗanii'on ko ekkitotooɗon, ngam onon maa ngaɗanon woɓɓe non no ngaɗanmi'on.
JHN.13.16	E mi wi'a'on goonga, walaa maccuɗo ɓurɗo jeyɗomo, nden walaa lilaaɗo ɓurɗo lilɗomo.
JHN.13.17	Jooni nde on andi fuu fii ɗu'um, on barkiɗinaaɓe to on ngaɗiiɗum.
JHN.13.18	“Naa' dow mooɗon on fuu metaymi. E mi andi ɓe cuɓumi. Ammaa aayaare nde'e doole nde heewa biinde, ‘Neɗɗo mo nyamdaymi nyamndu am wartii ganyo am.’
JHN.13.19	E mi wi'a'on ɗu'um jooni ko ɗum waɗa, ngam to ɗum waɗii koolooɗon, ‘Min Woni Mo Ngonumi.’ 
JHN.13.20	E mi wi'a'on goonga, fuu jaɓuɗo koo moye mo lilumi jaɓiiyam, kadin fuu jaɓuɗoyam jaɓii on ɗon liloyɗoyam.”
JHN.13.21	Gaɗa Yeesu wi'ii non, o wanni naa' seɗɗa, sey o wi'i e njayri, “E mi wi'a'on goonga, go'oto nder mooɗon hokkitirayyam.”
JHN.13.22	Sey tokkuɓemo ndarndartiri, ɓe paamaayi dow moye maɓɓe o metata. 
JHN.13.23	Go'oto maɓɓe mo Yeesu yiɗi naa' seɗɗa e jooɗii haade Yeesu. 
JHN.13.24	Siiman Biiturus sappiimo wi'i, “Ƴamu Yeesu dow moye metata.”
JHN.13.25	Sey o ɓaddii Yeesu o wi'i, “Moodibbo, ɗum moye?”
JHN.13.26	Yeesu nootii wi'i, “Kanko woni mo kokkaymi nge'el ŋoccitel buroodi gaɗa mi suuwiingel nder tummude.” Sey Yeesu suuwi ŋoccitel buroodi nder tummude, o hokkingel Yahuuda, ɓii Siiman Iskariyooti. 
JHN.13.27	Gaɗa Yahuuda jaɓii ŋoccitel ngel, Ceyɗan natti ɓernde maako. Yeesu wi'imo, “Yawnu ngaɗaa ko ngiɗɗaa waɗuki.” 
JHN.13.28	Fuu jooɗiiɓe ɗon walaa paamuɗo ngam ɗume Yeesu wi'imo non. 
JHN.13.29	Nde Yahuuda woni desoowo ceede maɓɓe, woɓɓe nder maɓɓe nyumi Yeesu wi'umo o yaha o sooda ko ɓe kuutinirta nder humto, koo o hokka ɓe ngalanaa goɗɗum.
JHN.13.30	Gaɗa Yahuuda jaɓii buroodi ɗum, o wurtii ɗon e ɗon. E carel ngel ɗum jemma.
JHN.13.31	Gaɗa Yahuuda alii ɗon, Yeesu wi'i, “Jooni teddungal Ɓii Neɗɗo wangay, nden laawol maako teddungal Allah wangay. 
JHN.13.32	To ɗum teddinii Allah laawol maako, nden Allah e hoore muuɗum no teddinay Ɓii Neɗɗo, o teddinaymo naa' ko neeɓi. 
JHN.13.33	Ɓiɓɓe am, mi jooɗodoto e mooɗon carel seɗɗa tan. On ɗaɓɓitayyam, ammaa ko mbiinoomi ardiiɓe Yahuudanko'en, onon maa e mi wi'a'on non jooni, ‘To njahaymi, on mbaawataa yaaki.’
JHN.13.34	Jooni raa goɗɗum kesum ɗum ngiɗumi ngaɗon: ngiɗindiree. Non no ngiɗirmi'on, onon maa sey ngiɗindiron.
JHN.13.35	To on ngiɗindirii, non waɗay koo moye anda onon on tokkuɓeyam.”
JHN.13.36	Siiman Biiturus ƴami Yeesu wi'i, “Moodibbo, toye njahataa?” Yeesu wi'imo, “To njahaymi, a waawataa tokkukiyam jooni, ammaa yeeso ɗo'o a tokkayyam.”
JHN.13.37	Biiturus wi'imo, “Moodibbo, ko haɗata mi tokkumaa jooni? E mi siryii mi maaya ngam maaɗa.”
JHN.13.38	Yeesu nootii, wi'i, “A siryii maaya ngam am? E mi wi'umaa goonga, ko njakardi hana, a wi'ay a andaayam nde tati.”
JHN.14.1	Yeesu wi'iɓe, “To' on ngannu nder ɓerɗe mooɗon, koolee Allah, kooleeyam. 
JHN.14.2	Nder wuro Nyaako am Mo Dow e woodi cuuɗi ɗuɗɗi. Daa naa' ɗum non, daa mi wi'ay'onka. Mi yahay ton mi siryanoo'on to njooɗotooɗon. 
JHN.14.3	To mi yahii, mi siryanake'on to njooɗotooɗon, mi so''oyto, mi hocca'on mi yaara'on to am, ngam onon maa njooɗooɗon to ngonmi. 
JHN.14.4	On andi laawol jahayngol wigeere nde njahaymi.”
JHN.14.5	Sey Tooma wi'imo, “Moodibbo, min andaa to njahataa, no min andirta laawol ngol?”
JHN.14.6	Yeesu wi'imo, “Min woni laawol, min woni goonga, min woni yonki. Walaa jahayɗo to Nyaako Mo Dow sey to tokkiiyam.” 
JHN.14.7	O wi'iɓe, “Daa on andiyam, daa on andi Nyaako am Mo Dow maa. Daga jooni on andimo on ngi'iimo.”
JHN.14.8	Filibus wi'imo, “Moodibbo, hollumin Nyaako Mo Dow on, non heƴiimin.”
JHN.14.9	Yeesu nootii wi'i, “Filibus, ko neeɓi e mi wondi e mooɗon, ammaa fuu e non a andaayam? Koo moye giiɗoyam yi'ii Nyaako Mo Dow. Ngam ɗume mbi'ataa mi holla'on Nyaako Mo Dow? 
JHN.14.10	Filibus, a hoolaaki e mi nder Nyaako on, nden Nyaako on e nder am? Ko mbiimi'on naa' boliiɗe ɗe hoore am mbiimi'on, ammaa Nyaako Mo Dow, gonɗo nder am, kanum huwata kuuɗe muuɗum. 
JHN.14.11	Njaɓee ko mbiimi nde mbiimi e mi nder Nyaako Mo Dow, kanko maa e mo nder am. To on koolaaki ko mbiimi, kooleeyam ngam kuuɗe ɗe ngaɗumi. 
JHN.14.12	E mi wi'a'on goonga, koo moye kooliiɗoyam huway kuuɗe ɗe kuwumi, haa maa o huwa kuuɗe ɓurɗe ɗe kuwumi, ngam mi yahay to Nyaako Mo Dow. 
JHN.14.13	Mi waɗay koo ɗume ɗum toriiɗon nder inde am, ngam ɗum yi'a mangu Nyaako Mo Dow barka Ɓiɗɗo on. 
JHN.14.14	To on torakeyam koo ɗume nder inde am, mi waɗayɗum.
JHN.14.15	“To on ngiɗiyam, on ngaɗay ko mbiimi ngaɗon. 
JHN.14.16	Mi toroto Nyaako Mo Dow, nden o hokkay'on goɗɗum Ballayɗum, jooɗodotooɗum e mooɗon haa abadaa. 
JHN.14.17	Kanko woni Ruuhu kollayɗum goonga. Yimɓe duuniyaaru ndu'u njaɓataaɗum, ngam ɓe ngi'ataaɗum, ɓe andaaɗum. Ammaa onon on andiɗum ngam e ɗum wondi e mooɗon, nden ɗum jooɗoto nder mooɗon.
JHN.14.18	“To mi dillii, mi alataa'on bo maraaya'en. Mi so''oyto to mooɗon. 
JHN.14.19	Yeeso ɗo'o seɗɗa, duuniyaaru ndu'u fuɗɗitataa yi'ayam, ammaa onon on ngi'ayyam. Ngam e mi woodi yonki, onon maa on keɓay yonki. 
JHN.14.20	E nden ɗon nyalnde on anday e mi nder Nyaako am, nden onon boo on nder am, min maa e mi nder mooɗon.
JHN.14.21	“Koo moye jogiiɗo ko mbiimi ɗum waɗa tokkiɗum, kanko woni giɗɗoyam. Fuu giɗɗoyam Nyaako am yiɗaymo, nden min maa mi yiɗaymo mi wanginanaamo hoore am.” 
JHN.14.22	Sey Yahuuda (naa' Yahuuda Iskariyooti) ƴamimo, wi'i, “Moodibbo, ko waɗi cuɓuɗaa wanginankimin hoore maaɗa naa' yimɓe duuniyaaru?”
JHN.14.23	Yeesu wi'i, “Fuu giɗɗoyam tokkay ekkitinol am. Nyaako am boo yiɗaymo, nden min e Nyaako am min ngaray to maako min jooɗodoo e maako. 
JHN.14.24	Koo moye mo yiɗaayam boo tokkataa ekkitinol am. Ekkitinol ngol nanɗon, naa' ɗum ngol am, ɗum ngol Nyaako Mo Dow liloyɗoyam.
JHN.14.25	“Mi wi'u'on fuu ɗu'um jooni nde ngondumi e mooɗon. 
JHN.14.26	Ammaa e woodi Ballayɗum, waato Ruuhu Allah ɗum Nyaako Mo Dow liloyta nder inde am. Ɗum ekkitinay'on koo ɗume, ɗum siftoranay'on fuu ko mbiimi'on.
JHN.14.27	“Jam woni ko aldumi'on, jam am kokkumi'on. Mi hokkii'onɗum naa' no yimɓe duuniyaaru kokkirta. To' on alu ɓerɗe mooɗon nganna, to' on kulu. 
JHN.14.28	On nanii e mi wi'a, ‘Mi dillay, ammaa mi wartoyay to mooɗon.’ To on ngiɗiyam, on nanay belɗum mi yahay to Nyaako Mo Dow, ngam o ɓuriiyam mangu. 
JHN.14.29	Mi wi'u'onka jooni ko ɗum waɗa, ngam to ɗum waɗii njaɓon ko mbiimi. 
JHN.14.30	Mi neeɓataa e mi medda e mooɗon, ngam laamiiɗo duuniyaaru ndu'u e wara. O walaa bawɗe dow am. 
JHN.14.31	Ammaa doole yimɓe duuniyaaru ndu'u anda e mi yiɗi Nyaako Mo Dow, kadin e mi waɗa koo ɗume ko o wi'iyam mi waɗa. Ummee ndillen, alen wigeere nde'e.”
JHN.15.1	“Min woni layol inabohi goongawol, nden Nyaako am woni paamanayɗongol. 
JHN.15.2	O ittay koo ngale lisal am ngal rimataa, nden o mo''inay koo ngale lisal dimoowal, ngam ngal ɓeyda rimuki. 
JHN.15.3	Wolde nde metanmi'on yaadake wartirii'on laɓɓe. 
JHN.15.4	Njooɗee on njokkootiri e am, nden min maa mi jooɗoto e mi jokkootiri e mooɗon. Lisal waawataa rima kanum tan, sey to ngal jokkootirii e layol. Non onon maa on mbaawataa ngaɗon goɗɗum ɗum Allah yiɗi sey to on njokkootirii e am.
JHN.15.5	“Min woni layol inabohi, onon ngoni lice maagol. Koo moye jooɗiiɗo e jokkootiri e am, min maa e mi jokkootiri e maako, o wartay bo lisal dimayngal ɓikkoy ɗuɗkoy. Ngam to naa' on kawtu e am, on mbaawataa ngaɗon goɗɗum. 
JHN.15.6	Fuu neɗɗo mo jokkotiraayi e am, e mo nandi e lisal pe''itaangal yoori. Iri ngal ɗon lisal e ngal hoccee ngal hubinee nder hiite ngal wula. 
JHN.15.7	To on njokkootirii e am nden boliiɗe am e njokkootiri e mooɗon, toree koo ɗume ɗum ngiɗɗon, ɗum hokkay'onɗum. 
JHN.15.8	Ko teddinta Nyaako am woni ngaɗon ko o yiɗi nde ɗuɗɗum. Kanjum hollata on tokkuɓeyam. 
JHN.15.9	Non no Nyaako Mo Dow yiɗiriyam, non min maa e mi yiɗi'on. Njooɗee nder yidde am. 
JHN.15.10	To on ngaɗii ko mbiimi ɗum waɗa, on njooɗoto nder yidde am, non no ngaɗirmi ko Nyaako am Mo Dow wi'i ɗum waɗa njooɗiimi nder yidde maako.
JHN.15.11	“Mi wi'u'on ɗu'um ngam nanon belɗum nder ɓerɗe mooɗon iri ɗum am, nden belɗum ɗum warta kewɗum. 
JHN.15.12	Ko nginmi ngaɗon woni ngiɗindiron non no ngiɗirmi'on.
JHN.15.13	Walaa yidde ɓurnde nde'e, waato neɗɗo hokka yonki muuɗum ngam higooɓe muuɗum. 
JHN.15.14	Onon ngoni higooɓe am to on ngaɗii ko mbiimi ɗum waɗa. 
JHN.15.15	Mi fuɗɗitataa mi noddira'on maccuɓe, ngam maccuɗo andaa ko jeyɗomo waɗata. Ammaa mi noddii'on higooɓe, ngam mi andinii'on koo ɗume ɗum nanmi to Nyaako am. 
JHN.15.16	Naa' onon cuɓiyam, min suɓi'on hokki'on kuugal njahon ngaɗon goɗɗum ɗum Allah yiɗi tabitayɗum. Nden Nyaako Mo Dow hokkay'on koo ɗume ɗum toriiɗonmo nder inde am. 
JHN.15.17	Ko mbiimi ngaɗon woni, ngiɗindiree.
JHN.15.18	“To yimɓe duuniyaaru nganyii'on, andee min ɓe arti wanyuki. 
JHN.15.19	Daa duuniyaaru ndu'u jeyi'on, daa ndu yiɗay'on no ndu yiɗiri ɓe mayru. Ammaa mi suɓii'on daga nder duuniyaaru, ngam onon naa' ɗum ɓe duuniyaaru. Kanjum waɗi yimɓe mayru nganyi'on. 
JHN.15.20	Nyumee ko mbiinoomi'on, ‘Walaa maccuɗo ɓurɗo jeyɗomo.’ To yimɓe duuniyaaru torriiyam, onon maa ɓe torray'on. To ɓe tokkii ekkitinol am, onon maa ɓe tokkay ekkitinol mooɗon.
JHN.15.21	Ammaa ɓe ngaɗanay'on fuu fii ɗu'um ngam onon ɗum ɓe am, ngam ɓe andaa on ɗon liloyɗoyam. 
JHN.15.22	Daa mi waraayi metanmiɓe, daa ɓe ngalaa hakke. Ammaa jooni ɓe ngalaa ko ɓe mbi'ata ngam hakke maɓɓe. 
JHN.15.23	Koo moye ganyuɗoyam wanyii Nyaako am maa. 
JHN.15.24	Daa mi waɗaayino kuuɗe ɗe goɗɗo meeɗaayi waɗuki nder maɓɓe, daa ɓe ngalaa hakke. Ammaa jooni ɓe ngi'ii kuuɗe kayɗiniiɗe ɗe'e, fuu e non ɓe nganyiiyam min e Nyaako am Mo Dow. 
JHN.15.25	Ɗu'um ɗum waɗu ngam ɗum hebbina ko windaa nder Attawra maɓɓe, ‘Ɓe nganyiiyam walaa daliila.’
JHN.15.26	“Ballayɗum waray, waato Ruuhu Allah kollayɗum goonga, ɗum liloyaymi daga to Nyaako Mo Dow. To ɗum warii, ɗum hokkay ceyda dow am. 
JHN.15.27	Onon maa doole kokkon ceyda dow am ngam on ngondi e am daga arande.
JHN.16.1	“Mi wi'u fuu ɗu'um ngam to' alon hoolaakiyam. 
JHN.16.2	Ɗum riiway'on daga nder lenyol. Goonga, carel e wara ngel koo moye barɗo'on nyumay Allah huwanta. 
JHN.16.3	Yimɓe ngaɗanay'on non ngam ɓe andaa Nyaako Mo Dow, ɓe andaayam. 
JHN.16.4	Ammaa mi wi'u'onka ngam to carel ngel waɗii ciftoron ko mbiimi'on. Mi wi'aayi'onka daga arande ngam e mi wondi e mooɗon.
JHN.16.5	“Jooni mi so''oto to on ɗon liloyɗoyam, fuu e non nder mooɗon walaa ƴamuɗoyam to njahaymi. 
JHN.16.6	Jooni ɓerɗe mooɗon ngannii ngam mi wi'ii'on fuu fii ɗu'um. 
JHN.16.7	Ammaa e mi wi'a'on goonga, ngam ɓeydaari mooɗon ndillaymi. Ngam to mi dillaayi, ɗum ɗon Ballayɗum
JHN.16.8	To ɗum waroyii, ɗum hollay yimɓe duuniyaaru ɓe paamaayi boɗɗum ko woni hakke, e aadilaaku Allah, e kiita maako. 
JHN.16.9	Ɓe paamaayi ko woni hakke, ngam ɓe koolaakiyam. 
JHN.16.10	Ɓe paamaayi ko woni aadilaaku, ngam mi so''oto to Nyaako Mo Dow, nden on puɗɗitataa ngi'onyam. 
JHN.16.11	Ɓe paamaayi ko woni kiita Allah, ngam laamiiɗo duuniyaaru ndu'u yaadake taƴanaama kiita.
JHN.16.12	“E mi woodi fii ɗuɗɗum ɗum ngiɗumi wiiki'on, ammaa jooni ɗum teddanay'on. 
JHN.16.13	Ammaa carel ngel Ruuhu Allah kollayɗum goonga warii, ɗum andinay'on goonga fuu. Ɗum metataa boliiɗe ɗe hoore maajum, ko ɗum nani tan ɗum metata, nden ɗum wi'ay'on ko waɗata yeeso. 
JHN.16.14	Ruuhu ɗum hoccay ko mbiimi ɗum wi'a'onka, non ɗum hollirta teddungal am. 
JHN.16.15	Fuu ko Nyaako Mo Dow woodi, min jeyiɗum. Kanjum waɗi mbiimi Ruuhu maako hoccay ko mbiimi ɗum wi'a'onka.
JHN.16.16	“Yeeso ɗo'o seɗɗa on ngi'ataayam, nden gaɗa carel seɗɗa on ngi'ayyam.”
JHN.16.17	Woɓɓe nder tokkuɓemo ngaɗi ka ƴamƴamtirki e ɓe mbi'a, “Ko o yiɗi wiiki nde o wi'i'en yeeso ɗo'o seɗɗa en ngi'ataamo, nden gaɗa carel seɗɗa en ngi'aymo? Kadin o wi'i ngam o yahay to Nyaako Mo Dow.” 
JHN.16.18	Ɓe mbi'i, “Ko o yiɗi wiiki nde o wi'i, ‘carel seɗɗa?’ En andaa ko o yiɗi wiiki.”
JHN.16.19	Yeesu e andi e ɓe ngiɗi ɓe ƴamamo dow maajum, ngam non o wi'iɓe, “On medda hakkunde mooɗon dow ma'ana ko mbiimi nde mbiimi, ‘Yeeso ɗo'o on ngi'ataayam, nden gaɗa carel seɗɗa on ngi'ayyam?’ 
JHN.16.20	E mi wi'a'on goonga, on mboyay, on ngannay, ammaa yimɓe duuniyaaru mbelmbeltay. On nanay nawɗum ɓernde, ammaa nawɗum ɓernde nden wartay belɗum ɓernde. 
JHN.16.21	Carel ngel debbo danyata o nanay nawɗum, ngam carel yarki bone maako warii. Ammaa to o danyii ɓingel maako, o yejjitay torra ka o yari, ngam nanki belɗum ɓingel danyaama nder duuniyaaru. 
JHN.16.22	Non ɗum woni to mooɗon. Jooni ɗum carel ngel nanoton nawɗum ɓernde, ammaa mi fuɗɗitay mi yi'a'on, nden on mbelmbeltay. Walaa baawayɗo ittana'on belɗum ɓernde.
JHN.16.23	“E nden ɗon nyalnde, on torataakoyam goɗɗum. E mi wi'a'on goonga, koo ɗume ɗum toriiɗon Nyaako Mo Dow nder inde am, o hokkay'onɗum. 
JHN.16.24	Haa jooni on toraaki goɗɗum nder inde am. Toree on keɓay, ngam welwelo mooɗon heewa.
JHN.16.25	“Mi huutirii misaalu mi wi'ii'on fuu ɗu'um. Ammaa carel e wara ngel mi metirantaa'on misaalu, ammaa mi metanay'on e njayri dow Nyaako Mo Dow. 
JHN.16.26	E nden ɗon nyalnde on toroto nder inde am. Mi wi'aayi'on mi torotomo ngam mooɗon. 
JHN.16.27	Ngam Nyaako Mo Dow kanko e hoore maako e mo yiɗi'on. E mo yiɗi'on ngam on ngiɗiyam, nden on koolake daga to maako ƴiwoymi. 
JHN.16.28	Mi ƴiwoyii to maako mi wari duuniyaaru, nden jooni mi alay duuniyaaru mi ƴeeŋay to maako.”
JHN.16.29	Sey tokkuɓe Yeesu mbi'imo, “Jooni a meta e njayri a huutirtaa misaalu. 
JHN.16.30	Jooni e min andi a andi koo ɗume, naa' naa goɗɗo ƴamiima ƴamɗe. Ɗu'um waɗii min njaɓi daga to Allah ƴiwoyɗaa.”
JHN.16.31	Yeesu wi'iɓe, “Jooni on koolakeyam? 
JHN.16.32	Carel e wara ngel yaadake ngel wari ngel ɗum sankitata'on, koo moye so''oo wuro muuɗum. On alayyam min tan. Ammaa naa' ɗum min tan, ngam Nyaako Mo Dow e wondi e am. 
JHN.16.33	Mi wi'u'on ɗu'um ngam keɓon belɗum ɓernde barka sumpootirki e am. Nder duuniyaaru ndu'u on njaray torra. Ammaa to' on ngannu, mi heɓii jaalorgal dow duuniyaaru.”
JHN.17.1	Gaɗa Yeesu yottinii wiiki boliiɗe ɗe'e, o raari dow o wi'i, “Nyaako am, carel warii. Mawnin Ɓiɗɗo maaɗa, ngam Ɓiɗɗo maaɗa teddiniima. 
JHN.17.2	Ngam a hokkiimo laamu dow yimɓe fuu, ngam o hokka fuu ɓe kokkuɗaamo yonki ki re'ataa. 
JHN.17.3	Yonki ki re'ataa woni ɓe andumaa, an tan woni Allah goongaajo, nden ɓe anda Yeesu Almasiihu mo liloyɗaa. 
JHN.17.4	Mi teddiniima nder duuniyaaru, mi yottinii kuugal ngal kokkuɗaayam. 
JHN.17.5	Nyaako am, jooni teddinam yeeso maaɗa teddungal ngal ngoodunoomi yeeso maaɗa ko duuniyaaru tagee.
JHN.17.6	“Mi andinii habaru maaɗa to ɓen ɗon ɓe kokkuɗaayam daga nder duuniyaaru. An jeyiɓe, nden a hokkiiyamɓe, kadin e ɓe tokki wolde maaɗa. 
JHN.17.7	Jooni e ɓe andi koo ɗume ɗum kokkuɗaayam to maaɗa ɗum ƴiwoyi. 
JHN.17.8	Mi wi'iiɓe boliiɗe ɗe mbiiɗaayam, ɓe boo njaɓiiɗe. Ɓe andii ɗum goonga to maaɗa ƴiwoymi, nden ɓe koolake an liloyiyam.
JHN.17.9	“E mi waɗanaɓe do'aare. Naa' yimɓe duuniyaaru ngaɗanaymi do'aare, ammaa ɓen ɗon ɓe kokkuɗaayam, ngam an jeyiɓe. 
JHN.17.10	Fuu ɓe ngoodumi an jeyiɓe, nden fuu ɓe ngooduɗaa min jeyiɓe, nden mi teddinaama barka maɓɓe. 
JHN.17.11	Jooni naa' ko neeɓi mi alay duuniyaaru mi waroya to maaɗa, ammaa kamɓe e ɓe nder duuniyaaru. Nyaako am Ceniiɗo, surirɓe bawɗe inde maaɗa, inde nde kokkuɗaayam, ngam ɓe ngarta go'o non no an e min en go'o. 
JHN.17.12	Ko ngondunoomi e maɓɓe mi suririiɓe bawɗe inde maaɗa, inde nde kokkuɗaayam. Mi reeniiɓe, walaa koo go'oto maɓɓe majjuɗo, sey ni neɗɗo kalkateeɗo ngam ko aayaare wi'i heewa.
JHN.17.13	Jooni e mi waroya to maaɗa. Mi wi'u fuu ɗu'um carel nge'el ngel ngonmi nder duuniyaaru ngam ɓe nana iri belɗum ɓernde ɗum nanaymi ɓe nana ɗum kewɗum. 
JHN.17.14	Mi wi'iiɓe wolde maaɗa. Duuniyaaru wanyiiɓe, ngam naa' duuniyaaru jeyiɓe, non no min maa naa' duuniyaaru jeyiyam. 
JHN.17.15	Naa' e mi toromaa ngam ittaaɓe nder duuniyaaru, ammaa e mi toromaa ngam curaaɓe daga on ɗon Kalluɗo. 
JHN.17.16	Duuniyaaru jeyaayiɓe non no min maa duuniyaaru jeyaayiyam. 
JHN.17.17	Wartirɓe yimɓe maaɗa laawol goonga maaɗa. Wolde maaɗa woni goonga. 
JHN.17.18	Non no liliroyɗaayam nder duuniyaaru, min maa mi liliiɓe nder duuniyaaru. 
JHN.17.19	Mi hokkiima hoore am ngam maɓɓe, ngam kamɓe maa ɓe kokkumaa ko'e maɓɓe e goonga.
JHN.17.20	“Naa' kamɓe tan ngaɗanaymi do'aare, ammaa fuu e ɓen ɗon koolotooɓeyam laawol wa'aju maɓɓe. 
JHN.17.21	E mi waɗa do'aare ɓe fuu maɓɓe ɓe ngarta go'o. Nyaako am e mi toromaa, ɓe keɓa ɓe cumpootira e meeɗen non no cumpootirten, ngam duuniyaaru jaɓa an liloyiyam. 
JHN.17.22	Mi hokkiiɓe teddungal iri ngal kokkuɗaayam, ngam ɓe ngarta go'o, non no min e an en go'o. 
JHN.17.23	E mi sumpootira e maɓɓe nden en cumpootira ngam ɓe ngarta go'o nder koo ɗume, ngam duuniyaaru anda an liliyam, kadin a yiɗiɓe non no ngiɗirɗaayam.
JHN.17.24	“Yaa Nyaako am Mo Dow, e mi yiɗi ɓen ɗon ɓe kokkuɗaayam ɓe ngonda e am to ngonmi, ɓe ngi'a teddungal am, teddungal ngal kokkuɗaayam ngam a yiɗiyam ko duuniyaaru tagee. 
JHN.17.25	Yaa Nyaako am aadiliijo, yimɓe duuniyaaru andaama, ammaa min e mi andumaa, nden e ɓe andi an liloyiyam. 
JHN.17.26	Mi andiniiɓe habaru maaɗa, nden mi nyamray yeeso e andinki habaru maaɗa, ngam yidde nde kollataayam jooɗoo nder ɓerɗe maɓɓe, nden min e hoore am mi sumpootira e maɓɓe.”
JHN.18.1	Gaɗa Yeesu yottinii nde'e do'aare, o dillidi e tokkuɓemo ɓe kuuli Luggere Kidiron. Ɓe njahi wonde wigeere goodunde ngesa leɗɗe jaytun, ɓe natti nder leɗɗe ɗen. 
JHN.18.2	Too, Yahuuda kokkitirayɗo Yeesu e andi wigeere nden, ngam nde ɗuɗɗum Yeesu e hawra e tokkuɓemo ton. 
JHN.18.3	Sey Yahuuda yahi ngesa kan e ardii kawtal sooji'en Rooma, e woɓɓe taadiiɓe Wuro Ceniingo ɓe mawɓe ardiiɓe diina e Faarisanko'en lili. E ɓe njogii fitilaaji, e jame hiite, e ko ɗum honirta. 
JHN.18.4	Yeesu nde e andi fuu ko heɓatamo, o darii yeeso maɓɓe o ƴamiɓe, o wi'i, “Ɗum moye ɗaɓɓitoton?”
JHN.18.5	Ɓe mbi'i, “Yeesu Najarankeejo.”
JHN.18.5	O wi'iɓe, “Ɗum min.”
JHN.18.5	Yahuuda kokkitirayɗomo boo e darodii e maɓɓe. 
JHN.18.6	Nde Yeesu wi'iɓe, “Ɗum min,” ɓe co''orii gaɗa ɓe njani e leydi. 
JHN.18.7	Sey Yeesu fuɗɗiti ƴamiɓe wi'i, “Moye ɗaɓɓitoton?”
JHN.18.7	Ɓe mbi'i, “Yeesu Najarankeejo.”
JHN.18.8	O wi'iɓe, “Mi yaadake mi wi'ii'on ɗum min. To ni min ɗaɓɓitoton, alee yimɓe ɓe'e ndilla.” 
JHN.18.9	O wi'u non ngam ko o wi'uno heewa, “Mi dullaayi koo go'oto nder ɓen ɗon ɓe kokkuɗaayam.”
JHN.18.10	Siiman Biiturus e woodi kaafahi, sey soltiki fe''i maccuɗo Mawɗo Mawɓe Ardiiɓe Diina ittanimo nowru nyaamo. Inde maccuɗo on Malkus. 
JHN.18.11	Sey Yeesu wi'i Biiturus, “Wattu kaafahi maaɗa nder holgo maaki. A nyuma mi yarataa jardugel torra ka Nyaako am hokkatayam?”
JHN.18.12	Sey sooji'en Rooma e ardiiɗoɓe e taadiiɓe Wuro Ceniingo nangi Yeesu, ɓe kaɓɓimo. 
JHN.18.13	Arande ɓe njaarimo to Hanaana esiraawo Kayaafa. Kayaafa on woni Mawɗo Mawɓe Ardiiɓe Diina e ɗun ɗon ndungu. 
JHN.18.14	Kanko woni kokkuɗo ardiiɓe Yahuudanko'en caawori wiiki, ɗum ɓurii neɗɗo go'oto maaya ngam koo moye.
JHN.18.15	Siiman Biiturus e goɗɗo tokkuɗo Yeesu ɓe tokki Yeesu. Nde on ɗon tokkuɗo Yeesu go'oto on Mawɗo Mawɓe Ardiiɓe Diina e andimo, sey o yaadi e Yeesu to njayri wuro Mawɗo Mawɓe Ardiiɓe Diina on. 
JHN.18.16	Ammaa Biiturus darii yaasi to dammugal wuro ngon. Sey on ɗon tokkuɗo Yeesu mo Mawɗo Mawɓe Ardiiɓe Diina andi, o wurtii yaasi, o metani debbo paamanoowo dammugal ngal, o nattini Biiturus. 
JHN.18.17	Sey debbo paamanoowo dammugal on wi'i Biiturus, “An, naa' a go'oto nder tokkuɓe on ɗon neɗɗo?”
JHN.18.17	Biiturus wi'i, “Koo seɗɗa, naa' mi tokkuɗomo.”
JHN.18.18	E carel ngel e woodi peewol, ngam non maccuɓe e taadiiɓe Wuro Ceniingo kuɓɓi hiite, e ɓe piliinge, e ɓe irfoo. Sey Biiturus kanum maa ɓaddii darii nder maɓɓe e irfoo.
JHN.18.19	Sey Mawɗo Mawɓe Ardiiɓe Diina ƴami Yeesu dow tokkuɓemo e dow ekkitinol maako. 
