GEN.1.1	Owakira itanta-nakari iwitsikan-taitzi, iriitakira Pawa owitsika-kirori inkiti aajatzi kipatsi. 
MAT.27.11	Ariitaka Jesús isaiki jiwari wirakocha, isampita-wakiri, ikantziri: “¿Awiroka iwinkathariti Judá-iti?” Yakanaki Jesús, ikantzi: “Irootaki pikantakiri awiroka.” 
MAT.27.12	Ikanta ijiwari-piroti Ompira-tasorintsitaari aajatzi Antari-kona-payi, oshiki ithaiya-kowita-paakari Jesús. Ti yakamaityaa irirori. 
MAT.27.13	Ikantzi Pilato: “¿Tima pinkimi okaratzi ikantakoi-tzimiri?” 
MAT.27.14	Irojatzi imairitaki, ti yaki. Oshiki okantzimosiryaa-nakiri Pilato yoka Jesús.
MAT.27.15	Tzimatsi yamita-piintari ijiwariti wirakocha: Maaroni osarintsi aririka yoimosirinkyaa Judá-iti, imisitowa-kaantziri yasitakoi-tziri ishininka itzimi-rika inintajiitakiri irirori. 
MAT.27.16	Tzimatsi aparoni Judá-iti yaakaan-taitziri ipaita Barrabás, ikimakoitani inatzii yoka yantakiro kowiinkata-tsiri. 
MAT.27.17	Ikanta yapatojiitaka atziri, isampitantaki Pilato, ikantzi: “¿Ninkama pinintziri nomisitowa-kaantiri? ¿Iriima Barrabás? ¿Iriima pinintziri Jesús ipaitai-tziri Saipatzii-totaari?” 
MAT.27.18	Iyotzi Pilato isamaitari Jesús, irootaki yaakaan-taitan-tariri. 
MAT.27.19	Tima otyaankaki inkaaranki iina Pilato kamantirini, ikantakiri: “Airo pantawinthatziri awiroka kamiithasiriri. Tima oshiki imisimpyaakina tsitiniri, antaro omintharowa-siryaakina.” 
MAT.27.20	Iro kantacha yokapayi ijiwari-piroti Ompira-tasorintsitaari aajatzi antari-kona-payi, itsimaakiri piyotain-chari atziri, ikantziri: “Irootaki kamiithatatsi imisitowaitiri Barrabás, iriima Jesús iwamaitiri.” 
MAT.27.21	Yapiita-nakiro jiwari wirakocha isampitantzi: “¿Ninkama pinintziri nomisitowa-kaantajiri?” Ikantajiitzi maaroni: “¡Iriitaki Barrabás!” 
MAT.27.22	Ikantzi Pilato: “¿Tsikama nonkanti-rika Jesús ipaitai-tziri Saipatzii-totaari?” Ikantajiitzi atziri: “¡Pipaika-kota-kaantiri!” 
MAT.27.23	Ari ikantzi ijiwari wirakocha: “¿Tzimatsima kaari-pirori yantakiri?” Aikiro isintsitatzii ikaimajiitzi atziri, ikantzi: “¡Pipaikakota-kaantiri!”
MAT.27.24	Ari iyotanaki Pilato ampinaasi-waita isampitziri, tima omapiro ikatsima-jiitaki atziri. Ikaimakaantaki nijaa, iñiitakiri maaroni ikiwaakotanaka, ikantzi: “Tira naaka kanta-sityaaroni iwamaitakiri-rika kamiithasiriri. Awiroka kanta-sityaaroni.” 
MAT.27.25	Ikantajiitzi atziri piyotain-chari: “Irootaki nokowajiitziri, naaka yookoiti ipaita-rika awisain-tsini, imaitajiri aajatzi inkarati noncharini-yitajyaari, yookoitairi irirori.” 
MAT.27.26	Ari imisitowa-kaantai-takiri Barrabás. Iriima Jesús ipasata-kaanta-nakiri, imishakowintakiri ipaikakoitiri.
MAT.27.27	Ikanta owayiri-payi, ikyaakaa-nakiri Jesús iwayiri-pankotiki. Ari yapatowinta-kariri. 
MAT.27.28	Isapokai-tapaakiri Jesús, ikithaatan-takari kityonka-masita-tsiri osiyarori ikithaata-piintari pinkathari-yitatsiri. 
MAT.27.29	Yamathaitan-takari kitoochii-tapo, yairika-kaakiri irako-piroki saworo-karaki. Ityiirowasi-tzimaitari ithainka-mawaitziri, ikantajiitzi: “¡Apinkathatziri iwinkathariti Judá-iti!” 
MAT.27.30	Oshiki ichoonta-poro-waitakiri, iposaina-waitantari saworo-karakiki. 
MAT.27.31	Ikanta ikaratakiro isironta-winta-waitari. Isapokainiri ikithaata-kiriri inkaaranki, ikithaatainiri iithaari, yaanakiri ipaika-kotiri.
MAT.27.32	Ikanta ijajiitanaki, imonthaakari Simón poñaachari Cirene, ikanta-nakiri yanatiro ipaikakoi-tantyaariri Jesús. 
MAT.27.33	Irojatzi yariitan-takari tonkaariki ipaitai-tziro Atzirii-toni. 
MAT.27.34	Ari ipakoitakiri Jesús kachori ikonowai-takiro iyipitintsi, ikanta ithotawakiro kapichiini, ti iriro. 
MAT.27.35	Ikanta ipaikakoi-takiri. Yaakiro owayiri-payi iithaatari Jesús, yooki-mota-wakai-yitakaro, ikimita-kaantakiro iñaary-taita iyotantyaari itzimi ayironi. Ari omonkaratari ikinkithatakiri pairani Kamantan-tzinkari, ikantaki:
MAT.27.35	Ipawakaakaro nomanthaki.
MAT.27.35	Iñaariwintakaro iyotantyaari itzimi-rika ayironi.
MAT.27.36	Ari isaikajiitaki yaminako-wintziri. 
MAT.27.37	Isankinaitaki ipaikakoi-tanta-kariri, okantzi: YOKA JESÚS, IRIITAKI IWINKATHARITI JUDÁ-ITI. Intsirika-koita-kiniri jiñokiini ipatziinaki. 
MAT.27.38	Itsipatai-takiri apiti kosintzi ipaikakoi-tziri, iwatzika-koitaki irako-piroki, pasini yampatiki. 
MAT.27.39	Ithainka-mawaitakiri ikaratzi awisayita-tsiri anta, itikai-nata. 
MAT.27.40	Ikantai-tziri: “Awiroka porokironi tasorintsi-panko, iro awisaki mawa kitaitiri piwitsikairo. Awirokami Itomi Pawa piwawisaa-kotajyaa. ¿Paitama kaari payiitanta ipaikakoi-takimi?” 
MAT.27.41	Ari imatzitakaro ijiwari-piroriti Ompira-tasorintsitaari, Yomitaan-taniri-payi, Nasitantaniri-payi, aajatzi antari-kona-payi, ikantajiitzi: 
MAT.27.42	“Iwawisaa-kotziri pasini, ¿kaari imatantaro iwawisaa-kotajyaa irirori iriimi iwinkathariti Israel-iiti? Ari iwawisaa-kota-jyaami ipaikakoi-takiri, aritaki ankimisanta-kirimi 
MAT.27.43	Yawintaari Pawa, intsityaa añiiri omapiro-rika itakotari ari iwawisaa-kotajiri. Tima inkanta-piintzi: ‘Naaka Itomi Pawa.’ ” 
MAT.27.44	Ari imatzitakaro kosintzi itsipatakari ipaika-kota, ithainkima-waitakiri.
MAT.27.45	Ikanta itampatzikata-paaki ooryaatsiri, omapoka-sitanaka otsitinitanaki, irojatzi osihityaan-tanaka. 
MAT.27.46	Ari ikaimanaki Jesús sintsiini, ikantanaki: “¡Elí! ¡Elí! ¿Lama sabactani?” (Iro akantziri añaaniki aroka: “¡Pawá! ¡Pawá! ¿Paitama pookan-tanakanari?”) 
MAT.27.47	Ikanta saikawinta-kiriri, ikimawakiri ikaimanaki, ikantajiitzi: “Pinkimiri, ikaimatziiri Elías.” 
MAT.27.48	Isiya-painta, imitzitziya-paintzi manthakintsi kipishaariki, yankowii-takiniri saworo-pankiki, iwaan-kakota-kiniri yatsimiyaata-wakiro. 
MAT.27.49	Ikantajiitzi pasini: “¡Piwashaantiri! Añaawakiri ari impokaki Elías yookakaa-wintairi.” 
MAT.27.50	Yapiita-nakiro Jesús ikaimanaki sintsiini, pyaakotanaka.
MAT.27.51	Okanta tasorintsi-pankoki, saraanaki niyaankiki ithatasii-tzirori, apimanki okantanaka, itanakaro jinoki irojatzi osaawiki. Antaroiti onikanaka kotaayitanaki mapi. 
MAT.27.52	Ithonka iporoka-kotanaki kaminkari, oshiki añaajatsi kamiithasiriri kamawitain-chari. 
MAT.27.53	Tima yañaajira pairani Jesús, ikaratzi añaajatsiri isitowa-najiro omoroki jatayitaji nampitsiki tasorin-tsita-tsiri, oshiki atziri iñaakayitaari. 
MAT.27.54	Ikanta ijiwari owayiriiti aajatzi ikaratzi ikatziya-wintari Jesús, iñaakiro onikaro, iñaakiro okaratzi awisain-tsiri, antaroiti itharowanaki, ikantanaki: “¿Omapiro-witatyaama Itomitari Pawa yoka?”
MAT.27.55	Amina-kotakiri anta oshiki kooya. Irootaki poñainchari Tapowiniki oyaatziri Jesús, oshiki amitakota-piintakiri. 
MAT.27.56	Iroka okarajiitzi: María Pankothanthaari-sato, María iriniro Jacobo aajatzi José, aritaki osaikakiri aajatzi iriniro itomi-payi Zebedeo.
MAT.27.57	Okanta otsitiniityaanaki, ari ipokaki ashaaranta-chari poñaachari Tonkaironiitoniki, ipaita José. Irijatzi iyomitaani Jesús. 
MAT.27.58	Ijata-sitakiri Pilato, ikantapaakiri: “Pisinitinari nonkitatajiri Jesús.” Nintaki Pilato yaanajiri inkitatairi. 
MAT.27.59	Ikanta José, iponatan-taari Jesús kitiri manthakintsi. 
MAT.27.60	Iwakota-paintziri owakiranataki imoronta-kaantziri José siranta ikasiya-kaari kaminkari, ipinaa-kaantaki antaroiti mapi, ishipita-kotan-takari. Piyanaka José. 
MAT.27.61	Okanta María Pankothanthaari-sato, aajatzi pasini María, aminajiitaki tsika ikitaitakiri.
MAT.27.62	Okanta awisanaki iwitsika-winta-piintaitaro kitaitiri imakoryaan-taitari, ari ijataki ijiwari Ompira-tasorintsitaari aajatzi Nasitantaniri anta iwankoki Pilato, 
MAT.27.63	ikantapaakiri: “Pinkatharí, chapinki ainiro yañaawita kamatawiri, nokimiri ikantzi: ‘Aririka nonkama-witakyaa, iro awisawitakyaa mawa kitaitiri, aritaki nañaaji.’ 
MAT.27.64	Pintyaanki aamaakowintyaarini irojatzi omonkaratan-takyaari mawatapaintsiniri kitaitiri. Aamaa-sityaa ijataki tsitiniri iyomitaani-payi, yaajatiri. Inkantiri atziri-payi: ‘¡Añaaji Jesús!’ Aririka imatakiro, aritaki owatsi-pirotakyaa yamatawitanti.” 
MAT.27.65	Ikantanaki Pilato: “Yoka owayiri-payi, paanakiri, pinkantiri yaamaako-wintyaari tsika okanta pinintziro awiroka.” 
MAT.27.66	Jaitijiitaki tsika iwakoitakiri Jesús, iwitziñaaka-kota-paakiri omoroki. Ari isaika-winta-jiitziri.
MAT.28.1	Okanta awisanaki kitaitiri imakoryaan-taitari, aritaki kitaitita-manaji itapiintarori kitaitiri. Ananinkanaka María Pankothanthaari-sato aajatzi pasini María aminiro tsika ikitaitakiri Jesús. 
MAT.28.2	Omapoka-sitanaka onika sintsiini, tima yayiita-paakitzii Imaninkariti Awinkathariti, katziya-paaka kitataari-moroki, isirinka-paakiro mapi yasitan-taita-karori, ari isaikapaaki. 
MAT.28.3	Siparyaa ikantapaaka iroowaitaki oorinta ookatha-rontsi. Kitamaaroki okantaka iithaari iroowaitaki okitamaaro-tzi sharaka. 
MAT.28.4	Ikanta owayiri aamaako-wintariri kitataari, antaro itharowanaki, piyonkawaitanaka iñaawakiri maninkari, tyaanaki osiyawaitakaro inkamana-kityiimi. 
MAT.28.5	Ari iñaanata-nakiro maninkari kooya-payi saikain-tsiri, ikantziro: “Airo pitharowan-tajiitana awiroka. Noyotaki iriitaki pipoka-sitzi Jesús ipaikakoi-takiri. 
MAT.28.6	Ti isaiki aka, añaaji, aritaki ikantzi-takami chapinki. Pimpoki, paminiro tsika inaryaa-witaka. 
MAT.28.7	Pimpiyanaki, pinkamantiri iyomitaani-payi añaaji Jesús ikamawitaka, ijiwataimi Tapowiniki, aritaki piñaajiriri anta. Irootaki ikantai-takinari nonkamantimi.” 
MAT.28.8	Ti oshintanaki kooya-payi opiya-pithata-nakaro kaminkari-moroki, oimiraa-nakiro, iro kantacha oshiki otharowintanaka, osiyana-kityaa kooya-payi ojati onkamantiri iyomitaani. Osiya-minthaita onkamantiri iyomitaani, 
MAT.28.9	imonthaakaro Jesús awotsiki, iwithata-wakaro. Ojata-sita-nakiri ikatziyaka, otyiirowa-sita-paakari, awithano-kitakiri. 
MAT.28.10	Ari ikantziro Jesús: “Airo pitharowan-tasiwaitana. Pijati, pinkamantiri ikaratzi nirintzitari, ijati Tapowiniki, aritaki iñaayita-jinari anta.”
MAT.28.11	Okanta opiyajiitanaka kooya, jatanaki aajatzi owayiri-payi nampitsiki, ikamantakiri ijiwari Ompira-tasorintsitaari okaratzi awisain-tsiri. 
MAT.28.12	Ari yapatojiitanaka aajatzi antari-kona-payi, ikanta-wakaa-jiitaja: “¿Tsika ankantyaaka amanakotan-tyaariri?” Ikaimakiri owayiri, iyomitaa-naakiri ikantziri: “Yoka oshiki kiriiki nompinatimiri, 
MAT.28.13	pinkantiri atziri-payi: ‘Ipokajiitaki niyaankiiti tsitiniri iyomitaani, nomaa-minthaitzi naaka, ikosita-paintziri.’ 
MAT.28.14	Aririka inkimaki ijiwari wirakocha, naaka kantako-wintimini airo iwasankitaantami.” 
MAT.28.15	Yaakiri owayiri-payi ipinaita-kiriri, imatakiro ikamantanta-yitakiro ñaantsi okaratzi ikantai-takiriri. Irootaki imatzita-nakari aajatzi aparo-payi Judá-iti ikamantantziro iroka ñaantsi irojatzi ikantziro iroñaaka.
MAT.28.16	Ikanta 11 iyomitaani Jesús jataki Tapowiniki, osaikira otzisi ikantzi-takariri Jesús tsika iñaajiri. 
MAT.28.17	Ikanta iñaawajiri Jesús, ityiirowa-sita-waari. Tzimatsi kisosirita-tsiri, ikanta-siritzi: “Iriitaa-jataki Jesús.” 
MAT.28.18	Ari ipokapaaki Jesús okaakiini, ikantapaakiri: “Tima inthonkyaa ipinkathai-taana inkitiki aajatzi kipatsiki. 
MAT.28.19	Irootaki nonkantan-tyaamiri awirokaiti: Pijati pinthonkiro maaroni nampitsi, pinkimisanta-kaayitairi atziri-payi. Aririka inkimisanta-yitaji, pinkiwaa-yitairi, tima iriitaki isiniyitairi Asitairi, Itomi, aajatzi Tasorinkantsi. 
MAT.28.20	Piyomitaa-yitairi yantairo okaratzi noyomitaa-yitakimiri awiroka. Irooma naaka nasi nowatyiiro nontsipata-jyaami, irojatzi apaata onthonkan-tajyaari kipatsi.” Ari onkantyaari.
MRK.1.1	Iroka okanta opoñaan-tanakari Kamiithari Ñaantsi tsika ikanta-kota Itomi Pawa, yoka Jesús Saipatzii-totaari. 
MRK.1.2	Iriitaki isankinata-kotakiri Kamantan-tzinkari Isaías, ikantzi:
MRK.1.2	Pamini, aritaki nontyaantaki ityaaroni inkamanta-kotimi,
MRK.1.2	Iriitaki witsikaan-timini tsika pinkina-paaki.
MRK.1.3	Tzimatsi kaimapain-tsini otzisi-masiki, inkantan-tapaaki:
MRK.1.3	Piwamiithatainiri Awinkathariti tsika inkinapaaki.
MRK.1.3	Pinkimita-kaantiro itampatzikai-tziro awotsi.
MRK.1.4	Tima pokaki Juan otzisi-masiki, ikamantantzi, ikinkithata-kota-paakiro tsika okanta-kota kiwaataantsi, ikantan-tapaaki: “Piwashaantajiro kaari-pirori, aritaki impyaakoi-tajimiro pikaaripiro-siri-witaka.” 
MRK.1.5	Oshiki pokaintsiri iñiiri Juan, Aapatyaawini-satzi, aajatzi poñaanain-chari pasiniki inampiki-payi Judá-iti. Ikinkithata-koyitakiro ikaaripiro-siri-waitzi, irootaki ikiwaatan-takariri Juan yokapayi anta Owaryiinkaariniki. 
MRK.1.6	Irootaki iithaaritari Juan, yontyii-tziro iwitzi ikyaakoitari, iwathakitakari misinantsi-masi. Iriira iwari kintori, iriiri iyaaki pitsi. 
MRK.1.7	Iroka ikantaki Juan ikinkithatzi: “Awotsikitaki matzirori ipinkathari-tsitzi, nopinkathatzi-tataikari naaka. Ti onkanti inkimita-kaantina impiratani noiyootan-tyaari nonthopainiri ikyaantari iitziki. 
MRK.1.8	Apatziro-machiini nokiwaatantaro naaka nijaa. Iro kantacha, iriitaki kimitakaan-tyaaroni inkiwaatan-tairimi Tasorinkantsi.”
MRK.1.9	Ikanta ipokaki Jesús ipoñaakaro nampitsiki Kasiyakaawini saikatsiri anta Tapowiniki. Ikiwaata-wakiri Juan anta Owaryiinkaariniki. 
MRK.1.10	Iro isitowan-tanakyaarimi Jesús, iñaatziiro asitaryaa-nakityii-yaami inkiti, isaawiin-kasita-paakari Tasorinkantsi ikinapaaki jinoki isiyapaakari siro. 
MRK.1.11	Ikimaitatzii inkitiki ikantai-tanaki:
MRK.1.11	Awirokatakira Notomi notako-pirotani. Oshiki nokimo-siri-wintakimi.
MRK.1.12	Ikanta Tasorinkantsi yaanakiri Jesús otzisi-masiki. 
MRK.1.13	Ari inintawitakari Kamaari inkaaripiro-sirita-kairimi. Tima oshiki kitaitiri isaikaki anta itzimayitzira kowiinkari atsikan-taniri, okaratzi 40 kitaitiri. Irojatzi ipokanta-paakari Maninkariiti yaminayita-paakiniri inintziri. 
MRK.1.14	Ipoñaa ikinanaki Jesús Tapowiniki ikamantantiro Kamiithari Ñaantsi tsika okanta-kota ipinkathari-wintantai Pawa. Aritaki yasitakoi-takiri irirori Juan. 
MRK.1.15	Ikantan-tapaaki Jesús, ikamantantzi: “Monkarataka iñiitan-tyaariri Pawa impinkathari-wintantai, pinkimisantajiro Kamiithari Ñaantsi. Piwashaanta-yitairo pikaaripiro-siri-waitzi.”
MRK.1.16	Ikanta isirithapyaata-nakaro Jesús inkaari anta Tapowiniki, iñaapaa-tziiri paitachari Simón itsipatakari iririntzi Andrés iikithajiitzi. Tima simaatzinkari inajiitzi. 
MRK.1.17	Ikantapaakiri: “Piyaatina, osiyawaita-jyaaro iroñaaka iriimi atziri nosimaata-kaajyaami.” 
MRK.1.18	Tima ti ishintanaki, yookanakiro isimaa-minto iyaatanakiri. 
MRK.1.19	Iro iwaana-kityaa, iñaapaa-tziiri Jacobo, itomi Zebedeo, aajatzi Juan, iririntzi. Ari isaikajiitzi irirori iwitoki iwaipatziro isimaa-minto. 
MRK.1.20	Yamiñaa-nakiri aajatzi, iyaatanakiri. Ainiro isaikanaki iriri itsipayitari iratziriti.
MRK.1.21	Aritaki ariijiitaka Jesús nampitsiki Capernaum. Okanta aparoni kitaitiri imakoryaan-taitari, ikyaapaaki yapatota-piintaita, ari iyomitaan-tapaaki. 
MRK.1.22	Okiryaantzi ikantajiita atziri-payi ikimiri. Tima ti omaantyaa isintsinka iyomitaantzi, yanairi iyomitaantzi Yomitaan-taniri-payi. 
MRK.1.23	Ari isaikakiri atziri yaakiri piyari anta karapapankoki, kaimanaki irirori, 
MRK.1.24	ikantzi: “Jesús, Kasiyakaawini-satzi, noyotzimi naaka, awirokataki Itasorintsiti Pawa. Iro pipokantari aka papirojiitina.” 
MRK.1.25	Ari ikisathata-nakiri Jesús, ikantanakiri: “¡Pimairiti piyarí, pijatai! 
MRK.1.26	Kaimanaki sintsiini atziri, impiyon-kawaitakaa-nakari iwiyariti, iwashaanta-najirira. 
MRK.1.27	Okiryaantzi ikantanaka atziri-payi, ikanta-wakaanaka: “¿Paitakama iroka? ¿Owakirama yomitaantsi onatzii? Imatziri yitsinampairi yisita-kota-kairi yaakiri piyari.” 
MRK.1.28	Ikimakoi-tanakiri sintsiini Jesús maaroni anta Tapowiniki.
MRK.1.29	Ikanta isitowa-najira Jesús karapapankoki, yaanakiri Juan aajatzi Jacobo, ikinajiitanaki iwankoki Simón, isaikaki aajatzi Andrés iririntzi Simón. 
MRK.1.30	Iro yariita-paaki-tyaa, ikantai-tawakiri: “Omatatziiro katsirinkantantsi irayiro Simón.” 
MRK.1.31	Aikiro ipithoka-sita-nakaro, yakatha-wakotakiro, imisaikakiro. Isita-kotanaki. Piriintanaka aminayita-wakiniri ompaityaa opawakiriri.
MRK.1.32	Okanta otsitiniityaanaki, yamaita-paakiniri Jesús oshiki mantsiyari, yamaita-kiniri aajatzi oshiki yaakiri piyari. 
MRK.1.33	Ipiyotzi-mintai-tapaakari Jesús pankotsiki. 
MRK.1.34	Yisita-kota-kaayitairi maaroni. Tira isiniti aparoni piyari iñaawaiti yisita-kota-kaayitzirira ikaratzi yaakayitziri. Tima iyotzi piyari tsika ipaita Jesús.
MRK.1.35	Okanta okitaititzi-mataki, ananinkanaka Jesús apaniroini, ijatiro otzisi-masiki, ari yamanapaaki. 
MRK.1.36	Ikanta Simón itsipatakari ikaratzi iyaajiitziri, yamina-minatairi. 
MRK.1.37	Ikanta iñaapajiri, ikantapajiri: “¡Yomitaanarí! Yamina-minai-tatziimi.” 
MRK.1.38	Yakanakiri irirori ikantzi: “Thami ajati, tira iro nompokan-tyaari nosaiki aka, ontzimatyii noyomitaan-tayiti pasiniki nampitsi.” 
MRK.1.39	Ari okanta-tzimaitaka, ithonka-kiro Jesús yaniitakiro Tapowini, iyomitaantaki tsika otzimayitzi karapapanko-payi maaroni nampitsiki, yisita-kota-kaayitaji oshiki yaakayi-witari piyari.
MRK.1.40	Ipoñaa ipokaki omatziri pathaa-rontsi, ityiirowa-sita-paakari Jesús, ikowa-kota-paakiri ikantziri: “Pinintzi-rika, aritaki onkantaki pisita-kota-kaajina.” 
MRK.1.41	Yaminanakiri Jesús, itako-sirita-nakari. Irootaki yakotan-tanakari Jesús, itzinkakiri kapichiini, ikantziri: “Nonintzi, pisita-kotai.” 
MRK.1.42	Isitanaki ipathaa-waiwita. Tikatsitanaki. 
MRK.1.43	Ikantawita-waari ijatajira inampiki, 
MRK.1.44	ikantziri: “Airo pikamanta-kotana. Apatziro piwanakiro pijata-sitiri Ompira-tasorintsitaari, pantantyaarori Ikantakaantani pairani Moisés, paanakiniri Pawa pipira patsipita-kaani, irootaki iyotantai-tyaari isita-kotajimi.” 
MRK.1.45	Iro kantacha ikamantantanaki pathaa-waiwita-chari anta nampitsiki tsika okanta yisita-kotan-taari. Iro kaari okamithantanta isaikanaji Jesús nampitsiki. Jataki otzisi-masiki, ari isaikakiri. Aritzimaitaka ipoka-sitziriri oshiki atziri.
MRK.2.1	Awisaki tsika okaratzi kitaitiri, aajatzi ipiyaja Jesús nampitsiki Capernaum. Ikimayitawaji atziri-payi, ikantaitzi: “Ariitaja Jesús.” 
MRK.2.2	Ipiyotzi-winta-waari, ti yantita-paakyaaro pankotsi. Iyomitaa-yitapajiri maaroni. 
MRK.2.3	Tzimatsi 4 atziri pokasita-kiriri Jesús yanata-kotakiri kisoporokita-tsiri. 
MRK.2.4	Ti onkanti iñiiri, itzikakiri oshiki atziri piyotain-chari. Atiitanaki jinoki pankotsiki, iwinaakiro pankotsi tsika isaikaki Jesús, ari iwaniiryaa-kotakiri kisoporokiri. 
MRK.2.5	Ikanta iyosirita-wakiri Jesús oshiki yawintaa-jiita-paakari, iñaanata-wakiri kisoporokiri, ikantziri: “¡Notomí! Ipyaakoi-tajimiro pikaaripiro-siri-witaka.” 
MRK.2.6	Kimajiitaki Yomitaan-taniri, ikanta-siri-jiitanaki irirori: 
MRK.2.7	“Ithainka-tasorintsitatzii yoka. Tima tikatsi kantironi impyaakotantiro kaari-pirori, apatziro imatziro Pawa.” 
MRK.2.8	Yotaki Jesús ikinkithasiritakari, isampitakiri, ikantziri: “¿Paitama pikinkithasiri-waita-sitantari? 
MRK.2.9	¿Tima onkamiithati nonkantiri kisoporokiri: ‘Ipyaakoi-tajimiro pikaaripiro-siri-witaka?’ ¿Irooma pinintzi nonkantiri: ‘Pinkatziyi, paanajiro pinaryaa-minto, pijatai?’ 
MRK.2.10	Iroñaaka piyotiri Itomi Atziri otzimi-motziri isintsinka aka kipatsiki, aritaki impyaakotairi kaaripiro-siri-witachari.” Ipithoka-sita-nakari kisoporokiri, ikantziri: 
MRK.2.11	“Nokantzimi Naaka, pinkatziyi, paanajiro pinaryaa-minto, pijatai piwankoki.” 
MRK.2.12	Katziyanaka kisoporokiriwitachari, yaanajiro inaryaan-tawitari, sitowanaki. Maaroni atziri iñaakiri, okiriryaantzi ikantajiitanaka iñaawajiri ijatai. Iwisiryaawinta-nakari Pawa, ikantajiitanaki: “Tira añaapiinti siyaaroni iroka.”
MRK.2.13	Ipoñaa yapiita-pajiro Jesús iyomitaa-yitapajiri atziri inkaari-thapyaaki. Ari ipiyotzi-wintai-tawaari. 
MRK.2.14	Ikanta yawisanaki Jesús, irojatzi iñaanta-paariri itomi Alfeo paitachari Leví. Isaiki irirori, iwakiri jiwari wirakocha isintsitantzi yamaitiniri kiriiki, ikantapaakiri: “Piyaatina.” Ari ikatziyanaka irirori iyaatanakiri. 
MRK.2.15	Ikanta yariita-kaakari iwankoki iwakaiyaari Jesús, ari itsipatakari iyomitaani-payi aajatzi pasini ikaratzi oyaata-piintziriri. Tima oshiki sintsitan-tatsiri yamaitiniri kiriiki jatanain-tsiri, ijatzitanaka oshiki kaari-piro-siririiti. Tima maaroni yakyootakiri Jesús ikaratzi oyaatakiriri. 
MRK.2.16	Ikanta Nasitantaniri-payi aajatzi Yomitaan-taniri-payi, iñaakiri Jesús yakyootziri ikaratzi sintsitan-tatsiri yamaitiniri kiriiki, oshiki aajatzi kaari-piro-siririiti. Isampitakiri iyomitaani Jesús, ikantziri: “¿Paitama itsipatan-tariri kaari-piro-siririiti, itsipatakari aajatzi sintsiwintan-tatsiri yamaitiniri kiriiki?” 
MRK.2.17	Ikimaki irirori Jesús, ikantzi: “Aririka imantsiyati atziri ipoka-sitziri aawintan-tzinkari, iriima atziri kaari mantsiyatatsi tikatsi ininti irirori. Tima ti nompoka-sitiri naaka ikimita-kaantai-tziri kamiithasiriri inawita, nopoka-sita-tziiri kaari-piro-siriri nonkaima-siritajiri iwashaantairo kaari-pirori.”
MRK.2.18	Tzimatsi pokasita-kiriri Jesús, isampita-paakiri ikantziri: “Itzita-piintakaro iyomitaani Juan iwariti, ari ikimitari iyomitaani Nasitantaniri-payi. ¿Paitama kaari itzitantaro piyomitaani awiroka?” 
MRK.2.19	Ari yakanakiri Jesús, ikantanakiri: “Aririka intsipatai-tyaari aawakaa-chari, ¿arima intziwintai-tapaakyaa? Kimitaka airo, kimosiri inkantaityaa iwawaitaityaa. 
MRK.2.20	Iroma apaata, aririka yaitakiri iimintaitari, aripaitira intziwintaityaa. 
MRK.2.21	Tima aparoni paisatori ikithaataitari, aririkami iwapatankai-tanta-kyaaro owakirari osapiki, aritaki osaraa-pirotanaki aririka ampithata-nakyaa owakirari osapiki. 
MRK.2.22	Ari okimitari aajatzi, ti inkanta-pirotyaa paisatori misinantsi-naki iwantai-tyaari airyaari iraitsiri. “Aririka iwantai-tyaari, aritaki isanaryaanaki, aparaata-siwaitakyaa iraitsiri aajatzi misinantsi-naki. Tima apatziro ikamiithatzi owakirari misinantsi-naki iwantai-tyaari.”
MRK.2.23	Okanta kitaitiriki imakoryaan-taitari, ikinanaki Jesús pankirintsi-masiki. Ari isapirya-nakiri iyomitaani okithoki pankirintsi. 
MRK.2.24	Ti onimotiri Nasitantaniri-payi, isampitakiri Jesús, ikantanakiri: “¿Paitama isapiryan-tarori piyomitaani? Tima ti osinitaa-ntsiti yantawaitaiti kitaitiriki imakoryaan-taitari.” 
MRK.2.25	Yakanaki Jesús ikantzi: “¿Tima piñaanata-kotiri pinkatharini David ikowityaa-waitan-takari aantawityaariri itashi, itsipayitakari ikarajiitzi? 
MRK.2.26	Tima ikyaaki David tasorintsi-pankoki impira-tasorintsi-piro-paititantari Abiatar, iwakaro yatantaitani tasorin-tsita-tsiri, ipakiri aajatzi itsipayitakari. Tima ti osinitaan-tsiwityaa iwaityaaro, intaini iwapiinta-yitaro Ompira-tasorintsitaari.” 
MRK.2.27	Aikiro ikantana-kitzii Jesús: “Tima iriitaki atziri-payi kantakaan-tzirori otziman-takari kitaitiri imakoryaan-taitari. Tima ti kari kitaitiri imakoryaan-taitari kantakaan-tironi itziman-takari atziri-payi. 
MRK.2.28	Tima yoka Itomi Atziri pinkathari-pirori inatzii, yanairo kitaitiri imakoryaan-taitari.”
MRK.3.1	Ipoñaa ikyaapaji Jesús karapapankoki. Ari isaikakiri atziri kisowakori. 
MRK.3.2	Inintai-tatziira iñiitiri yisita-kota-kairi mantsiyari kitaitiri imakoryaan-taitari. Yamaakowintari, omatantyaari inkanta-koitiri. 
MRK.3.3	Ari ikaimakiri Jesús kisowakori, ikantziri: “Pimpoki, pisatikyaa niyaanki.” 
