MAT.1.1	Kitsy re xseety pxusykoltoo Jesucrist. Lo xtiiy David ni lo xtiiy Abraham sëëd Jesús.
ACT.15.13	Tsiñee lëë Pable ni Bernabé lox kwnee, lëë Jacob chëb:
ACT.15.13	—Beetsy, kol kon choplan xtitsaa gaanoo. 
ACT.15.14	Lëë Pedre gon bitiits lo no nii wi meñ sit xkëstyoo Dios. Por ngo, wi meñ sit kwle xaa. 
ACT.15.15	Ni leñ xkitsy kaa Dios pkëë profet sinrii:
ACT.15.16	Sitsiñ tse nii lëën ktop kchë meñ Israel nii ngab lo xtiiy David stub,
ACT.15.16	ni sitsiñ tse nii lëën kwek meñ go laañee kwche meñ go klo,
ACT.15.17	parñee kchësy meñ ktikche styoo lon,
ACT.15.17	ni parñee kchësy meñ sit nii kwlen kpig lon.
ACT.15.18	Lëë Dios kwnee kchë tiits re,
ACT.15.18	destye tiemp pxaal xaa xtiits xaa.
ACT.15.19	’Sootaa gon nii nonguialdy jkaal no meñ sit nii xniladzy xtiits Dios. 
ACT.15.20	Lëëw comñee kxaal no tublë kitsy lo meñ sit parñee kawtre meñ sit kchë cos nii chokon lo mdyo, ni tsonidy meñ sit stu meñ deel no tsiil meñ sit, ni kawdy meñ sit ma nii xiyañ, ni kawdy meñ sit cheñ. 
ACT.15.21	Ni ksatyee gaa tse nii xiladzy meñ Israel lo tsiiñ xkab xley Moisés leñ kchë ktoo destye tyub tiemp.
ACT.15.22	Tsigo lëë apostle, ni lëë xaa kol ni lëë kchë meñ nii xniladzy xtiits Dios byaan tiits nii lëë xaa kwe bla xaa nii no lady xaa tsinal Pable ni Bernabé Antioquía. Lëë xaa pso Judas, xaa nii pcholë gak Barsabás, ni lëë xaa pso Silas. Xaa non nak chop xaa go lady meñ nii xniladzy xtiits Dios. 
ACT.15.23	Loxsye ngo lëë xaa pkëë tublë kitsy nii koy xaa nii tsi. Sinrii xñee leñ kitsy ko:
ACT.15.23	“Lëë noo nak apostle. Lëë noo xkëëptyux lëë do nii nak to meñ sit ksa noo xaa kol. Kchë do siñee ncheno do Antioquía, ni Siria ni Cilicia xkëëptyuux noo lëë do. 
ACT.15.24	Ptsyon noo nii lëë bla xaa nii pchoo nu biid kteenë lëë do ni biid jkan kik to. Lëdy lëë noo pxaal xaa. 
ACT.15.25	Por ngo lëë noo byaantiits kchëë noo, aan lëë noo pso bla xaa nii kiid tedy lo do ksa xaa betsy no Bernabé ni Pable. 
ACT.15.26	Ndalyle vuelt notelaa Bernabé ni Pable kety xaa porñee xsoob xaa xtiits Jesucrist. 
ACT.15.27	Lëë noo xaal Judas ni Silas tsiin yuub xaa kñë lo do xa nak kchë cos nii kë leñ kitsy nii xaal noo lo do. 
ACT.15.28	Porque buen kwxaak Kyalbini Ntson ni buen kwxaak noo, nii ktsiibtre noo pe stu cos lady to, xaktyee nii precisy sye 
ACT.15.29	nii kawdy to xpëël kchë ma nii chokon lo mdyo, ni kawdy to cheñ, ni kawdy to xpëël ma nii xiyañ, ni tsonidy to stu meñ deelñee no tsiil do. Deelñee kuuñtsyeydy to kchë cos re, buen tsi do. Kakni Dios to dyon.”
ACT.15.30	Loxsye kwloonëz apostle xaa, lëë xaa sinal Bernabé ni Saulo Antioquía. Tsiñee ptsiñ xaa, lëë xaa ptop kchë meñ nii xniladzy xtiits Dios aan lëë xaa ptee kitsy nii sinoy xaa. 
ACT.15.31	Aan tsiñee lëë kitsy ko lox pkab lo meñ nii xniladzy xtiits Dios, kchë meñ go ble porñee pchoobladzy tiits ko styoo meñ. 
ACT.15.32	Aan como wi Judas ni Silas xñee tiits nii xaal Dios, lëë xaa pchoobladzy kchë styoo meñ nii xniladzy xtiits Dios. 
ACT.15.33+ACT.15.34	Lëë kwloxo bla kpidz ngui psonëz meñ nii xniladzy xtiits Dios xaa parñee kyey xaa lo meñ nii pxaal xaa. 
ACT.15.35	Per lëë Pable ni Bernabé byaan Antioquía aan lëë xaa bluuy xtiits Dios nii xñee cho nak Jesús ksa xaa stubla meñ nii xniladzy.
ACT.15.36	Lëë kok xtsew, lëë Pable chëb lo Bernabé:
ACT.15.36	—Kol tsoo kchë kyedzy laañee bluuy no xtiits Dios parñee tyon no dyon xa no kchë meñ nii bniladzy.
ACT.15.37	Lëë Bernabé kokladzy nii wi Juan, xaa nii xñee gak meñ Marcos nyinal. 
ACT.15.38	Per kwnëdy Pable porñee nche gak Pable ni Bernabé leñ kyedzy Panfilia, lëë xaa bikche, kunaldy xaa axte nyal tsiiñ. 
ACT.15.39	Lëë xaa ptilytiits chop xaa, lëë byalo lëë xaa blë lsa. Lëë Bernabé kwyo tu barkw nii si nëz Chipre chop Marcos. 
ACT.15.40	Lëë Pable gaa kwle Silas. Loxsye kwnab meñ nii xniladzy xtiits Dios por lëë xaa lo Dios, lëë xaa pchoo, 
ACT.15.41	aan lëë xaa kwtedy nëz Siria ni nëz Cilicia xchoobladzy xaa styoo kchë meñ nii xniladzy.
ACT.16.1	Lëë Pable ni Silas ptsiñ kyedzy nii lë Derbe. Loxsye ngo lëë xaa ptsiñ stu kyedzy nii lë Listra. Siko lëë xaa kuktsiil tu xaa nii xniladzy xtiits Dios nii lë Timoteo. Xiñ tu kwnaa Israel nii xniladzy nak xaa, per xaa griego nak pxosy xaa. 
ACT.16.2	Kchësy meñ nii xniladzy xtiits Dios nii no nëz Listra ni Iconio kwnee nii buen Timoteo. 
ACT.16.3	Por ngo lëë Pable kokladzy nii wi Timoteo tsinal, aan parñee kody xaa falt lo kchë meñ Israel nii no tañ go, lëë xaa kwlobey Timoteo. Por kchë meñ go nan nii xaa griego nak pxosy Timoteo. 
ACT.16.4	Aan kchë kyedzy nii kwtedy xaa, lëë xaa kwnee kchë nii xñabey apostle ni xaa kol nii ncheno Jerusalén nii no kuuñtsyey meñ nii xniladzy. 
ACT.16.5	Singo mod ni tu meñ nii xniladzy pchosody styoo, sink tse con tse lëë meñ nii xniladzy ptyalyre.
ACT.16.6	Blaady Kyalbini Ntson nyee xaa xtiits Dios xtañ meñ Asia. Por ngo lëë xaa kwte nëz xtañ meñ Frigia ni Galacia, 
ACT.16.7	aan lëë xaa ptsiñ axte laañee chislo xtañ meñ Misia. Siko lëë xaa kokladzy nyi xaa nëz Bitinia, per blaady xKyalbini Jesús. 
ACT.16.8	Por ngo lëë xaa koñee kwtedy Misia, lëë xaa ptsiñ Troas. 
ACT.16.9	Siko lëë Pable kon tu xaa Macedonia lo mgaal nii soli xñee: “Beeñ favor kwte Macedonia par kuñoo lëë noo yudar.” 
ACT.16.10	Siikñee lëë Pable lox kon xaa go lo mgaal, lëë noo pxixkwaa par kyo noo Macedonia, porñee byeeñ noo nii lëë Dios xkwetsy lëë noo parñee kluuy noo xtiits xaa nii xñee cho nak Jesús siko.
ACT.16.11	Lëë noo ptsyo barkw Troas, aan lëë noo syo tubli lo kislyu wiñ nii lë Samotracia. Lëë byaani lyu lëë noo ptsiñ kyedzy nii lë Neápolis. 
ACT.16.12	Siko pchoo noo, lëë noo syo Filipos. Lëë meñ Roma xñabey kyedzy ko. Tu kyedzy non nii ngab Macedonia nak Filipos. Ndaly kpidz blyëës noo kyedzy ko.
ACT.16.13	Lëë tsi lëë tse nii xiladzy meñ Israel lo tsiiñ kol, lëë noo pchoo leñ kyedzy, lëë noo syo tu chu kiigwpee laañee chikutiitsni meñ Israel Dios. Lëë noo psyoob siko, aan lëë noo bitiitsni kchë kwnaa nii ptyop. 
ACT.16.14	Lidia lë tu kwnaa nii pkëëtyag nii kwnee Pable. Tiatira lë xkyedzy me aan nonsyke ladx non xto me. Lëë Dios beeñ nii bniladzy me nii kwnee Pable porñee xtsyeb me Dios. 
ACT.16.15	Lëë me kwchobnis kchë meñ lidzy me. Loxsye ngo lëë me në loo noo:
ACT.16.15	—Nan do gon nii xniladzyaa Dios, na kol të kwës to lidzyaa.
ACT.16.15	Aan lëë me beeñ gan, blyëës no lidzy me.
ACT.16.16	Lëë tu vuelt, lëë noo syo laañee chutiitsni meñ Israel Dios, tsi lëë noo ptsiil tu kwnaa nii no tu kyalbini mal nii chuñ kyalnsiñ leñ styoo. Nroob tumi xtsiñaa me par xpixwan me porñee chuñ me kyalnsiñ. 
ACT.16.17	Lëë me pchoonal lëë noo, chuptsyë me xñee me:
ACT.16.17	—Xtsiiñ Dios nii sob kpaa chuuñtsyey meñ gue, ni lëë meñ gue xluuy xa telaa do lo tol.
ACT.16.18	Ndaly kpidz kwë me singo, axte nii lëë me lox beeñ kyeedy Pable. Tsigo lëë xaa bikche aan lëë xaa chëb lo kyalbini mal nii no leñ styoo me:
ACT.16.18	—Con xtiitspey Jesucrist xñen lool nii kchool leñ styoo kwnaa gue.
ACT.16.18	Aan wor go kazh lëë kyalbini mal go pchoo.
ACT.16.19	Per tsiñee lëë xpixwan kwnaa go byeñ nii chilodre ktsiñaa me tumi par lëë xaa, lëë xaa kwnaasy Pable ni Silas aan lëë xaa kukso xaa lo xaa xñabey chu yulyey. 
ACT.16.20	Lëë xaa ptsiñni Pable ni Silas lo xtisy aan lëë xaa chëb:
ACT.16.20	—Lëë xaa Israel re noyuuñ chop kik meñ xkyedzy no, 
ACT.16.21	ni lëë xaa re no kluuy cos nii nonguialdy kuuñtsyeey no, porñee nak no xaa Roma.
ACT.16.22	Tsigo lëë meñ blëë. Por ngo lëë xtisy kwnabey pchoo xab Pable ni xab Silas aan lëë soldad ptee xcheñ xaa. 
ACT.16.23	Loxsye ptee xaa xcheñ xaa, lëë xaa kwloo xaa skiib, aan lëë xaa chëb lo xaa nii xkyënap skiib nii buen buen kyënap xaa Pable ni Silas. 
ACT.16.24	Tsiñee lëë xaa nii xkyënap skiib biñ ngo, lëë xaa kulo xaa axte xan skiib ni lëë xaa pxituu niy xaa lady chop lë yag.
ACT.16.25	Per lëë koko wrol kyool, lëë Pable ni Silas noyutiitsni Dios, ni lëë xaa noyool lo Dios, ni lëë stubla gaa xaa nii no skiib nojkëëtyag, 
ACT.16.26	tsiñee kolpsye lëë tu xu bni aan lëëw beeñ kxisy kchë xcimient skiib. Aan wor go kazh lëë kchë puert skiib byaly, ni lëë caden nii nxituu kchë meñ nii no skiib byak. 
ACT.16.27	Tsi lëë xaa nii xkyënap skiib bna, kon xaa nii lëë kchë puert sinyaly. Lëë xaa kwlii xispad xaa par kuty xaly xaa xaa, porñee nladzy xaa nii kchë meñ nii no skiib pxooñ. 
ACT.16.28	Per lëë Pable kwchuptsyë chëb:
ACT.16.28	—Ksaksidyoo lii, por kchësy noo ncheno nu.
ACT.16.29	Tsigo lëë xaa nii xkyënap skiib kwnab bini, aan lëë xaa kwsëëb wxooñ leñ skiib. Xisy xaa, lëë xaa psoxib lo Pable ni lo Silas. 
ACT.16.30	Loxsye kwlii xaa Pable ni Silas skiib, lëë xaa kwnabtiits, chëb xaa:
ACT.16.30	—Kol në dyon pe cos kuuñtsyeyaa parñee telaan lo tol.
ACT.16.31	Lëë Pable ni Silas kwëb chëb:
ACT.16.31	—Bniladzy xtiits Jesucrist tyub styool aan lëël telaa lo tol kchëël meñ liidzyoo.
ACT.16.32	Lëë Pable ni Silas bluuy xtiits Dios nii xñee cho nak Jesús lo xaa ni lo kchë meñ nii ncheno lidzy xaa. 
ACT.16.33	Aan wor kyool go, lëë xaa nii xkyënap skiib kwtiib lady Pable ni lady Silas laañee bnek ni lëë xaa kwchobnis kchë meñ lidzy xaa. 
ACT.16.34	Loxsye ngo lëë xaa kuni Pable ni Silas lidzy xaa, aan lëë xaa ptee nii taw xaa, ni lëë xaa ble porñee kchë meñ lidzy xaa bniladzy xtiits Dios.
ACT.16.35	Lëë byaani lyu, lëë xtisy pxaal soldad lo xaa nii xkyënap skiib chëb: Blaa xaa nii kwyo skiib neeg. 
ACT.16.36	Tsigo lëë xaa nii xkyënap skiib chëb lo Pable:
ACT.16.36	—Lëë xtisy pxaal tiits nii klaan lëë do. Lëë na, schilo kchoo do.
ACT.16.37	Per lëë Pable chëb lo soldad:
ACT.16.37	—Ni byeñdy xixtisy to pe cos nak xfaalt noo, per lëë xaa kwtiñ lëë noo xña lo meñ kyedzy ni lëë xaa kwloo lëë noo skiib. Nandy xaa nii wi noo ngab Roma. ¿Lëë nana chakladzy xaa klaa tsilaan xaa lëë noo? Yuub xaawo kiidlii lëë noo.
ACT.16.38	Lëë soldad kuknitiits lo xtisy, aan tsi lëë xtisy biñ nii Roma ngab Pable ni Silas, lëë xtisy ptsyeb. 
ACT.16.39	Lëë xtisy kuknab perdón lo Pable ni lo Silas, ni lëë xaa kwlii xaa skiib chëb xaa:
ACT.16.39	—Kol kuñ favor, kol kchoo kyedzy re.
ACT.16.40	Siikñee lëë Pable ni Silas pchoo skiib, lëë xaa kwey tubli lidzy Lidia, aan loxsye pchoobladzy xaa styoo meñ nii xniladzy xtiits Dios, lëë xaa bi.
ACT.17.1	Lo xiviaj Pable ni Silas, lëë xaa kwte nëz Anfípolis ni Apolonia. Loxsye ngo lëë xaa ptsiñ leñ kyedzy Tesalónica laañee sob tu xiktoo meñ Israel. 
ACT.17.2	Psaandy Pable xcostumbre, lëë xaa kwey xiktoo meñ Israel, aan tson sabt nii xiladzy meñ lo tsiiñ kukutiitsni xaa meñ Israel kitsy nii kë xtiits Dios. 
ACT.17.3	Lëë xaa bluuy laañee xñee nii no kety xaa nii pxaal Dios, ni no nii kpañ xaa, ni chëb Pable:
ACT.17.3	—Lëë Jesús nii xsetyaa lo do nak xaa nii pxaal Dios.
ACT.17.4	Tsigo lëë bla meñ Israel ni ndaly meñ griego ni kwnaa non kok ksa Pable ni Silas. Kchë meñ go bniladzy nii kwnee Pable. 
ACT.17.5	Per lëë meñ Israel nii bnilasty blëë aan lëë xaa ptop bla xaa yox nii kënsë pal nëz parñee kuuñ jkyey xaa kik meñ kyedzy tsiin klëë meñ kyedzy. Ni lëë xaa kusëëb xoo lidzy Jasón par kñaasy xaa Pable ni Silas tsiin jko xaa xaa ña meñ. 
ACT.17.6	Aan como ptsildy xaa Pable ni Silas siko, lëë xaa biy Jasón ni bla meñ nii xniladzy xtiits Dios. Lëë xaa kukso xaa lo xtisy nii xñabey leñ kyedzy ko, aan lëë xaa chëb:
ACT.17.6	—Lëë xaa nii noyuuñ jkyey kik kchë meñ nii nche tyub lo kislyu kwlañche nu, 
ACT.17.7	aan lëë Jasón ptee lidzy kwlës xaa. Xsaldy xaa nii xñabey xtisy Roma, sink xñee xaa nii no stu rey nii lë Jesús.
ACT.17.8	Tsiñee lëë meñ kyedzy ni meñ xtisy biñ ngo, lëë xaa kok ntseeb. 
ACT.17.9	Per lëë Jasón ni lëë xaa nii ksa xaa kwyo skiib kwtiix multy aan lëë xtisy blaa xaa.
ACT.17.10	Tsiñee lëë lyu pkyey, lëë meñ nii xniladzy xtiits Dios pxaal Pable ni Silas nëz kyedzy nii lë Berea. Tsiñee lëë xaa ptsiñ kyedzy ko, lëë xaa kwey leñ xiktoo meñ Israel. 
ACT.17.11	Ndoladzy kchë meñ Israel nii no kyedzy ko. Nakty xaa sinak meñ Israel nii no leñ kyedzy Tesalónica, por mbëë pkëëtyag xaa xtiits Dios nii bluuy Pable ni ksatyee gaa tse xyub xaa leñ kitsy nii kë xtiits Dios par kaknan xaa dyon pe nli kchë nii xñee Pable lo xaa. 
ACT.17.12	Singo mod ndaly meñ Israel bniladzy xtiits Dios, ni ndaly gaa meñ griego bniladzy. Nikxe kwnaa nono, nikxe gaa xaapkiyo, kchë nak xaa bniladzy. 
ACT.17.13	Per tsiñee lëë meñ Israel nii no Tesalónica biñ nii wi leñ kyedzy Berea no kluuy Pable xtiits Dios, lëë xaa kwey siko par jkiily xaa meñ. 
ACT.17.14	Per blyëëdy lëë meñ nii xniladzy xtiits Dios pxaal Pable nëz chu nis, mentre lëë Timoteo ni Silas bii byaan leñ kyedzy Berea. 
ACT.17.15	Axte Atenas bikche ksa xaa nii kunal Pable. Lo xaa go pxaal Pable tiits nii kyob tsiktsiil Silas ni Timoteo xaa leñ kyedzy Atenas.
ACT.17.16	Mentre lëë Pable këmbës ktsiñ Silas ni Timoteo Atenas, iip kwyonguiooldy styoo xaa kon xaa nii singootyee ndaly mdyo no leñ kyedzy ko. 
ACT.17.17	Por ngo bitiitsni xaa meñ Israel leñ ktoo ni bitiitsni xaa meñ sit nii xtsyeb Dios, ni ksatyee gaa tse bitiitsni xaa meñ nii xtsyooltyee xaa lo kiy. 
ACT.17.18	Wi bla xaa chak nii xñee meñ Epicúreos ni bla xaa chak nii xñee meñ Estoicos bislo bitiitsni Pable. No xaa go chëb lo xcombañer:
ACT.17.18	—Nandy xaa gue pe xñee xaa.
ACT.17.18	No gaa xaa chëb:
ACT.17.18	—Sootee na xñee xaa nii no stu mdyo kub.
ACT.17.18	Singo kwnee xaa porñee biñ xaa nii xluuy Pable xtiits Dios nii xñee cho nak Jesús ni biñ xaa nii xñee Pable nii xpañ meñ kuty. 
ACT.17.19	Por ngo lëë xaa kuni Pable tu laañee nii lë Areópago. Siko xkaal lsa nonsyke xaa chak. Lëë xaa kwnabtiits lo Pable chëb xaa:
ACT.17.19	—¿Pe schilo dyon kñëël loo noo xa nak wseedy kub nii sëëdnil? 
ACT.17.20	Porque ndaly kchë cos ngub nii xñeel xyeeñdy noo. Chakladzy noo kaknan noo dyon xa nako.
ACT.17.21	Singo chëb xaa porñee kchësy meñ Atenas ni meñ sit nii no siko iip choxkody xaa nii kuuñtsyey xaa stu cos, sink tugak xkyëmbës xaa jkëëtyag xaa ni kñee xaa tu cos ngub.
ACT.17.22	Lëë Pable kusoli groltyee lady xaa chak ko, aan lëë xaa chëb:
ACT.17.22	—Kol kono kchësy to nii nak to xaa Atenas, chanaa gon nii ndaly mdyo xleni do. 
ACT.17.23	Por worñee kwteedyaa laañee sob ximdyo do, konaa tu lo pkoog nii kë sinrii: “Lëë pkoog re kwyaa par tu Dios nii ni tu cho xyuumbeydy.” Lëë Dios nii nagon xleni do aan xyuumbeydy to nak Dios nii xsetyaa lo do.
ACT.17.24	’Lëë Dios nii xsetyaa lo do psaa kislyu ni kchë cos nii no lo kislyu. Lëë xaa xñabey kpaa ni lëë xaa xñabey kislyu. Nody xaa leñ ktoo nii xsaa chol meñ lo kislyu re, 
ACT.17.25	ni nody xaa lyaadzy nii dyon pe ktee meñ lo xaa, por lëë xaa xnee kyalmbañ kchë lo no, ni kchë cos nii xkiiñ no.
ACT.17.26	’Klo tugak mguiy ni tugak kwnaa psaa Dios parñee ktyaly meñ lo kislyu. Ni lëë Dios psaanle pa tiemp ni pa tañ kpañ catu meñ. 
ACT.17.27	Singo beeñtsyey Dios parñee kyub meñ Dios, tsiin tsaaplaa gaa stsil meñ xaa, nikxe nii sijty so Dios catu lo no. 
ACT.17.28	Lëë Dios xnee kyalmbañ lo no, ni lëë xaa chuuñ kni lëë no, ni por lëë xaa mbañ no, sinak nii kwnee bla xaa chak nii no lady to, tsiñee chëb xaa: “Xtiiy Dios nak no.” 
ACT.17.29	Deelñee lo xtiiy Dios tsigo busy syoop no, nody nii kniladzy no nii chol mdyo or ni mdyo plat o mdyo kyo gaa nii xsaa chol meñ nak Dios. 
ACT.17.30	Tyub tsigo pxekw Dios kon kchë xkyalnguey meñ, per lëë na tyub lo kislyu xñabey xaa nii ktsëë meñ xmod. 
ACT.17.31	Por lëë Dios psol tu tse nii lëë tu xaa nii kwlel xaa kiid kuñ kyalxtisy lo kislyu, ni lëë Dios kaa bluuyle chow lo meñ tsiñee lëë xaa beeñ kpañ xaa.
ACT.17.32	Tsiñee lëë xaa chak ko biñ nii xpañ meñ kuty, no xaa pxidzyni Pable, no gaa xaa chëb:
ACT.17.32	—Na lëëty dyon pa stu tse jkëëtyag noo nii xñeel.
ACT.17.33	Tsigo lëë Pable pchoo lady xaa. 
ACT.17.34	Per lëë bla meñ nii bniladzy sinal Pable. Lady meñ go si Dionisio, tu xaa nii wi xkaal lsa lady meñ nii xtyop laañee lë Areópago. Ni wi tu kwnaa nii pcholë Dámaris bniladzy ni stubla meñ.
ACT.18.1	Loxsye ngo lëë Pable pchoo Atenas, lëë xaa si leñ kyedzy nii lë Corinto. 
ACT.18.2	Siko lëë Pable kuktsiil tu xaa Israel nii pcholë Aquila. Kyedzy nii lë Ponto koly xaa. Kal lik ptsiñ xaa Corinto chop tsiil xaa Priscila. Nëz Italia siid xaa, porñee lëë xtisy Claudio kwnabey pchoo kchësy meñ Israel Roma. Lëë Pable kutedy lo xaa 
ACT.18.3	aan, como misme tsiiñ nii chuñak xaa chuñ Pable, xsaa xaa yu kidy, lëë Pable kwlës lo xaa par kyë xaa tsiiñ chop xaa. 
ACT.18.4	Aan ksatyee tse nii xiladzy meñ Israel lo tsiiñ kwey Pable ktoo par kutiitsni xaa meñ Israel ni meñ sit xa nak xtiits Dios nii xñee cho nak Jesús.
ACT.18.5	Lëë Silas ni Timoteo pchoo Macedonia aan tsiñee lëë xaa ptsiñ Corinto, lëë Pable bislo xluuy xtiits Dios nii xñee cho nak Jesús ksatyee tse. Bluuy xaa lo meñ Israel nii lëë Jesús nak Crist, xaa nii pxaal Dios. 
ACT.18.6	Per lëë meñ bislo ptilyni Pable ni lëë meñ go pxiñ tiits lo xaa. Por ngo lëë xaa kwtsib yuti nii xña xab xaa parñee kyeñ meñ nii no xtol meñ, ni lëë xaa chëb:
ACT.18.6	—Xcuent to deelñee telaady to lo tol, lëdy xcuentno. Por destye natse lëën kluy xtiits Dios lo meñ sit.
ACT.18.7	Tsiñee lëë Pable pchoo ktoo, lëë xaa si lidzy tu xaa nii pcholë Justo. Tu xaa nii xniladzy xtiits Dios nak Justo. Kexka chu ktoo no xaa. 
ACT.18.8	Wi tu xaa nii pcholë Crispo nii xñabey leñ ktoo bniladzy xtiits Dios kchë meñ lidzy. Ni ndaly gaa meñ Corinto nii pkëëtyag xtiits Dios ni bniladzy kwchobnis. 
ACT.18.9	Lëë tu kyool lëë Dios chëb lo Pable lo mgaal:
ACT.18.9	—Ktsyeebtyoo. Tugak kwnee, ksuugwtyoo chuwoo. 
ACT.18.10	Naa nakni lii. Ni tu cho chilody ksaksi lii, por ndaly meñ nii ngab lon no leñ kyedzy re.
ACT.18.11	Tu iz grol kwlës Pable leñ kyedzy Corinto, bluuy xaa xtiits Dios lo meñ.
ACT.18.12	Per tsi lëë Galión pkaa kok xtisy Acaya, lëë meñ Israel kwnaasy Pable aan lëë meñ kukso xaa lo xtisy, 
ACT.18.13	aan lëë meñ chëb lo xtisy:
ACT.18.13	—Lëë xaa re no kluuy lo meñ kyedzy nii no nii kniladzy meñ xtiits Dios tu mod nii xñabeydy xley meñ Israel.
ACT.18.14	Lëë Pable si nii nyee, tsi lëë Galión chëb lo meñ Israel:
ACT.18.14	—Deelñee ngo xaa tu falt nroob o nyuty kaa xaa tu meñ, nyonaa xtiits to. 
ACT.18.15	Per como tiits sye nak kchë nii xñee do ni nonsyke lë meñ xseety to ni kchë cos nii dyon xa xñee xley do, kol kan dyon xa kuuñtsyey do, por chaklastyaa sëëbaa lo xcuent to.
ACT.18.16	Aan lëë Galión kwnabey pchoo meñ leñ yulyey. 
ACT.18.17	Tsigo lëë meñ kwnaasy tu xaa nii pcholë Sóstenes nii xñabey leñ ktoo, aan kexka chu yulyey ptee meñ xcheñ xaa, per pe beeñdy xtisy Galión.
ACT.18.18	Bii ndaly kpidz kwlës Pable leñ kyedzy Corinto. Loxsye ngo lëë xaa blë ksa xaa meñ nii xniladzy xtiits Dios, aan lëë xaa kwyo barkw par tsi xaa nëz Siria ksa xaa Priscila ni Aquila. Aan antes nii lëë barkw kchoo chu nis nii lë Cencrea, lëë Pable pka kik par kuñ xaa cumplir nii byaan xaa tiits chop xaa Dios. 
ACT.18.19	Tsiñee lëë xaa ptsiñ leñ kyedzy Efeso, lëë xaa psaan Priscila ni Aquila, aan lëë xaa kwey ktoo par kñee xaa lo meñ Israel nii xkaal lsa siko. 
ACT.18.20	Lëë meñ Israel go kwnab nii ngwësre Pable, per kwnëdy xaa. 
ACT.18.21	Lëë xaa bi, chëb xaa:
ACT.18.21	—Deelñee snë Dios, lëën kyely teedy lo do stub.
ACT.18.21	Aan lëë Pable byo barkw par kpi xaa Efeso. 
ACT.18.22	Tsiñee lëë Pable ptsiñ Cesarea, lëë xaa kwey Jerusalén kujkëëptyux xaa meñ nii xniladzy xtiits Dios. Loxsye ngo lëë xaa si Antioquía. 
ACT.18.23	Kok xtsedyako lëë xaa pchoo stub, kutedy xaa kchë kyedzy nii nche nëz Galacia ni nëz Frigia par kchoobladzy xaa styoo meñ nii xniladzy xtiits Dios.
ACT.18.24	Leñ tse go lëë tu xaa Israel nii pcholë Apolos ptsiñ leñ kyedzy Efeso. Xaa Alejandría nak xaa. So xnëz nak xtiits xaa ni buen buen xyuumbey xaa kitsy nii kë xtiits Dios. 
ACT.18.25	Por ngo nii xyuumbey xaa xtiits Dios nii xñee cho nak Jesús ni tyub styoo xaa xñee xaa lo meñ cho nak Jesús, nikxe nii por Juansye kwchobnis xaa. 
ACT.18.26	Iip ptsyebty Apolos, lëë xaa bluuy xtiits Dios lo meñ Israel leñ ktoo. Per tsiñee lëë Priscila ni Aquila biñ nii xñee Apolos, lëë xaa kuni Apolos lidzy xaa parñee kluuyre xaa xa nak xtiits Dios lo Apolos. 
ACT.18.27	Tsi lëë Apolos kwlokyeñ tsi nëz Acaya, lëë meñ nii xniladzy xtiits Dios pkëë tublë kitsy kwseñ xaa si lo meñ nii xniladzy nii no siko, parñee ngui kñee meñ go lo xaa. Tsiñee lëë xaa ptsiñ Acaya, mbëë beeñ xaa meñ nii xniladzy xtiits Dios yudar. 
ACT.18.28	Xña lo meñ ptilytiitsni xaa xaa Israel, per beeñ xaa gan porñee bluuy xaa nii leñ xkitsy Dios kë nii lëë Jesús nak Crist, xaa nii pxaal Dios.
ACT.19.1	Mentre lëë Apolos këno Corinto, lëë Pable kutedy kchë kyedzy nii nche kexka chu nëz nii si Efeso, aan leñ kyedzy Efeso lëë xaa kuktsiil bla meñ nii xniladzy xtiits Dios. 
ACT.19.2	Lëë Pable kwnabtiits chëb:
ACT.19.2	—¿Pe kwsëëb Kyalbini Ntson leñ styoo do worñee bniladzy to xtiits Dios?
ACT.19.2	Lëë meñ go kwëb chëb:
ACT.19.2	—Per ni ndondy noo nii no Kyalbini Ntson.
ACT.19.3	Tsigo lëë Pable chëb:
ACT.19.3	—¿Xa kwchobnis to tsigo?
ACT.19.3	Lëë meñ go kwëb chëb:
ACT.19.3	—Si bluuy Juan, singo kwchobnis noo.
ACT.19.4	Loxsye ngo lëë Pable chëb:
ACT.19.4	—Lëë Juan pchoobnis meñ Israel nii ptsëë xmod, per lëë gak Juan chëb nii no nii kniladzy meñ xaa nii kiid loxsye kpi Juan. Lëë xaa go nak Jesús.
ACT.19.5	Tsiñee lëë meñ go biñ ngo, lëë meñ go kwchobnis sinak nii xñabey Jesús. 
ACT.19.6	Aan tsiñee lëë Pable pxob ña kik meñ go, lëë Kyalbini Ntson kwsëëb leñ styoo kchësy meñ go, ni lëë meñ go bislo xñee stub clasy tiits ni nii tu cho karty kon ni lëë meñ go kwnee nii psyaab Dios leñ kik meñ go. 
ACT.19.7	Tsiipchop nak meñ go.
ACT.19.8	Tson mëë tugak kwey Pable leñ ktoo siko, xluuy xaa xtiits Dios ni xñee xaa xa nak xkyalwnabey Dios. Iip ptsyebty xaa. 
ACT.19.9	Per lëë bla meñ nii koñee koklasty niladzy kwneenë xtiits Dios nii xñee cho nak Jesús. Por ngo lëë Pable pchoo lady meñ go aan lëë xaa kuni kchë meñ nii xniladzy laañee sob xyuscuel tu xaa nii pcholë Tirano. Siko bluuy xaa xtiits Dios lo meñ ksatyee tse. 
