MAT.1.1	Yesu Kristi azakwoyi aye nu nyi, Dauda nugun n Ibrahim yi.
ROM.7.10	Nmi aba, manayi n kwo ɓei kunce kwa wu mi wye-wyei zokwo, kwo nu a zhin a gami efi lada nu. 
ROM.7.11	Laifi ɓei dna mi kwoce kwoi la owa manayi Shekwoyi nya kwoi zhin apma n kwoi, kwoi zemi oza n wo kunce n ofi yi. 
ROM.7.12	Ama owa n kwohin tukwo kwo zhin nya manayi nu n bmiya.
ROM.7.13	Ama kwo ɓa ze nwuna? Owa nu to bwi min? Kwo ɓa ze manayi n wuna? Awo, laifi nu. Nya kasa–nu ɓei zhin apma n nyai n kwo bmiya, kwa zun mi kni ntu lonu fye gye, kwo zhin nya kasa nya nukwoyi. Ntu ge kwo zhin apma n Shekwoyi owa manayi kwa nu kwo ɓeye.
ROM.7.14	Ntu lonu owa bmiya, wahala to! Lo n kwoi nun, ama n mihin nu, ntuge mi kundna gni nu nbauta zhin, n laifi yi n ze omi tukwoda.
ROM.7.15	Mi ta kpe, omihin tukwo ɓe ganyi lon, ntuge, mi ye ma zhin oɓo n kwo bmiya, ama mi ta min. Mi zhin oɓo n mi to cei pman, enya n mi ta yen. 
ROM.7.16	Mi kpelo sarai enya n mi zhin nyi kwo to bmiya lon, emi nubo zhin wumi nge, mila ye n owa yei n mi zungna nyi. 
ROM.7.17	Ama mi ta mi ma bma mihin zhin, ntuge mi to ye zhin celon, laifi nu n kwo dna n mi, n du mi kala nyi, kwoi zhin mi mi-i zhin aɓo a nukwoyi.
ROM.7.18	Mi kpelo nge mi la bwo n mi nai kwo-kwoyi, kwo n miya pmi lo n kni bwai nuʼa, mi ta mi ma zhin mihin ma zhin ɓe manan, mi n cei pmalo ama mita min. 
ROM.7.19	Sa n mi cei pma ma zhin ɓe manayi, mi ta min, n ma zhin atna to ma zhin ɓenukwoyin, ma zhin kwonu. 
ROM.7.20	Ama ngye mi zhin ɓo lo n mi to n cei pman, kwo wunu ge laifi ye n mii shilo n kwo akun.
ROM.7.21	Kwa wunu ge owa ye zhin tnutnu lo n mi, sanu n mi cei pma ma zhin oɓo n kwo bmiya ma ze ma zhin nukwoyi nu. 
ROM.7.22	Miye ma zhin Shekwoyi ɓeye, shi emi zawoi-woi ncei pma. 
ROM.7.23+ROM.7.24	 Ama nyalo n dna n mi mi, n mi oza kninya kwoi sun kun lo nmi-i, kwoi gyi nasara n mi-i, kwoi zemi laifi bara n kwo ye dnalo n mi. Nmi mi, mi cei pma ma ze bara Shekwoyi ɓeye zhin yi. Ama ma gye mi ye zhin laifi bauta.
ROM.7.25	Omi za woi-woi gnami ge mi zhin ɓe manayi, ama oza kwo-kwoyi nkwo dna nmi mi n cei pmalo kwa zhin ɓenukwoyi. Ewuyi emi, mi la ze sun-sun nya. Nyi kadonu ɓa gni mi n nai efi nya yeʼa? Ma gode n Shekwoyi, Yesu Kristi eyi Dagayi n lami gni woi la mi loya.
ROM.8.1	Ntu cenu, knizun to lo nna aza ba, n ɓa zhin Kristi Yesu nya n. 
ROM.8.2	Ntuge iko Zafun wye-wyei ga nyaiko ye zhin mi nya nu dna Kristi Yesu-kwo la mi loya n laifi awun n ofiyi. 
ROM.8.3	Ato gni yi, n laifi akun ntuge yi kpe Shekwoyi awyidna ye lo nun, ntuge yita mi n ɓa kni ya shi bwan, ama Shekwoyi wa zhin zokwo do wa gni yi, wa tnu n wo Nugun yi dna n Zanyikwoci nayi ngye eyi nya, ama eyi anya n laifi yi wa wun laifi iko ya n yi tukwo. Wa ga wohin tukwo hadaya ntu yi alaifi ɓo. 
ROM.8.4	Ntu cenu, nsaiye yi ɓa mi ya vi Shekwoyi awyidna n ya vi Zafun Gyi-gyi-yi, to ya vi nayi kwo-kwoi n kwo dna n yi nyin.
ROM.8.5	Aza nɓa fa oɓa nayi kwo-kwoi kwoi bwa iko tu n ɓa tukwo, ɓa vi ɓahin ɓeye nu. Ama aza n ɓa vi Zafun Gyi-gyi-yi, ɓa nu zhin oɓo n kwo da Shekwoyi. 
ROM.8.6	Oza n wo vi Zafun ɓeye wo ɓa bwa wye-wyeyi n bugba-fuyi. Ama oza nu wa vi nayi wo ɓa fi. 
ROM.8.7	Ntuge eyi oza kwo-kwoyi n kwo dna yi nyi kwo zhin nuɓayi nu n Shekwoyi, kwo ta ye kwa shi Shekwoyi awyidna bwan, kwoi ta min. 
ROM.8.8	Cenu zhin, aza n ɓa fi n ɓa nayi kwo-kwoyi iko sinta ɓai vi oɓa aɓo fawo n shakpe nukwoyi, ɓa ta mi ɓa zhin ɓo n kwo da Shekwoyin.
ROM.8.9	Ama fyeto wu lo nun oza woi-woi nu zhin iko n fyei, ngye fye, n Shekwoyi Zafun yi lo n dna n fye mi, (Fya pa oza n wo to n Kristi Zafun yi dnalo n wo min, wo to zhin Kristi viyi nun kwo fyewyi.) 
ROM.8.10	Ko Idayake Kristi dnalo n mi ofya nayi ɓa fi ntu n laifi ɓo, ama of ya wyewyeyi ɓa pwo ntuge Kristi nku gafara zhin fye. 
ROM.8.11	Ndei Shekwoyi Zafun nwa la Yesu kala n efi nyi, n dnalo n fyemi wo ɓa zhin ofye a nayi fifiyi, ɓa bwa wye-wyei nfye efi avun, ntu n zafun ye ɓo n wo dna n fye nyi.
ROM.8.12	Ntu cenu, omi azaje yeyeyi kwo to zhin tilas nu nge fya vi ofye za kwo-kwoi ɓo fya zhin ɓo nwa gna fyem. 
ROM.8.13	Ntuge n fya vi kwo fye ku bwi, aɓa ta fye, ama dna n Zafun Gyi-gyi-yi iko fya ɓakwoya n kwa ɓenukwoi zhin yi fye ɓa pwo. 
ROM.8.14	Aza vinya n Shekwoyi Zafun wu ɓa zokwo ɓanu zhin Shekwoyi aɓi.
ROM.8.15	Nlonu yi to ze ngye afyenu, yi wo dna n, ama yi zhin aɓo n gye Shekwoyi aɓi nwa gwo ɓa fi n wo iyali ɓai yiwo “Dada, Dada”. 
ROM.8.16	Ntuge owo Zafun Gyi-gyi-yi daɓo n yi n ya bugba mi n ge yi zhin Shekwoyi aɓi nu. 
ROM.8.17	Shi yi zhin owo aɓi nu nyi, yi ɓei gyiwo gado – ntuge nya n Shekwoyi gawo Nugun Yesu kwo zhin eyi nyanu ce. Ama n yi ye owo mwa-mwa tilas ya gye azhin nkunsun nwoi.
ROM.8.18	Wahala n yi sin n saiye nyi kwo to kunce lo a mwi kwo do n mwa-mwai n wo ɓei gayi nyin. 
ROM.8.19	Ntuge Shekwoyi anya zhin-zhin vinya zhi ɓai pmi nu, n hakuriyi, n awyetu yi nyipyei n Shekwoyi ɓei ku owo aɓi kala n fi. 
ROM.8.20+ROM.8.21	 Ntuge dna nyipyei hi, akna wuyi atakanda, laifi, efi, nbwo-bwoyi–anya vinya nɓa gyi nasara tu n na anyi tukwo to n kwo ɓeyei dna n Shekwoyi gbe ga–ɓa ɓei ku bwiwye- anyi vinya ɓei gwo mwa-mwa ɓai bwa loloya n laifi, n Shekwoyi aɓi bwa kwo agmada nyi.
ROM.8.22	Ntuge yi kpelo anya-zhin-zhin ngye anya-fanya n agbe-gbei na shinwa yi ɓa bwa nyasan ɓai fi nge ɓa pmi nyipyei ye. 
ROM.8.23	Eyihin a Yesu viyi ko shiko nyi yi n Zafun Gyi-gyi-yi dna lo n yi mi ngye tuze eyi mwamwa nya, yi do dna n yi wye-wyei mi, a lo yi ya n na azhin-gye n wahala yi, yihin ce yi pmi nyipyei, wyi n Shekwoyi ɓei gayi eyi loloya towo aɓi nya ɓedo n nayi woi-woyi n wa zhin yi alkawali nyi, anayi n nyasan ta shan ɓa san, ɓai ta shan fin.
ROM.8.24	A gniyi n gaiciya ga mi nu, gaiciya zhin awyetu nya n yi to ncei lo nsayi yen. Oza n wo n nyayi wota shan awye tun, waga gaiciya nge wo ɓa bwa kwon. 
ROM.8.25	Ama ndei yi ga Shekwoyi gaiciya n nya tukwo n kwoto zhin, kwo wu yi nge yi pmi n hankuri yi n bugba kalai.
ROM.8.26	Dna n zokwo gmanyi Zafun Gyi-gyi-yi bmayi zhin n yi aɓesa yi fyegyi-fyegyi dna n yi aduwa zhin mi. Ntuge yi ta kpe nya ye lo n yi ɓa zhin aduwa n kwo tukwon, kwo n yi ɓa zhin cewon. Ama Zafun Gyi-gyi-yi zhin aduwa n tu yiɓo n bugba shanwo yi n na ta mi ada n gbeyi m. 
ROM.8.27	Eyi dada, n wo kpe eyi abugba ye n yi, wo kpe nya ye n Zafun da, sanu nwo gyiwye gayi dna n Shekwoyi ɓeye nyi. 
ROM.8.28	Yi kpelo ge aɓo vinya nɓa bwayi ɓa lo tnu-tnu manayi n yi aba, ndei yi ye Shekwoyi lo, yi-i kunce lo nwo shiri yi.
ROM.8.29	Ntuge, tunyi n kmisunyi, Shekwoyi ɓei ku da aza vinya n ɓa ɓe wo aba, wo ɓei n cei pma-kpe aza nɓa ɓa ɓe–ɓa ze ngye owo Nugun, n na bai owo Nugun wa ze oza kmisunyi dna nwo azaje. 
ROM.8.30	Shi wa kni yi, wa yi yi nge yi ɓe dawo, sanu n ya ɓe ncei wa ze yi ge, “tna laifi da,” Wa nuyi n Kristi ɓemanayi wa gayi agni-gni manayi n wohin yi, wa zhin yi alkawali owo mwa-mwa nya.
ROM.8.31	Yi ɓa da gena tu aɓe a wo-woi ye tukwoʼa? Ndei Shekwoyi malo n yi bwa, nyikado nu ɓa zhin gaba n yiya? 
ROM.8.32	Tunda wo to kni wo Nugun gnin, ama wa gawo ntu yi ɓo vinya, wota gayi anya vinya ngnisun nwoyin?
ROM.8.33	Nyikado ɓa da ɓeda nukwoyi tu n yi tukwo, Aza n Shekwoyi laɓa kni ɓa ze owo nya? Shekwoyi? Awo, owo nu na zhin yi gafara wa gayi agni-gni manayi n wohin yi.
ROM.8.34	Nyikado ɓa zunyi knia? Kristi nu ɓa zun yi kni? Awo, gama owo nu na fi n yi ɓo, wa la kala n efi ntu yi ɓo, woi sase tulo n Shekwoyi aba, n latu dnagmayi aba, woi gyi wye gayi n eshemi.
ROM.8.35	Nyikado nu ɓa gwo yi Kristi yeye ya? Sanu n ya sin wahala kwo a zhin, sanu n na zan yi shin kwo Zawuyi, ntuge wota ye yi lonu? Sanu mikun gunyi to yi ye n gyiwye yin, ko yi dna n na a-zhin-gye kwo aye awuyi, Shekwoyi n ku yi ya n nu?
ROM.8.36	Awo, gama littafi a gnayi, ntu n wo ɓo tilas ya zhin shiri ya sin wahala n saho-sahoyi, yi wu ngye akni nu n ɓa pmi a wuɓa. 
ROM.8.37	Nna ɓeye vinya, Nasara zhin yi nyanu dna Kristi n wa ye yi wa fi ntu n yi ɓo nyi. 
ROM.8.38	Ntuge mila gaiciya ga nyaho tami kwa gnayi aje n Shekwoyi yeye yi n. Efi ta min, wyewyei ta min, a malayika ta min, anapi kala vinya ta min kwa gwo yi Shekwoyi yeye yan, Eyi dnawo n naiye nya, n bugba wun yi nsu nya yi. 
ROM.8.39	Kwo aba n yi nyi, n eshe bmana, dna n nuwan yakwo min, Nyaho ta mi kwa gnayi ajeya n Shekwoyi yeye yin n wa wuyi dna n Yesu Kristi, Sanu n wa fi n yi ɓo nyin.
ROM.9.1+ROM.9.2+ROM.9.3	 O, omi aza a Israila yi! O, om azaje Yahudiyi, shi mi n cei pma lo n mwa fya ɓe Kristi aba. Omi bugba wo mi shan lo, bugba yi wun mi n nyipyei n sukwoyi ntu n fye ɓo. Kristi kpelo, Zafun Gyi-gyi-yi kpelo, nge mi ta da egbe ɓeda nun, Sanu n ma cige mi yelo a mi gmiya n Shekwoyi ebe mi, ngye deye ɓa zhin fye fya bwa gni-gni. 
ROM.9.4	Shekwoyi ku anya ga fye n mwa, ama fye ta wo wo lon. Wa kni fye n gye owo aza yeyeyi, wa kni fye wa gni fye busi n wo buzagna mwamwai, wa wufye shiwo n cei pma wa tu fye anabarka, wa ga fye owo awyidna ntu n fye a sese ɓo n na bai fya kpe enya n wo ye fya zhin. Wa fa fye fya zhin wo sujada wa ga fye alkawali a adnagmai. 
ROM.9.5	Aza dnagmayi Shekwoyi anya efye zakwoyi nu Kristi nwohin, ɓei gmi nfye nuwo zhin Yahudiyi nu dna n nayi owo nwo gyibe tu n na anya she vinya nsaiye nyi. Mwa-mwa n Shekwoyi aba nyalo-nyalo.
ROM.9.6	To, Shekwoyi ta mi lo nu wa nuwo alkawali n na Yahudiyi abarn? Awo: (Ntuge alkawaliye zhin aza nya nu nɓa zhin a Yahudiyi hin-hin nyi.) Aza vinya nu to n na maɓa fi n na Yahudiyi fye, n ɓa zhin a Yahudiyi hin-hin. 
ROM.9.7	Oɓa kun-kun n Ibrahim, ta zhin ɓa ɓa ze Ibrahim aɓin, Shekwoyi ɓeda, nku da nge alkawali zhin Ishaku, Ibrahim nugun anyanu, n Ishaku ayawyi yi. Koda yake Ibrahim ɓei n na aɓi ajeyi. 
ROM.9.8	Kwa wu nu ge Ibrahim aɓi vinya nu to zhin Shekwoyi aɓin, ama aza nɓa ga alkawali gni-gni nya gaiciya n wo ɓei zhin Ibrahim nyi.
ROM.9.9	Shekwoyi ku alkawali zhin nge, “Ntna, oho n Saratu yi n ɓei ga fye oɓi”. 
ROM.9.10+ROM.9.11+ROM.9.12+ROM.9.13	 Aye n mwa begye n navun sanu n wo nugun Ishaku ɓei la wo nyikwo la, owo nyikwo Rifkatu, woi la ga aɓi ma a-za-ba, Shekwoyi wa gna wo Isuwa oɓi n na ɓa ma kmisunyi nyi, wo ɓa zhin Yakubu owo mado bara. Dna n Shekwoyi ɓeda, “Mi la Yakubu kni ma tuwo anabarka to ge Isuwam”. Shekwoyi ɓei dace to ai ma aɓi yen, to ɓai kpe ɓemanayi ye n ɓenukwoyi n sapa. Wo to ɓei zhin ce ntu n naɓo nu n na ɓi ɓei zhin m, ama nya n Shekwoyi ɓei ye wa kni.
ROM.9.14	Shekwoyi ɓei zhin ɓenukwoyi nu? Awo. 
ROM.9.15	Ntuge Shekwoyi ɓei ku gna Musa ge, n ɓa wu oza alheri n ma ye, magye oza sun-sun n ma ye. 
ROM.9.16	Ntu lonu, Shekwoyi ta ga anabarka ntu ge oza kun ce wa bwa kwo nun, kwo wa zhin tnu-tnu n kala yi wa bwan, wo bwa ntuge, Shekwoyi gye oza sun-sun nu n wa ye ko n wa gye dama.
ROM.9.17	Firauna, Masar Esu ɓei zhin ɓesisi nu gaiciya ye nya. Ntuge Shekwoyi ɓei ku gnawo ge wo la Masar ebe ga wo ntuge wa wuwo Shekwoyi iko n wo tukwo. N nabai anyi vinya ɓa wo Shekwoyi eye mwa-mwa. 
ROM.9.18	Ntu lonu fye gye, Shekwoyi wu azaho alheri ntu ge wo n cei pmanu, wa zhin azaho n na tukwoi kwa gnana to ɓa wo ɓon.
ROM.9.19	To, kni nu zhin Shekwoyi woi gye ɓa laifi, nge ɓata wo lo n ma? Ɓa to zhin oɓo n wa gna ɓa ge ɓa zhin?
ROM.9.20	Aʼa to dalo nun, Ho zhin kni nua ha zan Shekwoyi zanshin n laifi a? Enya n na zhin ko, kwo ɓa mi kwa gna oza n wa zhin kwo nyi ge kni na zhin hoi zhin mi n layia? 
ROM.9.21	Sanu n oza mi shakun, wo to n ikoyi lo wa zhin apma n ezun yi gmanyi wa mi shakun manayi ntu n zhedu ɓo wa mido ntu n pashe fi ɓon? 
ROM.9.22	Shekwoyi to n ikoyi lo wa wu wo minagyi n na aza tukwo n ɓa kuncelo a wuɓan, aza n wa zhin hakuri nɓai n sai mwa n? 
ROM.9.23+ROM.9.24	 Wo n zokwo yi lo-lo, nge eyi n na akuyi ze aza n wa ze owo mwa-mwa ya kpe ɓa, ko yi zhin a Yahudiyi nu, ko yi zhin abyedo nu, wa wuyi alheri n na bai aza vinya ɓa gye shi owo mwamwa nsun.
ROM.9.25	Fye pa lo enya n Hosia anabci a da? Shekwoyi wa cige, “Wo ɓa bwa abye do ga wohin (aza nɓa ta kun n na Yahudiyi byen) wa ye ɓa ko da yake oza to shin ɓa yen.” 
ROM.9.26	Aza n na ɓei zhin ai ciɓa ge, “Fye to zhin omi aza nun,” aɓa yi ɓa nsai ge, Shekwoyi wye-wyei da aɓi.
ROM.9.27	Ishaya anabi ɓei da ɓo n na a Yahudiyi tukwo wa cige, Koda yake ɓa ɓa mwa begye ngye amwi n ela gbe, aza n bwasun ciwyi nu n ɓa ɓei pwo n ɓami. 
ROM.9.28	“Ntuge Dagayi ɓei dawa n na anyi tukwo wa zo owo atnu-tnu n ɓai wa zun ɓa ya kpekpegye.”
ROM.9.29	Ishaya wa je gna n na abado nge nto n Shekwoyi sun-sun gyei nun, aɓei wu a Yahudiyi vinya, oɓa vinya shi aɓei wu aza vinya n ɓa ɓei fi n Sodon n Gomora zhimi nyi.
ROM.9.30	To, yi ɓa da ge nana n na ɓeye tukwoa? Yiɓa cige Shekwoyi la esa ga abye aje woi zhin ɓa gafara dna n gaiciya gami, ko da yake ɓa ta zan Shekwoyi zanshin. 
ROM.9.31	Ama, a Yahudiyi n ɓa zhin atna ɓa bwa agni-gni manayi ntu n na awyidna bwashi ɓo, ɓato gyi nasaran. 
ROM.9.32	Ntu n kniɓei nua? Ntuge ɓa ɓei zhin atna ɓa bwa gni-gni ntu n na awyidna bwashi n atnazhinyi ɓaze aza manayi maimakon ɓaga gaiciya, ɓaku ce bonyi n kuta bonyicenya dnagmayi. 
ROM.9.33	Shekwoyi ɓo ku pma ɓa gna dna nwo ɓeda wa cige, “Mila Apma shi na a Yahudiyi zokwo, aza n mwa begye ɓa ce bonyi n wo (Yesu) aza n ɓa gawo gaiciya vinyikwo ta wo ɓam.”
ROM.10.1	Omi azaje omi bugba ɓeye n mi aduwa yi nu nyi nge a Yahudiyi ɓa bwa gni-gni. 
ROM.10.2	Mi kpe ɓa bugbadna ye lo n ɓa cei lo ntu Shekwoyi latu ɓo, ama bugbadna deye zhin gbeloyi nu. 
ROM.10.3	Ntuge ɓata kpe genyi lo nge Kristi la fi ntu ge wa zhin ɓa zhi n Shekwoyi aba, ama ɓai zeze ɓai zhin atna ɓa zhin ɓemana n na bai ɓa bwa Shekwoyi agmada dna n na Yahudiyi a wyidna n na knunu yi, ama ɓa nu to zhin Shekwoyi gni-gni zokwo m. 
ROM.10.4	Ɓata kpe genyi lo ge, Kristi ga aza nu n ɓa ga gaiciya, anya vinya n ɓa zhin atna ɓa bwa, dna n na awyidna bwashin. Woɓo ku ce zo vinya.
ROM.10.5	Ntuge Musa ɓei ku ka, ge ngye oza ɓa mi wa zhin ɓemanayi, to wa zhin ɓenukwoyin, wa gyi nasara n jarabai dna n wo asese, n na ba yi nu, n naɓa zhin wo gafara wa pwo!
ROM.10.6	Ama gni-gni n kwo ɓe ntu gaiciya ga ɓo kwo cige, “Koto n na apmai lo ba zan nshemi ntuge ha gmi Kristi ɓe n cei n wa bma ho zhin. 
ROM.10.7	Koto n na apmai lo ha lo ho zan wo shin dna n na azafin aba ha jewo ze ɓe ncei n efin.”
ROM.10.8	Ntuge gni-gni n kwo ɓe dna n gaiciya ga n Kristi, ekwo nu zhin nya n yi zhin waʼazi, kwo to mwa kpa lon n zaho-zaho yin, ɓehin-hin kwo wo viviyi lo n yi ngye, eyi abugba n yi agbei. 
ROM.10.9	Ntuge n ha gna aza n ho gbeyi nge Kristi Yesu nu zhin ho Dagayi ha ga gaiciya nho bugbami nge Shekwoyi lawo laka n vingwo, ho ɓa pwo. 
ROM.10.10	Gama dna n gaiciya ga nu nbugba n oza bwa gnigni manayi n Shekwoyi aba, n wo gbeyi nu njesun n wo gna aza owo gaiciya ga ɓo.
ROM.10.11	Gama Shekwoyi ɓeda gna yi ge, oza to lo n wo ga Kristi gaiciya vinyikwo kwa wo won. 
ROM.10.12	A Yahudiyi n na tna kaciya zhinyi gmanyi nu, oɓa Dagayi gmanyi nu n wo gaɓa anya vinya, n ɓa nya wo n bugbai gmanyi nyi. 
ROM.10.13	Oza n wa yi Shekwoyi eye wo ɓa pwo.
ROM.10.14	Ama ɓaɓa nya wo n wuna nge wo gniɓa a kpe baga gaiciya? Ɓai ɓa gawo gaiciya n wuna to ɓai wo wo ɓon ma? Ɓai ɓa wo wo ɓo n wuna to ozai gna ɓan ma? 
ROM.10.15	Oza ɓa lo n wuna wo gna ɓa to ai tnu wo ma? Nya nu n Shekwoyi ɓeda da sanu n kwa ci n cei ge, “Gye shi oɓa apita bmiya oɓanu nɓa zhin bugba fun nabari manayi Shekwoyi nya waʼazi, ɓai ɓe n nabari a gmada nyai. Aza a yeyeyi nu aza n ɓa zhin Shekwoyi nabari manayi waʼazi nyi.”
ROM.10.16	Ama aza vinya nu to n ɓa wo nabari manayi ɓa gwon. Ntuge Anabi Ishaya ɓei ku da “Dagayi nyikado la gaiciya ga ɓo n ma gna ɓa nyiʼa?” 
ROM.10.17	Ama gaiciya ga ɓe n Shekwoyi ɓeda wonu, Nabari manayi Kristi nya.
ROM.10.18	Ama a Yahudiyi ma? Ɓaku Shekwoyi ɓeda wo? E, gama kwola lo aba n ɓa nyi vinya. Aku nabari manayi zhin waʼazi har anyi ce zhi ba. 
ROM.10.19	Ama ɓa ɓei ku awyega bwa (nge Shekwoyi ɓa ga aza je gni-gni to ɓai ya gwon?) E, ntuge tunyi n Musa sa, Shekwoyi ɓei ku gna ge, wo ɓa zhin owo aza ɓa wo oshe, wa zhin atna wa kun ɓa agyewyi n wa gni-gni ga abyedo atna cei. 
ROM.10.20	Ishaya ɓei je da ntna edna ge, aza nɓa to zan Shekwoyi shin ɓa ɓa bwa wo. 
ROM.10.21	Nsaiye, wo zhin atna lo wa si a Yahudiyi kpe, ama ɓa gyi abye na ɓenayi, to ɓai ye ge ɓa ɓem.
ROM.11.1	Ma nya ɓo, Shekwoyi ku owo aza a Yahudiyi yanu? Awo, ko fye wyi, Fye pa ge mi zhin Yahudiyi nu n mihin, Ibrahim yawyi n Banyami bye.
ROM.11.2+ROM.11.3	 Awo, Shekwoyi to yawo aza n wakni tunyi n sapan, fye pa ɓolo n littafi a da tu ɓeye tukwo? Anabi Iliya ɓei cibwi kpe Shekwoyi ntu n na Yahudiyi tukwo, shi a ku Shekwoyi anabi wu, ai la Shekwoyi a bagadi ɓaya, Iliya ɓei gye ge owo nu bwa cedna n knihin n wo gmanyi woi ye Shekwoyi, ɓa zhin a tna ɓa wuwo n wohin.
ROM.11.4	Fye pa amsa lo n Shekwoyi ɓei gawo? “Shekwoyi ɓei ciwo ge, awo, oho nu to ce n ho gmanyi yin. Mi n na azayi lo lo dubu tnaba n ɓa yemi lo, bai to gba shan.”
ROM.11.5	Kwo wu lo lo nu n naiye. A Yahudiyi vinya nu to pmi avun wu Shekwoyin. Azalo fyewyi n na gniɓa ntu n Shekwoyi alheri ɓo n wa kniɓa. 
ROM.11.6	Ngye Shekwoyi alheri nu agye oɓa ɓemana zhin nu ton, nzokwoye cauta to shan kyauta nu zhin, kwo to zhin cauta nu, zai ya zhin tnu-tnu nu wa bwan.
ROM.11.7	Kwo wulo n lonu, A Yahudiyi n mwa to bwa Shekwoyi alheri nɓa zanshin. Fyewyi n ku bwa aza n Shekwoyi wa kni-ama aza nɓa ce nyi awye n ku ɓa bua. 
ROM.11.8	Nyanu n Shekwoyi ɓeda da sanu n kwo ci n cei ge, Shekwoyi laɓa shigye, woi guɓa awye n na tunbuayi n na bai to ɓa kpe oɓo ye n yi da, sa n ya gna ɓa Kristi ɓo n cei. Kwo wulo n lonu nu har naiye.
ROM.11.9	Dauda Esu ɓei ku ce da sanu n wo ɓei ci n cei ge, “Fwa oɓa nyagyi manayi n anabarka do yi kwo pi ɓa agam ɓagye nge ɓeho to lo n ɓa; tasin n Shekwoyin. Fa anya a manayi ye ɓa je zekpe ɓa, ɓa wuɓa, ɓa ɓa ɓaya. 
ROM.11.10	Fa oɓa awye ɓa dna wyegma n na bai to ɓa gye wyeban, ɓa zan-zan n ya kpe ntu n na kaya shan wo ɓo.”
ROM.11.11	Kwa wunu, nge Shekwoyi ku owo aza ya har abada? Awo, Owo nufi n na bai abyedo ɓa bwa pwopwo. N na bai ɓa Yahudiyi ɓa wo she ɓa ya Shekwoyi gni-gni zanshin ga ɓahin. 
ROM.11.12	Nsaiye, ndei anyi vinya ku nya bwa ntu Shekwoyi gni-gni ɓo, sanu n na Yahudiyi ɓa ce bonyi to ɓa ye kwom. Ai anyi ɓei gna anabarka bwa sanu n a Yahudiyi ɓa gwo Kristi.
ROM.11.13	Shi fye kpelo ge, Shekwoyi lami kni owo tnu-tnu yi nfye aba abyedo, mi gnafye, mi-i ce a Yahudiyi ɓepa shi mi ɓa mi nsun. 
ROM.11.14	Nna bai n kwo yezhin ma zhin ɓa ɓa ye enya n fye abyedo n cei lo, n zokwoyi magni azaho nɓa mi. 
ROM.11.15	Kwo ɓei ze ɓe wowo ɓai ya ze a Kristi viyi. Sa n Shekwoyi ɓei pmiya n ɓa aba kwa wunu nge wo ɓei pmida anyi wa gaɓa gni-gni. Nsai ye kwo dulo n ɓewowoyi a Yahudiyi ɓa ɓe da Kristi. Kwo ɓei ze ngye aza fi nu na je kukala n efi. 
ROM.11.16	Shi Ibrahim n na anabi yi zhin Shekwoyi a zanu nyi, oɓa ɓi ɓa ze Shekwoyi aza ce, Ntuge n Shinwan gbegye gyi-gyi-yi okwa bwala ɓa ze a gyi-gyi-yi nu ce.
ROM.11.17	Ama a bwala ho n Ibrahim shinwa, a Yahudiyi ho, ala ɓa kaya, efye abyedo a bwala a bmana nya, ngye zaitun bmana nya bwala, a fyefyegyi. Nlonu n saiye fyei gwo anabarka n Shekwoyi ɓei ga Ibrahim n wo aɓiyi ɓai sin shinwa gma n Shekwoyi wa nu n wohin tukwoyi. 
ROM.11.18	Fye zhin peceiye kada fya gma ntuge aku fye fi n ɓa apita nu. Fye pa nge a kpe fye ye ntuge fye filo n Shekwoyi shinwa nu, Fye zhin abwala nu fye to zhin a gbegye nun.
ROM.11.19	“To” ko yezhin lo ha cige aɓei ibma a bwalai ya ntuge a fyemi nu gyi, ntu cenu mi zhin ɓo lo n kwo kunce.
ROM.11.20	Fye zhin peceiye. Pa ge a bwala ho, a Yahudiyi a ɓei bma ɓa ya ntu ge ɓato ɓei ga Shekwoyi gaiciya nun, fye zhi n ya ntuge fya gawo gaiciya nu. Fyeto zhin aɓo-kwon, gye gba fyehin tukwo fya zhin igodiya, fya zhin peceiye. 
ROM.11.21	Ntuge n Shekwoyi to fa abwala nwafi ɓa tunyi n sapan, wo ta fa fyehin.
ROM.11.22	Shi awye hagye shi Shekwoyi zhin alheri dna ɓo, wo gyiminagyi n na azai nɓa ta vi wo ɓon, ama wo zhin ɓemana ga fye fyei ya gyi abye fya yewo n gaiciya gayi, ama nfye to zhin lo nu m aɓa zun fye ya. 
ROM.11.23	N zokwo do, Nna Yahudiyi fa ɓa tna gaiciya ga ɓa jeze ɓe da Shekwoyi, Shekwoyi ɓa je ɓa fyegyi n shinwa. Wo n ikoyi lo wa zhin lonu.
ROM.11.24	Ntu ge n gye shi Shekwoyi ɓei la ye wa gwo fye n fye ɓei mwa kpa n woi, n fye ɓei zhin zaitun bmana nya bwala, wa fye fyegyi n wo shinwa manayi onya nna ta shin zhin-fye gye ge woto gni n shiri yi nu zhin wa je a Yahudiyi gwo n jesun n ɓa ɓei shin fi n kmisunyi nyin?
ROM.11.25	Mi n cei pma fya kpe gaiciya ye n Shekwoyi aba, emi azaje yeyeyi n na bai nfye ta mwa fyehin tukwo fya ya abokwo zhin, E, kwo zhin gaiciya nu nge a Yahudiyi ho zhin gaba lo n Nabari Manayi-nsaiye, ama kwo ɓa bwa esanu la n fye abyedo fya ku ɓe Kristi aba vinya, efye n fya ye fya ɓe.
