MAT.1.1	Jesukristo mräkä känekäne jrei Davikri amne Abrahamkri abko nere:
1CO.4.2	Akwa jändrän mikata ni kisete sribikäre kore angwane, ni yebti bkänkäta tödeke abko bä mikadre kwe jabtä. 
1CO.4.3	Akwa munkwe töbikadre ño tibtä amne sribi tikwebtä amne, ni mdakwe töbikadre ño tibtä, ye abko ñakare bäri ütiäte tikrä. Erere arato, ti ara käta töbike ño jabtä au, ye ütiäte ñakare tikrä arato. 
1CO.4.4	Ti ne abko, ie ja ruen ngite ñakare, akwa ñan ti töi metre jökrä tita niere, akwa ti Dänkien aibe käkwe ti ngite ya ño niedre tibtä abko tita niere. 
1CO.4.5	Ne aisete munkwe ñan töbika jire ni mda rüere kitakäre ngise kä ne ngwane, akwa kukwe rükaninte tiebe nikwe amne ni töi ño ño, ye ni Dänkien jatadita angwane mikadi gare jökrä kwe, aisete ye ngibia munkwe angwane, kä mrä ni itire itire käkwe dre dre nuenbare abkobtä Ngöbökwe kukwe ükadite kräke, ye abko ngibia munkwe.
1CO.4.6	Ti mräkätre, tita kukwe ne tike kore Apolobtä amne jabtä mun die mikakäre, munkwe ja töitikadre nunbtä angwane, kukwe krörö nieta ni kwatikwe rükadre gare metre munye: Kukwe tä tikani Ngöbö Kukweibtä, ye aibe mikadre täte munkwe. Munkwe kukwe ye mikadre täte ne ngwane, ja ñan rabadre ruen bäri kri ni mdabtä, käkwe ni iti mikadre ütiäte amne ni mda abko mikadre ngwarbe. 
1CO.4.7	Munkwe ñan bikadre kri ni mda mdabtä, ñobtä ñan angwane ¿nirekwe mun mikani bäri ütiäte ni mda mdakrä? Mun abko ja kwrere ni mda mdabe. ¿Amne jändränta munkwe, ye mden abko Ngöbökwe biani ñakare munye? Jändrän jökrä munkwe abko Ngöbökwe biani munye, ¡ye ño abko nükani ja di jenbti munye, munta nütüre!
1CO.4.8	Jändrän ie mun töta nebe, erere nena jökrä munkwe amne mun nena jändrän Ngöbökwe bkäne kabre amne mun nena jreire kaibe Ngöböbe munta nütüre jabtä, aisete nun Jesu kukwei ngwiankatre abko ngwarbe, ütiäte ñakare ruen munye. ¡Mun rabadre jreire bkänä näre, ye rabadre bäri kuin nunkrä, ñobtä ñan angwane nun rabadre jreire munbe siba! Akwa ñakare kore. 
1CO.4.9	Akwa bäsi ni ngite ütiäte ñakare mikani kämikadre, ye jäta niken ngite mikata mrä köre, kwrere jire Ngöbökwe nun Jesu kukwei ngwianka mikani abko ruen tie. Amne bäsi ni mikani kämikakäre, kwrere jire nunta angeletre okwäbti amne ni jökrä okwäbti, tuen kore tie.
1CO.4.10	Mdakäre abko, sribibtä Kristokrä nunta nebe tuen töi ñakare ni mda mdaye, akwa munta ketetibe Kristobe, aisete jata nebe tuen töbtä munye. ¡Nun abko di ñakare, akwa mun abko dite dite tä nebe ruen munye! ¡Mun mikata ütiäte akwa, nun abko mikata ütiäte ñakare! 
1CO.4.11	Mekera abti kä nüke mtare, nunta mrö nike. Nun Jesu kukwei ngwianka tä tomna nike amne dän ngututure chekacheka nunkwe. Nun mikata ene ja kisete ni mdakwe amne ju ñakare jen nunkwe. 
1CO.4.12	Erere arato, nunta neme dräre sribire ja kise jenbti mrökrä jae. Ni mda mda tä ñäke taretare nunye, akwa nunta ja di kärere kräke Ngöböye. Sribibtä Jesukrä nun rüe tä näin kisere nun jiebti, akwa nunta neme kwekbe jirekäbe. 
1CO.4.13	Ni mda mda käta kukwe känene ngwarbe nun rüere akwa, nunta kukwe kaen ngäbti ja moto kuinbti. Erere arato, jändrän käme kitakata, kwrere jire nunta nebe tuen ni mda mdaye abti kä nüke mtare.
1CO.4.14	Tita tärä tike kore munye, ye abko ñan mun rabadre ja gaire abkokäre tita tike, akwa mun tare kri tikwe, aisete ngäbäkre nikwe btä mäträta, ye kwrere tita mäträre munbtä, 
1CO.4.15	ñobtä ñan angwane nane mun tödekaka Jesubti, kräke ni rabadre mili krä jätä dirikäre Kristobtä munye, akwa ni mun rün kwrere abko ñakare mda. Ti ara käkwe kukwe kuin Jesubtä mikani gare käne munye, ye köböire mun nikani nüne ketetibe Kristo Jesube angwane, ti ne aibe mun rün kwrere. 
1CO.4.16	Ye aisete tita nüne ño, ye kwrere munkwe nüna abko tita ribere kisere munye. 
1CO.4.17	Ne aisete, ti ngobo tare tikwe ni Dänkien käbti Timoteo tä näin metre ni Dänkienbe abko tikwe juanba nebe mun känti yete. Tita nüne ño Kristo Jesu ngwärekri, ye kwrere tita nünamna ni mda mdaye kä ketareketare temen nitre gätäkä Jesu käbtiye, ye abko Timoteokwe mikadita töre munye, abkokäre tikwe juanba.
1CO.4.18	Akwa mun ngätäite yete abko, ti ñan rikadreta jire ni ruäre tätre nütüre, aisete tä jäme amne tä bike krikri. 
1CO.4.19	Akwa ti rikadreta basare munye yete, ie ti Dänkien tö ne ngwane, bä jötröra ti näin nebe mun känti yete. Ye ngwane, nire nire ie ja ruen bäri ütiäte krikri abko käta ñäke, akwa Ngöbö di tärä kri ni yebtä ya tikwe tuadi, 
1CO.4.20	ñobtä ñan angwane ni bti Ngöböta gobrane ye ngätäite kukwe nuäre nuäre jirekäbe abko ñakare ütiäte akwa, Ngöbö di krita nibtä ye abko ütiäte. 
1CO.4.21	Ye abko, ¿ti rikadre ño nebe mun känti, ie mun tö? ¿Ti rikadre romone mäträkäre munbtä, ie mun tö ya? o ¿ti moto jäme, bti ti rikadre nebe, ie mun tö ya?
1CO.5.1	Ti mräkätre, mun ngätäite yete nita iti abko meyekrä rünbe tä mike jabe abko tikwe gaba. Nitre tödekaka ñakare Jesubti käta kukwe käme diän diän ye kwrere nuene ñakare jire abko erere nuenta mun ngätäite yete. 
1CO.5.2	Yebtä mun moto rabadrera ulire amne ni kukwe käme nuenkä meyekräbe kore tä mun ngätäite, ye juandretarira ja ngätäite munkwe, akwa mun abko tä bike krikri jirekäbe, ñobtä ñan angwane munta nekete bäri ja ken Ngöbökri, aisete kukwe käme kore abko ñan tä mun mike ngite Ngöböye abko munta nütüre jabtä. 
1CO.5.3	Tita ñakare ketetibe munbe yete akwa, ti töi abko tä ketetibe munbe, aisete tita ketetibe munbe kwrere käkwe kukwe ükatebara ni kukwe nuenkä käme kore btä. 
1CO.5.4	Ne aisete munkwe gätädi Jesu käbti angwane, ti töi tä ketetibe munbe, erere arato ni Dänkien Jesu die tädi munbe angwane, 
1CO.5.5	ni kukwe nuenkä käme meyekräbe ye munkwe mika gare Satanaye, niarakwe ja tare nikadre kri, akwa mrä Jesu jatadita angwane, niara üai rabadre dianintari abkokäre munkwe mika gare kore Satanaye.
1CO.5.6	Tita niere kore, ñobtä ñan angwane munta bike krikri btä, akwa ye abko käme. Lebadura abko käta kukwe käme bä mike, aisete lebadura mikata chi arinante abko tä niken jökrä arinante ta. 
1CO.5.7	Ni kukwe nuenkä käme ye abko lebadura kwrere, käkwe mun töi mikadre käme jökrä. Ye ngäniene munkwe ni ye juantari mento angwane, arina btin mikata sribedre banre, te lebadura ñakare, ye kwrere mun rabadi deme. Akwa era metre mun nena arina btin kwrere, ñobtä ñan angwane kordero Pascuakrä kämikata ni ngite diankakäre, ye kwrere Kristo krütanina ni ngite diankakäre nibtä, aisete niara abko Kordero nikwe. 
1CO.5.8	Pascua näire abko ju kwatirekwatire, känti arina te lebadura tä gwi, ye abko kitakata jire jökrä ju bäre, ye kwrere kukwe käme diän diän ye nikwe ñan tuadremetre ja ngätäite, ñobtä ñan angwane Kristo krütanina nikrä, akwa nikwe nünandre era metre amne ñan nikwe ni mda ngökadre angwane, ni rabadi arina btin kwrere.
1CO.5.9	Mdakäre abko, tikwe tärä mdara jire tikaba munye, btä tikwe nieba krörö munye: Ni merire brare bti kä ngwarbe, ye tä ja mike gure bati bati abko ben munkwe ñan ja getadre jire, tikwe nieba. 
1CO.5.10	Akwa ye abko, ñan ni tödekaka ñakare Jesubti abkobtä tikwe tärä tikaba kore munye amne, ñan ni jändrän jenena ribekä jae amne ñan nitre ni ngökö amne ñan nitre jändrän ngwarbe mikaka ngöböre jae abkobtä tikwe tärä tikaba kore munye. Ñan tikwe tärä tikaba ni korekorebtä, ñobtä ñan angwane ni korekore tödekaka ñakare Jesubti, ben munkwe ñan ja getadre ne ngwane, munkwe ñan nünandre kä nebtä mda niaratre ngätäite. 
1CO.5.11	Akwa nitre tödekaka Jesubti tä niere, akwa tä kukwe nuene kämekäme, käta ja mike gure bati bati, tä jändrän jenena ribere jirekäbe jakrä, tä jändrän ngwarbe mike ngöböre jae, tätre kukwe känene ngwarbe ni mda mda rüere amne, tä dröbare amne tä gore, ni ye kwrere abko ben munkwe ñan ja getadre amne nin munkwe mrödre jire ketetibe ben abko tikwe nieba munye. 
1CO.5.12+1CO.5.13	Ni ñakare tödekaka Jesubti abko kräke ñan tita kukwe ükatekä. Ngöbökwe kukwe ükadite bentre. Akwa nitre tödekaka Jesubti tä mun ngätäite, kräke mun nena kukwe ükete, aisete ni kukwe käme nuenkä meyekräbe, ye munkwe dianka mento ja ngätäite yete.
1CO.6.1	Kukwe mda btä ti tö nibi blitai munbe arato. Kukweta neme ja rüere kwärikwäri munkwe angwane, kritobo tödekaka ñakare Jesubti, känti munta niken ja ngwena, ¡ye ñobtä mun ñan tä niken kukwe ngwena jirekäbe nitre tödekaka Jesubtiye ükatekäre jakrä ja ngätäite amarebti se! 
1CO.6.2	Kä mrä angwane, nitre tödekaka Jesubti käkwe kukwe ükadite nitre ñakare tödekaka Jesubti yekrä, ¡ye gare ñakare munye ya! ¿Munkwe kukwe ükadite kore ni mda mdakrä amarebti kukwe kiakia tä nakenkä kä ne ngwane abko ja ñan nüke töre munye ükete jakrä ye? 
1CO.6.3	Mdakäre abko, nikwe kukwe ükadite angeletrekrä arato. ¡Ye aisete ni di tärä täte kukwe kiakia kä nebtä ükatekäre jakrä! 
1CO.6.4	Ye aisete, jändrän munkwe btä munta rüre jabe kwärikwäri angwane, nitre tödekaka ñakare Jesubti abko ie munta niken kukwe mike ükadrete jakrä, ye kwrere munkwe ñan nuendre jire chi. 
1CO.6.5	Mun rabadre ja gaire kri, abkokäre tita kukwe ne niere munye. ¿Ni töbtä tödekaka Jesubti ñakare jire iti mun ngätäite käkwe kukwe ükadrete ja mräkätrekrä ya? Ni töbtä tärä mun ngätäite käkwe kukwe ükadrete ruen tie. 
1CO.6.6	Akwa mtare ja mräkä iti tödekaka Jesubti käta niara mräkä Jesu käbti kite ngise kritoboye akwa, ¡kritobo tödekaka ñakare Jesubti ngwärekri munta niken ja ngwena kwärikwäri!
1CO.6.7	Munta rüre jirekäbe jabe kwärikwäri, aisete nane kritobo käkwe kukwe ükadrete kuin makrä, akwa era metre ma ganandre ñakare Ngöbö ngwärekri, ñobtä ñan angwane munta Jesu mike ngwarbe ni jökrä ngwärekri. Ye abko kukweta neme mun rüere angwane, mun rabadre neme kwekbe jirekäbe abko rabadre bäri kuin. Erere arato, jändrän goita munkän angwane, mun rabadre neme kwekbe jirekäbe abko rabadre bäri kuin, 
1CO.6.8	amarebti mun ara jire käta kukwe nuene käme mun mräkäbtä käta jändrän goire mun mräkä kän. 
1CO.6.9+1CO.6.10	Abtä ti tö mun mikai mokre abko krörö: Jesu jatadita abti Ngöbö rabadi gobrane, ben ni kukwe käme nuenkä ñan rabadi, ye garera munye. Munkwe ñan ja ngökamna, ñobtä ñan angwane Ngöbö rabadi gobrane, ben ni ja mikaka gure bati bati ñan rabadre jire. Erere arato, ni jändrän ngwarbe mikaka ngöböre jae, ni gure akwa tä ja mike gure tiebetiebe ni mdabe amne, ni brare bikaka merire jae kwärikwäri amne ni gokä, ni käbäre amne ni dröbaka, ni blitaka ngwarbe ni mda mda rüere amne, ni jändrän diankaka ni mda mdakän, ye käkwe ñan nünandre kärekäre Ngöböbe. 
1CO.6.11	Käne, mun ngämi tödeke Jesubti, känenkri mun ruäre nämane nüne kore, akwa mtare Ngöbökwe mun ngite dianinkära munbtä, käkwe mun mikani jenena nünakäre deme amne metre jakrä amne mun ñakare ngite mda ja ngwärekri niebare kwe munbtä amne mun kani ngäbti kwe ni Dänkien Jesukristo käbti amne Ngöbö Üai Deme köböire.
1CO.6.12	Mun ngätäite munta niere: Ti tö rabadre dre dre nuein, ye erere Ngöböta kä bien tie nuene jökrä, munta niere. Akwa jändrän jökrä nuendre abko ñakare kuin ni die mikakrä. Ne aisete, nane ti rabadre jändrän jökrä nuene, akwa jändrän nuendre, ye abko ñan tikwe mikadre ja dänkiene. 
1CO.6.13	Mdakäre abko, munta niere: mrö abko ni bülekrä amne ni büle abko mrökrä, munta niere. Ye abko era, akwa kä mrä angwane, Ngöbökwe mrö amne ni büle juandi ngwarbe jökrä. Akwa ni ngrabare abko ñakare ni büle kwrere. Ni ngrabare abko ñakare ja mikakäre gure bati bati, akwa ni ngrabare abko nünakäre metre ni Dänkienkrä amne ni Dänkien abko käta ni ngrabare mike ütiäte jae. 
1CO.6.14	Ye abko tä gare nie, ñobtä ñan angwane ja di jenbti Ngöbökwe ni Dänkien mikaninta nire, ye kwrere ni mikadita nire ni ngrabare ben gwaire, aisete ni ngrabare ütiäte ni Dänkienkrä gare nie. 
1CO.6.15	Mun ngrabare ye abko Kristo kiakia ngrabare ye garera kuin munye, aisete ¿Jesu kiakia ngrabare ye abko meri bti kä ngwarbe abko ben mikadre ketetibe ya? ¡Ñakare jire! 
1CO.6.16	Meri bti kä ngwarbe abko ni brare tä mike jabe angwane, niaratre nibu tä neme ni itibe kwrere abko gare kuin nie, ñobtä ñan angwane Ngöbö Kukweita blite ni merire, brare käta ja mike gure yebtä angwane tä niere krörö:
1CO.6.16	Niaratre ni nibu,
1CO.6.16	ye abko rabadi ni itibe kwrere, 
1CO.6.16	nieta Ngöbö Kukweibtä, aisete meri bti kä ngwarbe abko ni brare tä mike jabe angwane, niaratre nibu tä neme ni itibe kwrere, ye garera kuin munye. 
1CO.6.17	Akwa nita tödeke ni Dänkienbti abko ben ni üaita neme ketetibe niara Üaibe.
1CO.6.18	Ye mdenbtä, meri mden mden ben mun tö ja mikai gure bati bati, ye ngäniene mun gitia, ñobtä ñan angwane kukwe bätäkä ngwarbe btä nita ja mike ngite, ye abko tä ni ngrabare bäre mento, akwa nita ja mike gure bati bati, ye abko ja mikata ngite ja ngrabare rüere au. 
1CO.6.19	Ye abko mun brare käkwe ñan nuendre jire chi, ñobtä ñan angwane Ngöbökwe ja Üai biani mun itire itireye, aisete Ngöbö Üaita nüne mun itire itire btä, aisete mun itire itire abko ju nünankrä Ngöbö Üai Demekwe, ¿ye gare ñakare munye ya? Ne aisete mun tö dre dre nuein ja ngrabarebti, ye abko mun ñan raba nuene, ñobtä ñan angwane mun ñakare ja bkänkä au, 
1CO.6.20	ñobtä ñan angwane Ngöbökwe mun kökani jakrä, aisete mun ngrabare amne mun üai, yebti munkwe Ngöbö mika ütiäte.
1CO.7.1	Mtare abko, munkwe kukwe ngwianintari täräbti tie, yebtä ti bike mun kukwei kaen ngäbti krörö: Munta kukwe ngwentari krörö: ¿Ni brare brare käkwe ñan ja mikadre gure ni mdabe töi kwe rüere abko rabadre bäri kuin ya, ñakare ya? abko munta ngwentari tie. 
1CO.7.2	Ti abko tä niere krörö: Ni kwati merire brare tä ja mike ngite jabe kwärikwäri mun ngätäite, aisete ye ngäniene ni brare gure gure käkwe kibia meri jen kwebe. Erere arato, ni merire gure gure käkwe kibia brare jen kwebe. 
1CO.7.3	Ye abko, ni brare käkwe ñan ja käbäi merire kwe kän akwa kibiadre kwe ben amne, ni merire käkwe ñan ja käbäi kwäräi kwe kän, akwa kibiadre kwe ben, 
1CO.7.4	ñobtä ñan angwane ni merire ñan tä nebe ja ngrabare bkäne au akwa, kwäräi kwe tä nebe niara ngrabare bkäne arato. Erere arato, ni brare ñan tärä nebe ja ngrabare bkäne au akwa, merire kwe tä nebe niara ngrabare bkäne arato. 
1CO.7.5	Ne aisete ni brare amne ni merire tä jabe, ye käkwe ñan ja käbäi jakän kwärikwäri. Akwa nane mun tö raba kä diainkä jenena blitakäre Ngöböbe, käkwe ja töi mikadre ruäre blitakäre Ngöböbe, ye ngwane mun ñan tö raba kibiai jabe ne ngwane, munkwe ñan kibia jabe. Akwa yebti mun rika kibienta jabe, ñobtä ñan angwane nane ja bäinbtä jae kwärikwäri Satanakwe mun töi mikadre ja mike ngite. 
1CO.7.6	Tita kukwe niere, ne kwrere mun tö nuein ne ngwane, tä dbe akwa ñan tita nuemna munye, 
1CO.7.7	ñobtä ñan angwane ni jökrä rabadre kaibe ti kwrere abko rabadre bäri kuin, tita nütüre, akwa ni itire itire, ie Ngöböta ja di bien jene jene, aisete ni jökrä ñan raba neme kaibe ti kwrere.
1CO.7.8	Mdakäre abko, ni brare bati gure ñakare ya o ni brare kän meri krütani ya amne meri kän brare krütani, käkwe ñan ja mikadreta gure amne, rabadre kaibe ti kwrere, ye rabadre bäri kuin ruen tie abko ti tö niei munye. 
1CO.7.9	Akwa mun ñan raba neme nuäre nüne kaibe ne ngwane, munkwe ja mikata gure jirekäbe, ñobtä ñan angwane mun ñan tädre neme ngware jirekäbe jabe, ye abko rabadre bäri kuin ruen tie.
1CO.7.10	Mdakäre abko, ni gure gure, ie tita kukwe nuemna krörö, ne abko ñan ti kukwei akwa, ni Dänkien ara jire nämane nüne kä nebtä angwane, niarakwe kukwe nuemna abko krörö: Ni merire käkwe brare kwe tuametre ñakare jire, 
1CO.7.11	akwa nane ni merire käkwe brare kwe tuametre ne ngwane, raba kaibe jirekäbe. Akwa tö raba ja mikaita gure ne ngwane, ja mäkäta kwe brare kwebe. Ye kwrere arato, ni brare käkwe merire kwe tuametre ñakare jire abko ti tö niei munye.
1CO.7.12	Ni mda mda abko, ie ti bike kukwe mda niere. Kukwe ne abko ni Dänkienkwe diribare ñakare btä akwa, tita niere krörö munye: Ni mräkä brare tödekaka Jesubti tä gure ni merire ñakare tödekaka Jesubti ben, akwa meri kwe tö nünai janknu ben ne ngwane, meri kwe ye ñan tuametre kwe. 
1CO.7.13	Erere arato, ni mräkä merire tödekaka Jesubti tä gure ni brare ñakare tödekaka Jesubti ben, akwa brare kwe tö nünai janknu ben ne ngwane, brare kwe ye ñan tuametre kwe, 
1CO.7.14	ñobtä ñan angwane meri tödekaka Jesubti, ye köböire nane brare kwe ñan tä tödeke Jesubti, ye käkwe tödekadre Jesubti, abkokäre Ngöbökwe mikani jenena jakrä. Erere arato, brare tödekaka Jesubti, ye köböire nane meri kwe ñan tä tödeke Jesubti, ye käkwe tödekadre Jesubti, abkokäre Ngöbökwe mikani jenena jakrä. Ye kwrere ngäbäkre munkwe ñan tä tuen ngite Ngöböye, akwa nane tödekadre kwe Jesubti arato, abkokäre Ngöbökwe mikani jenena jakrä arato.
1CO.7.15	Akwa nane ni ja kwäräire iti ñan tä tödeke Jesubti abko tö raba ja tuaimetre ni tödekaka Jesubti ben, ne ngwane ja tuametre kwetre. Munkwe nuendre kore angwane, ni mräkä brare amne ni ngwai Jesu käbti rabadreta kaibe jirekäbe, ñobtä ñan angwane Ngöbökwe ni käräbare nünakäre jäme jabe kwärikwäri. 
1CO.7.16	Ne aisete, mun merire tödekaka Jesubti, ye köböire mun kwäräi ñakare tödekaka Jesubti ye rabadre dianintari ya ño gare ñakare munye. Erere arato, mun brare tödekaka Jesubti, ye köböire meri munkwe tä tödeke ñakare Jesubti, ye rabadre dianintari ya ño gare ñakare munye, aisete munkwe nünandre janknu jabe abko rabadre bäri kuin.
1CO.7.17	Akwa mun nämane nüne nirebe angwane Ngöbökwe mun käräbare jakrä, ye ben munkwe nüna janknu, ñobtä ñan angwane ni Dänkien Kristo käkwe kukwe mikanintbe kore munkrä, ye abko nitre gätäkä Jesu käbti kä ketareketare temen, kräke tita kukwe ükete nuendre kore. 
1CO.7.18	Ye abko, ni Dänkienkwe kukwe mikanintbe kore ni kräke, ne aisete mun ruäre abko ñäräkrä mikanina mun kwatabtä angwane, Ngöbökwe mun käräbare jakrä ne ngwane, munkwe ñan töbika ja kwata miketa täte. Erere arato, mun ñäräkrä mikani ñakare mun kwatabtä abko angwane, Ngöbökwe mun käräbare jakrä ne ngwane, mun ñan ja ñäräkrä mika ja kwatabtä, 
1CO.7.19	ñobtä ñan angwane ni ñäräkrä tärä ni kwatabtä ya, ñakare ya, yebti abko ni ñan tä neme dianintari, aisete ñakare bäri ütiäte. Akwa nita Ngöbö Kukwei mike täte ya, ñakare ya, ye abko bäri ütiäte kri. 
1CO.7.20	Ne aisete mun nämane nüne ño angwane, Ngöbökwe mun käräbare jakrä, ye kwrere munkwe nüna.
1CO.7.21	Ye abko, ma nämane ni klabore ni mdakwe angwane, ma käräbare Ngöbökwe jakrä, yebtä makwe ñan töbika dikaro, akwa ma rabadreta tikaninte raba tuen mae ne ngwane, makwe ñan tuametre niken ja bäre. 
1CO.7.22	Akwa ma nämane klabore ni mdakwe angwane, Ngöbökwe ma käräbare nüne ketetibe ni Dänkien Kristobe, yebtä makwe ñan töbikadre dikaro, ñobtä ñan angwane mtare mata tikaninte ma ngitebtä amne ni Dänkien käta ma bkäne. Ye kwrere arato, ma ñan nämane klabore ni mdakwe angwane, Ngöbökwe ma käräbare jakrä ye ngwane, ma abko klabore Kristokwe mtare. 
1CO.7.23	Ngöbökwe mun kökani jakrä, aisete munkwe ñan ja mikata klabore ni mda mdakwe. 
1CO.7.24	Ne aisete ti mräkätre, mun nämane nüne ño angwane, Ngöbökwe mun käräbare jakrä, ye kwrere munkwe nüna janknu.
1CO.7.25	Mtare, meri kaibekaibe abkobtä ti tö blitai, yebtä abko ni Dänkien käkwe kukwe diribare ñakare, akwa ni Dänkienkwe ti ngwiani ruentari tare jae, aisete tita töbike ño ye abko ütiäte, abtä munkwe tödekadre ti kukweibti ruen tie. 
1CO.7.26	Nita nüne ne näire kukwe taretare tä nakenkä krübäte ni rüere, aisete mun brare kaibekaibe tä nüne ño mtare, ye kwrere munkwe nünandre janknu abko rabadre bäri kuin tuen tie. 
1CO.7.27	Akwa mata gure ne ngwane, makwe ñan meri makwe tuametre; akwa ma gure ñakare ne ngwane, makwe ñan meri känä jakrä. 
1CO.7.28	Akwa mun brare brare käkwe ja mikadre gure ne ngwane, munkwe ñan ja mikadre ngite Ngöbö rüere. Erere arato, meri kaibekaibe käkwe ja mikadre gure angwane, ja mikadre ngite ñakare kwetre Ngöbö rüere. Akwa nita ja mike gure abko kisete kukweta kite kri mda, ye abko ñan rakadrekä munbtä, abkokäre tita niere kore.
1CO.7.29	Ti mräkätre, ñobtä tita niere krörö: Ni Dänkien kebera kiteta amne kä kitera neme braibe ni käne, aisete ni gure gure käkwe nüna ni kaibekaibe kwrere sribikäre Ngöbökrä. 
1CO.7.30	Erere arato, ni bti kä drangwane drangwane abtä tä neme ulire ulire, yebtä ñan töbika kri kwe, akwa nünandre janknu kwe Ngöbökrä; nire nire käta kä ngwen nuäre jabtä, yebtä ñan töbika kri kwe, akwa nünandre janknu kwe Ngöbökrä; ni jändrän kökaka kökaka abko ñan töbikadre kri jändrän yebtä kwe, akwa nünandre janknu kwe Ngöbökrä; 
1CO.7.31	nire nire tä jändrän kä nebtä bkäne, yebtä ñan töbikadre kri kwe, akwa nünandre janknu kwe Ngöbökrä, ñobtä ñan angwane nünandre Ngöbökrä abko bäri ütiäte jändrän jökrä ngwä, ñobtä ñan angwane kä tuata nikwe ne abko näin jökrä ta aisete.
1CO.7.32	Akwa munkwe ñan töbikadre dikaro kukwe bätäkä ngwarbebtä, aisete tita blite kore munbe. Ye abko, ni brare kaibe käta töbike bäri jändrän ni Dänkienkwe yebtä amne, ni Dänkien moto mikadre ño nuäre kwe, yebtä tä töbike. 
1CO.7.33	Amne ni brare gure abko tä töbike bäri jändrän kä nebtä btä, aisete merire kwe moto mikadre ño nuäre kwe, yebtä tä töbike. 
1CO.7.34	Ye kwrere töita jändrän ketebu btä. Ye kwrere arato, meri kwäräi ñakare kwe amne meri kaibekaibe tä töbike bäri jändrän ni Dänkienkwe yebtä, käta ja ngrabare amne ja üai mike deme ni Dänkienkrä. Amne meri gure gure abko jändrän kä nebtä, btä tä töbike bäri, aisete kwäräi moto mikadre ño nuäre kwe, btä tä töbike bäri arato. 
1CO.7.35	Ne ñan ti tö kukwe tare mikai mun kötärä, käta ja mikamna gure ñakare munye, akwa munkwe sribidre jäme ni Dänkienkrä amne kukwe mda mda ñan rabadre mun jiete abko ie ti tö, käta niere kore munye.
1CO.7.36	Mdakäre abko, ni ruäre kwe meri bati, ben tä mikani jakrä kwärikwäri, ye ben tö ja mikai gure ne ngwane, ja mika gure kwe, ñobtä ñan angwane meri ye nena ünän amne ja mikadre gure kwe abko käi nena ie. Ne aisete ja mikadre gure kwe raba ruen ie angwane, dre nuendre abko rabadre bäri kuin raba ruen ie, erere nuen kwe, aisete ni tö raba ja mikai gure, käkwe ja mika gure. Yebtä abko ñan ja mikadre ngite kwe Ngöbö rüere. 
1CO.7.37	Akwa ni mda abko kwe meri bati ben tä mikani jakrä kwärikwäri, ye ben ñan tö raba ja mikai gure amne ni mdakwe ñan töi diandre rabakäre kaibe, akwa tä töbike kwatibe kore ja töi jenbti, ne ngwane ja ñan mika gure kwe jirekäbe abko rabadre dbe. 
1CO.7.38	Ne aisete, meri ben ni brare tä mikani jakrä kwärikwäri ye ben ja mikadre gure kwe abko rabadre kuin, akwa ñan ja mikadre gure ben kwe abko rabadre bäri kuin.
1CO.7.39	Mdakäre abko, ni merire gure gure abko brare kwe tä nüne, ye ngwane brare ñan tuametre kwe, akwa brare kwe krütadre kän ne ngwane, rabadreta kaibe ja mikakäreta gure, akwa ni tödekaka Jesubti aibe ben ja mikadreta gure kwe. 
1CO.7.40	Akwa ja ñan mikadreta gure kwe angwane, kä tädre bäri nuäre btä ruen tie. Ne abko Ngöbö Üai tä tibtä, aisete tita töbike kore, ye abko kuin ruen tie.
1CO.8.1	Jändrän kämikata ngöbö ngwarbe mikakäre ütiäte abko ngrie kwetadre ya, ñakare ya, abkobtä munkwe kukwe ngwianintari tie, yebtä ti bike blite mda. Mun jökrä käta niere krörö kukwe nebtä: Kukweta ükaninte ño era metre Ngöbökwe abko garera kuin jökrä nunye, munta niere jabtä. Akwa tita niere krörö: Kukweta ükaninte ño tä nüke gare kuin nie, nita nütüre angwane, nita nebe bike kri. Akwa nita ni mda mda tarere abko bäri ütiäte Ngöbökrä, ñobtä ñan angwane nita ni mda mda tarere angwane, nita die mike abko tita nütüre. 
1CO.8.2	Ni ruäre, ie kukweta ükaninte ño nena gare kuin tä nütüre, ye ngwane kukwe era metre ngämi nebe gare täte ietre. 
1CO.8.3	Akwa nire nire käta Ngöbö tarere, ni ye abko gare kuin Ngöböye.
1CO.8.4	Jändrän kämikata ngöbö ngwarbe mikakäre ütiäte, jändrän ye abko ngrie kwetadre ya, ñakare ya, btä ti bike blite mda. Era metre ngöbö ngwarbe ñakare jire amne era metre Ngöbö tärä itibe, ye gare kuin nie. 
1CO.8.5	Akwa kä käinbti ya, kä temenbtä ya, yete ngöbötre tärä abko ni ruäre käta niere. Ye kwrere bkänä, ni ñakare tödekaka Jesubti, kräke ngöbö tärä kwati amne dänkien tärä kwati arato. 
1CO.8.6	Akwa ni tödekaka Jesubti abko kräke Ngöbö tärä itibe. Niara abko ni Rün amne niarakwe jändrän jökrä dätebare amne nita nüne niarakrä. Erere arato, ni Dänkienta itibe ni kräke abko Jesukristo. Jesukristo ye mden köböire jändrän jökrä dätebare Ngöbökwe amne niara mikani ni dätekä kwe arato.
