GEN.1.1	Sintinoo ga, Irkoy na beenaa nda gandaa taka. 
JDG.20.22	Izirayel borey jamaa na bine tee, i na wongu-izey marga koyne nongoo kaŋ ra i bay ka marga zaari jinaa. 
JDG.20.23	Izirayel žigi ka koy, i hẽe Abadantaa jine hala cijinoo ra. I na Abadantaa ibaayoo ceeci ka nee: «Ay ga hima ka koy agʼarmaa Benžameŋ izey wongu koyne wala?» Abadantaa nee: «Wa žigi ka koy i ga.» 
JDG.20.24	Izirayel izey koy man Benžameŋ izey jirbi hinkantoo hane. 
JDG.20.25	Jirbi hinkantoo woo, Benžameŋ izey fatta Gibeya kʼi kubay. I na boro zenber woy cindi yaaha (18.000) kar ganda Izirayel izey ra koyne, borey wey kul manʼti kala takubakoyniyaŋ. 
JDG.20.26	Izirayel izey kul, jamaa kul žigi ka koy Betel, i hẽe ka cindi no din Abadantaa jine. Hanoo din, i meehaw hala cijinoo ra, i na 
JDG.20.27	Izirayel izey na Abadantaa ibaayoo ceeci. Waatoo woo, Irkoy 
JDG.20.28	Haruna izʼaroo Eleyazar, nga izʼaroo Pinehas goyoo zaaroo ti haney din. I nee: «Ay ga hima ka wongu marga ka koy agʼarmaa Benžameŋ izey wongu koyne wala ya sʼa tee koyne?» Abadantaa nee: «Wa žigi ka koy, zama suba ay gʼi daŋ ni kaboo ra.»
JDG.20.29	Woo ga, Izirayel na zanbaguusu tee ka Gibeya kuubi kʼa bere. 
JDG.20.30	Izirayel izey žigi ka koy ka Benžameŋ izey wongu jirbi hinzantoo. I na wongu-izey marga jama-jama Gibeya tenje sanda cee jinawey. 
JDG.20.31	Benžameŋ izey fatta ka koy Izirayel jamaa tangam, i nʼi gaaray ka mooru koyraa. I sintin ka wiiya Izirayel jamaa ra sanda cee jinawey takaa, i na boro waranza (30) wii hawsaa ra, i wiiya fondaa ra kaŋ ga žigi ka koy Betel, i wiiya fondaa faa ra kaŋ ga žigi ka koy Gibeya. 
JDG.20.32	Benžameŋ izey nee: «Ngi ne ka karandi ir jine sanda cee jinaa takaa!» Amma woo gar Izirayel izey nka nee: «Ir ma zuru kʼi moorandi koyraa ka koy fondawey here.» 
JDG.20.33	Izirayel borey kul na ngi dogey naŋ, jere foo koy tee jama-jama Bal-Tamar. Jere faa kaŋ na lantaa hirri haabu ka hun nongoo kaŋ ra i goo ka koy Geba farroo ra. 
JDG.20.34	Wongu-ize suubante zenber woyaa (10.000) hun Izirayel kul ra ka kaa Gibeya tenje. Wongoo koron, Benžameŋ izey si tammahã wala bone ga duu ngi. 
JDG.20.35	Abadantaa na Benžameŋ kar Izirayel jine. Hanoo din, Izirayel izey na boro zenber waranka cindi guu nda zangu (25.100) wii Benžameŋ borey ra, i kul manʼti kala takubakoyniyaŋ. 
JDG.20.36	Benžameŋ borey dii kaŋ ngi karandi.
JDG.20.36	Takaa ne kaŋ nda i nʼi kar: Izirayel borey nka muray ka zuru Benžameŋ borey jine, zama Izirayel izey ga bay kaŋ lanta no ngi nʼa hirri Gibeya. 
JDG.20.37	Borey kaŋ lanba ka zanbaguusu tee cahã ka gum Gibeya ga, i koy jine ka koyraa kul wii nda takuba. 
JDG.20.38	Izirayel borey na silbay foo noo cere se kaŋ ti zanbaguusu teekey ga hima ka dullu beeri tunandi koyraa ra. 
JDG.20.39	Izirayel borey yee banda wongoo ra. Benžameŋ sintin ka boroyaŋ wii Izirayel borey ra, boro waranza (30) cine. Benžameŋ izey nee: «Šikka sii kaŋ i karandi kaaray sanda cee jinaa wongoo takaa.» 
JDG.20.40	Amma dullu kuku sintin ka tun koyraa ra. Benžameŋ borey ɲeli, koyraa kul ti dullu kaŋ ga žigi beenaa ra. 
JDG.20.41	Waatoo kaŋ Izirayel borey bere i ga, Benžameŋ borey zalba, zama i dii kaŋ bone na ngi kar. 
JDG.20.42	I bere ka zuru Izirayel borey jine ka koy saajoo here. Amma wongoo mana ben, wey kaŋ ga hun koyrawey ra sintin kʼi wii, zama i na Benžameŋ izey daŋ game. 
JDG.20.43	I na Benžameŋ borey kuubi kʼi bere, i nʼi gaarandi hala Gibeya tenje waynahunay here kʼi motti. 
JDG.20.44	Boro zenber woy cindi yaaha (18.000) ka buu Benžameŋ borey ra, i kul manʼti kala wongaariyaŋ. 
JDG.20.45	Affooyaŋ bere ka zuru ka koy saajoo ra, Rimoŋ tondoo here, amma i na boro zenber guu (5.000) wii Benžameŋ izey fondaa ra, i koy a ga kʼi gaarandi hala Gidom, i yee ka boro zenber hinka (2.000) wii i ra. 
JDG.20.46	Boro hinnaa kaŋ buu Benžameŋ alkabiilaa ra hanoo din manʼti kala boro zenber waranka cindi guu (25.000) kaŋyaŋ ti takubakoyni, i kul manʼti kala wongaariyaŋ. 
JDG.20.47	Boro zangu iddu (600) bere ka zuru ka koy saajoo ra, Rimoŋ tondoo do, i cindi Rimoŋ tondoo do handu taaci. 
JDG.20.48	Izirayel borey yee kate Benžameŋ izey se, i na Benžameŋ izey wii nda takuba ka huru ngi koyrawey kul ra ka borey, nda adabbawey, nda haya kul wii kaŋ goo i ra. Koyrawey kul kaŋ goo no din, i na nuune daŋ i ra.
JDG.21.1	Mispa koyraa ra Izirayel borey žee ka nee: «Boro kul ir ra si nga ize woyoo hiijandi Benžameŋ boro se.» 
JDG.21.2	Jamaa koy Betel, i goro no din Irkoy jine hala almaaroo ra. I na jinde jer ka hanse ka hẽe. 
JDG.21.3	I nee: «Abadantaa, Izirayel Koyoo, macin se woo tee Izirayel ra hala nongu kaŋ ra Izirayel alkabiila foo kuma?» 
JDG.21.4	Subaa ra, jamaa biya ka tun, i na sargari tonadoo cin no din ka 
JDG.21.5	Izirayel izey nee: «Alkabiila foo no alkabiilawey ra ka mana žigi ka koy margaroo ra Abadantaa do?» Zama žeeyan beeroo kaŋ teendi nee kaŋ boro kaŋ mana žigi ka koy Abadantaa do Mispa koyraa ra, žeeyanoo nee: «A waazibi boraa ma wiiyandi.» 
JDG.21.6	Ka gar Izirayel izey biney maray ngi armey Benžameŋ borey se, i nee: «Hõ alkabiila foo halaci ka hun Izirayel ra. 
JDG.21.7	Benžameŋ arey kaŋ cindi, man ra ir ga duu i se woy hiijay se, zama ir nka žee nda Abadantaa kaŋ ir sʼi noo ir ize woyey i ma hiiji ey?»
JDG.21.8	I nee: «Izirayel alkabiilawey ra boro goo no kaŋ mana žigi ka koy Abadantaa do ne Mispa wala? Woo gar Yabeš koyraa kaŋ goo Galad gandaa ra, boro kul mana koy kaloo do margaroo ra kaŋ tee Mispa.» 
JDG.21.9	I na jamaa laasaabu, i gar kaŋ cimi no kaŋ Yabeš kaŋ goo Galad boro kul sii a ra. 
JDG.21.10	Jamaa na boro zenber woy cindi hinka (12.000) wongaariyaŋ sanba no din kʼi yaamar ka nee i se: «Wa koy Yabeš kaŋ goo Galad borey wii nda takuba, ngi, nda woyey, nda zankey. 
JDG.21.11	Hayaa ne kaŋ war gʼa tee: ‹War ma arey kul halaci sõy, nda woy kul kaŋ kani nda aru.›» 
JDG.21.12	Borey ra kaŋ goo Yabeš kaŋ goo Galad, i duu woysoogo zangu taaci (400), hondiyaw kaŋ mana bay ka marga nda aru, i kate ey kaloo do kaŋ goo Silo, Kanaŋ gandaa ra.
JDG.21.13	Woo banda ga, jamaa kul na dontokawyaŋ sanba i ma šelaŋ Benžameŋ izey se kaŋ goo Rimoŋ tondoo do ka alaafiya tee nda ey. 
JDG.21.14	Alwaatoo woo Benžameŋ izey yee kate. Izirayel izey nʼi noo woyey kaŋ cindi kaŋ mana wiiyandi kaŋ i duu ey Yabeš kaŋ goo Galad. Amma woyey hinnaa si too i se.
JDG.21.15	Jamaa hinna Benžameŋ borey se, zama Abadantaa nka folgu kaa Izirayel alkabiilawey ra. 
JDG.21.16	Jamaa boro beerey nee: «Macin no ir gʼa tee wey kaŋ cindi se hala i ma duu wande, zama Benžameŋ woyey kul halacandi?» 
JDG.21.17	I nee: «Borey kaŋ cindi Benžameŋ borey ra ma gaabu hayey ga kaŋ goo i kone hala ngi alkabiilaa masi tuusandi ka hun Izirayel ra. 
JDG.21.18	Amma ir, Izirayel izey, ir si hin kʼi noo ir ize woyey i ma tee ngi wandey, zama ir nka žee ka nee: ‹Boraa ma laali kaŋ na Benžameŋ boro noo wande.›»
JDG.21.19	Izirayel izey nee: «Aywa, jiiri kul jingar ga tee Abadantaa maaɲoo ga Silo ra kaŋ goo Betel se hawsa here, a goo waynahunay here fondaa se kaŋ ga kaŋ ga hun Betel ka žigi ka koy Šekem, Silo goo Lebona se gurma here.» 
JDG.21.20	Woo banda ga, i na Benžameŋ izey noo yaamaroo woo ka nee: «Wa koy tugu 
JDG.21.21	War ma guna, waati kaŋ Silo ize woyey ga fatta ka gan, war ma fatta alaneb faarey ra, boro foo kul ma Silo ize woy foo dii, war ma koy nda ey Benžameŋ gandaa ra. 
JDG.21.22	Nda ngi baabey wala armey kaa ka war wurru ir do, ir ga nee i se: ‹Wa alhormo tee i se, ir mana hin ka duu woy ngi affoo-foo kul se wongoo ra. Manʼti war kʼi noo woy, war mana tooɲe.›»
JDG.21.23	Woo kaŋ Izirayel izey nʼa har, Benžameŋ borey nʼa tee nda takaa din da. I na woy kaŋ hinnaa ga too zaa gankey ra kaŋ i nʼi kom, woo banda ga, i koy, i yee ngi laboo ra. I yee ka ngi koyrawey cin, i goro i ra. 
JDG.21.24	Alwaatoo din, Izirayel izey hun no din, boro foo kul koy nga alkabiilaa ra nda nga hugoo do, i hun no din, boro foo kul koy nga laboo ra.
JDG.21.25	Alwaatey din ra, kokoy sii Izirayel ra. Boro foo kul ga tee haya kaŋ kan a se.
RUT.1.1	Zamanoo kaŋ ra alkaaley no ma laama Izirayel gandaa ra, heray beeri foo tee no din. Heraa woo sabbu se aru foo kaŋ ti Betelehem koyraa boro, Žuda gandaa ra, naaru ka goro ka waati tee Mowab hawsaa ra. A gana, nga nda nga wandoo nda nga izʼaru hinkaa. 
RUT.1.2	Aroo woo maaɲoo ti Elimelek, wandoo maaɲoo ti Nawomi, izʼaru hinkaa maaɲey ti Mahiloŋ nda Kiliyoŋ. Ngi koyra-izoo maaɲoo ti Efrata kaŋ goo Betelehem, Žuda gandaa ra. I cindi Mowab hawsaa ra. 
RUT.1.3	Waatoo kaŋ i goo no din Elimelek buu kaŋ ti Nawomi kurɲoo. Nawomi cindi, nga nda nga izʼaru hinkaa hinne. 
RUT.1.4	Nga izʼaru hinkaa hiiji Mowab woyyaŋ. Woy faa maaɲoo ti Orpa, affaa maaɲoo ti Rutti. I goro no din haya kaŋ too jiiri woy (10). 
RUT.1.5	Woo banda ga, Mahiloŋ buu, Kiliyoŋ buu. Nawomi hinne ka cindi, a jaŋ kurɲoo, a jaŋ izey.
RUT.1.6	Hanoo kaŋ Nawomi maa kaŋ Abadantaa hinna nga gandaa borey ga ka heraa sanbu i ga, Nawomi soola ka hun Mowab ka yee nga koyra žeenaa ra, nga nda nga nzura woy hinkaa. 
RUT.1.7	I na fondaa zaa cere bande ka dira ka koy Žuda gandaa ra. 
RUT.1.8	Nawomi nee nga nzura hinkaa se: «War si willi war do wala? War affoo kul ma koy nga ɲaa hugoo do. Ay gʼa ŋaaray Abadantaa ga, a ma gomni tee war se, takaa kaŋ nda war nʼa tee agay nda aru bisantey se. 
RUT.1.9	Abadantaa ma war affoo kul noo hiijay taaga kaŋ ga war biney yaynandi.» Šennoo woo banda ga, kaŋ a ga baa ka šerre, a na affoo kul summu. De nzura woy hinkaa hẽe hala ngi mundawey doo. 
RUT.1.10	De i nee Nawomi se: «Kalaa, kalaa, ir si hun ni bande, ir ga hanga ni ka koy ni gandaa ra.» 
RUT.1.11	Nawomi zaabi ka nee i se: «Ay ize woyey, wa willi war do. Macin se war ga baa war ma hanga ay bande? Ay žen, ay si hay koyne, soko ya hin ka duu izʼaruyaŋ kaŋ ma war hiiji. 
RUT.1.12	Ay ize woyey, wʼay naŋ, war ma willi war do. Ay hanse ka žen hiijay se. Ba nda ay hiiji, de hõ cijinoo hunday ra ay duu izʼaruyaŋ, 
RUT.1.13	war ga hongu kaŋ war ga hin kʼi batu hala i ma beeri? Woo se war ga wanji ka hiiji jina wala? A si hin ka tee, ay ize woyey! Abadantaa kaboo kʼay kar, ay doroo ga hanse ka bisa war wanoo.»
RUT.1.14	Orpa nda Rutti yee ka hẽe hala ngi mundawey doo. Woo banda ga, Orpa na Nawomi naagu nga gandoo ra kʼa summu-summu, de a willi. Amma Rutti wanji ka hun Nawomi bande. 
RUT.1.15	Nawomi nee Rutti se: «Nʼga dii ni albora woyoo Orpa yee nga dumoo nda nga koyey do kaŋ a gʼi gana. Ni mo ma hanga a bande ka willi ni borey do.»
RUT.1.16	Rutti nee Nawomi se: «Masʼay gaabi ya hun ni bande, ka yee ay do. Nongu kul kaŋ ra nʼga koy, nga ra ay ga koy. Nongu kaŋ ra nʼga goro, nga ra ay ga goro. Ni dumoo ga tee ya ne dumi. Koyoo kaŋ nʼgʼa gana ga tee ya ne Koy. 
RUT.1.17	Nongu kaŋ ra nʼga buu nga ra ay ga buu, no din mo ra ay ga suturandi. Abadantaa ma goy goy ay ga nda ay hun ni bande, nda manʼti buuyan kʼir kaa cere ga.»
RUT.1.18	Nawomi dii kaŋ Rutti kayandi nga ma hanga nga, woo se a mana yee ka šendandi a ga. 
RUT.1.19	I dira cere bande ka koy hala Betelehem. Waatoo kaŋ i too Betelehem, koyraa borey kul miɲey cindi i ga hay. Koyraa woyey ga cere hãa ka nee: «Nawomi da ti woo?» 
RUT.1.20	A tuuru i se ka nee: «War masʼay cee nda Nawomi (maanaa ‹
RUT.1.21	Kaŋ ay ga hun ne, borotaray goo ay ga, amma Abadantaa nʼay yeeti kate ay kabe kooney. War masʼay cee koyne nda Nawomi, zama Abadantaa bere ay ga, de Hini-kul-koyoo nʼay kar.»
RUT.1.22	Takaa woo nda Nawomi kaa ka hun Mowab hawsaa ra. Nga nda nga nzura woyoo Rutti kaŋ ti Mowab boro. I mana kaa Betelehem kala 
RUT.2.1	Nawomi goo nda nga kurɲoo Elimelek boro foo kaŋ maaɲoo ti Bowazu. Almankoyni no kaŋ goo nda addawla. 
RUT.2.2	Han foo Rutti kaŋ ti Mowab boro, nee Nawomi se: «Nʼsi naŋ ya koy faarey ra ka jeeney kurma kaŋ hegaykey ga bisa i ga. Ay ga tammahã ya duu boro kaŋ ma yadda ya kurma nga dumaa ga.» Nawomi nee a se: «A boori, ay izoo, koy.»
RUT.2.3	Rutti koy faari foo ra hegaykey dumawey ga. De a sintin ka jeeney kurma kaŋ hegaykey ga bisa i ga. A kaa ka gar mo kaŋ faaroo kaŋ ra Rutti koy kurma, Elimelek baaba-ize foo kaŋ maaɲoo ti Bowazu wane nda a. 
RUT.2.4	Hala a ga gay kayna kul Bowazu hunday hun Betelehem ka kaa nga faarey ra. A too kate, kul a sallam hegaykey ga ka nee: «Abadantaa ma war gaa.» I tuuru ka nee a se: «Abadantaa ma albarka daŋ ni ra.» 
RUT.2.5	Bowazu na hegaykey jineboraa hãa ka nee: «May ti woyoo woo?» 
RUT.2.6	Hegaykey jineboraa nee a se: «Woyoo woo Mowab gandaa boro no. Nga ti boraa kaŋ hanga Nawomi bande ka kaa ka hun Mowab. 
RUT.2.7	A nkʼa wiri ir ga nga ma jeeney kaŋ ir ga bisa i ga kurma. Za subbaahoo hala sohõ da cewey ga a goo, a ga goy nda manʼti waati kayna kaŋ a hunanzam.»
RUT.2.8	Bowazu na Rutti cee ka nee a se: «Ay izoo, haŋajer ya ne, masi koy kurma faari kul ra nda manʼti ne. Ni nda ay goykaw woyey ma goy cere bande. 
RUT.2.9	Ma lakkal daŋ ka bay nongoo kaŋ ra i ga hegay. De ma hanga woyey kaŋ ga goy bande. Ay bayrandi ay goykey se kaŋ i masi haya futu kul tee ma ne. Nda jaw na ni dii, ma koy hari haŋ kusey kaŋ i nʼi too ra.» 
RUT.2.10	Kaŋ Bowazu šelaŋ ka ben, Rutti sonkom a se jina, a nee a se: «Macin se nʼga borohennataraa woo kul tee ya ne? Agay kaŋ yaw de ti agay!» 
RUT.2.11	Bowazu nee a se: «I na takaa kul filla ya ne kaŋ nʼnʼa tee ni nzura woyoo se ni kurɲoo buuyanoo banda ga. Ay ga bay kaŋ ni hun ni baaba nda ni ɲaa do, nda ni gandaa ra, ka kaa dumi waani do kaŋ mana bay kʼa bay. 
RUT.2.12	Ay ga Abadantaa ŋaaray kaŋ ti Izirayel Koyoo. A ma ni bana. A ma ni noo nga sufuraa, nga kaŋ fatawey cire nʼkaa ka talfi.» 
RUT.2.13	Rutti nee a se: «Aru beeroo, ni tee ya ne boro henna. Nʼnʼay binoo yaynandi. Šenni henney kaŋ nʼnʼi har ya ne, nʼay binoo daŋ, agay kaŋ si too ba ni goykey affoo.»
RUT.2.14	Kaŋ cirkosaa waatoo too Bowazu nee Rutti se: «Kaa ka ŋaa. Takula zaa ka sufa maafaa ra.» Rutti goro goykey jerey ga. Bowazu na taasu gurunbu haagante šerre a se. A ŋaa hala a kungu, de a na cindoo jisi. 
RUT.2.15	Waatoo kaŋ Rutti yee ka tun ka jeeni kurma, Bowazu na nga goykey yaamar ka nee i se: «Wa naŋ a ma kurma ba jeeni hawarey nda cere game. War masi haya laala kul tee a se. 
RUT.2.16	War ma muray ka jeeniyaŋ kaŋandi hala a mʼi kurma. De mo war masi šenni laala kul har a se.»
RUT.2.17	Takaa woo nda Rutti cindi a ga kurma faaroo ra hala almaaroo ra. A na jeeney kar ka 
RUT.2.18	A nʼa jere ka koy hugey do. A na taasoo kaŋ a nʼa kurma cebe nga nzuraa se. A yee ka nga cirkosaa cindoo kaŋ a kate a nga bande noo Nawomi se. 
RUT.2.19	Nawomi nʼa hãa ka nee: «Faari foo ra nʼkoy kurma hõ? Man ra nʼgoy? Abadantaa ma albarka daŋ boraa ra kaŋ na borohennataray cebe ma ne.» Rutti sintin ka deede Nawomi se kaŋ nga mana goy kala faari foo ra kaŋ koyoo maaɲoo ti Bowazu. 
RUT.2.20	Nawomi nee nga nzuraa se: «Abadantaa ma albarka daŋ aroo woo ra, nga kaŋ gomnoo ga hanga hundikoyney nda bukawey kul.» Nawomi yee ka nee a se: «Aroo woo ti ir boro maana. A goo mo borey ra kaŋ ga hima kʼir zaa.» 
RUT.2.21	Rutti kaŋ ti Mowab boro, yee ka nee nga nzuraa se: «Bowazu nee ya ne, ya cindi ka kaa ka kurma nga goykey dumawey ga hala hegaa ma ben.» 
RUT.2.22	Nawomi nee Rutti se: «A boori, ay izoo. Cindi ka koy goy Bowazu goykaw woyey bande hala boro kul masi ni žilla.»
RUT.2.23	Rutti cindi a ga koy kurma Bowazu goykaw woyey bande, hala i na orž jinaa nda alkamaa kul hegay ka ben. Woo kul ra, Rutti cindi nga nzuraa Nawomi do.
RUT.3.1	Han foo Nawomi nee Rutti se: «Ay izoo, ay ga baa ya ni hoyray. Ay ga hima ka ceeci hala ay meešennoo ma tee ma ne sabbu kaŋ ga ni moɲoo yaynandi. 
RUT.3.2	Nʼga bay kaŋ Bowazu kaŋ ni nda nga goykaw woyey cindi ka goy cere bande, ir boro no? Aywa! Hõ cijinoo no, a ga koy nongu foo ra ka 
RUT.3.3	Sohõ ɲumay, ma turaari daŋ, ma ni darbay henney daŋ. Woo banda ga, ma koy farroo kaŋ ra a ga hima ka faara. Nda nʼtoo no din masi naŋ a ma bay wala nʼgoo no kala waati kaŋ a ŋaa, a haŋ ka ben. 
RUT.3.4	Waati kaŋ a koy kani, ma hanse ka nga kanidogoo laasaabu. Nda a kani, nʼdii kaŋ a jirbi kul, ma koy a do ka nga gumtaafaa kaa ceetaamey ga.
RUT.3.5	Rutti na nga nzuraa zaabi ka nee: «Ay ɲaa, haya kul kaŋ nʼnʼa har ya ne ay gʼa tee.»
RUT.3.6	Woo banda ga, Rutti tun ka koy farroo kaŋ ra Bowazu ga nga taasoo feetu. De a na takaa kul tee kaŋ nga nzuraa nʼa har a se. 
RUT.3.7	Kaŋ Bowazu ŋaa, a haŋ ka ben, binoo ɲaali. A koy kani nga taasoo kaŋ a nʼa marga jeroo ga. Waatoo kaŋ a jirbi, Rutti moolimooli ka koy gumtaafaa hibi Bowazu ceetaamey ga ka kani i cire.
RUT.3.8	Cijinoo gamoo ra Bowazu jiti, de a fuuni nga cewey here, a dii kaŋ woy foo bara no ma kani nga cewey cire. 
RUT.3.9	De Bowazu nʼa hãa ka nee: «May ti ni?» Rutti nee a se: «Agay no Rutti, ni koŋŋaa. Tee ya ne talfikaw, zama haya kaŋ se nʼgoo ir boro maanawey ra kaŋ ga ay goo nda alhaku.» 
RUT.3.10	Bowazu nee a se: «Ay izoo, Abadantaa ma albarka daŋ ni ra. Woo kaŋ ni ne kʼa tee ga cebe ir se takaa kaŋ nda nʼga hanse ka baa ni nzura woyoo hugey borey ka bisa ba cee jinaa. Mana arusooga almankoyni wala woo kaŋ sii nda alman ceeci a ma baa ni. 
RUT.3.11	Sohõ ay izoo, ni lakkaloo ma kani. Haya kul kaŋ nʼnʼa har, ay gʼa tee, zama koyraa kul ga bay kaŋ woy atabiyahennakoyni ti ni. 
RUT.3.12	Cimi no ay goo borey ra kaŋ ga hima ka ni zaa. Amma aru foo goo no kaŋ ga man war baaba-izetaray ra ka bisa agay. 
RUT.3.13	Sohõ kani ne hala moo ma boo. Nda moo boo, ir ga kaa ka bay wala aroo din kaŋ ga man ni baaba-izetaray ka bisa agay, ga baa nga ma ni zaa jina. Nda a yadda, a boori, a mʼa tee. Amma nda a si kan a se, ay na ni noo allaahidu kaŋ ay ga ni zaa, šikka kul sii a ra, takaa kaŋ nda šikka kul sii kaŋ Abadantaa ga bara. Kani hala moo ma boo.»
RUT.3.14	Rutti cindi ka kani Bowazu cewey cire, amma a tun za alfazar. Bowazu si baa boro kul ma bay kaŋ woy kani no din ra. 
RUT.3.15	Waatoo kaŋ Rutti too koyyan Bowazu nee a se: «Ni sanfitoo kaa, de mʼa dii ya ne.» Rutti nʼa kaa, de Bowazu na orž kilo waranka (20) cine doori a ra, kʼa jerandi a se. Woo banda ga, Bowazu koy hugey do.
RUT.3.16	Waatoo kaŋ Rutti too hugey, nga nzuraa nʼa hãa ka nee: «Ay izoo, taka foo ka tee?» Rutti na hayey kul filla a se kaŋ Bowazu nʼi tee nga se. 
RUT.3.17	A yee ka nee Nawomi se kaŋ Bowazu nee nga se: «Rutti, nʼsi hima ka yee ni nzuraa do nda ni kabe kooney.» De a nʼay noo orž kaŋ ga too kilo waranka (20) cine. 
RUT.3.18	Nawomi nee Rutti se: «Dangay ka batu, ay izoo, hala ma dii hayey wey kul kokoroo, zama ay ga bay kaŋ Bowazu lakkaloo si kani nda a mana šennoo woo benandi hõ zaaroo.»
RUT.4.1	Bowazu koy goro nongoo kaŋ ra koyraa borey ga marga kaŋ sii kala koyraa miɲoo jeroo ga. Bowazu goo ma goro no din da, kaŋ aroo kaŋ ga man Rutti baaba-izetaray ra ka bisa a da ne ma kaa. Bowazu ciya a se ka nee: «Armaa aroo, kaa ka goro ne ra.» Aroo kaa, a goro Bowazu jeroo ga. 
RUT.4.2	Woo banda ga, Bowazu na boro beeri woy (10) cee koyraa alwakiiley ra. A nʼi gorandi i ma seede. 
RUT.4.3	Waatoo din Bowazu šelaŋ ka nee Rutti boro maanaa se: «Nawomi kaa ka hun Mowab, de sohõ a ga baa nga mʼir armaa Elimelek faaroo kaŋ a buu kʼa naŋ yeeti hugey borey affoo se. 
RUT.4.4	Ay baa ya ni bayrandi kaŋ, nda nʼga baa ma faaroo zaa ka huga nda a, mʼa zaa koyraa alwakiiley nda borey kaŋ goo ne kul jiney ra. Nda nʼga bagʼa, mʼa zaa. Nda nʼsi bagʼa mo, mʼa har ya ne, ya bay. Zama nda nʼsʼa zaa, kul agay ti boro maanaa kaŋ ga kaa ni dumaa ga kaŋ ga hima kʼa zaa.» Aroo nee Bowazu se: «Ay gʼa zaa.» 
RUT.4.5	Bowazu yee ka nee a se: «Nda nʼna Nawomi faaroo zaa ka huga nda a, nʼga Rutti mo sanbu kʼa hiiji kaŋ kaa ka hun a bande Mowab. Hala a ma hin ka duu izʼaru, kurɲoo kaŋ buu maaɲoo masi dere.» 
RUT.4.6	Rutti boro maanaa nee Bowazu se: «Nda takaa woo no, ay tun a ga. Ay si faaroo zaa, ay si Rutti hiiji. Zama takaa woo ra ay zankey tuboo ra haya ga kaa ka hun. Agay hunday ngi zaayanoo si tee ya ne, i zaa ay dogoo ra.»
RUT.4.7	Zamanoo din Izirayel gandaa ra ngi alaadaa ti nda boro ga baa nga ma hayayaŋ yeeti boro foo maaɲoo ga, wala ka huga nda hayayaŋ cere se, affoo mma nga taami cala faa kaa kʼa noo affaa se. Woo no ma cebe kaŋ waafakay tee. 
RUT.4.8	Woo se waatoo kaŋ Rutti boro maanaa nee Bowazu ma huga nda faaroo, kul a na nga taami cala faa kaa kʼa noo Bowazu se.
RUT.4.9	Woo banda ga, Bowazu nee koyraa alwakiiley nda borey kul kaŋ goo no se: «Hõ war ga seede kaŋ ay duu Nawomi ga Elimelek hayey kul kaŋ goo Kiliyoŋ nda Mahiloŋ maaɲey ga. 
RUT.4.10	Faaroo zaayanoo banda ga, Rutti kaŋ ti Mowab boro kaŋ Mahiloŋ buu kʼa naŋ, ay gʼa sanbu hiijay se. Takaa woo ra faaroo ga cindi bukaa borey maaɲey ga. De mo ize kaŋ Rutti nʼa hay ga tee Mahiloŋ tubukaw, hala bukaa maaɲoo masi dere armey ra nda gandaa ra. War kul ga seede hõ.» 
RUT.4.11	Alwakiiley kaŋ cindi no din nda alžamaa kul tuuru Bowazu se ka nee: «Ir ga seede. Ir gʼa ŋaaray Abadantaa ga, a ma albarka daŋ woyoo ra kaŋ ni ne kʼa zaa. A ma tee Rašel nda Leya cine kaŋyaŋ ti Izirayel hugu-izey kul ɲaa! Ni almaanoo ma boobo koyra-izoo ra kaŋ se i ga nee Efrata. De Abadantaa ma ni maaɲoo mo jer Betelehem koyraa ra. 
RUT.4.12	Abadantaa ma ni noo ize boobo woyoo woo ga, hala ni hugoo ma beeri ka tee Peres kaŋ ti Žuda nda Tamar izʼaroo, wanoo cine.»
RUT.4.13	Bowazu na Rutti hiiji. Abadantaa doonandi Rutti se, a tee boro hinka. A duu nga boŋ, a duu izʼaru. 
RUT.4.14	Waatoo kaŋ woo tee Betelehem woyey nee Nawomi se: «Albarka ma bara Abadantaa se kaŋ na ni noo talfikaw hõ. Irkoy ma ni haamaa noo maa Izirayel gandaa ra. 
RUT.4.15	Zankaa woo ga ni hunaroo noo addalil. A ga ni faaba ni ženyanoo ra, zama ni nzura woyoo kaŋ ga hanse ka baa ni ka duu ma ne izoo woo. Ni nzuraa woo bisa ma ne izʼaru boro iyye.» 
RUT.4.16	Nawomi na zankaa taanaa zaa nga gandoo ra. Nga no ka zankaa biiri. 
RUT.4.17	Nawomi taalamma woyey, nongoo kul ra i nee cere se: «War ga bay kaŋ Nawomi duu izʼaru.» De i na zankaa maaɲoo daŋ Obed. Waatoo kaŋ Obed beeri, a duu izʼaru kaŋ a na maaɲoo daŋ Yišay. Yišay woo, nga ti Dawda baaba.
RUT.4.18	Kaagey kaŋ ga Dawda hun maaɲey ti wey, kʼa zaa za Peres ga. Peres ti Hesroŋ baaba; 
RUT.4.19	Hesroŋ ti Ram baaba; Ram ti Aminadab baaba; 
RUT.4.20	Aminadab ti Nahišoŋ baaba; Nahišoŋ ti Salmuni baaba; 
RUT.4.21	Salmuni ti Bowazu baaba; Bowazu ti Obed baaba; 
RUT.4.22	Obed ti Yišay baaba; Yišay ti Dawda baaba.
