MAT.1.1	Gyoo Defidi na Aberaham be naanabii Yesu Kristo duuluŋ man balaŋ yaa.
JHN.20.14	Ɔ ke yako mena nɛ, ɔ gɛɛsewɔ kɛɛ na te ɔ naa Yesu seŋɛɛ, mɔna ɔ ta gyem nyi Yesu ŋonaŋ ya. 
JHN.20.15	Keŋte Yesu bɔɔse e nyiaa, “Alo, weera n ne wii? Amɔte yaa n ne kɛo?” Na Mɛɛre gyeŋ nyi walaŋ ŋon ɔ ne kɛɛ wɔɔbii keŋ dɔɔ nɛ ŋonaŋ, mena dɔɔ ɔ yako e nyiaa, “Tobaale, akpaa nyaŋ moona woo ŋon ka weese na, wola maŋ botɔɔ keŋ n ba mo e ka see na me kaa mo e ta.” 
JHN.20.16	Keŋte Yesu baake e nyiaa, “Mɛɛre!” Mɛɛre gɛɛsewɔ kɛɛ te ɔ fae yeesa baake e be dɛɛ dei man nyiaa, “Raboni” keŋ nawolo nyi “De Gbeŋgyoo” 
JHN.20.17	Keŋte Yesu yako e nyiaa, “Na tina maŋ ya, nawolo nyi me te gyuu ta me kya ŋon gyaŋ ya. Mɔna bese gyu me kaseela baŋ gyaŋ na n kaa yako wɔ nyi ‘Mee gyu me kya ŋon ɔ yɛɛ ɛ kya e nɛ, na me Wurubuarɛ ŋon ɔ yɛɛ ɛ Wurubuarɛ e nɛ gyaŋ.’ ” 
JHN.20.18	Mena dɔɔ Mɛɛre Magedala ŋon gyuuwɔ ke yako kaseela baŋ nyiaa “Ma te naa de Gbeŋgyoo Yesu ŋon.” Te ɔ besewɔ yako wɔ nombia ŋan Yesu be yako e nyi waa yako wɔ nɛ.
JHN.20.19	Kosida kenaŋ balinɔɔ nɛ, kaseela baŋ gyuuwɔ ke gyaŋee deni man te be tɔɔ disim do ba wose, nawolo nyi bee yee Gyudatena kegyiise baŋ. Debokenaŋ man te Yesu kaa bɛɛwɔ lee ba nsana te ɔ yako wɔ nyiaa, “Wosefɛɛreŋ dɛɛ kyaa na ŋon.” 
JHN.20.20	Ɔ ke yako wɔ mena nɛ, ɔ moo ɔ nyiŋmaa na ɔ yenaabia gyam keŋ wola wɔ. Keŋte yɛɛ ɔ kaseela baŋ gyoŋ nideli nyi ba te naa be Gbeŋgyoo ŋon bela. 
JHN.20.21	Keŋte Yesu besewɔ yako wɔ nyiaa, “Wosefɛɛreŋ dɛɛ kyaa na ŋon, mena keŋ me kya ŋon be kpila maŋ nɛ, mena ke yaa mɛɛ kpila ɛmɛɛ mɔ.” 
JHN.20.22	Ɔ kekolosi nombia kɛŋa taŋ nɛ, ɔ lee weesɛɛ woli wɔ te ɔ yako wɔ nyiaa, “Ɛ lɛɛ Wurubuarɛ feliŋ ŋon na waa kyaa ɛ man. 
JHN.20.23	Akpaa ɛ mo ŋolo nombiakumɛɛ kyɛɛ e na, Wurubuarɛ mɔ waa mo kyɛɛ e. Te akpaa ɛ bɛɛ ɛ ta mo ŋolo nombiakumɛɛ kyɛɛ e ya na, Wurubuarɛ mɔ be gyae waa mo kyɛɛ e ya.”
JHN.20.24	Wee kenaŋ keŋ Yesu be kaa lese ɔ wose wola ɔ kaseela kufu bala baŋ nɛ, na be man ŋolo ŋon bɛɛ baake e nyi Tomase yaa Ata nɛ be kpuɛ na ɔ tebia ya. 
JHN.20.25	Mena dɔɔ Yesu kaseela akaŋ baŋ yako Tomase nyiaa, “Da te naa de Gbeŋgyoo ŋon.” Keŋte Tomase yako wɔ nyiaa, “Akpaa me ta mo me sia naa nyeelabia gyaŋtarɛɛ ŋan, na maa mo me nyimbii do ɔ yenaabia gyam keŋ man ya nɛ, maŋ be gyae maa lɛɛ di korakora ya.” 
JHN.20.26	Weeya gyanaara wɔle nɛ, na ɔ kaseela baŋ te gyaŋee deni man bela. Wee kenaŋ na Tomase mɔ kpuɛ na wɔ. Ba te tɔ asima ŋan pou, karatetee dokoloŋ te Yesu kaa bɛɛwɔ lee be dɔɔ te ɔ yako wɔ nyiaa, “Wosefɛɛreŋ dɛɛ kyaa na ŋon.” 
JHN.20.27	Keŋte ɔ yako Tomase nyiaa, “Mo n nyiŋmaa do me nyiŋmaa bɔɔ man na n ke kɛɛ me nyiŋmaase, na n ka mo n nyimbii do ma yenaŋ kɛɛ. Tina aŋmaareŋ kelɛɛ yela na n ke lɛɛ di.” 
JHN.20.28	Botɔɔ te Tomase tiranɔɔ nyiaa, “Nyaŋ yɛna me Gbeŋgyoo na me Wurubuarɛ.” 
JHN.20.29	Keŋte Yesu bɔɔse e nyiaa, “Keŋ n be naa maŋ dɔɔ te n lɛɛwɔ di? Balaŋ baŋ ba te naa maŋ ya te bɔɔ lɛɛ di nɛ, baŋ na nyeebam.”
JHN.20.30	Yesu besewɔ yɛɛ gyakoloŋ nombia burum ŋan ɔ kaseela baŋ be naa na be sia, mɔna na ŋe popou te be ŋmarasewɔ do tɔne kei man ya. 
JHN.20.31	Mɔna be ŋmarase kɛŋa bo na ɛ ke lɛɛ di nyi Yesu yɛna Wurubuarɛ bu na nyeelɛɛre ŋon. Na nyaŋ ŋon n lɛɛ e di na, n ke nyiŋ nyeedoŋ kekpaa keŋ ɔ yele man.
JHN.21.1	Kɛŋa pou wɔle nɛ, Yesu besewɔ lese ɔ wose wola ɔ kaseela baale Tiberiase boo nɔɔman. Mena keŋ ɔ ba lese ɔ wose wola wɔ yaa. 
JHN.21.2	Ɔ kaseela baŋ bɛɛ baake wɔ Simɔn Pita na Tomase ŋon bɛɛ baake e Ata nɛ na Natanɛle ŋon ɔ ba lee Kaanan donɔɔ keŋ ke kyaa Galelia tɛɛle man nɛ, na Sebedeo bia na ɔ kaseela bala baale gyuuwɔ ke kyaa bom. 
JHN.21.3	Keŋte Simɔn Pita yako wɔ nyiaa, “Mee gyu boo man me kaa kyaŋ kpebia.” Te baŋ mɔ yako e nyiaa, “Daa mɔ dee sila neŋ gyu.” Mena dɔɔ be gyuuwɔ ka gyoo degbele man te be laŋawɔ. Be lɔɔ asawu nelim kenaŋ pou mɔna ba te kyaŋ kolo ya.
JHN.21.4	Tɛɛ kena nebo nebo fuu nɛ, be kɛɛ na ŋolo seŋɛɛ la boo nɔɔman, na n kɛɛ nɛ Yesu ŋonaŋ. Mɔna ɔ kaseela baŋ ta gyeŋ e ya. 
JHN.21.5	Keŋte Yesu bɔɔse wɔ nyiaa, “Tewulɛɛ, doona ɛ te kyaŋ kolo ya?” Te be tiranɔɔ nyiaa, “Koa de te nyiŋ kpebii dokoloŋ paŋpaŋ gba ya.” 
JHN.21.6	Keŋte ɔ yako wɔ nyiaa, “Ɛ fuŋ ya asawu keŋ lɔ degbele keŋ dunoluŋ dɔɔ na ɛ ke kyaŋ kpebia.” Mena dɔɔ be fuŋa asawu keŋ lɔ botɔɔ yenaŋ te be kyaŋa kpebia burum keŋ nyi bɔɔ ne tale baa wɔŋee asawu keŋ gba ya.
JHN.21.7	Botɔɔ te Yesu kaseele ŋon ɔ ne gyae ɔ nombia nɛ yako Pita nyiaa, “De Gbeŋgyoo Yesu ŋonaŋ.” Simɔn Pita kenyii nyi de Gbeŋgyoo Yesu ŋonaŋ nɛ te ɔ moo ɔ kegba wurikyim milii ɔ wose, nawolo nyi ɔ wulaa kpee ke. Keŋte ɔ toŋawɔ gyoo loŋ keŋ man yɛlɛɛ ɔ ne gyu Yesu gyaŋ. 
JHN.21.8	Mɔna kaseela akaŋ baŋ saa degbele keŋ bɛɛ kɔŋ dekeŋkeŋ dɔɔ na bɛɛ wɔŋee asawu keŋ kpebia be wulu ke man nɛ, nawolo nyi na ba dekyae keŋ taŋ lem na dekeŋkeŋ ya. Ke lem gyae ke yɛɛ ŋgba baam tɔɔse sɔŋola na kufu nɛ (50).
JHN.21.9	Be kelii dekeŋkeŋ dɔɔ nɛ be naa boalaŋ na nyewalaŋ, na kpebia gyakaa ke dɔɔ na bodobodo mɔ doo yenaŋ. 
JHN.21.10	Keŋte Yesu yako wɔ nyiaa, “Ɛ mo kpebia baŋ ɛ be kyam nɛ baale kɔŋ.” 
JHN.21.11	Mena dɔɔ Simɔn Pita besewɔ gyu degbele keŋ man, te ɔ ke wɔŋee asawu keŋ kɔŋ dekeŋkeŋ dɔɔ. Na kpebia dinaana baŋ bɔɔ wulu asawu keŋ nɛ, be yaanɔɔle yɛɛ sɔŋonoŋ na sɔŋola na kufu batooro (153). Keŋ na kpebia baŋ booroŋ kei koraŋ nɛ, asawu keŋ te tirii ya. 
JHN.21.12	Keŋte Yesu yako wɔ nyiaa, “Ɛ kɔŋ kaa di ɛ nebo weenɛɛ.” Mɔna ɔ kaseela baŋ ŋolo te tale gyɔ ɔ konɔɔ bɔɔse e nyi “Nyaŋ yɛna amɔte ya?” Nawolo nyi ba gyeŋ nyi be Gbeŋgyoo Yesu ŋonaŋ. 
JHN.21.13	Te Yesu kɔŋawɔ kaa mo bodobodo keŋ fa wɔ, kenaŋ wɔle te ɔ moo kpebia baŋ mɔ fa wɔ. 
JHN.21.14	Yesu kefoŋ lee yeŋ man nɛ, kei yɛna betabotoorote keŋ ɔ ba lese ɔ wose wola ɔ kaseela baŋ.
JHN.21.15	Be kedi weenɛɛ ŋan taŋ nɛ te Yesu bɔɔse Simɔn Pita nyiaa, “Gyɔn bu Simɔn, n ne gyae maŋ kela n tebia kɛwɔ kɛɛ gyae maŋ?” Keŋte Pita tiranɔɔ fa e nyiaa, “Ayi, me Gbeŋgyoo, n gyeŋ nyi mɛɛ gyae n nombia.” Keŋte Yesu yako e nyiaa, “Kɛɛ me silala baŋ dɔɔ ŋgba mena keŋ namensekɛɛlere ne kɛɛ namense dɔɔ nɛ.” 
JHN.21.16	Te Yesu besewɔ bɔɔse e bolate nyiaa, “Gyɔn bu Simɔn, n ne gyae me nombia?” Te Pita tiranɔɔ fa e nyiaa, “Ayi me Gbeŋgyoo, nyaŋ gbagba gyeŋ nyi mɛɛ gyae n nombia.” Keŋte Yesu yako e nyiaa “Kɛɛ me silala baŋ dɔɔ ŋgba mena keŋ namensekɛɛlere ne kɛɛ ɔ namense dɔɔ nɛ.” 
JHN.21.17	Keŋte Yesu besewɔ bɔɔse e betabotoorote nyiaa, “Gyɔn bu Simɔn, n ne gyae me nombia nideli?” Nombia ŋenaŋ takaa Pita nideli nawolo nyi ɔ te bɔɔse e betabotooro nyi, “N ne gyae maŋ nideli?” Keŋte Pita yako e nyi, “Me Gbeŋgyoo, nyaŋ gbagba n gyeŋ kpene kamasɛ. N gyeŋ nyi mɛɛ gyae neŋ nideli.” Keŋte Yesu yako e nyiaa, “Mena na kɛɛ me silala baŋ dɔɔ ŋgba mena keŋ namensekɛɛlere ne kɛɛ ɔ namense dɔɔ nɛ.” 
JHN.21.18	Mɛɛ yako neŋ anokoare nyiaa, “Debaŋ keŋ n yɛɛ tobaale e nɛ nyaŋ gbagba ne tale mo n kegba do n wose, na n ka koro gyu botɔɔ keŋ n ne gyae. Mɔna n kaa ŋmɛɛ na ŋolo ne gyae la waa do neŋ kegba na waa kyaŋ neŋ n nyiŋmaa man mo neŋ gyu botɔɔ keŋ n bɛɛ gyae nyi n ke gyu ya.” 
JHN.21.19	Yesu yako nombia kɛŋa baa na kawola yeŋ keŋ Pita waa yeŋ na ka lese Wurubuarɛ yele. Yesu kekolosi nombia kɛŋa pou taŋ nɛ te ɔ yako Pita nyiaa, “Sila maŋ!”
JHN.21.20	Ba ke ta bee gyu nɛ, Pita gɛɛsewɔ kɛɛ te ɔ naawɔ ŋgba kaseele ŋon Yesu ne gyae ɔ nombia nideli nɛ silana wɔ wɔle wɔle. Mena kaseele kei yɛna ŋon ɔ be kyaa teelina Yesu debaŋ keŋ bee di be balinɔɔ weenɛɛ te ɔ be bɔɔse e nyiaa, “Me Gbeŋgyoo, amɔte ne gyae la waa lese neŋ fa yeŋ nɛ?” 
JHN.21.21	Pita kena kaseele ŋon nɛ ɔ bɔɔse Yesu nyiaa, “Me Gbeŋgyoo, sena te baa yɛɛ balee kei mɔ?” 
JHN.21.22	Keŋte Yesu tiranɔɔ fa e nyiaa, “Akpaa mɛɛ gyae nyi waa kyaa kelii debaŋ keŋ maa bese kɔŋ na, n woŋ faa la? Nyaŋ sila maŋ!” 
JHN.21.23	Mena dɔɔ nombia kɛŋa yaaseewɔ Yesu kaseela baŋ man nyiaa, kaseele ŋon Yesu ne gyae ɔ nombia nɛ be gyae waa yeŋ ya. Mɔna Yesu te yako nyi ɔ be gyae waa yeŋ ya. Keŋ ɔ be yako yɛna nyi, “Akpaa mɛɛ gyae nyi waa kyaa kelii debaŋ keŋ maa bese kɔŋ na, n woŋ faa la?”
JHN.21.24	Mena kaseele kei diina nombia kɛŋa wose man adansɛɛ te ɔ ŋmarase ŋa see. Te da gyeŋ mɔ nyi wa adansɛɛ keŋ yɛɛ ampaŋ.
JHN.21.25	Yesu yɛɛ abɔɔ burum ŋaale mɔ. Akpaa beŋ ŋmarase ŋa dokoloŋ dokoloŋ nɛ, tɛɛle kei dɔɔ pou bɔɔ gyae baa nyiŋ botɔɔ keŋ baa mo ŋa see ya.
ACT.1.1	Kegyia Teyofilose, maŋ Luka ne ŋmarase na tɔne kei mee yelee neŋ. Me tɔne gyaŋgbate keŋ man nɛ, ma wola abɔɔ ŋan pou Yesu be yɛɛ na ŋan ɔ ba wolo debaŋ keŋ ɔ be fi ɔ tom asɛɛ, 
ACT.1.2	mo kelii wee keŋ Wurubuarɛ ba mo e laŋ adido nɛ. Pɛ Wurubuarɛ ka mo Yesu gyu adido nɛ, Wurubuarɛ feliŋ ŋon tɛɛwɔ ŋon Yesu dɔɔ wola ɔ kpilala baŋ ɔ ba lese nɛ tom keŋ baa yɛɛ. 
ACT.1.3	Yesu Kristo ka yeŋ wɔle weeya sɔŋola man nɛ, ɔ lese ɔ wose wola ɔ kaseela baŋ agbaatee agbaatee lee gbɛɛneŋ burum man wola nyi ɔ delena, keŋ nyi ŋolo be tale lɛɛ ka aŋmaareŋ ya. Be naa e na be sia, te ɔ kolosiwɔ fa wɔ lee Wurubuarɛ gyoorobiiri keŋ wose man. 
ACT.1.4	Ba kekyaa man nɛ, wee daale ɔ faree ɔ kaseela baŋ nyi “Ɛ na lee Gyerusalɛm donɔɔ man ya, mɔna ɛ kyaa botɔɔ daa kpene keŋ me kya be yako see nyi waa fa ŋon nɛ.” Me wulaa yako ŋon ka wose man nombia nyi, 
ACT.1.5	loŋ te Gyɔn moowɔ sɔ ŋon Wurubuarɛ loŋ, mɔna weeya akalansɛɛ ŋaale wɔle na Wurubuarɛ waa mo ɔ feliŋ ŋon bo sɔ ŋon Wurubuarɛ loŋ.
ACT.1.6	Debaŋ keŋ Yesu na ɔ kpilala baŋ be yilaa nɛ te be bɔɔse e nyiaa, “De Gbeŋgyoo, mena dɔɔ nɛnɛɛ n ka besena gyoori keŋ fa Iseraetena?” 
ACT.1.7	Botɔɔ te Yesu tiranɔɔ fa wɔ nyi, “Ka te yɛɛ kpene keŋ nyi ɛ ka gyeŋ debaŋ keŋ ya, nawolo nyi debaŋ keŋ na wee keŋ mena nombii kei gyae ke kɔŋ dɔɔ, kyae me kya gyaŋ. Ɔ doŋ dɔɔ te ɔ see ŋa. 
ACT.1.8	Mɔna debaŋ keŋ Wurubuarɛ waa mo ɔ feliŋ ŋon do ɛ man nɛ, ɛ ke nyiŋ doŋ. Na ɛ ka bese ma adansɛɛtena Gyerusalɛm donɔɔ man, na Gyudia na Samaria tɛɛlese pou dɔɔ mo kelii tɛɛle pou ɔto.” 
ACT.1.9	Ɔ kekolosi kɛŋa pou taŋ na, te Wurubuarɛ mo e laŋ adido be popou siaman ka gyoo ŋɔma man. Mena dɔɔ ba te naa e bela ya. 
ACT.1.10	Be ka seŋ botɔɔ be sɛɛ bɛɛ kɛɛ adido fee nɛ, karatetee na tewulɛɛ bala baale seŋɛɛ laa ba yenaŋ na ba doona abɔɔ wolomɛɛ. 
ACT.1.11	Te be bɔɔse Yesu kpilala baŋ nyi, “Galeliatena, weera te ɛ seŋɛɛ ɛ ne kɛɛ adido fee mena? Yesu kei, ŋon Wurubuarɛ ba mo e lee ɛ gyaŋ laŋ adido nɛ, mena ke te waa bese kɔŋ ŋgba mena keŋ ɛ be naa e ɔ ne gyu adido nɛ.”
ACT.1.12	Te ɔ kpilala baŋ besewɔ lee oliifi bula keŋ dɔɔ kɔŋ Gyerusalɛm. Lee botɔɔ kɔŋ Gyerusalɛm donɔɔ keŋ man benaa na dɔŋa. Gyae ke yɛɛ ŋgba wɔɔ ŋmeeseŋ sao na kufu nɛ. 
ACT.1.13	Ba ke kɔŋ kaa gyoo Gyerusalɛm donɔɔ keŋ man nɛ, te ba gyeŋawɔ gyu abansoro deni be dɛɛkyae keŋ man. Balaŋ baŋ be kyaa botɔɔ yɛna, Pita na Gyɔn na Anderiase na Filipo na Tomase na Batolomeo na Mateo na Alfeose bu Gyemisi na Simɔn ŋon ɔ ne gyae ɔ balaŋ nideli nɛ, na Gyemisi bu Gyudase. 
ACT.1.14	Be popou na ala baale na Yesu ɔ naa Mɛɛre, na Yesu ɔ naabia ne yɛɛ na nɔɔdokoloŋ yilaa fane debaŋ kamasɛ.
ACT.1.15	Wee daale balaŋ baŋ bɔɔ lɛɛ Yesu di nɛ kaa yilaawɔ, na baa yɛɛ ŋgba balaŋ sɔŋonoŋ na balaŋ sao nɛ (120). Botɔɔ te Pita korowɔ seŋ yako wɔ nyiaa, 
ACT.1.16	“Me tebia, nombia ŋan Wurubuarɛ nombia be yako see lee Gyudase wose man nɛ, kaboena nyi ŋe dɛɛ kɔŋ mena. Gyudase kei wose man te gyoo Defidi yakowɔ see nyiaa, ŋon ne gyae la waa ta balaŋ baŋ baa gyu ke kyaŋ Yesu nɛ siaman.” 
ACT.1.17	Nafɔ na Gyudase kei kpuɛ de man, nawolo nyi Yesu lese na ŋon mɔ nyi waa kpu na daa na dɛɛ yɛɛ tom kei. 
ACT.1.18	Kɔba keŋ ŋon Gyudase be nyim lee ɔ nombiakumɛɛ kɛŋa keyɛɛ man nɛ, te ɔ moowɔ lɛɛ tɛɛle. Tɛɛle kenaŋ man te ɔ yalawɔ te ɔ tɔɔ bɛɛwɔ te ɔ loobia pou leewɔ. 
ACT.1.19	Balaŋ baŋ pou be kyaa Gyerusalɛm donɔɔ man nɛ nyii mena nombii kei, mena dɔɔ ba doo botɔɔ yele be dɛɛ dei man nyi Akɛledama, keŋ nawolo nyi Fatabo tɛɛle. 
ACT.1.20	Gyoo Defidi yako Gyudase wose man nombia Wurubuarɛ Nɔɔneŋ tɔne keŋ man nyi,
ACT.1.20	“Ɔ dekpaŋalaŋ dɛɛ doo yakaa keŋ ŋolo na kyaa ke man ya.”
ACT.1.20	Ɔ besewɔ yako nyi,
ACT.1.20	“Walaŋ wɔle waa kyaa ɔ nawɔɔ man na waa yɛɛ ɔ tom.”
ACT.1.21+ACT.1.22	“Mena dɔɔ kaboena nyi ŋolo waa kyaa ɔ nawɔɔ man kpu na daa, na dee di de Gbeŋgyoo Yesu kefoŋ lee yeŋ man keŋ adansɛɛ. Kaboena nyi walaŋ ŋonaŋ waa yɛɛ walaŋ ŋon na ɔ kpuɛ na daa debaŋ keŋ pou daa na de Gbeŋgyoo Yesu ne gyu dɛɛ kɔŋ, lee debaŋ keŋ Gyɔn be sɔ e Wurubuarɛ loŋ kelii debaŋ keŋ Wurubuarɛ ba mo e lee de gyaŋ gyu adido nɛ.”
ACT.1.23	Mena dɔɔ ba lese Gyosɛfo ŋon bɛɛ baake e nyi Basabase yaa Gyustuse nɛ na Matiase. 
ACT.1.24	Te be fanewɔ nyi, “De Gbeŋgyoo, nyaŋ gyeŋa na walaŋ kamasɛ konɔɔ man. Mena dɔɔ wola daa tewulɛɛ bala kɛwɔ man ŋon n ba lese nyi waa yɛɛ Yesu kpilale, 
ACT.1.25	na waa kyaa Gyudase ŋon ɔ be tina ɔ tom yela te ɔ be lam gyu botɔɔ keŋ kaboena e nɛ nawɔɔ man.” 
ACT.1.26	Mena dɔɔ be lɔɔ boe, te boe keŋ yalawɔ Matiase yele dɔɔ. Kei nawolo nyi ŋon te Wurubuarɛ lesewɔ, te ba moo e kpu Yesu kpilala kufu daale baŋ man.
ACT.2.1	Gyudatena wee dinaa keŋ bɛɛ baake ke nyi Pentekosite keŋ kelii nɛ, baŋ pou bɔɔ lɛɛ Kristo Yesu di nɛ ke yilaawɔ debodokoloŋ. 
ACT.2.2	Karatetee dokoloŋ te be nyii nkaŋ daale lee adido ŋgba feliŋ dinaa daale ne gyɔɔ la nɛ, te ke kaa lɛɛ dekpaŋalaŋ keŋ man be kyaa nɛ pou. 
ACT.2.3	Botɔɔ te be naa kolo ŋgba boalaŋ laakemse nɛ, te ŋe yaaseewɔ kaa gyakaa walaŋ kamasɛ nyee dɔɔ. 
ACT.2.4	Te Wurubuarɛ moo ɔ feliŋ ŋon do be popou man, te be fiasɛɛ bɛɛ kolosi deise kpookpoo ŋgba mena keŋ Wurubuarɛ feliŋ ŋon be fa wɔ nɛ.
ACT.2.5	Debaŋ kenaŋ na Gyudatena baŋ bee yee Wurubuarɛ te bɔɔ lee tɛɛle kei dɔɔ pou nɛ, kyaa Gyerusalɛm donɔɔ keŋ man. 
ACT.2.6	Be kenyii mena nkaŋ kei nɛ, te balaŋ burum kaa yilaawɔ. Balaŋ baŋ pou wose yeŋa wɔ nawolo nyi walaŋ kamasɛ nyiiwɔ ŋgba bee kolosi ɔ dɛɛ dei nɛ. 
ACT.2.7	Yɛɛ wɔ gyakoloŋ te be bɔɔse dɔŋa nyiaa, balaŋ anekoloseŋ kɛwɔ pou te yɛɛ Galeliatenawɔ yee? 
ACT.2.8	Te weera de man walaŋ kamasɛ ne nyii bee kolosi ŋon gbagba ɔ dɛɛ dei? 
ACT.2.9	De popou lee tɛɛlese kpookpoo dɔɔ. De man baale lee Patia na Media na Elam te baale mɔ lee Mesopotamia na Gyudia na Kapadosia, te baale mɔ lee Pɔntuse na Esia. 
ACT.2.10	Baale lee Firigia na Pamfilia na Igyipite te baale mɔ lee Libia tɛɛlese ŋaale ŋan benaa na donɔɔ keŋ bɛɛ baake ke Kirene nɛ man. 
ACT.2.11	Gyudatena na baŋ ba te yɛɛ Gyudatenawɔ ya te bɔɔ kyɛɛkee gyoo Gyudatena ɔsom man nɛ, man baale mɔ lee Roman donɔɔ man kɔŋ. De baale mɔ lee Kreti na Arebia, mɔna dee nyii bee kolosi nombia dinaana ŋan Wurubuarɛ be yɛɛ nɛ daa gbagba de deise man. 
ACT.2.12	Gyakoloŋ gyoo wɔ te ba nyeeya man mɔ yɛɛ wɔ basaa te be bɔɔse dɔŋa nyiaa, na nombia kɛŋa asɛɛ yɛna sena baa? 
ACT.2.13	Mɔna be man baale mɔ kulu wɔ nyi kei dɔɔ be dɛɛsee.
ACT.2.14	Botɔɔ te Pita na ɔ tebia Yesu kpilala kufu daale baŋ korowɔ seŋ, te ɔ gyinaa ɔ woya kolosi fa balaŋ dikpii keŋ nyiaa, “Me tebia Gyudatena na ɛmɛɛ baŋ pou ɛ kyaa Gyerusalɛm nɛ, ɛ tei me gyaŋ nideli na maa wola ŋon kpene keŋ nombii kei nawolo. 
ACT.2.15	Ne yɛɛ ŋon nyi balaŋ kɛwɔ dɛɛsee, mɔna na be dɛɛsee ya. Nawolo nyi nebo weese gba yaa, nɛnɛɛ te gyɔɔ debaŋ kadaale. 
ACT.2.16	Mɔna nombii kei yɛna kpene keŋ Wurubuarɛ dekpeŋkpeŋgyɔɔre Gyowɛle be kolosi see nyi ke gyae ke kɔŋ nɛ. 
ACT.2.17	Wurubuarɛ dekpeŋkpeŋgyɔɔre Gyowɛle yakowɔ see nyi,
ACT.2.17	‘Wurubuarɛ kpa,
ACT.2.17	“Tɛɛle kei na benaa kɔ ɔto na,
ACT.2.17	maa mo me feliŋ do walaŋ kamasɛ man.
ACT.2.17	Ɛ bia ala na baala baa kolosi nombia see ma yele man.
ACT.2.17	Ɛ tewulɛɛ baa naa me nombia ŋan ŋe doo na ŋe gbɛɛ nɛ na be sia
ACT.2.17	ŋgba dosɛɛ man nɛ.
ACT.2.17	Akpegyiina mɔ baa doosi naa me nombia ŋan ŋe doo na ŋe gbɛɛ nɛ.
ACT.2.18	Debaŋ kenaŋ man nɛ maa mo me feliŋ do ma alebia na me tewulɛɛ man na baa kolosi nombia see ma yele man.
ACT.2.19	Maa yɛɛ gyakoloŋ nombia adido,
ACT.2.19	na maa lese me wɔɔle wola tɛɛle kei dɔɔ.
ACT.2.19	Ɛ gyae ɛ kena fatabo na boalaŋ na nyɔɔse tuum.
ACT.2.20	Weeseteŋteŋ gyae ka bese ditiŋtɛɛ tuum
ACT.2.20	na gyaalaŋ ke yase ŋgba fatabo nɛ.
ACT.2.20	Nombia kɛŋa pou gyae ke kɔŋ,
ACT.2.20	pɛte wee dinaa keŋ de Gbeŋgyoo waa lese ɔ gyoorobiiri wola nɛ kelii.
ACT.2.21	Te walaŋ kamasɛ ŋon waa baake de Gbeŋgyoo Wurubuarɛ yele na,
ACT.2.21	waa lɛɛ ɔ nyee.” ’
ACT.2.22	Pita gyina ɔ kekolosi keŋ dɔɔ nyiaa, Iseraetena, ɛ tei nombia kɛŋa nideli. Wurubuarɛ tɛɛwɔ Yesu Nasarɛte baale ŋon dɔɔ yɛɛ gyakoloŋ nombia lese ɔ wɔɔle wola ɛ man ŋgba mena keŋ ɛmɛɛ gbagba ɛ gyeŋ nɛ. Kɛŋa diina adansɛɛ nyi Wurubuarɛ kpila na e. 
ACT.2.23	Lee Wurubuarɛ gbagba kegyaebii na ɔ ka gyeŋ man te ɔ wulaa bakewɔ see nyi baa lese Yesu fa ŋon, te ɛ yela balaŋ kumɛɛ gyɔɔ e ɔpaŋdaŋ dɔɔ ko. 
ACT.2.24	Mɔna Wurubuarɛ gyuusu e lee yeŋ man, te ɔ lese e lee yeŋ weeleŋ man, nawolo nyi yeŋ be tale kyaŋ e see ɔ gyaŋ kekpaakekpaa ya. 
ACT.2.25	Gyoo Defidi yakowɔ lee Yesu wose man nyi,
ACT.2.25	‘Me naa de Gbeŋgyoo ŋon me siaman debaŋ kamasɛ.
ACT.2.25	Ɔ seŋɛɛ ma yenaŋ mena dɔɔ kolo be tale tɛɛse maŋ ya,
ACT.2.26	mena dɔɔ me wɔe te fɛɛ maŋ,
ACT.2.26	me sia mɔ ta gye.
ACT.2.26	Me yɛɛ walaŋ ŋon maa yeŋ wee daale,
ACT.2.26	mɔna me sia gyakaa abɔɔ ŋan Wurubuarɛ waa kaa fa man nɛ dɔɔ.
ACT.2.27	Nawolo nyi n be gyae n ke yela maa dɔɔ yebɔɔ man ya.
ACT.2.27	N be gyae n ke yela n walaŋ ŋon ayimɛɛ be doo ɔ man ya nɛ ke doo yebɔɔ man dala ya.
ACT.2.28	N ta wola maŋ nyeedoŋ gbɛɛ.
ACT.2.28	Nawolo nyi n kpuɛ na maŋ dɔɔ te yɛɛ maŋ gyoŋ nideli.’
ACT.2.29	Me tebia, mɛɛ gyae maa yako ŋon kolo lee de naana Defidi wose man, ɔ yeŋawɔ te be wuu e, ɔ yebɔɔ sɛɛ doo de gyaŋ kɛbo kaa lii na gyɛŋ. 
ACT.2.30	Na ɔ yɛɛ Wurubuarɛ dekpeŋkpeŋgyɔɔre e, te ɔ gyeŋ nombia ŋan Wurubuarɛ be kaŋ ntam yako see lee ɔ wose man nyi, waa mo Defidi duuluŋ man ŋolo see gyoo na waa kyaa ɔ gyoorogbeli keŋ dɔɔ di gyoori ŋgba ŋon Defidi nɛ. 
