MAT.1.1	Yeezu, a Mɛzaaya
JHN.21.17	A Yeezu da la soore o la a gbɛre bota soba, “Saamon, Gyɔɔn bidɔɔ, fo nɔŋ ma laa?” A Piita da taa la posaanaa ne a Yeezu naŋ da soore o a gbɛre bota soba, “Fo nɔŋ ma laa?” Ka o da yeli ko O, “Daana, fo baŋ la bonzaa. Fo baŋ ka N nɔŋ fo la.” Ka a Yeezu da yeli ko o, “Guolo a N peere.” 
JHN.21.18	Yelmeŋɛ zaa ka N yele korɔ fo, fo naŋ da e pɔlbile, fo da maŋ leŋ la fo meŋɛ kpagre, a yɔ gaa zie na zaa fo naŋ boɔrɔ. Kyɛ ka fõõ wa kore, fo na maŋ teɛ la fo nuuri ka neɛ kaŋ leŋ a fo seɛ ne kpagre, a taa fo gaa ne zie na fo naŋ ba boɔrɔ ka fo gaa. 
JHN.21.19	(O da yeli la a ŋaa a na wuli kũũ na tɔ a Piita naŋ na kpi a iri Naaŋmen yuori.) A Yeezu naŋ da wa yeli a ŋaa baare, O da yeli ko la a Piita, “Tuuro ma.”
JHN.21.20	A Piita da leɛ kaa la puori a nyɛ a potuuro na Yeezu naŋ da nɔŋ ka o tuuro ba. A potuuro ŋa la da zeŋ kɔge a Yeezu a bondi parebaaraa daare kyɛ da soore O, “Daana, aŋ la na yi fo puori, a de fo tere?” 
JHN.21.21	A Piita naŋ da wa nyɛ o, o da yeli ko la a Yeezu, “Daana, ka a neɛ ŋa soba meŋ?” 
JHN.21.22	Ka Yeezu da yeli ko o, “Ka anaŋ e N poboɔbo ka o bebe te ta saŋ N naŋ na leɛ wa, fo boŋ yeli la bebe? Tuuro ma!” 
JHN.21.23	Azuiŋ a yeli ŋa da ŋmɛ yaare la a gbandige na poɔ ka a potuuro ŋa koŋ kpi. Kyɛ a Yeezu da ba yeli ko o ka o koŋ kpi. O da yelee la, “Ka anaŋ e N poboɔbo ka o bebe te ta saŋ N naŋ na leɛ wa, fo boŋ yeli la bebe?”
JHN.21.24	A potuuro ŋa la dire a yɛlɛ ama danseɛ kyɛ sɛge a biŋ, ka te baŋ ka a o danseɛ e la yelmeŋɛ. 
JHN.21.25	Kyɛ yɛlɛ yaga mine meŋ bebe la ka a Yeezu da e. Ka ba naŋ da sɛge a yɛlɛ zaa nɛnɛ biŋ, N teɛre ka a tendaa zaa da kontoɔ̃ taa zie ka ba na biŋ a gansɛgre zaa.
ACT.1.1	N ba Tiyofilo, a n gane dɛndɛŋ poɔ, N da sɛge la a yɛlɛ na zaa a Yeezu naŋ da e kyɛ wuli a yi a piiluu saŋ, 
ACT.1.2	O naŋ da tu a Vooroŋ Soŋ zie a kyɛ ko a apostoliimine, a banaŋ o naŋ da kaa-iri na noɔre a te ta a daare na ba naŋ da de O do ne tenvelaa.
ACT.1.3	A O kũũ puoriŋ, O da leɛ-iri la a kuuni poɔ, a tu yɛlɛ naŋ ba taa bonnoo zie, a de O meŋɛ wuli ba beri lezaayi, a yele a Naaŋmen naaloŋ yɛlɛ korɔ ba. 
ACT.1.4	O naŋ da naŋ be a ba zie, O da ko ba la noɔre ka ba ta wa yire a Gyɛruzɛlɛm poɔ, kyɛ ba bebe a kyɛllɛ a Saa nɔ-eŋnaa. O da yelee la, “A ŋaa la ka yɛ da woŋ yi N zie; 
ACT.1.5	bonso, Gyɔɔn da terɛ la suobu ane koɔ̃, kyɛ a koŋ la kɔɔre, ba na ko yɛ la suobu ane a Vooroŋ Soŋ.”
ACT.1.6	Azuiŋ a potuuribo naŋ da wa lantaa, ba da soore la a Yeezu, “Daana, a saŋ ŋa poɔ la ka fo na e ka a Izerayɛl naaloŋ leɛ wa are o aroozie be?” 
ACT.1.7	Ka O da yeli sɔge, “A ba e yɛ yɛlɛ ka yɛ baŋ a saŋ bee a bebie na a Saa naŋ biŋ ne O meŋɛ kpeɛ̃õ. 
ACT.1.8	Kyɛ yɛ na nyɛ la kpeɛ̃õ saŋ na a Vooroŋ Soŋ naŋ na wa a yɛ zie, ka yɛ na leɛ n dansediribe, a Gyɛruzɛlɛm poɔ, a Gyudiya zaa poɔ, ane Samareya poɔ, a te ta a tendaa koŋkobo zaa.” 
ACT.1.9	O naŋ da wa yeli a yeli ŋa baare, ba da kaara O la ka ba da wa de O do ne, kyɛ ka zunzugri da wa pɔge O, ka ba ba la nyɛ O. 
ACT.1.10	O naŋ da naŋ duoro kyɛ ka ba da gbolɔ kaara a sazu la ka noba mine bayi naŋ da su kparpeɛle da wa are ba zie a daadaalɛ. 
ACT.1.11	Ba da yelee la, “Galili noba, bonso ka yɛ are a gbolɔ kaara sazu poɔ lɛ? A Yeezu ŋa ba naŋ de O yi a yɛ zie a do ne tenvelaa, na leɛ wa la a lɛ ne o zu yɛ naŋ nyɛ O ka O duoro a tenvelaa.”
ACT.1.12	Lɛ la ka ba da leɛ yi a taŋ na ba naŋ boɔlɔ Oliva zu a gaa Gyɛruzɛlɛm. A taŋ da peɛle la Gyɛruzɛlɛm a seŋ pɛnnoo bebiri daare kyɛmmo. 
ACT.1.13	A Piita ane Gyɔɔn ane Gyimisi ane Anduru, Filipi ane Tɔmaase, Batolomi ane Matio, Gyimisi, a Alfeo bidɔɔ ane Saamon, a Zelɔte ane Gyudase, a Gyimisi bidɔɔ naŋ da te kpɛ a teŋkpoŋ poɔ, ba da te do la a peɛzudie, a zie na ba naŋ da kpeɛrɛ. 
ACT.1.14	A bama zaa da kpimare la puoruu, ba ne pɔgeba mine ane Mareya a Yeezu ma, ane a O yɔɔmine.
ACT.1.15	A bebie na poɔ, Piita da iri are la a yelderebɛ
ACT.1.16	“N bamine, a ferɛɛ la ka a Naaŋmen gane yelbie tu a tuubu, aŋa lɛ a Vooroŋ Soŋ naŋ da tu a Davil zie a daŋ yeli kyaare ne a Gyudase. Ona la da taa a noba wa ne ka ba da wa nyɔge a Yeezu, 
ACT.1.17	bonso ba da sɔre o la poɔ te poɔ ka o meŋ da taa o tonnoɔre tonɔ a te poɔ.”
ACT.1.18	(A dɔɔ ŋa da da la weɛ ane o faaloŋ boma, a da ɛge le tulimo, ka o poɔ da puri ka o nyaga zaa puri yaare. 
ACT.1.19	A Gyɛruzɛlɛm noba zaa da wa baŋ la a yeli ŋa, lɛnso ka ba da boɔlɔ a weɛ bamenne kɔkɔre poɔ ka Akɛldama, “A tɛgɛ la Zẽẽ Weɛ.”) 
ACT.1.20	“Bonso ba sɛge la a Yiele gane poɔ:
ACT.1.20	‘Vɛŋ ka o kpɛzie leɛ dabuo,
ACT.1.20	ka neɛzaa ta kpeɛrɛ be’;
ACT.1.20	‘kyɛ vɛŋ ka neɛ kaŋ leɛre o zu.’
ACT.1.21	Azuiŋ a noba na kaŋ naŋ da tuuro te a saŋ na a Daana Yeezu naŋ da be a te zie, 
ACT.1.22	a piili ne a Gyɔɔn suobu teroo, a te ta a daare na ba naŋ da de O yi ne a te zie do ne, a ferɛɛ la ka ba kaŋ laŋne te ka te waa a O kũũ leɛ-iruu dansediribe.” 
ACT.1.23	A lɛ zuiŋ, ba pãã da iri la noba bayi, Yuzɛb ba naŋ boɔlɔ Basaba, ka o yuori kaŋ meŋ da di Gyustu ane Mateɛse. 
ACT.1.24	Lɛ la ka ba da puori a yeli, “Daana, fõõ la baŋ nensaala zaa sukyiri. Wuli te a noba bama bayi poɔ, onaŋ soba fo naŋ kaa-iri 
ACT.1.25	ka o na leɛre a Gyudase naŋ bare te kyɛ gaa o gaabo zie zu, a tonɔ a toma ŋa ane apostoliimine toma.” 
ACT.1.26	Ba da lɔɔ la bie ka ba nyɛ onaŋ soba ba naŋ na iri, ka a da wuli ka Mateɛse la; ka ba da de o poɔ a apostoliimine pie ne yeni na poɔ.
ACT.2.1	A Pɛnteko daare naŋ da wa ta, ba zaa da laŋ la taa ziyeni. 
ACT.2.2	A paretɛloŋ lɛ, ba da wa berɛ ka gɔnne deɛ yi sazu aŋa sasekpeɛŋaa a fuuro a wa paale a die na ba naŋ da zeŋ poɔ zaa. 
ACT.2.3	Lɛ la ka ba da nyɛ boma naŋ waa ŋa vũũzelɛ, ka a sigi wa dɔgle ba yeni yeni zaa zu. 
ACT.2.4	Ba zaa da paale ne la a Vooroŋ Soŋ a piili yele kɔkɔyobo a seŋ lɛ a Vooroŋ Soŋ naŋ ko ba faŋ ka ba yele.
ACT.2.5	A saŋ ŋa poɔ, a Gyuumine puoruu nimizeɛ deme naŋ da yi a tendaa zaa da kpeɛrɛ la a Gyɛruzɛlɛm poɔ. 
ACT.2.6	Kyɛ a gɔnne ŋa zuiŋ, a nembeɛoŋ da laŋ la taa, ka ba nɔɛ zaa da maa bonso ba yeni yeni zaa da woŋee la ka ba yele o meŋɛ teŋɛ kɔkɔre. 
ACT.2.7	A da e ba la nɔmaa ka ba da nyɔge nɔɛ a soorɔ, “A bama zaa naŋ yele a yɛlɛ ba waa Galili noba bee? 
ACT.2.8	Kyɛ a ta la wola ka te yeni yeni zaa wono o meŋɛ kɔkɔre ka ba yele? 
ACT.2.9	Pantiya noba, Midiya noba, Elam noba, ane noba naŋ kpeɛrɛ Mɛsopotamiya, Gyudiya ane Kapadosiya, Pɔntuse ane Ezeya, 
ACT.2.10	Firigyeya ane Pamfiliya noba, Igyipiti deme ane noba naŋ yi Libiya tenne mine naŋ peɛle Saarin, ane sããma naŋ yi Urom, a Gyuumine ane a banaŋ naŋ kpɛ a Gyuumine puoruu poɔ paaloŋ, 
ACT.2.11	Kirite ane Arab noba, te zaa woŋee la ka ba yele te kɔkɔre a manna a Naaŋmen toŋkpeɛne.” 
ACT.2.12	Ba zaa nɔɛ da maaɛ la, ka ba bugi ba zaa, a soorɔ taa, “A yeli ŋa tɛge la boŋ?” 
ACT.2.13	Kyɛ ka ba mine da erɛ ba laara, a da yele, “A noba bama nyu la dãã kuoli.”
ACT.2.14	Kyɛ Piita ne a pieneyeni na da are la dendeŋ, ka Piita zɛge o kɔkɔre a yeli ko ba, “Gyudiya noba ane banaŋ zaa naŋ kpeɛrɛ Gyɛruzɛlɛm poɔ, yɛ baŋ a yeli ŋa, kyɛ eŋ toori kyɛllɛ bonna N naŋ yele. 
ACT.2.15	Serɛzaa, a noba bama ba nyu dãã kuoli aŋa yɛ naŋ teɛre lɛ, bonso gbelli awae baguo saŋ
ACT.2.16	Ai, a yɛlɛ ama la ka a Ŋmen-yelmanna Gyuwɛl da yeli:
ACT.2.17	‘Naaŋmen yelee la, a bebi-baare saŋ a yɛlɛ ama na e la,
ACT.2.17	N na paale la a noba zaa ne N Vooroŋ,
ACT.2.17	ka yɛ bidɔbɔ ane pɔgeyaare na yele Ŋmen-yelmanna yelyelii,
ACT.2.17	ka yɛ pɔlbilii nyɛrɛ yelnyɛre,
ACT.2.17	ka yɛ dɔɔnyaŋne zanna zannoo.
ACT.2.18	A bebie na poɔ, N na paale la n gbaŋgba-dɔbɔ ane n gbaŋgba-pɔgeba
ACT.2.18	ne a N Vooroŋ Soŋ;
ACT.2.18	ka ba na yele Ŋmen-yelmanna yelyelii.
ACT.2.19	Kyɛ ka N e ka nɔmaa yɛlɛ sãã a saluoni poɔ
ACT.2.19	ka yelwulii sãã a teŋɛzu,
ACT.2.19	zẽẽ ane vũũ ane nyoore
ACT.2.20	A ŋmenaa na leɛ la ligruŋ
ACT.2.20	ka a kyuu leɛ e zeɛ aŋa zẽẽ
ACT.2.20	a ama zaa na e la kyɛ ka a Daana bebi-kpoŋ pãã ta.
ACT.2.21	Lɛ la ka neɛ na zaa naŋ boɔle a Daana yuori na nyɛ faabo.’ 
ACT.2.22	Yɛnee naŋ waa Izerayɛl noba, yɛ eŋ toori kyɛlle woŋ bonna N naŋ taa na yeli: Yeezu a Naazɛrɛ Bie, neɛ Naaŋmen naŋ sage de a e ka o toŋ toŋkpeɛne ane nɔmaa toma ane yelwulii ka a sãã yɛ zie, aŋa yɛmenne naŋ baŋ lɛ. 
ACT.2.23	A Yeezu ŋa la ka ba da de tere a seŋ a Naaŋmen naŋ da daŋ baŋ kyɛ nare biŋ. Ona la ka yɛ e ka a yɛ nenfaare a kpa dagaraa zu a ko. 
ACT.2.24	Kyɛ Naaŋmen da faa O la, a e ka O leɛ-iri a kuuni poɔ, bonso, kũũ da ba taa faŋ a na toɔ̃ nyɔge O taa. 
ACT.2.25	Bonso, Davil da yeli kyaare ne o la:
ACT.2.25	‘N nyɛ la a Daana n niŋesogɔ tegitegilɛ,
ACT.2.25	bonso o be la n nuduluŋ ka N na ta miine;
ACT.2.26	Azuiŋ, N poɔ da pɛlɛɛ la ka N da kyellɛ,
ACT.2.26	kyɛ lɛ yoŋ naane, N na voorɔ la ne teɛretɔroo
ACT.2.27	Bonso, fo koŋ bare a n seɛ ka o kpɛ dazugovũũ,
ACT.2.27	bee a vɛŋ ka a fo Nensoŋ poɔ̃.
ACT.2.28	Fo eɛɛ la ka N baŋ nyɔvore sobie;
ACT.2.28	fo na e la ka n be fo niŋesogɔ a paale ne popeɛloŋ.’
ACT.2.29	N taaba Izerayɛl noba, N na baŋ ŋmɛ la nyaa a yeli ko yɛ ka a te sããkoma Davil da kpie la ka ba ũũ o, ka a o yaa naŋ be te zie a wa tɔ zenɛ. 
ACT.2.30	O naŋ da waa Ŋmen-yelmanna zuiŋ, o da baŋ ka Naaŋmen da pollɛɛ la, a eŋ noɔre ko o ka O na biŋ la o bie kaŋ a o nakogi zu. 
ACT.2.31	A Davil daŋ nyɛ la a yeli ŋa lɛnso ka o da yeli a Mɛzaaya
ACT.2.31	‘Ba da ba gyɛ O bare a kuuni poɔ,
ACT.2.31	bee a sage ka a O eŋɛ poɔ̃.’
ACT.2.32	A Yeezu ŋa la ka Naaŋmen da e ka o leɛ-iri, ka te zaa e a yeli ŋa dansediribe. 
ACT.2.33	Naaŋmen pãã da zɛge O la ka O do zeŋ O nuduluŋ seŋ, kyɛ ka O da de a Vooroŋ Soŋ a Saa naŋ da eŋ noɔre ka O na tere la, ona la ka O paale ne te ka yɛ nyɛ a kyɛ woŋ. 
ACT.2.34	A Davil da ba do tenvelaa,
ACT.2.34	‘A Daana Naaŋmen da yeli ko la a n Daana
ACT.2.34	“Zeŋ a n nuduluŋ seŋ,
ACT.2.35	a te ta lɛ saŋ N naŋ na e ka fo dɔndɔnne leɛ a fo gbɛɛ dɔgloo zie.” ’
ACT.2.36	Azuiŋ yɛ vɛŋ ka a Izerayɛl noba zaa baŋ kyerete ka Naaŋmen zɛge la a Yeezu ŋa yɛ naŋ da kpa a dagaraa zu, ka O waa Daana ane Mɛzaaya.”
ACT.2.37	Ba naŋ da woŋ a ŋaa, a da tɔ la ba sukyie, ka ba da soore a Piita ane a o taaba apostoliimine, “Yɔɔmine, te e wola?” 
ACT.2.38	Ka a Piita yeli ko ba, “Yɛ leɛ yɛ eebo, ka yɛ yeni yeni zaa de suobu a Yeezu Kirista yuori eŋɛ, a nyɛ yelbebe sudi, kyɛ yɛ na nyɛ la a Vooroŋ Soŋ kyɔɔtaa. 
ACT.2.39	Bonso, yɛnee ane yɛ biiri la ka Naaŋmen da eŋ a noɔre ŋa tere ane banaŋ zaa naŋ be tɔɔre zaa ane neɛzaa a Daana, a te Naaŋmen naŋ boɔle.” 
ACT.2.40	A Piita da wuli ba la yɛlɛ yaga a kyɛ kanne ba a yele, “Yɛ faa yɛmenne yi a zenɛ faaloŋ noba zie.” 
ACT.2.41	Lɛ la ka a banaŋ zaa naŋ da sage de a o yɛlɛ da de suobu. A lɛ daare noba naŋ da sage de a yɛlɛ a poɔ ba poɔ da ta ŋa noba turi ata. 
ACT.2.42	A noba bama da kpimare la a apostoliimine wuluu, a da laŋna ne ba, a laŋna ŋmaara a boroboro a kyɛ laŋna puoro.
ACT.2.43	Dabeɛ̃ da kpɛ la a noba zaa bonso, a apostoliimine da tonɔ la toŋkpeɛne ane yelwulii yaga. 
ACT.2.44	Kyɛ banaŋ zaa naŋ da de a Yeezu yɛlɛ da laŋ la taa, a laŋ boma. 
ACT.2.45	Ba da maŋ koɔre la a ba boma ba naŋ taa ane boma ba naŋ so a de a libie poŋ ko ba zaa a seŋ a naŋ wono ba yeni yeni zaa lɛ. 
ACT.2.46	Bie la bie zaa ba da maŋ laŋ la taa a di diibu ba yie poɔ ane popeɛloŋ kyɛ da maŋ laŋna a Naaŋmen die poɔ 
ACT.2.47	a danna Naaŋmen ka a noba zaa da nɔŋ ba yɛlɛ. Bie la bie zaa a Daana da maŋ e la ka banaŋ zaa naŋ da nyɛrɛ faabo waana poɔrɔ ba poɔ.
ACT.3.1	Daare kaŋ Piita ane Gyɔɔn da duoro gɛrɛ la a Naaŋmen die, a ŋmenaa gbelli ata puoruu saŋ. 
ACT.3.2	Noba da tuo la dɔɔ kaŋ naŋ da gbɛre a yi o biiluŋ saŋ zaa a wa kpɛ ne. Bebiri zaa ba da maŋ te zegle o la a Naaŋmen die dendɔre na ba naŋ boɔlɔ Veɛloŋ Dendɔre ka o na sɔrɔ boma yire noba naŋ maŋ wa kpeɛrɛ a Naaŋmen die poɔ. 
ACT.3.3	O naŋ da wa nyɛ a Piita ane Gyɔɔn ka ba wa kpeɛrɛ a Naaŋmen die, o da sɔre la boma ba zie. 
ACT.3.4	A Piita ane a Gyɔɔn da kpa la ba nimie eŋ o kyɛ ka a Piita yeli, “Kaa te nyɛ.” 
ACT.3.5	O da kaara ba la polipoli a teɛre ka ba na ko o la bonkaŋ. 
ACT.3.6	Kyɛ ka Piita yeli, “N ba taa libiri bee salema, kyɛ bon N naŋ taa ona ka N na ko fo; a Yeezu Kirista a Naazɛrɛ Bie yuori eŋɛ, vaa-iri kyɛnɛ.” 
ACT.3.7	O da nyɔge la o nuduluŋ a e ka o iri, ka a tɔntɔbaalɛ, ka o gbɛɛ ne o nɔɔkyoomɔ deɛ e kpeɛne. 
ACT.3.8	Ka o vaa-iri are a kyɛnɛ, a tu ba kpɛ a Naaŋmen die, a kyɛnɛ kyɛ vara kyinne a puuro Naaŋmen. 
ACT.3.9	A noba zaa da nyɛ o la ka o kyɛnɛ kyɛ puuro Naaŋmen, 
ACT.3.10	ka ba da baŋ ka ona la da maŋ zeŋ a Naaŋmen die dendɔre ba naŋ boɔlɔ a Veɛloŋ Dendɔre a sɔrɔ boma. Dabeɛ̃ ne nɔmaa da kpɛ ba la ne a yeli ŋa naŋ da e a gbɛre ŋa zie.
ACT.3.11	A dɔɔ naŋ da naŋ vara mara a Piita ane a Gyɔɔn, a noba zaa nɔɛ da maaɛ la ka ba da laŋ zo gaa ba zie a dendɔre na ba naŋ boɔlɔ ‘Solomɔn Kyaaraa’. 
ACT.3.12	A Piita naŋ da wa nyɛ lɛ, o da yeli ko la a noba, “Yɛnee Izerayɛl noba, bonso ka a yeli ŋa e yɛ nɔmaa, bee bonso ka yɛ yage nimie eŋ te lɛ, aŋa temenne kpeɛ̃õ bee te sonnoŋ la so ka te e ka a gbɛre ŋa iri kyɛnɛ? 
ACT.3.13	A Aboraham Naaŋmen, a Aziki Naaŋmen ane a Gyekɔb Naaŋmen ane a te sããkommine Naaŋmen la e ka o tontonɔ Yeezu nyɛ puubu, Ona la ka yɛ da de tere, a gyɛ O bare a Pilato niŋesogɔ, aneazaa ka a Pilato da boɔrɔ la ka o bare O. 
ACT.3.14	Kyɛ yɛ da gyɛ la a Nensoŋ ane a Nemmeŋɛ bare kyɛ da sage e ka ba ko yɛ a neŋkoorɔ, 
ACT.3.15	kyɛ ka yɛ da ko a Nyɔvore zaa soba, a Onaŋ Naaŋmen naŋ da e ka o leɛ-iri a kuuni poɔ, tenee la a yeli ŋa dansediribe. 
ACT.3.16	A Yeezu yɛlɛ sagedeebo ane O yuori zuiŋ la so ka a dɔɔ ŋa yɛ naŋ kaara kyɛ baŋ nyɛ laafeɛ a yɛ niŋesogɔ.”
ACT.3.17	“Kyɛ pampana ŋa, n bamine, N baŋ ka babammo la so ka yɛnee ane a yɛ namine da e a lɛ. 
ACT.3.18	A ŋaa la ka a yɛlɛ na Naaŋmen naŋ da tu a Ŋmen-yelmanneba zaa zie a yeli ka a O Mɛzaaya
ACT.3.19	A lɛ zuiŋ, yɛ leɛ yɛ eebo, a leɛ gaa Naaŋmen zie kyɛ yɛ na nyɛ la yelbebe sudi. 
ACT.3.20	Lɛ la ka faŋ paalaa naŋ yi a Daana zie na wa kyɛ ka O pãã toŋ a Mɛzaaya O naŋ kaa-iri a yɛ zuiŋ. Ona la a Yeezu. 
ACT.3.21	A ferɛɛ la ka a Yeezu be tenvelaa
ACT.3.22	Moozul da yelee la, ‘A Daana a yɛ Naaŋmen na iri la Ŋmen-yelmanna a yɛ meŋɛ noba poɔ ka o waa aŋa maa. A ferɛɛ la ka yɛ kyɛllɛ yelzaa O naŋ na yeli ko yɛ. 
ACT.3.23	Kyɛ soba na zaa naŋ koŋ kyɛlle woŋ a Ŋmen-yelmanna ŋa yɛlɛ, ba na wɛle o la bare a Naaŋmen noba poɔ.’ 
ACT.3.24	A Ŋmen-yelmanneba na zaa naŋ da yeli a yɛlɛ, a piili ne Saamuwɛl ane a banaŋ naŋ tu o puori meŋ da yeli la a bebie ama yɛlɛ. 
ACT.3.25	Yɛ waa la a Ŋmen-yelmanneba biiri ane a nɔ-eŋnaa na Naaŋmen naŋ da eŋ ko a yɛ sããkommine. Naaŋmen da yeli ko la Aboraham, ‘A fo boorɔ poɔ la ka a teŋɛzu nensaalboorɔ zaa na nyɛ maaloo.’ 
ACT.3.26	A Naaŋmen naŋ da kaa-iri a O tontonɔ, O da daŋ toŋ o la yɛ zie, ka O wa ko yɛ maaloo kyɛ e ka yɛ zaa leɛ yi a yɛ potuoloŋ sobie poɔ.”
ACT.4.1	A Piita ane a Gyɔɔn naŋ da naŋ yele a yɛlɛ korɔ a noba, a Naaŋmen bagmaalba ane a Naaŋmen die guguribo neŋkpoŋ ane a Sadusiimine da wa la ba zie. 
ACT.4.2	Ba suuri da iree la yaga ane ba naŋ da kanna a noba kyɛ moɔlɔ ka a Yeezu zie la ka kuuni leɛ-iruu be. 
ACT.4.3	Azuiŋ, ba da nyɔge ba la te pɔge ka zie te nyaa bonso, zie deɛ da maaɛ la. 
ACT.4.4	Kyɛ a noba yaga naŋ da woŋ a yelbiri da sage deɛ la. Ba da ta ŋa noba turaanuu.
ACT.4.5	A nyaazie daare, a ba namine ane a ba nembɛrɛ ane a Naaŋmen begɛ wulwulibo da laŋ la taa a Gyɛruzɛlɛm poɔ, 
ACT.4.6	ba ne Anaase a Naaŋmen bagmaalkare neŋkpoŋ ane Kayefa ane Gyɔɔn ane Alɛzanda ane a banaŋ zaa naŋ da yi a Naaŋmen bagmaalkare neŋkpoŋ boorɔ poɔ. 
ACT.4.7	Ba naŋ da e ka a nempɔgre wa are ba sogɔŋ, ba da soore ba la, “Boŋ kpeɛ̃õ bee aŋ yuori eŋɛ la ka yɛ da e a yeli ŋa?” 
ACT.4.8	Lɛ la ka Piita naŋ da paale ne a Vooroŋ Soŋ da yeli ko ba, “Yɛnee, a noba namine ane ba nembɛrɛ, 
ACT.4.9	ka tenee are a kyɛ a zenɛ bebiri, ka yɛ soorɔ te a kyaare ne a yelvelaa te naŋ e ko neɛ kaŋ naŋ da beɛrɛ, ka o nyɛ laafeɛ, 
ACT.4.10	a ferɛɛ la ka yɛ zaa baŋ, a laŋne a Izerayɛl noba zaa ka a Yeezu Kirista, a Naazɛrɛ Bie na yɛ naŋ da kpa a dagaraa zu, ka Naaŋmen e ka O leɛ-iri a kuuni poɔ, yuori eŋɛ la ka a dɔɔ ŋa nyɛ laafeɛ a are dendeŋ yɛ niŋesogɔ. 
ACT.4.11	A Yeezu ŋa la:
ACT.4.11	‘a kuuri na yɛnee, a mɛmeɛrebɛ naŋ da zagre bare;
ACT.4.11	Ona la leɛ a yiri pare kuuri.’
ACT.4.12	Faabo ba la kye neɛ kanzaa zie, bonso, yuori zaa ba kye a teŋɛzu kyɛ Naaŋmen naŋ tere a nensaalba poɔ ka te na tu a nyɛ faabo.”
ACT.4.13	Ba naŋ da wa nyɛ lɛ a Piita ane Gyɔɔn naŋ da yele a yɛlɛ a ba zoro dabeɛ̃ kyɛ ka ba da baŋ ka ba da ba e noba naŋ zanne gane, ba nɔɛ da maaɛ la. Kyɛ ba da baŋ ka ba da waa la a Yeezu potuuribo. 
ACT.4.14	Kyɛ ba naŋ da nyɛ a dɔɔ na naŋ da nyɛ a sammo ka o are kɔge ba, ba da ba la taa nɔkpeɛne zaa na ŋmɛ a yeli ŋa poɔ. 
ACT.4.15	Azuiŋ, ba da tere la noɔre ka ba taa ba yi ne a sɛrediribe zie, kyɛ ka ba nyɛ taa ne a yɛlɛ. 
ACT.4.16	Ba da soore la taa, “Boŋ ka te na e ne a noba bama? A e la weliweli ko banaŋ zaa naŋ be a Gyɛruzɛlɛm poɔ ka ba e la yelwulaa; te kontoɔ̃ yeli ka a ba waa lɛ. 
ACT.4.17	Ka tenee boɔrɔ ka a yɛlɛ ŋa ta gaa tɔɔre a noba poɔ, yɛ e ka te kpãã ba ka ba ta daŋ la porɔ a Yeezu yuori neɛzaa zie.” 
ACT.4.18	Lɛ la ka ba da boɔle ba a ko ba noɔre ka ba ta daŋ wa yele bee a wullo noba a Yeezu yuori eŋɛŋ zaa. 
ACT.4.19	Kyɛ a Piita ane Gyɔɔn da leɛ yeli sɔge ba la, “Yɛ teɛre nyɛ, a buo soba la seŋ ne eebo a Naaŋmen niŋesogɔ, te naŋ na sage a yɛ noɔre bee a Naaŋmen noɔre? 
ACT.4.20	Tenee eŋ kontoɔ̃ bare bonna te naŋ nyɛ bee a woŋ yeluu.” 
ACT.4.21	Ba da leɛ fugi ba la kyɛ bare ba ka ba gɛrɛ, ba naŋ da ba baŋ lɛnɛɛ zaa ba naŋ na dɔgre ba a noba zuiŋ, bonso a noba zaa da puuro la Naaŋmen ane bonna naŋ e. 
ACT.4.22	A dɔɔ gbɛre na ba naŋ da saŋ da nyɛ la yuomo lezaayi kyɛ dɔgle.
ACT.4.23	Ba naŋ da wa bare a Piita ane Gyɔɔn baare, ba da gaa la a ba bamine zie a te manne bon a Naaŋmen bagmaalkare ane a nembɛrɛ naŋ da yeli ko ba. 
ACT.4.24	Ba naŋ da wa woŋ a yɛlɛ, ba da laŋ la taa a zɛge ba kɔkɔɛ a puori Naaŋmen a yeli, “Boma Zaa Daana, fõõ la da iri a saluoni ane a teŋɛ ane a mane ane boma zaa naŋ be a poɔ. 
ACT.4.25	Fõõ la da vɛŋ ka a Vooroŋ Soŋ da tu a te sããkoma Davil, a fo tontonɔ zie, a yeli:
ACT.4.25	‘Bonso ka a Nemboore-yobo
ACT.4.25	kyɛ ka a noba teɛre teɛroŋ weere?
ACT.4.26	A teŋɛzu namine yi la tammo,
ACT.4.26	ka a naaloŋ deme lantaa,
ACT.4.26	a zɔɔrɔ ne a Daana ane a O Mɛzaaya.’
ACT.4.27	Bonso, Hɛrɔde ane Ponsi Pilato ane a Nemboore-yobo ane a Izerayɛl noba da laŋ la taa a teŋkpoŋ ŋa poɔ a zɔɔ ne a Yeezu a fo tontonsoŋ, a onaŋ fo naŋ da sɔ kããsoŋ, 
ACT.4.28	ka ka O e a bonna a fo nu ane a fo poteɛrɛ naŋ nare biŋ ka fo e. 
ACT.4.29	Pampana ŋa, Daana, kaa nyɛ a ba fugibu kyɛ soŋ a fo tontonema ka ba moɔle a fo yelbiri kyɛ ta zoro dabeɛ̃, 
ACT.4.30	kyɛ ka fo teɛ fo nu a saŋ na baaloŋ, a erɛ yelwulii ane toŋkpeɛne a fo tontonsoŋ Yeezu yuori eŋɛ.” 
ACT.4.31	Ba naŋ da wa puori baare, a zie na ba naŋ da lantaa da gbigree la kyɛ ka ba da paale ne a Vooroŋ Soŋ a da moɔlɔ a Naaŋmen yelbiri ane ba faŋ zaa.
