GEN.1.1	Makasososan Manetualain nakadadadik lalai no dae-inak.
ACT.10.39	Air ia, ndia mete-mita no ai mata deꞌe heli-helin, hata fo Ana taok numa kota Yerusalem ma hatahori Yahudir nggoro-tadun katematuan.
ACT.10.39	Leo mae talo naa oo, tehuu hatahori bei paku londan neu ai ngganggek losa maten boe. 
ACT.10.40	Ana mate tebe-tebe, tehuu neu bei-nesan boe ma Manetualain tao nasoda falik kana numa mamaten mai. De Ana natudu aon, fo hatahorir bubuluk rae, tebe-tebe Ana nasoda fali numa mamaten mai ena. 
ACT.10.41	Tehuu ta basa hatahorir mete-ritan, te kada ai mesa ngga. Neu Ana nasoda fali numa mamaten mai naa, ai soa miꞌa-minu sama-sama mian. Manetualain oo here nala ai dadi sakasii boe fo miu tui-bengga Yesus Tutui Malolen neu hatahori noꞌuk kara sudi rai bee.
ACT.10.42	Dadi Manetualain ndia nadenu ai fo miu mafada no manggaledon laꞌe-neu Hatahori fo Ana henggenee memak kana numa lele uluk mai naa, ndia Yesus. Ma Manetualain oo soꞌuk nala Yesus dadi neu Mana Maketu-maladi Dedeꞌak boe, fo mana naena haak nae, see ndia neu ko bisa nasoda nakandoo no Manetualain, ma see ndia taa. Yesus naa, ndia naketu-naladi dedeꞌak soa-neu hatahori fo mana matek ena ma hatahori fo bei masodak kara. 
ACT.10.43	Numa lele uluk mai, Manetualain mana toꞌu dedeꞌan nara basa sara oo kokolak laꞌe-neu Yesus ia boe rae, basa hatahorir fo mana ramahere neun, neu ko Manetualain simbok kasa, ma Manetualain neu ko koka heni sira sala-singgon nara.”
ACT.10.44	Neu Petrus bei kola-kola talo naa, te medak neu ma Manetualain Dula-dale Malalaon konda neni basa hatahorir fo mana nenene Petrus naa neu. 
ACT.10.45	Numa naa oo, hambu Petrus nonoon hatahori Yahudir, fo ara sama-sama roon numa kota Yope mai naa boe reni Kornelis uman nai kota Kesarea reu. Neu ara mete-rita hatahori noꞌuk kara raa simbok Manetualain Dula-dalen, boe ma ara heran bali-bali, nahuu ara bei fo mete-rita Manetualain fee Ndia Dula-dalen neu hatahori ta Yahudi. 
ACT.10.46	Ara ramanene hatahorir marai Kornelis uman naa kokolak pake dedeꞌak mata-matak kara, ma ara koa-kio Manetualain.
ACT.10.46	Boe ma Petrus kokolak nae, 
ACT.10.47	“Ei mesa ngga mete leo! Hatahori iar oo simbo rala Manetualain Dula-dalen ena, sama leo ita boe. Dadi hatematak ia, mai fo ita sarani sara leo. Ta hambu esa boe na bisa kaꞌi bali.” 
ACT.10.48	Boe ma Petrus nadenu fo ara sarani Kornelis no hatahorir fo maruma naa, fo ara maso dadi reu Lamatuak Yesus hatahorin. Basa boe ma ara roke fo Petrus leo no sara faik hida bali, dei fo ara feen fali neni Yerusalem neu.
ACT.11.1	Petrus bei ta fali, tehuu Yesus nedenun nara ma hatahori kamaherek laen nara marai Yerusalem ramanene rala ena rae, hatahori ta Yahudi simbok rala Lamatuak Tutui Malolen ena. 
ACT.11.2	Dadi neu Petrus fali losa Yerusalem, hambu hatahori kamaherek hida ruma partei Yahudi mai
ACT.11.3	rae, “Heeh! O tao talo bee naa ena? O bubuluk ita dala-hadan, do taa? O mambarani maso muni hatahori ta Yahudi uman muu! Muꞌa-minu mua sara bali! Ta bole tao talo naa, te sira raa, bei ta tungga rita ita dala-hada sunat! Ita ta tandaa takabua to sara!”
ACT.11.4	Boe ma Petrus tui basa hata fo ana dadi ena nae, 
ACT.11.5	“Faik esa, neu au bei numa kota Yope, ndaa no au uu hule-haradoi, boe ma Lamatuak fee au ninitak sama leo meꞌis. Au mete-ita leo bali lalai natahuka, boe ma tema loak esa toda mai, neni londak neu buꞌun haa sara. Boe ma temak naa mulai konda neni au mai. 
ACT.11.6	Neu au titino neni temak naa dale neu, boe ma au mete-ita banda mata-matak kara, ndia banda ei haak, banda mana manodo-manamak ma mbuik mata-matak kara. Basa bandar raa, ita hatahori Yahudir banda nelulin nara. 
ACT.11.7	Boe ma au amanene harak esa nadenu nae, ‘Peꞌu! Mambadeik leo! Tunu-hala bandar ia fo muꞌa leo!’
ACT.11.8	Tehuu au aselu ae, ‘Ta bisa, Papa! Boso talo naa! Au bei ta uꞌa ita banda leo naak kara! Basa bandar raa, ita hatahori Yahudir taluli sara!’
ACT.11.9	Tehuu harak naa naselu nasafali nae, ‘Mete ma Manetualain kokolak ena nae, hata esa malalaok, na, o boso mae ndia manggenggeok bali!’
ACT.11.10	Au mete-ita temak naa toda talo naa losa laꞌe telu, boe ma ana neni soꞌuk fali lalai neu.
ACT.11.11	Ndaa no faik naa, hambu hatahori telu losa uma naa. Ara ruma Kesarea mai fo sangga au. 
ACT.11.12	Boe ma Manetualain Dula-dale Malalaon nafada au nae, ‘O konda fo muu laꞌo tungga hatahorir ia leo. O dalem boso babati. Leo mae sira raa, ta hatahori Yahudi, tehuu o boso nunute sara, fo tao sara leo manggenggeok.’ Neu au amanene basa talo naa, ita toranoon hatahori nee ia, ara oo laꞌok tungga sama-sama ro au meni Kesarea miu boe. Numa naa, ai basa ngga maso meni komedan soldadu Roma esa uman dale miu. 
ACT.11.13	Komedan naa tui nae, fai hida maneuk kara ndia mete-nita Manetualain atan numa nusa tetuk do inggu temak mai nambariik numa ndia uman, de nae, ‘Madenu hatahorir reni Yope reu fo roke hatahori esa, nade Simon Petrus. 
ACT.11.14	Dei fo hatahori naa natudu o, ma mua basa o uma isim mara, Lamatuak eno-dalan talo bee fo tao nasoi-nasoda ei, ma koka heni ei sala-singgom mara.’
ACT.11.15	Huu naa de au mulai atudu Lamatuak Eno-dala Masodan neu sara. Medak neu ma, Manetualain Dula-dale Malalaon konda neu basa hatahorir raa, sama leo ita oo simbo talan ndia fai maneuk kara raa ena boe. 
ACT.11.16	Au mete-ita ara oo simbo Manetualain Dula-dalen talo naa boe, ma au asaneda Lamatuak Yesus kokolan fai bakahulun nae, ‘Yohanis sarani ei pake kada oe, tehuu neu ko Manetualain nae tao ta hohoꞌan lenak neu ei, ndia Ana fee Ndia Dula-dale Malalaon neu ei.’
ACT.11.17	Manetualain mesa kana ndia fee Ndia Dula-dalen neu hatahori laen nara raa, tetar leo Ana fee neu ita boe. Dadi ei hihiim nau au laban Manetualain, do talo bee? De au ae kokolak hata bali?”
ACT.11.18	Ara ramanene Petrus nasalaꞌe aon talo naa, boe ma ara ta fee salak neun ena bali. De basa sara koa-kio Manetualain rae, “Awii! Sudi selik kana! Manetualain soi dalak ena fo hatahori laen nara oo bisa laꞌo ela sira leleo-lalaꞌo kasalan nara boe, fo Manetualain koka heni sala-singgon nara, de ara oo hambu masodak rakandoo ro Ndia boe.”
ACT.11.19	Fai maneuk kara neu ara rakanisa basa Stefanus, boe ma ara mulai tao doidosok ma rakasususak Yesus hatahorin nara. Huu naa de ara ralai sasarak sudi bee reu. Ketuk ralai reni profensi Fenisia reu. Ketuk oo reni pulu Siprus reu boe, ma ketuk bali ralai dook ka losa kota Antiokia nai profensi Siria reu. Hatahori mana malaik kara iar oo tui-bengga Lamatuak Yesus Tutui Malolen nai bee a mesan boe. Tehuu ara rafada reu kada sira hatahori Yahudin nara. Ara ta rafada neu hatahori laen nara.
ACT.11.20	Tehuu hambu Lamatuak hatahorin nara oo ruma pulu Siprus ma kota Kerene mai boe. Ketuk laꞌo rakandoo reni kota Antiokia nai profensi Siria reu. Sira iar ndia tui-bengga Lamatuak Yesus Tutui Malolen neu hatahori ta Yahudir marai naa. 
ACT.11.21	Lamatuak fee Ndia koasan neu sara, losa hatahori noꞌun seli ramahere Lamatuak Yesus.
ACT.11.22+ACT.11.23+ACT.11.24	Faik naa, Lamatuak Yesus hatahorin nara maruma Yerusalem ramanene rae, hatahori laen nara rai Antiokia oo ramahere neu Yesus ena boe. Basa boe ma ara radenu hatahori esa, nade Barnabas, fo neu tiro sara rai naa. Barnabas ia, hatahori dalen malole, ma namahere tebe-tebe neu Manetualain. Manetualain Dula-dalen oo nakalalaꞌok kana boe.
ACT.11.22+ACT.11.23+ACT.11.24	Neu ana losa naa, ana mete-nita nae, memak tebe Manetualain naue-osa nai hatahori laen leleo-lalaꞌon nara taladan ena. Boe ma dalen namahoko. De ana fufuꞌa dalen nara, mita fo ara tungga rakandoo Lamatuak Eno-dala Masodan no tebe-tebe. No dalak naa, Lamatuak hatahorin nara tamba faik, tamba ramanoꞌu.
ACT.11.25	Basa boe ma Barnabas neni kota Tarsus neu fo nae neu sangga Saulus. 
ACT.11.26	Neu ana natonggo noon, ana kokoe Saulus, fo ara sama-sama fali reni Antiokia reu. De dua sara leo ruma Antiokia sama-sama ro Lamatuak hatahorin nara, losa teuk esa. Tungga faik, dua sara fee nenorik laꞌe-neu Lamatuak Yesus Eno-dalan Masodan neu hatahori noꞌuk kara. (Numa kota Antiokia naa, dei de hatahori mulai roke Lamatuak Yesus hatahorin nara rae, ‘hatahori Karisten’.)
ACT.11.27	Neu dua sara bei ruma Antiokia, hatahori hida ruma Yerusalem mai. Lamatuak nasiꞌe pake hatahorir raa fo dadi reu Ndia mana toꞌu dedeꞌan. 
ACT.11.28	Numa mana toꞌu dedeꞌak kara raa mai, hambu hatahori esa, nade Agabus. Manetualain Dula-dalen nafadan nae, “Neu ko hambu fai ndoe-laꞌas tahohoꞌak nai basa dae-bafok katematuan, losa buꞌun nara.” Boe ma ana neu nafada seluk hatahorir. (Ndia kokolan naa, ana mori-dadi tebe neu lelek Roma mane ina-huun keser, nade Kladius toꞌu parenda).
ACT.11.29	Lamatuak Yesus hatahorin nara maruma Antiokia ramanene Agabus kokolan talo naa, boe ma ara rala harak fo ara tutuꞌu doik fee sira toranoon nai Yesus dale marai profensi Yudea fo mana leo-laꞌo nai susa ma toꞌa taak dale. Esa-esak fee tungga sira nebeꞌin. 
ACT.11.30	Ara tutuꞌu basa, boe ma ara here Barnabas no Saulus, fo dua sara reni doik kara raa, fo fee sara reu malangga saranik kara marai naa. De malangga saranik kara raa baꞌe fee neu hatahori mana susa ma toꞌa taak kara.
ACT.12.1	Faik naa oo manek Herodes
ACT.12.2	Ana fee parenda neu hatahorir fo reu tati risa Yakobis pake tafa. Yakobis naa, Yohanis kaꞌa toun. 
ACT.12.3	Neu Herodes mete-nita nae, Yakobis mamaten neni nemehokok soa-neu hatahori Yahudi malanggan nara, boe ma ana boe tao lena-lenak bali. Ndaa no fai ina-huuk fo seseik kana rae, feta Roti Ta Pake Laru Taꞌik,
ACT.12.4	Humu ralan, boe ma ara teen neni bui dale neu. De ara fee soldadu bubuak haa fo ranea ko nggatik neu Petrus hatu-leledon. Soldadu bubuak esa, hambu hatahori haa. Herodes nau fo naketu Petrus dedeꞌan nai hatahori noꞌuk kara matan, mete ma feta naa basan ena.
ACT.12.5	Dadi neu ara bei oka Petrus numa bui dale, Lamatuak Yesus hatahorin nara hule-haradoi ta ramaketu, roke fo Lamatuak loti-mete Petrus.
ACT.12.6	Neu beꞌe-main, manek Herodes nau naketu Petrus dedeꞌan nai rea matan. Leꞌodaen naa ara paꞌa Petrus pake rante besi dua neu soldadu dua liman nara beke serik numa bui dale. Boe ma ana sunggu nai soldadu kaduak kara taladan. Hambu soldadu laen nara fo ranea rai uma lelesu bafan.
ACT.12.7	Medak neu ma, Manetualain atan numa nusa tetuk do inggu temak mai nambariik numa naa, de kama naa nasaꞌa manggaledo ndoos. Boe ma ata naa fafae nabeꞌe Petrus nae, “Peꞌu, ee! Mambadeik lai-lai!” Hatematak naa, rante besi naa mboꞌi henin numa Petrus liman mai. 
ACT.12.8	Boe ma ata naa nadenun nae, “Olu o badum neu! Ma olu o tabu eim neu!” Petrus papake basa, boe ma ata naa nadenu seluk kana bali nae, “Olu o badu deam neu, fo mai tungga au leo!”
ACT.12.9	Petrus tungga ata naa, de ara kalua numa bui dale mai. Tehuu Petrus nae hetu ko ndia kada nala meꞌi naa. Naa te memak dadi tebe leo naak. 
ACT.12.10	Neu ara laꞌo seli mamana neneak kaesan ma kaduan, boe ma ara losa lelesu besik. Lelesu naa soi aon, boe ma dua sara kalua, de ara tungga dala mana neni kota neu. Medak neu ma, Manetualain atan naa, laꞌo ela Petrus mesa kana numa naa.
ACT.12.11	Ata naa mopon, boe ma Petrus nameda nasafali de nae, “Memak tebe, ee! Hatematek ia au bei fo bubuluk. Lamatuak naa, tebe-tebe Ana nadenu atan mai ena fo nakamboꞌik au numa Herodes liman mai. Lamatuak tao talo naa, fo hatahori Yahudir duduꞌa-aꞌafi kaboo mburun nara ta laꞌe au.”
ACT.12.12	Basa boe ma Petrus neni mama Maria uman neu. Ndia naa, Yohanis inan. Yohanis naa naden laen, ndia Markus. Numa naa, hatahori noꞌuk ka rakabua hule-haradoi, roke fo Lamatuak tulu-fali Petrus numa dedeꞌan mai. 
ACT.12.13	Losa uma naa, boe ma Petrus dedelu mbaꞌa lelesun, ma nanggou numa lelesu naa mai, boe ma ina mana malalau uma-loo esa, nade Rode, neu titino see ndia mana maik naa. 
ACT.12.14	Ana namanene Petrus haran, boe ma nalelan neuk ka. Ana namahoko nalan seli, de nalaik uma dale neu, boe ma nafada hatahorir nae, “Petrus nambariik nai dea naa!” Tehuu ana panggananaa, de ana lilii soi lelesu fee Petrus.
ACT.12.15	Boe ma ara raselu rae, “Ta dadi leo naak! Boso makoa-kandiaok talo naa!”
ACT.12.15	Tehuu inak naa naherek enan nae, “Taa! Naa tebe-tebe Petrus haran! Ana nai dea naa!”
ACT.12.15	Te ara ta mbali sana, de rae, “Fama te, naa kada ata numa nusa tetuk do inggu temak mai nanea Petrus.”
ACT.12.16	Ara bei ratola-helak, tehuu Petrus nanggou nakandoo, losa ara reu soi lelesu. Ara soi heni lelesu, boe ma ara panggananaa, nahuu Petrus ndian ena. 
ACT.12.17	Petrus batak liman mita fo ara nenee. Basa boe ma ana tui sara talo bee de losa Manetualain kalua heni ndia, numa bui dale mai ena. De nadenu sara nae, “Ei miu tui basa mandadik kara iar, neu Yakobis no nedenuk laen nara, ee.” Basa boe ma Petrus kalua neni mamanak laen neu.
ACT.12.18	Beꞌe-mai huhua anan, neu soldadu mana manear mete neu te Petrus ta sana ena, boe ma ara pangganaa, ma ramataꞌu ralan seli, nahuu ara ta bubuluk hata dadi neu sira bali. 
ACT.12.19	Neu Herodes bubuluk mandadik naa, boe ma ana parenda sara reu sangga Petrus. Tehuu ara ta ratonggo sana. Boe ma Herodes fee parenda fo parisa soldadur mana maneak kara raa. Ara parisa basa, boe ma ana fee hala risa basa soldadu mana manear raa.
ACT.12.19	Basa boe ma Herodes laꞌo ela Yudea, de neu leo numa Kesarea.
ACT.12.20	Lelek naa, hatahorir ruma kota dua, nade Tirus ma Sidon mai, ara rasiꞌe hasa nanaꞌak numa manek Herodes nusan mai. Tehuu numa dook ka mai, manek naa namusuk no sara ena. Boe ma ara rala harak fo sangga dalak reu mole-dame roon. De ara here hatahori bubuak esa fo reu ratonggo ro Herodes. Ara losa Kesarea, ara ratia-lai ro Herodes hatahori uma dalen esa, nade Blastus. Hatahori naa malangga mana koladu esa nai manek uma manen. Ara rala harak ro Blastus fo ana dadi neu sira mana kokoen fo nasosoi dalak fee sara, mita fo bisa ratonggo ro Herodes.
ACT.12.21	Boe ma Herodes nakaheik simbok kasa, de ara henggenee faik esa fo ara ratonggo. Faik naa, ara tao tatao moꞌok. Herodes pake ndia bua-loꞌa manen, basa boe ma nanggatuuk neu kadera man-parendan. Boe ma ana mulai kokolak noo sara. 
ACT.12.22	Hatahorir ramanene haran, boe ma ara mulai koa rakadedemak kana rae, “Nenene haran naa! Ia ta hatahori dae-bafok haran! Ia dewa haran!” 
ACT.12.23	Medak neu ma, Manetualain atan esa numa nusa tetuk do inggu temak mai haitua fee Herodes hedis esa, nahuu ana simbo hatahori kokoa-kikion neu ndia, ma ana seti nakaheok heni Manetualain. Boe ma sikalatik kara raꞌa heni Herodes ao-mbaan losa ana mate ndua hadak.
ACT.12.24	No basa dedeꞌak fo mandadik kara raa, boe tao tamba natanggenggela Manetualain Hara Lii Malolen, ma hatahori fo mana tungga Lamatuak Yesus Eno-dala Masodan oo tamba ramanoꞌu boe.
ACT.12.25	Neu Barnabas no Saulus reni tutulu-fafalik numa hatahori Antiokiar mai feen neni Yerusalem neu naa basa ena, boe ma ara fali reni Antiokia reu. Ara roo hatahori taꞌe anak esa sama-sama no sara. Ndia naden Yohanis. Ara oo roken rae, Markus boe.
ACT.13.1	Numa kota Antiokia, hatahori noꞌuk ka ramahere neu Yesus ena. Hambu hatahori hida fo Manetualain pake sara dadi neu Ndia mana toꞌu dedeꞌan, ma hambu hida bali fo Ana pake sara fo ranori hatahorir. Sira raa, ndia:
ACT.13.1	Barnabas,
ACT.13.1	Simeon, fo hatahorir rasiꞌe roken rae ‘Tou Nggeok’,
ACT.13.1	Lukius, numa kota Kerene mai,
ACT.13.1	Menahem, fo ara rakaboin numa kadiꞌi anan mai sama-sama no manek Herodes,
ACT.13.1	ma Saulus.
ACT.13.2	Faik esa, ara puasa ma rakabua fo rakaluku-rakatele neu Manetualain. Boe ma Manetualain Dula-dale Malalaon nafada sara nae, “Here mala Barnabas no Saulus. Te Au ue-osang noꞌuk ka. De ara muste tao ue-osa fo Au ae baꞌe fee sara.”
ACT.13.3	Neu ara puasa ma hule-haradoi basa, boe ma ara ndae liman nara reu Barnabas no Saulus fo tabis asa. Basa boe ma ara radenu dua sara reu rakalalaꞌok Lamatuak ue-osan.
ACT.13.4+ACT.13.5	Neu Manetualain Dula-dale Malalaon fee parenda neu Barnabas no Saulus fo dua sara laꞌo ndule basa mamanak kara, makasososan ara reni kota esa nai tasi tatain reu, nade Seleukia. Yohanis (hatahori naa ndia ara roken oo rae, Markus boe), ana oo tungga sama-sama no sara boe. Ara losa naa, ara saꞌe ofak fo reni pulu Siprus reu, de ara konda numa kota esa, nade Salamis. Numa naa, ara rasiꞌe maso reni hatahori Yahudir uma huhule-haradoin reu fo ara fee nenorik laꞌe-neu Manetualain Dedeꞌa-kokolan neu hatahorir.
ACT.13.6+ACT.13.7+ACT.13.8	Boe ma ara laꞌo tuli-tuli numa nggorok esa mai neni nggorok esa neu, de ara losa kota esa nai pulu naa suꞌun seri, nade Pafos. Nggubenor leo nai kota naa. Ndia naden Sergius Paulus. Ndia naa, hatahori malelak. Neu ana namanene nae, Barnabas asa mai nai ndia kotan naa ena, boe ma ana nadenu hatahorir fo reu roke sara, te dalen hii nalan seli nau nenene nenori-nefadak numa Lamatuak mai ena.
ACT.13.6+ACT.13.7+ACT.13.8	Tehuu numa naa oo, hambu hatahori Yahudi esa boe, nade Bar Yesus (naden laen tungga dedeꞌa Yunani rae, ‘Elimas’). Hatahori ia, mana teka-dokik. Ana nasiꞌe pepeko-leleko hatahorir nae, ndia oo Manetualain mana toꞌu dedeꞌan boe. Ana natia-laik malole no nggubenor naa. Neu Barnabas asa mai, boe ma ana dudunggu nggubenor fo boso simbok kasa. Ana soba-soba nakabubusak nggubenor naa fo hae namahere neu Yesus.
ACT.13.9	Tehuu Manetualain Dula-dale Malalaon fee koasa neu Saulus (fo ara oo roken rae, Paulus boe), boe ma nakabubula matak fo mete nakateteek mana teka-dokik naa. Boe ma nae, 
ACT.13.10	“Heeh! Elimas! Nitu anan o! Mana pepeko-lelekok! Losa faik hida bali fo o bei nau kedi-ira hatahori? O laban basa hata fo neulauk. No dalak naa, ai bubuluk o tungga nitur malangga ina-huun. O boso bei tao talo naa bali! O boso soba-soba kena Lamatuak dala ndoon bali! 
ACT.13.11	Heeh! O nenene, ee! Neu ko Lamatuak huku-doki o. O matam neu ko poke fo o ta bisa mete-mita hata esa boe na losa faik hida dalen.”
ACT.13.11	Paulus kokolak basa talo naa, boe ma hatahori naa matan poke tutik ka leo. De ana laꞌok nafaroroe, fo sangga hatahorir toꞌu ndia liman, mita fo rakalalaꞌok kana.
ACT.13.12	Neu nggubenor mete-nita no mata heli-helin talo naa, ma ana namanene Barnabas asa fee nenorik laꞌe-neu Yesus, ana heran bali-bali, basa boe ma ana namahere neu Yesus.
ACT.13.13	Paulus asa saꞌe ofak numa kota Pafos nai pulu Siprus mai, reni kota esa nai profensi Pamfilia, nade Perga reu. Ara konda ofak numa naa, boe ma Yohanis Markus laꞌo ela sara de ana fali neni Yerusalem neu. 
ACT.13.14	Ara laꞌok tungga mada lai ruma Perga mai reni kota Antiokia nai profensi Pisidia reu.
ACT.13.14	De ara laꞌok losa kota naa. Neu hatahori Yahudir fai hahae tao ue-osan, boe ma ara tungga reu hule-haradoi numa hatahori Yahudir uma huhule-haradoin. 
ACT.13.15	Faik naa, ara lees numa baꞌi Musa susuran, ma numa Manetualain mana toꞌu dedeꞌan laen nara susuran mai. Boe ma uma huhule-haradoik naa malanggan nara roke Paulus asa rae, “Ama nggara ein. Mete ma ei mae helu hata neu ai, na, ai hule no hada-horomatak fo kokolak tao matea basa ai manai iar dalen.”
ACT.13.16	Boe ma Paulus nambariik neu mata. Ana botik liman fo noke sara nenee. De ana mulai kokolak nae, “Toranoo Israꞌel nggara ein. Ma basa ina-ama lalaꞌen fo mana maso anggama Yahudi, nahuu ei dalem mara oo hii ralan seli neu hatahori Israꞌel asa Manetualain boe. Au oke ei pasa ndiꞌi doom mara fo nenene au!
ACT.13.17	Manetualain here nala ita hatahori Israꞌel bei-baꞌin nara numa lele uluk mai ena. Neu ara reu leo numa dae Masir, fo ta sira nusa heli-helin, Manetualain fee sara leo no mole-damek, losa tititi-nonosin nara tamba ramanoꞌu. Basa boe ma Manetualain pake Ndia koasa moꞌon fo Ana noo sara kalua numa Masir mai.
ACT.13.18	Basa naa, ara leo lali-lali numa mamana nees, losa teuk haa hulu dalen. Leo mae ara langga batu rakandoo, tehuu Manetualain nakalalaꞌok kasa no kada dale narun fo ta namanasa sara.
ACT.13.19	Basa boe ma Manetualain nakalulutu hatahori nusak hitu nai dae Kanaꞌan. De Ana babaꞌe daen nara neu ita bei-baꞌin nara fo dadi neu sira dae pusakan.
ACT.13.20	Ara leo-laꞌo talo naa losa teuk natun haa lima hulu (450).
ACT.13.20	Basa boe ma Manetualain soꞌuk fee sara mana maketu-maladi dedeꞌak kara, fo rakalalaꞌok kasa, losa Manetualain soꞌuk nala Ndia mana toꞌu dedeꞌan esa, nade Semuel.
ACT.13.21	Neu Semuel dadi neu Manetualain mana toꞌu dedeꞌan, ita bei-baꞌin nara hihiik ka hambu manek esa dei. De Manetualain soꞌuk nala Kis anan, nade Saul, numa leo Benyamin mai. Saul toꞌu parenda losa teuk haa hulu.
ACT.13.22	Basa boe ma Manetualain hai henin. De Manetualain soꞌuk nala Isai anan, nade Dauk dadi neu mane beuk nggatin. Manetualain bubuluk Dauk dalen nae, ‘Isai anan, Dauk ia, ndaa Au daleng. Neu ko ana tao natetu basa Au hihii-nanaung lalaꞌen.’
ACT.13.23	Lelek naa, Manetualain helu-bartaa nae nadenu Dauk tititi-nonosin esa, fo tao nasoi-nasoda hatahori Israꞌel asa numa sala-singgon nara mai. Au nau afada basa toranook kara ae, Dauk tititi-nonosin fo Manetualain helu-bartaak naa, ndia Yesus.”
ACT.13.24	Paulus tuti kokolan nae, “Neu Lamatuak Yesus bei ta mulai ue-osan, hambu hatahori esa, nade Yohanis, neu nafada hatahori Israꞌel asa nae, ara muste hahae numa sala-singgon nara mai, fo fali tungga Lamatuak. Basa naa, ara muste sarani fo dadi neu tanda nae, sira malole ro Lamatuak ena.
ACT.13.25	Tehuu neu Yohanis ue-osan sangga basan ena, ana nafada hatahorir nae, ‘Ei boso duꞌa mae, au ia, Hatahori fo Manetualain helu-bartaa numa lele uluk mai ena fo nae nadenun mai. Masaneda matalolole! Ei muste mahani Hatahori esa fo neu ko nae mai. Ndia ta neni babanggak lena heni au, losa au dadi uu kada ana neondan oo au ta andaa boe.’
ACT.13.26	Toranoo nggara ein! Ei fo memak baꞌi Abraham tititi-nonosin, ma ei laen nara fo dalem mara hii malan seli neu Manetualain. Nenene neu au dei! Manetualain nafada dedeꞌak ia neu ita ena, fo ita bisa bubuluk tala Ndia eno-dala masodan. Ana tao nasoi-nasoda ita numa ita sala-singgon nara mai. 
ACT.13.27	Numa lele uluk mai, Manetualain pake Ndia mana toꞌu dedeꞌan nara fo ara surak rafada hatahorir laꞌe-neu Hatahori fo Manetualain helu-bartaa nae nadenun mai naa. Boe ma ita malangga anggaman nara, ma hatahori laen nara marai Yerusalem, ara lees laꞌi-laꞌik ka ena hata fo mana toꞌu dedeꞌak kara surak ena. Tungga fai hahae tao ue-osa, ara maso reni uma huhule-haradoik dale reu, fo ara lees laꞌe-neu Hatahori naa nai Manetualain Susura Malalaon dale.
ACT.13.27	Tehuu ara ta ralela rae, Hatahori fo Manetualain helu-bartaa nae nadenun mai naa ena, ndia Yesus. Basa boe ma ara sangga dalak fo hukun mates neun. Naa te dalak ia oo ndaa no hata fo Manetualain mana toꞌu dedeꞌan nara surak ena boe. 
ACT.13.28	Ara sangga-sangga dedeꞌak ro Yesus fo rae ike ratudan, tehuu ara ta hambu Ndia salan hata faa boe na. Leo mae talo naa, tehuu ara reu roke nggubenor Pilatus fo tao risan.
ACT.13.29	Nggubenor naa nakaheik, boe ma ara paku londa Yesus neu ai ngganggek lain, losa Ana mate. Tehuu basa iar oo ndaa no hata fo Manetualain mana toꞌu dedeꞌan nara surak ena boe. Basa boe ma ara rakonda ao-mbaa mamaten numa ai ngganggek lain mai, de ara koꞌo renin reu taon neu rates dale.
ACT.13.30	Tehuu Manetualain pake Ndia koasan, fo nasoda falik Yesus numa mamaten mai.
ACT.13.31	Neu Yesus nasoda fali numa mamaten mai ena, Ana natudu aon laꞌe noꞌuk ka neu hatahorir. Sira raa, ndia mana sama-sama ro Yesus ruma profensi Galilea mai fo reni Yerusalem reu. Ma sira raa ndia hatematak ia dadi reu sakasii fee hatahori Israꞌel asa.”
ACT.13.32+ACT.13.33	Paulus tuti kokolan nae, “Talo ia! Ai dua ngga, ndia au ua Barnabas ia, numa dae dook ka mai ena fo mafada ei, mita fo ei bubuluk mae, hata fo Lamatuak helu-bartaa neu ita bei-baꞌin nara ena, hatematak ia basa sara mori-dadi ena. Manetualain tao nasoda falik Yesus numa mamaten mai ena. Nai susura 
ACT.13.32+ACT.13.33	‘O ia, Au Anang.
ACT.13.32+ACT.13.33	Faik ia, Au soꞌuk ala O fo toꞌu parenda.’
ACT.13.34	Numa lele uluk mai Manetualain helu-bartaa ena nae, neu ko Ana nae tao nasoda falik Hatahori fo Ana helu-bartaa nae nadenun mai naa ena, de Hatahori naa ta mate bali. Huu naa de Manetualain pake mana toꞌu dedeꞌan ena fo surak nae,
ACT.13.34	‘Numa lele uluk mai Au ndara fangga hehelu-bartaak ena ua mane Dauk fo ae feen babaꞌe-babatik.
ACT.13.34	Dadi hatematak ia Au oo nau ndara fangga hehelu-bartaak naa bali ua o boe, nahuu o dadi muu mane Dauk tititi-nonosin.’
ACT.13.35	Hambu 
ACT.13.35	‘Lamatuak ta ela O Hatahori Malalaon ao-mbaa mamaten,
ACT.13.35	fo dadi noe nakalulutu nai Ndia raten dale.’
ACT.13.36+ACT.13.37	Ndondoon talo ia: 
ACT.13.38+ACT.13.39	Dadi toranoo nggara ein, nenene matalolole! Hatahori naa, ndia Yesus! De mete ma ita tamahere neun, dei fo Ana nau lemba-nasaa sala-singgok kara, fo mete ma tungga ndoon, na, ita mesa ngga ndia muste lemba-tasaa. No dalak naa, Manetualain koka heni ita sala-singgon nara. Tehuu ita bubuluk ena tae, leo mae ita tao tungga basa baꞌi Musa hada hohoro-lalanen lalaꞌen oo, naa mesa kana bei ta bisa tao ita ndaa nai Manetualain matan. 
ACT.13.40+ACT.13.41	Huu naa de ei muste duꞌa matalolole. Boso losak, hata fo Manetualain mana toꞌu dedeꞌan lele uluk kara rafada ena, tuda laꞌe ei. Ara surak ena rae,
