MAT.1.3	Yúda mú byâ Farɛs bá Zára, nyɔɔŋgʉ́ wáŋ wə́ Tamar. Farɛs mú byâ Ɛsrom. Ɛsrom byâ Aram. 
JHN.11.52	kú nə́mə́ bə njɨ shú lɔɔm wə́mɛ́fwó, a yə́ shú nə́ bwân ɔ́ Zɛmbî bʉ́sə́ ícɨɨmí icɨɨmí wá bwə́ sɛ́ɛ́ŋgyag bə sâ ŋgwûd. 
JHN.11.53	Jwɔ̂w nɨ wə́ bwə́ á ŋwa cigʉlá nə́ bwə́ gwú Yésus yí. 
JHN.11.54	Yésus nyɛ mú yɔw ŋgə́lə kyey bəl-bə̂l dɨ̂ kʉ́l Oyúdɛn bʉ́sə́ yí; a mú kə kɔ́ɔ́mb lɔɔm jísə ŋgɛɛ shí a shwééshá dɨ́ yí, bə́nɔ̂ŋ *ompwíín bɛ́ kə ji də́nd bwə́ á dʉ jɔ̂w nə́ Ifrɛ̂m yí.
JHN.11.56	Bwə́ á ka ŋgə sɔ̧́ Yésus nə́ ndɛɛ́, kʉ́l bwə́ á bə *Luŋ mə́ Zɛmbî yí, bwə́ á ŋgə shilə bwə́mɛ́ nə bwə́mɛ́ nə́: «Bɨ mə dʉ́g nə́ jɨ? Nyə ajeyɛ́ zə zâŋ dɨ̂.» 
JHN.11.57	Í á bə, milúlúú myâ ofada bə́nɔ̂ŋ Ofarizyɛ̂ŋ bwə́ mə́ cɨ nə́ í bə́g nə́: «Muud nyə é mpu kʉ́l Yésus nyə é bə yí, bágʉ́lə́g, bwə́ kə́g bii nyə.»
JHN.12.2	Bɔ́ɔ́l búúd ɔ də́nd dɔɔŋgʉ́ bwə́ á ka sá dína lúu mə́ Yésus dɨ̂. Mááta nyə á bə a ŋgə́ sá milwámá dína jɔɔŋgʉ́d, Lazâr njúl sámbá búúd bə́nɔ̂ŋ Yésus bwə́ á ŋgə də wád. 
JHN.12.3	Maríya mú ka ŋwa labínda álal-kus bwə́ á sá nə fwámɛ́ nâr
JHN.12.4	Ŋgwɔ́l *mpwíín mə Yésus nyə á bə cínɔŋg nə́ Yúdas Iskariyôt, mpwíín nyə́ á bə nə́ nyə wə́ mə́ bá kusha nə Yésus yɛ́. Ja Yúdas ɛ́nɛ mə́ dʉ́g nda Maríya nyə á gwáágʉlə Yésus labínda nâr nə́, a mə́ cɨ nə́ 
JHN.12.5	«Jɨ́ bwə́ ámə bə kú kusha labínda ɛ́ga odanarî
JHN.12.6	Nyə a shígɛ́ cɨ ntʉ́nɨ nə́ a baam nə mimbúmbúwá. Nyə á cɨ ntɔ́ nəcé nyə á bə juwâl; nda nyə á dʉ bii maŋga *mwaanɛ̂ nə́, nyə á dʉ júwo mwaanɛ̂ cínɔŋg. 
JHN.12.7	Yésus mú cɨ nə́: «Bɨ́dʉ́g múdá ɛ́nɛ nə́ shɛɛ. A mə́ sá sɔ́ɔ́lʉ́gʉ́ nɨ, ŋgə́lə bwey tə́dʉga nda bwə́ bá dʉl mə nɨ́. 
JHN.12.8	Nəcé bɨ é dʉ ji nə mimbúmbúwá mwɔ̂w mɛ̂sh, njɨ sə́nɔ̂ŋ bɨ́ sə́ ábʉ́lɛ́ ji mwɔ̂w mɛ̂sh.» 
JHN.12.9	Na nyə á bə, kúdə zhwog Oyúdɛn bwə́ mə́ gwág nə́ Yésus jɨ Bétanî; bwə́ á ka ŋgə kə wu, kú bul bə njɨ shú dɛ́, bwə́ á ŋgə nə́mə́ kə nə́ bwə́ kə́ dʉ́g Lazâr nyə á gwûmʉshi yɛ́. 
JHN.12.10	Nə́ ndɛɛ́, milúlúú myâ ofada mí mú ŋwa cígʉ́lá nə́ bwə́ jəlá nə gwú nə́mə́ Lazâr, 
JHN.12.11	nəcé sâ í á bə nə nyə yí í á sá nə́ kúdə zhwog Oyúdɛn bwə́ béégyág nə bwo, yidá kə, kə *búgʉla Yésus.
JHN.12.12	Mán mələ̂m, ncúlyá buud bwə́ á zə zâŋ dɨ́ wá bwə́ mú gwág nə́ Yésus ŋgə zə Yurʉ́səlɛm. 
JHN.12.13	Bwə́ mú ŋgə ŋwa máŋ mə́ lə́ndú nə́ ndɛɛ́, kə lə́g nyə bwə́ ŋgə́ kɨ̂m nə́:
JHN.12.13	Hosána! Gúmə́ í bə́g nə nyɔɔŋg ŋgə́ zə jínə́ mə́ Cwámba dɨ́ yɛ́,
JHN.12.13	Njwú-buud á Izʉrəyɛ̂l.
JHN.12.14	Yésus mú kwey mwâ jakáás, a mú kəwa gwo gwɔ̂w nda Kálaad Zɛmbî ŋgə́ cɨ nə́, nə́:
JHN.12.15	Dʉgɨ́ njwû woó ŋgə́ zə.
JHN.12.15	A mbə́d cwɔ̧ jakáás dɨ̂.
JHN.12.17	Í á bə na, ncúlyá buud bwə́ á bə ja nyə́ á jɔ̂w Lazâr gwûmʉshi nyə yí, bwə́ ŋgə́ bwiiŋg láŋ yé. 
JHN.12.18	Haaw. Bwə́ á ŋgə zə bwəma nə nyə nəcé bwə́ á gwág nə́ nyə a sá *shimbá dɔɔŋgʉ̂. 
JHN.12.19	Ntɔ́, *Ofarizyɛ̂ŋ bwə́ mú ka ŋgə cɨ bwə́mɛ́ nə bwə́mɛ́ nə́: «Bɨ mə́ dʉ́g ɨɨ́? Bɨ cugɛ́ nə ŋkul sá sâ. Dʉgá lɔɔm wɛ̂sh ŋgə́ kə nyə́dɨ́!»
JHN.12.20	Bʉ́baalɛ́ Ogʉrɛ̂k bwə́ á bád nə́mə́ zə Yurʉ́səlɛm nə́ bwə́ zə́ yə Zɛmbî gúmə́ zâŋ nɨɨ́d. 
JHN.12.21	Bwə́ á ka kə dʉ́gya nə Fílíp á mwâ Bɛtʉsayída, kə jî nyə nə́: «Mása, sə́ ŋgə cɛɛl dʉ́g Yésus.» 
JHN.12.22	Fílíp mú kə jaaw Andrê, bá bɛ̂sh bwə́ mú kə jaaw Yésus. 
JHN.12.23	Yésus mú bɛ̧sa nə bwo nə́: «Wəla mə́ wɔ́ɔ́s, wəla *Mwân mə Múúd mə jəlá nə ŋwa gúmə́ yí. 
JHN.12.24	Bʉ́bə́lɛ́, mə́ jaaw bɨ́ nə́, bumə́ mpəg í ámə kə mə́ndəlúd yí, í ká kə ji kú yə, í bwên gwə́mɛ́fwó. Í ká yə, í wúmə íbumə́ məŋkund məŋkund. 
JHN.12.25	Muud mə nywɨ́ɨ́lyá nə cʉg jé yɛ́ nyə e jímbal gwo; muud mə yídá bə kú nywɨ́ɨ́lya nə cʉg jé wa shí ga dɨ́ yɛ́, nyə é baagʉlə gwo kandʉgə kandʉgə. 
JHN.12.26	Ŋkí muud mə́ cɛɛl sɨ́ya nə mə, a bɛ̧ mə, í mú bə nə́, kʉ́l mə́ jísə́ yí, muud ŋgə́ sɨ́ya nə mə yɛ́ bə nə́mə́ cínɔŋg. Múúd mə ká sɨ́ya nə mə, Dâ yə nyə gúmə́.
JHN.12.28	Dâ, ság nə́ jínə́ dwô í ŋwág gúmə́.» A ká nə́mə́ shîn lás ntʉ́nɨ, kə́l mú wú joŋ dɨ́ nə́: «Mə mə́ sá, mə é nyiŋgə nə́mə́ sâ.» 
JHN.12.29	Buud bwə́ á bə cínɔŋgʉ́ áncuncuma wá bwə́ á gwág kə́l dɔɔŋgʉ́, bwə́ mú cɨ nə́ jísə njum-mpú; bɔ́ɔ́lʉ́gá nə́ ŋgwɔ́l *éŋgəles mə́ lésha nə Yésus. 
JHN.12.30	Yésus mú ka cɨ nə́: «Kə́l nɨ́ shígɛ́ lás na shú dâm, í ámə yida bə shú dʉ́n. 
JHN.12.31	Nəcé shí ga í zə bwəma nə sémbyé mílə́sʉ́ kɨ́kɨdɨ́ga, cî á shí ga wusɔw tɔ́ɔ́n. 
JHN.12.32	Mɛɛ, ja mə́ bá wú shí gaád bʉ̂nɔw gwɔ́w yí, mə bá julə búúd bɛ̂sh mə́dɨ́.»
JHN.12.34	Zhwog buud ɔ́nɨ bwə́ mú bɛ̧sa nə́: «Sə́ á jɨ́ɨ́g *mbwoomb mə́cɛ̧ɛ̧ dɨ́ nə́ *Krîst mə bá cʉgə kandʉgə kandʉgə. Wó nyiŋgə́ zə jaaw sə́ nə́ í bá jɨɨ nə́ Mwân mə Múúd bʉ́nɔ́wʉ́g gwɔ́w, ntɔ́ nyɛ wə́ jɨ? Mwân mə Múúd
JHN.12.35	Yésus mú bɛ̧sa bwo nə́: «Məŋkɛnya mə́sə ná wa bɨ́dɨ́ nə fúfwálá. Ŋgəgá nə kyey té bɨ́ bʉ́sə́ ná nə məŋkɛnya yí, yídʉ́gʉ́ í kú bá zə byalʉga nə bɨ̂; nəcé, muud mə kyéy yídʉ́gʉ́d yɛ́ nyə ádɛ́ mpu kʉ́l á ŋgə́ kə yí. 
JHN.12.36	Ŋgəgá nə *búgʉla məŋkɛnya té mə́ŋkɛnya mə́sə́ ná bɨ́dɨ́ yí, bɨ ŋgə́g nə bə bwân ɔ́ mə́ŋkɛnya.» Ja Yésus nyə a shîn lás nə bwo ntʉ́nɨ yí, nyə a béégya nə bwo, a mú kə shwaaw.
JHN.12.38	Sâ jɔɔŋg í á sá nə́ ciyá mə́ Izayí *muud micúndə́ í bwə́mag. Nyə á cɨ nə́:
JHN.12.38	Cwámba, zə́ nyə a búgʉla kɛ́ɛl sə́ á ŋgə bwiiŋg yí?
JHN.12.38	Zə́ Cwámba nyə a lwágʉlə mpífə́ nyɛ́ yɛ́?
JHN.12.39	Gwə́ wə́ í sá nə́ buud ɔ́nɨ bwə́ bə́g kú búgʉla sâ Izayî nyə á cɨ yí.
JHN.12.40	a lʉlʉshi bwo milâm,
JHN.12.40	nəcé mísh máŋ mə́ á bá dʉ́g,
JHN.12.40	milâm myáŋ mí á bá wámbʉlə,
JHN.12.40	bwə́ á bá cɛ́nd kuú njɔɔnd,
JHN.12.40	nə́ ndɛɛ́ mə mú lwag bwo.
JHN.12.42	Í á tɛɛm bə ntɔ́, bɔ́ɔ́l zhwog buud wâ sámbá ótɔ́we ɔ shwóg bwə́ á shí búgʉla Yésus. Njɨ, bwə́ áshígɛ́ bə nə ŋkul məm nyə mísh mə́ búúd dɨ́, bwə́ á ŋgə fúndə nə́ *Ofarizyɛ̂ŋ bwə́ á bá yîl bwo *mpáánzə́ minjɨ́ɨ́gʉ́lá. 
JHN.12.43	Nəcé bwə́ á cɛɛl ŋwa gúmə́ mísh mə́ búúd dɨ́, kú bə mísh mə́ Zɛmbî dɨ̂.
JHN.12.45	Muud mə́ dʉ́g mə yɛ́, a mə́ dʉ́g nə́mə́ múúd nyə á ntɨ mə yɛ́. 
JHN.12.46	Mɛɛ muud jísə́ mə́ŋkɛnya yɛ́, mə á zə shí ga dɨ́ nə́, muud yɛ̂sh mə búgʉ́lá mə yɛ́ bə́g kú nyiŋgə ŋgə cʉgə yídʉ́gʉ́d.
JHN.12.48	Muud mə ká ban mə, ban lə́sʉ́ mə́ ŋgə́ lás yí, muud wɔɔŋg mə́ bwey bə nə sâ í bá yə nyə intʉ́gʉ́lí yí; lə́sʉ́ mə́ ŋgə́ lás ga wə́ í bá yə nyə intʉ́gʉ́lí jwɔ́w á məzhúgʉ́lâ. 
JHN.12.49	Mə aŋgɛ̂ nə lás nə lúu wâm; Dâ muud nyə á ntɨ mə yɛ́ nyə a bwey lwágʉlə mə sâ mə́ bág dʉ cɨ yí nə sâ mə́ bág dʉ bwiiŋg yí. 
JHN.12.50	Mə mpú ntâg nə́ sâ Dâ mə cɨ́ nə́ í bə́g yí, gwə́ wə́ í dʉ yə búúd cʉg á kandʉgə kandʉgə. Nə́ ndɛɛ́, sâ jɛ̂sh mə́ ŋgə́ lás yí, mə ŋgə lás nda Dâ nyə á cɨ nə́ mə dʉ́g lás nə́.»
JHN.13.2	Nə́ ndɛɛ́, bə́nɔ̂ŋ buud bɛ́ bwə́ á ka ŋgə də; bwə́ ŋgə́ də ntʉ́nɨ, ndug Njwû məjamb mə́ bwey wá Yúdas mwân mə Shímun Iskariyôt tə́dʉ́gá lámʉ́d nə́ a kúshag nə Yésus. 
JHN.13.3	Nə́ ndɛɛ́, Yésus nywáá nyə á ŋgə bwey mpu nə́ Dâ nyə a mə́ sá nə́ a jwúg nə isâ byɛ̂sh, a ŋgə́ mpu nə́ nyə á zhu wə́ Dâ, a zə́ nə́mə́ nyiŋgə kə wə́ Dâ. 
JHN.13.4	Yésus ŋgə́ bwey mpu ntɔ́, a mú tɔ̂w shí, yîl káándə́ nyə́ á bə nə ndɨ́ gwɔ́w yí, a mú ŋwa táwʉla cɛ̧ɛ̧lə kugʉd. 
JHN.13.5	A mú shwu mə́júwó bíshim dɨ̂, tɛ́ɛ́d ŋgə́lə gusa *ompwíín bɛ́ məkuú, ŋgə fîm nə táwʉla nyə á cɛ̧ɛ̧lə kug dɨ́ yɛ́.
JHN.13.6	Í mú zə wɔ́ɔ́s nə́ a gúsag Shímun Pyɛ̂r mɛ́ mə́kuú. Shímun Pyɛ̂r mú cɨ nə nɛ́ nə́: «Wo, Cwámba? Wó gusa mə məkuú?» 
JHN.13.7	Yésus nə nɛ́ nə́: «Sâ mə́ ŋgə́ sá ga, wo cugɛ́ nə ŋkul fwo mpu gwo kɨ́kɨdɨ́ga, wo bá yida shúgʉla wámbʉlə gwo.» 
JHN.13.8	Pyɛ̂r mú cɨ nə nyə nə́: «Mbɔ̂! Wo abʉ́lɛ́ bwɛlɛ gusa mə məkuú.» Yésus mú bɛ̧sa nə nyə nə́: «Mə́ ka bə kú gusa wo məkuú, wo nda ná nyiŋgə bə múúd waamə̂.» 
JHN.13.9	Shímun Pyɛ̂r mú ka cɨ nə nyə nə́: «Ŋkí ntɔ́ Cwámba, kú gusa mə njɨ məkuú; gusag nə́mə́ mə məbwə̂, nə lúu!» 
JHN.13.10	Yésus mú cɨ nə nyə nə́: «Muud nyə ámə bwey gusa yɛ́ mə́ dʉ jɨɨ nə́ bwə́ gúsag nyə njɨ məkuú, kú ná nyiŋgə bə nyúúl nyɛ̂sh, nəcé á bwey bə fúbán. Bɨ báá bɨ bʉ́sə ntâg mífúbán, njɨ kú bə bɨ́ bɛ̂sh.» 
JHN.13.11	Yésus nyə á ŋgə bwey mpu muud mə bá kusha nə nyə yɛ́; gwə́ wə́ nyə á cɨ nə bwo nə́: «Bɨ bɛ̂sh dɨ́ bʉ́sə́ mífúbán» yí.
JHN.13.13	Bɨ mə́ dʉ dɨ́ jɔ̂w mə nə́: “Yɨ́ɨ́gʉli”, gúl ja nə́: “Cwámba.” Bɨ mə́ dʉ mpu sâ, nəcé mə jisə Yɨ́ɨ́gʉli, mə Cwámba. 
JHN.13.14	Ŋkí mə Yɨ́ɨ́gʉli, mə Cwámba, mə mə́ gusa bɨ́ məkuú, bɨ mə́ jəla nə́mə́ nə dʉ sá ntɔ́ mpə́dʉ́gá nyɨ́n. 
JHN.13.15	Nəcé yuug wə́ mə mə́ yə bɨ́ nɨ. Nda mə ámə sá bɨ́ nɨ, dʉgá sɨ́ya ntɔ́. 
JHN.13.16	Bʉ́bə́lɛ́, mə́ jaaw bɨ́ nə́, lwaá í ádɛ́ bwɛlɛ ntɔ̧ mása, *muud lwámá nda bwɛlɛ ntɔ̧ múúd nyə ámə kənd nyə lwámád yɛ́. 
JHN.13.17	Bɨ mə́ mpu ntɔ́ wə́ nɨ; bɨ́ mə́ ká dʉ sá ntɔ́, bɨ mə́ jəla. 
JHN.13.18	Mə aŋgɛ̂ nə cɨ bɨ bɛ̂sh. Mə mpú búúd mə́ á fɛ́ɛ́sh wá. Njɨ, í jɨɨ nə́ sâ jɨ́ cilyá Kálaad Zɛmbî dɨ́ yí í bwə́mag. Jɨ́ cilyá nə́: “Muud sá ŋgə́ də səŋ ŋgwûd yɛ́ mə́ tɛ́ɛ́d nə́ a lúmbʉ́lí nə mə”. 
JHN.13.19	Mə mə́ fwo bwey jaaw bɨ́ gwo kɨdɨ́ga, í kú fwo sɨ̂y, shú nə́ ja í bá sɨ̂y yí, bɨ bág *magʉlə nə́ mə jisə. 
JHN.13.20	Bʉ́bə́lɛ́, mə́ jaaw bɨ́ nə́, muud mə lə́g múúd lwámá wâm yɛ́, a mə́ lə́g mə; muud mə lə́g ntâg mə yɛ́ mə́ lə́g múúd nyə á ntɨ mə yɛ́.»
JHN.13.21	Ja Yésus nyə a shîn cɨ ntʉ́nɨ yí, mitə́dʉ́gá mí á búbulə nyə lámʉ́d; a mú lás nə́: «Bʉ́bə́lɛ́, mə́ jaaw bɨ́ nə́, ŋgwɔ́l múúd á na bɨ́dɨ́ nyə é kusha nə mə.» 
JHN.13.22	*Ompwíín bwə́ mú ŋgə dʉ́gya mpə́dʉ́gá nyáŋ ŋgə sɔ̧́ nə́ bwə́ mpúg muud Yésus ŋgə́ cɨ yɛ́. 
JHN.13.23	Mpwíín Yésus nyə á dʉ bul cɛɛl yɛ́ nyə á bə a njúl Yésus dɨ́ koogʉ́. 
JHN.13.24	Shímun Pyɛ̂r mú ŋgə nyúg nyə mpu nə́: «Shílə́g nyə muud á ŋgə́ cɨ yɛ́.» 
JHN.13.25	Mpwíín wɔɔŋg mú yid, jɛ́ɛ́g Yésus lúu bʉd dɨ́ jî nyə nə́: «Cwámba, jísə zə́ eé?» 
JHN.13.26	Yésus mú bɛ̧sa nə́: «Mə zə́ juwo kʉ́l bʉlɛ́d ídʉ̂wʉd, muud mə́ é yə yɛ́, muud wɔɔŋg wə́ ɛ́cɨ́.» Yésus mú ŋwa kʉ́l bʉlɛ́d juwo ídʉ̂w dɨ́, yə Yúdas Iskariyôt, mwân mə Shímun. 
JHN.13.27	Njɨ Yésus mə́ yə nyə kʉ́l bʉlɛ́d nɨ yí, *Sátan mə́ nyíi wə́ Yúdas. Yésus mú cɨ nə nyə nə́: «Lɛɛlʉg sá sâ wó ŋgə́ jɨɨ nə́ wo sá yí.» 
JHN.13.28	Buud bwə́ á bə cínɔŋg wá, kú nə tɔɔ ŋgwúd nyə á mpu sâ Yésus nyə á cɨ nə nyə ntɔ́ yí. 
JHN.13.29	Nda í á bə nə́ Yúdas nyə á dʉ bii maŋga *mwaanɛ̂ nə́, bɔ́ɔ́l bwə́ á ŋgə tə́dʉga nə́ Yésus nyə á ŋgə cɨ nə nyə nə́ a kə́g kusə ísâ í zâŋ, ŋkí ntâg nə́ a kə́g yə mímbúmbúwá gúl sâ. 
JHN.13.30	Yúdas nyɛ nyə á shwal cúwo tɔ́ɔ́n ja nyə́ á ŋwa kʉ́l bʉlɛ́d yí, í njúl mpwó-bulú.
JHN.13.32	Zɛmbî nyəmɛ́fwó nyə e lwóya gúmə́ mə́ *Mwân mə Múúd, a wál nə́mə́ zə lwóya gwo. 
JHN.13.33	Yé bwán bâm, sə́nɔ̂ŋ bɨ́ sə́ é ji njɨ fúfwálá. Bɨ mə bá sɔ̧́ mə; nə́ ndɛɛ́, nə́mə́ nda mə á cɨ nə *Oyúdɛn nə́, mə́ cɨ nə́mə́ nə bɨ́ ja gaád nə́: “Bɨ́ cugɛ́ nə ŋkul kə kʉ́l mə́ zə́ kə yí.” 
JHN.13.34	Mə yə́ bɨ́ cɛ̧ɛ̧ agúgwáan, dʉ́sə nə́: “Cɨɨlagá bɨmɛ́fwó nə bɨmɛ́fwó. Nə́mə́ nda mə á cɛɛl bɨ́ nə́, cɨɨlagá bɨmɛ́fwó nə bɨmɛ́fwó. 
JHN.13.35	Sâ í é sá nə́ buud bwə́ dʉ́g mpu nə́ bɨ bʉ́sə ompwíín bâm yí jísə cɛɛlí bɨ́ é ŋgə cɨɨla bɨmɛ́fwó nə bɨmɛ́fwó yí.”»
JHN.13.37	Pyɛ̂r mú bɛ̧sa nə́: «Cwámba, mə cugɛ́ nə ŋkul ka bɛ̧ wo kɨ́kɨdɨ́ga nəcé jɨ? Mə jɨ nə ŋkul kɛɛnzh cʉg jâm shú dwô.» 
JHN.13.38	Yésus mú bɛ̧sa nə́: «Wo jɨ nə ŋkul bə́lɛ kɛɛnzh cʉg gwô shú dâm? Bʉ́bə́lɛ́, mə́ jaaw wo nə́, shúshwóógʉ́ nə́ ŋgwúm kúwó kwáágʉ́gi, wo e kɨ́ɨ́lya mə ija ilɔ́ɔl.»
JHN.14.2	Njɔ́w mə́ Dâ wúsə nə zhwog ikʉ́l búúd bɨ́ nə ŋkul ji yí. Í mbə̂m bə kú bə ntɔ́, ŋki mə mə́ nə́mə́ jaaw bɨ̂. Mə zə́ kə kwambʉlə bɨ́ jiya. 
JHN.14.3	Ja mə́ bá shîn kwambʉlə bɨ́ jiya yí, mə bá nyiŋgə zə ŋwa bɨ́, kə nə bɨ̂. Mə bá kə nə bɨ́ nə́ bɨ bág nə́mə́ bə kʉ́l mə́ jísə́ yí. 
JHN.14.4	Bɨ mə mpú ntâg zhɨɨ́ í kə́ kʉ́l mə́ zə́ kə yí.» 
JHN.14.5	Tómas mú cɨ nə nyə nə́: «Cwámba, sə́ bâŋ nda mpu kʉ́l wó zə́ kə yí, sə́ é ka mpu zhɨ́ɨ́ á wu ntʉdɛlɛ?» 
JHN.14.6	Yésus mú cɨ nə́: «Mə wə́ jísə́ zhɨ́ɨ́, mə obʉ́bə́lɛ́, mə cʉg. Muud cugɛ́ nə ŋkul kə wə́ Dâ kú ciŋgya mə́dɨ́. 
JHN.14.7	Í ká bə nə́ bɨ mə mpú mə, bɨ é mpu nə́mə́ Sɔ́ɔ́ŋgʉ́ waamə̂. Nə́ ndɛɛ́, tɛ́ɛ́d kɨ́kɨdɨ́ga, bɨ mə́ mpu nyə, bɨ mə́ nə́mə́ dʉ́g nyə.» 
JHN.14.8	Fílíp mú cɨ nə́: «Cwámba, lwóg sə́ Dâ, bímbí dɔɔŋg í é jəla nə sə̂.» 
JHN.14.9	Yésus nə́: «Ɔ Fílíp! Wo afwóyɛ́ mpu mə? Bímbí shwə́ mə́ ji ga? Muud mə́ dʉ́g mə yɛ́, mə́ dʉ́g Dâ. Nəcé jɨ́ wó nyíŋgə́ cɨ nə́ mə lwóg bɨ́ Dâ yí? 
JHN.14.10	Ye wo aŋgɛ̂ nə *magʉlə nə́ mə jɨ Dâ dɨ́ cwû, Dâ njúl mə́dɨ́ cwû? Lə́sʉ́ wɛ̂sh mə́ ŋgə́ lás nə bɨ́ yí, mə aŋgɛ̂ nə cɨ tɔɔ ciyá nə lúu wâm. Dâ muud njúl mə́dɨ́ cwû wə́ ŋgə́ sá misɔ́ɔ́lʉ́gʉ́ myɛ́. 
JHN.14.11	Magʉləgá nə́ mə jisə Dâ dɨ́ cwû, Dâ njúl mə́dɨ́ cwû. Nywágá nə́mə́ ka magʉlə nə dʉ́gʉ́lə mísɔ́ɔ́lʉ́gʉ́ mə́ ŋgə́ sá myá. 
JHN.14.12	Bʉ́bə́lɛ́, mə́ jaaw bɨ́ nə́, muud mə búgʉ́lá mə yɛ́, a bá nə́mə́ sá mísɔ́ɔ́lʉ́gʉ́ mə́ ŋgə́ sá myá; a bá nə́mə́ sá myɔɔŋg mí búl nyiŋgə ntɔ̧ myá. A bá sá myo nəcé mə zə́ kə wə́ Dâ. 
JHN.14.13	Sâ jɛ̂sh bɨ́ mə́ bá gwáámb nə jínə́ dâm yí, mə bá sá gwo; ntɔ́, Mwân mú bá sá nə́ Sɔ́ɔ́ŋgʉ́ ŋwág gúmə́. 
JHN.14.14	Bɨ́ mə́ ká gwáámb 
JHN.14.16	mɛɛ ka bá jəgʉla nə Dâ. A bá ntɨ bɨ́ ŋgwɔ́l múúd mə bá zə dʉ bándʉlə bɨ́ yɛ́, bɨnɔ́ŋ nyâŋ zə bá jɨ kandʉgə kandʉgə. 
JHN.14.17	Nyâŋ wə́ Shíshim óbʉ́bə́lɛ́; Shíshim búúd ɔ shí ga bwə́ cúgɛ́ nə ŋkul lə́g yí. Bwə́ cúgɛ́ nə ŋkul lə́g nyə nəcé bwə́ áŋgɛ̂ nə dʉ́g nyə, bwə́ ámpúyɛ́ nə́mə́ nyə. Bɨ bâŋ bɨ mə mpú nyə, nəcé bɨnɔ́ŋ wə́ bʉ́sə́, a bá nə́mə́ ŋwa jiya bɨ́dɨ́. 
JHN.14.18	Mə abʉ́lɛ́ lʉ́gə bɨ́ bwân ónyulú, mə bá nyiŋgə zə bɨ́dɨ́. 
JHN.14.19	Í mə́ lʉ́g bʉ́baalɛ́ fwála, buud bwə́ á nyiŋgəyɛ́ ná dʉ́g mə. Bɨ bâŋ bɨ mə bá dʉ́g mə mə ŋgə́ cʉgə, bɨ ka ntâg bá cʉgə. 
JHN.14.20	Jwɔ̂w dɔɔŋgʉ́, bɨ mə́ bá mpu nə́ mə jɨ Sɔ́ɔ́ŋgʉ́ waam dɨ́ cwû, bɨ njúl mə́dɨ́ cwû, mə nə́mə́ bɨ́dɨ́ cwû. 
JHN.14.21	Ŋkí muud mə gwág ísâ byɛ̂sh mə́ ŋgə́ cɨ nə́ í bə́g yí, a bɛ̧ byo, muud wɔɔŋg mə́ cɛɛl mə. Í njúl ntâg nə́, muud mə cɛ́ɛ́l mə yɛ́, Dâ nyə é cɛɛl nyə, mə mú nə́mə́ cɛɛl nyə, mə sá nə́ a mpúg mə.»
JHN.14.22	Yûdə, kú bə Yúdas Iskariyôt, mú cɨ nə nyə nə́: «Cwámba, wo sá nə́ sə́ mpúg wo, kú sá nə́ buud ɔ shí ga bwə́ mpúg wo, ntɔ́ nyɛ wə́ ntʉdɛl?» 
JHN.14.23	Yésus mú bɛ̧sa nə́: «Múúd mə ká cɛɛl mə, nyə e sá sâ mə́ ŋgə́ cɨ yí, Dâ mú bá cɛɛl nyə; nə́ ndɛɛ́, sə́ bá zə nyə́dɨ́ zə ji jiya. 
JHN.14.24	Muud nyə́ acɛ́ɛ́lɛ́ mə yɛ́, nyə á bəyɛ́ nə məgwág nə lə́sʉ́ wâm. Í njúl nə́ lə́sʉ́ bɨ́ ŋgə́ gwág mə ŋgə́ lás nɨ í áŋgɛ̂ nə zhu mə́dɨ́, í ŋgə zhu wə́ Dâ muud nyə á ntɨ mə yɛ́. 
JHN.14.25	Mə á dʉ jaaw bɨ́ isâ ínɨ sə́nɔ̂ŋ bɨ́ sə́ njúl ná. 
JHN.14.26	Njɨ, muud mə bá dʉ zə bándʉlə bɨ́ yɛ́, Ŋkɛ̧́ŋkɛ̧̂ Shíshim Dâ mə bá ntɨ bɨ́ jínə́ dáámʉd yɛ́, a bá jɨ́ɨ́gʉli bɨ́ isâ byɛ̂sh, a dʉ sá nə́ bɨ dʉ́g tə́dʉga ísâ byɛ̂sh mə́ á jaaw bɨ́ yí. 
JHN.14.27	Mə lʉ́gə́ bɨ́ nə mətəla, mə yə́ bɨ́ mətəla mâm. Mə ayə́yɛ́ bɨ́ mwo nda búúd ɔ shí ga bwə́ dʉ yə bɨ́ nə́. Mitə́dʉ́gá mí nda bɛɛg búbulə bɨ́ mílúúd, kúgá bə nə ifwaas. 
JHN.14.28	Bɨ a shí gwág mə́ á cɨ nə bɨ́ nə́: “Mə é kyey, njɨ mə bá nyiŋgə zə.” Í mbə̂m bə nə́ bɨ mə́ cɛɛl mə, ki bɨ mə́ gwág mə́shusʉg nə́ mə zə́ kə wə́ Dâ, nəcé Dâ mə cɔ̧́ mə. 
JHN.14.29	Mə́ bwey ná jaaw bɨ́ gwo kɨdɨ́ga, í kú fwo sɨ̂y, shú nə́ bɨ bág *búgʉla ja í bá sɨ̂y yí. 
JHN.14.30	Tɛ́ɛ́d kɨ́kɨdɨ́ga, mə á nyiŋgəyɛ́ ná ŋgə bul lésha nə bɨ̂, nəcé cî á shí ga ŋgə zə. A cúgɛ́ yida bə nə tɔɔ zhɨ́zhɨɨ́ nə́ a sá mə sâ; 
