MAT.1.1	Ọkwukwo osnusno ọmumu Jizọsi Karaịsi, nnwọ Devidi, nnwọ Ebereham.
JHN.6.8	Otu nụ rime ele sno apna a, Anduru, nwene rukna Saịmoni Pita, kaa, 
JHN.6.9	“Otu wikoro matị zị hna nye ji ike brẹdi balị
JHN.6.10	Jizọsi kanụ be, “Anụ kanụ be dazịri ẹli.” Agịda achara zị pịi. Kpakara ele badnụ wam dazịri ẹli, be hna lele pokwu ele rukna isne. 
JHN.6.11	Jizọsi gweru brẹdi wam, tụ mmamma, nyee kpakara ele wam dazịgwu ẹli. O gweru aznụ wam mee kwno kpam. Be ri, riji rụwho be.
JHN.6.12	Nga be rikworu, Jizọsi kanụ ele sno apna a, “Anụ tụtukota kpakara rụvnuruvnu ke gwnarnụ, ọ zá ke whu.” 
JHN.6.13	Be tụtukota kpakara rụvnuruvnu a, ke jiri nri nụ nkịta lawụru hite n'ike brẹdi balị isne wam ke ele badnụ riri.
JHN.6.14	Ele zị nga Jizọsi rnụrnu ẹrnu ndu-ẹhni ka karụ, “N'ezi ọka, ka bụ nye ọwhnurninya wam ke jaava n'ọwa.” 
JHN.6.15	Nga Jizọsi whnụru nụ be noopio o chni a eze nụ rikne, o hi n'esilawụru be whọga, ya nụ nsnụnu a zne n'olu rugwu.
JHN.6.16	N'ogbednachi, ele sno apna a zne osimini. 
JHN.6.17	Be bna n'ọgbo neewhe aznụ osimini kịyari neezne Kapanọm. Jizọsi yáavage hne be zị tem dụ n'abalị. 
JHN.6.18	Okne ruwhere nụ abaka-mini neewhe n'olu mini. 
JHN.6.19	Ele sno apna a kwọ ọgbo nhne nụ lele maịli ẹto mọbu ẹno nga be whnụrnu Jizọsi naavakwnusi be, neezne izne n'olu mini. Be tụ ogwnu k'agịda. 
JHN.6.20	Kọvu Jizọsi kanụ be, “Anụ tụ́ko ogwnu, ọ bụ mawa.” 
JHN.6.21	Be kweru a, ọ bnakwnusi be nụ rime ọgbo, ngangam ọgbo be dụ n'ẹli wam be neezne.
JHN.6.22	N'ekile a, agịda ele badnụ ele zị n'aznụ osimini kịyari mahịaru nụ otu ọgbo matị zị pịi whọgalam vuru ele sno apna Jizọsi kpọi. Jizọsi snóge be. 
JHN.6.23	Ọgbo ele ke berere hiri nụ Taberasị va nụ ngeri hne ele badnụ wam riri brẹdi, nga Nyenwe aị tụkparu mmamma. 
JHN.6.24	Nga ele badnụ wam whnụrnu nụ Jizọsi zị́la pịi, ma ele sno apna a, be bna n'ọgbo wam zne Kapanọm noopio Jizọsi.
JHN.6.25	Nga ele badnụ wam whnụrnu a n'aznụ osimini kịyari, be sịkwa a, “Nye-zni-nhne, ndaa nga ị varụ hna?”
JHN.6.26	Jizọsi sarụ be, “Me kanụ anụ ezi ọka, anụ noopio m kwnornu nụ anụ rijiri rụwho nụ brẹdi me nyernu anụ, ọ bụ́o kwnornu nụ anụ whnụrnu ẹrnu ndu-ẹhni. 
JHN.6.27	Anụ dọ́gbu ẹhni anụ n'ẹrnu kwnornu nụ wiri ke nooro oro, tnụnuma, anụ dọgbu ẹhni anụ n'ẹrnu kwnornu nụ wiri ke jaazị tem dụ bụdnu kwó okwo, ke Nnwọ ke Badnụ neenye anụ. Ya bụ nye Chiokike nyernu rikne o mee kpam.”
JHN.6.28	Be sịkwa Jizọsi, “Kịni bụ nhne a jeeme ma a rnụ ẹrnu Chiokike?”
JHN.6.29	Jizọsi sarụ be, “Ka bụ ẹrnu Chiokike, anụ kweru nụ nye wam o ziyaru.”
JHN.6.30	Be sịkwa a, “Kịni bụ ẹrnu ndu-ẹhni i jeeji gesi ma a whnụrnu, kweru? Kịni bụ nhne i jeeme? 
JHN.6.31	Ele nda aị ọknani riri mana n'ẹli chna chna chna, lele kpa ọkwukwo nsọ kwuru, ‘O nyernu be brẹdi ke hi n'oligwe va, be ri.’ ”
JHN.6.32	Jizọsi kanụ be, “Me kanụ anụ ezi ọka, ọ bụ́o Mozizi nyernu anụ brẹdi ke hi n'oligwe va, kọvu Nda m neenye anụ ezi brẹdi ke hi n'oligwe va. 
JHN.6.33	Kwnornu nụ brẹdi ke Chiokike neenye bụ nye wam ke hi n'oligwe va, bụ nye neenye ele ọwa bụdnu.”
JHN.6.34	Be kaa, “Nda-aị-kwu, neenye aị brẹdi ka kpakara ige.”
JHN.6.35	Jizọsi kanụ be, “Mawa bụ brẹdi ke neenye bụdnu, nye vakwnusiri m, wiri jọ́ogwnu a rịa rịa, nye kweru nụ me, akpịri jọ́okpo a bẹkwnu rịa rịa. 
JHN.6.36	M karụ m, anụ whnụrnu m, kọvu anụ kwége. 
JHN.6.37	Nye ọbula ke Nda m nyernu m jaavakwnusi m, m jáachịhala a rịa rịa. 
JHN.6.38	Kwnornu nụ m hiri m n'oligwe hiedna mee echiche nye ziyaru m, ọ bụ́o o mee echiche m. 
JHN.6.39	Ka bụ echiche nye ziyaru m, me túwhu nye ọbula ke o nyernu m, kọvu me mee ma be hi n'ẹnwu lizọ n'ọbochi ipne-aznụ. 
JHN.6.40	Kwnornu nụ ka bụ nhne Nda m noopio, nye ọbula ke jọowhnu Nnwọ wam, kweru nụ a, jeenwe bụdnu kwó okwo, m jeeme nye wam hi n'ẹnwu lizọ n'ọbochi ipne-aznụ.”
JHN.6.41	Ele Ju bete ọ takpo megidne a, kwnornu nụ ọ karụ, “Mawa bụ Brẹdi ke hiednarnụ n'oligwe.” 
JHN.6.42	Be kaa, “Nye ka ọ bụ́o Jizọsi nnwọ Josefu? A magwụ nda a nụ nne a, ndaa kpa ọ naakaa nụ o hi n'oligwe hiedna?”
JHN.6.43	Jizọsi kanụ be, “Anụ tákpoma n'esilawụru ẹhni anụ. 
JHN.6.44	Ọ zá nye jaavakwnusi m okwolem ma Nda m nye ziyaru m jọodoru a vakwnusi m, m jeeme o lizọ n'ẹnwu n'ọbochi ipne-aznụ. 
JHN.6.45	Ele ọwhnurninya gbarụ a n'ọkwukwo nsọ, ‘Chiokike jeezni kpakara ele badnụ nhne.’ Nye ọbula ke bnoteru Nda nsnị mụhia nhne n'aka a, jaavakwnusi m. 
JHN.6.46	Ọ zá nye ọbula ke whnụleru Nda anya nụ mbọm, kwekọlam nye wam ke hi hne Chiokike zị whnụrnu Nda anya. 
JHN.6.47	Me kanụ anụ ezi ọka, nye ọbula ke kweru nwernu bụdnu kwó okwo. 
JHN.6.48	Mawa bụ wiri ke bụdnu. 
JHN.6.49	Ele nda anụ ọknani riri mana n'ẹli chna chna chna, be nwụ. 
JHN.6.50	Kọvu wiri ke hi n'oligwe hiedna, nye ọbula ke riri a, jọ́onwu ẹnwu. 
JHN.6.51	Mawa bụ wiri ke zị bụdnu ke hi n'oligwe hiedna. Ọ bụru nụ badnụ ọbula ri wiri ka, o jaazị bụdnu tim tọm. Anọ-ẹhni m bụ wiri ke me jeenye ọwa ma be zịri bụdnu.”
JHN.6.52	Ka kpayarụ ọdogbuta whụyaru n'esilawụru ele Ju. Be kaa, “Nwerukna ka, o jeenye aị anọ-ẹhni a ma a ri?”
JHN.6.53	Jizọsi kanụ be, “Me kanụ anụ ezi ọka, okwolem ma anụ riri anọ-ẹhni ke Nnwọ ke Badnụ, nwọ ọvnarna a, anụ jéenwe bụdnu nụ rime anụ. 
JHN.6.54	Nye ọbula ke jeeri anọ-ẹhni m, nwọ masị ọvnarna m nwernu bụdnu kwó okwo. 
JHN.6.55	Kwnornu nụ anọ-ẹhni m bụ wiri n'ezi, ọvnarna m bụ masị nhne be nwọ ọnwo n'ezi. 
JHN.6.56	Nye ọbula ke jeeri anọ-ẹhni m, nwọ ọvnarna m, wu nụ rime m, m wu masị m nụ rime a. 
JHN.6.57	Lele kpa Nda ke zị bụdnu ziyaru m, m zị m bụdnu kwnornu nụ Nda m, kpam masị, nye ọbula ke jeeri anọ-ẹhni m jaazị bụdnu kwnornu me. 
JHN.6.58	Ka bụ wiri wam ke hi n'oligwe hiedna, ọ bụ́o kpa nda anụ ọknani riri mana be nwụ. Nye ọbula ke jeeri wiri ka jaazị bụdnu tim tọm.” 
JHN.6.59	Ka bụ nhne Jizọsi kwuru nga o neezni nhne nụ ọro ọgbako ele Ju zị nụ Kapanọm.
JHN.6.60	Nga agịda ele sno apna a nụrnu ọka a, be kaa, “Ikwu-ọnu ka siri rikne, nyele jeemeli a?”
JHN.6.61	Nga Jizọsi mahịaru nụ ele sno apna a naatakpo gbasịri ọka ka, ọ kanụ be, “Ka o mernu ovu we anụ ẹhni sa? 
JHN.6.62	Ndaa kpa ọ jọonu nga anụ jọowhnu Nnwọ ke Badnụ lahna hne ọ zị nụ mbọm? 
JHN.6.63	Enine neenye bụdnu, badnụ etekne nwée rikne mee nhne ọbula. Ọka me nookwunu anụ bụ enine bụ masị bụdnu. 
JHN.6.64	Kọvu agwna anụ kwége.” Jizọsi magwụ hite n'ọziri ele kwé ekwe nụ nye jeere a. 
JHN.6.65	Ọ kanụ be, “Ka kpayarụ me jiri kanụ anụ nụ ọ zá nye jaavakwnusi m, okwolem ma Nda m nyernu a rikne o mee kpam.”
JHN.6.66	Hite nụ nhne Jizọsi kwuru, agịda ele sno apna a lahna aznụ kwnornu nụ ikwu-ọnu ka, be snóge a berere. 
JHN.6.67	Jizọsi sịkwa nri nụ badnụ lawụru wam ele sno apna a, “Anụ jaalahna masị?”
JHN.6.68	Saịmoni Pita, kaa, “Nyenwe aị, a jaalakwnusi nyele? I nwernu ikwu-ọnu ke neenye bụdnu kwó okwo. 
JHN.6.69	Kịtna, a kweru, mahịa masị nụ ị bụ nye nsọ ke Chiokike.”
JHN.6.70	Jizọsi kanụ be, “Me họhiaru anụ nri nụ ẹbo, kọvu otu nyenum nụ rime anụ bụ ekwensu.” 
JHN.6.71	O nookwu gbasịri Judasị, nnwọ Saịmoni Isikarịoti, kwnornu nụ Judasị jeere a, ọ bụ n'ezi nụ ọ bụ otu nụ rime nri nụ badnụ lawụru wam ele sno apna Jizọsi.
JHN.7.1	Nga ka mekworu, Jizọsi neeznegharị nụ rime Galili. Ọ chọ́la o zne Judiya kwnornu nụ ele Ju noopio o gbu a. 
JHN.7.2	Ige Iriri Ọro Igwugwu ele Ju zị ndụndu. 
JHN.7.3	Rụmu nne Jizọsi kanụ a, “Whọga hna zne Judiya ma ele sno apna ị whnụrnu ẹrnu ị nọornu. 
JHN.7.4	Nye pioru ma ele badnụ mahịa nye ọ bụ rnụ́ ẹrnu tugwaru otugwa. Mee ma ọwa whnụrnu ẹrnu ị nọornu.” 
JHN.7.5	Rụmu nne a kwuru ka kwnornu nụ be kwéle nụ ya.
JHN.7.6	Jizọsi kanụ be, “Ige m yóoduge, kọvu ige anụ zị n'aka anụ. 
JHN.7.7	Ele ọwa jéenwe rikne sno anụ iro, kọvu be snornu m irno, kwnornu nụ m naakaa nụ ẹrnu be bụ́o ọma. 
JHN.7.8	Anụ zne n'Iriri ka, m jáava n'Iriri ka kịtna, kwnornu nụ ige m yóoduge.” 
JHN.7.9	Nga Jizọsi kwukworu kpa, ọ dazịgidne nụ Galili.
JHN.7.10	Nga rụmu nne a znernu Iriri wam, Jizọsi snornu be zne Iriri wam nụ mgwụgwa, ọ bụ́o nụ ruwhnu ọhna. 
JHN.7.11	Ele Ju zị noopio a n'Iriri wam, be nẹesikwa, “Ndaa hne ọ zị?”
JHN.7.12	Agịda ele badnụ nọotnurita n'esilawụru be, be naakaa, “Ọ bụ nye ọma.” Ele berere naakaa, “Ọ́za, o nooduwhu ele badnụ.” 
JHN.7.13	Kọvu ọ zá nye nookwuhịa nhne gbasịri a nụ ruwhnu ọhna, kwnornu nụ be nọotu ogwnu ele risi ele Ju.
JHN.7.14	N'esilawụru Iriri wam, Jizọsi znernu n'Ọro Nsọ Chiokike bete neezni nhne. 
JHN.7.15	Nhne o neezni jiri ele risi ele Ju anya, be kaa, “Nwerukna ka mụ́lele nhne, ndaa kpa o jiri mahịa nhne?”
JHN.7.16	Jizọsi sarụ be, “Nhne me neezni bụ́o ikwu-ọnu ke m, kọvu ke nye ziyaru m. 
JHN.7.17	Nye ọbula ke jeeme echiche nye ziyaru m, nye wam jaamahịa ma nhne me neezni ma o hi n'aka Chiokike mọbu o hi n'aka ke m. 
JHN.7.18	Nye nookwu nhne aka ke a, noopio igwugwu ke ẹhni a, kọvu nye noopio igwugwu nye ziyaru a bụ nye ezi ọka, aghịgho zị́la nụ rime a. 
JHN.7.19	Ọ bụ́o Mozizi nyernu anụ iwu? Kọvu ọ zá otu nụ rime anụ ke naabịta iwu. Kịni mernu anụ noopio o gbu m?”
JHN.7.20	Ele badnụ wam kaa, “Ị bụ nye rẹnwu ọjo nwụgwu. Nyele noopio o gbu i?”
JHN.7.21	Jizọsi kanụ be, “M rnụrnu m otu ẹrnu ndu-ẹhni, o ji anụ anya. 
JHN.7.22	Mozizi nyernu anụ iwu ọ kpa rụmu anụ nka (ọ bụ n'ezi nụ ọkpa nka híge n'aka Mozizi, kọvu o hi n'aka ele gbaka), anụ naakpa rụmu anụ nka n'Ọbochi Ozukwa Inwe. 
JHN.7.23	Ọ bụru nụ anụ naakpa rụmu anụ nka n'Ọbochi Ozukwa Inwe, ma anụ bịta Iwu Mozizi, ndaa kpa ovu ji neewe anụ ẹhni kwnornu nụ m gwọru m nye nrịria n'Ọbochi Ozukwa Inwe? 
JHN.7.24	Anụ kpé ikpe hite nụ nhne anya nọowhnu, kọvu anụ kpe ikpe bụru ọma.”
JHN.7.25	Agwna ele zị nụ Jerusẹlem kaa, “Ka ọ bụ́o nye be noopio o gbu? 
JHN.7.26	Le, o nookwu ọka n'ọhna, ọ zá nye nookwu nhne ọbula megidne a. Ele risi aị be magwụ nụ nye ka bụ Karaịsi n'ezi?”
JHN.7.27	Kọvu nga Karaịsi jaava, ọ zá nye jaamahịa hne o jeehi va. Kọvu kpakara aị magwụ hne nwerukna ka hi va.
JHN.7.28	Kpa Jizọsi neezni nhne n'Ọro Nsọ Chiokike, o gweru okne nkọli siwama lụlo, kaa, “Anụ magwụ nye me bụ, anụ magwụ masị hne me hi va, kọvu m váge m nụ rikne aka m, nye ziyaru m bụ ezi ọka. Anụ máa nye ọ bụ. 
JHN.7.29	Kọvu m maam nye ọ bụ, kwnornu m hi m hne ọ zị va, ya ziyaru m.”
JHN.7.30	Be pio kpa be jọonwugwu a, kọvu ọ zá nye tụkwasiri a aka, kwnornu nụ ige a yóoduge. 
JHN.7.31	Kọvu agịda ele badnụ n'esilawụru igbudu badnụ wam kweru nụ ya, be kaa, “Nga Karaịsi jaava, ọ jọornu ẹrnu ndu-ẹhni kakwo ke nwerukna ka nọornu?”
JHN.7.32	Ele Farisi nụrnu nhne igbudu ele badnụ wam nookwu gbasịri a, be nụ ele risi arịohna zizne ele neese Ọro Nsọ Chiokike ma be nwụgwu Jizọsi. 
JHN.7.33	Jizọsi kaa, “Me nụ anụ jaazị ige matị, omekwo, m lakwnusi nye ziyaru m. 
JHN.7.34	Anụ joopio m, anụ jọ́owhnu m, kwnornu nụ anụ jéenwe rikne va nhne me naala.”
JHN.7.35	Ele risi ele Ju sịkwa ẹhni be kaa, “Ndaa hne o jeezne hne a jóopiohịali a? O jeezne hne ele Ju wu n'esilawụru ele Giriki, zni ele Giriki nhne? 
JHN.7.36	Kịni bụ risi nhne o nookwu? Ọ karụ, ‘Anụ joopio m, kọvu anụ jọ́owhnu m, hne me neezne anụ jéenwe rikne va.’ ”
JHN.7.37	N'okne ọbochi ipne-aznụ ke Iriri wam, Jizọsi gwuzoru, gweru okne nkọli siwama, kaa, “Nye ọbula ke akpịri nọokpo bẹkwnu, ọ vakwnusi m, nwọrnu mini. 
JHN.7.38	Lele kpa ọkwukwo nsọ kwuru, ‘Nye ọbula ke kweru nụ me, osimini ke mini bụdnu jeehi nụ rime rụwho a naagbahịa.’ ” 
JHN.7.39	Jizọsi kwuru ka kwnornu nụ Enine Nsọ ke ele kweru nụ ya jaanahịa. N'ige wam be ényene Enine Nsọ, kwnornu nụ be ényene Jizọsi igwugwu.
JHN.7.40	Agwna ele zị n'igbudu ele badnụ wam, nga be nụrnu ikwu-ọnu ka, be kaa, “N'ezi, nwerukna ka bụ nye ọwhnurninya wam.”
JHN.7.41	Ele berere kaa, “Ọ bụ Karaịsi.”
JHN.7.41	Kọvu ele berere kaa, “Karaịsi o jeehi nụ Galili va? 
JHN.7.42	Ọkwukwo nsọ kwuru nụ Karaịsi jeehi nụ avnụrnu Devidi va, nụ be jọomu a nụ Bẹtilehem, ẹli-ọhna hne Devidi wuru.” 
JHN.7.43	Ka kpayarụ okewa n'esilawụru igbudu ele badnụ wam kwnornu nụ Jizọsi. 
JHN.7.44	Agwna be pioru ọ nwudne a, kọvu ọ zá nye tụkwasiri a aka.
JHN.7.45	Omekwo, ele neese Ọro Nsọ Chiokike lahnakwnusi ele risi arịohna nụ ele Farisi, be sịkwa be, “Kịni mernu anụ nwụ́yagele a?”
JHN.7.46	Ele nse wam sarụ be, “Ọ zá nye kwuleru ọka lele kpa nwerukna ka kwuru.”
JHN.7.47	Ele Farisi sịkwa be, “O duhie masịla anụ sa? 
JHN.7.48	O nwernu otu nye Farisi mọbu ele risi ele Ju ke kweru nụ ya sa? 
JHN.7.49	Ele ka máa nhne ọbula gbasịri iwu, ọvu ọnu Chiokike zị nụ risi be.”
JHN.7.50	Otu nye Farisi rẹwhna a bụ Nikodimọsi, nye znekwnusiri Jizọsi n'abalị, kanụ be, 
JHN.7.51	“Iwu aị zá naama badnụ ikpe sị ọ nụ́na nhne hi n'ọnu a, nụ nhne o mernu.”
JHN.7.52	Be sarụ a, “Ị bụ masị nye Galili sa? Lekasi nụ nhne be gbarụ n'ọkwukwo nsọ, ọ zá nye ọwhnurninya ke hi nụ Galili whụya.”
JHN.7.52	[
JHN.7.53	Be gbasa, nye ọbula la n'ọro a.
JHN.8.1	Jizọsi znernu nụ Rugwu Olivu. 
JHN.8.2	N'ọnu ọsisi, ọ lahna n'Ọro Nsọ Chiokike, kpakara ele badnụ gba a gburugburu, ọ dazịri ẹli bete neezni be nhne. 
JHN.8.3	Ele zni iwu ele Ju nụ ele Farisi kwuyanụ a otu nwerinya be nwụgwuru n'ọyi, be gwuzote a n'esilawụru be. 
JHN.8.4	Be kaa, “Nye-zni-nhne, a nwụgwuru nwerinya ka hne ya nụ nyerukna dnanyị. 
JHN.8.5	N'iwu aị, Mozizi karụ be gweru akaworugwu tụgbu a. Kịni bụ nhne i kwuru?” 
JHN.8.6	Be kwuru ka naakpa a iru ma be bno Jizọsi nhne.
JHN.8.6	Kọvu Jizọsi whudnahie ẹli gweru mkpaka a gba nhne nụ rịzna. 
JHN.8.7	Be zị kọriri nẹesikwa a, o lizọ, kanụ be, “Nye ọbula n'esilawụru anụ ke mékọlele mmehie beru ọsno tụ a akaworugwu.” 
JHN.8.8	O whudnahie ẹli berere naagba nhne nụ rịzna.
JHN.8.9	Nga be nụrnu a, be hite nụ nye okno badnụ dụ nụ nye matị, otu otu be whọga kwo. Ọ gwnata Jizọsi nụ nwerinya wam. 
JHN.8.10	Jizọsi lizọ, sịkwa a, “Nwerinya, ndaa ele noobno i nhne? Ọ zá nye gwnarnụ ke jaama ị ikpe?”
JHN.8.11	Nwerinya wam kaa, “Ọ zá, sụ Nda-aị-kwu.”
JHN.8.11	Jizọsi kanụ a, “M máge m masị m jị ikpe, kọvu la, i méma mmehie berere.”]
JHN.8.12	Jizọsi kakwnonu be, “Mawa bụ iwhne ke ọwa. Nye ọbula ke joosno m jeenwe iwhne ke bụdnu, o jéezne izne n'ọchichiri.”
JHN.8.13	Ele Farisi kaa, “Ị naagbanụ ẹhni ị akebne kịtna, nhne i nookwu bụ́o ezi ọka.”
JHN.8.14	Jizọsi sarụ be, “Ọ bụbedi nụ m naagbanụ ẹhni m akebne, nhne me nookwu bụ ezi ọka, kwnornu nụ m magwụ m hne me hi nụ hne me neezne. 
JHN.8.15	Anụ neekpe ikpe lele badnụ. M zá m neekpe nye ọbula ikpe. 
JHN.8.16	Ọ bụru nụ me kpe ikpe, ikpe m ziri ezi kwnornu nụ me nụ nsnụnu m zá n'ikpe, me nụ Nda m nye ziyaru m zị. 
JHN.8.17	Be gbarụ a n'iwu anụ, nụ akebne badnụ lawụru gbarụ bụ ezi ọka. 
JHN.8.18	M gbanụ m ẹhni m akebne, Nda m nye ziyaru m gbakwnonu m akebne.”
JHN.8.19	Be sịkwa a, “Ndaa hne Nda ị zị?”
JHN.8.19	Jizọsi sarụ be, “Anụ máa m, anụ máa masị Nda m. Ọ bụru nụ anụ magwụ nye me bụ, anụ znernu amahịa Nda m.” 
JHN.8.20	Jizọsi kwuru kpakara nhne ka nga o neezni nhne n'Ọro Nsọ Chiokike, nụ rime hne be naabịta igbe ịwai. Ọ zá nye tụkwasiri a aka megidne a kwnornu nụ ige a yáavage.
JHN.8.21	Jizọsi kanụ be berere, “M jaala, anụ joopio m, anụ jọonwu nụ rime mmehie anụ. Anụ jéenwe rikne va hne me jaala.”
JHN.8.22	Ele risi ele Ju kaa, “Ọ kaa nụ a jáavali hne ọ naala. O joogbu ẹhni a sa?”
JHN.8.23	Jizọsi kanụ be, “Anụ hi hna, kọvu m hi m n'olu va. Anụ bụ ele ọwa ka, kọvu m bụ́o m nye ọwa ka. 
JHN.8.24	Ọ bụ nhne me jiri kanụ anụ nụ anụ jọonwu nụ rime mmehie anụ. Ọ bụru nụ anụ kwége nụ m bụ m nye me bụ, anụ jọonwu nụ rime mmehie anụ.”
JHN.8.25	Be sịkwa a, “Ị bụ nyele?”
JHN.8.25	Jizọsi kanụ be, “M bụ m nye me karụ nụ m bụ m n'ọziri. 
JHN.8.26	M nwernu m agịda nhne me jookwu n'ikpe megidne anụ. Kọvu nye ziyaru m bụ ezi ọka, m jaakanụ ọwa nhne me nụrnu hite n'ọnu a.”
JHN.8.27	Be ghọ́yage nhne o nookwu gbasịri Nda. 
JHN.8.28	Ka kpayarụ, Jizọsi kannụ be, “Nga anụ jeegwelizọ Nnwọ ke Badnụ olu, ige wam anụ jaamahịa nụ m bụ m nye me bụ. Ọ zá nhne ke me neeme nụ rikne aka ke m, kọvu m neezni kpakara nhne Nda m znirni m. 
JHN.8.29	Nye wam ziyaru m dagwụnu m, ọ ghárụla me nụ nsnụnu m rịa rịa, kwnornu nụ m neeme nhne naamasị a kpakara ige.” 
JHN.8.30	Agịda ele nụrnu nhne Jizọsi kwuru kweru nụ ya.
JHN.8.31	Jizọsi kanụ ele Ju ele ke kweru nụ ya, “Ọ bụru nụ anụ dazịgidne n'ikwu-ọnu m, anụ jọoburu ele sno apna m n'ezi. 
JHN.8.32	Anụ jaamahịa ezi ọka, ezi ọka wam jeeme anụ nwernu ẹhni anụ.”
JHN.8.33	Be sarụ Jizọsi, “A bụ rụmu Ebereham, a bụ́kolele ọhi n'aka badnụ ọbula. Ndaa kpa ị naakaa nụ a jeenwernu ẹhni aị?”
JHN.8.34	Jizọsi sarụ be, “Me kanụ anụ ezi ọka, nye ọbula ke neeme mmehie bụ ọhi ke mmehie. 
JHN.8.35	Ọhi zá naadazịgidne n'ọro tim tọm, kọvu nnwọ nwe ọro ọkwnukokwnu. 
JHN.8.36	Ọ bụru nụ Nnwọ jeeme anụ nwernu ẹhni anụ, anụ jeenwernu ẹhni anụ n'ezi. 
JHN.8.37	M magwụ m nụ anụ bụ rụmu Ebereham, kọvu anụ noopio o gbu m, kwnornu nụ anụ kwége ikwu-ọnu m. 
JHN.8.38	M naakanụ anụ nhne Nda m gesiri m, kọvu anụ neeme nhne nda anụ kannụ anụ.”
JHN.8.39	Be sarụ a, “Ebereham bụ nda aị.”
JHN.8.39	Jizọsi kanụ be, “Ọ bụru nụ Ebereham bụ nda anụ n'ezi, anụ jọornu ẹrnu Ebereham rnụrnu. 
JHN.8.40	Nhne me mernu bụ ọ kanụ anụ ezi ọka me nụrnu n'ọnu Chiokike, anụ noopio o gbu m. Ebereham méne kpam. 
JHN.8.41	Anụ neeme nhne anụ nda anụ mernu.”
JHN.8.41	Be kaa, “Chiokike bụ Nda a nwernu kpọi. A bụ́o rụmu ọyi.”
JHN.8.42	Jizọsi kanụ be, “Ọ bụru nụ Chiokike bụ Nda anụ n'ezi, anụ znernu ọwhnu m n'anya, kwnornu nụ m hi m hne Chiokike zị whụya, va hna. M váge m nụ rikne aka ke m, kọvu ya ziyaru m. 
JHN.8.43	Nhne mernu anụ ghọ́yage nhne me nookwu, ọ bụ nụ anụ bnóge nsnị n'ikwu-ọnu m. 
JHN.8.44	Anụ bụ rụmu nda anụ Ekwensu, anụ jọornu ẹrnu nda anụ noopio. Ọ bụ nye noogbu badnụ hite n'ọpanizo. Ọ zị́la n'ezi ọka, kwnornu nụ ezi ọka zá nụ rime a. Omen'ẹli a bụ ọ gha aghalaghala, kwnornu nụ o bụ nye aghalaghala nụ nda kpakara aghalaghala. 
JHN.8.45	Me nookwunu anụ ezi ọka, kọvu anụ zá neekweru m. 
JHN.8.46	Nyele n'esilawụru anụ jaama m ikpe mmehie? Ọ bụru nụ me kanụ anụ ezi ọka, kịni mernu anụ kwége m? 
JHN.8.47	Nye ọbula bụ ke Chiokike joobno nsnị ikwu-ọnu Chiokike. Kọvu anụ jóobno nsnị kwnornu nụ anụ bụ́o ele ke Chiokike.”
JHN.8.48	Ele Ju sarụ Jizọsi, “A kwukwaru nkarị nga a kwuru nụ ị bụ nye Sameria ke rẹnwu ọjo nwụgwu.”
JHN.8.49	Jizọsi kanụ be, “Ọ zá rẹnwu ọjo nwụgwu m, kọvu m neenye Nda m igwugwu, kọvu anụ zá neenye m igwugwu. 
JHN.8.50	M zá m noopio igwugwu ke m. O nwernu nye ke noopio igwugwu m, nye wam bụ nye ikpe. 
JHN.8.51	Me kanụ anụ ezi ọka, ọ bụru nụ nye ọbula bịta ikwu-ọnu m, ọ jọ́owhnu ẹnwu anya rịa rịa.”
JHN.8.52	Ele Ju kanụ a, “Kịtna hne a mahịaru nụ rẹnwu ọjo nwụgwu ị. Ebereham nụ kpakara ele ọwhnurninya nwụrnu ẹnwu. Ị zị hna naakaa nụ nye ọbula ke jaabịta ikwu-ọnu ị jọ́onwu ọnwu rịa rịa. 
JHN.8.53	Nda aị Ebereham nwụrnu ẹnwu. Ị kákwole Ebereham nụ ele ọwhnurninya ele nwụrnu ẹnwu. I che nụ ị bụ dị nyele?”
JHN.8.54	Jizọsi sarụ, “Ọ bụru nụ me nyee ẹhni m igwugwu, ọ zá nhne ọ bụ. Nda m nye anụ naakaa nụ ọ bụ Chiokike anụ neenye m igwugwu. 
JHN.8.55	Ọ bụ n'ezi nụ anụ máa nye ọ bụ rịa rịa. Kọvu m maam nye ọ bụ. Ọ bụru me kaa nụ m máam nye ọ bụ, m jọoburu nye aghalaghala lele anụ, kọvu m magwụ m nye ọ bụ, m naabịta ikwu-ọnu a. 
JHN.8.56	Nda anụ Ebereham nwernu ovu ọso n'ọnu nụ ọ jọowhnu ọbochi m, ọ whnụ masị a, ọ nwụdnarnu.”
JHN.8.57	Ele Ju kanụ a, “Ị yóoduge nri awha isne, ị whnụrnu Ebereham n'ezi?”
JHN.8.58	Jizọsi kanụ be, “Me kanụ anụ ezi ọka, m zị m sụ be mụrnu Ebereham.” 
JHN.8.59	Be chịri akaworugwu be jọotugbu a, kọvu Jizọsi tugwa ẹhni a, hi n'Ọro Nsọ Chiokike whọga.
JHN.9.1	Kpa Jizọsi neewhe, ọ whnụ otu nyerukna be mụrnu n'isni. 
JHN.9.2	Ele sno apna a sịkwa a, “Nye-zni-nhne, ọ bụ mmehie nyele mernu be mụrnu nwerukna ka n'isni? Mmehie ke a sọbu ke ele mụrnu a?”
