GEN.1.1	Anns an toiseach
1CH.10.10	Agus chuir iad a airm ann an taigh an diathan
1CH.10.11	Agus nuair a chuala uile luchd‐àiteachaidh Iabeis‐ghilead na h‑uile nithean a rinn na Philistich ri Saul,
1CH.10.12	Dh’èirich na fir threuna uile, agus thug iad leo corp Shauil, agus cuirp a chuid mhac, agus thug iad gu Iabes iad, agus dh’adhlaic iad an cnàmhan fon daraig ann an Iabes, agus thraisg iad seachd làithean.
1CH.10.13	Mar seo dh’eug Saul airson a chionta a rinn e an aghaidh an Tighearna, an aghaidh facal an Tighearna
1CH.10.14	Agus nach d’fhiosraich e den Tighearna: uime sin mharbh e e, agus thionndaidh e an rìoghachd
1CH.11.1	An sin chruinnich Israel uile iad fhèin
1CH.11.2	Agus a bhàrr air seo, anns an ùine a chaidh seachad, eadhon nuair a bha Saul na rìgh, bu tusa a threòraich a‑mach agus a thug a‑steach Israel; agus thubhairt an Tighearna do Dhia riut, Beathaichidh
1CH.11.3	Agus thàinig uile sheanairean Israeil a dh’ionnsaigh an rìgh gu Hebron; agus rinn Daibhidh coicheangal riu ann an Hebron am fianais an Tighearna: agus dh’ung iad Daibhidh na rìgh air Israel, a rèir facal an Tighearna, le làimh Shamueil
1CH.11.4	Agus chaidh Daibhidh agus Israel uile gu Ierusalem (is e sin Iebus
1CH.11.5	Agus thubhairt luchd‐àiteachaidh Iebuis ri Daibhidh, Cha tig thu an seo. Gidheadh, ghlac Daibhidh tùr Shioin; is e sin baile Dhaibhidh.
1CH.11.6	Agus thubhairt Daibhidh, Ge bè a bhuaileas na h‑Iebusaich an toiseach, bidh esan na cheannard agus na uachdaran. Agus chaidh Ioab, mac Sheruiah, suas an toiseach, agus bha e na cheannard.
1CH.11.7	Agus ghabh Daibhidh còmhnaidh anns an tùr; uime sin thug iad baile Dhaibhidh
1CH.11.8	Agus thog e am baile mun cuairt, eadhon o Mhilo mun cuairt: agus chuir Ioab suas a‑rìs a’ chuid eile den bhaile.
1CH.11.9	Agus dh’fhàs Daibhidh na bu mhò, agus na bu mhò; oir bha Tighearna nan sluagh leis.
1CH.11.10	Agus is iad seo rogha nan daoine treuna a bha aig Daibhidh, a neartaich iad fhèin leis na rìoghachd, agus le Israel uile, gu rìgh a dhèanamh dheth, a rèir facal an Tighearna mu thimcheall Israeil.
1CH.11.11	Agus is e seo àireamh nan daoine treuna a bha aig Daibhidh; Iasobeam, mac Hachmoni, na cheann air triùir: thog esan a shleagh an aghaidh trì cheud, a mharbhadh leis anns an aon àm.
1CH.11.12	Agus na dhèidh‐san bha Eleàsar, mac Dhodo, an t‑Ahohach: b’aon esan de na trì gaisgich.
1CH.11.13	Bha esan maille ri Daibhidh ann am Pas‐damim
1CH.11.14	Agus shuidhich iadsan iad fhèin am meadhon na dalach sin, agus dhìon iad i, agus mharbh iad na Philistich: agus shaor an Tighearna iad le saorsa mhòir.
1CH.11.15	A‑nis chaidh triùir de na deich‐ceannardan‐fichead sìos don charraig a dh’ionnsaigh Dhaibhidh
1CH.11.16	Agus bha Daibhidh an sin anns an daingneach; agus bha freiceadan nam Philisteach an sin ann am Betlehem.
1CH.11.17	Agus mhiannaich Daibhidh
1CH.11.18	Agus bhris an triùir tro fheachd nam Philisteach, agus tharraing iad uisge à tobar Bhetlehem a bha aig a’ gheata agus ghabh iad e, agus thug iad e gu Daibhidh: ach chan òladh Daibhidh e, ach thaom e a‑mach e don Tighearna
1CH.11.19	Agus thubhairt e, Nar leigeadh mo Dhia dhomh gun dèanainn an nì seo: an òlainn‐sa fuil nan daoine seo
1CH.11.20	Agus bha Abisai
1CH.11.21	Den triùir b’e a b’urramaiche na an dithis, agus bha e na cheannard orra: gidheadh, cha do ràinig e gu ruig a’ chiad triùir.
1CH.11.22	Mharbh Benaiah, mac Iehoiada, mac duine gaisgeil o Chabseel, a rinn mòran ghnìomharan, mharbh esan dithis fhear leòmhannta de Mhòab: chaidh e sìos mar an ceudna, agus mharbh e leòmhann ann am meadhon sluic air là sneachda.
1CH.11.23	Agus mharbh e Eiphiteach, duine de mheudachd mhòir, còig làmhan‐coille air àirde; agus ann an làimh an Eiphitich bha sleagh cosmhail ri garman figheadair: ach chaidh esan sìos da ionnsaigh le luirg, agus spìon e an t‑sleagh à làimh an Eiphitich, agus mharbh e le a shleagh fhèin e
1CH.11.24	Na nithean sin rinn Benaiah mac Iehoiada, agus bha ainm aige am measg triùir dhaoine treuna.
1CH.11.25	Feuch, den triùir b’e a b’urramaiche, ach cha do ràinig e gu ruig a’ chiad triùir: agus chuir Daibhidh e os cionn a fhreiceadain.
1CH.11.26	Mar an ceudna b’iad daoine treuna nan armailt, Asahel bràthair Ioaib, Elhanan mac Dhodo o Bhetlehem,
1CH.11.27	Samot
1CH.11.28	Ira mac Iceis an Tecoach, Abieser an t‑Anatotach,
1CH.11.29	Sibecai an Husatach, Ilai an t‑Ahohach,
1CH.11.30	Maharari an Netophatach, Heled mac Bhaanah an Netophatach,
1CH.11.31	Itai mac Ribai o Ghibeah chloinn Bheniàmin, Benaiah am Piratonach,
1CH.11.32	Hurai o shruthan Ghaais, Abiel an t‑Arbatach,
1CH.11.33	Asmabhet am Baharumach, Eliabha an Saalbonach.
1CH.11.34	Mic Haseim
1CH.11.35	Ahiam mac Shacair an Hararach, Eliphal mac Uir,
1CH.11.36	Hepher am Mecheratach, Ahiah am Pelonach,
1CH.11.37	Hesro an Carmeleach, Naarai mac Esbai,
1CH.11.38	Ioel bràthair Nàtain, Mibchar mac Hageri,
1CH.11.39	Selec an t‑Amonach, Naharai am Berotach, fear‐iomchair arm Ioaib mhic Sheruiah,
1CH.11.40	Ira an t‑Itreach, Gareb, an t‑Itreach,
1CH.11.41	Uriah an Hiteach, Sabad mac Ahlai,
1CH.11.42	Adina mac Shisa an Reubeneach, ceannard de na Reubenich, agus deich‐ar‑fhichead maille ris,
1CH.11.43	Hanan mac Mhaacah, agus Iosaphat am Mitneach,
1CH.11.44	Udsia an t‑Asteratach, Sama agus Iehiel mic Hotaim an t‑Aroerach,
1CH.11.45	Iediael mac Shimri, agus Ioha a bhràthair an Tidseach,
1CH.11.46	Eliel am Mahabhach, agus Ieribai agus Iosabhiah mic Elnaaim, agus Itmah am Mòabach,
1CH.11.47	Eliel, agus Obed, agus Iasiel o Mhesobia.
1CH.12.1	A‑nis is iad seo iadsan a thàinig a dh’ionnsaigh Dhaibhidh gu Siclag
1CH.12.2	Bha iad armaichte le boghachan, agus teòma leis an làimh dheis agus chlì air clachan a thilgeadh
1CH.12.3	B’e Ahieser a bu bharraichte dhiubh, an sin Iòas, mic Shemaah an Gibeatach; agus Iesiel agus Pelet, mic Asmabheit; agus Beracha, agus Iehu an t‑Anatotach,
1CH.12.4	Agus Ismaiah an Gibeonach, duine treun am measg an deich‐ar‑fhichead, agus os cionn an deich‐ar‑fhichead; agus Ieremiah, agus Iehasiel, agus Iohanan; agus Iosabad an Gederatach,
1CH.12.5	Elusai, agus Ierimot, agus Bealiah, agus Semariah, agus Sephatiah an Haruphach,
1CH.12.6	Elcanah, agus Iesia, agus Asareel, agus Ioeser, agus Iasobeam, na Corhaich,
1CH.12.7	Agus Ioelah, agus Sebadiah, mic Ierobaim o Ghedor.
1CH.12.8	Agus de na Gadaich chaidh thairis a dh’ionnsaigh Dhaibhidh, don daingneach anns an fhàsach, daoine treuna, fir‐chogaidh iomchaidh a‑chum catha, dom b’aithne sgiath agus targaid a làimhseachadh, aig an robh an gnùisean mar ghnùisean leòmhann, agus iad cho luath ris na h‑èildean air na beanntan
1CH.12.9	Eser an ciad fhear, Obadiah an dara, Eliab an treasa,
1CH.12.10	Mismanah an ceathramh, Ieremiah an còigeamh,
1CH.12.11	Atal siathamh, Eliel an seachdamh,
1CH.12.12	Iohanan an t‑ochdamh, Elsabad an naoidheamh,
1CH.12.13	Ieremiah an deicheamh, Machbanai an t‑aon‐fhear‐deug.
1CH.12.14	Bha iad sin de mhic Ghad nan ceannardan an t‑slòigh: an t‑aon a bu lugha dhiubh os cionn ceud, agus an t‑aon a bu mhò os cionn mìle.
1CH.12.15	Sin iadsan a chaidh thairis air Iòrdan anns a’ chiad mhìos, nuair a bha sruth a’ cur thairis air a bruachan uile
1CH.12.16	Thàinig mar an ceudna cuid de chloinn Bheniàmin agus Iùdah don daingneach a dh’ionnsaigh Dhaibhidh.
1CH.12.17	Agus chaidh Daibhidh a‑mach nan coinneamh, agus fhreagair e, agus thubhairt e riu, Ma thàinig sibh gu sìochail am ionnsaigh‐sa a chuideachadh leam, bidh mo chridhe leibh le aon rùn: ach ma thàinig sibh a‑chum mo bhrath dom naimhdean, nuair nach eil eucoir air bith am làmhan, gun amhairceadh Dia ar n‑athraichean air a sin, agus gun cronaicheadh e e.
1CH.12.18	An sin thàinig an spiorad air Amasai
1CH.12.19	Agus chaidh cuid de Mhanaseh thairis a dh’ionnsaigh Dhaibhidh nuair a thàinig e leis na Philistich an aghaidh Shauil gu cath
1CH.12.20	Nuair a bha e a’ dol gu Siclag, chaidh thairis da ionnsaigh de Mhanaseh, Adnah, agus Iosabad, agus Iediael, agus Michael, agus Iosabed, agus Elihu, agus Siltai, cinn‐fheadhna nam mìltean a bha de Mhanaseh.
1CH.12.21	Agus chuidich iad le Daibhidh an aghaidh buidheann nan creachadairean
1CH.12.22	Oir mun àm sin là an dèidh là, thàinig iad a dh’ionnsaigh Dhaibhidh a chòmhnadh leis, gus an robh feachd mòr ann, mar fheachd Dhè.
1CH.12.23	Agus is e seo àireamh nan daoine armaichte a‑chum cogaidh, a thàinig a dh’ionnsaigh Dhaibhidh gu Hebron, a thionndadh rìoghachd Shauil da ionnsaigh‐san
1CH.12.24	Mic Iùdah, a ghiùlain sgiath agus sleagh, sia mìle agus ochd ceud, armaichte a‑chum cogaidh.
1CH.12.25	De mhic Shimeoin, fir threuna gu cogadh, seachd mìle agus ceud.
1CH.12.26	De mhic Lèbhi, ceithir mìle agus sia ceud.
1CH.12.27	Agus Iehoiada, ceannard nan Aaronach, agus maille ris trì mìle agus seachd ceud.
1CH.12.28	Agus Sadoc
1CH.12.29	Agus de mhic Bheniàmin, luchd‐dàimh Shauil, trì mìle; oir fhathast
1CH.12.30	Agus de mhic Ephraim, fichead mìle agus ochd ceud, fir threuna, ainmeil ann an taigh an athraichean.
1CH.12.31	Agus de leth‐threubh Mhanaseh, ochd‐mìle‐deug, a dh’ainmicheadh air an ainmean, gu teachd a dhèanamh Dhaibhidh na rìgh.
1CH.12.32	Agus de mhic Isachair, aig an robh aithne air na h‑aimsirean
1CH.12.33	De Shebulun a mheud is a chaidh a‑mach gu cath, daoine teòma ann an cogadh
1CH.12.34	Agus de Naphtali mìle ceannard, agus maille riùsan, le sgèith agus sleagh, seachd‐mìle‐deug ar fhichead.
1CH.12.35	Agus de na Danaich, teòma ann an cogadh, ochd‐mìle‐fichead agus sia ceud.
1CH.12.36	Agus de Aser, a mheud is a rachadh a‑mach gu cath, teòma ann an cogadh, dà‑fhichead mìle.
1CH.12.37	Agus air an taobh eile de Iòrdan, de na Reubenaich, agus de na Gadaich, agus de leth‐threubh Mhanaseh, le uile innealan cogaidh a‑chum catha, ceud agus fichead mìle.
1CH.12.38	Na fir‐chogaidh sin uile dom b’aithne dol an òrdagh blàir, le cridhe iomlan thàinig iad gu Hebron a dhèanamh Dhaibhidh na rìgh os cionn Israeil uile: agus mar an ceudna bha a’ chuid eile de Israel gu lèir de aon chridhe a‑chum Daibhidh a dhèanamh na rìgh.
1CH.12.39	Agus bha iad an sin maille ri Daibhidh trì làithean, ag ithe agus ag òl: oir dh’ullaich am bràithrean air an son.
1CH.12.40	A bhàrr air sin, thug iadsan a bha fagas dhaibh, gu ruig Isachar, agus Sebulun, agus Naphtali, aran leo air asail, agus air càmhail, agus air muileidean, agus air daimh, biadh, min, mill fhìgean, agus bagaidean de fhìondhearcan tiormaichte, agus fìon, agus ola, agus daimh, agus caoraich ann am pailteas; oir bha aoibhneas ann an Israel.
1CH.13.1	Agus chuir Daibhidh a chomhairle riùsan a bha os cionn mhìltean agus cheud, ris gach uile cheannard.
1CH.13.2	Agus thubhairt Daibhidh ri uile cho‐chruinneachadh Israeil, Ma chìthear iomchaidh dhuibh, agus gur ann on Tighearna ar Dia a tha a’ chùis, cuireamaid fios a‑mach a dh’ionnsaigh ar bràithrean anns gach àite, a dh’fhàgadh ann an uile thìr Israeil
1CH.13.3	Agus thugamaid a‑rìs àirc ar Dè dar n‑ionnsaigh: oir cha d’fhiosraich sinn dheth ann an làithean Shauil
1CH.13.4	Agus thubhairt an co‑chruinneachadh gu lèir gum bu chòir sin a dhèanamh; oir bha an nì ceart ann an sùilean an t‑sluaigh uile.
1CH.13.5	Uime sin chruinnich Daibhidh Israel uile an ceann a chèile
1CH.13.6	Agus chaidh Daibhidh suas, agus Israel uile do Bhàalah
1CH.13.7	Agus ghiùlain iad àirc Dhè air feun nodha o thaigh Abinadaib
1CH.13.8	Agus chluich Daibhidh
1CH.13.9	Agus nuair a thàinig iad gu ùrlar‐bualaidh Chidoin
1CH.13.10	Agus las fearg an Tighearna an aghaidh Usa, agus bhuail e e, a chionn gun do chuir e a làmh ris an àirc
1CH.13.11	Agus bha doilgheas air Daibhidh a chionn gun do rinn an Tighearna briseadh air Usa: agus thug e Peres‐usa
1CH.13.12	Agus bha eagal air Daibhidh ro Dhia air an là sin, agus thubhairt e, Cionnas a bheir mise àirc Dhè dhachaigh am ionnsaigh?
1CH.13.13	Uime sin cha tug Daibhidh an àirc da ionnsaigh fhèin gu baile Dhaibhidh; ach thug e a lethtaobh i gu taigh Obed‐edoim an Giteach.
1CH.13.14	Agus dh’fhan àirc Dhè maille ri teaghlach Obed‐edoim na thaigh trì mìosan. Agus bheannaich an Tighearna taigh Obed‐edoim
1CH.14.1	A‑nis chuir Hiram
1CH.14.2	Agus dh’aithnich Daibhidh gun do dhaingnich an Tighearna e na rìgh air Israel, agus gun d’àrdaicheadh gu mòr a rìoghachd airson a shluaigh Israel.
1CH.14.3	Agus ghabh Daibhidh tuilleadh bhan ann an Ierusalem; agus ghin Daibhidh fhathast mic agus nigheanan.
1CH.14.4	Agus is iad seo ainmean a chloinne
1CH.14.5	Agus Ibhar, agus Elisua, agus Elphalet,
1CH.14.6	Agus Nogah, agus Nepheg, agus Iaphia,
1CH.14.7	Agus Elisama, agus Beeliada, agus Eliphalet.
1CH.14.8	Agus nuair a chuala na Philistich gun d’ungadh Daibhidh na rìgh air Israel uile, thàinig na Philistich gu lèir a‑nìos a dh’iarraidh Dhaibhidh: agus chuala Daibhidh sin, agus chaidh e a‑mach nan aghaidh.
1CH.14.9	Agus thàinig na Philistich, agus sgaoil iad iad fhèin ann an gleann Rephaim
1CH.14.10	Agus dh’fhiosraich Daibhidh de Dhia, ag ràdh, An tèid mi suas an aghaidh nam Philisteach, agus an toir thu thairis iad am làimh? Agus thubhairt an Tighearna ris, Gabh suas, agus bheir mi thairis iad ad làimh.
1CH.14.11	Agus thàinig iad gu Bàal‐perasim; agus bhuail Daibhidh an sin iad. Agus thubhairt Daibhidh, Bhris Dia mo naimhdean o chèile lem làimh‐sa, mar bhriseadh uisgeachan: uime sin thug iad Bàal‐perasim
1CH.14.12	Agus dh’fhàg iad an diathan an sin, agus thug Daibhidh àithne, agus loisgeadh iad le teine.
1CH.14.13	Agus thàinig na Philistich a‑rìs
1CH.14.14	Uime sin dh’fhiosraich Daibhidh a‑rìs de Dhia; agus thubhairt Dia ris, Na gabh suas nan dèidh; tionndaidh air falbh uapa, agus thig orra fa chomhair craobhan nan smeur.
1CH.14.15	Agus nuair a chluinneas tu fuaim siubhail ann am barran craobhan nan smeur, an sin thèid thu a‑mach a‑chum catha; oir thèid Dia a‑mach romhad, a bhualadh feachd nam Philisteach.
1CH.14.16	Agus rinn Daibhidh mar a dh’àithn Dia dha: agus bhuail iad feachd nam Philisteach o Ghibeon
1CH.14.17	Agus chaidh ainm Dhaibhidh a‑mach do gach tìr
1CH.15.1	Agus rinn Daibhidh dha fhèin taighean ann am baile Dhaibhidh, agus dh’ullaich e àite do àirc Dhè, agus shuidhich e bùth dhi
1CH.15.2	An sin thubhairt Daibhidh, Cha chòir do neach air bith àirc Dhè iomchar, ach do na Lèbhithich
1CH.15.3	Agus chruinnich Daibhidh Israel uile an ceann a chèile gu Ierusalem, gu àirc an Tighearna a thoirt suas a dh’ionnsaigh a h‑àite
1CH.15.4	Agus chruinnich Daibhidh mic Aaroin agus na Lèbhithich:
1CH.15.5	De mhic Chohait: Uriel an ceann, agus a bhràithrean ceud agus fichead.
1CH.15.6	De mhic Mherari: Asaiah an ceann, agus a bhràithrean dà cheud agus fichead.
1CH.15.7	De mhic Ghersoim: Ioel an ceann, agus a bhràithrean ceud agus deich‐ar‑fhichead.
1CH.15.8	De mhic Elisaphain
1CH.15.9	De mhic Hebroin
1CH.15.10	De mhic Udsieil: Aminadab an ceann, agus a bhràithrean ceud agus dà‑fhear‐dheug.
1CH.15.11	Agus ghairm Daibhidh air Sadoc agus Abiatar na sagartan, agus air na Lèbhithich, air Uriel, Asaiah agus Ioel, Sedmaiah, agus Eliel, agus Aminadab,
1CH.15.12	Agus thubhairt e riu, Is sibhse cinn athraichean nan Lèbhitheach: naomhaichibh sibh fhèin
1CH.15.13	Oir a chionn nach robh sibh a làthair roimhe, rinn an Tighearna ar Dia briseadh oirnn
1CH.15.14	Uime sin naomhaich na sagartan agus na Lèbhithich iad fhèin, a thabhairt suas àirc an Tighearna Dia Israeil.
1CH.15.15	Agus ghiùlain mic nan Lèbhitheach àirc Dhè air an guaillean, leis na lunnan orra, mar a dh’àithn Maois
1CH.15.16	Agus labhair Daibhidh ri uachdarain nan Lèbhitheach, am bràithrean òrdachadh a bhith nan luchd‐ciùil le innealan‐ciùil, saltairean, agus clàrsaichean, agus ciombalan, a’ dèanamh fuaim, a’ togail suas a’ ghutha le aoibhneas
1CH.15.17	Uime sin dh’òrdaich na Lèbhithich Heman
1CH.15.18	Agus maille riu am bràithrean den dara ceum, Sechariah, Ben, agus Iaasiel, agus Semiramot, agus Iehiel, agus Uni, Eliab, agus Benaiah agus Maaseiah, agus Matitiah, agus Elipheleh, agus Micneiah, agus Obed‐edom, agus Ieiel, na dorsairean.
1CH.15.19	Agus bha an luchd‐ciùil, Hemen, Asaph, agus Etan, gu fuaim a dhèanamh le ciombalan umha;
1CH.15.20	Agus Sechariah, agus Asiel, agus Semiramot, agus Iehiel, agus Uni, agus Eliab, agus Maaseiah, agus Benaiah, le saltairean air Alamot
1CH.15.21	Agus Matitiah, agus Elipheleh, agus Micneiah, agus Obed‐edom, agus Ieiel, agus Asasiah, le clàrsaichean air Seminit
1CH.15.22	Agus bha Cenaniah, uachdaran de na Lèbhithich, fa chomhair na laoidh: sheòl e mu thimcheall na laoidh, a chionn gu robh e eòlach.
1CH.15.23	Ach bha Berechiah agus Elcanah nan dorsairean don àirc.
1CH.15.24	Agus bha Sebaniah, agus Iehosaphat, agus Netaneel, agus Amasai, agus Sechariah, agus Benaiah, agus Elièser na sagartan, a’ sèideadh leis na trompaidean
1CH.15.25	Mar sin chaidh Daibhidh agus seanairean Israeil, agus na ceannardan mhìltean, a thoirt suas àirc coicheangal an Tighearna à taigh Obed‐edoim le aoibhneas
1CH.15.26	Agus nuair a chuidich Dia leis na Lèbhithich a ghiùlain àirc coicheangal an Tighearna, dh’ìobair iad seachd tairbh òga agus seachd reitheachan.
1CH.15.27	Agus bha Daibhidh sgeadaichte le fallaing de anart grinn, agus na Lèbhithich uile a bha a’ giùlan na h‑àirce, agus an luchd‐ciùil, agus Chenaniah, an t‑àrd fhear‐seinn, am measg an luchd‐ciùil: air Daibhidh mar an ceudna bha èphod anairt.
1CH.15.28	Mar seo thug Israel uile suas àirc coicheangal an Tighearna
1CH.15.29	Agus nuair a thàinig àirc coicheangal an Tighearna a‑steach do bhaile Dhaibhidh, bha Michal nighean Shauil ag amharc a‑mach air uinneig, agus chunnaic i rìgh Daibhidh a’ dannsa
1CH.16.1	Agus thug iad a‑steach àirc Dhè
1CH.16.2	Agus nuair a chuir Daibhidh crìoch air na h‑ìobairtean‐loisgte a thoirt suas, agus na h‑ìobairtean‐sìth, bheannaich e an sluagh ann an ainm an Tighearna.
1CH.16.3	Agus roinn e air gach aon de Israel, eadar fhir agus mhnathan, do gach aon, buileann arain, agus mìr math feòla, agus cupan fìona.
1CH.16.4	Agus dh’òrdaich e cuid de na Lèbhithich a fhrithealadh ro àirc an Tighearna, agus a chur air chuimhne
1CH.16.5	Aspah an ceann, agus na dhèidh‐san Sechariah, an sin Ieiel, agus Semiramot, agus Ieheil, agus Matitiah, agus Eliab, agus Benaiah, agus Obed‐edom; agus Ieiel le saltairean agus clàrsaichean; agus Asaph le ciombalan a’ dèanamh fuaim:
1CH.16.6	Benaiah mar an ceudna agus Iahasiel na sagartan, le trompaidean a‑ghnàth ro àirc coicheangal Dhè.
1CH.16.7	An sin air an là sin, thug Daibhidh seachad a’ chiad uair an laoidh mholaidh seo don Tighearna
1CH.16.8	Molaibh an Tighearna
1CH.16.9	Seinnibh dhàsan, seinnibh salm dha, labhraibh air a uile obraichean iongantach‐san
1CH.16.10	Dèanaibh‐se uaill na ainm naomh: dèanadh cridhe na muinntir a tha ag iarraidh an Tighearna gàirdeachas.
1CH.16.11	Iarraibh an Tighearna agus a neart, iarraibh a ghnùis a‑ghnàth.
1CH.16.12	Cuimhnichibh a obraichean iongantach a rinn e, a chomharraidhean agus breitheanais a bheòil;
1CH.16.13	O sibhse a shliochd Israeil, a òglaich‐san, sibhse a chlann Iàcoib, a dhaoine taghte‐san.
1CH.16.14	Is esan an Tighearna ar Dia‑ne; air feadh na talmhainn uile tha a bhreitheanais‐san.
1CH.16.15	Cuimhnichibh an còmhnaidh a choicheangal, am facal a dh’àithn e do mhìle ginealach;
1CH.16.16	A rinn e ri Abrahàm
1CH.16.17	Agus dhaingnich e sin do Iàcob
1CH.16.18	Ag ràdh, Dhutsa bheir mi fearann Chanàain, crannchur ur n‑oighreachd;
1CH.16.19	Nuair nach robh iad ach ro‑thearc ann an àireamh, agus nan coigrich ann
1CH.16.20	Agus a chaidh iad o chinneach gu cinneach, agus o rìoghachd gu sluagh eile;
1CH.16.21	Cha do leig e le duine sam bith eucoir a dhèanamh orra; agus smachdaich e rìghrean
1CH.16.22	Ag ràdh, Na beanaibh rim dhaoine ungte, agus air m’fhàidhean na dèanaibh cron sam bith.
1CH.16.23	Seinnibh don Tighearna
1CH.16.24	Cuiribh a ghlòir an cèill am measg nan cinneach; a obraichean iongantach am measg nan uile shluagh:
1CH.16.25	Oir is mòr an Tighearna, agus ro‑airidh air cliù: agus is adhbhar eagail esan os cionn nan uile dhiathan:
1CH.16.26	Oir is iodhalan uile dhiathan nan cinneach
1CH.16.27	Tha glòir agus mòralachd na làthair; neart agus subhachas na ionad‐san.
1CH.16.28	Thugaibh don Tighearna, sibhse fhineachan nan sluagh, thugaibh don Tighearna urram agus neart.
1CH.16.29	Thugaibh don Tighearna an t‑urram as cubhaidh da ainm: thugaibh tabhartas leibh, agus thigibh na làthair; sleuchdaibh don Tighearna ann am maise na naomhachd.
1CH.16.30	Biodh eagal oirbh na fhianais‐san, gach uile thìr: daingnichear an domhan leis, air chor is nach gluaisear e.
1CH.16.31	Biodh na nèamhan ait, agus dèanadh an talamh gàirdeachas; agus abradh iad am measg nan cinneach, Tha an Tighearna a’ rìoghachadh.
1CH.16.32	Beucadh an fhairge, agus a làn; dèanadh a’ mhachair gàirdeachas, agus gach nì a tha innte.
1CH.16.33	An sin seinnidh craobhan na coille gu h‑àrd‐ghuthach an làthair an Tighearna, a chionn gu bheil e a’ teachd a thoirt breith air an talamh.
1CH.16.34	Molaibh an Tighearna
1CH.16.35	Agus abraibh‐se, Tèarainn sinn, O Dhè ar slàinte
1CH.16.36	Beannaichte gu robh an Tighearna Dia Israeil gu saoghal nan saoghal
1CH.16.37	Agus dh’fhàg e an sin fa chomhair àirc choicheangal an Tighearna, Asaph agus a bhràithrean, a fhrithealadh air beulaibh na h‑àirce an còmhnaidh, mar a dh’iarradh obair gach là:
1CH.16.38	Agus Obed‐edom, agus am bràithrean, ochd agus trì‐fichead: Obed‐edom mar an ceudna, mac Iedutuin, agus Hosah, nan dorsairean:
1CH.16.39	Agus Sadoc an sagart, agus a bhràithrean na sagartan, fa chomhair pàillean an Tighearna, anns an àit àrd a bha ann an Gibeon
1CH.16.40	A dh’ìobradh ìobairtean‐loisgte don Tighearna air altair na h‑ìobairt‐loisgte a‑ghnàth, anns a’ mhadainn agus anns an fheasgar
1CH.16.41	Agus maille riùsan Heman agus Iedutun, agus a’ chuid eile a thaghadh, a ghairmeadh air an ainmean, a thoirt cliù don Tighearna, a chionn gu bheil a thròcair bithbhuan
1CH.16.42	Eadhon maille riùsan Heman agus Iedutun le trompaidean, agus le ciombalan
1CH.16.43	Agus dh’fhalbh an sluagh uile
1CH.17.1	A‑nis nuair a bha Daibhidh na shuidhe na thaigh, thubhairt Daibhidh ri Nàtan am fàidh
1CH.17.2	Agus thubhairt Nàtan ri Daibhidh
1CH.17.3	Agus air an oidhche sin fhèin thàinig facal Dhè gu Nàtan, ag ràdh,
1CH.17.4	Falbh agus innis dom òglach Daibhidh, Mar seo tha an Tighearna ag ràdh, Cha tog thusa taigh dhòmhsa gu còmhnaidh a ghabhail ann:
1CH.17.5	Oir cha do ghabh mise còmhnaidh ann an taigh on là air an tug mi a‑nìos Israel as an Eiphit gus an là‑an‑diugh, ach bha mi o bhùth gu bùth, agus o phàillean gu pàillean.
1CH.17.6	Ge bè taobh a chaidh mi le Israel uile, an do labhair mi facal ri aon de bhritheamhan Israeil (don d’àithn mi mo shluagh a bheathachadh) ag ràdh, Carson nach do thog sibh dhomh taigh seudair?
1CH.17.7	A‑nis uime sin, mar seo their thu rim sheirbhiseach Daibhidh, Mar seo tha Tighearna nan sluagh ag ràdh, Thug mi thu o chrò nan caorach
1CH.17.8	Agus bha mi leat gach taobh a chaidh thu
1CH.17.9	Agus dh’òrdaich mi àite dom shluagh Israel, agus shuidhich mi iad
1CH.17.10	Agus on àm anns an d’àithn mi do bhritheamhan a bhith os cionn mo shluaigh Israeil
1CH.17.11	Agus nuair a choileanar do làithean, agus gur èiginn dhut triall maille rid athraichean, togaidh mise suas do shliochd ad dhèidh, a bhios ded mhic; agus daingnichidh mi a rìoghachd‐san.
1CH.17.12	Togaidh esan taigh dhomh, agus daingnichidh mi a rìgh‐chathair gu bràth.
1CH.17.13	Bidh mi am athair dha
1CH.17.14	Agus suidhichidh mi e
1CH.17.15	A rèir nam briathran seo uile, agus a rèir an taisbeanaidh seo uile, mar sin labhair Nàtan ri Daibhidh.
1CH.17.16	An sin chaidh rìgh Daibhidh a‑steach, agus shuidh e am fianais an Tighearna, agus thubhairt e, Cò mise
1CH.17.17	Agus bu bheag seo ad shùilean‐sa, O Dhè, oir labhair thu mar an ceudna mu thaigh do sheirbhisich rè aimsir fhada ri teachd, agus thug thu meas orm a rèir staid duine àrd‐inbhich, a Thighearna Dhè.
1CH.17.18	Ciod tuilleadh as urrainn Daibhidh a ràdh riut, airson urram do sheirbhisich? Ach is aithne dhut do sheirbhiseach.
1CH.17.19	A Thighearna, is ann airson do sheirbhisich
1CH.17.20	O Thighearna, chan eil neach ann cosmhail riutsa
1CH.17.21	Agus cia an cinneach air thalamh cosmhail rid shluagh Israel
1CH.17.22	Oir rinn thu do shluagh Israel nan sluagh dhut fhèin gu bràth
1CH.17.23	A‑nis, matà, a Thighearna, am facal a labhair thu mu thimcheall do sheirbhisich, agus mu thimcheall a thaighe, daingnichear e gu bràth
