MAT.1.1	Tô môɲ wo Jésu wo na *kuŋga kelma Dabid wo na kuŋga *Abraham a men hen a na: 
ACT.3.12	Kiriɲa Piyêr gel hen iyôŋ menba, ôbi kôlji iyôŋ ba: «Kam *Israyêl, wô mi a tunuŋge ré ge kay sa aŋga li are hen ba? Wô mi a kené berêni mega ré na néé woni ley, derê woni tu Emen ley, a niné berariɲ gawra bi wo hen ba? 
ACT.3.13	Emen wo *Abraham wo Isak naɲ kwo Jakwôb, Emen wo balêrna a ulê hini emê sa mana wori Jésu wo na ken ayri bi bay na diri aɲ kiriɲa *Pilat na gey ulêri ta menba, 
ACT.3.14	na ken kaɲ kwo yi naɲ jeŋgêri men, kwoɲ dôri men hen, aɲ na ôbi deré temare a na kené gey bi bay ré uwôli ta ɗi hen. 
ACT.3.15	Aɲ Kelma ôbi tô gelê, a na kené bi bay diri ɗi. Niɲba, Emen biri ji si kamɲê perê ɓiɲé ka ma a aɲ nini gel naɲ tirni. 
ACT.3.16	Aɲ na wô wo nini bi bôrni sa Jésu a aɲa néé wo hini bi wo hen ré biɲ gawra bi wo ken gili aɲ hôni hen néé a ré ɗebiɲ ta hen. Na tiri na sa kibi bê bôô sa Jésu a woɲ tiri hen, aɲa gawra bi wo hen ré berariɲ yôd turŋge a hen.»
ACT.3.17	«Iyôŋ ba, yênên, en hôn wo ré na henêri ré, aɲa kenbay naɲ kilmérŋge na kené liɲ are bay ka hen hen. 
ACT.3.18	Emen ba, na kôl ca tumô naɲ tô bay kibri kêm wo *Mési wo ôbi na genge ɗiré joɲ hen, ré geliɲ gusiɲ, aɲ na ôbi a yé hen. 
ACT.3.19	Beléŋge hal woŋge aɲ ken hera uɲé Emen, aɲ bi ôbi mô têriɲ toŋge aɲ. 
ACT.3.20	Menba, Kelma a béŋge wulê woɲ derê bul kiriɲa ôbi a joɲ naɲ *Krist Jésu wo ôbi na dôri ca tumô gengiɲ sarŋge hen. 
ACT.3.21	Pa dema wulê bi wo hen ré sa tô na, Jésu Krist a merê derômaraŋ a kwôy wo derômaraŋ naɲ sa terare a hô ɲaniɲ naɲ gerérji mega wo Emen na kôl kwôli ca tumô, naɲ tôô bay kibri ka yi naɲ jeŋgêrji hen. 
ACT.3.22	Ôbi a *Moyis na ré kôl iyôŋ ba: ‹Kelma woŋge Emen a derê gawra pôn perêrŋge a hen, liɲ ôbi kibri wo a yé môɲ nôbi iyôŋ. Ka toyé kwôlo kêm wo ôbi a kelêŋge hen. 
ACT.3.23	Kwôni wo kaɲ toyé kwôlê kibri a ba, bay a dagêri perê ɓiɲé ka Emen aɲ, bay a diri
ACT.3.24	Bay kibi Emen kêm ayiɲ tôri sa Samiyêl a kwôy saɲ sa bay jebé tôri a na, kôlji kwôli wulê bi wo nana mô bô a haw hen. 
ACT.3.25	Aŋga Emen na genge naɲ tôô bay kibri hen na, na wô sarŋge kenbay. Iyôŋ ba, biɲare to Emen na biɲ naɲ môɲêrŋge hen na, na yi wô sarŋge men, ôbi na kôliɲ Abraham iyôŋ ba: ‹Na terê keben sa tô môɲ wo ɓiɲé kêm ka sa terare a nà wô sa kibi kwôŋgêm
ACT.3.26	Na wô sarŋge kenbay tumô, aɲa Emen né dô mana wori jéri wô terê kibri sarŋge a men, wô lê bi kené bul hal woŋge a men hen.»
ACT.4.1	Kiriɲa si Piyêr naɲ Ja dôriɲ ɓiɲé kwôlê baa ya tô menba, bay bê kwôbe naɲ dami wo bay gemé *iyéy Emen naɲ *Sadusiɲêɲê soji. 
ACT.4.2	Bay li hen iyôŋ wôsa bôrji tarji wô gelé wo Piyêr naɲ Ja geliɲ ɓiɲé are men, kwôli jê sé wo Jésu ji si kamɲê perê ɓiɲé ka ma a hen a men. Aɲ gel wo ɓiɲé kôba, ré jê sé kamɲê hen iyôŋ men. 
ACT.4.3	Mega, kiriɲ kô niɲ hen iyôŋ na, bay pôrji biji daŋgay a gemiɲ kiriɲ ka wôli. 
ACT.4.4	Perê ɓiɲé bay ka toy kwôlo si Piyêr naɲ Ja hen na, kwône ay bôrji aɲ bay ayê bôô kêm nêm imɲê dubu bay iyôŋ.
ACT.4.5	Kiriɲa kiriɲ wôl menba, bay sa Jubɲê naɲ surɲê naɲ *bay derê tô tôô to Emen daɲji Jérusalêm a. 
ACT.4.6	Kiriɲ bay ka hen na, Aan *dami wo damné kaɲ bay bê kwôbe men, Kayib men, Ja men, Alêksander naɲ balê dami wo damné kaɲ bay bê kwôbe kêm kôba, môrji ya. 
ACT.4.7	Bay bi bay eraɲ naɲ si Piyêr naɲ Ja sa ɗibiji ta tumôrji a, aɲ bay eŋgeriji kwôlê iyôŋ ba: «Aŋga ken li hen na, ken li na iyeŋ iyeŋ pôn ba? Men, na naɲ néé wo i men, hini i men, aɲa kené liɲ are bay ka hen ba?»
ACT.4.8	Tunu toɲ hendi bô bôrê wôn bô Piyêr aɲ ôbi kôlji iyôŋ ba:
ACT.4.9	«Bay sa ɓiɲé naɲ surɲê, kemnêŋ ken eŋgeréni wô derê wo nini li naɲ ôbi merayê hen men, niné li iyeŋ a ôbi ré berare hen ba men. 
ACT.4.10	Kenbay men, ɓiɲé ka *Israyêl kêm toyéŋge dô, na naɲ hini Jésu Krist wo Najarêt wo ken ɓééri aɲ Emen biri ji si kamɲê perê ɓiɲé ka ma a hen, na wô sari aɲa gawra wo ɗebu tumôrŋge a hen ré berariɲ hen. 
ACT.4.11	Na ôbi, a magtubu to Emen ré kôl gengiɲ sari kôl iyôŋ ba:
ACT.4.11	‹Keram wo kenbay bay ɗé iyére ken kaɲ hen,
ACT.4.11	ôbi a hô yé kwoɲ ɗé tô iyére hende to hen hen
ACT.4.12	Na ligiri ôbi a pôn nêŋ a kené uɲé kini gelê ɗiba, kini gelê wo ɗaŋgi naɲ, wôsa sa terare a nà kêm na, Emen na bi hini kwôni wo ɗaŋgi wo ré gôliɲ naɲ ɓiɲé ba, naɲ.»
ACT.4.13	Kiriɲa bay gel wo si Piyêr naɲ Ja iyêl naɲ ibiyare hen iyôŋ menba, tiniji ge kay wô wo bay ré na ɓiɲé ka beray mera ka ré dôyrê are gaɲ né a men menba, bay hôn wo bay ré na bay erê naɲ Jésu. 
ACT.4.14	Niɲba, kiriɲa bay gel gawra bi wo berare hen ɗebu kwarji a menba, bay hôn kwôlê woɲ kelê ré niɲ. 
ACT.4.15	Menba, bay biji bay séɲ kini daɲare to *Sanédrên a aɲ bay iyêliɲji perêrji a. 
ACT.4.16	Bay kôl iyôŋ ba: «Na liɲ ɓiɲé bay ka hen na mi ba? Wôsa bay li giɲê wo dami tu ɓiɲé ka Jérusalêm a gel kêm ɗiba, na nêmê narê biɲ né. 
ACT.4.17	Niɲba, bi kwôli giɲê bi wo hen ré ôm erê tumô tumô ré na, na karêŋgeji gwom bi bay ré dôriɲ kwôni kwôlê wôni naɲ hini Jésu ré niɲ pa pa.»
ACT.4.18	Bay hô uwôgaji heraɲ aɲ kôlji iyôŋ ba: «Nini jô bi kené iyêl men, kené geliɲ kwôni ani a men naɲ hini Jésu.» 
ACT.4.19	Menba, si Piyêr naɲ Ja uwôlji sara iyôŋ ba: «Kenbay ken erem ken gel, na ba, toyé kwôlê kebreŋge a na lê aŋgaɲ derôre laba, biɲ Emen kwôlê a na lê aŋgaɲ derôre ɗi ba? 
ACT.4.20	Kwoni nibay ba, aŋga nini gel naɲ tirni men, nini toy naɲ marni a men hen na, niɲa wômê kwôliji tôŋ né.»
ACT.4.21	Bay hô karêji gwom damaŋ a, aɲ biji ta wôsa bay uwôɲ kwôlê wôni wo nêm perêji ré. Wôsa ɓiɲé kêm ay kibi Emen wô aŋga li are hen. 
ACT.4.22	Gawra bi wo berare naɲ giɲê hen na, elêri ɗê tôre pôrbu.
ACT.4.23	Kiriɲa bay biji ta menba, si Piyêr naɲ Ja hôrji uɲé megêrji bay ayê bôô aɲ dôrji kwôlo kêm wo damné kaɲ bay bê kwôbe naɲ surɲê kelaji hen. 
ACT.4.24	Kiriɲa bay toy kwôlo si Piyêr naɲ Ja dôrji hen iyôŋ menba, bay bi kibriji pôn aɲ uwôl Emen kôl iyôŋ ba:
ACT.4.24	«Kelma, na jôbi a ɗé derômaraŋ naɲ sa terare men, cér naɲ aŋga kêm ka yi ya hen, 
ACT.4.25	na jôbi a bé naɲ geré wo Tunu toɲ hendi bô bôrê aɲa ré bi kwôlê bi wo hen kibi mana wom Dabid wo na môyrini hen, aɲ ôbi na kôl iyôŋ ba:
ACT.4.25	‹Wô mi a ɓiɲé ka sa terare a nà ré karê maɲê hen iyôŋ ba?
ACT.4.25	Men, wô mi a ɓiɲé ré lêrê aŋgaɲ ɗéɲ iyôŋ bay ka hen ba?
ACT.4.26	Kilmé ka sa terare a na ɲan yirji
ACT.4.26	men, ɓiɲé kêm ka ôriɲ naɲ néé biɲ tôrji wô liɲ kumbul
ACT.4.26	naɲ Kelma Emen men,
ACT.4.26	naɲ kwo ôbi dôri hen a men
ACT.4.27	Wôsa na hen iyôŋ a, si *Hérôd naɲ Pos *Pilat ré daɲji sa iyére hende to nà naɲ ɓiɲé ka sa terare a nà a men, ɓiɲé ka Israyêl a a men wô lê kumbul naɲ Jésu mana wom wo ju dôri ɗiri yi gay hen. 
ACT.4.28	Na hen iyôŋ a, bay ré liɲ are kêm ka na ju genge ca tumô naɲ néé wom hen men, naɲ bô geyé wom a men hen.»
ACT.4.29	«Haw hen na, Kelma dôbe mam ju toyiɲ gwom to bay karêni hen, aɲ ju biɲ manê kam ré kôl kwôlê wom naɲ ibiyare. 
ACT.4.30	Jé kôm aɲ bi berarê ɓiɲé men, giɲê naɲ aŋgaɲ gelé ka gay gay liɲ naɲ hini mana wom Jésu wo yi naɲ jeŋgêri hen.»
ACT.4.31	Kiriɲa bay uwôl Emen hen iyôŋ kô niɲ menba, terare yebagiɲ kiriɲ bay ka bay môriɲ ya hen, aɲ Tunu toɲ hendi bô bôrê wiinê bôrji aɲ bay dô kwôlo Emen naɲ ibiyare.
ACT.4.32	Ɓiɲé kêm ka ay bôrji hen na, bôrji naɲ ermé woji na pôn men, kwôni wo kôl ari uɲéri a ré nà iyôŋ ba, naɲ men, bay kêm day ari uɲérji na pôn. 
ACT.4.33	Bay jé dô kwôli jê sé wo Kelma Jésu kamɲê naɲ néé wo dami aɲ terê kibi wo Emen baa naɲ ci kêm. 
ACT.4.34	Kwôni pôn iyôŋ perêrji a wo na ôbi nimré ba, naɲ, wôsa ka ôriɲ naɲ kiriɲ men, iyére men ley na, bay keléɲ aɲ eraɲ naɲ lari are bay ka bay keléɲ hen. 
ACT.4.35	Aɲ sa biɲ bay jé. Aɲ i i ba, bay biri gengiɲ sa doy aŋga ôbi ôriɲ.
ACT.4.36	Menba, Josêp wo bay jé uwôgeri Barnabas (hini Barnabas bi wo hen na, bôri na «ôbi dôbê ibiyare bô kiriɲ a») ôriɲ naɲ yagê wori ya. Ôbi na tô môɲ wo *Lébit wo yêɲ Sipre a. 
ACT.4.37	Ôbi keléɲ yagê wori bi wo hen, aɲ eraɲ naɲ lariri sa biɲ bay jé.
ACT.5.1	Niɲba, gawra wo pôni bay uwôgeri Ananiyas bay naɲ tamni Sapira. Bay keléɲ yagê woji. 
ACT.5.2	Menba, ôbi dera kwa lari na dê ɗo tôŋ aɲ tamni hôn men aɲ eraɲ naɲ tôri wo baa hen sa biɲ bay jé. 
ACT.5.3	Menba, Piyêr kôli iyôŋ ba: «Ananiyas, wô mi a Sidan ré ô bôm a aɲ ju kôliɲ Tunu toɲ hendi bô bôrê kwôlê woɲ benare hen iyôŋ ba? Wôsa ju dera kwa lari yagê bi wo hen dê ɗo tôŋ. 
ACT.5.4	Yagê bi na kwom ré ba? Hena na jeré gey kôba, na já ɗé keléri aɲ baa ré ba? A hena na jeré keléɲ kôba, lariri na na kwom ré ba? Wô mi a ermé kwôlo hen iyôŋ ré yi bôm a ba? Na gawrê a jeré liji benare hen né, niɲba, na Emen.»
ACT.5.5	Kiriɲa Ananiyas toy kwôlê bi wo hen iyôŋ menba, ôbi kuriɲ aɲ ma. Ɓiɲé kêm ka toy kwôlê bi wo hen na, tiniji ge kay. 
ACT.5.6	Kam manê sa ay temayri ô haarê aɲ ôriɲ ô emé.
ACT.5.7	Tare subu cêgê menba, tamni Sapira ô ira tô si Piyêr a. Aŋga sa sa kurôre a hen na, hende hôn né kwôy tô. 
ACT.5.8	Menba, Piyêr eŋgerere iyôŋ ba: «Na lari yagê kêm wo ken keléɲ bi ré ba?» Menba, hende uwôli sara iyôŋ ba: «Ew, na lariri bi kêm.»
ACT.5.9	Piyêr hô kôle iyôŋ ba: «Ken li iyeŋ a kené biɲ kebreŋge wô sébé Tini Kelma hen iyôŋ ba? Toy tê ka uwo emo kurôrê hen ema kibi geré hen ya, bay a ôriɲ naɲ mu men.»
ACT.5.10	Kiriɲ bay ka hen menba, hende kuriɲ aɲ ma tumô Piyêr a. Kiriɲa manê bay ka hen soji ira menba, bay uwôɲ temayre aɲ ay ôriɲ emé kwa kurôre a. 
ACT.5.11	Kiriɲ bay ka hen na, bay ayê bôô kêm naɲ ɓiɲé kêm ka toy kwôlê bi wo hen na, harê wo dami liji.
ACT.5.12	Bay jé li aŋgaɲ gelé naɲ kaɲ giɲê kwône tu ɓiɲé a. Bay ayê bôô kêm kôliɲ kaɲniji aɲ daɲji tô pal wo Salomôn a. 
ACT.5.13	Kwôni wo ɗaŋgi wo gey daɲ naɲ ci ba, naɲ. Men né, ɓiɲé kêm dô kwôliji wo dôri ta men. 
ACT.5.14	Aɲ ɓiɲé naɲ kwônêrji imɲê men, yébé men bi bôrji sa Kelma aɲ daɲji naɲ ci.
ACT.5.15	Ɓiɲé sooriɲ naɲ bay ômɲare tô geré, ka pôni sa kwoy a men, ka pôni sa jaare a men, aɲ bi kiriɲa Piyêr ré sa ba, tini ré ô si sa kwo pôni gaŋ. 
ACT.5.16	Kwônê ɓiɲé henaji sa kam iyére to kwa Jérusalêm a hen eraɲ bay ômɲare men, ka tunu to habiɲ dôyrêji men, aɲ bay kêm berare.
ACT.5.17	Kiriɲa *dami wo damné kaɲ bay bê kwôbe naɲ bay tôri kaɲ *Sadusiɲêɲê gel hen iyôŋ menba, terbére liji menba, bay genge wo ciré lê ani. 
ACT.5.18	Bay pô bay jé ô biji daŋgay tô kwônê ɓiɲé a. 
ACT.5.19	Niɲba, derô yoyre menba, mana wo Kelma sa bôl kibi iyéy daŋgay aɲ biji si nô aɲ kôlji iyôŋ ba: 
ACT.5.20	«Erêŋge ken ô ɗebé *iyéy Emen a aɲ ken uwôliɲ ɓiɲé béré kwôlê kêm woɲ gelê bi wo hen.»
ACT.5.21	Bay toy kwôlê kibri a aɲ kiriɲa kiriɲ peraɲ soɲ soɲ menba, bay ô derô haba wo iyéy Emen a aɲ geliɲ ɓiɲé are. Dami wo damné kaɲ bay bê kwôbe naɲ bay tôri uwôgeji daɲare to surɲê ka kam *Israyêl kêm menba, bay jé wogé bay jé bô daŋgay a. 
ACT.5.22	Niɲba, kiriɲa asgarɲê saji biɲ iyéy daŋgay menba, bay uwoɲji ré menba, bay buloji hera sa dôriɲ bay jériji hen kôl iyôŋ ba: 
ACT.5.23	«Nini uwôɲ kibi geré ligiɲ men, bay geméri hen kôba môrji ya a men, niɲba, kiriɲa nini bôl kermiɲ menba, nini uwôɲ kwôni ira ré.»
ACT.5.24	Kiriɲa dami wo bay gemé iyéy Emen naɲ damné kaɲ bay bê kwôbe hen toy hen iyôŋ menba, bay hôn kwôlê woɲ kelê sa aŋga sa sa bay jé a hen né aɲ bay eŋgere mi a ré lê are hen iyôŋ ba. 
ACT.5.25	Menba, kiriɲ bay ka hen na, kwôni era sa kôlji iyôŋ ba: «Gel, ɓiɲé ka ken biji daŋgay a hen ɗebiji derô haba wo iyéy Emen a geliɲ ɓiɲé are yaŋ.»
ACT.5.26	Menba, dami wo bay gemé iyéy Emen ô naɲ ɓiɲé kari ôrji perê bay jé heraɲ. Bay liji ani ré wôsa bay hare wô wo ɓiɲé ma ré gôbiji naɲ jerew. 
ACT.5.27	Bay eraɲ naɲ ci sa geliɲ daɲare to surɲê menba, dami wo damné kaɲ bay bê kwôbe eŋgeriji kwôlê. 
ACT.5.28	Ôbi kôlji iyôŋ ba: «Nini jerêŋge yôd bi kené geliɲ ɓiɲé are naɲ hini gawra bi wo hen, menba, ken li aɲ ɓiɲé ka Jérusalêm kêm toy kwôlê woŋge bi wo hen men, ken gey lê bi kwôbri gawra bi wo hen ré hera sarni a men.»
ACT.5.29	Menba, Piyêr naɲ bay jé uwôlji sara iyôŋ ba: «Biɲ Emen kwôlê dô ɗê biɲ gawrê kwôlê. 
ACT.5.30	Jésu bi wo na ken bi bay na ɓééri a sa gurô aɲ ma hen na, Emen wo môɲêrna na biri ji si kamɲê. 
ACT.5.31	Na ôbi aɲa Emen né ayri ɗiri mô sa kôbri woɲ gusurô a mega Kelma men, ôbi gôliɲ naɲ ɓiɲé men, aɲ bi kam Israyêl ré uwôɲiɲ geré biliɲ hal woji aɲ Emen né ɗiɲ bôri jal sa têriɲ toji a. 
ACT.5.32	Nibay nini dô kwôli are bay ka hen, nibay naɲ Tunu toɲ hendi bô bôrê to Emen biɲ ɓiɲé ka biri kwôlê hen.»
ACT.5.33	Kiriɲa bay daɲare toy kwôlê bi wo hen iyôŋ menba, bôrji tarji aɲ bay gey ciré deré bay jé. 
ACT.5.34	Niɲba, gawra wo pôni bay uwôgeri Gamaliyêl, ôbi na *Parisiɲê men, na ôbi gelé tôô wo dami wo ɓiɲé kêm biri kwôlê. Ôbi hena perêrji aɲ kôl bay ré biɲ bay jé ré siji nô sem. 
ACT.5.35	Menba, ôbi kôliɲ surɲê ka daɲ hen iyôŋ ba: «Kenbay kam Israyêl, erméŋge dô sa aŋga ken gey lê naɲ ɓiɲé ka hen. 
ACT.5.36	Wulê wo na di jô hen na, nana gel Tédas wo kôl ɗiré na kwôni wo dami aɲ li ɓiɲé arew pôrbu ô tôri a. Bay diri, menba, bay tôri bay ka hen kôba, usuriɲji a men, aɲ ani ka baa ba, naɲ. 
ACT.5.37	Cêgeri wori ba, nana gel Judas wo Galilé bô wulê woɲ sajima hen, ôbi kôba, day ɓiɲé tôri a aɲ bay diri menba, bay tôri bay ka hen kêm usuriɲji. 
ACT.5.38	Iyôŋ ba, en kelêŋge, ɗéŋge turŋge tô ɓiɲé ka hen a ré niɲ, ɗeŋgiji ô. Hena ermé woji naɲ jé lêreji bi wo hen ré na kwo gawrê na, ôbi a naɲê sa kibri mera. 
ACT.5.39	A hena ré na kwo Emen na, kena nêmê mênê ré kwôy. Berêŋge dô ré ba, ka lê kumbul naɲ Emen!»
ACT.5.39	Menba, bay gey kwôlê wori bi wo hen, 
ACT.5.40	menba, bay hô uwôga bay jé heraɲ aɲ bay bi bay sêji aɲ bay karji gwom bi bay ré uwôge hini Jésu cêgê ré niɲ aɲ bay biji ta. 
ACT.5.41	Bay jé soji kini daɲare to surɲê a naɲ yi derê wôsa Emen ré bôrji môɲ gawrê ka nêm, aɲa ré bi ciré geliɲ gusiɲ wô hini Jésu hen.
ACT.5.42	Naɲ wulê wulê derô haba wo iyéy Emen a men, bô iyé ɓiɲé a men a na, bay geliɲ ɓiɲé are men, bay uwôl béré Kwôlo Dôri mega wo Jésu ré na *Krist, kwo Emen dôri hen.
ACT.6.1	Wulê bi wo hen na, bay tô Jésu kwône erê tumô tumô menba, kwôlê yi perê Jubɲê ka iyêl kibi grêk hen naɲ ka yêɲ sa terare toji a, wôsa ka iyêl kibi grêk hen kôl sa cé are ka naɲ wulê wulê hen na, bay ré liɲ mamê kaji dô ré. 
ACT.6.2	Bay jé ka môj kibi wôô hen uwôge daɲare to dami to bay ayê bôô kêm aɲ kôlji iyôŋ ba: «Dé wo nibay niné ɗi ulê béré kwôlo Emen baa aɲ ô wô cé emê ré. 
ACT.6.3	Iyôŋ ba, yênêrni, wogéŋge gawrê jurgem perêrŋge a hen ka bay kôl kwôliji dô men, ka Tunu toɲ hendi bô bôrê bôrji a men, kaɲ bay tu melênê a men, aɲ niɲa biji jé bi wo hen kôbri a. 
ACT.6.4	Aɲ nibay ba, niɲa erê wô uwôlê Emen men, geliɲ ɓiɲé are men.»
ACT.6.5	Ɓiɲé kêm gey kwôlê woji bi wo hen: bay dô Etiyên, na kwôni wo ayê bôô wori dô men, Tunu toɲ hendi bô bôrê kôba wôn bôri a men, Pilip men, Prokôr men, Nikanôr men, Timôn men, Parménas naɲ Nikwolas wo na kwôni wo Antiyôk wo na Jub ré niɲba, na bi bôri sa tôô toji a hen a men. 
ACT.6.6	Bay eraɲ naɲ ci sa geliɲ bay jé, aɲ bay uwôl Emen wô sarji men, bay uwôl kôbriji sarji a a men.
ACT.6.7	Kwôlo Emen ô tumô tumô men, ɓiɲé ka bi bôrji sara hen kôba kwône damaŋ a Jérusalêm a men, bay bê kwôbe kwône bi bôrji sa Jésu a men.
ACT.6.8	Terê kibi naɲ néé wo Emen baa naɲ Etiyên aɲ ôbi li aŋgaɲ giɲê men, kaɲ gelé damné damné a men tu ɓiɲé bay gel. 
ACT.6.9	Kiriɲa bay gel hen iyôŋ menba, ɓiɲé ka pôni bô *iyéy daɲare to bay uwôgere iyéy daɲare to limé ka mô sarji seŋge to na Jubɲê ka Sirên naɲ ka Alêksandri daɲ ya hen, naɲ ka Silisi a naɲ ka Asi a men aɲ bay kêm nariɲ kwôlê naɲ ɗi. 
ACT.6.10	Niɲba, bay nêm ɗebé geraŋ tumôri a ré, wôsa ôbi iyêl naɲ tu melênê wo Tunu a biri hen. 
ACT.6.11	Menba, bay têbe ɓiɲé aɲ ré kôl iyôŋ ba: «Nini toy wo ôbi kôl kwôlo habiɲ gengiɲ sa *Moyis men, sa Emen a men.» 
ACT.6.12	Bay sôge tô ɓiɲé men, surɲê naɲ *bay derê tô tôô to Emen. Bay era sa ɓu Etiyên ereŋ ôriɲ naɲ ɗi tumô sanédrên a.
ACT.6.13	Kiriɲ bay ka hen na, bay eraɲ naɲ gawrê ka pôni sa pôy kwôlê woɲ benare ɗiri sari a kôl iyôŋ ba: «Gawra bi wo hen, ɗi kelê kwôlo habiɲ gengiɲ sa *iyéy Emen tona to yi naɲ jeŋgêre hen baa ré men, gengiɲ sa tôô to Moyis hen baa ré a men. 
ACT.6.14	Men, nini toy ôbi kôl iyôŋ ba: ‹Jésu wo Najarêt bi wo hen ré mênê iyéy Emen men, ré hô ɲanê hara wo Moyis na ay béna hen a men.› »
ACT.6.15	Ɓiɲé kêm ka mô kini daɲare to surɲê hende to hen, hen na, tirji na sari a aɲ bay gel tiri yi môɲ to *mana wo derômaraŋ a iyôŋ.
ACT.7.1	*Dami wo damné kaɲ bay bê kwôbe eŋgereri iyôŋ ba: «Kwôlo bay kôl kêm hen na, na tiri ba?»
ACT.7.2	Menba, Etiyên uwôli sara iyôŋ ba: «Balên naɲ yênên, toyéŋge, Emen ôbi hini emê si sa môyrena *Abraham a kiriɲa ôbi na môriɲ Mésopotami a pa dema ré ô môriɲ Haran a tô. 
ACT.7.3	Aɲ Emen na kôli iyôŋ ba: ‹Ɗéɲ sa iyére tom men, balêm men, aɲ ju ô sa iyére to na gelem hen.› 
ACT.7.4	Menba, Abraham ɗéɲ sa iyé Kaldé, aɲ ôriɲ môriɲ Haran a. Kiriɲ bay ka hen cêgi temare to ibari a menba, Emen biri era sa mô sa iyére to ken môriɲ ya haw hen. 
ACT.7.5	Niɲba, sa iyére hende to hen na, kiriɲ kani dê iyôŋ kôba, ôbi jô biri ré, kaɲ ɗiɲ têri ya kôba, naɲ niɲba, Emen ay tôri ɗiré biri ôbi men, kwôŋgêri men, kiriɲ bay ka hen, bi wo Abraham kemari na naɲ hen kôba. 
ACT.7.6	Aɲ Emen kôli iyôŋ ba: ‹Kwôŋgêm a merê sa iyére to ɗaŋgi a men, bay a liji lemnare men, bay a geliɲ tirji gusiɲ kwôy elê arew pôrbu. 
ACT.7.7	Niɲba, ɓiɲé ka sa iyére hende to gelji gusiɲ hen na, nôbi Emen na jerê kwôlê sarji a, aɲ cêgeri wori menba, na biɲ ɓiɲé kaɲê a séɲ sa iyére hende to hen a, aɲ bay a teben sa iyé Kanan hende to nà.› 
ACT.7.8	Menba, Emen kôliɲ Abraham iyôŋ ba: ‹Aŋga gel biɲare hende to hen na, ôbi a na walê keŋ.› Na ôbi á, kiriɲa Abraham ré yê Isak li sa marge menba, wali keŋ. Isak liɲ Jakwôb hen iyôŋ men, Jakwôb kôba, liɲ kamni ka môj kibi wôô kaɲ môɲêrna hen iyôŋ men.»
ACT.7.9	«Kam Jakwôb li terbére naɲ yêniji Josêp aɲ bay ɓiri keléɲ bi bay ré ôriɲ naɲ ɗi lê lemnare Ejipt a. Niɲba, Emen ba, naɲ ɗi. 
ACT.7.10	Men, Emen dôri kibi gusiɲ to kêm a aɲ biri tu melênê men, biri dé tu Parawôn kelma wo Ejipt a. Kelma wo Ejipt bi wo hen biri ôm Ejipt men, biri bô sa bô iyére tori a men. 
ACT.7.11	Kiriɲ bay ka hen na, kurôŋ wo dami kuriɲ sa iyé Ejipt a kêm men, sa iyé Kanan a men, gusiɲ to dami li ɓiɲé aɲ môɲêrna uwôɲ ani kaɲ emê ré kwôy. 
ACT.7.12	Kiriɲa bay toy wo kaw ré yi Ejipt a ya na, Jakwôb jé kamni ka na môɲêrna hen ôrji têê pôn. 
ACT.7.13	Têê wôô wori wo bay hera menba, Josêp li aɲ yênêri gili hôn aɲ na wulê bi wo hen dema Parawôn ré hôn balê Josêp tô. 
ACT.7.14	Josêp jé wogé ibari Jakwôb naɲ balêri kêm aɲ bay kêm na ɓiɲé tôre jurgem kibi bay. 
ACT.7.15	Jakwôb era sa mô Ejipt a, ôbi ma kiriɲ bay ka hen, môɲêrna kôba, môrji na ya men, maji na ya a men. 
ACT.7.16	Bay pôrji ôriɲ Sisêm a ô emé bô kamɲê ka Abraham na kel kôbi kam Hemôr Sisêm a hen.»
ACT.7.17	«Kiriɲa wulê wo aŋga Emen na ayiɲ tôri biɲ Abraham hen baa ɗa wo a liɲ menba, ɓiɲé yêɲ yirji Ejipt aɲ bay kwône tumô tumô. 
ACT.7.18	Kwôy wulê wo kelma wo ɗaŋgi wo hôn Josêp ré hen ayiɲ kenare sa Ejipt a. 
ACT.7.19	Kelma bi wo hen lam balêrna men, liji habrê, aɲ ôbi biji bay ɗéɲ kamniji ka bay yê haw hen bi ré ma aɲ. 
ACT.7.20	Na wulê bi wo hen aɲa *Moyis ré yêɲ ya. Ôbi na kema wo li manare men, dê tu Emen a men. Bay aberi geserê subu bô iyé ibari a. 
ACT.7.21	Menba, kiriɲa bay ɗiri aɲ menba, môni Parawôn ayri ô gemé mega kemare woɲ bôre iyôŋ. 
ACT.7.22	Bay geliɲ Moyis tu melênê wo Ejipt kêm aɲ ôbi na kwôni wo dami sa kwôli kelêri a men, sa jé lêri a a men.»
ACT.7.23	«Kiriɲa ôbi li elê tôre pôrbu menba, ôbi erem erê uɲé yênêri Israyêlɲê. 
ACT.7.24	Ôbi gel yêni wo Ejiptiɲê wo pôni geli gusiɲ menba, ôbi ô jerê sari aɲ ôbi di Ejiptiɲê bi wo hen duu. 
ACT.7.25	Ôbi kôl yaŋ ba, yênêri ré henê mega wo ré na Emen a ré ɗa gôliɲ naɲ ci naɲ geré wori hen, niɲba, bay hôn né. 
ACT.7.26	Wulê wo ɗaŋgi ôbi hô gel yênêri wôô sêɲji menba, ôbi waji aɲ gey bi bay ré hô biɲ hôriɲ aɲ ôbi kôlji iyôŋ ba: ‹Milɲén, kena yênê a menba, wô mi a kené liɲ yerŋge habiɲ hen iyôŋ ba?› 
