MAT.1.1	Taku̱rda-o̱ u̱n baag-o Ye̱so 
JHN.9.2	Yan-neke̱-mo̱ u̱n wu̱ citu̱ru̱ wu̱, “Wa-u̱s-Nap, ¿wan wu̱ ne̱ no̱me̱ 
JHN.9.3	Ye̱so shasu̱ru̱, “Remen ka ne̱t-wu̱, ko̱ tato u̱n wu̱ ye̱ no̱m 
JHN.9.4	Se̱ u̱m no̱mo̱g yo Tato re to̱mne̱ me̱ m-no̱m à, cin u̱r-ho̱ ne̱. Te̱t-m ro̱o̱n, da-o̱ ne̱t a hoks no̱m u̱n rii á. 
JHN.9.5	Bo̱ u̱m ro̱ u̱n ho̱no o-dak à, me̱ wu̱ ro̱ cecas-mo̱ u̱n ho̱no o-dak.”
JHN.9.6	Bo̱ wu̱ ru̱rte̱ kááne̱ à, wu̱ copsu̱ru̱ m-ta n-dak. Wu̱ wu̱rgu̱ru̱ m-hu, wu̱ suku̱ru̱ mo̱ ko-po̱ u̱n yish. 
JHN.9.7	Wu̱ ze̱e̱ru̱ wu̱, “Neke̱, o sapt u̱n kaw-o̱ o-Sirom.” (Ka jin-de, de ro̱ a u̱n “tomonte̱.”) Ko̱m-de ka, wu̱ neku̱ru̱, wu̱ saptu̱ru̱, wu̱ mu̱u̱nu̱ru̱, wu̱ ro̱ u̱n hyan-o̱ u̱n wu̱ cas cas.
JHN.9.8	Yan-bo̱r-se u̱n wu̱, u̱n ye̱ nape̱ wu̱ ne̱ n-ga, wu̱ ze̱e̱ u̱s-ko̱n à, ye̱ ze̱e̱ru̱, “¿Ka ne̱t-wu̱ wu̱ ka ro'e̱ m-she'et u̱n co̱w, wu̱ ro u̱s-ko̱n á?”
JHN.9.9	Ye̱ ken ye̱ ze̱e̱ru̱, “Wu̱ wu̱.”
JHN.9.9	Ye̱ ken ye̱ zee, “Ay, se̱ de̱ wu̱ sha'ag wu̱.”
JHN.9.9	Wu̱ ne̱, wu̱ se̱ngu̱ru̱ m-ze̱e̱, “Me̱ wu̱.”
JHN.9.10	Ye̱ ze̱e̱ru̱, “¿Re o̱ no̱me̱ yish ru upsu̱te̱?”
JHN.9.11	Wu̱ shasu̱ru̱, “Ka ne̱t-wu̱, wu̱ a m-ze̱e̱ Ye̱so à, wu̱ wu̱ wu̱rge̱ hu-mo̱ n-dak, wu̱ suku̱ru̱ me̱ u̱n yish. Wu̱ zee u̱m neke̱ re̱e̱no̱ kaw-o̱ o-Sirom u̱m sapt. U̱m neku̱ru̱, u̱m saptu̱ru̱, u̱m kumu̱ru̱ o-hyan.”
JHN.9.12	Ye̱ ze̱e̱ru̱ wu̱, “¿Ke ne̱ o̱ wu̱ ro̱?”
JHN.9.12	Wu̱ ze̱e̱ru̱ ye̱, “Me̱ nap á.”
JHN.9.13	Ye̱ heetu̱ru̱ 
JHN.9.14	U̱n 
JHN.9.15	-ne̱ citu̱ru̱ wu̱ bo̱ a no̱me̱ wu̱ kumut o-hyan à. Wu̱ ze̱e̱ru̱ ye̱, “Hu-mo̱ n-dak mo̱ wu̱ wu̱rge̱ à, mo̱ mo̱ wu̱ suke̱ me̱ u̱n yish. U̱m saptu̱ru̱, u̱m hyanu̱ru̱ cas.”
JHN.9.16	Remen kááne̱, ye̱ ken 
JHN.9.16	Ye̱ ken ye̱ ze̱e̱ru̱, “¿Re ne̱ o̱ ko-wa-
JHN.9.16	Ma-u̱t su̱nu̱tu̱ ye̱ o̱ ka.
JHN.9.17	Ye̱ ja'asu̱ru̱ m-cit u̱n ko-po̱, “Wo̱ ne̱, ¿ya o hyane̱ mo̱sse̱ u̱n wu̱ ne̱ wo̱ wu̱ a upse̱ yish à?”
JHN.9.17	Wu̱ ze̱e̱ru̱, “Wan-rwo̱r u̱n Ma-to̱ Shir wu̱.”
JHN.9.18	Se̱k-ye̱ be-de u̱n 
JHN.9.19	Ye̱ citu̱ru̱ ye̱ mate̱ wu̱ à, “¿Wu̱ ka wà no̱ wu̱, wu̱ a zee u̱nze a u̱n mat wu̱ ko-po̱? ¿To̱, re o̱ ka u̱n ya wu̱ hyente̱ m-mo̱ka?”
JHN.9.20	Tat-ne̱ ye̱ u̱n wu̱ shasu̱ru̱, “Te̱ nak wu̱ ka wà te̱ wu̱ komo ko-po̱-wu̱ a mate̱ wu̱. 
JHN.9.21	Amba bo̱ a no̱me̱ wu̱ kumut o-hyan à, te̱ nap á. Te̱ nap ma wu̱ upse̱ yish-ye̱ u̱n wu̱ á. Cit no̱ wu̱. Ai, wu̱ bo̱'o̱ssu̱te̱ m-rwo̱r u̱n hi u̱n de u̱n wu̱.” 
JHN.9.22	Tat-ne̱ u̱n wu̱ u̱n rwo̱r kaane̱ remen gye̱r-o̱ u̱n Se̱k-ye̱ be-de u̱n 
JHN.9.23	O̱ hante̱ tato u̱n wu̱ ne̱ zet, “Wu̱ bo̱'o̱ssu̱te̱. Cit no̱ wu̱.”
JHN.9.24	Se̱k-ye̱ u̱n 
JHN.9.25	Wu̱ ze̱e̱ru̱ ye̱, “Ko̱ 
JHN.9.26	Ye̱ ze̱e̱ru̱ wu̱, “¿Ya wu̱ no̱mu̱ wo̱ ne̱? ¿Re o̱ wu̱ no̱me̱ wu̱ upsu̱tu̱ wo̱ yish?”
JHN.9.27	Ko-po̱ shasu̱ru̱ ye̱, “U̱m ru̱ssu̱te̱ no̱. No̱ ho̱ge̱ á. ¿Remen yan o̱ no̱ cu̱nte̱ m-ho̱ge̱ tomso? ¿Ko̱ no̱ u̱n cen no̱, no̱ u̱n co̱n o̱ no̱ warag yan-neke̱-mo̱ u̱n wu̱?”
JHN.9.28	Ye̱ he̱'e̱nu̱ru̱ wu̱ u̱t-re̱e̱b. Ye̱ ro̱ wu̱ m-ze̱e̱, “Wo̱ wu̱ de̱ ro̱ wan-dor-o̱ u̱n ka ne̱t-wu̱, te̱ yan-dor 
JHN.9.29	Te̱ nepse̱ Shir no̱mo̱g u̱t-ma u̱n 
JHN.9.30	Ka ne̱t-wu̱ shasu̱ru̱ ye̱, “Caane̱ hyat-to̱ ka! No̱ nap be-de wu̱ rwu̱u̱ne̱ á, amba ne̱ wu̱ upsu̱ssu̱te̱ me̱ yish! 
JHN.9.31	A nepste̱, Shir ro̱ u̱n rege̱ u̱n ya-u̱t-
JHN.9.32	Cin da-o̱ Shir takne̱ no̱m u̱n ho̱no o-dak à, a tak m-ho̱ge̱ ne̱t-wu̱ upse̱ yish-ye̱ u̱n ne̱t-wu̱ a mate̱ ko-po̱ á. 
JHN.9.33	A rotte̱ u̱nze ka ne̱t-wu̱, be-de Shir o̱ wu̱ rwu̱u̱ne̱ á, yatt-yo wu̱ roa hoks m-no̱m á.”
JHN.9.34	Ye̱ shasu̱ru̱ wu̱, “Wo̱ wu̱ a mate̱ n-me̱ u̱n comb-o̱ u̱t-
JHN.9.35	Bo̱ Ye̱so ho̱gu̱te̱ u̱nze ye̱ yanag ka wu̱ a upse̱ yish à, wu̱ hyanu̱ru̱ wu̱. Wu̱ ze̱e̱ru̱, “¿O she̱re̱g hur u̱n du u̱n 
JHN.9.36	Wu̱ shasu̱ru̱ wu̱, “Go̱s-wu̱, ru̱ru̱ me̱ wu̱, wu̱ ro̱ à, u̱m she̱re̱t hur u̱n de be-de u̱n wu̱.”
JHN.9.37	Ye̱so ze̱e̱ru̱ wu̱, “Ai, o hyanag wu̱. Wu̱ wu̱ ro̱ u̱t-ma u̱n wo̱ ne̱.”
JHN.9.38	Wu̱ ze̱e̱ru̱, “Wan-Ko̱yan, u̱m she̱re̱g hur u̱n de be-de u̱n du.” Wu̱ kwu̱ktu̱ru̱ u̱n co-o̱ u̱n wu̱.
JHN.9.39	Ye̱so ze̱e̱ru̱, “Me̱ u̱n co̱wo̱n u̱n ho̱no o-dak, remen u̱m piishté̱ hun-ne̱ ye̱ u̱n ho̱no o-dak u̱t-ma. U̱m haante̱ remen ye̱ ro̱ m-hyan á, ye̱ hyenet, komo ye̱ ro̱ m-hyanu̱ ne̱ à, ye̱ waragté̱ po̱-ne̱.”
JHN.9.40	Ye̱ ken 
JHN.9.41	Ye̱so ze̱e̱ru̱ ye̱, “Ai, u̱ rotte̱ u̱nze po̱-ne̱ ye̱ no̱ ro̱, 
JHN.10.1	“Me̱ no̱ m-ru̱re̱ o-nip, ne̱t-wu̱ cu̱we̱ so̱ u̱n ish-o̱ u̱n kuke̱-o̱ u̱n ca á, wu̱ daanu̱ru̱ raag-o̱ u̱r-hek, ka ne̱t-wu̱ ko-hyow-wu̱, ko-wa-u̱r-kwu̱p. 
JHN.10.2	Ne̱t-wu̱ co̱wne̱ ne̱ so̱ u̱n ish à, wan-gu̱t-de u̱n ca wu̱. 
JHN.10.3	Wan-'er-de u̱n ish wu̱ ro̱ wu̱ m-tikse̱. Ye̱ge̱-ca komo ne̱ ye̱ ro̱ u̱n raag u̱t-to̱ u̱n co̱r-o̱ u̱n wu̱. Wu̱ ro̱ u̱n aag u̱n jin-to̱ u̱n ca-ye̱ u̱n wu̱, wu̱ ruut ye̱ n-do̱. 
JHN.10.4	Wu̱ ruuse̱ kap ye̱ ma u̱n wu̱ n-do̱, wu̱ gaaru̱ co-o̱ u̱n ye̱. Komo ca ro̱ u̱n do̱nd u̱n jim-de u̱n wu̱ remen ye̱ nepste̱ co̱r-o̱ u̱n wu̱. 
JHN.10.5	Ye̱a do̱re̱ wu̱ ro̱ ko-hamat á. Se̱ songon-mo̱ u̱n wu̱ ye̱ hette̱, remen, ye̱ nap co̱r-o̱ u̱n wu̱ á.”
JHN.10.6	Ye̱so nomu̱te̱ ye̱ sha-mo̱ u̱t-ma, amba ye̱ nap ka ma-to̱ á.
JHN.10.7	Remen kááne̱ Ye̱so ze̱e̱ru̱ ye̱, “Me̱ no̱ m-ru̱re̱ o-nip me̱ wu̱ ro̱ ish-o̱ u̱n kur-o̱ u̱n ca. 
JHN.10.8	Kap wu̱ ba'e̱ me̱ m-wo̱o̱n be-de u̱n ca à, ko-hyow-wu̱, wan-kwu̱p-de u̱n hun-ne̱. Amba, ca ro̱ m-was u̱n wu̱ ne̱ á. 
JHN.10.9	Me̱ wu̱ ro̱ ish. Ko̱wan ne̱t-wu̱ co̱wne̱ be u̱n de, man gu wu̱. Wu̱a she'et sasa, wu̱ kum u̱t-re̱. 
JHN.10.10	Ko-hyow ro̱ m-haan temb rem u̱r-hyow, u̱r-ho̱ ne̱ m-naas ne̱. Me̱ u̱n haan, remen hun-ne̱ kumut ho̱o̱g-m shiishe̱.
JHN.10.11	“Me̱ wu̱ ro̱ wa-u̱r-gu̱t-wu̱ o-nip. Wa-u̱r-gu̱t-wu̱ o-nip komo wu̱ ro̱ u̱n ya'as u̱n ho̱o̱g-o̱ u̱n wu̱ remen ca-ye̱ u̱n wu̱. 
JHN.10.12	Wa-u̱r-gu̱wu̱s wan-gu̱t-de u̱r-bon wu̱ á. Ca tomso, ye̱ ma u̱n wu̱ ye̱ á. Da-o̱ wu̱ hyene̱ o-dur, wu̱ ho'osu̱ru̱ ca. Wu̱ argu̱ru̱ m-so̱m, wu̱ guut ho̱o̱g-o̱ u̱n wu̱. Dur-o shipu̱ru̱ ye̱ ken be-de u̱n ye̱. Ye̱ kuse̱ à, ye̱ cakku̱ru̱ u̱n ho̱n u̱n ho̱n. 
JHN.10.13	Wu̱ wa-u̱r-gu̱wu̱s, wu̱ ro̱ m-was u̱n ca ne̱ á.
JHN.10.14	“Me̱ wu̱ ro̱ wa-u̱r-gu̱t-wu̱ u̱r-bon. U̱m nak ye̱ ma re. Ye̱ ma re komo ne̱, ye̱ nepse̱ me̱. 
JHN.10.15	Bo̱ Tato-o nape̱ me̱ à, ka bo̱-se ne̱ o̱ u̱m nape̱ wu̱. Me̱n ya'as u̱n ho̱o̱g re remen ca re.
JHN.10.16	Me̱ u̱n ye̱ ken ca-ye̱ ne̱ ye̱ ro̱ u̱n o̱ ka kur-o̱ á. Se̱ u̱m hantu̱te̱ ye̱. Ye̱a ho̱ge̱ co̱r re. Ka da-de, ye̱a she'et kur-o gaan, wa-u̱r-gu̱t wan-gaan. 
JHN.10.17	Remen kááne̱ o̱, Tato re waste̱ u̱n me̱ ne̱ remen mar-mo̱ u̱m he'e̱, remen u̱m ineté̱ komo à. 
JHN.10.18	Yatt-wu̱ he rumus u̱n ho̱o̱g re á, amba u̱n co̱n-m re o̱ u̱m hette̱ mo̱ m-ya'as. Me̱ o-co̱w ne̱, u̱m ya'aste̱ mo̱. Me̱ o-co̱w ne̱ komo yo u̱m hette̱ mo̱ m-de̱ke̱n à. Tato re ze̱e̱ u̱m nom kááne̱.”
JHN.10.19	Komo ma-u̱t su̱nu̱ru̱ be-de u̱n se̱k-ye̱ u̱n 
JHN.10.20	Hun-ne̱ u̱t-mo̱o̱r ne̱ be-de u̱n ye̱ ze̱e̱ru̱, “Ai, wu̱ ro̱ u̱n 
JHN.10.21	Ye̱ ken ye̱ ze̱e̱ru̱, “Ka ma-to̱ hwaa, ma-to̱ u̱n 
JHN.10.22	Da-o̱ o-hu̱w o̱, 
JHN.10.23	Ye̱so ro m-arag u̱n sak-o 
JHN.10.24	Se̱k-ye̱ be-de u̱n 
JHN.10.25	Ye̱so shasu̱ru̱ ye̱, “U̱m ru̱ssu̱tu̱ no̱, amba no̱ she̱r á. Rem-se u̱t-hyat se me̱ m-no̱m à, me̱ m-no̱m u̱n be̱e̱b-u̱r Tato re. Se ro̱ me̱ m-su̱'e̱. 
JHN.10.26	Amba no̱, no̱ de̱k ma-u̱t re á, remen no̱ n-me̱ u̱n ca re á. 
JHN.10.27	Ca re ye̱ ro̱ u̱n raks u̱n co̱r re. U̱m nepste̱ ye̱. Ye̱ ro̱ me̱ tomso ne̱ m-do̱re̱. 
JHN.10.28	Me̱ ye̱ m-'ya u̱n ho̱o̱g-o̱ ba m-ta. Ye̱a sabre̱ á, har da-o̱ ba m-ta. Wan-rumus-mo̱ u̱n ye̱ ro̱ ko̱n u̱n kom-u̱t re á. 
JHN.10.29	Tato re wu̱ ya'ase̱ me̱ ka ca-ye̱ à, wu̱ jiishte̱ ko̱wan kap u̱t-go̱s. Yatt-wu̱ he hoks m-rumus u̱n ye̱ u̱n kom-u̱t Tato re á. 
JHN.10.30	U̱n me̱ u̱n Tato re, gaan te̱ ro̱.”
JHN.10.31	Se̱k-ye̱ be-de u̱n 
JHN.10.32	Ye̱so ze̱e̱ru̱, “U̱m kutute̱ no̱ rem-se u̱r-bon de̱e̱n se u̱n Tato re. ¿Be-de u̱n se ke rem-se, se ne̱ no̱ hette̱ me̱ m-jir?”
JHN.10.33	Ye̱ ze̱e̱ru̱, “Yanze remen rem-u̱s ru se u̱r-bon se te̱ hette̱ wo̱ m-jir á, se̱ de̱ remen o yo'ogte̱ Shir. Wo̱ ka ne̱ ne̱t-wu̱, amba wo̱ m-mus u̱n hi u̱n du Shir.”
JHN.10.34	Ye̱so ze̱e̱ru̱ ye̱, “Gense̱ to̱ ro̱ n-me̱ u̱n 
JHN.10.35	To̱, a nepste̱ Ma-to̱ Shir to̱ ro̱ o-nip ba m-ta. Komo Shir ak ka hun-ne̱ ye̱ ‘ye̱ge̱-shir,’ ka hun-ne̱ ye̱ wu̱ ya'ase̱ Ma-to̱ u̱n wu̱ à. 
JHN.10.36	Me̱ wu̱ Shir daage̱ à, wu̱ to̱mo̱n u̱n ho̱no o-dak à, ¿Ya no̱ hette̱ m-ze̱e̱ u̱m yo'ogte̱ Shir remen u̱m ak hi u̱n de ‘
JHN.10.37	U̱rege̱ me̱ m-no̱m bo̱ Tato re ro̱ m-no̱m á, to̱, no̱ jar no̱ she̱r hur-u̱t no̱ u̱n me̱ á. 
JHN.10.38	Amba u̱rege̱ ne̱ no̱ hyanag me̱ m-no̱m bo̱ Tato re ro̱ m-no̱m à, ¿remen yan o̱ no̱ she̱rte̱ hur-u̱t no̱ u̱n me̱ ne̱ á? Ko̱ go̱n se̱nge̱-mo̱ me̱ m-no̱m à, mo̱ bo̱'o̱ssu̱te̱ no̱ nept m-so̱k ne̱, u̱nze Tato re ro̱ be u̱n de, me̱ komo ne̱ be-de o-Tato.” 
JHN.10.39	Ye̱ ja'asu̱ru̱ m-se̱nge̱, ye̱ shipt wu̱. Wu̱ possu̱ru̱ u̱n kom-to̱ u̱n ye̱. Ye̱ hoks wu̱ m-bo̱p á.
JHN.10.40	Ka da-de ne̱, wu̱ dooru̱ m-warag u̱n pesto-de u̱n Ro̱o̱g-o̱ o-Joda be-de 
JHN.10.41	Hun-ne̱ haanu̱ru̱ be-de u̱n wu̱ u̱t-mo̱o̱r ne̱. Ye̱ de̱ku̱ru̱ m-ze̱e̱, “Nip-o̱, 
JHN.10.42	Káne̱ o̱ hun-ne̱ u̱t-mo̱o̱r ne̱ she̱re̱ hur-de u̱n ye̱ be-de u̱n wu̱.
JHN.11.1	Wu̱ ken ne̱t-wu̱ jin-de u̱n wu̱ Razarus ru̱kt go̱m. Wu̱ she'ette̱ u̱n bo̱-o̱ o-Betanya, mo̱sse̱ u̱n 
JHN.11.2	Ka 
JHN.11.3	Ka ne'a-ne̱ ye̱, se̱k-ye̱ ne̱ u̱n wu̱ ne̱ to̱mu̱ru̱ be-u̱r Ye̱so, ye̱ ze̱e̱ru̱, “Go̱s-wu̱, ka ne̱t-wu̱, wu̱ o ro̱ m-was u̱n wu̱ ne̱ à, wu̱ ho̱ge̱ m-re̱re̱m á.”
JHN.11.4	Bo̱ Ye̱so ho̱gu̱te̱ kááne̱ à, wu̱ ze̱e̱ru̱, “Ka go̱m-o̱, go̱m-o̱ m-mar o̱ á, remen a se̱ke̱msu̱té̱ Shir o̱, a se̱ke̱mse̱ tomso ne̱ 
JHN.11.5	Ye̱so ro u̱n was u̱n Marta ne̱ u̱n 
JHN.11.6	To̱, bo̱ wu̱ ho̱gu̱te̱ Razarus u̱ ho̱ge̱ m-re̱re̱m á, wu̱ rewu̱ru̱ ho̱-u̱t yoor.
JHN.11.7	Ka da-de, wu̱ ze̱e̱ru̱ yan-neke̱-mo̱ u̱n wu̱, “A warag no̱ dak-o̱ o-Judiya.”
JHN.11.8	Yan-neke̱-mo̱ u̱n wu̱ ye̱ ze̱e̱ru̱, “Wa-u̱s-Nap, u̱n ka ho̱-to̱ se̱k-ye̱
JHN.11.9	Ye̱so shasu̱ru̱, “¿Rwu̱u̱n-mo̱ u̱r-ho̱ u̱n 'he̱be̱-mo̱ u̱n de ne̱ taase u̱r-ho̱ o̱ ka ka? Bo̱n wu̱ ro̱ u̱r-hew m-ho̱w à wu̱ ro̱ m-ma'as u̱t-pu̱kse̱ á, remen wu̱ ro̱ m-hyan cas. 
JHN.11.10	Amba bo̱n wu̱ ro̱ u̱r-hew m-te̱t à wu̱a ma'as u̱t-pu̱kse̱ remen cecas-m ro̱ ko̱n á.”
JHN.11.11	Bo̱ wu̱ ru̱rte̱ kááne̱ à, wu̱ dooru̱ m-ze̱e̱, “Wan-yen na Razarus ro̱ m-rew, amba me̱ m-ha m-'yons wu̱.”
JHN.11.12	Yan-neke̱-mo̱ u̱n wu̱ ze̱e̱ru̱ wu̱, “Go̱s-wu̱ te̱, u̱rege̱ de̱ u̱nze rew-mo̱ kwo̱su̱ wu̱, ai, mo̱a pyesse̱.” 
JHN.11.13	Ye̱ napu̱ ne̱ u̱nze, ma-to̱ u̱n mar-m Razarus Ye̱so ro̱tte̱ á. Ye̱ de̱ku̱ru̱ u̱nze rew-mo̱ wu̱ ro̱tte̱.
JHN.11.14	Remen kaane̱ Ye̱so ru̱ru̱ ye̱ cas, “Razarus mereste̱. 
JHN.11.15	Me̱ o-zak bo̱ me̱ rokne̱ káne̱ be-de u̱n wu̱ á, remen no̱ she̱re̱t. Amba a neke̱ no̱ be-de u̱n wu̱.”
JHN.11.16	Se̱ Toma, wu̱ a m-ze̱e̱ 
JHN.11.17	Bo̱ Ye̱so woote̱ à, wu̱ 'wo̱ss Razarus nomoste̱ ho̱-u̱t nass u̱n saag. 
JHN.11.18	O-Betanya yow yow o-Urusharima ne̱ o̱, o̱ ro̱ u̱ntu̱n me̱r-u̱t yoor [kiromita 3]. 
JHN.11.19	-ne̱ haanu̱ru̱ u̱t-mo̱o̱r ne̱. Ye̱ haante̱ remen ye̱ gasté̱ Marta ne̱ u̱n 
JHN.11.20	Bo̱ Marta ho̱gu̱te̱ u̱nze Ye̱so ro̱o̱n à, wu̱ haaru̱ wu̱ m-gonte̱. 
JHN.11.21	Bo̱ wu̱ go'one̱ u̱n Ye̱so ne̱ à, Marta ze̱e̱ru̱ Ye̱so, “Go̱s-wu̱, wo̱ rokonte̱, heno te̱ Razarus wu̱ roa mer á. 
JHN.11.22	Amba ko̱ m-mo̱ka u̱m nepste̱ ko̱yan o ko̱ne̱ be-de Shir, wu̱a nomo wo̱.”
JHN.11.23	Ye̱so ze̱e̱ru̱ wu̱, “Heno ru a inu̱sse̱ komo.”
JHN.11.24	Marta ze̱e̱ru̱ wu̱, “U̱m nepste̱ wu̱a inu̱sse̱ ine̱-mo̱ m-margan ne̱ ho̱-de u̱r-ko̱m.”
JHN.11.25	Ye̱so ze̱e̱ru̱ wu̱, “Ai, me̱ wu̱ ro̱ ine̱-mo̱ u̱n margan-ne̱. Me̱ wu̱ ro̱ ho̱o̱g. Ne̱t-wu̱ she̱re̱ hur-de u̱n wu̱ u̱n me̱ à, ko̱ wu̱ mer, wu̱a inu̱sse̱. 
JHN.11.26	Ne̱t-wu̱ ro̱ ne̱ u̱n ho̱o̱g ne̱ à, wu̱ she̱re̱ hur-de u̱n wu̱ be u̱n de à, wu̱ he de m-mar á har da-o̱ ba m-ta. ¿Wo̱ Marta wo̱ m-she̱r u̱n ma-u̱t re?”
JHN.11.27	Marta ze̱e̱ru̱ wu̱, “O̱ho̱, Go̱s-wu̱, u̱m sheru̱ste̱ hur u̱n de, wo̱ ro̱ 
JHN.11.28	Bo̱ Marta ru̱rte̱ kaane̱ à, wu̱ haaru̱, wu̱ agnu̱ru̱ se̱k-wu̱ u̱n wu̱ 
JHN.11.29	 ne̱ komo, bo̱ wu̱ ho̱gu̱te̱ kááne̱ à, wu̱ inu̱ru̱ ho̱r-m-ho̱r, wu̱ kawu̱ru̱ be-de Ye̱so ro à. 
JHN.11.30	Ye̱so u̱n go̱ wo̱o̱n o-bo̱ tokon á. Har m-mo̱ka wu̱ ro̱ be-de Marta gonte̱ wu̱ à. 
JHN.11.31	Hun-ne̱ ro be-u̱r 
JHN.11.33	Bo̱ Ye̱so hyente̱ wu̱ ro u̱s-'wo̱n à, 
JHN.11.34	Ye̱so ze̱e̱ru̱ ye̱, “¿Ke ne̱ o̱ no̱ jo̱ku̱ wu̱?”
JHN.11.34	Ye̱ ze̱e̱ru̱ Ye̱so, “Go̱s-wu̱, haan o gu̱t.”
JHN.11.35	Ye̱so 'wo̱nu̱ru̱.
JHN.11.36	Remen kááne̱ hun-ne̱ ze̱e̱ru̱, “Gwo̱t bo̱ wu̱ wasse̱ u̱n wu̱ ne̱ à!”
JHN.11.37	Ye̱ ken ye̱ be-de u̱n ka hun-ne̱ ye̱ ze̱e̱ru̱, “¿U̱ no̱m te̱ ka, ka ne̱t-wu̱, wu̱ ka upse̱ yish-ye̱ u̱n ko-po̱ á? ¿Wu̱ roa hoks we̱n u̱n Razarus m-mar á?”
JHN.11.38	Ye̱so dooru̱ hyan u̱r-'wo̱n u̱n me̱n-to̱ u̱n wu̱. Wu̱ wo̱o̱nu̱ru̱ u̱n saag. Ka saag-o̱ ne̱ pak-o̱ u̱t-ta'ar o̱ u̱n o̱ ken ta'ar-o̱ a tige̱ u̱n ish-o̱ u̱n o̱. 
JHN.11.39	Ye̱so ze̱e̱ru̱, “Dos no̱ ka ta'ar-o̱.”
JHN.11.39	Marta, wu̱ se̱k-wu̱ u̱n wu̱ mare̱ à, wu̱ ze̱e̱ru̱, “Go̱s-wu̱ re, wu̱a nomos wu̱s m-mo̱ka, remen ho̱-u̱t nass to̱ ka wu̱ caane̱ bo̱ m-mar.”
JHN.11.40	Ye̱so ze̱e̱ru̱, “¿Me̱ ru̱ru̱ wo̱ o̱ á, u̱m zee wo̱ she̱r hur u̱n du u̱n me̱ ne̱, wo̱a hyen se̱ps-mo̱ Shir à?”
JHN.11.41	Ye̱ dossu̱ru̱ o-ta'ar. Ye̱so dassu̱ru̱ u̱r-hi n-to̱n. Wu̱ ze̱e̱ru̱, “Tato re, u̱m bo̱mo̱g wo̱ remen o regu̱te̱ me̱ u̱t-to̱. 
JHN.11.42	U̱m nepste̱ ko̱ da u̱n ke o ro̱ me̱ u̱n ke'e̱ u̱t-to̱. Amba me̱ u̱n rwo̱r remen hun-ne̱ ye̱ ro̱ kàne̱ eso eso à, remen ye̱ she̱re̱t hur-de u̱n ye̱ u̱nze wo̱ wu̱ to̱mnu̱ me̱.”
JHN.11.43	Bo̱ wu̱ ru̱rte̱ kááne̱ à, wu̱ 'yonsu̱ru̱ u̱s-co̱r de̱e̱n, wu̱ ze̱e̱ru̱, “Razarus, rwu̱u̱n!” 
JHN.11.44	Wu̱ mare̱ à wu̱ argu̱ m-rwu̱u̱n, na-se u̱n wu̱ u̱t-kom ne̱ gegu̱rse̱ u̱n wa-de o-gund, co-o̱ u̱n wu̱ yeresse̱ u̱n gund-de u̱n du̱k.
JHN.11.44	Ye̱so ze̱e̱ru̱, “Us no̱ wu̱, wu̱ arag!”
JHN.11.45	Ka 
JHN.11.46	Amba ye̱ ken ye̱ be-de u̱n ye̱ argu̱ru̱ m-ha be-de u̱n 
JHN.11.47	Remen kááne̱ Gwo̱mo-ne̱ ye̱ u̱n ko̱n-se Shir u̱n 
JHN.11.47	Ye̱ ze̱e̱ru̱, “¿Ya u̱n yo ne̱ a no̱ m-no̱m? Gwo̱t no̱ saw-to̱ u̱t-hyat to̱ wu̱ ro̱ m-nom à! 
JHN.11.48	A yage̱ wu̱ kááne̱, ko̱wan wu̱a sher u̱r-hur u̱n wu̱. 
JHN.11.49	Amba wan-gaan be-de u̱n ye̱, wu̱ a m-ze̱e̱ Ke̱pas à, wu̱ wu̱ ro ko-Gwo̱mo-wu̱ u̱n ko̱n-se Shir u̱n ka hak-o̱, wu̱ ze̱e̱ru̱, “No̱ de̱ no̱ nap to̱ no̱ m-rwo̱r á 
JHN.11.50	¿No̱ m-gwo̱t á? Ai, jiishtu̱ no̱ wan-gaan mer o̱tte̱ kap mo̱ u̱n hun-ne̱ merme̱ à.”
JHN.11.51	Yanze remen co̱n-mo̱ u̱n wu̱ o̱ wu̱ ru̱rte̱ kááne̱ á, se̱ de̱ u̱ntu̱n wu̱ ro ko-Gwo̱mo-wu̱ u̱n ko̱n-se Shir à, Shir u̱n kute̱ wu̱, wu̱ ru̱r ka ma-to̱ wu̱ zee Ye̱so a mer remen 
JHN.11.52	Yanze ne̱ remen 
JHN.11.53	Bo̱ u̱n ka ma-to̱ u̱n ka ho̱-de, ye̱ to̱o̱ru̱ u̱t-hun remen ye̱ hoot Ye̱so. 
JHN.11.54	Remen kááne̱, Ye̱so do m-rwu̱u̱n u̱r-buk cas be-de u̱n 
JHN.11.55	A kane̱, 
JHN.11.56	Ye̱ ze̱e̱ru̱ hoob-o Ye̱so, ye̱ ro̱ eso eso u̱n 
JHN.11.57	Hun-ne̱ ma'asu̱ hoob-o Ye̱so, remen Gwo̱mo-ne̱ ye̱ u̱n ko̱n-se Shir u̱n 
JHN.12.2	Ye̱ no̱mu̱ru̱ rii-yo m-re̱ yo m-te̱t remen ye̱ hwo̱o̱g Ye̱so u̱r-ke̱e̱r. Marta wu̱ no̱me̱ rii-yo m-re̱. Razarus ne̱ ye̱ ro m-re̱ be-u̱r gaan u̱n Ye̱so ne̱. 
JHN.12.3	Ka da-de ne̱, 
