MAT.1.1	Kalara
JHN.7.10	Eyòṅ babënyaṅ bëngabed a abog, ndò fë nyè abed, hë da, së ki a ngëëṅ, (angabed) hë anë asoe. 
JHN.7.11	Yuden
JHN.7.12	Enyënyam entoa a minkunda hë etòm dzie. Bëvòg bëdzoo na: anë mbëmbë mod, bëfë bëdzoo na: Kokoa, adug bod. 
JHN.7.13	Tò hm nala, tègè ai e mod akòbò adzo die a yob, ai e wòṅ bëmbarëga Yuden. 
JHN.7.14	Abog angayi kui anë a zaṅ hali, ndò Yesus angabed a tempel, angayëgëlë. 
JHN.7.15	Yuden bëngakam, bò na: Eyë e nyò ayëm kalara he, tègè ai na angayègè? 
JHN.7.16	Yesus nyè na: ṅyëgëlan wama wawoge ki ai ma; onë e hi e nyò angalom ma. 
JHN.7.17	Ngë mod ayi na abò ṅyian woe, ayi yëm ngë ṅyëgëlan wasò abë Zamba, ngë ki na makòbò ai ngul dzama mamen. 
JHN.7.18	E mod akòbò ai ngul dzie, adzëṅ duma die. E nyò adzëṅ duma e mod angalom nyè, e nyòlò te anë sosoo, ndò fë ebom-kama esëki abë nyè. 
JHN.7.19	Së Moses ṅnyè angavë mina mvende a? Hë da, tò mbòg ya abë mina abaala ki mvende. A dze miadzëṅ na miawoe ma? 
JHN.7.20	Ndò nkunda ongayalan na: Onë ai mbë nsisim. Za adzëṅ na awoe wa? 
JHN.7.21	Yesus nyè ai bò na: Maabò hë mboan mbòg
JHN.7.22	Asu te Moses angavë mina akele, -së ki na lasò abë Moses, lasò a bëtara- ndò miakele bod a sabbat. 
JHN.7.23	Ngë bakele bod a amos sabbat asu yë na të mvende Moses yasole, ma miawog ai nyè olun, mbol mëbò nguma mod mvoè a sabbat nga? 
JHN.7.24	Të miabëbë bod a asu eyòṅ miatsig ntol; mitsigi ntol sosoo.
JHN.7.25	Bod bëziṅ ya Yerusalem bëngadzo na: Së e mod nyò ṅnyè badzëṅ na bawoe a? 
JHN.7.26	Bëbëgë, akòbò a ngëëṅ, bò tègè nyè fèd. Dze, yë bëdzoe bëyëm ya ana na anë Kristus nga? 
JHN.7.27	Dzam da, biayëm mfag asò. Eyòṅ Kristus ansòò, mod ayi ki yëm mfag asò. 
JHN.7.28	Ndò Yesus angabam eyòṅ ayegëlë a tempel, nyè na: Miayëm fò ma, miyëmë fë mfag masò. Hë da, mandzëki sòṅ ai mamen; e nyò angalom ma anë sosoo, ṅnyè miayëm ki. 
JHN.7.29	Ma mayëm nyè, amu masò abë nyè, ndò fë, ṅnyè angalom ma. 
JHN.7.30	Bëngadzëṅ hm na babi nyè, hë tègè ai e mod afudi nyè wò a nyòl, amu hala awola die abë ki sò. 
JHN.7.31	Abui dzam ya nkunda ha bëngayëbë nyè bëngadzo na: Yë Kristus ayi fò bò mam alodo e mod nyò eyòṅ ayi sò nga?
JHN.7.32	Eyòṅ bëfarisea bëngawog nkunda olaṅëdan ai e mam ma asu die, ndò bëfada bënen ai bëfarisea bëngalom bod bisye na bëbi nyè. 
JHN.7.33	Yesus nyè na: Mëngënë ai mina etun abog, abog te mëdugan abë e nyò angalom ma. 
JHN.7.34	Miayi ma dzëṅ, tègè ma yen, ndò fë, mfag mayi tòbò, miasëki dzam sò. 
JHN.7.35	Yuden bëngadzo bò a bò na: E nyò ayi na akë ve, e kan ya biasëki nyè dzam sòm? Dze yë ayi na akë a mbole bë Grek
JHN.7.36	Ebug ahë dzo dzi na: Miayi ma dzëṅ, hë tègè ma yen, ndò fë, mfag mayi tòbò, miasëki dzam kë we, nala watyan ya?
JHN.7.37	Amos mvua ya abog
JHN.7.38	E mod ayëbë ma, anë Mfufub Ntilan ongadzo, “Asoe layi nyè so a abum, lësoege e mëndim mëvëë”. 
JHN.7.39	Angabë adzoo ai nsisim ya e bod bëngayëbë nyè bëyiigi bi. Amu hala nsisim wabë ki sò, tègè ai na Yesus abëlë ya duma.
JHN.7.40	Bod bëziṅ ya nkunda bëngayi wog e bibug bi, bò na: E mod nyò anë profet mfaṅ. 
JHN.7.41	Bod bëfë bò na: E nyò anë Kristus; bëfë bò na: Dze, yë Kristus ayi sò a Galilea? 
JHN.7.42	Nga Mfufub Ntilan wadzo na a mvòṅ David, ai a Betleem a dzal David, ngò Kristus ayi sò? 
JHN.7.43	Nkunda bod ontoa hm kiṅ mëndzaṅ etòm dzie. 
JHN.7.44	Bëvòg bëziṅ ya ete bëngayi na bëbi nyè, dzam da mod tègè nyè fudi mò a nyòl.
JHN.7.45	Ndò bod bisye bakë a bëfada bënen ai bëfarisea, bò ai bò na: Asu dze mibò të sòṅ ai nyè? 
JHN.7.46	Bod bisye bò na: Mod ziṅ abë ya ki kòbò e kan nyi. 
JHN.7.47	Bëfarisea bò na: Dze, yë mia mikë ya a ndzaṅ? 
JHN.7.48	Za ya a bëdzoe ngë ki bëfarisea atam ya nyè ṅyëbë hala? 
JHN.7.49	Nkunda bod ya wayëgan mvende hi onë ṅyoan. 
JHN.7.50	Nikodemus nyè ai bò na: (Ṅnyè angatari nyè sò yen osusua; angabë mbòg ya abë bò) 
JHN.7.51	Yë mvende dzaan yakpèè mod ngë bandzëki tari wog nkat woe, bëyëmë fë e dzam abò? 
JHN.7.52	Bò ai nyè na: Dze, yë wa onë fë mod ya Galilea? Këlë tsas, wayi yen na profet ziṅ atye ki a Galilea.
JHN.7.53	Ndò bëngadugan, anë mod a nda dzie.
JHN.8.1	Yesus nyè akëlë a nkol bile bi mbòn. 
JHN.8.2	Eyòṅ kidi engadugan lende, akëlë a tempel, bod bësë bëngazu abë nyè, ndò atòbò a si, angayëgëlë bò. 
JHN.8.3	Ndò bësaṅa bëkalara ai bëfarisea bazu ai mininga ya bëngadilan aboo ai fam, ndò batele nyè a zaṅ, 
JHN.8.4	bò ai nyè na: A ṅyëgëlë, e mininga nyò adiliban aboo ai fam a si. 
JHN.8.5	A mvende dzaan, Moses angabende na bëwoe kan mininga te ai ngòg. Mfag woe, wadzo ya? 
JHN.8.6	Bëngabë hm të bëdzoo e mam ma na babobolo nyè, asu yë na bëbi akalëga ya asòman nyè. Ndò të Yesus alumbu a si, angatil a mëtsò ai onyu. 
JHN.8.7	Mbol hm bëngabë bëyaag ai minsili, ndò anyoan, nyè ai bò na: E mod anë të ai nsëm abë mina, ṅnyè atarigi nyè lum ngòg. 
JHN.8.8	Ndò adugan lumbu, angatil a mëtsò. 
JHN.8.9	Eyòṅ e bod ba bëngawog nala, bëngasolan mbòm mbòg, atarigi ai minnom, ndò angaligi nyè etam ai e mininga nyò atëlë a zaṅ. 
JHN.8.10	Ndò Yesus anyoan, nyè ai nyè na: A mininga, bënë ve? Dze, yë mod andzëki wa kpè a nkat? 
JHN.8.11	Nyè na: Kokoa, a Nti. Yesus nyè ai nyè na: Tò ma, makpè ki wa a nkat. Këlëg, ndò hm, atarigi ana, të fë wabad sëm
JHN.8.12	Ndò Yesus adugan dzo ai bò na: Ma mënë mfyè si. E mod abye ma, ayi ki wulu a dibi. 
JHN.8.13	Bëfarisea bò ai nyè na: Mbòòlan woe osëki sosoo, ṅnyie anë wamen obòòlò wamen. 
JHN.8.14	Yesus nyè ai bò na: Tò a ki mabòòlò mamen, mbòòlan wama onë ete, amu mayëm mfag masò ai mfag makë. 
JHN.8.15	Mina miadzòs ai ntsogan nyòl, ma madzòs ki tò mod. 
JHN.8.16	Ndò hm ki, ngë matsig ntol, ntol wama onë ete mfaṅ, amu masëki etam; mënë ai e nyò angalom ma, Tara. 
JHN.8.17	A mvende dzaan, anë ntilan na: mbòòlan bod bëbè onë bëbëla. 
JHN.8.18	Mabòòlò mamen, e Tara angalom ma abòòlò fë asu dama. 
JHN.8.19	Ndò bakad nyè na: Esoa anë ve? Yesus nyè na: Tò ma, tò Tara, miayëm ki. Ngë miyëmë ma, ngë miayëm fë Tara. 
JHN.8.20	Angakòbò e mam ma a etun-nda ya banyie akuma, ayëgëlë a tempel. Mod ziṅan dzëki nyè bi, amu hala awola die abë ki kui.
JHN.8.21	Ndò adugan bò kad na: Ma, makë, ndò miayi ma dzëṅ; miayi fë wu a nsëm waan. Mfag makë, miasëki dzam sò. 
JHN.8.22	Yuden bëngadzo na: Dze, yë ayi woe emen, eyòṅ adzo di na «mfag makë, miasëki dzam sòṅ»? 
JHN.8.23	Nyè ai bò na: Mina, minë bod ya si, ma, mod ya yob. Mina, minë bod ya e si-ndon nyi, ma, masëki mod ya e si-ndon nyi. 
JHN.8.24	Mëkad mina na miayi wu a minsëm mian. Amu, ngë miayëbë ki na ma mënë, miayi wu a minsëm mian. 
JHN.8.25	Bò ai nyè na: Wa onë za? Yesus nyè ai bò na: Dze ben mawuwu ndzug akòbò ai mina? 
JHN.8.26	Mëbëlë abui mam ya mayean kòbò asu daan, mëtsigi ntol, dzam da, e mod angalom ma anë bëbëla, ndò e mam mëngawog abë nyè, mmò makad si-ndon. 
JHN.8.27	Bò tègè yëm na akòbò ai bò adzo esya. 
JHN.8.28	Yesus nyè ai bò na: Eyòṅ miayi yen mòn mod, eyòṅ te miayi yëm na ma mënë, ndò fë mabò ki dzom ziṅ ai ngul dzama, dzam da makòbò e kan ya Tara angayëgëlë ma. 
JHN.8.29	Ndò fë, e mod angalom ma anë ai ma; andzëki ma lig etam, amu mabò e dzi yanyëb nyè a nnëm kòm esë. 
JHN.8.30	Abui bod angayëbë nyè ai nkòban akobògò e mam ma.
JHN.8.31	Ndò Yesus adzo ai e Yuden bëngayëbë nyè na: Ngë mialaṅan ai ebug dzama, minë bëyègè bama mfaṅ. 
JHN.8.32	Miayi yëm bëbëla, bëbëla abò fë mina fili. 
JHN.8.33	Bò ai nyè na: Binë mvòṅ Abraham, ndò biabë ya ki bò mod ziṅ olò, tò eyòṅ. Eyë onë dzam dzo ya na: «Miayi bò fili»? 
JHN.8.34	Yesus nyè ai bò na: Amen, amen, makad mina na: E mod osë asëm, anë olò nsëm. 
JHN.8.35	Olò watòbò ki kole a nda, mòn ṅnyè atòbò ete kole. 
JHN.8.36	Ngë mòn ayi mina bò fili, miayi bò fili mfaṅ. 
JHN.8.37	Mayëm na minë mvòṅ Abraham. Dzam da, miadzëṅ na miawoe ma, amu ebug dzama yanyian ki abë mina. 
JHN.8.38	Makòbò e mam mëngayen abë tara. Mina fë, boan e mam mingawog abë tara.
JHN.8.39	Bò ai nyè na: Esya waan ṅnyè anë Abraham. Yesus nyè ai bò na: ngë mitoa bòn bë Abraham, ngë miabò mimboan mie. 
JHN.8.40	Etoa dzi, miadzëṅ na miawoe ma, e ma ya mëkad mina e bëbëla mëngawog abë Zamba. Abraham andzëki bò nala. 
JHN.8.41	Mina, miabò mimboan mi esya waan. Bò ai nyè na: Biandzëki byali a ngòbinda. Bibëlë esya mbòg, Zamba. 
JHN.8.42	Yesus nyè ai bò na: Ngë Zamba atoa esya waan, ngë miadiṅ ma, amu mëngasò abë Zamba, ndò fë madugan we. Amu, mandzëki sòṅ ai mamen, ṅnyè angalom ma. 
JHN.8.43	Asu dze miawog ki ayëgëlë dama? Kë amu miasëki dzam vogolo ebug dzama. 
JHN.8.44	Mina, miasò abë esya waan, Satan, ndò miadiṅ na miabò ṅyian waan. Ṅnyè anë hm ṅwoe bod atarigi a mëtari, ndò atëlë ki a bëbëla, amu bëbëla asëki abë nyè. Eyòṅ akòbò minnal, akòbò mam moe, amu anë mod minnal, atoa fë esya minnal. 
JHN.8.45	Mfag ya abë ma, miayëbë ki ma mbol makòbò bëbëla. 
JHN.8.46	Za ya abë mina ayi ma tam sama etòm nsëm? Ngë makòbò bëbëla, asu dze miayëbë ki ma? 
JHN.8.47	E mod asò abë Zamba avogolo bibug bi Zamba. Asu te miavogolo ki, amu miasëki bod bë Zamba.
JHN.8.48	Yuden bò ai nyè na: Biandzë toan dzo na: Onë man Samaritan
JHN.8.49	Yesus nyè na: Mabëlë ki mbë nsisim, dzam da, makam Tara. Mina miabyandi ma. 
JHN.8.50	Ma madzëṅ ki duma dama. E mod adzëṅ, atsigi ntol, anë. 
JHN.8.51	Amen, amen, makad mina, ngë mod abaala ebug dzama, ayi ki yen awu tò eyòṅ. 
JHN.8.52	Yuden bò ai nyè na: Bingayëm ya fò na obëlë mbë nsisim. Abraham angawu, bëprofet bëwuu fë, wa na: Ngë mod abaala ebug dzama, ayi ki wodan awu tò eyòṅ. 
JHN.8.53	Dze, yë walod e Tara waan Abraham ya angawu? Bëprofèt bëngawu fë. Wavëg na onë za ben? 
JHN.8.54	Yesus nyè na: Ngë mavë mamen duma, duma dama lasëki dzom. Esya wama ṅnyè avë ma duma, ṅnyè miadzo na anë Zamba waan, 
JHN.8.55	dzam da, miayëm ki nyè. Ngë madzo ana na, mayëm ki nyè, mëntoa mod minnal anë mina. Ndò hm, mayëm nyè, ndò fë mabaala ebug dzie. 
JHN.8.56	Esya waan Abraham angabë ataag na ayen amos wama, ndò angayen, afono fë. 
JHN.8.57	Yuden bò ai nyè na: Wasëki tò mimbu mëwom mëtan, ndò ongayen ya Abraham nga? 
JHN.8.58	Yesus nyè ai bò na: Amen, amen, makad mina na: Osusua yë na Abraham abyali, ma mënë
JHN.8.59	Ndò babodo ngòg na balum nyè. Ndò Yesus asòbò, akuig a tempel.
JHN.9.1	A alodo na, antala mod ya angabyali ndim. 
JHN.9.2	Ndò bëyègè boe basili nyè na: A Rabbi, za angasëm, yë nyè, yë bëbonde boe na azu byali ndim
JHN.9.3	Yesus nyè na: tò nyè, tò bëbonde boe, mod andzëki sëm; anë fò hë asu yë na mimboan mi Zamba mikulan a ngëëṅ a bë nyè. 
JHN.9.4	Biayean bò esye enyò angalom ma ntye amos ongënë. Alu angazu ya, tègè ai e mod anë dzam bò esye ete. 
JHN.9.5	Ntye mënë a si, mënë mfyè si-ndon. 
JHN.9.6	Akòbògò nala, ndò atui a si, abòò mbòdòg ai e mëtè angatui, angasii nyè mis ai wò, 
JHN.9.7	nyè ai nyè na: Këlë wòbò a etam Siloam (nala watyan na enyò anë nloman). Ndò hm angakë, awòbò, asòò, angayen. 
JHN.9.8	Bëbonde boe ai e bod bëyenë nyè osusua a angabë nzëzaa, bò na: Së enyò ṅnyè akadëga tobò, adzaègi a? 
JHN.9.9	Bëvòg bëdzoo na: Ṅnyè, bëvòg bò na: Tègè, afulan fò ai nyè. Emen nyè na: Mamen. 
JHN.9.10	Ndò hm bakad nyè na: Eyë hm mis mëyaaban wa ya? 
JHN.9.11	Nyè na: E mod baloe na Yesus abò mbòdòg, ndò asii ma a mis, nyè ai ma na: Këlëg wòbò a Siloam. Ndò mëkë, mëwòbò, mëngayen. 
JHN.9.12	Ndò badzo ai nyè na: Eyë anë ve? Nyè na: Mayëm ki. 
JHN.9.13	Ndò bakë ai e mod angabë ndim osusua nyò a bëfarisea. 
JHN.9.14	Amos ya Yesus angabò mbòdòg hi, ayaè e mod nyò mis ongabë amos sabbat. 
JHN.9.15	Ndò bëfarisea bò badugan nyè sili akyaè angayaaban mis. Nyè ai bò na: Awòbò ma mbòdòg a mis, ndò mëwòbò, ndò mayen di. 
JHN.9.16	Bod bëziṅ ya bëfarisea bëngadzo na: E mod nyòlò asò ki abë Zamba, amu abaala ki sabbat. Bëvòg ki bò na: Eyë nsëmë minsëm anë dzam bò e kan ndëm nyi ya? Bëntoa kiṅ mëndzaṅ. 
JHN.9.17	Ndò badugan dzo ai ndindim na: Wa wayen ya atyan ai nyè, mbol ayaè wa mis? Nyè na: anë profèt. 
JHN.9.18	Yuden bò të ṅyëbë na angabë ndim, ndò angayen ya; akëlë kui anë bëngalom loe bëbonde bë e mod angabë angayen ya nyò, 
JHN.9.19	ndò basili bò na: Yë e mod nyò ṅnyè anë e mòn waan miadzo na angabyali ndim? Eyë anë ya na angayen ya etoa dzi? 
JHN.9.20	Ndò bëbonde boe bayalan na: Biayëm na mòn waan nyò, ai na angabyali ndim. 
JHN.9.21	Eyë angayen ya ya etoa dzi? Biayem ki, tò ki e mod ayaè nyè mis, biayëm ki. Siligan nyè, nga antoa ya nyia-modo! Emen ayi kòbò asu die emen. 
JHN.9.22	Bëbonde boe bëngakòbò nala mbol bëmbarëga Yuden. Amu hala Yuden bëvë ya abende na ngë mod ziṅ amëm Kristus, bëkuligi nyè a nda-bikoan a nsëṅ. 
JHN.9.23	Asu te bëbonde boe bëdzoo na: Antoa ya nyia-modo, siligan nyè emen. 
JHN.9.24	Ndò hm badugan loe e mod angabë ndim nyò eyòṅ bèè, bò ai nyè na: Vaa Zamba olugu. Bia, biayëm na e mod nyòlò anë nsëmë minsëm. 
JHN.9.25	Ndò hm e mod nyò akad bò na: Tò anë nsëmë minsëm o, mayëm ki. Mayëm hë dzom dzia, na mëngabë ndim, ndò mëngayen ya. 
JHN.9.26	Bò ai nyè na: Dze abò wa? Eyë ayaè wa mis ya? 
JHN.9.27	Nyè ai bò na: Mëkad ya mina, mina të wog. Dze mingënë yi na miwog? Dze, yë mina fë miayi na miabò bëyègè boe? 
JHN.9.28	Bëngasog ai nyè, bò na: Wa, onë ṅyègè woe, bia, binë bëyègè bë Moses. 
JHN.9.29	Biayëm na Zamba angalèè ai Moses; enyò, biayëmyem ki mfag asò. 
JHN.9.30	Ndò e mod nyò ayalan, nyè ai bò na: Eyë eyëṅ esë enë ete na, miayëm ki mfag asò, dzam da ayaè ma mis. 
JHN.9.31	Biayëm na Zamba awog ki bësëm, dzam da, ngë mod ziṅ ambara Zamba, abòò fë ṅyian woe, Zamba awog nyè. 
JHN.9.32	Akèègè koba, babë ya ki wog na mod ziṅan gayaè mis më e mod angabyali ndim. 
JHN.9.33	Ngë mod te tègè sòṅ a bë Zamba, ngë asëki dzam bò tò dzom. 
JHN.9.34	Bò ai nyè na: Hë wa, wa, obyali a nsëm ete, ndò ongazu ya bia yëgëlë nga? Ndò bëngakuli nyè a nsëṅ. 
JHN.9.35	Ndò Yesus angawog na bëkuli nyè a nsëṅ; atoban angatoban ai nyè, nyè ai nyè na: Yë wayëbë mòn mod? 
JHN.9.36	E mod nyò nyè na: A Nti, ṅnyè anë za; mayi nyè yëbë. 
JHN.9.37	Yesus nyè ai nyè na: Oyenyen ya nyè, ndò enyò akòbò ai wa, ṅnyè nyòlò. 
JHN.9.38	Nyè na: Mayëbë, a Nti. Angalugu nyè. 
JHN.9.39	Yesus nyè na: Mëngasò a e si-ndon nyi asu nkat, asu yë na e ba bayen ki bëyen, e ba bayen bëbò ndim. 
JHN.9.40	Bëfarisea bëziṅ ya bëngabë ai nyè ha bò ai nyè na: Dze, yë bia binë ndim nga? 
JHN.9.41	Yesus nyè ai bò na: Ngë mitoa ndim, ngë miabëlë ki nsëm ziṅ. Ndò hm miadzo na: Biayen. Nsëm waan wakanga.
JHN.10.1	Amen, amen, madzo ai mina na: E mod osë anyian ki a mbè efòg mintomba, dzam da, akë bed zen fë, e nyòlò te anë ṅwuwub ai ezilgan. 
JHN.10.2	E nyò ki anyian a mbè, anë ṅnòni mintomba. 
JHN.10.3	Mbaala mbè ayaè nyè, mintomba miawog kiṅ dzie, ndò aloe mintomba mie a dzoe, angalëdë miè zen a nsëṅ. 
JHN.10.4	Eyòṅ amana ya kuli mintomba mie misë a nsëṅ, angawulu miè a osu, mintomba mingabie nyè, amu miayëm kiṅ dzie. 
JHN.10.5	Miasëki dzam bie ndzin, miatubtub nyè amu miayëm ki kiṅ bëdzin. 
JHN.10.6	Yesus angavë bò e mvulna nyi, bò të yëm e mam angabë akada bò.
JHN.10.7	Yesus angadugan bò kad na: Amen, amen, madzo ai mina na: Ma, mënë mbè mintomba. 
JHN.10.8	E ba bësë bëngasò ma osu, bënë miṅwuwub ai bizilngan, dzam da, mintomba miandzëki bò wog. 
JHN.10.9	Ma, mënë mbè. Ngë mod anyian abë ma, ayi kodëban, ndò fë ayi nyii, akuig, ayënë fë mëdiiga. 
JHN.10.10	Ṅwuwub wazu hë asu yë na wadzib, owoe, ondaman fë. Ma mëngasò asu yë na bëbi enyiṅ, bëbi dzò ntud ntud. 
JHN.10.11	Ma mënë mbëmbë nnòni. Mbëmbë ṅnòni akab enyiṅ dzie asu mintomba. 
JHN.10.12	E mod asye hë asu maan, a asëki ṅnòni
JHN.10.13	mbol asye hë mòni, ndò abisi ki e di layenan ai mintomba. 
JHN.10.14	Ma mënë mbëmbë ṅnòni, ndò mayëm emiama, miè miyëmë fë ma, 
JHN.10.15	anë tara ayëm ma, ma mëyëmë fë Tara, ndò makab enyiṅ dzama asu mintomba. 
JHN.10.16	Ndò fë mëbëlë mintomba mifë ya miasëki a efòg dzi. Mayean wulu ai e mili mite, miayi wog kiṅ dzama, ndò miayi bò esamba dzia, ṅnòni mbòg. 
JHN.10.17	Asu te Tara adiṅ ma, mbol makab enyiṅ dzama, asu yë na mëdugan dzò nòṅ. 
JHN.10.18	Mod afadi ki ma dzò, dzam da, mamen makab dzò, mëbëlë fë ngul ya adugan dzò nòṅ. Mënganòṅ e mvende nyili abë Tara. 
JHN.10.19	Yuden bëdugan kaban ngam ngam etòm e bibug bi. 
JHN.10.20	Abui ya ete bëdzoo na: Anë ai mbë nsisim, ndò fë asòg. Dze miavogolo nyè? 
JHN.10.21	Bëfë bò na: e bibug bi biasëki ebi bi e mod abële mbë nsisim. Yë mbë nsisim onë dzam yaè ndindim mis?
JHN.10.22	Ndò abog afubu-lë-tempel
JHN.10.23	Yesus angakë awulu a tempel, mfag ya minkum mi Salomon
JHN.10.24	Yuden bëloṅo nyè edinga a nyòl, bò ai nyè na: Wayi bia këlë minnëm a yob akëlë kui ve? Ngë wa onë Kristus, kada bia a kpaam. 
JHN.10.25	Yesus nyè ai bò na: Mëkad ya mina, mina të yëbë. E mimboan mabò a dzoe Tara mmiè miabòòlò ma. 
JHN.10.26	Ndò mina miayëbë ki, amu miasëki a ekòg mintomba miama. 
JHN.10.27	Mintomba miama miawog kiṅ dzama; mayëm miè, ndò fë miabie ma, 
JHN.10.28	ndò fë mavë miè enyiṅ kòm; miayi ki dzaṅ a ekòg tò eyòṅ, ndò fë mod ziṅan gâfadi ki ma miè a mò. 
JHN.10.29	E Tara angavë ma, alod bësë, ndò mod ziṅ asëki dzam fadi a mò më Tara. 
JHN.10.30	Bia Tara binë dzom dzia. 
JHN.10.31	Ndò Yuden badugan nòṅ ngòg na balum nyè. 
JHN.10.32	Yesus nyè ai bò na: Maalëdë mina abui mimbëmbë mimboan ya abë Tara. Mialum ma ngòg asu mboan mbe ya ete? 
JHN.10.33	Yuden bò ai nyè na: Së ki asu mbëmbë mboan ngò bialum wa ngòg, dzam da, asu ebyandi, mbol ya na, wa ha, otoa të mod, ongadzo na onë Zamba. 
JHN.10.34	Yesus nyè ai bò na: Asë ntilan a mvende dzaan na: Mëngadzo na: Minë bëzamba a? 
JHN.10.35	Ngë Zamba adzo ai e bod angakad ebug dzie na bënë bëzamba -Mfufub Ntilan wa wasole hm ki- 
JHN.10.36	e nyò ya Tara angafubu, alomo a si, mina miadzo na: «Onë ebyandi», mbol mëdzo na: «Mënë mòn Zamba» nga? 
JHN.10.37	Ngë mabò ki mimboan mi Tara, mibë ma yëbë. 
JHN.10.38	Ngë mabò hm miè, tò mibò ma të yëbë, yëbëgan mimboan, asu yë na miyen, miyëm fë na Tara anë abë ma, ma fë abë Tara. 
JHN.10.39	Bëngadugan dzëṅ na babi nyè, ndò angasòdan bò a mò. 
JHN.10.40	Ndò adugan kui a Yordan ayat, e hom Yohannes angabë aduu bod osusua, atòbò hala. 
JHN.10.41	Abui bod asòò abë nyè, bò na: Yohannes andzëki bò tò ndëm dzia, dzam da e mam mësë Yohannes angadzo mëtyan ai nyè mënë ete. 
JHN.10.42	Ndò abui bod bëngayëbë nyè ete.
JHN.11.1	Mod ziṅan gabë akònò, dzoe na Lazarus, mod ya Betania
JHN.11.2	Maria te ṅnyè angawòbò Nti mbòn, amana nyè fimi mëkol ai esil dzie, ṅnyè ndom dzie Lazarus engabë ekònò. 
JHN.11.3	Ndò bëkal bëngalom nyè kad na: A Nti, yënë sik, e mod wadiṅ akòn hm. 
JHN.11.4	Ndò Yesus angawog, nyè na: Okòn hili osëki asu awu, onë asu duma Zamba, asu yë na mòn Zamba abi duma ete. 
JHN.11.5	Dzam da, Yesus angabë adiṅi Marta, ai manyaṅ, ai Lazarus. 
JHN.11.6	Awogo hm na akòn, ndò të fë atòbò e hom angabë mëlu mëbè, 
JHN.11.7	a mvus hm hala, nyè ai bëyègè na: Ndugan a Betania. 
JHN.11.8	Bëyègè bò ai nyè na: A Rabbi, angoge angoge, Yuden bëdzëṅë na balum wa ngòg, ndò ongadugan ya kë we? 
JHN.11.9	Yesus nyè na: Amos osë mëwola awom ai mëbè a? Ngë mod awulu ai amos, afèè ki mbëg, amu ayen mfyè e si nyi. 
JHN.11.10	Ngë mod ziṅ awulu hm ai alu, aku mbëg, amu mfyè osëki abë nyè. 
JHN.11.11	Akòbò nala, a mvus hala, nyè ai bò na: Mvoe dzaan Lazarus anë nkëan a oyò. Dzam da, makë nyè vëlë a oyò te. 
JHN.11.12	Bëyègè boe bò ai nyè na: A Nti, ngë akë oyò, ayi kodeban. 
JHN.11.13	Ndë Yesus nyè akòbògò adzo awu die, bò bëtsogo na akòbò adzo nkëan oyò. 
JHN.11.14	Ndò hm Yesus adzo ai bò a kpaam na: Lazarus anë ṅwuan, 
JHN.11.15	dzam da mawog mintag asu daan, asu yë na miyëbë, mbol mabë ki we. Ndò hm, nkaṅan abë nyè. 
JHN.11.16	Ndò Tomas -anë mëbëdan na Didimos
JHN.11.17	Yesus asuan hm, akòbò na antoa ya mëlu mënyii a sòṅ. 
JHN.11.18	Betania angabë babi ai Yerusalem
JHN.11.19	Abui dzam ya abë Yuden bëngasò abë Marta ai Maria na bazu yëb Lazarus ai bò. 
JHN.11.20	Eyòṅ hm Marta angawog na Yesus azu, ndò angakë toban ai nyè. Maria nyè angabë atoa a nda ete. 
JHN.11.21	Marta nyè ai Yesus na: A Nti, ngë otòbò ha, ngë ndom dzam yandzëki wu. 
JHN.11.22	Dzam da, mayëm etoa dzi na, e dzi esë wayi sili Zamba, ayi wa dzò vë. 
JHN.11.23	Yesus nyè ai nyè na: Nyò ndom ayi kui a sòṅ. 
JHN.11.24	Marta nyè ai nyè na: Mayëm na ayi womo a akui-lë-sòṅ a mos mvua. 
JHN.11.25	Yesus nyè ai nyè na: Ma mënë akui-lë-sòṅ ai enyiṅ. E nyò ayëbë ma, tò afyaṅan wu, ayi nyiṅ. 
JHN.11.26	Ndò fë, e nyò anyiṅ, ayëbëgë fë ma, ayi ki wu tò eyòṅ. Yë wayëbë nala? 
JHN.11.27	Nyè ai nyè na: Owe, a Nti, mazuzu ya mayëbë na wa onë Kristus, mòn Zamba ya azu a si-ndon.
JHN.11.28	Akòbò angakòbò nala, ndò akë loe manyaṅ Maria avol avol, nyè na: ṅyëgëlë anë ha, aloe wa. 
JHN.11.29	Awog angawog nala, akodo a si mbil, akëlë abë nyè. 
JHN.11.30	Hala te Yesus abë ki sòṅ a dzal ete, angënë atëlë e hom Marta angatoban ai nyè. 
JHN.11.31	E Yuden bëngabë ai nyè a nda, bëyëbë ai nyè, bëngayi yen anë Maria akodo mbil a si, akui a nsëṅ, bëngatoṅ nyè, bëtsogo na akë yon a sòṅ. 
JHN.11.32	Eyòṅ hm Maria angakui e hom Yesus angabë, ayënë nyè, ndò alaban nyè a mëkol a si, nyè ai nyè na: A Nti, ngë otòbò ha, ngë ndom yandzëki ma wu. 
JHN.11.33	Ayen Yesus angayen anë ayon, ayënë fë na, e Yuden bëngasò ai nyè bayon, asigan fò a nnëm etere ai abui mintye, 
JHN.11.34	nyè na: Eyë miafudi nyè ve? Bò ai nyè na: a Nti, zaa yen. 
JHN.11.35	Yesus angayon. 
JHN.11.36	Yuden bò na: Yënë anë angabë adiṅi nyè. 
