MAT.1.1	In e nhag rɨp Yesu Kristo
ROM.13.14	Mərɨg seighaan kɨn Yermaru Yesu Kristo mə tukrarmaru ye nɨmraghien kapəmiə, kɨni takhapəh nɨsətərɨgien mə takshawor pən iran mɨne mɨsor narɨmnar yame nɨpraimiə əmə rorkeikei.
ROM.14.1	Nəməhuak mɨnə tɨksɨn, kapəriə nhatətəyen rɨpəh nəusɨk-əusɨkien, meinai narmamə tɨksɨn kamhavəh-si-pən natuakəmien kɨmi əriə, kɨni khapəh nharkunien mə Kughen rameighan kɨn əriə tuk natuakəmien mɨnə a uə nɨkam. Mərɨg kɨmiə rɨkimiə tukramagien tuk nɨvəhyen nəməhuak mɨnə a yame kapəriə nhatətəyen rɨpəh nɨskaiyen; takhapəh nɨsotgohyen kɨmiə əriə.
ROM.14.2	Yermamə kɨrik, ye kafan nhatətəyen, rhuvə əmə mə in tukrən nəvɨgɨnien m-fam. Mərɨg yermamə pɨsɨn kɨrik mɨn, kafan nhatətəyen rɨpəh nɨskaiyen, kɨni rɨkin rəsɨk mə in rɨrkun nənien nəvɨgɨnien ye nəsimien əmə, mɨpəh nənien nusai nar.
ROM.14.3	Rɨpəh nɨhuvəyen mə yermamə e yame rɨrkun nənien narɨmnar fam tukrəm-pən nar hah ye yermamə yame rɨpəh nənien nusai nar. Kɨni rɨpəh nəmhenien mə yermamə yame rɨpəh nənien nusai nar tukrɨni-pən tuk yermamə yame ramən fam nəvɨgɨnien mə in ramor təvhagə has. Pəh tukrɨpəh nəm-əhuyen in meinai Kughen rɨkin ragien əmə tuk yeməhuak a.
ROM.14.4	Rɨpəh nɨhuvəyen mə ik nakamni mɨmə yorwok kape Yesu Yermaru kɨrik ramor norien has. Kafan atuk əmə Yesu Yermaru tukrəkir mɨmə ramor nar huvə uə nar has. Kɨni in tukror huvə meinai Yesu Yermaru rɨrkun nɨvəhsi-pənien nəsanɨnien kɨmin tuk norien nar huvə mɨnə.
ROM.14.5	Ye norien kɨrikianə əmə mɨn, yermamə kɨrik ramni mə nɨpɨg kɨrikianə əmə kape Kughen in ramərhakə rapita nɨpɨg mɨnə tɨksɨn; mərɨg yermamə kɨrik mɨn ramni mɨmə nɨpɨg m-fam rəm nəmhen əmə. Mərɨg pəh narmamə tuksərer skai ye kapəriə nətərɨgien ye nɨkarɨn kape narɨmnar mɨnə e.
ROM.14.6	Yermamə yame ramni mə nɨpɨg kɨrikianə əmə in kape Kughen, in ramor tuk nɨvəhsi-haktəyen Yermaru. Kɨni yermamə yame ramən nusai nar, ramən tuk nɨvəhsi-haktəyen Kughen, meinai in ramni-pən tuk Kughen mə rɨkin ramagien tuk nan nəvɨgɨnien. Kɨni yermamə yame raməpəh nənien nusai nar, in mɨn raməpəh nənien tuk nɨvəhsi-haktəyen Yermaru, kɨni in mɨn ramni-pən tuk Kughen mɨmə rɨkin ragien tuk nan nəvɨgɨnien. 
ROM.14.7	Kɨtawə kɨrik rɨrkək yame nɨmraghien kafan, kafan əmə, uə nɨmhəyen kafan, kafan əmə. 
ROM.14.8	Mərɨg tukmə kɨtawə kamhamragh, kamhamragh tuk nɨvəhsi-haktəyen Yermaru; kɨni tukmə kamhamhə, kamhamhə tuk nɨvəhsi-haktəyen Yermaru. Kɨni ror məknakɨn, tukmə kamhamragh uə kɨmnhamhə, mərɨg kɨtawə kape Yermaru.
ROM.14.9	Kristo rɨmamhə marə mamragh mɨn, mə In Yermaru kape narmamə yamə mɨne kamhamragh mɨne yamə mɨne kwənhamhə ta.
ROM.14.10	Kɨni rɨpəh nɨhuvəyen mə taksəkir norien kape piaumiə mɨnə mɨne nowinmiə yamə mɨne iriə yəhuak mɨnə. Rɨpəh nɨhuvəyen mə taksəm-əhu piaumiə mɨnə, meinai kɨtawə m-fam tuksərer əkupan ye jea yame Kughen ramkwətə iran maməkir narmamə ikɨn.
ROM.14.11	Rəmhen kɨn nəgkiarien yame Nəkwəkwə kape Kughen ramni mɨmə,
ROM.14.11	“Kughen Yermaru ramni mɨmə, ‘Yakavəh kwəsu ye nɨmraghien kafak mɨmə
ROM.14.11	narmamə m-fam tuksənɨmkur ye nɨmrɨk
ROM.14.11	mhani-ərhav kɨn nheriə mhamə Yo, Yo Kughen.’ ” 
ROM.14.12	Kɨni ror məknakɨn mə kɨtawə fam kɨrikianə kɨrikianə tuksərer ye nɨmrɨ Kughen tuk nɨni-ərhavyen narɨmnar fam yamə mɨne kɨmɨsor.
ROM.14.13	Ror məknakɨn, pəh kɨsəpəh nəkirien norien kape narmamə. Mərɨg takhaskai mə takhapəh nɨsorien nar kɨrik yame tukror piaumiə kɨrik rətərɨg pɨk tukun mɨmɨr ye kafan nhatətəyen. 
ROM.14.14	Yɨmauə mor kɨrikianə kɨmru Yesu Yermaru, kɨni tuk nar ai, yo yakɨrkun huvə mə nəvɨgɨnien
ROM.14.15	Tukmə piam raməm mə nəvɨgɨnien kɨrik rəmkɨmɨk, kɨni nakamən ye nɨmrɨn, rɨkin tukrəpəu. Ramor məknaikɨn mə kafam norien rɨpəh nəri-pənien swatuk kape norkeikeiyen. Takhapəh nɨsorien mə nar yame nakasən ramoriah piaumiə kɨrik yame Kristo rɨmamhə tukun.
ROM.14.16+ROM.14.17+ROM.14.18	Nar apnapɨg mə kɨmiə nakamhani mə norien kɨrik in rhuvə əmə, mərɨg səpəh, tamə piaumiə kɨrik raməm norien kapəmiə mamni mɨmə naksor təvhagə has. Ror pən, taksətapɨg kɨn, meinai yermamə yame ramor nəkwai Kristo ye norien a, in ramor rɨki Kughen ramagien. Kɨni narmamə kasəm in mhamə in yermamə huvə, kɨni rɨkiriə ramagien əmə tukun. Ror məkneikɨn meinai Narmaruyen kape Kughen pəh nien mə nar kape nəvɨgɨnien mɨne nɨnɨmien, mərɨg in nar kɨrik kape natuatukien ye nɨmrɨ Kughen, mɨne nəmərinuyen, mɨne nagienien ye Nanmɨn kafan.
ROM.14.19	Kɨni ror məknakɨn, pəh kɨtawə tuksarkut pɨk tuk norien nar yame ramkɨr pən narmamə tuk nəmərinuyen kɨni mhavəhsi-haktə nətərɨgien kapətawə m-fam.
ROM.14.20	Takhapəh nɨsoriahyen wok kape Kughen tuk nənien naha nəvɨgɨnien yame naksorkeikei. Nəfrakɨsien mə nəvɨgɨnien mɨnə fam khahuvə mhapəh nɨsəmkəmɨkien ye nɨmrɨ Kughen. Mərɨg rahas tukmə nakvəh nəvɨgɨnien kɨrik yame piam ramni mə rəmkɨmɨk mən ye nɨmrɨn, kɨni in rətərɨg pɨk tukun, mɨmɨr ye kafan nhatətəyen.
ROM.14.21	Kɨni ror məknakɨn rhuvə mə takhapəh nɨsənien nusai nar, mhapəh nhanɨmien waen, mhapəh nɨsorien nar kɨrik yame tukror piautawə mɨnə kamhamɨr ye nhatətəyen kapəriə.
ROM.14.22	Kɨni tukmə kɨmiə nakhavəh nətərɨgien kɨrik ye nɨkarɨn kape narɨmnar mɨnə e, takharaptərəkɨn məniwən əmə kɨmiə Kughen. Narmamə kɨsarə ye nɨhuvəyen əfrakɨs nɨpɨg kasor əmə narɨmnar yame kharkun mə in ratuatuk mə tuksor. 
ROM.14.23	Mərɨg yermamə yame kafan nətərɨgien ramor kɨraru tuk nar yame ramən, meinein mə ratuatuk mə tukrən uə nɨkam, rhuvə mə tukrɨpəh nənien. Mərɨg tukmə rən, Kughen tukrɨni mə rɨnor təvhagə hah, meinai in ramən, mərɨg rɨkin raməsɨk mə rɨpəh natuatukien - kafan norien rɨpəh nərer-tɨmtɨmien ye nhatətəyen. Kɨni tukmə yermamə kɨrik ramor nar kɨrik yame rɨkin raməsɨk mə in rɨpəh natuatukien, in ramor təvhagə hah.
ROM.15.1	Kɨtawə yamə mɨne khaskai ye nhatətəyen ye Kristo tukasəkeikei mɨsasitu huvə ye yamə mɨne nhatətəyen kapəriə rɨpəh nuəyen mɨskai. Rɨpəh natuatukien mə tuksəri-pən əmə norien yame kɨtawə atuk kɨsorkeikei. 
ROM.15.2	Kɨtawə tukasəkeikei masor norien yame tukror rɨki narmamə pɨsɨn kɨsagien tukun, mɨmə tukrasitu irəriə mor nhatətəyen kapəriə ruə mɨskai.
ROM.15.3	Pəh kɨsor məknakɨn meinai Kristo mɨn In rɨmɨpəh norien norien kɨrik yame In atuk rorkeikei, mərɨg In rɨmnor narɨmnar fam əgkap yame Kughen rorkeikei [nar apnapɨg narmamə kɨmnhani hah In tukun] rəmhen kɨn yame Nəkwəkwə kape Kughen ramni mɨmə,
ROM.15.3	“Nɨni-hasien yamə mɨne kamni-pre tuk Ik,
ROM.15.3	nəgkiarien a ramuə mɨn tuk Yo.” 
ROM.15.4	Narɨmnar e yame kɨmɨrai kupan ye Nəkwəkwə kape Kughen, kɨmɨrai mə tukrhajoun ətawə, mə tuksərəhu-pən tɨm tɨm nətərɨgien kapətawə ye Kughen. Kɨni kɨtawə kharkun norien a meinai kasərer tɨm tɨm ye nɨpɨg əutən mɨnə, kɨni Nəkwəkwə kape Kughen ravəh-si haktə nətərɨgien kapətawə.
ROM.15.5	Kughen pɨsɨn əmə ramasitu irətawə mə tuksərer tɨm tɨm ye nɨpɨg əutən mɨnə, kɨni In pɨsɨn əmə ravəh-si haktə nətərɨgien kapətawə. Kɨni taktakun ai, yakamaiyoh In mɨmə tukrasitu irəmiə yamə mɨne nakhakwasɨg kɨn Yesu Kristo mor nətərɨgien kapəmiə mə tukruə mor kɨrikianə əmə 
ROM.15.6	mə takhavəh nətərɨgien kɨrikianə əmə, mamhani nəgkiarien kɨrikianə əmə tuk nəgnəgɨnien Kughen yame In Kughen mɨne Rɨm Yesu Kristo Yermaru kapətawə.
ROM.15.7	Havəh əmiə mɨnə yerkin agien, rəmhen kɨn yame Kristo rɨmɨvəh əmiə yerkin agien. Taksor məknakɨn mə narmamə tukhani vi vi Kughen tukun.
ROM.15.8	Takhapəh nɨsəru-kɨnien nar e mɨmə Kristo rɨmauə yorwok kape nəmə Isrel
ROM.15.9	mə nəmə tanə pɨsɨn pɨsɨn mɨnə tukhani vi vi Kughen meinai rɨkin rehuə tuk narmamə, rəmhen kɨn yame Nəkwəkwə kape Kughen ramni mɨmə,
ROM.15.9	“Ror məkneikɨn, yo jakvəh-si haktə nhagɨm ye kwerkwai nəmə tanə pɨsɨn pɨsɨn mɨnə,
ROM.15.9	maməni nɨpei mamni vi vi nhagɨm.” 
ROM.15.10	Kɨni nəkwəkwə kape Kughen ramni mɨn mɨmə,
ROM.15.10	“Kɨmiə nəmə tanə pɨsɨn pɨsɨn mɨnə mɨne narmamə kape Kughen mɨnə takhauə kɨrikianə mɨsagien.” 
ROM.15.11	Kɨni mamni mɨn mɨmə,
ROM.15.11	“Kɨmiə nəmə tanə pɨsɨn pɨsɨn mɨnə, taksəgnəgɨn Kughen Yermaru,
ROM.15.11	kɨni kɨmiə kwənərəus mɨnə fam kape tokrei tanə taksokapə mɨsəgnəgɨn In.” 
ROM.15.12	Kɨni Aesaea ramni mɨn mɨmə,
ROM.15.12	“Kwənərəus kape Jese
ROM.15.12	kɨni Kughen tukrɨvəh-si haktə in mə tukramarmaru ye kwənərəus mɨnə kape tanɨmtanə m-fam.
ROM.15.12	Kɨni nəmə tanə pɨsɨn pɨsɨn mɨnə tuksərəhu-pən tɨm tɨm nətərɨgien kapəriə iran.” 
ROM.15.13	Kughen rɨmnasitu irətawə mə tuksərəhu-pən tɨm tɨm kapətawə nətərɨgien iran. Pəh In tukror mə rɨkimiə tukrhaktə mukwar kɨn nagienien mɨne nəmərinuyen nɨpɨg nhatətətəyen kapəmiə iran tukrɨskai mɨn meinai Nanmɨn kape Kughen ravəhsi-pre nəsanɨnien kɨmiə əmiə.
ROM.15.14	Piak mɨnə mɨne nowinɨk mɨnə. Yakɨrkun huvə mə nɨmraghien kapəmiə ramhaktə mukwar kɨn nɨhuvəyen, kɨni nakhavəh nɨrkunien m-fam, mɨsəmhen tuk nhajounien əmiə mɨnə. 
ROM.15.15	Kɨni ye nəkwəkwə e kafak, yɨmɨpəh nerkwaigien kɨn nar kɨrik, mərɨg yɨmɨni-ərhav yerkik m-fam narɨmnar mɨnə e tuk əmiə, kɨni morkeikei mə rɨkimiə tukraməkeikei maməsɨk nəgkiarien mɨnə a. Ratuatuk əmə mə yakəgkiar məknakɨn, meinai Kughen ramasitu irak ye kafan əmə nɨhuvəyen 
ROM.15.16	mə yo jakuə yorwok kape Kristo tuk nɨni-ərhavyen nəvsaoyen huvə kɨmi nəmə kantri pɨsɨn pɨsɨn mɨnə. Yo yakəmhen kɨn pris kɨrik yame yakamni-ərhav nəvsaoyen huvə kape Kughen mə nəmə ye tanə pɨsɨn pɨsɨn yamə mɨne kɨshatətə ye Kristo tukhauə presen huvə yamə mɨne Nanmɨn kape Kughen ramərəhu karɨn mə kape Kughen, kɨni Kughen rɨkin ragien əmə tuk nɨvəhyen.
ROM.15.17	Kɨni yakavəhsi-haktə Yesu Kristo tuk wok mɨnə fam kape Kughen yame yakamor. 
ROM.15.18	Mərɨg to yakpəh nəgkiar-ausitien tuk nar pɨsɨn kɨrik, yakaməgkiar ausit əmə tuk narɨmnar huvə yamə mɨne Kristo ramor nɨpɨg yɨmnor kafan wok tuk nɨvəhyen nəmə tanə pɨsɨn pɨsɨn mɨnə khauə mɨsor nəkwai Kughen. Kristo ramor wok ye kafak nəgkiarien mɨne ye kafak norien mɨnə, 
ROM.15.19	kɨni mor wok ye nəsanɨnien kape nɨmtətien mɨnə mɨne nar pɨs pɨs mɨnə ye nəsanɨnien kape Nanmɨn kape Kughen. Kɨni ror məkneikɨn, yakamni-ərhav fam nəvsaoyen huvə kape Kristo, rɨmɨrikakun Jerusalem mɨvən meriaji-pən kantri e Ilirikam. 
ROM.15.20	Nɨpɨg m-fam ye nɨrikakunien kape kafak wok muə meriaji-pə e taktakun, yɨmnorkeikei mə jakvən mɨni-ərhav nəvsaoyen huvə ikɨn mɨnə tɨksɨn yamə mɨne kɨpəh nərɨg-hanə-yen nhag Yesu Kristo ikɨn. Yakpəh norkeikeiyen mə jakor wok aikɨn kɨrik yame yermamə kɨrik ruavən ta ikɨn mamni-ərhav nəvsaoyen huvə.
ROM.15.21	Mərɨg raməri-pən nəgkiarien ye Nəkwəkwə kape Kughen [yame raməgkiar ye Kristo] mɨmə,
ROM.15.21	“Narmamə yamə mɨne kɨpəh nɨni-ərhavyen nəvsaoyen huvə kɨmi əriə, iriə tuksəm In,
ROM.15.21	kɨni narmamə yamə mɨne khapəh nɨsərɨg-hanəyen nəvsaoyen huvə, iriə tukharkun.” 
ROM.15.22	Kɨni nɨpɨg rɨpsaah, wok e kafak tuk nɨvənien aikɨn pɨsɨn pɨsɨn mɨnə ramətapɨg kɨn yo tuk nurəyen məm əmiə.
ROM.15.23	Mərɨg taktakun ai, yɨmnor infamien ye kafak wok ye provins mɨnə e. Newk mɨnə tɨksɨn ruauə muavən ta, yɨmnorkeikei pɨk mə jakurə məm əmiə. 
ROM.15.24	Kɨni ror məknakɨn, rɨkik raməsɨk mɨmə nɨpɨg jakamvən Spen jakukurao-pre məm əmiə. Kɨni nɨpɨg jakurə kɨsarə kape nɨpɨg kwakwə əmə, kɨni yakorkeikei mə taksasitu irak tuk kafak nəriwəkien. 
ROM.15.25	Mərɨg taktakun, yakamvən Jerusalem tuk nasituyen ye nəməhuak mɨnə aikɨn, 
ROM.15.26	meinai nəməhuak mɨnə apa kantri mir e Masedonia mɨne Gris, rɨkiriə rɨmnagien tuk nɨvəhsi-pənien kapəriə mane kɨmi yavən has mɨnə ye niməhuak apa Jerusalem.
ROM.15.27	Rɨkiriə ramagien əmə tuk nasituyen irəriə məkneikɨn, mərɨg rəmhen kɨn yame kasarpɨn tai nasituyen yame kwənərəus kape Isrel kɨmnhavəhsi-pən ta kɨmi əriə, in e mə nəmə tanə pɨsɨn pɨsɨn mɨnə kamhavəh nɨhuvəyen yame Kughen rɨmɨrpen mə kape nəmə Isrel, kɨni mɨsarpɨn tai nɨhuvəyen a kɨn nasituyen kɨn mane.
ROM.15.28	Jakvəh mane yame iriə kɨmɨsəwhai kəji, mɨvən mɨvəh-si-pən kɨmi nəhuak mɨnə apa Jerusalem. Kɨni nɨpɨg jakor infamien ye kafak wok apaikɨn, kɨni mɨtərhav Jerusalem mɨvən apa Spen, mərɨg nɨpɨg jakamvən Spen, jakukurao-pre məm əmiə. 
ROM.15.29	Nɨpɨg yakaurə mamarə iməmiə ikɨn, yakɨrkun mə jakvəh narɨmnar huvə rɨpsaah ye Kristo mə jakvəhsi-pre kɨmi əmiə, kɨni kɨmiə taksərɨg rhuvə kɨn.
ROM.15.30	Piak mɨnə mɨne nowinɨk mɨnə, meinai kɨtawə kɨshatətə ye Yesu Kristo Yermaru kapətawə, kɨni Nanmɨn kape Kughen ramor mə kɨtawə tuksorkeikei ətawə mɨnə, yakamaiyoh skai əmiə mə taksəhuak tuk yo mɨsasitu irak ye narowagɨnien kafak.
ROM.15.31	Səhuak mə Kughen tukrasitu irak mətapɨg kɨn nəmə Judia yamə mɨne khapəh nhaniyen nəfrakɨsien ye nəvsaoyen huvə mə tukhapəh nɨsoriahyen yo. Kɨni səhuak mɨn mə nɨpɨg jakvən Jerusalem mɨtərhav mɨn, mə narmamə yamə mɨne kɨshatətə ye Kristo, rɨkiriə tukragien tuk wok kafak. 
ROM.15.32	Kɨni ye norien a, tukmə Kughen rorkeikei, jakurə məm əmiə ye nagienien, kɨni kɨtawə mfam rɨkitawə tukragien. 
ROM.15.33	Pəh Kughen yame In nuknei nəmərinuyen tukramarə tuk əmiə m-fam. Amen.
ROM.16.1	Yo yakamni-pre tuk əmiə mɨmə nowintawə e Fibi yame ravəh wok kape dikon ye niməhuak apa Kengkria, in piraovɨn huvə kɨrik. 
ROM.16.2	Yakamaiyoh əmiə mə nɨpɨg in tukrurə, taksagien əmə tukun ye nhag Yesu Yermaru kapətawə, ye norien yame in ratuatuk mə narmamə kape Kughen tuksor. Tukmə kafan kɨrik nar kɨrik rɨkək, rhuvə mə taksasitu iran, meinai in rɨmnasitu irak mɨne narmamə khapsaah.
ROM.16.3	Saowiə kɨn Prisila mɨne Akwila, yame kɨmasɨr yɨmɨrhor wok kɨrikianə kape Yesu Kristo.
ROM.16.4	Ipakə əmə kɨrhamhə tuk nasituyen irak. Pəh nien mə yo pɨsɨn əmə, mərɨg kɨmawə nəmə tanə pɨsɨn pɨsɨn yamə mɨne kasəhuak, yakamhani vi vi Kughen tuk əriu. 
ROM.16.5	Kɨni saowiə kɨn nəməhuak yamə mɨne kasofugɨn ye kapəriu nimə.
ROM.16.5	Saowiə kɨn yo kɨrik e Epaenetas e yame rɨmnəkupan mhatətə ye Kristo ye tanə a Tarki.
ROM.16.6	Saowiə kɨn Meri yame ramor pɨk wok irəmiə.
ROM.16.7	Saowiə kɨn Andronikas mɨne Junias, yemə imak mir yame kɨvəhsi-pən əmasɨr ye kalabus. Aposol mɨnə kamhasiai pɨk əriu, kɨni iriu kɨmwəkupən irak mwhatətə ye Kristo.
ROM.16.8	Saowiə kɨn Ampliatas yame yakorkeikei ye norkeikeiyen kape Yermaru.
ROM.16.9	Saowiə kɨn Obanas, yame kɨmawə min yakasor wok kɨrikianə ye Kristo, kɨni saowiə kɨn Stakis keikei.
ROM.16.10	Saowiə kɨn Apeles, yame ramərer tɨm tɨm ye Kristo ye nɨpɨg əutən mɨnə.
ROM.16.10	Saowiə kɨn narmamə ye nimə kape Aristobolas.
ROM.16.11	Saowiə kɨn Herodion, kwənərəus atuatuk kafak.
ROM.16.11	Saowiə kɨn narmamə yamə mɨne kɨsofugɨn-pən ye Yesu Yermaru ye nimə kape Nasisas.
ROM.16.12	Saowiə kɨn Trifaena mɨne Trifosa, piraovɨn mir yamə mir kawor pɨk wok kape Yermaru.
ROM.16.12	Saowiə kɨn Persis keikei, piraovɨn mɨn kɨrik yame raməmnhawk tuk norien wok kape Yermaru.
ROM.16.13	Saowiə kɨn Rufas, yeməhuak kɨrik kape Yermaru mɨne nɨsɨni yame rɨmnor huvə-pə kɨmi yo rəmhen kɨn nɨsɨnɨk atuatuk.
ROM.16.14	Saowiə kɨn Asingkritas mɨne Flegon mɨne Heremes, mɨne Patrobas mɨne Heremas, mɨne piautawə yamə mɨne kɨsarə iriə miriə.
ROM.16.15	Saowiə kɨn Filologas mɨne Julia mɨne Nereas mɨne nowini mɨne Olimpas mɨne nəməhuak mɨnə fam yamə mɨne kɨsarə iriə miriə.
ROM.16.16	Saowiə kɨn əmiə mɨnə rəmhen kɨn yame kɨmiə kɨrikianə ye Kristo. Niməhuak mɨnə fam kape Kristo kɨsaowiə kɨn əmiə.
ROM.16.17	Piak mɨnə mɨne nowinɨk mɨnə. Yakamaiyoh skai əmiə mə taksərɨg əmiə tuk narmamə yamə mɨne kasor mɨmə takseikus kwhen kapəmiə, kɨni mɨshajoun narɨmnar yame kasor narmamə kasəviəkiə ye nhatətəyen kapəriə, kɨni nhajounien a ror pɨsɨn əgkəp ye nhajounien yame nɨmnhavəh ta. Sərer isok tuk əriə
ROM.16.18	meinai narmamə kashajoun nəgkiarien eikuə khapəh nɨsorien wok kape Yesu Kristo Yermaru kapətawə, mərɨg kasor wok əmə tuk nar yame nɨprairiə rorkeikei. Iriə kamhani huvə nəgkiarien, kɨni nəgkiarien kapəriə rheikən, mərɨg kaseikuə, masoriah nətərɨgien kape narmamə khapsaah yame nɨrkunien kapəriə rɨpəh nərɨp-tɨmtɨmien.
ROM.16.19	Narmamə kwəsərɨg ta nəvsaoyen mɨmə kɨmiə naksor nəkwai Kughen. Ror məknakɨn rɨkik ragien pɨk tuk əmiə. Mərɨg yakorkeikei pɨk mɨmə takharkun naha nhagɨn yame ratuatuk, kɨni mhapəh nhavənien tuk norien has mɨnə.
ROM.16.20	Kughen yame In nuknei nəmərinuyen, pəh nien mə tuk tu In tukrəvi-ətərəkɨn Setan, kɨni in ramarə əmə ye təpaage nɨhumiə. Pəh nɨhuvəyen kape Yesu Yermaru kapətawə tukraməmɨr irəmiə mɨnə.
ROM.16.21	Timoti e yame kɨmru min yakawor wok kɨrikianə ramaowiə kɨn əmiə. Kɨni Lusias mɨne Jeson mɨne Sosipata e kwənərəus kafak mɨnə karhaowiə mɨn kɨn əmiə.
ROM.16.22	Yo Tosias, yame yakamrai nəgkiarien kape Pol ye nəkwəkwə e, yo yakamaowiə kɨn əmiə, kɨtawə kɨrikianə ye Yesu Yermaru.
ROM.16.23	Gaeas ramaowiə kɨn əmiə. Yo Pol, yakamarə ye nimə kafan, kɨni narmamə kape niməhuak kasofugɨn iman ikɨn.
ROM.16.23	Erastas e yame ramərer tuk mane kape taon e, mɨne piautawə Kwotas, iriu mɨn kwaowiə kɨn əmiə.
ROM.16.24	Pəh Yesu Kristo Yermaru kapətawə tukrautə-pre kɨn kafan nɨhuvəyen kɨmi əmiə mfam. Amen.
ROM.16.25	Pəh khani vi vi Kughen. In rɨrkun norien mɨmə kɨmiə naksərer tɨm tɨm ye nhatətəyen kapəmiə meinai yɨmɨni-ərhav-pre nəvsaoyen huvə kape Yesu Kristo tuk əmiə. Nəgkiarien e rɨmnerkwaig əmə apa kupan muə meriaji-pə,
ROM.16.26	mərɨg taktakun ai, ruətərhav-pə. Kɨni Kughen e yame ramragh rerɨn, In e rɨmɨni mə jakni-ərhav nəvsaoyen kape Kristo yame profet mɨnə kupan kɨmnharai ye nəkwəkwə mɨnə kapəriə, mə narmamə tukharkun. Yakamni-ərhav mɨmə kwənərəus mɨnə fam ye tokrei tanə pəh tukshatətə əmə ye Kughen, mɨsor nəkwan. 
ROM.16.27	Kughen pɨsɨn əmə In Kughen, kɨni In pɨsɨn əmə rɨrkun nar. !Pəh kɨsəgnəgɨn Kughen nɨpɨg m-fam, infamien rɨrkək, tuk nar yame Yesu Kristo rɨmnor! Amen.
1CO.1.1	Yo Pol, yame Kughen rɨmnokrən kɨn yo mɨrpen yo ye nərɨgien kafan mɨmə yo aposol kɨrik kape Yesu Kristo, yakamrai nəkwəkwə e kɨmru piautawə Sostenes. 
1CO.1.2	Nəkwəkwə e ramvən kɨmi nəməhuak mɨnə kape Kughen apa Korin, kɨmiə narmamə yame Kughen rɨmnətu karɨn əmiə mə kafan mɨnə mə taksofugɨn-pən ye Yesu Kristo. Kɨni mokrən kɨn əmiə mə kafan mɨnə, kɨmiə mɨne nəməhuak yamə mɨne kɨsarə ikɨn pɨsɨn pɨsɨn mɨnə naksəhuak kɨmi Yesu Kristo Yermaru kapətawə, yame in Yermaru kapətawə fam. 
1CO.1.3	Pəh Rɨmtawə Kughen mɨne Yesu Kristo Yermaru kapətawə, tukwautə-pre kɨn nɨhuvəyen mɨne nəmərinuyen kɨmi əmiə.
1CO.1.4	Nɨpɨg mɨnə fam yakamni-pən tuk Kughen mə rɨkik ramagien tuk əmiə meinai naksofugɨn-pən tuk Yesu Kristo, ror pən rautə-pre kɨn kafan nɨhuvəyen kɨmi əmiə. 
1CO.1.5	Rɨmnautə-pre kɨn kafan nɨhuvəyen mə tukrehuə tuk əmiə ye norien mɨnə fam, mor əmiə mə takharkun huvə nar kɨni mhani-ərhav nəgkiarien kafan. 
1CO.1.6	Rɨmnor məkneikɨn meinai nɨmɨsəm mə nəvsaoyen kɨn Kristo yame yɨmnhani-ərhav-pre tuk əmiə in nəfrakɨsien. 
1CO.1.7	Ror məkneikɨn mə nɨpɨg nakasərer mamhawhin nuəyen kape Yesu Kristo Yermaru kapətawə, nakhapəh nɨsakwəkwəyen kɨn nəsanɨnien kɨrik kape Nanmɨn Kafan tuk norien wok kafan. 
1CO.1.8	Kɨni In tukror əmiə naksərer tɨm tɨm mɨsəriaji-pən nɨpɨg yame tukror infamien, mə tukpəh nəm-pənien nar has kɨrik irəmiə ye nɨpɨg yame Yesu Kristo Yermaru kapətawə tukrɨrerɨg-pə mɨn iran.
1CO.1.9	Kɨni Kughen tukror nar e kɨmi əmiə meinai nɨpɨg m-fam In ramor kafan nəgkiarien. In Kughen yame rɨmnokrən kɨn əmiə nakhauə kɨrikianə kɨmiə Tɨni Yesu Kristo Yermaru kapətawə.
1CO.1.10	Piak mɨnə mɨne nowinɨk mɨnə, yakamaiyoh skai əmiə ye nhag Yesu Kristo Yermaru kapətawə mə kɨmiə m-fam takasərɨg əmiə, mhapəh nɨsorien mə nətərɨgien kɨrik tukruə meikus kwhen kapəmiə; kɨni mərɨg takhauə əfrakɨs mɨsor kɨrikianə ye nərɨgien mɨne ye rɨkin kɨrikianə.
1CO.1.11	Piak mɨnə mɨne nowinɨk mɨnə, yakamni-pre məkneikɨn meinai yorwok tɨksɨn kape pian e Kloe kwənhani-əsah-pə ta iran mə kɨmiə nakasotgoh pɨk. 
1CO.1.12	Nɨprai nəgkiarien yame yakamni ror məkneikɨn: Kɨmiə tɨksɨn kamhani mhamə, “Kɨmawə yakamhakwasɨg kɨn Pol,” mərɨg tɨksɨn kamhani mhamə, “Kɨmawə yakamhakwasɨg kɨn kwən a Apolos,” kɨni tɨksɨn kamhani mhamə, “Kɨmawə yakamhakwasɨg kɨn Pita,” kɨni tɨksɨn kamhani mhamə, “Kɨmawə yakamhakwasɨg əmə kɨn Kristo.”
1CO.1.13	?Rɨkimiə raməsɨk mə ta mə nakharkun nɨseikus-eikusien məkneikɨn kwhen kape Kristo, uə? ?Nakha mə ta mə yo e Pol yɨmnəker ye nai kamarkwao kɨn tuk əmiə uə? Nɨkam, pa rɨmə kɨmnor baptaes irəmiə ye nhagɨk. 
1CO.1.14	Yo yakamni vi vi Kughen meinai yɨmɨpəh norien baptaes irəmiə kɨrik; mərɨg yɨmnor baptaes əmə ye kwərə mir a Krispas mɨne Gaeas.
