GEN.1.3	 Da sa Gud: «Det skal bli lys!» Og det ble lys. 
2CH.32.6	Så satte han hærførere over folket, samlet dem hos seg på plassen foran byporten og talte oppmuntrende til dem: 
2CH.32.7	 «Vær modige og sterke! Vær ikke redde og la dere ikke skremme av assyrerkongen og hele den hæren han har med seg. For den som er med oss, er større enn den som er med ham. 
2CH.32.8	 Bare menneskelig styrke er med ham, men 
2CH.32.9	Deretter sendte kong Sanherib av Assur, som lå ved Lakisj med hele styrken sin, noen av mennene sine til Jerusalem, til Juda-kongen Hiskia og alle de judeerne som var i Jerusalem. De skulle si:
2CH.32.10	«Så sier Sanherib, kongen av Assur: Hva er det dere stoler på, siden dere blir værende i Jerusalem under beleiringen? 
2CH.32.11	Hiskia villeder dere, og han vil la dere dø av sult og tørst når han sier: ‘
2CH.32.12	Har ikke denne Hiskia tatt bort hans offerhauger og altere og sagt til folket i Juda og Jerusalem: ‘Bare foran ett alter skal dere bøye dere og tilbe, og bare på det skal dere tenne offerild’? 
2CH.32.13	Vet dere ikke hva jeg og fedrene mine har gjort med folkene i alle andre land? Kunne disse folkeslagenes guder redde landene sine fra min hånd? 
2CH.32.14	Hvem av alle gudene til disse folkeslagene som fedrene mine slo med bann og utryddet, har vært i stand til å redde sitt folk fra min hånd? Og så skulle guden deres kunne redde dere! 
2CH.32.15	La nå ikke Hiskia narre dere! La ham ikke villede dere på denne måten! Tro ikke på ham! For ingen gud hos noe folkeslag eller rike har kunnet redde sitt folk fra min eller mine fedres hånd. Hvordan kan da guden deres redde dere fra min hånd?»
2CH.32.16	Dette og mye mer talte mennene hans mot 
2CH.32.17	Sanherib skrev også brev for å håne 
2CH.32.18	Så ropte de med høy stemme på judeisk til folket i Jerusalem som sto på muren. De ville sette frykt i dem og skremme dem, så de kunne innta byen. 
2CH.32.19	 De talte om Jerusalems Gud på samme måten som om gudene hos andre folk på jorden, de som er et verk av menneskehender.
2CH.32.21	Og 
2CH.32.22	Slik frelste 
2CH.32.23	Det var mange som kom til Jerusalem med gaver til 
2CH.32.25	Men Hiskia var ikke takknemlig for den velgjerningen som var gjort mot ham; hans hjerte ble hovmodig. Da kom det vrede over ham og over Juda og Jerusalem. 
2CH.32.26	Men Hiskia ydmyket seg, enda så hovmodig han var, og det samme gjorde de som bodde i Jerusalem. Derfor kom ikke 
2CH.32.27	Hiskia skaffet seg stor rikdom og ære. Han laget seg skattkamre for sølv og gull og kostbare steiner, balsamolje, skjold og alle slags kostbare gjenstander. 
2CH.32.28	Han bygde lagerhus for avlingen av korn, ny vin og fin olje, og fjøs for all slags buskap, og han skaffet buskap til fjøsene. 
2CH.32.29	Han bygde byer og skaffet seg mye småfe og storfe, for Gud hadde gitt ham stor rikdom. 
2CH.32.30	 Det var Hiskia som tettet til det øvre utløpet av Gihon-kilden og ledet vannet nedover mot vest til Davidsbyen. Hiskia lyktes i alt han gjorde. 
2CH.32.31	 Slik var det også da det kom sendebud fra Babels stormenn. De var sendt til ham for å forhøre seg om det underet som hadde skjedd i landet den gangen Gud forlot ham for å sette ham på prøve og finne ut hva som bodde i hjertet hans.
2CH.32.32	Det som ellers er å fortelle om Hiskia og den trofastheten han viste, det står skrevet i synene til profeten Jesaja, sønn av Amos, og i boken om Judas og Israels konger. 
2CH.32.33	Hiskia gikk til hvile hos fedrene sine. De gravla ham i skråningen blant gravene til Davids etterkommere. Alle som bodde i Juda og Jerusalem, viste ham stor ære da han døde. Hans sønn Manasse ble konge etter ham.
2CH.33.2	 Manasse gjorde det som var ondt i 
2CH.33.3	 Han bygde opp igjen de offerhaugene som hans far Hiskia hadde revet ned. Han reiste altere for Baal-gudene og laget Asjera-stolper, og han tilba og dyrket hele himmelens hær. 
2CH.33.4	 Selv i 
2CH.33.5	I begge forgårdene til tempelet bygde han altere for hele himmelens hær. 
2CH.33.6	 Manasse lot sønnene sine gå gjennom ilden i Hinnom-dalen. Han drev med tegntyding, spådomskunster og trolldom, og han rådførte seg med åndemanere og spåmenn. Manasse gjorde mye som var ondt i 
2CH.33.8	Jeg vil aldri mer la Israel vandre langt bort fra det landet jeg bestemte at deres fedre skulle ha, så sant de legger vinn på å gjøre alt det jeg har befalt dem, og lever etter hele loven og de forskrifter og bud de har fått gjennom Moses.» 
2CH.33.9	Men Manasse forledet dem som bodde i Juda og Jerusalem, til å gjøre enda mer ondt enn de folkeslagene som 
2CH.33.11	Derfor lot 
2CH.33.12	Men da han var i nød, ba han om velvilje for 
2CH.33.13	Han ba til ham og ble bønnhørt. Gud hørte hans rop om nåde og førte ham tilbake til Jerusalem og hans kongerike. Da forsto Manasse at det er 
2CH.33.15	Han fjernet de fremmede gudene og gudebildet fra 
2CH.33.16	Så satte han i stand 
2CH.33.17	Likevel fortsatte folket å ofre på haugene, men bare til 
2CH.33.18	Det som ellers er å fortelle om Manasse og hans bønn til sin Gud og om de ordene seerne talte til ham i navnet til 
2CH.33.19	Om bønnen hans og hvordan han ble bønnhørt, om hans synd og troløshet, og om de stedene der han bygde offerhauger og reiste Asjera-stolper og gudebilder før han ydmyket seg, alt dette står skrevet i hans seeres krønike. 
2CH.33.20	Manasse gikk til hvile hos fedrene sine. Han ble gravlagt på slottsområdet, og hans sønn Amon ble konge etter ham.
2CH.33.22	Amon gjorde det som var ondt i 
2CH.33.23	Men han ydmyket seg ikke for 
2CH.33.24	 Mennene hans fikk i stand en sammensvergelse mot ham, og de drepte ham i hans eget hus. 
2CH.33.25	 Men folket i landet slo i hjel alle dem som hadde sammensverget seg mot kong Amon, og så tok de hans sønn Josjia til konge etter ham.
2CH.34.2	Josjia gjorde det som var rett i 
2CH.34.3	I sitt åttende regjeringsår, da han ennå var ung, begynte han å søke sin stamfar Davids Gud. Og i det tolvte året begynte han å rense Juda og Jerusalem for offerhauger og Asjera-stolper og for utskårne og støpte gudebilder. 
2CH.34.4	 I hans nærvær rev de ned altrene for Baal-gudene, og røkelsesaltrene som sto oppå dem, hogg han i stykker. Asjera-stolpene og de utskårne og støpte bildene knuste han til støv, som han strødde på gravene til folk som hadde ofret til dem. 
2CH.34.5	Prestenes knokler brente han på deres egne altere. Slik renset han Juda og Jerusalem. 
2CH.34.6	 Også i byene i Manasse, Efraim og Simon, ja, helt til Naftali, la han alt i ruiner på alle kanter. 
2CH.34.7	Da han hadde revet ned altrene og Asjera-stolpene, knust de utskårne bildene til støv og hugget ned alle røkelsesaltrene i hele Israel, vendte han tilbake til Jerusalem.
2CH.34.8	I Josjias attende regjeringsår, da han hadde renset landet og tempelet, sendte han Sjafan, sønn av Asalja, sammen med byhøvdingen Maaseja og kansleren Joah, sønn av Joahas, av sted for å sette i stand 
2CH.34.9	Da de kom til øverstepresten Hilkia, ga de ham pengene som var kommet inn til Guds hus. Det var de pengene som levittene, dørvokterne, hadde samlet inn fra Manasse og Efraim og fra hele resten av Israel, fra hele Juda og Benjamin og fra dem som bodde i Jerusalem. 
2CH.34.10	De ga pengene til arbeidslederne som hadde tilsyn med 
2CH.34.11	De ga også penger til tømrerne og bygningsmennene så de kunne kjøpe inn hugget stein og tømmer til tverrbjelker. De skulle tømre opp igjen de bygningene som Juda-kongene hadde latt forfalle. 
2CH.34.12	Mennene arbeidet trofast. Levittene Jahat og Obadja av Merari-sønnene og Sakarja og Mesjullam av Kehat-sønnene hadde tilsyn med dem og ledet arbeidet. De levittene som var musikere, 
2CH.34.13	hadde tilsyn med bærerne og ledet alle dem som utførte arbeid av forskjellig slag. Andre levitter var skrivere, arbeidsformenn og dørvoktere.
2CH.34.15	Hilkia henvendte seg da til riksskriveren Sjafan og sa: «Jeg har funnet en bokrull med loven i 
2CH.34.16	Sjafan tok med seg bokrullen til kongen, og samtidig meldte han: «Tjenerne dine gjør alt det som er pålagt dem. 
2CH.34.17	Sølvet som fantes i 
2CH.34.18	Så fortalte han kongen: «Presten Hilkia har gitt meg en bokrull.» Og han leste opp fra rullen for kongen.
2CH.34.19	Da Josjia hørte det som sto i loven, flerret han klærne sine. 
2CH.34.20	 Så ga han denne befalingen til Hilkia og til Ahikam, sønn av Sjafan, Abdon, sønn av Mika, riksskriveren Sjafan og kongsmannen Asaja: 
2CH.34.21	«Gå og søk råd hos 
2CH.34.23	og hun sa til dem:
2CH.34.23	«Så sier 
2CH.34.24	Så sier 
2CH.34.25	For de har forlatt meg og tent offerild for andre guder. Slik har de gjort meg rasende med sine handlinger. Min harme er øst ut over dette stedet, og den skal ikke slukne. 
2CH.34.26	Men til Juda-kongen som sendte dere for å søke råd hos 
2CH.34.27	De rørte ved ditt hjerte, og du ydmyket deg for Guds ansikt da du hørte ordene hans mot dette stedet og mot dem som bor der. Fordi du ydmyket deg for meg og flerret klærne dine og gråt for mitt ansikt, har jeg nå også hørt, sier 
2CH.34.28	Se, jeg vil la deg komme til dine fedre. I fred skal du bli forent med dem i graven. Dine øyne skal slippe å se all den ulykken jeg fører over dette stedet og over dem som bor der.»
2CH.34.28	Dette svaret brakte de tilbake til kongen. 
2CH.34.29	 Da sendte kongen bud og kalte sammen alle de eldste i Juda og Jerusalem. 
2CH.34.30	Så gikk han opp til 
2CH.34.31	 Kongen stilte seg opp på plassen sin og sluttet en pakt for 
2CH.34.32	Så lot han alle som var til stede i Jerusalem og Benjamin, gå med i pakten. Og de som bodde i Jerusalem, levde etter pakten de hadde sluttet med Gud, sine fedres Gud. 
2CH.34.33	 Josjia fjernet alt det som var avskyelig, fra alle israelittenes landområder, og han sørget for at alle som fantes i Israel, dyrket 
2CH.35.2	Kongen satte prestene til deres oppgaver og oppmuntret dem til tjenesten i 
2CH.35.3	 Og til levittene, som underviste hele Israel og var innviet til 
2CH.35.4	 Gjør dere klare, familie for familie og skift for skift, slik Israels konge David og hans sønn Salomo har foreskrevet. 
2CH.35.5	Still dere opp i helligdommen etter den inndelingen i familier som gjelder brødrene deres av folket, og etter den familieinndelingen som gjelder for levittene. 
2CH.35.6	Så skal dere slakte påskelammet. Dere skal hellige dere og gjøre alt i stand for brødrene deres, slik at det blir gjort etter 
2CH.35.8	Også stormennene kom med frivillige gaver til folket og prestene og levittene. Hilkia, Sakarja og Jehiel, som hadde hovedansvaret for Guds hus, ga prestene to tusen seks hundre påskelam og tre hundre okser. 
2CH.35.9	Og de som var ledere for levittene, Konanja, hans brødre Sjemaja og Netanel, Hasjabja, Je'iel og Josabad, ga fem tusen påskelam og fem hundre okser til levittene.
2CH.35.10	Slik ble tjenesten ordnet. Prestene stilte seg på plassene sine, og levittene stilte seg opp skift for skift, slik kongen hadde påbudt. 
2CH.35.11	Påskelammene ble slaktet, og prestene tok blodet og stenket det, mens levittene flådde dyrene. 
2CH.35.12	Det som skulle brukes til brennofferet, la de til side for å gi det til folket slik det var inndelt i familier. De skulle ofre det til 
2CH.35.13	 Påskelammet stekte de over ilden etter forskriftene, og de hellige gavene kokte de i gryter, kjeler og panner. Så skyndte de seg å bære det ut til hele folket. 
2CH.35.14	Siden laget de i stand til seg selv og til prestene. For Arons sønner, prestene, var opptatt med å bære fram brennoffer og fett helt til det ble natt. Derfor laget levittene i stand til seg selv og til prestene, Arons sønner. 
2CH.35.15	Sangerne, Asafs sønner, sto på plassene sine slik som David, Asaf, Heman og Jedutun, kongens seer, hadde bestemt, mens portvaktene sto ved hver sin port. Ingen av dem trengte å forlate tjenesten, for brødrene deres, levittene, gjorde i stand til dem.
2CH.35.16	Slik ble hele tjenesten for 
2CH.35.17	De israelittene som var til stede den gangen, holdt påske og feiret de usyrede brøds høytid i sju dager. 
2CH.35.18	En slik påske var det ikke blitt holdt i Israel siden profeten Samuels dager. Ingen av Israels konger hadde holdt en slik påske som den Josjia feiret sammen med prestene og levittene, alle judeerne og de israelittene som var til stede, og med dem som bodde i Jerusalem. 
2CH.35.19	Det var først i Josjias attende regjeringsår at en slik påske ble feiret.
2CH.35.21	Da sendte Neko bud til ham og sa: «Hva har jeg med deg å gjøre, Juda-konge? Det er ikke mot deg jeg drar ut i dag, men mot det kongehuset jeg ligger i strid med. Og Gud har sagt at jeg skal skynde meg. Slutt med å sette deg opp mot Gud, som er med meg! Ellers vil han gjøre ende på deg.» 
2CH.35.22	Men Josjia trakk seg ikke tilbake. Han forkledde seg og ville kjempe imot ham. Han hørte ikke på Nekos ord, som kom fra Guds munn, men dro ut til kamp på Megiddo-sletten.
2CH.35.24	Mennene fikk ham da ut av stridsvognen og over i den andre vognen hans og kjørte ham til Jerusalem, og der døde han. Han ble gravlagt på sine fedres gravplass, og hele Juda og Jerusalem sørget over Josjia. 
2CH.35.25	Jeremia stemte i en likklage over Josjia, og siden den gangen har alle sangerne og sangerinnene sunget om Josjia i likklagene sine. Det ble en fast skikk i Israel, og de er skrevet ned blant likklagene.
2CH.35.26	Det som ellers er å fortelle om Josjia og den trofaste kjærligheten han viste, i samsvar med det som står skrevet i 
2CH.35.27	alt som er å fortelle om ham fra først til sist, det står skrevet i boken om Israels og Judas konger.
2CH.36.2	Joahas var tjuetre år gammel da han ble konge, og han regjerte i Jerusalem i tre måneder. 
2CH.36.3	 Men egypterkongen avsatte ham i Jerusalem, og av landet krevde han en bot på hundre talenter sølv og en talent gull. 
2CH.36.4	 Så gjorde egypterkongen Neko hans bror Eljakim til konge over Juda og Jerusalem og forandret hans navn til Jojakim. Broren Joahas tok Neko og førte til Egypt.
2CH.36.5	Jojakim var tjuefem år gammel da han ble konge, og han regjerte i Jerusalem i elleve år. Han gjorde det som var ondt i 
2CH.36.6	 Kong Nebukadnesar av Babel dro opp mot ham. Han bandt ham med bronselenker for å føre ham til Babel. 
2CH.36.7	 Nebukadnesar tok også med seg utstyr fra 
2CH.36.8	Det som ellers er å fortelle om Jojakim, om det avskyelige han gjorde, og som han ble funnet skyldig i, det står skrevet i boken om Israels og Judas konger. Hans sønn Jojakin ble konge etter ham.
2CH.36.10	 Ved årsskiftet sendte kong Nebukadnesar bud og lot ham hente til Babel, sammen med kostbare gjenstander fra 
2CH.36.11	Sidkia var tjueen år gammel da han ble konge, og han regjerte i Jerusalem i elleve år. 
2CH.36.12	Han gjorde det som var ondt i 
2CH.36.14	 Også lederne blant prestene og folket ble mer og mer troløse, og de tok etter alle avskyelige skikker hos folkeslagene. De gjorde 
2CH.36.15	, deres fedres Gud, sendte bud til dem sent og tidlig gjennom sine budbærere, for han ville skåne sitt folk og sin bolig. 
2CH.36.16	Men de hånte Guds sendebud, spottet hans ord og holdt profetene hans for narr, inntil 
2CH.36.18	 Alt utstyret i Guds hus, både stort og smått, skattene i 
2CH.36.19	Så brente de opp Guds hus og rev ned Jerusalems mur. Alle borgene i byen satte de i brann, og de ødela alle kostbare gjenstander. 
2CH.36.20	 De som slapp unna sverdet, førte han i eksil til Babel. Der ble de slaver for ham og sønnene hans helt til perserne fikk makten. 
2CH.36.21	 Slik ble 
2CH.36.23	 «Så sier Kyros, kongen i Persia: 
EZR.1.2	«Så sier Kyros, kongen av Persia:
EZR.1.3	Hvem av dere hører til hans folk? Gud være med dere, hver og en! Dere kan dra opp til Jerusalem i Juda og bygge et hus for 
EZR.1.4	Alle som er igjen, hvor de enn har slått seg ned som innflyttere, skal få hjelp av dem som bor på stedet. De skal få sølv og gull, gods og buskap og dessuten frivillige gaver til Guds hus i Jerusalem.»
EZR.1.5	Da brøt de opp, Benjamins og Judas familieoverhoder, prestene og levittene, alle som Gud hadde gitt den tanken at de skulle dra opp og bygge 
EZR.1.6	Alle naboene støttet dem med sølvkar og gull, gods, buskap og andre verdifulle ting. De kom også med frivillige gaver.
EZR.1.8	 Kyros, kongen av Persia, overlot dem til skattmesteren Mitredat, som talte dem opp og ga dem til Sjesjbassar, fyrsten i Juda. 
EZR.1.9	Antallet var: 30 gullskåler, 1000 sølvskåler og 29 andre skåler, 
EZR.1.10	30 gullbeger, 410 doble sølvbeger og 1000 andre kar. 
EZR.1.11	Til sammen var det 5400 kar av gull og sølv. Sjesjbassar brakte alt dette med seg da de bortførte dro opp fra Babel til Jerusalem.
EZR.2.2	 De kom sammen med Serubabel, Josva, Nehemja, Seraja, Reelaja, Mordekai, Bilsjan, Mispar, Bigvai, Rehum og Baana.
EZR.2.2	Dette er tallet på mennene fra Israels folk: 
EZR.2.3	etterkommere av Parosj 2172, 
EZR.2.4	av Sjefatja 372, 
EZR.2.5	av Arah 775, 
EZR.2.6	av Pahat-Moab, altså av Josva og Joab 2812, 
EZR.2.7	av Elam 1254, 
EZR.2.8	av Sattu 945, 
EZR.2.9	av Sakkai 760, 
EZR.2.10	av Bani 642, 
EZR.2.11	av Bebai 623, 
EZR.2.12	av Asgad 1222, 
EZR.2.13	av Adonikam 666, 
EZR.2.14	av Bigvai 2056, 
EZR.2.15	av Adin 454, 
EZR.2.16	av Ater, altså av Hiskia, 98, 
EZR.2.17	av Besai 323, 
EZR.2.18	av Jora 112, 
EZR.2.19	av Hasjum 223, 
EZR.2.20	av Gibbar 95. 
EZR.2.21	Menn fra Betlehem 123, 
EZR.2.22	fra Netofa 56, 
EZR.2.23	fra Anatot 128, 
EZR.2.24	fra Bet-Asmavet 42, 
EZR.2.25	fra Kirjat-Jearim, Kefira og Beerot 743, 
EZR.2.26	fra Rama og Geba 621, 
EZR.2.27	fra Mikmas 122, 
EZR.2.28	fra Betel og Ai 223, 
EZR.2.29	fra Nebo 52. 
EZR.2.30	Etterkommere av Magbisj 156, 
EZR.2.31	 av den andre Elam 1254, 
EZR.2.32	av Harim 320. 
EZR.2.33	Menn fra Lod, Hadid og Ono 725, 
EZR.2.34	fra Jeriko 345. 
EZR.2.35	Etterkommere av Senaa 3630.
EZR.2.36	Prestene: etterkommere av Jedaja, fra Josvas hus, 973, 
EZR.2.37	av Immer 1052, 
EZR.2.38	av Pasjhur 1247, 
EZR.2.39	av Harim 1017.
EZR.2.40	Levittene: etterkommere av Josva og Kadmiel, altså av Hodavja, 74.
EZR.2.41	Sangerne: etterkommere av Asaf 128.
EZR.2.42	Portvaktene: etterkommere av Sjallum, Ater, Talmon, Akkub, Hatita og Sjobai, i alt 139.
EZR.2.43	Tempeltjenerne: etterkommere av Siha, Hasufa, Tabbaot, 
EZR.2.44	Keros, Siaha, Padon, 
EZR.2.45	Lebana, Hagaba, Akkub, 
EZR.2.46	Hagab, Sjalmai, Hanan, 
EZR.2.47	Giddel, Gahar, Reaja, 
EZR.2.48	Resin, Nekoda, Gassam, 
EZR.2.49	Ussa, Paseah, Besai, 
EZR.2.50	Asna, me'unittene og nefusittene, 
EZR.2.51	Bakbuk, Hakufa, Harhur, 
EZR.2.52	Baslut, Mehida, Harsja, 
EZR.2.53	Barkos, Sisera, Tamah, 
EZR.2.54	Nesiah og Hatifa. 
EZR.2.55	Etterkommerne av Salomos tjenere: av Sotai, Hassoferet, Peruda, 
EZR.2.56	Jaala, Darkon, Giddel, 
EZR.2.57	Sjefatja, Hattil, Pokeret-Hassebajim og Ami. 
EZR.2.58	Tempeltjenerne og etterkommerne av Salomos tjenere var i alt 392.
EZR.2.59	Dette er de som dro tilbake fra Tel-Melah, Tel-Harsja, Kerub, Addan og Immer, men som ikke kunne gjøre rede for sin slekt og sitt opphav, om de tilhørte Israel: 
EZR.2.60	etterkommere av Delaja, Tobia og Nekoda 652, 
EZR.2.61	 og etterkommere av prestene: av Hobaja, Hakkos og Barsillai, han som hadde giftet seg med en av døtrene til Barsillai fra Gilead og tatt deres navn. 
EZR.2.62	De lette etter slektsregistrene sine, men fant dem ikke. Derfor ble de regnet for uverdige til prestetjenesten. 
EZR.2.63	 Stattholderen forbød dem å spise av det høyhellige til det sto fram en prest med urim og tummim.
EZR.2.64	Hele forsamlingen var i alt 42 360. 
EZR.2.65	I tillegg kom de 7337 mannlige og kvinnelige slavene, dessuten 200 mannlige og kvinnelige sangere. 
EZR.2.66	De hadde 736 hester, 245 muldyr, 
EZR.2.67	435 kameler og 6720 esler.
EZR.2.68	Da de kom til 
EZR.2.69	De ga etter evne til arbeidskassen: 61 000 gulldrakmer, 5000 sølvminer og 100 prestedrakter.
EZR.2.70	Prestene og levittene bosatte seg i sine egne byer sammen med noen av folket, sangerne, portvaktene og tempeltjenerne, og hele Israel bosatte seg i sine byer.
EZR.3.1	Da den sjuende måneden kom og israelittene hadde slått seg ned i byene, samlet folket seg alle som en i Jerusalem. 
EZR.3.2	 Noen begynte å bygge et alter for Israels Gud. Det var Josva, sønn av Josadak, og hans brødre prestene, og Serubabel, sønn av Sjealtiel, og hans brødre. På alteret skulle de ofre brennoffer, slik det står skrevet i loven til gudsmannen Moses. 
EZR.3.3	 De reiste alteret der det før hadde stått, selv om de fryktet folkene i landområdene omkring, og de bar fram brennoffer til 
EZR.3.4	 Så feiret de løvhyttefesten slik det står skrevet, med så mange brennoffer som var bestemt for hver enkelt dag. 
EZR.3.5	 Deretter bar de fram det daglige brennofferet og brennoffer for nymånedagene og for alle andre høytider som var helliget 
EZR.3.6	Den første dagen i den sjuende måneden begynte de å bære fram brennoffer for 
EZR.3.9	Josva og sønnene og brødrene hans, Kadmiel og sønnene hans og Hodavja sto fram alle som en og hadde tilsyn med arbeidet på Guds hus. Det samme gjorde etterkommerne av Henadad med sønnene og brødrene sine, som også var levitter.
EZR.3.11	 De stemte i med lov og takk til 
EZR.3.12	 Men mange av prestene, levittene og familieoverhodene som var så gamle at de hadde sett det første tempelet, gråt høyt da de så det tempelet som nå ble grunnlagt. Andre jublet høyt i glede. 
EZR.3.13	Det var ikke mulig å skille de glade jubelropene fra folkets gråt. For folket jublet så høyt at det hørtes vidt omkring.
EZR.4.1	Motstanderne til Juda og Benjamin fikk høre at de som hadde vært i eksil, holdt på å bygge et tempel for 
EZR.4.2	Da gikk de til Serubabel og familieoverhodene og sa: «La oss bygge sammen med dere. For vi dyrker den samme Gud og har ofret til ham helt siden assyrerkongen Asar-Haddon førte oss hit.» 
EZR.4.3	Men Serubabel, Josva og resten av familieoverhodene i Israel svarte dem: «Nei, vi kan ikke bygge et hus for vår Gud sammen med dere. Alene vil vi bygge det for 
EZR.4.4	Folket i landet tok da motet fra Judas folk og skremte dem fra å bygge. 
EZR.4.5	 De betalte kongens rådgivere for å motarbeide byggeplanene så lenge perserkongen Kyros levde, og helt fram til Dareios ble konge i Persia.
EZR.4.7	Mens Artaxerxes styrte i Persia, skrev Bisjlam, Mitredat, Tabeel og resten av embetsbrødrene deres til kongen. Dokumentet var skrevet på arameisk og ble tolket.
EZR.4.9	«Fra rådsherren Rehum, skriveren Sjimsjai og alle embetsbrødrene deres, dommerne, embetsmennene, offiserene, oppsynsmennene, folkene fra Erek og Babel og elamittene fra Susa, 
EZR.4.10	 og de andre folkeslagene som den store og berømte Asenappar førte bort og bosatte i byen Samaria og ellers i provinsen Bortenfor Eufrat.»
EZR.4.11	Dette er en avskrift av brevet som ble sendt kongen:
EZR.4.11	«Til kong Artaxerxes fra tjenerne dine, mennene fra provinsen Bortenfor Eufrat.
EZR.4.12	Kongen skal vite at de judeerne som dro opp fra deg til oss, er kommet til Jerusalem. De er i ferd med å bygge opp igjen denne opprørske og onde byen. De fullfører murene og reparerer grunnvollene. 
EZR.4.13	Nå skal kongen vite at dersom denne byen blir bygd opp igjen og murene fullført, så vil de verken betale skatter, toll eller avgifter, og dette kommer til å skade kongedømmet. 
EZR.4.14	 Siden vi spiser av palassets salt, sømmer det seg ikke for oss å se på at kongen blir vanæret. Derfor melder vi nå fra om dette til kongen, 
EZR.4.15	 slik at man kan undersøke i dine fedres krønike. I denne boken vil du finne at dette har vært en opprørsk by som har vært til skade for konger og provinser. Fra de tidligste tider har det vært uro der, og derfor er denne byen blitt ødelagt. 
EZR.4.16	Vi gjør kjent for kongen at dersom byen blir bygd opp igjen og murene fullført, så kommer du ikke til å ha land bortenfor Eufrat.»
EZR.4.17	Kongen sendte dette svaret:
EZR.4.17	«Til rådsherren Rehum, skriveren Sjimsjai og resten av embetsbrødrene som bor i Samaria og ellers i provinsen Bortenfor Eufrat: Fred!
EZR.4.18	Dokumentet som dere sendte oss, har jeg fått oversatt og opplest. 
EZR.4.19	Jeg ga ordre om en undersøkelse, og man fant at denne byen fra de tidligste tider av har reist seg mot kongene. Det har vært opprør og uro der. 
EZR.4.20	 Mektige konger har styrt over Jerusalem og hersket over hele provinsen Bortenfor Eufrat. De fikk inn skatter, avgifter og toll. 
EZR.4.21	Gi nå påbud om å stanse disse mennene, så byen ikke blir bygd opp igjen før det kommer ordre fra meg. 
EZR.4.22	Vær ikke ettergivende i denne saken, ellers kan det bli til enda større skade og tap for kongene.»
EZR.4.23	Så snart avskriften av dokumentet fra kong Artaxerxes var blitt lest opp for Rehum, skriveren Sjimsjai og yrkesbrødrene deres, dro de i all hast til judeerne i Jerusalem og stanset dem med vold og makt. 
EZR.4.24	Da ble arbeidet på Guds hus i Jerusalem avbrutt, og det lå nede til det andre året av perserkongen Dareios' regjeringstid.
EZR.5.2	Da begynte Serubabel, sønn av Sjealtiel, og Josva, sønn av Josadak, å bygge Guds hus i Jerusalem, og Guds profeter var med og støttet dem. 
EZR.5.3	Straks kom Tattenai, stattholderen i provinsen Bortenfor Eufrat, og Sjetar-Bosnai og embetsbrødrene deres til dem og sa: «Hvem har gitt dere ordre om å bygge dette huset og gjøre treverket ferdig?» 
EZR.5.4	 Videre spurte vi dem: «Hva heter mennene som bygger denne bygningen?»
EZR.5.6	Dette er en avskrift av brevet som Tattenai, stattholderen i provinsen Bortenfor Eufrat, og Sjetar-Bosnai og embetsbrødrene hans, embetsmennene i provinsen, sendte til kong Dareios. 
EZR.5.7	Slik sto det skrevet i meldingen:
EZR.5.7	«Til kong Dareios: All fred!
EZR.5.8	Kongen skal vite at vi har gjort en reise til provinsen Juda, til den store Guds hus. Det blir nå bygd opp igjen av tilhugget stein, og veggene kles med tre. Arbeidet utføres med flid og har god fremgang. 
EZR.5.9	Vi spurte de eldste: ‘Hvem har gitt dere ordre om å bygge dette huset og gjøre treverket ferdig?’ 
EZR.5.10	Vi spurte dem også hva de het, så vi kunne skrive ned navnene på mennene som var ledere, og la deg få vite det. 
EZR.5.11	Dette var svaret de ga oss: ‘Vi er tjenere for himmelens og jordens Gud, og vi bygger opp igjen det huset som ble reist her en gang for mange år siden. Det var en stor konge i Israel som bygde og fullførte det. 
EZR.5.12	 Men våre fedre gjorde himmelens Gud harm. Derfor ga han dem i hendene på kaldeeren Nebukadnesar, kongen i Babel. Han ødela dette huset og førte folket i eksil til Babel. 
EZR.5.13	 Men i det første året Kyros var konge i Babel, ga han ordre om at Guds hus skulle bygges opp igjen. 
EZR.5.14	Gullkarene og sølvkarene som tilhørte Guds hus, de som Nebukadnesar hadde tatt ut av tempelet i Jerusalem og brakt til tempelet i Babel, de tok kong Kyros ut av tempelet i Babel. Han ga dem til en mann som het Sjesjbassar, som han hadde satt til stattholder, 
EZR.5.15	og sa til ham: Ta dette utstyret, dra av sted og sett det i tempelet i Jerusalem! Guds hus skal bygges opp igjen på samme sted som før. 
EZR.5.16	 Så kom denne Sjesjbassar og la grunnvollen til tempelet i Jerusalem. Fra den tiden og til i dag har de bygd på det, men ennå er det ikke ferdig.’
EZR.5.17	Og nå, om kongen vil, så la det bli undersøkt i de kongelige skattkamrene der borte i Babel om kong Kyros har befalt å bygge Guds hus i Jerusalem. La oss så få vite hva som er kongens vilje i denne saken.»
EZR.6.1	Da ga kong Dareios påbud om å undersøke i arkivet over skattene som var lagret i Babel. 
EZR.6.2	 I borgen i Ahmeta, som er i provinsen Media, ble det funnet en bokrull. På den sto det skrevet:
EZR.6.2	«Kunngjøring.
EZR.6.4	med tre lag tilhugget stein og ett lag nytt tømmer. Utgiftene skal dekkes av kongehuset. 
EZR.6.5	 Og utstyret av gull og sølv fra Guds hus, som Nebukadnesar tok ut av tempelet i Jerusalem og førte til Babel, skal gis tilbake. Det skal bringes til tempelet i Jerusalem og settes på plass i Guds hus.
