GEN.1.4	Gud så lyset, at det var godt. Og Gud skilte lyset fra mørket.
2KI.7.9	Så sa de til hverandre: «Det vi gjør i dag, er ikke rett. Dette er dagen med gode nyheter
2KI.7.10	Så gikk de og ropte til portvaktene i byen. De fortalte dette til dem og sa: «Vi gikk over til arameernes leir, men der var det ingen å se, ikke engang noen lyd av et menneske, bare hester og esler som sto bundet, og teltene var slik de skulle.»
2KI.7.11	Portvaktene ropte dette ut, og de fortalte det inne i kongens hus.
2KI.7.13	Men en av tjenerne hans svarte og sa: «La nå noen ta fem av hestene som er igjen i byen. Enten vil det gå med dem som det går med hele den skaren av Israel som er igjen i byen. Eller så vil det gå med dem som det er gått med hele den skaren av Israel som er døde. La oss sende dem av sted, så får vi se.»
2KI.7.14	De tok to vogner med hester foran. Kongen sendte dem i retning av den arameiske hæren og sa: «Gå av sted og se!»
2KI.7.15	De dro etter dem helt til Jordan. Og sannelig, langs hele veien var det fullt av klesplagg og våpen som arameerne hadde kastet fra seg mens de skyndte seg av sted. Så vendte utsendingene tilbake og fortalte det til kongen.
2KI.7.19	Da hadde denne embetsmannen svart Guds mann og sagt: «Se nå, om så Herren lagde sluser i himmelen, kunne da noe slikt skje?» Og han hadde svart: «Du skal sannelig få se det med dine egne øyne, men du skal ikke få spise av det.»
2KI.7.20	Slik gikk det med ham, for folket trampet ham ned i porten, så han døde.
2KI.8.2	Så brøt kvinnen opp og gjorde etter det ordet som ble sagt av Guds mann, og hun dro av sted med hele sitt hus og bodde i landet til filisterne i sju år.
2KI.8.3	Men da de sju årene var omme, vendte kvinnen tilbake fra filisternes land. Hun gikk for å klage sin nød til kongen, så hun kunne få huset og jordeiendommen sin tilbake.
2KI.8.6	Da kongen spurte kvinnen, fortalte hun det til ham. Så utpekte kongen en bestemt hoffmann for henne og sa: «Se til at hun får tilbake alt som var hennes, og all avkastningen fra jordeiendommen helt fra den dagen hun forlot landet og fram til nå.»
2KI.8.7	Så kom Elisja til Damaskus mens Benhadad, kongen i Syria, lå syk. Det ble fortalt ham: «Guds mann har kommet hit.»
2KI.8.8	Kongen sa til Hasael: «Ta en gave med deg i hånden og gå Guds mann i møte! Spør Herren om råd ved ham og si: Skal jeg bli frisk fra denne sykdommen?»
2KI.8.9	Så gikk Hasael for å møte ham, og han tok med seg en gave av alt det gode i Damaskus, så mye som 40 kameler kunne bære. Han kom og stilte seg foran ham og sa: «Din sønn Benhadad, Syrias konge, har sendt meg til deg, og han sier: ‘Skal jeg bli frisk fra denne sykdommen?’»
2KI.8.13	Så sa Hasael: «Men hva er din tjener, en hund, at han skulle gjøre slike veldige gjerninger?» Elisja svarte: «Herren har vist meg at du skal bli konge over Syria.»
2KI.8.15	Men dagen etter tok han et tykt tøystykke, dyppet det i vann og la det over ansiktet hans, så Benhadad døde. Hasael ble konge etter han.
2KI.8.16	I det femte regjeringsåret til Joram, Ahabs sønn, Israels konge, mens Josjafat ennå var konge i Juda, ble Joram, Josjafats sønn, konge i Juda.
2KI.8.17	Han var 32 år gammel da han ble konge, og han var konge i åtte år i Jerusalem.
2KI.8.19	Men for sin tjener Davids skyld ville ikke Herren ødelegge Juda, for Han hadde lovt å la en lampe brenne for ham og hans sønner alle dager.
2KI.8.21	Så dro Joram til Sa’ir, og alle vogn-ene hans var med ham. Med befalings-mennene over vognene hadde edomit-tene omringet ham. Men om natten brøt han opp og slo til mot dem. Da flyktet hæren til teltene sine.
2KI.8.22	Slik har Edom til denne dag alltid vært i opprør mot Judas myndighet. Også Libna gjorde opprør på den tiden.
2KI.8.23	De andre Jorams gjerninger og alt det han gjorde, er ikke det skrevet ned i krønikeboken om kongene i Juda?
2KI.8.26	Akasja var 22 år gammel da han ble konge, og han var konge i ett år i Jerusalem. Hans mors navn var Atalja, datter
2KI.9.3	Så skal du ta oljeflasken og helle oljen ut over hodet hans og si: Så sier Herren: ‘Jeg har salvet deg til konge over Israel!’ Deretter skal du åpne døren og flykte, og vær ikke sen!»
2KI.9.4	Så dro den unge mannen, tjeneren hos profeten, til Ramot i Gilead.
2KI.9.5	Da han kom fram, se, der satt førerne for hæren. Han sa: «Jeg har et budskap til deg, du som er øverstkommanderende!» Jehu sa: «Til hvem av oss?» Han sa: «Til deg, du som er øverstkommanderende!»
2KI.9.12	Men de sa: «Dette er bare løgn. Fortell oss det nå!» Så sa han: «Det og det talte han til meg og sa: ‘Så sier Herren: 
2KI.9.13	Hver mann skyndte seg da og tok kappen sin og la den under ham øverst på trappen. De blåste i basun og sa: «Jehu er konge!»
2KI.9.16	Så kjørte Jehu bort i en vogn og dro til Jisre’el, for Joram var blitt liggende der. Akasja, kongen av Juda, hadde kommet ned for å besøke Joram.
2KI.9.17	Vaktmannen som sto i tårnet i Jisre’el, så flokken til Jehu da de kom. Han ropte: «Jeg ser en flokk!» Joram sa: «Hent en rytter og send ham for å møte dem, og la ham spørre: Er det bare fred?»
2KI.9.18	Så dro rytteren ut for å møte ham, og han sa: «Så sier kongen: ‘Er det bare fred?’» Jehu svarte: «Hva angår det deg om det er fred? Vend du om og følg meg!» Så meldte vaktmannen fra og sa: «Budbæreren dro ut til dem, men han kommer ikke tilbake.»
2KI.9.19	Da sendte han ut en annen rytter som kom til dem og sa: «Så sier kongen: ‘Er det bare fred?’» Jehu svarte: «Hva angår det deg om det er fred? Vend du om og følg meg!»
2KI.9.20	Så meldte vaktmannen fra og sa: «Han dro ut til dem, men kommer ikke tilbake. Måten han kjører fram på, ligner på kjøringen til Jehu, Nimsjis sønn, for han kjører som en villmann.»
2KI.9.23	Da snudde Joram og flyktet, og han sa til Akasja: «Forræderi, Akasja!»
2KI.9.24	Jehu tok et godt grep i buen sin og skjøt Joram mellom armene. Pilen kom ut ved hjertet hans, og han sank sammen i vognen.
2KI.9.27	Men da Akasja, kongen av Juda, så dette, flyktet han langs veien til Bet-Haggan
2KI.9.28	Tjenerne hans kjørte ham i vognen til Jerusalem og begravde ham i graven hans sammen med hans fedre i Davids by.
2KI.9.29	I det ellevte året til Joram, Ahabs sønn, var Akasja blitt konge over Juda.
2KI.9.32	Men han så opp mot vinduet og sa: «Hvem er det som er på min side? Hvem?» Da var det to, tre hoffmenn
2KI.9.35	Så gikk de for å begrave henne, men de fant ikke mer av henne enn hodeskallen, føttene og hendene hennes.
2KI.9.37	Liket av Jesabel skal bli som avfall på jorden, på jordstykket ved Jisre’el, så de ikke skal kunne si: 
2KI.10.1	Ahab hadde 70 sønner i Samaria. Jehu skrev brev og sendte dem til Samaria, til lederne i Jisre’el,
2KI.10.2	«Med det samme dette brevet kommer til dere, og siden sønnene til deres herre er hos dere, og dere har vogner og hester og en befestet by og våpen,
2KI.10.3	så skal dere velge ut den mest oppriktige av sønnene til deres herre, sette ham på sin fars trone og stride for deres herres hus.»
2KI.10.5	Han som hadde overoppsynet med huset, han som hadde overoppsynet med byen, og de eldste og de som oppfostret sønnene, sendte bud til Jehu og sa: «Vi er dine tjenere, vi vil gjøre alt du sier til oss. Men vi vil ikke gjøre noen til konge. Gjør du bare det som er godt i dine øyne.»
2KI.10.6	Da skrev han et nytt brev til dem og sa: «Hvis dere er på min side og vil lyde min røst, skal dere hogge hodet av mennene, sønnene til deres herre, og komme til meg i Jisre’el på denne tiden i morgen.» Men kongens sønner, som var 70 menn, bodde sammen med de store mennene i byen, de som oppfostret dem.
2KI.10.8	Så kom en budbærer og talte til ham og sa: «De har kommet med hodene til kongens sønner.» Han sa: «Legg dem i to hauger ved inngangen til porten til i morgen tidlig.»
2KI.10.9	Morgenen etter gikk han ut, steg fram og sa til hele folket: «Dere er uten skyld. Sannelig, det var jeg som fikk i stand sammensvergelsen mot min herre og drepte ham. Men hvem var det som drepte alle disse?
2KI.10.11	Så slo Jehu i hjel alle som var igjen av Ahabs hus i Jisre’el, og alle hans stormenn, nære bekjente og prester, helt til det ikke var flere igjen i live.
2KI.10.12	Han brøt opp, la ut og dro til Samaria. På veien, ved gjeternes Bet-Eked
2KI.10.14	Han sa: «Ta dem levende!» Så tok de dem levende og drepte dem ved brønnen i Bet-Eked. De var 42 menn, og han lot ingen av dem bli igjen i live.
2KI.10.15	Da han dro derfra, møtte han Jonadab, Rekabs sønn, som kom ham i møte. Han hilste på ham og sa til ham: «Er ditt hjerte oppriktig mot meg, slik mitt hjerte er mot ditt hjerte?» Jonadab svarte: «Det er det.» Jehu sa: «Hvis det er det, så gi meg hånden din!» Så ga han ham hånden sin, og han lot ham komme opp til seg i vognen.
2KI.10.16	Så sa han: «Bli med meg, og se hvor nidkjær jeg er for Herren.» Så lot de ham kjøre i vognen hans.
2KI.10.20	Jehu sa: «Utrop en høytidelig samling for Ba’al!» Så utropte de en slik.
2KI.10.22	Han sa til den som hadde tilsyn med garderoben: «Hent fram kledninger til alle dem som dyrker Ba’al!» Så hentet han fram kledninger til dem.
2KI.10.23	Deretter gikk Jehu og Jonadab, Rekabs sønn, inn i Ba’als hus og sa til dem som dyrket Ba’al: «Undersøk og se etter at ingen som tjener Herren, er her sammen med dere, men bare de som dyrker Ba’al.»
2KI.10.25	Så snart han var ferdig med å ofre brennofferet, sa Jehu til livvakten og til embetsmennene: «Gå inn og drep dem! La ikke noen komme ut!» Og de slo dem i hjel med sverdets egg. Deretter kastet livvaktene og embetsmennene dem ut, og de gikk inn i det indre rommet
2KI.10.28	Slik ryddet Jehu Ba’al ut fra Israel.
2KI.10.34	De andre Jehus gjerninger, alt det han gjorde, og all hans store makt, er ikke det skrevet ned i krønikeboken om kongene i Israel?
2KI.10.36	Den perioden Jehu var konge over Israel i Samaria, var 28 år.
2KI.11.3	Siden ble han gjemt i Herrens hus i seks år sammen med henne, mens Atalja hersket over landet.
2KI.11.5	Så befalte han dem og sa: «Dette er hva dere skal gjøre: Av dere som kommer på vakt på sabbaten, skal en tredjedel holde vakt over kongens hus,
2KI.11.6	en tredjedel skal være ved Surporten, og en tredjedel ved porten bak vokterne. Dere skal vokte huset, så det ikke blir revet ned.
2KI.11.7	Men de to avdelingene av dere som går av vakt på sabbaten, skal holde vakt over Herrens hus for kongen.
2KI.11.8	Men dere skal omringe kongen, hver mann med våpenet sitt i hånden. Dere skal drepe den som vil trenge inn i rekk-ene. Både når han går ut og når han kommer inn, skal dere være hos kongen.»
2KI.11.10	Presten ga førerne for 100 de spydene og skjoldene som hadde tilhørt kong David, og som var i Herrens hus.
2KI.11.11	Så sto vokterne oppstilt overalt rundt kongen, hver mann med våpenet sitt i hånden, fra høyre side av huset til venstre side av huset, både ved alteret og ved huset.
2KI.11.15	Men presten Jojada befalte førerne for 100, befalingsmennene for hæren, og sa til dem: «Før henne ut mellom rekkene, og hver den som følger etter henne, skal dere drepe med sverd.» For presten hadde sagt: «La henne ikke bli drept i Herrens hus.»
2KI.11.16	Så la de hånd på henne. De gikk den veien hestene brukte inn til kongens hus, og der ble hun drept.
2KI.11.19	Så tok han med førerne over 100, livvaktene, vokterne og hele folket i landet
2KI.11.20	Alt folket i landet gledet seg. Byen var stille, for de hadde slått Atalja i hjel med sverdet i kongens hus.
2KI.12.2	Joasj gjorde det som var rett i Herrens øyne, så lenge presten Jojada underviste ham.
2KI.12.5	skal prestene selv ta imot, hver av dem det som kommer fra hans kjenninger. De skal utbedre sprekkene i huset overalt der det finnes noen revne.»
2KI.12.8	Prestene gikk med på at de verken skulle ta imot mer penger fra folket eller utbedre sprekkene i huset.
2KI.12.9	Så tok presten Jojada en kiste, boret et hull i lokket på den og satte den ved siden av alteret, på høyre side når en kommer inn i Herrens hus. Prestene som voktet døren, la alle pengene som ble ført inn i Herrens hus, ned i den.
2KI.12.11	Pengene som var veid opp, ga de i hendene til dem som gjorde arbeidet, de som hadde overoppsyn med Herrens hus. De veide videre ut til snekkerne og bygningsmennene som arbeidet på Herrens hus,
2KI.12.12	og til murerne og steinhoggerne, og videre til kjøp av tømmer og hogd stein, slik at sprekkene i Herrens hus kunne bli utbedret, og til det som ellers var nødvendig for å sette huset i stand.
2KI.12.13	Av de pengene som ble ført inn i Herrens hus, ble det likevel ikke lagd kar av sølv, vekesakser, stenkeskåler, trompeter, redskaper av gull eller redskaper av sølv til Herrens hus.
2KI.12.14	Men de ga dem til arbeiderne, og de brukte dem til å utbedre Herrens hus.
2KI.12.19	De andre gjerningene til Joasj og alt det han gjorde, er ikke alt det skrevet ned i krønikeboken om kongene i Juda?
2KI.12.21	For Josakar
2KI.13.6	Likevel omvendte de seg ikke fra syndene til Jeroboams hus, han som hadde fått Israel til å synde. Men de vandret i dem. Asjera
2KI.13.8	De andre Joakas’ gjerninger, alt det han gjorde, og hans store makt, er ikke det skrevet ned i krønikeboken om kongene i Israel?
2KI.13.9	Så la Joakas seg til hvile hos sine fedre, og de begravde ham i Samaria. Deretter ble hans sønn Joasj konge etter ham.
2KI.13.10	I det trettisjuende regjeringsåret til Joasj, kongen av Juda, ble Joasj, Joakas’sønn, konge over Israel i Samaria. Han regjerte i 16 år.
2KI.13.15	Elisja sa til ham: «Hent en bue og noen piler!» Så hentet han seg en bue og noen piler.
2KI.13.16	Så sa han
2KI.13.18	Da sa han
2KI.13.21	Slik skjedde det at mens de holdt på å begrave en mann, fikk de plutselig øye på en flokk som kom for å plyndre. Da la de mannen ned i graven til Elisja. Men da mannen kom ned og rørte ved knoklene til Elisja, våknet han til live og sto på beina.
2KI.13.24	Hasael, Syrias konge, døde. Så ble hans sønn Benhadad konge i hans sted.
2KI.14.2	Han var 25 år gammel da han ble konge, og han var konge i Jerusalem i 29 år. Hans mors navn var Joaddan fra Jerusalem.
2KI.14.5	Så snart han hadde kongedømmet fast i sin hånd, henrettet han tjenerne sine, dem som hadde myrdet hans far, kongen.
2KI.14.12	Juda ble slått av Israel, og hver mann flyktet til sitt telt.
2KI.14.14	Han tok alt gullet og sølvet, alle redskapene som fantes i Herrens hus og i skattkamrene i kongens hus. I tillegg tok han gisler og vendte tilbake til Samaria.
2KI.14.16	Så la Joasj seg til hvile hos sine fedre, han ble begravd i Samaria hos Israels konger. Deretter ble hans sønn Jeroboam konge etter ham.
2KI.14.18	De andre Amasjas gjerninger, er ikke de skrevet ned i krønikeboken om Judas konger?
2KI.14.19	De fikk i stand en sammensvergelse mot ham i Jerusalem, og han flyktet til Lakisj. Men de sendte noen etter ham til Lakisj og drepte ham der.
2KI.14.20	Så kjørte de ham derfra med hester, og han ble begravet i Jerusalem, hos sine fedre i Davids stad.
2KI.14.21	Alt folket i Juda tok Asarja, som var 16 år gammel, og gjorde ham til konge etter hans far Amasja.
2KI.14.24	Han gjorde det som var ondt i Herrens øyne. Han omvendte seg ikke fra alle Jeroboam, Nebats sønns synder, han som hadde fått Israel til å synde.
2KI.14.25	Han vant tilbake Israels landområder fra Lebo-Hamat og helt til Arabasjøen, etter Herren Israels Guds Ord, det Han hadde talt ved sin tjener Jona, Amittais sønn, profeten fra Gat-Hefer.
2KI.14.29	Så la Jeroboam seg til hvile hos sine fedre, Israels konger. Deretter var hans sønn Sakarja konge etter ham.
2KI.15.2	Han var 16 år gammel da han ble konge, og han var konge i Jerusalem i 52 år. Hans mors navn var Jekolja fra Jerusalem.
2KI.15.3	Han gjorde det som var rett i Herrens øyne, slik hans far Amasja hadde gjort.
2KI.15.6	De andre Asarjas gjerninger og alt det han gjorde, er ikke det skrevet ned i krønikeboken om kongene i Juda?
2KI.15.7	Så la Asarja seg til hvile hos sine fedre, og de begravde ham sammen med hans fedre i Davids by. Deretter ble hans sønn Jotam konge etter ham.
2KI.15.11	De andre Sakarjas gjerninger, sannelig, de er skrevet ned i krønikeboken om kongene i Israel.
2KI.15.13	Sjallum, Jabesjs sønn, ble konge i det trettiniende regjeringsåret til Ussia
2KI.15.15	De andre gjerningene til Sjallum og den sammensvergelsen han fikk i stand, sannelig, det er skrevet ned i krønikeboken om kongene i Israel.
2KI.15.17	I det trettiniende regjeringsåret til Asarja, kongen av Juda, ble Menahem, Gadis sønn, konge over Israel. Han regjerte i Samaria i ti år.
2KI.15.18	Han gjorde det som var ondt i Herrens øyne. Så lenge han levde, omvendte han seg ikke fra Jeroboam, Nebats sønns synder, han som hadde fått Israel til å synde.
2KI.15.20	Menahem tok inn pengene fra Israel, fra alle de rike. Femti sjekel sølv ble pålagt hver mann
2KI.15.21	De andre Menahems gjerninger og alt det han gjorde, er ikke det skrevet ned i krønikeboken om kongene i Israel?
2KI.15.22	Så la Menahem seg til hvile hos sine fedre. Deretter ble hans sønn Pekahja konge etter ham.
2KI.15.23	I det femtiende regjeringsåret til Asarja, kongen i Juda, ble Pekahja, Menahems sønn, konge over Israel i Samaria. Han regjerte i to år.
2KI.15.24	Han gjorde det som var ondt i Herrens øyne. Han omvendte seg ikke fra Jeroboam, Nebats sønns synder, han som hadde fått Israel til å synde.
2KI.15.25	Pekah, Remaljas sønn, var en av embetsmennene hans. Han fikk i stand en sammensvergelse mot ham, og sammen med Argob og Arje drepte han ham i Samaria, i festningen
2KI.15.26	De andre Pekahjas gjerninger og alt det han gjorde, sannelig, det er skrevet ned i krønikeboken om kongene i Israel.
2KI.15.27	I det femtiandre regjeringsåret til Asarja, kongen av Juda, ble Pekah, Remaljas sønn, konge over Israel i Samaria. Han regjerte i 22 år.
2KI.15.28	Han gjorde det som var ondt i Herrens øyne. Han omvendte seg ikke fra Jeroboam, Nebats sønns synder, han som hadde fått Israel til å synde.
2KI.15.31	De andre Pekahs gjerninger og alt det han gjorde, sannelig, det er skrevet ned i krønikeboken om kongene i Israel.
2KI.15.33	Han var 25 år gammel da han ble konge, og han var konge i Jerusalem i 16 år. Hans mors navn var Jerusja, Sadoks datter.
2KI.15.34	Han gjorde det som var rett i Herrens øyne. Han gjorde etter alt det hans far Ussia hadde gjort.
2KI.15.36	De andre Jotams gjerninger og det han gjorde, er ikke det skrevet ned i krønikeboken om kongene i Juda?
2KI.15.37	I de dager begynte Herren å sende Resin, Syrias konge, og Pekah, Remaljas sønn, mot Juda.
2KI.15.38	Så la Jotam seg til hvile hos sine fedre og ble begravd sammen med sine fedre i sin far Davids by. Deretter ble hans sønn Ahas konge etter ham.
2KI.16.2	Ahas var 20 år gammel da han ble konge, og han var konge i Jerusalem i 16 år. Han gjorde ikke det som var rett i Herren sin Guds øyne, slik hans far
2KI.16.4	Han ofret og brente røkelse på offerhaugene, på høydene og under hvert grønt tre.
2KI.16.10	Kong Ahas dro til Damaskus for å møte Tiglat-Pileser, Assurs konge, og han så alteret i Damaskus. Kong Ahas sendte bud til presten Uria med utformingen og modellen
2KI.16.12	Da kongen kom tilbake fra Damaskus og fikk se alteret, gikk kongen fram til alteret og ofret på det.
2KI.16.13	Så lot han brennofferet og grødeofferet gå opp i røyk. Han helte ut drikkofferet og stenket blodet av fredsofferet på alteret.
2KI.16.16	Så gjorde presten Uria etter alt det kong Ahas hadde befalt.
2KI.16.18	For Assurs konges skyld tok han også bort sabbatsgangen med tak over, den de hadde bygd i huset, og han tok bort kongens ytre inngang fra Herrens hus.
2KI.16.19	De andre gjerningene Ahas gjorde, er ikke de skrevet ned i krønikeboken om kongene i Juda?
2KI.17.1	I det tolvte regjeringsåret til Ahas, kongen av Juda, ble Hosea, Elas sønn, konge over Israel i Samaria. Han regjerte i ni år.
2KI.17.2	Han gjorde det som var ondt i Herrens øyne, men ikke som de kongene i Israel som hadde vært før ham.
2KI.17.4	Men Assurs konge avslørte en sammensvergelse som Hosea hadde fått i stand. For han hadde sendt utsendinger til Sa’is
2KI.17.7	Dette skjedde fordi Israels barn hadde syndet mot Herren sin Gud, Han som hadde ført dem opp fra landet Egypt, ut av Faraos hånd, Egypts konge. Men de hadde likevel fryktet andre guder.
2KI.17.11	De brente røkelse der på alle offer-haugene, på samme måte som hedningfolkene hadde gjort, dem Herren hadde drevet bort fra deres ansikt. De onde gjerninger
2KI.17.13	Men Herren vitnet mot Israel og mot Juda ved alle sine profeter, ved hver seer, og sa: «Vend om fra deres onde veier og hold Mine bud og Mine forskrifter, etter hele den loven som Jeg bød deres fedre, og som Jeg sendte til dere ved Mine tjenere profetene.»
2KI.17.14	Likevel ville de ikke høre, men de gjorde nakkene stive, på samme måte som nakkene også hadde vært stive på deres fedre, de som ikke trodde på Herren deres Gud.
2KI.17.15	De forkastet Hans forskrifter og Hans pakt, den Han hadde sluttet med deres fedre, og Hans vitnesbyrd, det Han hadde vitnet mot dem. De fulgte den tomme avgudsdyrkelsen og ble selv tomme, og de fulgte etter hedningfolkene som bodde rundt dem, dem Herren hadde befalt at de ikke skulle følge etter.
2KI.17.18	Derfor ble Herren rasende på Israel, og Han støtte dem bort fra sitt ansikt. Bare Juda stamme ble alene igjen.
2KI.17.21	For Han hadde revet Israel bort fra Davids hus, og de gjorde Jeroboam, Nebats sønn, til konge. Så tvang Jeroboam Israel bort fra å følge Herren, og han forførte dem til å gjøre stor synd.
2KI.17.22	For Israels barn vandret i alle de syndene som Jeroboam hadde gjort. De omvendte seg ikke fra dem
2KI.17.25	Men i begynnelsen av den tiden de bodde der, var det slik at de ikke fryktet Herren. Derfor sendte Herren løver inn iblant dem, og de drepte noen av dem.
2KI.17.26	Da talte de
2KI.17.27	Da ga Assurs konge en befaling og sa: «En av prestene som dere har tatt med derfra, skal dere sende tilbake dit. De
2KI.17.28	En av prestene som de hadde bortført fra Samaria, kom da og bosatte seg i Betel. Han underviste dem om hvordan de skulle frykte Herren.
2KI.17.34	Helt til denne dag fortsetter de med å følge de tidligere skikkene. De frykter ikke Herren
2KI.17.38	Den pakten som jeg har sluttet med dere, skal dere ikke glemme, og dere skal ikke frykte andre guder.
2KI.17.39	Men Herren deres Gud skal dere frykte. Han skal fri dere ut fra alle deres fienders hånd.»
2KI.17.40	Men de ville ikke lyde og fulgte sine tidligere skikker.
2KI.17.41	Disse folkeslagene fryktet Herren, men likevel dyrket de sine utskårne gudebilder. Også deres barn og deres barnebarn har fortsatt med å gjøre som sine fedre gjorde, helt til denne dag.
2KI.18.3	Han gjorde det som var rett i Herrens øyne, helt og fullt slik hans far
2KI.18.6	For han klynget seg til Herren. Han vek ikke av fra å følge Ham, men holdt Hans bud, dem Herren bød Moses.
2KI.18.10	Da det var gått tre år, inntok de den. Det var i det sjette regjeringsåret til Hiskia, det vil si det niende regjeringsåret til Hosea, Israels konge, at Samaria ble inntatt.
2KI.18.13	I det fjortende regjeringsåret til kong Hiskia kom Sankerib, Assurs konge, opp mot alle de befestede byene i Juda og inntok dem.
2KI.18.14	Da sendte Hiskia, kongen av Juda, bud til Assurs konge ved Lakisj og sa: «Jeg har syndet, vend deg bort fra meg! Uansett hva du pålegger meg, så vil jeg betale.» Assurs konge påla Hiskia, kongen av Juda, 300 talenter sølv og 30 talenter gull.
2KI.18.16	Den gangen lot Hiskia gullet bli revet av dørene i Herrens tempel og fra søylene som Hiskia, kongen av Juda, hadde kledd. Alt ga han til Assurs konge.
2KI.18.18	Da de hadde ropt til kongen, kom Eljakim, Hilkias sønn, som hadde overoppsyn med slottet, statsskriveren Sjebna og historieskriveren Joak, Asafs sønn, ut til dem.
2KI.18.20	Du taler om planer og kraft til strid. Men dette er bare ord. Hvem er det du setter din lit til, siden du gjør opprør mot meg?
2KI.18.21	Se nå! Som stav setter du din lit til et knekket siv, Egypt. Men når en mann lener seg til den, vil den trenge inn i hånden hans og gjennombore den. Slik er Farao, kongen i Egypt, for alle dem som setter sin lit til ham.
2KI.18.23	Derfor vil jeg oppfordre deg til å avlegge et løfte
2KI.18.24	Hvordan skal du kunne drive tilbake en eneste embetsmann blant de minste av min herres tjenere, og sette din lit til Egypt for vogner og hestfolk?
2KI.18.25	Er det ikke etter Herrens vilje jeg nå har kommet opp mot dette stedet for å ødelegge det? Herren sa jo til meg: ‘Gå opp mot dette landet og ødelegg det!’»
2KI.18.27	Men rabsaken svarte dem: «Er det til deres herre og til dere min herre har sendt meg for å tale disse ordene, og ikke til mennene som sitter på muren, de som må spise sin egen avføring og drikke sin egen urin sammen med dere?»
2KI.18.28	Så sto rabsaken opp og ropte på hebraisk med høy røst. Han talte og sa: «Hør ordene fra den store kongen, Assurs konge!
2KI.18.29	Så sier kongen: ‘La ikke Hiskia narre dere, for han vil ikke kunne fri dere ut fra hans hånd.
2KI.18.30	La heller ikke Hiskia få dere til å sette deres lit til Herren ved å si: «Herren skal sannelig utfri oss. Denne byen skal ikke bli overgitt i Assurs konges hånd.»
2KI.18.33	Er det vel noen av folkeslagenes guder som i det hele tatt har fridd sitt land ut fra Assurs konges hånd?
2KI.18.35	Hvem er det blant alle lands guder som har fridd sine land ut fra min hånd, så Herren skulle kunne fri Jerusalem ut fra min hånd?’»
2KI.18.36	Men folket tidde og svarte ham ikke med et ord. For kongens bud lød slik: «Svar ham ikke!»
2KI.19.2	Så sendte han Eljakim, som hadde over-oppsynet med slottet, og statsskriveren Sjebna og de eldste blant prestene til profeten Jesaja, Amos’ sønn. De var kledd i sekkestrie.
2KI.19.3	De sa til ham: «Så sier Hiskia: ‘Denne dagen er en dag med trengsel, tukt og gudsbespottelse. For barna har kommet til åpningen på livmoren, men det er ingen styrke til å føde dem.
2KI.19.5	Da kom kong Hiskias tjenere til Jesaja.
2KI.19.8	Så vendte rabsaken tilbake og fant Assurs konge i krig mot Libna, for han hadde hørt at han hadde reist fra Lakisj.
2KI.19.11	Se! Du har hørt hva Assurs konger har gjort med alle landene, ved at de har ødelagt dem fullstendig
2KI.19.13	Hvor er Hamats konge, Arpads konge og kongen i byen Sefarvajim, og i Hena og Ivva?»
2KI.19.17	Sannelig, Herre, Assurs konger har lagt folkeslagene og landene deres øde,
2KI.19.18	og de har kastet gudene deres på ilden. For de er ikke guder, men et verk av menneskehender, tre og stein. Derfor ødela de dem.
2KI.19.20	Da sendte Jesaja, Amos’ sønn, bud til Hiskia og sa: «Så sier Herren, Israels Gud: ‘Alt det du har båret fram for Meg i bønn om Sankerib, Assurs konge, har Jeg hørt.
2KI.19.22	Hvem har du
2KI.19.30	Den resten som har sluppet unna av Judas hus, skal igjen skyte rot nedover og bære frukt oppover
2KI.19.33	Den veien han kommer, den samme veien skal han vende tilbake. Han skal ikke komme inn i denne byen, sier Herren.
2KI.19.36	Da forlot Sankerib, Assurs konge, stedet og dro bort. Han vendte tilbake og ble boende i Ninive.
2KI.20.2	Da vendte han ansiktet mot veggen, ba til Herren og sa:
2KI.20.4	Men før Jesaja hadde kommet ut til den midtre gårdsplassen, kom Herrens Ord til ham, og Han sa:
2KI.20.8	Hiskia sa til Jesaja: «Hva er tegnet på at Herren vil helbrede meg, så jeg kan gå opp til Herrens hus på den tredje dagen?»
2KI.20.10	Hiskia svarte: «Det er lett for skyggen å gå ti trinn framover. Nei, men la skyggen gå ti trinn tilbake!»
2KI.20.13	Hiskia hørte på dem, og han viste dem hele huset med skattene sine, sølv og gull, krydder og kostbar salveolje, og hele våpenhuset hans, alt som var å finne blant skattene hans. Det var ikke den ting i huset hans eller i hele hans myndighetsområde som Hiskia ikke viste dem.
2KI.20.14	Da gikk profeten Jesaja til kong Hiskia og sa til ham: «Hva var det disse mennene sa, og hvor kom de fra, da de kom til deg?» Så sa Hiskia: «De kom fra et land langt borte, fra Babel.»
2KI.20.16	Da sa Jesaja til Hiskia: «Hør Herrens Ord:
2KI.21.2	Han gjorde det som var ondt i Herrens øyne, etter styggedommene til hedningfolkene som Herren hadde drevet bort fra Israels barns ansikt.
2KI.21.7	Han satte til og med et utskåret bilde av Asjera
2KI.21.8	Jeg skal ikke mer la Israel vandre bort fra det landet Jeg ga deres fedre, men bare dersom de tar seg i vare så de gjør etter alt det Jeg har befalt dem, og etter hele den loven som Min tjener Moses bød dem.»
2KI.21.10	Herren talte ved sine tjenere profetene og sa:
2KI.21.15	fordi de har gjort det som er ondt i Mine øyne, og gjort Meg rasende, fra den dagen deres fedre kom ut av Egypt, og helt til denne dagen.»
