GEN.1.1	Kechengsi, Arnam sining-heihei lapen pirthe kepinchong ahut, 
PRO.9.2	La kechopi amei aphan pi ejon thulo, drakha-horlang along mosala patip-lo lapen tebul athak batsar-lo. 
PRO.9.3	La bangpi man aphan rongso kangtuinei adim pen pahang damtoilo: 
PRO.9.4	“Vangnon jung-jung atum!” Lapen kelu abangphan la pulo, 
PRO.9.5	“Vangnon, ne an nangchodunnon lapen ne kepangvuitang ahorlang nangjun duntha. 
PRO.9.6	Kechinine asat ason che-onon, lapen donon. Gian atovarle hungnon.”
PRO.9.7	Kepinrem abang aphan kepakeng ke nang ingtonsi cholongpo. Kehingno abangphan nang ingchek lote, nangsi ning-oipo. 
PRO.9.8	Kepinrem abangphan kaita pakeng-ri; la apot la nangphan nanghijimpo. Bonta nang jongsi kere abangphan pare lote, alangli nangphan man pipo. 
PRO.9.9	Kere abangphan nang kepu alam an laphan paremuchot po. Dhoromi abangphan nang kepu ason an la agian pabatpo.
PRO.9.10	Keresetji aphan kechengsi nang 
PRO.9.11	Bidi nangchethe aningkan nangbat dunpo. 
PRO.9.12	Nang jongsi bidi dolote alekedo abang plangpo, lapen nang jongsi la dengmolote nang kesung kepho nangji abang plangpo.
PRO.9.13	Kechepalu ke asekethe, kechi-nine. Keberek-ang a-arloso asonlo, 
PRO.9.14	bangpi amethang ahem anghap alongsi ingniji mate rongso kangtui-heihei adimsi ingniji, 
PRO.9.15	lapen dampri-dampro amethang akam kechematha-e abangphan hangdun po: 
PRO.9.16	“Vangnon, kechini atum!” Kelu abangphan bangpi pupo, 
PRO.9.17	“Kechonghu alang ke dokmuchot. Kechonghu ahim chomemuchot.” 
PRO.9.18	Kepho atum bangpi ahem damlote thiji pu chechinine, lapen kelutdamtang atum non chom arongsi dolo puta chinine.
PRO.10.1	Solomon asarlamthe ajehak do, lahei ke Solomon asarlamthelo. Inut kereset asopo apo aphan aning-parong, Bonta keluvok aso apei aphan ning keduksi vanpi.
PRO.10.2	Kechobei pen kelong akhi nangliphan thangnat akeme klemkle, bonta kechepadukpik pensi nanglikai jokji.
PRO.10.3	Kemesen amonit atum aphan 
PRO.10.4	Keseletsi nanglitum aphan paduk-po, bonta kam keklem chepaduk lote nangli plangpo.
PRO.10.5	Inut kemathathek abang sok kerot apor ahut sok pangrum, sok kerot ahut amek kejang abang ke tam abanvak-lo.
PRO.10.6	Inut kemesen amonit abang ahirjume longji, inut kehingno amonit alam along kevir alam patulo.
PRO.10.7	Kemesen amonit aphan isi ahirjume asonsi chemathadam, bonta kehingno abangphan tengne dapprangpo.
PRO.10.8	Kemathathek abang kemesen kepare alam deng, seta kelu alam keningjetap abang virkokji.
PRO.10.9	Athikpet amonit atum jokvan lapen damvang, bonta thikpetpe abang aphan nepchekpo.
PRO.10.10	Mane abang jongsi ahok alam patujoi lote kesung paman, bonta lam keningjedak abang ningkangsam aphan paklem.
PRO.10.11	Kemesen amonit alam lake chethe atirilo, bonta kehingno abang alam along kehingno a-ot patu.
PRO.10.12	Kepasungji kechorung akam hijimnon, bonta adai an aphan kanghonsi dip-lo. 
PRO.10.13	Kereset amonit atum keningje alam athe rotdut, bonta kelu abang-phan aduk pi nangji.
PRO.10.14	Kereset abang latum un an agian pangrumji, bonta kelu abang lam ningje lote kesungji helolelo.
PRO.10.15	Akhi-adat keplang abangphan rai, bonta kecholonglesi keduk abangphan pavir.
PRO.10.16	Kemesen akam anong-e-ke che-thelo, bonta pap ke pap ke-ongmuchot anatsi eja.
PRO.10.17	Kepakeng alam karju abang rengji, bonta kechokche kechekrongkre abang ke kesung phovek.
PRO.10.18	Jongsi inut kehijim ason keche-patu abang ke chobei abang-lo, Lapen chethan-palamso alam pachetak abang ke kelu abang-lo.
PRO.10.19	Lam ningjepik lote akelet dovekji, Nangli jongsi kereset abang pulote nangli dojoiji.
PRO.10.20	Kemesen amonit atum alam ke ajukave arup ason, kehingno abang akemunthidam ke thangnat ale ave.
PRO.10.21	Inut kemesen amonit alam ke ongdung atum aphan ale pado, bonta nangli nanglimethang akeningje thekthe pen chepathithek.
PRO.10.22	Nangli keplanglong ke 
PRO.10.23	Kechokche akam along ning chepa-rongchot ke isi akelulo, Kereset abang ke bidi akam alongsi ning cheparong.
PRO.10.24	Dhoromi atum kenangji ason an long, bonta kehingno abang ke latum kepherenei ason si longpo.
PRO.10.25	Tomonthepi vangpo, lapen kehingno atum aphan japponphitpo, bonta athikpet atum kaiketa jokvanji.
PRO.10.26	Keselet amonit nangliphan eson akam kepachunji aphan longle, la nang ingho kethorchir asonsi oipoi-lakpo, mate nangli mek mehi kechek asonpo.
PRO.10.28	Kemesen amonit atum aning kechethe ke aning-arong anatsi damji, bonta kehingno amonit atum thangnat kali anatsi cholangdingpo.
PRO.10.29	Athikpet atum aphan 
PRO.10.30	Dhoromi atum kaike jokvan longji, bonta kehingno abang det along dolongledetji.
PRO.10.31	Dhoromi amonit atum gian alam ningje, bonta lamjuno keningje angho inghip-hetpo.
PRO.10.32	Dhoromi amonit atum kangjinso alam keningje nangji chini, bonta kehingno atum ning-pa-oilak alamsi ningje.
PRO.11.1	Kechobei alin-heihei kerim abangphan 
PRO.11.2	Anekethe abangphan langrem dapprangpo. Asotdut pen kedosi kere-muchot-lo.
PRO.11.3	Nangli jongsi mesen pulote, nangliphan athikpetsi nangjalo. Kechi-kinodak amonit ke halatum methang athikthe si pavirpo.
PRO.11.4	Kethi nang kechetong arni keplang-kephi nangphan thangta nang-rap-re, bonta athikpetsi nangchethe nangpajokpo.
PRO.11.5	Athikpet kedo mesen abang akai pajoi muchot po, bonta kehingno abang amethang aphansi chepakrep po.
PRO.11.6	Dhoromi akam si angthikdut abang-phan pajokpo, bonta kechikinodak abangphan amethang akehung pensi chedanpo.
PRO.11.7	Kehingno abang thilote, la aning kechethe ta thi dunpo. Akhi-adat aputhak aning kechethe thangta kalidetji.
PRO.11.8	Dhoromi aphan kesung pen rai-detji; la akesung kehingno abang alongsi vangthurong po.
PRO.11.9	Arnamkave atum alam pen ajok adung aphan pavirlo, bonta gian pen dhoromi abang jok-lo.
PRO.11.10	Angthikdut atum akopai mesen lote rongsopi chehok-lo, lapen kehingno abang thilote kechehok-i akehangjo doji.
PRO.11.11	Dhoromi atum ahirjume kepi pen rongsopi thelo, bonta kehingno atum pen rongsopi pavirlo.
PRO.11.12	Tebok abang aphan kehijim abang thangnat-ta chenine; bonta kematha thekser abang ke dojoiji.
PRO.11.13	Anongkejo abangphan baduta kepatu nangji alam chiki-i-no, bonta kechiki klong atheng abangphan nangningchethe un.
PRO.11.14	Kethan parebang avete isi adet virdetji. Keparebang do-ong akejokvan long-ong.
PRO.11.15	Nang jongsi kechinine abang apreng ketuji chechak-lote nangning che-oiji. Nang kechepahelo dunsi akeme.
PRO.11.16	Kangjinsothek a-arloso anong jume, bonta a-otkeme kavepin a-arloso abangphan langremlo.
PRO.11.16	Inut keselet abang tangka kaita ave, bonta kecheting-phrat abang plangji.
PRO.11.17	Nang ingjinsothek lote nangme-thang aphan mesen. Nang jongsi sedengkak lote nangmethangsi chephangno.
PRO.11.18	Kehingno atum ahokpet pen kelang ave, bonta kopisi akechok la nang klemlote, nangphan nong-e nangpivekji.
PRO.11.19	Badutame akeme ason keklemji mathathip lote rengji, bonta badutame kechokche akam klembom pulote thiji.
PRO.11.20	Aning kehingno amonit aphan 
PRO.11.21	Nang mathakoi-tame kehingno abangphan aduk pivekji, bonta dhoromi abang jokphlotji.
PRO.11.22	Akeme akangsai kave a-arloso a-arje kelangme dochot lake phak angtur along kedo ser anorik asonlo.
PRO.11.23	Kemesen atum aningkehang kaita mesen; kehingno atum aningkehang ateng lang-lote, abangphutin ta aningthi .
PRO.11.24	Ajehak atum tangka chereresi padamlo seta plangthubom. Akaprek atum chere-o seta dukthumuchot.
PRO.11.25	Chingchomri, lapen nang plangpo. Bang aphan rapnon lapen nangphanta rapdetpo.
PRO.11.26	Sok Khangsi ador ke-ong aphan kechonghong abangphan rat hirjuno pilo, bonta kejorji aphan kebi abangphan latum roji.
PRO.11.27	Nang akemang jongsi mesen pulote, nangphan man piji, bonta nang kesung cholangrong pulote lasi nang longpo.
PRO.11.28	Amethang akhi aphan kechiki abang chungphang-ok ahut keklo athengpi arvo asonpo, bonta dhoromi atum barla athengpi arvo ason chingthurpo.
PRO.11.29	Ahemtun aphan kesung kevan abang kejut thangta avedetji. Kelu atum ke kaita kere atum aban plangji.
PRO.11.30	Dhoromi athe ke chethe athengpi lo, bonta kechebohong keturlur ke la chepondetpo lapen karjong kevanthek ke kereset abang-lo.
PRO.11.31	Pirthe athak kemesen atum aphan nong-e piji, lasi kehingno abangphan ke aduk pivekji pura matha tamelo. 
PRO.12.1	Gian aning kedok abang la kechokche ahut laphan pakeng-long. Kelu atum ke kepakeng hijimlo.
PRO.12.2	Kemesen amonit aphan 
PRO.12.3	Kehingno akam kejokvan pi thekthe, bonta dhoromi atum arjap pathirklong.
PRO.12.4	Kemesen apiso ke apenan anong lapen ning arong vanpi; bonta ketherak kevan a-arloso ke apenan areppi arlo kensar akeso asonlo.
PRO.12.5	Angthikdut atum nangphan langpa-meji; kehingno abang nangpachobei-jisi aning hangji.
PRO.12.6	Kehingno abang alam pathilo, bonta dhoromi abang alam kether kepho aphan pajok.
PRO.12.7	Kehingno atum latum akevir chetongji, lapen aso-asu pamotekang longledetji, bonta dhoromi ahem asor rengbomji.
PRO.12.8	Nang jongsi repik, nangphan roji; nang jongsi luvok, rat atum nanglang-ropji.
PRO.12.9	Arlengkethe cheparjera apok ingkovang apar jung-jung amonit cheplangsi kereng aphan chongdat thurong memu.
PRO.12.10	Kemesen amonit pi atum aphan lana, bonta kehingno abang halatum aphan inghonhe.
PRO.12.11	Kechepaduk-khrup abang kechoji ason dorphlup, bonta amokevangve akam along apor kephangno ke kelulo.
PRO.12.12	Kehingno abang keklemji aning-kehang anta kehingno akam, bonta dhoromi abang arjapthip .
PRO.12.13	Kehingno amonit alam methang pen chenep-lo, bonta angthikdut abang kesung pen chepajok-lo.
PRO.12.14	Nang kopima keningje lapen keklem aputhaksi nang nong-e longji; nang kelong nangji ason nang longpo.
PRO.12.15	Kelu atum kaiketa amethang chokpet pusi latum chematha. Kereset abang kepare alam arju.
PRO.12.16	Kelu abang aning thilote, la chepaklangdak. Kemathathekser abang kangchek ano chedende.
PRO.12.17	Nang ahok ningje lote, ahok-kangsai klempo, bonta kechobei ahok-he-kangsai anatsi japo.
PRO.12.18	Nokjir asonthotsi keningjepeng alam amek padosi parnukpo, bonta ningjethekser alam pen la pame-un.
PRO.12.19	Kechobei abang achethe thihekji, bonta ahok kaike doverji.
PRO.12.20	Kehingno kemang abang aning arlo kechobei do, bonta akeme akam keklem atum aning arong.
PRO.12.21	Dhoromi atum aphan thangnat kehingno vangve, bonta ajat kelangno atum sungji.
PRO.12.22	Kechobei atum aphan 
PRO.12.23	Kemathathekser atum latum kethek ason an do seta dojoi, bonta kelu atum halatum akechinine pachethang-lo.
PRO.12.24	Kedukkhrup akam nangphan jakong piji; keselet ke nangphan ban nangpinchong detpo.
PRO.12.25	Keningri ke nangning arong pon-detpo, bonta kanghon alam nangphan pachehokpo.
PRO.12.26	Dhoromi amonit ajirpo aphan jaji; bonta kehingno atum atovar halatum aphan ja pamanghuji.
PRO.12.27	Nang jongsi seletduk pulote, nang kopisi kerima kaita longlelo, bonta nang kam keklem chepaduk lote, nang kopai meji.
PRO.12.28	Dhoromipet akam ke chethe anat atovarlo; kehingno akam ke kethi atovarlo.
PRO.13.1	Kereset asopo apo laphan pa-keng lote, la aning chebi, bonta kecheparoka abang alang kechokchelo pu chekrongkre.
PRO.13.2	Kemesen amonit halatum alamthe apot nong-e-longji, bonta kechobei atum kephangnoji aphan rivung.
PRO.13.3	Nang lam keningje cheretu lapen nang chethe cheraitu. Lam keningje kecherere abang amethang chepavirlo.
PRO.13.4	Keselet abang pine ason kelongji aphan un an aninghang seta la longle. Inut keklem chepaduk abang aning kehang aling ason longji.
PRO.13.5	Angthikdut abang kechobei hijimlo, bonta ajat-kelangno atum alam ketherak lapen kepinrem pen plengset.
PRO.13.6	Dhoromi akam adaikave abang-phan railo; ajat-kelangno akam ke papi atum akevirlo.
PRO.13.7	Ajehak atum keplang ason cheparje, bonta thangnat ta ave. Akaprek atum keduk cheparje, bonta akhi do-o.
PRO.13.8	Keplang-o abang amethang ache-the chepajokji aphan tangka padam nang-lo, bonta keduk aphan baduta papherere.
PRO.13.9	Dhoromi atum keklarbong atur ason; kehingno atum amelur mepthippo.
PRO.13.10	Kecheparoka ke thangta ale ave, bonta sungchot. Bang keparetoiji aphan kechoningri abang remuchot-lo.
PRO.13.11	Ko-an ma nangkhi kelong kejoi, lasonthotsi kedam ta prapji. Ko-ansi la kelong kesungma, la anlo la nangkedoji.
PRO.13.12	Ningkethe ruhup lote, nangningta runhup, bonta nangning kehang chekok lote, nangning arong pen plengset.
PRO.13.13	Nang jongsi mesen kepare alam dengmolote, nang kesung chohang-lo; La hungnon lapen nang jokpo.
PRO.13.14	Kere atum akethan alam-heihei chethe alang amek lo; lahei nangkai kesung kepho ahut kejok kelongji aphan nangrappo.
PRO.13.15	Kereset atum man long-lo, bonta chikino abang kevir atovarsi do.
PRO.13.16	Mathathekser abang kaita keklem aphrang latum matha, bonta kelu abang alang kechinine ason chepaklangdak.
PRO.13.17	Kechikino apherangke atum pasung, bonta kechikiklong atheng atum ningkangsam van.
PRO.13.18	Badutame kecharli thekthe abang dukji lapen langropji. Badutame kepakeng charjuding abang aman doji.
PRO.13.19	Nangning kehang aling kelong ko-an akeme! Kelu atum kehingno atovar pen kesuiji molo.
PRO.13.20	Kereset atum along chelang dunnon lapen nangta reset po. Nang jongsi kelu atum pen pajirpo lote, nang virdetpo.
PRO.13.21	Nahok ta papi atum along kesung dunkri, bonta dhoromi atum aphan akeme ason pen nong-e pajirji.
PRO.13.22	Keplang amonit asumar aphan akai pamotekang longji, bonta papi atum akhi dhoromi atum aridengsi dampo.
PRO.13.23	Ketikike ahidi keduk abangphan ongdung asok patheji, bonta ahok-he abang la saipatikiji pen khang-lo.
PRO.13.24	Nangsopo aphan jongsi nang aduk pipete, laphan nang chinhonhe det po. Nang jongsi chinghon lote nang laphan pakengji.
PRO.13.25	Dhoromi abang kechoji aphan dorphlup do, bonta kehingno abang kaiketa ingchirver.
PRO.14.1	Bidi amethang ahem chekim; bonta kelu akam pen ajok pavirlo.
PRO.14.2	Angthikdut ra nang 
PRO.14.3	Kelu anekethesi laphan pasoibok-lo; Kereset abang alam laphan railo.
PRO.14.4	Chainong avepin ahai kebai nangpuru ingthaidangji, bonta lahei dolote sok dopikji .
PRO.14.5	Kechikiklong ahaki kaita ahok alam than, bonta kechikino abang thangta thanthe, bonta kechobai.
PRO.14.6	Kepinrem abang kaita re un-e, bonta kerepik abang kecharli prapjin.
PRO.14.7	Kelu amonit atum pen chepahe-lonon; Latum nangphan thangta nangthan thekthe.
PRO.14.8	Kopisi keresak abang reset lo? Pima la kopisi klem nangjima chini. Kopisi kebuiklui abang luvok lo? Pima alangsi chinichot-lo pu mathaver.
PRO.14.9	Kelu atum latum pap klemseta mathathe, bonta keme amonit atum diya kelongji aninghang.
PRO.14.10	Nangning arong ke nangmethang. Badutame nanglong nangchethak dunde.
PRO.14.11	Kehingno abang ahem rurai seta keme amonit ahem arjapverji.
PRO.14.12	Nang tovar kemelo pu kematha atovar kethi anat nangja pondet tahai. 
PRO.14.13	Kangnek apak-apak ahut ningduk chepatu tahai. Ning-arong dam et aphi ningke-oi kaita dolo.
PRO.14.14	Kehingno amonit atum halatum aning arlo amethang atovar pensi plengset, Kemesen amonit halatum akam-heihei apot nong-e longji.
PRO.14.15	Kelu abang asontin ta kroipetji. Mathathekser atum halahei akengkam langpameji.
PRO.14.16	Kereset atum kesung ahut cheresi do thek, bonta kebuiklui atum chererepin pen klemsusuji.
PRO.14.17	Aning sedengkak atum kelu akam klemporji; Kere muchot abang dojoiji .
PRO.14.18	Kechinine atum halatum aning kehang kelu akam long-lo, bonta kere abang gian chepahemphu-long.
PRO.14.19	Kehingno atum dhoromi aphan man pinangji lapen halatum akerap chohang nangvekji.
PRO.14.20	Keduk abangphan baduta aning kedok abang ave, adung abang jokta aningdokde, bonta keplang abang ajirpo do-o.
PRO.14.21	Nang jongsi nangning chepareng-meji pulote, keduk atum aphan inghonnon; adung aphan kelangrem ke la pap-lo.
PRO.14.22	Nang jongsi akeme akam klemlote nangphan bang nangchikipo lapen man nangpipo; nang jongsi kehingno akam klemlote nang chokchelo.
PRO.14.23	Kam klemnon lapen nang reng-i po; nang jongsi tot-lunra lam ningje chot lote dukvokpo.
PRO.14.24	Kereset abang akhi doji, bonta kelu atum akelu akam pen chini un.
PRO.14.25	Inut abangpo ahok ahaki ningje lote apran pajok, la chobei lote rat aphan pavirlo.
PRO.14.28	Inut arecho anong kethe ke la bangko-an ke-ongdung arat aputhak pangriloma la aputhaksi aning chetheji, halatum avete la thangta kali.
PRO.14.29	Nang jongsi dojoi lote, nang kerelo, bonta nang jongsi sedengkak lote, nang ko-an akeluma chepaklang-lo.
PRO.14.30	Ningkangsam e-ok aphan pa-rengme, bonta kelang un-e ke kensar akeso ason.
PRO.14.31	Nang jongsi keduk atum aphan chenek lote, latum aphan kethip a-Arnam aphan nang patherak lo; bonta keduk kelak aphan kangjinso ke alangli laphan man kepilo.
PRO.14.32	Kehingno atum halatum kehingno akam pen ajok amethang aphan kevir chevanlo, bonta kemesen amonit atum ke halatum angthikdut a-otsi raidet-lo.
PRO.14.33	Kereset abang akemathathek along bidi do; bonta kelu abang bidi alam thangta chinine.
PRO.14.34	Dhoromi akam isi adet pathelo, pap ke det aphan patherak lo.
PRO.14.35	Kechere thek abang aphan recho aningdok, bonta halahei kave det abangphan la aduk pilo.
PRO.15.1	Lamdok alam kethak ningkethi pame, bonta lam-kangtang la aning pathilo.
PRO.15.2	Kere abang alam gian pahung lo, bonta kebuiklui atum angho pen amovangve alam barlo.
PRO.15.3	Bithe-bitha kopi plang-loma 
PRO.15.4	Lamkangsam chethe pilo, bonta angthin kave alam-heihei nang karjong pangjir.
PRO.15.5	Nangpo nangkethan alam karjumo lake kelu akamlo; alangli akepakeng kedeng abang kesung ahut lahei chepangbo-etji.
PRO.15.6	Dhoromi amonit akhi chebirti, bonta kehingno abang apor vangve ako lahei chepangbo.
PRO.15.7	Kere atum gian pachethang, kelu atum pen ajok kali.
PRO.15.8	Kemesen abang ardomlote 
PRO.15.9	Kehingno atum atovar-heihei 
PRO.15.10	Nang jongsi kechokche akam klemlote, nangphan aduk-inghoi pikji; jongsi nangmethang chepakengke pulote nang thi nangji.
PRO.15.11	Kethi atum apirthe along kopisi kedoma kechiniji 
PRO.15.12	Kepinrem atum bang kepakeng aningdokde; Keremuchot atum pen latum kaita kepareji aphan chohanghe.
PRO.15.13	Rat atum chehok lote, latum ingnekdunpo, bonta halatum aning-oi lote, latumta aning runpo.
PRO.15.14	Kereset atum kecharliji aninghang, bonta kebuiklui atum kechinine pensi aning chepajang.
PRO.15.15	Keduk atum akai ke chemitmepin akechedan, bonta kereng-me atum akai kaita aning-chepajang long-lo.
PRO.15.16	Plang-o pen sungthurong mute kedukvok pen 
PRO.15.17	Kechehijim angbong ok-an kecho mute nangkechinghon atum angbong hanparvo kecho dun rong methumu.
PRO.15.18	Kesedeng abang lam pachedan, bonta ningkedingsi ningkangsam kevan.
PRO.15.19	Nang jongsi selet lote, nahokta nang kesung chetongpo, bonta nang jongsi angthikdut lote, nang sungse lo.
PRO.15.20	Kere asopo ke apo aphan parengmelo. Kelu abangsi apai aphan hijim.
PRO.15.21	Kebuiklui atum halatum akelu akam pen aning cheparong, bonta kere abang kopisi akechokma klemji.
PRO.15.22	Kedo-an akepare un an en dunnon, lapen nang kam chunpo; La penpete nang kam chunchelo.
PRO.15.23	Athik apor ahut lam ke me kevar dun-et thek la ko-an ning-arong!
PRO.15.24	Kere atum ke akai karlubom atovar anatsi dambom, kethi anat kesundam atovar anat kali.
PRO.15.25	Kecheparoka amonit ahem-heihei 
PRO.15.26	Kehingno akematha 
PRO.15.27	Nang jongsi ahok-he pen ale ri bor-i lote, nanghemtun aphan kesung vanpo. Tangka kejoi chori lapen nangchethe dingpo.
PRO.15.28	Thakthe aphrang kemesen amonit atum munthiji. Kehingno atum kethak chat-o, bonta la kesung vanji.
PRO.15.29	Kemesen abang ardomlote, 
PRO.15.30	Kangnek-hing amek nangphan parengme, lapen birta-keme nangphan ningparong.
PRO.15.31	Nangphan kepakeng ahut nang nocheden lote, nang kere abang lo.
PRO.15.32	Nang jongsi kecharli molote, nangmethang chepahingno lo. Nang jongsi kepakeng deng-lote nang remuchot lo.
PRO.16.1	Ning akemang-heihei monit alongsi do; bonta kejutsi alam akethak-ke Arnam aridengsi do.
PRO.16.2	Nang asontin keklem chokpet pu matha tahai, bonta nangning kerip alam 
PRO.16.3	Nangkam kemang aputhak hirjume kedojile 
PRO.16.5	Kecheparoka abangphutin aphan 
PRO.16.6	Chingkimesennon lapen kroithip-non, lapen Arnam nangpap diya po. 
PRO.16.7	Nang 
PRO.16.8	Ahok-he pen kangdat kelong-o mute ahokpet pen kangdat kelongchom memu.
PRO.16.9	Nang keklem akam mang tahai, bonta Arnamsi nangkam langji.
PRO.16.10	Arnam ajakong pen recho ningje; alangli kephar kaiketa chokpet.
PRO.16.11	Ahokpet alin lapen kelin-heihei 
PRO.16.12	Recho atum kehingno langding un-e, pima ahok-akangsaisi isi det-pungri pangtang.
PRO.16.13	Ahok alam karjuji recho aninghang lapen la keningje abangphan aningdok lo.
PRO.16.14	Kere abang recho aphan aning keparongji bor-i po; recho jongsi aning-thihak lote, mane abang thinangkok tahai.
PRO.16.15	Chungjir apor inghun arve vansi parengphun ason thak-thaksi recho aningkedok lapusonlo.
PRO.16.16	Ser lapen rup kedo apar bidi lapen gian kedosi methu parlang.
PRO.16.17	Tovar kedamthek atum kehingno olo; lasi nang konat kedam ma chelangnon-la nang pran pajokpo.
PRO.16.18	Anekethe ke kevir anat jalo, lapen cheparoka ta kevir anat ponlo.
PRO.16.19	Inut cheparoka lapen kethitang amar kecho endun apar mute chepabihek pen dukvok kedo memu.
PRO.16.20	Nangphan nangkethan ason aputhak no cheden pamenon, lapen nang chunji; 
PRO.16.21	Inut reset, arlengkesar aphan akechini thek pensi chini un. La alam ko-an akedokma, la an la pakroithek lo.
PRO.16.22	Kereset abangphan bidi ke kai along amek lo, bonta kelu abangphan kethan ke isi apor chepadam chot lo.
PRO.16.23	Aning-reset atum latum keningje aphrang matha; latum kepu alam ke ajor do.
PRO.16.24	Kanghon ke pijo alang ason kechomat dokjok lapen nang ok aphan mesen.
PRO.16.25	Nang kopima akechok atovarlo pu kematha kethi anat damrong tahai. 
PRO.16.26	Kamklembang akar-i laphan kam keklem pachepaduk tahai po, pima la akangchir la chepangkrangji aninghang-lo.
PRO.16.27	Kehingno atum bang aphan kepasungji atovar rilo, latum alam-heihei jokta kephangno alam chorilo.
PRO.16.28	Kechepalamso alam kehingno atumsi pachethang-lo; latum kepa-sungji chorung-lo lapen jirpo an chephangno lo.
PRO.16.29	Avi kepabu atum ajirpo atum aphan pachobei lo, lapen halatum aphan kevir anat jalo.
PRO.16.30	Nangphan amek kecharvi lapen angtur kechinghipthip atum aphan langpame; latum nangphan pine akehingno mathalo.
PRO.16.31	Dhoromi anong-e ke chethe keding helo; achu kelok ke anong aphutup lo.
PRO.16.32	Kangtangrak aphan mute chepa-ningding menei lo. Rongsopi-heihei aphan kehaidet mute nangmethang aning-kecheber un menei lo.
PRO.16.33	Arnam aning kehang kechiniji aphan monit atum khadot pathulo, bonta Arnamsi la kethakji aphan pharji.
PRO.17.1	Kechebohongsai akecho amei along kechodun mute ning ing-samjin pen him akreng kecho memu.
PRO.17.2	Giani aban ahemphu asopo amo-kevangve abangphan pangripo lapen amar penang an chepahemphu-dunpo.
PRO.17.3	Ser lapen rup aphan me pensi asat kelang, lapen monit aning 
PRO.17.4	Kehingno atum kehingno asai alam arju, lapen chobei atum kechobei alam arju.
PRO.17.5	Nang jongsi keduk arat aphan ingnekchoi lote nang halatum aphan kepinchong a-Arnam aphan langremlo. Bang akopai kelangno ahut nang chongthui dunrong lote nang duk phoji.
PRO.17.6	Akesar atum asumar apot chehok-lo, pinsomar atum halatum apo ahem pen ajok ane chepathelo.
PRO.17.7	Man kedo atum kechobei alam ningjeje, lapen kelu atum ajor kedo alam ningje ason ave.
PRO.17.8	Ajehak amonit atum matha (rosopot) tangka pen kebai lake mekbin ason; halatum mathalo la ajatta klem un.
PRO.17.9	Nang jongsi monit atum nangphan aningpadokpetji pulote, halatum nangphan kechokche keklem ahut diyanon. Chemathanon kechokche ason jirpo phangno thek.
PRO.17.10	Inut kelu abang batai pharo arengkeso pen kecharli apar inut reset abang ephong ington kecholong pen ansose charli thekmu.
PRO.17.11	Kepasungji kechorung kehingno amonit atum aphan aning kesedengkak apherangke kevang asonsi kethi vangpo.
PRO.17.12	Ajehak kelu atum ningjoino akam kecheborphrong along kechetongdun apar asomar kethipontang athokvam api kechetong memu.
PRO.17.13	Nang jongsi keme alar kehingno pen hui lote nanghem pen kaike ta kehingno kak ke det po.
PRO.17.14	Lamthama kechedan kecheng ke langteng kangten kecheng ason; la li-o e ako ingtonkoknon.
PRO.17.15	Adai kave abangphan kedintap mate kehingno abangphan 
PRO.17.16	Kelu abang tangka padamra pacharli seta ale ave, pima la kematha ajakong ave.
PRO.17.17	Jirpo atum kaita halatum akechinghon paklang. Kesung ahut cherap-re tangte kopi akorte lo?
PRO.17.18	Inut kematha thekthe abangsi bang apreng alam chechak dunchotji.
PRO.17.19	Pap aning kedok ke kepasungji aningkedok lo. Nang jongsi chepin-dakver lote, nang kesung kaiketa kechori lo.
PRO.17.20	Kehingno kematha abang chingthurthe, lapen keningjetap akevir si longchotji.
PRO.17.21	Asopo kelu akam keklem chot abang apo aphan thangnat ta kali bonta ningke-oi lapen keningri si vanpichotji.
PRO.17.22	Ning cheparongchen lote nang ok dovai ason pameji. Ahuttin ning cheparunhup lote lake thijoi akeso ason reppi pakrenghak-lo.
PRO.17.23	Tangka kecho akangsai atum tangka en chonghulo, lapen ahok akangsai klemkle lo.
PRO.17.24	Aningkere abang kere akam anatsi jongji, bonta kelu abang ahintinta chenghoiji.
PRO.17.25	Inut kelu aso apo aphan aning parun lapen apai aphan kehodak aning pajangje lo.
PRO.17.26	Adai kave abangphan adai kepatu ke akeme kali; kemesen amonit atum aphan aduk pilote ahok-akangsai pacheholo.
PRO.17.27	Ajehak atum amethang aning chetheklong ason dolote lam ningje-oe. Kedojoi amonit atumsi ahok lam-acho kedolo.
PRO.17.28	Keluvok abang seta la dojoi lapen angho chingpupe pulote laphan ta reset lapen aningkere abang-lo pusi matha pon tahai.
PRO.18.1	Bang kaprek pen chelangdun thekthe amonit atum amethang alam-akamsi chematha chot; abangphutin atum chok pu kechini alam along latum chedondun thekthe.
PRO.18.2	Inut kelu abang akechini doma ave la mathathe; la aning kehangnei akam ke kopusonsi reset pu chepaklang helo.
PRO.18.3	Pap lapen ketherak damrappo. Nangman avedet, lapen la alar nang ington cholong po.
PRO.18.4	Monit alam bidi atiri plangthek, la talopi akarnuk ason, kelivoi alangjeng alang ason mirak.
PRO.18.5	Ado kedo abang aphan keraidun lapen adai kave abangphan ahok-akangsai kelongji pen kekhangdun akeme kali.
PRO.18.6	Ajehak kelu atum lamthama chedan pangcheng lote la arengsi chongdat lo.
PRO.18.7	Kelu abang ningje lote, la ame-thang aphan chepavirlo; la alam pen chingnang lo.
PRO.18.8	Kepalamso ke dokjok-la ili ko-an kejoilutji ninghang-o!
