MAT.1.1	Abraham tapa David, tapa Jesu Krist khangthu bu.
ROM.12.7	nasep ding ahihleh isem ding uh, thuhilh dingin zong hilh hen; 
ROM.12.8	hasottu in zong hasot hen, sil piatu in zong itlouin pia hen, vaihawmtu in zong taima takin hawm hen, mi khuatuahtu in zong kipak takin khuatuah hen.
ROM.12.9	Itna ahihleh lepchiahna panglou in hi hen, gitlouhna mawng mawng hua unla, hoihna jousiah tu tinten un. 
ROM.12.10	Sanggam ki itna in khat leh khat ki lainat tuah chiat unla, ki zahbawl na lam ah kideihsak tuah chiat un. 
ROM.12.11	Taimak lam ah thadah kei unla, khalam ah phattuam ngai un, Pasian nna sem un. 
ROM.12.12	Kinepna lam ah kipak jingin, gimthuakna lam ah thuak teitei un, thumna lam ah kuhkal jing un. 
ROM.12.13	Misiangthoute taksap awng hu unla, jindou nasiam un.
ROM.12.14	Ahung gawtte gualjawl unla, gual jawl un, hamsiat kei un. 
ROM.12.15	Kipakte kipahpih unla, kapte kahpih un. 
ROM.12.16	Khat leh khat ngaihtuah kibang in om un. Kingaihtuah sang talua kenla, mineu nou noute tawh kipawl jaw un, kipilsak kei un. 
ROM.12.17	Kua gitlouh gitlouh in thuk kei un, mijousiah mitmuh ah sil kilawm bawl ding sawm un. 
ROM.12.18	Ahihtheih liaileh natung a ki-nga zah zah ah ki-nga in, mijousiah tawh kilem in om in. 
ROM.12.19	Deihtakte, phuba kilatuah kei un, hinanleh hehna Pasian awnjaw un, ajiak hichibang a gelh ahi, “Phulak him him keimah a ahi, keiman kathuk na ding, Toupa`n achi hi.” 
ROM.12.20	Tuajiakin, “Na melma agil akial leh nek ding pia in, adang atak leh dawnding pia in, ajiak tuachibang a nabawl leh alutung ah mei-am na sekhawm ahi ding hi.” 
ROM.12.21	Gitlouh zoh in omkenla, hoihna tawh gilou joujaw in.
ROM.13.1	Michih atung a vaihawmtute thu thu in om hen, ajiak Pasian thu louin kuamah vaihawm a om kei hi, vaihawmtu a omte Pasian guat ahi. 
ROM.13.2	Tuajiakin kuapeuh vaihawmtu nial pen Pasian silguat kalh ahi. Tualeh akalhtuten amauh tung ah siamlouh tansakna amu ding uhi. 
ROM.13.3	Vaihawmtute pen silhoih bawlte a dingin lauhuai ahi kei ua, hinanleh migiloute a dingin lauhuai ahi uhi. Ahihleh vaihawmtu laulou a om na ut ei? Silhoih bawl in, tuachi`n apahtak nalawh ding hi. 
ROM.13.4	Ajiak amah pen na hoihna ding a Pasian nasemtu ahi. Hinanleh sil gilou na bawl leh lau in, ajiak aman a namsau a mawktawi kei hi, amah pen Pasian nasemtu sil gilou bawlte tung a hehna phuba latu ahi. 
ROM.13.5	Tuajiakin Pasian gawtna laujiak guak hilouin, na sia leh pha theihna jiakin zong vaihawmtute thu thu a na om ding mawng ahi.
ROM.13.6	Hih jiakin siah zong napia uhi, amauh pen hih silte bawl ding a Pasian nasem ahi uhi. 
ROM.13.7	Tuajiakin mijousiah kiangah atan ding lawm uh pia un, leiman piakna dingpa kiangah leiman, siah piakna dingpa kiangah siah, tualeh amauhte zahtak un.
ROM.13.8	Ki it tuahna loungal kuamah bangmah bakei un, ajiak midang itpa in dan ahih bukim hi. 
ROM.13.9	Ajiak hih thupiakte`, “Ang na kawmlouh ding ahi, tual na thahlouh ding ahi, na guklouh ding ahi, theihpihtu diklou a napanlouh ding ahi, na englouh ding ahi,” tualeh hihlou thupiak dang mawng mawng aom leh, huate, “Nangmah na ki it bangin na innvengte it in,” chih in a khaikhawm siang hi. 
ROM.13.10	Itna in a innvengte a bawlsia ngaikei a, tuajiakin itna hi dan juihkimna ahi.
ROM.13.11	Tualeh igintat tunglai sang un i hundamna ni anaijawk taak jiakin ihmutna a pat khanlawh ahun mahmahta hi chih hun omdan ah nathei uhi. 
ROM.13.12	Jan abei dekdekta a, khua vak ding ahi ta, tuajiakin mial nasepte ipaikhia ding ua, vak thuam in iki thuam ding uhi. 
ROM.13.13	Sun a om bangin, hoihtak in i om ding uhi, omdan valseng leh uain kham buai a omlou in, huk leh kingaihhat a om louin, tualeh kihau leh ki thangsiat a omlou in. 
ROM.13.14	Tuasang in Toupa Jesu Krist in kithuam unla, na taksa utna uh tangtung sak dingin bangmah kibawl kei un.
ROM.14.1	Ginna a hatloumite, aginlahnate kiselpih kei unla, ngai un. 
ROM.14.2	Mi khat in bangkim nethei in aki gingta a, hinanleh mi khat in anteh louhing guak ane hi. 
ROM.14.3	An nete`n aneloute simmawh kei henla, tualeh aneloute`n zong anete gensia kei uhen, ajiak Pasian in amah a kipahpihta hi. 
ROM.14.4	Midang sila gensiatu nang kua na hia? Adin leh apuk apu a ding ahi. Tualeh amah pen dinsak in a om ding hi, ajiak Pasian in amah a dingsakthei hi.
ROM.14.5	Mi khat in ni khat nidang sangin angai thupijaw tuam a, mi dangin ni tengteng aki bangin angai hi. Michih amauh lungsim chiat ah ki theichian uhen. 
ROM.14.6	Ni tangpa in Pasian zahna in atang a, tualeh ni tangloupa`n Toupa thupina ding a tanglou ahi. Bangkim nepa`n Pasian kiangah kipahthu agen a, Toupa pahtawina dingin ane a, tualeh aneloupa`n zong Pasian kiangah kipahthu gen in anelou ahi. 
ROM.14.7	Ajiak kuamah eimah a ding a hing i om kei ua, tualeh kuamah ei a ding a si zong ihi kei uhi. 
ROM.14.8	Ajiak pen ihin leh Toupa a ding a hing ihi ua, isih un zong Toupa a dingin isi uh ahi. 
ROM.14.9	Ajiak misite leh mihingte Toupa a ahihtheihna dingin Krist asi a athoukik a, tualeh hinsak in a om hi. 
ROM.14.10	Hinanleh nang bangding a na sanggam gensia nahia? Ahihkeileh nang bangding a na sanggam simmoh na hia? I un ua Krist vaihawmna touna mai a dingchiat ding ihi uhi. 
ROM.14.11	Laisiangthou a,
ROM.14.11	“Keimah ahing tawntung Pasian ka hi, Toupa`n achi hi,
ROM.14.11	Toupa`n khup tengteng ka maiah akun ding ua,
ROM.14.11	lei tengteng zong Pasian mai ah a kiphuang ding uh,”
ROM.14.11	chih gelh bang in.
ROM.14.12	Tuachi`n i unpi un Pasian kiangah itanchin chiat uh igen ding uhi.
ROM.14.13	Tuajiakin khat leh khat iki gensia nawn kei ding ua, hinanleh kuapeuh in a sanggam kisuihkhak nang hiam ahihkeileh kipuk nang bangmah bawllouhna ding ngaihtuahjaw hen. 
ROM.14.14	Sil amah a sianglou mawng mawng aom kei chih, Toupa ah ka theichian a, ka taksan mahmah hi, hinanleh banghiam khat sianglou a ngaihsuntu dingin, huapen amah a dingin sianglou ahi. 
ROM.14.15	Hinanleh na annek jiak a na sanggam adahsak leh itna dan in na gamtang kei a ahi. Asih tang a Krist in asihsakpa pen na annek in hihmang ken! 
ROM.14.16	Tuajiakin na hoihna uh pen gilou a gen in omkei hen. 
ROM.14.17	Pasian gam pen nek leh dawn thu ahi ki a, hinanleh diktatnate, kilepnate, tualeh Khasiangthou a kipaknate ahijaw hi. 
ROM.14.18	Ajiak kuapeuh hih silte a Krist nasem tuh Pasian kipahpih leh mihing pahtat in a om jel uhi.
ROM.14.19	Tuajiakin kilepna ding leh kisuk-halhna ding silte idelh ding uhi. 
ROM.14.20	Na annek in Pasian nasep susia ken, sil tengteng asiangthou ngei ahi, hinanleh asilnek in mi ahihpuk leh anepa dingin silsia ahi. 
ROM.14.21	Na sanggam pukna ding hiam ahihkeileh hehna ding hiam ahihkeileh hatlouhna ding hiam ahihleh sa neklouh, uain dawnlouh, tualeh sil bangmah bawllouh ahoih hi. 
ROM.14.22	Ginna nanei ei? Pasian mai ah nangmah guak in kineih in. Amah hoihsak lam a siamlouh kitangsak lou mi pen ahampha hi! 
ROM.14.23	Hinanleh ginglahmi in anek leh ginna a anek louh jiakin siamlouh tang in a om hi. Sil khat peuh ginna lou a bawl pen khialhna ahi.
ROM.15.1	Tuachi`n ei ahatten eimah nopna ding bawllou in, ahatloute hatlouhna i thuakpih ding uhi. 
ROM.15.2	Michih in i innvengte khantouhna ding a, ahoihna ding un iki paksak ding uhi. 
ROM.15.3	Ajiak Krist in zong ama kipahna ding angaihtuah kei a, “Hinanleh nang hung sialphoute sialphouna pen ka tung ah atuta hi,” chia gelh bangin. 
ROM.15.4	Ajiak nidanglai a kigelh jousiah Pasian Laisiangthou a, kuhkalnate leh khamuanna jiak a eiten kinepna i neihtheihna ding a, eite kihilhna ding a gelh ahi. 
ROM.15.5	Tuachi`n kuhkalna leh khamuanna Pasian in, Krist Jesu mahbang in khat leh khat lungsim kibang in hung omsak hen, 
ROM.15.6	Pasian I Toupa uh Jesu Krist Pa ngeiin lungsim munkhat pua in leh aw khat suah a na pahtawi theihna ding un.
ROM.15.7	Tuajiakin, Krist in zong, Pasian thupina ding a ahung kipahpih mahbang in, khat leh khat ki pakta chiat un. 
ROM.15.8	Tuin huate ahi ka gen, pu leh pate kiang a thuchiamte hihkip dingin, Jesu Krist pen Pasian thudik theihsakna dingin teptante sila ahung hita hi, 
ROM.15.9	ahehpihna jiak a Jentelte`n Pasian apahtawi theihna ding un,
ROM.15.9	“Hihjiakin Jentelte lak ah kung pahtawi ding a,
ROM.15.9	namin phat in la kasa ding hi,”
ROM.15.9	chih gelh bang in.
ROM.15.10	Tualeh,
ROM.15.10	“Nou Jentelte, kamite tawh kipak un, achi kik a!”
ROM.15.11	Tualeh,
ROM.15.11	“Nou Jentelte jousiah, Toupa pahtawi un,
ROM.15.11	mi tengteng in zong amah phat un!”
ROM.15.11	achi kik hi. 
ROM.15.12	Tualeh Isaiah in,
ROM.15.12	“Jessai jungjam a om ding a;
ROM.15.12	Jentelte tung a vaihawm ding a hung paidingpa,
ROM.15.12	amah ah Jentelte a kinem ding uhi,”
ROM.15.12	achi kik hi. 
ROM.15.13	Khasiangthou silbawltheihna jiak a kinepna na hauhtheihna ding un, kinepna Pasian in ginna a kipakna leh khamuanna chinteng in hung hihdim hen.
ROM.15.14	Tualeh ka unaute aw, noupen pilna in nadim ua, pilna kim neiin naki hasuan tuah thei uh chih keimah mah ngeiin zong ka thei hi. 
ROM.15.15	Hitalehzong unaute aw, Pasian in ahung piak hehpihna jiakin nou hung theihsak kikna tawbang in akal laklak ah hangsantak in kagelh ahi. 
ROM.15.16	Jentelte lak a Krist nasem ka hihtheihna ding leh ka Jentel latte Khasiangthou suksiangthou ahih ua, kipahpih taak a hihtheihna ding un Pasian tangthupha nna kasem hi. 
ROM.15.17	Tuajiakin Pasian lam silte ah Jesu Krist ah ki thupisakna ding kanei hi. 
ROM.15.18	Ajiak Krist in Jentelte thumang sak ding a thu gen leh nna sem a keimah zang a asil bawlte loungal bangmah ka gen ngam kei hi, 
ROM.15.19	chiamtehna thupi taktakte leh sillamdangte in, Pasian Khasiangthou silbawltheihna in. Tuachi`n Jerusalem khua leh akimvel gam a kipan Illirikam gam tanpha in Krist tangthupha kimtak in ka gen jouta hi. 
ROM.15.20	Tualeh midang phuhsa tung a innlam ka hihlouhna dingin, tangthupa pen Krist min kilawhna sa mun a genlou in. 
ROM.15.21	Laisiangthou a,
ROM.15.21	“Hinanleh a tanchin gen ngailouhnate`n amu ding a,
ROM.15.21	aja ngai nailoute`n a hungthei ding uh chih gelh bangin,
ROM.15.21	gen katum jaw hi.” 
ROM.15.22	Hih jiakin na kiang ua hung paiding tamveipi dal in ka omta hi. 
ROM.15.23	Hinanleh tuinjaw hihgam kimvel ah mun kanei takei a, tualeh kum tampi na kiang ua hungpai nuam in zong ka omta hi, 
ROM.15.24	Spain gam a kapai hunhun ah na kiang uah kungpai ding hi; ajiak ka zinna a nou hung muh leh nou tomkhat hung kithuahpih a, hualam ka paina a nung khak uh zong ka kinem hi. 
ROM.15.25	Hinanleh tuin misiangthoute nna sepsak dingin Jerusalem a paiphot ding ka hi hi. 
ROM.15.26	Ajiak, Mesidonia leh Akhaia gammite`n Jerusalem khua a tagahte a ding a dangka tuakkhawm pha asata uhi. 
ROM.15.27	Hih pen amauh utna mah tawh abawl uh ahi, tualeh aleiba uh zong ahi mawng hi. Ajiak Jentelte`n khalam silte a kikoppih uleh, taksa lam silte a amauh a panpih uh ahih ding mawng uh ahi. 
ROM.15.28	Tuajiakin hih ka bawlzoh a, agah zong chiantak a ka muhsak zoh chiangin nou hung tawn in Spain gam ah kapai ding hi. 
ROM.15.29	Tualeh na kiang ua kungpai chiangin Krist tangthupha gualjawlna kim tawh kung paiding chih ka thei hi.
ROM.15.30	Tuachi`n unaute aw, Pasian kiang a nung thumsakna uah chihtak hung suah dingin Toupa Jesu min leh Khasiangthou itna in kung ngen hi. 
ROM.15.31	Judea gam a gingloute lak a ka suahtak theihna ding leh Jerusalem khua a ding a ka nasepna pen misiangthoute kipakna ding zong ahih theihna dingin, 
ROM.15.32	Pasian deihdan bang a, kipaktak a na kiang ua kung pai a, iki suk-halh khawm theihna ding un. 
ROM.15.33	Lemna Pasian na kiang uah om hen. Amen.
ROM.16.1	Kenkria khua a saptuam nasemtu, i sanggamnu uh Phoibi na kiang uah kung meltheihsak hi. 
ROM.16.2	Toupa min a misiangthoute bang a na napom ua, na panpih uh a ngaihna teng a na panpih ding un, ajiak aman zong mi tampi ana panpihta a, keimah ngei zong ahung panpihta hi.
ROM.16.3	Krist Jesu a hung panpihte Prisila leh Akuila chibai hung buksak un; 
ROM.16.4	amau`n ka hinna a dingin a ngawng uh adawh ua. Amauh tung guak ah hilou in, Jentel saptuam jousiahte tungah zong kipahthu ka gen ahi. 
ROM.16.5	Tuachimah bangin a inn ua saptuam kikhawmte zong chibai hung buksak un.
ROM.16.5	Akhaia gam a Krist a gah masapen, ittak Epaneta chibai hung buksak un. 
ROM.16.6	Na lak ua semgim Mari zong chibai hung buksak un. 
ROM.16.7	Ka chipihte lak a ka thong tangpih, sawltakte lak a zong a minthangtak, Krist a zong keisang a om masajaw Andronika leh Junia chibai hung buksak un.
ROM.16.8	Toupa a ka ittak Amphliata chibai hung buksak un. 
ROM.16.9	Krist a i naseppih Urbana leh, ka ittak Staki chibai hung buksak un. 
ROM.16.10	Krist a mi ahih kichian Apelle chibai hung buksak un. Aristobala inkuan a mite chibai hung buksak un. 
ROM.16.11	Ka chipih Herodion chibai hung buksak un. Toupa a om Norkissa inkuante chibai hung buksak un.
ROM.16.12	Toupa a om Triphena leh Triphosa chibai hung buksak un. Toupa nna hahsep mahmah, ittak Persi chibai hung buksak un. 
ROM.16.13	Toupa a telsa Rufa leh anu, keinu zong hi, chibai hung buksak un. 
ROM.16.14	Asinkrita, Phlegon, Hermi, Petroba, Hermas tualeh akiang ua om unaute chibai hung buksak un. 
ROM.16.15	Philologa leh Julia, Neria leh a sanggamnu, tualeh Olimpa leh akiang ua misiangthou omte jousiah chibai hung buksak un.
ROM.16.16	Kitawpna siangthou in chibai ki buktuah un, Krist a saptuamten chibai a hungbuk uhi.
ROM.16.17	Tualeh unaute aw: kihilhna dan nou ahung kihilh nasan uh kalh lam a kikhenna leh pukna siamkhiatute chiamteh ding leh kiheisan dingin kung ngen hi! 
ROM.16.18	Ajiak pen huachibang miten I Toupa uh Jesu Krist nna asem kei ua, amauh gilpi nna asemjaw uhi. Tualeh kampha leh kamsiam in mimawlte akhem nak uhi. 
ROM.16.19	Ajiak na thuman dan uh mijousiah lak ah akithang a, tuajiakin natung uah ka kipak hi. Hinanleh silhoih lam a napil ua, sil gilou lam a namawl uh ka deih hi. 
ROM.16.20	Tualeh lemna Pasian in setan pen tomkhat zoh chiangin nakeng nuaiah ahung tuandensak ding hi.
ROM.16.20	I Toupa Jesu hehpihna na kiang uah om hen.
ROM.16.21	Ka naseppih Timothi leh ka chipihte Lusia, Jason tualeh Sosipater in chibai ahung buk hi. 
ROM.16.22	Keimah, Tertia, hih laikhak gelhpa in, Toupa min in chibai kung buk hi.
ROM.16.23	Gaia, keileh saptuam jousiah jintunnapa in chibai ahung buk hi. Khuasung dangka kemtu Erasta leh unaupa Kuarta in chibai ahung buk hi. 
ROM.16.24	I Toupa uh Jesu Krist hehpihna na tung uah om hen. Amen.
ROM.16.25	Tuin amah ka tangthupha gen bang leh thugu`k kilakna bangbang a, Jesu Krist ki tangkoupihna bang a noute na ginna ua hung dingkipsak theipa, hua thugu`k pen tanglai sawtpi sung phualgu`k a na om. 
ROM.16.26	Hinanleh tu a tangtawn Pasian thupiak dungjui a Jawlneite laibu in, ginna thumanna dingin nam jousiah kiangah theihsak in a omta hi.
ROM.16.27	Apil Pasian guak kiangah Jesu Krist jiakin tangtawn in thupina om hen. Amen.
1CO.1.1	Paul, Pasian deihlam a Jesu Krist sawltak hiding a sap leh, i sanggampa uh Sosthene in,
1CO.1.2	Korin khua a Pasian saptuam omte, Jesu Krist a suksiang, misiangthou hiding a sapte kiangah, gamchin a I Toupa, amauh leh eite Toupa Jesu Krist min lou jousiahte kiangah tawh: 
1CO.1.3	I Pa uh Pasian leh I Toupa uh Jesu Krist a pat, hehpihna leh lemna na kiang uah om hen.
1CO.1.4	Jesu Krist a Pasian hehpihna na kiang ua hung kipia jiakin natung thu uah Pasian kiangah kipahthu ka gen gige hi. 
1CO.1.5	Sil bangkim ah thugen theihna chinteng leh theihna chinteng ah amah vangin hihhauhsat in na om uhi. 
1CO.1.6	Tuachimah bangin Krist thu theihsakna pen nou mauh ah hihkip ahita hi. 
1CO.1.7	Tuachi`n kha lam silpiak mawng mawng ah na taksapna uh omlou in, I Toupa uh Jesu Krist kilakna ding ngak a omjing na hi uhi. 
1CO.1.8	Aman I Toupa Jesu Krist ni chiang a gensiat bei a na omtheihna ding un atawp dongin zong ahung hihkip ding hi. 
1CO.1.9	Pasian amuanhuai hi, aman a Tapa Jesu Krist I Toupa uh tawh kipawlkhawmna ah ahung samlutta hi.
1CO.1.10	Tualeh unaute aw, na un ua thu khat nagen ua, tualeh nalak ua kikhenna mawng mawng a om louhna dingin lungsim kikhat leh ngaihtuahna kibang a hoihtak a na kizop jawkna ding un Toupa Jesu Krist minin kung ngen hi. 
1CO.1.11	Ajiak ka unaute aw, nalak uah kiselna aom chih na tungtang thu uh Kloe innkuanpihte genna kaja hi. 
1CO.1.12	Kagen hih ahi, noute tengteng in, “Kei Paul pawl ka hi; kei Apollo pawl ka hi; kei Kifa pawl ka hi; kei Krist pawl ka hi,” na chi uhi. 
1CO.1.13	Krist hawmkhen in a om ei le? Paul nou a dingin kilhdenin a om ei le? Ahihkeileh Paul minin baptisma na tang uai le?
1CO.1.14	Krispa leh Gaia chihlouh nalak ua khat bek kung baptis louh jiakin Pasian kiang ah kipahthu ka gen hi. 
1CO.1.15	Atuachih keileh, keimah min a ka baptis ahi chi na om kha ding uhi. 
1CO.1.16	Ahi, Stephenate innkuan ka baptis a, huate lou midang ka baptis lam ka theikei hi. 
1CO.1.17	Ajiak Krist in baptis dingin ahung sawl kei a, tangthupha gen ding in ahung sawljaw, pilna a thu genlou in, atuachih keileh Krist kross bangmahlou asuak kha ding.
1CO.1.18	Ajiak kross thu pen mangthangte dingin motna ahi a, hinanleh ei hundam a omte a dingin jaw Pasian sil bawltheihna ahi. 
1CO.1.19	Ajiak,
1CO.1.19	“Mipil, pilna ka hihsia ding a
1CO.1.19	mi pilvang, pilvan theihna ka hihmang ding hi,”
1CO.1.19	chih gelh bang in. 
1CO.1.20	Mipil khoi ah ahi? Laigelhmi khoi a awm ahia? Hih leitung a selhatmi khoi a awm ahia? Pasian in hih leitung pilna mothuaina suaksak lou amaw! 
1CO.1.21	Ajiak Pasian pilna ah, leitung pilna zang a Pasian atheihlouh nung un, thugen mothuaitak zang a agingtate hundam a om pen Pasian in pha asa hi. 
1CO.1.22	Judate`n chiamtehna a ngen ua, Grikte`n pilna azong uh. 
1CO.1.23	Hinanleh en Krist kilhden a aom thu igen uhi, huapen Judate a dingin kipalpukna, tualeh Grikte a dingin motna ahi; 
1CO.1.24	hinanleh Judate hi`n Grikte hitaleh kuapeuh akisamte a dingin Krist pen Pasian sil bawltheihna leh Pasian pilna ahi. 
1CO.1.25	Ajiak Pasian motna mihing sang in apiljaw a, tualeh Pasian hatlouhna zong mihing sang in ahatjaw hi.
1CO.1.26	Unaute aw, ahung sapna ngaihtuah dih un, taksa lam a mipil tampite, mihat tampite, milian tampite sap ahihlouh dan uh. 
1CO.1.27	Hinanleh Pasian in mipilte a zahlaksakna dingin leitung sil mothuaite atel jawta a, tualeh leitung a sil hatte azahlaksak na dingin leitung sil hatloute atel jawta hi. 
1CO.1.28	Tualeh leitung silsia leh simmoh huaite Pasian in atel a, sil omte bangmahlou a suahsak theihna dingin, sil omlou tan in atel hi. 
1CO.1.29	Tuachi`n Pasian mai ah kuamah aki liansak theikei ding hi. 
1CO.1.30	Hinanleh nou pen amah vangin Krist Jesu ah na om uhi, amah pen Pasian a pat eia ding a pilna, diktatna, hihsiangthouna tualeh tatkhiatna ding a bawl ahi. 
1CO.1.31	Tuajiakin Laisiangthou a akigelh bangin, “Asuang taphot in Toupa suang hen.” 
1CO.2.1	Tualeh unaute aw, kei na kiang ua Pasian thugu`k gen a kung pailai in thugen siam mahmah leh pilna thupitak tawh hungpai ka hikei hi. 
1CO.2.2	Ajiak ken, Jesu Krist leh amah kilhden a aom thu chih louh nalak uah bangmah dang theih ka sawm kei hi. 
1CO.2.3	Tualeh kei hatlou leh lau leh li`ng kawm in nalak uah ka om a, 
1CO.2.4	ka kam suakte leh ka thugente mihing pilna gensiam thu ahi kei a, hinanleh kha leh asil bawltheihna a hihhat in ahijaw hi. 
1CO.2.5	Tuachia na ginna uh mihing pilna a ki-nga hijaw louin, Pasian silbawl theihna a ki-nga ahihjawkna ding ahi hi.
1CO.2.6	Hinanleh pichingte lak ah pilna thu zong ka gen jel uhi, ahihhang in hih khang hun pilna thu ahi kei a, hih khang hun vaihawmtu mangthang dingte pilna thu zong ahi kei hi. 
1CO.2.7	Hinanleh kouten Pasian pilna thugu`k i thupina ding a Pasian in leitung om masang a aguatsa pilna kiphual thu ka gen jaw jel uhi. 
1CO.2.8	Huapen hih leitung vaihawmtute in a theikei uh, ajiak nathei hitale uh thupina Toupa pen ana kilhden kei ding uhi. 
1CO.2.9	Hinanleh Laisiangthou a,
1CO.2.9	“Mit a muh ngailouh, bil a jak ngailouh,
1CO.2.9	tualeh mihing lungtang a zong lut ngailou,
1CO.2.9	Pasian in amah itte ding a abawlsak silte pen,”
1CO.2.9	chia gelh bang in. 
1CO.2.10	Hinanleh Pasian in huate pen ikiang uah ahung theisakta hi, ajiak kha in bangkim azongkhia a, ahi, Pasian thugilte zong. 
1CO.2.11	Mihing thute mihing a om kha loungal in kua ahia athei ding? Tuachimah bangin Pasian thute zong Pasian kha loungal kuamah in a theikei hi. 
1CO.2.12	Tuachi`n Pasian in athawn a a hungpiak silte i theihtheihna dingin, eite in leitung kha hilou in, Pasian a kipan kha pen itang uhi.
1CO.2.13	Hua silte pen mihing pilna thuhilhna a genlou in, Khasiangthou thuhilh pen genjaw in, khalam thute khamite kiang a hilhchian in i genjaw uhi. 
1CO.2.14	Hinanleh leitungmite in pen khalam thute a sangthei kei uhi, ajiak amauh ngaih in huate pen mothuai ahi a, kha a theih ahihjiak in thei zong a theithei kei uhi. 
1CO.2.15	Hinanleh khamite in pen sil jousiah atheichian jel ua, amah ahihleh kuaman atheichian kei hi. 
1CO.2.16	Ajiak Laisiangthou in,
1CO.2.16	“Amah thuhilh thei ding a,
1CO.2.16	kuan ahia Toupa lungsim thei khin?”
1CO.2.16	hinanleh eite`n Krist lungsim ipua uhi, achi hi. 
1CO.3.1	Tualeh unaute aw, khamite kiang a thu ka gen bangin na kiang uah thu ka gen theikei a, taksamite kiang a gen bang lel in ka gen ahi. 
1CO.3.2	An-gum hilou in nawitui in kungvak a, na nektheih nailouh jiak un, tu-in zong na nethei naikei uhi. 
1CO.3.3	Ajiak nou na taksami nalai uhi, ajiak nalak uah kithangsiatna leh, kinialna leh kipawl khenna a omjing jiakin taksami hinalai in mihing bang a om nalai hilou na hi uh hiam? 
1CO.3.4	Ajiak khat in, “Kei Paul pawl ka hi,” adang in, “Kei apollo pawl ka hi,” achih laisiah taksami hilai hilou na hi uh maw? 
1CO.3.5	Paul kua ahia? Apollo kua ahia? Amauh nou hung gingtasaktu thu nasemmite ahileltak uhi. Tuazong Toupa`n michih apiak bang jel in ahi. 
1CO.3.6	Ken kasuan a, apollo in tui abuak a, hinanleh Pasian in akhangsak hi. 
1CO.3.7	Tuachi`n asuantu zong bangmah ahikei a, atui buaktu zong bangmah ahi kei hi. A khangsaktu Pasian lou ngal. 
1CO.3.8	Tualeh asuantu leh atui buaktu akibang ahi uhi, tualeh michih in asepgim bang jel un nuamman amu ding uhi. 
1CO.3.9	Ajiak ahihleh Pasian tawh semkhawmte ka hi uhi, nou pen Pasian louma nahi ua.
1CO.3.9	Pasian lam inn na hi uhi. 
1CO.3.10	Pasian hehpihna kei hung kipia dungjui in inn lamtu piltak bangin ken asuangphum kalemta a, midang in atung ah inn alam uhi. Hinanleh michih hua atung a a innlam dan uah pilvang uhen. 
1CO.3.11	Ajiak asuangphum lepsa loungal suangphum dang kuaman alem thei nawnkei uh, huapen Jesu Krist ahi. 
1CO.3.12	Tualeh hih suangphum tung ah mi kuapeuhin kham in hiam, daan dangka in hiam, suangmantam in hiam, sing in hiam, hampa in hiam, buhtu in hiam lam taleh. 
1CO.3.13	Michih nasep ahung kilang ding hi, ajiak pen ani in aphuangkhia ding hi, mei a suklat hiding ahihjiak in; tualeh meiin michih nasep bang chibang ahia chih achiansak ding hi. 
1CO.3.14	Kua nasep ahita in zong huatung a alam pen a omjing leh aman nuamman amu ding hi. 
1CO.3.15	Hinanleh kua nasep ahita in zong akakleh ataan ding a, hinanleh amah pen meikuang paisuak bangin hundam in aom ding hi.
1CO.3.16	Pasian tempul na hi uh, tualeh nasung uah Pasian kha ateng chih theilou na hi uh maw! 
1CO.3.17	Mi kuapeuhin Pasian tempul asukbuah leh amah Pasian in ahihsia ding, hua tempul nou nahi uhi.
1CO.3.18	Mi kuamah amah leh amah kikhem kei hen, nalak ua mi kuahiam hih leitung a pil akisak leh ahung pil theihna dingin mimaw hung suak hen. 
1CO.3.19	Ajiak hih leitung pilna pen “Pasian ngaih in motna ahi, ajiak aman mipilte apil lepchiahna uah aman hi.” 
1CO.3.20	Tualeh Laisiangthou ah, “Toupa`n mipilte ngaihtuahna athawn ahi, chih athei hi,” chih gelh ahi. 
1CO.3.21	Tuajiakin kuaman mihing suang kei hen, ajiak sil jousiah nou a ahi hi: 
1CO.3.22	Paul hi in, Apollo hi in. Kifa hi in, leitung hi in, hinna hi in, sihna hi in, sil om nalaite hi in, sil hung om dingte hitaleh zong, sil jousiah nou a ahi hi, 
1CO.3.23	tualeh nou Krist a na hi ua, Krist pen Pasian a ahi hi.
1CO.4.1	Tuachi`n mi`n kou pen Krist sawltakte leh Pasian thugu`k enkawltute bangin hungthei uhen. 
1CO.4.2	Hih ah enkawltu hihna ah pen mi gin-om hih apoimoh hi. 
1CO.4.3	Hinanleh nou, nung ze-et ua, mihing ngaihtuahna a nung ze-et uh pen kei a dingin sil neunou khat ahi, keimah leh keimah ngei zong kaki ze-et kei hi. 
1CO.4.4	Ajiak keiman bang mah kimawhsakna ding ka theikei hi. Hinanleh ahung enkhiatu Toupa ahi hi. 
1CO.4.5	Tuajiakin ahunma in, Toupa ahung paima in bangmah ze-et kei un. Aman mial a sil kiphualte vak ah ahung puakhia ding a, tualeh lungtang a ngaihtuahte zong ahung kilang ding hi, tuachiang in michih in Pasian phatna atangchiat ding uhi.
1CO.4.6	Tualeh unaute aw, “Akigelh bang val a kuamah ngaihtuah louh ding chih kou a pat na jiltheihna ding uleh,” nalak ua kuamah in khat suang a khat tung a ki uangsak a na om louhna ding un, hih thute nou jiakin kei leh Apollo etsakna in ka kipia uhi. 
