MAT.1.1	Βίβλος γενέσεως Ἰησοῦ Χριστοῦ, υἱοῦ Δαυῒδ υἱοῦ Ἀβραάμ. 
ACT.10.5	καὶ νῦν πέμψον εἰς Ἰόππην ἄνδρας καὶ μετάπεμψαι Σίμωνα τὸν ἐπικαλούμενον Πέτρον· 
ACT.10.6	οὗτος ξενίζεται παρά τινι Σίμωνι βυρσεῖ, ᾧ ἐστιν οἰκία παρὰ θάλασσαν. 
ACT.10.7	ὡς δὲ ἀπῆλθεν ὁ ἄγγελος ὁ λαλῶν τῷ Κορνηλίῳ, φωνήσας δύο τῶν οἰκετῶν αὐτοῦ καὶ στρατιώτην εὐσεβῆ τῶν προσκαρτερούντων αὐτῷ, 
ACT.10.8	καὶ ἐξηγησάμενος αὐτοῖς ἅπαντα, ἀπέστειλεν αὐτοὺς εἰς τὴν Ἰόππην. 
ACT.10.9	Τῇ δὲ ἐπαύριον ὁδοιπορούντων ἐκείνων καὶ τῇ πόλει ἐγγιζόντων ἀνέβη Πέτρος ἐπὶ τὸ δῶμα προσεύξασθαι περὶ ὥραν ἕκτην. 
ACT.10.10	ἐγένετο δὲ πρόσπεινος καὶ ἤθελε γεύσασθαι· παρασκευαζόντων δὲ ἐκείνων ἐπέπεσεν ἐπ᾽ αὐτὸν ἔκστασις, 
ACT.10.11	καὶ θεωρεῖ τὸν οὐρανὸν ἀνεῳγμένον καὶ καταβαῖνον ἐπ᾽ αὐτὸν σκεῦός τι ὡς ὀθόνην μεγάλην, τέσσαρσιν ἀρχαῖς δεδεμένον καὶ καθιέμενον ἐπὶ τῆς γῆς, 
ACT.10.12	ἐν ᾧ ὑπῆρχε πάντα τὰ τετράποδα τῆς γῆς καὶ τὰ θηρία καὶ τὰ ἑρπετὰ καὶ τὰ πετεινὰ τοῦ οὐρανοῦ. 
ACT.10.13	καὶ ἐγένετο φωνὴ πρὸς αὐτόν· ἀναστάς, Πέτρε, θῦσον καὶ φάγε. 
ACT.10.14	ὁ δὲ Πέτρος εἶπε· μηδαμῶς, Κύριε· ὅτι οὐδέποτε ἔφαγον πᾶν κοινὸν ἢ ἀκάθαρτον. 
ACT.10.15	καὶ φωνὴ πάλιν ἐκ δευτέρου πρὸς αὐτόν· ἃ ὁ Θεὸς ἐκαθάρισε σὺ μὴ κοίνου. 
ACT.10.16	τοῦτο δὲ ἐγένετο ἐπὶ τρίς, καὶ πάλιν ἀνελήφθη τὸ σκεῦος εἰς τὸν οὐρανόν. 
ACT.10.17	Ὡς δὲ ἐν ἑαυτῷ διηπόρει ὁ Πέτρος τί ἂν εἴη τὸ ὅραμα ὃ εἶδε, καὶ ἰδοὺ οἱ ἄνδρες οἱ ἀπεσταλμένοι ἀπὸ τοῦ Κορνηλίου διερωτήσαντες τὴν οἰκίαν Σίμωνος ἐπέστησαν ἐπὶ τὸν πυλῶνα, 
ACT.10.18	καὶ φωνήσαντες ἐπυνθάνοντο εἰ Σίμων ὁ ἐπικαλούμενος Πέτρος ἐνθάδε ξενίζεται. 
ACT.10.19	τοῦ δὲ Πέτρου διενθυμουμένου περὶ τοῦ ὁράματος εἶπεν αὐτῷ τὸ Πνεῦμα· ἰδοὺ ἄνδρες τρεῖς ζητοῦσί σε· 
ACT.10.20	ἀλλὰ ἀναστὰς κατάβηθι καὶ πορεύου σὺν αὐτοῖς μηδὲν διακρινόμενος, διότι ἐγὼ ἀπέσταλκα αὐτούς. 
ACT.10.21	καταβὰς δὲ Πέτρος πρὸς τοὺς ἄνδρας εἶπεν· ἰδοὺ ἐγώ εἰμι ὃν ζητεῖτε· τίς ἡ αἰτία δι᾽ ἣν πάρεστε; 
ACT.10.22	οἱ δὲ εἶπον· Κορνήλιος ἑκατοντάρχης, ἀνὴρ δίκαιος καὶ φοβούμενος τὸν Θεόν, μαρτυρούμενός τε ὑπὸ ὅλου τοῦ ἔθνους τῶν Ἰουδαίων, ἐχρηματίσθη ὑπὸ ἀγγέλου ἁγίου μεταπέμψασθαί σε εἰς τὸν οἶκον αὐτοῦ καὶ ἀκοῦσαι ῥήματα παρὰ σοῦ. 
ACT.10.23	εἰσκαλεσάμενος οὖν αὐτοὺς ἐξένισε. Τῇ δὲ ἐπαύριον ἀναστὰς ἐξῆλθε σὺν αὐτοῖς, καί τινες τῶν ἀδελφῶν τῶν ἀπὸ τῆς Ἰόππης συνῆλθον αὐτῷ, 
ACT.10.24	καὶ τῇ ἐπαύριον εἰσῆλθον εἰς τὴν Καισάρειαν. ὁ δὲ Κορνήλιος ἦν προσδοκῶν αὐτοὺς συγκαλεσάμενος τοὺς συγγενεῖς αὐτοῦ καὶ τοὺς ἀναγκαίους φίλους. 
ACT.10.25	Ὡς δὲ ἐγένετο τοῦ εἰσελθεῖν τὸν Πέτρον, συναντήσας αὐτῷ ὁ Κορνήλιος πεσὼν ἐπὶ τοὺς πόδας προσεκύνησεν. 
ACT.10.26	ὁ δὲ Πέτρος αὐτὸν ἤγειρε λέγων· ἀνάστηθι· κἀγὼ αὐτὸς ἄνθρωπός εἰμι. 
ACT.10.27	καὶ συνομιλῶν αὐτῷ εἰσῆλθε, καὶ εὑρίσκει συνεληλυθότας πολλούς, 
ACT.10.28	ἔφη τε πρὸς αὐτούς· ὑμεῖς ἐπίστασθε ὡς ἀθέμιτόν ἐστιν ἀνδρὶ Ἰουδαίῳ κολλᾶσθαι ἢ προσέρχεσθαι ἀλλοφύλῳ· καὶ ἐμοὶ ὁ Θεὸς ἔδειξε μηδένα κοινὸν ἢ ἀκάθαρτον λέγειν ἄνθρωπον· 
ACT.10.29	διὸ καὶ ἀναντιρρήτως ἦλθον μεταπεμφθείς. πυνθάνομαι οὖν τίνι λόγῳ μετεπέμψασθέ με; 
ACT.10.30	καὶ ὁ Κορνήλιος ἔφη· ἀπὸ τετάρτης ἡμέρας μέχρι ταύτης τῆς ὥρας ἤμην νηστεύων, καὶ τὴν ἐνάτην ὥραν προσευχόμενος ἐν τῷ οἴκῳ μου· καὶ ἰδοὺ ἀνὴρ ἔστη ἐνώπιόν μου ἐν ἐσθῆτι λαμπρᾷ, 
ACT.10.31	καί φησι· Κορνήλιε, εἰσηκούσθη σου ἡ προσευχὴ καὶ αἱ ἐλεημοσύναι σου ἐμνήσθησαν ἐνώπιον τοῦ Θεοῦ. 
ACT.10.32	πέμψον οὖν εἰς Ἰόππην καὶ μετακάλεσαι Σίμωνα ὃς ἐπικαλεῖται Πέτρος· οὗτος ξενίζεται ἐν οἰκίᾳ Σίμωνος βυρσέως παρὰ θάλασσαν· ὃς παραγενόμενος λαλήσει σοι. 
ACT.10.33	ἐξαυτῆς οὖν ἔπεμψα πρός σε, σύ τε καλῶς ἐποίησας παραγενόμενος. νῦν οὖν πάντες ἡμεῖς ἐνώπιον τοῦ Θεοῦ πάρεσμεν ἀκοῦσαι πάντα τὰ προστεταγμένα σοι ὑπὸ τοῦ Θεοῦ. 
ACT.10.34	Ἀνοίξας δὲ Πέτρος τὸ στόμα αὐτοῦ εἶπεν· ἐπ᾽ ἀληθείας καταλαμβάνομαι ὅτι οὐκ ἔστι προσωπολήπτης ὁ Θεός, 
ACT.10.35	ἀλλ᾽ ἐν παντὶ ἔθνει ὁ φοβούμενος αὐτὸν καὶ ἐργαζόμενος δικαιοσύνην δεκτὸς αὐτῷ ἐστι. 
ACT.10.36	τὸν λόγον ὃν ἀπέστειλε τοῖς υἱοῖς Ἰσραὴλ εὐαγγελιζόμενος εἰρήνην διὰ Ἰησοῦ Χριστοῦ· οὗτός ἐστι πάντων Κύριος· 
ACT.10.37	ὑμεῖς οἴδατε τὸ γενόμενον ῥῆμα καθ᾽ ὅλης τῆς Ἰουδαίας, ἀρξάμενον ἀπὸ τῆς Γαλιλαίας μετὰ τὸ βάπτισμα ὃ ἐκήρυξεν Ἰωάννης, 
ACT.10.38	Ἰησοῦν τὸν ἀπὸ Ναζαρέτ, ὡς ἔχρισεν αὐτὸν ὁ Θεὸς Πνεύματι Ἁγίῳ καὶ δυνάμει, ὃς διῆλθεν εὐεργετῶν καὶ ἰώμενος πάντας τοὺς καταδυναστευομένους ὑπὸ τοῦ διαβόλου, ὅτι ὁ Θεὸς ἦν μετ᾽ αὐτοῦ· 
ACT.10.39	καὶ ἡμεῖς ἐσμεν μάρτυρες πάντων ὧν ἐποίησεν ἔν τε τῇ χώρᾳ τῶν Ἰουδαίων καὶ ἐν Ἱερουσαλήμ· ὃν καὶ ἀνεῖλον κρεμάσαντες ἐπὶ ξύλου. 
ACT.10.40	τοῦτον ὁ Θεὸς ἤγειρε τῇ τρίτῃ ἡμέρᾳ καὶ ἔδωκεν αὐτὸν ἐμφανῆ γενέσθαι, 
ACT.10.41	οὐ παντὶ τῷ λαῷ, ἀλλὰ μάρτυσι τοῖς προκεχειροτονημένοις ὑπὸ τοῦ Θεοῦ, ἡμῖν, οἵτινες συνεφάγομεν καὶ συνεπίομεν αὐτῷ μετὰ τὸ ἀναστῆναι αὐτὸν ἐκ νεκρῶν· 
ACT.10.42	καὶ παρήγγειλεν ἡμῖν κηρῦξαι τῷ λαῷ καὶ διαμαρτύρασθαι ὅτι αὐτός ἐστιν ὁ ὡρισμένος ὑπὸ τοῦ Θεοῦ κριτὴς ζώντων καὶ νεκρῶν. 
ACT.10.43	τούτῳ πάντες οἱ προφῆται μαρτυροῦσιν, ἄφεσιν ἁμαρτιῶν λαβεῖν διὰ τοῦ ὀνόματος αὐτοῦ πάντα τὸν πιστεύοντα εἰς αὐτόν. 
ACT.10.44	Ἔτι λαλοῦντος τοῦ Πέτρου τὰ ῥήματα ταῦτα ἐπέπεσε τὸ Πνεῦμα τὸ Ἅγιον ἐπὶ πάντας τοὺς ἀκούοντας τὸν λόγον. 
ACT.10.45	καὶ ἐξέστησαν οἱ ἐκ περιτομῆς πιστοὶ ὅσοι συνῆλθον τῷ Πέτρῳ, ὅτι καὶ ἐπὶ τὰ ἔθνη ἡ δωρεὰ τοῦ Ἁγίου Πνεύματος ἐκκέχυται· 
ACT.10.46	ἤκουον γὰρ αὐτῶν λαλούντων γλώσσαις καὶ μεγαλυνόντων τὸν Θεόν. 
ACT.10.47	τότε ἀπεκρίθη ὁ Πέτρος· μήτι τὸ ὕδωρ κωλῦσαι δύναταί τις τοῦ μὴ βαπτισθῆναι τούτους, οἵτινες τὸ Πνεῦμα τὸ Ἅγιον ἔλαβον καθὼς καὶ ἡμεῖς; 
ACT.10.48	προσέταξέ τε αὐτοὺς βαπτισθῆναι ἐν τῷ ὀνόματι τοῦ Κυρίου. τότε ἠρώτησαν αὐτὸν ἐπιμεῖναι ἡμέρας τινάς.
ACT.11.1	Ἤκουσαν δὲ οἱ ἀπόστολοι καὶ οἱ ἀδελφοὶ οἱ ὄντες κατὰ τὴν Ἰουδαίαν ὅτι καὶ τὰ ἔθνη ἐδέξαντο τὸν λόγον τοῦ Θεοῦ. 
ACT.11.2	καὶ ὅτε ἀνέβη Πέτρος εἰς Ἱεροσόλυμα, διεκρίνοντο πρὸς αὐτὸν οἱ ἐκ περιτομῆς 
ACT.11.3	λέγοντες ὅτι πρὸς ἄνδρας ἀκροβυστίαν ἔχοντας εἰσῆλθες καὶ συνέφαγες αὐτοῖς. 
ACT.11.4	ἀρξάμενος δὲ ὁ Πέτρος ἐξετίθετο αὐτοῖς καθεξῆς λέγων· 
ACT.11.5	ἐγὼ ἤμην ἐν πόλει Ἰόππῃ προσευχόμενος, καὶ εἶδον ἐν ἐκστάσει ὅραμα, καταβαῖνον σκεῦός τι ὡς ὀθόνην μεγάλην τέσσαρσιν ἀρχαῖς καθιεμένην ἐκ τοῦ οὐρανοῦ, καὶ ἦλθεν ἄχρις ἐμοῦ· 
ACT.11.6	εἰς ἣν ἀτενίσας κατενόουν, καὶ εἶδον τὰ τετράποδα τῆς γῆς καὶ τὰ θηρία καὶ τὰ ἑρπετὰ καὶ τὰ πετεινὰ τοῦ οὐρανοῦ. 
ACT.11.7	ἤκουσα δὲ φωνῆς λεγούσης μοι· ἀναστάς, Πέτρε, θῦσον καὶ φάγε. 
ACT.11.8	εἶπον δέ· μηδαμῶς, Κύριε· ὅτι πᾶν κοινὸν ἢ ἀκάθαρτον οὐδέποτε εἰσῆλθεν εἰς τὸ στόμα μου. 
ACT.11.9	ἀπεκρίθη δέ μοι φωνὴ ἐκ δευτέρου ἐκ τοῦ οὐρανοῦ· ἃ ὁ Θεὸς ἐκαθάρισε σὺ μὴ κοίνου. 
ACT.11.10	τοῦτο δὲ ἐγένετο ἐπὶ τρίς, καὶ πάλιν ἀνεσπάσθη ἅπαντα εἰς τὸν οὐρανόν. 
ACT.11.11	καὶ ἰδοὺ ἐξαυτῆς τρεῖς ἄνδρες ἐπέστησαν ἐπὶ τὴν οἰκίαν ἐν ᾗ ἤμην, ἀπεσταλμένοι ἀπὸ Καισαρείας πρός με. 
ACT.11.12	εἶπε δέ μοι τὸ Πνεῦμα συνελθεῖν αὐτοῖς μηδὲν διακρινόμενον. ἦλθον δὲ σὺν ἐμοὶ καὶ οἱ ἓξ ἀδελφοὶ οὗτοι, καὶ εἰσήλθομεν εἰς τὸν οἶκον τοῦ ἀνδρός. 
ACT.11.13	ἀπήγγειλέ τε ἡμῖν πῶς εἶδε τὸν ἄγγελον ἐν τῷ οἴκῳ αὐτοῦ σταθέντα καὶ εἰπόντα αὐτῷ· ἀπόστειλον εἰς Ἰόππην ἄνδρας καὶ μετάπεμψαι Σίμωνα τὸν ἐπικαλούμενον Πέτρον, 
ACT.11.14	ὃς λαλήσει ῥήματα πρός σε, ἐν οἷς σωθήσῃ σὺ καὶ πᾶς ὁ οἷκός σου. 
ACT.11.15	ἐν δὲ τῷ ἄρξασθαί με λαλεῖν ἐπέπεσε τὸ Πνεῦμα τὸ Ἅγιον ἐπ᾽ αὐτοὺς ὥσπερ καὶ ἐφ᾽ ἡμᾶς ἐν ἀρχῇ. 
ACT.11.16	ἐμνήσθην δὲ τοῦ ῥήματος Κυρίου ὡς ἔλεγεν· Ἰωάννης μὲν ἐβάπτισεν ὕδατι, ὑμεῖς δὲ βαπτισθήσεσθε ἐν Πνεύματι Ἁγίῳ. 
ACT.11.17	εἰ οὖν τὴν ἴσην δωρεὰν ἔδωκεν αὐτοῖς ὁ Θεὸς ὡς καὶ ἡμῖν πιστεύσασιν ἐπὶ τὸν Κύριον Ἰησοῦν Χριστόν, ἐγὼ δὲ τίς ἤμην δυνατὸς κωλῦσαι τὸν Θεόν; 
ACT.11.18	ἀκούσαντες δὲ ταῦτα ἡσύχασαν καὶ ἐδόξαζον τὸν Θεὸν λέγοντες· ἄρα γε καὶ τοῖς ἔθνεσιν ὁ Θεὸς τὴν μετάνοιαν ἔδωκεν εἰς ζωήν.
ACT.11.19	Οἱ μὲν οὖν διασπαρέντες ἀπὸ τῆς θλίψεως τῆς γενομένης ἐπὶ Στεφάνῳ διῆλθον ἕως Φοινίκης καὶ Κύπρου καὶ Ἀντιοχείας, μηδενὶ λαλοῦντες τὸν λόγον εἰ μὴ μόνον Ἰουδαίοις. 
ACT.11.20	Ἦσαν δέ τινες ἐξ αὐτῶν ἄνδρες Κύπριοι καὶ Κυρηναῖοι, οἵτινες εἰσελθόντες εἰς Ἀντιόχειαν ἐλάλουν πρὸς τοὺς Ἑλληνιστάς, εὐαγγελιζόμενοι τὸν Κύριον Ἰησοῦν. 
ACT.11.21	καὶ ἦν χεὶρ Κυρίου μετ᾽ αὐτῶν, πολύς τε ἀριθμὸς πιστεύσας ἐπέστρεψεν ἐπὶ τὸν Κύριον. 
ACT.11.22	Ἠκούσθη δὲ ὁ λόγος εἰς τὰ ὦτα τῆς ἐκκλησίας τῆς ἐν Ἱεροσολύμοις περὶ αὐτῶν, καὶ ἐξαπέστειλαν Βαρνάβαν διελθεῖν ἕως Ἀντιοχείας· 
ACT.11.23	ὃς παραγενόμενος καὶ ἰδὼν τὴν χάριν τοῦ Θεοῦ ἐχάρη, καὶ παρεκάλει πάντας τῇ προθέσει τῆς καρδίας προσμένειν τῷ Κυρίῳ, 
ACT.11.24	ὅτι ἦν ἀνὴρ ἀγαθὸς καὶ πλήρης Πνεύματος Ἁγίου καὶ πίστεως· καὶ προσετέθη ὄχλος ἱκανὸς τῷ Κυρίῳ. 
ACT.11.25	ἐξῆλθε δὲ εἰς Ταρσὸν ὁ Βαρνάβας ἀναζητῆσαι Σαῦλον, καὶ εὑρὼν αὐτὸν ἤγαγεν αὐτὸν εἰς Ἀντιόχειαν. 
ACT.11.26	ἐγένετο δὲ αὐτοὺς ἐνιαυτὸν ὅλον συναχθῆναι ἐν τῇ ἐκκλησίᾳ καὶ διδάξαι ὄχλον ἱκανόν, χρηματίσαι τε πρῶτον ἐν Ἀντιοχείᾳ τοὺς μαθητὰς Χριστιανούς.
ACT.11.27	Ἐν ταύταις δὲ ταῖς ἡμέραις κατῆλθον ἀπὸ Ἱεροσολύμων προφῆται εἰς Ἀντιόχειαν· 
ACT.11.28	ἀναστὰς δὲ εἷς ἐξ αὐτῶν ὀνόματι Ἄγαβος ἐσήμανε διὰ τοῦ Πνεύματος λιμὸν μέγαν μέλλειν ἔσεσθαι ἐφ᾽ ὅλην τὴν οἰκουμένην· ὅστις καὶ ἐγένετο ἐπὶ Κλαυδίου Καίσαρος. 
ACT.11.29	τῶν δὲ μαθητῶν καθὼς ηὐπορεῖτό τις, ὥρισαν ἕκαστος αὐτῶν εἰς διακονίαν πέμψαι τοῖς κατοικοῦσιν ἐν τῇ Ἰουδαίᾳ ἀδελφοῖς· 
ACT.11.30	ὃ καὶ ἐποίησαν ἀποστείλαντες πρὸς τοὺς πρεσβυτέρους διὰ χειρὸς Βαρνάβα καὶ Σαύλου.
ACT.12.1	Κατ᾽ ἐκεῖνον δὲ τὸν καιρὸν ἐπέβαλεν Ἡρῴδης ὁ βασιλεὺς τὰς χεῖρας κακῶσαί τινας τῶν ἀπὸ τῆς ἐκκλησίας. 
ACT.12.2	ἀνεῖλε δὲ Ἰάκωβον τὸν ἀδελφὸν Ἰωάννου μαχαίρᾳ. 
ACT.12.3	καὶ ἰδὼν ὅτι ἀρεστόν ἐστι τοῖς Ἰουδαίοις, προσέθετο συλλαβεῖν καὶ Πέτρον· ἦσαν δὲ αἱ ἡμέραι τῶν ἀζύμων· 
ACT.12.4	ὃν καὶ πιάσας ἔθετο εἰς φυλακήν, παραδοὺς τέσσαρσι τετραδίοις στρατιωτῶν φυλάσσειν αὐτόν, βουλόμενος μετὰ τὸ πάσχα ἀναγαγεῖν αὐτὸν τῷ λαῷ. 
ACT.12.5	ὁ μὲν οὖν Πέτρος ἐτηρεῖτο ἐν τῇ φυλακῇ· προσευχὴ δὲ ἦν ἐκτενὴς γινομένη ὑπὸ τῆς ἐκκλησίας πρὸς τὸν Θεὸν ὑπὲρ αὐτοῦ. 
ACT.12.6	Ὅτε δὲ ἔμελλεν αὐτὸν προάγειν ὁ Ἡρῴδης, τῇ νυκτὶ ἐκείνῃ ἦν ὁ Πέτρος κοιμώμενος μεταξὺ δύο στρατιωτῶν δεδεμένος ἁλύσεσι δυσί, φύλακές τε πρὸ τῆς θύρας ἐτήρουν τὴν φυλακήν. 
ACT.12.7	καὶ ἰδοὺ ἄγγελος Κυρίου ἐπέστη καὶ φῶς ἔλαμψεν ἐν τῷ οἰκήματι· πατάξας δὲ τὴν πλευρὰν τοῦ Πέτρου ἤγειρεν αὐτὸν λέγων· ἀνάστα ἐν τάχει. καὶ ἐξέπεσον αὐτοῦ αἱ ἁλύσεις ἐκ τῶν χειρῶν. 
ACT.12.8	εἶπέ τε ὁ ἄγγελος πρὸς αὐτόν· περίζωσαι καὶ ὑπόδησαι τὰ σανδάλιά σου. ἐποίησε δὲ οὕτω. καὶ λέγει αὐτῷ· περιβαλοῦ τὸ ἱμάτιόν σου καὶ ἀκολούθει μοι. 
ACT.12.9	καὶ ἐξελθὼν ἠκολούθει αὐτῷ, καὶ οὐκ ᾔδει ὅτι ἀληθές ἐστι τὸ γινόμενον διὰ τοῦ ἀγγέλου, ἐδόκει δὲ ὅραμα βλέπειν. 
ACT.12.10	διελθόντες δὲ πρώτην φυλακὴν καὶ δευτέραν ἦλθον ἐπὶ τὴν πύλην τὴν σιδηρᾶν τὴν φέρουσαν εἰς τὴν πόλιν, ἥτις αὐτομάτη ἠνοίχθη αὐτοῖς, καὶ ἐξελθόντες προῆλθον ῥύμην μίαν, καὶ εὐθέως ἀπέστη ὁ ἄγγελος ἀπ᾽ αὐτοῦ. 
ACT.12.11	καὶ ὁ Πέτρος γενόμενος ἐν ἑαυτῶ εἶπε· νῦν οἶδα ἀληθῶς ὅτι ἐξαπέστειλε Κύριος τὸν ἄγγελον αὐτοῦ καὶ ἐξείλετό με ἐκ χειρὸς Ἡρῴδου καὶ πάσης τῆς προσδοκίας τοῦ λαοῦ τῶν Ἰουδαίων. 
ACT.12.12	συνιδών τε ἦλθεν ἐπὶ τὴν οἰκίαν Μαρίας τῆς μητρὸς Ἰωάννου τοῦ ἐπικαλουμένου Μάρκου, οὗ ἦσαν ἱκανοὶ συνηθροισμένοι καὶ προσευχόμενοι. 
ACT.12.13	κρούσαντος δὲ αὐτοῦ τὴν θύραν τοῦ πυλῶνος προσῆλθε παιδίσκη ὑπακοῦσαι ὀνόματι Ῥόδη, 
ACT.12.14	καὶ ἐπιγνοῦσα τὴν φωνὴν τοῦ Πέτρου, ἀπὸ τῆς χαρᾶς οὐκ ἤνοιξε τὸν πυλῶνα, εἰσδραμοῦσα δὲ ἀπήγγειλεν ἑστάναι τὸν Πέτρον πρὸ τοῦ πυλῶνος. 
ACT.12.15	οἱ δὲ πρὸς αὐτὴν εἶπον· μαίνῃ. ἡ δὲ διισχυρίζετο οὕτως ἔχειν. οἱ δὲ ἔλεγον· ὁ ἄγγελος αὐτοῦ ἐστιν. 
ACT.12.16	ὁ δὲ Πέτρος ἐπέμενε κρούων. ἀνοίξαντες δὲ εἶδον αὐτὸν καὶ ἐξέστησαν. 
ACT.12.17	κατασείσας δὲ αὐτοῖς τῇ χειρὶ σιγᾶν διηγήσατο αὐτοῖς πῶς ὁ Κύριος ἐξήγαγεν αὐτὸν ἐκ τῆς φυλακῆς, εἶπε δέ· ἀπαγγείλατε Ἰακώβῳ καὶ τοῖς ἀδελφοῖς ταῦτα. καὶ ἐξελθὼν ἐπορεύθη εἰς ἕτερον τόπον. 
ACT.12.18	Γενομένης δὲ ἡμέρας ἦν τάραχος οὐκ ὀλίγος ἐν τοῖς στρατιώταις, τί ἄρα ὁ Πέτρος ἐγένετο. 
ACT.12.19	Ἡρῴδης δὲ ἐπιζητήσας αὐτὸν καὶ μὴ εὑρών, ἀνακρίνας τοὺς φύλακας ἐκέλευσεν ἀπαχθῆναι, καὶ κατελθὼν ἀπὸ τῆς Ἰουδαίας εἰς τὴν Καισάρειαν διέτριβεν.
ACT.12.20	Ἦν δὲ Ἡρῴδης θυμομαχῶν Τυρίοις καὶ Σιδωνίοις· ὁμοθυμαδόν τε παρῆσαν πρὸς αὐτόν, καὶ πείσαντες Βλάστον τὸν ἐπὶ τοῦ κοιτῶνος τοῦ βασιλέως ᾐτοῦντο εἰρήνην, διὰ τὸ τρέφεσθαι αὐτῶν τὴν χώραν ἀπὸ τῆς βασιλικῆς. 
ACT.12.21	τακτῇ δὲ ἡμέρᾳ ὁ Ἡρῴδης ἐνδυσάμενος ἐσθῆτα βασιλικὴν καὶ καθίσας ἐπὶ τοῦ βήματος ἐδημηγόρει πρὸς αὐτούς. 
ACT.12.22	ὁ δὲ δῆμος ἐπεφώνει· Θεοῦ φωνὴ καὶ οὐκ ἀνθρώπου. 
ACT.12.23	παραχρῆμα δὲ ἐπάταξεν αὐτὸν ἄγγελος Κυρίου ἀνθ᾽ ὧν οὐκ ἔδωκε τὴν δόξαν τῷ Θεῷ, καὶ γενόμενος σκωληκόβρωτος ἐξέψυξεν. 
ACT.12.24	Ὁ δὲ λόγος τοῦ Θεοῦ ηὔξανε καὶ ἐπληθύνετο. 
ACT.12.25	Βαρνάβας δὲ καὶ Σαῦλος ὑπέστρεψαν ἐξ Ἱερουσαλὴμ πληρώσαντες τὴν διακονίαν, συμπαραλαβόντες καὶ Ἰωάννην τὸν ἐπικληθέντα Μᾶρκον.
ACT.13.1	Ἦσαν δέ τινες ἐν Ἀντιοχείᾳ κατὰ τὴν οὖσαν ἐκκλησίαν προφῆται καὶ διδάσκαλοι, ὅ τε Βαρνάβας καὶ Συμεὼν ὁ ἐπικαλούμενος Νίγερ, καὶ Λούκιος ὁ Κυρηναῖος, Μαναήν τε Ἡρῴδου τοῦ τετράρχου σύντροφος καὶ Σαῦλος. 
ACT.13.2	λειτουργούντων δὲ αὐτῶν τῷ Κυρίῳ καὶ νηστευόντων εἶπε τὸ Πνεῦμα τὸ Ἅγιον· ἀφορίσατε δή μοι τὸν Βαρνάβαν καὶ τὸν Σαῦλον εἰς τὸ ἔργον ὃ προσκέκλημαι αὐτούς. 
ACT.13.3	τότε νηστεύσαντες καὶ προσευξάμενοι καὶ ἐπιθέντες αὐτοῖς τὰς χεῖρας ἀπέλυσαν. 
ACT.13.4	Οὗτοι μὲν οὖν ἐκπεμφθέντες ὑπὸ τοῦ Πνεύματος τοῦ Ἁγίου κατῆλθον εἰς τὴν Σελεύκειαν, ἐκεῖθέν τε ἀπέπλευσαν εἰς τὴν Κύπρον, 
ACT.13.5	καὶ γενόμενοι ἐν Σαλαμῖνι κατήγγελλον τὸν λόγον τοῦ Θεοῦ ἐν ταῖς συναγωγαῖς τῶν Ἰουδαίων· εἶχον δὲ καὶ Ἰωάννην ὑπηρέτην. 
ACT.13.6	Διελθόντες δὲ τὴν νῆσον ἄχρι Πάφου εὗρόν τινα μάγον ψευδοπροφήτην Ἰουδαῖον ᾧ ὄνομα Βαριησοῦς, 
ACT.13.7	ὃς ἦν σὺν τῷ ἀνθυπάτῳ Σεργίῳ Παύλῳ, ἀνδρὶ συνετῷ. οὗτος προσκαλεσάμενος Βαρνάβαν καὶ Σαῦλον ἐπεζήτησεν ἀκοῦσαι τὸν λόγον τοῦ Θεοῦ· 
ACT.13.8	ἀνθίστατο δὲ αὐτοῖς Ἐλύμας ὁ μάγος – οὕτω γὰρ μεθερμηνεύεται τὸ ὄνομα αὐτοῦ – ζητῶν διαστρέψαι τὸν ἀνθύπατον ἀπὸ τῆς πίστεως. 
ACT.13.9	Σαῦλος δέ, ὁ καὶ Παῦλος, πλησθεὶς Πνεύματος Ἁγίου καὶ ἀτενίσας πρὸς αὐτὸν 
ACT.13.10	εἶπεν· ὦ πλήρης παντὸς δόλου καὶ πάσης ῥᾳδιουργίας, υἱὲ διαβόλου, ἐχθρὲ πάσης δικαιοσύνης, οὐ παύσῃ διαστρέφων τὰς ὁδοὺς Κυρίου τὰς εὐθείας; 
ACT.13.11	καὶ νῦν ἰδοὺ χεὶρ Κυρίου ἐπὶ σέ, καὶ ἔσῃ τυφλὸς μὴ βλέπων τὸν ἥλιον ἄχρι καιροῦ. παραχρῆμα δὲ ἔπεσεν ἐπ᾽ αὐτὸν ἀχλὺς καὶ σκότος, καὶ περιάγων ἐζήτει χειραγωγούς. 
ACT.13.12	τότε ἰδὼν ὁ ἀνθύπατος τὸ γεγονὸς ἐπίστευσεν, ἐκπλησσόμενος ἐπὶ τῇ διδαχῇ τοῦ Κυρίου.
ACT.13.13	Ἀναχθέντες δὲ ἀπὸ τῆς Πάφου οἱ περὶ τὸν Παῦλον ἦλθον εἰς Πέργην τῆς Παμφυλίας· Ἰωάννης δὲ ἀποχωρήσας ἀπ᾽ αὐτῶν ὑπέστρεψεν εἰς Ἱεροσόλυμα. 
