MAT.1.1	Issá Masih, 
LUK.11.14	Yak baré, Issá cha yakkéá 
LUK.11.15	Bale lahténá gwasht: “Issá cha jennáni sardár 
LUK.11.16	Dega lahténá pa Issáay chakkásagá cha áiá ásmáni neshánié lóthet. 
LUK.11.17	Bale Issáyá áyáni delay hál o habar zántant o gwashti: “Agan yak molkéá nátepáki bekapit, á molk gár o zawála bit, agan yak lógéay mardom gón wat jang o jérhah bekanant, á lóg haráb o barbáda bit. 
LUK.11.18	Agan Shaytán gón wat jang bekant, gorhá áiay bádsháhi chón barjáha mánit? Shomá gwashét ke man cha jennáni sardár, Belzabulay komaká jennán dara kanán. 
LUK.11.19	Nun agan man gón Belzabulay sarókiá jennán dara kanán, gorhá shomay jenday chokk o morid gón kai zór o wáká jennán dara kanant? É paymá, shomay morid wat shomárá mayáriga kanant. 
LUK.11.20	Bale agan man gón Hodáay zór o wáká jennán dara kanán, bezánét ke 
LUK.11.21	“Agan yak zóráwarén mardomé seláhband bebit o wati lógay negahpániá bekant, gorhá áiay mál o melkat barjáha mánant. 
LUK.11.22	Bale agan zórmandterén mardomé áiay lógay sará hamlah o orosh
LUK.11.23	Kasé ke mani hamráh o dóstwáh naent á mani badwáh ent, kasé ke mocch o yakjáh kanagá gón man hór naent, á tak o park o sheng o shánga kant.
LUK.11.24	“Wahdé 
LUK.11.25	Wahdé pera tarrit o gendit ke á jágah roptag o sáp o sallah ent, 
LUK.11.26	gorhá rawt o cha watá dega hapt selterén jenna kárit. Á sajjahén, hórigá ódá rawant o ord o bonaga kanant. É dhawlá, á mardomay ásar o ákebat cha pésarigéná angat badtera bit.”
LUK.11.27	Hamé wahdá ke Issá é habarán kanagá at cha mardománi nyámá yak janénéá gwánk jat: “Bahtáwar hamá mát ent ke cha áiay lápá taw pédá butagay o tará shiri méchéntag.” 
LUK.11.28	Issáyá áiay passawá darráént: “Bahtáwar hamá ant ke 
LUK.11.29	Wahdé mardománi mocchi géshter bayán at, Issáyá gwasht: “É zamánagay mardom sherr o zenahkárén mardom ant. Ajabbatén neshánia lóthant, bale áyán 
LUK.11.30	Anchosh ke pa Naynawáay mardomán Yunes yak neshánié at, hamé paymá 
LUK.11.31	Jost o porsay róchá, Sabáay malakah
LUK.11.32	Jost o porsay róchá, Naynawáay mardom gón é zamánagay mardomán hórigá páda káyant o áyán mayáriga kanant, chiá ke á, Yunesay dháh o hozzhárbáshay sará cha wati gonáhán pashómán butant. Bale nun cha Yunesá masteréné edá ent.
LUK.11.33	“Hechkas cherágá pa chér dayagá róka nakant o na áiá tagáray chérá éra kant. Áiá cherágjáhay sará éra kant, tán harkas ke lógá kayt áiay rozhnáiá begendit. 
LUK.11.34	Tai chamm, jesm o jánay cherág ent. Wahdé tai chamm wassh o dráh ent, tai sajjahén jesm o ján rozhnága bit, bale agan tai chamm nádráh bebit, gorhá tai jesm o ján ham tahára bit. 
LUK.11.35	Hozzhár bay, é nur o rozhn ke tará hastent, tahár mabit. 
LUK.11.36	Agan tai sajjahén jesm o ján rozhnág bebit o áiay hech bahré tahár mabit, gorhá sarjamiá drapshnáka bit, anchosh ke cherágay shahm tará rozhnága kant.”
LUK.11.37	Wahdé Issáyá habar halás kort, yak 
LUK.11.38	Bale wahdé Parisiá dist ke Issáyá cha waragá pésar dast nashoshtant hayrán mant. 
LUK.11.39	Gorhá 
LUK.11.40	Oo násarpadán! Áiá ke shomay dhanni némag, bezán jesm o ján addh kortag, shomay del o darun ham hamáiá najórhéntag? 
LUK.11.41	Gorhá cha darunay chizán hayrát bedayét tán sajjahén chiz pa shomá pák o sallah bebant.
LUK.11.42	“Oo 
LUK.11.43	Oo Parisián! Bazhn o apsóz pa shomá ke 
LUK.11.44	Bazhn ent, shomá hamá kabráni paymá ét ke áyáni sará seng o shakk
LUK.11.45	É habaráni sará 
LUK.11.46	Issáyá gwasht: “Oo Sharyatay kázián! Pa shomá ham bazhn o apsóz ent. Shomá mardománi chakká gránén bára laddhét ke cha áyáni zórá gésh ent, bale wat pa komak kanagá, lankok o mórdánagé
LUK.11.47	“Bazhn o apsóz pa shomá! Hamá nabiáni kabráni sará gombod o addiraha bandét ke shomay pet o pirokán koshtagant. 
LUK.11.48	É paymá, shomá wat áyáni é káray sháhed o mannóger ét. Shomay pet o pirokán paygambar koshtagant o shomá áyáni kabráni sará addiraha bandét. 
LUK.11.49	Paméshká, Hodáyá cha wati hekmatá gwashtag: Man paygambar o 
LUK.11.50	Paméshká cha 
LUK.11.51	bezán Hábilay hóná beger tán Zakariáay hóná, ke korbánjáh o 
LUK.11.52	“Oo 
LUK.11.53+LUK.11.54	Wahdé Issá cha ódá dar átk, 
LUK.12.1	Hamá wahdá, hazárán mardom mocch but o yakdomiá gwarmósh dayán o lapáshán at. Issáyá pésará dém gón moridán tarrént, wati gapp o tráni bongéj kort o gwashti: “Cha 
LUK.12.2	chiá ke hech chérén káré nést ke záher o paddar mabit o choshén andém o panáhén chizé nést ke áshkár o démdará mabit. 
LUK.12.3	Paméshká, har habaré ke shomá shapay taháriá kortag, róchay rozhnáiá eshkonaga bit o har habaré ke shomá dapbandén lógáni tahá pa halwat kortag, cha lóg o bánáni sará jár janaga bit.
LUK.12.4	“Oo mani dóstán! Shomárá gwashán ke cha mardomán matorsét. Á shomay jesm o jáná koshta kanant, bale cha eshiá géshter hecch korta nakanant. 
LUK.12.5	Man shomárá kaddhana kanán o gwashán ke cha kayá betorsét. Cha hamáiá betorsét ke koshta kant o koshagá rand tahtaruná dawr dayagay wáki ham hast. Haw! Man shomárá gwashán ke cha hamáiá betorsét. 
LUK.12.6	Panch jenjeshk pa do paysahá
LUK.12.7	Hodáyá shomay saray mudáni hesáb ham gón ent, gorhá matorsét chiá ke shomay kadr o arzesh cha sajjahén jenjeshkán géshter ent.
LUK.12.8	“Man shomárá gwashán ke harkas mardománi démá maná bemannit, 
LUK.12.9	Bale harkas mardománi démá maná mamannit, man ham Hodáay préshtagáni démá áiá namannán. 
LUK.12.10	Hamé dhawlá, agan kasé Ensánay Chokkay helápá habar bekant pahell kanaga bit, bale harkas 
LUK.12.11	“Mardom shomárá gerant o 
LUK.12.12	chiá ke 
LUK.12.13	Cha mardománi mocchiá, yakkéá gón áiá gwasht: “Oo ostád! Mani brátá begwash ke cha petay mirásá mani bahrá begisshénit o bedant.” 
LUK.12.14	Issáyá passaw dát: “Oo mard! Kaséá maná shomay mirásay bahr kanók nakortag.” 
LUK.12.15	Gorhá gón mardomán gwashti: “Hozzhár bét! Watá cha har dhawlén tamah o lálechá dur bedárét, chiá ke mál o dawlatay zyádahi ensánay zenday maksad o morád naent.”
LUK.12.16	Áiá yak mesálé dát o gwashti: “Yak hastómandén zemindáré hastat ke áiá cha wati dhagár o keshárán bázén dahl o rasadé raset. 
LUK.12.17	Nun wati delá pegri kort ke: ‘Ché bekanán? Maná pa esháni ambár kanagá jágah nést.’ 
LUK.12.18	Gorhá gón wat gwashti: ‘Nun zánton ché bekanán. Wati ambárána karóján o harába kanán o esháni jágahá masterén ambára bandán o sajjahén dán o málán hamódá ambára kanán. 
LUK.12.19	Padá gón wata gwashán: “Taw pa bázén sálán mazanén málé mocch kortag. Nun ásudag bebay, wassh bwar o benósh o shádehi kan!”’ 
LUK.12.20	Bale Hodáyá gwasht: ‘Oo nádán! Enshapi tai sáh cha taw geraga bit, gorhá tai é mocch kortagén mál o melkat kaiga bant?’
LUK.12.21	“Esh ent á mardomay ásar o ákebat ke pa wat mál ambára kant bale Hodáay gwará hastómand naent.”
LUK.12.22	Issáyá gón wati moridán gwasht: “Paméshká shomárá gwashán ke pa wati zendá paréshán o deltaparkah mabét ke ‘Ché bwarén?’ na pa wati jesm o jáná ke ‘Ché bepóshén?’ 
LUK.12.23	chiá ke zend, cha waráká o jesm o ján, cha pósháká géshtera karzit. 
LUK.12.24	Gwarágán bechárét, na keshant o na ronant o na káhdán o ambáresh hast. Bale angat Hodá áyán róziga dant. Shomay arzesh o kimmat cha morgán báz géshter ent. 
LUK.12.25	Kasé gón pegr o hayáláni zórá wati zenday róchán sáhaté ham gésh korta kant?
LUK.12.26	Agan shomá inchokén kasánén káré korta nakanét, gorhá chiá zenday dega chizáni bárawá pegra kanét?
LUK.12.27+LUK.12.28	“Oo kambáwarán! Gol o polláni némagá delgósh kanét ke chón rost o rodóma kanant. Na zahmaté kasshant o na résant o gwapant, bale man shomárá gwashán ke 
LUK.12.29	Paméshká pa ward o warákay shóházá watá delsyáh makanét. 
LUK.12.30	 sajjahén Hodánábáwarén mardom é chizáni randá tachant, bale shomay ásmáni Peta zánt ke shomárá é chiz pakár ant. 
LUK.12.31	Shomá 
LUK.12.32	“Oo mani kasánokén romb o thóli! Matorsét chiá ke shomay ásmáni Petay razá o wáhag hamesh ent ke bádsháhiá shomárá bedant. 
LUK.12.33	Wati mál o melkatá bahá kanét o nézgáráni sará bahr kanét. Pa wat anchén zarturag addh bekanét ke hechbar kwahn mabant, nahallagi o abadmánén ásmáni ganjé ambár kanét ke na dozz áiá bárt o na warók o raméz
LUK.12.34	Shomay del hamá jáhá rawt ke mál hamódá ent.
LUK.12.35	“Lánká bebandét o wati cherágá rók o rozhnág bedárét. 
LUK.12.36	Hamá hezmatkár o dazbójáni paymá bebét ke rahchár ant áyáni hodábond kadén cha sur o árósay shádehián pera tarrit o anchosh ke kayt o darwázagá thokkit, á darwázagá pacha kanant. 
LUK.12.37	Bahtáwar ant hamá hezmatkár ke áyáni hodábonda kayt o gendit ágáh o hozzhár ant. Báwar kanét hodábond wat pa áyáni hezmatá lánka bandit, áyána nendárénit o warag démá dant. 
LUK.12.38	Bahtáwar ant hamá hezmatkár agan áyáni wájah shapay domi yá saymi pásá byayt, begendit ke ágáh ant. 
LUK.12.39	Shomá sharra zánét, agan lógay hodábondá bezántén dozz kojám wahdá kayt, gorhá áiá hechbar dozz wati lógá pa dozziá naeshtagat. 
LUK.12.40	Hamé paymá tayár bebét, chiá ke 
LUK.12.41	Petrosá gwasht: “Oo 
LUK.12.42	Hodáwandén Issáyá gwasht: “Wapádár o shiwárén kármaster hamá ent ke hodábond áiá wati é dega sajjahén hezmatkáráni master bekant tán áyán pa wahd ward o warák bedant. 
LUK.12.43	Bahtáwar ent hamá hezmatkár ke wahdé hodábonda kayt, áiá hamá káráni sará gendit. 
LUK.12.44	Shomárá rásténa gwashán, hodábond hamá hezmatkárá wati sajjahén mál o hastiay kármastera kant.
LUK.12.45	“Bale agan hamá kármaster wati delá begwashit: ‘Angat mani hodábonday áyagá báz wahd hast’ o paméshká warag o charagá malár o hanósh bebit o wati hamkárén golám o móledán latth o kotth bekant. 
LUK.12.46	Áiay hodábond anchén róch o sáhatéá kayt o rasit ke á nazánt o wadárá naent. Gorhá hodábond áiá thokkor thokkora kant o béwapá o nábáwaráni nyámá dawra dant.
LUK.12.47	“Á hezmatkár ke wati hodábonday wáhag o delkasshiána zánt, bale angat áiay razá o morádáni sará kár kanagá watá tayára nakant, bázén latthé wárt. 
LUK.12.48	Bale hamá ke pa názánti anchén radé jant ke latth o kotthay sezáwár ent, kamter lattha wárt. Chiá ke cha masterén mansabdárá géshter jost o porsa bit o kaséá ke géshter zemmahwári dayag butag, cha áiá géshter hesáb geraga bit.
LUK.12.49	“Man 
LUK.12.50	Bale cha áiá pésar, maná 
LUK.12.51	Gomána kanét man átkagán tán zeminay sará tepáki o sohl byárán? Na, man pa jetáiay áragá átkagán. 
LUK.12.52	Cha é damáná o rand, har lógay panchén mardománi nyámá jetáia kapit, say doay helápá o do sayay helápá bit. 
LUK.12.53	Pet gón chokká nátepáka bit o chokk gón petá, jenek cha mátá jetá bit o mát cha jeneká, wassig gón neshárá nátepáka bit o neshár gón wassigá.”
LUK.12.54	Gorhá Issáyá gón mardomán gwasht: “Wahdé shomá dém pa rónendá gendét ke jambaréá bastag, hamá damáná gwashét ke hawra bit o hawr ham gwárit. 
LUK.12.55	Wahdé cha jonubá gwáta kasshit, gwashét ke maróchi garm o lewára bit o hamé dhawlá ham bit. 
LUK.12.56	Oo dopóstén shatalkárán! Wahdé shomá zemin o ásmánay rang o neshániána zánét ke ché bayagi ent, gorhá chón é annugén zamánagay neshánián kesás korta nakanét?
LUK.12.57	“Shomá pa ché rástiá wat kesás korta nakanét? 
LUK.12.58	Wahdé gón wati daynkárá hakdiwáná
LUK.12.59	Tará gwashán, tán wahdé ke taw zarráni goddhi pai o paysahá porr makanay, cha ódá ázáta nabay.”
LUK.13.1	Hamá wahdá, lahténá gón Issáyá á 
LUK.13.2	Issáyá áyáni passawá gwasht: “Shomá gomána kanét, á Jalili ke pa choshén bazzagi o syahróchié dochár kaptant, cha á degarán gonahkárter atant? 
LUK.13.3	Man shomárá gwashán na, chosh naent, bale agan cha wati gonáhán pashómán mabét, shomá ham hamáyáni dhawlá gár o gomsára bét. 
LUK.13.4	Gomána kanét hamá hazhdahén mardom ke Siluháay borj áyáni sará kapt o mortant, cha 
LUK.13.5	Man shomárá gwashán na, shomá ham, agan cha wati gonáhán pashómán mabét, hamáyáni dhawlá gár o gomsára bét.”
LUK.13.6	Padá Issáyá pa áyán mesálé jat: “Mardéá wati anguri bágá enjiray drachké hastat. Yak róché, á enjiray baráni cháragá bágá shot, bale baré nadisti. 
LUK.13.7	Gorhá gón wati bágpáná gwashti: ‘Say sál ent ke man é enjiray baráni cháragá káyán bale heccha nagendán. Begoddhi tán zeminá bébar o bésamar makant.’ 
LUK.13.8	Bale bágpáná passaw dát: ‘Wájah! Dega yak sálé belli, man eshiay boná kóchán o kolóndhán o samáta dayán, 
LUK.13.9	démi sálá, agan bari dát sharr, agan nadáti gorhá begoddhi.’”
LUK.13.11	Yak janéné hamódá at ke hazhdah sálá, yak arwáhéá nádráh kortagat. Kompi jatagat o hech dhawlá wati sréni tachk korta nakort. 
LUK.13.12	Wahdé Issáay chamm pa áiá kaptant, tawári kort o gwashti: “Oo janén! Taw cha wati nájórhiá rakketay.” 
LUK.13.13	Issáyá wati dast áiay sará ér kort o hamá damáná á kompén janénay srén tachk but o Hodáay sepat o sanáyá lagget.
LUK.13.14	Bale 
LUK.13.15	 Issáyá áiay passawá darráént: “Oo shatalkárén riákárán! Cha shomá hechkas Shabbatay róchá wati har o gókán cha wati banjáhána nabójit o dhanná pa áp dayagá nabárt? 
LUK.13.16	Gorhá, é janén, ke Ebráhémay nasl o padréch ent o hazhdah sál ent ke Shaytáná wati bandig kortag, chiá Shabbatay róchá cha wati azábán ázát o ásudag kanag mabit?”
LUK.13.17	Wahdé Issáyá chosh gwasht, áiay sajjahén badwáh pashal o sharmendag butant. Bale é dega sajjahén mardom cha Issáay é mójezah o ajabén kárán báz washdel o shádán butant.
LUK.13.18	Randá, Issáyá gwasht: “
LUK.13.19	Hodáay bádsháhi, thélkáhay
LUK.13.20	Padá gwashti: “Man pa 
LUK.13.21	Hodáay bádsháhi hamá homiray paymá ent ke janénéá zort o gón bázén ártéá
LUK.13.22	Issá shahr pa shahr o métag pa métag mardomán sar o sój dayán dém pa 
LUK.13.23	yakkéá jost kort: “Oo wájah! Bárén, cha mardomán, tahná kammokéné rakkit?” 
LUK.13.24	Áiá passaw dát: “Johd kanét cha tankén darwázagá begwazét, chiá ke man shomárá gwashán, bázéné cha hamé darwázagá gwazagay johdá kant, bale gwasta nakant. 
LUK.13.25	Wahdé kayt ke lógay hodábond páda kayt o lógay darwázagá banda kant, gorhá shomá lógay dapá óshtét o harchont darwázagá thokkét o tawára kanét: ‘Oo wájah! Darwázagá pa má pach kan!’, bale á passawa dant ke: ‘Man shomárá pajjáha nayárán o nazánán cha kojá ét.’ 
LUK.13.26	Shomá gwashét: ‘Má gón taw hamwán
LUK.13.27	Bale á passawa dant: ‘Man shomárá pajjáha nayárán o nazánán cha kojá ét? Oo radkárán! Cha mani démá dur bét.’ 
LUK.13.28	Á wahdá, gréwét o dantán pa dantána droshét, chiá ke Ebráhém, Eshák, Ákub o sajjahén paygambarán, mán 
LUK.13.29	“É dega mardom cha ródarátk
LUK.13.30	Haw, anchosh ent ke áheri, awalia bant o awali, áheria bant.”
LUK.13.31	Hamá wahdá, lahtén 
LUK.13.32	Áyáni passawá gwashti: “Berawét á róbáhá begwashét ‘Maróchig o bándá, 
LUK.13.33	Bale maróchi, bándát o póshi, allamá wati é sát o sapará démá barán, chiá ke hech paygambaray kósh cha 
LUK.13.34	“
LUK.13.35	Nun shomay lógay ákebat, shomay wati dastá yalah dayaga bit. Shomárá gwashán dega baré maná nagendét tán á wahdá ke cha wati zobáná begwashét: ‘Mobárak bát hamá ke pa 
LUK.14.2	Áiay dém pa démá, mardé at ke gón jalandaray nádráhiá
LUK.14.3	Issáyá cha 
LUK.14.4	Bale á bétawár butant. Gorhá Issáyá á marday dast gept, dráhi kort o roksat dát ke berawt.
LUK.14.5	Gorhá Issáyá dém gón áyán tarrént o gwashti: “Cha shomá kay ent ke áiay chokk yá gók 
LUK.14.6	Bale áyán hech passaw dát nakort.
LUK.14.7	Wahdé Issáyá dist ke mehmán, che paymá diwánjáhay sharterén jágahán gechén kanagá ant, gorhá é mesáli dát o gwashti: 
LUK.14.8	“Wahdé taw pa sur o áróséá lóthaga bay, diwánay sharterén jágahán manend, balkén cha taw masterén mardomé ham lóthag butag. 
LUK.14.9	Gorhá, á mehmándár ke shomá har doéni lóthetagant, tará gwashit: ‘Wati jáhá áiá beday.’ Gorhá taw pashal o sharmendaga bay o nácháriá, cha sajjahénán jahltera nenday. 
LUK.14.10	Wahdé kasé tará mehmán bekant, sajjahénáni poshtá benend, tánke mehmándár wat byayt o begwashit: ‘Oo mani dóst! Byá o démáter benend.’ Á wahdá, taw á dega mehmánáni chammá sharapdártera bay. 
LUK.14.11	Chiá ke harkas watá mazana zánt o lékit,
LUK.14.12	Gorhá, Issáyá gón mehmándárá gwasht: “Wahdé taw pa sobáreg yá shámá mehmánia kanay, wati sangat, brát o syád yá hastómandén hamsáhegán malóth, chosh mabit ke á ham tai mehmániay badalá, tará mehmán bekanant o taw wati mehmániay badalá begeray. 
LUK.14.13	Wahdé mehmánia kanay, gorhá nézgár o mondh o lang o kórán belóth. 
LUK.14.14	Gorhá bahtáwara bay, chiá ke áyáni kerrá chizé nést tará badalá bedayant o taw wati mozzá pahrézkáráni padá zendag bayagay wahdá geray.”
LUK.14.15	Cha óday mehmánán yakkéá, gón é habaray eshkonagá gwasht: “Bahtáwar ent hamá ke 
LUK.14.16	Issáyá passaw dát o gwashti: “Mardéá mazanén mehmánié kort o bázén mardomé lótháént. 
LUK.14.17	Mehmániay róchá, gón wati golámá gwashti: ‘Beraw mani mehmánán begwash: “Byáét ke har chiz nun tayár ent.”’ 
LUK.14.18	Bale cha á sajjahénán har yakkéá nimmóné kort o nayátk. Yakkéá gwasht: ‘Man yak dhagáré pa bahá geptag o báyad ent pa áiay cháragá berawán, paméshká pahellia lóthán.’ 
LUK.14.19	Degaréá gwasht: ‘Man panch jopt káigar
LUK.14.20	Saymiá gwasht: ‘Man nóki sur kortag, paméshká átka nakanán.’
LUK.14.21	“Golám átk o wati hodábondi cha sajjahénáni hálá sahig kort. Hodábond é habaráni eshkonagá sakk zahr gept o hokmi kort: ‘Pa eshtápi beraw, cha shahray tank o rahsarán, sajjahén nézgár, mondh, kór o langán pa é mehmániay waragá byár.’ 
LUK.14.22	Randá, golám átk o gón hodábondá gwashti: ‘Wájah! Harché ke taw maná hokm dát man hamá dhawlá kort, bale angat jágah hastent.’ 
LUK.14.23	Gorhá hodábondá wati golám hokm kort: ‘Shahrá dhann, ráh o rahsarán beraw, mardomán shóház kan o áyán mennat kan o mani lógá byár tánke mehmánjáh cha mardomá porr bebit.’ 
LUK.14.24	Shomárá rásta gwashán ke cha awali lóthetagén mardomán yakké ham, mani mehmániay warákána nachashit.”
LUK.14.25	Mazanén romb o mocchié, Issáyá hamráhi kanagá at. Áiá dém gón áyán tarrént o gwashti: 
LUK.14.26	“Á ke lóthit mani morid bebit, agan cha wati pet o mát, jan o chokk, brát o gohárán o cha wati jenday sáhá ham sar magwazit, mani morid buta nakant. 
LUK.14.27	Agan kasé wati 
LUK.14.28	“Kay ent á ke lóthit borjé bebandit, bale cha borjay bandagá pésar, manendit o áiay zarr o málay hesábá makasshit o machárit ke bárén é káray sarjam o purah kanagay wák o twáni hast yá na? 
LUK.14.29	Chiá ke agan é borjay bonredá ér bekant o némtamán bellit, sajjahén mardom ke gendant, áiá kalág o rishkanda kanant o 
LUK.14.30	gwashant: ‘É mardá káré bongéj kort bale sarjam kanagá dar mant.’
LUK.14.31	“Yá kojám bádsháh ent ke gón dega bádsháhéá pa jangá sar begipt bale cha jangá pésar, manendit o é pegrá makant ke bárén gón dah hazáray pawjá, á bádsháhay bist hazári lashkaray démá dáshta kant yá na? 
LUK.14.32	O agan begendit ke áiay démá dáshta nakant, gorhá angat ke dozhmenay lashkar dur ent, cha péshá pa sohl o tráná wati 
LUK.14.33	Hamé paymá, cha shomá harkasé, tán wahdé ke cha wati sajjahén mál o hastiá dast makasshit, mani morid buta nakant.
LUK.14.34	“Wád sharr ent bale agan wáday tám berawt, gorhá chón áiá padá wádók korta kanant? 
LUK.14.35	Na pa zemin o dhagárá darda wárt o na samát buta kant, áiá dura réchant. Harkasá pa eshkonagá gósh hast, beshkont.”
LUK.15.1	Nun sajjahén 
LUK.15.2	Bale 
LUK.15.3	Gorhá Issáyá pa áyán é mesál áwort o gwashti: 
LUK.15.4	“Cha shomá agan kaséá sad mésh bebit o cha áyán yakké gár bebit, gorhá nawad o nohén méshán charágáhá yalaha nadant o hamá gárén méshay shóházá narawt tán áiá dar begéjit? 
LUK.15.5	Wahdé gárén méshá dara géjit pa galé wati kópagá kanti, 
LUK.15.6	lógá rawt, dóst o hamsáhegána lóthit o gwashit: ‘Gón man gal o shádehi kanét ke man wati á gárén mésh dar gétkag.’ 
LUK.15.7	Man shomárá gwashán, hamé dhawlá pa yak pashómánén gonahkáréá ásmáná mazanén jashné geraga bit, bale pa nawad o noh pahrézkárá ke áyán pashómáni darkár naent choshén jashné geraga nabit.
LUK.15.8	“Yá ke agan janénéá dah kaldár bebit o cha á dahén kaldárán yakké gár bebit, gorhá pa wati gárén kaldáray shóházá, cherág róka nakant o lógá narópit? Tán áiá dar magéjit cha wati shóházá dasta kasshit? 
LUK.15.9	Anchosh ke á kaldárá dara géjit, dóst o hamsáhegána lóthit o gwashit: ‘Gón man gal o shádehi kanét chiá ke wati gárén kaldáron wadi kortag.’ 
LUK.15.10	Hamé paymá man shomárá gwashán, agan yak gonahkáré cha wati gonáhán pashómán bebit o Hodáay ráhá byayt, Hodáay 
LUK.15.11	Issáyá gésh kanán kort o gwashti: “Yak mardéá do mardénchokk hastat. 
LUK.15.12	Kasteréná yak róché gón petá gwasht: ‘Oo mani pet! Cha tai mál o melkatá, harché ke mani bahr o wandhá kapit maná annun beday.’ Gorhá petá wati sajjahén mál o maddhi doén chokkáni sará bahr kort.
LUK.15.13+LUK.15.14	“Lahtén róchá o rand, kasterén chokká wati sajjahén bahr yakjáh kort, zort o durén molkéá shot o sajjahén zarri pa hawasnáki gár kortant. Randá, á molká sakk dhokkál kapt o á dastang o mohtáj but. 
LUK.15.15	Hamá molká, yak mardoméay kerrá shot o pa káréay geragá watá lacchénti. Gorhá, áiá wati dhagáráni sará hukkáni chárénók kort. 
LUK.15.16	Ódá haminchok shodig but ke delia lóthet hamá kónsagán
LUK.15.17	“Wahdé hóshi kort o zánti, gón wat gwashti: ‘Mani petay bázén nawkar o kárdárá lápay sérá waráka rasit o man edá shodá mark án. 
LUK.15.18	Nun wati petay kerrá pera tarrán o áiá gwashán: Oo mani pet! Man tai o ásmánay Hodáay gonahkár án o 
LUK.15.19	nuna nakarzán ke tai chokk gwashag bebán. Maná wati hezmatkáráni dhawlá yak hezmatkáré bekan.’
LUK.15.20	“Gorhá pád átk o dém pa petay lógá rahádag but. Petá ke cha durá dist deli pa áiá sotk o pa eshtápi áiay démá tachán but o gwarambázi kort o chokketi. 
LUK.15.21	Chokká gwasht: ‘Oo mani pet! Man tai o ásmánay Hodáay gonahkár án o nuna nakarzán ke tai chokk gwashag bebán.’
LUK.15.22	“Bale petá wati hezmatkár gwashtant: ‘Eshtáp kanét, pa áiá gehterén kabáhá byárét o gwarái bedayét. Challah o mondriki dastá o kawshi pádá bedayét. 
LUK.15.23	Á pábondi
LUK.15.24	Chiá ke mani é chokk mortagat bale nun padá zendag butag, gár at o nun wadi butag. É dhawlá áyán gal o shádehi kort.’
LUK.15.25	“Bale masterén chokk dhagáráni sará at. Wahdé lógay nazziká raset o sáz o zémelay tawári eshkot, 
LUK.15.26	cha hezmatkárán yakké lóthet o josti kort: ‘Edá ché bayagá ent?’ 
LUK.15.27	Hezmatkárá passaw dát: ‘Tai brát padá lógá átkag o nun ke á pa wasshi o salámati rasetag tai petá jashné geptag o á pábondi gwaski koshtag.’ 
LUK.15.28	Gorhá, masterén brát sakk zahr gept o nalótheti lógá berawt. Bale pet dhanná átk o áiay wasshán kanagá
LUK.15.29	“Chokká petay mennatgiriay passawá gwasht: ‘Wati delá bechár, man inchok sálá tai kerrá goláméay dhawlá kár kortag, hechbar cha tai hokmá dar nabutagán o taw maná yak sheneké ham nadátag ke gón wati dóst o hambalán shádehi bekanán. 
LUK.15.30	Bale tai é chokká tai mál gón waylánkén
LUK.15.31	Petá gwasht: ‘Oo mani chokk! Taw harwahd mani kerrá ay o harché ke maná hast á sajjahén taig ant, 
LUK.15.32	bale annun márá paméshká jashn o shádehi kanagi ent ke tai é brát mortagat o nun zendag butag, gár o bégwáh at o nun wadi butag o átkag.’”
LUK.16.1	Issáyá gón wati moridán gwasht: “Azgár o hastómandén mardéá hesábdáré hastat. Wahdé pa áiá é hál sar but ke hesábdár áiay málá wárt o gára kant, 
LUK.16.2	gorhá á lóthet o gwashti: ‘É chónén habar ant ke tai bárawá man eshkonagá án? Beraw wati sarjamén hesáb o ketábán begisshén o byár o maná beday. Maróchi o rand, taw cha mani hesábdáriá dar ay.’ 
LUK.16.3	Hesábdárá wati delá jérhet: ‘Nun chón bekanán ke mani wáhond maná cha kárá dar kanagá ent, bard o kódhál man jata nakanán, pendhagá ham maná lajja kant. 
LUK.16.4	Bale haw! Annun zánton ché bekanán. Báyad ent anchén káré bekanán ke wahdé cha kárá kasshaga bán, randá mardom maná wati lógán bellant.’
LUK.16.5	“Áiá wáhonday wámdár yak yakká wati kerrá lóthetant. Cha awali wámdárá josti gept: ‘Tará mani wáhonday chinchok wám per ent?’ 
LUK.16.6	Passawi dát: ‘Maná yaksad kayl
LUK.16.7	Padá cha domi wámdárá josti kort: ‘Tará chinchok wám per ent?’ Gwashti: ‘Yaksad kayl
LUK.16.8	“Wáhondá wati locch o dozzén hesábdár shábásh gwasht, ke áiá é kár, gón aglmandi kortagat. Chiá ke é wahday chokk gón wati zamánagay mardomán 
LUK.16.9	Shomárá gwashán ke donyáay é béwapáén málá pa sharrén dóstáni shóház kanagá kár bandét, tánke wahdé é mála hallit, shomárá abadmánén jaháná wasshátk bekanant.
LUK.16.10	“Á ke gwandh o kasánén káráni sará tachk o rásta bit, mazanénáni sará ham rásta bit o á ke gwandhén káráni sará rásta nabit, mazanénáni sará ham rásta nabit. 
LUK.16.11	Nun agan shomá é béwapá o kurhahén
LUK.16.12	Agan pa degaráni málá rást o tachk mabét, kay ent ke shomay wati málá, shomárá bedant?
LUK.16.13	“Hech golámé pa do wájahá hezmat korta nakant, yá gón yakkéá dozhmenia kant o domigi dósta bit, yá gón awaligá wapádára bit o cha á degará badia kayt. Shomá yakwahd o yakjáh, Hodá o zarray golámiá korta nakanét.”
