GEN.1.1	Naãrãed̶a Ãcõrẽba bajãda idjab̶a naʌ̃ ẽjũãda osia. 
LUK.23.24	Maʌ̃ bẽrã Pilatoba ãdjirãba jara panʌ quĩrãca osia. 
LUK.23.25	Barrabába purura quĩrũbigad̶amĩna idjab̶a mĩã bead̶amĩna Pilatoba idjira ẽdrʌ b̶ʌsia ẽberãrãbʌrʌ iwid̶iped̶ad̶a bẽrã. Maʌ̃be ãdjia quĩrĩã panʌ quĩrãca Jesura obisia.
LUK.23.26	Jesu crud̶e cachid̶i carea edesid̶ad̶e Cirenenebema Simoʌ̃da purud̶aa zebʌrʌ basía. Jesuba cru eronĩbad̶ara maʌ̃ Simoʌ̃a ataubid̶aped̶a idji caid̶u edebisid̶aa.
LUK.23.27	Ãdji caid̶u ẽberãrãda bio cãbana wãbʌda basía. Maʌ̃ne ʌ̃cʌrʌ wẽrãrãda Jesu carea jĩã panasid̶aa. 
LUK.23.28	Jesuba ãdjimaa acʌped̶a jarasia:
LUK.23.28	–Jerusaleʌ̃nebema wẽrãrã, mʌ̃ carea jĩãrãnadua; ãtebʌrʌ ara bãdji carea, bãrã warrarã carea bid̶a jĩãnadua. 
LUK.23.29	Ewari ab̶a ẽberãrãba jarad̶ia: “Bio bia b̶eaa wẽrãrã warra tod̶acara idjab̶a ju dawad̶acara.” 
LUK.23.30	Maʌ̃ne eyaa nãwã jarad̶ia: “Dai ʌ̃rʌ̃ b̶aedua.” Dewara eyaa jarad̶ia: “Daira ãnã nũmʌdua.”
LUK.23.31	Ẽberãrãba mʌ̃, bacuru onoa quĩrãca b̶ʌda bead̶ibʌrʌ,
LUK.23.32	Jesu ume crud̶e bead̶i carea ẽberã cadjiruarãda umé edesid̶aa. 
LUK.23.33	Ẽjũã Boro B̸ʌwʌrʌ abadama jũẽsid̶ad̶e Jesura crud̶e cachi jira b̶ʌsid̶aa. Dji ẽberã cadjiruarã sid̶a crud̶e cachi jira b̶ʌsid̶aa, ab̶a Jesu jʌwa araare, ab̶a idji jʌwa acʌare. 
LUK.23.34	[Maʌ̃ne Jesuba jarasia:
LUK.23.34	–Zeza, ãdjia o panʌra quĩrãdoadua. Ãdjia adua panʌa cãrẽda o panʌda.–]
LUK.23.34	Maʌ̃ awara sordaorãra ne jemenesid̶aa Jesuba cacuad̶e jʌ̃ b̶ad̶ara sãwã jed̶ecad̶i cawaya.
LUK.23.35	Jũma maʌ̃gʌra ẽberãrãba acʌ duanasid̶aa. Maʌ̃ne dji bororãba idjira ipid̶a biẽ́ jara duanesid̶aa:
LUK.23.35	–Dewararãda carebasia.
LUK.23.36+LUK.23.37	Maʌ̃ awara sordaorã arima duanʌba Jesura ipid̶a biẽ́ jarabadjid̶aa. Ãdjia Jesua uva b̶a oregueada diad̶e wãnaped̶a jarabadjid̶aa:
LUK.23.36+LUK.23.37	–Bʌda wãrãda judiorã borobʌrʌ, ara bʌdub̶a ẽdrʌdua.–
LUK.23.38	Jesu boro nocoare bed̶eada cachi jira b̶ʌsid̶aa cawabid̶i carea idjira cãrẽ carea beabʌdada. [Griego bed̶ead̶e, latiʌ̃ bed̶ead̶e, hebreod̶e bid̶a] nãwã b̶ʌ́ b̶asia: “Naʌ̃gʌra judiorã boroa.”
LUK.23.39	Maʌ̃ne ẽberã ab̶a cadjirua od̶a carea crud̶e cachiped̶ad̶aba Jesura nãwã biẽ́ jarabadjia:
LUK.23.39	–Bʌda wãrãda Ãcõrẽba ẽdrʌ edabari diai jarad̶abʌrʌ, bʌdub̶a ẽdrʌped̶a dai sid̶a ẽdrʌ b̶ʌdua.–
LUK.23.40	Baribʌrʌ dewarabemaba idjira nãwã quẽãsia:
LUK.23.40	–¿Bʌ sid̶a cawa o panʌmĩna wad̶ibid̶a Ãcõrẽra wayaẽ́ca? 
LUK.23.41	Wãrãda dadjira nama jira pananida panʌa cadjiruada oped̶ad̶a bẽrã. Baribʌrʌ za b̶ʌ ẽberãba ¿cãrẽ cadjiruada osi?–
LUK.23.42	Maʌ̃be idjia Jesua nãwã jarasia:
LUK.23.42	–Bʌ jũmarã boroda b̶ebʌrʌd̶e mʌ̃ra quĩrãnebadua.–
LUK.23.43	Maʌ̃ carea Jesuba idjía jarasia:
LUK.23.43	–Mʌ̃a wãrãda jaraya: bʌra nane mʌ̃ ume bajãne b̶aya.–
LUK.23.44+LUK.23.45	Umatipa ʌ̃mãdaura quisia. Maʌ̃ba naʌ̃ ẽjũãra hora ũbea jũma pãĩma nũmasia. Ãcõrẽ de dromane ed̶a wua eatʌ jira b̶ʌra ẽsidra cõã dogosia.
LUK.23.46	Ara maʌ̃ne Jesuba jĩgua jarasia:
LUK.23.46	–Zeza, mʌ̃ jaurera bʌ jʌwad̶e b̶ʌbʌrʌa.–
LUK.23.46	Mãwã jaraped̶a ĩyãdrʌsia.
LUK.23.47	Maʌ̃ unusid̶e sordaorã boro arima b̶ʌba Ãcõrẽra nãwã bia jarasia:
LUK.23.47	–Wãrãda naʌ̃ ẽberãra jipa b̶asia.–
LUK.23.48	Jesu crud̶e beabʌda acʌd̶e wãped̶ad̶aba jũma mãwãnara ununaped̶a sopuad̶eba ãdji so ʌ̃rʌ̃ u duanʌda jẽda wãsid̶aa. 
LUK.23.49	Mãwã duanʌne jũma Jesu unubadarãba, wẽrãrã Galilead̶eba idji caid̶u nĩbaped̶ad̶arã bid̶a tʌmʌba acʌ panasid̶aa.
LUK.23.50+LUK.23.51	Ẽberã Jose abadada b̶asia. Idjira Arimatea puru Judea druad̶ebema basía. Ẽberã bia basía idjab̶a jipa b̶asia. Ãcõrẽra jũmarã Boroda b̶emãrẽã jʌ̃ã b̶asia. Idjira judiorã dji bororãnebema basía baribʌrʌ bed̶ea ausid̶ad̶e bia b̶ʌad̶a aẽ́ basía. Ãdjia oped̶ad̶ara biẽ́ unusia. 
LUK.23.52	Maʌ̃ Josera Pilatomaa wãped̶a Jesu cacuada iwid̶isia tʌb̶ari carea. 
LUK.23.53	Maʌ̃be Jesura ed̶aa edaped̶a borob̶aba bʌraped̶a mõjẽ uria corod̶ad̶e ed̶a b̶ʌsia. Maʌ̃ uria corod̶ad̶e ni ab̶aʌ bẽwãrãda wad̶i b̶ʌd̶aca basía.
LUK.23.54	Ʌ̃nãũbada ewarira ʌ̃rʌ̃ b̶ʌ bẽrã judiorãba maʌ̃ ewari carea ne jũmada o eropananida panasid̶aa.
LUK.23.55	Ʌ̃cʌrʌ wẽrãrã Jesu ume Galilead̶eba zeped̶ad̶ada Jose caid̶u wãsid̶aa. Jũẽnaped̶a mõjẽ corod̶ara unusid̶aa. Idjab̶a unusid̶aa Jesura ed̶a b̶ʌbʌdada. 
LUK.23.56	Mamaʌba jẽda wãnaped̶a ãdjirãba bẽwãrã pʌrʌbada querada osid̶aa. Nurẽma ʌ̃nãũsid̶aa Ãcõrẽ leyba jara b̶ʌ quĩrãca.
LUK.24.1	Nabema ewari domianebemane wẽrãrãra diaped̶ed̶a Jesu tʌb̶ariped̶ad̶amaa wãsid̶aa. Ãdjia bẽwãrã pʌrʌbada quera oped̶ad̶ara edesid̶aa. [Ãdji ume dewara wẽrãrã sid̶a wãsid̶aa.]
LUK.24.2	Baribʌrʌ mõgara waib̶ʌa dji uria jũãtrʌ b̶ad̶ara orrocawa cob̶ʌda unune wãsid̶aa. 
LUK.24.3	Dji uriad̶e ed̶a wãbʌdad̶e dadjirã Boro Jesu beud̶ara ununaẽ́ basía. 
LUK.24.4	Maʌ̃ carea ãdjia ab̶ed̶a cawa crĩchad̶aẽ́ basía. Cawaẽ́ne ãdji caita ẽberãda umé odjasid̶aa. Maʌ̃ ẽberãba cacuad̶e jʌ̃ panʌra dorrodorroa b̶asia. 
LUK.24.5	Maʌ̃ carea wẽrãrãra bio dauperabʌdaba ed̶aa b̶arrusid̶aa. Maʌ̃ne dji ẽberãrãba ãdjía jarasid̶aa:
LUK.24.5	–¿Cãrẽ cãrẽã bãrãba zocai b̶ʌda beud̶arã tãẽna jʌrʌ panʌ? 
LUK.24.6	Idjira nama b̶ʌẽ́a ʌ̃rẽbad̶a bẽrã.
LUK.24.7	Idjia nãwã jarasia: “Ʌ̃cʌrʌba mʌ̃, Naʌ̃ Djara Edad̶ara ẽberã cadjiruarãa jida diad̶ida panʌa. Mʌ̃ra crud̶e bead̶ia, baribʌrʌ ewari ũbead̶e ʌ̃rẽbaya.”–
LUK.24.8	Maʌ̃nebʌrʌ ãdjirãba quĩrãnebasid̶aa Jesuba mãwã jarad̶ada. 
LUK.24.9	Ara maʌ̃da wẽrãrã jẽda wãnaped̶a Jesuba edad̶arã once panʌ́a, waabemarãa bid̶a ãdjia unuped̶ad̶ara nẽbʌrʌsid̶aa. 
LUK.24.10	Maria Magdalenaba, Juanaba, Santiago papa Mariaba, dewara wẽrãrã ãdji ume panʌ bid̶a Jesuba edad̶arãa mãwã nẽbʌrʌsid̶aa. 
LUK.24.11	Baribʌrʌ wẽrãrãba jara panʌra crĩcha neẽ́ b̶ʌca b̶ad̶a bẽrã ãdjirãba ĩjãnaẽ́ basía. 
LUK.24.12	Mãwãmĩna Pedrora ara maʌ̃da Jesu tʌb̶ariped̶ad̶amaa pira wãsia. Dji uriad̶e ed̶a acʌsid̶e ab̶abe dji bẽwãrã bʌrá b̶ad̶a wuada unusia. Maʌ̃ carea cawa crĩchaẽ́ diguid̶aa wãsia.
LUK.24.13	Ara maʌ̃ ewarid̶e Jesu ĩjã b̶ead̶ada umé Emaú puru zaqued̶aa wãbʌda basía. Maʌ̃ purura Jerusaleʌ̃neba mĩgaẽ́ b̶ʌa.
LUK.24.14	Ãdjia jũma Jesu mãwãnanebemada bed̶ea nĩbasid̶aa. 
LUK.24.15	Mãwã bed̶ea nĩnane Jesura caita zeped̶a ãdji ume nĩbasia. 
LUK.24.16	Baribʌrʌ Jesuda mãwã b̶ʌda Ãcõrẽba ãdjía idu cawabiẽ́ basía. 
LUK.24.17	Maʌ̃ne Jesuba ãdjía iwid̶isia:
LUK.24.17	–¿Bãrãba cãrẽda jara nĩna?–
LUK.24.17	Maʌ̃ ũrĩsid̶ad̶e nũpanesid̶aa. Ebud̶a b̶asia bio sopua panʌda.
LUK.24.18	Ab̶a Cleopa abadaba panusia:
LUK.24.18	–Zocãrã Jerusaleʌ̃ne jũẽped̶ad̶ad̶ebemaba ¿ab̶abe bʌabʌrʌ adua b̶ʌca naʌ̃ ewarid̶e sãwãnada?–
LUK.24.19	Jesuba ãdjía iwid̶isia:
LUK.24.19	–¿Cãrẽnebemada jara panʌ?–
LUK.24.19	Ãdjia panusid̶aa:
LUK.24.19	–Jesu Nazared̶ebemada jara panʌa. Idjia od̶ad̶eba idjab̶a jarad̶ad̶eba cawabisia idjira Ãcõrẽneba bed̶eabarida. Ãcõrẽba, puru bid̶a idjira bia unusid̶aa. 
LUK.24.20	Baribʌrʌ puru bororãba, sacerdote bororã bid̶a idjira crud̶e cachi beabisid̶aa. 
LUK.24.21	Daiba crĩchasid̶aa idjiabʌrʌ dadji Israel purura biẽ́ b̶ʌd̶ebemada ẽdrʌ b̶ʌida. Mãwãmĩna idji beaped̶ad̶ara id̶iba ewari ũbea b̶ʌa.
LUK.24.22	Baribʌrʌ ʌ̃cʌrʌ wẽrãrã dai tãẽnabemaba jaraped̶ad̶a carea daira wetara cawa crĩchad̶aẽ́ panesid̶aa. Ãdjira id̶i diaped̶ed̶a idji tʌb̶ariped̶ad̶amaa wãsid̶aa. 
LUK.24.23	Dji bẽwãrãra ununaẽ́ bẽrã daimaa jarad̶e zesid̶aa ãdjia bajãnebema nezocarãda unusid̶ada. Maʌ̃gʌrãba ãdjía jarasid̶amanaa Jesura ʌ̃rẽbasida. 
LUK.24.24	Maʌ̃ carea ʌ̃cʌrʌ dairãnebemaba acʌd̶e wãsid̶aa. Idji tʌb̶ariped̶ad̶ama ara wẽrãrãba jaraped̶ad̶a quĩrãca unusid̶aa. Baribʌrʌ idjida ununaẽ́ basía.–
LUK.24.25	Maʌ̃ carea Jesuba ãdjía jarasia:
LUK.24.25	–¡Jũma Ãcõrẽneba bed̶eabadarãba jaraped̶ad̶ara bãrãba ĩjãna ama panʌa! ¡Bãrãra crĩcha neẽ́ panʌa! 
LUK.24.26	¿Ãcõrẽba ẽdrʌ edabari diai jarad̶ara dji Dromada b̶ei naẽna bia mĩgaida b̶asiẽ́ca?–
LUK.24.27	Maʌ̃be Ãcõrẽ cartad̶e idjid̶ebema b̶ʌped̶ad̶ada jũma cawa jarasia. Moiseba b̶ʌd̶ada, Ãcõrẽneba bed̶eabadarãba b̶ʌped̶ad̶a sid̶a jũma cawa jarasia.
LUK.24.28	Mãwã nĩnane ãdji wãbʌda purud̶e jũẽsid̶aa. Maʌ̃ne Jesura nocod̶aa wãbʌrʌ basía. 
LUK.24.29	Baribʌrʌ ãdjirã ume b̶emãrẽã nãwã bio bed̶ea djuburiasid̶aa:
LUK.24.29	–Ewarira queubod̶o bẽrã wãrãdua. Dai ume b̶edua.–
LUK.24.29	Maʌ̃ bẽrã ãdji ume b̶esia. 
LUK.24.30	Ne cobʌdad̶e Jesuba paʌ̃da edaped̶a Ãcõrẽa bia jarasia. Cõrãcuaped̶a ãdjía diasia. 
LUK.24.31	Maʌ̃nebʌrʌ Ãcõrẽba ãdjía idu cawabisia Jesuda mãwã b̶ʌda. Baribʌrʌ Jesura ara maʌ̃da nẽbasia. 
LUK.24.32	Maʌ̃ne ãdjidub̶a nãwã jarasid̶aa:
LUK.24.32	–Idjia Ãcõrẽ bed̶ea cawa jara nĩbasid̶e ¿dadjira bio b̶ʌsrid̶a pananaẽ́ basica?–
LUK.24.33	Ara maʌ̃da ãdjira jẽda Jerusaleʌ̃naa wãsid̶aa. Maʌ̃ne Jesuba edad̶arã once panʌra dewararã ume ãbaa dji jʌre panʌda unune wãsid̶aa. 
LUK.24.34	Maʌ̃gʌrãba nãwã jara panasid̶aa:
LUK.24.34	–¡Jesura wãrãda ʌ̃rẽbasia! Simoʌ̃a ara idjida unubisia.–
LUK.24.35	Ara maʌ̃da ãdjia bid̶a nẽbʌrʌsid̶aa od̶e sãwãped̶ad̶ada. Ãdjia jarasid̶aa:
LUK.24.35	–Jesuba paʌ̃ cõrãcuasid̶e daiba cawasid̶aa idjida mãwã b̶ʌda.–
LUK.24.36	Wad̶ibid̶a maʌ̃gʌd̶ebema bed̶ea duanʌne Jesuda ãdji ẽsi odjasia. [Maʌ̃be ãdjirãa jarasia:
LUK.24.36	–¡Necai pananadua!–]
LUK.24.37	Maʌ̃ unusid̶ad̶e ãdjirãra bio dauperasid̶aa, bẽwãrãda mãwã b̶ʌda crĩchasid̶a bẽrã. 
LUK.24.38	Baribʌrʌ Jesuba ãdjía jarasia:
LUK.24.38	–¿Cãrẽ cãrẽã bãrãra daupera panʌ? ¿Cãrẽ cãrẽã ĩjãnaẽ́ panʌ mʌ̃ra ʌ̃rẽbasida? 
LUK.24.39	Mʌ̃ jʌwara, mʌ̃ jĩrũ sid̶a acʌd̶adua. Mʌ̃da jãwã b̶ʌa. Mʌ̃ra tãnadua. Jaurera djara neẽ́ b̶ʌa, maʌ̃ne acʌd̶adua: mʌ̃ra djara bara b̶ʌa.–
LUK.24.40	Mãwã jaraped̶a idji jʌwara, jĩrũ sid̶a acʌbisia.
LUK.24.41	Mãwãmĩna b̶ʌsrid̶aba ãdjia wad̶i poya ĩjãnaẽ́ basía. Ãdjia ab̶ed̶a cawa crĩchad̶aẽ́ basía. Maʌ̃ carea Jesuba ãdjía nãwã iwid̶isia:
LUK.24.41	–¿Bãrãba cod̶ira neẽ́ panʌca?–
LUK.24.42	Maʌ̃ carea ãdjirãba Jesua b̶eda bad̶ada diasid̶aa. Urrajõ sid̶a diasid̶aa.
LUK.24.43	Ara maʌ̃da ãdji quĩrãpita cosia.
LUK.24.44	Mãwãnacarea ãdjía jarasia:
LUK.24.44	–Mʌ̃ wad̶i bãrã ume b̶asid̶e jara b̶abadjia mʌ̃nebema naẽna b̶ʌped̶ad̶ara jũma mãwãida b̶ʌda. Maʌ̃ra Moiseba b̶ʌsia, Ãcõrẽneba bed̶eabadarãba b̶ʌsid̶aa, idjab̶a Salmo cartad̶e bid̶a b̶ʌ́ b̶ʌa.–
LUK.24.45	Maʌ̃be Jesuba ãdji crĩchara ewasia Ãcõrẽ bed̶ea cawad̶amãrẽã. 
LUK.24.46	Nãwã jarasia:
LUK.24.46	–Ãcõrẽ cartad̶e nãwã b̶ʌ́ b̶ʌa: Ãcõrẽba ẽdrʌ edabari diai jarad̶ara bia mĩgaida b̶ʌa. Beud̶acarea ewari ũbead̶e ʌ̃rẽbaya. 
LUK.24.47	Maʌ̃be idji trʌ̃neba idji ĩjã b̶eaba ẽberãrãa jarad̶ia cadjiruada igarad̶aped̶a Ãcõrẽmaa zed̶amãrẽã. Mãwãbʌrʌ Ãcõrẽba ãdji cadjiruara quĩrãdoaya. Maʌ̃gʌra naãrã Jerusaleʌ̃ purud̶e jarad̶aped̶a jũma puru b̶eaza jarad̶e wãnia. 
LUK.24.48	Ara bãdji dauba mʌ̃ mãwãnara jũma unusid̶aa. 
LUK.24.49	Wãrãda mʌ̃a bãrãmaa mʌ̃ Zezaba diai jarad̶ada diabueya. Maʌ̃ra idji Jaurea. Maʌ̃ bẽrã bãrãra nama Jerusaleʌ̃ne pananadua ab̶a idji ʌb̶ʌa bajãneba zeida b̶ʌ edabʌdad̶aa.–
LUK.24.50	Mãwãnacarea Jesuba ãdjirãra Jerusaleʌ̃ puru dajadaa Betania caita pe edesia. Maʌ̃be idji jʌwara ʌ̃taa waped̶a ãdjirãra bia jarasia Ãcõrẽba careba b̶amãrẽã. 
LUK.24.51	Mãwã bed̶ea b̶ʌd̶e Ãcõrẽba idjira bajãnaa edesia.
LUK.24.52	Ãdjirãba Jesua bia bed̶ea pananaped̶a bio b̶ʌsrid̶aa Jerusaleʌ̃naa jẽda wãsid̶aa. 
LUK.24.53	Mamaʌba ʌ̃taa ãdjirãra ewariza Ãcõrẽ de droma dajadaare wãbadjid̶aa Ãcõrẽa bia bed̶ead̶i carea.
JHN.1.1	Naãrãed̶a “Bed̶ea” abadada b̶asia.
JHN.1.2	Idjira naãrãed̶a Ãcõrẽ ume b̶asia. 
JHN.1.3	Idjid̶eba Ãcõrẽba ne jũmada osia. Idji neẽ́ Ãcõrẽba ni cãrẽ sid̶a oẽ́ basía.
JHN.1.4	Bed̶ea abadaba zocai b̶ai arada dia b̶ʌa. Maʌ̃ zocai b̶ai arara ʌ̃naa quĩrãca b̶ʌa, maʌ̃neba Ãcõrẽba ẽberãrãa idjid̶ebemada cawabi b̶ʌ bẽrã. 
JHN.1.5	Ãcõrẽba cawabi b̶ʌra pãĩmane urua eradrʌ b̶ʌ quĩrãca b̶ʌa. Maʌ̃ uruara pãĩmaba poya quiaẽ́a.
JHN.1.6+JHN.1.7	Ẽberãda b̶asia Borocuebari Juaʌ̃ abadada.
JHN.1.8	Juaʌ̃ra maʌ̃ ʌ̃naaẽ́ basía, ãtebʌrʌ maʌ̃ ʌ̃naanebemada bed̶eabadjia. 
JHN.1.9	Naʌ̃ ẽjũãne zeida b̶ad̶adrʌ maʌ̃ ʌ̃naa dji ara basía. Idjira jũmarã itea urua b̶ʌa.
JHN.1.10	Maʌ̃gʌ ʌ̃naara naʌ̃ ẽjũãne b̶asia. Ãcõrẽba idjid̶eba naʌ̃ ẽjũãra od̶amĩna naʌ̃ ẽjũãnebemarãba idjira cawad̶aẽ́ basía. 
JHN.1.11	Bajãneba idji druad̶ebemarãmaa zesia. Mãwãmĩna idjira bia edad̶aẽ́ basía. 
JHN.1.12	Baribʌrʌ idji bia edaped̶ad̶arãba idjira ĩjãsid̶aa. Maʌ̃ bẽrã idjia ãdjirãra b̶ʌsia Ãcõrẽ warrarãda b̶ead̶amãrẽã. 
JHN.1.13	Ãdjira Ãcõrẽ warrarã bad̶aẽ́ basía ãdji papaba tod̶ad̶eba wa ãdji djibarirãneba. Ãtebʌrʌ Ãcõrẽbʌrʌ idji warrarãda b̶ʌsia.
JHN.1.14	Bed̶ea abadara naʌ̃ djara edaped̶a dadjirã tãẽna nĩbabadjia. Idji biad̶eba dadjirãra bio carebasia. Idjia dadjirãa ebud̶a cawabisia Ãcõrẽra wãrãda sãwã b̶ʌda. Maʌ̃ne dairãba unusid̶aa idjira dji droma b̶ʌda, dadjirã Zeza Warrada mãwã b̶ʌ bẽrã. 
JHN.1.15	Borocuebari Juaʌ̃ba idjid̶ebemada nãwã jĩgua jarabadjia:
JHN.1.15	–Mʌ̃a naʌ̃ ẽberãnebemada nãwã jara b̶abadjia: “Mʌ̃ caid̶u zebʌrʌra mʌ̃ cãyãbara dji dromaara b̶ʌa, idjira mʌ̃ naẽna b̶ad̶a bẽrã.”–
JHN.1.16+JHN.1.17	Ãcõrẽba naẽna idji leyda Moised̶eba dadjirãa diasia, baribʌrʌ Jesucritod̶eba dadjirãa cawabisia idjira wãrãda sãwã b̶ʌda idjab̶a idji biad̶eba dadjirãra bio careba b̶ʌda. Wãrãda idji bia waib̶ʌa b̶ʌd̶eba jũma dadjirãra b̶arima zocãrã careba b̶ʌa. 
JHN.1.18	Ni ab̶aʌba Ãcõrẽra ununacaa.
JHN.1.19+JHN.1.20	Judiorã dji dromarãba Jerusaleʌ̃neba sacerdoterãda, levitarã sid̶a Juaʌ̃maa diabuesid̶aa. Maʌ̃gʌrãba Juaʌ̃a iwid̶isid̶aa:
JHN.1.19+JHN.1.20	–¿Bʌra cai? ¿Bʌra Ãcõrẽba ẽdrʌ edabari diai jarad̶aca?–
JHN.1.19+JHN.1.20	Maʌ̃ne idjia ebud̶a jarasia:
JHN.1.19+JHN.1.20	–Mʌ̃ra Ãcõrẽba ẽdrʌ edabari diai jarad̶aẽ́a.–
JHN.1.21	Ãdjirãba wayacusa iwid̶isid̶aa:
JHN.1.21	–¿Mãẽteara bʌra cai? ¿Bʌra Elíaca?–
JHN.1.21	Idjia panusia:
JHN.1.21	–Mʌ̃ra Eliaẽ́a.–
JHN.1.21	Ãdjirãba waya iwid̶isid̶aa:
JHN.1.21	–Bʌra ¿Ãcõrẽneba bed̶eabari dji droma b̶ʌ zeida b̶ad̶aca?–
JHN.1.21	Idjia panusia:
JHN.1.21	–Mʌ̃ra maʌ̃gʌẽ́a.–
JHN.1.22	Maʌ̃ carea ãdjirãba iwid̶isid̶aa:
JHN.1.22	–¿Mãẽteara bʌra cai? Dai diabueped̶ad̶arãa bʌd̶ebemada jarad̶e wãnida panʌa. Ara bʌdjid̶ebemada daia ¿cãrẽda jarai?–
JHN.1.23	Maʌ̃ne Juaʌ̃ba panusia:
JHN.1.23	–Ãcõrẽneba bed̶eabari Isaíaba nãwã jarasia: “Ẽjũã põãsa ewaraga b̶ʌd̶e ab̶aʌba naʌ̃da jara b̶ʌa: Dadji Boro ora jipa jarid̶adua.”
JHN.1.24	Juaʌ̃maa diabueped̶ad̶arãra ʌ̃cʌrʌ pariseorã basía.
JHN.1.25	Maʌ̃gʌrãba idjía iwid̶isid̶aa:
JHN.1.25	–Bʌda Ãcõrẽba ẽdrʌ edabari diai jarad̶aẽ́bʌrʌ, idjab̶a Eliaẽ́bʌrʌ, idjab̶a Ãcõrẽneba bed̶eabari dji dromaẽ́bʌrʌ, ¿cai trʌ̃neba bʌa ẽberãrãra jãwã borocuecua b̶ʌ?–
JHN.1.26+JHN.1.27	Juaʌ̃ba nãwã panusia:
JHN.1.26+JHN.1.27	–Mʌ̃ara baidoba borocuebaria. Baribʌrʌ mʌ̃ caid̶u zeida b̶ad̶ara bãrã tãẽna b̶ʌmĩna bãrãba idjira adua panʌa. Idjira mʌ̃ cãyãbara dji dromaara b̶ʌ bẽrã, idjia jĩrũne jʌ̃ b̶ʌ ẽrãi carea mʌ̃ra bia b̶ʌẽ́a.–
JHN.1.28	Jũma maʌ̃gʌra mãwãsia ẽjũã Betania abadama, Jordaʌ̃ do waa quĩrãrẽ ʌ̃mãdau odjabariare Juaʌ̃ba borocue b̶ad̶ama.
JHN.1.29	Maʌ̃ nurẽma Juaʌ̃ba Jesuda idjimaa zebʌrʌda unusia. Maʌ̃ne idjia jarasia:
JHN.1.29	–¡Acʌd̶adua! Jãʌ̃drʌ Ãcõrẽ oveja zaquea. Idjid̶eba Ãcõrẽba naʌ̃ ẽjũãnebemarãba cadjirua obadara quĩrãdoaya.
JHN.1.30	Idjid̶ebemada mʌ̃a naẽna jarasia: “Mʌ̃ caid̶u zebʌrʌra mʌ̃ cãyãbara dji dromaara b̶ʌa, idjira mʌ̃ naẽna b̶ad̶a bẽrã.” 
JHN.1.31	Naẽna mʌ̃a adua b̶asia Jesuda mãwã b̶ʌda. Baribʌrʌ mʌ̃a baidoba borocue b̶ʌa israelerãba cawad̶amãrẽã caida Ãcõrẽba diabued̶ada.–
JHN.1.32	Idjab̶a jarasia:
JHN.1.32	–Mʌ̃a unusia Ãcõrẽ Jaurera bajãneba puchirã quĩrãca zeped̶a Jesu ume b̶ebʌrʌda. 
JHN.1.33	Mʌ̃a adua b̶asia idjira dji dromaara b̶ʌda. Baribʌrʌ mʌ̃a borocuemãrẽã Ãcõrẽba diabuesid̶e nãwã jarasia: “Bʌa unuya mʌ̃ Jaurera ab̶aʌ ẽberã ʌ̃rʌ̃ zeped̶a idji ume b̶ebʌrʌda. Unubʌrʌd̶e bʌa cawaya maʌ̃ ẽberãbʌrʌ mʌ̃ Jaurera dia b̶eida.”
JHN.1.34	Mʌ̃a maʌ̃gʌra unusia. Maʌ̃ carea mʌ̃a jara b̶ʌa idjira wãrãda Ãcõrẽ Warrada.–
JHN.1.35	Maʌ̃ nurẽma Borocuebari Juaʌ̃ra wayacusa arima b̶asia. Idjab̶a idji ume nĩbabadarãda umé panasid̶aa. 
JHN.1.36	Maʌ̃ne Juaʌ̃ba Jesura caita wãbʌrʌda unuped̶a jarasia:
JHN.1.36	–¡Acʌd̶adua! Jari b̶ʌdrʌ Ãcõrẽ Oveja zaquea.–
JHN.1.37	Maʌ̃ ũrĩnaped̶a Juaʌ̃ ume nĩbabadarã umébemara Jesu caid̶u wãsid̶aa. 
JHN.1.38	Jesuba jẽda acʌbʌrʌd̶e idji caid̶u zebʌdada unusia. Maʌ̃ne iwid̶isia:
JHN.1.38	–Bãrãba ¿cãrẽda quĩrĩã panʌ?–
JHN.1.38	Ãdjia jarasid̶aa:
JHN.1.38	–Rabi, bʌra ¿sãma b̶abari?– (Maʌ̃ bed̶ea Rabiba jara b̶ʌa “Jaradiabari.”)
JHN.1.39	Jesuba panusia:
JHN.1.39	–Acʌd̶e zed̶adua.–
JHN.1.39	Ara maʌ̃da wãnaped̶a unusid̶aa sãma b̶abarida. Maʌ̃ ewarid̶e idji ume panesid̶aa quewara babʌrʌ bẽrã.
JHN.1.40	Juaʌ̃ba jarad̶a ũrĩnaped̶a Jesu caid̶u wãped̶ad̶ara umé panasid̶aa. Ab̶a Simoʌ̃ Pedro djaba Andre basía. 
JHN.1.41	Andrera Jesuma b̶aped̶a naãrã idji djaba Simoʌ̃da jʌrʌd̶e wãsia. Unuped̶a jarasia:
JHN.1.41	–Daiba unusid̶aa Ãcõrẽba ẽdrʌ edabari diai jarad̶ada.–
JHN.1.42	Maʌ̃be Andreba Simoʌ̃ra Jesumaa edesia. Jũẽped̶ad̶acarea Jesuba Simoʌ̃maa acʌped̶a jarasia:
JHN.1.42	–Bʌra Joná warra Simoʌ̃a, baribʌrʌ id̶iba ʌ̃taa bʌra Cepa ad̶ia.–
JHN.1.43	Nurẽma Jesuba Galilea druad̶aa wãida crĩchasia. Maʌ̃ bẽrã Pelipeda jʌrʌsia. Unuped̶a jarasia:
JHN.1.43	–Mʌ̃a quĩrĩã b̶ʌa bʌra mʌ̃ ume nĩbaida.–
