MAT.1.1	Atzin te lu'n atzin tajlal t-xe'chil Jesucrist, a tzajnin ti'j qtzan David ex ti'j qtzan Abraham:
ACT.27.43	Me atzin te' kynejil xo'l q'aq' tajtaq te' tu'n tkolin ti'j Pabl. Tu'npetzi'n, mix ttziye, tu'n kykub' b'yet, qala' xi tq'ma'n kye', a b'a'n chi xa'lin a', tu'n nej tu'n t-xi kyxo'n kyib' toj a', tu'n kykanin ttzi tx'otx'. 
ACT.27.44	Ayetzin kye' txqantl, xi q'ma'n kye, tu'n ttzaj kytzyu'n jun tz'lan mo juntl tkuchimil bark, tu'ntzintla kyiky'x tib'aj. Ikytzi'n, o kleteji'y qkyaqilxa, tej qkani'n ttzi tx'otx'.
ACT.28.1	Noq klo'nqotaqla qkyaqilxa, tej qb'inti'y qa Maltataq tb'i ch'in tx'otx', a tku'xtaq toj a'. 
ACT.28.2	Toj tb'anil oke ka'yini'y qkyaqilxa kyu'n xjal najleqetaq antza, ex tu'n tzuntaq nkub' jb'al, ex nimku che'w, b'e'x kub' kykcho'n q'aq', exsin o xi txko'ntza kyk'atz. 
ACT.28.3	Atzin te Pabl otaq b'aj tchmo'n ch'in tzqij si; ex tzuntaq okx tq'o'n toj q'aq', tej tetz lipin jun kan tu'n t-xob'il te q'aq', ex b'e'x ok b'altz'aj, ex ok ttx'a'n tq'ob' Pabl.
ACT.28.4	Aye xjal najleqetaq antza, tej kylonte kan b'altz'ink tib' ti'j tq'ob' Pabl, jaw yolin kyxolx. Chi chi' kyjalu'n: B'alaqa b'yol xjal te ichin lo. Mapetzin klet toj ttxuyil a', me a kawil toj kya'j, nlay ttziye tu'n tanq'intl.
ACT.28.5	Me atzin te Pabl, b'e'x el tchto'n ti'j tq'ob'. Tu'n ikyjo, b'e'x kux tz'aq tej kan toj q'aq', ex nti' te Pabl b'ajte. 
ACT.28.6	Kykyaqilx nchi ayontaq jni' or kxel mal Pabl, tu'n ttx'a'b'in kan, mo jni' ortaq tu'n tkyim. Nimku kub' kyayo'n, me atzaj te' tel kyniky' te, qa nti' otaq b'ajte, b'e'xsin ja kymeltz'in kynab'ltz, exsin ok tentz q'malte qa jun diostaq te Pabl.
ACT.28.7	Ite'taqtzin txqantl tnej tx'otx' nqayintaq ite'ye tk'atzjo najb'il antza, a etzintaq tu'n jun ichin, Publio tb'i, nimxixtaq toklin tojjo tkyaqil tx'otx' te Malta. Toj tb'anil iwli'y tu'n, ex toj tb'anil mojin quk'iy toj oxe q'ij.
ACT.28.8	Me atzi'n ttata Publio, yab'taq te' tu'n kyaq ex tu'n chk'oj, ex tku'xtaq toj ttxo'w. B'e'xsin xi' Pabl q'olb'ilte. Atzin te' tb'aj na'n Dios ti'j, i kub' tq'o'n tq'ob' tib'aj, ex b'e'x q'anit tu'n. 
ACT.28.9	Tu'n ikyjo, b'e'x i b'ijte kyu'n txqantl yab', a ite'taq tojjo tx'otx' antza, ex i tzaj kyej yab' anetzi'n, ex ikyxjo, b'e'x i q'anit.
ACT.28.10	Nimku b'ant kyu'n te ka'yb'il qe'y. Atzin te' qokxa jun majla toj juntl bark, nimku tzaj q'o'n qe'y, a ilxix ti'j, tu'n tokin qu'n toj b'e.
ACT.28.11	Tb'ajlinxi' oxe xjaw qu'n tojjo Malta, o okxa tojjo juntl bark tzajnintaq toj Alejandría, ex antza ta'yetaq toj Malta, tej tkub' ten jb'alil. Atzin bark anetzi'n, ite'ktaqjo kab'e kywutzb'iyil dios ti'j, Cástor ex Pólux kyb'i.
ACT.28.12	O xi'y toj, ex o kani'n toj tnam Siracusa. Oxe q'ij o kyija antza. 
ACT.28.13	Ex antza, o exi'y, nqayin toj mlaj, tu'n qkani'n tzmax toj tnam Regio. Toj junxil q'ij, kyja' tzaje kyq'iq' kub'l qumila. Tu'ntzi'n, toj junxil q'ij o kani'n tzma Puteoli, 
ACT.28.14	ja' ele qk'ulb'i'n qib'a kyuk'a ila' nimil, a xi txko'n qe'y, tu'n qkyija wuq q'ij kyuk'a. Ikytzi'n, o kaninji'y tzmax Rom. 
ACT.28.15	Otaq kyb'i kye nimil te Rom tqanil, qa tu'ntaq qkani'n. Tu'npetzi'n, i tzaj k'lel qe'y toj b'e tzmax kyojjo kab'e tnam, Foro de Apio ex Tres Tabernas kyb'i. Atzaj te' kyiwle qu'n, b'e'x xi tq'o'n Pabl chjonte te qMan Dios, ex b'e'x ja ti'n tib'.
ACT.28.16	Atzaj te' qkani'n tzma Rom, i xi tq'o'n Julio, a tnejil xo'l q'aq', tkyaqil aj tze toj tq'ob' juntl xo'l q'aq'. Ante Pabl tzaj q'o'n amb'il te', tu'n tten tjunalx, ex junch'in xo'l q'aq' kyij te ka'yilte.
ACT.28.17	Otaqxi b'aj oxe q'ij qkanli'n, tej t-xi tchq'o'n Pabl txkol kye kynejil Judiy te Rom. Atzaj te' kychmet, xi tq'ma'n Pabl kye kyjalu'n: Ayi'y nxjalil, nti' we' nb'inchb'in nya b'a'n kyi'j aj Judiy ex ti'jjo tze'n ẍi anq'ine ojtxe qxjalila. Me ma chinx q'o'n toj kyq'ob' xjal te Rom tzma Jerusalén. 
ACT.28.18	Atzaj te' xb'aj qanin we'y, mataq chinx tzaqpi'n, qu'n tu'n mi xjyet tumil kyu'n, tu'n nkub' kawi'n te kyimin. 
ACT.28.19	Me mina xkytziye Judiy. Tu'npetzi'n, xi nqanintza, tu'n woka toj pa'b'in twutzjo tnejilxix nmaq kawil tzalu'n toj Rom.
ACT.28.20	Tu'npetzi'n, ma chi tzaj ntxko'n, tu'n kyok nka'yi'n, ex tu'n nyoli'n kyuk'iy, qu'n awo aj Judiyqo at junqe qq'uqb'il qk'u'j tu'n tten tkawb'il qMan Dios qxol, ex tu'n qjaw anq'in juntl majl kyxol kyimnin, aj qkyim. Ex noq tu'n tpajjo ikyjo, loqi'n k'lo'nqin tu'n kxb'il.
ACT.28.21	Tzajtzin kyq'ma'n kyej Judiy kyjalu'n: Nti' jun qe' u'j o tzaj qtzyu'n tzajnin toj tx'otx' te Judey, a tzunt yolin ti'ja. Ex nti' jun qxjalil a kyxoljo najleqe antza, a mat tzul tzalu'n, a nyat b'a'n tyol ti'ja. 
ACT.28.22	Me qajtzintza tu'n qb'inti'y tze'n te tna'b'l, qu'n b'i'n qe' qu'n, qa nyolb'ajtz toj tkyaqil twutz tx'otx' ti'jjo ak'aj ch'uq xjal, aye nimilqe ti'j Jesús.
ACT.28.23	Tu'ntzi'n ikyjo, ok kyjyo'n jun q'ij, ja' i chmete txqan xjal, ja' najletaq Pabl. Tojjo q'ij anetzi'n, yolin Pabl ti'j Tkawb'il qMan Dios. Xi xkye qlixje wen, ex tzmaxi te qqoqix, ok tilil tu'n Pabl, tu'n tkub' kyk'u'j, qa twutzxixjo Tyol Dios tz'ib'in kyu'n yolil Tyol. 
ACT.28.24	Ite' junjun i xi niminte a ntq'ma'ntaq Pabl, me ite' txqantl mix xi kynimine. 
ACT.28.25	Tb'ajlinxi' yolin Pabl, b'e'x el kypa'n kyib', qu'n tu'n mix ja'taq nchi kyija toj wen kyxolilex. Xitzin tq'ma'n Pabl kye kyjalu'n: Wen te' a b'aj tyolin Xewb'aj Xjan kye' ojtxe qxjalil, tej tkyij tz'ib'in tu'n Isaías, a yolil Tyol Dios, a chi' kyjalu'n: 
ACT.28.26	Kux txi'y, ex q'ma'nxa te' tnam lo:
ACT.28.26	Mixla tu'n chi b'i'n ti'j, nlayx tz'el kyniky' te.
ACT.28.26	Ex mixla tu'n tz'ok kyka'yin, nlayx kylonte.
ACT.28.27	Qu'n ajo tna'b'ljo tnam lo, ma tz'el najx.
ACT.28.27	Jpunqek kyẍkyin, ex maqsi'nqek kywutz,
ACT.28.27	tu'ntzin mi kylonte,
ACT.28.27	ex tu'ntzin mi kyb'iye,
ACT.28.27	ex tu'n mina tz'el kyniky',
ACT.28.27	ex tu'n mina chi tzaj meltz'aj wuk'iy.
ACT.28.27	Tu'n ikyjo, nlay chi kub' nq'ani'n.
ACT.28.28	B'i'nkuxix kyu'n, chi Pabl, qa ajo kolb'il tu'n qMan Dios, q'o'ntz ja'lin kye nya Judiy, ex ayepenkye ok chi k'wel b'i'n te' Tb'anil Tqanil.
ACT.28.29	Tej tb'aj tq'ma'n Pabl ikyjo, b'e'x i aj kyej Judiy, ex nimxix i ch'otj kyxolx.
ACT.28.30	Atzin te Pabl, kab'e ab'q'e kyij te' tojjo ja, a otaq manit tu'n. Antza nchi kanine kykyaqiltaqjo q'olb'ilte. 
ACT.28.31	Tuk'a tkyaqil tzaqpib'l, nq'umlajtaq ti'jjo tkawb'il qMan Dios, ex nxnaq'tzintaq ti'jjo qAjaw Jesucrist, ex mix a'lxtaq jun nxi miyonte.
ROM.1.1	Ayi'n Pabl jun taq'nil qAjaw Jesucristqi'n, ex txkonqi'n tu'n qMan Dios tu'n woka te tsanjil. Ax Dios o tz'el pa'n we'y, tu'n nyoli'n Tb'anil Tqanil kolb'il. 
ROM.1.2	A tqanil tzaj ttziyin qMan Dios kyu'n yolil Tyol ojtxe, ex kyij kytz'ib'in tojjo Tu'jil Tyol Dios, a xjanxix. 
ROM.1.3	Atzi'n Tb'anil Tqaniljo nyolin ti'jjo Tk'wal Dios, a qAjaw Jesucrist, a at kab'e tten: Xjal ex Tk'wal Dios. Tnejil, xjal te' tze'nku qe', qu'n antza tzajnin tyajil ti'j jun xjal, a qtzan nmaq kawil David. 
ROM.1.4	Ex tkab', Tk'wal Dios te', qu'n aku Xewb'aj Xjan kub' yek'inte tuk'a tkyaqil tipin, tej tjaw anq'in Jesús juntl majl tu'n kyxol kyimnin.
ROM.1.5	Ex noq tu'n t-xtalb'il qAjaw Jesucrist, ma tzaj q'o'n wokli'n te tsanjil, noq tu'n tkub' nimitjo tb'i toj tkyaqil tnam twutz tx'otx', ex tu'n kynimin kykyaqilxjal ti'j. 
ROM.1.6	Tu'npetzi'n, ikyqex kyeji'y, o chi txokli'y tu'n qMan Dios, tu'n kyoka teku qAjaw Jesucrist.
ROM.1.7	Nxi ntz'ib'inji'y u'j lu'n kye'y, kykyaqila ayi'y nimil toj tnam Rom, aye k'u'jlinqi'y tu'n qMan Dios, ex ma chi txoklajtza tu'n, tu'n kyoka tz'aqlexix toj kychwinqila. Noqxit ten t-xtalb'il ex tnuk'b'il qMan Dios junx tuk'a qAjaw Jesucrist kyib'aja toj tkyaqil.
ROM.1.8	Tnejil, nxi nq'o'n chjonte te qMan Dios kyi'ja kykyaqila, noq tu'n Jesucrist, qu'n nyolajtz ti'j kynimb'ila toj tkyaqil twutz tx'otx'. 
ROM.1.9	Nchin ajb'i'n te Dios tuk'a tkyaqil wanmi'n, ex nchin q'umlaja ti'j Tb'anil Tqanil ti'jjo Tk'wal. Ax Dios ojtzqilte, qa kukx nchi tzaj nna'ji'y toj nna'j Diosa. 
ROM.1.10	Ex nchin kub'sin nwutza te, qa iky tajb'iljo, noq tu'n ttzaj tq'o'n tumil tze'n tten, tu'n nxi'y b'etsil kye'y. 
ROM.1.11	Qu'n wajxixa tu'n nxi'y lol kye'y, ex tu'n kyxi nmoji'n toj kynimb'ila tuk'a wokli'n tu'n Xewb'aj Xjan, tu'n kywe'xixa wen toj kynimb'ila, 
ROM.1.12	ex tu'n qkujsin te qib' qxol toj qnimb'il qkyaqilx.
ROM.1.13	Atzin ja'lin erman, waja noq tu'n kyb'inti'y qa ila' maj o kub' nximi'n tu'n nxi'y lol kye'y,
ROM.1.14	Qu'n at jun nk'asa twutz Dios kyi'j kykyaqil wiq xjal, tu'n nyoli'n Tb'anil Tqanil kye, exla qa aj u'jil ex qa mina, ex qa ẍtij mo qa mina. 
ROM.1.15	Tu'npetzi'n, waja tu'n nxi'y q'malte Tb'anil Tqanil kolb'il kye'y, a ayi'y ite' toj tnam Rom.
ROM.1.16	Nlay chin tx'ixwi'y ti'jjo Tb'anil Tqanil kolb'il, qu'n a lu'n tipin qMan Dios, tu'n kyklet tkyaqil xjal tu'n, qa ma chi nimin ti'j. Te tnejil kye Judiy, me ex ikyxjo kye, a nya Judiyqe. 
ROM.1.17	Qu'n noq tu'n Tb'anil Tqanil ma qo ok tz'aqle twutz Dios, ex antza nyek'ine tze'n tu'n qklete toj qil noq tu'n qnimb'il, ex tze'n tu'n qb'ete toj tumil. Qu'n ikytzi'n ntq'ma'n Tu'jil Tyol Dios: Aye xjal, a tz'aqleqe toj kyanmin, at kychwinqil te jun majx.
ROM.1.18	Qu'n b'i'n qu'n qa nimxix tq'oj Dios ktzajil kyi'jjo xjal, a nya ojtzqi'n Dios kyu'n, ex b'inchil ilqe, qu'n noq tu'njo kyil, mi nkytziyin tu'n tel kyniky' te Tqanil twutzxix. 
ROM.1.19	Qu'n majqexpe kye' xjal lu'n b'in kyu'n ti'j Dios atxix ojtxe, qu'n ax Dios o tzaj yek'inte te tkyaqil xjal. 
ROM.1.20	Qu'n atzin nya q'ancha'l ti'j Dios, n-el tniky'tzajilxjal toj kyanmin, noq tu'n tkyaqiljo tb'inchb'in Dios, atxix tej tb'antlinku tx'otx'. Qu'n antza n-elexix tniky'tzajil Dios, qa axix Diosjo, a kub' b'inchinte tkyaqil, ex nimxix tipin te jun majx. Ex noq tu'njo ojtzqib'l lo, nti'xla kolb'il kyib'xjal aj il, aj kyxi' pa'l kyil twutz Dios. 
ROM.1.21	Exla qa ojtzqi'ntaq Dios kyu'n ojtxe, me nti'x o jaw kynimsin tb'i, ex mi xi kyq'o'n chjonte te. Qala' o chi naj te jun majx toj kynab'l noq kyu'njo kyxim, a nti' kyajb'in. Ex tu'njo lo, ajo kyanmin, a nti' tumil, b'e'x kyij ten toj qxopin. 
ROM.1.22	Ex ok kyq'o'n kyib' te ẍtij, ex nti' tumil toj kywutz; qala' ma tz'el naj kynab'l te jun majx. 
ROM.1.23	Qu'n el kyi'jlin tqoptz'ajiyil qMan Dios, a Dios te jun majx, noq tu'n kyk'ulin kywutzjo twutzb'iyil ichin, a kb'ajil, ex kywutzjo kyilb'iyil pich' ex kan ex tkyaqil wiq txuk. Tkyaqiljo lo i ok kyq'o'n te t-xel Dios toj kyk'ulb'il. 
ROM.1.24	Tu'n ikyjo, ax Dios kyij tzaqpinkye tu'n kyb'inchinte tkyaqiljo a npon kyk'u'j ti'j. Ex el naj kytx'ixew tu'n kyb'inchin tkyaqil wiq aj pajil jun tuk'a juntl. 
ROM.1.25	Kub' kyb'inchin ikyjo, qu'n mix kub'e kynimin Tb'anil Tqanil Dios, qala' xi kyq'o'n kyib' tu'n kysb'et, ex tu'n kyk'ulin kywutzjo tch'iysb'in Dios, ex nya twutzjo Dios, a kub' b'inchinte tkyaqil, ax qMan Dios nimxix toklin ja'lin ex te jun majx. Ikyxitjo.
ROM.1.26	Tu'npetzi'n, ax Dios ma kyij tzaqpinkye tojjo kyachb'il te tx'ixwejil. Majqexpe' qya kyij kytzaqpi'n kymujb'il kyib' tuk'a kychmil, noq tu'n kykub' kẍe tuk'a juntl qya nyakuj ichinqe, tu'n kyb'inchin tkyaqil wiq ky'a'jin. 
ROM.1.27	Ex ikyqex ichin, kyij kytzaqpi'n kymujb'il kyib' tuk'a kyxu'jil, tu'n tpon kyk'u'j ti'j juntl ichin, ex kub' kẍe ichin tuk'a ichin, noq tu'n kyb'inchin tkyaqil wiq ky'a'jin te tx'ixwejil. Ax Dios tzaj q'o'nte jun tkawb'il kuj ti'j kyxmilil, noq tu'n ttz'e'y kywutz, ti'jjo kyb'inchb'in ikyjo, a manyor tz'ilxix. 
ROM.1.28	Ex noq tu'n kyky'e' tu'n tel kyniky' te Dios, ax Dios xkyij tzaqpinkye, tu'n kyxi' tojjo kynab'l te najin, a tu'n tjapin b'aj kyu'n a nya wen tu'n tkub' kyb'inchin. 
ROM.1.29	Ex ma noj kyanmin tuk'a tkyaqil wiq il, ex jni' aj pajil, ex tzeqb'il. Npon kyk'u'j ti'j nimku, ex jni' nya wen. Nlo'chj kyk'u'j ti'j juntl, ex b'yol xjalqe, ex yasilqe, ex sb'ulqe, ex nxi kyq'o'n kyib' toj achb'il, ex iqil yolqe. 
ROM.1.30	Nchi yolin nya b'a'n ti'j juntl, ex n-el kyiky'in Dios, ex mib'in chi b'in, ex la'jilqe, ex nja kynimsin kyib', ex nkub' kyximi'n tkyaqil nya wen, ex mib'in chi nimin te kytata. 
ROM.1.31	Ex manyor pi'sqe, ex mi njapin jun kyyol kyu'n, ex nya so'jqe, ex mib'in chi najsin kyil kyxolx, ex nti' tq'aq'b'il kyk'u'j. 
ROM.1.32	Ayetzi'n xjal b'inchil tkyaqiljo ikyjo, b'i'ntl kyu'n, qa a Dios o q'mante, qa il ti'j tu'n kykyim te jun majx. Me mix tu'nxj ipb'ilxix ite'ke tu'n tb'ant tkyaqil il kyu'n, ex tzunx nchi tzalaj ti'j jun kyuk'a, qa ma kub' tb'inchin ikyjo, ex qa ma kub' tz'aq toj il.
ROM.2.1	Tu'npetzi'n, nti'x jun kolb'il te'y, qa nyolb'i'n ti'j jun b'inchil il, ex qa ikyxl tejiy nb'ant tu'n.
ROM.2.2	Qu'n b'in qu'n, qa a Dios kkawil kyib'ajjo jni' b'inchil il. 
ROM.2.3	¿Ma oktzin ktzaqpajila toj twutza te najin, a tzul tu'n Dios, a ay nyolb'in kyi'jjo nchi b'inchin il? Qu'n tu'n ikyjo, axl nb'antjo tu'n. 
ROM.2.4	Qu'n kxel nq'ma'n qa nimxix twenil Dios ti'ja. Ex nimx n-iky'x tu'n Dios noq tu'n tb'inchb'i'n, ex n-ayo'n Dios ti'ja, tu'n tajtz ti'j tanmi'n. Exsin ante nti'x nximi'n ti'j tu'n tnimin ti'j Dios. Ex noq tu'n tb'inchb'in nya b'a'n, n-ele tiky'i'n Dios. Qu'n tuk'a tkyaqil twenil Dios, taj tu'n tajtz ti'j tanmi'n, ex tu'n tnimi'n ti'j. 
ROM.2.5	Ex noq tu'n tch'uẍil tanmi'n, ma txi tkujsin tib'a. Me tu'n ikyjo, njax ttilinji'y tila tib'ajxa. Oktzin ktlab'ila, aj tul tq'ijiljo tkawb'il Dios kujxix wen, ex aj tjapin kanin tq'ijil, ja' tu'n toki'y toj pa'b'in twutz Dios toj tumilxix. 
ROM.2.6	Qu'n tojjo q'ij anetzi'n, kxel tq'o'n Dios chojb'il teyile junjun, tze'nkuxjo ntqanin tb'inchb'in.
ROM.2.7	Kxel tq'o'n jun chwinqil te jun majx toj kya'j, exsin jun kyoklin tb'anilxix ti'jjo tqoptz'ajiyil qMan Dios, aye nchi jyon ti'j, ex tok tilil kyu'n, tu'n kyb'inchin te' b'a'n tzalu'n twutz tx'otx'. 
ROM.2.8	Me metzi'n kyi'jjo xjal nchi nimsin kyib', ex kyky'e' tu'n tkub' kynimin yol, a twutzxix; qala' o'kx kyajjo tu'n kyxi lipe ti'j tkyaqil il, ktzajil tq'oj Dios kyib'aj, a kujxix wen. 
ROM.2.9	Ktzajil tq'o'n Dios nimx yajb'il ex b'is kyib'ajjo a nchi b'inchin il; tnejilxix kye Judiy, ex ikyxjo kye nya Judiyqe. 
ROM.2.10	Me meqetzin kye' xjal, a nchi b'inchin b'a'n, kchi jawil nimsin tu'n Dios, ex ktzajil q'o'n kyoklin ex jun nuk'b'il toj kya'j te jun majx; tnejilxix kye Judiy, ex ikyxjo kye nya Judiyqe.
ROM.2.11	Ikytzi'n, nti' n-ok tka'yin Dios kyxe'chilxjal, qu'n tkyaqilxjal junx toklin twutz.
ROM.2.12	Tu'npetzi'n, kykyaqilxjo nchi b'inchin il, aye nya Judiyqe, a mi b'i'n tkawb'il Moisés kyu'n, ok kchi kyimil tu'nx kypaj. Ex ayetzin kye Judiy, a nchi b'inchin il ti'jlb'inxi' tkawb'il Moisés, ex ok kchi kyimil tu'nxjo kawb'il.
ROM.2.13	Qo ximin ch'in ti'j tkyaqiljo kawb'il. Qu'n nya noq o'kx tu'n tok qb'i'n, qala' il ti'j tu'n tjapin b'aj qu'n; ex tu'n ikyjo, ma qo el wen. 
ROM.2.14+ROM.2.15	Ex ikyxjo tuk'a tkawb'il qMan Dios. Qu'n aye xjal nya Judiyqe, a nti' b'i'n tkawb'il Moisés kyu'n; i'chaqxla nya b'i'ntz kyu'n, me atku maj nkub' kyb'inchin wen, tze'nkuxjo ntq'ma'n kawb'il, ex at maj qa mina. Qu'n ax kynab'l nq'mante alkye wen tu'n kyb'inchinte, ex alkye nya wen. Atzintzjo lu'n nyek'inte qa at jun kawb'il kyuk'a toj kyanmin. 
ROM.2.16	Tu'n ikyjo, tkyaqil kyb'inchb'in xjal toj ewajil, ok k-yek'il noq tu'n Jesucrist, toj tq'ijil aj tkawin Dios, a tze'nkuxjo Tb'anil Tqanil kolb'il, a ma txi nq'ma'n kye'y.
ROM.2.17	Me atzin te, a ntq'ma'n qa Judiy xjala, ex qa q'uqle tk'u'ja ti'j tkawb'il Moisés, ex njaw tnimsin tib'a noq ti'jjo tb'i Dios, 
ROM.2.18	ex qa ojtzqi'n tajb'il tu'n, exsi'n tkawb'il, a ntzaj xnaq'tzintiy, ex q'uqle tk'u'ja ti'j, qa kukx nkub' tb'inchinji'y wen. 
ROM.2.19	Ex ikyxjo q'uqle tk'u'ja ti'j, qa ma tz'oka nejinel kye mi n-el kyniky' te Dios, tze'nku jun tzaj kye' nchi b'et toj qniky'in. 
ROM.2.20	Nkub' t-ximi'n qa ma tz'oka te xnaq'tzil kye' mi ojtzqi'n Dios kyu'n, ex kye' k'wal, a mi nkyb'i'n. Tkyaqiljo lo q'uqle tk'u'ja ti'j, qu'n q'uqle tk'u'ja qa tojjo ojtxe kawb'il antza ta'ye ttxuyiljo tkyaqil ojtzqib'l, a twutzxix. 
ROM.2.21	Me atzin te, a nxnaq'tzi'n kye txqantl, ¿Tiqu'n mi nkub' t-xnaq'tzi'n tib'a nej? Ex atzin te, a nyoli'n qa nya wen tu'n qelq'in, ¿Tiqu'n akul te n-elq'in? 
ROM.2.22	Ex ay, a nq'ma'nte qa nya wen tu'n qky'a'jin, ¿Tiqu'n akul te nkub' b'inchinte nej? Ex ay, a nq'ma'nte qa nya wen tu'n qk'ulin kywutzjo twutzb'iyil juntl dios, ¿Me akupe te ma tz'okx elq'il toj tja kydiosxjal? 
ROM.2.23	Me noq njaw tnimsin tb'iy tib'ajjo ojtxe kawb'il, ex n-el ti'jli'n Dios, noq tu'n mi nkub' tb'inchi'n a tze'nkuxjo ntq'ma'n ojtxe kawb'il. 
ROM.2.24	B'isb'ajilxla ayi'y Judiyqiy. Noq tu'n kyxmiletz'ila ikyjo, kyij tz'ib'it toj Tu'jil Tyol Dios, qa noq tu'n kypaja nchi yolin aye nya Judiy, qa nti' tajb'in Dios.
ROM.2.25	Twutzx te' qa alkye taj tu'n tjapin b'aj ojtxe kawb'il tu'n, at tajb'in te te, tu'n tel qitit techil ti'j tchib'jil, tze'nku kub' tz'ib'it toj Tu'jil Tyol Dios. Me qa mix japin tu'n, exla qa tok techil, ikyx tz'ele' tze'nku nti' techil tok twutz qMan Dios. 
ROM.2.26	Ex qa ma japin kawb'il kyu'n xjal nya Judiyqe, aye nya qitin kyechil, ikyx tz'ele' tze'nqeku qitin kyechil twutz Dios. 
ROM.2.27	Ex a xjal nya qitin techil ti'j tchib'jil, me qa ma japin tkyaqil Tyol Dios tu'n, kjawil we' toj tq'ijil kawb'il twutz Dios, tu'n tkub' tz'aqa tu'n toj tila, a mi njapin tajb'il qMan tu'n, exla qa b'i'n ojtxe kawb'il tu'n, ex qitin techila. 
ROM.2.28	Qu'n nyaqeku kye Ttanim Diosjo, a Judiy, a at kyechil ti'jtzaqtz kychib'jil, qu'n nya te qechiljo twutzxix, a n-ok ti'jtzaqtz qchib'jil. 
ROM.2.29	Qala' atzin te xjaljo, a twutzxix Ttanim Dios, a Judiyxix, a tok techil tojxi tanmin, ex atzin te qechiljo twutzxix, a tok tojxi qanmin,
ROM.3.1	Atzin ja'lin, qa ikyjo, ¿Ti'xixsin tajb'intzjo tu'n qok te Judiy, ex ti'xixsin ktzajil tq'o'n a tu'n tok qechil? 
ROM.3.2	¡Ma nintzx tumil! Tnejilxix, ma txi tq'o'n te Dios Tyol kye Judiy. 
ROM.3.3	¿Ti'n kb'ajiltz qa atku junjun mi we' toj tnimb'il? ¿Ma tu'ntzintzjo ikyjo, okla kyjel ttzaqpi'n te Dios twenil kyuk'a, noq tu'n tmeltz'in te Dios tib', ex tu'n mi japin b'aje Tyol? 
ROM.3.4	¡Mina! Qu'n i'chaqx tkyaqilx te xjaltz niky'il yol, me mete Dios kukx njapin b'ajx te' tu'n, tkyaqiljo nkub' tq'ma'n, tze'nkuxjo ntq'ma'n toj Tu'jil Tyol Dios:
ROM.3.4	Ok k-okila tz'aqlexix noq tu'n Tyola,
ROM.3.4	ex k'wel kyi'j xjal tu'n, aj qa ma tz'oka toj xjelb'il kyu'nch.
ROM.3.5	Me b'alaqa at jun kyxola aku b'ant tu'n t-xi tq'ma'n jun t-xim kyjalu'n te kolb'il tib' twutz til: Qa noq tu'njo qil, chila', nyek'ine qa ate qMan Dios wenxix, tu'n otaq kub' tnajsin qil. Qatzin qa ikyjo, at tajb'in qil te Dios tu'n tnimsit tb'i, noq tu'n otaq kub' najsit. Qatzin qa ikyjo, ¿Tiqu'ntz nkawin Diostz qi'j, qa at tajb'in qil te? 
ROM.3.6	Me mina, qu'n tkyaqiljo lo noq jun kyximxjal, ex nti' tumil. Qu'n noqpetzin nya tz'aqlexix te Diostz, ¿Tze'ntzintla ttentz, tu'n tkawin kyib'aj kykyaqil? 
ROM.3.7	Me lu jun yek'b'il lo: Qa noq njaw b'antjo jun yol wu'n, ex qa ajo il lo nyek'inte qa nimx tqoptz'ajiyil Dios, noq tu'n tnajsit wila, ¿Tiqu'nil kchin k'wel tkawin Diostza tze'nkuxjo jun aj il? ¿Nya'pela a taq'in Diosjo tu'n tnajsit qilch? 
ROM.3.8	¡Nti'xla tumil ikyjo! Qu'n qa ikyjo, ¿Titzin qu'ntz mi nqo b'inchintz nya b'a'n, noq tu'n tkub' tnajsin Dios qil, ex noq tu'njo lo, tu'n tyek'in twenil qMan? Qu'n apetzinkye xjaljo nkyximin te kolb'il kyib' twutz kyil. Qu'n at junjun nstz'imin yol qi'ja qa iky qxnaq'tzb'ilji'y. Me ayetzin xjal lu'n, noqit aku tzaj tkawb'il Dios kyib'aj kujxix wen.
ROM.3.9	Atzin ja'lin, ¿Ma awotzinqe, a Judiyqo, nimxixtl qoklin tze'nku txqantl? Mina. Qu'n ma b'aj qyek'in tojjo xnaq'tzb'il lo, qa kykyaqilxjal aj ilqe, exla qa Judiy ex qa nya Judiyqe. 
ROM.3.10	Qu'n ikytzin ntq'ma'n Tu'jil Tyol Dios:
ROM.3.10	Mix a'l jun xjal tz'aqle twutz Dios,
ROM.3.10	me tuk'axpetla jun.
ROM.3.11	Ex mix a'l jun n-el tniky' te Dios,
ROM.3.11	ex mix a'l jun njyon ti'j.
ROM.3.12	Qala' kykyaqil b'ajel txalpaj,
ROM.3.12	ex kykyaqilx ma che'x toj najin.
ROM.3.12	Ex mix a'lx jun nkub' tb'inchin b'a'n,
ROM.3.12	me tuk'axpetla jun.
ROM.3.13	Ex tkyaqilxjo n-etz toj kytzi,
ROM.3.13	ikytzi'n tze'nku ttzuwil jun kyimnin tokx toj jul.
ROM.3.13	Ex manyor sb'ulqe tuk'a kyyol.
ROM.3.13	Nchi ky'ixb'e xjal tu'n kyyol, tze'nku ttx'a'b'l kan,
ROM.3.14	qu'n noq nchi qanb'in ex nchi yasin kyi'jxjal.
ROM.3.15	Ex jun paqx njaw kyiky'in tu'n kyb'ujin.
ROM.3.16	Ja'chax nchi b'etitz, noqx nchi xitin, ex nkyij kyq'o'n b'is.
