GEN.1.1	Mugaeai mugaeai tau, Deo ikado bubur ga tano ga iuot. 
LUK.12.50	Gau manta nabada paliliunga ede iman ieieinga aea. Be lolog ede ga ede tau, ngansa nabada maitne. 
LUK.12.51	Kado gimi aoangga gau nanam ngan kadonga gid panua tanoeai ga lolod itarui. Eine mao. Nakeo pagimi, gau nanam ngan kadonga gid panua ga timan ariapolpol. 
LUK.12.52	Ngansa labone ga ila, panua lima ngan iaoa ede ga timapoga. Tol ga timan rua ad isat, be rua ga timan tol ad isat. 
LUK.12.53	Gergeu ga iman itama aea isat, be itama ga iman gergeu aea isat. Tnad ga iman inat taine aea isat, be inat taine ga iman itna aea isat. Taine oainga ga iman ilaoa taine aea isat, be ilaoa taine ga iman inat iadaoa aea isat.”
LUK.12.54	Iesus ikeo pagid ipom pade bedane, “Oangga gimi agera laulau ipara ga idae ado ele dilngai, manmanae tau gimi akeo, ‘Eine aoara ga inam.’ Tota aoara itap. 
LUK.12.55	Be oangga gimi agera rai kapei iuot saut ga inam, eine ga akeo, ‘Tibur ga oanaoana tau.’ Tota iuot toa bedaoa. 
LUK.12.56	Gimi panua pakakanga ami! Gimi aoatai kilala ngan tibur kemi ga tibur paeamao ngan geranga mariamba ga tano, be ikamado ga aoatai ipu ngan kadonga toa iuotot labone mao?”
LUK.12.57	Iesus ikeo pade bedane, “Ikamado gimi arangrang ngan arau posanga ngan saoa danga itutui mao? 
LUK.12.58	Ngansa oangga eao la toman ngan am isat toa iuangga ipamadid go pan eaba patutuinga posanga aea, manta tobatoba ngan kadonga gimirua ga lolomi kelede motean toa edapeai oa. Ngan kado ta ibada go ga la pan eaba patutuinga posanga aea, ta ei ibada go ga la pan madidnga togid nakala, ta madidnga toa oa idol go ga dudunga ngan luma panasnga aea. 
LUK.12.59	Nakeo pago, eao ga mamado toa eoa ga irangrang ngan ol mulian lem idil papaeamao toa ngada oa.”
LUK.13.1	Ngan ado toaiua, panua edengada timamado be tikeo pan Iesus ngan gid panua Galili ad toa Pailat ele madidnga tirau gid ga timate ngan ado imata toa tikakado led tenainga ga ila pan Deo. 
LUK.13.2	Ta Iesus ikoli led posanga bedane, “Gimi aoangga gid panua Galili ad toa ne led kadonga sasat iasal kadonga sat togid panua Galili ad padengada, ta kadonga paeamao toa ne iuot ngan gid na? 
LUK.13.3	Nakeo pagimi, eine mao. Be oangga gimi apul lolomi mao, gimi toa ngada ne ga amate toa bedaoa pade. 
LUK.13.4	Be panua sangaul igegea lima ga tol toa timate ngan luma mamarae Siloam itap ga ipatae gid, gimi aoangga led idil papaeamao iasal idil papaeamao togid panua padengada timamado Ierusalem na? 
LUK.13.5	Nakeo pagimi, eine mao. Be oangga gimi apul lolomi mao, gimi toa ngada ne ga amate toa bedaoa pade.”
LUK.13.6	Iesus itado oanenga itna bedane, “Eaba ede iarum abei fik aea dadangai. Idio ta inam ngan ilonga abei itautau, be mao. 
LUK.13.7	Ta ikeo pan eaba toa imariala ngan dadanga bedane, ‘Ega, ngan rai tol gau nanam ngan ilonga abei fik toa ne itautau, be naot ngan eta mao. Ged ga isulug. Ikamado ga ipaeabu ngan tano toa ne imona?’
LUK.13.9	Ta oangga rai muriai itautau, eine kemi. Be oangga mao, tota ged ga isulug.’”
LUK.13.10	Ngan Ado Earainga aea, Iesus ipapaoatai gid panua luma raring aea ede iloleai. 
LUK.13.11	Be taine ede imamado. Iriau paeamao ital ei ga ibeberonga ngan aea rai sangaul igegea lima ga tol. Ta irangrang ngan imadid tutui mao. 
LUK.13.12	Be Iesus igera ta ibaba ei ga inam ta ikeo, “Taine, gau napola go ta dibala toa ne ipakala go pade mao.”
LUK.13.13	Tota idol ibage ga idae ngan ei, be mole mao idae imadid tutui ta isoa Deo ieda.
LUK.13.16	Be taine toa ne ei iaoa kelede pan Abraam pade, be Satan ipakala ei ngan aea dibala ngan rai sangaul igegea lima ga tol. Ta oangga napola ei ngan Ado Earainga aea ngan danga toa ipakala ei ne, gimi agera mambe itutui mao?”
LUK.13.17	Iesus iposa toa bedaoa, ta aea miri itamatama toa ngada oa maeamaea gid. Be gid ipom tinid igelgel ngan gid danga kemikemi ei ikakado.
LUK.13.18	Idio ta Iesus ikeo, “Madonga Deo ibageai eine mambe saoa toa? Eine ga natado saoa oanenga itna ngan? 
LUK.13.19	Eine mambe mastet ipuapua eaba ede ibada ta iarum aea dadangai. Idio ta ipara ga idae ta iuot mambe abei kapei ede, ta gid man tinam tirau ad luma ngan ibogaboga.”
LUK.13.20	Iesus ikeo pade bedane, “Nakeo ngan madonga Deo ibageai, be eine mambe saoa toa? 
LUK.13.21	Eine mambe yis toa taine ede ibada ta ibul toman plaoa iuon ngan tabla kapeipei tol. Ga kus ta plaoa toa ngada oa isum ga idae kapei.”
LUK.13.22	Iesus ilalala ga ila Ierusalem, be toa edapeai oa ila ngan gid tuanga kapeipei ga gereirei ta ipapaoatai gid panua. 
LUK.13.23	Ta eaba ede ibeta ei bedane, “Maron, Deo ga ibada mulian panua pidaede mon, mao madongan?”
LUK.13.23	Ta ikeo pagid, 
LUK.13.24	“Gimi manta urami pakpakia ta adudunga ngan atama kakauede, ngansa nakeo pagimi, panua busa ga titoba ngan tidudunga, be tirangrang mao. 
LUK.13.25	Ngansa oangga luma itama idae ta isaisai atama toa oa, eine gimi ga amadid gaot ta atintin atama ta aeansaban bedane, ‘Maron, repe atama ngan gai.’
LUK.13.25	“Be ei ga ikeo pagimi bedane, ‘Gau naoatai ngan gimi mao. Gimi sida ga anam?’
LUK.13.26	“Ta gimi ga akeo, ‘Gai aeanean ga aunun toman ngan go, be eao madmadid lemai melemeleai ta papaoatai gai.’
LUK.13.29	Gid panua ga tinam ado ele parangai ga ado ele dilngai ga not ga saut pade, ta tibada gid mul ngan eaneannga kapei ngan madonga Deo ibageai. 
LUK.13.30	Be ega, ngan kadonga toaine, panua busa toa edad kapei labone, muriai edad ga isulug. Be panua busa toa edad mao labone, muriai edad ga iuot kapei.”
LUK.13.31	Ngan ado imata toaiua, gid Parisi idanga ede tila pan Iesus ta tikeo, “Eao tnan tibur toa ne, ta la ngan tibur eta pade, ngansa Erot iuangga ipamate go.”
LUK.13.32	Be ei ikeo pagid, “Ala ta akeo pan kaua saksak toa na bedane: Ega, gau ga nasere iriau papaeamao ga nakemi gid panua ad dibala labone ga sabale. Be ngan ado tol aea, gau ga napasala leg naurata toa ngada ne tanoeai. 
LUK.13.33	Goibe saoa danga iuotot, gau ga matag tutui ngan leg naurata labone ga sabale ga bong rua. Ngansa eaba sai toa ibada Deo iaoa, irangrang ngan imate gaot ngan tuanga Ierusalem mao.
LUK.13.34	“O Ierusalem, Ierusalem, gimi apapamate gid panua tibada Deo iaoa. Ga gid panua toa Deo isula gid ga tila pagimi, gimi araurau gid ngan pat ga timate. Somisomi naoangga napaluplup gimi ga namariala kemi ngan gimi mambe kokako taine ipaluplup inatnat ibagbage ibuloloeai, be tinimi ngan mao. 
LUK.13.35	Ega, Deo ga itnan lemi tuanga ta adio sapaean. Be gau nakeo pagimi, gimi ga agera gau pade mao ga ila irangrang ngan ado toaiua gimi akeo, ‘Maron ipamatua eaba toa ne ta isula ei ga inama ngan ei ieda.’”
LUK.14.1	Ngan Ado Earainga aea ede, Iesus ila ngan luma ton madidnga ede togid Parisi ngan ian toman ngan ei. Be gid matad ingitngit ei. 
LUK.14.2	Be eaba ede iae kuakua imamado imatai. 
LUK.14.3	Ta Iesus ibeta gid Parisi ga gid madidnga apu ad bedane, “Eine tutui ngan takemi gid dibala ngan Ado Earainga aea pade, mao madongan?” 
LUK.14.4	Be gid tiposa eta mao. Tota ibage idae ngan eaba toa oa ta ikemi ei. Ga kus ta isula ei ga ila.
LUK.14.6	Be gid tirangrang ngan tikoli ele posanga eta mao.
LUK.14.7	Iesus igera gid panua toa tinama ngan eaneannga oa tisiosio gid mul togid panua edad kapeipei, ta itado oanenga itna ede pagid bedane, 
LUK.14.8	“Oangga eaba ede ibaba go ga la ngan eaneannga oainga aea, irangrang ngan eao la mado ngan mul togid panua edad kapeipei oa mao. Ngan kado ta ibaba eaba eta pade ieda kapei ngan eao ga inama ngan eaneannga toa oa. 
LUK.14.9	Ta eaba toa ibaba gimirua ga anama ngan eaneannga, eine ga ikeo pago bedane, ‘Eao longean mul toa ne ila pan eaba ga eko.’ Oangga bedaoa, eine eao ga maeamaea go kapei ta la mado ngan mul ede togid panua edad mao. 
LUK.14.10	Be oangga tibaba go ga la ngan eaneannga, eao manta la mado ngan mul ede togid panua edad mao. Eao kado toa bedaoa, ta eaba toa ibaba go ngan eaneannga ga ikeo pago bedane, ‘Leg eaba, dae ta la mado ngan mul ede togid panua edad kapeipei.’ Oangga bedaoa, eine eao edam ga iuot kapei rabu ngan panua toa ngada oa timado ngan eaneannga toman ngan eao. 
LUK.14.11	Ngansa eaba sai isoa ieda mulian, Deo ga idol ei ga idio gadio. Be oangga sai idol ieda mulian ga isulug, eine Deo ga isoa ieda ga idae.”
LUK.14.12	Idio ta Iesus ikeo pan eaba toa ibaba ei ngan eaneannga bedane, “Oangga eao baba gid panua ngan eaneannga, irangrang ngan baba gid oaeoaem mao, ga am kakakau ga sobosobom mao, ga gid panua toa led danga sisid busa lem tuangai oa mao pade. Ngan kado ta tibaba go pade ngan eaneannga ta tikoli mulian lem mamaron. 
LUK.14.13	Be oangga eao kado eaneannga, manta baba gid panua lululunga ad, ga gid panua aed imate ga baged imate, ga gid panua baged kukupu ga aed kukupu, ga gid panua matad ikilakila. 
LUK.14.14	Eao kado toa bedaoa, ta Deo ga ikado kemi tau ngan eao. Ngansa gid panua toa bedaoa tirangrang ngan tikoli mulian pago mao, be Deo ga ikoli mulian pago ngan ado toaiua ipei mulian gid panua tututui ngan led matenga.”
LUK.14.16	Ta Iesus ikeo pan bedane, “Eaba ede ikoromot danga sisid eaneannga kapei aea ta ibaba gid panua busa. 
LUK.14.17	Tota ngan ado imata eaneannga aea, isula ele paeaeanga ga ila ikeo pagid panua toa mugaeai ibaba gid ta ikeo, ‘Gimi anam, ngansa annga toa ngada ne imisi ga ienono.’
LUK.14.18	“Be gid toa ngada oa tikado kadonga lalaede ngan posanga aea gerei. Eaba ede ikeo, ‘Gau patautene naol tano idanga tede, ta gau manta nala ngan aea geranga. Tota nabeta eao, longo ta nalat ngan eaneannga toa na mao.’
LUK.14.19	“Be ede pade ikeo, ‘Gau patautene naol bulmakao sangaul ta naoangga natoba led naurata. Tota nabeta eao, longo ta nalat ngan eaneannga toa na mao.’
LUK.14.21	“Idio ta paeaeanga toa oa iluai mulian ta ipalongo aea maron ngan gid panua led posanga. Tota luma itama toa oa ilolo bake ta isula ele paeaeanga ta ikeo, ‘La manmanae ngan gid edap gereirei ga gid luma maraoad toa tuangai, ta ilo gid panua lululunga ad, ga panua aed ga baged imate, ga panua matad sususu, ta bada gid ga tinam tidudunga toa eko.’
LUK.14.22	“Ta paeaeanga toa oa ikeo, ‘Maron, danga toa eao keo ngan ne, nakado ga kus, be luma iuon kemi maitne.’
LUK.14.23	“Be aea maron ikeo pan paeaeanga bedane, ‘Ot ga la ngan gid edap kapeipei ga edap dadanga aea, ta posa matua pagid ta tinam tidudunga, ta irangrang ngan leg luma iuon. 
LUK.14.24	Nakeo pagimi, gid panua toa ngada oa nababa gid mugaeai, irangrang ngan eta ngan gid itoba leg annga imana mao.’”
LUK.14.25	Gid ipom kapei tilalala toman ngan Iesus, be ipul imata ga ila pagid ta ikeo, 
LUK.14.26	“Oangga eaba eta inam pagau, manta ikim gau kapei tau ga iasal ele kimnga ngan itama, ga itna, ga iadaoa, ga ele gergeu, ga aea kapeipei, ga aea kakakau, ga iliuliu, ga ei pade. Oangga mao, irangrang ngan eaba toa oa iuot leg aluagau mao. 
LUK.14.27	Ga pade, oangga sai ibisi aea abei tabala ga inasi gau mao, eine irangrang ngan iuot leg aluagau mao.
LUK.14.28	“Ngansa oangga eaba eta ngan gimi ikeo ga ikado luma kapei ede, ei ga idio imado ta imata inasi danga sisid aea olnga ta iuatai, ele pat irangrang ngan ipasala luma toa oa, mao madongan. 
LUK.14.29	Ngan kado ta ipagun aea kadanga kekelen be irangrang ngan ipasala mao, ta panua toa ngada oa tigera ta tigalinge ngan ei. 
LUK.14.30	Ta tikeo, ‘Eaba oaine iuangga ikado luma, be irangrang ngan ipasala mao.’
LUK.14.31	“Ga pade, oangga maron kapei ede ikeo ga ila iparau pan maron kapei ede pade, ei ga idio imado ta imata inasi ele panua paraunga ad ta iuatai, irangrang ngan ele panua bunoringring sangaul tiasal maron kapei ede pade ele panua bunoringring sangaul rua toa tiuangga tiparau pan, mao madongan. 
LUK.14.32	Oangga mao, ei imamado aluai tede maitne, be isula ele panua edengada ta tibada iaoa ga ila pan maron kapei ede pade ta iansaban ei ngan inasi edap eta ngan kadonga gisirua ga lolod itarui mulian. 
LUK.14.33	Toa bedaoa pade ngan gimi toa ngada ne. Oangga apul murimi ngan lemi danga sisid toa ngada na mao, irangrang ngan aot leg aluagau mao.”
LUK.14.34	Iesus ikeo pade bedane, “Sol eine danga kemi. Be oangga imana kus, eine ga takado ga imana iluai mulian madongan? 
LUK.14.35	Sol toa bedaoa eine kemi ngan danga eta mao. Irangrang ngan ilua tano imona mao, ga irangrang ngan tadol toman ngan bulmakao itae mao pade. Eine tatado ga iduaea.
LUK.14.35	“Eaba sai itanga, manta ilongo posanga toaine.”
LUK.15.1	Gid panua takis ad ga panua kadonga sasat ad tila boloma pan Iesus ngan longonga ele posanga. 
LUK.15.2	Be gid Parisi ga gid madidnga apu ad lolod ngur ga ngur ta tikeo, “Eaba oaine itin igelgel ngan badanga gid panua kadonga sasat ad ta ian toman ngan gid.”
LUK.15.3	Tota itado oanenga itna ede pagid ga bedane, 
LUK.15.4	“Oangga eaba ede ngan gimi ele sipsip buno, be ede ngan gid isusu, eine ga itnan gid sangalima sangaul pange igegea lima ga pange ga tidio ngan tibur ede, ta ila ilo ede toa isusu oa ga irangrang ngan iuot ngan.
LUK.15.5	Ta oangga iuot ngan, eine ga itin igelgel ta idol ga idae ikepeai 
LUK.15.6	ta iluai mulian tuangai. Ta ibaba gid iuaeuae ga gid panua ele tuangai ga tinam tiluplup ta ikeo pagid, ‘Tinimi igelgel toman ngan gau, ngansa naot ngan leg sipsip ede toa isusu!’ 
LUK.15.7	Gau nakeo pagimi, tingelgel lalaede toa bedane iuotot buburiai oangga eaba kadonga sat aea kelede ipul ilolo. Tingelgel buburiai ngan eaba toa kelede ne ipul ilolo, iasal tingelgel ngan gid panua tututui sangalima sangaul pange igegea lima ga pange toa led ipu eta ngan pulnga lolod mao.”
LUK.15.8	Iesus ikeo pade bedane, “Ga pade, oangga taine ede ele pat biling
LUK.15.9	Ta oangga iuot ngan, eine ga ibaba iarerea ga gid panua ele tuangai ga tinam tiluplup ta ikeo, ‘Tinimi igelgel toman ngan gau, ngansa naot ngan leg pat biling ede toa isusu ne!’ 
LUK.15.10	Nakeo pagimi, gid anggelo ton Deo tinid igelgel lalaede toa bedaoa oangga eaba kadonga sat aea kelede ipul ilolo.”
LUK.15.11	Iesus ikeo pade bedane, “Eaba ede ele gergeu rua. 
LUK.15.12	Be ele gergeu toa kakau oa ikeo pan bedane, ‘Apa, pota lem danga sisid toa patautene, ta gau anag inam pagau.’ Io, tota ipota ele danga sisid rabu ngan gisirua.
LUK.15.13	“Be mole tau mao, gergeu toa kakau oa ipagorou ele danga sisid toa ngada oa ta ila ngan tibur ede aluai. Be toa eoa iuolol danga sisid imata ede ga ede ngan kadonga ei mulian ga itin igelgel. 
LUK.15.14	Io, ele danga sisid toa ngada oa kus, be mole mao sapanga kapei iuot ta iparangrang tibur toa ngada oa, ta ei inaman ele madonga iuot kemi mao ta ipapauis. 
LUK.15.15	Tota ila pan eaba ede ngan tibur toa oa ta ila iboko pan, ta isula ei ga ila ngan gid gaea led tibur eaneannga aea ta ipanpan gid. 
LUK.15.16	Igera gid bin boloae itin kukul toa ipanpan ngan gaea ta ilolo ila ngan aea eannga ngansa pitoreanei, be eaba eta ipan aea annga mao.
LUK.15.17	“Idio ta ilolo iluai mulian ta ikeo, ‘Gau tamag ele panua naurata ad toa ngada oa ad annga ilialia iman sakirkir, be gau ne, nakado namate ngan pitoro ta. 
LUK.15.18	Kemi ngan nadae ta naluagau ga nala pan tamag, ta gau ga nakeo pan bedane, “Apa, gau nakado kadonga sat ngan Deo imata ga ngan eao matam pade. 
LUK.15.19	Gau eaba kemi mao, ta irangrang ngan eao oato gau lem gergeu pade mao. Dol gau mambe lem eaba naurata aea ede.” ’ 
LUK.15.20	Io, tota idae ta iluai mulian pan itama.
LUK.15.20	“Ei ilalala aluai tede maitne, be itama igera ei ta ilolo isat kapei tau ngan ei ta ilado ga ila pan. Ta iluku ei ga ibusum ipapa.
LUK.15.21	“Be inat ikeo pan, ‘Apa, gau nakado kadonga sat ngan Deo imata ga ngan eao matam pade, ta gau kemi mao. Irangrang ngan eao oato gau lem gergeu pade mao.’
LUK.15.22	“Be itama ikeo pagid ele paeaeanga bedane, ‘Manmanae, abada pononga mamarae toa kemi tau na, ta adol ngan ei. Be adol pato ga idae ibage igongai, ga su idae ngan iae pade. 
LUK.15.23	Be aluku bulmakao daenga pau toa itub kapei na, ta atotoi ga anono. Gita taean ta tinida igelgel, 
LUK.15.24	ngansa natug toa ne imate na, be labone imata bibita pade! Ei isusu, be naot ngan ei mulian!’ Io, tota tikado kadonga tingelgel aea.
LUK.15.25	“Be mole mao, ele gergeu lautabe iluai mulian dadangai ga inam. Ipaboloma luma, be ilongo baunga ga ipom titoltol. 
LUK.15.26	Tota ibaba paeaeanga ede ga inam pan ta ibeta ei ngan saoa danga iuotot. 
LUK.15.27	Ta ikeo, ‘Tadim kakau iluai mulian, ta tamam itotoi bulmakao daenga pau toa itub kapei oa, ngansa ibada inat mulian be itin kemi.’
LUK.15.28	“Io, itar kapei toa oa ilolo bake ta itin ngan idudunga lumaeai mao. Be itama iuot ga inam ta iposa meles pan. 
LUK.15.29	Be ikeo pan itama bedane, ‘Ega, rai busa naboko paeaeanga pago ga natolatola ngan lingem eta mao, be mugaeai ga inam, eao bada meme eta ga inam pagau ngan gaingada oaeoaeg aean ga tinimai igelgel mao. 
LUK.15.30	Be natum toa ipamukuru lem danga sisid ngan gid taine edap ad, labone inam ta eao totoi bulmakao daenga pau toa itub kapei oa.’
LUK.15.31	“Ta itama ikeo, ‘Natug, eao somisomi mamado toman ngan gau, be leg danga toa ngada ne eine eao lem. 
LUK.15.32	Be labone manta takado eaneannga ga tinida igelgel, ngansa tadim kakau imate na, be imata bibita pade! Ei isusu, be labone taot ngan ei mulian!’”
LUK.16.1	Iesus ikeo pade pagid ele aluagau bedane, “Maron ede ele pat kapei imamado. Be panua edengada tisol ele paeaeanga ad madidnga ngan posanga ta tikeo ga iboko tutui ngan aea maron ele danga sisid mao. 
LUK.16.2	Tota maron ibaba madidnga toa oa ga inam pan ta ibeta ei, ‘Posanga ede toa nalongo ngan eao ne madongan? Nakim eao matam inasi lem kadonga ngan leg danga sisid toa ienono bagemeai na, ta bode ga idae ngan laulau ta nagera. Ngansa irangrang ngan eao man madidnga pade mao.’
LUK.16.3	“Io, madidnga toa oa ikeo iloleai bedane, ‘Gau ga nakado mado? Ngansa ag maron iuangga isere gau ngan naurata madidnga aea. Be gau urag ngan kadonga dadanga mao. Ga pade, maeamaea gau ngan gaunga danga sisid pagid panua padengada. 
LUK.16.4	Gau naoatai ngan saoa danga ga nakado. Ta oangga isere gau ngan naurata toa ne ga kus, eine ga panua tibada gau ga nala led lumaeai.’
LUK.16.5	“Io, tota ibaba panua kelede kelede toa ad gigi ienono pan aea maron ga tinam, ta ibeta eaba toa imuga oa bedane, ‘Eao am gigi pan ag maron iuot pida?’
LUK.16.6	“Ta ikeo, ‘Gau ag gigi ngan bude oliv aea ne iuot dram sangaul rua.’
LUK.16.6	“Be madidnga toa oa ikeo pan, ‘Bada lem laulau gigi aea na, ta dio mado manmanae ta bode ga iuot sangaul mon.’
LUK.16.7	“Ga kus ta ibeta ede pade bedane, ‘Be eao am gigi pan ag maron iuot pida?’
LUK.16.7	“Ta eaba toa oa ikeo, ‘Gau ag gigi ngan karei wit iuot buno.’
LUK.16.7	“Ta ikeo pan, ‘Bada lem laulau gigi aea na, ta bode ga iuot sangalima sangaul tol.’
LUK.16.8	“Tautaunga, madidnga toa oa ele kadonga itutui mao, be aea maron igera ele kadonga toa bedaoa ta ipakuru ngan ei, ngansa inasi oatainga kemikemi. Ngansa gid panua tanoeai ad led oatainga kapei ngan kadonga kemi gid led panua. Led oatainga toa ne iasal oatainga togid panua timamado merengai. 
LUK.16.9	Tota nakeo pagimi, ngan lemi madonga tanoeai, manta akado mamaron ngan lemi pat ta gid panua tiuot oaeoaemi. Ta oangga pat kus, eine ga tibada gimi ga ala amado ngan luma kemikemi ienono somisomi ga ilalala ga ila.
LUK.16.11	Tota ngan lemi madonga tanoeai labone, oangga matami tutui ngan pat mao, sai ga iadi gimi ngan danga tautaunga ta amariala ngan? 
LUK.16.12	Ta oangga matami tutui ngan eaba ede pade ele danga sisid mao, sai ga ipan danga eta ga iman lemi?
LUK.16.14	Be gid Parisi tilongo Iesus ele posanga toa ngada ne ta tigalinge ngan ei, ngansa lolod ikim tau pat. 
LUK.16.15	Ta ikeo pagid, “Gimi akeo ga aot tutui panua matadeai, be Deo iuatai ngan lolomi na. Ngansa saoa danga gid panua tiuangga eine kemi tau, eine danga paeamao ga paeamao tau ngan Deo imata.
LUK.16.17	Eine malamalan ngan mariamba ga tano isapa, be irangrang ngan Deo ele apu idil eta isapa mao.”
LUK.16.18	Iesus ikeo pade bedane, “Oangga sai isuk iadaoa ta iuai taine pau, eine ikado kadonga arala. Ga oangga sai iuai taine ede toa iadaoa isuk ei mugaeai, eaba toa ne pade ikado kadonga arala.”
LUK.16.19	Iesus ikeo pade bedane, “Ado ede eaba kapei ede toa ele pat busa imamado. Ado ga ado itin igelgel ga idoldol danga sisid kemikemi, singsingia ga bil, be ianean gid annga kemikemi. 
LUK.16.20	Be eaba lululunga aea ede ieda Lasarus itin iuon ngan botoboto. Somisomi tisoa ei ga ila imamado toa eaba kapei ele ala aea atama iaoai. 
LUK.16.21	Ei ilolo iminmin ngan eannga annga isakirkir toa itaptap eaba kapei ele popouiai ga isulug. Be gid kaua tinam tidamedame aea botoboto.
LUK.16.22	“Be ado ede eaba lululunga aea toa oa imate, ta gid anggelo tisoa ei ga ila imado pan Abraam isaleai. Be mole mao eaba toa ele pat busa oa imate pade ga titaian ei. 
LUK.16.23	Ta ngan tibur paeamao togid panua matemate, ibada ieieinga kapei. Be imata idae ta igera Abraam imamado aluai ga Lasarus imamado isaleai. 
LUK.16.24	Tota ibaba ga ila pan ta ikeo, ‘Apa Abraam, lolom isat ngan gau ta sula Lasarus ta idol ibage igonga ga idudunga ngan eau ta inam teng ga idudunga aoageai, ta ipamemednga maeg, ngansa nabada ieieinga kapei tau toa dingaeai ne.’
LUK.16.25	“Be Abraam ikeo, ‘Natug, matam nanan lem madonga tanoeai. Eao babada lem danga kemikemi, be Lasarus ele madonga paeamao. Ta labone ei ibada pamusnga kemi, be eao bada ieieinga kapei. 
LUK.16.26	Ga pade, Deo idol perper kapei rabu ngan gita, ta gid panua toa eko tiuangga tiuore ga tila pagimi, tirangrang mao. Be gid panua toa nena tiuangga tiuore ga tinam nene, gid pade tirangrang mao.’
LUK.16.27	“Ta eaba toa oa ikeo, ‘Apa, tota nabeta eao, sula Lasarus ga ila tamag ele lumaeai. 
LUK.16.28	Ngansa ag kakakau lima ta timamado. Kemi ngan ila ipabib led, ngan kado ta gid pade tinam tidio ngan tibur toa ieieinga aea ne.’
LUK.16.29	“Be Abraam ikeo, ‘Posanga ton Moses ga gid panua tibada Deo iaoa ienono pagid. Kemi ngan tilongo ga tinasi led posanga.’
LUK.16.30	“Be ei ikeo, ‘Mao, apa Abraam, be oangga eaba mate ede itnan denga ga ila pagid, eine ga tipul lolod.’
LUK.16.31	“Be ikeo, ‘Oangga tilongo Moses ga gid panua tibada Deo iaoa led posanga mao, irangrang ngan posanga ton eaba idae mulian ngan ele matenga igal lolod mao pade.’”
LUK.17.1	Iesus ikeo pagid ele aluagau bedane, “Gid kadonga toa idada panua ta led kadonga lolo matua aea itap, eine ga iuotot. Be paeamao tau ngan eaba sai ikado ga gid kadonga toa oa iuotot. 
LUK.17.2	Kemi ngan tikaukau eaba toa oa igagal ngan pat kapei ede ta titado ei ga isulug tadiai motean. Toa bedaoa ta irangrang ngan ikado ga eta ngan gid gergeu gereirei toa ne led kadonga lolo matua aea itap mao. 
LUK.17.3	Tota agabit kemi ngan gimi mulian.
LUK.17.3	“Oangga oaem ede ikado kadonga sat, daba ei. Ta oangga ipul ilolo, tota samum ele kadonga sat. 
LUK.17.4	Ta oangga ikado kadonga sat ngan eao palima ga rua ngan ado ede, be ipul ei mulian palima ga rua ta ikeo pago, ‘Napul lolog,’ tota samum ele kadonga sat.”
LUK.17.5	Idio ta Maron ele panua ato ad tikeo pan bedane, “Lua gai ta lemai kadonga lolo matua aea ilalala ga idae.”
LUK.17.7	Iesus ikeo pade bedane, “Sai ngan gimi, oangga ele paeaeanga iboko dadangai, mao imariala ngan sipsip, ga kus ta iluai mulian ga inam, eine ga ikeo pan bedane, ‘Nam manmanae ta dio mado ta ean’? Eine ga ikeo pan bedane mao. 
LUK.17.8	Be ei ga ikeo, ‘Dol barikia nononga aea ta kado ag annga. Ta gal ga inam naean ga naun. Ga kus ta eao ean ga un.’ 
LUK.17.9	Gimi aoangga ei ga ikado posanga kemi pan paeaeanga toa oa ngansa inasi ilinge na? Eine mao. 
LUK.17.10	Tota gimi pade, oangga apasala naurata toa ngada ne Deo ibada pagimi, manta akeo bedane, ‘Gai paeaeanga kemi tau mao. Saoa danga gai akado, eine danga toa gai manta akakado.’”
LUK.17.11	Iesus inasi edap ga ila Ierusalem, be ilalala rabu ngan but Samaria aea ga Galili. 
LUK.17.12	Ila idudunga ngan tuanga ede, be panua sangaul toa ad dibala kankan tiuot pan, be timadid aluai tede. 
LUK.17.13	Ta tibaba kapei ga ila pan bedane, “Iesus, Maron, uduan gai!”
LUK.17.15	Be ede ngan gid igera itin iuot kemi ta iluai mulian, be imemetae ngan soanga Deo ieda. 
LUK.17.16	Ei ikor iae ta idol ilabora ga isulug boloma ngan Iesus iae ta ikado posanga kemi pan. Be ei eaba Samaria aea.
LUK.17.17	Idio ta Iesus ikoli ele posanga bedane, “Panua sangaul tiuot kemi na? Be gid lima ga pange sida? 
LUK.17.18	Eaba alu ede pade aea ne kekelen iluai mulian ngan soanga Deo ieda, be eaba eta pade mao?”
LUK.17.19	Ta ikeo pan, “Dae ta la. Lem kadonga lolo matua aea ikado ga tinim iuot kemi.”
LUK.17.20	Gid Parisi tibeta Iesus bedane, “Madonga Deo ibageai ga iuot ngeda?”
LUK.17.20	Ta ikoli led posanga bedane, “Oangga madonga Deo ibageai iuot, irangrang ngan ageragera ngan matami mao. 
LUK.17.21	Ga pade, irangrang ngan panua tikeo bedane mao, ‘Tota nene,’ mao ‘Tota eoa,’ ngansa madonga Deo ibageai ta ienono lolomiai.”
LUK.17.22	Ta ikeo pagid ele aluagau bedane, “Muriai gimi ga lolomi iminmin ngan geranga ado ede toa Eaba Inat imamado, be gimi ga agera mao. 
LUK.17.23	Ta gid panua ga tikeo pagimi, ‘Ega, ei ta eoa,’ mao ‘Ei ta eko.’ Be irangrang ngan gimi alado ga anasi gid mao. 
LUK.17.24	Ngansa ngan ado toaiua Eaba Inat inam, eine ga iuot lalaede mambe gla isamil ta igal mariamba iadag ga iadag. 
