MAT.1.1	Ay niy de dawét i de katufua Jesu Kristo, sani ségétéwe séfu Datu Dabide séfu Abraham. 
1CO.6.8	Endob i toowe, begom i de ménsala brab do léméniful bé de dumo gom munur. 
1CO.6.9	Gétiga kom damén i de étéw énda métintu ro, énda féguléwoy Tuluse bero. Fétuntay gom. I de bigaén, brab de méngadaf bé de kéninontow, brab do lémamfa, brab do bakla, énda géahur ro dob kéféguléw i Tuluse. 
1CO.6.10	Atin loo soy de ménakaw, brab de arumén, brab do molon, brab do émbéréh do tete tugi fantag bé de étéw, brab do lémiful, énda so géahur ro dob kéféguléw i Tuluse. 
1CO.6.11	Bé do gétah, wén i do dumo begom loo bé nan. Endob béleewe ni ménlinis gomén tidéw dob de sala gom, atin do ménwaléy gomén do étéw i Tuluse. Fénwaléyén begom do métintu bé barakat i Kadnane Jesu Kristo brab Rémogor i Tuluse.
1CO.6.12	I betome do munur, fakay gérigono tom i kéluhanay éntingayéne amuk énda teteén. Gido loo, békén kéluhanay éntingayéne fiyo. Fiyon fo ké fakay rigoné kuy kéluhanane, éndob békén fo fatut waléyu maak riféy de rigoné ku. 
1CO.6.13	Ufama, i sure, kay amaéne. Atin i amaéne kay sure. Toow i nan. Endob wén moso i gai kédanéy Tulusey sure brab amaéne.
1CO.6.13	Atin i lowohe békén fégésébiga. Yamula rénigoy Kadnaney lowoh i de étéw inok rigoné roy galbék i Kadnane. Atin sabaf bé Kadnane, waléy mantuy de lowoh tom moso. 
1CO.6.14	Non Tulusey ménfétébulee bé Kadnane Jesus, atin fétébuleé no so mélaw betom bé barakat ne.
1CO.6.15	I de begom do munur, gétiga kom damén i de lowoh gom maak réfa i lowoh Kristowe so. Mélaw énda fatutén sumfata tom bé sundale. Toow fo tete i ni. 
1CO.6.16	Gétiga kom damén i ni. I étéwe sumfaté noy lowoh ne dob sundale, waléy ro sétiman lowoh. Non wén i Ménsulate Kébéréh i Tuluse fantag bé sébawage mano, “I de ruwo gétéw waléy ro sétiman lowoh.” 
1CO.6.17	Endob i étéwe sumfaté noy fédéw ne dob Kadnane waléy ro sétiman fédéw.
1CO.6.18	Mélaw kagom témayan bé ségiyowe saliyu bé de bawag gom. I de dumo do sala énda sébanilén bé lowohe loo bé ni. Endob i étéwe bigaén, ménsala sébanil bé lowoh ne. 
1CO.6.19	Gétiga kom damén i lowoh gome maak lawi i Tuluse non i Rémogor i Tuluse nirayén begom, bati dob de fédéw gom. Mélaw i lowoh gome békén kagom. 
1CO.6.20	Yamula Tulus i gefee bé de lowoh gom non bénléyén begom, atin i Nga ney fénggébayad ne de amun ménléhu dob kruse mémukas betom. Mélaw usar gom i de lowoh gom bé funay Tuluse médayéw.
1CO.7.1	Atin fantag man bé de fénénginsa gom begén dob de sulat gom, ay niy késumbulo kuwe de. Fiyo ké énda mawag i lagéye. 
1CO.7.2	Endob sabaf médooy de étéw do bigaén, fiyo ké i séngae lagéy fatut mawag ségétéw libun, brab i séngae libun fatut mawag ségétéw lagéy. 
1CO.7.3	Atin fantag man bé de sébawag, fatut ro séfidong. I lagéye énda fatutén émbéréh “Kago” dob bawag ne. Loo soy libune énda fatutén émbéréh “Kago” dob bawag ne. 
1CO.7.4	Non i libune békén been i gefee bé lowoh ne, non kay bawag ne. Atin i lagéye békén so been i gefee bé lowoh ne, non kay bawag ne. 
1CO.7.5	Mélaw kagom élénén i bawag gome ké rigoné noy kailanga nuwe. Endob amuk i de sébawag énda séfidong ro bé firoye kélungonon inok démasal ro, fakay. Endob amuk gilid i no, fatut fétausé roy késéfidong ruwe inok énda kudiyunéy Satanase bero sabaf bé kétayay lowoh ruwe.
1CO.7.6	Enda sugué ku begom bé de ni bénréh gu. Yamula féginau gu saén begom bé fiyo ké énda sébawag gom. 
1CO.7.7	Non méuyotu de damén ké iringé kom begén énda i bawag gu. Endob énda ségiléw tom kéluhanan. Non irayay Tulusey séngae ségétéw kaan kéfurungon loo bé étéwe énda mawagén. Atin i de ségiyo étéw, irayay Tuluse bero ségiyo kéfurungon.
1CO.7.8	Ay niy béréhé kuwe dob de énda séna bawagén brab dob de baléw: Toow na fo fiyo ké énda mawag gom, ségiléw bé begéne. 
1CO.7.9	Endob amuk énda gétingkélo kom i kétayay de lowoh gom, toow na fo fiyo ké mawag gom. Non toow na fo fiyoy mawage bé kérégénan gom sabaf bé kétayay lowohe.
1CO.7.10	Atin fantag man bé begome wénén i do bawag gom, ay niy béréhé kuwe dob begome. Been i niy sugu i Kadnane, békén saén kagén. I libune békén fo fatut ké ségélak bé bawag ne. 
1CO.7.11	Endob amuk wén i libun génlak i bawag ne, énda fo fakayén ké mawag man ségiyo. Endob fakay séfule dob bawag ne. Atin i lagéye békén fo fatut ké gélaké noy bawag ne.
1CO.7.12	Atin fantag man bé begome do sébawag, ay niy kagéne saén féginau dob begome. (Non énda sénugu i Kadnaney ni.) Amuk wén i lagéy dumo tom munur bé Jesuse éndob i bawag ne énda munurén, atin i bawag ne ni mika ségélak, énda fatutén ké gélaké no. 
1CO.7.13	Atin amuk wén i libun dumo tom munur bé Jesuse, éndob i bawag ne énda munurén, atin i bawag ne mika ségélak, énda fatutén gélaké no. 
1CO.7.14	Non i bawage énda séna munurén, waléy malinis dob adafay Tuluse sabaf bé bawag ne munur bé Jesuse. Amuk békén loo bé ni, i de nga ro énda malinis ro dob adafay Tuluse maak do nga i de békén méngintulus. Endob i toowe fo, malinis ro dob adafay Tuluse. 
1CO.7.15	Endob i bawage énda munurén, amuk gélaké noy bawag ne, fédaya gom gélaké no. Fakay i ni, non kétayay Tuluse ké métanék i kébati tome. 
1CO.7.16	Fatut fédayaé no ké gélakéy bawag ne, non fiyon fo ké énda ségélakén, énda so gétiga no de ké sabaf bé beene waléy géunur i bawag ne loo ké énda.
1CO.7.17	Atin fiyon fo ké atiy gohoy séngae ségétéw betom bé gaiwe fén-unur i Tuluse betom fatut fétausé tomén. Non niray i Kadnaney nan gohon. Been i sugué kuwe dob de munur dob kéluhanay de ingéd. 
1CO.7.18	Amuk i ségétéwe begom méntulién bé énda séna ménwaléyén de munur bé Jesuse, éndaén fatutén ké kédané noy kétuli ne béleewe. Atin amuk i ségétéwe begom énda séna méntulién amun ménwaléyén munur, éndaén fatutén fétuli béleewe. 
1CO.7.19	Non ulanden ké méntuli gom loo ké énda. I toowe fo mélaga i kéodoro kome bé de sugu i Tuluse. 
1CO.7.20	Mélaw fiyon fo ké atiy gohoy séngae ségétéw betom bé gaiwe fén-unur i Tuluse betom, fatut fédayday tomén loo bé nan. 
1CO.7.21	Amuk ségétéw go rifén bé gaiwe ménwaléy gon munur, kago émbuku de. Endob amuk fakay tangéyén go, rigo mo. 
1CO.7.22	Non amuk ségétéw go rifén bé gaiwe ménunur go, féwaléyéy Kadnane beem békénén rifén dob adafa nuwe. Atin loo so bé ni, amuk békén go ségétéw rifén bé gaiwe ménunur go, waléy go rifé Kristowe. 
1CO.7.23	I Tuluse bénléyén betom amun nirayén i buntunge Ngaén fénléhu géménantinon betom. Mélaw békén tom fatut waléy riféy kéilawane saén. Yamula riféy Tuluse betom. 
1CO.7.24	Do dumo gu, fiyon fo ké atiy goho tome bé gaiwe fén-unur i Tuluse betom, fatut fétausé tom, non Tulus i dumo tome.
1CO.7.25	Atin fantag man bé de étéw énda sénay bawag ro, énda i gébérého ku sugu tidéw dob Kadnane. Endob ay niy karang guwe de, brab ségétéwu gésarigo kom non bé kégédaw i Kadnane begén. 
1CO.7.26	I karang guwe de, fiyo ké énda mawag gom non mérégén i de gai béleewe ni. 
1CO.7.27	I étéwe énda i bawagén, békén fatut sélédé no. Atin i étéwe wén i bawagén, békén fatut gélaké no. 
1CO.7.28	Endob amuk wén i étéw méuyot mawag, fakay. Békén sala i mawage. Endob géagéw gom mérégén. Been i niy funa kuwe énggébéréh bé kagom fatut mawag béleewe ni, non mikau de ké kérégénan gom loo bé de kékérégénay de sébawag.
1CO.7.29	Non béréhé ku begom do dumo gu, éndaén mérugay i gai tome. Mélaw tidéw béleewe ni, i étéwé wén i bawagén, fatut mégéror rémigo bé galbék i Kadnane maak énda i bawagén. 
1CO.7.30	Ségiléw so bé de tete fédéwén, brab de fiyo fédéwén, brab de wén do languntama ro brab do énda i languntama ro. Ulanden non fatut ro mégéror rémigo bé galbék i Kadnane. 
1CO.7.31	Atin amuk musar tom bé de éntingayén dob duniyae ni, békén fatut toowé tom gulaanén. Non éndaén mérugay i duniyae ni.
1CO.7.32	Méuyotu de fo ké énda émbuku gom. I lagéye énda i bawagén toow na fo mégéror rémigo bé galbék i Kadnane non énda i mangga de. Mélaw i fégitungé nuwe saén i funay Kadnane mésuwat. 
1CO.7.33	Endob i lagéye bawagan, fégitungé noy de éntingayén dob duniyae ni inok fésuwaté noy bawag ne. 
1CO.7.34	Sabaf bé ni, mésébaad i kéfégitung ne. Ségiléw so bé libune énda i bawagén, fégitungé no saén i fantage bé Kadnane inok toow fo mégéror rémigo bé galbék i Kadnane. Endob i libune wén i bawagén, fégitungé noy de éntingayén dob duniyae ni non méuyot de ké fésuwaté noy bawag ne.
1CO.7.35	Békén bénréh guy ni ké énda fébawagé ku begom. Békén! Bénréh guy ni inok tabanga ku begom rémigo bé fatute brab inok mégéror gom rémigo bé galbék i Kadnane, atin énda i mangga begom bé ni.
1CO.7.36	Fantag man bé de ménséfasad sébawag moso, amuk méuyot ro de ké éndaén fétausé roy késébawag ruwe inok énda i angga ro rémigo bé galbék i Tuluse, fiyo. Endob amuk méuyot ro fo séfidong, fatut ro sébawag loo bé kétaya ruwe. Enda mésala ro amuk sébawag ro. 
1CO.7.37	Endob i lagéye, amuk énda i mémégés de éndob toow fo kétaya no ké éndaén fétausé no bawagén i libune fénasada no bawagé no, fiyo so. 
1CO.7.38	Mélaw, fiyo ké bawagé noy kénogone fénasada no. Endob toow na fo fiyo ké énda bawagé no de.
1CO.7.39	I libune wén i bawagén, énda fakayén ké mawag ségiyo taman méuyag sénay bawag ne. Endob amuk ménléhu i bawag ne, fakay man mawag bé kétaya nuwe, éndob fatut ségétéw so munur bé Kadnane Jesus. 
1CO.7.40	Endob toow na fo méoror ké éndaén mawagén ségule. Beeniy kéfégitung guwe de. Atin gékaranga ku, fénggésobut i Rémogor i Tuluse begén i ni.
1CO.8.1	Atin fantag man bé fénénginsa gome ké fakay tom mama bé amaéne ténulak dob adafay de kéninontow, ay niy késumbul guwe de. Gétiga tom kéluhanan énda i barakat i de kéninontow. Gétiga tom énda i lanték ro. Endob i de étéw marok do gétigan ro, waléy ro félangka-langka. Endob békén tom fatut félangka-langka, yamula fatut mégédaw tom inok féfiyoné tom i fédéw i de dumo tom. 
1CO.8.2	I étéwe manok toow fo gétigan, énda séna gétiga noy ati fatute gétiga no. 
1CO.8.3	Endob i étéwe toow fo féimué noy Tuluse, géloloy Tuluse non ménwaléy étéw i Tuluse.
1CO.8.4	Na, fantag man bé amaéne ténulak dob adafay kéninontowe, gétiga kom i kéninontowe énda méuyagén taloo no Tulus. Non sébaan saén i Tuluse, atin éndaén i ségiyo de. 
1CO.8.5	Bénréh i de dumo do étéw wén kun i médoo do tulus brab kadnan dob lawayo brab dob fantade. Atin toow, wén i médoo féngadaféy de étéw. 
1CO.8.6	Endob gétiga tom, sébaan saén i Tuluse, sani Abaye ménfélimbag bé kéluhanane. Been i odoro tome brab féngadafé tom sénga tékélid. Atin sébaan saén i Kadnane sani Jesu Kristowe léménimbag bé kéluhanay éntingayéne brab Beeney funa tome méuyag.
1CO.8.7	Endob békén kéluhanay étéwe gétiga roy ni. Wén i de dumo étéw marok do tulus i de kéninontow non beeniy karowe kéunur bé do gétah bé énda séna ménunur ro de bé Jesuse. Mélaw amuk mama ro bé amaéne ténulak dob adafay kéninontowe, marok énggérigo ro bé salae funa ro tete fédéw. 
1CO.8.8	Endob gétiga tom, békén amaén i funay Tuluse betom mésuwat. Non amuk mama tom de, loo so ké énda mama tom de, ulanden dob Tuluse.
1CO.8.9	Gido loo, ingat gom inok i de rigoné kom, békén funay dumo gome énda séna méégét i kéunur ne, waléy gésala. 
1CO.8.10	I begome wén i gétiga kom, amuk mama gom dob lawie féngadafan bé kéninontowe, atin amuk énggitoy ségétéwe énda séna gétiga noy fantage bé de ni kétoro, waléy so méuyot de mama, fiyon fo ké dob fédéw ne sala i mamae bé amaéne ténulak dob adafay kéninontowe. 
1CO.8.11	Mélaw i ni étéw énda séna méégét i kéunur ne, énggésug-sug, non rénigo noy gékaranga nuwe mésala de. Enda fiyoy nan, non beene soy funa Kristowe ménléhu inok mékédan i sala ne. Mélaw i kégétiga muwe wayoy funay dumo muwe waléy gésala. 
1CO.8.12	Mélaw amuk rigoné moy ni, beem i mésalae sébanil bé Kristowe non mésala go sébanil bé dumo muwe bé kéfésala me bé dumo muwe énda méégét i kéunur ne. 
1CO.8.13	Mélaw amuk sabaf saén bé karnehey funay dumo muwe gésala, kagon mama de inok énda mésala i dumo muwe de.
1CO.9.1	Enda i ségiyo étéw géatur begén non ségétéwu apostol brab non méntéfégitoy Kadna tome Jesus dob begéne. Atin i begome, ménunur gom bé Jesuse sabaf bé kétoro guwe begom. 
1CO.9.2	Mélaw fiyon fo ké i de ségiyo do étéw énda fégéloloné ro begén ségétéw apostol, fatut fégéloloné kom begén non i kéunur gomey fégélolonone bé i begéne ségétéwu apostol. Non begén i murete fantag bé Kadnane dob begome do étéw dob Korinto.
1CO.9.3	Atin amuk wén i démowoy begén, ay niy késumbulo kuwe de: 
1CO.9.4	Aw békén ba fatutu irayan kéama gu bé kégalbék guwe témoro fantag bé Kristowe? 
1CO.9.5	Aw énda bay kuwagib gu miring bé rénigoy de dumo gu do apostol brab de tuwaréy Jesus brab Pedrowe? Non kéluhana ro wén i do bawag ro munur so bé Jesuse. Atin amuk magéw ro, uwité roy de bawag ro. Mélaw wén soy kuwagib gu rémigo damén bé nan. 
1CO.9.6	I Bernabewe brab begéne, énda fatut gey gémalbék saliyu bé kétoro geye saén. Fatut irayan gey amaén bé kétoro geye saén. Sedek énda mérigoy ni loo bé mérigowe dob de ségiyo témoro? 
1CO.9.7	Ufama, énda i ségétéw sundalo been soy mayadan bé kaane lowoh bé kégalbék ne sémundalo. Ségiléw so bé mohoke, wén i kuwagibén mama bé de kéntéwén. Loo soy témalimae bé de bili-bili, fatut gédoté noy de dumo gatas i de bili-bili talimaé no.
1CO.9.8	I ni bénréh gu békén saén tidéw dob kéilawane, non been soy niy ménbéréhe dob kukumay Tuluse. 
1CO.9.9	Ménbéréh dob kitabe sénulat Moisese mano, “I ayame sad-sadé noy faréye inok mérek, békén fatut ikétén i ba ne.” Atin i Tuluse békén saén bénréhén i ni fantag bé ayame. 
1CO.9.10	Non bénréhén so fantag bé begeye do muret bé Fiyowe Uret. I démaduwe brab kémétéwe wén i inam ro gégédot bé kéntéw ruwe. 
1CO.9.11	Atin ségiléw so bé begeye. Nohok gey i kébéréh i Tuluse dob begome inok méuyag gom taman sa taman. Mélaw fatut irayan gey amaé key inok méuyag gey dob duniyae ni. 
1CO.9.12	Non amuk i de ségiyo témoro begom wén i kuwagib ro médot tidéw dob begome, toow na fo dakél i kuwagib geye de.
1CO.9.12	Gido loo, énda séna ménongot gey tidéw dob begome. Yamula féndaya gey kéluhanay mérégéne inok énda saén méangga i kéuret geye bé Fiyowe Uret fantag bé Kristowe. 
1CO.9.13	Gétiga kom damén i de étéw gémalbék dob lawi i Tuluse, mama ro so diyo. Atin i de fadi témulak, mama ro so bé dumoy ténulak ruwe. 
1CO.9.14	Ségiléw soy ni bé begeye. Non sénugu i Kadnane bé fatut médot i de témoro bé kéfaguyag ruwe tidéw dob de ténoro ro.
1CO.9.15	Endob fiyon fo ké wén i kuwagib gu médot bé kéfaguyag guwe tidéw dob de ténoro gu, énda séna ménongotu dob berowe. Atin békén sémulatu béni inok mongotu dob begome. Mikau fo mongot dob begome. Toowu na fo méuyot ké méléhuu mélayaf kisak mékédan i funa kuwe félangka-langka, sani kégalbék guwe fiyon fo ké énda médotu sahud. 
1CO.9.16	Endob énda i kuwagib gu félangka-langka sabaf bé kéuret guwe bé Fiyowe Uret. Non sénugu i Kadnane begén muret fantag bé Kristowe. Atin mélaw amuk énda rigoné ku de, toowu fo mékégédaw-gédaw non mékukumu fo toow. 
1CO.9.17	Amuk muretu sabaf bé kétaya kuwe saén, gédoté kuy sahud guwe de. Endob sénugu i Tuluse bégén, mélaw fatut rigoné ku sabaf sénarigén i ni galbék dob begéne. 
1CO.9.18	Ati mélaw i sahud guwe de? Ay ni: Been i dakéle kéoror gu bé kéuret guwe bé Fiyowe Uret fiyon fo ké énda mongotu bé kéfaguyag guwe loo damén bé kuwagib guwe de.
1CO.9.19	Atin fiyon fo ké békénu ségétéw rifén, waléyu maak riféy kéluhanay étéwe inok tabangé ku bero waléy do munur bé Jesuse. 
1CO.9.20	Mélaw amuk diyou dob de Judio, iringé kuy adat i de Judio inok munur ro. Fiyon fo ké énda kailanga no modoru bé kitabe tidéw dob Moisese, modoru de amuk diyou dob de modoron de inok munur ro bé Jesuse. 
1CO.9.21	Atin amuk diyou dob de békén Judio, iringé ku soy adat ruwe inok munur ro so bé Jesuse. Endob fiyon fo ké éndaén modoru bé kitab Moisese, modoru bé kitab Kristowe. 
1CO.9.22	Atin amuk diyou dob de étéw énda séna gétiga roy fatute amaé tom bé kéluhanay de amaén, énda amaé kuy amaéne karangé ro énda fiyo no. Rigoné kuy ni inok tabanga ku bero munur bé Jesuse. Mélaw rigoné kuy adat i de udenén étéw dumo gu inok i de dumo bero waléy géunur bé Jesuse.
1CO.9.23	Rigoné kuy kéluhanay de ni inok munur ro bé Fiyowe Uret fantag bé Jesuse, inok gédoté ku soy de kéfiyonon iray i Tuluse sabaf bé kélégéb i Fiyowe Uretén. 
1CO.9.24	Gétiga kom damén i ni. Amuk sékuya i de étéw, kéluhana ro léméntu, éndob ségétéw saén i témabane brab gégédote bé barase. Mélaw fégéror gom loo bé sékuyae inok barasay Tuluse begom moso. 
1CO.9.25	I étéwe sékuya toow fo fégéror bé rigoné nuwe inok waléy émbagér i lowoh ne. Rigoné noy ni inok témaban, atin gédoté noy barase de énda fo métingkélén. Endob i betome mégéror gémalbék bé galbék i Kadnane, gédoté tom soy katome baras énda mébinasa no taman sa taman. 
1CO.9.26	Beeniy funa kuwe magayas féntang léméntu mangéy dob fégilidoy sékuyaane. Atin ségiléwu bé ségétéwe sémuntuk, toow fo tiliké no inok toow fo guraté no. 
1CO.9.27	Atin i lowoh guwe ni, amuk wén i tete kétaya no, dusané ku inok énda modoru bé nan tete kétaya ku. Rigoné kuy ni inok i begéne téménoro bé médoowe, énda waléy mékédan i kagéne baras.
1CO.10.1	Do dumo gu, méuyotu de ké gétiga kom i énggéagéwoy de katufua tom amun ménodor ro bé Moisese. Déniyagay Tuluse bero kéluhanan. Non ténléb i rawéne bero bé kéagéw ruwe brab énggéifara roy dogote féndawét Furo Dogot. 
1CO.10.2	Mélaw maak bénautison ro bé rawéne brab dogote inok waléy ro do kuyug Moises. 
1CO.10.3	Atin ménama ro kéluhanan bé amaéne tidéw dob Tuluse. 
1CO.10.4	Atin méniném ro kéluhanan bé wayége tidéw dob Tuluse, non féniném i Tuluse bero bé wayége tidéw dob sébaane batéw ménodor bero. I ni batéw been i Kristowe. 
1CO.10.5	Gido loo, énda ménsuwat i Tuluse bé kédoono ruwe. Mélaw médooy ménléhue bero diyo dob gonone énda i étéw de bati.
1CO.10.6	I funa nuwe ménrigoy de ni inok wén i do ufama témoro betom, inok gétiga tom énda fatut féngonoyé tom i de tete éntingayén loo bé berowe. 
1CO.10.7	Enda fatut tom méngadaf bé de kéninontow loo bé rénigoy de dumo bero. Non wén i Ménsulate Kébéréh i Tuluse mano, “Ménsar ro dob adafa nuwe mama brab miném. Tidéw béno, téménindég ro mésayaw dob adafa nuwe.” 
1CO.10.8	Atin énda fatut tom bigaén loo bé rénigoy de dumo bero, non kénukum i Tuluse bero bé kéléhu i ruwowe folo bra téléw ngibu bé ségétérésangane. 
1CO.10.9	Atin békén fatut tukawa tom i Kadnane bé de rigoné tom do tete loo bé rénigoy de dumo bero, funay de ulé kéméneke bero atin ménléhu ro. 
1CO.10.10	Atin énda fatut tom riklamo loo bé rénigo ruwe funay Tuluse sénuguén i télakiwe méméléhu bero.
1CO.10.11	I funay de ni do ménrigo inok wén i do ufama témoro brab émféingat bé kéluhanay étéwe, non éndaén mérugay i tamfaday gaiwe tidéw béleewe ni.
1CO.10.12	Mélaw, i étéwe manok toow fo méégét i kéunur ne, fatut mingat inok énda mésalaén. 
1CO.10.13	I de kétukawa no bé séngae ségétéw étéw békén saén ménantu, non i kéluhanay kéilawane méntukawanén loo bé begome. Atin toow tom fo gésarig bé Tuluse non énda fédayaé no betom métukawan bé kétukawe gélamfas na betom. Non bé gaiwe métukawan tom, tintu fébagéré no betom inok wén i kétingkél tom, inok énda damén gérigo tom sala.
1CO.10.14	Mélaw do gulaané ku do dumo gu, kagom méngadaf bé de kéninontow. 
1CO.10.15	Gétiga kom i fatute, mélaw fégitung gom i de bénréh gu inok gétiga kom ké toow look énda. 
1CO.10.16	Amuk mamung tom bé “komiyuniyune” fégétédémé tom i kéléhu Kristowe, mama tom fan brab miném tom arak fénsalamata key dob Tuluse. I inémé tome, been i dara Kristowe sétukidé tom. Atin i amaé tome, been i lowoh Kristowe sétukidé tom. 
1CO.10.17	Sébaan i fane. Mélaw i kéluhana tome waléy sébaan so non mama tom bé sébaane fan.
1CO.10.18	Fégitung gom i fantage bé de étéw Judio. I kéluhanay de mama bé ténulake, séréngan ro do méngadaf bé Tuluse. 
1CO.10.19	Ay niy atag i ni kétoro gu begom. I kéninontowe, rénigoy étéwe saén. Atin mélaw énda i atag i amaéne ténulak dob adafay de kéninontow. 
1CO.10.20	Gido loo, békén saén do kéninontow i de féngadafé ro, ké témulak ro do saitan so. Békén Tulus i féngadafé ruwe. Mélaw mikau de ké mamung gom bé kéféngadafe bé de saitan. 
1CO.10.21	I betome do munur bé Kristowe, amuk mama tom bé komiyuniyone, fégétédémé tom i Kadnane Jesus brab Beeney féngadafé tome. Mélaw énda fakay tom mama so bé de amaén ténulak dob adafay de saitan non maak mamung tom méngadaf bé de saitan. 
1CO.10.22	Békén fatut fédaléwé tom i Kadnane. Non toow fo barakatan brab gékukumo no betom, atin énda géséliyah tom de.
1CO.10.23	Fiyon fo ké fakay rigoné tom i kéluhanane békén fiyoy kéluhanay de rigonén. Atin fiyon fo ké fakay rigoné tom i kéluhanane, békén fégétabang bé de dumo tom i kéluhanay de rigonén. 
1CO.10.24	Békén fatut tabanga tom saén i de katom lowoh. Fatut tabanga tom soy de dumo tom.
1CO.10.25	Fakay amaé tom i de udenén karne fébéléy dob fadiyane, brab békén fatut fénginsaé tom ké ténulak dob adafay de kéninontow, inok énda waléy tete i de fédéw tom amuk amaé tom. 
1CO.10.26	Non ténungkas i Tuluse betom mama bé kéluhanay amaéne dob Ménsulate Kébéréhén mano, “Tulusey gefee bé duniyae brab kéluhanay éntingayéne.”
1CO.10.27	Amuk wén i ségétéw étéw énda munurén bé Kristowe atin séngkaté no begom mama, brab amuk magéw gom mangéy diyo, fatut amaé kom i kéluhanay féama ne begom. Endob kagom fénginsaén de ké ténulak i amaéne ni dob kéninontowe, inok énda waléy tete i de fédéw gom ké mama gom de. 
1CO.10.28+1CO.10.29	Endob amuk wén i émbéréh de begom mano, “I ni amaén ténulak dob adafay kéninontowe”, kagom amaén de, inok i ménbéréhe dob begome énda waléy tete i fédéw ne.
1CO.10.28+1CO.10.29	Endob amuk ménginsa gom makom, “Amuk fakay amaé kuy atiy kétaya kuwe, sedek énda géamaa ku de sabaf saén bé ségétéwe étéw énda gétiga no de ké ténungkas i Tuluse betom mama bé kéluhanane? 
1CO.10.30	Sedek wén i démowoy begén bé amaéne fénsalamata ku dob Tuluse?”
1CO.10.31	Ay ni késumbul guwe de: Amuk wén i rigoné kom look amaé kom look inémé kom, rigo gom i kéluhanane inok médayéw i Tuluse de. 
1CO.10.32	Mélaw kagom rigonén i funay dumo gome tete i fédéw ne, fiyon Judio, taloo no békén Judio, loo soy de munur bé Kristowe. 
1CO.10.33	Iring gom i rigoné kuwe. Kétaya ku ké démoyun fésuwaté kuy kéluhanay étéwe. Enda rigoné kuy kéfiyonoy kagéne saén lowoh, yamula rigoné ku soy funay kéluhanay de étéw fiyo inok munur ro so bé Jesuse brab méfukas ro bé de sala ro.
1CO.11.1	Mélaw iring gom begén loo bé kéiring guwe bé Kristowe.
1CO.11.2	Do dumo gu, dayéwé ku begom, non démoyun fégétédémé kom begén brab odoro kom i de kétoro gu begom. 
1CO.11.3	Atin méuyotu de ké gésobuto kom i ni. I lagéye uléw i bawag ne. Atin i Kristowey uléw i lagéye. Atin Tulus i uléw Kristowe. 
1CO.11.4	Mélaw i lagéye amuk ureté noy kébéréh i Tuluse taloo no démasal, fatut énda météléb i uléw ne inok fégito noy Kristowe uléwén. 
1CO.11.5	Endob i libune amuk ureté noy kébéréh i Tuluse taloo no démasal, fatut télébé noy uléw ne inok énda émfémalay bawag ne. Non amuk énda, ségiléw bé libune ménérih i uléw ne. 
1CO.11.6	Atin amuk énda télébé noy uléw ne, fatut fékéléngén i buk ne. Endob toow fo mékémala ké ménkéléng i buk i libune taloo no ménérih i uléw ne, mélaw fatut télébé noy uléw ne. 
1CO.11.7	Endob i lagéye énda fatut télébé noy uléw ne ké démasal taloo no ké muret bé kébéréh i Tuluse. Non beeney maake anlung i Tuluse non niray i Tuluse dey aturay duniyae ni. Békén libuney funay bawag ne médayéw. 
1CO.11.8	Non i sunguwe lagéy békén tidéw dob libune. Yamula libuney tidéwe dob lagéye. 
1CO.11.9	Atin i lagéye békén lénimbag inok kay libune. Yamula lénimbag i libune inok kay lagéye. 
1CO.11.10	Mélaw fatut télébéy libuney uléw ne inok fiyon i de télaki gétiga roy lagéy i uléw ne. 
1CO.11.11	I betome do munur bé Kadnane, i lagéye brab libune fatut sétabang. Non i libune kailanga noy kétabang i lagéye. Atin i lagéye kailanga noy kétabang i libune. 
1CO.11.12	Non loo bé gétaho, i sunguwe libun tidéw dob sunguwe lagéy, béleewe i lagéye mumah tidéw dob libune. Atin i kéluhanane tidéw dob Tuluse, non Been i lémimbage bé kéluhanane.
1CO.11.13	Begom séden i mégitunge de. Aw fakay ba démasal i ségétéwe libun dob simbaane amuk énda télébé noy uléw ne? Gétiga tom énda fakayén. 
1CO.11.14	Atin gétiga tomén dob de fédéw tom bé énda fo fiyo no ké métaah i buk i lagéye. Toow fo mékémala. 
1CO.11.15	Endob toow fo fiyo ké métaah i buk i libune funa no médayéw. Non niray dey buk ne inok météléb i uléw ne. 
1CO.11.16	Amuk wén i mika bé ni kétoro, ay niy késumbul guwe de. Enda i ségiyo adat ténoro gey saliyu bé ni bé kéféngadafe. Atin ménagayun soy kéluhanay de munur bé Tuluse dob kéluhanay de ingéd.
1CO.11.17	Ay niy ségiyowe na béréhé ku begom. Enda dayéwé ku begom sabaf bé késélimud gome méngadaf. Non énda fiyoy rigoné kome, rigoné kom i tetee. 
1CO.11.18	Non énggélingoo ku, buluk sélimud gom kun, ménsébaad-baad gom. Atin gétiga ku wén i kétoow i ni. 
1CO.11.19	Gido loo, kailanga kom i mésébaade inok toow fo giton i isuwe tintu fo sémarig bé Tuluse. 
1CO.11.20	Amuk sélimud gom mama bé amaéy Kadnane sani komiyuniyune, énda fiyoy nan rigoné kom. Mélaw békén gom tintu mama bé amaéy Kadnane. 
1CO.11.21	Non amuk mama gom, i de dumo begom toow fo arumén. Mélaw i de dumo de mule ro mélayaf. Atin saliyu na bé nan, waléy i de dumo begom molon ké sélimud gom. 
