MAT.1.1	Nigaj ijkuilijtoꞌ ito̱ka̱mej yej iyikyapatajwe̱wejmej Jesucristo,
JHN.15.25	Eꞌ iní̱n mochij iga mamochi̱wa ken ijkuilijtoꞌ ipan iley yejemej: “Ne‑ijiyakej malej ayá̱ꞌ nemi nikchi̱wa yej aye̱kti.”
JHN.15.26	’Nia niktajtanili̱ti toTaj iga mamitzti̱tanili iyEspí̱ritoj. Inó̱n iyEspí̱ritoj mitzpale̱wiáj iwá̱n mitzyo̱lchika̱waj iga mitzne̱xtiliáj yej melaꞌcie̱rtoj de nej, 
JHN.15.27	iwá̱n amejeme̱n no̱ ankipowaskej de nej, iga este kua̱ꞌ pe̱waꞌ iga nij ninemi, ansenemikej nowa̱n.
JHN.16.1	Jesús kijlij idisci̱polojmej:
JHN.16.1	—Iní̱n nimitzijliáj iga amo xikajte̱waka̱n iga ximoconfia̱ro̱ka̱n ipan nej. 
JHN.16.2	Yawij mitzki̱xti̱tij ipan amotio̱pamej, iwá̱n kua̱ꞌ agaj de yejemej mitzmikti̱skej, yejemej kejla̱ntoskej iga ijkó̱n kichi̱waj, nemi kichi̱waj ken Dios kineki. 
JHN.16.3	Iní̱n kichi̱waskej iga aya ki̱xmatij toTaj niga nej. 
JHN.16.4	Nimitzijliáj iní̱n, iga kua̱ꞌ ijkó̱n mochi̱was, xikejla̱mikika̱n iga nej nimitzijlíjkeja.
JHN.16.4	’Iní̱n animitzijlijkej achto iga nonoya amowa̱n. 
JHN.16.5	Eꞌ iná̱n nia iga manono iwá̱n yej ne̱ti̱tan; iwá̱n nisé̱ de amejeme̱n ayá̱ꞌ ne̱tajtani ka̱n nia. 
JHN.16.6	Ma̱jwaꞌ, amokno̱matikej iga yej nimitzijlijkej. 
JHN.16.7	Eꞌ ayá̱ꞌ nimitzkajkaya̱waj: ye̱kti iga maniá, iga siga ayá̱ꞌ nia, el Espíritu Santo yej mitzyo̱lchika̱waj ayá̱ꞌ wi̱ꞌ iga maonoki amowa̱n; eꞌ siga nia, nia nimitzti̱tanili̱tij. 
JHN.16.8	Kua̱ꞌ yéj wi̱ꞌ, yawi kine̱xtili̱ti la gente iga kichijtokej yej aye̱kti iwá̱n kine̱xtili̱skej iga onoꞌ se̱ ojti ka̱n ye̱ꞌnemilo iwá̱n iga Dios yawi tajuzga̱ro̱ti. 
JHN.16.9	Kichijtokej yej aye̱kti iga ayá̱ꞌ moconfia̱rowaj nopan; 
JHN.16.10	kimatiskej katiapa in ye̱ꞌojti iga nej nia ka̱n onoꞌ toTaj, iwá̱n amejeme̱n ayꞌya anne‑itaskej. 
JHN.16.11	Kimatiskej iga Dios yawi tajuzga̱ro̱ti, iga yej manda̱rowa no̱ya̱n ipan iní̱n ta̱jli ónoꞌya iga yawij kicastiga̱ro̱tij.
JHN.16.12	’Ma̱joꞌ nimitzijli̱jnekij, eꞌ amejeme̱n iná̱n aya wel ankentende̱rowaj. 
JHN.16.13	Kua̱ꞌ wi̱ꞌ iyEspí̱ritoj Dios, yéj mitzmachti̱skej nochi yej melaꞌcie̱rtoj, iwá̱n ayá̱ꞌ tajto̱j kensan yéj kineki, yawi kijto̱ti inewi yejsan kikakis, iwá̱n yawi mitzmati̱lti̱tij nochi yej mochi̱was. 
JHN.16.14	Yéj yawi ne̱weyimati̱lti̱ti, iga kikuis yej nej notájto̱l, iwá̱n mitzne̱xtili̱skej amejeme̱n. 
JHN.16.15	Inewi yej kipiá toTaj, notatki no̱; inó̱n iga nikijtoj iga el Espíritu kikuis notájto̱l iwá̱n mitzne̱xtili̱skej amejeme̱n.
JHN.16.16	’Alí̱n poliwi iga ayꞌya ane‑itaskej, eꞌ pano̱j seꞌ alí̱n tiempo anyawij sej anne‑itatij iga nia ka̱n onoꞌ toTaj.
JHN.16.17	Iwá̱n sekin idisci̱polojmej mosepantajtankej seꞌ iwá̱n seꞌ:
JHN.16.17	—¿Ix te a̱n te‑ijli̱jneki iga te‑ijliá? “Alí̱n poliwi iga ayꞌya ane‑itaskej, eꞌ pano̱j seꞌ alí̱n tiempo anyawij sej anne‑itatij”, iwá̱n te iteki o̱n, “Nia ka̱n onoꞌ toTaj.” 
JHN.16.18	¿Te a̱n kijto̱jneki in inó̱n “alí̱n tiempo”? Ayá̱ꞌ tikmatij de te̱ nemi tajtowa.
JHN.16.19	Jesús kimatiꞌ iga kitajtanisnekiáj, iwá̱n kijlijkej:
JHN.16.19	—Nej nimitzijlijkej iga poliwi alí̱n iga ayoꞌ anne‑itaskej iwá̱n pano̱j seꞌ alí̱n tiempo sej anne‑itaskej. ¿Ix iní̱n in yej anmotajtantokej amejeme̱n? 
JHN.16.20	Nimitznojma‑ijliáj iga anyawij ancho̱katij iwá̱n anmokno̱matiskej, eꞌ yej aki̱xmatij Dios yawij pa̱kitij. Eꞌ malej iga anmokno̱matitoskej, anyawij ampa̱kitij. 
JHN.16.21	Kua̱ꞌ se̱ siwa̱ꞌ yawi taonolti̱ti, pilkualo̱toꞌ, iga ásiꞌya hora; eꞌ kua̱ꞌ nacé̱roja xo̱lo̱ꞌ ke̱lká̱waya iga pilkualo̱ꞌ, iga pá̱ktoꞌya iga kítaꞌya ixo̱lo̱ꞌ. 
JHN.16.22	Ijkó̱n no̱ amejeme̱n amokno̱matij iná̱n; eꞌ nej nimokuepas iga nimitzitakij sej, iwá̱n anyo̱lpa̱kiskej, iwá̱n ayagaj wel mitzka̱walti̱skej iga ampa̱kij.
JHN.16.23	’Ipan inó̱n día ayꞌya ane̱tajtaniskej nité̱. Nimitznojma‑ijliáj iga toTaj yawi mitzmakatij inewi yej xiktajtanili̱ka̱n iga anmoconfia̱rowaj ipan nej. 
JHN.16.24	Este iná̱n ayá̱ꞌ nemi ankitajtanij nité̱ ipan noto̱ka̱ꞌ; xiktajtanika̱n, iwá̱n mitzmakaskej iga ximelaꞌpa̱kika̱n.
JHN.16.25	Jesús kijtoj:
JHN.16.25	—Nimitzijlijkej nochi iní̱n ka̱n ximi̱xkui̱ti̱ka̱n, eꞌ yawi asiti hora iga ayꞌya nimitzmachti̱skej ka̱n ximi̱xkui̱ti̱ka̱n, iga nimitzmelaꞌta̱tapo̱wi̱skej de toTaj. 
JHN.16.26	Inó̱n día amejeme̱n ankitajtanili̱skej ipan noto̱ka̱ꞌ, iwá̱n ayá̱ꞌ nikijtowa iga nia niktajtanili̱ti toTaj iga amejeme̱n, 
JHN.16.27	iga toTaj mitzpoxcho̱kiliáj. Mitzcho̱kiliáj iga amejeme̱n anne̱cho̱kiliáj, iwá̱n ankicre̱dojkej iga nej niwa̱laj de Dios. 
JHN.16.28	Niki̱saꞌ iyi̱xtaj toTaj iga niwa̱laj ipan iní̱n ta̱jli, eꞌ iná̱n nikajte̱wa iní̱n ta̱jli iga nia sej ka̱n onoꞌ toTaj.
JHN.16.29	Iwá̱n idisci̱polojmej kijtojkej:
JHN.16.29	—Iná̱n sí nemi anne‑ijliáj yej wel nikentende̱rowaj, ayejoꞌ ka̱n manimi̱xkui̱ti̱ka̱n. 
JHN.16.30	Iná̱n nikitaj iga nochi tikmati, iwá̱n ayꞌ kineki iga agaj mamitztajtani, inó̱n iga nicre̱dowaj iga tiwa̱laj ka̱n onoꞌ Dios.
JHN.16.31	Jesús kijtoj:
JHN.16.31	—¿Iná̱n ankicre̱dówaja? 
JHN.16.32	Pues ásiya la hora, iwá̱n ina̱nya nokta kua̱ꞌ amejeme̱n ampa̱payi̱niskej iwá̱n nijnijiga anya̱skej, iwá̱n anne̱senkokajte̱waskej. Eꞌ ayá̱ꞌ nose̱lti nonos, toTaj onoꞌ nowa̱n. 
JHN.16.33	Nimitzijliáj iní̱n iga xonoka̱n tamelá̱ iga anse̱titókeja nowa̱n. Ipan iní̱n ta̱jli amejeme̱n yawij mitzikno̱chi̱watij; eꞌ xiksenta̱li̱ka̱n amoa̱lmaj ipan nej, nej nikta̱nílija nochi yej onoꞌ ipan iní̱n ta̱jli.
JHN.17.1	Kua̱ꞌ tamiꞌ iní̱n kijtoj, Jesús tacháꞌ cie̱lojkóbapa iwá̱n kijtoj:
JHN.17.1	—NoTaj, ásiꞌya hora. Xikweyimati̱lti moPiltzi̱n, iga nej yej moPiltzi̱n no̱ manimitzweyimati̱lti. 
JHN.17.2	Puej tej tikchij iga moPiltzi̱n makipiá poder ipan inewi gente, puej tej tikmáꞌ iga wel makijto iga nochi yej tej tikmáꞌ nochipa maonoka̱n wa̱n tej. 
JHN.17.3	Iga se̱ maono nochipa mowa̱n, kineki mamitzi̱xmati, tej yej mosé̱ltisan timelaꞌDio̱s, iwá̱n nej Jesucristo yej tej tikti̱tan.
JHN.17.4	’Nej nimitzweyimatí̱ltija nij ipan iní̱n ta̱jli, iwá̱n niktámija yej tine̱ti̱tan manikchi̱waki. 
JHN.17.5	NoTaj, iná̱n xine̱maka inó̱n poder yej nikpiaya kua̱ꞌ nonoya mowa̱n kua̱ꞌ aya teyá ta̱jli.
JHN.17.6	’Ini̱mej yej tiktapejpen ipan iní̱n ta̱jli iwá̱n tine̱máꞌ iga mane̱tokaka̱n, nikmati̱ltíjkeja a̱ꞌyéj tej. Tejpa katka motatki, iwá̱n tej tine̱máꞌ, iwá̱n kichijkej ken kijtowa motájto̱l. 
JHN.17.7	Iná̱n kimatij iga inewi yej nikpiá, tej tine̱máꞌ. 
JHN.17.8	Puej nikpowilij motájto̱l yej tej tine̱máꞌ, iwá̱n yejeme̱n kiye̱ꞌkuikej. Kicre̱dójkeja iga tej nokta tine̱ti̱tan.
JHN.17.9	’Nimitztajtaniliá iga yejeme̱n; ayá̱ꞌ nimitztajtaniliá iga yej ayá̱ꞌ mitzi̱xmatij, sino que iga ino̱mej yej tine̱máꞌ iga tej motatki. 
JHN.17.10	Inewi yej notatki, tej no̱ motatki, iwá̱n yej motatki, notatki no̱; ne̱weyimati̱ltiáj iga yejeme̱n moconfia̱rowaj ipan nej.
JHN.17.11	’Nej ayꞌya má̱j nonos ipan iní̱n ta̱jli; eꞌ yejemej kena, ká̱wijoꞌ ipan iní̱n ta̱jli, iwá̱n nej nia iga manono mowa̱n. NoTaj yej mitzajasi iga mamitzweyimati̱lti̱ka̱n, iga mopode̱r xiko̱mema̱wi yej tine̱máꞌ, iga maonoka̱n se̱san iya̱lmajmej kensan tej iwá̱n nej. 
JHN.17.12	Kua̱ꞌ nonoya iwa̱mej ipan iní̱n ta̱jli, nicuida̱rowa̱ya iga mopode̱r ino̱mej yej tej tine̱máꞌ, iwá̱n niko̱mema̱wia̱yaj. Iwá̱n nisé̱ de yejeme̱n apoliwiꞌ, petz inó̱n yej wa̱laj iga yawi melaꞌpoliwiti, iga mamochi̱wa ken kijtowa ka̱n ijkuilijtoꞌ motájto̱l.
JHN.17.13	’Iná̱n nia ka̱n tej tonoꞌ; iwá̱n nikijtowa iní̱n mie̱j nónogoꞌ ipan ta̱jli, iga yejemej no̱ mapa̱kika̱n ken nej nipa̱ktoꞌ. 
JHN.17.14	Nej nikpowilíjkeja motájto̱l, eꞌ yej amitzi̱xmatij kijiyaj yej mitzi̱xmatij, iga yejemej ayoꞌ kichi̱waj ken yej ayá̱ꞌ mitzcre̱dowaj, kensan nej no̱ ayá̱ꞌ nikchi̱wa ken yej ayá̱ꞌ mitzcre̱dowaj. 
JHN.17.15	Ayá̱ꞌ nimitztajtaniliá iga xiki̱xti ipan iní̱n ta̱jli, sino que xikma̱nawi̱ka̱n iga Tzitzimiꞌ amo makina̱ꞌtecho yejemej. 
JHN.17.16	Ijkó̱n ken nej ayá̱ꞌ nikchi̱wa ken yej amitzcre̱dowaj, yejeme̱n no̱ ayá̱ꞌ kichi̱waj ken yej amitzcre̱dowaj. 
JHN.17.17	Motájto̱l melaꞌcie̱rtoj; xikchi̱wa iga kua̱ꞌ kikakij, makisenta̱li̱ka̱n iya̱lmajmej iga makichi̱waka̱n ken tej tikneki. 
JHN.17.18	Ken nej tine̱ti̱tan ka̱n onokej yej ayá̱ꞌ mitzi̱xmatij, ijkó̱n no̱ nikti̱tanij yejeme̱n ka̱n onokej yej ayá̱ꞌ mitzi̱xmatij. 
JHN.17.19	Niksenta̱liá noa̱lmaj iga manikchi̱wa ken tej tikneki. Nikchi̱wa iga yejeme̱n, iga yejemej no̱ makisenta̱li̱ka̱n iya̱lmajmej iga makichi̱waka̱n ken kijtowa motájto̱l yej melaꞌcie̱rtoj.
JHN.17.20	’Ayá̱ꞌ nimitztajtaniliá iga yejémejsan, no̱ iga yej ne̱cre̱dó̱skejoꞌ kua̱ꞌ kikakiskej motájto̱l yej kipowaskej. 
JHN.17.21	Nimitztajtaniliá iga yejemej maonoka̱n se̱san iya̱lmajmej kensan tej tinoTaj, tise̱titokej. Iwá̱n makipiaka̱n se̱san iya̱lmajmej ipan tejemej, iga yej aya mitzi̱xmatij makicre̱do̱ka̱n iga tej tine̱ti̱tan. 
JHN.17.22	Nikmakakej ino̱nsan poder yej tej tine̱máꞌ, iga maonoka̱n ken se̱san, ijkó̱n ken tej iwá̱n nej tise̱titokej. 
JHN.17.23	Nej nonoꞌ ipan yejeme̱n, iwá̱n tej tonoꞌ ipan nej, iga yejemej mamelaꞌse̱tiaka̱n, iwá̱n ijkó̱n yej ayá̱ꞌ mitzi̱xmatij, makimatika̱n iga tej tine̱ti̱tan, iwá̱n tikpoxcho̱kiliáj yejemej kensan nej tine̱cho̱kiliá.
JHN.17.24	’NoTaj, ini̱mej yej ne̱tokaj, tej tine̱máꞌ, nikneki maonoka̱n ka̱n nej nonos, iga makitaka̱n inó̱n weyipode̱r yej tine̱máꞌ; iga tine̱cho̱kilij desde kua̱ꞌ aya mochi̱wa iní̱n ta̱jli. 
JHN.17.25	NoTaj, yej nochipa tikchi̱wa yej ye̱kti, yej amitzcre̱dowaj, ayá̱ꞌ mitzi̱xmatij; eꞌ nej nimitzi̱xmati, iwá̱n ini̱mej yej ne̱tokaj kimatij iga tej tine̱ti̱tan. 
JHN.17.26	Nikne̱xtilíjkeja a̱ꞌyéj tej, iwá̱n ijkó̱n nia nikchijtoti, iga ken tej tine̱cho̱kiliá, ijko̱nsan no̱ yejeme̱n makicho̱kili̱ka̱n sekin iwá̱n mase̱titoka̱n wa̱n nej.
JHN.18.1	Kua̱ꞌ tamiꞌ iní̱n kijtoj, Jesús ki̱saꞌ iwá̱n idisci̱polojmej iga yajkij iyi̱ka̱mpa a̱tzi̱n yej ito̱ka̱ꞌ Cedrón. Ompa onoya se̱ huerto ka̱n Jesús kalaꞌ iwá̱n idisci̱polojmej. 
JHN.18.2	Iwá̱n Judas yej yawi kine̱xti̱ti Jesús iga makiki̱tzki̱ka̱n, no̱ ki̱xmatiá inó̱n huerto iga miaꞌ ve̱j Jesús ompa monechkoj iwá̱n idisci̱polojmej. 
JHN.18.3	Iwá̱n Judas asiko iwá̱n komati solda̱dojmej iwá̱n sekin policiyajmej
JHN.18.4	Eꞌ Jesús kimatiaya te̱ yawij kichi̱wili̱tij, iwá̱n tatajtan:
JHN.18.4	—¿A̱ꞌyéj ankite̱mowaj?
JHN.18.5	Yejeme̱n kijtojkej:
JHN.18.5	—Jesús de Nazaret.
JHN.18.5	Jesús kijtoj:
JHN.18.5	—Nejya nokta.
JHN.18.5	Judas yej nemi kine̱xtiá Jesús iga makiki̱tzki̱ka̱n, ompa no̱ onoya iwá̱n yejemej. 
JHN.18.6	Kua̱ꞌ Jesús kijtoj: “Nejya nokta”, tzi̱ncholojkej iwá̱n wejwetzikej este ipan ta̱jli. 
JHN.18.7	Jesús sej tatajtan:
JHN.18.7	—¿A̱ꞌyéj ankite̱mowaj?
JHN.18.7	Yejeme̱n kijtojkej:
JHN.18.7	—Jesús de Nazaret.
JHN.18.8	Jesús kijtoj:
JHN.18.8	—Nimitzijlíjkeja iga nej nokta. Siga nej anne̱te̱mowaj xikajte̱wáka̱nya ini̱mej iga maya̱ka̱n.
JHN.18.9	Iní̱n mochij iga mamochi̱wa yej Jesús kijlij iTaj: “Yej tine̱máꞌ, nisé̱ ayá̱ꞌ nikpoloj.” 
JHN.18.10	Iwá̱n Simón Pedro kipiaya se̱ espada, kiki̱xtij, iwá̱n kitekilij inakas yej ilá̱dojpa iye̱ꞌma̱ꞌ se̱ yej ito̱ka̱ꞌ Malco, yej itekipanowa̱ni ije̱fej sacerdo̱tejmej. 
JHN.18.11	Eꞌ Jesús kijlij Pedro:
JHN.18.11	—Xikaki sej moespa̱daj pan ikajlo̱ꞌ. Siga toTaj kinekis iga mane‑ikno̱chi̱waka̱n, ¿ix aya̱ꞌtaj mane‑ikno̱chi̱waka̱n?
JHN.18.12	Iwá̱n solda̱dojmej iwá̱n icomanda̱ntejmej iwá̱n judiyojmej ipoliciyajmej, kiki̱tzkijkej Jesús iwá̱n kilpijkej. 
JHN.18.13	Kiwi̱gakej icha̱n Anás yej imontaj Caifás, yej inó̱n año onoya iga ije̱fej sacerdo̱tejmej. 
JHN.18.14	Iní̱n Caifás ino̱nsan yej kijlij judiyojmej iga má̱j ye̱kti mamiki se̱san ta̱gaꞌ iga inochi gente.
JHN.18.15	Simón Pedro iwá̱n seꞌ discípulo kitokatia̱yaj Jesús. Inó̱n seꞌ discípulo ki̱xmatiá ije̱fej sacerdo̱tejmej, inó̱n iga kalaꞌ iwá̱n Jesús ipan ipa̱tioj ije̱fej sacerdo̱tejmej. 
JHN.18.16	Eꞌ Pedro ka̱wiꞌ kalte̱noj. Inó̱n iga inó̱n sewoꞌ discípulo yej ki̱xmati ije̱fej sacerdo̱tejmej ki̱saꞌ iwá̱n tajtoj iwá̱n takotzi̱n yej tacuida̱rojtoya pan kalte̱n, iwá̱n ijkó̱n iga wel kalaꞌ Pedro. 
JHN.18.17	Takotzi̱n kitajtan Pedro:
JHN.18.17	—¿Ayéj tej se̱ idiscí̱poloj Jesús?
JHN.18.17	Pedro kijtoj:
JHN.18.17	—Ayéj, ayéj nej.
JHN.18.18	Puej sektaj katka, tekipanowa̱nimej iwá̱n policiyajmej yej tacuida̱rowaj weyitio̱pan, tita̱lkej, iwá̱n ompa moskojtoyaj. Pedro no̱ ompa ejkatoya iwa̱mej iga moskojtoya.
JHN.18.19	Ije̱fej sacerdo̱tejmej pe̱waꞌ kitajtani Jesús iga de te̱ tamachtia̱ya iwá̱n aja̱ꞌyéj idisci̱polojmej. 
JHN.18.20	Jesús kijtoj:
JHN.18.20	—Nej nitajtoj iyi̱xtaj nochi gente; nochipa nitamachtij tio̱pamej iwá̱n ipan weyitio̱pan yej onoꞌ Jerusalén ka̱n monechkowaj nochi judiyojmej, iwá̱n até̱ nikichtaka‑ijtoj. 
JHN.18.21	¿Te iga nej tine̱tajtani? Xiktajtani yej ne̱kakikej, iwá̱n yejeme̱n makijto̱ka̱n te̱ nikijtoj. Yejeme̱n kimatij te̱ nikijtoj.
JHN.18.22	Kua̱ꞌ Jesús kijtoj iní̱n, se̱ policía yej kicuida̱rowa weyitio̱pan, yej ompa onoya, kixa̱ygatatzi̱n, iwá̱n kijlij:
JHN.18.22	—¿Ijkó̱n tikte̱nkuepiliá ije̱fej sacerdo̱tejmej?
JHN.18.23	Jesús kijtoj:
JHN.18.23	—Siga ayompa nitajtoj, xikijto te̱ nikijtoj yej aye̱kti; eꞌ siga ompay ken nikijtoj, ¿te iga nemi tine̱maga?
JHN.18.24	Iwá̱n Anás kiti̱tan Jesús, ilpitiajki ka̱n manda̱rowa Caifás, yej ijé̱fejpa sacerdo̱tejmej.
JHN.18.25	Mie̱j Pedro ómpasan ejkatoya iga moskojtoya tite̱noj, kitajtankej:
JHN.18.25	—¿In tej ayéj se̱ idiscí̱poloj Jesús?
JHN.18.25	Pedro kijtoj iga ayá̱ꞌ ki̱xmati Jesús, kijtoj:
JHN.18.25	—Ayá̱ꞌ, ayéj nej.
JHN.18.26	Iwá̱n kitajtan itekipanowa̱ni ijé̱fejpa sacerdo̱tejmej iparie̱ntej inó̱n ta̱gaꞌ yej kinagastajkolojka Pedro:
JHN.18.26	—¿Ix animitzitaꞌ iga íwa̱n tonoya ipan huerto?
JHN.18.27	Pedro kijtoj sej iga aki̱xmati, iwá̱n íkua̱ꞌya takui̱gaꞌ ka̱yo.
JHN.18.28	Iwá̱n kiki̱xtijkej Jesús icha̱n Caifás iga kiwi̱gakej ipan palacio ka̱n onoꞌ gobernador yej ito̱ka̱ꞌ Pilato. Íkua̱ꞌ tane̱stiwi̱tziayay, judiyojmej ayá̱ꞌ kalakikej ipan palacio igakiꞌ wel kimopaj
JHN.18.29	Inó̱n iga Pilato ki̱saꞌ iga tajtoj iwa̱mej; iwá̱n kijtoj:
JHN.18.29	—¿In iní̱n ta̱gaꞌ te̱ kichij yej aye̱kti?
JHN.18.30	Yejemej kijtojkej:
JHN.18.30	—Siga iní̱n katka ayá̱ꞌ kichij yej aye̱kti, ayá̱ꞌ katka nimitzwajliguilia̱yaj.
JHN.18.31	Pilato kijtoj:
JHN.18.31	—Xikui̱gaka̱n amejeme̱n iwá̱n xikchi̱wili̱ka̱n ijkó̱n ken tatekimaka amoleymej.
JHN.18.31	Judiyojmej kijtojkej:
JHN.18.31	—Eꞌ nejemej nijudiyojmej ne̱manda̱rówajsan
JHN.18.32	Ijkó̱n mochij yej Jesús kijtoj iga ken iga yawi mikiti. 
JHN.18.33	Pilato sej kalaꞌ ipan palacio, kino̱tzaꞌ Jesús iwá̱n kitajtan:
JHN.18.33	—¿Ix tejya in irre̱y judiyojmej?
JHN.18.34	Jesús kijtoj:
JHN.18.34	—¿Ix pan tejsan ijkó̱n tine̱tajtani o agaj mitzta̱tapo̱wij de nej?
JHN.18.35	Pilato kijtoj:
JHN.18.35	—Tikmati iga ayéj nijudiyoj. Yej mogé̱ntejpa iwá̱n ije̱fejmej sacerdo̱tejmej mitzka̱wakoj nij no‑i̱xtaj. ¿Te̱taj tikchij yej aye̱kti?
JHN.18.36	Iwá̱n Jesús kijtoj:
JHN.18.36	—Ka̱n nirreina̱rowa ayéj ipan iní̱n ta̱jli. Siga ijkó̱n katka, yej ne̱tokaj wel ne̱ma̱nawia̱yaj iga amo mane̱ki̱tzki̱ka̱n judiyojmej. Eꞌ norre̱inoj ayá̱ꞌ onoꞌ nigaj.
JHN.18.37	Iwá̱n Pilato kijtoj:
JHN.18.37	—¿In tejtaj se̱ rey?
JHN.18.37	Jesús kijtoj:
JHN.18.37	—Nej nirre̱y, ken tej tikijtowa. Nej inó̱n iga ninace̱roj iwá̱n niwa̱laj ipan iní̱n ta̱jli iga nikijto̱ko yej melá̱ꞌ nokta. Nochi yej ki̱xmatij iwá̱n kijtowaj yej melaꞌcie̱rtoj, ne̱tajto̱lkakij.
JHN.18.38	Pilato kijtoj:
JHN.18.38	—¿Te̱ iteki in yej melaꞌcie̱rtoj?
JHN.18.38	Kua̱ꞌ tamiꞌ kitajtajtan, Pilato sej ki̱saꞌ iga tajto̱to iwá̱n judiyojmej, iwá̱n kijtoj:
JHN.18.38	—Nej ayá̱ꞌ nikasiliá siga iní̱n ta̱gaꞌ kichij yej aye̱kti. 
JHN.18.39	Eꞌ amejeme̱n nochipa ankitekimajkawaj se̱ preso kua̱ꞌ iyilwiyo la Pascua, ¿iná̱n, ix ankinekij manikmajka̱wa irre̱y judiyojmej?
JHN.18.40	Iwá̱n sej nochi tzajtzikej:
JHN.18.40	—¡Inó̱n amo xikmajka̱wa! ¡Xikmajka̱wa Barrabás!
JHN.18.40	Eꞌ Barrabás se̱ yej tachteki.
JHN.19.1	Iwá̱n Pilato tatekimáꞌ iga makimagaka̱n Jesús. 
JHN.19.2	Solda̱dojmej kita̱lilijkej ipan itzontekon Jesús se̱ corona
JHN.19.3	Iwá̱n kina̱ꞌtechojkej iga kijli̱toj:
JHN.19.3	—¡Nimitzweyimati̱ltiáj tej iRre̱y judiyojmej!
JHN.19.3	Iwá̱n kixa̱ygatatzi̱nkej.
JHN.19.4	Pilato ki̱saꞌ sej, iwá̱n kijtoj:
JHN.19.4	—Taꞌ xikitaka̱n, niki̱xtij iga xikmatika̱n iga ayá̱ꞌ nikasiliá siga kichij yej aye̱kti.
JHN.19.5	Iwá̱n ki̱saꞌ Jesús iwá̱n icoro̱naj yej chijtoꞌ iga witzti ipan itzontekon iwá̱n kakijtia̱ya tzótzol yej chi̱ltiꞌ yej este a̱cha̱potiꞌ. Pilato kijtoj:
JHN.19.5	—¡Nija onoꞌ in iní̱n ta̱gaꞌ!
JHN.19.6	Kua̱ꞌ kitakej ije̱fejmej sacerdo̱tejmej iwá̱n policiyajmej, pe̱wakej iga tzajtzikej:
JHN.19.6	—¡Xikmikti ipan cruz! ¡Xikmikti ipan cruz!
JHN.19.6	Pilato kijtoj:
JHN.19.6	—Puej xikui̱gáka̱nya iwá̱n xikmikti̱ka̱n ipan cruz amejeme̱n, nej ayá̱ꞌ nikasiliá siga kichij yej aye̱kti.
JHN.19.7	Eꞌ judiyojmej kijtojkej:
JHN.19.7	—Nejeme̱n nikpiáj se̱ ley, inó̱n ley kijtowa iga yawi mikiti, iga igá̱najsan mojlia̱ya iga yéj iPiltzi̱n Dios.
JHN.19.8	Kua̱ꞌ iní̱n kikáꞌ Pilato, ma̱jya majmawiꞌ. 
JHN.19.9	Kalaꞌ sej al palacio iwá̱n kitajtan Jesús:
JHN.19.9	—¿Ká̱ntaj in tej mocha̱n?
JHN.19.9	Eꞌ Jesús até̱ kijtoj.
JHN.19.10	Iwá̱n Pilato kijtoj:
JHN.19.10	—¿Iwá̱n aya̱ꞌtaj tine̱no̱tza? ¿Ix ayá̱ꞌ tikmati iga nej wel nitatekimaka iga mamitzmikti̱ka̱n ipan cruz iwá̱n wel no̱ nimitzmajka̱wa?
JHN.19.11	Jesús kijtoj:
JHN.19.11	—Awel tikchi̱wa nité̱ ipan nej siga Dios ayá̱ꞌ kineki; inó̱n iga yej nij ne̱ka̱wakoj mo‑i̱xtaj, má̱j kichijkej yej aye̱kti que tej.
JHN.19.12	Desde íkua̱ꞌ Pilato kite̱mowa̱ya ken iga makimajka̱wa Jesús; eꞌ judiyojmej tzajtzikej:
JHN.19.12	—¡Siga tikmajka̱wa, tej ayéj iyami̱goj el rey César!
JHN.19.13	Kua̱ꞌ Pilato iní̱n kikáꞌ, tatekimáꞌ iga makiki̱xti̱ka̱n Jesús, iwá̱n Pilato mota̱lij ipan iweyi‑asie̱ntoj ka̱n manda̱rowa, ompa ka̱n ipan hebreo ito̱ka̱ꞌ Gabata, yej kijto̱jneki piso de teꞌti. 
JHN.19.14	Inó̱n mochij kua̱ꞌ kipolowa̱ya se̱ día iga mochi̱wa iyilwi la Pascua, ken tajkodía. Iwá̱n Pilato kijlij judiyojmej:
JHN.19.14	—¡Nigaj onoꞌ amorre̱y!
JHN.19.15	Eꞌ yejeme̱n tzajtzikej:
JHN.19.15	—¡Mamiki! ¡Mamiki! ¡Xiclavá̱ropa ipan cruz!
JHN.19.15	Pilato tatajtan:
JHN.19.15	—¿Ix nikmiktiá ipan cruz amorre̱y?
JHN.19.15	Eꞌ ije̱fej sacerdo̱tejmej kijtoj:
JHN.19.15	—Nejeme̱n ayá̱ꞌ nikpiáj seꞌ rey, petz isé̱ltisan rey César.
JHN.19.16	Iwá̱n pilato kentrega̱roj Jesús iga makimikti̱ka̱n ipan cruz, iwá̱n yejemej kiwi̱gakej.
JHN.19.17	Iwá̱n Jesús ki̱saꞌ, kiwi̱gaya icru̱z iga yajki ka̱n ito̱ka̱ꞌ Kuaomiꞌ, ipan hebreo kijliáj Gólgota. 
JHN.19.18	Ompa kiclava̱rojkej Jesús ipan cruz. No̱ kiclava̱rojkej ite̱noj o̱me tajta̱gaꞌ ipan sejsé̱ icru̱z, se̱ de cada lado, Jesús onoya tatajkoya̱n. 
