MAT.1.1	Ni rguixogueꞌn quie ja xuzixtaꞌo Jesucristo. Naca Abraham len rey David xuzixtaꞌo Jesucristo. 
JHN.11.2	LëMaría naꞌ uyonëꞌ dza naꞌte yelatonëꞌ aceite rlaꞌ z̃ixi z̃eo niꞌa Jesús. Ude naꞌ besebidyinëꞌn conlë guitzaꞌ guichonëꞌ. 
JHN.11.3	Canaꞌ guca useꞌelaꞌ rupa zan Lázaro tu benꞌ uyo ganꞌ zu Jesús unëꞌ rëbinëꞌ lëbëꞌ:
JHN.11.3	―Señor, raca z̃hueꞌ Lázaro, benꞌ naca amigo quioꞌ.
JHN.11.4	Bëꞌ be Jesús ca una benꞌ naꞌ, naꞌ unëꞌ rëbinëꞌ lëbëꞌ:
JHN.11.4	―Ca naca yelaꞌ hueꞌ racanëꞌ, bisuen gutin lëbëꞌ. Raca z̃hueꞌnëꞌ tacuenda uluꞌen ca naca yelaꞌ huaca quie Diuzi, lente yelaꞌ huaca quiaꞌ nëꞌëdiꞌ z̃iꞌi Diuzi. ―Canaꞌ una Jesús rëbinëꞌ lëbëꞌ.
JHN.11.5	Baꞌalaꞌcazi nedyëꞌëtzegue Jesús Lázaro len Marta len z̃ilanëꞌ María, 
JHN.11.6	bilaoyotenëꞌ caora benëꞌ raca z̃hueꞌ Lázaro. Begaꞌnnëꞌ uzurëꞌ ichopa dza ganꞌ zuëꞌ. 
JHN.11.7	Guca lao chopa dza unëꞌ rëbinëꞌ yaca benꞌ quienëꞌ:
JHN.11.7	―Uletzaꞌ tzioro tatula estado Judea.
JHN.11.8	Naꞌra una yaca benꞌ quie Jesús rëbiyaquëꞌ lëbëꞌ:
JHN.11.8	―Maestro, ta zaracagazi guꞌun yaca benꞌ quiyaquëꞌ luëꞌ yo ganꞌ naoꞌ tzioro. Naꞌ biz̃i luëꞌ, ¿reꞌenloꞌ tzioro tatula?
JHN.11.9	Biz̃i una Jesús rëbinëꞌ leyaquëꞌ:
JHN.11.9	―Nuꞌacazi chipchopa hora lao tu dza. Chi raꞌo rdaro te dza, bichaꞌoro danꞌ rseniꞌ xniꞌ obidza. 
JHN.11.10	Pero chi raꞌo rdaro lao chula, decazide huachaꞌoro, danꞌ birseniꞌ xniꞌ obidza ilëꞌëro.
JHN.11.11	Te beyudyi una Jesús canaꞌ, naꞌra unëꞌ rëbinëꞌ yaca benꞌ quiëꞌ:
JHN.11.11	―Benꞌ amigo quiero Lázaro, barasinëꞌ, pero huayaꞌa usebiaꞌnëꞌ.
JHN.11.12	Naꞌra una yaca benꞌ quienëꞌ rëbiyaquëꞌ lëbëꞌ:
JHN.11.12	―Señor, chi lëbëꞌ rasizinëꞌ, hueyacanëꞌ.
JHN.11.13	Pero unë Jesús canꞌ danꞌ baguti Lázaro, cala rasizinëꞌ. Biz̃i raque yaca benꞌ quienëꞌ de que rasizi Lázaro. 
JHN.11.14	Naꞌra una Jesús dyëꞌëdi rëbinëꞌ leyaquëꞌ:
JHN.11.14	―Baguticazi Lázaro. 
JHN.11.15	Redaohuedaꞌ danꞌ biuzuaꞌ naꞌ ta ilëꞌëdaꞌ cati guti Lázaro. Redaohuedaꞌ danꞌ cabëꞌ guca quienëꞌ nacan ta gacalën leꞌe ta galerale quiaꞌ nëꞌëdiꞌ. Pues naꞌ uletzaꞌ tzioro ganꞌ denëꞌ.
JHN.11.16	Biz̃i Tomás, benꞌ uxubayaquëꞌ laohue benꞌ guidiꞌ, unëꞌ gudyinëꞌ laguedyinëꞌ, benꞌ quie Jesús:
JHN.11.16	―Uletzaꞌ tziolëronëꞌ ta gatilëronëꞌ tzaz̃e.
JHN.11.17	Caora bdyin Jesús ganꞌ, bazio lao tapa dza babgachiꞌla Lázaro luꞌu beló yo. 
JHN.11.18	Yedyi Betania regaꞌn gaꞌalaꞌ ga reꞌ ciudad Jerusalén. Nacan chopa legua yugatzo. 
JHN.11.19	Zë yaca benꞌ Israel uyoyaquëꞌ ganꞌ nitaꞌ Marta len María, reyuez̃eyaquëꞌ leyaquëꞌ danꞌ guti zanyaquëꞌ. 
JHN.11.20	Bëꞌ be Marta bazaꞌ Jesús, naꞌ uyoguëꞌ yelezanëꞌ lëbëꞌ. Pero María begaꞌnnëꞌ z̃an yuꞌu quienëꞌ. 
JHN.11.21	Naꞌra una Marta rëbinëꞌ Jesús:
JHN.11.21	―Señor, chanꞌ zucaloꞌ laoꞌ nëtoꞌ niga, beyaca Lázaro zanndoꞌ, bigutinëꞌ. 
JHN.11.22	Nezdaꞌ yugulu ta inaboꞌ Diuzi, guncazinëꞌn luëꞌ.
JHN.11.23	Naꞌra una Jesús rëbinëꞌ lëbëꞌ:
JHN.11.23	―Biꞌ zanle huebannëꞌ tatula.
JHN.11.24	Naꞌ bequëbi Marta rëbinëꞌ Jesús:
JHN.11.24	―Banezdaꞌ hueban biꞌ zanaꞌ dza iyudyi lao yedyi layu, dza yeban yugulu yaca benꞌ baguti.
JHN.11.25	Biz̃i una Jesús rëbinëꞌ lëbëꞌ:
JHN.11.25	―Nëꞌëdiꞌ nacaꞌ benꞌ useban yaca benꞌ huati, yeyuꞌayaquëꞌ yelaꞌ neban tatula. Con nu benëꞌ gale quiaꞌ, baꞌalaꞌcazi gatiyaquëꞌ, huebanyaquëꞌ tatula. 
JHN.11.26	Niaꞌ luëꞌ yaca benꞌ neban, yaca benꞌ rale quiaꞌ, tuzioli bitziojëꞌ lao guiꞌ gabila. ¿Baguleloꞌ canꞌ baoniaꞌ?
JHN.11.27	Naꞌra una Marta rëbinëꞌ Jesús:
JHN.11.27	―Señor, raledaꞌ quioꞌ luëꞌ nacoꞌ benꞌ Cristo, z̃iꞌi Diuzi. Luëꞌ nacoꞌ benꞌ una Diuzi iseꞌelaꞌnëꞌ lao yedyi layu. ―Canaꞌ unëꞌ rëbinëꞌ Jesús.
JHN.11.28	Ude beyudyi una Marta canꞌ, uzëꞌë yeguëdyinëꞌ benꞌ z̃ilanëꞌ María. Unëꞌ diꞌidzaꞌ balanzi rëbinëꞌ lëbëꞌ:
JHN.11.28	―Bazaꞌ Maestro, guëz̃inëꞌ luëꞌ.
JHN.11.29	Ca be María ca una Marta, laozaꞌtenëꞌ zionëꞌ ganꞌ zë Jesús. 
JHN.11.30	Binetzuꞌu Jesús laꞌo yedyi. Tu neza nenitaꞌlënëꞌ yaca benꞌ quiëꞌ ga bedilanëꞌ Marta. 
JHN.11.31	Yaca benꞌ bdyin z̃an yuꞌu, caora blëꞌëyaquëꞌ uzuli María uzaꞌnëꞌ zionëꞌ taria, lëscanꞌ uz̃iꞌrëyaquëꞌ xnezayaquëꞌ zioyaquëꞌ naoyaquëꞌ lëbëꞌ. Guqueyaquëꞌ chi zionëꞌ cuedyinëꞌ ganꞌ pcachiꞌyaquëꞌ Lázaro.
JHN.11.32	Biz̃i cati bdyin María ganꞌ zë Jesús, uditzu z̃ibinëꞌ lao Jesús, unëꞌ rëbinëꞌ lëbëꞌ:
JHN.11.32	―Señor, chanꞌ zucaloꞌ laoꞌ nëtoꞌ niga, beyaca Lázaro zanndoꞌ, bigutinëꞌ.
JHN.11.33	Biz̃i cati blëꞌë Jesús rbedyi María len yaca benꞌ zio nao lëbëꞌ, rdëbinëꞌ guca beyëchiꞌ luꞌu laxtaꞌonëꞌ. 
JHN.11.34	Naꞌra una Jesús rëbinëꞌ leyaquëꞌ:
JHN.11.34	―¿Ga mero pcachiꞌlenëꞌ?
JHN.11.34	Naꞌ biz̃i unayaquëꞌ:
JHN.11.34	―Señor, yaꞌ ilëꞌëloꞌ.
JHN.11.35	Biz̃i naꞌ uredyi Jesús. 
JHN.11.36	Naꞌra una yaca benꞌ ziorë nao:
JHN.11.36	―Ulenaꞌ, lega nedyëꞌënëꞌ lëbëꞌ.
JHN.11.37	Biz̃i bala yaca benꞌ ziolë leyaquëꞌ unayaquëꞌ:
JHN.11.37	―Benꞌ niga bënëꞌ ta belëꞌë benꞌ birlëꞌë, ¿cómo naꞌ bibi bënëꞌ ta iyaca Lázaro ta bigatinëꞌ?
JHN.11.38	Biz̃i Jesús racatzeguenëꞌ beyëchiꞌ tatula. Naꞌ ubigaꞌnëꞌ bago ruꞌa beló yo ganꞌ pcachiꞌyaquëꞌ Lázaro. Naꞌ daꞌ tu yo z̃e ruꞌa beló. 
JHN.11.39	Lenaꞌ una Jesús rëbinëꞌ leyaquëꞌ:
JHN.11.39	―Ulecuba yo daꞌ ruꞌa beló.
JHN.11.39	Biz̃i Marta, zan benꞌ huati, unëꞌ rëbinëꞌ Jesús:
JHN.11.39	―Señor, bazio lao tapa dza gutinëꞌ, barlaꞌnëꞌ zigo.
JHN.11.40	Naꞌra una Jesús rëbinëꞌ lëbëꞌ:
JHN.11.40	―¿Cala baoniaꞌ luëꞌ, chi raleloꞌ canꞌ baoniaꞌ, hualëꞌëloꞌ hue Diuzi yelaꞌ huaca quienëꞌ?
JHN.11.41	Caora naꞌ udubayaquëꞌ yo daꞌ ruꞌa beló. Biz̃i naꞌ unaꞌ Jesús sibi ladza, blidzanëꞌ Diuzi:
JHN.11.41	―Xuzaꞌ, diuxcaleloꞌ danꞌ reloꞌ cati niaꞌ luëꞌ. 
JHN.11.42	Nezcazidaꞌ reloꞌ cati rniaꞌ luëꞌ. Pero por nun quie yaca benꞌ nitaꞌ niga, lenaꞌ bëꞌliaꞌ luëꞌ diꞌidzaꞌ zaquëꞌlao laoyaquëꞌ tacuenda uzënagayaquëꞌ ineziyaquëꞌ luëꞌ useꞌeloꞌ nëꞌëdiꞌ.
JHN.11.43	Ude beyudyi unë Jesús canꞌ, naꞌ unëꞌ zidzo unëꞌ:
JHN.11.43	―Lázaro, bero ganꞌ deloꞌ naꞌ.
JHN.11.44	Caora naꞌ bero Lázaro ganꞌ denëꞌ. Nedubi laꞌariꞌ naꞌanëꞌ len niꞌanëꞌ. Lëzi bdaco laꞌariꞌ laohuëꞌ. Naꞌra una Jesús rëbinëꞌ leyaquëꞌ:
JHN.11.44	―Ulexëdyi laꞌariꞌ dubi naꞌanëꞌ len niꞌanëꞌ. Ulesannëꞌ yeyoguëꞌ.
JHN.11.45	Yaca benꞌ ziolë María ganꞌ, blëꞌëyaquëꞌ cabëꞌ bë Jesús besebannëꞌ Lázaro. Lëcanaꞌ yaca benꞌ zë guleyaquëꞌ quienëꞌ. 
JHN.11.46	Biz̃i balayaquëꞌ uyoyaquëꞌ yetixogueꞌyaquëꞌ yaca benꞌ partido fariseo cabëꞌ bë Jesús. 
JHN.11.47	Naꞌra yaca benꞌ partido fariseo len yaca xanꞌ pxuzi bedupayaquëꞌ bëyaquëꞌ junta len yaca los demás benꞌ rnabëꞌ. Naꞌra unayaquëꞌ rëbiyaquëꞌ laguedyiyaquëꞌ:
JHN.11.47	―¿Ca biz̃i huero quie benꞌ naꞌ? Lega ruenëꞌ yelaꞌ huaca ta binelëꞌëro. 
JHN.11.48	Chi hueꞌroguëꞌ lato tanëꞌ huenëꞌ canꞌ, naꞌ huanao yaca benꞌ zë lënëꞌ. Biz̃i huadzaꞌ yaca benꞌ rnabëꞌ quie benꞌ romano, huaseꞌelaꞌyaquëꞌ soldado udyiaguiꞌyaquëꞌ idaoꞌ rnabëꞌra quiero lente ciudad quiero. ―Canaꞌ unayaquëꞌ rëbiyaquëꞌ laguedyiyaquëꞌ.
JHN.11.49	Biz̃i benꞌ naca xanꞌ pxuzi lëiza naꞌ, benꞌ lao Caifás, unëꞌ gudyinëꞌ leyaquëꞌ:
JHN.11.49	―Leꞌe netondole ca diꞌidzaꞌ rnale. 
JHN.11.50	Nica nenezile nacaran dyaꞌa quiero gati tuzi benëꞌ lao laza yaca benꞌ yedyi, cala ca ta gati yuguluro. ―Canaꞌ una Caifás.
JHN.11.51	Danꞌ lëiza naꞌ nacanëꞌ xanꞌ pxuzi unëꞌ canꞌ. Pero cala cuenta quienëꞌ unëꞌ canꞌ. Biunezinëꞌ unëꞌ cuenta quie Diuzi cati unëꞌ gati Jesús lao laza yaca benꞌ Israel. 
JHN.11.52	Pero cala tuzi lao laza benꞌ Israel gati Jesús, lëscanꞌ gati Jesús lao laza yugulu yaca benꞌ gale quienëꞌ, yaca benꞌ nedzatza nitaꞌ yaca yedyi tula. 
JHN.11.53	Lëdza naꞌ psaque yaca benꞌ rnabëꞌ quie benꞌ Israel ca hueyaquëꞌ gutiyaquëꞌ Jesús.
JHN.11.54	Canaꞌ guca bira uda Jesús zaquëꞌlao len yaca benꞌ Israel. Tanaꞌ uzëꞌë estado Judea zioguëꞌ yedyi lao Efraín ga nacan gaꞌalaꞌ lao lato ga bidyia yuꞌu. Lëganꞌ naꞌ begaꞌnlënëꞌ yaca benꞌ quiëꞌ.
JHN.11.55	Baruen bago ta hueyaquëꞌ lani ta rezaꞌlaꞌadyiꞌyaquëꞌ quie xuzixtaꞌoyaquëꞌ caora broyaquëꞌ nación Egipto. Tanaꞌ lenaꞌ yaca benꞌ zë, yaca benꞌ yedyi, uzaꞌyaquëꞌ zioyaquëꞌ ciudad Jerusalén ta yeyëriyaquëꞌ cuinyaquëꞌ lao Diuzi según costumbre quieyaquëꞌ. 
JHN.11.56	Naꞌra yaca benꞌ naꞌ rdayaquëꞌ reguiloyaquëꞌ Jesús. Caora rioyaquëꞌ luꞌu idaoꞌ rnabëꞌra, naꞌ unayaquëꞌ rëbiyaquëꞌ laguedyiyaquëꞌ:
JHN.11.56	―¿Biz̃i raquele? ¿Huida Jesús lani, o chi biguidanëꞌ?
JHN.11.57	Canaꞌ guca bë yaca benꞌ partido fariseo len yaca xanꞌ pxuzi mandado gudyiyaquëꞌ benëꞌ con nu yaca benꞌ ilëꞌë Jesús laquixogueꞌteyaquëꞌ leyaquëꞌ tacuenda guxuyaquëꞌ lëbëꞌ hueyaquëꞌ lëbëꞌ preso.
JHN.12.1	Zaidyinla lao xopa dza gaꞌalaꞌ lani cati rezaꞌlaꞌadyiꞌyaquëꞌ quie xuzixtaꞌoyaquëꞌ. Caora naꞌ uzaꞌ Jesús uyoguëꞌ yedyi Betania ganꞌ zu Lázaro, benꞌ baguti, pero beseban Jesús lëbëꞌ. 
JHN.12.2	Lëganꞌ naꞌ psiñaꞌayaquëꞌ yelaꞌ huao ta gapayaquëꞌ Jesús balaꞌana. Caora naꞌ bë Marta laze ta udaoyaquëꞌ, naꞌ udaorë Lázaro tuz̃e len leyaquëꞌ. 
JHN.12.3	Naꞌra uz̃iꞌ María gatzo litro aceite rlaꞌ z̃ixi z̃eo ta rbioyaquëꞌ yo lao nardo. Lëaceite naꞌ bibi nequixin, zacaꞌn zaꞌalaꞌ gula. Biz̃i naꞌ blëpinëꞌn niꞌa Jesús, naꞌ uz̃iꞌnëꞌ guitzaꞌ guichonëꞌ blaꞌonëꞌn aceite laꞌo niꞌa Jesús. Canaꞌ bedu luꞌu yuꞌu ureꞌ be z̃eo gula. 
JHN.12.4	Naꞌra una tu benꞌ quie Jesús laonëꞌ Judas Iscariote. Lëbëꞌ naquëꞌ z̃iꞌi tu benꞌ lao Simón. Naꞌ baꞌalaꞌcazi naquëꞌ benꞌ quie Jesús, lëlëbëꞌ usedyinnëꞌ Jesús lao naꞌa yaca benꞌ guti lëbëꞌ. Naꞌ una Judas rëbinëꞌ leyaquëꞌ:
JHN.12.5	―¿Bixquienꞌ bibëtiꞌguëꞌ aceite rlaꞌ z̃ixi z̃eo, danꞌ zacaꞌn tzona gayuhua dumi denario tacuenda siꞌnëꞌ dumi quien hueꞌnëꞌn yaca benꞌ yëchiꞌ?
JHN.12.6	Canaꞌ una Judas, pero bireyëchiꞌlaꞌadyiꞌnëꞌ quie yaca benꞌ yëchiꞌ. Rdëbinëꞌ quie dumi, danꞌ naquëꞌ benꞌ uban. Rapanëꞌ bolsa yuꞌu dumi tacuenda saqueꞌ cuannëꞌ dumi yuꞌu luꞌu bolsa naꞌ. 
JHN.12.7	Naꞌra una Jesús rëbinëꞌ Judas:
JHN.12.7	―Psan quienëꞌ. Pues baodyialaonëꞌ bënëꞌ quie dza gatiaꞌ igachaꞌ. 
JHN.12.8	Nitaꞌcazi benꞌ yëchiꞌ lao yedyi layu yugu dza, pero nëꞌëdiꞌ, itu chopa dzazi zuliaꞌ leꞌe.
JHN.12.9	Yaca benꞌ zë, yaca benꞌ Israel, caora uneziyaquëꞌ bazu Jesús yedyi Betania, uzaꞌyaquëꞌ uyoyaquëꞌ ganꞌ zunëꞌ. Uyoyaquëꞌ yenaꞌyaquëꞌ lëbëꞌ len Lázaro, benꞌ baguti, pero beseban Jesús lëbëꞌ. 
JHN.12.10	Naꞌra yaca benꞌ xanꞌ pxuzi bapsaqueyaquëꞌ bi hueyaquëꞌ ta gutirëyaquëꞌ Lázaro. 
JHN.12.11	Canaꞌ psaqueyaquëꞌ, danꞌ barale zë yaca benꞌ Israel quie Jesús por nun quie danꞌ psebannëꞌ Lázaro. Canaꞌ bira bë yaca benꞌ yedyi naꞌ tzaz̃e len yaca benꞌ rnabëꞌ quieyaquëꞌ, pero guleyaquëꞌ quie Jesús.
JHN.12.12	Yaca benꞌ zë gula uyoyaquëꞌ ciudad Jerusalén ga raca lani ta rezaꞌlaꞌadyiꞌyaquëꞌ quie xuzixtaꞌoyaquëꞌ. Biz̃i bezu dza tula uneziyaquëꞌ huadyin Jesús lani ciudad Jerusalén. 
JHN.12.13	Caora naꞌ uchugoyaquëꞌ laꞌagaꞌ palma ta biꞌayaquëꞌ yelezayaquëꞌ Jesús tu neza. Caora bedilayaquëꞌ lëbëꞌ unëyaquëꞌ zidzo:
JHN.12.13	―Benꞌ z̃e gula naca Diuzi. Naca laꞌiya benꞌ uzaꞌ lao xaꞌnro Diuzi. Naca laꞌiya rey quiero, benꞌ Israel.
JHN.12.14	Naꞌra zë tu burra ganꞌ zioguëꞌ. Naꞌ udyia Jesús lëbaꞌ con ca rguixogueꞌn lëꞌë guichi laꞌiya quie Diuzi cani:
JHN.12.15	Leꞌe benꞌ yedyi Sión, biidzebile.
JHN.12.15	Ulenaꞌ bazaꞌ Rey quiele, bdyianëꞌ tu burro.
JHN.12.16	Dza naꞌla biuyoñeꞌe yaca benꞌ quie Jesús con ca rnën lëꞌë guichi laꞌiya quie Diuzi. Pero ude beyudyi gutinëꞌ bebannëꞌ zeyonëꞌ guibá, canaꞌra bezaꞌlaꞌadyiꞌyaquëꞌ con ca rna lëꞌë guichi. Bezaqueyaquëꞌ guca quie Jesús tali con ca rnën lëꞌë guichi naꞌ.
JHN.12.17	Yaca benëꞌ nitaꞌ ganꞌ zë Jesús caora guz̃inëꞌ Lázaro yeronëꞌ luꞌu beló yo besebannëꞌ lëbëꞌ, lëyaca benꞌ naꞌ, udixogueꞌyaquëꞌ ca naca blëꞌëyaquëꞌ bi bë Jesús. 
JHN.12.18	Tanaꞌ lenaꞌ uzaꞌ yaca benëꞌ yedzagayaquëꞌ Jesús tu neza, danꞌ babeyaquëꞌ ca naca quie yelaꞌ huaca babënëꞌ. 
JHN.12.19	Biz̃i yaca benꞌ partido fariseo unayaquëꞌ rëbiyaquëꞌ laguedyiyaquëꞌ:
JHN.12.19	―Bablëꞌëro bira bide huero. Ulenaꞌcara lao yugulute benëꞌ zioyaquëꞌ banaoyaquëꞌ lëbëꞌ.
JHN.12.20	Lado yaca benꞌ nitaꞌ lao lani ciudad Jerusalén, nitaꞌrë bala benꞌ griego. 
JHN.12.21	Leyaquëꞌ ubigaꞌyaquëꞌ bago ga zë Felipe, benꞌ yedyi Betsaida quie estado Galilea, naꞌ unayaquëꞌ rëbiyaquëꞌ lëbëꞌ:
JHN.12.21	―Señor, reꞌenndoꞌ tzeyubindoꞌ Jesús.
JHN.12.22	Naꞌra uyo Felipe ganꞌ zë Andrés gudyinëꞌ lëbëꞌ cabëꞌ una yaca benꞌ griego. Biz̃i naꞌ zio rupayaquëꞌ yetixogueꞌyaquëꞌ Jesús. 
JHN.12.23	Naꞌra una Jesús rëbinëꞌ leyaquëꞌ:
JHN.12.23	―Bagazi idyin hora quiaꞌ nëꞌëdiꞌ, bichi yugulu benëꞌ, huatiaꞌ yebanaꞌ, yeyaꞌa guibá tatula ga uzaꞌa. 
JHN.12.24	Tali ca rniaꞌ leꞌe naꞌa quie bini trigo. Nacacazi tuzin chi bitzuꞌun luꞌu yu guꞌudzon. Pero chi bini razaro yeyuꞌudzon luꞌu yu, hualë laxtaꞌona ta yeyunan bini zë gula. 
JHN.12.25	Canaꞌ nacarë quie yaca benëꞌ. Chi nu benꞌ bireꞌen inao nëꞌëdiꞌ danꞌ ruen z̃udyi initi yelaꞌ neban quienëꞌ, bibi yelaꞌ neban gataꞌ quienëꞌ tuzioli. Pero chi nu benꞌ inao nëꞌëdiꞌ baꞌalaꞌcazi ruen z̃udyi initi yelaꞌ neban quienëꞌ, lëbenꞌ naꞌ decazi yelaꞌ neban quienëꞌ tuzioli. 
JHN.12.26	Chi nu benꞌ reꞌen guida gaca benꞌ quiaꞌ, reyaꞌalaꞌ guidayaquëꞌ inaoyaquëꞌ nëꞌëdiꞌ. Con gatezi tzezuaꞌ, lëzi ganꞌ naꞌ huazurëlëyaquëꞌ nëꞌëdiꞌ. Nu yaca benꞌ gaca benꞌ quiaꞌ, huapalaꞌn Xuzaꞌ leyaquëꞌ.
JHN.12.27	’Baraca yëchiꞌ luꞌu laxtaꞌohuaꞌ. ¿Cabiz̃i iniaꞌ yëpaꞌ Xuzaꞌ? ¿Iniaꞌ yëpaꞌnëꞌ: “Ute uselaoꞌ nëꞌëdiꞌ canꞌ gaca quiaꞌ gatiaꞌ”? Bigacacazi yëpaꞌ Xuzaꞌ canꞌ, porque nun quie lenaꞌ useꞌelaꞌnëꞌ nëꞌëdiꞌ lao yedyi layu. 
JHN.12.28	Xuzaꞌ, uluꞌeloꞌ yaca benëꞌ ca naca yelaꞌ huaca quioꞌ. ―Canaꞌ una Jesús rëbinëꞌ Xuzinëꞌ.
JHN.12.28	Biz̃i beyaquëꞌ de guibáte zaꞌ xchiꞌ Diuzi unëꞌ:
JHN.12.28	―Babluꞌecazaꞌ yaca benëꞌ yelaꞌ huaca quiaꞌ. Tatula huaꞌ yelaꞌ huaca quiaꞌ ta ilëꞌëyaquëꞌ.
JHN.12.29	Biz̃i yaca benꞌ rzënaga nitaꞌyaquëꞌ ganꞌ zë Jesús, caora beyaquëꞌ xchiꞌ Diuzi unayaquëꞌ:
JHN.12.29	―Unë tu huiziuꞌ.
JHN.12.29	Ibalayaquëꞌ unayaquëꞌ:
JHN.12.29	―Tu ángel bëꞌlënë lëbëꞌ diꞌidzaꞌ.
JHN.12.30	Naꞌra una Jesús rëbinëꞌ leyaquëꞌ:
JHN.12.30	―Tahuen naꞌ bë Diuzi quiele unëꞌ bele xchiꞌnëꞌ. 
JHN.12.31	Babdyincazi hora naꞌa uluꞌe Diuzi ca tamala rue yaca benëꞌ. Biz̃i lëcanaꞌ udyiaguiꞌ Diuzi dyin quie xanꞌ taxiꞌibiꞌ. Lëlëna rnabëꞌna yaca benëꞌ nitaꞌ lao yedyi layu niga. 
JHN.12.32	Te yeyudyi udaꞌ yaca benëꞌ nëꞌëdiꞌ lëꞌë yaga cruzo gatiaꞌ, caora naꞌ hueyëz̃aꞌ lao yugulute yaca benëꞌ ta gacayaquëꞌ benꞌ yenao nëꞌëdiꞌ.
JHN.12.33	Una Jesús canꞌ tacuenda inezi yaca benëꞌ cabëꞌ gaca gatinëꞌ. 
JHN.12.34	Naꞌ biz̃i una yaca benëꞌ rëbinëꞌ lëbëꞌ:
JHN.12.34	―Babendoꞌ ca rna yaca benꞌ rulaba guichi yuꞌu ley de que benꞌ Cristo nebancazinëꞌ tuzioli. Naꞌra ¿cómo luëꞌ rnaoꞌ benꞌ naca bichi yugulu benëꞌ gatinëꞌ lëꞌë yaga cruzo? ¿Ca nuz̃ila benꞌ naca bichi yugulu benëꞌ?
JHN.12.35	Naꞌra una Jesús rëbinëꞌ leyaquëꞌ:
JHN.12.35	―Nëꞌëdiꞌ nacaꞌ ca quie tu guiꞌ rseniꞌn ga naca chula. Nezuliaꞌ leꞌe itu chopa dzazi. Reyaꞌalaꞌ huele bala ca rniaꞌ leꞌe naꞌa nezuaꞌ ni len leꞌe cuenda biquixile. Nu benꞌ rda lao lato lao chula, binezinëꞌ ga tzioguëꞌ huaquixinëꞌ xnezëꞌ. 
JHN.12.36	Reyaꞌalaꞌ galele quiaꞌ nacaꞌ ca quie tu guiꞌ rseniꞌn ga naca chula naꞌa nezuaꞌ ni len leꞌe tacuenda gacale benꞌ quiaꞌ, benꞌ rda lao lato lao xniꞌ.
JHN.12.36	Ude beyudyi una Jesús canꞌ, zioguëꞌ pcachiꞌlaonëꞌ, bira blëꞌëjëꞌ gala zionëꞌ.
JHN.12.37	Baꞌalaꞌcazi bë Jesús zë yelaꞌ huaca zaquëꞌlao yaca benëꞌ Israel, bigulecaziyaquëꞌ quienëꞌ. 
JHN.12.38	Guca canꞌ danꞌ decazide uzun diꞌidzaꞌ ca bzu Isaías lëꞌë guichi dza naꞌla. Lëꞌë guichi naꞌ rnën cani:
JHN.12.38	Señor, ¿nuz̃i gale ca naca diꞌidzaꞌ laꞌiya quioꞌ rguixoguiꞌa benëꞌ.
JHN.12.38	¿Nuz̃i bluꞌeloꞌ ca naca yelaꞌ huaca quioꞌ?
JHN.12.38	Canaꞌ una Isaías dza naꞌ.
JHN.12.39	Canaꞌ biguꞌunyaquëꞌ galeyaquëꞌ quie Jesús. Lëscanꞌ bzu Isaías diꞌidzaꞌ lëꞌë guichi rnën cani:
JHN.12.40	Yelaꞌ yeladyiꞌ quieyaquëꞌ bë Diuzi leyaquëꞌ ca quie benꞌ laochula, bënëꞌ zidi luꞌu laxtaꞌoyaquëꞌ,
JHN.12.40	cuenda baꞌalaꞌcazi rlëꞌëyaquëꞌ, gaca quieyaquëꞌ ca benꞌ birlëꞌë, lëscanꞌ cuenda baꞌalaꞌcazi tzuꞌu diꞌidzaꞌ luꞌu guichoyaquëꞌ, gaca quieyaquëꞌ ca benꞌ birioñeꞌe.
JHN.12.40	Canaꞌ biinaoyaquëꞌ xneza Diuzi ta yeyëri laxtaꞌoyaquëꞌ.
JHN.12.41	Canaꞌ una Isaías dza naꞌ danꞌ unezinëꞌ naca Jesús benꞌ rue yelaꞌ huaca quie Diuzi. Quie lenaꞌ unënëꞌ quienëꞌ.
JHN.12.42	Pero gulecazi zë yaca benꞌ Israel, lente yaca benꞌ rnabëꞌ quiejëꞌ guleyaquëꞌ quie Jesús. Pero bibluꞌeyaquëꞌn zaquëꞌlao chi raleyaquëꞌ, danꞌ rdzebiyaquëꞌ yaca benꞌ partido fariseo chi yebioyaquëꞌ leyaquëꞌ luꞌu yaca idaoꞌ sinagoga. 
JHN.12.43	Lenaꞌ rluꞌen raxerayaquëꞌ ca balaꞌana hue yaca benëꞌ len leyaquëꞌ, quele ca balaꞌana hue Diuzi len leyaquëꞌ.
JHN.12.44	Biz̃i unë Jesús zidzo rëbinëꞌ leyaquëꞌ:
JHN.12.44	―Con nu yaca benꞌ rue quie diꞌidzaꞌ quiaꞌ, lëscanꞌ ruerë quieyaquëꞌ diꞌidzaꞌ quie Xuzaꞌ, benꞌ useꞌelaꞌ nëꞌëdiꞌ. 
JHN.12.45	Con nu yaca benꞌ nuebëꞌ nëꞌëdiꞌ, lëscanꞌ nuebëꞌrëyaquëꞌ benꞌ useꞌelaꞌ nëꞌëdiꞌ. 
JHN.12.46	Nëꞌëdiꞌ nacaꞌ ca quie tu guiꞌ rseniꞌn ga naca chula. Nu yaca benꞌ gale quiaꞌ, bitayaquëꞌ lao lato lao chula. Tanaꞌ lenaꞌ bidaꞌ lao yedyi layu. 
