MAT.1.2	Abalaam hako noow Isak, tonde Isak hako Yaakop, tonde Yaakop hako Yuda-so halindin, 
1CO.1.13	Hamambe Kalisi hapok yi la ngeey a? De sa Pol, mak saahimb ak haah pako in saandôôvu ham ondeey ham vaalu nako sa haalengg ak a? Me mak ham alipis bel lak sa haalengg a? 
1CO.1.14	Malis, sa naapêêlis vu Anutu in same aalipis ham ti le, yik saalipis Klispas ayuuh Gaias, yuuh yuu-mu, 
1CO.1.15	om omaaho ti me-lohvu nambe naanêêl naambe soo aalipis ham lak sa haalengg e. 
1CO.1.16	E-ke, de saalipis Stepanas osin vane be noondin having, tonde mak saalipis omaaho ti having mava, sa doosin. 
1CO.1.17	In Kalisi me-wiing sa laam in nambe saanjipis hil e, nganjo wiing sa laam in nambe sa naanêêl banye nivasa langaah, de me-wiingin nambe sa naanêêl vakasin naambe sen omaahonôôn danêêl osin kand e, in naambêênjo ond vakasin sen Kalisi yimb ak haah pakôô-to me-le nôôn jak vu ham e, le naatu va malis.
1CO.1.19	Yik Anutu-te vakasin neep hôôk kaapiya nambe,
1CO.1.19	“Hil alundkook bop ond sale kawiiy silate vakasin na, de hil osin kand ond sale naanêêl naambe silate vakasin ond va malis.”
1CO.1.22	Hil Yuda nindwêêk lôôt in nambe sil lanji taahu taahu niwêêk baandoni-te ond mem, tonde hil Glik lawiingin nambe hil tatekin vakasin osin danggakook pin vu sil ond mem, 
1CO.1.23	le ma de hey naanêêl langaah nambe Kalisi yimb ak haah pako, tombe hil Yuda nind baya, de hil vaalu sen sil-ame Yudaa-to danop ak nambe manyinjo vakasin mali-malis-ambe nôôn ma. 
1CO.1.24	Nganjo yiiy sen Anutu teey yiiy-ato, yik yiiy Yuda de hil vaalu having, ond mem yaahe nambe Kalisi ond Anutu-te niwêêk osin kakook yi. 
1CO.1.25	Keen, omaahonôôn akand navu nambe Anutu ka ma om wiing-ambe Yesu yimb, le ma de ka savok omaahonôôn pin akand la. Tonde omaahonôôn akand navu nambe Anutu niwêêk ma, le ma de yite niwêêk savok omaahonôôn pin-ate niwêêk la.
1CO.1.27	Nganjo hil sen omaahonôôn vu voon dayi nambe sil akand maa-to, ond Anutu yoo holin sil lak in nambe biing-ambe hil alundkook bop-aso lambindis. Tonde yik holin hil sen omaahonôôn voon-ate danêêl nambe sil anindwêêk maa-to in nambe biing-ambe hil sen sil anindwêêk-ato lambindis. 
1CO.1.28	Tonde hil haalend ma vu voon ond Anutu yoo holin sil lak, de va sen omaahonôôn anind bayaa-to osin va mali-malis, ond Anutu yoo holin ak in nambe biing-ambe hil osin haalend vu voon daatu va malis. 
1CO.1.29	Wiing nambêênjo in nambe omaahonôôn pin ond ti me-gatee yi jak hôôk Anutu me le. 
1CO.1.30	De Anutu yoo wiing-ambe ham nando osin ham alompayo timu having Yesu Kalisi sen Anutu wiing-ambe taato Anutu-te lukook bop vu yiiy-ato, tombe tu yate mop sen Anutu naanêêl yiiy naambe hil anivalok-ato, osin biing-ambe yiiy naatu yoo yite hil, tonde nôôh yiiy vêêl in nambe yiiy mando metumin. 
1CO.1.31	Yik lohvu Anutu-te vakasin neep hôôk kaapiya nambe, “Omaahonôôn gatee sil jak ond me-gatee sil jak in silate niwêêk e, nganjo gatee sil jak in Omaaho Bop-ate niwêêk.”
1CO.2.2	in soo sa kangg vu munggin om sen sa laas-ato, ond sa kangg lingin vakasin vaalu pin-ande saanêêl Yesu Kalisi-te vakasin timu sen yimb ak haah pako lung laa-to. 
1CO.2.3	De sa laas vu ham ond same aalohvu le, sa naayêênin-ambe sa naahees lôôt, 
1CO.2.4	tonde sa vakaas having ham osin saanêêl banye nivasa vu ham-ato, ond same aanêêl hil alundkook bop-ate vakasin hôôk ham ahem e, nganjo Vavi Vaambuung yoo vu niwêêk hôôk sate vakasin 
1CO.2.5	in nambe ham ambiing gaving Yesuu-to, ond dangga me-nanjip vu omaahonôôn-ate vakasin osin ka nivasaa-to le, nganjo yoo nanjip vu Anutu-te niwêêk timu.
1CO.2.7	nganjo Anutu-te kakook vunin-ato ond mem hey naanêêl langaah-anjo. Anutu-te kakook-anju ond yoo vun yi bôôy munggin va pin, de yoo ka vu bôôy-anju nambe bu yite nikaapulis vu yiiy. 
1CO.2.8	Hil voon-ate yêêv bop-aso pin-ame lalak Anutu-te kakook-anju dangga ni le. Naambe lanjak ni ond me-le lanyiis Omaaho Bop sen nikaapulis danggakook-ato jak haah pako be jimb e, le ma de layiis-ato. 
1CO.2.9	Lemu lohvu Anutu-te vakasin neep hôôk kaapiya nambe,
1CO.2.9	“Va sen omaahonôôn-ame layi lak mend e, de me-lango hôôk nanyend e, tonde sil akand-ame vu le, ond vaa-ja Anutu yoo hatongin vulôôt vu hil sen ahend having yii-to in nambe naatu silate va.”
1CO.2.10	Vavi Vaambuung laam-ambe tatekin vu hey, in Vavi Vaambuung oo lak va pin ani, de lak Anutu-te lopayo ni lôôt having. 
1CO.2.11	De omaahonôôn pin ond ti me-lak omaaho ango-te lopayo ni le, nganjo yoo kanu sen nando hôôk lopayôô-to ond mem lak ni. Tonde Anutu ond omaahonôôn-ame lalak yite lopayo ni le, yik yite Vavi Vaambuung timu yoo lak ni. 
1CO.2.12	Va voon-ate me-vu ka vu hey e, nganjo Anutu wiing yite Vavi Vaambuung laam
1CO.2.12	vu hey in nambe tatekin vu hey-ambe hey anjak Anutu-te niwêêk kul-ate pin sen vu vu hey-ato dangga ni. 
1CO.2.13	Om sen hey naanêêl vakasin-anjo ond hey-ame naanêêl vakasin sen omaahonôôn alundkook bop tatekin vu hey-ato le, malis, nganjo hey naanêêl vakasin sen Vavi Vaambuung yoo tatekin vu hey-ato, tonde hey navu tatekin Vavi Vaambuung-ate va vu hil sen Vavi Vaambuung nando having sil-ato. 
1CO.2.14	Lemu hil sen Vavi Vaambuung-ame nando having sil e, ond me-dako Anutu-te Vavi Vaambuung-ate vakasin ak e, kand navu nambe va malis, de sil-ame lalohvu nambe lanjak dangga ni le, in Vavi Vaambuung timu lohvu nambe dôôvu yiiy-ambe yiiy sahi yite vakasin nohvu. 
1CO.2.15	Hil sen Vavi Vaambuung nando having sil-ato ond yoo lalohvu nambe sahi va pin, nganjo omaaho ango me-lohvu nambe sahi sil e. 
1CO.2.16	Lohvu Anutu-te vakasin neep hôôk kaapiya nambe,
1CO.2.16	“Omaaho ti me-yoo lak Omaaho Bop alopayo ni le. De omaaho lati lohvu nambe bu ka vu yi? Malis.”
1CO.2.16	Keen, lemu hey ond Kalisi vu ka vu hey-ambe hey navu sapa hôôk.
1CO.3.2	Saavu sum vu ham amu de same avaat ham lak vanôôn aniwêêk e, in ham-ame alohvu le. Tonde yik gêên ham naahen nambêênja having, 
1CO.3.3	in ham oo naahen navu sapa hôôk va voon-ate pin. Tombe ham alompayo nipaya vu ham osin ham nanêêl ham-ato, ond taato nambe ham naahen navu sapa va voon-ate de ham nawiing va nambe hil voon-ate. 
1CO.3.4	In ham vaalu nanêêl nambe, “Pol-ate omaaho sa,” de vaalu danêêl nambe, “Apolo-te omaaho sa,” ond manyinjo ham oo nawiing va nambe sen hil voon-ate.
1CO.3.5	Om Apolôô-ju yi vaati, de sa Pol ond sa vaati? Yik haay hil kul vaha malis amu sen Omaaho Bop vu kul
1CO.3.5	vu haay ango de ango, tombe haay aawiing kul vu ham e mem ham awii-having Anutuu-to. 
1CO.3.6	Yik sa vaalôôh vave, tombe Apolo vu bel hôôk, tonde Anutu timu yoo nawiing-ambe nôôn nalak. 
1CO.3.7	Om omaaho sen naalôôh vave, yuuh ango sen navu bel hôôk-ato, ond yuuh lalohvu va malis amu, nganjo Anutu sen nawiing-ambe vanôôn nôôn nalak-ato ond mem haale bop. 
1CO.3.8	De yuuh sen ango naalôôh vave de ango navu bel hôôk-ato ond yuuh dawiing kul timu, tombe yuuh e gako nyevahaan anivasa nohvu kul sen yuuh dawiing-ato. 
1CO.3.9	Yik hey ahondoosin Anutu naawiing kul timu, tonde ham alohvu Anutu-te kul sen nawiing kul hôôk-ato, osin ham alohvu Anutu-te bayêên sen nahaav-ato.
1CO.3.11	In bayêên-ate ngaandiin aniwêêk sen naale lung laa-to ond Yesu Kalisi, tombe omaaho ti me-lohvu nambe balaah ngaandiin ango dukana baale gaving e. 
1CO.3.12	Om hil sen landaav bayêên jakana ngaandiin-anja naambe landaav jak va niwêêk sen kin-ame lohvu nambe ja le, naambe sen gool, me siliva, me tatuuh amengali-ngali, me naambe landaav jak haah, me gus, me siih, 
1CO.3.13	ond sil pin-ate kul e nanjip langaah hôôk busin sen Kalisi nom-ato. In busin-anju ond le naatok naam osin kin tumin, tombe hil pin-ate kul sen lahaav Anutu-te bayêên-ato ond Anutu le sahi lak kin-ambe taato langaah naambe niwêêk me malis. 
1CO.3.14	Om omaaho ti-te kul sen haav bayêên lakala ngaandiin-ato naambe kin dôôk, le ma de mando niwêêk-ato, ond omaahôô-ju le gako nivasa nyevahaan dukanaah. 
1CO.3.15	Le naambe kin ja omaaho ti-te kul-anju be jung na, ond me-le gako nivasa nyevahaan e, le nama. Yik le mando metumin amu, in Anutu le gataah yi vêêl naambe sen hil dataah va vêêl in kin-ato.
1CO.3.17	Om naambe omaaho ti biliyak Anutu-te dumb vaambuung ond Anutu yoo le kawiiy omaahôô-ju na, in Anutu-te dumb ond vaambuung ond yik ham-anja.
1CO.3.18	Omaaho ti me-yoo tatuhin yi le. Ham ti yoo ka bu naambe yi omaaho osin ka savok hil voon-ate ngeeyaata la, ond yoo gilin yi be naatu omaaho sen hil voon-ate danêêl nambe ka maa-to vêêl e, mem le naatu omaaho osin ka keen. 
1CO.3.19	In va sen hil voon-ate danêêl nambe ka bop ond Anutu nayi nambe ka ma, lohvu Anutu-te vakasin ti neep hôôk kaapiya nambe,
1CO.3.19	“Anutu wiing-ambe hil osin ka bop kand sapa silate va tatuhin heey tu jaang-ambe yiis sil.”
1CO.3.20	“Omaaho Bop nalak ni nambe va sen hil osin lukook bop akand navuu-to ond va malis.”
1CO.3.21	Om hil-ame gatee sil ak in omaahonôôn e, in Anutu yoo vu va pin tu hamate va lung la. 
1CO.3.22	Sa Pol-ande Apolo yuuh Pita, tonde taaku voon-anjo de metumin osin meyimbin, tonde va gêên-anjo osin va sen balup vu taamusin-ato, ond va pin-anjo tu hamate va, 
1CO.3.23	tonde yiiy ond yaatu Kalisi-te hil, de Kalisi ond Anutu-te va.
1CO.4.2	Tonde ham alak ni nambe hil sen danggin yêêv-ate vaa-to, ond silate yêêv dawiingin nambe sil oo mongganggin nivasa lôôt-ande sil-ame ganggin daka paya le. 
1CO.4.3	Naambe ham me omaahonôôn vaalu sahi sate kul-ambe daanêêl naambe sa nanggin sate kul nivasa me malis, ond sa kangg navu vaa-jo nambe va malis amu, de same navu sahi sate kul having e. 
1CO.4.4	Sa kangg vu nambe sate vakasin ti me-neep e, lemu va sen sa kangg vuu-jo ond me-navu taato nambe sa omaaho nivalok e, nganjo Omaaho Bop navu sahi sate vakasin om yoo le naanêêl. 
1CO.4.5	Om ham-ame sahi hil-ate vakasin-ambe ham naanêêl pavis e, de Omaaho Bop nom vêêl e mem va sen vun yi hôôk mekanuu-to, osin va sen hil akand navu neep hôôk sil alondpayôô-to, ond Omaaho Bop yoo le taato va pin-anju langaah, tombe mem Anutu yoo le gako omaahonôôn ti ti pin jak nohvu.
1CO.4.7	Lati wiing-ambe gatu omaaho osin haale? Tonde gate vaati neep vu hong vulôôt-ande Anutu me-vu vu hong e? De hong sen ohako va pin vu Anutuu-to, ond nambe vaati sen ohatee hong ak nambe goo gatu va pin-anjo dangga? 
1CO.4.8	E-ke, ham-ame nativak in vati le, me? Ham atu hil osin Anutu-te va nivasa vasa lung la keen a? De ham kaluuh hey-ande ham atu Anutu-te hil lulemak-aso lung la mava? Naambe ham atu hil lulemak-aso keen ond mem nivasa, in mem hey naatu Anutu-te hil lulemak-aso gaving ham-ambe yiiy ahondoos ganggin hil. 
1CO.4.9	Sa kangg navu nambe mak Anutu wiing-ambe hey sinaale-so hey aatu hil mali-malis-ambe hey nando laah dami. Hey aalohvu hil sen danêêl nambe lanyiis sil-ambe lanjimb ak hil pin amend-ato, om omaahonôôn osin angela-so pin dangget hey nambe hey anipayaa-to.
1CO.4.11	Lak busin pin-ambe gêên ond hey naahimb ahengg osin hey alongg navu bambôôv in bel, tonde hey naativak in tôômb ayuuh ame, tonde hil davu kaatuuh hey lak namand, de hey ambaangg sen hey mando dôôk-ato ma. 
1CO.4.12	Yik hey namangg oo monawiing kul bop in dôôvu hey. Tonde hil danêêl hey pale le hey naalohak la vu Anutu in nambe samu sil, de dawiing nindanjeen vu hey, le ma de hey naahe sil amu. 
1CO.4.13	Hil daanggôôl hey, le ma de hey naavu mamaal vu sil. Keen, dayi hey nambe taaku voon-ate va ningook nipaya hey, de kand navu nambe hey aalohvu kaalekaale pin sen davu kaakêêl la nanyendanggaa-to, lôôt-ambe tok valup
1CO.4.13	gêên-anjo.
1CO.4.14	Same navu kaavu vakasin-anjo in daanggôôl ham-ambe ham anim naamum e, nganjo sahengg naving sate noongg-aso ham ondeey sa naavu kôôvu ham. 
1CO.4.15	Hil ngeeyaata lôôt davu tatekin Kalisi-te vakasin vu ham, nganjo mom-aso ond sil-ame ngeey e, yik sa, saanêêl Yesu Kalisi-te banye nivasa vu ham-ambe ham atu yite hil-ato ond manyinjo saatu hamate mom. 
1CO.4.16	Om sa naanêêl niwêêk vu ham naambe ham sapa dôôk sa vahangg. 
1CO.4.17	Keen, dangga nambêênjo ondeey saawiing Timoti laas vu ham. Timotii-ja tu sa noongg-ambe sahengg naving yi lôôt, in saanêêl-ambe hulis Omaaho Bop baambu keen. Yoo le bêêl ham alum jak in sate mopaatôôv sen sa navu sapa Yesu Kalisii-to, naambe sen sa navu tatekin vu hil bel-ate lu ti ti pin lohvu taaku pin-ato.
1CO.4.18	Ke, tonde hamate hil vaalu kand navu nambe same le anaas vu ham e, om sil oo datee sil lak vu ham lôôt. 
1CO.4.19	Lemu Omaaho Bop jiinggis ond mem sale anaas vu ham pavis, tombe mem hil-anja sen yoo datee sil ak-ato ond same le aanjêênin silate vakasin e, nganjo sale anjak silate niwêêk ani naambe dawiing Anutu-te kul osin niwêêk a? 
1CO.4.20	In vakasin amu ond me-lohvu le, nganjo yaangge naambe hil dawiing kul osin Anutu-te niwêêk ond mem yalak ni nambe Anutu nanggin yite hil. 
1CO.4.21	Om ham awiingin vaati? Sa naas osin sahengg kalin in saambu nyevahaan vu ham a? Me, sa kangg pasiv in ham-ambe sa naas osin melaas a?
1CO.5.2	Om ham natee ham ak in? Ham anim naamum-ambe ham naasu, tombe ham gatiiy omaaho sen nawiing vaa-ja na vêêl in ham ond mem. 
1CO.5.3	De sak, sa nando diin in ham, lemu sa kangg oo navu ham lôôt, tombe sa hangoyin omaaho sen nawiing vaa-ja yite vakasin lung la nambe sen sa nando having ham keen-ato. 
1CO.5.4	Om sa naanêêl lak yate Omaaho Bop Yesu
1CO.5.4	haale naambe ham naasupin ond ham akam bu sate vakasin naambe sen sa nando having ham-ato, tonde yate Omaaho Bop Yesu le bu yite niwêêk vu ham gaving, 
1CO.5.5	le mem ham gatiiy omaahôô-ja na vu Saalang in nambe biliyak naavi mu, tombe mem gilin yi naah vu Anutu be Anutu gako kanu naah hôôk busin taamusin sen Omaaho Bop nom-ato.
1CO.5.7	Om ham gatiiy omaaho baayamb sen lohvu yis animbôôy-anja na, de ham mando nivasa mu naambe balet sen yis ma in-ato, in Kalisi kawiiy hamate nipaya lung laa-to. Yik Kalisii-ju yimb-ambe tu yate salivangin lohvu hil dayiis sipsip hôôk busin haluusin sen Anutu haluuh hil Islel hôôk vu Ijip bôôy-ato. 
1CO.5.8	Om yiiy gatiiy yate va nipaya pin na naambe sen hil Yuda daate yis la de daya balet sen yis ma in-ato hôôk silate vanôôn busin haluusin-atêêto, tonde mem yiiy mando osin yalonggpayo timu be yiiy naanêêl vakasin keen.
1CO.5.10	ond same kaavu nambe ham galuuh damim vu omaahonôôn voon sen sil dawiing baayamb osin dawiing mend nôôn, tonde dawiing hôôndak, osin dalohak vu silate anutu tatuhin vaha-sôôto le. Keen, naambe ham-ame mando gaving sil e, ond ham e gavuuh taaku voon-anjo de ham ana mando tana? 
1CO.5.11	Nganjo sa kaavu vu ham in nambe ham-ame mando gaving omaaho sen yoo nanêêl nambe yiiy halingg bel-ate ti yi, le ma de nawiing baayamb, de nawiing menôôn, de nalohak vu anutu tatuhin vaha-so, osin nanêêl vakasin palesin lak hil, de nanum bel-ambe lukook nawiing paya, tonde nawiing hôôndak-ato. Ke, hil nambêênjo ond ham-ame angga vanôôn gaving sil e.
1CO.5.13	Tonde hil sen sil doosin Anutuu-to, ond Anutu yoo le gangoyin silate vakasin. Om ham gatiiy omaaho nipayaa-ja na vêêl in ham nohvu Anutu-te vakasin neep hôôk kaapiyaa-to.
1CO.6.1	Ham ti-te vakasin neep vu ango tombe gako na in hil voon-ate gangoyin yite vakasin, de me-yoo lohvu baale Anutu-te hil amend in nambe sil gangoyin yite vakasin mava? Nambe vaati sen ham anim-ame namum e? 
1CO.6.2	Anutu-te hil e gangoyin omaahonôôn pin-ate vakasin, le mak ham doosin mava? Om naambe ham e gango omaahonôôn pin-ate vakasin, ond ham alohvu nambe gango vakasin mali-malis heey hôôk busin sen gêênanjo. 
1CO.6.3	De ham alak ni nambe yale gangoyin angela-sote vakasin a? Om nambêênjo ond yik yaalohvu nambe yiiy gangoyin vakasin lak va sen yiiy naawiing nando vu voon-anjôôto. 
1CO.6.4	Om naambe vakasin lak va sen yiiy naawiing vu voon-anjo ti neep vu ham lohvu ham ambiing vakasin, le nambe vaati sen ham nala vu hil sen hil bel-ate dayi nambe dando nanyendanggaa-to in nambe sil gangoyin hamate vakasin?
1CO.6.5	Sa naanêêl vakasin-anjo in nambe ham anim naamum. Hamate omaaho ti osin ka me-nando lohvu nambe gangoyin hamate vakasin-ambe naanêêl mava? 
1CO.6.6	Le nambe vaati sen Omaaho Bop-ate omaaho yuuh daanêêl yuuh atombe yuuh lana lambiing vakasin vu hil sen sil-ame lawii-having Yesuu-to.
1CO.6.7	mem ham awiing lohvu, 
1CO.6.8	le ma de ham nawiing halim-aso bel-ate paya osin ham nahôôndak silate va.
1CO.6.10	de hil hôôndak osin hil sen mend nôôn in omaaho ango-te vaa-to, tonde hil sen danum bel-ambe lundkook nawiing payaa-to, osin hil vakasin palesin-aso, tonde hil sen daandiiy omaaho ango-te va danjeen-ato, ond hil nambêênjo pin me-le landukana gaving Anutu-te hil-ambe ganggin sil e. 
1CO.6.11	Ham vaalu nawiing va nambêênjo bôôy, le sim gêên ond Anutu kawiiy hamate va nipaya la lung la, de holin ham lak-ambe ham atu yite hil, tombe nêêl ham nambe ham hil anivalok. Anutu yoo ka navu Omaaho Bop Yesu Kalisi-te kul sen yimb ak yiiy-ato ondeey nêêl-ambe yite Vavi Vaambuung hôôvu yiiy nambêênjo.
1CO.6.13	Vanôôn ond yahengg-ate va, de yahengg neep in nambe yangga vanôôn, tombe sim Anutu le kawiiy yuuh ahondoosin na. Lemu yiiy naavingg ond me-neep in nambe yaambiing baayamb e, nganjo yiiy naavingg ond Omaaho Bop-ate va, de Omaaho Bop ond tu yêêv-ambe nando in nambe ganggin yiiy naavingg. 
1CO.6.14	Anutu wiing-ambe Omaaho Bop kandi vu hil yimbin-ate, tombe yite niwêêk e biing-ambe yiiy kandi jak vu hil yimbin-ate gaving.
1CO.6.15	naavi boow ti? Malis lôôt. 
1CO.6.16	Nambe vaati sen ham-ame alak ni le? Nambe omaaho ti gahôôv vêêh baayamb ti ond yuuh latu nôôn timu, lohvu Anutu nêêl vakasin-ambe neep hôôk kaapiya nambe, “Yuuh e daatu nôôn timu.” 
1CO.6.17	Le omaaho ti jalak ak Omaaho Bop ond yuuh ahondoos latu nôôn timu. 
1CO.6.18	Ham oo napak-ande ham-ame ambiing baayamb e. Va nipaya vaalu pin sen omaahonôôn dawiing-ato, ond me-yoo dawiing naavind paya le, nganjo omaaho baayamb ond yoo nawiing naavi paya. 
1CO.6.19	Tonde yik ham alak ni nambe ham naavim tu Vavi Vaambuungate dumb vaambuung, in Anutu wiing Vavi Vaambuung laas-ambe nando hôôk ham alompayo lung la, om ham-ame yoo atu ham naavim-ate danggakook e. 
1CO.6.20	Nganjo Anutu yoo vaanggo ham lak va bopaata lôôt-ambe ham atu yite va, om ham naavim biing va sen gako Anutu haale jak-ato.
1CO.7.1	Ke, vakasin sen ham kaavu hôôk kaapiya be ham alingin saa-to, ond sa naanêêl vu ham e. Naambe moow-ame gako vêêh e ond nivasa, 
1CO.7.2	lemu baayamb neep om moow pin oo gako silate vêêh ti ti, de vêêh pin lanjak vu silate moow ti ti. 
1CO.7.3	Moow naavi tu vane-te va om me-bu teenin yi le, tonde yik vêêh naavi tu laya-te va om
1CO.7.3	me-bu teenin yi le. 
1CO.7.4	Vêêh-ame yoo nanggin yite naavi le, nganjo laya nanggin, tonde yik moow-ame nanggin yite naavi le, nganjo vane nanggin. 
1CO.7.5	Om mame ambu teenin muuh naavim in muuh e. Le naambe muuh naanjôôy vakasin dôôk ti naambe manjakin muuh in nambe muuh mando monanohak vu Anutu daka vêêl e ond mem nivasa. Tonde busin-anju jung na le mem muuh mando dôôk ti jesin naah. Le naambe nama ond mame alohvu nambe manjakin muuh nivasa lôôt e, de Saalang e palapin muuh.
1CO.7.6	Sate vakasin-anjo ond soo aaliinggis in hamate vakasin amu, de same aanêêl niwêêk in nambe ham ambiing naambêênjo le. 
1CO.7.7	Nganjo saawiingin nambe hil pin mando vehambu osin maseeng naambe sa, lemu Anutu yoo wiing samu samu vaha vaha vu yiiy omaahonôôn ti ti pin, kaandu hil vaalu lôôt-ambe vu kul vu sil in nambe sil mando vehambu osin maseeng, tonde vu kul vu hil vaalu in nambe sil gako sil e mem lambiing kul.
1CO.7.8	Sa naanêêl vu hil sen me-lako sil-ato le, de vu vehaahôôv-aso naambe sil oo mando naambe sen sa ond mem nivasa. 
1CO.7.9	Le naambe sil-ame lalohvu nambe sil lanjakin sil nivasa lôôt ond mam sil gako sil. Le naambe nama ond sil alondpayo le biing navu navu lôôt naambe kin napeek hôôk sil-ato, tombe manyinja le biing nipaya vu sil, om sil gako sil ond mem nivasa.
1CO.7.11	Le naambe gavuuh ond yoo mando malis, le naambe nama ond yuuh laya samu vakasin e mem yuuh mando javuh ti naah. Tonde yik moow ond me-juus vane le.
1CO.7.12	Tonde sa naanêêl vakasin ti vu hil vaalu ond manyinjo me-Omaaho Bop-ate tanasin e, nganjo soo naanêêl naambe omaaho ti vane me-wii-having Kalisi le, le vanêê-ju ahe having nambe mando gaving yi, ond laya me-juus na le. 
1CO.7.13	De naambe vêêh ti laya me-wii-having Kalisi le, le ahe having nambe mando gaving vane, ond vêêh-anju me-gavuuh laya le. 
1CO.7.14	In omaaho ti sen me-wii-having Kalisii-to ond yoo tu Anutu-te va, lak dangga nambe vane wii-having Kalisi be tu Anutu-te vaa-to. Tonde yik vêêh sen me-wii-having Kalisii-to ond tu Anutu-te va, lak dangga nambe laya wii-having-ambe tu Anutu-te va. Le naambe nama ond noom-aso le naambe hil sen sil doosin Anutuu-to, le ma de sil latu va vaambuung. 
1CO.7.15	Le naambe vêêh me moow sen me-wii-having Yesuu-to wiingin nambe gavuuh vane me laya sen wii-having Yesuu-to na, ond gavuuh, in tanasin ti me-nanjingin vane me laya sen wii-having Yesuu-to be nêêlin yi le, in Anutu teey yiiy in nambe yiiy mando osin yalonggpayo melaas. 
1CO.7.16	Hong vêêh, mak gale ganggilin olayam-ambe Anutu gako yi naah lemu game galak ni le. De hong moow, mak gale ganggilin ovanem-ambe Anutu gako yi naah lemu ondoosin.
1CO.7.18	Naambe omaaho ti halaah naavi lung la nambe sen Yuda dalaah naavind-ato, tonde mem Anutu teey yi be tu yite omaaho, ond me-gatongin naavi naah-ambe bun e. De naambe omaaho ti me-halaah naavi le, tonde Anutu teey yi be tu yite omaaho, ond me-galaah naavi le. 
1CO.7.19	In va sen hil dalaah naavind-ato ond va malis, de va sen hil vaalu medalaah naavind e, ond yik va malis having, nganjo va sen nôôn keen-ato nambe yiiy taamuyin Anutu-te tanasin. 
1CO.7.20	Om ham ambiing hamate kul sen ham monawiing-ande Anutu teey ham-ambe ham atu yite hil-ato. 
1CO.7.21	Gatu omaaho ango-te va kul-ate malis amu vu gate yêêv ti tonde mem Anutu teey hong-ambe gatu yite omaaho? Ond game galompayo nimeen e, nganjo gamem sapa gate kul-anja be gambiing. Le naambe mop neep in nambe onggavuuh gate yêêv-anjo, ond yik onggavuuh-ande mem goo ganggin hong naah. 
1CO.7.22	Omaaho ti sen tu omaaho ango-te va kul-ate malis amuu-to, le sim Omaaho Bop teey yi be tu yite omaahôô-to ond tu Omaaho Bop-ate omaaho osin haale. Tonde omaaho osin haale bop sen Anutu teey yi be tu yite omaahôô-to ond me-yoo le ganggin yi naah e, nganjo tu Kalisi-te va kul-ate malis amu. 
1CO.7.23	Anutu yoo vaanggo ham lak va bopaata lôôt-ambe ham atu yite va, om ham-ame naatu omaaho ango-te va kul-ate malis amu de sil daatu hamate yêêv e. 
1CO.7.24	Om halingg-aso, ham amem oo sapa kul sen ham monawiing bôôy-ande Anutu teey ham-ato, osin ham akam monambu Anutu.
1CO.7.26	Sa kangg navu nambe ham oo mando naambe sen ham nando gêên-anjo ond nivasa, in nimeen ngeeyaata tok laam gêên. 
1CO.7.27	Ohako vêêh ond game gakam bu naambe ganjuus vanem e, de hong sen vêêh maa-to ond game salo vêêh ti in nambe onggako le. 
1CO.7.28	Le naambe onggako vêêh ond manyinja game gawiing va nipaya le, de naambe vehaavu ti jak moow ond manyinju me-wiing va nipaya le. Lemu vêêh ayuuh moow sen lako sil-ato ond sil
1CO.7.28	dako nimeen ngeeyaata vu voon, tombe sa naayêênin nambe nimeen nambêênju me-naatovu ham e.
1CO.7.30	Tonde hil sen dasu in silate hil layimb-ato ond lambiing kul vu Anutu naambe hil sen me-dasuu-to le. Tonde hil sen dapêêlis in datovu va nivasaa-to ond lambiing kul vu Anutu naambe hil sen me-dapêêlis-ato. Tonde hil sen daanggo vaa-to ond lambiing kul vu Anutu naambe hil sen silanêênd va maa-to. 
1CO.7.31	Tonde hil sen dawiing kul in va sen dôôvu sil naavind vu voon-ato ond me-lambu sil na doos vu kul-anju le, in voon-ate va pin ond le na menama.
1CO.7.32	Sa nimbaya nambe ham-ame naham jak in vaheey e. Omaaho ti sen me-hako vêêh-ato ond ka nala vu Omaaho Bop-ate kul timu, be nawiing in nambe Omaaho Bop ahe nivasa vu yi. 
1CO.7.33	Nganjo omaaho ti sen hako vêêh-ato ond ka nala vu va voon-ate, be nawiing kul in nambe vane ahe nivasa vu yi, 
1CO.7.34	om ka nala yu-yuuh. Tonde yik vehambu osin vehaavu ond kand nala vu Omaaho Bop-ate kul timu be dawiing in nambe nind naavi osin londpayo naatu vaambuung, nganjo vêêh ti sen lak moow-ato, ond ka nala vu va voon-ate be nawiing kul in nambe laya ahe nivasa vu yi. 
1CO.7.35	Same naanêêl vakasin-anjo in nambe danjingin ham e, nganjo sa naanêêl in nambe kaandu ham-ambe ham mando nivasa, tombe ham oo monambiing kul vu Omaaho Bop, de ham akam-ame na ngeey e.
1CO.7.36	Naambe omaaho ti ka nala yu-yuuh nambe mak nawiing nowaavêêh paya in nando lôôt-ambe vehambu lak, nganjo ahe having nambe jak moow, le ma de danêêlin yi lôôt, ond mam omaahôô-ju biing nohvu ka. Naambe naanêêl-ambe nowaavêêh-anju jak moow ond lung, manyinju mangganaan-anju me-wiing va nipaya le. 
