MAT.1.1	A revereve huri retubui Jisas, netui Devet, netui Ebraham.
JHN.20.26	Lo tagui wik gatagale ira rorongtagi ram toga bubugi lolo vale taligu, ko i Tomas nge meire. Rau goro siagagi na mataivale, nge i Jisas mo vanai ko mo labe lolo livugara, mo veve vena, “A tamwata lobemiu.” 
JHN.20.27	Mo rovo nge mo veve lawe Tomas vena, “Gon tau na bisumu tangaha, ko gon lehi na limeku; ko gon horagi na limemu, ko gon taue lolo mwarasaku. Gon mese lado gairue, nge gon ladohogo!” 
JHN.20.28	I Tomas mo duvi lawea vena, “!Noku Huqe a noku God!”
JHN.20.29	I Jisas mo veve lawea vena, “?Wa iniko gom ladohogo a vevenagi gom lehieu? Havuhevu mei rahine ram ladohogo nge ra he lehieu tea!”
JHN.20.30	I Jisas mo vai na managi wagineu u sao lo nagora rorongtagi rahe reve hivo tea lolo buk ngaha. 
JHN.20.31	U uli na gineu ingere ngaha huri ve nein ladohogo ve i Jisas nge i Kraes, i Netui God, ko huri ve gina ladohogo hi nein lei na mwasoana lo henana.
JHN.21.1	Lo tagugi ngaha, i Jisas mo haharaginie sibona vagatagale vage lawe na nona rorongtagi lo mwararai wei Taibirias. Mo haharaginie mwerehi. 
JHN.21.2	I Saemon Bita, i Tomas (u waregi ve a Malava), i Nataniel (ngehi talo togagi venue Kena lolo vanue Kalili), ira netui Sebedi, ko a rorongtagi gairue vage ingere bubugi doluegi. 
JHN.21.3	I Saemon Bita mo veve lawera vena, “Ineu nan vano nan siusiu.” Ingere ram veve lawea vena, “Igamai vage dain vano bulu.” Siu ram vano ram hivo sulolo aka; nge lolo bongi hi ingere rau siu rahe revei na havagineu tea vohogi. 
JHN.21.4	Lolo robongi siaga i Jisas mo labe lo mwararai wei, nge ira rorongtagi ra he ilo tea huri ve i Jisas. 
JHN.21.5	I Jisas mo huire vena, “?Ira buluana, wa neu reve te ige?” Ingere ram duvi vena, “Hatie vohogi.” 
JHN.21.6	Ingeie mo veve lawera vena, “Nen tuli na gabe sulo mwararai aka lo matue, ko igimiu nein weli lei na ige.” Siu ram tuli na gabe, ko ram reve samweginie taligu sulolo aka, huri ingere rau weli na matolui. 
JHN.21.7	A rorongtagi ngehi i Jisas u tabea mo veve lawe Bita vena, “A Huqe ngehi!” Lune Saemon Bita mo rongo huri ve a Huqe, ingeie mo taliteligi na luqana huri u tugu vohogi na luqana (huri ingeie u tino vurogi) ko mo qale sulolo wai. 
JHN.21.8	A rorongtagi lavasigi ram hamai suvarea lo aka, ram reve na gabe u horo gena ige. Ingere ra he vagahao tea dena vanue, bataha ngava ngavulu gailime. 
JHN.21.9	Lo tarogi hi ram rovo suvarea ram lehi na manonoi avi aie mena ige u hongi lune ko a bereti. 
JHN.21.10	I Jisas mo veve lawera vena, “Nen lai na ige lavasigi laweau ngerehi nem bei welire.” 
JHN.21.11	I Saemon Bita mo hivo lolo aka ko mo revei na gabe suvarea, u horo gena ige lalawua, a ige vudolue vagatagale avigi ngavulu gailime domwagi gaitolu; hatie huri ige u sao lawagi nge a gabe he madare tea. 
JHN.21.12	I Jisas mo veve lawera vena, “Nen vanai nen gagani.” Hatie ve gatagale denire rorongtagi vena hui lehe vena, “?Iniko ihine?” Huri ingere rau ilo huri ve ingeie a Huqe. 
JHN.21.13	Siu i Jisas mo vanai, mo lai na bereti, ko mo bete lawera; ko a ige vage.
JHN.21.14	I Jisas mo haharaginie sibona lawera rorongtagi vagatoligi ngaha tagugi ingeie u maraga dena mateana.
JHN.21.15	Lo tagugi ingere rau gagani u rovo beno, i Jisas mo veve lawe Saemon Bita vena, “?Saemon, netui Jon, wa iniko gom tabeau u liu denire naha?” Ingeie mo duvi vena, “Io, Huqe, gom ilo huri ve ineu nam tabego.” I Jisas mo veve lawea vena, “Gon vangani na buleku sibsib ngerehi.” 
JHN.21.16	I Jisas mo veve lawea vagatuegi vena, “?Saemon netui Jon, wa iniko gom tabeau?” Ingeie mo duvi vena, “Io, Huqe, gom ilo huri ve nam tabego.” I Jisas mo veve lawea vena, “Gon leogoro na buleku sibsib.”
JHN.21.17	I Jisas mo veve lawea vagatoligi vena, “?Saemon, netui Jon, wa iniko gom tabeau?” I Bita mo hahagavi huri i Jisas u veve lawea vagatoligi vena, “?Wa iniko gom tabeau?” Ko mo veve lawea vena, “Huqe, iniko gu ilo na gineu doluegi. Gom ilo huri ve ineu nam tabego.” I Jisas mo veve lawea vena: “Gom vangani na buleku sibsib. 
JHN.21.18	A hogo, a hogo, nam veve lawego vena, lo tarogi hi iniko gu mwalakelo, gu wesigi na wasimu ko gom vano logo mwere gu tarani; nge lo tarogi hi iniko goin tamaragai goin horagi na limemu ko a tangaloi wagineu vin veuhigo ko vin leigo sulogo hi go he tarani tea ve goin vano aie.” 
JHN.21.19	(I Jisas mo veve ngaha mo matamwasaragi huri ve i Bita vin mate mwerehilogo ko vin vei roroagi God ginie.) Mo rovo, i Jisas mo veve lawea vena, “Gon hurieu!”
JHN.21.20	I Bita mo kileu ko mo lehi na rorongtagi ngehi i Jisas u tabea mo hurire, ngehi u toga mo olo vano lobei Jisas lo taroi gaganie ko mo huie vena, “?Huqe, ihine vin rongo na leoi gamu?” 
JHN.21.21	Lune i Bita mo lehie, nge mo veve lawe Jisas vena, “?Huqe, wuraha huri na tangaloi ngaha?” 
JHN.21.22	I Jisas mo duvi vena, “?Tare ve ineu nam taranie ve vin toga vin dadari lune ineu nain vanai teligu, a nomu hava gineu lune? Iniko gon hurieu!” 
JHN.21.23	Siu a rorogi hi mo wahegi mo vano lawera reretehigi huri ve a rorongtagi ngaha vin he mate tea. Nge i Jisas he veve tea lawea huri ve ingeie vin he mate tea, nge mo veve vena, “Tare ve ineu nam taranie ve vin toga vin dadari lune ineu nain vanai teligu, a nomu hava gineu lune?”
JHN.21.24	Ngeie hi a rorongtagi u laqagi matamwasaragi huri na gineu ingere ngaha ko mo reveire; ko igamai gau ilo huri ve a hava gineu hi u laqagi a hogo.
JHN.21.25	A gineu sao lavasigi vage hi i Jisas u veire. Tare ve vin reveire doluegi, nam lado ve a ure doluegi vin he hako lai na buk ngerehi tea vin reveire.
ACT.1.1	Tueku Tiovilas.
ACT.1.1	Lo noku muei buk nau reve huri na gineu doluegi i Jisas u huhui ko u veire, u tevuigi lo mahogi hi i Jisas u tevuigi na nona tabanagi, 
ACT.1.2	mo dadari mo mule hage eulu. Tomue siu i God mobei leie hage taligu eulu u bete na leo huhui gina managi noi Vui Gogona lawe na tangaloi u leo wahera gi nona gai hora. 
ACT.1.3	Bongi ngavulu gaivesi lo tagugi nona mateana nge u serelue sibona vaga sao, mo mata-mwasaraginie hogo huri ve u mwaso taligu, ingere rau lehe, ko ingeie u laqagi lawera huri ve i God vin ratahigi gorora. 
ACT.1.4	Lune ingere ram vomai tabulutegi lobena, ingeie mo bete na Leo hora lawera vena. “Nei mese mwalue den Jerusalem, nei toga rarai na hogogi i Tamaku u warataugi huri ve vin betea lawe gimiu, ngehi nau laqagi lawe gimiu hurie. 
ACT.1.5	I Jon u garuhigogonagi gimiu gina wai, nge lo tagui bongi te gaivihe i God vin garuhigogonagi gimiu gina Vui Gogona.”
ACT.1.6	Lune ira gaihora ram vonai lobei Jisas ram huie vena. “?Huqe, wa goin bete na tanoi ratahigi noi God taligu lawera duvi Israel siseri naha?”
ACT.1.7	I Jisas mo veve lawera vena. “A tarogi ko a mahogi u vagatai beno gina managi noi Tamaku ko he eno tea lawe gimiu ve nei ilo ve rai veie tagaha. 
ACT.1.8	Nge igimiu nei horo gina managi lune a Vui Gogona vin himei lumiu, ko igimiu nei ngasagi na Roro Garea hurieu a Jerusalem, vin deli na vanue Judia ko Samaria ko vin deli na ure.”
ACT.1.9	Lo tagugi hi u laqa u rovo, ingeie mo hage taligu eulu, lune ingere ram lehe a dodo mo vuniginie dena matara. 
ACT.1.10	Lune ingeie u sala dena matara beno, ko ingere ram leo garagara suhage lo dodo, a tangaloi gairue ru luqegi na gavu u mevute rom labe kakarani lobera. 
ACT.1.11	Rom veve vena, “Igimiu tangaloi ta Kalili. ?Huri havagineu gimiu nem labe nem dada hage sulo dodo? I Jisas ngehi i God mo laie hage taligu eulu, vin himei taligu lo matahala gatagale mwerehi neu lehe mo hage taligu lo eulu.”
ACT.1.12	Siu ira gai hora ram mule taligu a Jerusalem den vusi Oliv, a mahogi hi u kakarani a Jerusalem, lategi nava vudolue vagavesi. 
ACT.1.13	Ingere ram dadari Jerusalem ram hage lolo qetu utui vale namawe ngehi ram toga aie gesegi, i Bita, i Jon, i Jemis, koi i Andru, i Vilib koi i Tomas, i Batolomiu koi i Matiu, i Jemis natui Alvius, i Saemon, a tangaloi hi talo burigi hi ram tarani ve ran tuli vohogi na tangaloi ta Rom, koi i Judas netui Jemis. 
ACT.1.14	Ram sone vatusao ram tataro bubugi meire vavine koi Meri retahi Jisas koi retuei Jisas vage ram bubugi meire.
ACT.1.15	A bongi u sao goro beno, a tangaloi rau lado hogo gi Jisas, ram sonebubugi rau sao lategi vudolue vagatagale avigi ngavulu gairue doluegi, siu i Bita mo labe mo laqa lawera. 
ACT.1.16	Ingeie mo veve lawera vena. “Retueku, u tuei beno, a Vui Gogona u laqagi lo singoi Devet, u veve sere huri na lalakogi noi Judas, a tangaloi hi u tomuegi na sinobu a duvi Israel ram wiribibi Jisas. A leo hi u eno lune beno, huri a leo ingere hi lolo Baebol rai teu mwasigi. 
ACT.1.17	I Judas nge lo burigi gatagale mei gamai, i Jisas u leo wahea ve vin tabana bubugi mei gamai.”
ACT.1.18	A tangaloi hi i Judas, u voli na mavusui tano gina homu u leie lo turegi he vovohoi tea hi u veie, ingeie u mate, a taqangine u tawaga a tinaena ram rurungudu. 
ACT.1.19	A sinobu doluegi hi ram toga Jerusalem ram rongo na rorogi, ko ram ware na tanogi hi lo nora leo sibora ve Akeldama, iloilogi huri ve a, “Tanoi Dei.”
ACT.1.20	I Bita mo veve vena, “Huri u reve lo buk Sam ve,
ACT.1.20	A valena na buebueli
ACT.1.20	a tangaloi na mese toga lolona.”
ACT.1.20	U reve vage vena,
ACT.1.20	Ihine tea na lai na tanona huri na tabanagi.
ACT.1.21+ACT.1.22	“Siu ihine tea vin bulu mei gamai huri vin ngasagi na maraga taligu noi Jisas a Huqe. Ingeie gatagale denire hi rau bubugi mei gamai lo tarogi i Jisas a Huqe u dige lategi mei gamai. Lo halagi tuegi vage a domianai leo hi u mwere ngaha vena. Ingeie gatagale denire hi rau huri gamai lo taro hi i Jon u garuhigogonagi Jisas, mo dadari lo rani hi i God mo lai vohoginie dei gide mo hage taligu eulu.”
ACT.1.23	Siu ram leo wahe na tangaloi gairue, i Josev a henana tuegi Basabas, a henana vage i Jastas, ko a tangaloi tuegi vage a henana i Mateas. 
ACT.1.24	Siu ram tataro vena, “Huqe, iniko gu ilo na taqangi tangaloi. Huqe gon tisu wahe lawe gamai ve gatagale denire gairue ngaha gu leo wahera 
ACT.1.25	vena lai na tanoi tabanagi ngaha nora gai hora, ngehi Judas u sireginie tau mo huri na mawirigi mo sala radu.” 
ACT.1.26	Siu ingere ram vai na matarongo mo huqe lui Mateas. Siu ram tau Mateas, ram valu bubugi na henana meire gaihora hangavulu domwagi gatagale.
ACT.2.1	Lune a bongi Bentekos mo dadari, lo taroi hinagai halegagaliu nora a duvi Israel, ingere hi rau ladohogo gi Jisas ram toga bubugi. 
ACT.2.2	Siserigi a rorogi mo vonai lo mahava, mwere na roroi langiue lawua mo here. Mo vano doluegi na loloi vale hi ingere ram toga lolona. 
ACT.2.3	Siserigi ingere ram lehi na gineu mwerena mui evi, a muigi hi mo gagaburegi mo bulusire doluegi. 
ACT.2.4	Ko ingere doluegi ram horo gina Vui Gogona, ko ram tauvuigi ram laqa gina leo wagiwegineu mwere a Vui Gogona mo vaire ram laqa mwerehi. 
ACT.2.5	A sinobu a duvi Israel hi ram toga Jerusalem, ingere a tangaloi tataro, ingere ram vonai den vataha qatui venue lolo ureure. 
ACT.2.6	Lune a tangaloi doluegi ram rongo na roro hi, a sinobu u sao ram vonai aiehi. Ko ingere doluegi ram awogi u liu huri na roro hi, huri a tangaloi ingere hi a Vui u hivo lure ram laqagi na leo wagiwegineu, nge vatavataha na tangaloi mo rongo hogosi na nora leo doluegi lo leona sibona. 
ACT.2.7	Siu ram awogi u liu, ko ram ruru, ram veve vena. !Ei ngaraha! A tangaloi ingere hi ram gato mwere hi, nge ingere ta Kalili hogosie. 
ACT.2.8	?Huri havai gide dam roba ram laqagi na leoda mwere hi? 
ACT.2.9+ACT.2.10+ACT.2.11	Igide a tangaloi talo qatui venue u sao, ta Batia, ta Midia ta Elam, ta Mesabotemia, ta Judia, ta Kapadosia, ta Bontas, ta Esia, ta ?Vrisia, ta Bamvilia, ta Ijib, ta Krit, ta Arebia, ko ta Libia kakarani vano Saerini, ko vage ta Rom. Gide lavasigi a duvi Israel vovohoi, ko lavasigi ingere tangaloi wegiwegineu gitomue, siu lo tagugi rabei lei na noda leo huhui. Tau igide doluegi, dam rongora ram laqagi na noda leo gagatagalegi, ram veve sere na tabana lawua hi i God u veie. 
ACT.2.12	Tau ingere ram garigi u liu, a domire mo sala, rahe iloe tea, ram vui huihuiginire vena. “!Ei ngaraha!? A havagineu ngaha?” 
ACT.2.13	Siu ingere lavasigi ram sovure hi a vui u hivo lure beno ram veve vena. “A tangaloi ngerehi rau inu na wai lenga.”
ACT.2.14	Siu i Bita mo labe meire gaihora hangavulu domwagi gatagale, mo laqa gina dilogi u lawua mo veve lawera sinobu hi vena. “!Retueku! Gimiu a duvi Israel, ko gimiu hi nem toga Jerusalem. Gimiu nen rorongtagieu, ko nen rorongtagi vurugegi na noku leo ingere ngaha nain matamwasara gina gineu ngaha lawe gimiu. 
ACT.2.15	A tangaloi ingere ngaha rahe inu te wai langa mwerehi gimiu nem veve, hatie. Siseri ngaha mo robongi, a aho mo bei kalo hi. 
ACT.2.16	A gineu ngaha gimiu nem lehe, nge hi a gineu i Joel a tangaloi ligoligogi u ligogi tuei vena,
ACT.2.17	‘I God u veve vena,
ACT.2.17	“Lo bongi vagasigi vin kakarani,
ACT.2.17	ineu nai bete na noku Vui
ACT.2.17	lawera tangaloi doluegi,
ACT.2.17	huri ingere rai lehi na nona huireana doluegi.
ACT.2.17	I renetumiu doluegi,
ACT.2.17	maresu mwera koa vavine,
ACT.2.17	rai serelue na leo ngerehi neu
ACT.2.17	nain vevea lawera.
ACT.2.17	Ko ira nomiu mwalakelo mwera,
ACT.2.17	rain hueri. Ko ire tamamiu ingere rain
ACT.2.17	boboregi na boborea teri.
ACT.2.18	Io, lo tarogi hi,
ACT.2.18	ineu nain bete na noku Vui
ACT.2.18	lawera vavai tangaloi hi ram rorongtagieu,
ACT.2.18	a mwera ko a vavine.
ACT.2.18	Huri ve ingere rain lei na nona huireana
ACT.2.18	siu ingere rain veve lue na leo doluegi
ACT.2.18	ngehi neu nain vevea lawera.
ACT.2.19	Ineu nain vei na gineu doluegi
ACT.2.19	a gineu garigiana ta eulu.
ACT.2.19	Ko nai vei na gigilegi huri na noku huireana
ACT.2.19	lolo ure ngaha vage.
ACT.2.19	A dai a avi koa kukugi vin vomai.
ACT.2.20	Tomuegi a aho vin dodo,
ACT.2.20	ko a vule vin gara mwere na dai.
ACT.2.20	Siu lo tagui noku rani hi,
ACT.2.20	ineu a Huqe, nge vin vomai.
ACT.2.20	Nge hi a rani hi u lawua,
ACT.2.20	ko u garea garagara.
ACT.2.21	Garea, lo tarogi hi,
ACT.2.21	tare a tangaloi mo wareau lo henaku,
ACT.2.21	ineu a Huqe ineu nai vagamwasoie.
ACT.2.22	“Gimiu a duvi Israel, nen rorongtagi na leo ingere ngaha. Jisas a tangaloi ta Nasaret ingeie hi hogosie God u horae. Jisas mo haharagi na gineu lolo vaigivui teri. Koa gigilegi mena gineu garigiana hi God u bete na huireana lawea u veire lo nagomiu.” 
ACT.2.23	Lune i God u teu na tangaloi hi lo limemiu, nge u veie mwerehi, mo huri na nona tarani, huri nge u ilo na gineu doluegi ve rain mwelue vomai. Tau gimiu nem maraga, nem hako meire tangaloi galegaleasi ram totoe lo gai saroutu mo mate. 
ACT.2.24	Nge i God u vagamwasoie taligu dena mateana, ko mo laie taligu dena huireana nona mateana, huri a mateana he vailei tea ve vin wiribibie. 
ACT.2.25	Huri i Devet u veve hurie vena, nau lehi na Huqe mo labe lo nagoku gesegi, ko lo matueku huri nain he ladoasi tea.
ACT.2.26	Nau lehi na Huqe mo labe
ACT.2.26	lo nagoku gesegi,
ACT.2.26	ko lo matueku huri nain he ladoasi tea.
ACT.2.26	Huri na gineu ngaha,
ACT.2.26	lo domiku ko lo noku leo,
ACT.2.26	gesegi neu nam rong garea u liu.
ACT.2.26	Ineu a tangaloi,
ACT.2.26	ko a noku domiana u huire gesegi,
ACT.2.27	huri gohe siregi vohogi na tamateku tea,
ACT.2.27	vena toga lo tanoi tamatera rau mate beno,
ACT.2.27	Ko gohe siregi na betuku tea,
ACT.2.27	vena mada ko na gahu,
ACT.2.27	huri ineu a nomu tangaloi tabanagi gogona.
ACT.2.28	Gu serelue na matahalai
ACT.2.28	mwasoaku beno, huri niko goin vei na
ACT.2.28	domiku vin hevuhevu u liu,
ACT.2.28	huri iniko goin toga meieu.
ACT.2.29	“Retueku, Neu nam tarani vena veve matamwasaragi lawe gimiu. I tubude hi ta tuei, a henana i Devet u mate beno. Rau tuleginie, a qaruhine mo eno lo tanoda, mo dadari gaqarigi. 
ACT.2.30	Ingeie a tangaloi veverarai gatagale, gimiu neu iloe beno ve i God u vei na waratau gatagale lawea. God u vei na waratau gatagale u siaga lawea, huri vea duvine gatagale vin Ratahigi taligu, mwere i Devet Ratahigi tuei. 
ACT.2.31	I Devet mo leo vea gineu gatagale vin mwelue, ko ingeie mo laqagi huri i vagamwasoi ingeie mo veve vena,
ACT.2.31	God he siregi na tamatena tea
ACT.2.31	vena toga lo tanora tangaloi rau mate
ACT.2.31	a tarabesine he mada tea vena gahu,
ACT.2.31	nge u mwaso taligu dena mateana.
ACT.2.32	God u ragasi Jisas dena mateana, ko ingeie mo mwaso taligu, ko igamai doluegi gam laqagi lue na gineu hi. 
ACT.2.33	I God u tabe hageginie huri ve vin toga lo matuana. I God tamada u bete na Vui Gogona lawera mwere u waratauginie tuei beno. Ko a gineu ngerehi gimiu nem lehire ko nem rongora, a tabana nona Vui Gogona hi i Jisas u betea lawe gamai. 
ACT.2.34	I Devet hi, he hage tea lo eulu nge ingeie hogosie mo veve na leo ngaha vena,
ACT.2.34	A Huqe God mo veve lawe na
ACT.2.34	noku Huqe vena
ACT.2.34	gon toga lo matueku,
ACT.2.35	vin dadari nain teu na nom tavului vuro,
ACT.2.35	rain voragi tanoi gai heheragi kerumu.”
ACT.2.36	“Giniehi, igide a duvi Israel doluegi, dain ilo vurugegi vea hogo a Huqe u lei Jisas hi neu toto vehavehaginie lo gai saroutu. Siserigi ngaha u veie mo voragi noda Huqe koi Ratahigi Vurei vage.”
ACT.2.37	Lune a sinobu sao ram rongo na leo hi, ram rongoe ve mo hogosire u liu. Siu ram hui Bita meire hora lavasigi vage, ram veve vena. “?Retueku, gamai gain vei wuraha?”
ACT.2.38	I Bita mo veve lawera, vena, “Vatavatahagi gimiu nen tudori dena nomiu galegaleasi, ko igimiu doluegi nen garuhigogona lo henai Jisas Kraes, huri God vin lei vohogi na bugumiu. Siu i God vin bete na Vui Gogona hi lawe gimiu. 
ACT.2.39	Huri a waratau noi God mo eno lawe gimiu mei renetumiu, ko lure hi ram toga vagahao tau. A waratau hi mo eno lure hi a Huqe a noda God mo warera vanai lobena.”
ACT.2.40	Ko i Bita mo veve sere na leo hogo hi lawera, ko mo veve na leo u sao huri vena reveire mo veve vena, “Gimiu nen mwalue dena tangaloi esi ingere hi ram toga lobemiu huri nein mwaso dena leo vevegi hi vin hogosire.” 
ACT.2.41	Siu ingere hi ram ladohogo gina nona leo ram lai na garuhigogona, ko lo rani hi, ingere u teri vagatolu ram bulu meire.
ACT.2.42	Vataha tarogi ingere hi ram rorongtagi na leo ingere hi ira gaihora rau huhuire ginie ko ram bulu lo nora burigi hi. Ram bului ram vise na bereti ko ram tataro. Ko gesegi ram huri mwamwavigi na doridori ingere hi. 
ACT.2.43	Lo taro hi i God mo vaire gaihora ram tabanagi na gineu garigiana u sao, ko a gigilegi u sao vage talo nona huireana, tau a tangaloi doluegi ram matagu lawagi gina gineu ingere hi. 
ACT.2.44	A sinobu hi ram ladohogogi Jisas, ram bubugi vurugegi lo burigi gatagale hogosie, siu ngere doluegi ram hilegi na nora hakogineu vatavatahaginire. 
ACT.2.45	Ko ram sogagi na nora vanue, ko a nora hakogineu, huri a nora doridori mwerehi, huri ve rain betegi na manegi, lawera mahoi tangaloi, vin tatarise huri na havagineu hi a mahoi tangaloi ram mahogi lune. 
ACT.2.46	Vataha rani, ingere hi ram bubugi mwere a burigi gatagale, lolo valei God. Ko ram toga ram gagani lolo valera, ko ram vise na bereti mwere hi i Jisas u veve. Siu ingere ram gagani ram rong garea. Ko ram havuhevu gesegi. 
ACT.2.47	Ko ingere ram toga ram waregareagi God, ko a tangaloi lavasigi ram lado mavaginire, vataha bongi a Huqe mo vagamwasoi na tangaloi lavasigi vage, ko mo vile bubuginire doluegi lo burigi hi ram saosao vage.
ACT.3.1	Lo rani gatagale, a taroi tataro, lo matainaho vano, i Bita koi Jon, rom vano lolo valei God. 
ACT.3.2	Aiehi a tangaloi gatagale he dige lai tea, lune u vora a karune u luku. Nge vataha rani ira nona buluana ram walie ram vanai meie, ram taue lo matai arai valei God, a henagi a mataiara kelakelana. Ko lune nge mo toga mo navunevu mane den rahine ram vano lolo vale gogona hi. 
ACT.3.3	Lune nge mo lehi Bita tona Jon rom dige ve ron vano lolo valei god, nge mo navunevu denire ve ron bete te gineu lawea. 
ACT.3.4	Bita koi Jon rom leo vano vovohoi na tangaloi hi, Bita mo veve vena, “Gon lehi gamaru.” 
ACT.3.5	Ko nge mo lehire, koi nge mo lado ve roin bete te gineu lawera. 
ACT.3.6	Ingeie Bita mo veve lawea vena. “Hatie gineu meieu ve nai bete lawego, nge a gineu gatagale hogosie a noku ve nai bete lawego. Lo henai Jisas Kraes ta Nasaret, nam veve lawego gon maraga gon dige.” 
ACT.3.7	Koi Bita mo duleie lo matuana vena labe. Nge siserigi a karune mena hariheri nana ram garea. 
ACT.3.8	Ko ingeie mo maraga siserigi mo labe, ko mo dige mo hurire ram vano lolo valei God. Mo dige mo rovorovo hageulu ko mo waregareagi God. 
ACT.3.9	A tangaloi doluegi ram lehe mo dige, ko mo waregareagi God. 
ACT.3.10	Lune ram leo hogosi na tangaloi hi ve ingeie hi gesegi mo toga mo navunevu lo matai vale hi a valei God, ingere ram awogi u liu hurie. Ko ingere doluegi ram awogi ko ram rurururugi gina gineu u vei lawe na tangaloi hi.
ACT.3.11	Lune a tangaloi ingere hi ram awogi garagara, ram toa ram vanai lobei ngaraha gaitolu hi lo malumelui valei God hi a henagi vea malumelui vale noi Solomon. Aiehi a tangaloi hi mo dule mo siaga lo limei Bita tona Jon. 
ACT.3.12	Lune i Bita mo lehi na tangaloi ngerehi, mo laqa meire, mo veve vena, “Ira duvi Israel, ?Huri havagineu igimiu nem awogi garagara huri na gineu ngaha? Huri havai gimiu nem labe nem lelehuri gamaru mwerehi? ?Bataha nem lado ve guru vagamwasoi na tangaloi ngaha mo dige gina nomaru huireana sibomaru, sige huri vei gamaru a tangaloi gogona, sige a havai? !Io hatie! 
ACT.3.13	God noi Ebraham noi Aesak ko noi Jekob, ko a God noi retubude, ingeie hi u vei na gineu ingere hi. U tabe kalo na henai nona tangaloi tabanagi, Jisas. I Jisas nge tau hi neu teue lo tanoi vevegi, nge gitomuegi i Baelat u veve beno ve vin siregi tabetabeginie, ingeie gimiu nem veve lo nagoi Baelat vena nehe taranie tea. 
ACT.3.14	Ingeie Jisas hi nge a tangaloi gogona, ko ingeie a tangaloi vovohoi, ingeie gimiu nehe taranie tea. Ingeie gimiu nem navu dei Baelat vena vai na nomiu tarani, na siregi tabetabegi na tangaloi uebalu. 
ACT.3.15	Lo doridorigi hi, gimiu neu wehi na tangaloi a Vui Maso, u mate nge lo tagugi hi, God mo vagamwasoie taligu dena mateana, ko igamai gam veve sere na gineu ngaha huri vea hogo. 
ACT.3.16	Ko a huireana talo henai Jisas hi, mo vai vagamwasoi na tangaloi ngaha, mwere nem lehe ko neu iloe beno. A gineu mo vai lawe na tangaloi ngaha a vevenagi igamai gam lado hogo lo henai Jisas. Huri gamai gam lado hogogi Jisas, giniehi, a karune mo garea nge mo dige, mwere igimiu doluegi nem lehe.” 
ACT.3.17	Io retueku. Ineu nau ilo vea gineu ingere ngaha neu veire gitomue lawe Jisas, ko ira lawua goro gimiu vage rau veire, ko igimiu doluegi nehe ilo vurugegi na havagineu tea neu veire. 
ACT.3.18	Nge ngaha hi a matahala i God u veve rarai gitomue, ram dadari. Lo leo ligoligogi den nona tangaloi ligoligogi rau dadari beno ve i ratahigi vurei vin rong gagarasi lo tarabesine.
ACT.3.19	!Siu igimiu nen ladowenigi nen tudori vano lobei God! Huri ingeie vin lado vohogi na bugumiu. 
ACT.3.20	Nein vei mwerehi huri God vin bete na huireana garaqa lawe gimiu lolo nomiu domiana. Ko nge vin hora Jisas su lobemiu, ingeie na nomiu Ratahigi Vurei, i God u leo wahea beno. 
ACT.3.21	Ingeie Jisas vin toga lo eulu vin dadari a gineu doluegi rain garaqa taligu, mwerei God u veve beno tuei lawera nona tangaloi veve rarai gogona. 
ACT.3.22	I Mosis u veve vena, “A Huqe a nomiu God vin hora na tangaloi serelue gatagale den duvimiu mwereieu, vin vanatu lobemiu. Nein ronghuri vurugegi na gineu doluegi hi nge vin vevera lawe gimiu.” 
ACT.3.23	Tare i rahine rahe rorongtagi na leo nona tangaloi veve rarai hi tea, god vin vuro vohoginire dena nona sinobu, ko a tangaloi ngerehi rain sala. 
ACT.3.24	Io a hogo. Ira tangaloi veve rarai lavasigi vage, u teuvuigi lui Samuel koi ingere hi vage rau vomai lo tagune, ingere doluegi rau veve rarai na leo, huri na rani ingere ngaha. 
ACT.3.25	A waratau noi God denire nona tangaloi serelue u warataugi huri gimiu, ko a ladobubugi i God u veie beno tuei mei retubumiu, a nomiu vage. A leo i God u teu lawe Ebraham vena, “Ineu nai vei gareagi na sinobu lolo ureure gena duvimu. 
ACT.3.26	Huri God vin leo wahe na nona tangaloi tabanagi, ko vin horae vonai lawe gimiu gitomue, huri vin veigareagi gimiu, huri vin vei gimiu nen tudori den nomiu galegaleasi.”
ACT.4.1	Bita koi Jon lune ingere rom laqa mosigei lawera sinobu, ira rugurugu ko a tomtomuegi nora bolis talo valei God, ko meire Sadusi ram vonai kakarani lobera. 
ACT.4.2	Ram lologagasi garagara gina gaihora gairue hi, huri ingere rom huhuire tangaloi huri vei Jisas u maraga dena mateana, giniehi, mo haharagi hurive a tangaloi rain mate siu rain maso taligu. 
ACT.4.3	Ram wiribibire, ram taure lolo valei vauveu, roin toga vin dadari lo rani tuegi huri a taro u vano beno. 
ACT.4.4	Nge a sinobu sao rau rongo na nora leo huhui ram lado hogo. A tovoi mwera hogosie hi rau lado hogo, u kakarani teri vagalime.
ACT.4.5	Lo rani tuegi, ira tangaloi lalawua a duvi Israel meire tamaragai ko ira huhui talo Leo hora noi Mosis, ram vomai bubugi Jerusalem. 
ACT.4.6	Ram bulu mei Anas hi ingeie a muei rugurugu ko i Kaeavas, Jon, Aleksanda, ko a tangaloi lavasigi vage ingere a duvi muei rugurugu ve ron vai na nora Kansel. 
