MAT.1.1	Ani sén i dad dagit i gutambul Dyisas Krayst, i bel Harì Dabid, dunan i bel Abraham. 
JHN.1.32	Na lê talù Dyan, manan, “Teen-gu Tulus i Dwata tufa mdà di langit gambet abun, na mnè di kenen. 
JHN.1.33	Di munan, là dilègu kenen, bay Dwata, i mdek do munyag fagu di éél, i man dun di do, ‘Teenam i Tulus mdaf na mnè di satu to, na yé sa i munyag fagu di Mtiu Tulus.’ 
JHN.1.34	Na ta teen-gu i ilè ayé, na ani tulen-gu di gamu, kenen sa Ngà i Dwata.”
JHN.1.35	Di tmadol du, ta lê déé Dyan na i lwe dad to galan tdò. 
JHN.1.36	Na kanto meye Dyan, teenan Dyisas magu, na manan di dale, “Neyeyu, ta déé Ngà Bilibili i Dwata.” 
JHN.1.37	Na kanto linge i lwe to gal tdò Dyan i manan, ta mdà ale magin ku Dyisas. 
JHN.1.38	Na kanto kmangél Dyisas, teenan ale magin di kenen, na snalekan ale, manan, “Dét i fanngabalyu?” Na manla di kenen, “Rabay, nè gumnèam?” (Na yé gumtatek Rabay ani dunan “To Tamdò.”) 
JHN.1.39	Na man Dyisas di dale, “Flal gamu du fye teenyu.” Na fles ale magin di kenen, na teenla i gumnè gufanakan. Na fanak ale là mlo di safédan du ta tngà masol i du.
JHN.1.40	Na yé satu di lwe dad to lminge ku Dyan na magin ku Dyisas, dunan Andru, i flanek Simon Piter. 
JHN.1.41	Na gasilan fanngabal Simon, i flanekan. Na kanton teen, manan dun, “Ta teenmi i Mésaya.” (Na yé gumtatek Mésaya dunan Krayst, i Mgalék Dwata.) 
JHN.1.42	Na nebe Andru Simon salu ku Dyisas. Na kakella ditù, too falnunu Dyisas Simon, na manan, “Ge sa Simon i ngà Dyan. Bay mdà ani, yé dagitam Sifas.” (Salngad i gumtatek i dad dagit Piter na Sifas, dunan “Batu.”)
JHN.1.43	Na di tmadol du, ta sansatu Dyisas nawan salu ditù di probinsya Galili, na kanton teen Filip, manan dun, “Magin ge do.” 
JHN.1.44	Na yé gumdà Filip di banwe dnagit Bétsayda, dunan i gumdà ale Andru na Piter. 
JHN.1.45	Na fanngabal Filip Natanyél. Na kanton teen, manan dun, “Ta teenmi i to man Mosis di ksulatan i uldin Dwata, na lê man i dademe tugad i Dwata di munan, dunan Dyisas mdà di banwe Nasarét, i ngà Dyosip.” 
JHN.1.46	Na man Natanyél di kenen, “Nun kè fye to mdà di Nasarét?” Na man Filip di kenen, “Flal ge. Neyem.” 
JHN.1.47	Na di kafdadongla ditù di ku Dyisas, ta teen Dyisas Natanyél, na ta manan gablà di kenen, “Too glut Dyu i to ani du là fulungan malew.” 
JHN.1.48	Na smalek Natanyél, manan, “Kan dé ku dilèam agu?” Na tmimel Dyisas, manan di kenen, “Di là fa tlo Filip ge, ta sanata ge teen di dungan i kayu fig.” 
JHN.1.49	Na man Natanyél di kenen, “Sér, ge sa Ngà i Dwata, na ge sa i Harì di Israél.” 
JHN.1.50	Na man Dyisas di kenen, “Ftoo ge kè du mdà di kman-gu dun ta teenta ge di dungan i kayu fig? Midul fa déé i dad tnikeng nimò teenam.” 
JHN.1.51	Na manan di dale, “Too glut i man-gu di gamu, na nun du kadang, teenyu i langit ta mgukà, na myak na lê tufa i dad kasaligan i Dwata salu di do, i dnagit Ngà To.”
JHN.2.1	Di gatlun du, nun song di lunsud Kana ditù di probinsya Galili. Na ditù i yê Dyisas. 
JHN.2.2	Na lêla nlak Dyisas na i dad to galan tdò, taman lê ale magin. 
JHN.2.3	Na kanto mti i binu, ta man yêan di kenen, “Ta landè sa binula.” 
JHN.2.4	Bay baling man Dyisas di yêan, “Libun, nang ge lmabet di nimògu. Là fa kel i bang kfitegu i kdatahgu.” 
JHN.2.5	Na man i yêan di dad snalig, “Nimenyu balù dét dekan gamu.”
JHN.2.6	Na nun nam namuh déé galla gumkah éél du alob i dad Dyu du yé lalòla di kafaglutla. Na kat satu namuh ayé, lime ku demen nam lata i laman. 
JHN.2.7	Na yé duenam man, ta man Dyisas di dad snalig ayé, “Fananòyu éél i dad namuh ani.” Na fananòla. 
JHN.2.8	Na fnge man Dyisas di dale, “Mwè gamu, na bléyu di to magot i song.” Na ta banléla di kenen. 
JHN.2.9	Na ta tilew i to magot i song i éél ta mbaling binu. Là sa gadèan gumdà i binu ayé. (Bay lo yé gmadè dun i dad snalig mwè i éél gine). Taman, ta tlon i lagi sansong, 
JHN.2.10	na manan di kenen, “Yé galla nimò di dad song funala blé i binu too fye, na ku ta bong ginum i dad to, yé klola mlé i binu là too fye neman. Bay ge, ani klom baling falwà i too fye binu.” 
JHN.2.11	Yé tnanin tnikeng nimò Dyisas du fye fiten i kdatahan, taman, ta ftoo di kenen i dad to galan tdò. Na ditù gumimòan dun di lunsud Kana di Galili.
JHN.2.12	Na kafnge ayé, ta mdà Dyisas salu di Kapernaum, na magin i yêan, na dad flanekan, na lê man dad to galan tdò, na mnè ale ditù di Kapernaum di là mlo.
JHN.2.13	Na ta mdadong nan i fista dnagit dad Dyu Fista Du Kaglius, taman, fles Dyisas ditù di Dyérusalém. 
JHN.2.14	Na kanto kel ditù, ta fusuk di Bong Gumnè Gumangamfù di Dwata, na nun teenan dad to fabli dad safì, bilibili, na abun. Na lê sudeng déé i dad to gal sasambì filak. 
JHN.2.15	Na mimò Dyisas fas tali, na ndalan i kdee mnè di gumnè ayé, balù i dad bilibili na i dad safì. Na lugadan dad lamisa i dad to sasambì filak, na sabulan i dad filakla. 
JHN.2.16	Na klon blaling di dad to fabli abun, na manan, “Nebeyu lamwà i dad fabliyu ani. Nangyu fanbaling fadyan i gumnè Màgu.” 
JHN.2.17	Na di kaklinge i dad to galan tdò ayé, ta gafaldamla i sulat di Tnalù Dwata, manan, “I kalbong nawagu i Gumnèam dminè salngad lifoh di lam nawagu.”
JHN.2.18	Na kanto teen dad ganlal i dad Dyu i nimò Dyisas ayé, snalekla kenen, manla, “Nun tnikeng gaganam nimò kè du gudmilèmi dun na nun ktoom mimò ayé?” 
JHN.2.19	Na tmimel Dyisas, manan, “Lanbàyu i Gumnè Dwata ani, na lêgu man fdak di lam i tlu du.” 
JHN.2.20	Na manla di kenen, “Fat falò nam fali klo mimò i Gumnè Dwata ani, na lom lê fdak di lam i tlu du?” 
JHN.2.21	Bay i gumnè man Dyisas ani dunan i lawehan. 
JHN.2.22	Na yé duenam man, kanto mték Dyisas di fati, ta gafaldam dad to galan tdò i manan ayé, na ta fantoola i gsulat di Tnalù Dwata, na i man Dyisas. 
JHN.2.23	Na di klo Dyisas fanak di Dyérusalém di lam i Fista Du Kaglius, nun dee dad to ftoo di kenen du mdà di kitela dad tnikeng nimòan. 
JHN.2.24	Bay Dyisas, là ti snaligan ale du ta sanan gadè i fandam i kdee dad to. 
JHN.2.25	Na balù landè tmulen kenen ku dét mnè di fandam i dad to, du ta sanan gadè i fandamla.
JHN.3.1	Na nun satu ganlal di dad Dyu, yé dagitan Nikodimus, na kenen satu Farisi. 
JHN.3.2	Di satu kifuh, salu kenen di ku Dyisas, na manan dun, “E Sér, gadèmi na ge i satu to tamdò mdà di Dwata, du landè to gmagan mimò dad tnikeng gambet i teenmi dini ku ise Dwata i magin di kenen.” 
JHN.3.3	Na man Dyisas di kenen, “Too ti glut i man-gu di ge ani, na landè to mite
JHN.3.4	Na smalek Nikodimus, manan, “Dét kibò i satu to lê sut samfulê ku ta tua kenen? Landè kibòan samfulê di lam tien i yêan du fye lê man sut.” 
JHN.3.5	Na tmimel Dyisas, manan, “Too ti glut i man-gu di ge. Silang gfusuk i satu to di Kagot i Dwata ku sut kenen fagu di éél na di Tulus i Dwata. 
JHN.3.6	Du nè sut di to, to kenen, na nè sut di Tulus i Dwata, lmalò di Tulus Dwata. 
JHN.3.7	Taman, nang ge tikeng di kman-gu dun di ge, là fakay ku là lê gamu sut samfulê. 
JHN.3.8	Kaflingenta dun, i nus, mbal tati fiho i gusalun, lingem i lukan, bay knèan là gadè ku nè gufdun, na i gusalun. Salngad ani kdee dad to sut fagu di Tulus i Dwata.” 
JHN.3.9	Na smalek Nikodimus, manan, “Det kè i kfagu na mgimò ani?” 
JHN.3.10	Na tmimel Dyisas, manan, “Ge i satu to tamdò i dad to Israél, na làam kadì glabat ani? 
JHN.3.11	Too ti glut i man-gu di ge. Nè i gadèmi, yé tdòmi, na nè i teenmi, yé tulenmi, bay knèan sana là kaftooyu dad manmi. 
JHN.3.12	Ku là fantoom i ta tulen-gu di ge gablà di kagkah dini di tah tanà, dét i kibò kaftoom ku ye tulen-gu di ge i kagkah ditù di langit? 
JHN.3.13	Landè ti to lmen gfusuk di langit, bay lo do dnagit Ngà To, du yé gumdàgu di langit.
JHN.3.14	“Di munan, tlawéng Mosis i ulad tambaga di banwe landè to mnè ditù na nketan fdatah. Na do, i dnagit Ngà To, salngad ayé kadang i kagkahgu du tlawéngla agu di kayu, na nketla agu fdatah, 
JHN.3.15	du fye i kdee dad to ftoo di do gfunla nawa landè sen. 
JHN.3.16	Du mdà di too kalbong nawa Dwata i kdee dad to di klamang banwe, blén i sen Ngàan du fye nè i to ftoo di kenen, là ti malmon, bay gfunan nawa landè sen. 
JHN.3.17	Ise ku yé duen Dwata mdek i Ngàan salu di tah tanà ku falnayaman i dad to, bay falwàan ale.
JHN.3.18	“Na nè to ftoo di Ngà i Dwata, ta là falnayam Dwata dun, bay nè to là ftoo di kenen, ta nukum di kaflayam du là fantoon i sen Ngà Dwata. 
JHN.3.19	Na ani duen Dwata falmayam du ta salu dini i Salò di tah tanà, bay i dad to, knangla i Salò du yé kanbongla nawa i kifuh du tà teen i dad sasè nimòla. 
JHN.3.20	Du i to mimò sasè, knangan i Salò, na là mayèan fdadong di Salò tà teen i dad sasè nimòan. 
JHN.3.21	Bay i to tluh nimòan, fdadong kenen di Salò du fye teen na i kdee dad nimòan slame mdà di Dwata.”
JHN.3.22	Kafnge ayé, ta mdà Dyisas na i dad to galan tdò salu di probinsya Dyudiya. Fanak kenen déé là mlo, na munyag. 
JHN.3.23	Na lê munyag Dyan ditù di satu tukay banwe dnagit Énon mdadong di Salim du nun bong éél ditù. Na nun dee dad to salu di kenen du fbunyag ale, 
JHN.3.24	du di du atù, là fa blanggù Dyan.
JHN.3.25	Na di satu du, i dad to gal tdò Dyan, sgil ale i satu Dyu gablà di kafbunyag. 
JHN.3.26	Taman, ta salu ale di ku Dyan, na manla di kenen, “E Sér, gafaldamam i demem gal sgalak ditù di faltù Dyordan, dunan i galam tulen? Gal kenen munyag, na ta too dee dad to magin di kenen.” 
JHN.3.27	Na man Dyan di dale, “I to tanà, landè gnaganan ku là blé Dwata dun di kenen. 
JHN.3.28	Balù gamu sa, ta lingeyu i man-gu di gamu na ise do Krayst, i Mgalék Dwata, bay dek Dwata agu muna di kenen. 
JHN.3.29	Ku nun sansong, yé gumagin i libun di demen song. Na mdà i to mnè di bleng, fatanan ktalù i lagi sansong. Na ku ta lingen, too bong i klehewan. Na do i mnè di bleng, salngad ayé ksikof i do klehew. 
JHN.3.30	Là fakay ku là midul i kenen kdatah, na do, too midul i kdanàgu.
JHN.3.31	“Ku nè mdà di langit, kenen mdatah di kdee. Nè mdà di tah tanà, lo to tanà kenen, na yé santulenan i kagkah di tah tanà. Bay nè mdà di langit, mdatah kenen di kdee. 
JHN.3.32	Na balù ku tulenan i ta teenan na i ta lingen, bay knèan, là dee ftoo di tulenan. 
JHN.3.33	Bay nè to dmawat i tulenan, yé fgadèan na Dwata too ti glut. 
JHN.3.34	Na i to ta dek Dwata, lo yé manan i tnalù Dwata du là gagan bantas i kablé Dwata i Tulusan di kenen. 
JHN.3.35	Bong nawa Mà i Ngàan, taman ta fagotan di kenen i kalbong kdee. 
JHN.3.36	Na nè to ftoo di Ngà Dwata, gamdawat nawa landè sen. Bay nè i to là ftoo di Ngà Dwata, là gamdawatan nawa landè sen, bay klonto mnè di tahan i kalbut Dwata.”
JHN.4.1	Ta linge dad Farisi mas dee i dad to gebe na bnunyag Dyisas di ku Dyan. 
JHN.4.2	(Bay di ktoon, ise ku Dyisas i munyag, bay i dad to galan tdò). 
JHN.4.3	Na kanto linge Dyisas i man dad Farisi ayé, tnagakan Dyudiya, na samfulê di Galili. 
JHN.4.4	Na là fakay ku là magun di Samarya.
JHN.4.5	Na manak Dyisas magu, ta kel di satu tukay banwe dnagit Sikar glam di Samarya mdadong di tanà ta blé tdohan Dyékob di ku Dyosip, i ngàan. 
JHN.4.6	Na déé i sana sol éél Dyékob. Kanto ltu i du, ta sudeng Dyisas di saféd i sol éél ayé du ta mlungay magu.
JHN.4.7+JHN.4.8	(Bay là déé dad to gal tdò Dyisas du ta fles ale mayad knaan di lunsud). Na là mlo mdà ayé, ta nun satu libun mdà di Samarya kel di sol éél ayé du smulu. Ta man Dyisas di kenen, “Begam agu finum.” 
JHN.4.9	Na tnimel i libun ayé Dyisas, manan, “Ge satu Dyu, na do satu libun mdà di Samarya. Kan kè ku mni ge éél di do?” (Yé duenan man ayé du suteh nawa i dad Dyu na i dad to di Samarya). 
JHN.4.10	Na lê tmimel Dyisas, manan, “Ku lom gadè moon i knayè Dwata blé di ge na ku dilèam i to mni éél di ge, ta ge i baling mni di do du banléta ge éél mlé falami nawa.” 
JHN.4.11	Na man i libun ayé di kenen, “Bay Sér, landè sa wèam éél, na too mngalam i sol éél ani. Nè gumwèam dé i manam éél ayé mlé falami nawa? 
JHN.4.12	Yé mlé i sol éél ani di gami i gutambulmi, Dyékob. Di munan, dini galla gumwè ninumla i dad ngàan na dad lmanafan. Kan? Mas mdatah ge kè di ku Dyékob?” 
JHN.4.13	Na tmimel Dyisas, manan di kenen, “Nè i to minum di éél ani, lê malinuman. 
JHN.4.14	Bay nè i to minum i éél blégu, ta là lê man malinuman kel di landè sen, du i éél blégu ayé mgimò sfut di lam i nawan na mlé kenen nawa landè sen.” 
JHN.4.15	Na man i libun ayé di ku Dyisas, “E Sér, banlém agu éél manam ayé du fye ta là malinumgu, na fye ta là lê agu samfulê smulu dini.” 
JHN.4.16	Na man Dyisas di kenen, “Mdà ge. Nngém yaanam, na samfulê ge dini.” 
JHN.4.17	Na tmimel i libun ayé, manan, “Landè sa yaan-gu.” Na man Dyisas di kenen, “Too i manam ayé na landè yaanam. 
JHN.4.18	Bay ta lime sa i kdee yaanam, na i lagi demem ani, ise yaanam. Too i manam ayé.” 
JHN.4.19	Na man i libun ayé di kenen, “Fantoogu na ge satu tugad i Dwata. 
JHN.4.20	I dad gutambulmi, yé gumangamfùla di Dwata di bulul ani, bay gamu dad Dyu, yé manyu Dyérusalém i gumangamfù di Dwata.” 
JHN.4.21	Bay man Dyisas di kenen, “Fye ku fantoom i man-gu di ge ani. Kel i du ta ise di bulul ani ku demen di Dyérusalém i gumangamfù di Mà. 
JHN.4.22	Gamu dad to di Samarya, là dilèyu i fnangamfùyu. Bay gami dad Dyu, dilèmi i fnangamfùmi du yé sa gumdà i kagalwà di dad Dyu. 
JHN.4.23	Bay fan kel i du, na ani ta dini, i dad to too dunan mangamfù di Dwata, mangamfù ale mdà di nawala na di ktoon. Ani i kfangamfù di Dwata knayè Mà di dad to mangamfù di kenen. 
JHN.4.24	I Dwata, Tulus kenen, na yé duenam man, nè i to mangamfù di kenen, là fakay ku là mangamfùan mdà di nawan na di ktoon.” 
JHN.4.25	Na man i libun ayé di kenen, “Gadègu gadini i Mgalék Dwata, i dnagit Krayst, na ku ta kel kenen, fbatengan fgadè i kdee.” 
JHN.4.26	Na man Dyisas di kenen, “Do sa i manam ayé, dunan i ta stulen di ge ani.”
JHN.4.27	Na kafnge ayé, ta lê kel i dad to galan tdò, na tikeng ale du ta yé demen stulen libun. Bay landè balù satu di dale gamlas smalek ku dét i knayèan, na ku dét i duenan stulen di kenen. 
JHN.4.28	Bay i libun ayé, tnagakan i namuhan, na ta samfulê di lunsud du tnulenan i dademen, 
JHN.4.29	na manan, “Flal gamu na neyeyu. Nun to ditù ta tulenan do i kdee dad nimògu. Keng kenen Krayst, i Mgalék Dwata.” 
JHN.4.30	Na ta mdà ale lamwà di lunsud ayé du salu ale ditù di ku Dyisas.
JHN.4.31	Na di lam i dad to ayé là fa kel di ku Dyisas, fakdo dad to galan tdò di kenen, manla, “Amu, beg ge kmaan.” 
JHN.4.32	Bay man Dyisas di dale, “Nun sa do knaan i làyu gadè dun.” 
JHN.4.33	Na sasalek i dad to galan tdò, manla, “Keng ta nun tmunda dun knaan?” 
JHN.4.34	Na man Dyisas di dale, “Yé do knaan dunan i kimen-gu i knayè Mà, dunan i mdek do, na i kafngegu i fimòan do. 
JHN.4.35	Ise yé galyu man, ‘Fat bulen klon kel i bang kamtu?’ Bay ani man-gu di gamu. Neyeyu i dad fele du ta tagah, na ta gablà ale kantu. 
JHN.4.36	I to kamtu, nun sukéyan, na santifunan i dad ulê du fye gfunla i nawa landè sen. Na yé duenam man, i to mlah na i to kamtu, sasatu ale flehew. 
JHN.4.37	Taman, too glut i galla man, ‘Mahal i to mlah, na mahal i to kamtu.’ 
JHN.4.38	Ta dekta gamu kamtu di ise gamu fanlah. Dademe i mlah dun, bay gamu gamdawat lubayla.”
JHN.4.39	Na nun dee dad to ftoo di ku Dyisas mdà di lunsud ayé di Samarya du mdà di ktulen i libun ayé, du manan, “Ta tulenan do i kdee dad nimògu.” 
JHN.4.40	Na kanto kel i dad to ayé di ku Dyisas, beg ale fakdo di kenen du fye fanak di safédla, taman fanak kenen ditù lwe butang klon. 
JHN.4.41	Na nun fa dee dademe to ftoo di kenen du di laman fanak di banwela, gal kenen tamdò. 
JHN.4.42	Na man i dad to di libun ayé, “I kaftoomi ise ku lo mdà di ktulenam dun di gami, bay ta toomi linge di kenen, na ta gadèmi kenen i Falwà i dad to di klamang banwe.”
JHN.4.43	Na kafnge lwe butang, ta mdà Dyisas mulê di Galili. 
JHN.4.44	Yé man Dyisas, “I tugad Dwata là sa nafè i dad to dun di kenen banwe.” 
JHN.4.45	Bay kakelan di Galili, toola kenen dnawat, du ta ale di Fista Du Kaglius di Dyérusalém, na ta teenla kdee dad nimòan ditù.
JHN.4.46	Na kafnge ayé, ta samfulê Dyisas di Kana di Galili, dunan i banwe gufambalingan binu i éél. Na nun satu ganlal déé nun tduk i ngàan lagi ditù di Kapernaum. 
JHN.4.47	Na kanto linge i ganlal ayé na ta kel Dyisas di Galili fdu di Dyudiya, salu kenen di ku Dyisas na fakdo di kenen du fye gatù Dyisas di Kapernaum fye fan-gulêan i ngàan du ta fan mati. 
JHN.4.48	Bay man Dyisas di kenen, “Balù man ge, leg. Landè di gamu ftoo di do, silang ku teenyu i tnikeng nimògu na ilè i kdatahgu.” 
JHN.4.49	Bay man i ganlal ayé di ku Dyisas, “E Amu, beg ge salu gatù di lam i ngàgu là fa mati.” 
JHN.4.50	Na man Dyisas di kenen, “Mulê ge nan du ta mgulê i ngàam.” Na fantoo i ganlal ayé i man Dyisas di kenen, na ta mdà mulê. 
JHN.4.51	Na di kulêan, snitong dad fasakan kenen, na manla, “Ta mgulê i ngàam.” 
JHN.4.52	Taman, snalekan ale, manan, “Dét kibò du kgulê i ngàgu.” Na tmimel ale, manla, “Ta kléh i du balfabi kakah i initan.” 
JHN.4.53	Na i ganlal ayé, ta gafaldaman i kman Dyisas dun di kenen di ta kléh i du, “Ta mgulê i ngàam.” Na ta toon fantoo Dyisas, na lê magin i kdee dademen di gumnèan. 
JHN.4.54	Na yé galwe tnikeng nimò Dyisas, na déé gumimòan dun di Galili di kakelan fdu di Dyudiya.
JHN.5.1	Na kafnge ayé, nun fista i dad Dyu di Dyérusalém, na salu Dyisas ditù. 
JHN.5.2	Na nun lanaw déé di Dyérusalém, na yé dagit dun di talù Hibru Bétsata. Na déé gumnè i lanaw ayé di saféd i gufusuk i dad bilibili, na nun lime dalan tufa i nun slung. 
JHN.5.3	Na nun dee dad to milè déé sahal tdukla. Nun dad butè, na kimay, na dad to là galyak i lawehla. Na tadè ale fanak déé du fatanla i ksambug i éél. 
JHN.5.4	Du slaan nun satu kasaligan i Dwata gal tufa salu di lanaw ayé, na snambugan i éél. Na di kafnge i kasaligan smambug, nè i guna falnab, yé mgulê balù dét i tdukan. 
JHN.5.5	Na nun satu to déé ta tlu falò walu fali i ta klon fandas. 
JHN.5.6	Na kanto teen Dyisas kenen di gumilèan, gadèan na ta mlo nan i tduk i to ayé, na manan di kenen, “E leg, mayè ge kè mgulê?” 
JHN.5.7	Na tmimel i to ayé, manan, “E Sér, landè tmabeng do falnab di éél ku ta magsambug, na di lamgu là fa gafalnab, ta gal guna i dademe.” 
JHN.5.8	Bay man Dyisas di kenen, “Tadag ge, fantifasam i gumilèam, na magu ge.” 
JHN.5.9	Na di kman Dyisas ayé, tadè mgulê i to ayé, na ta fantifasan i gumilèan, na ta mdà magu. Na mgimò ayé di Du Kaftud i dad Dyu. 
JHN.5.10	Taman, man i dad Dyu di to ayé, “Du Kaftud sa ani, na là fakay di uldin Dwata gito ku nebem i gumilèam di Du Kaftud.” 
JHN.5.11	Na tmimel kenen, manan, “I to famgulê do, yé i man do, ‘Fantifasam i gumilèam na magu ge.’ ” 
JHN.5.12	Na snalekla kenen, manla, “Simto kè i mdek ge mebe i gumilèam na mdek ge magu?” 
JHN.5.13	Bay là gadè i to ayé ku simto i famgulê dun du ta dee dad to stifun déé, na ta talgunus Dyisas mdà. 
JHN.5.14	Bay kafnge ayé, teen Dyisas kenen di Bong Gumnè Gumangamfù di Dwata, na manan dun, “Na ani, du ta mgulê ge, ta nang ge lê fagsalà tà lê man matnù i ksasè mkel di ge.” 
JHN.5.15	Na ta mdà i to ayé, na tnulenan dad ganlal i dad Dyu na Dyisas i famgulê kenen.
JHN.5.16	Taman, tanbùla falnayam Dyisas du ta fan-gulêan i to ayé di Du Kaftud. 
JHN.5.17	Bay man Dyisas di dale, “Là ftud i Màgu kenen mimò kel ani. Na yé duenam man, lê agu do mimò.” 
JHN.5.18	Taman, too midul kayè i dad ganlal i dad Dyu meye kfagu kfatila kenen du yé fandamla, ta lwe salàan. Ise ku lo lnafàan i uldin gablà di Du Kaftud, bay di kmanan dun na Dwata kun i Màan, ta fasalngadan i kton di Dwata.
JHN.5.19	Bay tmimel Dyisas, manan di dale, “Too ti glut i man-gu di gamu na do i Ngà Dwata, landè gnagan-gu nimò ku lo do. Lo yé nimògu i teen-gu di ku Mà, na nè i nimò Mà kenen, yé lêgu do nimò. 
JHN.5.20	Du mdà di kalbong nawa Mà do, galan fite di do i kdee nimòan. Na nun fa dademe i fanan fite di do i mas gamtikeng di ta muna nimòan du fye too gamu tikeng. 
JHN.5.21	Du gal nték Màgu i dad mati na banlén ale nawa, lê salngad ayé, banlégu nawa ku simto i knayègu banlé. 
JHN.5.22	Na landè nukum Mà, balù simto dun. Bay ta blén di do i kdatah mukum i kalbong kdee, 
JHN.5.23	du fye i kdee dad to, nafèla agu salngad kafèla di ku Mà. Ku nè to là mafè do, là lêan nafè Màgu, i mdek do.
JHN.5.24	“Too ti glut i man-gu di gamu, na nè to flinge di Tnalùgu na ftoo di mdek do, nun nawan landè sen, na ta là kenen falnayam, du ta gifal mdà di fati salu di nawa landè sen. 
JHN.5.25	Too ti glut i man-gu di gamu. Fan kel i du, na ani ta dini, ta linge dad to mati di dad salàla i talù i Ngà Dwata. Na nè to too flinge, mlawil kenen. 
JHN.5.26	I Màgu Dwata, kenen gutambul i nawa, na ta lêan agu nimò gutambul i nawa. 
JHN.5.27	Na ta lê blé Màgu di do i kdatah na ktoo mukum du do sa dnagit Ngà To. 
JHN.5.28	Bay nang gamu tikeng di kman-gu ani, kel i du na i kdee dad mati déé di lbangla, lingela i talùgu. 
JHN.5.29	Na lamwà ale di dad lbangla, na nè dad to mimò fye, mték ale na mlawil. Na nè dad to sasè nimòla, mték ale na falnayam.
JHN.5.30	“Landè gnagan-gu nimò ku lo do. Bay mukum agu lmalò di man Mà di do. Taman, tluh i kukumgu du ise ku do knayè i nimen-gu, bay i knayè Mà, du kenen i mdek do. 
JHN.5.31	Na ku lo do i tmulen gablà di ktogu, balù là fantooyu agu. 
JHN.5.32	Bay nun fa satu tmulen gablà di do, na gadègu na i kdee manan gablà di do slame glut. 
JHN.5.33	Gamu sa i mdek dad to di ku Dyan du fsalekyu kenen, na ta tulenan i kaglutan. 
JHN.5.34	Bay ise ku yé gusmaliggu i man dad to gablà di do, bay logu man ani du fye galwà gamu. 
JHN.5.35	Na Dyan, gambet kenen salò mneng na tmuyal di gamu, na flehew gamu là mlo di nengan.
JHN.5.36	“Bay nun tmulen gablà di do too mdatah fa di ktulen Dyan. I dad nimò ta fimò Mà do, yé tmulen gablà di do na ilè na dek Mà agu. 
JHN.5.37	Na Mà, i mdek do, lê kenen i tmulen gablà di do. Bay gamu, là lmenyu lminge i talùan, na là lêyu lmen mite i bawehan. 
JHN.5.38	Na yé duen là mnab di nawayu i Tnalùan du là fantooyu i ta dekan. 
JHN.5.39	Na galyu ganbet i Tnalù Dwata du yé man nawayu mdà déé gamfun gamu nawa landè sen, na blaam yé tmulen gablà di do. 
JHN.5.40	Bay knèan, là mayè gamu salu di do du fye gfunyu i nawa. 
JHN.5.41	Na ise ku yé fanngabalgu i kdayen i dad to, 
JHN.5.42	bay gadègu gamu, na gadègu là kanbongyu nawa i Dwata. 
JHN.5.43	Salu agu dini fagu di dagit Mà, bay làyu agu dnawat. Bay ku nun to salu dini di kenen dagit, baling yé dnawatyu. 
JHN.5.44	Na yé knayèyu i kdayen i dademeyu to, bay làyu nusal kdayen mdà di too glut Dwata. Taman, landè kibòyu ftoo. 
JHN.5.45	Bay nangyu fandam ku do i tmulen gamu di Màgu, bay Mosis, i gumgal nawayu, yé sa tmulen gamu. 
JHN.5.46	Ku glut ftoo gamu di man Mosis, lê gamu ftoo moon di do du smulat Mosis gablà di do. 
JHN.5.47	Bay du là fantooyu i dad sulat Mosis, dét kibòyu ftoo di dad man-gu?”
JHN.6.1	Kafnge ayé, ta mifal Dyisas di Lanaw Galili, ku demen Tibiryas. 
JHN.6.2	Na dee dad to lmalò kenen du ta teenla i dad tnikeng nimòan, dunan i kafgulêan dad to fandas. 
JHN.6.3	Bay mnagad Dyisas di satu bulul, na sudeng ditù magin i dad to galan tdò. 
JHN.6.4	Na ta mdadong nan i fista i dad Dyu dnagit Fista Du Kaglius. 
JHN.6.5	Kanto tukeng Dyisas na meye, teenan i dee dad to salu di kenen. Ta manan ku Filip, “Nè gumayadto knaan gablà fkaan di kdee dad to ani?” 
JHN.6.6	(Yé duen Dyisas smalek ani gine du lon tnilew Filip, du ta sanan gadè ku dét i fanan nimò). 
JHN.6.7	Na tmimel Filip, manan, “Balù ku yé btas knaan salngad di sukéy i satu to di lwe latuh du klon talbahò, là ti kat kdee dad to ani, balù ku too tukay i knaanla.” 
JHN.6.8	Na lê talù satu to gal tdò Dyisas, dunan Andru, i flanek Simon Piter, na manan di ku Dyisas, 
JHN.6.9	“Nun ngà lagi dini, na nun neben lime batù fan na lwe batù nalaf, bay dét gukmamu ani di kdee dad to ani?” 
JHN.6.10	Bay man Dyisas di dad to galan tdò, “Fsudengyu i dad to ani.” (Na nun dee bnas déé). Taman, ta sudeng i dad lagi, nun dad lime libu i kdeela. 
JHN.6.11	Na ta nwè Dyisas i fan na fasalamat di Dwata, klon malel dun di dad to sudeng. Na lê salngad ayé i nimòan di nalaf. Na kmaan i kdee dad to ayé kel di kabsolla. 
JHN.6.12	Na kanto ale bsol, man Dyisas di dad to galan tdò, “Santifunyu i lukasla tà malmo.” 
JHN.6.13	Na yé duenam man, ta santifunla lukas i fan mdà di lime batù fan fkaan Dyisas di dad to ayé, na yé kdeen sfalò lwe been fnò. 
