MAT.1.1	Yayto i ginikanan-na si Jesu-Kristo, i Dadi'-na si David pati' si Abraham:
JHN.18.33	Mangno pasallod gihapon pan palasyo si Pilato, ngan tigpa'atubang-na si Jesus si iya. Agtilaw-nay to, “Ka'aw ba' i hadi'-na si mga Hebro?”
JHN.18.34	Amatilaw may liwat si Jesus, “Tikang ba' nan gayod si kalugaringun-mo isip o nagturu'an kaw hamok si la'in a'a mahi'unong si ako?”
JHN.18.35	Anaruman may si Pilato, “Kay ay pag'abat-mo, Hebro ako? Nagbawa kaw pada'ito si mga igkasi-mo huwang si mga puno' paraghalad-bi. Kay ay i nagbuhat-mo?”
JHN.18.36	Aminugad may si Jesus, “Ga'i ato sito kalibutan i ginhadi'an-ko. Kay kon atiya' ato, sigurado nga makihiran i mga ginsakupan-ko basi' ga'i ako sadakup-na si mga punu'-na si mga Hebro. Ma'in tikang ato si kalibutan i gahum-ko paghadi'.”
JHN.18.37	“Kon sugad adda kaw hadi'?” lingun-na si Pilato.
JHN.18.37	Anaruman may si Jesus, “Tama' kaw gayod si pagpinugad-mo si ako hadi', kay si kamatu'uran nag'allom ako pagdalom ngan pada'ito ako si kalibutan pagpasayod mahi'unong si kamatu'uran. Ngan bisan say i mag'apilo sito kamatu'uran, agpakali si ako.”
JHN.18.38	Amatilaw si Pilato, “Say may makatu'anan si kamatu'uran?” Mangno patalikot dayon si Pilato ngan pagawas iya pagpinugad si mga punu'-na si mga Hebro, “Gana' sa'anda'an-ko sala' si iya nga angay paratukan. 
JHN.18.39	Pero tungod kay kabatasanan na nga aniya' nagpalibri-ko priso kon Pyista si Paglabay, aruyag ba' kam nga yayto pinalibri-ko magpinugad to, ‘hadi'-na si mga Hebro’?”
JHN.18.40	Pero anurakaw dina mga iya, “Ga'i, ma'in iya! Si Barabas lugod!”
JHN.18.40	Si Barabas, addangan nga ribildi.
JHN.19.1	Katapos agpa'intriga-na si Pilato si Jesus para naglatigo. 
JHN.19.2	Agpanhimo i mga sundalo likaw tikang si tangulon ngan nagpakuruna si Jesus. Nagbistihan liwat iya si hadi'anon pammakurumbot nga kulor igot. 
JHN.19.3	Mangno agtikangan-na dayon mga iya pagtahod kuno' si pagburubwilta pagturakaw, “Anlanga pa kunta' i kinabuhi'-na si hadi'-na si mga Hebro!” Ngan sigi-na pa liwat mga iya tampalo.
JHN.19.4	Kahuman sinan, paguwa' gihapon si Pilato ngan agpinugad-na i mga punu'-na si mga Hebro, “Amati'a kam! Pa'intriga-ko iya si ka'am basi' sakatu'anan-bi nga gana' sa'anda'an-ko sala' si iya nga angay paratukan.” 
JHN.19.5	Si paguwa'-na si Jesus nga nagsul'utan si matunok kuruna pati' si hadi'anon pammakurumbot nga kulor igot, agpinugad-na mga iya si Pilato, “Atiya' na i a'a!”
JHN.19.6	Pakakulaw-na si iya si mga puno' paraghalad pati' si mga gwardya-na, agpanurakaw mga iya, “Papaku'on iya! Papaku'on iya si kudos!”
JHN.19.6	Pero anaruman dina si Pilato, “Hala, bawahu-bi iya ngan ka'am na hamok i mamapako' si iya. Pero para si ako, gana' sa'anda'an-ko sala' si iya nga angay paratukan.”
JHN.19.7	Pero agpipirit dina i mga punu'-na si mga Hebro, “Aniya' bala'od kami', ngan ato sito bala'od kinahanglan iya nagmatay tungod si pagpinugad-na nga Dadi'-na iya si Diyos.”
JHN.19.8	Ngan pakabati'-na sinan si Pilato, akatambahan i katalaw-na. 
JHN.19.9	Pasallod gihapon iya si palasyo ngan agtilaw-na si Jesus, “Taga singnga ba' kaw gayod?” pero ga'i anaruman si Jesus. 
JHN.19.10	“Ay kay ga'i ako agsarumanan-mo?” lingun-na may si Pilato. “Ga'i ba' kaw akatu'anan nga aniya' gahum-ko nga pwidi kaw sapalibri-ko o sapapaku'-ko si kudos?”
JHN.19.11	Anaruman si Jesus, “Gana' kunta' gahum-mo pagbuhat bisan ay si ako kon ga'i kaw nagbuwanan tikang si dyata'. Sanglit bisan kon agsala' kaw si pagtalapas si katungdanan-mo, mas mahaya dina i baratunun-na si magpama'intriga si ako pada'ito si ka'aw.”
JHN.19.12	Tungod sinan, agpara'anda' gayod pa'agi si Pilato nga akalibri si Jesus, pero sigi dina panurakaw i mga punu'-na si mga Hebro, “Kon palibri-moy nan a'a, ma'in kaw kumpaniya-na si Emperador. Kay bisan say i maminugad nga hadi' iya, kuntra-na gayod si Emperador.”
JHN.19.13	Pakabati'-na sinan si Pilato, agbawa-na dayon si Jesus panggawas. Aningkulo' si Pilato si panhuhusgaran panningkulu'an ari si lugar nag'arunan I Plasa si Kinurtihan Bato. Gabata sito i pag'aron si Hebruhanon. 
JHN.19.14	Tika'amudto na
JHN.19.14	Amahalling si Pilato pada'iray si mga punu'-na si mga Hebro, “Atiya' na i hadi'-bi.”
JHN.19.15	Pero anurakaw dina mga iya, “Papindahon iya anan! Papindahon iya anan! Papaku'on iya si kudos!”
JHN.19.15	Lingun-na may si Pilato, “Apa'i? Papaku'-ko si kudos i hadi'-bi?”
JHN.19.15	Anaruman may i mga puno' paraghalad, “Gana' la'in hadi' kami' kon ma'in hamok i Emperador!”
JHN.19.16	Si katapus-tapusan, agpa'intriga-na gihapon si Pilato si Jesus pagpapako' si kudos.
JHN.19.16	Sanglit nagbawa si Jesus si mga sundalo. 
JHN.19.17	Nagpapalangkit iya si kalugaringun-na kudos pada'iray si tagudtod nag'arunan Takuluk-na si Minatay. Golgota sito i pag'aron si Hebruhanon. 
JHN.19.18	Panakka-na ari, nagpapako' iya si kudos ngan aniya' duwangan pa nagpapako' padurudambila' ngan nagpatangnga' iya.
JHN.19.19	Aniya' tigsurat-na si Pilato papadukuton ari si kudos nga da'ito sito:
JHN.19.20	Matapit hamok si syudad i lugar nga nagpapaku'an si Jesus, sanglit malabbat si mga Hebro i magpakabasa sinan mga allingon. Nagsurat nan si Hebruhanon, si Latin pati' si Grikuhanon. 
JHN.19.21	Agriklamo i mga puno' paraghalad-na si mga Hebro ari si Pilato, “Makigliwaton nagpasurat nan anan: ‘Hadi'-na si mga Hebro’ lugod salli'in nga: ‘Agpinugad to a'a, ako i Hadi'-na si mga Hebro.’”
JHN.19.22	Anaruman si Pilato, “Kon ay i makigsurat-ko, kinahanglan iya gayod i mapasurat.”
JHN.19.23	Ngan pakapapaku'-na si mga sundalo si Jesus, nagpuruparti ampat i mga sul'ut-na, adda si balang addangan. Pero i dilalom badu'-na, iya i pagka'alang-alangan. Durudiritso hamok pan hawod i tanhun-na sito ngan gana' panahi'an-na.
JHN.19.24	Agsarabot mga iya, “Ga'i to gisi'-gisi'-ta kam. Pa'agi-ta na kam hamok si ripa kon say i makabawa.” Ahinabo' nan basi' atuman i mga allingon nga aka'anna' si Kasuratan:
JHN.19.24	Agpuruparti-na mga iya i panaptun-ko,
JHN.19.24	ngan agpa'agi-na si ripa i badu'-ko.
JHN.19.24	Ngan da'inan sinan i nagbuhat-na si mga sundalo.
JHN.19.25	Siray uras, agparapanunggo yungod si kudus-na si Jesus i nana-na, i siyaka-na danda si nana-na, si Maria nga alla-na si Clopas pati' si Maria Magdalena. 
JHN.19.26	Pakakulaw-na si Jesus nga ari i nana-na nga agtingpid si hinigugma'-na inadalan, agpinugad-na i nana-na, “Nay,
JHN.19.27	Ngan agpinugad-na may i inadalan-na, “Aku'on iya bilang nana-mo.” Tikang siray, kwintado nayto danda si pamilya-na sito inadalan.
JHN.19.28	Mangno ngan pakakatu'an-na si Jesus nga tapos na i dimu'an buruhatun-na ngan basi' atuman i Kasuratan, amahalling iya, “Nag'uhaw ako.” 
JHN.19.29	Aniya' ari adda biso' nga nag'isihan malassom na bino, sanglit ag'ala' mga iya ispungha ngan aghumug-nay to si bino. Agpatulu-na mga iya i ispungha si hisop lingkawan basi' anakka si bawa'-na si Jesus. 
JHN.19.30	Pakasupsup-na si Jesus si malassom na bino, aminugad iya, “Tapos na.” Mangno pa'ubo' iya ngan agtugutan-na i kalugaringun-na espirito pag'amban.
JHN.19.31	Siray allaw, iya i Bispira kay si kasanguman iya i pagtikang-na si adda si bali ka'impurtanti Allaw Pandidiskanso. Tungod kay ga'i aruyag i mga punu'-na si mga Hebro nga nag'ambanan hamok si mga kudos i mga nagpapako' hasta nga anakka si Allaw Pandidiskanso, agsarit mga iya ari si Pilato kon pwidi tigpamatti'an-na si mga kalalaki basi' tulos agkamaratay ngan ahaw'as si kudos. 
JHN.19.32	Sanglit pamada'iray i mga sundalo pagpamatti' si primiro nagpapako' huwang-na si Jesus, mangno i kaduwangan. 
JHN.19.33	Pero ngan pamaduguk-na mga iya si Jesus, sadiskubrihan-na mga iya nga minatay na dina, sanglit ga'i na hamok nagpamatti'an. 
JHN.19.34	Pero addangan si mga sundalo i manundat pa gihapon buros si kagiliran-na ngan hintak pa'awas i laha' pati' buwahi'. 
JHN.19.35	I makakulaw sito agtistigos ngan kamatu'uran gayod i mga nagsumat-na. Akatu'anan iya nga puro ungod i mahinabo' nagsumat-na ngan agsumat-nay to dimu'an basi' may kam agpanutu'o. 
JHN.19.36	Ahinabo' nan dimu'an pagtuman si mga allingon nga aka'anna' si Kasuratan: “Gana' makapatti'an si mga ta'ulang-na bisan adda.”
JHN.19.37	Ngan da'inan may i la'in pa maka'anna' si Kasuratan: “Parapamuslung-na mga iya i nagsundat-na.”
JHN.19.38	Kata'ud-ta'uran, aniya' taga sunsari'i si bungto Arimatea nag'arunan Jose magsarit si Pilato pag'ala' si bangkay-na si Jesus. Inadalan-na iya si Jesus, pero ga'i iya agpahayag si kalabbatan tungod kay atalaw iya si mga igkasi-na puno' si mga Hebro. Sanglit panugut-na si Pilato, pada'iray dayon iya ngan ag'ala'-na i bangkay. 
JHN.19.39	Amaya' si iya si Nicodemos, i manungbalay siray si Jesus ngan sangom. Agbaway to day pamada, hinimo tikang si masangngit mga tanaman mirra pati' aloe, mga trayntay kwatro kilos i kabuwat-na. 
JHN.19.40	Pakahuman-na mga iya duwangan pagbayaw si bangkay, agputus-nay to mga iya si tinabas-tabas katsa huwang si pasangngit sigon si kabatasanan-na si mga Hebro paglabbong. 
JHN.19.41	Aniya' ari gardin nga matapit si nagpapaku'an si Jesus, ngan aniya' ari kwiba panlalabbungan. Gana' pa gayod makalabbungan ari, 
JHN.19.42	sanglit ari mga iya aglabbungan-na si Jesus, tungod kay matapit to kwiba ngan iya nayray i Bispira-na si mga Hebro.
JHN.20.1	Kadumingguhan, nga iya i primiro allaw si duminggu-na mga iya, ga'i pa agdanta' i kanalungon pada'iray na si Maria Magdalena si naglabbungan ngan sakulawan-na nga nagpaligid na dina i bato tikang si pwirtahan-na. 
JHN.20.2	Sanglit alahi dagos iya pagpada'iray si Simon Pedro pati' si addangan pa inadalan nga hinigugma'-na si Jesus ngan agpaminugad-na, “Ag'ala'-na mga iya i Paragdalom ari si naglabbungan ngan ga'i kami' akatu'anan kon singnga mga iya agbawa-na!”
JHN.20.3	Sanglit pada'iray dayon kas Pedro pati' i addangan pa inadalan si naglabbungan. 
JHN.20.4	Agpanlalahi mga iya duwangan, pero ahuros si Pedro, sanglit akadahulu'an anakka i addangan ari si naglabbungan. 
JHN.20.5	Paduko' iya ngan sasiripan-na i mga tinabas-tabas katsa nga bilin ari, pero ga'i iya pasallod. 
JHN.20.6	Panakka-na si Pedro ari si naglabbungan, pasallod dayon iya ngan sakulawan-na i mga tinabas-tabas nga bilin ari. 
JHN.20.7	Sakulawan-na liwat ari i pudung-pudong nga nagpapakkos si sulang-na si Jesus. Nagtipig to ngan bulag si mga tinabas-tabas. 
JHN.20.8	Si katapus-tapusan pasallod liwat i dahulu'an manakka inadalan. Akakulaw iya ngan anutu'o gayod. 
JHN.20.9	Pero ga'i pa gihapon mga iya agpakasantop si maka'anna' si Kasuratan nga agbagaw parti si kasiguraduhan nga abanhaw si Jesus.
JHN.20.10	Mangno agbalik i mga inadalan si mga ruma'-na. 
JHN.20.11	Pero sigi hamok dinamag si Maria ari si gawas-na si naglabbungan. Si pagparadinamag-na, paduko' iya ngan anirip si naglabbungan. 
JHN.20.12	Aniya' sakulawan-na ari si sallod duwangan anghel, mga disutana puti' ngan agpaningkulo' si lugar naghuliran si Jesus. I addangan banda si takulukan-na ngan i addangan may si kitiran-na.
JHN.20.13	Agtilaw-na iya, “Mana, ay kay agparadinamag kaw?”
JHN.20.13	Anaruman may iya, “Ag'ala'-na mga iya i Paragdalum-ko, ngan ga'i ako akatu'anan kon singnga mga iya agbawa-na.” 
JHN.20.14	Pakapahalling-na sinan, patalikot iya ngan sakulawan-na nga ari na dina si Jesus. Pero ga'i iya angilala kon si Jesus ba' ray.
JHN.20.15	Amahalling to, “Mana, ay kay agparadinamag kaw? Say i nagpara'anda'-mo?”
JHN.20.15	Tungod kay i pagkagasi-na nga hardiniroy to hamok ari, aminugad iya, “Kon ag'ala'-mo may dina iya, alayon sumatin ako kon singnga iya agbawa-mo, kay ala'-ko.”
JHN.20.16	Agpinugad-na iya, “Maria.”
JHN.20.16	Pakapakali-na sinan si Maria hintak iya pa'atubang gihapon dungan si pagpahalling si Hebruhanon, “Raboni!” nga i kahulugan-na, Ma'istro.
JHN.20.17	Amahalling si Jesus, “Labbahin ako, kay ga'i pa ako akabalik pada'iray si Tata'. Lugod pada'irayon i mga kabugtu'an-ko si pagtu'o ngan sumatin mga iya nga tibalik na ako si Tatay-ko nga mga Tatay-bi liwat, i Diyus-ko nga mga Diyus-bi liwat.” 
JHN.20.18	Sanglit agpada'iray-na si Maria Magdalena i mga inadalan-na si Jesus ngan agpanumatan-nay to, “Sakulawan-ko i Ginu'o.” Pwira pa sinan, agpanumatan-na liwat to si tugun-na si iya.
JHN.20.19	Kasanguman mismo siray allaw nga iya i primiro allaw-na si duminggo, agtiriripon i mga inadalan nga trangkado i pwirtahan tungod si mga katalaw-na si mga punu'-na si mga Hebro. Pahulwa' si Jesus ngan patig'ob si mga iya ngan aminugad, “I kamurayaw awinan si ka'am!” 
JHN.20.20	Pakapahalling-na sinan, agpakulaw-na mga iya si tamburu'-na pati' si kagiliran-na. Bali i mga kalipayan-na si mga inadalan pakakulaw-na mga iya si Paragdalom.
JHN.20.21	Aminugad gihapon si Jesus, “I kamurayaw awinan si ka'am! Pariho si pagpabawa-na si ako si Tata', pabawa-ko may liwat kam.” 
JHN.20.22	Pakapahalling-na sinan, anhingasong to si mga iya ngan aminugad, “Karawatu-bi i Espirito Santo. 
JHN.20.23	Kon agpasaylo kam si sala'-na si bisan say, nagpamasaylo na mga iya. Pero kon ga'i mga iya agpasaylu-bi, ga'i may liwat mga iya nagpasaylo.”
JHN.20.24	Si pagpakulaw-na si Jesus si mga inadalan-na siray uras, ga'i ari si Tomas, i nag'anga'an Karuwa nga addangan si Dusi. 
JHN.20.25	Sanglit agsumatan-na iya si mga igkasi-na inadalan, “Sakulawan kami' i Ginu'o!”
JHN.20.25	Aminugad dina iya, “Ga'i ako anutu'o sinan hasta nga ga'i sakulawan-ko i mga pammaku'an, sapasuksuk-ko i kamrang-ko si mga pammaku'an si tamburo', pati' sapasul'ut-ko i tamburu'-ko si kagiliran-na.”
JHN.20.26	Pa'agi i adda duminggo, agtiripon gihapon i mga inadalan si ruma' panniripunan-na mga iya nga huwang na si Tomas. Bisan kon trangkado i pwirtahan, akasallod si Jesus nga agtutunggo huwang si mga iya ngan aminugad, “I kamurayaw awinan si ka'am.” 
JHN.20.27	Mangno, agpinugad-na si Tomas, “Tuwa, kulawin ngan pasuksukon kamrang-moy nan si pammaku'an to si mga tamburu'-ko pati' pasul'uton tamburu'-moy nan si kagiliran-koy to. Dakaw abawa si pagduda kundi' agtutu'uha.”
JHN.20.28	Anaruman si Tomas, “Paragdalum-ko ngan Diyus-ko!”
JHN.20.29	Mangno agsumatan-na iya si Jesus, “Abawa kaw pagtutu'o si pakakulaw-mo si ako pero anmas pa i kalipayan-na si mga a'a nga agpanutu'o bisan kon ga'i agpakakulaw.”
JHN.20.30	Malabbat pa i naghimu-na si Jesus mga pangngilalahan si langitnon kasiguruhan atubang si mga inadalan-na nga ga'i nagpa'anna' ato sito libro. 
JHN.20.31	Pero nagsurat to basi' agpanutu'o kam nga si Jesus i Tinu'inan Mannanalwas, i Dadi'-na si Diyos. Ngan tungod si pagtutu'u-bi, sa'angkun-bi i kinabuhi' nga gana' katapusan-na pina'agi si gahum-na si arun-na.
JHN.21.1	Kapirahan allaw, pakulaw gihapon si Jesus si mga inadalan-na ari si Danaw Tiberias.
JHN.21.2	Aghururuwang kas Simon Pedro, si Tomas nga nag'anga'an Karuwa, si Nataniel nga taga sunsari'i si Cana, adda baryo si prubinsya Galilea, i mga dadi'-na lalla si Sebedeo, pati' i duwangan pa inadalan. 
JHN.21.3	“Mamukot ako ina'anto,” lingun-na si Simon Pedro.
JHN.21.3	Lingun-na may mga iya, “Amaya' kami'.” Sanglit pataliwan mga iya ngan ag'aradda mga iya sakayan, pero gana' gayod mga sabawa-na siray sangom.
JHN.21.4	Nalung-nalong pa, anunggo si Jesus si baybayon pero ga'i agpakatu'an-tu'anan i mga inadalan nga si Jesus ray.
JHN.21.5	Aman'oy to si mga iya, “Mga sangkay, aniya' ba' sabawa-bi?”
JHN.21.5	Anaruman may mga iya, “Gana' may.”
JHN.21.6	Aminugad si Jesus, “Taktaku-bi pukut-bi nan si banda kawanan si sakayan-bi basi' agpakabawa kam.” Sanglit agbuhat-nay nan mga iya, mangno tungod si katabbul-na si daying ga'i na mga iya sapasang'at-na i mga pukut-na.
JHN.21.7	Mangno i inadalan nga hinigugma'-na si Jesus aminugad ari si Pedro, “I Paragdalom may nan!” Si pakapakali-na si Simon Pedro si mga allingun-na, “I Paragdalom may nan,” pasul'ut-na i badu'-na kay aghugkas-nay to, ngan pakuppa iya si buwahi' diritso pan bihing. 
JHN.21.8	I mga inadalan may ari si sakayan agpangguyod si pukot nga panno' si daying kay matapit hamok mga iya si bihing, mga syin mitros i katalahan-na. 
JHN.21.9	Pakadu'ung-na mga iya, akakulaw mga iya nagrambak uring nga bali na baga ngan aniya' nagpaparilya daying ari pati' aniya' liwat pan.
JHN.21.10	Agpinugad-na mga iya si Jesus, “Amawaha kam pada'ito si mga daying-bi nan.”
JHN.21.11	Sanglit pasang'at si Simon Pedro si sakayan ngan agguyud-na i pukot pan baybayon. Panno' to si mga mahaya daying 153 bug'os, pero ga'i to aburhat bisan kon da'iray i kalabbat-na. 
JHN.21.12	Aminugad si Jesus si mga iya, “Tuwa na kam basi' kita kam agpakapamahaw.” Gana' gayod mamuso' mamatilaw si mga inadalan kon say iya. Akatu'anan mga iya nga i Paragdalom to. 
JHN.21.13	Patapit si Jesus ngan angaddo' si pan. Katapos agpumwan-nay to si mga iya hasta i daying. 
JHN.21.14	Iyay nan i katallo bisis pagpakulaw-na si Jesus si mga inadalan-na kahuman si pakabanhaw-na.
JHN.21.15	Pakatapus-na mga iya agpamahaw, agtilaw-na si Jesus si Simon Pedro, “Simon, dadi'-na si Juan, aghigugma'-mo ba' ako labaw si paghigugma'-na mga iya?”
JHN.21.15	Anaruman may iya, “Oho', Paragdalum-ko. Sayod kaw nga matapit gayod ako si ka'aw.”
JHN.21.15	Lingun-na may si Jesus, “Pakakanon i mga nati karniru-ko.”
JHN.21.16	Amatilaw gihapon si Jesus, “Simon, dadi'-na si Juan, aghigugma'-mo ba' ako?”
JHN.21.16	Anaruman iya, “Oho', Paragdalum-ko. Sayod kaw nga matapit gayod ako si ka'aw.”
JHN.21.16	Lingun-na si Jesus, “Atamanon i mga karniru-ko.”
JHN.21.17	Si katallo bisis amatilaw gihapon iya, “Simon, dadi'-na si Juan, ma'in ba' nga matapit kaw gayod si ako?”
JHN.21.17	Asakit si Pedro kay si katallo dina agtilaw-na iya, “Ma'in ba' nga matapit kaw gayod si ako?” Aminugad iya, “Paragdalum-ko, sayod kaw si dimu'an, sanglit sakatu'anan-mo nga bali ako tapit si ka'aw.”
JHN.21.17	Amahalling si Jesus, “Pakakanon i mga karniru-ko. 
JHN.21.18	Sumatan-ta kaw si kamatu'uran, siray ngan dadi' pa kaw, akalugaring kaw pagsalin ngan akalangngan bisan singnga i karuyag-mo. Pero kon anakka na kaw si kamaktungon, ugnat-mo na hamok i mga langngun-mo kay la'in na i magsalin si ka'aw ngan nagguyod kaw pada'iray si ga'i saruyagan-mo.” 
JHN.21.19	Agpinugad si Jesus sinan pagbuwan isip si Pedro kon pinapa'i sapakulaw-na i ka'angayan-na si Diyos tungod si klasi kamatayon kararawatun-na. Mangno aminugad to si iya, “Amaya'a ngan agsunura si ako!”
JHN.21.20	Si pagparabaktas-na na mga iya duwangan, anili' si Pedro mangno sakulawan-na nga amungyod si mga iya i inadalan nga hinigugma'-na si Jesus. Iyay nan i inadalan magsandi siray si Jesus ari si pagkakanan ngan magpatilaw, “Paragdalom, say si ka'aw i titraydor?” 
JHN.21.21	Pakakulaw-na sinan si Pedro, amatilaw dayon iya, “Paragdalom, ay may i binuhat-mo si iya?”
JHN.21.22	Anaruman si Jesus, “Kon aruyag ako nga agpabilin iya allom hasta si pagtakka-ko gihapon, gana' labut-mo. Kinahanglan kaw hamok nga agsunod gayod si ako.” 
JHN.21.23	Tungod sinan, agsara si mga kabugtu'an si pagtu'o i allingon nga yayto inadalan ga'i amatay. Pero ga'i agpinugad si Jesus nga ga'i to amatay, kundi' agpinugad hamok iya nga, “Kon aruyag ako nga agpabilin iya allom hasta si pagtakka-ko gihapon, gana' labut-mo.”
JHN.21.24	Iyay nan i inadalan nga magtistigos ngan magsurat sito mga hinabo'. Sayod kami' nga kamatu'uran i pagtistigus-na.
JHN.21.25	Bali pa labbat i pala'in-la'in nagbuhat-na si Jesus. Kon nagsurat i kada adda, tingali bisan i bug'os kalibutan ga'i akahusto pamma'anna'an si mga libro masurat kunta'.
ACT.1.1	Hinigugma'-ko Teofilo, ari si primiro libro naghimu-ko, agsurat ako mahi'unong si dimu'an nagbuhat-na pati' nagturu'-na si Jesus 
ACT.1.2	tubtob si allaw ngan pan langit iya kay ag'ala'-na iya si Tatay-na. Pan langit iya kahuman hamok si pagtugun-na si mga pinili'-na apostol sigon si gahum-na si Espirito Santo.
ACT.1.3	Kahuman agsakit si Jesus, agpakulaw-na i puhu'-na sito mga a'a sallod si kwarinta diyas ngan agparapamatu'od iya pina'agi si malabbat binuhatan nga ga'i kadudahan nga abanhaw iya. Agparasumat liwat iya kon pinapa'i i a'a akasakop si mga nagpanhadi'an-na si Diyos. 
ACT.1.4	Adda bisis, si pagkakan-na huwang si mga apostol, agtugunan-na mga iya, “Dakam pa'amban ato si Jerusalem pero antahaku-bi i rigalo nagpasa'ad-na si Tatay-ko nga iya i pagpa'ayop si Espirito Santo si ka'am. Sapakalihan-bi na ako siray agpahalling mahi'unong sito rigalo. 
ACT.1.5	Agbunyag si Juan ray parti si buwahi', pero si pira allaw binunyagan
ACT.1.6	Sanglit si pagbaragat-na gihapon mga iya, agpatilawan-na mga iya si Jesus, “Paragdalom, ina'anto na ba' i pagbawi'-mo si ginhadi'an para si mga a'a-na si Israel tikang si pagsakup-na si mga taga Roma?”
ACT.1.7	Anaruman iya, “Gana' labut-bi si mga pala'in-la'in panahon pati' mga pitsa nagtala'an-na si Tatay-ko tikang si kalugaringun-na gahom. 
ACT.1.8	Pero si pag'ayup-na si ka'am si Espirito Santo, akakarawat kam gahom nga magin tistigus-ko kam. Agsumat kam si kamatu'uran mahi'unong si ako ato si mga a'a si Jerusalem, ari si bug'os prubinsya si Judea pati' si Samaria hasta si dimu'an lugar ato si kalibutan.”
ACT.1.9	Pakatima-na sinan pagpahalling, a'alsa iya pan langit si pagparapangulaw-na mga iya ngan kasalingkupan iya si panganod hasta nga ga'i na kinakulawan. 
ACT.1.10	Ga'i mga iya aglipatan-na pagbuslong i pagdyadyalta-na si Jesus ngan si pagparapamantaw-na, hintak mga iya agpakakulaw duwangan lalla magtutunggo si mga kagiliran-na nga mga disutana puti'. 
ACT.1.11	Agpatilaw i duwangan, “Ka'am mga taga prubinsya Galilea, kapa'i may kay agparapantutunggo kam ato ngan sigi pangulaw pan langit? Yayray pan langit ray Jesus nga nag'ala' tikang si ka'am, pabwiltay ray gihapon pariho pa'agi si pagpada'iray-na.”
ACT.1.12	Mangno agbalik i mga apostol pan Jerusalem tikang si tagudtod nag'arunan Bukid-na si Ka'ulibuhan. I katalahan-na sinan tagudtod tikang si syudad tama' hamok ralangnganun-na
ACT.1.13	Panakka-na mga iya ari, amanahik mga iya si kwarto nag'istaran-na mga iya. I mga huwang ari iya kas: Pedro, Juan, Santiago, Andres, Felipe, Tomas, Bartolome, Mateo, si Santiago nga dadi'-na si Alfeo, si Simon nga sakop si grupu-na si mga Selote pati' si Judas nga dadi'-na si Santiago. 
ACT.1.14	Pirmi mga iya ag'aradda pag'ampo' huwang si mga danda pati' si Maria nga nanay-na si Jesus. Huwang liwat si pagtiriripon i mga bugtu'-na lalla si Jesus.
ACT.1.15	Siray mga allaw, mga syinto baynti i kalabbat-na si mga magpanutu'o. Si adda pagtiripun-na mga iya, anunggo si Pedro 
ACT.1.16	ngan aminugad, “Mga kabugtu'an si pagtu'o, atuman na i maka'anna' si Kasuratan ngan ga'i to akalikayan. Makigpapahalling-nay to siray si Espirito Santo si David mahi'unong si Judas, nga iya i maggiya si mga magpandakop si Jesus. 
ACT.1.17	Addangan iya si kahuruwangan-ta kam ngan aka'ambit iya si trabahu-tay to kam para si Diyos.”
ACT.1.18	Iyay ray i mga nagpahalling-na si Pedro. Katu'anan i dimu'an nga nagballihan si Judas pitak pina'agi si nagpasuhol si iya si karat'an-na ngan ari iya ag'unay. Latod na i battung-na si pakataktak-na si puhu'-na, sanglit abuntay to, ngan agwatwat i dimu'an tina'i-na. 
ACT.1.19	Akatu'anan i dimu'an mga a'a ato si Jerusalem mahi'unong sito. Sanglit yayray pitak ag'arunan-na mga iya Akeldama, nga i kahulugan-na, Pitak si Pagwasakan-na si Laha'.
ACT.1.20	Agpadayon si Pedro si pagpinugad, “Aka'anna' si Libro si mga Salmo nga:
ACT.1.20	Inambanan pa kunta' i pitak-na.
ACT.1.20	Gana' pa kunta' bisan addangan mag'istar ari,
ACT.1.20	ngan:
ACT.1.20	Binawi' pa kunta' i katungdanan-na pagpamuno' ngan pinumwan si la'in.
ACT.1.21	Sanglit kinahanglan nga agpili' addangan nga huwang si kita kam si bug'os panahon pag'istar-na pa si Paragdalum-ta kam Jesus huwang si kita, 
ACT.1.22	tikang si pagparapasamwak-na si Juan mahi'unong si pagbunyag-na, tubtob a'alsa si Jesus pan dyata' tikang si paghuruwang-ta kam. Addangan sito mga a'a i magin tistigos huwang si kita nga abanhaw iya.”
ACT.1.23	Tungod sinan, agpatunggo mga iya duwangan pirili'on. I addangan, iya si Jose nga danay nag'arunan Barsabas ngan Justus i anga'-na. I kaduwangan, iya si Matias. 
ACT.1.24	Mangno agpangadyi' i dimu'an magpanutu'o, “Paragdalom, sayod kaw andang si ungod kina'iya-na si balang addangan. Pakulawon kami' kon say si duwangan to i nagpili'-mo 
ACT.1.25	pagbuhat si trabahu-na si adda apostol, nga ag'ambanan-na si Judas kay pada'iray iya si lugar nga angay si iya.” 
ACT.1.26	Kahuman si pagpangadyi'-na mga iya, agparagmano i duwangan ngan si Matias i makamano. Sanglit huwang na iya si dusi mga apostol.
ACT.2.1	Si allaw si Pentecostes ngan ari si adda ruma' i dimu'an magpanutu'o, 
ACT.2.2	hintak aniya' kinabati'an tando tikang si langit. I tando pariho si hinaguyung-na si magburung-busong makusog bariyo ngan kinabati'an si bug'os ruma' nagpaningkulu'an-na mga iya. 
ACT.2.3	Aniya' liwat sakulawan-na mga iya day api magpandilat-dilat. Agwararak to ngan pa'anna' si kada addangan. 
