MAT.1.1	Jesukrístu we̱a̱trí̱ ju̱ áiniawai. Tura ashí naṉkaamas ti uunt we̱a̱t Tawitcha Apraámsha áiniawai. 
ACT.23.11	Nuyá kashi Papru Uuntri̱ mesekra ipiatuk “Kakaram ajasta, Papru. Ju̱i̱ Jerusaréṉnum winia ujakarumna núnismek Rúmanmasha ujaktatme” tímiayi.
ACT.23.12	Nuyá kashin tsawa̱rmatai Israer-aents Páprun maatai tusar chichaman jurusarmiayi. “Papru máachkurkia yurumtsuk tura peṉké úmutsuk matsamsattaji. Máachrikia yajauchiniam yumiṉkramu atai” tiarmiayi. 
ACT.23.13	Nuna tiarmia nuka kuarenta (40) naṉkaamas ármiayi. 
ACT.23.14	Tura Israer-patri úuntri̱n tura Israer-aentsu úuntri̱ncha weriar “Papru máachkurkia peṉké yurumtsuk pujustatji. Máachrikia yajauchiniam yumiṉkramu atai” taji. 
ACT.23.15	Tuma asamtai ashí Israer-patri̱ naamkari̱ji̱a̱i̱ suntara kapitiántri̱ seatarum, Papru tatí tusarum. “Kashin Papru itiata, titiarum. Papru tana nu iisha nekas nekaatai tusar wakeraji” titiarum. Túrawakrumin iisha maatai tusar niṉkia táatsa̱i̱ṉ nákaktatji” tiarmiayi.
ACT.23.16	Tura Papru awe̱ nú chichaman antuk suntar pujamunam taa Páprun ujakmiayi. 
ACT.23.17	Tuma asamtai Pápruka suntara kapitiántri̱n untsuk “Ju̱ uchi uunt kapitiánnium jukitia. Niisha chichaman takakui” tímiayi.
ACT.23.18	Kapitiáncha uchin uunt kapitiánnium ejé tímiayi “Papru eṉkeamu pujana nu winia untsurak “Ju̱ uchi uunt kapitiánnium jukitia. Chichaman takakui” túrutui” tímiayi.
ACT.23.19	Uunt kapitiáncha nú uchin eṉkeki arantach jukí chicharuk “¿Warí turuttiaj tame?” tímiayi.
ACT.23.20	Tutai uchi tímiayi “Israer-aents Páprun chichaman jurusarai. “Papru túramuri̱ ti paant nekaatai tusar kashin Israer-shuara uuntri̱i̱n ejetarum” turamartatui. 
ACT.23.21	Tura amesha nuna takui anturkaip. Kuarenta (40) naṉkaamas jintiá akirtua pujurainiawai. Tura “Papru máachkurkia yurumtsuk tura úmutsuk matsamsattaji” tuiniawai. Tuma asamtai yamaisha ámin tití tusa nákarmainiawai” tímiayi uchi.
ACT.23.22	Tura uunt kapitiáncha uchin chicharuk “Ame túrutmena nu chíkich aents peṉké ujakaraip’ tímiayi. Nuna ti̱, uchin akupkamiayi.
ACT.23.23	Nuyaṉka uunt kapitiáncha chíkich kapitiánin jímiaran itiá chichaak “Urum, kashi ajapéṉ ajastatuk ai̱, untsurí̱ suntar ikiaankarta. Jimiará siáṉ (200) aya náwek, setenta (70) kawainium eketka, nuyá chíkich jimiará siáṉ (200) náṉkiji̱a̱i̱ṉ Sesaria nuṉkanam wétin iwiarata. 
ACT.23.24	Páprusha kawainium ekemkatin iwiarturta. Túrarum péṉkerak ejetarum akupin Piriksai̱” tímiayi. 
ACT.23.25	Tura niiji̱a̱i̱ ju̱ chichaman áatrar akuptukmiayi:
ACT.23.26	“Ti péṉker akupin Píriks, wikia Krautiu Rísias ju̱ papin áatjame. 
ACT.23.27	Israer-aents ju̱ áishmaṉkan maatai tusar wakeruiniak achikiarmiayi. Tura niisha Rúmanmaya̱ áentsuitkui wikia nuna nekaan suntarja̱i̱ werin jukimjai. 
ACT.23.28	Wikia ¿urukamtaik achikiaruit? tusan Israer-patri naamkari̱n jukimjai nin. 
ACT.23.29	Páprunka ii uuntri̱ akupkamuri̱n umiatsui tusar nin kajeriarmiayi. Pápruka yajauch túrachu asa mantamnachminiuyayi. Sepunmasha eṉkemachminiuyayi. 
ACT.23.30	Tura wisha Israer-aents nin máatniun chichaman jurusman nekaan ami̱i̱n akuptajme. Nuya̱sha nin kajerainia nunasha tajai “Atumsha Piriksai̱ werum átum warinma kajerarum nu títiarum” tajai. Ayu. Jú̱chiniak tájame.” Nuna tu áatar akuptukmiayi.
ACT.23.31	Tura suntarsha ni uunt kapitiántri̱ tímia nútiksaraṉ Páprun kashi júkiarmiayi Antipatris péprunam. 
ACT.23.32	Kashin tsawa̱rar suntar aya náwek wearmia nuka waketrarmiayi. Tura kawainium eketrainiaka Pápruja̱i̱ wearmiayi. 
ACT.23.33	Sesaria péprunam jeawar papin Piriksan súsarmiayi. Tura Pápruncha nui̱ ejeniarmiayi.
ACT.23.34	Akupniusha papí aujsua amik Páprun aniasmiayi “Amesha, ¿tuí̱ akiiniaitiam?”
ACT.23.34	Tutai “Sirisia nuṉkanmaya̱itjai” tímiayi.
ACT.23.35	Nuna takui akupin tímiayi “Wátskea kajertamainia nu taar turamainiakui anturkatjame” tímiayi. Tura nuya̱ṉka uunt akupin Erutisa je̱e̱n awayá apujsamiayi, suntar íisarat tusa.
ACT.24.1	Tura seṉku tsawant naṉkaamasa̱i̱ Israer-patri uuntri̱, ni naari̱ Ananías, Sesarianam támiayi. Tura Israer-aentsu uuntri̱ tura ti unuimiaru chichamtincha, ni naari̱ Térturu nuja̱i̱ táarmiayi. Ju̱ aents Páprun kajerainia ásar akupniunam wearmiayi. 
ACT.24.2	Nui̱ Páprun itiarmatai Térturu chichatan juármiayi. “Uunt akupin Píriks, amesha yaimiu asakmin iisha shiir matsatainiaji. Tura imiá neka asakmin ashí aents tímiatrusrik matsatainiaji. 
ACT.24.3	Tuma asakmin iisha ashí matsatmanum tuke tsawant ti shiir yumiṉsamajme, uunta. 
ACT.24.4	Tura amesha ti núkap chicham antuktin nakitiatspash. Tuma asamtai antsu ishichik waitneasam anturtukta, tímiayi. 
ACT.24.5	Ju̱ áishmaṉ Papru, suṉkura utsukratniua núniniaiti. Niisha ashí nuṉkanam mesetan najanatniun Israer áentsun ikiakáiniaiti. Tura Jesusa aentsri̱, Nasarénu tuinia nuna úuntri̱nti. 
ACT.24.6	Nú arantcha Yusa Uunt Je̱e̱n yajauch awajsataj tusa pujuru wáinkiar achikmaji. Ii uuntri̱ tana nuja̱i̱ métek asutiátai tusar wakerimji. 
ACT.24.7	Túrarin nuya̱ṉka kapitián Rísias taa tapit achik jurutramkimiaji. 
ACT.24.8	Tura atumek akupin Piriksa̱i̱ werum nui̱ aujmatkatarum, turamaji, tímiayi. Tuma asamtai amesha Píriks, Papru aniasta. Nuiṉkia ii tájinia nu nekasaiti, nu nekaattame” tímiayi Térturu.
ACT.24.9	Tura Israer-aents pujuarmia nu “Nekasaiti ashí ni tana nu” tiarmiayi.
ACT.24.10	Nuyá Píriks, uweje̱ja̱i̱, Papru chichasat tusa iniaktusmiayi. Túram Papru tímiayi “Amesha uunta, ju̱ aentsu akupniuri̱ ti untsurí̱ uwitin pujusuitme. Tuma asamtai nuikia shiir enentáimsan páchitsuk chichastatjai. 
ACT.24.11	Wats, wi túramur nekartuata. Yúsan áujsataj tusan Jerusaréṉnum wi wémajna nu tuse (12) tsawant naṉkaamasai. 
ACT.24.12	Nui̱sha yajauch áujmatki weai̱ wáitkiacharmai. Yusa Uunt Je̱e̱ncha tura Israer-shuara aujtai je̱e̱ncha tura pepru jíntianmasha áentsnum charáa charáa ajá wekaai̱ peṉké wáitkiacharmai, tímiayi. 
ACT.24.13	Ju̱ aents ju̱i̱ matsatainia nu wíniaka peṉké turutchamnia áiniawai. 
ACT.24.14	Túrasha ju̱na paant ujaajme. Jesus yamarman jintíana nuna umíajai. Kame Israer-aentska wáitiaiti tuinia nuna wikia umíajai. Túrasha nuna túran ii uuntri̱ Yusri̱ akupkamia nunak umiktasan pujajai. Jes, ashí Muisais aar akupkamia nuna tura ashí Yúsnan yaunchu etserin aar akupkarmia nunasha uminiaitjai. 
ACT.24.15	Tura jakaasha nantaktin átatui, tajai. Warí, péṉker aents nútiksaṉ yajauch aencha nantakiartatui imia Israer-shuar tuiniatsuk. Tura wisha nútiksanak túrunatniuiti tajai. 
ACT.24.16	Tura wisha tiniu asan, wikia winia enentáirui̱ Yus íimmianum makuumatsuk wekasataj tajai. Tura áentsnumsha nútiksanak peṉké makuumatsuk wekaajai’ tímiayi.
ACT.24.17	‘Tura, uunta, untsurí̱ uwitin chíkich chíkich nuṉkanam wekaasuan amikian winia shuarui̱ támajai. Kuítrinchan kuítian susataj tusan tura Yusa kuítri̱ncha nin susataj tusan támajai. 
ACT.24.18	Túran wisha, Muisais jintinmia nútiksanak nijiaamaran, Yusa Uunt Je̱e̱n pujumiajai. Untsurí̱ aents charaatum ajainiasha atsumiayi. Nui̱ wiki pujái̱ Ásianmaya̱ Israer-aents wáitkiarmiayi. 
ACT.24.19	Tura wi yajauch túraitkuiṉkia winia wáitkiarainia nu táchatniukait ámin ujatmaktasa. 
ACT.24.20	Túrachkuiṉkia jui̱ pujuinia nu, Israer-patri̱ naamkari̱ matsatmanum wi pujumajna nui̱ yajauch túramun nékainiakka turutiarti. 
ACT.24.21	Kame, ““jakamunmaya̱ nantakminiaiti” tau asamtai makuurtiajtsarum pujarme” matsatmanum tímiaj nuja̱i̱ turutchartimpiash. Nú arantka yajauch túramun peṉké nekartuacharmai” tímiayi Papru.
ACT.24.22	Táman antuk Píriks, Kristu shuari̱ túramun paant nekáa, áanik iniaisamiayi. “Antsu kapitián Risias támatai nuiṉkia nu chichaman nekaatjai” tímiayi. 
ACT.24.23	Tura nuyá suntara kapitiántri̱n chichaak “Ju̱ Pápruka tuke emetnati. Tura ishichkikia aṉkant apujsatarum. Tura nuyá ni amikri̱ taa yáiṉtaj takui suritkiairap” tímiayi.
ACT.24.24	Tura nuyá chíkich tsawantai̱ ataksha Píriks ni nuwe̱ja̱i̱ Tursiraja̱i̱ támiayi. Núwe̱nka Israer-shuarauyayi. Pírikska “Papru itiatarum’ tímiayi. Papru Jesukrístunun étserkui antimiayi. 
ACT.24.25	Tura Pápruka yajauchiniam wekasashtincha naka wekasatniuncha, tura ukunam Yus tunáa áentsnaka asutiátniuiti takui Piríkska ashamak tímiayi “Antsu yamaikia máakete. Tura ataksha wi aṉkant pujakun untsukmijiam” tímiayi. 
ACT.24.26	Tura, aṉkant ajastaj tusa Papru kuítian akirkashtimpiash, tu enentáimias, Píriks tuke untsúu wémiayi, chichastai tusa. 
ACT.24.27	Tura nuya̱ṉka jimiará uwí naṉkaamasmatai Píriks akupin náamkamu ajapnamiayi. Tura chíkich aents, ni naari̱ Pursiu Jistu akupin náamkamiayi. Tura Pírikska, Israer-aents péṉker enentáimtursarat tusa wakerak, Páprun sepunam tuke ikiukmiayi.
ACT.25.1	Jístusha akupkatin takatan naṉkaamataj tusa Sesaria péprunam támiayi. Tura menaintiú tsawant naṉkaamasmatai nuyá we Jerusaréṉnum jeamiayi. 
ACT.25.2	Nui̱sha Israer-patri uuntri̱ tura Israer-aentsu peṉkeri̱sha Páprun tsanumprurtai tusar Jístun weriarmiayi. 
ACT.25.3	Tura tiarmiayi “Waitneasam Páprusha Jerusaréṉnum akupkata” tiarmiayi. Jintiá maatai tusar wakeruiniak nuna tiarmiayi.
ACT.25.4	Tutai Jistu tímiayi “Atsá. Páprusha Sesaria péprunam sepunam eṉkeamu pujawai. Tura wikia nui̱ wárik waketkittiajai” tímiayi. 
ACT.25.5	Nuyá nin tímiayi “Atumsha peṉkeri̱ árumna nu, wiji̱a̱i̱ Sesarianam wétiniaitrume. Tura nú áishmaṉka tunaari̱ ákuiṉkia nui̱sha títiniaitrume” tímiayi.
ACT.25.6	Jístuka Jerusaréṉnum ishichik tsawant pujusmiayi. Kame uchu tsawant tura tias tsawantcha pujuschiawash. Nuyá ataksha Sesarianam waketkimiayi. Tura nui̱ jeá kashin tsawa̱r, akupin pujutainium pujus “Papru itiatarum” tímiayi. 
ACT.25.7	Tura Papru waya̱mtai, Israer-aents Jerusaréṉnumia̱ taarmia nu káunkarmiayi. Túrawar ti nukap chichainiak “Tunáa túraiti Pápruka” tu tiarmiayi. Túrasha peṉké uyumamtikiacharmiayi.
ACT.25.8	Pápruka chichamprumak tímiayi “Wisha tunaan peṉké túrachuitjai. Israera uuntri̱ áarmari̱ncha umirkaruitjai. Tura Yusa Uunt Je̱e̱ncha yajauch awajsachuitjai. Tura uunt kapitiánniasha yajauch peṉké chicharkachuitjai” tímiayi.
ACT.25.9	Jístuka Israer-aents péṉker enentáimtursarat tusa wakerak, Páprun tímiayi “Wakerakmiṉkia Jerusaréṉnum wemí. Wisha nui̱ ame túramurmin nekaatjai” tímiayi.
ACT.25.10	Tutai Papru tímiayi “Amesha paant nékame, Israer-áentsnum tunaan peṉké túrachjai. Tuma asamtai Rúmanmaya̱ uunt akupniun wisha winia túramurun ujaktiniaitjai, nekartuati tusan. 
ACT.25.11	Wisha jakamnia tímianu tunáa túranka, jákatniuncha ashamatsjai. Tura antsu turutainia nu nekaschaitkiuiṉkia wíniaka Israer-shuarnum surunkachminiaitjai tajai. Tuma asamtai seajme, wíi túramun uunt akupin Sésar nekartuati” tímiayi.
ACT.25.12	Tutai, nuyá ni írutramuri̱ji̱a̱i̱ chichasua amik, Jistu Páprun tímiayi “Uunt akupniui̱ wétaj tusam seame. Tuma asamtai nui̱ wétatme” tímiayi.
ACT.25.13	Tura ishichik tsawant naṉkaamasmatai akupin Akripia ni nuwe̱ja̱i̱ Piriníseja̱i̱ Jístun áujsataj tusa Sesarianam wearmiayi. 
ACT.25.14	Tura untsuri̱ tsawant pujusarmiayi. Tura nui̱ pujuiniai̱ Jístuka Papru túrunamun akupniun ujaak tímiayi “Ju̱i̱ áishmaṉ pujawai. Píriks nin achik eṉkea ikiukmiayi, tímiayi. 
ACT.25.15	Kame wikia Jerusaréṉnum pujái̱ Israer-patri uuntri̱ tura Israer-aentsu úuntri̱sha, Papru yajauchin túraiti tusar káutrukarmiayi, tímiayi. Mantamnati tusam akupkata, tu seattiarmiayi. 
ACT.25.16	Takui wi tímiajai “Iisha Rúmanmaya̱ áentstikia chícham nékatsuk, mantamnati tusar akupeatsji. Tsanumpruinia nu, emka táartin áiniawai. Tura nuyá chichamprumatsa̱i̱ṉ mantamnati tusar akupeatsji iisha” tímiajai. 
ACT.25.17	Tiniu asan, táarmatai, wikia nákatsuk kashin tsawa̱ran akupin pujutainium pujusan, Papru itiatarum tusan akupkamjai. 
ACT.25.18	Tura Páprun tsanumprurtai tusar taar chichainiaksha, wi enentáimmiajna núnaka tícharmiayi. 
ACT.25.19	Antsu áyatik Yus umirkar túmatairi̱n Papru nuna túrachai, tiarmiayi. Tura nuya̱sha áishmaṉ Jesus naartin nantaki iwiaakui tawai Pápruka, tiarmiayi. Nunak tiarmiayi. 
ACT.25.20	Tura wikia nú chichaman túratniun nékachu asan, Páprun aniasmajai “¿Amesha Jerusaréṉnum wétaj tusam wakeramek? Nui̱ nu chichaman nekartamawarti” tímiajai. 
ACT.25.21	Túrasha “Atsá. Ju̱i̱ṉ pujustajai. Rúmanmaya̱ uunt akupin Akustu Sésar nekartuati” tímiayi Papru. Takui, “nuiṉkia tuke sepunam pujustá. Tura wi ukunam uunt akupniun akuptuktatjame” tímiajai” tímiayi Jistu.
ACT.25.22	Nuyá Akripia chichaak “Wisha itiursanak nu áishmaṉ chichaamun anturkaj” tímiayi. Tutai Jistu tímiayi “Amesha kashinkia anturkattame”. 
ACT.25.23	Tura kashin tsawa̱r Akripia Piriníseja̱i̱ taar, iwiaa-iwiarmamu ajas waya̱warmiayi. Suntara úuntri̱ji̱a̱i̱ tura nú péprunmaya̱ úuntri̱ji̱a̱i̱ waya̱warmiayi. Tura nui̱ Jistu, “Papru itiatarum” tímiayi. 
ACT.25.24	Tura Papru támatai Jistu tímiayi “Uunt Akripia, tura ashí áentstiram matsatrumna nu, pai, ju̱ áishmaṉ íistarum. Ti untsurí̱ Israer-aents Jerusaréṉnumsha tura ju̱i̱ Sesarianmasha ju̱ áishmaṉkan Páprun kajerainiak yajauch chichartuiniawai. Tura tuke iniaitsuk, mantamnatniuiti, turutainiawai. 
ACT.25.25	Túrasha wíji̱a̱i̱ṉkia tunáa jakamnianka túrachuiti. Kame niisha “uunt akupin Akustu Sésar nekartuati” takui, wisha nin akupkataj tusan wakerajai. 
ACT.25.26	Tura wariniak uunt akupniun áatrataj nuna nékachu asan, Páprun atumin itiarjarme. Tura nekaska, Akripia, ame iniasta tusan itiarjame. Túrawakmin wi wariniak áartaj nuna nekaatjai. 
ACT.25.27	Warí wisha, ni yajauch túramuri̱n áattsuk, uunt akupniunam akupkashtiniaitjai” tímiayi.
ACT.26.1	Jistu nuna tutai Akripia Páprun tímiayi “Wats, amesha tu timi chichamprumakta” tímiayi. Tutai Papru uweje̱ takuí chichatan juarmiayi. 
ACT.26.2+ACT.26.3	Chichaak tímiayi “Uunt Akripia, ii Israer-shuarti túrutai ainia nu amesha nékame. Tura ashí ii chicharnaiyajnia nusha nékame. Tuma asamtai yamái wisha ámin chichamprumaktaj tau asan shiir enentáimjai. Israer-aents turutainia nuna mash ujaktatjame. Waitneasam péṉker anturtukta’ tímiayi. 
ACT.26.4	‘Wi úchichik winia nuṉkarui̱ tura Jerusaréṉnumsha pujusan wi túramajna nuna ashí wíi aents Israer ainia nu nékainiawai. 
ACT.26.5	Pariséu ajasan, ni akupeamuri̱n itiurchat ai̱ṉ ashí takamtsuk tuke umirniuitjai. Nunasha nékainiawai tura wakeruiniakka etserkamnia aintui. 
ACT.26.6	Túrasha wikia, jakamunmaya̱ nantaktin átatui, tiniu asamtai wíniaka emetruawar itiariarmiayi. Túrasha núnaka Yuska ii úuntri̱n yaunchu tímiayi. Yus tímia nuna túrunattawai wisha tiniu asamtai itiariarmiayi, tímiayi. 
ACT.26.7	Tura ashí mash Israer-shuarti, tuse (12) aents matsatka ájinia nu, ju̱ nantaktin chichaman Yus tímia nuna túrunati tusar nákainiaji. Tuma asar Yus áujkurⁱ, tsawa̱i̱sha káshisha nú enentáimtuiniaji. Tura wisha nú chichamnak enentáimta asamtai wíniaka kajertuiniawai, uunt Akripia. 
ACT.26.8	Warí, atumsha “Yus jakancha iniantkimniaiti” tátsurmek’ tímiayi.
ACT.26.9	‘Tura wisha yáunchuka Nasarétnumia̱ Jesusnan umirkaruka kajerkatniuiti, tu enentáimniuyajai. 
ACT.26.10	Tura Jerusaréṉnum Yus-shuar ármia nuna kajerkarmiajai. Israer-patri uuntri̱ chichame̱ja̱i̱ untsurí̱ áentsun Jesusnan umirkarmia nuna sepunam eṉkeamiajai. Tura nú shuaran máiniakuisha wikia péṉkeraiti tu wémiajai. 
ACT.26.11	Tura Israer-shuara iruntai je̱e̱n waya̱n ti asutiármiajai, Jesusnan umirkatniun iniaisarat tusan. Tura imiá kajerkaran chíkich nuṉkanmasha pataatu wearmiajai achiktaj tusan’ tímiayi.
ACT.26.12	‘Tura Israer-patri uuntri̱ tsaṉkatrukmatai, papin ni surusarmia nuja̱i̱, Tamasku péprunam wétaj tusan jíinkimiajai. 
ACT.26.13	Tura, uunta, nantu tutupin a̱i̱, jintiá wéai̱ newaat ajaki ti tsáapin, tsawái nantuja̱i̱ naṉkaamas etsantrutramiayi. Tura wiji̱a̱i̱ wearmia nunasha núnisaraṉ etsantrurarmiayi. 
ACT.26.14	Tura túrunamtai ashí nuṉká tepetar wáinkiarmiaji. Wiki Israer-chichamja̱i̱ túrutun antukmajai “Sauru, Sauru, ¿urukamtai imiá pataaturam? Amek enentáimin yajauch awajmamsame, wáaka saṉkanmiak numin ijiuma núnismek. Wíi aents kajera asam túruname” turutmai.’
ACT.26.15	‘Túrutkui wisha “¿Amesha yáitiam, Uunta?” tímiajai.
ACT.26.15	Tutai Uunt turutmai “Wisha Jesusaitjai, ame pataatamna núitjai. 
ACT.26.16	Tura nantakim wajaktia. Winia takartusminiam tusan wantintiukjame. Tura ame wáinkiamna nusha etserkattame. Tura ukunam wantintiuktatjame. Wáinkiatamna nusha etserkamnium, turutmai. 
ACT.26.17	Tura nuya̱sha turutmai, Wats yamaisha Israer-shuarchanum akupkatjame. Tura Israer-shuar kajertamainiakuisha, tura chíkich aents kajertamainiakuisha ayampruktatjame, turutmai. 
ACT.26.18	Péṉker jintintiata tusan akupeajme. Kame aencha kiritniumia̱ jíinkiar tsáapninium wekasarat tusan, tura iwianchin umirtsuk Yúsan umirkarat tusan akupeajme. Tura Winia enentáimtursarmatai Wisha ni tunaari̱n tsankurattajai. Nuna túran Yusna ajasaru áiniana nuja̱i̱ apujsattajai.” Nuna Jesus turutmai’ tímiayi.
ACT.26.19	‘Tuma asamtai, uunt Akripia, Uunt Jesus nayaimpinmaya̱ wantintiurak turutmia nuna umirkataj tusan pujajai. 
ACT.26.20	Enentai yapaji̱áwar Yus-shuar ajastinian, emka Tamaskunam pujuarmia nuna ujakarmiajai. Tura nuya̱sha Jerusaréṉnumia̱n, Jutía nuṉkanmaya̱ncha tura nútiksanak Israer-shuarchancha nuna ujakarmiajai. Tura ujainiakun “Yus-shuar ajasmarum paant ajasat tusarum, péṉker túratarum” tímiajai ashí shuaran. 
ACT.26.21	Tura wi Yusa Uunt Jee̱n pujái̱, Israer-shuar achirkar emetruawar mántuatai tukamá tujintrukarmiayi, Yus winia yaintiu asamtai. 
ACT.26.22	Yus winia yaintiu asamtai, iniaitsuk tuke Yus-Chichaman ujainiajai. Uunt ainia nunasha, tura péejchach ainia nunasha ujainiajai. Tura Muisaissha, Yúsnan etserniusha tiarmia nunak étsereajai. Nú arantka tátsujai. 
ACT.26.23	Krístuka wáitsatniuyayi, tura jakasha émak nantaktiniuyayi, ii uuntri̱ tiniu ármiayi. Tura Krístuka nantaki Yusa chichame̱n íi áentsun tura Israer-shuarchancha nútiksaṉ ujaktiniuyayi. Nuna tu tiarmiayi. Tura núnaka wisha tu ujainiajai” tímiayi Papru.
ACT.26.24	Tura nuna takui Jistu kakantar tímiayi “Maaj, Papru, wáurme. Imiá unuimiatu asam wáurkame” tímiayi.
ACT.26.25	Tutai Papru tímiayi “Atsá uunt Jistu, wáurtsujai. Antsu wi tájana nuka ti nekasaiti. 
ACT.26.26	Wi tájana nuna, uunt Akripia ju̱i̱ pujana nuka nékawai. Tuma asamtai arantutsuk nin chichareajai. Kame ju̱ túrunamu ti paant asamtai niisha nékawai, tajai” tímiayi.
ACT.26.27	Nuyá Akripian chicharuk “Yaunchu Yúsnan etserin áarmari̱, nekasapitia tátsumek, uunt Akripia. Wikia nékajme. Nekasaiti, tame” tímiayi.
ACT.26.28	Takui Akripia chichaak “Maaj, ishichik awajtame Papru, Yus-shuar ajastin” tímiayi.
ACT.26.29	Tutai Papru tímiayi “Tura ishichík chichamja̱i̱sha untsurí̱ chichamja̱i̱sha, amesha uunt Akripia, tura ashí winia anturtukurmena nu, wiji̱a̱i̱ métek ajasúk tusan wakerajai. Tura antsu wia núnisaṉ jiṉkiámua núnaka wakeratsjai” tímiayi.
ACT.26.30	Papru nuna tuasua amikmatai akupniusha, uunt kapitiáncha, Pirinísesha, tura nui̱ ashí pujuarmia nu wajakiarmiayi. 
ACT.26.31	Tura arant wear, túrunamun chichasarmiayi. Tura tiarmiayi “Ju̱ áishmaṉ mantamnamnian tunaamkachuiti tura peṉkesha sepunmasha eṉkeachminiaiti” tiarmiayi.
ACT.26.32	Tura Akripia Jístun tímiayi “Ju̱ áishmaṉ “uunt akupin nekarati” tíchaitkuiṉkia akupmai makuitji” tímiayi.
ACT.27.1	Tura Páprun Ruma péprunam akupkatniun enentáimsarmiayi. Rúmaka tímiai̱, Itiaria nuṉkanam pujawai. Wisha Pápruja̱i̱ wémiajai. Pápruncha tura chikichnasha achikma ármia nunasha Akustunu tutai suntara kapitiántri̱ji̱a̱i̱ nenakar akupkarmiayi. Nú kapitiáni naari̱ Júriuiti. 
ACT.27.2	Tura Atramitiunmaya̱ kanu Asia nuṉkanam pepru ármia nui̱ wétasa pujumia nu eṉkemprarmiaji. Tura Tisarúnikianmaya̱ áishmaṉ, ni naari̱ Aristárku, in páchitkiauyayi. Tisarúnikiasha Masetúnia nuṉkanmaiti. 
ACT.27.3	Nui̱ eṉkemprar kashin tsawa̱rar Sitiuṉ péprunam jeamiaji. Nui̱ jeawakrin kapitián Juriu, Páprun waitnentak tímiayi “Ame amikrumi̱i̱n wetá. Au íirmasarti” tímiayi. 
ACT.27.4	Tura Sitiuṉnumia̱ jíinkir, kanuja̱i̱ wesar nase tukumpramprakrin Chipri núṉkaka menanmaani aa ikiukmiaji. 
ACT.27.5	Tura nayaantsanam wesar Sirisia tura Pampiria nuṉkanam aya̱mchik naṉkamakir Mira péprunam jeamiaji. Nuka Risia nuṉkanmaiti. 
ACT.27.6	Nui̱ jear nú kanu ikiukmiaji tura chíkich kanu Arijiántrianmaya̱ taa Itiaria nuṉkanam wétasa pujumiayi. Nú kanunam suntara kapitiántri̱, eṉkempratarum, turammiaji. 
ACT.27.7	Tura untsurí̱ tsawant yáitmataik we-wémiaji tura ti wiántkar Nítiunam jeastatuk ajasmiaji. Tura nui̱sha nase tuke tukumkarta asamtai Sarmuṉ nuṉkanam aya̱mchik naṉkaamakir, Kritia nuṉkanam áa̱winini aya̱mchik wémiaji. 
ACT.27.8	Tura Kritia nuṉkanam aya̱mchik wesar itiurchat akui wáitsar wea-wéakuar “Shiir Pujutai” tutainium jeamiaji. Nusha Rasea péprunam tíjiuchiiti. 
ACT.27.9	Yáitmataik wea asar ti táasmaji. Tura yumi yututai jeatema asa ti tsúumainiuyayi nayaantsanam wétin. 
ACT.27.10	Tura Papru chicharuk “Amikru antuktarum. Wi nékajai, yamaí wéakrikia ti tsúumainti. Kanusha tura káarak kanunam eṉketainia nusha meṉkarattawai. Tura iisha núnisrik kajiṉchatjiash” tímiayi. 
ACT.27.11	Suntara kapitiántriṉkia Páprunka anturtsuk, kanú wianniuri̱n kapitiántri̱ncha tura kanú kapitiántri̱ncha chichame̱n anturkarmiayi. 
ACT.27.12	Tura nui̱ Shiir Pujutai tutainium yumitin pujustin péṉkerchaitkui “Nuiṉkia ju̱ya̱ṉka wéartai. Pinise péprunam jeamainchuashit” ashí tiarmiayi. Nú péprusha Kritia nuṉkanam nayaants aya̱mach pujawai. Nú péprunam yumitin pujustinian wakeriarmiayi, arakia nuṉkaani kakaram nase nú péprunam jeachu asamtai.
ACT.27.13	Tuma asamtai ukunam nase nuṉkaania̱ tápiriri ajakui, ii wétin yamaikia péṉkeraiti, tu enentáimsarmiayi. Túmakui kanu emetai jiru júusar jíinkir Krítianam aya̱mchik wearmiaji. 
ACT.27.14	Túrasha árusaṉ arakia̱ kakaram nase, Nuristi tuinia nu tukumpramiayi. 
ACT.27.15	Nase kanun tukumpra asamtai iisha atsantratin peṉké tujinkiamiaji. Túmakui, áankisha juramkitiai tusar iniaisamiaji. 
ACT.27.16	Tura Kritia nuṉkanam áa̱winini naṉkaamakur nuiṉkia nase ishichik mijiantmatai, uchich kanu japikir wémiaj nu ti takasar uunt kanunam eṉkermiaji. 
ACT.27.17	Tura eṉkerar chapikja̱i̱ uunt kanun jiṉkiárarmiayi wewe najanatai tusar. Tura náikim mukutniunam, Serti tutainium nase juramkishtajiash tusar, kanunam yakí tarach aan itiararmiayi. Nu tarach nase útsuktin tusar nenarma ármiayi. Túrawar áyatik nase juramkitiai, tiarmiayi. 
ACT.27.18	Tura kashin tsawa̱rmatai nasesha chíchimisha tímiatrusaṉ kakaram aa asamtai kanunmaya̱n káarak irunmia nuna nayaantsanam ajapawarmiayi. 
ACT.27.19	Menaintiú tsawant naṉkaamasmatai iisha ii uwejé̱ja̱i̱ṉ kanunam kárak iruniarmia nusha entsá utsaṉkarmiaji. 
ACT.27.20	Tura untsurí̱ tsawant tsawa̱i̱sha etsantrachmiayi tura káshisha yaasha tsaparcharmiayi. Tura nasesha ti kakantar tukumpramkurin “Yamaikia uwempratin atsawai” tiarmiaji. 
