GEN.1.1	Jatíbi peokoonontianra, Diossen nai itan mai jonia iki.
LUK.6.41	¿Jawekopiki ja wetsa maxkoshoko nisá bepokoota iken, min jares oinxonai; ja mia jiwi aniosi bepokootakaya ointitianbi?
LUK.6.42	¿Jawekeskaxonki ja min wetsa, nisá bepokoota iken, min bixonti iki; ja mia jiwi aniosi bepokoota, minbipari tsekaama ixonbi? ¡Beparametaibo riki mato!, matonparikaya ja aniosi mato bepokoota tsekakanwe. Jaskáaxonparira moa jakonhakin oinxon, ja min wetsa nisá bepokoota min tsekaxonti iki.
LUK.6.43	Jawetianbira jakon jiwi, jakonma bimia iti atipanyamake, jatian ja jakonma jiwibiribi, jakon bimia iti atipanyamaribake.
LUK.6.44	Jiwibora non onanai iki, jawen bimibo oinxonres. Jaskara ikenra, ja moxa jiwimea higo bimi non tsekati atipanyamake; jatian zarza jiwimeabiribi non uva bimi tsekati atipanyamake.
LUK.6.45	Westíora jakon jonira jakon jawékibores yoyo ikai; jakonhakin shinanires jaa ikax; ikaxbi jakonma jonira jakonma jawékibores yoyo ikai, jawen shinan meran jakonma iken. Jawekeskaraki jonin shinannai, jaskarara joni yoyo ikai.
LUK.6.46	¿Jaweatiki, ‘Ibó, Ibó’, akin maton ea janeai, nokon keenai keskábo axonkinmabi?
LUK.6.47	Ramara en mato yoiai, jatíbi ja nokon joi ninkáxon jan yoiai keská senenhaiboki, jawe jawéki keskábo iki ixon.
LUK.6.48	Jabo riki jonin xoboakin aní keska; rekenparira neminhakin chinianan, shankaki witábo nichina iki. Jatian jenetiaxon mapoara, ja xoboki bai koshi tsakákinbi shakonyamabobia iki; ja xobo witabo kikinhakin nichina iketian.
LUK.6.49	Ikaxbi ja en yoia joibo ninkáxonbi, nokon keena keskábo ea axonyamaibo riki; jonin mai chinixonres, jaki koshitibo ayonxonmabi xoboani keskábo. Jatianra basitanima bai koshin, ja xobo poxaa iki; jaskataxa kikini ras ika iki”, akin jato aká iki.
LUK.7.1	Jatian moa jato joi yoikin senenhatanan, Jesús Capernaúmhain kaa iki.
LUK.7.2	Jain iká iki westíora romano sontárobaon oficial. Jan akonbireskin noia jawen yonoti iká iki, isini mawatibishoko.
LUK.7.3	Jatian Jesús yoii ikanaibo ninkáxon, ja oficialnin, jatíribi judíobaon joni koshibo, Jesússiba jato raana iki; ja jawen yonoti isinai benxoai joyamaama joti yoikanon ixon.
LUK.7.4	Jato jaskáa boxon, joyamaama joti Jesús neskáakin yoikana iki: —Atibira nato sontárobaon koshi oficialnin yokatai min akinti jake.
LUK.7.5	Janra non kaibo judíobo jato noike. Janribira, jain tsinkíti xobo noa axona iki —akin.
LUK.7.6	Jaskáakana, jato betan Jesús kaa iki; jatian moa xobonko nokoti bokanaitian, ja *capitánman, jawen onanna jonibo jato raana iki, bechixon neskáakin yoikanon ixon: “Ibó, jakonma shinanyamawe, nokon xobontanibobi, mia jikimati jisámabobi riki ea.
LUK.7.7	Jaskara kopíra eabishaman mia benai kayamawanke. Ikaxbi ja nokon yonoti benxonon ixon, ea yoixonreswe.
LUK.7.8	Enribira nokon koshibaon yonoa jato senenhaxonai. Jainoaxa, en ikinna sontároboribi jake; jatian westíora en jain katanwe akin yoiara kaai, jatian neri jowé akin en wetsa akára, joái; jatian nokon yonoti en jawéki ati yoiara akai”, akin.
LUK.7.9	Jatian jaskáakin yoikana ninkatax, Jesús ráteta iki. Jaskáaxon, já chibani bokana jonibo, jato neskáakin yoia iki: —Ikonshamanra en mato yoiai: Nato *Israel mainra, nato jonin akai keskáakin ea ikonhai joni, en jawetianbi nokoisma iki —akin.
LUK.7.10	Jatian jakiribi moa xobon banéxon, ja raanwanabaon oinkana iká iki, ja yonoti moa benxoa.
LUK.7.11	Jaskáa pekáo, Nain janeya westíora jemanko Jesús kaa iki. Jain kaaitian jaonmea onannaibo, itan icha joniboribi já chibani bokana iki.
LUK.7.12	Jatian ja jema xepotiain moa nokoti kakin oinna, mawá miinnoxon boí ikana iki. Ja mawá iká iki, benomaata ainbaon jabicho bake, jatian ja mawá miinkini boaibo ikana iki icha joni.
LUK.7.13	Jaskara oinxon, ja ainbo Jesussen noibaa iki; jainxon yoia iki: —Winiamawe —akin.
LUK.7.14	Jaskáatanan ja mawá nokobainxon jan bekanai cajón yatana iki. Jatianra ja mawá iata jonibo jainbi charókana iki. Jainxon ja mawá Jesussen neskáakin yoia iki: —Bakeranon, weníwe akinra en mia akai —akin.
LUK.7.15	Jaskáa, ja mawá iwana yakáinakainax moa yoyo iki peokoota iki; jatianra Jesussen moa jawen tita menia iki.
LUK.7.16	Jaskara oinnax ratéxonra, jatíxonbi Dios rabii neskákana iki: —Westíora ani *profetara nooxaran nokóke —ikibo. Jainoax neskáribikana iki: —Jawen jonibo jato akinira Dios joke —ikibo.
LUK.7.17	Jatian jaskara jawékibo Jesussen aká joira, jatíbi Judea main itan ja patax iká jemabaon ninkakaaketana iki.
LUK.7.18	Jatian Juanmanra jatíbi neskara joibo ninkata iki, jawen jonibaon yoia; jaskara ninkáxonra, jawen joni rabe kenaxon,
LUK.7.19	ja Iboiba jato raana iki ¿Miarin ja joti yoikani, iamaxon wetsaki non manati iki? akin yokákanon ixon.
LUK.7.20	Jatian boxon, Juanman jonibaon neskáakin Jesús yoikana iki: —Jato *bautizanai Juanmanra noa raanke, ¿Miarin ja joti yoikani, iamaxon wetsaki non manatiki? akin mia yokáti —akin.
LUK.7.21	Jatianbira icha isini onitsapitaibo jato Jesussen benxoa iki, jainxon ja yoshin naikiaboribi jato pikoxona iki; jainxon icha bencheboribi jato oinmaa iki.
LUK.7.22	Jaskáakin senenhataanan, jato neskáakin yoia iki: —Rama moa botankanwe, kaxon Juan yoitankanwe, jaskara maton oinnabo itan jaskara maton ninkatabo. Benchebaonra moa oinke; chantobora moa nikanai; ja *lepra isinyabora moa benxokanke; pabebaonra moa ninkákanai; mawábora jiriai; ja jawékinin maxkatabora ja bená joi jato yoikanai.
LUK.7.23	¡Diossenra raroshaman imati iki, ja ea ikonhaax eki koshii jenéyamaibo! —akin.
LUK.7.24	Jatian ja Juanman raana jonibo, moa bokana pekáo, Jesussen ja tsamata jonibo, Juankiriakin yoikin jato neskáa iki: “Ja jain joni jayamainko kaxonki ¿Tsoa joni maton oinna iki? ¿Westíora tawa nia niwen shakonai?
LUK.7.25	Jainxonki jaweribi maton oinna iki ¿Westíora joni jakon chopa saweya? Akáma. Matonra onanke, ja jakon chopa saweaibo, itan jan raroti jakonma akaibo, ja apobo jain teetai xobonko jakana.
LUK.7.26	¿Jainxonki jaweribi maton oinna iki? ¿Westíora *profetaki maton oinna iki? Ikon riki, jara maton oinna iki; jara westíora *profeta xewina iki.
LUK.7.27	Ja Juan yoiira ikai Wishá meran neskati:
LUK.7.27	‘Mia raanamatianbira, en wetsa jonipari raanai;
LUK.7.27	jan mia kati bai, mia benxoaxonon’, ixon.
LUK.7.28	Enra mato yoiai, jatíbi jonibo xaranra tsoa jonibi, Juan xewina yamake; ikaxbi tsoaki, ja Diossen jato ikinaton jaa joni iki, jara Juan xewina iki”.
LUK.7.29	Jatian neskara ninkáxon, jatíbi jonibaon itan jato kopí yokataibaonribi ikonhakana iki, Diosra jakon iki ixon. Jatianra Juanman jato bautizana iki.
LUK.7.30	Ikaxbi ja *fariseobo betan esé onan jonibaonbiribi, Juan bautizamayamakana iki. Jabo jato jaskámati Diossen shinanna ikenbi keenyamakin.
LUK.7.31	“Jatian ¿Jawekiki ja ramatian jonibo en yointi iki? ¿Tsoa keskaborin jabo?
LUK.7.32	Jabo riki bakebo plazain tsamatax tsinii saa ikanai keskábo; jaskatira ikanai neskati: ‘Non mato quena xon axonabira, mato ransayamaa iki, mawákanketian iti bewábo noa bewakenbira mato winiamaa iki’, akin.
LUK.7.33	Ja jato *bautizanai Juanra iká iki pan piosma itan vino xeayosma; jatian matonra akai, yoshin naikia riki ixonbo yoikin.
LUK.7.34	Jainoaxa ja jonin Bake joá iki; jara xeai itan piai iki. Jatian maton akai, nato riki naxki joni itan paenai, jainoax ochaya jonibo itan kopí yokámisaibo betan raenanai akinbo.
LUK.7.35	Ikaxbi ja Diossen onan shinanra jishtiai, jatíbi jan akainkobo”, akinra jato Jesussen aká iki.
LUK.7.36	Jatian westíora fariseo joxon, jawen xobonko pikinnoxon Jesús kenaa iki. Jaskáakin kenaa kaax, jawen xobon jikia iki; jainoax mesan yakata iki.
LUK.7.37	Jatian ja jemanribi westíora ainbo iká iki; jakonma jawékibores akí ochai jaa, jatíxonbi onankana. Ja ainbaon onanna iki, ja fariseon xobon pii Jesús kaa. Jaskara onanax, *alabastro akana botírianin, kikinbires kopí ininti bochóya, Jesússiba kaa iki.
LUK.7.38	Jain joáx, winiananbi Jesussen tae pataxbi yakata iki, jainxonra jawen beonmanbi, tachota iki, itan jawen bookanbi tasoa iki, jaskáaxonra tatsó aka iki. Jaskáakin senenhaxon, ja ininti boatonin, Jesussen tae sikaanan ininhaxona iki.
LUK.7.39	Ja ainbaon jaskáaketian oinxon, jan piti kenaa fariseon, neskáakin shinanna iki: “Ikon *profeta ixonra, ochaya ainbo riki nato ea tii aki iitai, ixon onankeanke”, akin.
LUK.7.40	Jatianra Jesussen ja fariseo neskáakin yoia iki: —Simón, westíora jawéki mia yoibanon —akin. Jaskáa yoia iki: —Ea yoiwe maestró —akin.
LUK.7.41	Jatian Jesussen yoia iki: —Rabé joninra, westíora joni koríki ribina iká iki; westíoranin ribina iká iki, pichika pacha nete teexon bititii; wetsan aká iká iki, chonka pichika nete teexon bititii.
LUK.7.42	Jaskáakin ribinxonbi, moa kopíati atipanyamaketian, ja rabekan ribinbi ja jonin, moa jato shinanxonyamaa iki. Rama ea yoiwe ¿Jawerato ja ribinya joninmein bebonbires noia iki? —akin.
LUK.7.43	Jaskáa Simonman yoia iki: —En shinannara, ja bebon icha ribinya jonin aká iki —akin. Jatian Jesussen yoia iki: —Ikonra min yoike —akin.
LUK.7.44	Jatian ja ainbo ointaanan, ja fariseo Jesussen neskáa iki: —¿Minki oinna nato ainbo? Min xobon ea merati jokenbira, onpaxtanibi min ea meniamake; ea jan tachokiinon ixon. Ikaxbi nato ainbaonres ake, jawen beonmanbi ea tachóanan jawen bookanbi, nokon tae ea soaxonkin.
LUK.7.45	Minra ea betsó ayamabobike; ikaxbi nato ainbaonra, jowanxonbi ea tatsó akin jeneyamake.
LUK.7.46	Minra ea xenin nokon maponko ea sikayamawanke; ikaxbi nato ainbaonra inintinin nokon tae ea inínhaxonke.
LUK.7.47	Jaskara ikenra en mia yoiai; jan ea akonbireskin noia riki, jawen jatíbi ochabo en moa shinanxonyamaitian. Ikaxbi ja jaton ocha akábo, jaakin jato Diossen shinanxonresaibaonra, kikinshamanhakin ea noiamai —akin jato aká iki.
LUK.7.48	Jatian jaskáatanan ja ainbo neskáa iki: —Min ocha akábora en moa mia shinanxonyamai —akin.
LUK.7.49	Jaskáaketian ninkatax jabé jawékiaibo, neskatibo yoyo ikana iki: —¿Tsoa jonirin nato, jaton ocha akábo jato soaxonai? —ikibo.
LUK.7.50	Jaskákanainbi Jesussen ja ainbo neskáakin yoia iki: —Ea ikonhaax mia eki koshia kopíra, mia kishpinke, rama moa jawekeskabo shinanyamai jakonax katanwe —akin.
LUK.8.1	Jaskarabo iká pekáo, icha ani jemabaon itan maxko jemabaonribi, ja Diossen ikinaton jati bená joi yoii Jesús kakátiai; jatian jawen chonka rabé jaonmea onanaiboribi jabé bokátikanai.
LUK.8.2	Jainoax jaweti ainboboribi jabé bokátikanai; jatíribibo iká iki, yoshin jato jokonhaxonabo; jatíribibo iká iki isinaitian jato benxoabo. Jainoax jato xaranribi iká iki, ja *Magdalena akin akanai Maríaribi, já meranoax kanchis yoshin pikota ainbo.
LUK.8.3	Jainoax ja Cuza janeya jonin awin Juanaribi; ja Cuza iká iki, Herodesnin jawéki koirani teetai, jainoax Susanaribi. Jainoax jaton jayata jawékinin Jesús akinnai icha wetsa ainboboribi.
LUK.8.4	Jatian icha jonibo wetsa jemameaxbo Jesús oinni tsinkíkana iki. Jaskatira icha jonibo tsinkíkana iki; jainoara Jesussen, jawékiki yoinhanan jato neskáakin yoia iki:
LUK.8.5	“Westíora jonira, bero banai kaa iki; kaxon masá akara, jatíribi berobo bai naposhaman maana iki; jain maanketian, jamákana iki; jainxon isábaonribi bexon, ja berobo pikana iki.
LUK.8.6	Jatíribi berobo maana iki, makánbo xaran. Jain maannax xoxoaxbi mai mecháatibo maxkatax choshia iki.
LUK.8.7	Jatíribi berobo maana iki; moxa napo, jatian ja berobo betanribi ja moxabo xoxoa iki; jatian ja moxapari anixon, ja baná xoxoabo, mapoanan retea iki.
LUK.8.8	Ikaxbi jatíribi berobo maana iki, mai jakon ikain; jaskataxa xoxoax ania iki. Jaskatira kikin icha bimia iki; westíora niábo pachabo bimia iki”, akin. Jaskáakin jato yoitaanan, koshi join jato Jesussen neskáa iki: “¡Ja ninkataibaon ninkákanwe!” akin.
LUK.8.9	Jatian jaonmea onanaibaon Jesús yokákana iki; jawekeska yoikaskinki jaskara yoiwana ixon onankaskin.
LUK.8.10	Jatian jato neskáakin yoia iki: “Matora ja onanyamakana Diossen ikinaton jati en onanmai; ikaxbi wetsabora jawékiki yoinhananbo en jato onanmai; jaskatax oinnaxbi oinnama keskábo ikanon ixon, itan ninkáxonbi onanyamakanon ixonribi.
LUK.8.11	Neskara yoii iká riki, ja bero banai joniki yoinkin en mato aká: Ja bero riki Diossen joi.
LUK.8.12	Jatian ja bai napon maana bero riki, Diossen joi yoikanai ninkataibo. Ikaxbi *Satanás joxonra jan ninkata jawen jointi meran iká joibo shinanbenomai; jaskatax já ikonhaax kishpinmeekanaketian.
LUK.8.13	Jatian ja makan xaran maana berobo riki, ja Diossen joi ninkatatianbi, keenshamankin ikonhaibo. Ikaxbi kikinishaman eki koshiamabo ixonra, jawetio basires ea ikonhakanai. Jatian meskó atikomabo nokoxonra, moa ea ikonhakin jenekanai.
LUK.8.14	Jatian ja moxa napon maana berobo riki, ja Diossen joi ninkáxonbi, iikaanan, jaton meskó shinannai jawékibaon, icha jawékiya iti shinanbaon, itan jaton keenshaman ati shinanbo, jaton shinan meran weixon keyonaanaibo; jatianra ja baná xoxoaxbi bimiamai keskábo banékanai.
LUK.8.15	Jatian ja mai jakonhain bero maana riki; jakonshaman shinanyaxon, itan pontéakin shinantaanan, ja joi ninkáxon jan yoiai keskábores akí koshii jenéyamai; ja banaa berobo xoxoax, jakonshamani icha bimiai keskábo, akin jato aká iki.
LUK.8.16	Tsonbira westíora lamparin ketéaxon, jawékinin mapoisma iki, itan jaton oxati tapo namanbi ayosma iki. Jaskáyamakinra keyáshaman peyásankanai, ja xobon jikiaibaon joé oinkanon ixon.
LUK.8.17	Jaskáribiira westíora joné jawékibi, merayamai bokanai iti atipanyamake; jatian ja onanyamakana jawékibi, tsonbi jishtiakin ayamai kaai yamake.
LUK.8.18	Jaskara iken kikinhakin ninkákanwe, jaweratoki moa jayá iki, jara bebonbires meniti iki. Ikaxbi jaweratoki jayáoma iki, jara jatíbi jawen jayatashokobo keyo bichinti iki”, akin jato aká iki.
LUK.8.19	Jatian jawen tita betan jawen wetsabo, ja Jesús ikain bokana iki. Ikaxbi pataxti atipanyamakana iki joni ichaira iketian.
LUK.8.20	Jatian wetsa jonin Jesús keshana iki: —Min tita betan min wetsabora jeman charókanke, mia oinkasi beax —akin.
LUK.8.21	Jatian jato neskáakin yoia iki: —Ja Diossen joi ninkáxon jan yoiai keská akaibo riki, nokon tita itan nokon wetsabo —akin.
LUK.8.22	Jatian wetsa neten, Jesús jaonmea onanaiboyabi, boten naneta iki, jain nanexon jato yoia iki: —Ian keiba bonon bokanwe —akin. Jaskatax moa shitati bokana iki,
LUK.8.23	jatian moa ian shitai ikanaitian, Jesús moa oxaa iki; jainoaxa ja ianman niwe koshi paketa iki; jatianra jaton boteribi moa jene weiti peokootax reokooti onsá meran ikana iki.
LUK.8.24	Jaskara ikenra, kaxon oxá jishténhaxon Jesús neskáakin yoikana iki: —¡Maestró!, ¡Maestró! ¡Noara moa jikiai! —akin. Jatianra weníxon, ja niweyabi bechon Jesussen notsina iki. Jatianra ja niweyabi, bechon moa nesea iki, jainoax moa jatíbi jakonshaman baneta iki.
LUK.8.25	Jainxon jaonmea onannaibo jato neskáa iki: —¿Eki koshia ikaxbiki mato jaskata? —akin. Jato jaskáabi moa iorai ratetax, jatobiresbo neskatibo yokakanankana iki: —¿Tsoarin nato joni; ja niweyabi bechonbo nesekanwe akin aká, jawen joi ninkáxonkanai? —ikibo.
LUK.8.26	Jaskatax boax, ja ian keiba iká Gadara main nokókana iki; ja iki Galilea keiba iká.
LUK.8.27	Jain kaax Jesús mapetaitian oinnax, ja jemameax yoshin naikia joni jaki joá iki; ja joni iká iki, moa basibires pantionhainres jaax, chopaomabobi ikax, xobonmabi jaa.
LUK.8.28	Jaskáakin Jesús oinnax ja bebon chirankootaanan, neskati saí ika iki: —¡Ea teayamawe Jesús, ani Diossen Baké! ¡Enra mia yokatai, ea ramiayamawe! —iki.
LUK.8.29	Jaskáakinra yoia iki; moa já meranoax ja yoshin pikóti Jesussen yoiaitian. Kikinhakinra yoshinman ja joni iboa iká iki. Jatian jonibaon cadenaninbo menéxananbo, tanéxon koirankanabi, jan ras areskatitai, itan ja yoshinmanribi, jain joni jayamainkobo ja joni jabámakatiai.
LUK.8.30	Jatian Jesussen ja joni yokata iki: —¿Jawe janerin mia? —akin. Jaskáa jan yoia iki: —Nokon jane riki Legión —akin. Jaskáakinra yoia iki, já meran kikinbires icha yoshinbo weita iketian.
LUK.8.31	Jainxonra yoshinbaon Jesús yoikana iki, ja jakonma kini meran jato potayamanon ixon.
LUK.8.32	Jatian mananman icha kochi pii tsamata iken; jabo meran jato weimanon ixon ja yoshinbaon Jesús yoikana iki. Jaskáakanketianra jain weikanon ixon jato Jesussen yoia iki.
LUK.8.33	Jaskáakin jato yoia, ja joni meranoax jokontaanan boax, kochibo meran ja yoshinbo weita iki. Jatianra ja kochibo ishto boax, ketóainoax jeneki choronkana iki, jainoara ja kochibo jato jenen keyoa iki.
LUK.8.34	Jatian jaskáketian oinnax, ja kochi koirannai jonibo rátetax, jabati ishtokana iki. Boxonra jemankobo nokóxon itan wain teetai jonibo, jaskara joibo jato keshanbokana iki.
LUK.8.35	Jaskara ninkatax oinni jonibo bokana iki. Jatian boxonra Jesús ikain nokóxon, ja yoshinbo já meranoa jokona joni, ja Jesús namanbi yakata, nokokana iki; moa chopa sawéya itan moa jakon. Jaskara oinnax jonibo rakékana iki.
LUK.8.36	Jatian jaskara winota oinnabaonra wetsaboribi, jato yoikana iki. Ja yoshin naikia ipachoai joni, jaskatax benxoa.
LUK.8.37	Jatian jaskáaketian oinnax, ja Gadara mainmea jonibaon, ikonbiresi rakékin moa jainoax kanon ixon Jesús yoikana iki. Jaskáakana Jesús boten nanetax moa kaa iki.
LUK.8.38	Jaskati moa kaaitian, já merameax yoshinbo jokona jonin, jabé kakaskin Jesús yoia iki; ikaxbi Jesussen kayamawe akin ataanan; neskáakin yoia iki:
LUK.8.39	—Min xobon katanwe, kaxon jatíbi ja mii meranxon Diossen jaskara akábo jato yoitanwe —akin. Jatianra ja joni moa kaa iki. Kaxon jatíbi ja jemamea jonibo, ja meranxon Jesussen aká jawékibo jato yoia iki.
LUK.8.40	Jatian jakiribi ja ian shitai joáx, jainoax kawanainko joribaketian; ja manai iikin, raroshamankin jonibaon bikana iki.
LUK.8.41	Jain nokóketianra westíora joni Jairo janeya jaiba joá iki, ja iká iki jain tsinkíti xobonkonia joni koshi; joxonra Jesús namanbi chirankooxon, jawen xobon kanon ixon yoia iki.
LUK.8.42	Jawen jabicho ainbo bake mawatibishoko iken. Ja bake iká iki chonka rabé baritiaya. Jaskáakin yoia kaaitianra joni ichan bitaxesa iki.
LUK.8.43	Jatian ja jonibo xaranribi westíora ainbo iká iki; moa chonka rabé baritia jimi boani isinai. Jato raonmakin jatíbi jawen koríkishokobo moa keyoyona iká iki; ikaxbi moa tsonbi benxoati atipanyamaa.
LUK.8.44	Ja ainbaon Jesús pekao jokin nokobainxon jan perakoota chopa kebí tii akanaana iki. Jaskáakin tii akatianbi ja ainbo moa jimi boani jeneta iki.
LUK.8.45	Jaskáaketian Jesussen jato yokata iki: —¿Tsonki ea tii aka? —akin. Jato jaskáa jatíxonbi nonra mia akáma iki, akin akana iki. Jaskákanaitian Pedron yoia iki: —Maestró, joni ichaira ixon bitaxkanara mia iitai —akin.
LUK.8.46	Jabi Jesussen jato yoiakeresa iki: —Tsonra ea tii ake, nokon atipana koshira emeranoax pikóke —akin.
LUK.8.47	Jatian jaskáshamanax jonétikoma iken, ja ainbo, Jesús namanbi saki iananbi chirankootoshita iki. Jainxonra ja joni icha tsamata napónxonbi yoia iki; jawekopi tii akárin ixon, jainoax jaskatax benxoaribi.
LUK.8.48	Jaskáakin yoiketian ja ainbo Jesussen yoia iki: —Baké, ea ikonhaxa mia benxoke, moa jakonax katanwe —akin.
LUK.8.49	Jatian Jesús yoyo ikipari iitainbira, jain tsinkíti xobon iká joni koshi Jairon xobomeax, westíora joni joá iki, joxon neskáakin yoia iki: —Min bakera moa mawáke, ja Maestro moa teayamawe —akin.
LUK.8.50	Jatian jaskáaketian ninkáxon Jesussen Jairo neskáakin yoia iki: —Rakéyamawe eareskaya ikonhawe, jatianra min bake benxoti iki —akin.
LUK.8.51	Jainoax Jairon xobon kaa iki, jain nokóxon, tsoabi ja xobon jikimayamaa iki. Jaskáxon ja Pedro, Santiago, Juan jainoax ja mawata baken papa betan jawen titares jikimaa iki.
LUK.8.52	Jatian jatíbi jain ikábo, winiananbibo yoyo iki ikanaitian, jato nokoa iki. Jaskákanaitian Jesussen jato yoia iki: —Winiamakanwe, nato xontakora mawatama iki; oxaaresiki —akin.
LUK.8.53	Jaskáakin jato yoiabi jaki shirokin osanreskana iki, ja xontako moa mawata iken onanax.
LUK.8.54	Jaskákanaitian kawanxon, Jesussen ja mawá metsonxon, koshinshaman neskáakin yoia iki: —¡Weniwe xontakó! —akin.
LUK.8.55	Jatianbi ja xontako jiriax wenita iki; jainoara jawékiamakanon ixon jato Jesussen yoia iki.
LUK.8.56	Jaskáketian oinnax jawen anibo ratékana iki; jatian Jesussen jato yoia iki, jaskara jawékibo tsoabi jato keshantima.
LUK.9.1	Jainxonra Jesussen jawen chonka rabé jaonmea onannaibo tsinkia iki; jaskáaxonra jawen atipana koshi, itan yoiti koshi jato menipakea iki, meskó yoshinbo pikokanon ixon, itan isinaiboribi benxoakanon ixon.
LUK.9.2	Jaskáaxon jato raana iki, ja Diossen ikinaton jati joibo jato yoiti, itan isinaiboribi benxoakanon ixon.
LUK.9.3	Jato yoia iki: —Kakin jawebi bokantima, nin kekóti, nin bolsa, nin jawékiati jawékibi; nin koríkibi, nin wetsa ja saweti chopabi bokantima.
LUK.9.4	Jawerato xobonki mato nokotai, jainbi mato iti iki, wetsanko kaai mato taxketai kaman.
LUK.9.5	Ikaxbi jawerato jemanxonboki mato bikashamakanai; ja jemameax moa mato kati iki. Kaaira ja maton jamata mai potobo, mato tawasaakainti iki. Ikonhayamakin mato biamax, moa onsá meran ikanai jabaon onankanon ikax —akin jato aká iki.
LUK.9.6	Jaskáakin jato yoia, jatíbi maxko jemabotiibi bokana iki, jakon joi jato yoiboi, itan isinaiboribi jato benxoaboi.
LUK.9.7	Jatian ja apo Herodesnin jatíbi jain winotai jawéki yoii ikanaibo ninkata iki; jaskarabo ninkáxon meskóakinbo shinanna iki. Ja mawáyantana Juanra moa jiriribike ikibo ikanaitian.
LUK.9.8	Jatíribibaon yoia iki; ja *profeta Elías jatoki pikota; jatian wetsabaonbiribi yoia iki, ja moatian *profeta ipaonibo westíora jiria.
LUK.9.9	Jaskákanaitian Herodesnin jato yoia iki: —Enbishamanra ja Juan jato textemayantanke ¿Jatian ja yoii yoyo iorakanai, en ninkatai joniki tsoa iki? —akin. Jaskara kopíra Herodesnin Jesús oinkashoraa iki.
LUK.9.10	Jainoax ja raanabo moa beribakana iki. Bexonra jaskara jawékibo abeirankanabo Jesús yoikana iki. Jatian janra jatobiribi tsínkianan, ja Betsaida jemanko jato boá iki.
LUK.9.11	Ikaxbi moa jain bokana onanxon jonibaon chibana iki. Jatianra jakonhaxonres jato Jesussen bia iki. Jainxonra ja Diossen ikinaton jati joibo yoiananbi, ja isinaiboribi jato benxoa iki.
LUK.9.12	Jatian moa yantan iketian, jawen chonka rabé jaonmea onanaibaon, neskáakin Jesús yoikana iki: —Nato jonibo moa tantikanon ixon jato raanwe, neno noa ikainra jawebi yamake; abátankanon ja ochóma iká jemashokobaon, itan wainkoboribi ja jawékiakanti benakin —akin.
LUK.9.13	Jatian Jesussen jato yoia iki: —Matonbikaya jato pimakanwe —akin. Jatian jabaon neskaa iki: —Noara pichika pan betan rabé yapashokoyares iki. Jaskara ikenra noabi kati jake, jato jawékiati maroxoni —akin.
LUK.9.14	Ja jain tsinkita iká iki, pichika waranka jonibira; jaskara ikenbi Jesussen jaonmea onannaibo jato yoia iki: —Westíora tsamábotiibi pichika chonka jonibo jato yakámakanwe —akin.
LUK.9.15	Jatian jaskáakin jato yoiara jatikaxbi yakákana iki;
LUK.9.16	Jatian Jesussen ja pichika pan betan ja rabé yapa bitaanan, naiori oinxon, ja jawékiati kopí Dios iráke aka iki. Jaskáakin senenhaxon, tobapakeanan jaonmea onannaibo jato menia iki; jabaonbiribi ja tsamatabo jato menikanon ixon.
LUK.9.17	Jaskáakin menikana piax, jonibo jatikaxbi potókana iki. Jatian jato menia texe tsinkikana, chonka rabé tasá bocho baneta iki.
LUK.9.18	Wetsa neten jabichobiribi orani Jesús iká iki; jatian ja jaonmea onanaiboribi já betan jain ikana iki. Jainoa jato neskáakin yokata iki: —¿Tsoarin ea ixonki jonibaon ea yoiai? —akin.
LUK.9.19	Jato jaskáa yoikana iki: —Jatíribibaonra shinankanai, mia jato *bautizanai Juan, wetsabaonra shinankanai mia Elías, jainxon jatíribibaon shinankanai mia moatian ipaoni *profeta jiria —akin.
LUK.9.20	Jaskáakanabi Jesussen jato yokáribia iki: —¿Jatian matonbiribiki ea tsoa shinannai? —akin. Jato jaskáaketian Pedron yoia iki: —Mia riki ja *Cristo —akin.
LUK.9.21	Jatian Jesussen jato yoia iki, jaskara joibo tsoabi jawekeskaxonbi jato keshanyamakanon ixon.
LUK.9.22	Jainxon jato neskáakin yoiribia iki: —Ja jonin Bakera ikonbiresi onitsapiti jake; jainoax ja judíobaon koshibo, ja *sacerdotebaon koshibo, itan ja esé onan joniboribi jaon keenyamakanti iki. Jaskáaxonra retekanti iki, ikaxbira jawen kimisha nete itin jirinoxiki —akin.
LUK.9.23	Jainxon jatíbibo jato neskáakin yoiribia iki: —Jaweratoboki eonmea onanai ikasai, jabora jawen keena keskatibores iki moa jenéxon, netetiibi jawen koros papiti iki, jainxon ea chibanwe.
LUK.9.24	Jaweratoboki mawákashamai, jabora manotiain bokanti iki. Ikaxbi jaweratoboki ea kopi mawatai jabora kishpinkanti iki.
LUK.9.25	¿Jawe jakonmein iti iki, teetax joni nato netemeax jatíbi jawékinin senenax, iitibi mawatax manotiain kaa?
LUK.9.26	Jaweratoki eon itan nokon joiki rabinai; jatianra ja jonin Bakeribi jawen pené neteyabi, itan jawen papan koshi shinanyanixibi jawen ángelboyabi joáx jaon rabinnoxiki.
LUK.9.27	Enra mato ikonshaman yoiai, jatíribi neno ikábora, ja Diossen ikinaton jati oinnamatianbipari mawákantima iki —akin.
LUK.9.28	Jatian jato jaskáakin yoiibata, moa posaka nete pekáora mananmanxon orani Jesús kaa iki. Ja Pedro, Juan jainoax Santiagoribi já betan bokana iki.
