GEN.1.1	Vowambeela Mulugu ahipaddusa odhulu ni elabo ya vati. 
JHN.5.31	<<Akala gineyiirela onamoona menkaaga, onamoona waaga bohaakwanela. 
JHN.5.32	Ohukalavo mmohi onagiirela onamoona, gihinona wi onamoona onagiireliiye bwa ebaribari. 
JHN.5.33	Nyo mwahaaruma aliba mutheenga wa Zhuwawu Namabathiza, oliye ahiirela onamoona wa ebaribari. 
JHN.5.34	Miyo kaginarabulela onamoona wa muthu, mbwenye ginawogela dhedhi wi mvulumuwe. 
JHN.5.35	Zhuwawu aali wona panti yoohidda yowaara, vano mwa mudhidhi vang'ono mwahifuna ohagalala ni waara waaye. 
JHN.5.36	Mbwenye miyo gihikanna onamoona wookwaranya ole wa Zhuwawu. Mabasa enaahiddiimi egivahile Baabi wi gaahiddege enogiirela onamoona. Mabasa ayo enowooniha wi Baabi digirumile. 
JHN.5.37	Baabi ogirumile, onogiirela onamoona. Vano nyo kamuneewa ndhu neewa, naari kamunoonege mooneyelo eewa. 
JHN.5.38	Madhu eewa kinakalave mmirimani mweenyu, mwaha wi kamunamuroromela oyene Baabi omurumiliiye. 
JHN.5.39	Munosuuza Maleba Ootaleleya mowaatiba, mwaha wi munoobuwela ofwanyamo egumi yoohumala. Maleba ayo binagiirela onamoona! 
JHN.5.40	Naari ndo nyo munokoodda odha wa miyo wi mukanne egumi.
JHN.5.41	<<Miyo kaginapwatha dhedho mwaha wi oriihiwa waaga kunadheela wa athu. 
JHN.5.42	Guhuunonani; nyo kamwinna odhivela wa Mulugu mmirimani mweenyu. 
JHN.5.43	Miyo gidhiile mu ndina na Baabi kamugaakele. Mbwenye mmohi adha mu ndina na oliye yeeka, munomwaakela. 
JHN.5.44	Ki munaroromele addi, mudhiveliwaga oriihana vikaleliinyu, muhusayelaga oriiha onadheela wa Mulugu mmohive? 
JHN.5.45	Muhuubuwele wi ginowuusumelani wa Baabi. Ohukalawo onoosumeleni: Mozezi munamuroromeliinyu dinoosumeleni. 
JHN.5.46	Mwahaamuroromele Mozezi mwa ebaribari, mweerege ogiroromela, vowi oliye alebile dha miyo.
JHN.5.47	Mbwenye akala kamunaroromela dhalebiliiye, ki munaaroromele addi madhu aaga?>>
JHN.6.1	Nuwindo, Yesu ahilabuwaga Nyaza ya oGalileya (naari wi Nyaza ya oTiberiyasi). 
JHN.6.2	Anamwinji yahimuharaga, mwaha wi yahoonaga dhitoonyihedho dheerigiiyena vowaayiliha aredda. 
JHN.6.3	Yesu ahigwelaga vamwaangoni, okaraati ni anamasuuza aaye. 
JHN.6.4	(Mudhidhi wa mathanga oofuneya a aZhudewu, eneeriwa Paxkwa,
JHN.6.5	Vevale Yesu veeng'aniligiiye, ahawoonaga anamwinji emudheelaga. Vano ahimukohaga Filipi, wiira: <<Ki nnaagule waani dhootakuna wi athu aatene ala etakune?>> 
JHN.6.6	(Yesu akohaga dhedhi wi amweehe Filipi, mbwenye mwiinya ahinonaga dhafunigiiye wiira.) 
JHN.6.7	Filipi ahaakulaga, wiira: <<Naari korowa dha parata mazana meenddi (200)
JHN.6.8	Namasuuza aaye mmohiwa, ndina naaye Andire, ddibila a Simawu Peduru, ahimwaaddelaga Yesu, wiira: 
JHN.6.9	<<Ohukalavo mwaana muzombwe winna mikaathe mitanu dha sevada
JHN.6.10	Yesu ahiiraga: <<Mwawaaddele athu ekaraati>>. (Vevale vahikalaga thongwe ejinji.) Athu yahikaraatigi. Alobwanave yaaligivo owaakwana macikwi matanu (5.000). 
JHN.6.11	Vano Yesu ahithukulaga mikaathe nde, omutamaala Mulugu, waagawela athu yakaraatilege vevale. Ahiiragana emodha-modhave ni somba nde, waagawela wona mwemo athu mwafuneliiwa. 
JHN.6.12	Athu aatene egajile, yahirubalaga, Yesu ahawaaddelaga anamasuuza aaye, wiira: <<Ddoddelani dhoohala dhiwa wi vihithathiliwe yego>>. 
JHN.6.13	Yahiddoddelaga dhoohala dhaatedhene dha mikaathe mitanu nde, dhaseelelege ale yajilege, odhaaliha middanga kumi ni miinddi.
JHN.6.14	Vevo athu yoonilege etoonyihedho yootikiniha ele yeerilegena Yesu, yahiiraga: <<Ebaribareene ola di Namavuhulela awogiwa wi onoodha adhe elabo ya vati>>.
JHN.6.15	Yesu aganonile wi anamwinji ale yoofunaga omwihidda wi emuhabihe emwene, ahivenyagavo owelela omwaangoni yeeka.
JHN.6.16	Ociguwoni, anamasuuza a Yesu yahikitelaga onyaza. 
JHN.6.17	Egoonile wi ode ohuriba, Yesu kanafiye, yahuubuwelaga omaruwa, ogwela mmwanddeyani odhowaga oKafaranawu wekiiwa. 
JHN.6.18	Vevale pevo yuulubale yahambeelaga wooba evenyihaga kuluzi yaakathamihaga. 
JHN.6.19	Egacapile mwanddeya makilomeeturu owaakwana matanu, naari matanu ni nimohi yahimoonaga Yesu eeddaga vadhulu va mahinje, aaddamelaga mwanddeya weewa, vano aliwa yowoovaga. 
JHN.6.20	Mbwenye Yesu ahiiraga: <<Kamoove. Di miyo>>. 
JHN.6.21	Yahimwaakelaga Yesu mmwanddeyani, mowaaguva mwanddeya weewa wahiimelaga seresere ya kobela wadhowigiiwa.
JHN.6.22	Obebehini wiwa anamwinji ale yahalilege kobela ya nyaza, yahinonaga wi mwanddeya waalivo mmohi baahi. Teto anamwinji ale yahinonaga wi Yesu kaavolowilegemo mmwanddeyani ni anamasuuza aaye, aliwa yadhowilege wekiiwa. 
JHN.6.23	Naari ndo mwanddeya dhimohi dhookumela nluwa na Tiberiyasi dhahifiyaga vakukuuve ni mburo oyene athu vajiligiisu mikaathe, Nabwiya agamutamaale Mulugu. 
JHN.6.24	Anamwinji ale vooniligiiwa wi Yesu kaalivo, anamasuuza aaye naaliweene teto kilivo, athu aatene yahivolowaga mmwanddeyani nde, odhowa oKafaranawu, emusayelaga Yesu.
JHN.6.25	Vevale athu yahimfwanyaga Yesu kobela ya nyaza, yahimukohaga, wiira: <<Namasuuziha, mfiyile alini wuno?>> 
JHN.6.26	Yesu ahawaaddelaga, wiira: <<Ebaribareene, ebaribareene ginowuwaaddelani wi nyo kamunagisayelela mwaha wowiiwelelamo etoonyihedho ele, eehi, mbwenye mwaha wi mwahija yooja ofiyedha orubala. 
JHN.6.27	Kamwihiddege mabasa wi mfwanye yooja enanoongeya, mbwenye mulabege mabasa wi mfwanye yooja yoologela, eli yoovaha egumi yoohumala. Vowi miyo, Mwaana a Muthu, dinoovaheni yooja ele, Mulugu Baabi ahigirumeedhiha wi guuvaheni>>.
JHN.6.28	Vevale athu ale yahambeelaga omukoha, yiiraga: <<Niire avi wi nilabe mabasa Mulugu enaafuniiye?>> 
JHN.6.29	Yesu ahawaakulaga, wiira: <<Mulugu mabasa enaafuniiye baala: Mmuroromele ole omurumiliiye>>.
JHN.6.30	Aliwa yahimukohaga, wiira: <<Munanoonihe etoonyihedho yootikiniha ddi wi noona nuuroromeleni? Munaanda wiirana ddi? 
JHN.6.31	Awale-wale eehu yooja manaa mwiiddeddereni wona Maleba Ootaleleya mulebeliwiiwa wi: 
JHN.6.32	Yesu ahiiraga: <<Ebaribareene, ebaribareene ginowuwaaddelani wi oyene oovahani yooja yadha odhulu, kaali Mozezi, eehi. Ababa boovahani yooja ya ebaribari yowaakwana yadha odhulu. 
JHN.6.33	Vowi yooja Mulugu enaveleeliiye si eyene ekitile okumela odhulu, enavaha egumi yoohumala wa athu a elabo ya vati>>.
JHN.6.34	Ale yaaligi vevale yahimulobaga Yesu, wiira: <<Nabwiya, munivahege yooja eyo malabo maatene>>. 
JHN.6.35	Yesu ahawaaddelaga, wiira: <<Miyo gili yooja enavaha egumi. Muthu oli aatene onadha wa miyo, kadha akanna dala. Aatene enagiroromela, kidha ekanna nthona.
JHN.6.36	<<Ginowuwaaddelani wi ee, nyo muhugoona, mbwenye kamunagiroromela. 
JHN.6.37	Aatene Baabi enagivahiiye, enoodha wa miyo. Teto athu aatene enagidheela, kagidha gaakoodda. 
JHN.6.38	Vowi gihikita okumela odhulu odha wiirana dhoofuna dha ole ogirumile, ehili wiirana dhoofuna dhaaga. 
JHN.6.39	Yoofuna ya ole ogirumile siila: Gihimurimeelihevo naari mmohi mwa ayene egivahiliiye, mbwenye gidhe gaavenyihe muukwani va nlabo noomariha. 
JHN.6.40	Ela teto soofuna ya aBaba wi muthu oli aatene onamusugwa Mwaana, amuroromela, akalena egumi yoohumala, vano miyo ginoodha gimvenyihe muukwani nlabo noomariha>>.
JHN.6.41	Vevale aZhudewu yahambeelaga waaba mwaha wi Yesu ahiiraga: <<Miyo gili yooja ekitile okumela odhulu>>. 
JHN.6.42	Aliwa yoowogaga, yiiraga: <<Ola kahuwo Yesu, mwaana a Zhuuze? Babe ni maaye kanaanonile? Ki onawoga addi wi: <Miyo gikitile okumela odhulu?> >> 
JHN.6.43	Yesu ahawaakulaga, wiira: <<Kamugaabe vikaleliinyu. 
JHN.6.44	Kalivo muthu onaadhe wa miyo, Baabi ogirumile ahimudhiilena; vano miyo ginoodha gimvenyihe muukwani nlabo noomariha. 
JHN.6.45	Dhihilebiwa mwa anamavuhulela wi: <Aatene enoodha ekale oosuuzihiwa ni Mulugu>.
JHN.6.46	Kalivo muthu omoonile Baabi, ahili ole okumele wa Mulugu; oliye yeeka dimoonile Baabi.
JHN.6.47	<<Ebaribareene, ebaribareene ginowuwaaddelani wi onagiroromela, ohukanna egumi yoohumala. 
JHN.6.48	Miyo gili yooja enavaha egumi. 
JHN.6.49	Awale-wale eenyu yahija manaa mwiiddeddereni, naari ndo yahikwa. 
JHN.6.50	Mbwenye yooja enawogiimi si eyene yakitile okumela odhulu wi muthu aja ahikwe. 
JHN.6.51	Miyo gili yooja yeegumi ekitile okumela odhulu. Muthu aja yooja ela, onoodha akalena egumi yoohumala. Yooja ela bu mwiili waaga, onaveleeliimi wa athu a elabo yaatene ya vati wi ekalena egumi>>.
JHN.6.52	Amohi mwa aZhudewu yahambeelaga ovaanyihana vakaleligiisu, yiiraga: <<Muthu ola onaande addi onivaha mwiili waaye wi nije?>> 
JHN.6.53	Yesu ahaakulaga, wiira: <<Ebaribareene, ebaribareene ginowuwaaddelani wi akala kamunaaje mwiili wa Mwaana a Muthu ni ong'wa mwazi waaye, kamunaakalena egumi mwa nyo weekiinyu. 
JHN.6.54	Muthu oli aatene onaaje mwiili waaga ni ong'wa mwazi waaga, ohukanna egumi yoohumala, miyo ginoodha gimvenyihe muukwani nlabo noomariha. 
JHN.6.55	Vowi mwiili waaga si yooja ya ebaribari teto mwazi waaga si yoong'wa ya ebaribari. 
JHN.6.56	Muthu oli aatene onaje mwiili waaga, ang'wa mwazi waaga, onakala mwa miyo teto ginakala mwa oliye. 
JHN.6.57	Baabi ogirumile mugumi, miyo teto gili mugumi mwaha wa Baabi. Mwa mukalelo mmohive, ole onaajeve mwiili waaga, onokanna egumi mwaha wa miyo. 
JHN.6.58	Ela si yooja ekitile okumela odhulu. Eyene eli yoohiyana ni manaa a awale-wale eenyu yaajiliiwa, ekwa. Muthu onaja yooja ela onoodha akalewo okala ni okala>>.
JHN.6.59	Yesu awogilege dhedhi asuuzihaga mu nyuba ya matugumano
JHN.6.60	Anamasuuza ajinji a Yesu egeewile dhedhi yahiiraga: <<Madhu ala bookukumula. Onaande waarumeedha baani?>> 
JHN.6.61	Yesu ahinonaga mmurimani mwaaye wi anamasuuza aaye enowaaba wa nde dheewiligiisu. Vano ahaakohaga, wiira: <<Enookukumulani ddi? 
JHN.6.62	Ki mmoona Mwaana a Muthu agwelaga adhowaga wewo waaliiye wale muneere avi? 
JHN.6.63	Muneba wa Mulugu bunavaha egumi, mwiili wa emuthu kunapuriha yego. Madhu guwaaddeliimini, bili muneba ni egumi. 
JHN.6.64	Mbwenye ehikalavo amohi vaari va nyo ehinaroromela dhinawogiimi>>. (Vowi Yesu ahaanona wambeela wale ale yahaaroromele teto ni ole aampeleke.) 
JHN.6.65	Yesu ahiwelelaga owoga, wiira: <<Mwahaya buuyene wuwaaddeleliimini wi kavili muthu onaande odha wa miyo, Baabi aahimvaha oliye odha>>.
JHN.6.66	Okuma vevale anamasuuza ajinji a Yesu yahimwihiya, kuhumweeddagana. 
JHN.6.67	Yesu ahaakohaga anamasuuza kumi ni abiili ale, wiira: <<Ki nyo teto kamunafuna odhowa?>> 
JHN.6.68	Simawu Peduru ahaakulaga, wiira: <<Nabwiya, nnadhowe waani? Nyo dinna madhu oovaha egumi yoohumala. 
JHN.6.69	Hiyo nnororomela, nihinona wi nyo dili Oweela ookumela wa Mulugu>>. 
JHN.6.70	Vevale Yesu ahaakulaga, wiira: <<Gahuusakulani nyo kumi ni abiili, kahuwo mwemo? Naari ndo, mmohi vaari va nyo da Ddiyabo>>.
JHN.6.71	Oliye amuwogaga Zhudasi, mwaana a Simawu a oEsikariyothi. Naari aalive mmohi mwa anamasuuza kumi ni abiili ale, oliye dampelekile Yesu.
JHN.7.1	Dhigavirile nda Yesu oweeddeedda murudda wa oGalileya. Kaafunile weeddela murudda wa oZhudeya, mwaha wi apogo a aZhudewu a wewule yafuna empe. 
JHN.7.2	Mudhidhi oyo Othabeliwa wa Misasa
JHN.7.3	Vano addibila a Yesu yahimwaaddelaga, wiira: <<Ovenyewo wuno, odhowe oZhudeya wi anamasuuza aawo wewo naaliweene yoone dhedho dhineriiwena. 
JHN.7.4	Ole onafuna ononeya ni athu kaneerana yego mowiipiteya. Vowi nyo munowiirana mabasa owinda, mweyoonihe vowooneya vameentoni va athu aatene wi yuunoneni>>. 
JHN.7.5	(Sowi addibile naaliweene, kayamuroromela.) 
JHN.7.6	Yesu ahawaaddelaga, wiira: <<Mudhidhi waaga kunafiye, mbwenye nyo mudhidhi oli waatene bweenyu. 
JHN.7.7	Elabo ya vati kidha yuwiiddani, mbwenye enagiidda miyo, mwaha wi ginowiirela onamoona wi athu a elabo ya vati dhineeriiwa sootakala. 
JHN.7.8	Nyo dhowani omathabelelo. Dhiinova miyo kaginayawo omathabelelowo, mwaha wi mudhidhi waaga kunafiye>>. 
JHN.7.9	Yesu agawogile dhedho, ahihalaga oGalileya.
JHN.7.10	Egadhowile addibile omathabelelo wa Misasa wule, Yesu teto ahidhowagawo. Kaadhowilege mowooneya, mbwenye mowiipiteya. 
JHN.7.11	Apogo a aZhudewu yoomusayelaga vamathabelelo vale, ekohanaga, yiiraga: <<Mulobwana ole oli wuuvi?>> 
JHN.7.12	Teto vahikalaga onong'ona wujinji owoga dha oliye vaari va anamwinji. Amohi yoowogaga, yiiraga: <<Di muthu apama>>. Mbwenye amohi yowiiraga: <<Eehi, onoviriganiha nlogo>>. 
JHN.7.13	Naari ndo kaalivo muthu awogaga voweela dha oliye mwaha wowawoova apogo a aZhudewu.
JHN.7.14	Othabela ogali vaari, Yesu ahivolowaga nyuba ya Mulugu wambeela osuuziha mwemule. 
JHN.7.15	Apogo a aZhudewu yahitikinaga, wiira: <<Mwaha bwaddi muthu ola winna tthottho dhowinda ahisuuzile?>> 
JHN.7.16	Yesu ahaakulaga, wiira: <<Dhinasuuzihiimi kahuwo dhaaga, dhinadha wa ole ogirumile. 
JHN.7.17	Aatene enafuna wiirana dhoofuna dha Mulugu, enoodha enone akala dhinawogiimi sookumela wa Mulugu naari wa miyo meenka. 
JHN.7.18	Oyene oneewogela yeeka, oneefunela wiiriiha yeeka. Mbwenye onasayela omuriiha ole omurumile, dili a ebaribari, mmurimani mwaaye kamuli yoonyengetha. 
JHN.7.19	Mozezi kahuwo oovahileni Malamulo a Mulugu?
JHN.7.20	Mbwenye anamwinji yahimwaakulaga, wiira: <<We ohiddiwe muneba wootakala. Onafuna wuupa baani?>> 
JHN.7.21	Yesu ahawaakulaga, wiira: <<Giirilena yego emohi baahi, mwaatene otikinaga. 
JHN.7.22	Teto nyo munomwiinela mwihima amulobwana naari nigali nlabo na sabuddu. Mozezi ahuulamulani wiira mwawiinelege aniinyu anaalobwana (naari elemeelelo eyo ehili yookumela wa Mozezi mbwenye wa awale-wale eenyu ale).
JHN.7.23	Akala mwaana onowiineliwa va nlabo na sabuddu wi yaakwanele Malamulo a Mozezi, mwaha bwaddi munatakaleliwa ni miyo voomuyiliha muthu nlabo na sabuddu? 
JHN.7.24	Kamuthongege vowoona mukalelo wa muthuya, mbwenye muthongege mwa ebaribari, ni mowogoowa>>.
JHN.7.25	Vevale athu amohi a oZheruzalemi yahiiraga: <<Ki muthu onamusayeliiwa wi empe, kahuwo olena? 
JHN.7.26	Kahuwo olena onawoga voweela va, kalivo onamwiirela yego! Sowi asogoleli ehinona ebaribareene wi oliye di Kirixtu? 
JHN.7.27	Vowi Kirixtu aroromelihiwe wi adhe, kalivo ononile onaakumiiye. Mbwenye ola aatene nihinona okumeliiye>>.
JHN.7.28	Vevale Yesu asuuzihaga nyuba ya Mulugu, ahiwogaga moogweliha madhu, wiira: <<Nyo muhuginona teto okumiliimi muhunonawo. Mbwenye kagidhiile mwa ofuna waaga-waaga. Ole ogirumile da ebaribari. Nyo kammunonile. 
JHN.7.29	Mbwenye miyo gihimunona mwaha wi gikumele wa oliye, ogirumile di oliye>>.
JHN.7.30	Vevale athu yoofunaga omwihidda Yesu, mbwenye kaalivo mmohi amukahinyilege, mwaha wi mudhidhi waaye waaligi ohunafiye. 
JHN.7.31	Mbwenye athu ajinji mwa anamwinji yahimuroromela, yowiiraga: <<Kirixtu vineeriiye adhe, oneere wiirana dhitoonyihedho dhookwaranya dhedhi mulobwana ola dhiiriliiyena?>>
JHN.7.32	AFarizi yahiiwaga onong'ona wa anamwinji yawogaga dha Yesu. Vano aliwa vamohi ni apogo a anamakutha yahaarumaga anamaang'anela a Nyuba ya Mulugu wi yamwihidde. 
JHN.7.33	Vevale Yesu ahiwogaga ni anamwinji, wiira: <<Ginokala ni nyo mudhidhi vang'ono, geera ndo ginowelela wa ole ogirumile. 
JHN.7.34	Munoodha mugisayelege, mbwenye kamudha mugifwanya. Oneeriimi gakalewo, kamunaande ofiyawo>>.
JHN.7.35	AZhudewu yahambeelaga okohana mmohi ni mukwaaye, yiiraga: <<Onafuna adhowe wuuvi ohunamfwanyiihuwo? Onafuna adhowe wa aZhudewu ebalaleyele vaari va athu a malogo mamohi? Onafuna aasuuzihege athu oode? 
JHN.7.36	Madhu alena enatapulela ddi? Onawoga wi: <Munoodha mugisayelege mbwenye kamudha mugifwanya>, teto oni: <Oneeriimi gakalewo kamudha mfiyawo> >>.
JHN.7.37	Nlabo noomariha na othabela naali noofuneyesesa. Nlabo ndde Yesu ahiimelaga, owoga ni ndhu nootaama, wiira: <<Akalavo winna nthona, adhe wa miyo ang'we. 
JHN.7.38	Maleba Ootaleleya yiire: <Muthu onagiroromela, murima waaye onaakale wona needduuddu a mihinje dha mahinje enavaha egumi> >>. 
JHN.7.39	(Oliye awogaga dha Muneba Woweela athu oomuroromela yaakeliisu. Mudhidhi oyene Muneba Woweela waali ohunadhe, mwaha wi Yesu aaligi ahinadhowe waakela nthithimiho.)
JHN.7.40	Anamwinji egeewile madhu alena, amohi vaari va aliwa yowiiraga: <<Ebaribareene muthu ola dili Namavuhulela>>.
JHN.7.41	Amohi yoowogaga, yiiraga: <<Ola dili Kirixtu aroromelihiwe>>. Mbwenye amohiwa yawogaga, yiiraga: <<Kirixtu onakumela oGalileya? 
JHN.7.42	Maleba Ootaleleya kayiire Kirixtu onadheela wa anamabaliwelamo a Davidi, nluwa na oBetelemi, wewo Davidi wakaliiye?>>
JHN.7.43	Mowindo anamwinji yahigawanyeyaga mwaha wa Yesu. 
JHN.7.44	Amohi yoofunaga omwihidda mbwenye kaalivo amukahinyilege.
JHN.7.45	Anamaang'anela a nyuba ya Mulugu yahiwelelaga wa apogo a anamakutha ni wa aFarizi. Aliwa yahaakohaga anamaang'anela ale, wiira: <<Mwaha bwaddi mudhe muhumwihiddege?>> 
JHN.7.46	Anamaang'anela yahaakulaga, wiira: <<Kanakalegewo onawogaga wona mulobwana ole>>. 
JHN.7.47	Vevale aFarizi yahiiraga: <<Sowi ninyeene teto muhunyengethiwa ni mulobwana ole? 
JHN.7.48	Kalivo naari mmohi mwa hiyo naari aFarizi emuroromele. 
JHN.7.49	Mbwenye athu bure ale ehinonile Malamulo a Mozezi, booddubeya!>>
JHN.7.50	Vano Nikodemu, mmohi mwa aFarizi, oyene amusayele Yesu wale, ahaakohaga akwaaye, wiira: 
JHN.7.51	<<Malamulo eehu kinarumeedhiha omuthonga muthu nihineewe madhu aaye, nnona dhiiriliiye?>> 
JHN.7.52	Aliwa yahaakulaga, wiira: <<Teto niweene oli a oGalileya? Odhowe wasayele mMalebani oneere woona wi kavili namavuhulela ookumela oGalileya>>.
JHN.7.53	[Vevale athu aatene yahiwelelaga mmavade mweewa.]
JHN.8.1	[Yesu ahidhowaga oMwaangoni wa Olivera. 
JHN.8.2	Ogaasile ahidhowaga nyuba ya Mulugu. Athu aatene yahidhaaga wa oliye, vano ahikaraatigi wambeela waasuuziha. 
JHN.8.3	Anamasuuziha a Malamulo vamohi ni aFarizi yahimudhaagana mwihiyana yamwihiddiligiiwa araruwaga, omwiimeliha vaari va athu aatene. 
JHN.8.4	Vano yahimwaaddelaga Yesu, wiira: <<Namasuuziha, mwihiyana ola ohiddiwe araruwaga. 
JHN.8.5	Malamulo a Mozezi enanilamula wi ahiyana ooraruwa wona ola naapege mowaavonya ni mabwe. Nyo muni avi?>>
JHN.8.6	Yamukohelaga wi emweehe, emfwanyena mwaha. Yesu ahiworomaga, wambeela oleba vati ni embuno. 
JHN.8.7	Vowi aliwa yoomukohagave, Yesu ahinuuwaga, wiira: <<Vaari veenyu ohunathegege, ambeele omvonya ni nibwe mwihiyana oyo>>. 
JHN.8.8	Ageere ndo ahiwelelaga oworoma dila ya nabiili, olebaga vati. 
JHN.8.9	Egeewile madhu alena, yahambeelaga ovenyavo mmohi mmohi, wambeela wa apogo ofiyedha oogomihedha; ohalavo Yesu ni mwihiyana ole weekiiwa. 
JHN.8.10	Vano Yesu ahinuuwaga omukoha, wiira: <<Mwihiyana, athu ale eli wuuvi? Kaavo wuukonile?>> 
JHN.8.11	Mwihiyana ole ahiiraga: <<Kalivo muthu, Nabwiya>>. Vano Yesu ahimwaaddelaga, wiira: <<Miyo teto kaginookona. Dhowaga, kuwelele othega>>.]
JHN.8.12	Vevale Yesu ahiwelelaga owoga ni aFarizi, wiira: <<Miyo gili waara wa elabo. Ole onagihara kadha eedda muyiihini, mbwenye onoodha akalena waara onavaha egumi yoohumala>>.
JHN.8.13	AFarizi yahimwaaddelaga, wiira: <<Oneyiirela onamoona weeka. Onamoona waawo oyo kahuwo wa ebaribari>>. 
JHN.8.14	Yesu ahawaakulaga, wiira: <<Naari giyiirelaga onamoona meenka, onamoona waaga bwa ebaribari, vowi gihinona okumiliimi teto onadhowiimi. Mbwenye nyo kamunonile okumiliimi, naari onadhowiimi. 
JHN.8.15	Nyo munathonga voohariha moobuwelo a omuthu. Miyo kaginamuthonga muthu. 
JHN.8.16	Akala ginothonga, ginathonga mowogoowa, vowi kagili meenka, Baabi ogirumile oli ni miyo. 
JHN.8.17	Malamulo eenyu elebiwe wi onamoona wa athu abiili bwa ebaribari. 
JHN.8.18	Miyo ginowiyiirela onamoona meenka teto Baabi ogirumile onogiirela onamoona>>. 
JHN.8.19	Vevale aliwa yahimukohaga, wiira: <<ABabo eli waani?>> Yesu ahiiraga: <<Nyo kamuginonile teto aBaba kamwaanonile. Mwahaaginone, mowaanona aBaba>>.
JHN.8.20	Yesu awogilege madhu alena asuuzihaga mu nyuba ya Mulugu, vakukuuve ni suubi mwalogoleliwa dhooveleela dha athu. Kalivo amwihiddilege, mwaha wi mudhidhi waaye waaligi ohunafiye.
JHN.8.21	Yesu ahiwelelaga wawaaddela, wiira: <<Miyo ginoodhowa. Munoodha mugisayelege, mbwenye munookwela mudhoothegani mweenyu. Onadhowiimi, kamunaande ofiyawo>>. 
JHN.8.22	Vevale apogo a aZhudewu yahiiraga: <<Onafuna eepe, onawoga wi: <Onadhowiimi, kamunaande ofiyawo?> >> 
JHN.8.23	Yesu ahiwelelaga wawaaddela, wiira: <<Nyo muli a vati va, miyo gili a odhulu. Nyo muli a elabo ela, miyo kagili a elabo ela. 
JHN.8.24	Miyo guhuwaaddelani wi munokwela mudhoothegani mweenyu. Akala kamunaroromela wi Miyo Gili,
JHN.8.25	Vevale aliwa yahimukohaga, wiira: <<We oli aani?>> Yesu ahawaakulaga, wiira: <<Miyo gili eyene guwaaddeliimini okuma omambeelelo. 
JHN.8.26	Miyo gihikanna dhijinji dhoowoga dha nyo ni wuurunihani dhineeriinyu, mbwenye ginawoga dhedho dhiiwiliimi wa ole ogirumile wi gawaaddele athu a elabo ya vati, vowi oliye da ebaribari>>.
JHN.8.27	Athu ale kayeewelelemo wi Yesu awogaga dha aBabe. 
JHN.8.28	Yesu ahawaaddelaga, wiira: <<Mwadha mmutomeya Mwaana a Muthu, munoodha munone wi Miyo Gili. Mowindo kagineerana yego mwa meenka, ginawoga dhedho Baabi dhigisuuzihiliiye. 
JHN.8.29	Ole ogirumile, oli ni miyo, kagihiyile meenka, vowi mudhidhi dhaatedhene ginowiirana dhoomudhivela>>. 
JHN.8.30	Yesu agawogile dhedhi, athu ajinji yahimuroromelaga.
JHN.8.31	Vano Yesu ahawaaddelaga aZhudewu yamuroromela, wiira: <<Mweera mukalagave mmadhuni aaga, ebaribareene munakala anamasuuza aaga. 
JHN.8.32	Mowindo munoodha munone ebaribari, vano ebaribari eyo enoodha yuutapuleni>>. 
JHN.8.33	Aliwa yahiiraga: <<Hiyo nili anamabaliwelamo a Abarahamu, okalawene kannakalege adhaari a mmohi. Ki onawogela ddi wi nnoodha nikale ootapuwa?>> 
JHN.8.34	Yesu ahawaakulaga, wiira: <<Ebaribareene, ebaribareene ginowuwaaddelani wi ole oneerana yoothega mudhaari a yoothega. 
JHN.8.35	Mudhaari kanakala mwiimudhini mudhidhi dhaatedhene, mbwenye mwaana dinakala mwiimudhini mudhidhi dhaatedhene. 
JHN.8.36	Eera akala Mwaana onootapuleni, munoodha mukale ootapuwa-mutapuwelo. 
JHN.8.37	Gihinona wi muli anamabaliwelamo a Abarahamu, naari ndo munafuna ogipa, mwaha wi mmirimani mweenyu kamunarumeedha madhu aaga. 
JHN.8.38	Miyo ginawoga dhedho aBaba dhigoonihiliiwa, mbwenye nyo muneerana dhedho dhiiwiliinyu wa babiinyu>>.
JHN.8.39	Aliwa yahiiraga: <<Hiyo, babiihu di Abarahamu>>. Yesu ahawaakulaga, wiira: <<Mwahaakale ahima a Abarahamu, mweerege wiirana dhedho Abarahamu dheeriiyena. 
JHN.8.40	Mbwenye vano munosayela ogipa, naari ngali muthu onowaaddelani ebaribari yiiwiliimi wa Mulugu. Abarahamu kaadhe eerana dhowindo. 
JHN.8.41	Nyo muneerana dhedho babiinyu dhineeriiyena>>. Aliwa yahimwaakulaga, wiira: <<Hiyo kanili ahima a mmararuwoni. Nihikanna Babiihu mmohi, oli Mulugu>>. 
JHN.8.42	Yesu ahiiraga: <<Mulugu ahaakale Babiinyu, mweerege ogidhivela, mwaha wi gikumele wa Mulugu, dhiinova gili wuno. Kagidhiile ni owodha wa miyo meenka, mbwenye oliye digirumile. 
JHN.8.43	Mwaha bwaddi kamuneewelelamo dhinawogiimi? Sowi kamunaakwaniha wiiwa madhu aaga. 
JHN.8.44	Nyo muli ahima a Ddiyabo
JHN.8.45	Mbwenye mwaha wi ginawoga ebaribari, kamunagiroromela. 
JHN.8.46	Ogoonilena yoothega vaari va nyo baani? Akala ginawoga ebaribari, muhunagirumeedhela ddi? 
JHN.8.47	Ole oli a Mulugu, onorumeedha madhu a Mulugu. Mbwenye nyo kamunarumeedha Mulugu dhinawogiiye, vowi kamuli aaye>>.
