MAT.1.1	Tuhca̱ cochi nda̱ta yahn Dihvo vo Jesucristo. Ihyan ndico yahn ye ne, David ma̱n, Abraham ma̱n.
ACT.9.36	Ta̱hn min ne, chihnde a̱ma ihyan nda̱hta ya̱n Jope che ritahno ye Dihvo vo Jesucristo. Ihyan min ne, duche ye Tabita, ne che deva̱co griego ne, Dorcas. A̱ma ndah ihyan ye, ne a̱ma yeno ye, rinan ye ihyan cheva̱h. 
ACT.9.37	Cheta̱h cah ihyan min, ne chih ye. Chihno na̱no ihyan tena̱hn me ne, chacondihte ndah ye ihyan chete cua̱rto che va na̱n o cuahto. 
ACT.9.38	Checadino ihyan che ritahno ye Dihvo vo che ya̱n Lida quenan Pedro, ne nducote nino ya̱n min ne, tahve ye o ihyan che ca̱hn ye, ngua ye ihyan, ne ra̱hn ye:
ACT.9.38	―Cuhn vo nduco ne ya̱n Jope tenun tenun no.
ACT.9.39	Tuhme cuahn Pedro nduco ihyan chahn, ne cuahn che nda̱ ye min ne, quenda ihyan chahn ihyan chete vah na̱n che quendite tena̱hn me. Min chenun nducoya̱ca nda̱hta va̱h, a̱ma raco ye, ne na̱hme ye Pedro vestido ma̱n, coya̱no ma̱n, che nda̱hyon tena̱hn me ro che quenan ye iyehnse. 
ACT.9.40	Chihquentiyon Pedro che ndiquenda̱h vah nducoya̱ca ihyan chahn, ne chentihya ye, cova̱h ye. Ndihchero ye tena̱hn me, ne ra̱hn ye:
ACT.9.40	―Tabita, cuenecuen.
ACT.9.40	Ndeta̱hno na̱hne ye ndutina̱n ye, ne ndihchero ye Pedro, ne necuan ye, va ye na̱n yundo. 
ACT.9.41	Tuhme cheta̱h Pedro ta̱h ye, ne ndedecuan ye ihyan. Cah ye nducoya̱ca ihyan che ritahno ye Dihvo vo Jesucristo ma̱n, nda̱hta va̱h chahn ma̱n, ne na̱hme ye ihyan nda̱hta me che a ntuche ye va̱n tena̱hn. 
ACT.9.42	Nducoya̱ca ihyan ya̱n Jope ne, checadino ye yahn vederihno me, ne a̱ma ya̱hn ye chitahno ye Dihvo vo. 
ACT.9.43	Ra̱hn quenan Pedro min ya̱n Jope, ndeva̱co Simón, a̱ma sa̱hn che redin dave se ima.
ACT.10.1	Min ya̱n Cesarea chihnde a̱ma capitá̱n che duche se Cornelio, che ndi cuande se compañia che duche Italiana. 
ACT.10.2	Sa̱hn min nduco nducoya̱ca ihyan yahn se che chenun ye ndeva̱co se ne, rendeva se yavena̱n Dendiohs numacuahn vedenecun. A̱ma reca̱h se tume che rinan se ihyan nación yahn Israel, ne reva̱h se ro ro. 
ACT.10.3	A̱ma ro, tenduh na̱n rahco ino a chino ne, chinahn a̱ma vederihno na̱n se, ndihchero ndah se a̱ma ángel yahn Dendiohs che chenda̱ ye na̱n quenun se, ne ya̱hve ye sa̱hn:
ACT.10.3	―¡Cornelio!
ACT.10.4	A̱ma dihya se chi, ndihchero se ángel me, ne tumerune se ihyan:
ACT.10.4	―Dihvé, ¿deh nahn ne ne?
ACT.10.4	Ndahconan ángel me yahn se:
ACT.10.4	―Dendiohs, a chihnevan ye che revah, ne ndihchero ye che redin vedeva̱hino nduco ihyan cheva̱h. 
ACT.10.5	Ma̱n ne, cuedechoh ihyan che ca̱hn ye ya̱n Jope, ngua ye Simón che namin duche ye Pedro. 
ACT.10.6	Quenan ye a̱ma vah che nti nino nuniya̱hn, va̱co a̱ma sa̱hn redin dave ima che namin duche se Simón. Ihyan min ca̱hma ye co ye di deh che va che din.
ACT.10.7	Cuahn che cona̱hn ángel me ne, cah Cornelio o sa̱hn deca̱hya yahn se nduco a̱ma sanda̱do che quenan se ndeva̱co se che namin ritahno se Dendiohs. 
ACT.10.8	Chihno neca̱h cuande se sa̱hn nducuahn ne, dechuh se sa̱hn ya̱n Jope.
ACT.10.9	Ta̱ma ro me ne, tenduh na̱n inguiya̱hn ne, cuahn che a cuahn nino sa̱hn chahn ya̱n Jope ne, cocha Pedro tin vah yuto na̱n che quenan ye, ca̱va che cova̱h ye. 
ACT.10.10	A̱ma chi cuico ye, ne numanahn che rindah che cheh ye ne, chinahn a̱ma vederihno na̱n ye. 
ACT.10.11	Ndihchero ye na̱n ro a̱ma che deca̱ ro a̱ma tino chahte tihca̱ ro che nechiche nduh che cun esquina yahn, ne cochahn cua̱hn ndiya̱hn nino na̱n ye. 
ACT.10.12	Min chete tino me chenun nducoya̱ca na̱n ite che cun ca̱h te ma̱n, cu ma̱n, ya̱hda ma̱n. 
ACT.10.13	Tuhme chihnevan ye a̱ma ndudo che ra̱hn:
ACT.10.13	―Pedro, cuihne ite sih, cocheh ite.
ACT.10.14	Ate ndahconan Pedro:
ACT.10.14	―Dihvé, hua, te u ne, nde menahn metah chéh nde a̱ma na̱n ite che chihnga̱ te.
ACT.10.15	Ndaconan ndudo me:
ACT.10.15	―Cha che a nedin dave Dendiohs ne, hua quendi ndedecadine che chihnga̱.
ACT.10.16	Ino yune ndaconan ndihchero ye vederihno me. Tuhme conda̱ tino me cua̱hn na̱n ro. 
ACT.10.17	Nahmin che a̱ma rendedecadino Pedro deh conahn vederihno me ne, sa̱hn che dechuh Cornelio ne, a nda̱ se chendevah, retumerune se ti che va̱co Simón. 
ACT.10.18	Tuhme tumerune se a min quenan a̱ma ihyan che duche ye Simón che namin duche ye Pedro. 
ACT.10.19	Rendedecadino ca Pedro yahn vederihno me cuahn che ya̱hve Vaco Ndah yahn Dendiohs ihyan:
ACT.10.19	―Nda̱ ino se, rinuhn se di. 
ACT.10.20	Cuenchehn, ne cuehn nduco se. Dehve rahque, te u dechúh sa̱hn. 
ACT.10.21	Tuhme cuenchahn Pedro cua̱hn na̱n che vatendi sa̱hn che dechuh Cornelio, ne ra̱hn ye ri ye sa̱hn:
ACT.10.21	―U che rinuhn nchuhn. ¿Deh ntiyon cochi ne ne?
ACT.10.22	Ndahconan sa̱hn chahn:
ACT.10.22	―Huate, capitá̱n Cornelio dechuh ye nuhn. Ihyan min ne, a̱ma ndah ihyan ye, ne rendeva ye yavena̱n Dendiohs. Nducoya̱ca ihyan nación yahn Israel ne, yahino ye ihyan. Ra̱hn a̱ma ángel yahn Dendiohs ri ye ihyan che dechuh ye chehua ndih, ca̱va che ca̱hn ne ndeva̱co ye, cahnevan ye deh che va che ca̱hma ne co ne ihyan.
ACT.10.23	Tuhme ra̱hn Pedro che conda̱ sa̱hn chahn chete vah, ne chahtenan se nduco ye. Nde ta̱ma ro me cuahn ye nduco se, nduco neve ihyan ya̱n Jope che ritahno ye Dihvo vo. 
ACT.10.24	Na̱n che chi o ro me ne, nda̱ ihyan chahn ya̱n Cesarea, ne quenan rino Cornelio nduco nducoya̱ca ihyan yahn se ma̱n, amigo yahn se ma̱n, che ndiya̱hve se. 
ACT.10.25	Cuahn che nda̱ nino ihyan chahn va̱co Cornelio ne, quenda̱h se vah ca̱va che nevahnecun se Pedro, ne chehntihya se na̱n ye, rendeva se yavena̱n ye. 
ACT.10.26	Ate ndedecuan Pedro sa̱hn, ne ra̱hn ye:
ACT.10.26	―Cuenecuen, cuandi. Hua nda̱hca̱ che ndeva yavená̱n, te u ne, ihyan iyehnse u nduhca̱ di.
ACT.10.27	Ca ra̱hn ca rica ye, chenda̱ ye chete vah, ne ndihche ye che a̱ma ya̱hn ihyan ndi da̱ma ye min. 
ACT.10.28	Tuhme ra̱hn ye ri ye ihyan chahn:
ACT.10.28	―Nchuhn ne, a devano ne te ca̱hnda va yahn nuhn, ihyan nación yahn Israel, che ca̱hn nuhn ndeva̱co ihyan ta̱ma nación ma̱n, che conduco nuhn ihyan chahn ma̱n. Ate Dendiohs ne, te ye, checadinó te hua quendi ndedecadinó che hua nda̱hca̱ che coda̱ma nuhn nduco ihyan ta̱ma nación. 
ACT.10.29	Chemin che cuahn che tahve nchuhn che chehua u ne, ndeta̱hno cochí, hua chacotá̱hn. Ma̱n ne, nahn cadinó deh cuande che tahve ne che chehua u.
ACT.10.30	Tuhme ndahconan Cornelio:
ACT.10.30	―A ma̱n cun ro, co tenduh ura cuh ne, va ya̱hté ma̱n, revá̱h ma̱n, muhn chete va̱có, cuahn che chihnde ro a̱ma ángel, quenun ye tino che tuno diya̱hn ro. 
ACT.10.31	Ra̱hn ye ri ye u: “Cornelio, chihnevan Dendiohs che revah, ne ndihchero ye che redin vedeva̱hino nduco ihyan cheva̱h. 
ACT.10.32	Ma̱n ne, cuedechoh nde ya̱n Jope che ngua Simón che namin duche ye Pedro. Quenan ye a̱ma vah che nti nino nuniya̱hn, ndeva̱co a̱ma sa̱hn che redin dave ima, che namin Simón duche se.” 
ACT.10.33	Chemin che a ndeta̱hno dechúh che chehua ndih. Nda̱hca̱ din ne che cochi ne. Ma̱n ne, nto da̱ma nducoya̱ca nuhn muhn na̱n Dendiohs ca̱va che cahnevan nuhn nducuahn che chihquentiyon ye che ca̱hma ne.
ACT.10.34	Tuhme cahndudo Pedro:
ACT.10.34	―Ma̱n ne, a chenáhn te Dendiohs che cua̱co niyon ne, hua retenda̱h nun ye ihyan, 
ACT.10.35	te da̱ma no yahino ye nducoya̱ca ihyan adecotino nación yahn ye, ndete che rendeva ye yavena̱n ye ma̱n, redin ye che ndah ma̱n. 
ACT.10.36	Dendiohs ne, dechuh ye Jesucristo, Dihve nducoya̱ca ihyan, va̱n ihyan nación yahn Israel, ca̱va che cuahndudo ye ndudo ndah yahn che ndo ya̱n Dendiohs nduco ihyan iyehnse. 
ACT.10.37	Nchuhn ne, a devano ndah ne yahn nducuahn che coma̱n chinahn numachahte nación yahn Israel, cana̱n nde esta̱do yahn Galilea, cuahn che a chuh che cahndudo Jua̱n Bautista ma̱n, chehdenune ye ihyan ma̱n. 
ACT.10.38	A devano ne te Dendiohs ne, din ye che quenun Vaco Ndah yahn ye Jesucristo yahn ya̱n Nazaret, ne nda̱hco ye vederihquentiyon chahte ta̱h ye. Ihyan min ne, quechica ye, redin ye che ndah, ne rendedevahn ye ihyan che rechuhrihn ye, redin chundah. Tihca̱ redin ye, te quenan cuma ye vederihquentiyon yahn Dendiohs. 
ACT.10.39	Nuhn racotuhn nuhn ndudo cua̱co yahn nducuahn che din Dihvo vo Jesucristo numachahte nación yahn Israel ma̱n, ya̱n Jerusalén ma̱n. Ihyan min ne, nahn ya̱h se ihyan na̱n a̱ma cruz, chihno se ihyan. 
ACT.10.40	Ate chihno ino ro ne, ndedetuhche Dendiohs ihyan, ne cahnecun ye che quechica ro ye va̱n nuhn. 
ACT.10.41	Hua quechica ro ye va̱n nducoya̱ca ihyan ya̱n, ate quechica ro ye va̱n nuhn che a tenda̱h nun Dendiohs nuhn nde ro mena̱n ca̱va che cuacotuhn nuhn ndudo yahn che tihca̱ chi. Cuahn che a ntuche ye va̱n tena̱hn ne, da̱ma cheh nuhn, da̱ma chih nuhn nduco ye. 
ACT.10.42	Chihquentiyon ye che cuahndudo nuhn na̱n ihyan che nda̱hco Dendiohs vederihquentiyon ta̱h ye ca̱va che teche ca̱de ye yahn nducoya̱ca ihyan che chenduche ye ma̱n, che ndih ye ma̱n. 
ACT.10.43	A yahn ihyan min che dirun nducoya̱ca ihyan profeta nde a ra̱hn me. Dirun ye te nducoya̱ca ihyan che cotahno ye ihyan min ne, nchahco Dendiohs nunde yahn ye che cuande yahn ihyan min.
ACT.10.44	Nde metah cuihno cuahndudo Pedro cuahn che quenun Vaco Ndah yahn Dendiohs nducoya̱ca ihyan che rihnevan ye ndudo me. 
ACT.10.45	Ihyan nación yahn Israel che ritahno ye Dihvo vo che nduco ye Pedro ne, a̱ma cuahn ino ye chi yahn che quenun Vaco Ndah yahn Dendiohs nde ihyan ta̱ma nación. 
ACT.10.46	Devano cua̱co ye te quenun Vaco Ndah yahn Dendiohs ihyan chahn, te rente ye ta̱ma te o na̱n deva̱co ma̱n, rendeva ye yavena̱n Dendiohs ma̱n. 
ACT.10.47	Chemin che ra̱hn Pedro:
ACT.10.47	―¿A va duh che ca̱hco ta̱n che cuedenune ihyan chuhn?, te a quenun Vaco Ndah yahn Dendiohs ihyan nduhca̱ che quenun uvo.
ACT.10.48	Tuhme chihquentiyon ye che cuedenune ihyan chahn, cuah ye Dihvo vo Jesucristo. Chihno min ne, chica ihyan chahn favor Pedro che conan ye neve ro nduco vih.
ACT.11.1	Ihyan apóstol chahn nduco ihyan che ritahno ye Dihvo vo Jesucristo che vate ye esta̱do yahn Judea ne, checadino ye te nde ihyan ta̱ma nación a chitahno ye Ndudo yahn Dendiohs. 
ACT.11.2	Cuahn che nta̱ Pedro ya̱n Jerusalén ne, ihyan nación yahn Israel che ritahno ye Dihvo vo ne, ra̱hva ye nduco ye. 
ACT.11.3	Tumerune ihyan chahn:
ACT.11.3	―¿Dehco che chehn va̱co ihyan ta̱ma nación, cheh da̱ma nduco ye ne?
ACT.11.4	Tuhme neca̱h cuande Pedro ihyan chahn nducuahn che chi:
ACT.11.5	―A̱ma ro cuahn che quenán ya̱n Jope ne, ura che revá̱h ne, chinahn a̱ma vederihno ná̱n. Ndihcheró a̱ma che deca̱ ro tino chahte tihca̱ ro, ne nechiche nduh che cun esquina yahn, chica na̱n ro, cochahn cua̱co na̱n che quenún. 
ACT.11.6	Cuahn che chihco ndáh cuda̱do deh chenun chete ne, ndihcheró ite che cun ca̱h te ma̱n, ite chano ma̱n, cu ma̱n, ya̱hda ma̱n, 
ACT.11.7	ne chihneván ndudo che ra̱hn: “Pedro, cuihne ite sih, cocheh ite.” 
ACT.11.8	Ate ndahconán: “Dihvé, hua, te nde menahn metah chéh nde a̱ma ite che chihnga̱ te.” 
ACT.11.9	Tuhme ndaconan ndudo me nde na̱n ro: “Cha che u, Dendiohs, a nedin davé ne, hua quendi ndedecadine che chihnga̱.” 
ACT.11.10	Ino co ndaconan chinahn vederihno me ná̱n, ne conda̱ cua̱hn na̱n ro. 
ACT.11.11	A ura min no nda̱ ino se che rinuhn se u, che chica se nde ya̱n Cesarea. 
ACT.11.12	Chihquentiyon Vaco Dendiohs che hua dehve ra̱hcó, cá̱hn nduco se. Namin a̱n dino vo chuhn ne, chinduco ye u, chahn nuhn va̱co a̱ma sa̱hn, 
ACT.11.13	che nte cuande se nuhn che ndihchero se a̱ma ángel che chandi ye, chihto na̱n se ndeva̱co se, ne tuhca̱ ra̱hn ye ri ye sa̱hn: “Cuedechoh che ngua Simón che namin duche ye Pedro, quenan ye ya̱n Jope. 
ACT.11.14	Ihyan min ca̱hma ye co ye di nduco ihyan yehn deh va che din nchuhn ca̱va che ndevahn ne.” 
ACT.11.15	Cuahn che chihno nte sa̱hn min ne, cana̱n cahndudó. Ate numanahn che cahndudó ne, adena̱n quenun Vaco Ndah yahn Dendiohs ihyan chahn nduhca̱ che quenun uvo ro mena̱n me. 
ACT.11.16	Tuhme neca̱hcó che ra̱hn Dihvo vo: “Jua̱n ne, chehdenune ye ihyan, ate nchuhn ne, conun Vaco Ndah yahn Dendiohs nchuhn.” 
ACT.11.17	Nducote ma̱n Dendiohs din ye nduco ihyan chahn nduhca̱ che din ye nduco uvo che chitahno vo Dihvo vo Jesucristo ne, ¿duh u ca̱va che din va̱hché yahn Dendiohs?
ACT.11.18	Cuahn che chihnevan ihyan chahn ne, chahtedihn chende ye, ne ndeva ye yavena̱n Dendiohs, ne ra̱hn ye: “Tuhme ne, rahnecun Dendiohs che nto ino ihyan ta̱ma nación nunde yahn ye, cuahtenan ye vahchetero numacuahn ro.”
ACT.11.19	Cuahn che chuh che chih Esteban ne, cana̱n redin ta̱n ihyan nduco ihyan che ritahno ye Dihvo vo, ne chano ihyan chahn. Na̱hn ye ne, cuahn ye nde nación yahn Fenicia ma̱n, Chipre ma̱n, ya̱n Antioquía ma̱n. Min chacotuhn ye Ndudo yahn Dendiohs atena̱n va̱n ihyan nación yahn Israel, te va̱n ihyan ta̱ma nación ne, hua chacotuhn ye ndudo me. 
ACT.11.20	Ate neve ihyan nación yahn Chipre ma̱n, ya̱n Cirene ma̱n, cuahn ye ya̱n Antioquía, ne ihyan chahn chacotuhn ye ndudo ndah yahn Dihvo vo Jesucristo nde va̱n ihyan ta̱ma nación. 
ACT.11.21	Nducote chenan cuma ihyan chahn vederihquentiyon yahn Dihvo vo ne, a̱ma ya̱hn ihyan chihcoma̱n ye dehtenduh che ritahno ye ro mena̱n me, ne chitahno ye Dihvo vo.
ACT.11.22	Cuahn che checadino ihyan che ritahno ye Dihvo vo che chenan ye ya̱n Jerusalén ne, dechuh ye Bernabé nde ya̱n Antioquía. 
ACT.11.23	Cuahn che nda̱ Bernabé min ne, ndihchero ye che a̱ma va vedeyahino yahn Dendiohs va̱n ihyan chahn, ne a̱ma chi yeno ye. Ya̱hve ye ihyan chahn che quendi ye numa ino ye vederihquentiyon yahn Dihvo vo. 
ACT.11.24	Tihca̱ din Bernabé, te a̱ma ndah ihyan ye ma̱n, quenun Vaco Ndah yahn Dendiohs ihyan ma̱n, numa ino ye ritahno ye ma̱n. Ya̱n min ne, a̱ma ya̱hn ihyan chitahno ye Dihvo vo.
ACT.11.25	Chihno min ne, cuahn Bernabé ya̱n Tarso, ngua ye Saulo. Cuahn che nta̱ca ye ihyan ne, ndaconan ye nduco vih ya̱n Antioquía. 
ACT.11.26	Min chahtenan ye a̱ma nduyo nduco ihyan che ritahno ye Dihvo vo, chicuahn ye a̱ma ya̱hn ihyan. Min ya̱n Antioquía cade cana̱n ihyan ra̱hn ye yahn ihyan che ritahno ye Dihvo vo Jesucristo te cristia̱no ye.
ACT.11.27	Ta̱hn min ne, a̱ma o ihyan che recadino ye yahn che va che co ne, chica ye ya̱n Jerusalén, ne nda̱ ye min ya̱n Antioquía. 
ACT.11.28	A̱ma cha ihyan chahn che duche ye Agabo ne, din Vaco Dendiohs che checadino ye che a̱ma cuhnde cuico numachahte iyehnse. Chandi ihyan min na̱n ihyan che ritahno ye Dihvo vo, ne ra̱hn ye che tihca̱ va che co. Ndudo min ne, chinahn adive cuahn que quenan Claudio emperador. 
ACT.11.29	Tuhme ihyan che ritahno ye Dihvo vo Jesucristo che vate ye min ya̱n Antioquía ne, nte ca̱de ye nduco vih che nedin da̱ma ye tume nduhva che tuno ta̱h ye, dechuh ye yahn dihno vo che vate ye esta̱do yahn Judea ca̱va che conan ye ihyan. 
ACT.11.30	Tihca̱ din ihyan chahn, ne dechuh ye Bernabé nduco Saulo, quenda ye tume me, neca̱h ye ta̱h intiyahn ya̱co che vate ye min.
ACT.12.1	Ta̱hn min ne, redin ta̱n rey Herodes nduco ihyan che ritahno ye Dihvo vo Jesucristo. 
ACT.12.2	Jacobo, dihno Jua̱n ne, chihquentiyon rey me che chihno se ihyan nduco espa̱da, 
ACT.12.3	ne nducote ndihchero se che quenan ino ihyan nación yahn Israel ne, namin din se preso Pedro. Ro che tihca̱ din se ne, ro vihco che reh ihyan pa̱n che hua nduco ya̱ yahn. 
ACT.12.4	Cuahn che a din se preso Pedro ne, chaconuhn se ihyan va̱coya̱hn, ne ntihyon a̱ma sanda̱do chahtenan se cuda̱do ihyan, te chuh vihco me ne, nahn tenda̱h se ihyan, techeca̱de se yahn ye, ne ca̱hno se ihyan na̱n ihyan ya̱n. 
ACT.12.5	A̱ma vateya̱n sanda̱do che redin se cuda̱do Pedro che quenun ye va̱coya̱hn, ne ihyan che ritahno ye Dihvo vo ne, reva̱h ye numa ino ye ca̱va ye.
ACT.12.6	Vino che co dave ta̱ma ro me che nahn tenda̱h Herodes Pedro na̱n ihyan ya̱n ne, quiya̱do ye chete va̱coya̱hn me menda̱hn yahn o sanda̱do, nchiche ye nduco o cadena. Sanda̱do chena̱hn chahn ne, redin se cuda̱do chende va̱coya̱hn me. 
ACT.12.7	Adena̱n chenda̱ a̱ma ángel yahn Dihvo vo Dendiohs chete va̱coya̱hn me, ne a̱ma chiya dave. Denuhn nun ángel me Pedro, ndedetuhche ye ihyan, ne ra̱hn ye ri ye ihyan:
ACT.12.7	―Cuenecuen tenun tenun no.
ACT.12.7	Ndeta̱hno nta̱hte cadena che nchiche ta̱h Pedro, 
ACT.12.8	ne ra̱hn ángel me:
ACT.12.8	―Conda̱hco chiche ima che renan chete, ne condonun cah nda̱co yehn.
ACT.12.8	Cuahn che a va ya̱n Pedro ne, ndaconan ra̱hn ángel me:
ACT.12.8	―Condonon tino tu yehn, ne cuiquendi u, cuhn vo.
ACT.12.9	Pedro ne, quendi ye ángel me, nde hua devano ye a cua̱co chemin, te rihno ye che ra̱hco ye. 
ACT.12.10	Chuh ye o cua̱n na̱n che chenun sanda̱do, redin se cuda̱do, ne cuahn che nda̱ ye chendevah cu che a renda̱ na̱n ca̱lle ne, na̱ne ma̱n chendevah me. Ndiquenda̱h ye, chica ca ye tah, ne cona̱hn ángel me. 
ACT.12.11	Tuhme chenahn Pedro, ne ndedecadino ye:
ACT.12.11	―Ma̱n ne, a devano cua̱có te Dendiohs tahve ye a̱ma ángel yahn ye ca̱va che ndedevahn ye u ta̱h Herodes ma̱n, yahn nducuahn che chenan ino ihyan nación yahn Israel che cuahno có ma̱n.
ACT.12.12	Pedro ne, ca rendedecadino ye yahn che tihca̱ chi, ca rica ye, cuahn ye ndeva̱co María, chaco Jua̱n Marcos. Min ndi da̱ma a̱ma ya̱hn ihyan, reva̱h ye. 
ACT.12.13	Cuahn che nda̱ ye min ne, reca̱h ta̱h ye chendevah chahte ma̱n, riya̱hve ye ma̱n. Cuahn a̱ma ta̱hn dihn che duche te Rode, quendihchero te duh che riya̱hve. 
ACT.12.14	Ate cuahn che ndonahn te ndudo Pedro ne, nducote a̱ma yeno te ne, nde hua na̱hne te chendevah me. Ndaconan te, rano te, ngu te ndudo che nti Pedro chendevah. 
ACT.12.15	Ihyan chahn ne, ra̱hn ye ri ye ta̱hn:
ACT.12.15	―¡Luco ri di, ta̱hn dihn!
ACT.12.15	Ate ta̱hn min ne, ra̱hn te te cua̱co che ihyan min. Tuhme ra̱hn ihyan chahn:
ACT.12.15	―Ndiyu ihyan min. Co ángel che redin cuda̱do ihyan.
ACT.12.16	Numanahmin ne, quendi Pedro, reca̱h ta̱h ye chendevah. Cuahn ihyan chahn na̱hne ye chendevah me, ne cuahn che ndihchero ye Pedro ne, a̱ma cuahn ino ye chi. 
ACT.12.17	Ate din ta̱h Pedro yahn ihyan chahn che cuahte dihn chende ye nahmin che neca̱h cuande ye nduhca̱ che ndetenda̱h Dendiohs ihyan va̱coya̱hn. Namin ra̱hn ye:
ACT.12.17	―Ca̱hma nchuhn co ne Jacobo ma̱n, dihno vo chena̱hn ma̱n, nduhca̱ che chi.
ACT.12.17	Tuhme chica ye min, cuahn ye ta̱ma cua̱n.
ACT.12.18	Cuahn che chi dave ta̱ma ro me ne, a ri rite co luco sanda̱do chahn, te hua devano se deh chi nduco Pedro. 
ACT.12.19	Herodes ne, dechuh ye che chinuhn Pedro, ne nducote hua nta̱ca ihyan ne, chica ye sa̱hn chahn che neca̱h cuande se ihyan deh chi. Tuhme chihquentiyon ye sanda̱do chena̱hn che ca̱hno se sa̱hn. Chihno min ne, chica Herodes min esta̱do yahn Judea, ne cuahn ye quenan ye ya̱n Cesarea.
ACT.12.20	Herodes ne, ta̱n ye nduco ihyan ya̱n Tiro ma̱n, ihyan ya̱n Sidón ma̱n, ate ihyan chahn ne, ntuhno ye ca̱va che ca̱hn ye na̱n Herodes. Ya̱hve ye a̱ma sa̱hn ndina̱n yahn rey me che duche se Blasto, che ca̱hma nan se ihyan, ca̱va che ndoya̱n rey me nduco ye. Tihca̱ din ihyan chahn, te na̱n ya̱hn yahn rey me, rica dehtenduh che reh ye. 
ACT.12.21	Herodes ne, chihco vih ye a̱ma ro ca̱va che ndo da̱ma ihyan chahn, ne nda̱ ro min ne, ndonun ye tino che renun ye ura che retecheca̱de ye. Chihnde ye na̱n che rihquentiyon ye, ne cahndudo ye, chihnevan ihyan chahn. 
ACT.12.22	Tuhme rendeva ihyan chahn yavena̱n rey me, ne rah ye:
ACT.12.22	―Ihyan tih che rahndudo ye ne, ¡ndiyu ihyan iyehnse ye, te Dendiohs ye!
ACT.12.23	A ura min no chiya a̱ma ángel yahn Dendiohs, ne din ye che cheta̱h cah Herodes. Chine nda̱h ihyan, ne a̱ma yah vederih chih ye, te ca̱h yune ye che ndeva ihyan yavena̱n ye, nduhca̱ ndete che ihyan min che Dendiohs.
ACT.12.24	Ta̱hn min ne, a̱ma retuhn ndudo yahn Dihvo vo Jesucristo, ri ya̱hn ihyan che ritahno ye.
ACT.12.25	Cuahn che a dinahn Bernabé nduco Saulo ntiyon che chahn ye ne, nda̱ca ye ya̱n Jerusalén, cona̱hn ye ya̱n Antioquía, quenda nduco ye Jua̱n Marcos.
ACT.13.1	Va̱n ihyan che ritahno ye Dihvo vo Jesucristo, che vate ye ya̱n Antioquía ne, chenun va̱n ihyan che rahndudo ye Ndudo yahn Dendiohs ma̱n, ihyan ricuahn ma̱n. Ihyan chahn ne, Bernabé ma̱n, Saulo ma̱n, Simón cuan ma̱n, Lucio yahn ya̱n Cirene ma̱n, Manaén ma̱n, ihyan min che chihta ye da̱ma nduco Herodes, gobernador yahn Galilea. 
ACT.13.2	A̱ma ro che vate ihyan chahn ya̱hte ma̱n, reva̱h ye ma̱n ne, ra̱hn Vaco Ndah yahn Dendiohs nduco ye:
ACT.13.2	―Cuedechuh nchuhn Bernabé nduco Saulo che ca̱hn se, din se ntiyon che a necá̱h che din se.
ACT.13.3	Tuhme chahte tun ihyan chahn ya̱hte, ne cova̱h ye. Chihno min ne, nahn ta̱h ye ihyan che o chahn ca̱va che nuhnde ta̱h ye ntiyon min, ne dechuh ye ihyan, cuahn ye.
ACT.13.4	Bernabé nduco Saulo ne, cuahn ye ya̱n Seleucia nduhca̱ che chihquentiyon Vaco Ndah yahn Dendiohs. Min chahtenun ye a̱ma ba̱rco, ne cuahn ye ya̱hn yahn Chipre. 
ACT.13.5	Cuahn che nda̱ ihyan chahn ya̱n Salamina ne, cana̱n rahndudo ye Ndudo yahn Dendiohs chete ya̱co. Jua̱n Marcos ne, nduco se ihyan chahn, rinan se ihyan. 
ACT.13.6	Chahtechica ye numachahte ya̱hn min, ne nda̱ ye ya̱n Pafos. Min nta̱ca ye a̱ma sa̱hn, nda̱ta yahn Israel, che duche se Barjesús. Sa̱hn min ne, cuah se, ne redin ca̱ se che Dendiohs rinan ye sa̱hn. 
ACT.13.7	Nduco se gobernador Sergio Paulo, a̱ma ihyan che renahn ye. Ihyan min ne, tahve ye che chehua Bernabé nduco Saulo, te nahn cahnevan ye Ndudo yahn Dendiohs. 
ACT.13.8	Ate sa̱hn cuah me, che namin duche se Elimas ne, redin va̱hche se yahn ihyan chahn, te hua nahn se che cotahno gobernador me. 
ACT.13.9	Tuhme Saulo, che namin duche ye Pa̱blo ne, quenun Vaco Ndah yahn Dendiohs ihyan. Ndihche ro ndah ye sa̱hn, 
ACT.13.10	ne ra̱hva ye nduco se:
ACT.13.10	―Di, ¡da̱ya chundah! ¡A̱ma duhtuno ihyan di! ¡Ndere quechique, rihncheh! ¡Hua renan ine nde a̱ma dehtenduh che ndah! ¿Dehco che hua reguen, redetohnen vederihquentiyon yahn Dendiohs? 
ACT.13.11	Ma̱n ne, Dendiohs din ye castigo di. Co ve nan, ne hua co ro nan.
ACT.13.11	Ndeta̱hno chiya man na̱n se, ametah chi ro na̱n se. Cana̱n rinuhn ta̱h se duh che quendanan sa̱hn, te hua ro na̱n se. 
ACT.13.12	Cuahn che ndihchero gobernador me che tihca̱ chi ne, chitahno ye Dihvo vo Jesucristo, te a̱ma rahn ino ye yahn ndudo yahn Dihvo vo che ricuahn ihyan chahn.
