GEN.1.1	Fɔlɔfɔlɔ, Alla ka sankolo dan ka duukolo dan, 
GEN.43.12	Ai wara wodi mɛn di fɔlɔ, ai ye wo ɲɔɔn fila ta, baa wodi mɛn bilani tɛrɛ ai la bɔrɔilu kɔndɔ, fo ai ye ai kɔseyi wo ri. Ai ri a sɔrɔn, alu ɲinanin de. 
GEN.43.13	Nba, ai ye ai doocɛ ta ka wa cɛ wo tɛrɛn ye sisen. 
GEN.43.14	Alla Sebɛɛtii ye ai la hina don a rɔ, kosa a ri Bɛniyaminu ni Simeyɔn naseyi ai ma, kɔni ni n bɔnɔra n deni la, n di bɔnɔ wo rɔ kosɛbɛ.»
GEN.43.15	Wo rɔ, alu ka Bɛniyaminu ta, a ni sanba fenilu, a ni wodi wo ɲɔɔn fila, ka sila mira ka wa Misiran. Alu se mɛn kɛni ye, alu wara Yusufu tɔrɔfɛ, ka alu lɔ a ɲakɔrɔ. 
GEN.43.16	Yusufu ka Bɛniyaminu yen alu fɛ tuma mɛn na, a ka a fɔ a la bon kunnasiila yɛ ko: «Wa mɔɔ ɲinilu ri n na bon na, ka kolofen do faa ka a tibi. Alu kɛtɔ telerɔ damunun kɛla nde le fɛ bi.»
GEN.43.17	Cɛ wo ka alu malɔ Yusufu la bon na iko Yusufu ka a fɔ a yɛ ɲa mɛn ma.
GEN.43.18	Alu watɔla Yusufu la bon na, wo ka alu masilan. Alu kan ko: «An da lana yan wodi ko le rɔ, wodi mɛn bilara an na bɔrɔilu kɔndɔ an na ko fɔlɔ rɔ. Alu kɛtɔ bela an kan de, ka an na falilu ta, ka an mira ka an kɛ jɔnilu ri.» 
GEN.43.19	Wo rɔ, alu ka i madon Yusufu la bon kunnasiila la bonda la ka kuma a yɛ. 
GEN.43.20	Alu kan ko: «An fa, hakɛ to an yɛ. Waati taminni, an nara suman san diya yan. 
GEN.43.21	An bɔ mɛn kɛni yan, an ka an lɔ an sii diya. An ka an na bɔrɔilu da laka ka wodi bilani yen bɔrɔilu kɔndɔ. An na wodi bɛɛ le tɛrɛ, an ka mɛn san suman na. Wodi wo nani an bolo ka a laseyi ai ma. 
GEN.43.22	Suman sankɔ fanan nani an bolo, kɔni mɛn ka wodi do wo bila an na bɔrɔilu rɔ wo lon, an ma wo lɔn.»
GEN.43.23	Bon kunnasiila ka alu jabi: «Ai kana hamin wo la. Ai kana silan. Ai Maari Alla a ni ai fa Maari Alla, wo le ka wodi wo bila bɔrɔilu kɔndɔ ai yɛ. Ni wo tɛ, ai ka suman sankɔ mɛn bɔ, n ka wo sɔrɔn.»
GEN.43.23	Wo rɔ, cɛ wo wara Simeyɔn ta ka na a di alu ma, 
GEN.43.24	ka alu bɛɛ ladon Yusufu la bon na. A ka ji di alu ma ko alu ye alu sen mako. A ka damunun di alu la falilu fanan ma. 
GEN.43.25	Alu nara sanba fen mɛnilu ri, alu ka woilu labɔ ka Yusufu makɔnɔ, baa a fɔra alu yɛ ko a ri na telerɔ damunun diya alu fɛ ye.
GEN.43.26	Yusufu sera a wara tuma mɛn na, alu nara a la sanbailu di a ma bon na ka alu majii a kɔrɔ. 
GEN.43.27	Yusufu ka alu fo ko: «Tana tɛ ai la? Wo lon, ai ka ai fa la ko fɔ n yɛ ko a ra kɔrɔya. Ale don? A kɛndɛ fɔlɔ?»
GEN.43.28	Alu ka Yusufu jabi: «Tana si tɛ an fa la, i la jɔncɛ kɔnin. A kɛndɛ.» Alu ka alu kun majii Yusufu kɔrɔ.
GEN.43.29	Yusufu ka a ɲanakalan ka a doocɛ Bɛniyaminu yen, a jɛrɛ na la den. A kan ko: «Ai ka ai doocɛ mɛn na ko fɔ, wo le ye ɲin di wa?» Alu kan ko: «Ɔɔn, ale le.» Yusufu ka a fɔ a yɛ ko: «N den, Alla ma hɛrɛ kɛra i yɛ.»
GEN.43.30	Bɛniyaminu hina donda Yusufu la kosɛbɛ. Wo rɔ, a kasitɔla le tɛrɛ. A ka bɔ alu tɔrɔfɛ i kɔrɔ ka wa a jɛrɛ la bon kɔndɔ ka kasi. 
GEN.43.31	A ka ban kasila tuma mɛn na, a ka a ɲa lako, ka wa alu tɛrɛn ye. A ka a jɛrɛ mira ka a fɔ a la mɔɔilu yɛ ko alu ye na balo di alu ma. 
GEN.43.32	Alu ka Yusufu la balo bɔ a la a dan na, ka a badenmailu ta bɔ a dan na. Misiranka mɛnilu tɛrɛ ye, alu ka woilu fanan ta bɔ a dan na, baa Misirankailu ti sɔn ka damunun kɛ Heburuilu fɛ. Alu tana le wo ri. 
GEN.43.33	Yusufu ka a badenmailu lasii a ɲakɔrɔ, ka alu tuun i ɲɔɔn na ka bɛn alu si kasabiya ma, ka a damira kɔrɔmamɔɔ ma ka wa se doomamɔɔ ma. Alu ka alu siiɲa wo yen tuma mɛn na, alu ka i ɲɔɔn dagbɛ ka kabannakoya. 
GEN.43.34	Balo mɛn tɛrɛ ye Yusufu kɔrɔ, a la mɔɔilu ka a badenmailu bɛɛ sɔ wo le rɔ. Bɛniyaminu ka mɛn sɔrɔn, wo kɛra a kɔrɔcɛilu ta ɲɔɔn loolu le ri. Alu ka damunun kɛ ka alu min, ka sewa Yusufu la kosɛbɛ.
GEN.44.1	Nba Yusufu ka a fɔ a la bon kunnasiila yɛ ko: «Alu la bɔrɔilu lafa suman na. Alu la falilu di se donin mɛn kɔrɔ, i ye wo jate di alu ma. I wa bɔrɔilu lafa, i ye alu kelen kelenna bɛɛ la wodi la suman kan alu la bɔrɔilu kɔndɔ. 
GEN.44.2	I ye n na wodigbɛ minninfen bila doomamɔɔ la bɔrɔ kɔndɔ a la wodi kan.» Bon kunnasiila ka wo bɛɛ kɛ ikomin Yusufu ka a fɔ a yɛ ɲa mɛn ma.
GEN.44.3	Wo duu sa gbɛni jona Yusufu ka sila di alu ma. Alu ka alu la doninilu la alu la falilu kɔ kan, ka wa. 
GEN.44.4	Ka a tɛrɛn alu ma janfa so la fɔlɔ, Yusufu ka a fɔ a la bon kunnasiila yɛ ko: «Wa alu kɔ! I wa se alu ma tuma mɛn na, i ye a fɔ alu yɛ ko: ‹Nfenna ai ka koɲuma sara kojuu la? 
GEN.44.5	Nfenna ai ka n tii la minninfen sonya? A ye a minna wo le la, a ye ɲaɲinin kɛla wo le la. Ai ra kojuu ba le kɛ ɲin di de!›»
GEN.44.6	Bon kunnasiila wara se alu ma tuma mɛn na, a kumara alu yɛ ikomin Yusufu ka a fɔ a yɛ ɲa mɛn ma. 
GEN.44.7	Alu ka a jabi: «An tii, nfenna i ye an jalakila ten? An tɛ ko su wo kɛla fewu! 
GEN.44.8	I jɛrɛ ka a lɔn ko an nani wodi ri an na bɔrɔilu kɔndɔ wo lon, ka bɔ Kanaan jamana rɔ ka na wodi wo di i ma. A ye di? An di wodigbɛ wala sanin sonya i tii la bon na wo rɔ wa? 
GEN.44.9	An tii, ni i ka minninfen yen an si kunma, wo tii ri faa. Ka a la wo kan fanan, an tɔilu ri kɛ i la jɔnilu ri.»
GEN.44.10	Bon kunnasiila kan ko: «Ale le wo ri, n da diɲɛ wo ma, kɔni minninfen wa yen mɔɔ mɛn kunma, wo ri kɛ n na jɔn di. Ai tɔilu tɛ jalakili.»
GEN.44.11	Wo yɔrɔ wo rɔ, alu ka alu la bɔrɔilu lajii duu ma ka alu da laka. 
GEN.44.12	Bon kunnasiila ka bɔrɔilu ragbɛ. A ka a damira kɔrɔmamɔɔ ta ma, ka wa se doomamɔɔilu ta ma. A ka minninfen yen Bɛniyaminu la bɔrɔ kɔndɔ.
GEN.44.13	Wo le rɔ, alu ka alu la durukilu rafara alu kan na jusukasi bolo ma. Alu ka alu la bɔrɔilu la falilu kɔ kan, ka alu kɔseyi so kɔndɔ. 
GEN.44.14	Yahuda ni a badenmailu sera Yusufu wara ka a tɛrɛn a ye ye fɔlɔ. Alu ka alu la duu ma a kɔrɔ. 
GEN.44.15	Yusufu ka a fɔ alu yɛ ko: «Ai na nfen ko kɛla ɲin ten? Ai ma a lɔn ko nde ɲɔɔn di ɲaɲinin kɛ ka koilu lɔn wa?» 
GEN.44.16	Yahuda kan ko: «N tii, an ti se foyi fɔla. Kuma tɛ an bolo butun. An ti se an bɔla ko ɲin dɔ. Alla jɛrɛ le ra an sonjuu labɔ gbɛ rɔ. An bɛɛ ye i la jɔnilu le ri sisen, minninfen yenni mɛn kunma, a ni an tɔilu bɛɛ.» 
GEN.44.17	Yusufu ka a jabi kɔnin ko: «Ka alu bɛɛ jalaki ten, n tɛ ko su wo kɛla fewu! Minninfen yenni mɛn kunma, wo le kɛtɔ n na jɔn di. Ai tɔilu ye wa hɛrɛ rɔ ai fa wara.»
GEN.44.18	Yahuda ka a madon Yusufu la, ka a fɔ a yɛ ko: «N tii, i jaandi, i ye diɲɛ n ye kuma i yɛ. N ka a lɔn ko i ni Misiran mansa bɛɛ ka kan. I kana mɔnɛ n ma. 
GEN.44.19	N tii, an na ko fɔlɔ yan, i ka an maɲininka an fa ni an badenmailu ma. 
GEN.44.20	An ka i jabi an fa ye ye, ko a ra kɔrɔya kosɛbɛ. Ko an doocɛ doomani fanan ye ye, an fa kɔrɔyanin ka mɛn sɔrɔn. Doomamɔɔ wo kɔrɔcɛ ra faa, ka a kelen pe to. Dogbɛrɛ tɛ ye butun, a ni mɛn ye na kelen na. A la ko duman an fa yɛ kosɛbɛ. 
GEN.44.21	I ka a fɔ an yɛ ko an ye na a ri yan, kosa i ɲa ri la a kan. 
GEN.44.22	An ka a fɔ i yɛ wo lon ko den ti se bɔ la an fa tɔrɔfɛ. Ni a bɔra a tɔrɔfɛ an fa ri faa, 
GEN.44.23	kɔni, an tii, i ka an jabi ni an doocɛ ma na an kɔfɛ yan, ko an tɛ i yen butun.
GEN.44.24	«Wo rɔ, an ka an kɔseyi an fa wara tuma mɛn na, an ka i la kuma lase a ma. 
GEN.44.25	Lon do rɔ, an fa ka a fɔ ko an ye na suman do san ikɔ. 
GEN.44.26	An ka a jabi an ti se nala suman san diya fo an doocɛ wa na an kɔfɛ, baa cɛ wo kan ko an tɛ a yen butun fo an doocɛ wa kɛ an kɔfɛ. 
GEN.44.27	An fa ka a fɔ an yɛ ko an ka a lɔn ko a muso Rasɛli ka dencɛ fila-pe le sɔrɔn a yɛ. 
GEN.44.28	Ko kelen da tunun a ma. Ko a miri rɔ, ko wara juu le ka a mira ka a rafarafara. Ko kɛbi wo lon, a ma a yen butun. 
GEN.44.29	Ko ni an wara do ɲin fanan di don? Ni ko ka a sɔrɔn taama rɔ, ko a kɔrɔyani ri faa ninnafin dɔ. An fa kan ten.
GEN.44.30	«Nba, ni n ka n kɔseyi i la jɔncɛ, n fa, ma sisen ka den to n kɔ yan, wo tɛ bɛn. Den wo le ye n fa la ko bɛɛ ri. 
GEN.44.31	N fa wa a yen tuma mɛn na ko den wo ma a kɔseyi an fɛ, a ri faa. An fa kɔrɔyani ri faa jusumakasa rɔ, wo le rɔ an di kɛ wo sababu ri. 
GEN.44.32	Ka a la wo kan, n ka n lɔ den na kunko la. N ka a fɔ n fa yɛ ko ni n ma kɔseyi den di a ma, n fa hakɛ ri to nde kan kadawu. 
GEN.44.33	I jaandi, i ye n kɛ i la jɔn di den nɔ rɔ, kosa den di a kɔseyi a kɔrɔcɛilu kɔ fɛ. 
GEN.44.34	N ye n kɔseyila n fa ma di, ni den tɛ n bolo? N tɛ i se n fa jusumakasani yenna fewu.»
GEN.45.1	Nba, Yahuda banni kumala, Yusufu ma se a jɛrɛ mirala a la jɔnilu ɲana. A ka alu jamari ko alu bɛɛ ye bɔ. Mɔɔ gbɛrɛ si tun tɛ ye tumana mɛn na, fo Yusufu ni a badenmailu, Yusufu ka a jɛrɛ yiraka alu la. 
GEN.45.2	A kasira kosɛbɛ, fo Misirankailu ka a kasi kan mɛn kɔkan. Wo ko fɔra mɔɔilu ɲana Misiran mansa wara.
GEN.45.3	Yusufu ka a fɔ a badenmailu yɛ ko: «Yusufu le nde ri! N fa kɛndɛ wa?» Yusufu badenmailu ma se a jabila, baa alu silanni tɛrɛ kojuuya. 
GEN.45.4	Yusufu kan ko: «Ai ye i madon n na.» Alu ka i madon a la tuma mɛn na, a kan ko: «Ai badenma Yusufu le nde ri, ai ka mɛn san Isumayila bɔnsɔn julailu ma mɛn ye taala Misiran. 
GEN.45.5	Ai jusu kana a lafin. Ai kana mɔnɛ ai jɛrɛ ma n san ko rɔ. Alla le ka n nana ai ɲɛ yan sa n di kɛ sababu ri ka mɔɔilu kisi kɔnkɔ ma. 
GEN.45.6	Kɔnkɔ san fila le jamana kɔndɔ ɲin. A ra to san loolu le ma, sɛnɛkɛlailu ti nala foyi sɔrɔnna sɛnɛ rɔ. 
GEN.45.7	Alla le ka n lɔ ai ɲɛ yan ka an to yan an fa bɔnsɔnilu kisibaya kanma, sa ai bɔnsɔn kana tunun dunuya ma. 
GEN.45.8	Ai le ma n nana yan de. Alla le ka n nana yan ka n kɛ Misiran mansa lalila ri, ka n nasii mansa la bon kun na, ka n nasii Misiran jamana bɛɛ kun na. 
GEN.45.9	Ai ye ai kaliya ka i kɔseyi n fa ma. Ai ye a fɔ a yɛ ko a dencɛ Yusufu kan ko Alla ra a lasii Misiran jamana bɛɛ kun na. Ko a ye a kaliya ka na n tɛrɛn yan. 
GEN.45.10	Ko a ri a sii Kosɛni jamana rɔ, ka to n tɔrɔfɛ yan. Ko a ye na, a ni a la denilu ni a la mamarenilu ni a la kolofenilu ni a bolofen bɛɛ. 
GEN.45.11	Ko n di alu balo, baa kɔnkɔ ri san loolu kɛ fɔlɔ. Sa a ni a la mɔɔ bɛɛ kana bolokolonya kojuuya.»
GEN.45.12	Yusufu kan ko: «Nba, ai ɲa yen n na sisen. N doocɛ Bɛniyaminu fanan ɲa yen n na. Ai ra a yen ko Yusufu jɛrɛ le kumala ai yɛ. 
GEN.45.13	Mɔɔilu ye n bonyala ɲa mɛn ma Misiran yan, ai ye wo fɔ n fa yɛ. Ai ra fen fen yen ai ɲa la yan, ai ye wa wo bɛɛ fɔ a ye, ka ban ka na a ri jona.»
GEN.45.14	Nba, Yusufu ka a ton a doocɛ Bɛniyaminu kan ka kasi. Bɛniyaminu fanan ka a ton a kan ka kasi. 
GEN.45.15	Yusufu kasimantɔ ka a ton a kɔrɔcɛ kelen kelenna bɛɛ kan ka alu sunbu. Wo le ka a kɛ, a kɔrɔcɛilu ka kuma damira a fɛ.
GEN.45.16	Nba, Yusufu badenmailu na ko fɔra Ferawuna wara tuma mɛn na, wo diyara mansa ni a la ɲɛmɔɔ bɛɛ yɛ. 
GEN.45.17	Mansa ka Yusufu kili ka a fɔ a yɛ ko: «A fɔ i badenmailu yɛ ko alu ye alu doninilu la alu la falilu kɔ kan ka alu kɔseyi Kanaan jamana rɔ. 
GEN.45.18	Alu wa se ye, alu ye alu fa ni alu la mɔɔ bɛɛ ta ka na alu ri n ma. N di duu ɲuma di alu ma, mɛn ka ɲi duu bɛɛ ri Misiran. Alu ri an na jamana balo ɲuma damun. 
GEN.45.19	I ye a fɔ i badenmailu yɛ fanan ko alu wa kɛ wala, alu ye wontoro doilu ta Misiran yan. Alu wa se alu fa wara, alu ri alu musoilu ni alu denilu ni alu fa lasii wontoro woilu kɔndɔ ka na woilu ri yan. 
GEN.45.20	Ni alu bolofen doilu tora alu kɔ ye, alu kana hamin woilu la, baa Misiran fen ɲumaɲumailu le ditɔ alu ma yan.»
GEN.45.21	Nba, Misiran mansa ka mɛn fɔ Isirayɛli denilu yɛ, alu ka wo kɛ. Yusufu ka wontoroilu di alu ma, ka bɛn mansa la kuma ma. A ka sila fanda suman fanan di alu ma.
GEN.45.22	A ka faanin kura di alu kelen kelenna bɛɛ ma, kɔni a ka wodigbɛ kɛmɛ sawa ni faanin kura loolu di Bɛniyaminu ma. 
GEN.45.23	A ka a fa sanba falicɛ tan ni falimuso tan na. A ka falicɛ woilu donin Misiran fen ɲumailu la, ka falimusoilu donin sumankisɛ ni buru ni damununfen gbɛrɛilu la, mɛnilu ri a fa balo taama rɔ. 
GEN.45.24	A ka sila di a badenmailu ma wo rɔ ka a fɔ alu yɛ ko: «Ai kana silan de!»
GEN.45.25	Alu bɔra Misiran ka wa alu fa Yakuba tɛrɛn Kanaan jamana rɔ. 
GEN.45.26	Alu seni ye, alu ka a fɔ a yɛ ko: «Yusufu kɛndɛ le! Ale le jɛrɛ siini Misiran jamana bɛɛ kun na sisen.» Kuma wo bararɔ Yakuba rɔ fo ka a dan natamin. A ma la a la fewu.
GEN.45.27	A dencɛilu ka Yusufu la kuma bɛɛ lase a ma tuma mɛn na, Yakuba ka wo bɛɛ mɛn ka wontoroilu yen fanan, Yusufu ka mɛnilu lana a ta kanma. Wo le rɔ, a sewara ka a ɲaalen. 
GEN.45.28	A kan ko: «N dencɛ Yusufu kɛndɛ fɔlɔ! Nde tɛ foyi ɲininna butun ka tamin wo kan. N di wa n ɲa la a kan sisen sani n ye sa.»
GEN.46.1	Wo rɔ, Isirayɛli ka a bolofen bɛɛ ta ka sila mira ka wa Misiran. A sera Bɛri Seba, a ka saraka bɔ ka a di a fa Isiyaka Maari Alla ma.
GEN.46.2	Su wo rɔ, Alla ka Isirayɛli kili ko: «Yakuba, Yakuba!» A ka jabi: «Naamun.» 
GEN.46.3	Alla kan ko: «N ye i fa Maari Alla le ri. I kana silan Misiran taa ko rɔ, baa n di i bɔnsɔn siyaya ye kosɛbɛ kosɛbɛ. 
GEN.46.4	N jɛrɛ di wa i kɔfɛ Misiran. N jɛrɛ le kɛtɔ i bɔnsɔn nanala yan fanan. I sa tuma wa se, Yusufu jɛrɛ ri i ɲakisɛ latunun.»
GEN.46.5	Wo rɔ, Yakuba wulira ka bɔ Bɛri Seba. A dencɛilu ka a ladon wontoro kɔndɔ, Misiran mansa ka mɛn nana a ta kanma. Alu ka alu denilu ni alu musoilu fanan nadon wontoroilu kɔndɔ. 
GEN.46.6	Alu ka alu la kolofenilu fanan ta, a ni alu bolofenilu bɛɛ, alu ka mɛnilu sɔrɔn Kanaan bɔnsɔn na jamana rɔ. Yakuba ni a la denbaya bɛɛ wara Misiran wo ɲa le ma. 
GEN.46.7	A dencɛilu bɛɛ wara a kɔfɛ, a ni a denmusoilu, a ni a mamarenilu, a la denbaya bɛɛ kɔnin. Woilu bɛɛ wara Misiran Yakuba kɔfɛ.
GEN.46.8	Nba Isirayɛlika mɛnilu wara Misiran, Yakuba ni a la dencɛilu kɔnin, wo tɔɔilu le ɲin di.
GEN.46.8	Yakuba dencɛ fɔlɔ tɔɔ le ko Rubɛn. 
GEN.46.9	Rubɛn dencɛilu le ten: Henɔki, Palu, Hɛsirɔn a ni Karimi.
GEN.46.10	Simeyɔn, wo dencɛilu le ten: Yemuwɛli, Yamini, Owadi, Yakɛn, Sokari, Sawuli. Sawuli na tɛrɛ Kanaan bɔnsɔn do le ri.
GEN.46.11	Lebi, wo dencɛilu le Kerisɔn ni Kohati ni Merari ri.
GEN.46.12	Yahuda, wo dencɛilu le ten: Ɛri, Onan, Sela, Pɛrɛsi a ni Seraki, kɔni Ɛri ni Onan sara Kanaan jamana rɔ. Pɛrɛsi dencɛilu le Hɛsirɔn ni Hamuli ri.
GEN.46.13	Isakari, wo dencɛilu le ten: Tola, Puwa, Yɔbu a ni Simirɔn.
GEN.46.14	Sabulɔn, wo dencɛilu le Serɛdi ni Elɔn ni Jalɛli ri.
GEN.46.15	Leya ka dencɛ mɛnilu sɔrɔn Yakuba yɛ Padani Aramu, woilu le woilu ri. A ka denmuso do fanan sɔrɔn a yɛ ye, mɛn tɔɔ ko Dina. Yakuba bɔnsɔn mɛnilu bɔni Leya rɔ, wo bɛɛ ladɛnni kɛra mɔɔ bisawa ni mɔɔ sawa le ri.
GEN.46.16	Kadi, wo dencɛilu le ten: Sɛfɔn, Haki, Suni, Esibɔn, Eri, Arɔdi, a ni Arɛli.
GEN.46.17	Asɛri, wo dencɛilu le ten: Imina, Isiba, Isibi a ni Beyira. Asɛri denmuso tɔɔ ko Sera. Beyira dencɛilu le Kebɛri ni Malikiyɛli ri. 
GEN.46.18	Silipa wo tɛrɛ jɔnmuso le ri, Laban ka mɛn di a denmuso Leya ma. Yakuba bɔnsɔn mɛnilu bɔni Silipa rɔ, wo bɛɛ ladɛnni kɛra mɔɔ tan ni wɔɔrɔ le ri.
GEN.46.19	Yakuba muso Rasɛli dencɛilu le Yusufu ni Bɛniyaminu ri. 
GEN.46.20	Asanati ka dencɛ fila sɔrɔn Yusufu yɛ Misiran. Do tɔɔ ko Manase. Do tɔɔ ko Efirayimu. Asanati tɛrɛ Potifera denmuso le ri, mɛn tɛrɛ ye Ɔni so mɔɔilu la joo sarakalasela ri. 
GEN.46.21	Bɛniyaminu dencɛilu le ten: Bela, Bekɛri, Asibɛli, Jera, Naman, Ɛhi, Rɔsi, Mupimi, Hupimi a ni Aridi. 
GEN.46.22	Rasɛli ka dencɛ mɛnilu sɔrɔn Yakuba yɛ, woilu le woilu ri. Yakuba bɔnsɔn mɛnilu bɔni Rasɛli rɔ, wo bɛɛ ladɛnni kɛra mɔɔ tan ni naanin le ri.
GEN.46.23	Daan, wo dencɛ le Husimu ri.
GEN.46.24	Nefitali, wo dencɛilu le ten: Jasɛli, Kuni, Jesɛri, a ni Silɛmu.
GEN.46.25	Bilaha ka dencɛ mɛnilu sɔrɔn Yakuba yɛ woilu le woilu ri. Bilaha wo tɛrɛ jɔnmuso le ri, Laban ka mɛn di a denmuso Rasɛli ma. Yakuba dencɛ mɛnilu bɔni Bilaha rɔ, wo bɛɛ ladɛnni kɛra mɔɔ wɔrɔnwula le ri.
GEN.46.26	Mɔɔ mɛnilu wara Misiran Yakuba kɔfɛ, mɛnilu bɔni ale rɔ kɔnin, woilu bɛɛ ladɛnni tɛrɛ mɔɔ biwɔɔrɔ ni mɔɔ wɔɔrɔ le ri. A biranmusoilu ma jate. 
GEN.46.27	Yusufu ka dencɛ fila sɔrɔn Misiran. Nba, Yakuba la mɔɔ mɛnilu nara Misiran, wo bɛɛ ladɛnni kɛra mɔɔ biwɔrɔnwula le ri.
GEN.46.28	Nba, Yakuba ka Yahuda lawa a ɲɛ Misiran, ka wa a fɔ Yusufu yɛ ko alu ye i ɲɔɔn bɛn Kosɛni jamana rɔ. Yakuba ni a la mɔɔilu sera Kosɛni tuma mɛn na, 
GEN.46.29	Yusufu donda a la sowontoro kɔndɔ ka wa a fa kunbɛn Kosɛni. A ka a fa yen tuma mɛn na, a ka a fa labɛn ka a kɛ a kɔnkɔndɔ ka kasi. A mɛnda kasila kosɛbɛ.
GEN.46.30	Yakuba ka a fɔ Yusufu yɛ ko: «Hali ni n sara bi, wo tɛ baasi ri, baa n da i yen, ka a lɔn ko i kɛndɛ le.»
GEN.46.31	Yusufu ka a fɔ a badenmailu ni a fa la tɔilu yɛ ko: «N di wa a fɔ mansa yɛ ko n badenmailu ni n fa la mɔɔilu bɛɛ ra bɔ Kanaan bɔnsɔn na jamana rɔ ka na n ma. 
GEN.46.32	N di a fɔ a yɛ ko ai bɛɛ ye kolofen kɔnɔmadenilu le ri, ko ai la baara le kolofen namara ri. N di a fɔ a yɛ ko ai ra na ai la kolofen bɛɛ ri, a ni ai bolofenilu bɛɛ. 
GEN.46.33	Wo rɔ, ni mansa ka ai kili ka ai la baara maɲininka, 
GEN.46.34	Ai ye a jabi: ‹An tii, an ye kolofen namarala le ri kɛbi an na denniya tumana. An benbailu bɛɛ ka wo baara le kɛ.› Ni ai ka a jabi wo ɲa mɛn ma, a ri sɔn ai ye ai sii Kosɛni jamana rɔ, baa kolofen kɔnɔmadenilu ma di Misirankailu yɛ muumɛ.»
GEN.47.1	Wo rɔ, Yusufu wara a fɔ Misiran mansa yɛ ko: «N fa ni n badenmailu ra na ka bɔ Kanaan bɔnsɔn na jamana rɔ. Alu nani alu la kolofenilu ri, a ni alu bolofen bɛɛ. Alu ye Kosɛni sisen.» 
GEN.47.2	Yusufu ka a badenma loolu yiraka mansa la, a ka mɛnilu lana wo kanma mansa wara. 
GEN.47.3	Mansa ka woilu maɲininka ko: «Ai la baara ye nfen di?» Alu ka mansa jabi: «An tii, an ye kolofen kɔnɔmadenilu le ri, iko an benbailu tɛrɛ ye ɲa mɛn ma. 
GEN.47.4	An nani sii diya ɲininna i wara yan, ka a masɔrɔn kɔnkɔ ra gbɛlɛya an kan Kanaan bɔnsɔn na jamana rɔ. Kolofenilu la damunun tɛ ye butun. Wo rɔ, an tii, an ye i madiyala, i jaandi, i ye diɲɛ an ye an sii Kosɛni jamana rɔ.»
GEN.47.5	Mansa ka a fɔ Yusufu yɛ ko: «I fa ni i badenmailu ra na i ma. 
GEN.47.6	An na jamana Misiran ye i ta le ri. Wa i fa ni i badenmailu lasii yɔrɔ ɲumaɲuma rɔ, yɔrɔ mɛn ka ɲi a tɔ bɛɛ ri. Alu ye alu sii Kosɛni. Ni i ka doilu sɔrɔn alu rɔ, mɛnilu kusan kolofen marala kosɛbɛ, i ye n na kolofen fanan don woilu bolo.»
GEN.47.7	Yusufu ka a fa Yakuba lana ka a yiraka mansa la. Yakuba duwara mansa yɛ. 
GEN.47.8	Mansa ka Yakuba maɲininka ko: «N fa, i sɔrɔn da san yɛli bɔ?» 
GEN.47.9	Yakuba kan ko: «N da san kɛmɛ ni san bisawa sɔrɔn n na dunuɲaratɛɛ bɛɛ rɔ, wo bɛɛ rɔ, n si ma siya a ni n da tɔrɔya siyaman sɔrɔn. N si ma siyaya ikomin n failu ka si sɔrɔn alu la dunuɲaratɛɛ rɔ ɲa mɛn ma.»
GEN.47.10	Yakuba duwara mansa yɛ ikɔ ka wa.
GEN.47.11	Yusufu ka duu di a fa ni a badenmailu ma ka alu lasii Misiran jamana rɔ iko mansa ka a fɔ a yɛ ɲa mɛn ma. Duu wo tɛrɛ ye Ramɛsisi le. Yɔrɔ wo ka ɲi jamana yɔrɔ tɔ bɛɛ ri. 
GEN.47.12	Yusufu ka a fa ni a badenmailu ni a fa la mɔɔ balo, bɛɛ ni a la denbaya.
GEN.47.13	Nba, kɔnkɔ juuyara kosɛbɛ, ka a masɔrɔn suman tun tɛ sɔrɔnna fan si. Mɔɔilu fanka tɛrɛ ye dɛsɛla kɔnkɔ bolola Misiran jamana ni Kanaan bɔnsɔn na jamana rɔ. 
GEN.47.14	Misirankailu ni Kanaankailu ka alu la wodi bɛɛ san Yusufu ma suman na. Yusufu ka wodi wo mira Misiran mansa yɛ ka wa a di a la bon na. 
GEN.47.15	Wodi banda Misirankailu ni Kanaan bɔnsɔn bolola tuma mɛn na, Misiranka bɛɛ nara Yusufu tɛrɛn ka a fɔ a yɛ ko: «Suman di an ma. I kana sɔn an ye faa i ɲana ten. An na wodi bɛɛ ra ban fewu.»
GEN.47.16	Yusufu ka alu jabi: «Ni ai la wodi banda, ai ye na ai la kolofenilu ri, ka wa woilu falɔn suman na.»
GEN.47.17	Wo rɔ, alu nara alu la kolofenilu ri Yusufu ma. Soilu ni saailu ni bailu ni nisilu ni falilu, alu nara wo bɛɛ ri. Yusufu ka kolofen wo bɛɛ falen suman na, ka mɔɔilu balo san kelen wo kɔrɔ.
GEN.47.18	San wo taminni, alu nara Yusufu tɛrɛn ikɔ, ka a fɔ a yɛ ko: «An fa, i ka a lɔn ko an na wodi ra ban. An na kolofen bɛɛ ra kɛ i ta ri fanan. Foyi ma to an bolo fo an jɛrɛ ni an na duu. 
GEN.47.19	I jaandi, i kana sɔn an ye faa i ɲana ten, sa an na duu rakolon kana to. I ye an ni an na duu san suman na. An di kɛ mansa la jɔnilu ri. An na duu ri kɛ a ta ri. I ye suman di an ma, sa an di balo. I ye si di an ma, sa an na sɛnɛilu lakolon kana to.»
