GEN.1.1	Diyà te keteboan te kedita, mig-inang se Timanem te langit aw keneyonan. 
LUK.19.38	Migpegais dan, “Iduyun se Selotan seini insogò te Pengolo tadon Timanem. Begayan kidon din te kelinaw te pedowan lekat te langit. Iduyun den se Timanem.”
LUK.19.39	Doen heman menge Parisiyo timaking ki Jesus, aw minikagi dan diyà kandin, “Sir, segdahi se peg-ikagi dan kenyan.”
LUK.19.40	Meneng minikagi si Jesus, “Penenalan kaw kanak. Simpana mepenek se menge otaw seini, metoman somelilin kandan se menge bato megpegais aw domuyun kanak.”
LUK.19.41	Pegkedapag i Jesus te lonsod te Jerusalem, kinità din iyan aw migkelag tandà te keido din te otaw eg-ogpà kidoen. 
LUK.19.42	Minikagi sikandin, “Mekelelayò kaw tege Jerusalem. Ibeg ko peden mekeabat kaw den te kelinaw te pedowan. Meneng wedà niyo kitai se keokit niyan. 
LUK.19.43	Metoman kaw pa kelimahan, so lomibed se menge sondalo te poon niyo kidoen te lonsod niyo, aw ontò dan megbangan kenyo amon eked kaw palos pekelowà. 
LUK.19.44	Imetayan kaw dan, aw ontò dan heman pegbàtan se kedakel te lonsod niyo aw gobalen dan heman se kedita te balay niyo. Yan se metoman domateng diyà kenyo so wedà niyo ketegahi te seini se aldaw te pegpelowà te Timanem kenyo.”
LUK.19.45	Pegdateng i Jesus doton te Jerusalem, dimoton sikandin te dakel simbahan, aw impekadas din se kedita te otaw egpemeligyà te ayam-ayam kidoen te dowangen niyan. 
LUK.19.46	Minikagi sikandin, “Doen kagi te Timanem impesolat din gebii,
LUK.19.46	‘Se balay te Timanem, yan se ingedanan balay te pegtawal-tawal.’
LUK.19.46	Meneng ininang niyo den ini iling te ogpeanan te megdedempasay.”
LUK.19.47	Migtoladà si Jesus kidoen te dakel simbahan te Jerusalem te kelikit te aldaw. Meneng se kedita te pengolo te simbahan, aw menenoladà te punù ingkeliwat i Moises, aw menge dakel otaw, miglalang dan te imetayan dan si Jesus. 
LUK.19.48	Meneng wedà dan peketoman, so ontò egpenenalan se kedita te otaw diyà kandin.
LUK.20.1	Pegtoladà i Jesus te menge otaw netipon kidoen te dakel simbahan, migtoladà sikandin tepad te Mèpiya Indan. Dalem te pegtoladà din, dimateng se menge pengolo te simbahan aw menenoladà te punù aw menge obanen te Judiyo. 
LUK.20.2	Minikagi dan, “Indani kay te nengà lay eg-inang ka te kedita nini. Sinu lay se simogò kamno?”
LUK.20.3	Timaba si Jesus, “Doen heman insà ko kenyo. Na, indani a niyo. 
LUK.20.4	Sinu lay se simogò ki Juan amon memonyag? Timanem, aw otaw se simogò kandin?”
LUK.20.5	Penga niyan, migpebelaw-belaway dan aw eden se itaba dan kandin. Minikagi dan, “Simpana tomaba kidon te Timanem se simogò ki Juan, silahen kidon din, so wedà kidon pemenal ki Juan. 
LUK.20.6	Meneng simpana tomaba kidon te olò otaw se simogò ki Juan, bontogan kidon te kedita te otaw te bato lamig matay kidon, so nenamay dan mig-aneng-aneng te ontò telekeliwat te kagi te Timanem si Juan.”
LUK.20.7	Yan se doun te timaba dan ki Jesus te wedà dan ketegahi aw sinu se simogò ki Juan. 
LUK.20.8	Minikagi si Jesus, “So wedà kaw taba te insà ko, eked a peg-indan diyà kenyo aw sinu se simogò kanak.”
LUK.20.9	Nayan, mig-indan si Jesus te tegdeyanan seini diyà te medita otaw netipon kidoen, kagi din, “Doen otaw migpawà aw nenanem te paras. Penga niyan, impetonggò din iyan te menge doma otaw, aw dimoton sikandin te mediyò ogpeanan amon meg-ogpà te ontò menamay. 
LUK.20.10	Pegdateng te aldaw te peglegani, doen sineligan insogò te tig-apò amon doen talad te paras ebaten din lekat te otaw impetonggò din. Meneng pegdateng te sineligan doton kandan, binadas dan sikandin aw impekesayo dan te wedad palos imbegay kandin. 
LUK.20.11	Penga niyan, doen doma sineligan insogò te tig-apò. Meneng binadas dan heman sikandin, aw ontò dan pigyàyà, aw impekesayo dan te wedad palos imbegay kandin. 
LUK.20.12	Penga niyan, doen iketelo sineligan insogò te tig-apò. Meneng ontò dan sikandin impeeleg, aw ginoyod dan doton te lowà te pawà. 
LUK.20.13	Penga niyan, mig-aneng-aneng se tig-apò, ‘Megmeno a? Mèpiya aw isogò ko se batà ko egkedekelan ko te pedowan, so keilangan segmanen dan sikandin.’ 
LUK.20.14	Meneng pegdateng te batà din doton kandan, migpebelaw-belaway dan, ‘Seini se meketig-apò te tanà seini aw matay se amay din. Mèpiya aw imetayan tadon sikandin amon sikitadon se meketig-apò te tanà seini.’ 
LUK.20.15	Penga niyan, ginoyod dan sikandin doton te lowà te pawà aw inimetayan dan sikandin.
LUK.20.15	“Nayan, meg-indan a den diyà kenyo aw eden se inangen te tig-apò diyà kandan. 
LUK.20.16	Domoton sikandin aw imetayan din se kedita dan. Penga niyan, ipetonggò din se pawà din te doma otaw.”
LUK.20.16	Nayan, pegdineg te menge otaw te tegdeyanan sìyan, minikagi dan, “Eked iyan peden ketoman.”
LUK.20.17	Meneng timengteng si Jesus diyà kandan aw minikagi, “Meneng keilangan iyan metoman, so doen kagi te Timanem insolat,
LUK.20.17	‘Doen bato in-agbel te menge otaw mig-inang te balay, so eden dan aw wedad kekemowan niyan. Meneng yan se bato ontò salig te balay.’
LUK.20.18	Aw mekedogsò se otaw kidoen te bato sìyan, melosek se menge tòlan din. Meneng aw kedegdagan se otaw te bato sìyan, mepolpog sikandin.”
LUK.20.19	Na, se menge menenoladà te punù aw pengolo te simbahan, netegahan dan te sikandan se nesogatan te tegdeyanan sìyan in-indan i Jesus, aw yan se doun te ibeg dan megdakep peden kandin te aldaw sìyan. Meneng wedà dan peketoman, so nelemitan dan te menge otaw gayed egpenenalan kandin aw domapit dan kandin. 
LUK.20.20	Yan olò dan migtagad te mèpiya aldaw. Doen heman menge otaw insogò dan migpelingo-lingo te tomaking kandin, meneng olò dan nengemahà aw doen kemalì te ikegiyen din amon doen idimanda dan tepad kandin aw ipedakep te gobirnador. 
LUK.20.21	Minikagi dan diyà kandin, “Sir, netegahan day te ontò benal se eg-ikegiyen no aw ipegtoladà nikaw. Pengkey sinu se otaw toledaan no, gayed ka egtoladà te kebenalan tepad te ibeg te Timanem. 
LUK.20.22	Nayan, indani kay den. Lomàpang kidon lay te menge punù ingkeliwat i Moises aw mayad kidon te mihoras diyà te gobirno te Roma? Mepakay lay aw eked?”
LUK.20.23	Meneng netegahan i Jesus te medaet se tod dan te peg-insà dan kenyan. Yan minikagi sikandin, 
LUK.20.24	“Pekitai niyo kanak se kwarta ipegbayad niyo te mihoras. Sinu lay bawa se insawol kidoen? Sinu lay ngadan se insolat kidoen?”
LUK.20.24	Timaba dan, “Selotan te Roma.”
LUK.20.25	Minikagi si Jesus, “Yan begayi niyo diyà te selotan se keilangan ibegay niyo diyà kandin, aw begayi niyo heman diyà te Timanem se keilangan ibegay niyo diyà kandin.”
LUK.20.26	Pengkey ibeg dan doen kemalì te kagi din diyà te otaw netipon kidoen, meneng wedad palos kemalì kinità dan. Nepela dan tandà te pegtaba din kenyan, aw nepenek dan.
LUK.20.27	Doen heman menge Sadusiyo dimoton ki Jesus. Yan se menge otaw egtoladà te eked palos keantay se otaw lekat te nematay. 
LUK.20.28	Mig-insà dan diyà ki Jesus, kagi dan, “Sir, doen impunù i Moises kenitadon tepad te inangen te telekedowa meama. Aw matay se meama te wedad pa batà te esawa din, keilangan mengognan se kedowa te nematay diyà te nayi din nebalo, amon doen peden batà te kedowa din nematay. 
LUK.20.29	Nayan, doen ekon pito telekedowa meama. Nengognan se kakay dan, aw nematay sikandin te wedad pa batà dan. 
LUK.20.30	Penga niyan, nengognan se ikedowa meama te nayi din nebalo, meneng nematay heman sikandin. 
LUK.20.31	Penga niyan, nengognan heman kandin se iketelo meama. Migpetibos-tibosay se pito telekedowa nengognan te bayi sìyan, meneng nematay se kedita dan te wedad pa palos batà dan. 
LUK.20.32	Penga niyan, nematay heman se bayi. 
LUK.20.33	Nayan, indani kay. Aw meantay se otaw lekat te nematay, sinu lay lebò diyà kandan se ontò esawa te bayi sìyan? So migpetibos-tibosay dan se pito nengognan kandin.”
LUK.20.34	Minikagi si Jesus, “Gayed pa egpengognan se otaw dini te keneyonan. 
LUK.20.35	Meneng kidoen te langit, eked den pengognan se otaw pinemallì te Timanem aw entayen din dan lekat te nematay. 
LUK.20.36	Eked dan todà kematay, so iling dan te menge anghil. Meinang dan menge batà te Timanem, so entayen din dan lekat te nematay. 
LUK.20.37	Metoman dan meantay lekat te nematay, so impetaga-taga iyan heman i Moises. Pegsolat din tepad te pegpekità te Timanem diyà kandin kidoen te sagbet limegdeg, tinawal din se Pengolo ‘Timanem gayed egseligan i Abraham, aw si Isaac, aw si Jacob.’ 
LUK.20.38	Kenà otaw wedad pedowan se egsalig te Timanem, meneng otaw doen pedowan se egsalig kandin. Yan se doun te keilangan ketegahan tadon te doen keentayan te lawa te otaw nematay, so binegayan dan te Timanem te kaling pedowan wedad temanan.”
LUK.20.39	Doen kidoen menge menenoladà te punù, aw minikagi dan, “Sir, ontò mèpiya se intaba no kandan.”
LUK.20.40	Penga niyan, wedad palos otaw migtelaman mig-insà kandin.
LUK.20.41	Minikagi si Jesus, “Pengkey benal se ipegtoladà dan te bowad-bowad i David se Misiyas isogò te Timanem dini kenyo, 
LUK.20.42	meneng minikagi si David te Pengolo din se Misiyas, so simolat si David kidoen te libro te Delangan,
LUK.20.42	‘Minikagi se Timanem diyà te Pengolo ko, Penenoo ka dini te tangkil ko 
LUK.20.43	lamig dàgen ko se menge poon no aw ipetolò ko dan kamno.’
LUK.20.44	Na, aw minikagi si David te Pengolo din se Misiyas, kenà olò bowad-bowad din se Misiyas, meneng Pengolo din heman.”
LUK.20.45	Dalem te pegpenenalan te medita otaw ki Jesus, minikagi sikandin diyà te menge tinoledaan din, 
LUK.20.46	“Peg-ahà kaw te menge menenoladà te punù ingkeliwat i Moises. Gayed dan egpenaol te melayat, aw ibeg dan segmanen dan te doma otaw doton te pedyanan. Ibeg dan heman menenoo doton te mèpiya onsedanan kidoen te simbahan te Judiyo. Ibeg dan heman, aw doen dakel kànen, sikandan se monà ipekaen. 
LUK.20.47	Meneng sikandan se eg-agaw te kedònan te bayi balo, aw penga niyan menamay se pegtawal-tawal dan amon megpelingo-lingo dan te melobos se pedowan dan diyà te Timanem. Meneng metoman dan ontò ipelumun labi pa diyà te doma otaw.”
LUK.21.1	Pegtoladà i Jesus kidoen te dakel simbahan te Jerusalem, kinità din se menge otaw meyaman egsawol te kwarta diyà te solanan te ibowang diyà te Timanem. 
LUK.21.2	Penga niyan, kinità din heman se sagkep bayi balo migsawol te dowa kedakò kidoen. 
LUK.21.3	Minikagi si Jesus, “Eneng-enengi niyo se kagi ko seini. Pengkey dakel se imbowang te kedita te doma otaw, meneng labi pa meelagà se imbowang te bayi balo sida. 
LUK.21.4	Dakel se kwarta te doma aw eked dan kelimahi tandà te pegpemegay dan. Meneng se bayi sida sagkep, tinigkan din imbowang se kedakel te kedònan din, pengkey nelimahan sikandin.”
LUK.21.5	Doen otaw kidoen migpebelaw-belaway tepad te dakel simbahan sìyan, so ininang iyan te bato mèpiya se bawa, aw dakel heman se kwarta imbowang amon pelasan iyan. Minikagi si Jesus, 
LUK.21.6	“Doen aldaw domateng te pegbàtan se dakel simbahan induyun niyo seini. Tigkan iyan kebàtan, aw wedad palos bato ketenanan diyà te lanto te doma bato.”
LUK.21.7	Doen otaw mig-insà, “Sir, kano lay ketoman se in-indan nikaw? Eden lay se pengilala kitaen day aw agpet iyan metoman?”
LUK.21.8	Minikagi si Jesus, “Peg-ahà kaw amon eked kaw keekali, so doen kwani medita otaw megpelingo-lingo te insogò ko dan. Mikagi dan te sikandan se Misiyas. Mikagi heman se doma te agpet den domateng se aldaw pinelimanan niyo. Meneng ikà niyo egtaking kandan. 
LUK.21.9	Aw domineg kaw te doen gira aw menge samok, ikà niyo egkelemitan. Keilangan onà iyan meinang, meneng kenà pa niyan se temanan te keneyonan.”
LUK.21.10	Minikagi heman sikandin, “Medita se otaw meggira, so doen pongan megbolaw diyà te doma pongan, aw doen heman menge sakop te sebad selotan megbolaw diyà te menge sakop te doma selotan. 
LUK.21.11	Doen heman linog ontò medaet, aw megelà se otaw te medita ogpeanan tandà te bayil aw mesakit domateng diyà kandan. Ipekità heman te Timanem se kepelahan mekelelamit kidoen te langit. 
LUK.21.12	Meneng te eked pa iyan ketoman, dekepen kaw, aw pemilangen kaw. Okomen kaw doton te menge simbahan te Judiyo, aw kelebosowen kaw heman. Ipeibing kaw doton te menge selotan aw gobirnador tandà te pegpesakop niyo diyà kanak, 
LUK.21.13	amon meg-indan kaw te kebenalan tepad kanak. 
LUK.21.14	Ikà niyo egketetana aw megpeketagad kaw tomaba kandan, 
LUK.21.15	so dalem te aldaw sìyan, ibegay ko kenyo se kebiyasa amon meketaba kaw kandan. Yan se doun te wedad poon niyo mekedaeg te kenyo kagi. 
LUK.21.16	Pengkey amay niyo, aw inay niyo, aw kedowa niyo, pengkey doma gaked niyo aw sigalak niyo, doen heman diyà kandan megtolok kenyo. Doen heman kenyo ipeimatay dan. 
LUK.21.17	Kebensihan kaw te keditaan te otaw tandà te pegpesakop niyo diyà kanak. 
LUK.21.18	Meneng wedad megkedaet kenyo pengkey sebad. 
LUK.21.19	Pineokit te pegtayod niyo te kedita te kelimahan, metoman kaw kominawà te kaling pedowan wedad temanan.”
LUK.21.20	“Aw komità kaw te nelibedan te medita sondalo se lonsod te Jerusalem, yan ketegahan niyo te pegbàtan iyan te eked kenamay. 
LUK.21.21	Keilangan komadas se kedita te otaw lekat te Judiya pesalo doton te bontod. Keilangan komadas se kedita te otaw lekat te Jerusalem. Keilangan eked doton te Jerusalem se otaw doton te lowà. 
LUK.21.22	Metoman ipelumun te Timanem se otaw medaet, aw tomanen din se kedita te pakang din insolat. 
LUK.21.23	Mekelelayò se menge bayi mebedes aw egsosowan te aldaw sìyan. Ontò medaet se kelimahan domateng dini te keneyonan, aw ontò ipelumun te Timanem se menge sakop te Judiya. 
LUK.21.24	Medita se otaw megelà tigbasen. Medita heman se doma dekepen aw ibingen doton te kedita te doma lonsod mediyò. Ontò pegbàtan te menge otaw kenà Judiyo se lonsod te Jerusalem lamig mepenga se peglowan dan.”
LUK.21.25	“Doen pengilala ipekità te Timanem kidoen te aldaw aw bolan aw menge bitoen. Dini heman te tanà, metetana aw melemitan se kedita te otaw, so ontò megbalud aw domaging se dagat. 
LUK.21.26	Megketetapì se medita otaw tandà te lamit dan, so eked dan ketaga-taga aw eden se domateng dini te keneyonan. Pengkey menge bitoen kidoen te langit, mebilit se kedita dan. 
LUK.21.27	Penga niyan, kitaen te kedita te otaw se pegdateng ko, so lomikò a Timanem Migpekeotaw tekingan te labon. Komità dan te metolos a aw ontò a melangkaw. 
LUK.21.28	Na, aw kitaen niyo se pegketoman niyan, keilangan meluba kaw, so ipelowà kaw te Timanem te eked kenamay.”
LUK.21.29	Nayan, mig-indan si Jesus te tegdeyanan seini, kagi din, “Tengtengi niyo se kayo igira aw menge doma kayo heman. 
LUK.21.30	Aw kitaen niyo se kayo tomobed aw domawen, ketegahan niyo te agpet den domateng se aldaw te pegpemongo niyan. 
LUK.21.31	Iling heman kenyan, aw kitaen niyo te metoman se inikagi ko diyà kenyo, yan ketegahan niyo te agpet den lomowan se Timanem.
LUK.21.32	“Eneng-enengi niyo se kagi ko seini. Doen menge otaw komità te pengilala sìyan eked kematay singed aw metoman se kedita niyan. 
LUK.21.33	Doen temanan te langit aw tanà, meneng gayed metoman se kagi ko te wedad temanan.”
LUK.21.34	“Peg-ahà kaw amon meketagad kaw te aldaw sìyan. Eked kaw peketagad aw egpengemahà kaw te keluba, aw eg-inem kaw, aw gayed kaw eg-aneng-aneng tepad te peg-ogpà niyo, so metoman domateng se aldaw sìyan pengkey eked kaw peketagad. 
LUK.21.35	Metoman iyan domateng diyà te kedita te otaw dini lanto te tanà. 
LUK.21.36	Yan se doun te keilangan gayed kaw meg-ahà, aw megtawal-tawal kaw te begayan kaw te Timanem te kagsen te pedowan amon meketayod kaw te kedita te kelimahan sìyan. Aw meketayod kaw, eked kaw keyàyà aw domateng a Timanem Migpekeotaw.”
LUK.21.37	Gayed egtoladà si Jesus kidoen te dakel simbahan te Jerusalem te kelikit te aldaw. Meneng te delem, gayed egdoton te bontod te Olibo aw minidegà kidoen. 
LUK.21.38	Gayed eglapos se medita otaw netipon kidoen te dakel simbahan amon menenalan dan kandin.
LUK.22.1	Nayan, agpet den se pista te menge Judiyo iningedanan dan Pista te Pegpelowà. Yan se pegpengaen dan te pan kenà eglebag. 
LUK.22.2	Gayed mig-aneng-aneng se menge pengolo te simbahan aw menenoladà te punù aw eden se inangen dan amon imetayan dan si Jesus te eked dan keopali te kedita te otaw gayed egpenenalan kandin.
LUK.22.3	Penga niyan, dimateng si Satanas diyà ki Judas Iscariote. Sikandin se sebad diyà te sempolò teg dowa tinoledaan i Jesus. 
LUK.22.4	Dimoton si Judas te menge pengolo te simbahan aw menge kapitan te otaw egtonggò te dakel simbahan te Jerusalem. Migpebelaw-belaway dan tepad te pegtolok din ki Jesus amon dekepen dan. 
LUK.22.5	Neluba dan, aw minikagi dan te doen kwarta ibegay dan kandin. 
LUK.22.6	Migsebad dan, aw yan migtagad si Judas te mèpiya aldaw amon itolok din si Jesus te wedad otaw metipon, amon wedad samok.
LUK.22.7	Nayan, dimateng se aldaw te pegpengaen te menge Judiyo te pan kenà eglebag. Yan heman se aldaw te pegpengiyaw dan te nati te karniro kànen dan te Pista te Pegpelowà. 
LUK.22.8	Simogò si Jesus ki Pedro aw si Juan, kagi din, “Peg-inang kaw den te kànen tadon te Pista te Pegpelowà.”
LUK.22.9	Mig-insà dan, “Kenan kay lay peg-inang?”
LUK.22.10	Minikagi sikandin, “Eneng-enengi niyo ini. Aw domateng kaw doton te Jerusalem, kitaen niyo se otaw neniang te sibolan nepenò te wayeg. Taking kaw kandin. Aw domateng sikandin doton te balay, 
LUK.22.11	ikagi kaw diyà te tig-apò, ‘Insogò kay te Pengolo amon meg-insà kay kamno aw kenan se kànan te kedita day te Pista te Pegpelowà.’ 
LUK.22.12	Penga niyan, ipekità din diyà kenyo se dakel gibelayan kidoen diatas te balay tapay doen telepagan niyan. Peg-inang kaw te kànen tadon kidoen.”
LUK.22.13	Penga niyan, dimoton dan aw kinità dan se kedita iling te tapay inikagi i Jesus diyà kandan. Penga niyan, mig-inang dan te kànen.
LUK.22.14	Pegdateng te oras te pegkaen, dimoton si Jesus aw menge sogounun din, aw kimaen dan. 
LUK.22.15	Minikagi si Jesus, “Ontò a neibeg komaen te pista seini doma niyo, so agpet a den imetayan. 
LUK.22.16	Penenalan kaw te kagi ko. Eked a todà kaen te Pista te Pegpelowà singed aw metoman se kedegdagan niyan kidoen te peglowan te Timanem.”
LUK.22.17	Penga niyan, inabat din heman se tabò, aw migpesiontong sikandin diyà te Timanem, aw minikagi, “Tepedi niyo ini amon mekeinem se kedita niyo. 
LUK.22.18	Penenalan kaw kanak. Eked a todà inem te ininem tadon seini singed aw metoman lomowan se Timanem.”
LUK.22.19	Nengabat heman sikandin te pan. Penga te pegpesiontong din, binelà-belà din iyan, aw inteped din diyà kandan, aw minikagi, “Se pan seini, yan se lawa ko [imetayan amon mekelowà kaw. Inangi niyo iling kani amon gayed a niyo keeneng-enengan.”
LUK.22.20	Penga te pegkaen dan, inabat din heman se tabò aw minikagi sikandin, “Se meinem seini, yan se pengilala te doen kaling peokit ininang te Timanem pineokit te dipanog ko amon tebangan kaw.]
LUK.22.21	“Meneng eneng-enengi niyo ini. Migdoma kanak dini se otaw megtolok kanak. 
LUK.22.22	Imetayan a Timanem Migpekeotaw, so yan se ibeg te Amay ko. Meneng mekelelayò se otaw megtolok kanak.”
LUK.22.23	Penga niyan, migpeinsaay se menge tinoledaan din aw sinu se megtolok kandin.
LUK.22.24	Nayan, migpedindilay heman se menge tinoledaan din aw sinu se ontò melangkaw diyà te kedita dan. 
LUK.22.25	Yan minikagi si Jesus, “Gayed egleges se menge selotan te menge sakop dan, aw ibeg dan iduyun dan tandà te keido dan. 
LUK.22.26	Meneng eked kepakay aw meg-iling kaw kandan, so se melangkaw otaw diyà kenyo, yan se keilangan meinang iling te adi niyo. Se pengolo niyo, yan se keilangan meinang iling te sogounun niyo. 
LUK.22.27	Aw doen otaw komaen kidoen te lemisa, aw doen heman otaw egtelaban kandin meglamak te kànen, netegahan niyo te labi pa melangkaw se otaw egpenenoo. Meneng pengkey siak se Pengolo niyo, meneng iling a te otaw egsogoen niyo.
LUK.22.28	“Pengkey medita se kelimahan ko, meneng sikiyo se gayed timaking kanak. 
LUK.22.29	Migpunù se Amay ko te siak se lomowan, aw megpunù a den heman te sikiyo 
LUK.22.30	se megdoma kanak te pegkaen ko kidoen te peglowan ko. Sikiyo heman se isawol ko lomowan diyà te sempolò teg dowa pongan te menge bowad-bowad i Israel.”
LUK.22.31	Penga niyan, minikagi si Jesus diyà ki Pedro, “Simon, penenalan ka kanak. Pinemoyò i Satanas diyà te Timanem amon megtandà kenyo, iling te inangen te otaw meg-etap te omay trigo. 
LUK.22.32	Meneng migtawal-tawal a diyà te Amay ko tepad kamno amon gayed ka somalig diyà kanak. Pengkey tominàyog ka kanak te eked kenamay, meneng aw todà ka tomaking kanak, meketabang ka te menge doma no tinoledaan ko.”
LUK.22.33	Minikagi si Pedro, “Pengolo, neketagad a den tomaking kamno pengkey kelebosowen a aw imetayan a.”
LUK.22.34	Minikagi si Jesus, “Pedro, penenalan ka kanak. Te eked pegkolaak se manok kealdaw iselem, ibolon no se pegtaking no kanak te meketelo.”
LUK.22.35	Nayan, minikagi si Jesus diyà te menge tinoledaan din, kagi din, “Kedengan, insogò ko sikiyo megtoladà, meneng doen impunù ko te wedad kedònan ibingen niyo, pengkey kwarta aw kelepì, aw sepatos ekasan niyo. Indani a niyo. Nelimahan kaw lay so wedad kedònan niyo?”
LUK.22.35	Timaba dan, “Wedà kay palos kelimahi.”
LUK.22.36	Minikagi si Jesus, “Meneng lekat seini, aw doen kwarta niyo aw kelepì, ibingi niyo. Aw wedad ibayad niyo te podok, keilangan ibeligyà niyo se saol amon mekebayad kaw. 
LUK.22.37	Metoman den se kagi te Timanem insolat tepad kanak,
LUK.22.37	‘Ipelumun sikandin iling te otaw dakel se salà.’
LUK.22.37	Agpet a den imetayan, so yan se insolat tepad kanak.”
LUK.22.38	Minikagi dan, “Meneng Pengolo, doen dowa podok tadon seini.”
LUK.22.38	Meneng so wedà dan pekelabet, minikagi si Jesus, “Pebeyai niyo.”
LUK.22.39	Nayan, nesayo si Jesus aw dimoton te bontod te Olibo, so melikit sikandin egdoton. Timaking heman se menge tinoledaan din. 
LUK.22.40	Pegdateng din doton, minikagi sikandin, “Pegtawal-tawal kaw amon eked kaw keboyo.”
LUK.22.41	Penga niyan, dimeleg si Jesus te kenà mediyò. Limongken sikandin aw migtawal-tawal, kagi din, 
LUK.22.42	“Amà, aw mepakay diyà kamno, eked a no peokiti te kelimahan seini. Meneng ibeg ko, kamno ibeg se metoman, kenà kanak.”
LUK.22.42	[ 
LUK.22.43	Penga niyan, doen anghil insogò lekat te langit amon megpekagsen te pedowan din. 
LUK.22.44	Ontò mebegat se pedowan din, aw yan se doun te ontò sikandin migtawal-tawal. Ontò sikandin pig-etingan iling te pegtedak te dipanog.]
LUK.22.45	Penga te pegtawal-tawal din, dimoton sikandin te menge tinoledaan din, aw timedogi den dan, so migkelomay dan tandà te lidò dan. 
LUK.22.46	Linoka din dan aw minikagi sikandin, “Tay law. Nepela a so timedogi kaw. Enaw kaw den. Pegtawal-tawal kaw amon eked kaw keboyo.”
LUK.22.47	Telobo pa minikagi si Jesus, dimateng se medita otaw kidoen. Inibing dan i Judas, sìyan tinoledaan i Jesus. Migpedapag sikandin diyà ki Jesus amon mengadek kandin. 
LUK.22.48	Meneng minikagi si Jesus diyà kandin, “Tay law, elew. Mengadek ka kedì kanak amon itolok a no Timanem Migpekeotaw.”
LUK.22.49	Pegketaga-taga te menge tinoledaan i Jesus te dekepen sikandin, minikagi dan, “Pengolo, tigbasen day sikandan aw isogò kay nikaw.”
LUK.22.50	Pegketà nenigbas se sebad tinoledaan diyà te sineligan te ontò pengolo te simbahan, aw nepalot se telinga din lenged te kowanan. 
LUK.22.51	Meneng minikagi si Jesus, “Ikà niyo.”
LUK.22.51	Penga niyan, nemaed sikandin te telinga te sineligan, aw negolì iyan.
LUK.22.52	Se menge otaw dimoton amon megdakep dan ki Jesus, yan se menge pengolo te simbahan, aw menge kapitan te otaw egtonggò te dakel simbahan, aw menge obanen te Judiyo. Minikagi si Jesus diyà kandan, “Kolang se pegkekamang niyo te podok aw batota amon megdakep kaw kanak, so eden niyo aw megdedempasay a. 
LUK.22.53	Gayed a migtoladà kidoen te dakel simbahan, meneng wedà a niyo dekepi doton. Meneng mekedakep kaw den kanak, so seini se aldaw pinemallì te Timanem aw meg-inang si Satanas te medaet.”
LUK.22.54	Penga niyan, dinakep dan si Jesus aw inibing dan sikandin doton te balay te ontò pengolo te simbahan. Timelokon heman si Pedro meneng migpekediyò. 
LUK.22.55	Doen apoy kidoen te dowangen inantay te menge otaw migtonggò, aw migdoma heman si Pedro te menge otaw mig-ingadang kidoen. 
LUK.22.56	Peg-anyag te apoy diyà te bawa din, doen bayi kimità kandin aw minikagi, “Egdoma se otaw seini te otaw sida dinakep.”
LUK.22.57	Meneng migbolon si Pedro, aw minikagi sikandin, “Tay law, atà. Wedà ko sikandin kilelai.”
LUK.22.58	Penga niyan te wedà kenamay, doen heman doma otaw kimità kandin, aw minikagi, “Sikona heman se tinoledaan din.”
LUK.22.58	Meneng minikagi si Pedro, “Kenà ko, elew.”
LUK.22.59	Penga te sebad oras minokit, doen heman doma otaw migtedò kandin, aw minikagi, “Benal sikandin se egdoma te otaw sida, so sikandin heman se tege probinsya te Galiliya.”
LUK.22.60	Meneng minikagi si Pedro, “Tay law, elew. Wedà ko ketegahi se inikagi nikaw.”
LUK.22.60	Nayan, dalem pa te peg-ikagi i Pedro, migkolaak se manok. 
LUK.22.61	Miniling si Jesus aw timengteng diyà ki Pedro. Yan neeneng-enengan din se tapay inikagi te Pengolo te ibolon din sikandin te meketelo te eked pa pegkolaak se manok te iselem. 
LUK.22.62	Penga niyan, nesayo si Pedro aw ontò migkelag.
LUK.22.63	Nayan, se otaw migtonggò ki Jesus, gayed dan nebebayat kandin aw nemadas dan kandin. 
LUK.22.64	Sinempengan dan heman se mata din, aw minikagi dan, “Etoki aw sinu se nenombag kamno.”
LUK.22.65	Gayed dan migtompuyus kandin aw minikagi dan te medaet.
LUK.22.66	Nayan, peglibtak te aldaw sìyan, netipon se kedita te obanen te Judiyo, aw menge pengolo te simbahan, aw menenoladà te punù ingkeliwat i Moises. Impeangay dan si Jesus, aw minikagi dan, 
LUK.22.67	“Sikona ekon se Misiyas egpelimanan day. Indani kay den aw benal iyan.”
LUK.22.67	Meneng minikagi si Jesus, “Pengkey indanan ko sikiyo te kebenalan, meneng eked kaw pemenal kanak. 
LUK.22.68	Pengkey doen peden insà ko kenyo, meneng eked kaw heman taba kenyan. 
LUK.22.69	Meneng te eked kenamay, menenoo a Timanem Migpekeotaw kidoen te tangkil te Timanem metolos amon lomowan a doma din.”
LUK.22.70	Mig-insà se kedita dan, “Aw iling kenyan, Batà ka kedì te Timanem?”
LUK.22.70	Timaba sikandin, “Benal se inikagi niyo te Batà a te Timanem.”
LUK.22.71	Yan migpebelaw-belaway dan, “Wedad den kekemowan te peg-indan te doma otaw diyà kenitadon tepad kandin, so kandin den kagi se dinineg tadon.”
LUK.23.1	Penga niyan, timindeg se kedita dan netipon, aw nengibing dan ki Jesus doton te gobirnador si Pilato. 
