MAT.1.1	Annayan mansùsùnufan na nginkanà an Jesu Cristu wi kanà David wi kanà ako Abraham.
1CO.10.8	Achitau pu ko kuma oyyoon na isun na iningwacha wi makaààwacha ta foon pù asawacha. Tan na namingsani nangwaan na uchum ta amaschi, natoy na chuwampuru ya turuy lifuy taku ta osay padcha. 
1CO.10.9	Siyan achitau ko padpachason à Apudyus, tan sachi kon iningwan na uchum ta namingsan, ad nan-ootoycha losan ta nangobfan na urog an chicha. 
1CO.10.10	Ya achitau pu kuma ngumuynguytungut kapu ta sinumani malikatantau, wi isun na ingwan chachi uchum ta awi, ad na chusacha, pinatoy na anghel chicha.
1CO.10.11	Nàwa losan chachì mansarmingantauy taku ta pinagchusan Apudyus ta lawing, ad niyug-ischa kò man-acharantauy natattaku ta sana, tapnu mawarningantau, tan chanchanin pagpag na losan.
1CO.10.12	Ad, sinumani mangwanan wi napigsan pammatina, masapur man-an-annad ta achi fumasur. 
1CO.10.13	Ad maawatanyu kuma wi losani iyawis Satan à manallutnan chitau, kakangayna kay wi mipachas ta losani taku. Ngim mapiyar à Apudyus, ya impustanay achina pu parufusan na napigsay sallut wi foon à kayatau. Tan na timpun na masallutantau, adchonan kinapigsatau ya karobfongantau wi umisì ta amaschi ta awad in-inontauy mangilisi ta sallut Satan.
1CO.10.14	Siyan, susunud wi ay-ayatò, man-awichanyu kuman manayawan ta sinan-apudyus. 
1CO.10.15	Akammù wi nanakman-ayu, siyan sosom-onyu kuman annayay ifakà. 
1CO.10.16	Ta somsom-onyuna, nu makaantau ta sachi Mammammoan an Apu Jesu Cristu, maamungtau wi manyaman an Apudyus ad makainumtau ta fayas à mangamfuruyantau ta milàamantau ta nifùfuan na charan Jesu Cristu à macharusan na fasurtau. Ad na sachi koy maan wi pinakarong-agna, nu napotpotlà ya nakaantau, sachi kon mangifaka wi milàamtau ta natayana ta kros. 
1CO.10.17	Ad kapu ta os-osàan na maan wi siyà Jesus, siyan uray nu achutau, isutaù os-osàani long-ag mipakapu ta os-osàani anontau.
1CO.10.18	Siyan mafalini iyisutau ta achawiyan na Judio, tan nu awad makaan ta sachi wi nichatun an Apudyus, siyan mangipaila wi mitapicha ko wi manayaw an siya.
1CO.10.19	Sinun pion na sachi imfakà wi anan? Foon pù anà wi awad mannakafalin na sinan-apudyus wi chayawoncha, ya foon pù ko anà wi awad mamfaru winnu lawing ta sachi ichatuncha. 
1CO.10.20	Ngim na piò wi maawatanyu kuma, maid uchum à manchatunan na chachi foon pù mamati nu achi afus na aran wi foon pù Apudyus. Siyan achiayu makaan ta amaschi, tan lawingò wi makatimpuyug-ayu ta aran. 
1CO.10.21	Tan achi pu mafalin wi makaan-ayu ya makainum-ayu ta sachi Mammammoan ta natayan Apu Jesus nu makaan-ayu ya makainum-ayu ko ta sachi machayawan aran. 
1CO.10.22	Tan nu paaparonyù Apudyus, paog-otonyu kà siya. Ad, naos-oschor-ayu nu siya, ta mafalin achina pu chiayu chusaon?
1CO.10.23	Nu kaspangalikan awad na mangwanani, “Nu mamatita, miparufusta mangwà farangna tan foon pun à sachi lintog na matungpar ta sana.” Oo, siya, ngim foon pù mamfarun losani oyyoon, tan awad na oyyoon wi maid pu ifachangna ta furunta, tan chumachail, ya awad akon oyyoon wi foon à papigsaonan pammati tan pakapsutona. 
1CO.10.24	Siyan na oyyoontau kuma, waschi osa somsom-onan fumaruwan na fufurunna wi foon pu kà fumaruwan na long-agna.
1CO.10.25	Mafalini anonyun sinumani mailaku wi ischa ta market wi maid sarusarudsud, ta achi maallilaw na somsomòyu. 
1CO.10.26	Tan anan na ukud Apudyus, “Losan na sinumani awad ad asnay luta, uwan Apudyus tan iningwana.”
1CO.10.27	Nu ayakan chiayu ta chachi foon à mamati wi umoy makaan an chicha, ing-ayu nu pionyu, ad losani ipasangucha, anonyu wi maid imuimus nu naichatun winnu foon ta mamfarun mangananyu. 
1CO.10.28+1CO.10.29	Ngim nu kaspangalikan awad mangwanani naichatun na sachi anonyu, achiyu anon ta fumaruwan na nangifaka. Tan uray nu maawatanyu wi mafalin anonyu tan maid met adchonà lawing ta long-ag, achiyu ko kay anon tan sachin machisturfuwan na somsomò na sachi furunyuy nangifaka wi naichatun. Ngim nu awad mangwanan ta somsomòna wi, “Oo, ngim apay napatpatog na kinakapsut na somsomò na furun-u wi sachin manipod ta manganà ta sachi akammù wi mafalini anò? 
1CO.10.30	Tan nu manyamanà an Apudyus machillawà lawa ta manganà ta sinumani inyaman-u?”
1CO.10.31	Ngim na ifakà an chiayu, na losani oyyoonyu, oyyoonyù machayawan Apudyus, wi uray mangananyu ya uminumanyu. 
1CO.10.32	Ya an-annachanyu ta achiyu oyyoon na machismayaan na uchum, uray Judio winnu foon, ya uray akon losani susunudtauy mamatin Apudyus. 
1CO.10.33	Tan amaschi kon oy-oyyoò, wi na losani oyyoò, an-annachà ta nu mafalin, maid kuma parwingò à somsomò na uray sinuy taku. Siyan foon yakà fumaruwà na som-osom-ò tan siya kay anapò na fumaruwan na losan ta masaraknifancha ko kuma.
1CO.11.1	Siyan turachonyu kuman annay achawiyà tan turachò akon inyòoyyan Cristu.
1CO.11.2	Mamfaru tuwan inyòoyyayuy mammammò an saon ya mamtokanyu ko ta chachi intudtuchù an chiayu. 
1CO.11.3	Ngim awad akon osay piò wi maawatanyu wi à Apudyus, karobfonganay mangituray an Cristu, ya à Cristu, karobfonganay mangituray ta losani lallarai, ad na larai, karobfonganay mangituray ta asawana. 
1CO.11.4	Siyan nu awad laraì malluwaru winnu mangipaakammu ta ukud Apudyus nu maarus-ayu maamung, masapur wi maid afungus ta uruna, tan nu awad, isù afungusanan mangap-apuwanan Cristu. 
1CO.11.5	Ngim na fufai, nu siyan malluwaru winnu mangipaakammu ta ukud Apudyus ta maarusanyu maamungan, masapur kumay man-afungus, tan nu maid, isù achina pu iyamfuruy ta karobfongan na asawana. Ad afafain na amaschi tan man-isun mafainan na maid pu afungusna ta nampapungak. 
1CO.11.6	Siyan nu kaspangalikan achi pu man-afungus na fufai, un-unnoy nu mampapungak. Ngim kapu ta afafain nu mampapungak na fufai, un-unnoy na afungusanan uruna. 
1CO.11.7	Ngim na larai, achi pu kuma man-afungus, tan siyan mansarmingan ta itchuran Apudyus ya kinaap-apuna. Ngim na fufai, mansarminganan kinaap-apun na larai. 
1CO.11.8	Ya mailan kinaap-apun na larai tan na nangwaan Apudyus ta taku, foon à fufain narpuwan na larai tan larain narpuwan na fufai. 
1CO.11.9	Ya foon pu kò siya ingwan Apudyus na laraì mamfurun na fufai, tan ingwanan fufaì mamfurun na larai. 
1CO.11.10	Ta manuttuwaan akon aangheles ad langit, masapur man-afungus na fufaì mangipail-ana wi karobfongan na larai wi mangituray an siya. 
1CO.11.11	Ngim uray amaschi, chitauy mamatin Apu Jesus masapur man-asifachangtauy larai ya fufai, tan na larai, masapurnan fufai, ad na fufai, masapurna kon larai. 
1CO.11.12	Tan uray nu larain narpuwan na fufai ta chamu, fufain mangiyanà ta larai ta sana. Ad à Apudyus, siyan narpuwan na losan.
1CO.11.13	An chiayu, mamfaru lawan mangil-anyu ta fufai wi malluwarun Apudyus ta maamunganyu nu maid pu afungus na uruna? 
1CO.11.14	Ad kangayna ko ta losani taku wi akus-un nu anchuanchun fuù na larai, 
1CO.11.15	ngim sachin ustuy mangipafaru ta fufai. Tan na fuùna, naatod an siyà isù afungus na uruna. 
1CO.11.16	Ngim nu awad mansusukob mipangkop ta anchanay ifakà, maid safalì isongfat-u tan sachin itudtuchuni losan wi apostoles. Ad sachi kon achawiyan losan chachi uchumi mamati wi maarus maamung ta ailiili.
1CO.11.17	Annaya kon itudtuchù an chiayu mipangkop ta annati oy-oyyoonyu wi foon à ustu, tan na maamuamunganyu nu, ad-achun lawing wi lisortana nu mamfaru, siyan achì pu chayawon à chiayu. 
1CO.11.18	Tan chinamag-u wi nu maarus-ayu maamung wi manayaw an Apudyus, man-as-asingwaayu wi maid timpuyugyu. Ad isù tuttuwaò ako. 
1CO.11.19	Ngim uray nu man-as-asingwaayu, tan amaschin mail-an na kinaustun na pammatin na uchum. 
1CO.11.20	Tan nu maarus-ayu maamung wi mangan ta Mammammoan ta natayan Apu Jesu Cristu, lawing na achawiyanyu tan foon pù Mammammoanyun ustuy pangkopyu, 
1CO.11.21	tan mabsukanyu kay. Tan na mangananyu, umunan uchum mamfusug ta ichatongcha, ad maid anon na uchum, siyan nafitilcha. Ad mansallimong na uchum. 
1CO.11.22	Apay amasnat na oy-oyyoonyu? Maid lawa foforoyyù mangananyu ya uminumanyu? Tan ipàpailayu wi maid lispituyu ta chachi mitapi wi manayaw an Apudyus, ya achiyu pu ko somsom-on na chachi maid mafalincha, wi ifafainyù chicha. Ad, ananyu pun nin nu mamfarun somsomòu ta sanati oy-oyyoonyu? Ngim foon met!
1CO.11.23	À Aputauy Jesu Cristun nangitudtuchun saon ta sachi intudtuchù an chiayù oyyoonyu kuma. Tan na nanganancha ta sachi lafi wi chaampunan Jesus mififikan, innaranan tinapoy 
1CO.11.24	ad nanyaman an Apudyus. Ad pinotpotlàna ad innadchonan chicha, wi anana, “Sanan long-ag-u wi michatun à mangilisin chiayu. Anonyunà mangiyakasmoanyun saon.” 
1CO.11.25	Ad isun akon iningwana ta narpasancha nanganan, wi innarana kon sintasay fayas, ad anana, “Na annay fayas, siyan singyar na àooyyay turag Apudyus ta takuna, ad na charà nu matoyà, siyan matuttuwaan na sachi turag. Ad nu inumonyun amasna, oyyoonyù mangiyakasmoanyun saon.”
1CO.11.26	Siyan, susunud, na mining na sachi, na losani mangwaanyu ta amaschi wi mangananyu ta sachi tinapoy ya uminumanyu ta sachi fayas, siya tàchoranyun natayan Apu Jesu Cristu, ad amaschi kuma kon oy-oyyoonyu ingkanà mangulinana.
1CO.11.27	Siyan kapilitani nu awad takù mamafarang wi makaan ya makainum wi foon pù iyafainnan long-ag Apu Jesus ta natayana ya nifùfuan na charana, kapilitan wi fasurnan amaschi an Apudyus. 
1CO.11.28	Siyan, waschi osa masapur imfistikarona kuman somsomòna unaon achiwot makaan ya makainum ta Mammammoan ta natayan Jesus. 
1CO.11.29	Tan nu achina pu somsom-on na kinapatog na long-ag Jesus ad nakaan ya nakainum ako kay ta Mammammoan, makafasur ad ochasanan machusaanan Apudyus. 
1CO.11.30	Ad sachi kon pangkop na achun nasakit an chiayu ya achu kon nakapsut na long-agcha, ya siya kon natayan na uchum. 
1CO.11.31	Ngim nu unaontau yan imfistikaron na somsomòtau ta mampacharustau achitauwot makaan, achi chitau chusaon an Apudyus. 
1CO.11.32	Ad nu imfistikaron chitau kon Apudyus disiplinaon chitau kon siya, sachin mangitudtuchuwanan chitau wi mangimanman ta oyyoontau ta achitau pu mitapi ta kachusaan na achi pu mamati.
1CO.11.33	Siyan, susunud, nu maarus-ayu maamung wi mangan ta Mammammoanyun Apu Jesu Cristu, masapur man-uuray-ayu. 
1CO.11.34	Ad nu kaspangalikan awad na nafitil, umuna kuma mangan ad foroycha achiwot umoy makaan ta Mammammoan ta achi chiayu disiplinaon an Apudyus nu maarus-ayu maamung. Ad na mipangkop ta uchumi ifakà an chiayu, awni ta umaliyà ad asnat.
1CO.12.1	Siyan na sana, susunud, piò wi ipakaawat an chiayun mipangkop ta mangkarakarasi wi karobfongan wi adchon na Ispiritun Apudyus an chitau, ta maawatanyu kuma. 
1CO.12.2	Tan akammuyu met wi na chaanyu pu mamatiyan, naturtulliyan-ayu tan chinaychayawyun chachi sinan-apudyus wi uray maid fiyagcha, ngim naawis-ayun chicha. 
1CO.12.3	Ngim na sanay namatiyanyun Jesu Cristu, safali. Siyan masapur maawatanyu wi na takuy naadchan à Ispiritun Apudyus, achina pu arwakan à Jesus. Ya maid pu ko takù mangwanani Jesus na umapuwana nu foon pù ipaspasmò na Ispiritun Apudyus an siya.
1CO.12.4	Uray nangkarakarasin maatod an chitau wi karobfongan, os-osàan yakan marpuwancha wi siyan Ispiritun Apudyus. 
1CO.12.5	Ya uray nangkarakarasi kon inyòoyyatau wi mansilfin Apudyus, os-osàan yakan mansilfiyantau losan wi siyà Apu Jesu Cristu. 
1CO.12.6	Ya uray nangkarakarasi kon lobfong wi mangwa ta pion Apudyus, os-osàan yakan mangatod ta pigsan na losani taku, wi siyà Apudyus.
1CO.12.7	Waschi osan chitauy mamati, iingkaw na karobfongan na Ispiritun Apudyus à mangiturung. 
1CO.12.8	Tan na uchumi mamati, inadchan na Ispiritun Apudyus à laing à mangicharan ta ukud Apudyus. Ad na uchum, naadchancha kò laing à mangawat ta sachì manudtuchuwancha ko ta uchum. 
1CO.12.9	Ya awad akon uchum wi naadchan à napigsay pammati, wi isuna koy Ispiritun nangatod. Ad na uchum, naadchanchà karobfongan wi mangaan ta sakit. 
1CO.12.10	Ad na uchum, inadchan na Ispiritun Apudyus à karobfongan wi mangwà kaskaschaaw. Ad na uchum, naadchanchà karobfongan wi mangipaakammu ta sinuy pion Apudyus wi paakammu. Ya awad akon uchum wi naadchan à kinaraing wi mangilasin nu Apudyus na narpuwan na sinumani karobfongan winnu aran na narpuwana. Ad inadchan akon Ispiritun Apudyus à karobfongan na uchum à makaukud à safali wi ukud wi achicha pu maawatan ya foon pu kò inacharcha. Ad naadchan akon uchum à karobfongan wi mangisuplikar nu sinun mining na amaschi wi ukud. 
1CO.12.11	Losan na amaschi wi karobfongan, maid safalì narpuwancha nu achi afus na Ispiritun Apudyus. Inadchanan waschi osay namatì sinun pionay adchon ta anchanaya.
1CO.12.12	Na long-agtauy taku, achun partina ngim os-osàan ako kay wi long-ag. Ya isun akon chitauy mamati, wi uray achutau, isutaù os-osàani long-ag, wi long-ag Cristu. 
1CO.12.13	Tan an chitauy mamati, awad na Judio ya foon, ya awad na sanilu ya foon, ngim nifunyag an chitau losan na os-osàani Ispiritun Apudyus. Siyan nafunyakantaù os-osàani long-ag Jesus, ad nakarong-ag akon Ispiritun Apudyus ta waschi osan chitau.
1CO.12.14	Man-alikà ta maawatanyu. Na long-ag na taku, achun partina ta awad in-inonay mangwa ta oyyoona. 
1CO.12.15	Siyan nu kaspangalikan anan na iki, “Kapu ta achiyà pu makàwa ta oyyoon na ima, foonà pù ustuy partin na long-ag.” Ngim mafalin lawan amaschi? Foon, tan uray achi pu makàwan iki ta oyyoon na ima, masapur na long-ag na sachi iki. 
1CO.12.16	Ad nu anan akon inga, “Kapu ta achiyà pu makaila, foonà pù ustuy partin na long-ag.” Ngim foon pu ayà masapur na long-ag na inga? Ngim masapurna met. 
1CO.12.17	Tan nu kaspangalikan losan ata na long-ag, sinun manchongor ta mifaka nù? Ad nu losan inga, sinun mansungsung nù? 
1CO.12.18	Ngim mamfaru tan iningwan Apudyus na partin na long-ag à nangkarakarasi wi ikad na piniyana. 
1CO.12.19	Tan nu os-osàan yakan partin na long-ag, ustuustuy long-ag lawan amaschi? 
1CO.12.20	Foon! Tan na long-ag, nangkarakarasin partina ta nu man-am-amungcha losan, mamfalin osay long-ag.
1CO.12.21	Siyan achi pu mafalin wi mamaspas-ar na ata wi mangwanan wi foon pu nù masapurnan fachang na ima, tan masapurna met laing! Ya uray akon uru, tan foon pu kò mafalin wi mamaspas-ar wi mangwanani foon pu ko nù masapurnan iki, tan masapurna met laing! 
1CO.12.22	Tan na katuttuwaana, chachi partin na long-ag wi isù kafafaan wi isù maid iturungna, isag ako masasapur na amaschi. 
1CO.12.23	Ad chachi partin na long-ag wi anantauy maid ustù misilfiyancha, chicha met laing na isagtau laraman. Ya sinchumallun chachi partin na long-ag wi mifain wi achi pu kuma maila, chichan narmanarmantauy manilup ta matab-unan. 
1CO.12.24	Ngim chachi partin na long-ag wi mamfarù maila, achitau pun met tab-unan tan foon à masapur. Nantiptipunon Apudyus na losani partin na long-ag tapnu chachi isù foon à napatog, chichan isagna pararam. 
1CO.12.25	Amaschin ingwan Apudyus ta mantitimpuyug na losani partin na long-ag ta man-asilaramcha. 
1CO.12.26	Siyan nu masikafan na osay partin na long-ag, masikafancha losan. Ad nu machayaw na osay partin na long-ag, makaragsakcha losan an siya.
1CO.12.27	Maid uchum à pion na annay inyalig-ù ukuchon nu achi afus à chitauy mamati, tan isù chitaun long-ag Jesu Cristu wi partinà chitau losan. 
1CO.12.28	Ad nantitimpuyukon Apudyus chitaù osay long-ag wi nangkarakarasin impafiyangnan chitau. Tan na chamuy chinutukana, chachi nan-apostoles. Ad na miyagwa, chachi namprofeta wi nangifagfaka ta pion Apudyus wi ipaakammu. Ad na miyatlu, chinutukan Apudyus na mangitudtuchu ta ukudna. Ya awad akon chachi naadchan à karobfongan wi mangwà kaskaschaaw, ya awad akon chachi naatod na karobfonganchay mangaan ta sakit. Ya awad akon uchum wi naadchan à karobfongan wi tumuturung, ya awad na uchum wi naadchan à karobfongan wi mangipangpangu ta mamati, ya awad akon chachi naadchan à karobfongan wi man-ukud à safalì ukud wi achicha pu maawatan. 
1CO.12.29	Siyan foon à apostoles na losani mamati, ya fooncha pu kò losan profeta winnu mantudtuchu. Ya foon pu kò karobfongan losan na mamati wi mangwa ta kaskaschaaw 
1CO.12.30	winnu mangaan ta sakit ya uray man-ukud à safali wi ukud wi achicha pu maawatan, winnu mangisuplikar ta sachi ukud. 
1CO.12.31	Siyan waschi osa talikakayana kuman sinuy napatog wi karobfongan wi adchon na Ispiritun Apudyus an chitau.
1CO.12.31	Ngim awad akon osay ifakà wi napatpatog ya farfaru nu chachi uchum, siyan talikakayanyu wi siyan ayat.
1CO.13.1	Uray nu kaspangalikan awad karobfongà wi man-ukud à uray sinumani ukud na taku ya uray ukud akon aangheles, ngim nu maid ayat-u ta asintatakù, maid silfin losan na amaschi tan isuwà yakà lata wi kangkangkangoncha winnu uchumi angangaliwngiw na kingana. 
1CO.13.2	Ad uray nu kaspangalikan awad karobfongà wi mangipakaawat ta ukud Apudyus wi ipaspasmònan saon, winnu awad karobfongà wi mangifaka ta losani chaan pù maakammuwan ad asnay luta, winnu karobfongà ta maawatà na losani somsomò Apudyus, ya uray nu napigsan pammatì wi mafalin-u atunon na filfilig ta luwarù, ngim nu maid ayat-u ta asintatakù maid pu silfin na amaschì karobfongan. 
1CO.13.3	Ad uray nu kaspangalikan adchò losan na ochon-u ta chachi maid mafalinna, ad uray nu iyatoy-uy mangipapati wi sumurut an Apudyus, maid kattò iturungnan saon nu maid pu ayat-u ta asintatakù.
1CO.13.4	Ngim na takuy awad na tuttuway ayatna ta asintatakuna, foon à mallasun maaminan na anusna tan masmasayaaw, ya achi pu ko maapos ya foon pu kò mamaspas-ar. 
1CO.13.5	Na takuy awad na tuttuway ayatna, maid tangsitna ya foon pu kò kinot, ya achina pu ko ipapilit na fumaruwan na long-agna. Ya foon pu kò mallasun umog-otana. Ya achina pu ko som-osom-on na lawingi iningwachan siya. 
1CO.13.6	Ad ako, lawing na somsomòna nu awad ilanà mangwà lawing, ngim lagragsakonan katuttuwaan. 
1CO.13.7	Na takuy ustun ayatna ta asintatakuna, maanusanan losani mipachas an siya, ya ipaoyna kò mamfarun puntilyan na furunna ya namnamaona ko wi oyyoonan ustu, ya foon pu kò ngumayan somsomòna ta losani malikatana.
1CO.13.8	Achi pu mapagpag na ayat. Ngim na losani karobfongan wi adchon Apudyus ta taku, awad na mapagpakancha. Isun na sachi karobfongan wi mangifaka ta sinuy ipaakammun Apudyus, mapagpag chachi tan chumatong na timpunay achicha pu masapur. Ad na karobfongan ako wi mangiyukud ta safali wi ukud, mapagpag akon amaschi, tan foon pù kanayun masapur. Ya uray akon kinaraing na chachi mangawat ta achu, mapagpag ako. 
1CO.13.9	Tan foon à wachawad na naatod an chitau wi kinaraing ya uray akon karobfongantau wi mangipaakammu ta ukud Apudyus. 
1CO.13.10	Ngim nu chumatong na wachawachanan chitau wi maid kurangna, miwalin losan na chachi foon à wachawad, tan foon à masapur ta sachi.
1CO.13.11	Iyalig-un afan-og, tan na afan-og-u, inan-annà na ingkigkingà ya insossomsomòu ya uray akon mangwaà ta sinumani màwa. Ngim na sanay chummakrà, inaan-u losan na inan-annà tan akammù na oy-oyyoò ta sana.
1CO.13.12	Na osa koy aligna, foon à isag narawag na maawatantau ta sana, tan isun na mallachawanan ta man-uchafu wi sarming wi foon à isag maimatunan. Ngim à tapin na padcha wi mansinnakungantaun Apu Jesus, ad isag narawag na mangil-antaun siya. Na sana, ait yakan akammutau, ngim à tapin na padcha, achun mangakammuwantau ta sinuman, wi na miyisuwana, isun na kinarawag na mangil-an Apudyus an chitau.
1CO.13.13	Siyan afus na turù mannaynayun an chitau. Na osa, siyan pammatitaun Apudyus, ad na miyagwa, namnamatau mipakapun Jesu Cristu, ad na miyatlu, siyan ayat wi apatkan an chicha losan.
1CO.14.1	Siyan, ipapatiyu wi mangay-ayat ta asintatakuyu. Ya talikakayanyu kuman chachi karobfongan wi adchon na Ispiritun Apudyus, sinchumallun sachi karobfongan wi mangifaka ta pion Apudyus wi ipaakammu. 
1CO.14.2	Achiyu patkan na karobfonganyu wi man-ukud ta safali wi ukud wi achiyu pu maawatan, tan nu amaschin iyukudyu, foon pù takun makaukuchanyu tan à Apudyus yakay ya foon pù maawatan na taku, tan na ipaukud na Ispiritun Apudyus an chiayu, achi pu makaakasmò na taku. 
1CO.14.3	Ngim na takuy awad na karobfongana wi mangifaka ta pion Apudyus wi ipaakammu, chakor na fachangna ta taku tan maawatanchan ukuchona. Siyan pumigsaan na pammaticha ya masorkakancha ko, ya maturungancha ko nu awad likatcha. 
1CO.14.4	Ngim na takuy mangiyukud ta safali wi ukud, afus yakan long-agnà mafachangan. Ngim na takuy mangifaka ta pion Apudyus wi ipaakammu, siya fadnganan losani mamati.
1CO.14.5	Piò kuma wi losani awad na karobfonganyuy man-ukud à safali wi ukud, ngim sin-umisag na maryachà nu losan kuma wi awad na karobfonganyu wi mangitudtuchu ta sinuy pion Apudyus wi ipaakammu ta taku. Tan napatpatog tuwan karobfongan wi mantudtuchu nu man-ukud à safali wi ukud. Ngim mamfaru ko kan man-ukud à amaschi nu awad mangisuplikar ta mining na sachi ukud wi anan à mafadngan kuman losani mamati.
1CO.14.6	Siyan, susunud, sinun silfin na umaliyà ad asnat nu man-ukuchà à safalì ukud wi achiyu pu maawatan? Awad lawa ifachang na umaliyà an chiayu? Maid, naraksig na mangitudtuchuwà an chiayu ta chachi impaakammun Apudyus an saon, winnu uchumi impakaawatna, winnu uchumi akammù wi ukudna, ad siyan mafadnganyu.
1CO.14.7	Isun na sagkaypu winnu urfit, nu fafallangon pakingaon, foon pù makailasin na taku ta ayugna. 
1CO.14.8	Ya isun akon pupu wi isingyarcha nu nàwan kufat. Tan nu achicha pu narman wi mangipakinga ta ustuy singyar, foon pù maawatan na susurchachu wi masapur mansakanachay makakufat. 
1CO.14.9	Ad isuna kon chiayu, tan nu man-ukud-ayù safalì ukud wi achi pun na taku maawatan, sinun in-inonchay mangawat ta pionyuy ifaka, tan isu kà mipoyaaw na ukuchonyu!
1CO.14.10	Ad-adchuwan na karasin na ukud ad asnay luta, ad losani maaawwatan na sikud wi ngin-ukud tan ukudcha. 
1CO.14.11	Ngim nu awad man-ukud ta sikud wi ukudchay achì pu maawatan, maid kutùnan saon ya maid pu ko kutù na ukuchò an siya. 
1CO.14.12	Siyan kapu ta amod na maryachanyu wi maadchan ta chachi karobfongan wi adchon na Ispiritun Apudyus, siya talikakayanyu kuman karobfongan wi fumachang ta pammatin na losani fufurunyu wi makaarus an chiayu makaamung.
1CO.14.13	Siyan na takuy awad na karobfonganay man-ukud à safali wi ukud wi achina pu maawatan, masapur kuma chawatonan Apudyus ta adchona kon karobfonganay mangisuplikar ta sinuy ug-ugkuchona. 
1CO.14.14	Isun saon, tan nu malluwaruwà wi mangusar ta ukud wi achì pu maawatan, siya malluwaru na Ispiritun Apudyus wi awad an saon, ngim foon pù maaw-awatan na somsomòun ug-ugkuchona. 
1CO.14.15	Siyan sinu kon nù na oyyoò? Na oyyoò nu malluwaruwà, siya iyukud-un ukud wi ipaspasmò na Ispiritun Apudyus wi maawatan akon somsomòu. Ad uray nu mangkantaà, siya kantaò akon ipaspasmò na Ispiritun Apudyus wi maawatan akon somsomòu. 
1CO.14.16	Ad isuna kon chiayu kuma, tan nu chayawonyù Apudyus ad inyusaryun safali wi ukud wi achiyu pu maawatan, wi innadchon na Ispiritun Apudyus an chiayu, sinun in-inon na uchum wi miyamfuruy ta manyamananyun siya nù? Tan maid pun mangakammuwana nu sinun ukuchonyu. 
1CO.14.17	Tan uray nu farfarun manyamananyun Apudyus, maid iturungna ta chachi uchum!
1CO.14.18	Manyamanà an Apudyus tan chakchakor na karobfongà wi man-ukud à safali wi ukud nu karobfonganyu. 
1CO.14.19	Ngim uray amasnat, nu miyamungà makaamung ta uchumi mamati, un-unnoyò na limay ug-ugkud na ifakà wi maawatan chachi taku à matudtuchuwancha nu man-ukuchà à alifulifù ug-ugkud wi achicha pu maawatan.
1CO.14.20	Susunud, achiyu kuma isuwon na pinagsomsomò na an-ananà. Ngim nu mipangkop ta mangwaan ta lawing, sachi kuman ustuy man-an-annaanyu wi maid akammuna, ngim na pinagsomsomòyu, inungnungyu kuma wi isun na somsomò na naangsan. 
1CO.14.21	Ya nu mipangkop ta mausaran na safali wi ukud wi achiyu pu maawatan, awad na niyug-is ta ukud Apudyus ta awi wi anana,
1CO.14.21	“Imfaun-un chachi taku wi mansabsafalin ukudcha wi umoy mangifaka ta taku ta piò wi paifaka. Ngim uray pakingaò na foon à Judio à mangifaka ta piò, achiyà pu ko chongron ta chachi taku.”
1CO.14.22	Ad sachin manuttuwaantau wi impafùnag Apudyus na uchumi ukud wi safali à para chachi achi pu mamati à mammammoancha kuman siya wi foon pù para ta chachi namati. Ngim na karobfongan wi mangitudtuchu ta sachi impaakammun Apudyus, sachin para ta mamati ta mafadngan na pammaticha wi foon pù para ta chachi achi pu mamati.
1CO.14.23	Siyan somsom-onyun annaya, tan nu maarus-ayu maamung wi man-achar, ad losan-ayu man-ukud à mansabsafali wi ukud wi losanyu achi pu maawatan, ad niyaspur wi nakarnò na uchum wi chaan pu matudtuchuwan winnu chaan pu mamati, apay, foon pu ayà ananchay natingang-ayu losan? 
1CO.14.24	Ngim nu ochasanchà chiayu wi sin-ossaonyu isturyaon na pion Apudyus wi mipaakammu, kapu ta chongrona sachin mangilasinana wi managfasur à siya. 
1CO.14.25	Ad kapu ko ta milawag na losani nitataru ta somsomòna, sin-aitan ad sachi kon mamfafawiyana ad siyan chayawonà Apudyus anani, “Tuttuway annà Apudyus an chiayu!”
1CO.14.26	Susunud, nu maamung-ayu wi manayaw an Apudyus, amasna kuman oyyoonyu. Awad na mangkanta, ya awad na mangitudtuchu ta ukud Apudyus, ya awad akon mangifaka ta sinumani impaakammun Apudyus an siya, ya awad akon man-ukud à safalì ukud ya annat akon mangisuplikar ta sachi inukudna. Ngim ilanyu ta losani oyyoonyu, oyyoonyù mafadngan losan na mamati. 
1CO.14.27	Nu kaspangalikan awad na man-ukud à safalì ukud wi achina pu maawatan, turu winnu chuwa kuman man-ukud. Ya achicha ko manchigsanon ta mansinnukatcha. Ad masapur ko wi awad osà mangisuplikar ta inukudcha. 
1CO.14.28	Ngim nu kaspangalikan maid pu mangakammù mangisuplikar, kuminò kuman chachi man-ukud ta somsomò yakan man-ukuchana à mangngoran Apudyus. 
1CO.14.29	Ad mipangkop ako ta chachi mangifaka ta sinumani impaakammun Apudyus an chicha, mamfaru ko nu turu winnu chuwa kan man-ukud. Ad chachi uchum wi manchochongngor, chichan mangilasin nu tuttuway narpun Apudyus na sinuy ukuchoncha. 
1CO.14.30	Ad uray nu awad na man-ukuukud ya awad osà nangipaakammuwan Apudyus ta pionay paifaka, masapur wayaan na sachi man-ukuukud ta misukat na sachi osa. 
