GEN.1.1	 Khangla Mühghaüei müh si kaodak yaükei. 
JER.46.11	Gilead to angashi hoba mailabü moli leashi,
JER.46.11	O Saosüngbü Ijep nouyangnyu!
JER.46.11	Amlangbüa nyi moli juong lea,
JER.46.11	ka shanga mailabü aki.
JER.46.12	Phangshuongei kaibü himou shangabü ditakei;
JER.46.12	hoba nyi ngekbüei kaonyu nyaka.
JER.46.12	Lakbühongbü che lakbühongbü thüka phaiyetda,
JER.46.12	hoba ham kao to tuongda.
JER.46.13	Ijep kaodak to ngümla Babilonbü Choba Nebukhadnez- zar loubü shangabü Jeremia thuseibou to 
JER.46.14	“Ijep sangnyu dana ngekashi,
JER.46.14	hoba Migdola, Memfisa hoba Tahpanhesa phinthonashi;
JER.46.14	‘Kan püetla lason kümenashi;
JER.46.14	aishanga no kaijembo kibü pendou inei suilabü!
JER.46.15	Aila kaneibü lakjaibü Apis mühghaü tuongkei?
JER.46.15	Aishanga 
JER.46.16	Kaibü sepai tan phaiyetkei hoba tuongkei;
JER.46.16	hoba che thüka che tuongkei.
JER.46.16	Haoenei laulabü, ‘Laksepashi! Sen mütli jungto chem to ngaiakho
JER.46.16	hoba dangboueibü in ka satenakho!’
JER.46.17	“Khonei haoenei ngeklabü,
JER.46.17	‘Ijepbü Choba Farao kho langh lansan yingkei;
JER.46.17	haoei jih maibü thetia.’
JER.46.18	Ngo, Thükenbou 
JER.46.18	ngo langkeibü Mühghaü.
JER.46.18	Shongh yoka Tabor shongh tonenbü jam
JER.46.18	hoba Karmel Shongh tonenan lobü tegütham,
JER.46.18	no shila louboueibü hau kheinyu kilabü.
JER.46.19	Lang senan küksithang kaoa kila on lamleashi,
JER.46.19	O kan Ijepbü shuong!
JER.46.19	Aishanga Memfis tekan apshanga kilabü,
JER.46.19	hoba müt akiko leilubü che la yeilabü.
JER.46.20	Ijep kho yungkük aeka ausep louan takbü
JER.46.20	hemaisaomai masu che phatko ki.
JER.46.21	Sao mu atko phobü sepai shuongkei
JER.46.21	shaula ambü masu ong phatkei.
JER.46.21	Haü, haoenkei sepeilabü hoba liko satyolabü;
JER.46.21	haoenei loenan alongyolabü,
JER.46.21	aishanga haoen shieikoelabü chalou amaibü,
JER.46.21	thushed chalou haoen thükto louada.
JER.46.22	Pinyu ngühjung satbü phatko Ijepei ngüh longda,
JER.46.22	aishanga dangbou shuong lousühda.
JER.46.22	Haoen sao khulimbo bu akbü shuong phatko wou jungan loulabü.
JER.46.23	Tujung üetenlabü lele shangasikei,
JER.46.23	haoenei saoeibü lamang aklabü,
JER.46.23	dogo 
JER.46.23	Aieilausi koksüng shuong tokei haoen
JER.46.23	wesikei awekhümbo juongbou ki.
JER.46.24	Ijep Nouyangshou himou bautilabü,
JER.46.24	yungkük aekabü mütli che la khümbo kuan aplabü.”
JER.46.25	Thükenbou 
JER.46.26	Aoyouei haoeneibü langkei lamda, Babilonbü Choba Nebukhadnez- zar hoba haoeneibü songdakbü shuongeibü ik to ngei haoen khümbo kulabü. Lausi dogokei, phaiaje Ijepa shangied tegü müt kilabü, dogo 
JER.46.27	“Lausikei tehüt, O Jakob, ngo khangenbou,
JER.46.27	mokyo hatyoko teki, O Israel.
JER.46.27	Aishanga ditashi, saabü kaodak ka ngei no püetlabü,
JER.46.27	hoba langsenbü kaodak ka
JER.46.27	ka shousi shuong khümenlabü.
JER.46.27	Jakob longeilabü hoba sangsembo hopatham kilabü;
JER.46.27	hoba aoeikei sao ühüttilabü.
JER.46.28	Tehüt, O Jakob, ngo khangenbou,
JER.46.28	aishanga ngo ka yoa kia,
JER.46.28	dogo 
JER.46.28	Ngei kan shian hautibü phangshuong khümbo mautiasikei,
JER.46.28	ngei no khümboje ashemtilabü.
JER.46.28	Ngei ka to haklabü, lausikei ngühmaia ong;
JER.46.28	ngei no ashiakoekothamje üpyolabü.”
JER.47.1	Faraoei Gaza to angümjinei 
JER.47.2	“Chühashi, yungkük ka yungsen loukouada
JER.47.2	hoba sopbo koubü deilo che yeilabü.
JER.47.2	Kaodak hoba khünei shenko kibü pendou haoenei jonleplabü,
JER.47.2	sangnyu shuong hoba khonei kibü pendou.
JER.47.2	Mütshuongei thuibü khambo ngeklabü;
JER.47.2	kaonyeka kibü mütshuong haapyolabü.
JER.47.3	Haoeneibü koli shuong youlangh anatko,
JER.47.3	haoeneibü kailong shuong nuyoko nongeibü,
JER.47.3	haoeneibü kailong you tuongbü langh ditan
JER.47.3	bousi shuongei jembü shousi shuong to achühngailabü;
JER.47.3	hoba haoeneibü hau thetan hakjung koulabü.
JER.47.4	Aieilausi Filistiabü pendou mautilabü chalou louada,
JER.47.4	hoba Tair si Sidon ka thuibü joubü pendou wapan aplabü.
JER.47.4	Aishanga 
JER.47.4	Filistia ka jouletbü mautilabü.
JER.47.5	Gaza thükto maangmau yaang süha;
JER.47.5	Ashkelonbü ngüh alongko apakei.
JER.47.5	O jouletbü Filistia shuongei lalokche manghaapla?
JER.47.6	‘Ügütü, 
JER.47.6	Kan lolo mepoua in shoungaiashi,
JER.47.6	haksoashi hoba sangsembo kishi!’
JER.47.7	Lausikei 
JER.47.7	kho khei ngüh üangko kienlep lo?
JER.47.7	Ashkelon khulimbo hoba yungko khulimbo haoei kho kümakei.”
JER.48.1	Moab shangabü Thükenbou 
JER.48.1	“Nebo shanga ügütü! aieilausi ho leiluakei;
JER.48.1	Kiriathim shian apa;
JER.48.1	hoeibü lapheishon leilutia,
JER.48.1	hoba hakabü mütshuong himou bautia.
JER.48.2	Moabbü nyenhang satan apa.
JER.48.2	Dangbouei Heshbona lean apa,
JER.48.2	hoba Moab phang leilutila huonda.
JER.48.2	Madmen sangnyukei litham aplabü;
JER.48.2	aishanga lakoubü shuong ho khulimbo haulabü.
JER.48.3	Horonaim mütshuongei ngekda,
JER.48.3	‘Panglangbü! Lusakbü yaang!’
JER.48.4	“Moab lusaka;
JER.48.4	nashousi shuong haapyobü ditashi.
JER.48.5	Luhit to angbü lamnyua,
JER.48.5	haoen khauektham haapyobü ditashi.
JER.48.5	Horonaim to koubü lamnyua
JER.48.5	haoen khonkua ngekyobü ditashi.
JER.48.6	‘Satashi! Kaneibü langkei khümenashi!’
JER.48.6	dogo haoenei lauda.
JER.48.6	‘Phetsen kaoa yamkabü gadu che phatko laangashi!’
JER.48.7	“Moab, nyi kaibü haua si nyaksinama maanglembei,
JER.48.7	lausikei tou no mangkei langsenlabü;
JER.48.7	hoba kaneibü mühghaü Khemosh,
JER.48.7	haoeibü ungshedbou shuong si konglebü shuong yoan laplanglabü.
JER.48.8	Sangnyu weko to mautibou loulabü,
JER.48.8	hoba sangnyu che ongkei ainletlabü.
JER.48.8	Yomang si yaüentok pholi khümbo maulabü,
JER.48.8	aishanga ngo 
JER.48.9	Moab shanga laangkee phokuashi;
JER.48.9	aishanga sao tongde maulabü.
JER.48.9	Saoeibü sangnyu shuong lusakan aplabü,
JER.48.9	hoba khonei aokei akiko sangliphang la yeilabü.”
JER.48.10	(
JER.48.12	“Lausikei chühashi, ngei Moab ih tegütham yeian sungla mütshuong hautilabü chalou shuong louada. Haoenei ih takbü jephot shuong kongenlabü hoba khübü kho netla yeiko jangnyinlabü, dogo 
JER.48.13	Bethel mühghaü to maanglembü shangabü Israel chung himoubü tegütham, Khemosh mühghaü to maanglembü Moabbü himou baulabü.
JER.48.14	“Moabbü shuong, ‘Kün lakjaibü hoba wapyoa sonenbü shuong,’
JER.48.14	dogo lauko aila nyen leda?
JER.48.15	Moab hoba saoeibü sangnyu shuong lusakkua;
JER.48.15	haoeibü shanenbü heshou shuong haitikhüma.
JER.48.15	Ngo Thükenbou 
JER.48.16	Moab tuonglabü thushed nyangakei;
JER.48.16	hoba sao leilulabü tongde louada.
JER.48.17	“Kan sao nyangko kibü shuong
JER.48.17	hoba saoeibü nyenhang ngebü phang pendouei mang haapashi.
JER.48.17	‘Saoeibü haukiyaangkibü songdak leilua;
JER.48.17	saoeibü soneikangbü hoba hau touje aki,’ dogo laushi.
JER.48.18	O kan Dibona kibü shuong,
JER.48.18	kaibü soneikangbü kaoen ka kayena
JER.48.18	hoba kaoa thamngua setashi;
JER.48.18	aishanga Moab leilutibou hanei kia
JER.48.18	hoba haoei kaibü lapheishon leilutikua.
JER.48.19	O kan Aroera kibü shuong,
JER.48.19	lamnyu nyangko loashi, hoba chühko kishi;
JER.48.19	laangjung satbü shuong ka pheashi,
JER.48.19	‘Ai kühshuokkei?’ dogo haoen ka pheshi.
JER.48.20	‘Moab tuonga, dogo haoenei jongailabü,
JER.48.20	ho shanga haapbuashi; ho himou bautiakei.
JER.48.20	Moab maua dogo Arnon Shumanga ngetiashi!’
JER.48.21	“Yaüentok sangnyu shuong to matjem lousüha, kho Holon, Jahza hoba Mefaat thükto, 
JER.48.22	hoba Dibon, Nebo si Beth Diblathaim thükto, 
JER.48.23	hoba Kiriathaim, Bethgamul si Bethmeon thükto, 
JER.48.24	hoba Keriot si Bozra thükto. Moab sangnyu shuong saabü si nyangbü pendou thükto matjem loua. 
JER.48.25	Moabeibü laang wapan apbua; saoeibü hau leilua, dogo 
JER.48.27	Moab, nyi Israel mütli latetche nyikula lekei damendalao? Nyi haoen soshau soyungbü shuongei lapbü hima jungeikei.
JER.48.28	“O kan Moaba kibü shuong, kaneibü sangnyu shuong apyoashi! Hauan laangnyu thüka kishi! Laanglip khüna jembüeibü hap takbü dukutuk phatko kishi. 
JER.48.29	Moab yonglambü shangabü künei dida! Haoen aeibou lilibü, hao yaangenbü, hao sungenbü, hao yonglamshamle hoba haoeibü maangpona mü awealaubü ki. 
JER.48.30	Hao maangsak yembü ngei ngekei, hoba hao lilibüei ai haang along, dogo 
JER.48.31	Khei yingbü ka Moabbü pendou shanga ngo haapda, hoba Kir Heres mütshuong shanga ngo haapda. 
JER.48.32	Jezer shanga haapbü toje aei ngo ka shanga haapbuda. O Sibma mütshuong, no Haibü Yungnyu danko hoba Jazer onlangko khaübü semlüh buhek phatkei. Lausikei tou kaibü buhek hoba semlüh hek shuong thükto leilubü lousüha. 
JER.48.33	Moab kaomai kaodak ka olinbü hoba lemselabü sunglanga. Nitshang ka semlühdei koubü ngei thontia; aoeikei olinbüei uihinko angünlabü; khübü kho olinbüei uihinbü aying.
JER.48.34	“Heshbon si Elealebü mütshuongei ngekda, hoba haoenei ngekbü ngühlang kho Jahaz sühko, hoba Zoar ka Horonaim si Eglath-Shelishiya sühkoa ditda, aishanga Nimrim shumang dei mangkei ulangtham apa. 
JER.48.35	Moab mütshuongei haoeneibü lemshang shongha juokbü lembü kubü hoba haoeneibü mühghaü shuong la jen ponlem juokbü thaktikulabü, dogo 
JER.48.36	“Hibü Moab shanga hoba Kir Heres mütshuong shanga ngeibü maangponei mangap pithungei chia atbü phatko maanghaapda. Haoenei thanshaibü nyaksinam maukhüma. 
JER.48.37	Aishanga haoen pendouei khu shuan apa, hoba haoeneibü sembung wi kütan apa. haoeneibü ika haüko aktiakei, hoba shenjanga senounei shenakei. 
JER.48.38	Moabbü chemdak hoba khongnyu pendoua ügütü chia to liman lubü ai aki; aishanga ngei Moab aolakei amaikubü jephot tegü phetnyin- an apa. 
JER.48.39	Sao latetche leiluan ki! Haoen latetche haapda! Moab latetchei himoua takphai sepeian ki! Moab leilubü thua kia hoba kaijembo kibü pendou shanga sao akhainyu hoba hatlamoklabü che yeian ki.”
JER.48.40	Aishanga 
JER.48.41	Sangnyu shuong hoba lapheishon shuong shian mautilabü. Khünyet chaloua Moabbü lakjaibü shuongeibü maangpon kho nahap shatei sühbü yaksa cheeibü maangpon phatko kilabü. 
JER.48.42	Moab leilutilabü hoba phang che ayinglabü, aieilausi haoei jembü lolo 
JER.48.43	Hatlamoklabü, püngkhün, hoba sung ka thedanga kia, O Moab mütli shuong, dogo 
JER.48.44	Ao mokbü ka satlaje püngkhün to atlabü; ao püngkhün ka khomjung longlaje sunga minlabü. Aishanga haoen shieikoebü poa Moab thükto habü sungbalabü, dogo 
JER.48.45	Heshbonbü yeme phanga satbümaubü shuong jim akiko loda; aieilausi jih chenei Sihon Chobaei songdakbü sangnyu Heshbon ka wan che anga; kho wanei Moabbüeibü khüngja hoba oyolemenbü shuongeibü khun juokda. 
JER.48.46	Moab mütshuong ügütü! Khemosh mütli shuong leilua; aieilausi kaibü jayangshou shuong langsena hoba kaibü nouyangshou shuong thüngshang to laplanga.
JER.48.47	Khei yingasikei, thonlama ngei Moabbü naangmaitikulabü, dogo 
JER.49.1	Ammonbü shangabü 
JER.49.2	Hibü chühashi, ngei Ammoneibü Rabba sangngu khulimbo lason uihintilabü hoba ho leilubü uon che la yeitilabü; hoba kaijembü sangnyu shuong khümbo wanei lonlabü chalou che lousühada. Kheijinei Israelei hao shian sattibü shuong shian aplabü, dogo 
JER.49.3	Haapashi, O Heshbon! aishanga Ai leilutia! Mang haapashi, O Rabba nouyangshou shuong! Senou nei neiashi hoba mang haapashi! Maang ngouan laang- yoashi. Aishanga Molek haoeibü ungshedbou hoba konglebü shuong yoa langsenlabü. 
JER.49.4	O maangalanbü nouyangshou, no kaibü kao yomang shanga aila yonglamda? Kaibü hau kouda. ‘Aoei ngo shila,’ dogo lauko aila nyi kaibü hau to maanglemda? 
JER.49.5	Chühashi, kan kaijembo kibü shuong ka ngei kan thükto hatlamoklabü sungbakulabü, dogo Thükenbou 
JER.49.6	“Lausikei phaiaje ngei Ammonbü naang maitikulabü, dogo 
JER.49.7	Edom shangabü Thükenbou 
JER.49.8	Dedanbü shuong, sepeiashi hoba laangjung satashi! Laangboba huashi! Aieilausi ngei Esau thensilen thükto shieikoe sungbako mautilabü jihsiphai lousüha. 
JER.49.9	Semlüh hek kheibü shuong ka jungto lousi haoenei semlüh- hek shisho üpyokulep lo? Kokbü shuong nangnak lousi haoenei mangsühbü ong langlep aying lo? 
JER.49.10	Lausikei ngei Esau mütkong khokletkulabü; hao lolo ahuenlabü lele ngei hao hushang khokan apbulabü. Haoeibü shousi shuong, haoeibü jaisinasi shuong, chem- pen shuong shemlabü hoba hao touje akiko aplabü. 
JER.49.11	Kaneibü shoujit shuong apyoshi, ngei haoeneibü langkei thounoulabü. Kaneibü latnyu shuongei kü to maang lemtishi.”
JER.49.12	Aishanga 
JER.49.13	Ngei ngo lolo thedalanda, Bozra, hatlamoklabü che, akhainyu che, leilulabü che, hoba shedsikhau che yeilabü; hoba haoeneibü sangnyu shuong pendou ponpen shanga leiluan kilabü, dogo 
JER.49.15	Aieilausi chüh- ashi, ngei no phang yoa hanbou yeitilabü hoba müt yoa aweasüngtilabü. 
JER.49.16	Nyi huongbü hatla moklabü si ka maangpon yonglam liliei no khüpettia. O no laanglip boba kibou hoba shonghkhu suokbou kimbou. Nyi kaibü hap auluei tegü suokbüa takasikei, ngei no khüka senyenlabü,” dogo 
JER.49.18	Sodom si Gomora hoba haosi nyangko kibü sangnyu shuong khüpan apjinei tegü, khünei müt aokei akilabü; khünei khunakshousi aokei athünglabü, dogo 
JER.49.19	Chühashi, Jordan yamlamang ka nyemsang lamshaushang lambo molosaonyu che loushedbü phatko ngo anglabü, hoba ngei Edom mangde ong haoeneibü kaonyek ka shian sattilabü. Kheijinei ngei ao pienlaje haoei kaonyek thüka songdaklabü. Kü to ao takteiyola? Kü to ao sheiyola? Hobaje ao sanlombouei kü khu limbo lola? 
JER.49.20	Hibü 
JER.49.21	Haoen tuongbü langhei kaonyu nyaakeilabü; haoenei ngekbü Saklangbü Yungnyua ditlabü. 
JER.49.22	Chühashi! aulu kaak pinan seengjung lou- yenbü tegü labou shuong Bozra khulimbo loulabü. Khünyet Edombü sekbülakbü shuongeibü maangpon nabukshatei sühbü yaksa che phatko kilabü.”
JER.49.23	Damaska shangabü ngühlang: “Hamat si Arpad mütshuong phenyemyoakei, aishanga haoenei ngühlang amaibü dida. Haoen hatbüei tühnyinda, hoba sangasemenbü yungnyu tegü shoueida. 
JER.49.24	Damaska hau akiko apa, sao satla sepeikei, hoba panglangbüei sao to sühlangakei; yaksa che nabukshatei sühbü tegütham sao khonku si maangshatei senetakei. 
JER.49.25	Olinbü hoba nyenshen sangnyu lai nangletan ki! 
JER.49.26	Hibü saoeibü mütao shuong khongnyua tuonglabü; khünyet lakjaibü shuong pendou mautilabü, dogo Thükenbou 
JER.49.27	Hobaje Damaska kümthanga ngei wan sapbulabü, hoba khoei Benhadad Chobaeibü lapheishon shuong lonan aplabü.”
JER.49.28	Babilon Choba Nebukhadnezzarei sang shian kimbü Kedar si Hazorbü Choba sangnyu shuong shangabü 
JER.49.29	Haoeneibü neichem si haoeneibü sanshuong lean aplabü; haoeneibü thangtetnei si haoeneibü peisilei khümbo ut yoa haulangkulabü. Mütshuongei haoen to ngeklabü, ‘Pendou aenei hatla moklabü ki!’
JER.49.30	“Hali satashi, O kan Hazora kibü shuong! Laangbob haübüa huan apashi, dogo 
JER.49.31	‘Meimeiashi! Damlabü ai akiko ongayasetham kibü phang che shiakho! Kho sangnyua bakhün ayingsi koukhin aki hoba mütshuong helelea ki.’
JER.49.32	“Haoeneibü ut shuong soletbü peisilei yeilabü, haoeneibü masu shuong konga jimlabü! Khulou tuibang kipbü shuong ngei yeia pendou aenei soulangtilabü, hoba pendou aeka ngei haoen jungto thushed loutikulabü, dogo 
JER.49.33	Hazor ponpen shanga selong thüngshang leilubü kaoen che yeitilabü. Khünei müt aokei nyibou akingailabü.”
JER.49.34	Jihudabü Choba Zedekia songdak khangbüa 
JER.49.35	Thükenbou 
JER.49.36	hoba müh kaophei lei ka ngei Elam thükto yei den lei sungbalabü; hoba ngei haoen khübü yei den lei pendou aeto aatilabü, hoba Elambü langsenbü to ohaubü phang che ongkei akiteilabü. 
JER.49.37	Haoeneibü dangbou thedanga hoba aoyouei haoeneibü langkei lamda haoen thedanga ngei Elam moktilabü. Ngeibü kaangbüsekbü khauang longbüa ngei Elambü thükto leilubü sungbalabü, hoba ngei haoen khümbomeiko ashemti shongko ngei haoen khulimbo lakoubü shuong hautilabü, dogo 
JER.49.38	Hobaje ngei Elambüeibü Choba shuong hoba konglebü shuong mautilabü hoba khünei ngeibü Choba setshang huongenlabü, dogo 
JER.49.39	Lausikei phailama ngei Elambüeibü thu nyibou naang maitilabü,” dogo 
JER.50.1	Babilon shangabü hoba Khaldi kaodak shangabü thuseibou Jeremia danko joyobü ngüh:
JER.50.2	“Phang shuong la ngetiashi! Ho phinthonashi!
JER.50.2	Shensinge phoashi hoba phinthonashi!
JER.50.2	Kho huan tepho!
JER.50.2	Babilon shian apa!
JER.50.2	Bel himou baua;
JER.50.2	saoeibü mühghaü Marduk phenyemakei;
JER.50.2	Saoeibü heangsho shuong netlaphoula yeia!
JER.50.3	“Yungkük aeka sao khulimbo louan shilabü hoba saoeibü kaodak sangliphang la yeitilabü. Khonei ao akilabü; müt si meisiau ham laangjung satkhümlabü.”
JER.50.5	haoeneibü thenyek Zion aeto sepeian khüto haulabü lamnyu pheko laulabü. Haoen louan 
JER.50.6	“Ngeibü mütli shuong maubü san la leko, haoeneibü sanlombü shuongei haoen ayinglamto aatibü hoba shongh aeto lintibü sanshuong phatkei. Haoen shonghnyu hoba shonghshoua shoong- aikei hoba haoeneibü kishang maan apbei. 
JER.50.7	Haoen hapbü pendouei haoen taketkei; hoba haoeneibü dangbou shuongei laukei, ‘Kün shedbü aying, aishanga haoenei haoeneibü 
JER.50.8	“Israelbü shuong, Babilon ka satashi! Khaldi kaodak apyoashi! Sanshuong leibou lonpaang tegü kishi. 
JER.50.9	Aishanga chühashi, yungkük kaodak aeka ngei phangshuong tan yaangbü Babilon khulimbo huishaiko leibada. Haoenei sao khulimbo haoen lolo lason lolabü, hoba yungkük aeka sao shian aplabü. Haoeneibü lau kho ik kong alongeibü sonenbü meikipbü che phatko ki. 
JER.50.10	Khaldi shilabü, sao shibü pendou senyüh shemlabü, dogo 
JER.50.12	lausikei kaneibü nyu kaang himoulabü; hoba no bukbü sao himou baulabü. Ditashi, Babilon kho phangshuong yoa pendou to manseibou, kaolin hoba sangliphang kho sao yinglabü. 
JER.50.13	Aishanga 
JER.50.14	“Kan lolo Babilon khulimbo limchühko kaijembo loashi. Kan lau jungbü pendouei sao to kipashi, laujin tejouti, aieilausi saoei 
JER.50.15	Sangnyu kaijembo lapang uihinashi! Touje Babilonei litian apa, saoeibü lapheishon tuonga, saoeibü kümthang shuong noptheda. Aishanga ho 
JER.50.16	Babilon ka youli wenbou kho hoba youlat jiha langku jungbü shuong wapan apashi. Shieikoebü in to hatbü ka mütpem weko jembü mütli jungto sepeilabü hoba mütpem weko jembü kaodak to ngailabü.”
JER.50.18	Hibü Thükenbou 
JER.50.19	Ngei Israel nyibou saoeibü lamshaushang to leian loulabü, hoba saoei Garmel shongh si Bashan kao- pheia lamshaulabü; hoba Efraim si Gilead shongh kaopheia yembü kesiongei saoeibü maangdak senyüh shemlabü. 
JER.50.20	Khübü chaloua hoba kho jihsiphaia, Israeleibü shedbü lamlabü lausikei aikei akilabü, hoba Jihudaeibü shabü lamlabü, lausikei aikei ühüplabü; aishanga ngei apyobü jouletbü shuong la ngei ap kulabü.”
JER.50.22	Kaonyua lason ngühlang kia, hoba leilubü yaang! 
JER.50.23	Kaodak khümbo ngümnyinbou lai netla yeitian ki! Phangshuong yoa Babilon lai hatla moklabü che leiluan ki! 
JER.50.24	O Babilon, ngei ka la sung sankukei hoba nyi kho alapentoua no khonei minkei; aieilausi nyi 
JER.50.25	ei haoeibü insiaubu phoshang ipbei hoba haoeibü maangshat insiaubu sungenkei; aishanga Khaldibü kaodaka Thükenbou 
JER.50.26	Kaonyek lei weko ka sao khulimbo kaiya. Saoeibü bung shuong khoknyinashi; sao youshou thanan phobü phatko shomentiashi! Sao khümbomeiko mautiashi hoba sao la ai tejouti! 
JER.50.27	Saoeibü masu pongsu pendou haitiashi; haoen haitishang to hautiashi! Haoen shanga ügütü! Aishanga haoen shieikoelabü chalou jihsi- phai lousüha!”
JER.50.28	(Ditashi, satetlangbü shuong Babilon ka Zion to loua, hoba haoenei Babilonbüei haoeibü Lembüchem khulimbo kümbü shanga seneibü 
JER.50.29	“Babilon khulimbo lau jungbü pendou huishaiashi. Sao kaijembo louan thoashi; aokei tesatenti. Saoeibü kümsilei thüng sao la ngaitikuashi; saoei kümbü pendou thüng sao to jungeishi. Aishanga saoei Israel Saopobou 
JER.50.30	Hibü saoeibü heshou shuong khongjia tuonglabü; hoba saoeibü sepai shuong pendou khünyet shemtilabü, dogo 
JER.50.31	“Chühashi, ngo kakhu limbo kia, O lilinyu Babilon; aishanga ngei no shieikoelabü jihsiphai lousüha, dogo Thükenbou 
JER.50.32	Lilinyu kho sao phonla ao akiko phaiyetlabü hoba tuonglabü; saoeibü sangnyu kaijembo kibü shuonga ngei wan sapbulabü hoba khoei sao kaijembo kibü pendou lonlabü.”
JER.50.33	Thükenbou 
JER.50.34	Lausikei haoen Angthetbou to hau kia; haoeibü nyen kho Thükenbou 
JER.50.35	“Khaldibü thükto haibümaubü!
JER.50.35	Babilona kibü shuong thükto haibümaubü,
JER.50.35	hoba haoeibü songdakbü shuong si
JER.50.35	haoeibü songbüdobü mütshuong thükto in che!
JER.50.36	Amlangbü thuseibü shuong thükto in che,
JER.50.36	haoen ngoubüla yeitilabü!
JER.50.36	Sekbülakbü shuong thükto in che,
JER.50.36	hoba haoen mautila in che!
JER.50.37	Saoeibü koli si kailong shuong leilutiashi!
JER.50.37	Haoen yoa küksithang sepai tan thükto in che,
JER.50.37	haoen yaksa yeitilabü.
JER.50.37	Saoeibü nyaksinam thanshang khulimbo in che!
JER.50.37	Khübü kho solanglabü.
JER.50.38	Saoeibü dei thükto shulin yunglin che,
JER.50.38	haoen ulangtham yeilabü.
JER.50.38	Aishanga ho heangsho juong kibü kaodak che ki,
JER.50.38	hoba lembüsabü heangsho thüka langet angko kia.
JER.50.39	“Hibü yamkabü meisiau shuong hoba selong shuong Babilona kilabü, hoba ostrik shuong khünei thünglabü. Touje hao to ladangkei müt akilabü, ayingsi meten meten ao akilabü. 
JER.50.40	Mühghaüei Sodom si Gomora hoba haoen nyangkobü sangnyu shuong khüpan apbü tegütham khei ao akilabü hoba khunakshousi aokei athünglabü, dogo 
JER.50.41	“Chühashi, yungkük aeka mütli che louada,
JER.50.41	hau kibü hoba saabü kabü phangyaang;
JER.50.41	hoba Choba juongnyu lason shanga huishaiakei.
JER.50.42	Haoenei lau hoba insiaubu hatlepakei;
JER.50.42	haoen to phokei hoba üeisanou aki.
JER.50.42	Haoeneibü ngühlang kho yungnyu ngühbü phatkei,
JER.50.42	haoen koli thüka setda.
JER.50.42	Lason shanga haoen bousu che tegü kakhu limbo lamleakei,
JER.50.42	O Babilon Nouyangshou!
JER.50.43	Babilonbü Chobaei haoen shangabü ngühlang ditkei,
JER.50.43	hoba haoeibü ik nyibutham apbei.
JER.50.43	Yaksa na hapla khonkubü phatko
JER.50.43	hao to khonkuei sühkei.
JER.50.44	“Chühashi, Jordan lamang ka nyemsang san lambo molosaonyu che loushadbü phatko ngo anglabü, hoba ngei Babilon mangde ong haoeneibü kaonyek ka shian sattilabü. Kheijinei ngei ao pienlaje haoei kaonyek thüka songdaklabü. Kü to ao takteiyola? Kü to ao sheiyola? Hobaje ao sanlombouei kü khu limbo lola? 
JER.50.45	Hibü 
JER.50.46	Babilon shian apbü langhei kaonyu nyaakeilabü; haoenei ngekbü Saklangbü Yungnyua ditlabü.”
JER.51.2	Hobaje ngei küksithang shuong Babilon khulimbo saoeibü kaonyek sipan apla hautilabü; hoba kho maubü thu lousühnyet jiji pendou aeka haoenei sao shilabü hoba aikei üpyolabü. 
JER.51.3	Lau jungbü shuong la jembü lau tebühti, ayingsi haoeibü nameibü hele teleti. Saoeibü heshou shuong jouan tephoku; saoeibü sepai tan lemailela shemtishi. 
JER.51.4	Babilona haoen leiluan tuonglabü hoba saoeibü sangnyu khonga haian yeplabü. 
JER.51.5	Aishanga Israel Saopobou thedanga haoeneibü kaonyu shedbüei shenan kiasikei, Israel si Jihuda, Thükenbou 
JER.51.6	Babilon ka satashi! Kaneibü langkei khümenla langashi! Saoeibü shabü laüa kan temauma. Ho 
JER.51.7	eibü ika Babilon kho kaodak pendou jaaktibü honeibü thung che phatko kikei. Phangshuongei saoeibü ih yungkei, hibü phangshuong langet angda. 
JER.51.8	Babilon hakde tuongkei hoba leilua! Sao shanga manghaapashi! Saoeibü moukhün mailabü moli leashi; aingenyu sao mailakei thükkei. 
JER.51.9	Khünei kibü küksithang shuongei laukei, ‘Künei sao maitimang sühkei, lausikei sao amaitien. Senei sao apyoakho, hoba jembü kaodak to ngaiakho. Mühghaüei haoeibü hau pendouei Babilon shieikoea, aishanga saoeibü leilubü matjemei müh süha.’ ”
JER.51.11	“Laujin shuong simashi! Aih shuong jungashi! 
JER.51.12	Babilonbü laang ba naklepbo shensinge che phoashi! Lombüshuong hau kingaitiashi, lapheibü phoashi, latho kümashi!”
JER.51.13	O kan dei juong nyangko kibü hoba nyaksinama keibü shuong, kaibü thonbü süha, kaibü langkei lüh thettia. 
JER.51.14	Thükenbou 
JER.51.15	haoeibü songsihonei haoei kaodak yaükei
JER.51.15	hoba haoeibü ditenbüei müh pintikei.
JER.51.16	Hao ngühkhümei mühkabü dei shuong ngühda;
JER.51.16	hoba haoei kaodak ji thon ka sangmei sungbada.
JER.51.16	Lang shanga haoei langpon pontida
JER.51.16	hoba haoeibü thanshang ka yei loutida.
JER.51.17	Mütpem weko ngoubü hoba hapsinge songsido aki;
JER.51.17	namyaübü weko jembüeibü heangshoei himou bautida,
JER.51.17	aieilausi haoeibü mühghaü shuong kho amlangbü ki,
JER.51.17	hoba haoen to langkei hak aki.
JER.51.18	Haoen jim aki, nyikulabü peisilei che;
JER.51.18	haoeneibü kayang chaloua haoen maulabü.
