GEN.1.1	Aino luai God kata asinong na mete kuku na kuli rina. 
JHN.5.45	Mi ago ta lomon ania ta nau nan atatai a mamai tatami, sikei Moses akorong, nia kan atatai tatami, voiang mita atung kami lomlomon singina. 
JHN.5.46	Si man mita lomlomon atutuman ta Moses, oro mila kun lomlomon tatag, using nia kata salsalik asi mengen amalangas tatag. 
JHN.5.47	Sikei parik mitapa lomlomon ta kana keve mengen i salik. Au na mi saka lomlomon an ta keve mengen ke napo mengen imi tatana?”
JHN.6.1	E mung i mang keve taun, Iesu kala paputuk ane mang palpal i laman tatapulitai e Galilaia. Laman ang kipo posong kapa ia ta Tiberias. 
JHN.6.2	Na vap miang luai kipo using ia, using kita arai ani keve abis i vilvil ataping kata abis ia si ri vap malepen. 
JHN.6.3	Au Iesu kala palak kuli put, na kanlapo sinong ve kana keve nat i akalit. 
JHN.6.4	Taun ang, matan angan i liuluai si ri Iudaia kalapo angasungai. 
JHN.6.5	Na Iesu kala takngo na kala arai ani petau lava kipo pakasang taun ia, na kala sui a Pilipo ta, “Au, tara samui pok ani vap ke e voi asi kari angan?” 
JHN.6.6	Kapo sui ia si kana atokngai ania, using lenginang kalapo nas ta sa ka abis ia. 
JHN.6.7	Na Pilipo kala ngenget ta, “Kapkap tavirimok parik kapa angkoai si samui ani pok angkokoai ani vap duk asukang ke.” 
JHN.6.8	Na mangsikei i kana keve nat i akalit, Andereas, tasina i Petero, kala antok ta, 
JHN.6.9	“Mang nat lik kana e ke ve kana palpalima na saui na pongua na ien, sikei ka saka pakangai an ani vap miang luai asukang ke?” 
JHN.6.10	Na Iesu kala antok, “Asok a vap aongos ang a ki sinong.” Ring ang katapo ring ro si sinong, na kila sinong aongos. Kapo asukang ta 5,000 na tauan aongos. 
JHN.6.11	Au, Iesu kala luk a saui ang na kala posong aro singina na kala alis ia si petau po sinong ang e iang. Na kala abis ia kapa si ngono ien, na kila luk angkoai aongos. 
JHN.6.12	Na kila angan amasung aro aongos, na Iesu kala asok kana keve nat i akalit ta, “Mi luk akuvul a inoinongos i pok. Na ago ta aole palau ani mangsikei a vuk pok.” 
JHN.6.13	Au kila luk aongos a inongos i palpalima na saui i kari angan ang, na kila asiang a sangauli na pongua na tepe duk. 
JHN.6.14	Taun a vap ang kila arai ani abis i vilvil ataping ke, kilapo angtokai ta, “Tutuman luai kana na katakai i kus amalangas voiang ka serei kuli rina.” 
JHN.6.15	Na Iesu kata lapo nas kari lomlomonai ta kime agius ia asi kana tulava aniria, na kala palak papalik ane nei palpal putputan.
JHN.6.16	Na kalapo tenei ngelik na kana keve nat i akalit kila pasiang ane si laman tatapulitai ang, 
JHN.6.17	asi kari kokos aputuk kuli vul ane Kaparnaum. Kala tenei vong na Iesu parik lak kapa serei singiria. 
JHN.6.18	Na malu lava kala serei, na nei laman ang kala utautakan. 
JHN.6.19	Kitala kalip asukang ta 25 vo 30 na sitadia ane nei laman, na kila arai ani Iesu kapo pasal aliu kuli laman taun kari vul, na kilapo leng alava luai. 
JHN.6.20	Sikei kala antok iria ta, “Nau palau kana, mi ago ta leng an.” 
JHN.6.21	Au kilapo naung ani akos ania, na akorong palau, vul ang kanla suai ani nona e ngerelo si ring ang kitapo pasal taun ia.
JHN.6.22	Si mang taun using, petau po ago si mang ngising i laman ang, kilapo nas ta sikei palau a vul kata serei, na taun kata papok, Iesu parik katapa kokos kuvul ve kana keve nat i akalit, riria papalik kita pasal. 
JHN.6.23	Na mang keve vul le Tiberias kime lapo ung angasungai i ring ang ri vap kita angan a pok i posong aro ang ta Volava singina. 
JHN.6.24	Au, petau ang kilapo kinle ta Iesu kalapo kovek ve kana keve nat i akalit, na kila kokos a mang keve vul asi an gulegule ani Iesu e Kaparnaum. 
JHN.6.25	Na kianla sabonai ania e mang palpal i laman tatapulitai ang, na kila sui ia, “Au Rabi, kuta serei angisan e ke?” 
JHN.6.26	Na Iesu kala polpol ta, “Napo mengen atutuman imi, mipo gule iau, sikei parik using mita arai ani keve abis i vilvil ataping, sikei using mita angan a pok ang na milapo ngaman. 
JHN.6.27	Mi ago ta abis using ani pok vo rikek palau ang, sikei mi abis using a pok voiang kapo asereiai ani to asikei, kana na igenen i pukun, ka alis imi tatana. Using God tamana katala atung kana akanangai singina.” 
JHN.6.28	Au kila sui ia ta, “Au saka abis an kapo mamaiten ta namem abis ia, ani namem teng a abis ang God kapo buk ia?” 
JHN.6.29	Na Iesu kala polpol ta, “Kana abis a God kapo asukang ke. Mi lomlomon ta vo i asok ang ta God.” 
JHN.6.30	Na kila sui ia ta, “Au na saka abis i vilvil ataping an kula abis ia asukang val akanangai, asi kamem arai na namem lomlomon tatam? Nei, ku vil a sa? 
JHN.6.31	Keve tivumem kita angan mana nei ring varasai palau, val mengen nei salsalik ta, 
JHN.6.32	Na Iesu kala antok iria, “Napo mengen atutuman imi, parik nang ta Moses katapa alis imi ta pok le metekuku, parik. Sikei mamai nia kapo alis imi ta pok tutuman le metekuku. 
JHN.6.33	Using kana pok a God, nang nia kata pasiang le metekuku asi kana me alis to ani kuli rina.” 
JHN.6.34	Na kila antok, “Volava, tutapong kana ku uli alis animem ta pok ang.” 
JHN.6.35	Na Iesu kala antok, “Nau napo pok i to. Nia kapo serei singig ka tav nasai ani buk angan. Nia kapo lomlomon tatag ka tav nasai ani buk inum. 
JHN.6.36	Sikei, val natala mengen imi, mitala arai anig, sikei lak parik mipa lomlomon tatag. 
JHN.6.37	Riria voiang a mamai kata alis iau tataria, kime ane singig. Na parik luai napa angkoai si kirikai suak ani mangsikei iria. 
JHN.6.38	Using natala pasiang le metekuku, parik asi me using ani kag vubuk, sikei asi me abis using ani kana vubuk na vo asok ang anig 
JHN.6.39	Kana na vubuk si vo asok ang anig. Naka ago ta amun ani mangsikei i kana vap nang katala lis iau tataria, na naka tak atadut pok iria si akamusai i taun. 
JHN.6.40	Using a mamai kapo vubuk ta ri si aongos ki arai ani kana nat na ki lomlomon tatana, ki atogon a to asikei, na naka tak atadut iria si akamusai i taun.”
JHN.6.41	Na ri Iudaia kilapo lilimukai ania, using kata antok ta kapo pok voiang kata pasiang le metekuku. 
JHN.6.42	Na kila antok ta, “Au si parik nang ta Iesu, nat ke si Iosep, igenen ke tamana ve rinana tarapo nas irilong? Kapo saka bil an kana, na kapo antok ta kata pasiang le metekuku?” 
JHN.6.43	Na Iesu kala antok iria, “Mi kamus ta lilimukai angpokpokai nei liuan imi. 
JHN.6.44	Kapo kovek ta mangsikei kame ane singig man a mamai parik katapa tak asung ia ane singig. Na naka tak atadut ia si akamusai i taun. 
JHN.6.45	Ri katakai i kus amalangas kita salik ia ta 
JHN.6.46	Kapo kovek ta mangsikei katala arai ani mamai, sikei ninia papalik voiang kata pasal le si God. Ninia vanang katala arai ani mamai. 
JHN.6.47	Napo mengen atutuman imi, ninia kapo lomlomon, kapo atogon a to asikei. 
JHN.6.48	Nau napo pok i to. 
JHN.6.49	Keve tivumi kita angan mana nei ring varasai palau na kila mat. 
JHN.6.50	Sikei kana kapo atogon a pok le metekuku, si man a si ka angan singina parik kapa angkoai si mat. 
JHN.6.51	Nau napo pok i to le metekuku. Man a si ka angan singina ka to asikei. Pok ke nang kapo pukun ig, voiang naka alis suai ania ani ri vap i kuli rina ki atogon to.”
JHN.6.52	Na ri Iudaia kilapo anggegelai alava, “Igenen ke ka saka alis pok an anira ta pukun ina asi angan?” 
JHN.6.53	Na Iesu kala antok iria, “Napo mengen atutuman imi, man parik mipa angan a pukun i igenen i pukun, na man parik mipa inum a rangai ina, mi kovek luai i to. 
JHN.6.54	Nia kapo angan a pukun ig na kapo inum a rangaig kapo atogon to asikei, na naka tak atadut ia si akamusai i taun. 
JHN.6.55	Using a pukun ig kapo pok tutuman, na rangaig kapo laman tutuman. 
JHN.6.56	Nia kapo angan a pukun ig na kapo inum a rangaig, kapo ago singig na nau singina. 
JHN.6.57	Mamai vopo to ke kata asok iau, na using kapo to, nau kapa napo kun to, na man a si kapo angan singig, ka kun to, using nau napo to. 
JHN.6.58	Ninia vang kana na pok ke kata pasiang le metekuku. Keve tivura kita angan na kila mat, sikei man a si ka angan si pok ke, ka to asikei.” 
JHN.6.59	Katapo mengen ta mengen ke si taun katapo akalit iria nei lu i kivung e Kaparnaum.
JHN.6.60	Na amiang i kana keve nat i akalit kila longong kana mengen asukang ke na kila antok ta, “Akalkalit ke kapo tav malangas. Si kapo angkoai si longong kinle ania?” 
JHN.6.61	Na Iesu kala nas iria ta kilapo mengen miang na kala sui iria, “Au saka bil an kapo vil arikek imi? 
JHN.6.62	Au na man mila arai ani igenen i pukun, si kala palak pok ane si kana ring i pasal le, mila saka bil an? 
JHN.6.63	Malanganto kapo alis ta to. Dual i pukun kapo bil palau. Mengen ang natapo mengen imi tatana kapo malanganto na kapo to kapa. 
JHN.6.64	Lak mang matan imi parik mipa lomlomon.” Using Iesu kata nas le si ainoai i taun ta ri si parik kipa lomlomon, na si voiang ka alis suai lak ania taun a puka. 
JHN.6.65	Na kala mengen luai ta, “Nambang a tukulai ina na nata mengen imi ta igenen parik luai kapa angkoai si kame ane singig man a mamai parik katapa ali dual ania.”
JHN.6.66	Au, le si taun ang, amiang i kana keve nat i akalit kila pataliung ia, na parik kipa anguan auai an ve nia. 
JHN.6.67	Asukang a Iesu kala sui a 12 na nat ang ta, “Au sa, nami kapa milapo kun buk pasal pelek anig?” 
JHN.6.68	Na Simon Petero kala polpol ia, “Volava, namem papelek tapai anim na namem ane si mang si, using numai papalik kupo atogon a keve mengen i to asikei. 
JHN.6.69	Namempo lomlomon na namempo nas ta numai a Igenen Gogoai si God.” 
JHN.6.70	Na Iesu kala antok iria, “Io, natala pilak imi, nami na 12, sikei kapo togon a mangsikei imi kapo petau anira!” 
JHN.6.71	Katapo mengen ta Iudas, nat ang si Simon Iskariot, katapo mangsikei i 12 na nat ang, kata usausa si alis suai lak aniria.
JHN.7.1	E mung Iesu kanlapo pasal pulakai e Galilaia. Parik katapa ainak ani pasal ane Iudaia using ri Iudaia kitapo kokoai ania asi kari raung ania. 
JHN.7.2	Na kalapo angasungai a taun i matan angan i lu i atungtul si ri Iudaia. 
JHN.7.3	Na keve tasina i Iesu kila antok ia, “Kapo ro ku tapasuk pelek a oring ke ane Iudaia, ani kam keve nat i akalit kian arai ani keve abis i vilvil ataping ang kupo abis ia. 
JHN.7.4	Kapo kovek ta sikei, man kapo buk serei asasanan ka vil kana keve abis nei ring mumun. Man kulapo abis a keve abis ke, ku abis ia e ring malangas ani kuli rina ka nas ua.” 
JHN.7.5	Using a keve tasina akorong kapa, parik kitapa kun lomlomon tatana. 
JHN.7.6	Asukang na Iesu kala antok iria, “Kag taun akorong parik lak kapa serei, sikei si kami ararai kalapo taun lenginang. 
JHN.7.7	Ri vap i kuli rina parik kipa angkoai si mirik animi, sikei kipo mirik anig, using napo uli antok aniria ta kari keve lau kapo visuk. 
JHN.7.8	Nami, mi pasal ane si matan angan ang. Nau parik napa pasal using kag taun parik lak kapa serei.” 
JHN.7.9	Kala mengen tapai aniria, na kala ago pok e Galilaia.
JHN.7.10	Sikei, e mung i keve tasina kila pasal ane si matan angan ang, ninia kapa kala kun pasal, sikei parik si ring malangas, sikei si ring mumun. 
JHN.7.11	Si taun i matan angan ang ri Iudaia kipo arai gule ania na kilapo sui ta, “Nei a igenen ke e voi?” 
JHN.7.12	Na nei liuan i sulrina, kipo anganasai musik lik tatana. Mang matan kipo antok ta kapo igenen ro, na mang matan ta kapo igenen kapau ani ri vap. 
JHN.7.13	Sikei, kapo kovek i sikei ka mengen tatana e ring malangas, using kitapo leng ani ri Iudaia.
JHN.7.14	Au, kalapo angliliuanai si kari po telan si matan angan ang, na Iesu kala palak nei rina i atailai, na kanlapo tutapongai si akalit ani ri vap. 
JHN.7.15	Na ri Iudaia kilapo taping ania na kipo sui ta, “Au igenen ke kata luk kana nas e voi? Using parik katapa akalit.” 
JHN.7.16	Na Iesu kala polpol ta, “Parik napa akalit ta kakag ta akalkalit, sikei kapo serei le si vo asok ang anig. 
JHN.7.17	Man a si kapo buk asi kana using ani vubuk si God, ka nas ta napo akalit ta akalkalit le si God vo le singig akorong. 
JHN.7.18	Man a igenen kapo akus tatana akorong kapo buk asan lava ania, sikei man kapo abis si ali asan lava ani vo asok ang ania, kapo igenen atutuman, na kapo kovek i kapau singina. 
JHN.7.19	Moses kata lis imi ta saupai, ingko? Sikei kata kovek i mang sikei imi kata abis apunuk kana saupai. Marai sa na mipo buk raung anig?” 
JHN.7.20	Na petau ang kila polpol ta, “Ingua kapo aol ua. Si nang kapo buk raung anim?” 
JHN.7.21	Na Iesu kala antok iria ta, “Nata abis a sikei a abis i vilvil ataping na mila taping aongos. 
JHN.7.22	Sikei, using Moses kata asok si lampulit ani kami keve nat, le iang na mitapo lampulit kami keve nat si taun i atailai kapa. Sikei, parik le si Moses, sikei keve tivumi aino luai kita tutapongai ania. 
JHN.7.23	Au, man mipo lampulit a nat si taun i atailai, na parik mipa putuk kana saupai a Moses, na marai sa mipo marala iau si vil ato ani igenen ke si taun i atailai? 
JHN.7.24	Mi kamus ta kalakala ani ri vap ta kami ararai, sikei mi kalakala iria si laulauan korong.”
JHN.7.25	Si taun ang, mang vap i Ierusalem kilapo sui ta, “Au si parik ta ninia kana na igenen ke kipo buk raung ania? 
JHN.7.26	Arai, kapo mengen nei liuan i ri vap na kapo kovek ta mang sikei ka mengen ania. Au si keve vap lava kilapo lomon ia ta ninia vanang a igenen i akanangai? 
JHN.7.27	Sikei tarapo nas aongos ta igenen ke kata pasal le voi. Si man a igenen i akanangai kala serei, ri vap parik kipa nas ta kata pasal le voi.” 
JHN.7.28	Si taun ang a Iesu kapo akalkalit lak nei rina i atailai na kala songosongo alava ta, “Io, mipo nas iau, na mipo nas ta nau le voi. Parik natapa pasal ane ke si kag vubuk akorong, sikei nia vo asok ang anig kapo tutuman, na parik mipa nas ia. 
JHN.7.29	Sikei nau napo nas ia using nata pasal le singina na nia kata asok iau.” 
JHN.7.30	Au na kilapo buk teng akit ania sikei katapo kovek ta sikei ka sulai ani kungana taun ia, using kana taun lak parik katapa sinong. 
JHN.7.31	Sikei, amiang i petau ang kila lomlomon tatana, using kilapo mengen ta, “Nei a igenen i akanangai vo me serei ke? Ka abis a keve avibisan kipo laba ani keve avibisan si igenen ke?”
JHN.7.32	Na ri Parisaio kilapo longong a mang matan i petau lava ang sipo anganasai asukang. Au keve ainoinoai si ri katakai i sula ve ri Parisaio kila asok a vap po ararai bat ang nei rina i atailai asi an teng akit ania. 
JHN.7.33	Na Iesu kala antok, “Naka ago na rukun taun lik palau ve nami, le na naka papok ane si vo asok ang anig. 
JHN.7.34	Mi gule iau, sikei parik milapa angkoai si sabonai anig. Ring ang nakan ago singina, parik mipa angkoai si palak singina.” 
JHN.7.35	Na ri Iudaia kilapo angsusuiai ta, “Igenen ke kapo buk ane voi akorong, asi karala tav sabonai ania? Ka pasal nganing ane si kara mang petau voiang kipo ago pulakai e Elas na kan akalkalit ri Elas? 
JHN.7.36	Nei akorong a supsupai i kana mengen ta, ‘Mi gule lak iau, sikei parik milapa angkoai si sabonai anig,’ na ‘Ring ang nakan ago singina, parik mipa angkoai si palak singina?’”
JHN.7.37	Akamusai i taun i matan angan kapo lavlabat luai, na si taun ang Iesu kala tung na kala songosongo ta, “Man a si kapo buk inum, kame ane singig na kame inum. 
JHN.7.38	Ninia kapo lomlomon tatag, ka atogon a laman i to ka soung le nei vingana, asukang palau val mengen i nei salsalik kapo mengen.” 
JHN.7.39	Iesu katapo mengen ta Malanganto, ani vap ang kipo lomlomon tatana, asi kari luk ania. Si taun ang Malanganto parik lak kapa asok ia, using Iesu lak kapo tav luk ani kana urmaus.
JHN.7.40	Na mang matan vap kilapo longong ia na kipo antok ta, “Tutuman igenen ke kana na katakai i kus amalangas ang.” 
JHN.7.41	Mang matan kipo antok ta, “Ninia palau na igenen i akanangai.” Na mang matan kipo antok ta, “Igenen i akanangai ka saka serei an le Galilaia? 
JHN.7.42	Using a nei salsalik kapo mengen ta igenen i akanangai ka serei le si kana patvap a David na ki ingus ia e Betilem si ring ang si David.” 
JHN.7.43	Asukang a kalapo atogon a tapagal si petau ang marai Iesu. 
JHN.7.44	Mang matan kitapo buk teng akit ania, sikei katapo kovek ta sikei ka sulai kunga ania.
JHN.7.45	Au, keve vap po ararai bat ang kimela serei si keve ainoinoai si ri katakai i sula ve ri Parisaio na kila sui iria ta, “Marai sa parik mitapa kong akit ia ane ke?” 
JHN.7.46	Na keve vap po ararai bat ang kila ngenget ta, “Aino katapo kovek i sikei a igenen ka mengen val igenen ke.” 
JHN.7.47	Na ri Parisaio kila sui iria, “Au sa, katanla kun kapau kapa nang animi? 
JHN.7.48	Parik mipa malangas ta kapo kovek i ainoinoai lava vo mangsikei a Parisaio kapo angkoai si lomlomon tatana? 
JHN.7.49	Vap tanio suke parik kipa nas kara Sausaupai na kilapo sunguk kana malgai a God.” 
JHN.7.50	Au, Nikodemo, nia katapo mangsikei i ri Parisaio, nang aino kata pasal taun a Iesu, kala sui iria, 
JHN.7.51	“Au si kara sausaupai kapo saupai aino ani igenen man parik lak kipa longong kana mengen asi sabonai ani sa kapo abis ia?” 
JHN.7.52	Na kila polpol ia ta, “Au numai nang kupo igenen i Galilaia kapa? Tataot nei salsalik na kula arai korong ta kapo kovek ta katakai i kus amalangas kata serei le Galilaia.”
JHN.7.53	Au na kila angtaliungai ane si
JHN.8.1	Sikei Iesu kala pasal ane kuli mulang ang Elaio. 
JHN.8.2	Si tenei vauk ina kala papok ane nei rina i atailai na petau ang kimela duk aulitai aongos ania na kapo sinong na kapo akalkalit iria. 
JHN.8.3	Na ri vap malangas ani saupai ve ri Parisaio kila serei ta mang aina kita sabonai ania si rot ve tauan osongon. Na kianla atung ia e noria i vap ang 
JHN.8.4	na kila antok a Iesu ta, “Katakai i akalit, aina ke, kita sabonai ania si rot ve tauan osongon. 
JHN.8.5	Si kara sausaupai Moses kata antok ta aina asukang ke tara so punuk ia ta iat. Au numai, kupo saka mengen an?” 
JHN.8.6	Kipo sui asukang ke using kipo gule ring asi kari mengen arikek ania. Sikei Iesu kala tuturung na kalapo salsalik ta kungana e vunep. 
JHN.8.7	Na kipo uli sunggil ania. Au kala tu atung na kala antok iria, “Si imi, man parik katapa abis a lau rikek, kapo ro ta nia ka ainoai i igenen ka luk a iat na ka so ia.” 
JHN.8.8	Au, kala tuturung pok na kalapo salsalik e vunep. 
JHN.8.9	Taun kila longong a mengen ke, kilapo soung suai siksikei, ria kitala to na matas miang aino, na aliu paspasal tung si kila kovek luai aongos, sikei aina ke papalik ve Iesu kilonglapo tung e iang. 
JHN.8.10	Na Iesu kala tu atung na kala sui ia ta, “Iuang, petau ke e voi? Au sa, kapo kovek ta sikei kata lapa saupai anim?” 
JHN.8.11	Na aina ang kala antok, “Volava, kapo kovek ta mangsikei.” Na Iesu kala antok ia, “E, nau kapa parik napa kun saupai anim. Pasal na kula aulei ta bil arikek.”]
JHN.8.12	Iesu kala anguan mengen an ani ri vap ta mengen asukang ke, “Nau napo malangas ani kuli rina. Ninia kapo using iau ka atogon a malangas i to na parik kapa angkoai si pasal nei vong.” 
JHN.8.13	Na ri Parisaio kila antok ia, “Numai papalik kupo uli mengen ta kam keve avibisan akorong, asukang na sa kupo posong ia kapo kovek i tutuman ina.” 
JHN.8.14	Na Iesu kala polpol ta, “Kantanem. Man nau papalik napo mengen tatag, sikei kapo tutuman, using napo nas ta nata serei le voi na naka ane voi. Sikei nami parik mipa nas ta nata serei le voi na naka ane voi. 
JHN.8.15	Nami mipo uli saupai si palpal i pukun, sikei nau parik napa saupai ani mangsikei. 
JHN.8.16	Sikei, man nau naka vil saupai, kag saupai kapo tutuman using parik napa abis papalik ia. Napo tung kuvul ve mamai nia vo asok ke anig. 
JHN.8.17	Si kami sausaupai akorong kapo mengen ta man a pongua karilong mengen kapo sikei, sa kilongpo posong ia kapo tutuman. 
JHN.8.18	Nau napo akus atutuman ta kag keve avibisan akorong, na mamai voiang kata asok iau kapo kun akus tatag kapa.” 
JHN.8.19	Na kila sui ia, “Nei vanang a tamam?” Na kala polpol iria, “Parik mipa nas iau na mamai kapa. Si man mila nas iau mila kun nas kapa ani mamai.” 
JHN.8.20	Iesu katapo mengen ta mengen ke si taun ang katapo akalkalit nei rina i atailai ngerena i keve asisiang ipo alilis. Na kapo kovek ta mangsikei ka teng akit ia, using kana taun lak parik kapa sinong.
JHN.8.21	Na Iesu kala anguan mengen an aniria, “Naka pasal suai na mi gule iau na mi mat si kami keve rikek. Parik mipa angkoai si pasal ane si ring ang naka pasal ane singina.” 
JHN.8.22	Le si oring suke katapo vil ri Iudaia si mengen ta, “Kapo mengen ta parik mipa angkoai si pasal ane si ring naka pasal ane singina. Au, ka sa kana? Ka raung pok ia?” 
JHN.8.23	Na Iesu kala antok, “Nami mipo vap i vunep. Nau le pangkul. Mita serei le kuli rina, sikei nau parik natapa serei le kuli rina. 
JHN.8.24	Asukang a natala antok imi ta mi mat si kami keve lau rikek. Io, tutuman luai, mi mat si kami keve lau rikek man parik mipa lomlomon tatag, nau ke vang kana.” 
JHN.8.25	Na kila sui ia, “Au, numai nang a si?” Na Iesu kala polpol, “Sa natala posong ia le kabang, nambang kapo asukang. 
JHN.8.26	Napo atogon a mengen miang animi si kami laulauan i ago. Sikei nia vo asok ang anig kapo atutuman, na sa napo longong ia singina, napo mengen a kuli rina ke tatana.” 
JHN.8.27	Parik kitapa malangas ta katapo mengen iria ta tamana. 
JHN.8.28	Na Iesu kala antok iria ta, “Man mila atakuk a igenen i pukun, milapo malangas ta nau palau nang, na mila nas kapa ta parik napa abis using kag vubuk, sikei napo mengen ta bil ang mamai kata akalkalit iau tatana. 
JHN.8.29	Nia kata asok iau na kapo ago ve nau. Parik kapa papelek tapai anig using napo uli abis ani keve avibisan voiang kapo uruk ania.” 
JHN.8.30	Si taun a Iesu kata mengen ta keve bil ke, amiang i vap kilapo lomlomon tatana.
JHN.8.31	Na Iesu kala mengen ri Iudaia vap lapo lomlomon ang tatana ta, “Si man mi usiusing kag akalkalit milapo kag keve nat i akalit atutuman luai. 
JHN.8.32	E iang mila nas a tutuman, na tutuman ka akala imi.” 
JHN.8.33	Na kila ngenget ia, “Namem kana na keve tivuna i Abaram na parik namemta lapa asosokai tapai si mangsikei. Marai sa na kupo mengen ta namem atogon a kalakala?” 
JHN.8.34	Na Iesu kala polpol iria, “Napo mengen atutuman imi ta man a si kapo uli bil arikek, nambang e iang kalapo asosokai si lau rikek. 
JHN.8.35	Asosokai kapo kovek i sinsinongan nei vainagoan, sikei nat ang kapo tauk ina asikei. 
JHN.8.36	Asukang na man kana nat kala akala imi, mila atogon vang a kalakala ro luai. 
JHN.8.37	Napo nas ta mipo keve tivuna i Abaram, sikei lak mipo buk raung anig, using parik mipa ainak ani kag keve mengen. 
JHN.8.38	Nau napo mengen imi ta bil ang a mamai katala akalit iau tatana. Au nami mipo abis a bil ang mitala longong ia si tamami.”
JHN.8.39	Na kila antok ia ta, “Tamamem vang ta Abaram.” Na Iesu kala sui iria ta, “Au, man mipo inatus si Abaram, marai sa na parik mipa abis val Abaram si kana keve avibisan? 
JHN.8.40	Arai, natala mengen aongos imi ta mengen tutuman i kag longong le si God, sikei lak mipo buk raung anig. Abaram parik katapa bil asukang. 
JHN.8.41	Mipo abis a keve lau ang a tamami kapo abis ia.” Na kila gel ia ta, “God papalik nia vang kapo tamamem, namempo tav nat mai.” 
JHN.8.42	Na Iesu kala antok iria, “Man a God kapo tamami, oro mila buk iau, using nata pasal le si God na kana namelapo ago. Parik natapa serei using a kag vubuk, sikei nia kata asok iau. 
JHN.8.43	Marai sa na mipo tav malangas ani sa napo mengen tatana? Using apok parik mipa angkoai si longong aro ani sa napo mengen tatana. 
JHN.8.44	Nami mipo inatus si tamami ta vo petau ang anira, na mipo buk using ani kana vubuk a tamami. Le kabang le katapo mangsikei a igenen daung na parik kapa mengen atutuman using a tutuman kapo kovek singina. Taun kapo kapau kapo mengen ta kana keve mengen akorong using kapo igenen kapau na kapo tamana i kapau. 
JHN.8.45	Sikei, using napo mengen imi ta mengen tutuman, parik mipa lomlomon tatag. 
JHN.8.46	Si kapo angkoai si antok anig ta kag lau rikek? Si man napo mengen atutuman imi, marai sa na parik mipa lomlomon tatag? 
JHN.8.47	Ninia kata serei le si God kapo longong kana mengen a God. Nami parik mitapa serei le si God, nambang tukulai ina na parik mipa buk longong.”
JHN.8.48	Na ri Iudaia kila polpol ia, “Sa, parik namempa korong si pege ta numai le Samareia, na kupo atogon ingua?” 
JHN.8.49	Na Iesu kala antok ta, “Napo kovek i ingua. Napo sunguk alakat a mamai, sikei nami mipo nau varas iau. 
JHN.8.50	Parik napa gule urmaus pok anig, sikei kapo atogon a mangsikei ka alis ia, na nia ka saupai ania. 
JHN.8.51	Napo mengen atutuman imi, ninia kapo usiusing aro kag keve mengen parik kapa mat, parik luai.” 
JHN.8.52	Le si oring suke, ri Iudaia kila antok ia ta, “Kana vang namemla nas ta kupo atogon a ingua! Arai, Abaram katala mat lenginang, na mamain ta katakai i kus amalangas kapa, sikei kana lak kupo antok ta ninia kapo usiusing aro kam mengen parik luai kapa mat. 
JHN.8.53	Au si kupo laba kana ani tivumem ta Abaram? Katala mat na mamain ta katakai i kus amalangas kapa. Kupo naol ia ta numai a si kana?” 
JHN.8.54	Na Iesu kala polpol ta, “Si man napo alatun pok iau, kag alatun kapo bil palau. Mamai, voiang mipo antok ta kami God, ninia kapo alatun iau. 
JHN.8.55	Using nami, parik mipa nas ia, sikei nau napo nas ia. Na man naka antok ta parik napa nas ia, e iang nalapo igenen kapau val nami. Sikei napo nas ia, na napo usiusing kana keve mengen. 
JHN.8.56	Tivumi ta Abaram katapo maramarak ta ka arai ani kag taun, na katala arai korong ania na kala uruk.” 
JHN.8.57	Na ri Iudaia kila mengen ta, “Iau, parik lak kupa 50 na matas lak, na lenginang kutala arai ani Abaram!” 
JHN.8.58	Na Iesu kala polpol, “Napo mengen atutuman imi ta nau nata ago aino luai ani taun i ingus ani Abaram.” 
JHN.8.59	Si oring ke, kilapo lukluk iat asi so ania, sikei kala mun aniria na kala pasal pelek a rina i atailai.
JHN.9.1	Na Iesu kalapo pasal aliu, na kala arai ani mang igenen mataba le si taun i ingus le ania. 
JHN.9.2	Au kana keve nat i akalit kila sui ia ta, “Rabi, ke si ta rikek na igenen ke kalapo mataba? Kakana akorong ta rikek vo ke rinana ve tamana ta rikek?” 
JHN.9.3	Na Iesu kala ngenget ta, “Tauan ke parik katapa abis a rikek, na ngono taukuna kapa parik kilongtapa abis ia, sikei mataba ang kata serei asi akalit ta kana abis a God si kana to. 
JHN.9.4	Tara uli teng ani kana avibisan a vo asok ang anig, si kapo tenei ias lak. Ka tenei vong nganing, na parik kalapa anguan angkoai si abis an. 
JHN.9.5	Taun napo ago lak e kuli rina, nau a malangas ani kuli rina.” 
JHN.9.6	Taun kala kamus ta mengen, kala kanus ane vunep na kala tol kuvul a kanus ang ve roe na kala amatung ia e ngono matana i igenen ba ang. 
JHN.9.7	Na kala antok ia, “Pasal na kuanla galui a ngono matam nei dim suke e Siloam.” Supsupai ina ta asok. Au, igenen ang kala pasal na kanla daus le na kamela serei pok ta mata tapalas aro. 
JHN.9.8	Na keve tungana, kuvul ve ria kitapo uli arai ania anangan sipo uli aikut, kila sui ta, “Au si igenen ke palau kana voiang katapo uli sinong i aikut?” 
JHN.9.9	Mang matan kipo antok ta nia palau, sikei mang matan kipo antok ta, “I, parik. Kapo bil val nia palau.” Sikei igenen ang kala antok ta, “Nau palau a igenen ke.” 
JHN.9.10	Na kila sui ia ta, “Au, kuta sa na kula mata arai?” 
