GEN.1.1	Kjok ëre dämär, l̇l̇ëye l̇l̇ëm obishko ga Sbö kjok shäryono uunkong, kjopkwo, kl̈ung bakoe. 
ACT.14.25	Eshko Perge kjokyo ga Sbö tjl̈õkwo roy l̈ara oba kong pjir ga jer öötong l̈öng Atalía kjokyo. 
ACT.14.26	Eshko ga opyono kjyong roy to jek Antioquía kjokyo buk Siria kjokyo obi l̈ishko. Dämär ga epga ichara Jesús tjl̈õkwo kjragaga eshko so l̈irë to parkë Sbö kong kjok shto obl̈ë obl̈ë, ga syõyoshtara l̈ok, tjl̈ẽno ga «Sbö, Pablo, Bernabé, e iërwa ber tjeng bop wl̈oshko, dëp wl̈o» l̈ara l̈ok ga toe. Eni ga ba pak l̈i shäryara pjirshko ga to jek iröng Antioquía kjokyo. 
ACT.14.27	Ga öötong l̈öng eshko iröng obishko ga Jesús tjl̈õkwo kjragaga l̈öng eshko l̈i töna l̈öng ba tjok. Ga l̇l̇ëye shäryara Sbörë ba tjok l̈i roy l̈ara l̈ok ba kong pjire. Sbö tjl̈õkwo l̈ara nopga judío l̇l̇ëm wl̈eniyo kong, ga kjrara l̈ok sorë l̈i roy l̈ara ba kong pjir bakoe. 
ACT.14.28	Eni ga Pablo, Bernabé, e beno l̈öng dbar kop ara eshko Jesús tjl̈õkwo kjragaga l̈i tjok.
ACT.15.1	Eshkoshko ga Jesús tjl̈õkwo kjragaga kjong kjong tjwe Judea kjokyo dwayo, öötong l̈öng eshko Antioquía kjokyo ga ba pjeyoga Jesús tjl̈õkwo kjraga l̈i pĩya öötong l̈öng, tjl̈ẽ ba kong ga «Bek wl̈o ga pjãy Jesús tjl̈õkwo kjragaga doyo jyã të pjir, l̈ara Moisésdë tek dënashko sorë l̈i eni. L̇l̇ëm ga pjãy döya Sbörë l̇l̇ëme» l̈e l̈öng eni. 
ACT.15.2	Kuya Pablo, Bernabérë ga beno owa ba kong, ga ëng dboryono ara kar kar Judea sopga l̈i tjok. E kjĩshko ga Pablo, Bernabé, Jesús tjl̈õkwo kjragaga kjong kjong, e kjrara Jesús tjl̈õkwo kjragaga l̇l̇amo l̈irë iche jongya Jerusalén kjokyo, Sbö tjl̈õkwo roy l̈agaga Jesús ãska shwoy, tjl̈apgaga Jesús tjl̈õkwo kjraga kägäyoga l̈öng eshko l̈i shwoy bako, l̇l̇ëbo l̈i l̇l̇gweya l̈ok wl̈o.
ACT.15.3	Eni ga ichara Jesús tjl̈õkwo kjragaga l̈öng Antioquía kjokyo l̈irë to jongya Jerusalén kjokyo. Ga jek l̈öng Fenicia kjokyo go, Samaria kjokyo go bakoe. Eshko ga nopga judío l̇l̇ëm wl̈eniyo öötong beno l̈öng Jesús tjl̈õkwo kjraga l̈i roy l̈ara l̈ok ba pjeyoga Jesús tjl̈õkwo kjraga eshko so kong, ga beno l̈öng wopjl̈úe. 
ACT.15.4	E irgo ga jek öötong l̈öng Jerusalén kjokyo ga wl̈okjrara Jesús tjl̈õkwo kjragaga eshko so, ba kägäyoga, Sbö tjl̈õkwo roy l̈agaga Jesús ãska l̈irë. Eni ga l̇l̇ëye shäryara Sbörë ba tjok l̈i roy l̈ara l̈ok ba kong l̈ok pjire.
ACT.15.5	Gueniyo ga Jesús tjl̈õkwo kjragaga l̈i tjrëko ga fariseoga l̈öng kjl̈öbö. Epga kjong kjong kojono l̈öng, ga tjl̈ẽ ga «Bek wl̈o ga nopga judío l̇l̇ëm wl̈eniyo Jesús tjl̈õkwo kjrë woydëshko ga doyo jyã tëy dey, ga ichëy kjok l̇l̇gwekkl̈o tara Moisésdë l̈i sök» l̈e.
ACT.15.6	Eni ga Sbö tjl̈õkwo roy l̈agaga Jesús ãska töno tjl̈apgaga Jesús tjl̈õkwo kjraga kägäyoga tjok, l̇l̇ëbo l̈e l̈öng l̈i l̇l̇gweya l̈ok wl̈o. 
ACT.15.7	Eni ga l̈ano ëng tjok ara kar kar. E irgo ga Pedro kojono shäng, ga tjl̈ẽ ga «Pjeyoga, miydëmi pjl̈ú ga tja kjrara Sbörë tek dënashko bomi tjrëko, ba tjl̈õkwo roy pjl̈ú l̈ë nopga judío l̇l̇ëm wl̈eniyo kong, epga ëmdë ga omkuk ga tjl̈õkwo kjre wl̈o. 
ACT.15.8	Ga shji wotjl̈ĩk bi pjl̈úshko sorë l̈i miyde Sbörë pjire. E kjĩshko ga nopga judío l̇l̇ëm wl̈eniyo omtjl̈õkwo kjronoshko ga Sbö Sëya twara ba kong, twara bi kong sorë ga eni, miydëy shji judíogarë e go wl̈o ga shäryaga Sbörë. 
ACT.15.9	Nopga judío l̇l̇ëm wl̈eniyo wotjl̈ĩno ga mär Sbö go erö ga owa pjang ba go l̈i l̈öna Sbörë beno dret, shäryara bi kong sorë ga eni. Eni ga epga iara beno tjwl̈õ bishĩya dik bakoe. 
ACT.15.10	¿Eni ga l̇l̇ëye woydëmi ga shärye Sbörë obi, tjl̈õkwo ëre kjrëmi wl̈oro? Nopga judío l̇l̇ëm wl̈eniyo iëmi kjok l̇l̇gwekkl̈o tara Moisésdë l̈i sök l̈ëmi woydë, gueniyo shji ëmdë ga omsöno ma, bi tjl̈apgaga tek dënashko so omsöno ma bakoe. ¿Eni ga epga omsök sorëro? 
ACT.15.11	Eni l̇l̇ëme. Miydëy ga shji döya Tjl̈apga Jesúsdë, shji kjimte woydë kjĩshko eröe l̈ëy, ga epga eni bakoe» l̈e.
ACT.15.12	E irgo ga Pablo, Bernabé, e tjl̈ẽno nopga l̈öng l̈i kong. Dbo twara Sbörë ba kong l̇l̇ëbo ĩydëba l̇l̇ëm wl̈eniyo shärye l̈ok nopga judío l̇l̇ëm wl̈eniyo kong l̈i roy l̈ara l̈ok ba kong pjire. E wopro ga kuya nopga l̈irë l̈öng kjing erä.
ACT.15.13	Ga tjl̈ẽno l̈ok pjirshko ga Santiago tjl̈ẽ ga «Pjeyoga, tja kuzĩa. 
ACT.15.14	Simón
ACT.15.15	Dënashko ga Sbö tjl̈õkwo l̈agaga oml̈ono eni. Tjl̈ẽno beno eni:
ACT.15.16	»“E irgo ga tja tjwe iröng obi,
ACT.15.16	ga David tjëyo beno l̈öng tjwl̈õ l̇l̇ëm l̈i,
ACT.15.16	e iër ber l̈öng ba shtoshko iröng obi,
ACT.15.16	so u toktong beno buk töy
ACT.15.16	kojõy jem, poshäryëy ber jong pjl̈ú obi wl̈eni.
ACT.15.17	Eni ga tja wl̈ẽya nopga judío l̇l̇ëm wl̈eniyorë.
ACT.15.17	Nopga kjroror tjeng kjok kjwang jĩkong l̈i,
ACT.15.17	tja wl̈ẽya, ga ber l̈öng botoya bakoe.
ACT.15.17	Tja Tjl̈apga Sbö. Tja oml̈ë eni.
ACT.15.18	L̈oror beno eni tek dënashko.”
ACT.15.19	»Eni ga bor kong ga nopga judío l̇l̇ëm wl̈eniyo optwono Sbö kong l̈i barwëy ame. 
ACT.15.20	Epga kong kjibokwo tëy kjwara dey. E go ga l̈ëy ba kong ga dl̈i l̇l̇ë twak sböpga jyãgl̈o kong l̈i uëy ame, öng zrök kjyotso skuya ĩ l̈i sho uëy ame, srëng l̇l̇ë uëy ame, ga shji orkwosmono ë tjok l̇l̇ëm ga shji pë ba tjok ame. 
ACT.15.21	Tek dënashko ga kjok l̇l̇gwekkl̈o tara Moisésdë l̈i, e l̈ëba l̈öng kjok shto obl̈ë obl̈ëshko enido. Ga woshtozl̈ong dbaryo kjwobi go ga l̈ëba l̈öng judíoga syõ uyo obl̈ë obl̈ë l̈i roy» l̈e.
ACT.15.22	Eni ga töno l̈öng l̈an l̈i, nopga kjrara do pjök, iche l̈ok jek Antioquía kjokyo Pablo, Bernabé tjok. Kjrara l̈ok l̈i beno Judas, Silas. (Judas, e kowëba Barsabás bakoe.) Domerga do pjök l̈i tjl̈apgaga Jesús tjl̈õkwo kjraga kägäyo wl̈eniyo. 
ACT.15.23	Ga kjibokwo tara l̈ok kjwara, ga twara ba kong, söya jek ba tjok wl̈o. Kjibokwo l̈i tjl̈ẽ eni:
ACT.15.23	«Miga pjeyoga. Nopga judío l̇l̇ëm wl̈eniyo l̈öng Antioquía kjokyo, Siria kjokyo, Cilicia kjokyo, “¿Pjãy yonde?” l̈ërwa bomi kong. Kjibokwo ëre ichërwa jek bomi kong. Tjawa Sbö tjl̈õkwo roy l̈agaga Jesús ãska, l̈anma tjl̈apgaga Jesús tjl̈õkwo kjraga kägäyoga.
ACT.15.24	»Roy kurorwa ga no kjong kjong jũshko so l̈öng borwa tjrëko l̈i öör l̈öng bomi shwoy ga pjãy barwara ara, ba tjl̈õkwo l̈ara l̈i go, ga pjãy beno l̈öng woydë ara. Gueniyo epga ichaga tjawarë l̇l̇ëme. 
ACT.15.25+ACT.15.26	E kjĩshko ga domerga kjrororwa kjl̈öbö, ga ichororwa jek bomi ĩk. Bernabé, Pablo, e bi pjeyoga woydërwa ara wl̈eniyo. Epga optwono beno l̈öng parkë Tjl̈apga Jesucristo kjĩshko, ga zrökobare, de zrökoba l̇l̇ëm, e miyde l̈öng l̇l̇ëme. Epga ichororwa jek bomi ĩk. 
ACT.15.27	Ga Judas, Silas, e ichororwa jek ba tjok, l̇l̇ëye tak pjang kjibokwo ëre goshko l̈i l̈anyotke l̈ok om go bomi kong wl̈o.
ACT.15.28	»Eni ga beno pjl̈ú Sbö Sëya kong, borwa kong ga pjãy ichërwa kjok l̇l̇gwekkl̈o tara Moisésdë l̈i shäryë uunkong l̇l̇ëme. L̇l̇ëye shäryëmi wl̈o l̈i ëre döe: 
ACT.15.29	Dl̈i l̇l̇ë twak sböpga jyãgl̈o kong l̈i uëy l̇l̇ëm; öng zrök kjyotso skuya ĩ l̈i sho uëy l̇l̇ëm; srëng l̇l̇ë uëy l̇l̇ëm; shji orkwosmono ë tjok l̇l̇ëm ga shji pë ba tjok l̇l̇ëm bakoe. Shäryëmi uunkong eni ga pjãy jëk l̈öng pjl̈o beke.
ACT.15.29	»Ber eni.»
ACT.15.30	Eni ga domerga kjrara l̈i toe. Öötong l̈öng Antioquía kjokyo ga ba pjeyoga Jesús tjl̈õkwo kjraga l̈i töna l̈ok eshko, ga kjibokwo söra l̈ok jek l̈i twara ba kong. 
ACT.15.31	Eshko ga kjibokwo l̈i l̈ara l̈ok ëng kong, ga beno l̈öng wopjl̈ú, ga dbokjrono jek obi e go. 
ACT.15.32	Judas, Silas, e Sbö tjl̈õkwo l̈agaga. Eshko ga tjl̈ẽno nopga l̈öng l̈i kong ara, dbo iara l̈ok ara bakoe. 
ACT.15.33+ACT.15.34	Ga beno l̈öng dbar kop ara eshko. E irgo ga opshino to jek ba ichagaga shwoy iröng obi. Brikshko ga «Jöl̈ö» l̈ara ba pjeyoga l̈irë ba kong. «Pjãy nom iröng wopjl̈úe» l̈ara l̈ok ba kong bakoe.
ACT.15.35	Gueniyo ga Pablo, Bernabé, e beno l̈öng eshko Antioquía kjokyo. Tjl̈apga Jesús tjl̈õkwo l̈e l̈öng oba kong, ga oba pĩya l̈öng ara. Jesús tjl̈õkwo kjragaga eshko so omshäryono kjl̈öbö eni bakoe.
ACT.15.36	Öötong dbar kop ara ga Pablo tjl̈ẽ Bernabé kong ga «Shji to bi pjeyoga l̈öng kjok shto obl̈ë obl̈ë ĩk iröng obi, shji öör Tjl̈apga Jesús tjl̈õkwo l̈ë kjone dö ga eshko, l̈öng sorë ĩy wl̈o» l̈e.
ACT.15.37	Kuya ga tjl̈ẽ ba kong ga «Jöl̈ö. Gueniyo Juan söy bi tjok bebi» l̈e. (Juan, e kowëba Marcos bakoe.)
ACT.15.38	Gueniyo ga Pablo kong ga pjl̈ú anmoyõ l̇l̇ëme. Epga l̈öng Panfilia kjokyoshko ga rayara Marcosdë beno l̈öng tjoksa, jëktong ba tjok ba pak shäryë ame.
ACT.15.39	Eni ga ëng dboryono l̈ok kar kar, ga beno l̈öng wopjl̈ú ëng tjok ame. E kjĩshko ga opkjono beno l̈öng dboy dboye. Eshko ga Marcos söra Bernabérë jek ba tjok, jer dl̈ung kjako, opyono kjyong kësbang roy, ga jongya jong Chipre kjokyo. 
ACT.15.40	Pablo l̈ira, Silas söra jek ba tjok. Brik l̈okshko ga Jesús tjl̈õkwo kjragaga l̈öng l̈i syõshtono Sbö kong, tjl̈ẽ ga «Sbö, Pablo, Silas, e iërwa ber tjeng bop wl̈oshko, dëp wl̈o» l̈e. E irgo ga opshino toe. 
ACT.15.41	Jek öötong l̈öng kjok shto obl̈ë obl̈ë Siria kjokyo, Cilicia kjokyo. Eshko ga ba pjeyoga Jesús tjl̈õkwo kjraga l̈öng l̈i dbo iara l̈ok Sbö tjl̈õkwo go arae.
ACT.16.1	Eshko ga Pablo wl̈o öötong l̈öng Derbe kjokyo, e irgo ga Listra kjokyo. Eshko ga Jesús tjl̈õkwo kjraga wl̈ẽna shäng kjl̈ara ko Timoteo, e mekë judío, Jesús tjl̈õkwo kjraga bako, gueniyo data judío l̇l̇ëm wl̈eniyo, e Grecia so. 
ACT.16.2	Timoteo, e pjl̈úe l̈e Jesús tjl̈õkwo kjragaga l̈öng Listra kjokyo, Iconio kjokyo l̈irë. 
ACT.16.3	Eni ga woyde Pablorë ga Timoteo jek shäng parkë ba tjok. Gueniyo ga miyde judíoga eshko so uunkong l̈irë ga Timoteo doyo jyã tak l̇l̇ëm, data Grecia so kjĩshko. E kjĩshko ga barwe judíogarë l̇l̇ëm wl̈o ga Timoteo doyo jyã tara Pablorë pjire.
ACT.16.4	E irgo ga jek l̈öng kjok shto obl̈ë obl̈ëshko ga l̇l̇ëye l̈ara Sbö tjl̈õkwo roy l̈agaga Jesús ãska, tjl̈apgaga Jesús tjl̈õkwo kjraga kägäyoga l̈öng Jerusalén kjokyorë l̈i, e l̈ara l̈ok Jesús tjl̈õkwo kjragaga kong pjire. Ga tjl̈ẽ l̈ok ba kong ga «Tjl̈õkwo l̈ara l̈ok l̈i shäryëy eni» l̈e. 
ACT.16.5	Eni ga Jesús tjl̈õkwo kjragaga mär beno l̈öng Sbö go jek këgong, ga dbar kjwobi go ga tön jek këgong këgong.
ACT.16.6	Eshko ga Pablo wl̈o wotjl̈ĩno l̈ok to Asia kjokyo, Sbö tjl̈õkwo roy l̈ë eshko wl̈o l̈ara. Gueniyo ichara Sbö Sëyarë jek eshko l̇l̇ëme. E kjĩshko ga jek Frigia kjokyo go, Galacia kjokyo go, 
ACT.16.7	öötong l̈öng Misia kjokyo gomyo. Eshko ga wotjl̈ĩno l̈ok to Bitinia kjokyo l̈ara, gueniyo ichara Jesús Sëyarë jek eshko l̇l̇ëme. 
ACT.16.8	E kjĩshko ga jekdo bek, sl̈ano Misia kjokyo l̇l̇ëm, jer öötong l̈öng Troas kjokyo.
ACT.16.9	E shkëyo ga Pablo domer Macedonia so ĩno shäng kjl̈ara, shji yoĩno wl̈eni. Ga domer l̈i tjl̈ẽ ba kong ga «Rokër bop kong sira ga pja tek Macedonia kjokyo, tjawa kjimtëp wl̈o» l̈e. 
ACT.16.10	Ga ĩna Pablorë eni irgo ga tjawa
ACT.16.11	Eni ga tjawa opyono kjyong kësbang roy, ga tjawa opshino Troas kjokyo dwayo, jek bek äär jong dl̈ung tjrëko ko Samotracia. Wẽshko ga tjawa jek äär l̈öng Neápolis kjokyo. 
ACT.16.12	E irgo ga tjawa jem Filipos kjokyo, e Macedonia kjokyo obi. Kjok eshko l̈i ichaga Roma sopgarë, gueniyo Macedonia sopga kong ga kjok e tjwl̈õ ara. Ga tjawa beno l̈öng eshko dbar kjwöbösoe.
ACT.16.13	Öötong woshtozl̈ong dbaryo ga tjawa opshino jek kjok eshko dwayo, tjawa äär l̈öng di kjako, kjoko shwo l̈ëkong. Eshko ga judíoga syõshtozl̈ong shtoyo tjok kjwe l̈ërwa, ga eni jl̈õe. Tjawa öötong l̈öng eshkoshko ga wl̈ẽnorwa ga wal̈ëga ëng töno l̈öng kjl̈öbö eshko. Eni ga tjawa sirkeno l̈ano l̈öng ba tjok. 
ACT.16.14	Eshko ga wal̈ë sök kjl̈ara ko Lidia, e Tiatira so, shwong ko dingding shwëshwë tjwl̈õ ara wl̈eniyo soynega. E judío l̇l̇ëm wl̈eniyo, gueniyo Sbö poshrëya enido. Sök borwa kuk eshkoshko ga pjl̈ú iara Sbörë pjang ba tjl̈õkwo roy l̈e Pablorë sök l̈i kjre wl̈o. 
ACT.16.15	E irgo ga wara jer di pjang eshko l̈i roshko, ba pjeyoga l̈öng ba ushko l̈i tjok. E irgo ga tjl̈ẽ borwa kong ga «Tja ĩmi ga Tjl̈apga Jesús tjl̈õkwo kjraga jl̈õkoyo ga rokër bomi kong sira ga pjãy jek bor tjok, pjãy ber l̈öng bor ushko wl̈o» l̈e.
ACT.16.15	Tjawa rokara jl̈õkoyo, ga jl̈õ l̈ororwa ba kong, ga tjawa beno l̈öng ba ushko.
ACT.16.16	Dbar kjwara ga tjawa jek l̈öng syõshtozl̈ong shtoyo wl̈oshko ga kjogl̈o weno shäng kjl̈ara, parkaga tjwl̈ẽk shäng pjir wl̈eniyo. Kjogl̈o l̈i goshko Ä sëya kjl̈ara. Sëya l̈i dbo go ga l̇l̇ëbo wen l̇l̇ono l̈i l̈e oba kong enido, ga potjwl̈ẽkoba ba sogoga kong arae. 
ACT.16.17	Kjogl̈o l̈i jek shäng borwa irgo, ga öö l̈e, tjl̈ẽ ë pogo kong ga «Domerga kjwe, e Sbö Tjwl̈õ Kësbangyo parkaga. Kjwepga jek l̈öng pjãy döya Sbörë sorë l̈aga» l̈e. 
ACT.16.18	Dbar kop ara ga shärye shäng eni. Eni ga dbar kjwara ga Pablo iirkono ba kong, ga bojono iröng, tjl̈ẽ sëya pjang ba go l̈i kong ga «L̈ër bop kong Jesucristo ko goshko ga pja opkjos kjogl̈o kjwe goshko dwayo» l̈e.
ACT.16.18	Jekdo eshko ga kjogl̈o l̈i rayara sëya l̈irë ga toe.
ACT.16.19	Gueniyo ga ĩya kjogl̈o sogoga l̈irë ga beno dbur shak ba kjĩshko ame ga Pablo, Silas, e shara l̈ok, söra jek dbo go öötong l̈öng l̇l̇ëbo soynezl̈ong, tjl̈apgaga kjok l̇l̇gwega wl̈eniyo l̈i bokshto. 
ACT.16.20	Eshko ga tjl̈ẽ l̈ok tjl̈apgaga l̈i kong ga «Domerga ëre judíoga. Kjok ëreshko ga oba shdöya l̈öng ara. 
ACT.16.21	Shji pĩya l̈öng ba sdëkwo baĩya go. Shji Roma sopga kong ga tjl̈õkwo l̈e l̈öng bi kong l̈i, e kol̈ako l̇l̇ëm, e shäryako l̇l̇ëm bakoe» l̈e.
ACT.16.22	Eni ga nopga l̈öng eshko ara l̈i jek uunkong ba wl̈oyo, ga tjl̈apgaga l̈i nopga ichono ba shwong skwë, shpoya l̈ok kjor no shpokkl̈o go. 
ACT.16.23	Eni ga shpora l̈ok irgo ga söra l̈ok, iara beno l̈öng no shdũzl̈ong uyo roshko. Eshko ga tjl̈apgaga l̈i tjl̈ẽ l̈ok no daga shäng l̈i kong ga «Bängzas, ga dos yõtsoe» l̈e. 
ACT.16.24	Kuya ga Pablo, Silas, e söra jek, zrëra öötong tjeng këgong rong anmoyõ kjër äär pjirshko. Eshko ga kjordo zak jek l̈ok këgong këgong ba dre bapkwo, ga ba dre l̈i zrëra ber l̈ok eshko, opshik l̇l̇ëm wl̈o.
ACT.16.25	E shkëyo ga Pablo, Silas, e l̈öng syõshtë, të Sbö kong, ga kuya nopga shdung tjeng ba tjok eshko l̈irë l̈öng. Öötong kjok rong dik ga 
ACT.16.26	yo iano kësbang eshko. Eni ga u l̈i sokö iona beno tre tre erä. Jekdo eshko ga u bäng l̇l̇ë döktong, roshwino drete. Ga dröng sho no pjrikkl̈o l̈i döktong pjir bakoe.
ACT.16.27	Eshko ga no daga l̈i buk pë, ga wol̇l̇eno buke. Ĩya ga u l̈i u bäng bäng döktong beno l̈ok oojong ga wotjl̈ĩno ga nopga bängzak tjeng l̈i töktong pjire l̈ara. E kjĩshko ga ba dröng söya pjang ba kwota roy l̈i shira, opzrök wl̈o l̈ara. 
ACT.16.28	Gueniyo ga ĩya Pablorë sök ga öö l̈e ba kong, tjl̈ẽ ga «¡Pja opzrök l̇l̇ëme!
ACT.16.29	Kuya no daga l̈irë ga tjl̈ẽ ga «Iök shjiy tek sözong» l̈e ba kjimtaga shäng l̈i kong, ga kjrarae. Eshko ga opzrëno jek mal̈ing zron jong äär jong Pablo, Silas shwoy, ga kjök torgö sök ba dre zl̈ong, der arae. 
ACT.16.30	E irgo ga kojono, ga Pablo, Silas, e shira tjeng l̈ishko dwayo. Eni ga tjl̈ẽ ba kong ga «Tjl̈apgaga, ¿tja orwë l̇l̇ong? ¿Tja där wl̈o ga l̇l̇ëye shäryër?»
ACT.16.31	«Pja mär Tjl̈apga Jesucristo go ga pja döya Sbörë, bop pjeyoga l̈öng bop ushko uunkong l̈i döya eni bakoe» l̈e ba kong. 
ACT.16.32	Eni ga Tjl̈apga Jesús tjl̈õkwo l̈ara l̈ok ba kong, ba pjeyoga l̈öng ba ushko uunkong l̈i kong bakoe. 
ACT.16.33	Jekdo eshko ga söra no daga l̈irë jek di bäng buk eshko l̈ishko, ga shpora l̈ok bäng l̈i, e kwoshkwara, kröna ba kong. E irgo ga no daga l̈i wara jer di bäng buk l̈i roshko, ba pjeyoga l̈öng ba ushko l̈i tjok bakoe. 
ACT.16.34	Eni ga Pablo, Silas, e söra jek ba ushko, ga sënae. Eshko ga no daga l̈i beno sök woowa l̇l̇ëm, ba pjeyoga l̈öng ba ushko uunkong tjok, beno l̈öng mär Sbö go kjĩshko.
ACT.16.35	Wẽshko kjok shröng ga tjl̈apgaga kjok l̇l̇gwega wl̈eniyo l̈i no dagaga ichono kjl̈öbö äär l̈öng no daga sök no shdũzl̈ong uyo l̈i ĩk, Pablo, Silas, e döya wl̈o.
ACT.16.36	Eni ga no daga l̈i tjl̈ẽ Pablo kong ga «Tjl̈apgaga kjok l̇l̇gwega wl̈eniyo l̈i tjl̈õkwo ichono bor kong, pjãy dör wl̈o l̈e. Eni ga pjãy to ga bue. Pjãy nom wopjl̈úe» l̈e.
ACT.16.37	Gueniyo ga Pablo tjl̈ẽ no dagaga shrono tjeng l̈i kong ga «Tjawa Roma so kjibokwo tjok. Woydara ga tjawa l̇l̇gwera kjwe kjok l̇l̇gwekkl̈o Roma so ĩ go. Gueniyo tjawa l̇l̇gwera l̈ok l̇l̇ëm ëmdë ga tjawa shpora l̈ok ara nopga uunkong bokshto, ga tjawa bängzara l̈ok no shdũzl̈ong uyo roshko. ¿Eni ga tjawa shiya woydë l̈ũtshko ega? ¡Eni l̇l̇ëme! Tjawa shiya l̈ok wl̈o, woyde ga tek shiga epgarë om go dey. L̈ëmi ba kong eni» l̈e.
ACT.16.38	Eni ga no dagaga l̈i to öötong l̈öng tjl̈apgaga l̈i shwoy ga roy l̈ara ba kong pjire. Kuya l̈ok ga beno l̈öng sëya l̇l̇ëm, Pablo, Silas, e kjibokwo tjok kjĩshko. 
ACT.16.39	Ga tjl̈apgaga l̈i jek öötong l̈öng Pablo, Silas shwoy ga tjl̈ẽ ba kong ga «Tjawa jnemi kësbange» l̈e. Eni ga dörae. Eshko ga tjl̈ẽ ba kong obi ga «Rokërwa bomi kong sira ga pjãy opshik borwa kjok ëreshko dwayo» l̈e.
ACT.16.40	Eni ga opshino l̈ok no shdũzl̈ong uyo roshko dwayo, ga jek öötong l̈öng Lidia ushko. Eshko ga ba pjeyoga Jesús tjl̈õkwo kjraga l̈i pjl̈ora uunkong, ga dbo iara bakoe. E irgo ga opshino to ey dwayo.
ACT.17.1	Ga Pablo, Silas, e jek äär l̈öng Anfípolis kjokyo, e irgo ga Apolonia kjokyo. E irgo ga öötong l̈öng Tesalónica kjokyo. Eshko ga judíoga syõ uyo jong kjwara. 
ACT.17.2	Ga Pablo sgara shäng woshtozl̈ong dbaryo kjwobi go ga opzrëk jek judíoga syõ uyo roshko. Eni ga öör shäng eshko woshtozl̈ong dbaryo l̈i pjl̈ogl̈o mya, ga l̈ano ara nopga l̈öng l̈i tjok. Sbö tjl̈õkwo tak pjang l̈i 
ACT.17.3	pjl̈ol̇l̇gweya ba kong. Tjl̈ẽ ba kong ga «Miydëy Sbö tjl̈õkwo ëre go ga no pjl̈uyo iche l̈ara Sbörë l̈i shronoshko ga woyde ga shdungoba, wol̈on, ga woshre Sbörë iröng obi. Jesús roy l̈oror bomi kong, ga shäryono ba kong eni. No pjl̈uyo l̈ër shäng l̈i e» l̈e.
ACT.17.4	Eni ga judíoga kjong kjong omtjl̈õkwo kjrono. Grecia sopga ara Sbö poshrëk l̈öng enido wl̈eniyo, wal̈ëga tjwl̈õ ara wl̈eniyo ara, e omshäryono eni bakoe. Ga tjl̈õkwo kjragaga uunkong l̈i beno l̈öng Pablo, Silas tjok.
ACT.17.5	Gueniyo ga ĩya judíoga omtjl̈õkwo kjrono l̇l̇ëm wl̈eniyo l̈irë ga ymorkono ara. Eni ga to l̈öng irbo bäng go ga nopga owa oba barwë ä wl̈eniyo, e töna kjl̈öböso, kjok eshko sopga shdöya wl̈o, ie ber l̈öng wl̈ẽp l̇l̇ëm wl̈o. Ga wotjl̈ĩno ga Pablo, Silas, e l̈öng no sök kjl̈ara ko Jasón l̈i ushko l̈ara. E kjĩshko ga öötong l̈öng ba shwoy ga opzrëno jek dbo go ba u roshko, Pablo, Silas, e shaya, söya, twe nopga l̈öng l̈i kong wl̈o, shdũya wl̈o l̈ara, 
ACT.17.6	miga wl̈ẽna l̇l̇ëme. Eni kuzong ga Jasón shara l̈ok shara, ba pjeyoga Jesús tjl̈õkwo kjraga kjl̈öbö l̈i tjok. Ga söra l̈ok dbo go, dopshiya l̈ok ĩ, öötong l̈öng tjl̈apgaga kjok l̇l̇gwega wl̈eniyo l̈i shwoy. Eshko ga öö l̈e l̈ok ara, tjl̈ẽ ga «Domerga to l̈öng kjok shto obl̈ë obl̈ë, nopga shdöya ber l̈öng wl̈ẽp l̇l̇ëm wl̈o l̈i, e shrono l̈öng bi shwoy ëre bi barwaga. 
ACT.17.7	Shronoshko ga wl̈okjrara Jasón jũrë öötong l̈öng ba ushko. Kjok l̇l̇gwekkl̈o tara pjl̈u kësbangyo sök Roma kjokyorë l̈i, e bangkjre l̈ok l̇l̇ëm, ie ber tjwl̈õ l̇l̇ëm bakoe. To l̈öng tjl̈ẽ ga pjl̈u obl̈ë tjok l̈e. E kowe l̈ok Jesús» l̈e.
ACT.17.8	Eshko ga l̇l̇ëye l̈ara l̈ok l̈i kjĩshko ga tjl̈apgaga, nopga l̈öng eshko l̈i, e woksera tjë jĩkong. 
ACT.17.9	E kjĩshko ga Jasón, ba pjeyoga Jesús tjl̈õkwo kjraga, e ichara l̈ok oppotjwl̈ẽk, e irgo ga rayara toe.
ACT.17.10	E shkëyo ga Pablo, Silas, e ichara Jesús tjl̈õkwo kjragaga eshko so l̈irë opshik jek Berea kjokyo. Öötong l̈öng eshko ga opzrëno jek judíoga syõ uyo jong eshko l̈i roshko. 
ACT.17.11	Judíoga l̈öng Berea kjokyo l̈i wotjl̈ĩk owa judíoga l̈öng Tesalónica kjokyo l̈i ĩ dik l̇l̇ëme. Ga Jesús tjl̈õkwo l̈ara l̈ok ba kong l̈i kuya ga beno l̈öng wopjl̈ú, ga kũywa l̈ok obi. Eni ga dbar kjwobi go ga tjl̈õkwo kura l̈ok l̈i ĩna l̈ok Sbö tjl̈õkwo kjibokwoyo go ara, l̇l̇ëye l̈ara Pablo, Silasdë l̈i, e jl̈õre ĩya l̈ok wl̈o. 
ACT.17.12	Eshko ga judíoga omtjl̈õkwo kjrono ara. Grecia sopga omtjl̈õkwo kjrono kjl̈araso l̇l̇ëm bako, wal̈ëga tjwl̈õ ara wl̈eniyo, domerga bakoe.
