GEN.1.1	Kotiyamale sitali dla Godtapo ta꞉lamo mate pepele di mate mimita꞉piyo. 
ACT.5.4	Ta꞉la iye opa watle pohamilalo haluwaye eta wolë haluwapo. Epame wa꞉ta opa watle ta꞉la hamipame asiyama mani hauwaye mani e ma wolëpo. Epedeme wa꞉ mani e mate wa꞉ta solotamale koko halowe ka꞉pipo. Ame adipalati wa꞉ta mani seme wa꞉ aya dla hemele himiliye di watle po-atlalo, ma isikimi atlemama ‘na꞉ mani hapuloma mepo hampua,’ di? Epedeme wa꞉ hatlo dia꞉ dla pomala-atlana, amasiyama wa꞉ God dla mala-atlalepo,” diyo.
ACT.5.5+ACT.5.6	Epo atlale oloma edla Ananayasta yu i dalepo powame teyuiyo. Ya꞉ powame ellati kiptalota matime tlukata ya꞉ moto polupo hamtame ta꞉la muwalepo hamatiyo. Epalati opa koko i dalle sota sikemte wowota꞉iyo.
ACT.5.7	Amasiyama Ananayas ya꞉llu Sapila koko edla woyamaleye podallalo wekiyo. Epapeleye ya꞉ alotle sali inoma dapahatlope mo-pokadepo hallati Pita wolo hala dla puaiyo. 
ACT.5.8	Epalati Pitata ya꞉ watle epo atlaiyo, “Na꞉ watle atlane, wua꞉ta ta꞉laye opa watle hamipame mani hauwaye asiyama me-isowapa?” diyo. Epalati Ananayas ya꞉lluta asiyama epo atlaiyo, “Yao, mani dita hauwaye me-epo,” diyo.
ACT.5.9	Amasiyama Pitata epo atlaiyo, “Adipalati wua꞉ta madipatata God ya꞉ Hela꞉dle Soko dla elemala natilowedeme solotamale himi? Wa꞉ natine, kiptalo wa꞉wolali hamatili soye kokoloma dla ha꞉ha꞉po. Ma hatlo yia꞉tapo wa꞉ta polati hamatilipe,” diyo.
ACT.5.10	Epo atlale oloma medla Ananayas ya꞉lluye powame Pita hete sitali dla teyuiyo. Epalati kiptalota puame natitepo mo-powame ellati ya꞉ motoye hamtame ya꞉wolali wabasi seme dla hamatiyo. 
ACT.5.11	Epalati mikadepe dle so opa hapuloma mate epo opa koko i dalle so mate sikemte wowota꞉iyo.
ACT.5.12	Taiya dle sotapo ulugiyemale koko patoto opa dulu dla sikemte halomsiyamaiyo. Epalati mikadepe dle so hapulomatapo Solomon potopali dla yimkata puame alumdiyo. 
ACT.5.13	Epalati pomikadepe dle sota yia꞉ natipame yia꞉ye koko ka꞉pi demdiyo, amasiyama yia꞉ta yia꞉ mate hatlo alumoloweye wowota꞉mdiyo. 
ACT.5.14	Epapele tlope alila hapuloma dulu dla opa mate wola꞉ mate Lod dla mikadepe depame mikadepe dle so alumale mate hatlope demdiyo. 
ACT.5.15	Taiya dle sota ulugiyemale koko halomsiyamale natipame opa hapulomata esusulumale so hapuloma hohopo puame api duka dla yia꞉ wa꞉ya yiyalepo ipila꞉mtamdiyo. Adipalati, Pitata tamama salita ya꞉ dla domale ya꞉nasamata kukomama yia꞉ ka꞉ka꞉dlepo depame.
ACT.5.16	Epalati Yelusalem mateka꞉pi dla mo yimlala popa꞉mtale sota esusulumale so mate epo bataliya watalo so mate hohopo pumhalemdiyo. Epalati Taiya dle sota yia꞉ye ka꞉ka꞉demdiyo.
ACT.5.17	Taiya dle sota ulugiyemale koko i halomsiyamalati aiyalma aya dokopala oplami mate epo yimkadulo Sa꞉dusi so opa mate koko i natipame Taiya dle so watle sikemte allimama elle pato himha꞉ha꞉iyo. 
ACT.5.18	Epammama yia꞉tapo Taiya dle soye amtuwale aya dla ka꞉ka꞉timaiyo. 
ACT.5.19	Amasiyama utula꞉la edla Lod ya꞉ banakaka oplamita malame amtuwale aya kokoloma gowaladiyo. Epame Taiya dle soye amtuwale aya tle alikili dla hohopo tame halemama yia꞉ watle epo atlaiyo, 
ACT.5.20	“Wua꞉ aiyalma aya dla tame opa watle pasakalo amko koko iye atlamaiye,” diyo. 
ACT.5.21	Epalati Taiya dle sota ya꞉ yu dla mikadepe depame utulalati sali ala matamhallati aiyalma aya dla tuwame Yesu koko imolowe kotiyamaiyo.
ACT.5.21	Epapalati aiyalma aya dokopala oplami mate Sa꞉dusi so mate Taiya dle so koko dla esemolowedeme Yu so dokopala so hapuloma sisilamaiyo. Epame yia꞉ta amtuwale aya omha꞉ha꞉lalo so watle yu hamiyo, Taiya dle so elempulupo depame. 
ACT.5.22	Amasiyama opata yu hamtame natilati Taiya dle soye amtuwale aya dulu dla hawa halaiyo. Epalati yia꞉ ma ilamtame dokopala so watle epo atlaiyo, 
ACT.5.23	“Di tame amtuwale aya natilati kokolomaye sikemte himomelle hala, epame omha꞉ha꞉lalo soye alikili tle me-omha꞉ha꞉la nati. Amasiyama di kokoloma gowaladepame aya dulu tuwame natilati opa ewoloye hawa hala,” diyo.
ACT.5.24	Amasiyama aiyalma aya dokopala so mate epo aiyalma aya alikili tle omha꞉ha꞉lalo so yia꞉ dokopala oplami mate koko i dalepame sikemte momalamaiyo, ma-alotle apa kokota woyamolowe depame.
ACT.5.25	Epalati oplami haleta puame yia꞉ watle epo atlaiyo, “Natiya, wua꞉ta opa amtuwale aya dla ka꞉ka꞉timuwaye, ma tame aiyalma aya dla opa imha꞉ha꞉po,” diyo. 
ACT.5.26	Epela dalepame aiyalma aya alikili tle omha꞉ha꞉lalo so yia꞉ dokopala oplamita ya꞉ opa mate Taiya dle soye ma hohomala taiyo. Yia꞉ tame yia꞉ye hohopolle mate pohohomaiyo. Adipalati, asiyama mo sota ma yia꞉ye allimama ewala mate potimalala depame.
ACT.5.27	Amasiyama yia꞉ isikimi Taiya dle soye hohopame puame dokopala so mila꞉pi tle ipila꞉iyo. Epalati aiyalma aya dokopala oplamita yia꞉ watle epo atlaiyo, 
ACT.5.28	“Di wua꞉ watle yu itiyamale mate ipo hamiwapo, ‘Wua꞉ matle Yesu hi mate imsiyamama koko opi halomsiyamiyo,’ duwapo. Amasiyama wua꞉ di yu pohana. Epedeme wua꞉ natiya. Wua꞉ta imale kokotapo Yelusalem mo patoye ma-hauwapo. Epame wua꞉ Yesuta powale kokoye ma dia꞉ dla gudlowedeme apopo,” diyo.
ACT.5.29	Amasiyama Pita mate Taiya dle so opi mate asiyama epo atlaiyo, “Di Godta solotamale koko tlo hamsiyama, amasiyama opata solotamale koko pohalowa. 
ACT.5.30	Adipalati, wua꞉tapo Yesuye dali yekelemhimili di dla gogodepame yumuwapo. Amasiyama di mamadulo Godta wua꞉ta yumuwa Yesuye powale tle ma pasakalo duwapo. 
ACT.5.31	Epedeme Godtapo Yesuye powale tle ma pasakalo depame ya꞉ dowala tiyama dla pamoluwapo, ya꞉tapo dokopala halemama pasakalo gadlalo oplami hallepo depame. Epapedeme hatlo ya꞉ dla itiyamale elapo, Isalael so hapulomata yia꞉ta malamale meyelope depame yia꞉ bobtalimale tle heheletimalati ya꞉tapo yia꞉ bobtalimaleye howahapo weliloweye. 
ACT.5.32	Epapedeme di koko hapuloma iye Yesuta halomsela꞉le mate epo ya꞉ dla woyamuwa koko mate bidulo tlapame ma opa dla atlamsiyamapo. Epame Hela꞉dle Soko dia꞉ dulu dla hala mape koko hema mikadepe yu atlapo. Ame adipalati, Godta ya꞉ Hela꞉dle Sokoye isikimi ya꞉ yu dla salladepo siyamalalo so dla halopimhalapo.”
ACT.5.33	Epalati Yu so dokopala sota koko i dalepame sikemte siyalasiyalademama Taiya dle soye potimolowe solotamaiyo. 
ACT.5.34	Amasiyama yia꞉ dulu dla Pa꞉lisi oplami hale ya꞉ hi Gamaliyel demdeta sila꞉time halemama Taiya dle soye aseka alikili dla elemtaiya diyo. Epedeme oplami iye opa hapulomata ya꞉ye ka꞉depo aiyalma imalalo oplami demama ya꞉ye di dla pamelemdiyo. 
ACT.5.35	Epapeleye ya꞉tapo dokopala so watle epo atlaiyo, “Isalael so, wua꞉ opa iwolo dla koko halowedeme woloma koko momalapo apiye. 
ACT.5.36	Adipalati, wua꞉ malamaiya, ka꞉yapa oplami hale Teudasta ipapele koko hamama ya꞉skamu ya꞉ye pato duwapo. Epame 400 opata ya꞉ mate ma siyamuwapo. Amasiyama opata ya꞉ye yumulati ya꞉ mate siyamalalo so 400 opaye potauwapo. 
ACT.5.37	Epame ya꞉ ko tle gamani sota opa hi halomsiyamale oloma edla oplami hale Yudas, Ga꞉lili dla hallalota mo-woyamuwapo. Ya꞉ mape ya꞉skamu pato depame opa elemsela꞉uwapo. Amasiyama opata ya꞉ye yumulati ya꞉ mate siyamalalo so hapulomata potauwapo. 
ACT.5.38	Epedeme na꞉ koko i malapame wua꞉ye atlema, opa iwolo watle koko hale hamiya. Adipalati, yia꞉ta koko halomsiyamaye oplami tle puana dlepiye, koko ita pa꞉lepe. 
ACT.5.39	Amasiyama yia꞉ta koko halomsiyama iye God tle puma dlepiye, koko ita pogudlowa. Epedeme wua꞉ta yia꞉ye humatlepiye, yia꞉ podallowa. Amasiyama wua꞉ isikimi God mate opahale demama apelepe,” diyo.
ACT.5.40	Epalati dokopala sota Gamaliyel yu dla mikadepe diyo. Epame yia꞉tapo Taiya dle soye ma elempumulaiya, diyo. Epo Taiya dle sota mo-puame ha꞉ha꞉lati yia꞉ opa watle hohopoliya, diyo. Epame hohopolepo gudepame dokopala sota yia꞉ye ma-taiya demama epo atlaiyo, “Wua꞉ matle Yesu hi mate imsiyamiyo,” diyo.
ACT.5.41	Taiya dle sota yia꞉ta Yesu dla mikadepe dle kokota wotiyalle ha natipame ma-tamalemama sisiyemtamalaiyo. 
ACT.5.42	Epame yia꞉ alila hapuloma aiyalma aya dulu dla epo opa aya dulu dla opa watle ka꞉dle yuye imsiyamama Yesuye Godta sale Kelisopo dloweye poka꞉liyo.
ACT.6.1	Alila oloma edla mikadepe dle sota mo-pasatamtaiyo. Amasiyama mikadepe dle so dulu dla Guliki yu yuhalalo sota Hibulu
ACT.6.2	Epalati Taiya dle sota mikadepe dle so hapuloma sisilapo epo atlaiyo, “Di poka꞉dena, God yu atlamsiyama i meleme matle sepeyamatalo so daya ilimsiyamoloweye. 
ACT.6.3	Epedeme wua꞉ dulu dla yimkadulo gadlalo so 7 hohomaiya. Wua꞉ta yia꞉ hohomelepiye, woloma ka꞉ka꞉dle so God ya꞉ Hela꞉dle Sokota poposatilimale tlo hohomelepe. Epame dita opa iwoloye yimkadulo gadlowe oko dla hatitimolowepo. 
ACT.6.4	Amasiyama dia꞉ye isikimi God yu atlamsiyamama inoma sumsiyamolowepo,” diyo.
ACT.6.5	Epalati mikadepe dle so hapulomata yu i dalepame ka꞉pi demama opa 7 iwolo hohomaiyo, Stiben (oplami iye mikadepe dle kokalle halemama Hela꞉dle Sokota pasatepo halaiyo) epo Pilipi epo Plokolos epo Nikanol epo Timon epo Palmenas epo Antiyoka oplami Nikolas. Nikolas iye po-Yu oplami, amasiyama ya꞉ta Yu so God dla mikadepe dle koko tle Yu oplami hi haiyo.
ACT.6.6	Yia꞉ opa 7 iwolo hohopame Taiya dle so hala dla elempuaiyo. Epalati Taiya dle sota opa iwoloye dokopala dla hohopo inoma sumaiyo.
ACT.6.7	Epalati God yuta opa dulu dla ellati mikadepe dle sota Yelusalem mo dulu dla pasatamtaiyo. Epame God ka꞉ epo opa ka꞉ duka dla ha꞉ha꞉lalo so opi mape Yesu dla mikadepe dlalimaiyo.
ACT.6.8	Godta Stiben mate halemama ya꞉ watle itiyamale pato hamiyo. Epalati ya꞉tapo opa dulu dla sela꞉mama ulugiyemale koko patoto halomsela꞉iyo. 
ACT.6.9	Amasiyama Yu so opa opi, Libetini inoma sumalalo aya dla ha꞉ha꞉lalo sota ya꞉ye eliyo. Opa iwoloye Kulene dla ha꞉ha꞉lalo sopo, epo opiye Alesendiliya dla ha꞉ha꞉lalo sopo, epo opiye Kilikiya dla ha꞉ha꞉lalo sopo, epo opiye Asiya dla ha꞉ha꞉lalo sopo. Opa iwolota puame Stiben mate yu topuloliyo. 
ACT.6.10	Amasiyama yia꞉ta yu topulolle dulu dla Stibenta Hela꞉dle Sokota itiyamale tle yukamama opa iwolota yuhalowe api pa꞉iyo.
ACT.6.11	Epalati Stiben mate yu topulolle sota ma hemele tame opa opi ha꞉ha꞉limaiyo, yia꞉ta Stiben hi mate mala-atlamelepo depame. Epalati opa ewolota tame ma mo so dla epo atlamsiyamaiyo, “Di Stibenta batalimale yu God hi mate epo Moses hi mate edla atlamsela꞉la daluwa,” demyaiyo. 
ACT.6.12	Epame opa hapuloma mate epo Yu so dokopala so mate epo aiyalma imalalo so mate yu i dalepame sikemte siyalasiyalademama Stiben hamaiyo. Epame yia꞉ Stiben hamame dokopala sota esemale dla seme hetaiyo. 
ACT.6.13	Yia꞉ edla hetame ha꞉ha꞉lati Stiben koko dla mala-atlamalalo sota epo atlamyaiyo, “Oplami iye di aiyalma ayaye sikemte batalipo atlemde, epo Mosesta aiyalma hatitimale koko dla sikemte batalipo atlemde. 
ACT.6.14	Epame di ma ya꞉ta ipo atla daluwa, ‘Yesu Nasalet oplamita di aiyalma ayaye dokostepo ma Mosesta aiyalma hatitimaleye ma meyelope dlepe’ dla daluwa.”
ACT.6.15	Epalati dokopala so hapulomata ma Stiben watle ompopa꞉mama natilati Stiben mila꞉pita God ya꞉ banakaka oplami mila꞉pi some halla natiyo.
ACT.7.1	Epalati aiyalma aya dokopala oplamita Stiben watle epo atlaiyo, “Opata wa꞉ watle atlamyale koko iye ikadepeta꞉?” diyo.
ACT.7.2	Stiben asiyama dokopala so watle atlemama ipo atlaiyo, “Bapadulo epo adulo, wua꞉ na꞉ yu daliya. Di pato Godta di mama A꞉iblaham watle woyamuwapo, ya꞉ ala Halan mo dla potlalo Mesopotamiya mo dla hallati. 
ACT.7.3	Epedeme Godta A꞉iblaham watle epo atluwapo, ‘Wa꞉ mo mate wa꞉ opa mate melepame na꞉ta wa꞉ watle mo nati-iliwe dla tane,’ duwapo. 
ACT.7.4	Epalati A꞉iblahamta Mesopotamiya meleme ma Halan mo dla halla tauwapo. Epapeleye A꞉iblaham ya꞉ ata polati Godta A꞉iblahamye ma wata wua꞉ta ha꞉ha꞉ mo hema sempuwapo. 
ACT.7.5	God epame A꞉iblaham watle mo hema ta꞉la hale pohamina. Amasiyama Godta A꞉iblaham mate yu itiyamale me-himiwapo, ya꞉ mate epo ya꞉ mamadulo mateta alotle ta꞉la i haloweye. A꞉iblaham ya꞉ ala maseyemala pohimilalo hallati yu i himiwapo.
ACT.7.6	Epame matle Godta ya꞉ watle epo atluwapo, ‘Wa꞉ mamadulota asepe so some mo hale dla tame ha꞉ha꞉lepe. Epalati mo sota yia꞉ye asiyama pa꞉le oko pato dla hatitimelepe. Epalati yia꞉tapo wotiyalle dulu dla ha꞉ha꞉mama 400 sokomoko polollepe. 
ACT.7.7	Amasiyama na꞉ta wa꞉ mamadulo watle wotiyalle hapimha꞉ha꞉ so watle asiyama wotiyalle hamilowepo. Epalati wa꞉ mamadulota mo e melepame ma hema puame na꞉ dla siyele hapimha꞉ha꞉lepe,’ duwapo.
ACT.7.8	Epame Godta A꞉iblaham mate yu itiyapo himimama epo atluwapo, ‘Na꞉tapo wa꞉ mate epo wa꞉ mamadulo mate wua꞉ God halemama wua꞉ mateka꞉pi dla hallowepo. Epalati asiyama wua꞉ta na꞉ dla mikadepe dle koko nati-imama wa꞉ mate epo wa꞉ akimlala mate epo wa꞉ mamadulo hapuloma alotle ha꞉ha꞉lowe so mate kapala kotimha꞉ha꞉lepe,’ duwapo. Epedeme A꞉iblahamta maseyemala Aisek hampame alila 8 pololepo hallati kapala kestauwapo. Epame alotle A꞉iblaham yami Aisekta maseyemala Yokob hampame ya꞉ kapala ma kestauwapo. Epame alotle Yokob mape ya꞉ akimlala 12 ma kapala kotimuwapo. Epeleye Yokob ya꞉ akimlala 12 ewolotapo di elele 12 sitali ha꞉ha꞉po.
ACT.7.9	Epapeleye Yokob ya꞉ akimlala iwolota yia꞉ ei Yosep sikemte elemduwapo. Epammama yia꞉ta yia꞉ ei Yosepye Isip so watle semtlepo depame asiyama mate hamame iwapo, ya꞉tapo edla tame asiyama pa꞉le oko pato dla hallepo depame. 
ACT.7.10	Amasiyama Godta ya꞉ mate halemama wotiyalle koko dulu dla ya꞉ sikemte gademduwapo. Epame Godta Yosep watle ka꞉dle malamale pato hamiwapo. Epeleye Isip so dokopala oplamita koko i natipame Yosep sikemte solotamduwapo. Epammama ya꞉ watle epo atluwapo, ‘Wa꞉tapo na꞉ isili tle oko hamhalemama Isip mo pato wa꞉ta omhallepe. Epame na꞉ aya mape omhallepe,’ duwapo.
ACT.7.11	Epame Isip mo mate Keinan mo mate edla sali silaple patota elemama dayata pa꞉uwapo. Epalati opa edla ha꞉ha꞉le soye dayata pa꞉lati wotiyalle dulu dla ha꞉ha꞉uwapo. Epame di mamadulo mape daya dimi ha꞉ha꞉uwapo. 
ACT.7.12	Amasiyama Yokobta Isip dla daya elale dalepame ya꞉ akimlalaye taiya duwapo, daya halepo depame. Epalati yia꞉ta tame daya halopo pumuluwapo. 
ACT.7.13	Yia꞉ daya halopo pumulaleye mo-pokadlati matle Isip dla daya halomala tamaluwapo. Yia꞉ tame daya halowedeme ha꞉ha꞉lati Yosepta ya꞉ bapadulo watle ya꞉ koko botomastauwapo. Epalati Isip so dokopala oplami mape Yosep ya꞉ asiyadulo koko daluwapo. 
ACT.7.14	Epalati Yosepta yu hamiwapo, ya꞉ a Yokob mate epo ya꞉ asiyadulo mate puame Isip mo dla ha꞉ha꞉lepo depame. Epela dalepame yia꞉ta hapuloma 75 sota pumuluwapo. 
ACT.7.15	Epedeme Yokobta Isip mo dla tame halemama ya꞉ mate ya꞉ akimlala mate medla paliwapo. 
ACT.7.16	Alotle yia꞉ta pallati yia꞉ motoye Sekem mo dla hatiliwedeme halopo tauwapo. Epedeme popliyele ta꞉la iye amka꞉yapa A꞉iblahamta Hamol ya꞉ akimlala watle asiyama mate hauwapo.
ACT.7.17	Alotle Godta A꞉iblaham watle ta꞉la hamilowe yu itiyamale himilita ma-teteka꞉mpulati di mamadulo Isip mo dla ha꞉ha꞉le sota ma-pasatamtauwapo. 
ACT.7.18	Epalati dokopala oplami amko Yosep koko yeliyeleta Isip mo omhaluwapo. 
ACT.7.19	Dokopala oplami ita di mamadulo sikemte alimama yia꞉ dla elemale mate wotiyalle hapimhaluwapo. Epammama ya꞉ yu itiyamale tle di mamadulo yia꞉ owayimlalaye pallipo depame hohopo tame moku dla hatitimduwapo.
ACT.7.20	Epamha꞉ha꞉le oloma edla a꞉ya hale owayemala ka꞉pi hamuwapo, ya꞉ hiye Moses. Amasiyama mama dapahatlope dulu dla Mosesye hemele ya꞉ a aya dulu dla ya꞉ wai mate haluwapo. 
ACT.7.21	Epame mama dapahatlope mo-pokadlati moku dla himiwapo. Epalati Isip dokopala oplami yotita ya꞉ natipo hampame ya꞉ maseyemala depo nomopi iwapo. 
ACT.7.22	Epalati Mosesta ta꞉lati Isip sota ya꞉ye sukulu malamale ka꞉dle imuwapo. Epame ya꞉ta yukamale mate epo motota koko halë mate itiyamale pato halemduwapo.
ACT.7.23	Epame Mosesta 40 sokomoko halale oloma dla ya꞉ solotamuwapo, tame ya꞉ opa Isalael so natilowedeme. 
ACT.7.24	Ya꞉ tamama natilati Isip oplami haleta Isalael oplami haleye yumhalla natipame ya꞉ta asiyama Isip oplami tlo yumuwapo. 
ACT.7.25	Epame Mosesta epo malamduwapo, ‘Na꞉ta Isalael soye wotiyalle dulu tle alikili a꞉ma eleme woyamelepe,’ demduwapo. Amasiyama Isalael soye koko e pomalaha꞉ha꞉na. 
ACT.7.26	Ma alila haleta Isalael so opa dapiyamteta nalatimha꞉ha꞉lati natipame yia꞉ hohomolowedeme tuwame epo atluwapo, ‘Namkadulo, wua꞉ adipalati nalatimha꞉ha꞉ma꞉? Wua꞉ mo hatlope sopo,’ duwapo. 
ACT.7.27+ACT.7.28	Epalati oplami hale ya꞉mkale yumhalaleta Moses polokodemama epo atluwapo, ‘Wa꞉ di dokopala oplamita꞉? Eta di humatlaye. Wa꞉ Isip oplami hale tatla yumuwapo. Epedeme wa꞉ na꞉ ma yumula puo?’ duwapo. 
ACT.7.29	Epalati Mosesta yu i dalepame wota꞉mama Isip mo tle ma Midiya mo dla teletauwapo. Epame Midiya mo dla asepe oplami some halemama a꞉ya hapo akimlala dapiyamte hatitimuwapo.
ACT.7.30+ACT.7.31	Moses Midiya mo dla tame sokomoko 40 pololepo halemama matle Sainai tamali kikiwi isili dla tame sela꞉mama natilati dali upa asiyale dulu dla dlapata ullumhalla natipo sikemte yeluwapo. Amasiyama dlapa dulu edla God ya꞉ banakakata haluwapo. Epapeleye Moses ya꞉ solotamuwapo, dlapaye kulume tuwame natilowedeme. Ya꞉ epo tumhallati Lodta ya꞉ watle epo atluwapo, 
ACT.7.32	‘Na꞉ye wa꞉ mamadulo A꞉iblaham epo Aisek epo Yokob yia꞉ Godpo,’ duwapo. Epalati Mosesta wota꞉le mate esesalalimama matle ponatina. 
ACT.7.33	Epalati Lodta ya꞉ watle ma epo atluwapo, ‘Ta꞉la wa꞉ta halaye aiyalmapo. Epedeme wa꞉ hete alisisi uptimane. 
ACT.7.34	Na꞉ na꞉ opata Isip mo dla wotiyalle hamha꞉ha꞉ye ma-natiwa. Epame yia꞉ta wotiyalle dulu dla ha꞉ha꞉mama a꞉lemha꞉ha꞉uwaye ma-daluwa. Epalati yia꞉ eleme Isip mo tle alikili a꞉ma woyamolowedeme mala. Epedeme na꞉ wata wa꞉ye Isip mo dla ma ilamtane dema.’
ACT.7.35	Epedeme Moses iye ka꞉yapa Isalael sota allimama, ‘Wa꞉ pta di dokopala oplamita꞉?’ duwapo. Epeleye Godta Moses hatlo me-iye mo-sauwapo, ya꞉tapo Isalael so dokopala oplami halemama yia꞉ye wotiyalle dulu tle alikili a꞉ma eleme woyamelepo depame. Epapedeme dali upa asiyale dulu dla dlapata hamdemhalemama Godta ya꞉ banakaka oplami tle koko i atluwapo. 
ACT.7.36	Epedeme Mosesta ya꞉ opa Isip mo tle eleme woyamolowedeme ulugiyemale koko patoto Isip mo dla epo Omteka꞉pele Kaula dla halomuwapo. Epame ya꞉ opa Isalael so eleme Isip mo tle alikili dla woyamuwapo. Epo ya꞉tapo dalupa dulu dla ya꞉ opa eleme sokomoko 40 dulu dla sela꞉mama ulugiyemale koko patoto opi halomsela꞉uwapo.
ACT.7.37	Epedeme Moses hatlo me-ita ya꞉ opa Isalael so watle epo atluwapo, ‘Godta wua꞉ yilo wua꞉ dulu tle ya꞉ yu molo atlalo oplami hale na꞉ sepele hulumelepe,’ duwapo. 
ACT.7.38	Epame Moses hatlo me-ita di mamadulo mate dalupa dulu dla sela꞉uwapo. Ya꞉ epame Sainai tamali di dla hetame hallati Lod ya꞉ banakakata ya꞉ mate yukamhalemama ya꞉ watle pasakalo yu hapiwapo. Epalati ya꞉tapo ma di watle hapiwapo.
ACT.7.39	Amasiyama di mamadulota Moses allimama ya꞉ yu dla posalladena. Epame yia꞉ solotamuwapo, Isip mo dla ma ilame tlowedeme. 
ACT.7.40	Epammama Moses ala tamali di dla me-hallati opata Moses ya꞉ bapa A꞉lon watle epo atlamyeuwapo, ‘Mosesta dia꞉ye Isip mo tle elempuwapo. Amasiyama di podimalamana, ya꞉ hadima tauwo? Epedeme wa꞉ di elemtlowe godye mita꞉pene,’ demyeuwapo. 
ACT.7.41	Epapele tle Isalael sota biskapa god aliya sepele yia꞉ dota mita꞉puwapo. Epo yia꞉ta biskapa god mita꞉ple mogudlati sisiyele pato mate ya꞉ hi di dla ta꞉demama daya douwapo. Epame ya꞉ dla siyele hamimama aliya halo poyuwapo. 
ACT.7.42	Epalati Godta koko i natipame alimama yia꞉ tle kostauwapo. Epapele dulu dla yia꞉ta omapla di dla popa꞉ alisisi tamili epapele mate epo sali epapele mate dla god some yia꞉ dla sisiyemha꞉ha꞉lati Godta yia꞉ye pohumatlana. Epedeme God tle yu hapame molo atlalo oplami haleta koko hema ipo atluwapo,
ACT.7.42	‘Isalael so, wua꞉ daliya.
ACT.7.42	Wua꞉ dalupa dulu dla sokomoko 40 dulu dla siyamama
ACT.7.42	na꞉ watle namkale dle alisisi mate epo aliya mate poyupo halopimduwa?
ACT.7.42	Hao. Wua꞉ na꞉ dla pohapimdena.
ACT.7.42	Amasiyama wua꞉ biskapa god dla hapimduwapo.
ACT.7.43	Epame wua꞉ aiyalma aya tlukata halëye momka꞉tipo siyamduwapo.
ACT.7.43	Epo wua꞉ta aya dulu edla siyele ta꞉demduwaye, na꞉ dla pa-amdena.
ACT.7.43	Amasiyama wua꞉ta dota mimita꞉ple biskapa god Molok mate Lepan mate dla ammduwapo.
ACT.7.43	Epedeme na꞉tapo wua꞉ye wua꞉ mo ikadepe tle ma mo pateka꞉mu Babilon seme a꞉ma dla dodolomsallowepo,’ duwapo.
ACT.7.44	Epedeme aiyalma aya tlukata halë iye Godta Moses watle hane duwapo. Epalati opata God yu tle dolumama aya e hauwapo. Epame di mamadulota dalupa dulu dla aiyalma aya i hamsiyamama ‘Godta dia꞉ mate halema,’ demduwapo. 
ACT.7.45	Epame alotle ma Yosuwata di mamadulo eleme mo i hala pumama aiyalma aya e mate hampuwapo. Epalati Godta di mamadulo gademama mo so hapulomaye mo itle alikili dla posaluwapo. Epo yia꞉ta mo hema aiyalma aya tlukata halë e mate hame ha꞉ha꞉mama Deibidi oloma dla puame umuwapo. 
ACT.7.46	Epame Godta Deibidiye sikemte bokotiyapo malamhaluwapo. Epalati Deibidita aiyalma aya amko haloweye God watle dalla natiwapo. 
ACT.7.47	Amasiyama aya amko ikadepeye ya꞉ta pohana. Ya꞉ maseyemala Solomonta hauwapo.
ACT.7.48	Epapele tlope di pato Godye opata dota halë aya dla pohalasemde. Epedeme God tle yu hapame molo atlalo oplamita God koko dla epo atluwapo,
ACT.7.49	‘Pepele dimoye na꞉ta polomama ompollalo mopo.
ACT.7.49	Epame ta꞉lamo patoye na꞉ heteta kellepo pollalo mopo.
ACT.7.49	Epedeme wua꞉ta na꞉ aya halowe ka꞉deta꞉?
ACT.7.49	Epame wua꞉ dla itiyamale elema꞉, na꞉ta hedepo pollowe mo dinapoloweye?
ACT.7.50	Amasiyama wua꞉ malamaiya,
ACT.7.50	koko hapulomaye na꞉ta mimita꞉puwapo,’ duwapo.”
ACT.7.51	Stiben ya꞉ yu mosukulu dla ma dokopala so watle epo atluwapo, “Wua꞉ dupa kokalalimale sopo. Epedeme wua꞉ dupa dulu dla mikadepe dle hawapo. Epame God yu dallowe dla molo hihimomale sopo. Epedeme wua꞉ mamadulota Hela꞉dle Sokota imale allimama hamastauwaye, wua꞉ ma mepammama Hela꞉dle Sokota imale allimama hamastapo. 
ACT.7.52	Epame wua꞉ mamadulota Hela꞉dle Sokota imale allimama God tle yu hapame molo atlalo so opa hapulomaye wotiyalle hapiwapo. Epammama God tle yu hapame molo atlalo so opita atlemama ‘Ka꞉dle Oplami Kelisoye alotle pulupe,’ dlati wua꞉ mamadulota opa ewoloye mo-potimuwapo. Epapele dulu dla Ka꞉dle Oplami Kelisoye mo-puwapo. Amasiyama wua꞉ta ya꞉ye elemama ya꞉ yumuluwedeme yu ka꞉depame mo-yumuwapo. 
ACT.7.53	Epo wua꞉tapo God ya꞉ banakaka sota Godta aiyalma hatitimale wua꞉ watle hapilati wua꞉ta e podolumalalo hamastauwapo.”
ACT.7.54	Epalati dokopala sota Stiben yu dalepame sikemte siyalasiyalademama yia꞉ a꞉pe tetekelalimyaiyo. 
ACT.7.55	Epapalati Stibenta Hela꞉dle Sokota pasatlati Pepele di dla natitepo Godta hela꞉dle dulu dla Yesuta ya꞉ A dowala tiyama dla halla natiyo. 
ACT.7.56	Epalati dokopala so watle epo atlaiyo, “Natiya. Na꞉ Pepele dimo kokolomaye gowalastepo ellati Opa Yamita God dowala tiyama dla halla natima,” diyo.
