MAT.1.1	Este libro es el registro de Jesús el Mesías
ACT.2.15	Estos hombres no están ebrios, como ustedes insinúan. ¡Noten que apenas son las nueve de la mañana! 
ACT.2.16	Lo que está sucediendo es lo que fue predicho por el profeta Joel: 
ACT.2.17	‘Dios dice: En los últimos días, derramaré mi Espíritu sobre toda la gente. Sus hijos e hijas profetizarán. Sus jóvenes tendrán visiones, y sus ancianos tendrán sueños. 
ACT.2.18	En esos días derramaré mi Espíritu sobre mis siervos —hombres y mujeres por igual— y profetizarán. 
ACT.2.19	Y haré maravillas arriba en los cielos y señales abajo en la tierra: sangre, fuego y nubes de humo. 
ACT.2.20	El sol se oscurecerá, y la luna se pondrá roja como la sangre antes de que llegue el día grande y glorioso del Señor. 
ACT.2.21	Pero todo el que invoque el nombre del Señor será salvo.”’
ACT.2.22	“Pueblo de Israel, escuchen esto: como bien lo saben, Jesús de Nazaret fue un hombre confirmado por Dios ante ustedes por medio de los milagros poderosos y las señales que Dios hizo por medio de él. 
ACT.2.23	Dios, sabiendo de antemano lo que sucedería, siguió su plan y resolvió entregarlo en manos de ustedes. Por mano de hombres malvados, ustedes lo mataron, clavándolo en una cruz. 
ACT.2.24	Pero Dios lo levantó nuevamente a la vida, libertándolo de la carga de la muerte, porque la muerte no tuvo poder para tenerlo prisionero.
ACT.2.25	“David dice de él: ‘Vi al Señor siempre conmigo. No seré sacudido, porque él está aquí a mi lado. 
ACT.2.26	¡Con razón mi corazón está contento, y mi lengua grita sus alabanzas! Mi cuerpo descansa en esperanza. 
ACT.2.27	Pues tú no dejarás mi alma entre los muertos ni permitirás que tu Santo se pudra en la tumba. 
ACT.2.28	Me has mostrado el camino de la vida y me llenarás con la alegría de tu presencia
ACT.2.29	“Mis hermanos y hermanas, permítanme decirles claramente que nuestro antepasado David murió y fue sepultado, y su tumba está aquí con nosotros hasta el día de hoy. 
ACT.2.30	Pero él era un profeta, y sabía que Dios había prometido bajo juramento poner en su trono a uno de sus descendientes. 
ACT.2.31	David vio lo que sucedería y habló sobre la resurrección de Cristo, porque Cristo no fue abandonado en su tumba, ni sufrió descomposición.
ACT.2.32	“Dios ha levantado a este Jesús de entre los muertos, y todos nosotros somos testigos de eso. 
ACT.2.33	Ahora él ha sido exaltado a la diestra de Dios y ha recibido del Padre al Espíritu Santo, el cual prometió, y ha derramado lo que ustedes están viendo y oyendo. 
ACT.2.34	Porque David no ascendió al cielo, pero dijo: ‘El Señor dijo a mi Señor; siéntate a mi diestra, 
ACT.2.35	entretanto que pongo a tus enemigos por estrado de tus pies.”’
ACT.2.36	Ahora esté todo Israel convencido de esto: ¡Dios ha puesto a este Jesús, a quien ustedes mataron en una cruz, como Señor y Mesías!”
ACT.2.37	Cuando la gente escuchó esto, sintieron remordimiento de conciencia.
ACT.2.38	“¡Arrepiéntanse!” les dijo Pedro. “Todos deben bautizarse en el nombre de Jesús para perdón de sus pecados, y recibirán el don del Espíritu Santo. 
ACT.2.39	Esta promesa es para ustedes, para sus hijos, y para todos los extranjeros. Para todo aquél a quien el Señor nuestro Dios llama.”
ACT.2.40	Luego Pedro siguió hablando, dándoles más evidencias. Les advirtió: “Sálvense de esta generación perversa.” 
ACT.2.41	Aquellos que aceptaban lo que él decía, eran bautizados, sumándose así cerca de tres mil personas al grupo de creyentes en ese día.
ACT.2.42	Ellos se comprometieron a seguir lo que los apóstoles les habían enseñado, y a la hermandad de los creyentes, “partiendo el pan”
ACT.2.43	Todos estaban asombrados, y a través de los apóstoles se realizaban muchos milagros y señales. 
ACT.2.44	Y todos los creyentes estaban juntos y compartían todo lo que tenían. 
ACT.2.45	Ellos vendían sus propiedades y pertenencias, compartiendo las ganancias con todos, en cuanto lo necesitaban. 
ACT.2.46	Día tras día siguieron reuniéndose en el templo, y comían juntos en sus casas. Disfrutaban de las comidas con humildad y alegría. Alababan a Dios, y todos pensaban bien de ellos. 
ACT.2.47	Cada día el Señor agregaba al grupo aquellos que iban siendo salvos.
ACT.3.1	Pedro y Juan iban de camino, subiendo hacia el templo, a la hora de la oración de la tarde, cerca de las 3 p.m. 
ACT.3.2	Y habían llevado allí a un hombre que había estado paralítico desde su nacimiento. Todos los días lo ponían allí, junto a la puerta del templo que se llamaba “La Hermosa,” para que pudiera pedir limosna a las personas que entraban al templo. 
ACT.3.3	Entonces este hombre vio a Pedro y a Juan cuando iban a entrar al templo, y les pidió dinero. 
ACT.3.4	Entonces Pedro lo miró fijamente, y Juan también.
ACT.3.4	“¡Míranos!” le dijo Pedro. 
ACT.3.5	Entonces el hombre paralítico puso toda su atención en ellos, esperando recibir algo. 
ACT.3.6	“No tengo plata ni oro,” le dijo Pedro, “pero te daré lo que tengo: En el nombre de Jesucristo de Nazaret, ¡camina!”
ACT.3.7	Entonces Pedro lo tomó por la mano derecha y lo ayudó a levantarse. Y de inmediato sus pies y rodillas se volvieron fuertes. 
ACT.3.8	Y el hombre se puso en pie de un brinco y comenzó a caminar. Luego entró con ellos al templo, caminando y saltando, y alabando a Dios. 
ACT.3.9	Todos los que estaban allí lo vieron caminando y alabando a Dios. 
ACT.3.10	Entonces lo reconocieron como el mendigo que solía sentarse junto a la puerta del templo, La Hermosa, y estaban sorprendidos y maravillados ante lo que le había sucedido a este hombre. 
ACT.3.11	Entonces él se agarró fuertemente de Pedro y Juan mientras todos corrían por el Pórtico de Salomón
ACT.3.12	Y cuando Pedro vio esta oportunidad, les dijo: “Pueblo de Israel, ¿por qué están sorprendidos por lo que le ha sucedido a este hombre? ¿Por qué nos miran como si hubiéramos hecho caminar a este hombre por nuestro propio poder o fe? 
ACT.3.13	El Dios de Abraham, Isaac, y Jacob—el Dios de nuestros antepasados—ha glorificado a Jesús, su siervo. Él fue al que ustedes traicionaron y rechazaron en presencia de Pilato, incluso después de que Pilato había decidido soltarlo. 
ACT.3.14	Ustedes rechazaron a Aquél que es Santo y Justo, y exigieron que dejaran libre a un asesino. 
ACT.3.15	Ustedes mataron al Autor de la vida, Aquél a quien Dios levantó de los muertos, y nosotros somos testigos de esto. 
ACT.3.16	Por medio de la fe en el nombre de Jesús este hombre fue sanado. Ustedes ven a este hombre aquí, y lo conocen. Es por la fe en Jesús que este hombre ha recibido sanidad completa aquí delante de todos ustedes.
ACT.3.17	“Ahora sé, hermanos y hermanas, que ustedes hicieron esto por ignorancia, así como sus dirigentes. 
ACT.3.18	Pero Dios cumplió lo que había prometido: que su Mesías iba a sufrir. 
ACT.3.19	Ahora, arrepiéntanse, y cambien sus caminos, para que sus pecados puedan ser limpiados, a fin de que el Señor pueda enviarles oportunidad para sanarse y restaurarse, 
ACT.3.20	y envíe a Jesús, el Mesías designado para ustedes. 
ACT.3.21	Porque él debe permanecer en el cielo hasta el momento en que todo sea restaurado, como Dios lo anunció a través de sus santos profetas hace mucho tiempo.
ACT.3.22	“Moisés dijo: ‘El Señor tu Dios levantará entre tus hermanos a un profeta como yo. A él lo escucharás. 
ACT.3.23	Cualquiera que no lo escuche será eliminado del pueblo por completo.’ 
ACT.3.24	A partir de Samuel, todos los profetas profetizaron acerca de estos días. 
ACT.3.25	Ustedes son hijos de los profetas, y del acuerdo
ACT.3.26	Dios preparó a su siervo y lo envió primero a ustedes, para bendecirlos al convertirlos de sus malos caminos.”
ACT.4.1	Mientras hablaban a la gente, los sacerdotes, el capitán del templo y los saduceos llegaron donde ellos estaban. 
ACT.4.2	Estaban enojados porque ellos estaban enseñándole a la gente, diciéndoles que por medio de Jesús hay resurrección de la muerte. 
ACT.4.3	Entonces los arrestaron y los pusieron bajo custodia hasta el día siguiente, pues ya era de noche. 
ACT.4.4	Pero muchos de los que habían escuchado el mensaje lo creyeron, y el número total de creyentes aumentó hasta cerca de cinco mil.
ACT.4.5	El día siguiente, los gobernantes, los ancianos y los líderes religiosos se reunieron en Jerusalén. 
ACT.4.6	E incluyeron al Sumo Sacerdote Anás, Caifás, Juan, Alejandro y a otros miembros de la familia de sacerdotes. 
ACT.4.7	Y trajeron a Pedro y a Juan delante de ellos, y les preguntaron: “¿Con qué poder o autoridad han hecho esto?”
ACT.4.8	Entonces Pedro, lleno del Espíritu Santo, les respondió. “Gobernantes del pueblo, y ancianos: 
ACT.4.9	¿Se nos está interrogando por un bien que se le hizo a un hombre que no podía hacer nada por sí mismo, y cómo fue sanado? 
ACT.4.10	Si es así, todos ustedes deben saber, y todo el pueblo de Nazaret también, que fue en el nombre de Jesucristo de Nazaret, al que ustedes mataron en una cruz y a quien Dios levantó de los muertos. Es gracias a él que este hombre está en pie delante de ustedes, completamente sanado. 
ACT.4.11	Él es la piedra que ustedes los constructores rechazaron, pero ha sido puesta como piedra angular
ACT.4.12	No hay salvación en ningún otro; no hay otro nombre debajo del cielo, dado a la humanidad, que pueda salvarnos.”
ACT.4.13	Cuando vieron la confianza de Pedro y Juan, y se dieron cuenta de que eran hombres sin instrucción, hombres comunes, se sorprendieron mucho. También reconocieron a los demás compañeros de Jesús. 
ACT.4.14	Y como veían al hombre que había sido sanado justo ahí junto a ellos, no tuvieron nada que decir en respuesta a lo que había sucedido.
ACT.4.15	Entonces les dieron orden de esperar fuera del concilio mientras debatían el asunto entre ellos. 
ACT.4.16	“¿Qué debemos hacer con estos hombres?” preguntaron. “No podemos negar que por medio de ellos ha ocurrido un milagro importante. Todos los que viven aquí en Jerusalén saben de ello. 
ACT.4.17	Pero para evitar que se difunda mucho más entre la gente, debemos amenazarlos para que no vuelvan a hablarle a nadie en este nombre
ACT.4.18	Entonces los llamaron para que entraran nuevamente y les dieron orden de no volver a hablar o enseñar en el nombre de Jesús. 
ACT.4.19	Pero Pedro y Juan respondieron: “Decidan ustedes si es correcto ante los ojos de Dios obedecerlos a ustedes antes que a él. 
ACT.4.20	¡No podemos dejar de hablar sobre lo que hemos visto y oído!”
ACT.4.21	Después de proferir más amenazas contra ellos, los dejaron ir. No pudieron resolver cómo podían castigarlos porque todos glorificaban a Dios por lo que había ocurrido. 
ACT.4.22	Porque el hombre que había recibido este milagro tenía más de cuarenta años de edad. 
ACT.4.23	Después de que los discípulos fueron liberados, fueron donde estaban otros creyentes y les contaron todo lo que los jefes de los sacerdotes y los ancianos les habían dicho. 
ACT.4.24	Cuando estos oyeron lo que había sucedido, oraron juntos a Dios:
ACT.4.24	“Señor, tú hiciste el cielo, la tierra y el mar, y todo lo que hay en ellos. 
ACT.4.25	Tú hablaste por medio del Espíritu Santo a través de David, nuestro padre y tu siervo, diciendo: ‘¿Por qué se enojaron los pueblos de otras naciones? ¿Por qué conspiran insensatamente contra mí? 
ACT.4.26	Los reyes de la tierra se prepararon para la guerra
ACT.4.27	“¡Ahora esto en verdad ha sucedido aquí, en esta misma ciudad! Tanto Herodes como Poncio Pilato, junto con los extranjeros y el pueblo de Israel, unidos todos contra el Santo, tu santo siervo Jesús, a quien tú ungiste como Mesías. 
ACT.4.28	Ellos hicieron todo lo que tú ya habías decidido porque tú tuviste el poder y la voluntad para hacerlo.
ACT.4.29	“Ahora Señor: ¡mira todas sus amenazas contra nosotros! Ayuda a tus siervos a predicar tu palabra con valor. 
ACT.4.30	Y que al ejercer tu poder para sanar, las señales y milagros sean hechos en el nombre de tu santo siervo Jesús.”
ACT.4.31	Cuando terminaron de orar, la edificación donde estaban reunidos tembló. Y todos ellos fueron llenos del Espíritu Santo, y predicaban con valor la palabra de Dios. 
ACT.4.32	Todos los creyentes tenían un mismo pensar y un mismo sentir. Ninguno de ellos consideraba nada como suyo sino que compartían todas las cosas unos con otros. 
ACT.4.33	Los apóstoles daban su testimonio respecto a la resurrección del Señor Jesús con gran poder, y Dios los bendecía a todos en gran manera. 
ACT.4.34	Y ninguno de ellos necesitaba nada porque los que tenían tierras o propiedades las vendieron. 
ACT.4.35	Entonces tomaron las ganancias y las llevaron a los apóstoles para compartirlas con los que tenían necesidad. 
ACT.4.36	José, al que los apóstoles llamaban Bernabé (que quiere decir “hijo de la consolación”), era un Levita, nativo de Chipre. 
ACT.4.37	Este vendió un campo que era suyo. Luego trajo el dinero y lo presentó a los apóstoles.
ACT.5.1	Había un hombre llamado Ananías, que vendió una propiedad junto con su esposa, Safira. 
ACT.5.2	Él guardó para sí parte del dinero que recibieron, y llevó el resto a los apóstoles. Y su esposa sabía lo que él estaba haciendo.
ACT.5.3	Entonces Pedro le preguntó: “Ananías, ¿por qué Satanás ha entrado a tu corazón para mentir al Espíritu Santo y reservarte parte del dinero de la tierra que vendiste? 
ACT.5.4	Mientras tuviste la tierra, ¿no te pertenecía? Y después que la vendiste ¿no tenías aun el control sobre lo que hacías con el dinero? ¿Por qué decidiste hacer esto? ¡No le has mentido a los hombres sino a Dios!”
ACT.5.5	Y al oír estas palabras, Ananías cayó al suelo y murió. Y todos los que oyeron lo que había sucedido estaban horrorizados. 
ACT.5.6	Algunos de los jóvenes se levantaron y lo envolvieron en un sudario. Luego lo sacaron de ahí y lo enterraron.
ACT.5.7	Cerca de tres horas después llegó su esposa, sin saber lo que había sucedido. 
ACT.5.8	Pedro le preguntó: “Dime, ¿vendiste la tierra por este precio?”
ACT.5.8	“Sí, ese fue el precio,” respondió ella.
ACT.5.9	Entonces Pedro le dijo: “¿Cómo pudieron ponerse de acuerdo para engañar
ACT.5.10	Y de inmediato ella cayó al suelo y murió a los pies de Pedro. Entonces los jóvenes entraron nuevamente y la encontraron muerta, así que la sacaron de allí y la sepultaron junto a su esposo. 
ACT.5.11	Y se difundió un gran temor en toda la iglesia, así como entre todos aquellos que oían lo que había sucedido.
ACT.5.12	Y se llevaban a cabo muchas señales milagrosas entre el pueblo a través de los apóstoles. Y todos los creyentes solían reunirse en el pórtico de Salomón
ACT.5.13	Ningún otro se atrevía a unirse a ellos aunque eran respetados en gran manera. 
ACT.5.14	Sin embargo, muchos hombres y mujeres comenzaron a creer en el Señor. 
ACT.5.15	Como resultado de ello, la gente traía a los enfermos a las calles y los acostaban allí en sus camas y alfombrillas para que la sombra de Pedro cayera sobre ellos al pasar por ahí
ACT.5.16	Y venían multitudes de los pueblos de Jerusalén, trayendo a sus enfermos y endemoniados. Y todos eran sanados.
ACT.5.17	No obstante, el sumo sacerdote y los que estaban con él (que eran Saduceos) estaban muy celosos y decidieron intervenir. 
ACT.5.18	Entonces arrestaron a los apóstoles y los metieron a la cárcel pública. 
ACT.5.19	Pero durante la noche, un ángel del Señor abrió las puertas de la prisión y los hizo salir. 
ACT.5.20	“¡Vayan al templo y cuenten a la gente todas las cosas acerca de este nuevo estilo de vida!” les dijo. 
ACT.5.21	Entonces ellos hicieron como el ángel les dijo y fueron al templo, cerca del amanecer, y comenzaron a enseñar.
ACT.5.21	Entonces el sumo sacerdote y sus seguidores convocaron una reunión de concilio con todos los líderes de Israel. Y mandaron a buscar a los apóstoles a la prisión. 
ACT.5.22	Pero cuando los oficiales fueron a la prisión, no pudieron encontrarlos, así que regresaron y dijeron al concilio: 
ACT.5.23	“Encontramos la prisión cerrada con llave y con guardias en sus puertas. Pero cuando les pedimos que nos abrieran, no encontramos a nadie adentro.”
ACT.5.24	Así que cuando el capitán de la guardia del templo y los jefes de los sacerdotes oyeron esto, quedaron totalmente desconcertados, y se preguntaban qué estaba sucediendo. 
ACT.5.25	Entonces alguien entró y dijo: “¡Miren, los hombres que ustedes metieron en la prisión están ahí en el templo enseñándole a la gente!”
ACT.5.26	Entonces el capitán fue con sus guardias y los trajo adentro, pero no a la fuerza, porque temían que la gente los apedreara. 
ACT.5.27	Los apóstoles fueron llevados adentro y los hicieron permanecer en pie frente al concilio.
ACT.5.28	“¿Acaso no les dimos orden de no enseñar en este nombre?” preguntó el Sumo Sacerdote, con tono exigente. “¡Miren, han saturado a toda Jerusalén con su enseñanza, y ahora ustedes tratan de culparnos por la muerte de él!”
ACT.5.29	Pero Pedro y los apóstoles respondieron: necesitamos obedecer a Dios antes que a los hombres. 
ACT.5.30	El Dios de nuestros antepasados levantó a Jesús de los muertos, al que ustedes mataron, colgándolo en una cruz. 
ACT.5.31	Dios lo exaltó a una posición de honor, a su diestra, como Príncipe y Salvador, como una forma de traer arrepentimiento a Israel, y para perdón de pecados. 
ACT.5.32	Nosotros somos testigos de lo que sucedió, y del mismo modo lo es el Espíritu Santo, a quien Dios ha dado a aquellos que le obedecen.”
ACT.5.33	Y cuando el concilio escuchó esto, se pusieron furiosos y querían matarlos. 
ACT.5.34	Pero entonces uno de los miembros del concilio se levantó para hablar. Era Gamaliel, un fariseo y doctor de la ley que era respetado por todos. Él ordenó que los apóstoles salieran por un momento.
ACT.5.35	Entonces Gamaliel se dirigió al concilio: “Líderes de Israel, tengan cuidado con lo que planean hacerles a estos hombres. 
ACT.5.36	Hace un tiempo Teudas quiso hacerse famoso, y cerca de cuatrocientos hombres se le unieron. Fue asesinado y todos los que lo seguían quedaron dispersos y no lograron nada. 
ACT.5.37	Luego, después de él, Judas de Galilea vino también durante el tiempo del censo, y logró atraer algunos seguidores. Él también murió, y aquellos que lo escuchaban quedaron dispersos. 
ACT.5.38	Del mismo modo, en este caso, yo recomiendo que dejen en paz a estos hombres, y que los dejen ir. Si lo que ellos están planeando, o lo que están haciendo viene de sus propias ideas humanas, entonces lograrán derrota. 
ACT.5.39	Pero si viene de Dios, ni siquiera ustedes podrán derrotarlos. ¡Incluso podrían terminar ustedes mismos peleando contra Dios!”
ACT.5.40	Entonces ellos aceptaron lo que él dijo. Así que llamaron a los apóstoles para que entraran nuevamente, los mandaron a azotar, y les ordenaron que no dijeran nada en el nombre de Jesús. Luego los dejaron ir. 
ACT.5.41	Los apóstoles salieron del concilio, felices por ser considerados dignos de padecer afrenta por causa del nombre de Jesús. 
ACT.5.42	Y cada día seguían enseñando y proclamando a Jesús como el Mesías, en el templo y de casa en casa.
ACT.6.1	Durante este tiempo, cuando el número de creyentes crecía rápidamente, los creyentes que hablaban en idioma griego comenzaron a discutir con los creyentes que hablaban en idioma Arameo
ACT.6.2	Entonces los doce apóstoles convocaron una reunión de todos los creyentes y les dijeron: “No es apropiado que nosotros dejemos de predicar la palabra de Dios por servir las mesas. 
ACT.6.3	Hermanos, elijan entre ustedes a siete hombres fieles, llenos del Espíritu y de sabiduría. Nosotros les entregaremos esta responsabilidad a ellos. 
ACT.6.4	Nosotros mismos dedicaremos toda nuestra atención a la oración y al ministerio de la predicación de la palabra.”
ACT.6.5	Todos estuvieron contentos con este acuerdo, y eligieron a Esteban, (un hombre lleno de fe en Dios y del Espíritu Santo), Felipe, Prócoro, Nicanor, Timón, Parmenas, and Nicolás, (quien era originalmente un judío de Antioquía que se había convertido). 
ACT.6.6	Estos hombres fueron presentados a los apóstoles, quienes oraron y pusieron sus manos sobre ellos para bendecirlos. 
ACT.6.7	La palabra de Dios seguía siendo esparcida, y el número de discípulos en Jerusalén aumentó grandemente, incluyendo a un gran número de sacerdotes que se comprometieron a creer en Jesús.
ACT.6.8	Esteban, lleno de gracia y del poder de Dios, realizaba milagros maravillosos entre el pueblo. 
ACT.6.9	Pero algunos comenzaron a discutir con él. Eran de la sinagoga llamada “de los libertos,”
ACT.6.10	Pero estas personas no podían enfrentarse a la sabiduría de Esteban ni al Espíritu con el que hablaba. 
ACT.6.11	Así que sobornaron a algunos hombres para que dijeran: “¡Hemos oído que este hombre dice blasfemias contra Moisés, y también contra Dios!”
ACT.6.12	Y estos hombres incitaron al pueblo, y junto con los ancianos y los maestros de la ley, fueron a arrestarlo. Luego lo llevaron ante el concilio, 
ACT.6.13	y llamaron falsos testigos para que testificaran en su contra, diciendo: “este hombre siempre está difamando el santo templo
ACT.6.14	Lo hemos oído decir que este Jesús de Nazaret destruirá el templo y cambiará las leyes
ACT.6.15	Y todos los que estaban sentados en el concilio miraban atentamente a Esteban, y su rostro brillaba como el rostro de un ángel.
ACT.7.1	“¿Son ciertas estas acusaciones?” preguntó el sumo sacerdote.
ACT.7.2	“¡Hermanos y padres, escúchenme!” respondió Esteban. “Dios apareció en su gloria a nuestro padre Abrahán, cuando vivía en Mesopotamia, antes de que se mudara a Harán.
ACT.7.3	“Dios le dijo: ‘Deja tu tierra y tu parentela, y vete a la tierra que yo te mostraré.’ 
ACT.7.4	Y Abrahán se marchó de esa tierra de los Caldeos y vivió en Harán. Después de la muerte de su padre, Dios lo envió aquí a este país donde ahora viven ustedes. 
ACT.7.5	Dios no le dio a Abrahán una herencia aquí, ni siquiera un metro cuadrado. Pero Dios le prometió a Abrahán que le daría a él y a sus descendientes la posesión de la tierra, aunque no tenía hijos. 
ACT.7.6	También Dios le dijo que sus descendientes vivirían en un país extranjero y que allí serían tomados como esclavos y maltratados durante cuatrocientos años. 
ACT.7.7	Luego Dios dijo: ‘Yo castigaré a la nación que los tome como esclavos. Y al final saldrán de allí y vendrán aquí a adorarme.’ 
ACT.7.8	Dios también le dio a Abrahán el pacto de la circuncisión
ACT.7.9	“Los patriarcas, quienes estaban celosos de José, lo vendieron como esclavo en Egipto. Pero Dios estaba con él, 
ACT.7.10	y lo rescató de todos sus problemas. Le dio sabiduría y lo ayudó a ganar el favor del Faraón, quien lo puso como gobernador sobre Egipto y sobre la casa real.
ACT.7.11	“Entonces hubo una gran hambruna en todo Egipto y Canaán, causando terrible miseria y nuestros padres no tenían alimento. 
ACT.7.12	Cuando Jacob escuchó que había grano en Egipto, envió a nuestros antepasados a hacer una primera visita. 
ACT.7.13	Pero durante su segunda visita, José les reveló a sus hermanos quién era, y el Faraón descubrió el origen familiar de José. 
ACT.7.14	Entonces José envió a buscar a su padre y a todos sus parientes: Setenta y cinco, en total. 
ACT.7.15	Así que Jacob viajó hacia Egipto, y murió allí, como también nuestros antepasados. 
ACT.7.16	Sus cuerpos fueron traídos de regreso a Siquem y fueron puestos en la tumba que Abrahán había comprado con plata de los hijos de Jamor, en Siquem.
ACT.7.17	“Cuando se acercaba el tiempo para el cumplimiento de la promesa que Dios le había hecho a Abrahán, el número de los habitantes de Egipto aumentó. 
ACT.7.18	Y subió un nuevo rey al trono, que no conocía de José. 
ACT.7.19	Este rey se aprovechó de nuestro pueblo y trató mal a nuestros antepasados, obligándolos a abandonar a sus bebés para que murieran. 
ACT.7.20	Fue en este tiempo cuando nació Moisés. Era un niño hermoso, y durante tres meses recibió cuidado en la casa de su padre. 
ACT.7.21	Cuando llegó el momento de ser abandonado, la hija del Faraón lo rescató y cuidó de él como su propio hijo.
ACT.7.22	“Moisés recibió instrucción en todas las áreas del conocimiento conforme a los Egipcios, y se convirtió en un gran orador y líder. 
ACT.7.23	Sin embargo, cuando tenía cuarenta años de edad, decidió visitar a sus parientes, los israelitas. 
ACT.7.24	Y vio a uno de ellos que era maltratado, por lo cual intervino para defenderlo. Entonces, tomó venganza en favor del hombre y mató al egipcio. 
ACT.7.25	Moisés pensaba que sus hermanos, los israelitas, verían que Dios los estaba rescatando a través de él, pero no lo vieron así. 
ACT.7.26	Al día siguiente, cuando llegó, dos israelitas estaban peleando. Entonces trató de hacerlos reconciliar para que dejaran de pelear. ‘¡Señores! ¡Ustedes son hermanos!’ les dijo. ‘¿Por qué se atacan el uno al otro?”
ACT.7.27	“Pero el hombre que había comenzado la pelea empujó a Moisés. “¿Quién te puso como guardián de nosotros? ¿Acaso ahora eres nuestro juez?” le preguntó. 
ACT.7.28	“¿Vas a matarme como mataste ayer al egipcio?” 
ACT.7.29	Y cuando escuchó esto, Moisés huyó. Entonces se fue a vivir como exiliado en la tierra de Madián, donde tuvo dos hijos.
ACT.7.30	“Cuarenta años más tarde, en el desierto del Monte Sinaí, un ángel se le apareció en las llamas de una zarza que ardía. 
ACT.7.31	Y cuando Moisés vio esto, se sorprendió, y se aproximó para ver más de cerca. Entonces la voz del Señor le habló: 
ACT.7.32	‘Yo soy el Dios de tus padres, el Dios de Abrahán, Isaac y Jacob.’ Entonces Moisés tembló de temor y no se atrevía a levantar la vista. 
ACT.7.33	El Señor le dijo: ‘Quita tus sandalias, porque el lugar donde estás es santo. 
ACT.7.34	Yo he visto el sufrimiento de mi pueblo en Egipto, y he oído sus clamores. He descendido para rescatarlos. Ahora ven, porque voy a enviarte a Egipto.’
ACT.7.35	“Este fue el mismo Moisés que el pueblo había rechazado cuando dijeron: ‘¿Quién te puso como gobernante y juez sobre nosotros?’ Dios lo envió para que fuera tanto gobernante como libertador, por medio del ángel que se le apareció en la zarza. 
ACT.7.36	Entonces Moisés los sacó después de realizar señales milagrosas en Egipto, en el Mar Rojo, y siguió haciéndolo en el desierto durante cuarenta años. 
ACT.7.37	Este es el mismo Moisés que le prometió a los israelitas: ‘Dios les enviará un profeta como yo proveniente de su propio pueblo.’ 
ACT.7.38	Y Moisés estaba con el pueblo de Dios reunido cuando el ángel le habló en el Monte Sinaí, y ahí junto con nuestros antepasados recibió la palabra viva de Dios para que nos la diera a nosotros. 
ACT.7.39	Él fue al que nuestros padres no escucharon. Ellos lo rechazaron y decidieron regresar a Egipto. 
ACT.7.40	Y le dijeron a Aarón: “Elabora dioses para que nos guíen, porque no sabemos qué ha ocurrido con Moisés, el que nos sacó de la tierra de Egipto.’ 
ACT.7.41	Entonces elaboraron un ídolo en forma de becerro, le presentaban sacrificios, y celebraban lo que ellos mismos habían hecho.
ACT.7.42	“Así que Dios desistió de ellos. Y los dejó adorar las estrellas del cielo. Esto es lo que escribieron los profetas: ‘¿Acaso ustedes los israelitas me dieron ofrendas o hicieron sacrificios para mi durante los cuarenta años en el desierto? 
ACT.7.43	No, ustedes se llevaron el tabernáculo del dios Moloc y la imagen de la estrella del dios Refán, imágenes que ustedes hicieron para adorarlas. Por lo tanto yo los enviaré a exilio hasta más allá de Babilonia.’
ACT.7.44	“Nuestros antepasados tenían el Tabernáculo del testimonio
ACT.7.45	Más tarde, nuestros antepasados lo llevaron junto con Josué para asentarse en la tierra tomada de las naciones que el Señor expulsó delante de ellos. Y permaneció ahí hasta el tiempo de David. 
ACT.7.46	David halló el favor de Dios y pidió hacer una morada permanente para el Dios de Jacob. 
ACT.7.47	Pero fue Salomón el que construyó un templo
ACT.7.48	Por supuesto que el Todopoderoso no vive en los templos que jnosotros hacemos. Como dijo el profeta: 
ACT.7.49	‘El cielo es mi trono, y la tierra es el lugar donde pongo mis pies. ¿Qué tipo de morada pueden ustedes construir para mí?’ pregunta el Señor. ‘¿Qué cama podrían hacerme ustedes para descansar? 
ACT.7.50	¿Acaso no lo hice yo todo?’
ACT.7.51	“¡Pueblo arrogante y terco! ¡Nunca escuchan!
ACT.7.52	¿Hubo acaso algún profeta que sus padres no persiguieran? Mataron a todos los que profetizaban sobre la venida de Aquél que es verdaderamente bueno y recto. Él es Aquél a quien ustedes traicionaron y asesinaron. 
ACT.7.53	Ustedes, los que recibieron la ley por medio de los ángeles, pero se negaron a guardarla.”
ACT.7.54	Cuando oyeron esto, los miembros del concilio se enfurecieron, y le hacían gruñidos, crujiendo sus dientes. 
ACT.7.55	Pero Esteban, lleno del Espíritu Santo, elevó su mirada al cielo y vio la gloria de Dios, y a Jesús a la diestra de Dios. 
ACT.7.56	“Miren,” dijo él, “Veo el cielo abierto, y al Hijo del Hombre a la diestra de Dios.”
ACT.7.57	Pero ellos taparon sus oídos con sus manos y gritaban tan fuerte como podían. Todos se apresuraron juntos hacia él, 
ACT.7.58	lo llevaron a rastras fuera de la ciudad, y comenzaron a apedrearlo. Sus acusadores pusieron sus abrigos junto a un joven llamado Saulo. 
ACT.7.59	Y mientras lo seguían apedreando, Esteban oró: “Señor Jesús, recibe mi espíritu.” 
ACT.7.60	Entonces se arrodilló, clamando: “¡Señor, por favor no les tengas en cuenta este pecado!” Y después de decir esto, murió
ACT.8.1	Saulo estaba de acuerdo con que era necesario matar a Esteban. Ese mismo día se inició una terrible persecución contra la iglesia en Jerusalén, y todos, excepto los apóstoles, se dispersaron por toda Judea y Samaria. 
ACT.8.2	(Algunos seguidores fieles de Dios sepultaron a Esteban, con gran lamento). 
