GEN.1.1	En 
2MA.8.36	Y elque auia antes prometido de pagar à los Romanos el tributo de los captiuos de Ieruſalẽ, aora predicaua tener los Iudios à Dios por defensor, y que portanto no podiã ſer heridos, porque guardauã las leyes que el auia hecho.
2MA.9.1	EN aquel tiẽpo Antiocho auia buelto ſin honra de Persia. 
2MA.9.2	Porque entrado en la ciudad llamada Persepolis, tẽtó de despojar el tẽplo, y tomar la ciudad; mas acudiẽdo la multitud à las armas, Antiocho cõ los suyos fue ahuyẽtado: y anſi acõteció que deſpues dela huy da ſe tornaſſe con verguença. 
2MA.9.3	Y quãdo vino à Ecbactanas tuno nueuas de lo que auia acontecido à Nicanor y à Timotheo: 
2MA.9.4	Y encẽdido en ira pensó de tornar en los Iudios la injuria de los que lo auian echado huyendo: por lo qual mandó apressurar ſu carro caminãdo ſin ceſſar, vrgiẽdo lo anſi el juyzio del cielo, por auer dicho con tanta soberuia que en viniendo à Ieruſalem la auia de hazer sepulchro comun de los Iudios. 
2MA.9.5	Mas el Señor Dios de Iſrael, que mira todas las coſas, lo hirió de vna plaga insanable y inuisible: porque como acabóestas palabras, lo tomó vn dolor cruel de entrañas, y vnos amargos tormentos de intestinos. 
2MA.9.6	Y à la verdad bien justamente, porquanto con muchos y nueuos tormentos el auia atormentado las entrañas de otros: aunque con todo eſſo el no desistió de ſu malicia: 
2MA.9.7	Antes lleno de soberuia, echando del animo fuego contra los Iudios, y mandando apressurar el camino, aconteció que yendo con impetu cayó del carro, y todos los miembros de ſu cuerpo fueron quebrantados con la grande cayda. 
2MA.9.8	Y el que poco antes le parecia que podia mãdar à las ondas de la mar, y pesar en balança las alturas de los montes, ſobre humana medida lleno de soberuia, aora, derribado en tierra, era lleuado en andas, testificando en simismo la potencia de Dios manifiesta. 
2MA.9.9	De tal manera que del cuerpo del impio ſalian hiruiendo gusanos; y ſus carnes ſe le corriã con los dolores aun biuiendo, tanto que el exercito era moleſtado con ſu mal olor. 
2MA.9.10	Y el que poco antes le parecia que tocaua las eſtrellas del cielo, ya ninguno lo podia lleuar por cauſa del intolerable hedor. 
2MA.9.11	Desde aqui pues comẽçó de ſu grã soberuia à venir àl cõcimiento de ſi, amonestado por el diuino açote, tomando augmẽto ſus dolores por todos los memẽtos. 
2MA.9.12	Y no pudiendo ya aun el mismo sufrir ſu hedor, dixo anfi, Iusto es ſer subdito à Dios, y que el mortal no sienta de ſi como el. 
2MA.9.13	Y el maluado oraua àl Señor, de quiẽ no auia de al cãçar misericordia proponiẽdo. 
2MA.9.14	De hazer libre la ciudad à la qual venia con todo impetu para aſſolarla, y hazerla comun sepulchro: 
2MA.9.15	Y à los Iudios, que los auia de hazer iguales à los Athenienses, à los quales antes no tenia ni aun por dignos de ſepultura, auiendo determinado de echarlos à ellos y à ſus hijos à ſer despedaçados de las aues y de las beſtias. 
2MA.9.16	Y àl Templo sancto que antes auia despojado, que lo auia de adornar de grãdes dones, y que auia de augmentar los sanctos vaſos, y que auia de dar de ſus rentas los gastos pertenecientes à los sacrificios. 
2MA.9.17	Y que aliende de eſto, que ſe auia de hazer Iudio, y que auia de yr por todos los lugares de la tierra predicando la potencia de Dios. 
2MA.9.18	Mas como no ceſſaſſen los dolores, porque el juſto juyzio de Dios auia venido ſobre el, desesperado escriuió à los Iudios vna carta à manera de hombre que ruega, desta manera: 
2MA.9.19	El rey y Emperador Antiocho à los buenos ciudadanos los Iudios, mucha salud, sanidad, y felicidad. 
2MA.9.20	Si vosotros y vuestros hijos estays buenos, y todas vuestras coſas van como desseays, yo hago gracias à Dios, poniendo mi eſperãnça en el cielo. 
2MA.9.21	Yo pues aun que estoy enfermo, benignamente me he acordado de vuestra hõrra y buena volũtad para conmigo. Auiendo pues caydo en graue enfermedad, buelto de las regiones de Persia, pareciome ſer coſa neceſſaria proueer en la comun vtilidad de todos. 
2MA.9.22	No desesperando de mi mismo, mas teniendo eſperança de ſer libre de la enfermedad. 
2MA.9.23	Mas conſiderando que mi padre, quãdo lleuó exercito en las prouincias altas, declaró quien auia de auer el principado deſpues del: 
2MA.9.24	Para que ſi acontecieſſe alguna coſa aduersa, ó vinieſſe alguna nueua trabajoſa, los que eſtauan en las prouincias, sabiendo à quien quedaua el imperio, no fueſſen turbados: 
2MA.9.25	De mas de eſto conſiderando como los principes comarcanos y vezinos del reyno, attentos à la occasion eſtan eſperãdo el succeſſo de las coſas: por estas cauſas he declarado por rey à mi hijo Antiocho, àl qual auiendo de visitar los reynos ſuperiores, muchas vezes lo dexé enco mendado à muchos de vosotros, àl qual tambien hé eſcripto lo que ſe signe. 
2MA.9.26	Portanto y os ruego, y requiero, que acordando os de los beneficios recebidos, anſi en publico como en particular, que cada vno de vosotros conserue la beneuolencia para conmigo y para con mi hijo. 
2MA.9.27	Porque yo confio que el, siguiendo mi voluntad, os serà modesto y humano y afable. 
2MA.9.28	De eſta manera eſte homicida y blasphemo, herido como era digno, y como el auia herido à los otros, murió de miserable muerte peregrino entre los montes. 
2MA.9.29	Y Philippo, que ſe auia criado con el, hizo lleuar ſu cuerpo; el qual temiendoſe del hijo de Antiocho, ſe fue à Ptolomeo Philometor en Egypto.
2MA.10.1	Mas el Machabeo y los suyos, guiãdolos el Señor, recuperaron el Templo y la ciudad. 
2MA.10.2	Y derribaron los altares que los estrangeros auian edificado por las plaças, y tãbien las capillas. 
2MA.10.3	Y limpiado el Templo, hizieron otro altar, y tomaron fuego sacado de pedernales, y ofrecieron sacrificios dos años deſpues: y pusierõ el encienso, y las lamparas, y el pan de la proposicion. 
2MA.10.4	Hecho eſto, rogauan àl Señor prostrados en tierra, que no cayeſſen mas en tales males, mas que ſi alguna vez peccaſſen, fueſſen del castigados con clemẽcia, y no fueſſen entregados à Gẽtes blasphemas y barbaras. 
2MA.10.5	Y acõteció que en el mismo dia, que el Templo auia sido contaminado de los estrangeros, fue he cha ſu purificacion à los veynte y cinco dias del mes llamado Casleu. 
2MA.10.6	Y hizierõ alegrias por ocho dias, como en la fiesta de las Cabañas, acordandoſe que no mucho antes auian celebrado la fiesta de las Cabañas en los mõtes y en las cueuas, amanera de beſtias fieras. 
2MA.10.7	Por loqual, lleuãdo tallos y ramas verdes, y palmas, cantauan hymnos àl que les auia dado prosperidad para limpiar ſu lugar. 
2MA.10.8	Y por publico mandamiento y decreto determinarõ, que aquellos ocho dias fueſſen festiuos à toda la nacion de los Iudios todos los años. 
2MA.10.9	De eſta manera pues paſſó la muerte de Antiocho llamado el Illustre. 
2MA.10.10	Aora contaremos los hechos de Eupator hijo del impio Antiocho, coligiẽdo en breue los males que ſe siguieron en las guerras. 
2MA.10.11	Porque como eſte tomó el reyno, puso ſobre los negocios del reyno à vn Lysias principal gouernador de Phenicia y de Syria. 
2MA.10.12	Porque Ptolemeo, que era dicho Macron, ſe determinó à conseruar el derecho para con los Iudios por la injuria que les era hecha, y anſi trabajaua de tratar pacificamente las coſas que les tocauan. 
2MA.10.13	Por loqual el fue accusado de ſus amigos à Eupator, y muchas vezes ſe oyó llamar traydor; porque auia desamparado à Cypro, laqual Philometor le auia dado à cargo, y ſe auia paſſado à Antiocho el Illustre: dõde no auiendo alcançado ningũ gouierno hõrroso, cõ el dolor del animo tomó veneno y ſe mató. 
2MA.10.14	Mas Gorgias, deſpues que fue pueſto por Emperador de los Iugares, sustẽtaua exercito de estrangeros, cõque muchas vezes moleſtaua con guerra à los Iudios. 
2MA.10.15	Ansimismo los Idumeos, tomadas las fortalezas que les eran cõmodas, dauan que hazer à los Iudios; y recibiendo à los que echauan desterrados de Ieruſalem, sustentauan la guerra. 
2MA.10.16	Losque eſtauan con el Machabeo, haziendo oracion rogarõ à Dios que les fueſſe ayudador: y anſi acometieron à las fortalezas de los Idumeos. 
2MA.10.17	Y combatiendolas cõ grande fuerça, y à la fin tomandolas, lançarõ à los que peleauan del muro: y matando à quantos encontrauan, no mataron menos de veynte mil hombres. 
2MA.10.18	Y auiendoſe retirado no menos que nueue mil à dos torres muy fuertes y biẽ apercebidas de lo neceſſario para sufrir el cerco: 
2MA.10.19	El Machabeo, dexando en el cerco à Simon y à Iosepho, y à Zacheo, y con ellos asaz gente, ſe partió à los lugares que mas fatigauan. 
2MA.10.20	Mas los que eſtauan con Simõ, mouidos por auaricia fueron persuadidos por dineros de los que tenian aquellas fortalezas, y recibiendo setenta mil dragmas, dexaron eſcapar algunos. 
2MA.10.21	De loqual, como el Machabeo tuuo auiso, juntando los principales del pueblo, los acusó que auian vendido à ſus hermanos por dinero, auiendo dexado huyr ſus enemigos. 
2MA.10.22	Y anſi cõuenciẽdolos de traydores los mató, y luego tomó las dos torres. 
2MA.10.23	Y prosperado en todo, en las armas y en las manos, mató mas de veynte mil perſonas en las dos fortalezas. 
2MA.10.24	Y Timotheo, que antes auia sido vencido de los Iudios, juntando grãde exercito de estrangeros, y caualleria de Aſia no poca, vino para tomar à Iudea por armas. 
2MA.10.25	Mas el Machabeo y los que con el eſtauan, ya que el llegaua cerca, oraron àl Señor echando tierra ſobre ſus cabeças y ciñiendo ſus lomos concilicios. 
2MA.10.26	Prostrados en la grada que eſtá delãte del altar, que el les fueſſe fauorable à ellos, y à ſus enemigos enemigo, y aduersario à ſus aduersarios, como eſtá dicho en la Ley. 
2MA.10.27	Y anſi, deſpues de la oraciõ, toman las armas, y salen lexos de la ciudad: y quando fueron cerca del enemigo, pararonſe. 
2MA.10.28	Y àl ſalir del sol acometierõ de ambas partes, estos teniẽdo àl Señor cõ ſu virtud por fiador de ſu victoria y prosperidad; los otros poniendo por capitan de ſus peleas ſu propio animo. 
2MA.10.29	Y ya que la batalla eſtaua muy trauada, aparecieron del cielo à los enemigos cinco varones à cauallo adornados cõ frenos de oro, que yuan delante de los Iudios: 
2MA.10.30	Dos de los quales lleuauan en medio àl Machabeo, y amparandolo cõ ſus armas lo guardauan de ſer tocado, y en los enemigos arrõjauã dardos y rayos: por loqual fueron confusos y ciegos, y cayã llenos de turbacion. 
2MA.10.31	Y fueron muertos veynte mil y quinientos, y seys cientos de cauallo. 
2MA.10.32	Y Timotheo huyó à vna fortaleza fuerte llamada Gazara, en laqual presidia Chereas. 
2MA.10.33	Mas el Machabeo y los que con el eſtauan, con gran regozijo cercaron la fortaleza porquatro dias. 
2MA.10.34	Empero los que estauã dẽtro, cõfiãdoſe en el lugar que era alto, blasphemauã en gran manera, y dezian palabras nefandas. 
2MA.10.35	Y quando vino el quinto dia, veynte mancebos de los que eſtauan cõ el Machabeo, encendidos de animo à cauſa de las blasphemias, ſe llegaron varonilmente àl muro, y con animo feroz derribauã todos los que encontrauan. 
2MA.10.36	Y otros que anſi mismo auian subido, combatiendo contra los de dentro puſieron fuego à las torres, y quemauan biuos à aquellos blasphemos. 
2MA.10.37	Otros rompian las puertas, y entrando con ellos la resta del exercito, tomaron la villa, y mataron à Timotheo, que ſe auia escondido en vna cueua, y à ſu hermano Chereas, y à Apolophanes. 
2MA.10.38	Esto hecho, bendezian àl Señor con hymnos y con alabanças, que hizo à Iſrael tan grande beneficio, y les dió victoria de ellos.
2MA.11.1	Mas vn poco de tiẽpo deſpues Lysias procurador y pariẽte del rey ypreposito de los negocios, pesãdole mucho de las coſas'acaecidas. 
2MA.11.2	Iuntó ochenta mil hombres, y toda la caualleria, y vino cõtra los Iudios, pensando de tomar la ciudad, y hazerla habitaciõ de las Gentes. 
2MA.11.3	Y el Templo para juntar dinero, como los otros templos de los Gentiles, y el Sacerdocio para venderlo cada año: 
2MA.11.4	No metiẽdo encuẽta la potẽcia de Dios, mas como desenfrenado, ſu pẽsamiento era cõfiar en tãtos millares de gente de pie y de cauallo, y en ochenta Elephantes. 
2MA.11.5	Entrado pues en Iudea, y aſſentado el campo en Bethsuran, laqual eſtaua aſſentada en vn lugar estrecho lexos de Ieruſalem cinco estadios, la començó à combatir. 
2MA.11.6	Mas como el Machabeo y los que con el estauã, entendierõ que ya combatia las fortalezas, orauan àl Señor juntamente con todo el pueblo con lloro y lagrimas, que embiaſſe algũ buen angel para saluar à Iſrael. 
2MA.11.7	Y el Machabeo el primero, tomadas las armas, exhortaua à los otros, que juntamente con el ſe pusieſſen àl peligro, y dieſſen ayuda à ſus hermanos. 
2MA.11.8	Y anſi juntos y alegremente ſalierons y aũ no eſtauan lexos de Ieruſalem, quãdo apareció vn cauallero veſtido de blanco que yua delante deellos batiendo todas las armas doradas. 
2MA.11.9	Entonces todos à vna bendixeron àl Señor misericordioso: y tomarõ tanto animo, que ſe apercibieron à paſſar no solamente à los hombres, mas las beſtias ferocissimas, y los muros de hierro. 
2MA.11.10	Y ãsi yuã apercebidos cõ ayuda del cielo que auia de pelear jũtamente cõ ellos, por auer auido misericordia deellos el Señor. 
2MA.11.11	Y acometiendo à los enemigos cõ vn impetu de leones, derribaron de la gente de pie onze mil hombres, y mil y seyscientos de cauallo. 
2MA.11.12	Y à todos los de mas tornaron en huy da, muchos de los quales eſcaparon heridos y desnudos, y tambiẽ el mismo Lysias ſe escapó huyendo vergonçosamente. 
2MA.11.13	Mas como no era imprudente, pensando en el detrimento que auia recebido, y entendiendo que los Iudios eran inuincibles, ſiendo fauorecidos por el Dios Todo poderoso, embio à ellos. 
2MA.11.14	Y prometió que el consintiria en todo loque fueſſe juſto, y que persuadiria àl rey à ſer ſu amigo. 
2MA.11.15	Y el Machabeo, auida cõsideraciõ de la vtilidad comũ, cõcedió en todo loque Lysias pedia y todo loque el Machabeo escriuió à Lyfias acerca de los Iudios, el rey lo cõcedió. 
2MA.11.16	Las letras que fueron embiadas de Lysias à los Iudios, eran en eſta forma, Lysias àl pueblo de los Iudios, salud. 
2MA.11.17	Ioã y Abeſalon, que vosotros embiastes, dando nos vuestros escriptos, pidieron que yo cũplieſſe loque por ellos era significado. 
2MA.11.18	Yo pues mostré àl rey todo lo que couenia que ſe le mostraſſe, el qual concedió todo lo que ſe pudo hazer. 
2MA.11.19	Y ſi vosotros cõseruardes la fe en los negocios, yo tãbiẽ procuraré en lo por venir deseros auctor de todo el bien que os tocáre. 
2MA.11.20	De todas estas coſas y de cada vna de el las yo he dado mandamiento, anſi à vuestros mensageros, como à los que yo embio, que os hablen. 
2MA.11.21	A Dios. En el año ciento y quarenta y ocho, à los veynte y quatro del mes de Dios-Corinthio. 
2MA.11.22	La carta del rey contenia eſto, El rey Antiocho a Lysias ſu hermano, salud. 
2MA.11.23	Despues que nuestro padre fué trasladado entre los dioses, nos desseando que los que eſtan en nuestro reyno, biuan en paz, y traten con diligencia ſus negocios. 
2MA.11.24	Auemos oydo que los Iudios no han querido cõsentir à mi padre paraser traspaſſados à los ritos de los Griegos: antes quieren retener ſus costũbres, y por tanto nos piden que les ſean concedidos ſus fueros. 
2MA.11.25	Porloqual nos tãbien, queriendo que eſta gente esté quieta, constituymos, que el Templo les ſea restituydo, y que hagan conforme à la costumbre de ſus mayores. 
2MA.11.26	Portanto bien harás, ſi embiáres à ellos, y les dieres la diestra, paraque conociendo nueſtra voluntad esten de buen animo, y ſe occupen en ſus prouechos. 
2MA.11.27	La carta del rey à los Iudios era tal, El rey Antiocho, àl Senado de los Iudios salud. 
2MA.11.28	Si estays buenos, estays como desseamos: tambien à nos nos va bien. 
2MA.11.29	Menelao nos declaró, que os queriades tornar à vuestra tierra, y estaros en ella. 
2MA.11.30	Portanto à los Iudios que ſe tornaren haſta los treynta dias del mes Xanthico les damos la diestra de seguridad: 
2MA.11.31	Paraque puedã vsar de viandas Iudaicas y de ſus leyes como primero: y que nĩgunodee llos en alguna manera ſea moleſtado por las coſas que haſta aqui hã paſſado por ignorãcia 
2MA.11.32	A Menelao os embio pareque os hable. 
2MA.11.33	A Dios. en el año ciento y quarenta y ocho, à los quinze del mes Xanthico. 
2MA.11.34	Los Romanos tambien embiaron le tras à los Iudios de eſta manera: Quinto Memmio y Tito Manlio legados de los Romanos àl pueblo de los Iudios, salud. 
2MA.11.35	Loque Lysias pariente del rey os concedió, noſotros tambien lo confirmamos. 
2MA.11.36	Y acerca de loque le pareció que ſe deuia de communicar al rey, auido vuestro consejó, embiad luego alguno, paraque propongamos loque mas os conuiene: porque noſotros nos llegamos à Antiochia. 
2MA.11.37	Portanto da os prieſſa en embiar algu nos, paraque noſotros tambien sepamos vuestra voluntad. 
2MA.11.38	A Dios. En el año ciento y quarenta y ocho: à los quinze dias del mes Xanthico.
2MA.12.1	Hechos estos conciertos, Lysias ſe fué àl rey, y los Iudios ſe occuparon en labrar ſus campos. 
2MA.12.2	Mas los que quedaron por gouernadores de los lugares, Timotheo, y Apolonio hijo de Genneo, anſi mismo Hieronymo, y Demophon, y aliende de estos Nicanor gouernador de Cypro, no los dexauan biuir en repoſo. 
2MA.12.3	Y los de Ioppe cometieron eſta maldad, que rogarõ à los Iudios que habitauã cõ ellos, que entraſſen con ſus mugeres y hijos en los barcos que ellos auian aparejado, fingiendo no auer en ellos mala voluntad: 
2MA.12.4	Y consintiẽdo ellos àl comun acuerdo de la ciudad, y no teniendo ninguna sospecha por cauſa de la paz: quãdo fuerõ en alta mar, anegaron no menos de doziẽtos. 
2MA.12.5	Laqual crueldad, como Iudas entendió ſer hecha en los hombres de ſu nacion, mãdó tomar las armas à los que con el estauã, y inuocando à Dios por juſto juez. 
2MA.12.6	Vino contra los matadores de ſus hermanos, y poniendo fuego de noche àl puerto, y quemando las barcas, mató à cuchi llo à todos losque ſe auian acogido alli. 
2MA.12.7	Mas ſiendo echado de la ciudad, ſe retiró para boluer otra vez à destruyr toda la ciudad de los de Ioppe. 
2MA.12.8	Mas entendiendo que los de Iamnia qui sieron hazer otro tanto à los Iudios que morauan entre ellos. 
2MA.12.9	Vino tãbiẽ ſobre ellos de noche, y puso fuego àl puerto y à las naues, tanto que el resplandor del fuego ſe via en Ieruſalem, que eran dozientos y quarenra estadios. 
2MA.12.10	Y yendoſe ya de alli, y caminando hazia Timotheo, dierõ ſobre el cinco mil hõbres de los Arabes, y quinientos cauallos. 
2MA.12.11	Y auiendo auido vna rezia pelea, y auiendo lo mejor por soccorro de Dios los que eſtauan con Iudas, los Arabes Nomades, que quedaron vencidos, pidieron à Iudas que les dieſſe la diestra, prometiendoque les darian pastos, y que les aprouecharian en otras coſas. 
2MA.12.12	Y pareciendo à Iudas que de verdad les serian vtiles en muchas coſas, concedioles la paz: y tomadas las diestras ellos ſe fuerõ à ſus cabañas. 
2MA.12.13	A cometió tambien à otra ciudad fortificada con puente, y cercada de muros, llamada Caspin, laqual era habitada de gẽtes mezcladas. 
2MA.12.14	Y los que eſtauan dentro, confiados de la firmeza de los muros, y de la prouision de vituallas, auianse con negligencia, diziendo injurias y maldiciones à Iudas y à ſus soldados, yhablando loque no conueuia. 
2MA.12.15	Mas los soldados de Iudas, inuocado el gran Señor del mundo, que ſin trabucos ni machinas derribó à Iericho 
2MA.12.16	Y tomada la ciudad por fauor de Dios, hizieron vna mortandad increyble, tãto que vn lago vezino de dos estadios de anchura parecia que corria lleno de sangre. 
2MA.12.17	Desde alli caminaron setecientos y cincuenta estadios, y vinieron en Characa à los Iudios llamados Tubianeos. 
2MA.12.18	Y no tomando à Timotheo en a quellas partes, porque ſe auia ya ydo de alli ſin auer hecho nada, y auia dexado guarniciõ en vn fuerte: 
2MA.12.19	Dositheo y Sosipatro, que eran capitanes en el exercito del Machabeo, mataron diez mil hombres que Timotheo auia dexado de guarnicion. 
2MA.12.20	Mas el Machabeo, puestos en orden los suyos, y repartidos por escuadrones, paſſó adelante contra Timotheo que tenia consigo ciento y veynte mil hombres de pie, y dos mil y quinientos de cauallo. 
2MA.12.21	Y como Timotheo entẽdió la venida de Iudas, embió las mugeres, y los niños, y el de mas bagaje, en vna fortaleza llamada Carnion, por ſer vn lugar inexpugnable, y dificil de entrar, por cauſa de vnas angosturas que tenia de todas partes. 
2MA.12.22	Mas como el primer escuadron de Iudas ſe mostró, los enemigos vuieron gran terror por la preſencia de Dios que mira todas las coſas: y el vno àl otro ſe tornarõ en huyda: tanto que los vnos ſe derribauã à los otros, y eran heridos con las mismas armas de los suyos. 
2MA.12.23	Mas Iudas los persiguió con ardor derribando aquellos scelerosos, y mató treynta mil hombres. 
2MA.12.24	Timotheo, que cayó à la parte de Dositheo y de Sosipatro, rogaua con mucha cautela, que lo soltaſſen biuo: por quanto tenia los padres de muchos de los Iudios, y muchos de ſus hermanos, los quales ſe perderian ſi el fueſe muerto. 
2MA.12.25	Y como ſe hizo creer con muchas palabras, y prometió que los restituyria sanos, ellos por la salud de ſus hermanos lo soltaron. 
2MA.12.26	El Machabeo desde alli ſe vino à Carnion, y à Artagacio, y alli mató veynte y cinco mil hombres. 
2MA.12.27	Despues de la huy da y muerte de aquestos, lleuó el exercito à Ephron ciudad fuerte, en laqual eſtaua Lysias, y gran multitud de diuersas gentes, y fuertes mãcebos puestos en orden por el muro que la defendian valientemente: y auia tambien grande apparato de ingenios y de dardos. 
2MA.12.28	Mas inuocando àl Omnipotente que cõ ſu potencia quebranta las fuerças de los enemigos, tomaron la ciudad: y de los que estauã dentro, mataron veynte y cinco mil. 
2MA.12.29	De alli fueron à Scythopolis, que eſtá de Ieruſalem seys cientos estadios. 
2MA.12.30	Donde como los Iudios que alli morauan, dieſſen testimonio del buen tratamiento que recebian de los Scythopolitas, y que aun en tiempo de ſu calamidad los auian tratado humanamente: 
2MA.12.31	Les hizieron gracias, y los exhortarõ aque de ay adelante fueſſen tambien benignos para con ſu nacion: y de alli ſe partieron para Ieruſalem, porque ſe acercaua la fiesta de las semanas. 
2MA.12.32	Y paſſada la dicha fiesta de Pentecostes, ſe partieron contra Gorgias gouernador de Idumea. 
2MA.12.33	Y ſalió con tres mil hombres de pie, y con quatrocientos cauallos. 
2MA.12.34	Y trauada la batalla, murieron algunos pocos de los Iudios. 
2MA.12.35	Mas vn Dositheo hombre de cauallo de los de Bacenor, valiente, hombre, tomó à Gorgias por el manto, y lleuaualo con fuerça desseando tomar biuo à aquel maluado: mas vno de cauallo de los de Tracia lo encontró, y le cortó vn ombro, y anſi Gorgias ſe huyó en Maresa. 
2MA.12.36	Y como los de Gorgias porfiaſſen en la batalla, y ellos estuuieſſen ya cansados, Iudas inuo có àl Señor que les fueſe ayuda dor y capitan. 
2MA.12.37	Començando en ſu propia lengua, y leuantando el clamor con hymnos, acome tió cõ impetu à la gente de Gorgias, y pusolos en huyda. 
2MA.12.38	Entõces Iudas recogiẽdo los suyos, vinose à la ciudad de Odola, dõde, tomãdo los el septimo dia, ſe purificaron cõforme à la costumbre, y celebraron el Sabbado. 
2MA.12.39	Y el dia siguiẽte Iudas yino cõ los suyos para tomar los cuerpos de los muertos, y ponerlos cõ ſus padres en ſus sepulchros. 
2MA.12.40	Y hallarõ debaxo de las ropas de los muertos algunas coſas de las offrendas de los idolos que estauã en Iam nia: 
2MA.12.41	Y anſi todos bendixerõ el juſto juyzio del Señor, que auia descubierto lo que eſtaua occulto. 
2MA.12.42	Y tornandoſe à la oracion, roguauã que aquel peccado que auia sido cometido, fueſſe pueſto en oluido: y el fuerte Iudas exhortaua à todo el pueblo que ſe conseruaſſen ſin peccado, auiendo viſto delante de ſus ojos lo que auia acõtecido por los peccados de aquellos muertos. 
2MA.12.43	Y haziendo vna collecta embió à Ieruſalem dos mil dragmas de plata, para que ſe ofrecieſſe sacrificio por el peccado, haziendo en eſto bien y derechamente, como hombre que pensaua de la resurrecion. 
2MA.12.44	Porque ſino eſperâra que aquellos que auian caydo, auian de resucitar, sup erfluo y vano era orar por los muertos. 
2MA.12.45	Aliende de eſto porque el consideraua que para los que murieſſen en piedad auia guardado muy buen donde gracia. 
2MA.12.46	Fue sancto y pio pensamiento: y anſi hizo expiacion por los muertos, porque fueſſen absueltos del peccado.
2MA.13.1	EN el año ciento y quarenta y nueue fue dado auiso à Iudas, que Antio cho Eupator venia con exercito cõtra Iudea. 
2MA.13.2	Y con el Lysias procurador y preposito de los negocios, trayendo cõsigo ciento y diez mil hombres de pie, y cinco mil cauallos, y veynte y dos Elephantes, y trezientos carros falcatos. 
2MA.13.3	Y auiase juntado con ellos Menelao, el qual con grande simulacion rogaua à Antiocho no por la salud de ſu patria, mas eſperando de ſer pueſto en el principado. 
2MA.13.4	Mas el rey de reyes deſpertó el animo de Antiocho cõtra aquel maluado, que auisando Lysias ſer aquel la cauſa de todos los males, el le mãdó prender y lleuar à Berea, donde fue metido à muerte como tenian de costumbre. 
2MA.13.5	En aquel lugar auia vna torre de cincuẽta cobdos de alto llena de ceniza, en la qual auia vn ingenio que ſe tornaua àl derredor inclinado de todas partes a la ceniza: 
2MA.13.6	Alli metian todos à morir à qual quiera que era conuencido de sacrilegio, ò de qual quiera otro facinoroso crimen. 
2MA.13.7	Ansi aconteció, que aquel preuaricador de la Ley murieſſe, y que ni aun ſepultura tuuieſſe Menelao. 
2MA.13.8	Y con mucha razon, porque el que auia cometido muchos peccados junto àl altar de Dios, cuyo fuego y ceniza era sancto, lleuaſſe muerte en ceniza. 
2MA.13.9	Mas el rey venia toda via encruelecido en ſu animo para mostrarſe à los Iudios moy peor aun que ſu padre. 
2MA.13.10	Lo qual entendido por Iudas, mandó àl pueblo, que el dia y la noche inuo caſſen àl Señor, que en aquella hora les ayudaſſe, como siempre les auia ayudado. 
2MA.13.11	Porquanto temian de ſer priuados de la Ley, y de la patria, y del Sãcto Templo: y que no cõsintieſſe que el pueblo que ya respiraua vn poco, fueſſe otra vez subjetado à las naciones blasphemas. 
2MA.13.12	Lo qual como todos hizieſſen, orãdo todos jũtos àl Señor Misericordioso, prostrados con lloros y ayunos por tres dias cõtinos, Iudas los exhortó à que estuuieſſen prestos. 
2MA.13.13	Mas el acordó con los Ancianos', que antes que el Rey llegaſſe con el exercito à Iudea, y tomaſſe la ciudad, ellos ſalieſſen encomendando el succeſſo del negocio à la diſpoſicion del Señor. 
2MA.13.14	Y anſi dãdo todo el cuydado àl Señor del mundo, y animando à los suyos à que peleaſſen haſta la muerte varonilmẽte, por las leyes, por el Tẽplo, ciudad, patria y republica, aſſentó el campo junto à Modin. 
2MA.13.15	Y dãdo à los suyos por nõbre, Victoria de Dios, eſcogió algunos de los mas fuertes mãcebos, cõ los quales à la noche dió ſobre la tiẽda del rey, y mató en el campo 
2MA.13.16	Y auiendo henchido el campo de los enemigos de miedo y de perturbacion, y succedidoles prosperamente, fueronſe. 
2MA.13.17	Esto fue hecho ya que amanecia, ſiendo ayudado del amparo del Señor. 
2MA.13.18	Mas el rey auiẽdo gustado la osadia de los Iudios, tentaua los lugares por artes. 
2MA.13.19	Y lleuó el campo à Bethsuran fortaleza de los Iudios asaz fuerte, mas fue echado de alli: y anſi yua empeorando y disminuyendoſe. 
2MA.13.20	Y a los que eſtauan dentro, Iudas embiaua lo neceſſario. 
2MA.13.21	Mas vn Rhodocho que era del exercito de los Iudios, descubrió los secretos à los enemigos, el qual ſiendo buscado fue preso y pueſto en la carcel. 
2MA.13.22	El rey tuuo segundo colloquio cõ los de Bethsurã, y dãdoles la diestra, y tomando la ſe fue, y peleó cõ Iudas y fuevencido. 
2MA.13.23	Y teniendo auiso de que Philippo, que auia sido dexado en el gouierno en Antiochia, ſe auia rebellado: el ſe atemorizó y rogó à los Iudios, y ſe sometió à ellos: y les juró que haria todo lo que pareceria ſer juſto: y anſi reconciliado ofreció sacrificio, y honrrò el templo, y puso dones. 
2MA.13.24	Y abraçãdo àl Machabeo, lo puso por gouernador y capitan desde Ptolemayda à Hegemonides, y haſta los Gerrenos. 
2MA.13.25	Y viniẽdo à Ptolemayda, los de la villa pesauales del cõcierto hecho, y estauã tan enojados que queriã rõper las condiciones. 
2MA.13.26	Mas Lysias subió en el tribunal, y dãdo la razon apaziguó el pueblo; y de alli ſe tornó à Antiochia. De eſta manera paſſó la venida y la buelta del rey.
