GEN.1.1	Adikeh la Tsingrangbanü ninglih thricho. 
JER.31.20	I lasih nü khyang jopehko;
JER.31.20	Ihnü yanglilümnung.
JER.31.21	Amüdhethsa yohpüng ko lang tsü tsüpm;
JER.31.21	nüh tsiba lang tsü tsüpm.
JER.31.21	Thali rung, Israelrü,
JER.31.21	nührünü pehjüba yangdi lang kyo.”
JER.31.22	Khüdoi nyahli tütohnyünyehnung,
JER.31.22	yudsi müliba nyitsarüti?
JER.31.22	Ihnü lango asi ko apa külüpko,
JER.31.22	khingkurünü adhrerü tsungticho kyo.”
JER.31.23	Akohba 
JER.31.23	‘
JER.31.23	Abi liba amüsa müdüm müwajüng.’
JER.31.24	Juda ko abi yangditi la nyitsarütinü linung ko hütsüla luthsarü ko san nyahrü arüh santi te linung. 
JER.31.25	Ihnü kyahseh lirüti longtbasohnung ko ayangaxorü longxosohnung. 
JER.31.26	Hütsüde nyitsarütinü yonung, ‘Ih yüpcho ko xengxeng jesucho.’
JER.31.27	“Ihnü Israel ko Juda lih nyitsarü ko kanglungrünü jengsohnung becho chihlepü Ih, 
JER.31.28	Ihnü rohchehnung, tphahchonung, mükhamülanung, changjünung ko arüh thsangnyangjünung kohcho kyo, Ihnü arüh khyümnung ko külüpchijünung. 
JER.31.29	 Hütsüba bekhyah chihde, müyurünü hita müyonung,
JER.31.29	‘Tburünü aci tsucho,
JER.31.29	ta tsuzarü ha sücho.’
JER.31.30	Hütsü mülih, sünü aci tsunang apu ha sünung; ko palu münyi ngang palu sünung.”
JER.31.32	Hütsü Ihnü arüh jümürü Ijip lanü nüchehde arüh te külüpba azengtacho mükyonung. Ih arüh anii kyo linye, arühnü hütsüba azengchotacho tsü müyohbü. 
JER.31.33	 Ihnü Israelrü te külüpnung azengtacho asi tsü hiroh-i linung: Ihnü I yuzeng arüh chah yohjünung ko hütsü arüh lasih la thrahnung. Ih arüh Tsingrang ko arüh I müyurü thsanung. 
JER.31.35	ko aromang nengdang chonu ko chenghiti jüre.
JER.31.35	Abinü kihdi ruhmüsure ko khongsohre;
JER.31.35	Abi neng Akohba 
JER.31.36	Athrijungcho li yingcheh,
JER.31.36	Israel yucho khüdu lisohnung
JER.31.36	Abinü nyengchore.
JER.31.37	Ning kiidhengchehkhang
JER.31.37	alimih jongnah müdhekhang
JER.31.37	nyümong du Abinü arüh nguchicho
JER.31.37	apüm ngang Israelrü mükhyüchonung.
JER.31.39	Ko lurüh tsü nyüzüdulang hütsü lanü Gareb khang ko Goah chii linung. 
JER.31.40	Kongyo ko sehnyeh pehji angah tsü apümshünü ko Kidron Kihna thah lang rangmü apüm nyüchürolang Kuri Tbükhüm chii apüm tsü I nengdang amüsa linung. Adelü yangdi tsü khodesü müthsangnyangnung mahkhang müchangnung.”
JER.32.1	 Juda la Zedekia yangthsacho kang dhüreu la ko Babylon la Nebukadnezar yangthsacho kang dhüre-keh-u la, 
JER.32.2	Hütsü shikhe Babylon Yangthsaba rothsarütinü Jerusalem mah yacho ko Yangthsaba kekhüm la Ih khangti yohpücho. 
JER.32.3	“Babylon Yangthsaba khyang hiba yangdi hi kohchehsohnung, 
JER.32.4	ko Yangthsaba Zedekia mütsichehnung, pü Ihnü seyohjücho ngang Zedekia Yangthsabanü Ih mülangjo khangtipücho. Abi Babylon Yangthsaba khehla züdunung; abinü abi te romih e romihrü dhsükehta chotanung. 
JER.32.5	Zedekia tsü Babylon lang notsinung, ko Ihnü abi te müshirü yingcheh abi hütsüla linung. Babylonrü te chitanye abinü mükohnung. Ih, 
JER.32.6+JER.32.7	Iu azaba Shalum tsurü Hananelnü Benjamin lih Anathot la I te inung Ih yang ronung, tunüo Ih tsü abi shüku amünyeh-uba ko hütsü Ihnü lihnung tsü athsalang lilepü 
JER.32.8	Hütsüde, 
JER.32.9	Ihnü Hananel chahnü luh tsü lihcho ko abi khyang thsi tsü ho-pü jücho; angang tsü taripi shekel dhüre-dhünyeh thsacho. 
JER.32.10	Ihnü athrahtacho la tsü I neng thrahnü shingticho, yuzi thsasohcho ko thsi tsü ahosing la ho jücho. 
JER.32.11	Hütsüpü Ihnü athrahtacho vathrah shingti liba ko khangthru liba anyüding khyücho, 
JER.32.12	ko Mahseia shümtsurü ko Neria tsurü Baruk khyang hütsüri tsü jücho. Ihnü hütsü Hananel, yuziti ko kekhüm la pümrüti atümung bete abi khyang jücho. 
JER.32.13	Arüh atümung betenü Ihnü Baruk te yocho, 
JER.32.14	“Akohba 
JER.32.15	Hiba lih la, kuh, luh ko shükusiluh thali lihchehnungepü Akohba 
JER.32.16	Ihnü Baruk khyang alihtacho vathrah tsü jüko khanglang dangkhidangnangcho, 
JER.32.17	“Amichahba Tsingrang, Nü zii ko tase la ning ko alih Nühnü thricho; Nü nengdang tu athsah müle. 
JER.32.18	Nühnü nyitsarü hajar te amüthreba amüi ngusohko, ta arüh tpurü münyi ngang Nühnü arüh khingchire. Nüh arangcheh ko re azeh Tsingrang; Nüh Akohba 
JER.32.19	Nühnü lümlong li chungre ko nguchi amülah nguchire; nyitsarünü nguchicho lüpcho Nühnü ngure, ko arüh nguchi aichi jiyüre. 
JER.32.20	Papade Ijip la Nühnü thsayahiya ko anyemüyangnungti nguchicho, ko chünye yingcheh Israel la ko yucho apüm la mütozah hütsüri nguchire, hütsü khu ade Nüh apümlang müdhere. 
JER.32.21	Thsayahiya ko anyemüyangnungnü ihrü rorüh nehsohko, ko Nü müyurü Israelrü Ijip lanü nüchehnung Nühnü Nü re ko zii bichiko. 
JER.32.22	Nühnü arüh jümürü te nyengchocho kyo nyikih ko thsakukih pohba lih arüh khyang jüko. 
JER.32.23	Ta arühnü ro hiba lih khyüde, Nü yuzeng mübichi mahkhang Nü adoba roh-i müli; ko Nühnü yocho tusü arühnü münguchi. Hütsü khu Nühnü achangba hiri arüh chah tikehsohcho.
JER.32.24	“Yangdi tsü mahnung Babylonrünü hütsü mükang threhju jure, ko arüh mahle. Chita, yangkong ko thsaranü yangdi tsü arüh khehla züdusohnung. Nühnü chocho apüm tikehko. 
JER.32.25	Ta, Amichahba 
JER.32.26	Hütsüde 
JER.32.27	“Ih nyitsarü apüm Tsingrang, 
JER.32.28	 Ihnü yangdi hi Babylon Yangthsaba Nebukadnezar ko abi rothsarü khehla jünung; 
JER.32.29	arühnü hütsü kohnung ko michang thsürangjünung. Arühnü hütsü nyitsarünü kuhmung chah Baal tsingrangti khyang müchiji trüp ko aparü tsingrang khyang yongkha amübü tungkehjo I zichürosohba kuh zeh trüp-pehjünung. 
JER.32.30	Arüh yukheh adikeh lanü Israelrü ko Judarünü arüh nguchinü Ih mükünyangsoh ko I zichürosohko. 
JER.32.31	Yangdi hi thri nyümong lanü hila lirünü I zii ko rihlong chürosohcho. 
JER.32.32	Judarü ko Jerusalemrü, arüh yangthsarü ko langnürü, bebürü ko azikehrüti zeh nguchicho amünyi apüm ngang Ihnü hiba yangdi changjünung dhrongchehko. 
JER.32.33	Arühnü I tenü ximülako; ko Ihnü arüh te donye, arühnü münyire mahkhang münyichore. 
JER.32.34	 Ih mübünung thsaba Amübükuh la mii arühnü athrünyinung kyothri yohpüko, ko hütsü münyijüko. 
JER.32.35	 Arühnü Molek tsingrang khyang arüh tsurüti ko tsularüti kangmübü jünung, Hinnom Ngah la Baal khyang bholu külüpko. Ihnü hütsüta nguchinung arüh khyang yuzeng müjü ko arühnü hütsüta nguchi Judarü münyi shitpahsohnungepü I lasih la mii müzüro.”
JER.32.37	Ihnü zii ko rihlong chüro shupishuza pehba yuchoti lanü, I müyurü nübülungnung, ko hiba lih la arüh thali noronung ko arüh hila khümcho lisohnung. 
JER.32.38	Hütsüde arüh I müyurü ko Ih arüh Tsingrang thsanung. 
JER.32.39	Arüh akang la alümcho khüdu du lisohnung: arüh ko arüh shümtsurü tsanung nengdang akang ayung Ih dhichinung. 
JER.32.40	Ihnü arüh te müchangkaba azengchotaba khüdu külüpnung. Ihnü arüh nengdang nguchi atsa nguchiba müzahnung, ko arühnü I tenü khodesü ximüla mütsinung nengdang arüh lasih apümnü Ih drüsohnung. 
JER.32.41	Arüh nengdang nguchi atsa nguchiba la Ih künyangnung, ko Ihnü arüh hiba lih la arühtoh lisohnung.
JER.32.42	“Ihnü hiri nyitsarü chah achangba hirojücho kyo, Ihnü anyengchocho atsa apüm arüh khyang jünung. 
JER.32.43	Hiba lih hi nyitsarü nye kanglungrü nye mülichehba lihpi kangnung, ko hütsü Babylonrü khyang jünungepü nyitsarünü chore. Ta hiba lih la thali luh lihnung. 
JER.32.44	Nyitsarünü hütsüri lihnung, athrahtaba la neng thrahnung, shingtinung, ko yuzi thsanung. Hi Benjamin lih la, Jerusalem mükang yangdongti la, Juda yangditi la, azong lih yangditi la, azong jingdümpi la ko Juda kihjing lahpi la tikehnung. Ihnü müyurü khyang arüh lih thali jünung. Ih, 
JER.33.1	Ih adesü kekhüm arangyoh kuhla lide, Ih yang 
JER.33.2	Limih thribong, hütsü chürosohba ko hütsü lisohbanü I te chotacho. Abinü yocho, Abi neng tsü 
JER.33.3	“I te dsing ko Ihnü lalingnung; nührünü mümüdhecho Ihnü anyemüyangnung ko anyekanung yu yonung. 
JER.33.4	Ih, 
JER.33.5	Khürünü Babylonrü nyüm chitanung, hütsüla I rihlong chüro kyüsehnung liba me dunü yangdi jengnung. Nyitsarütinü amünyi nguchicho khu Ihnü hiba yangdi pehjücho. 
JER.33.6	Ta Ihnü hiba yangdi ko nyitsarüti kyangjünung ko arüh tsasohnung. Ihnü arüh te yangtsa ko akhümcho thangchi ngusohnung. 
JER.33.7	Ihnü Juda ko Israel pungrohirosohnung, ko arüh akhudi kyo külüpchijünung. 
JER.33.8	Ih nyüm amünyi shitpahcho lanü Ihnü arüh müsachehjünung, ko arühnü nyümcho münyi mülangpehjünung. 
JER.33.9	Jerusalem tsü I bete akünyang, adhichi ko akükhing linung; ko Ihnü Jerusalemrü te nguchi atsa nguchicho ko yangdi chah amüwa mükhakehjücho yuchide limih la yuchotinü drünung ko dhridhrinung.”
JER.33.11	 Ta hiri müdüm la akünyang ko alongphinü züdecho ko kukangba thsüti yuva nührünü thali yuchinung. I amübükuh la nengse amübü hirode khi thsacho nührünü yuchinung; arühnü yonung,
JER.33.11	‘Akohba 
JER.33.11	tunüo Abi atsa lile
JER.33.11	ko Abi amüi achangka müle.’
JER.33.11	Ihnü hiba lih hi akhudi kyo pungrohirosohnung. Ih, Akohba 
JER.33.12	Akohba 
JER.33.13	Azonglih yangditi la, azong jingdümpi la ko Juda kihjing lahpi, Benjamin lih la, Jerusalem mükang liba yangdongti la ko Juda yangditi la, san nyahrünü thali arüh san khinung. Ih, 
JER.33.15	Hütsü shikhe Ihnü David trah lanü Amüsarü khüdu Yangthsaba thronung. Hiba Yangthsabanü yanglih apüm la yuje ko athsalang du nguchinung. 
JER.33.16	Judarü ko Jerusalemrü khümchonung ko tbachi linung. Yangdi tsü, ‘
JER.33.17	 Israel la lede David trah la dunü Yangthsarü chürosohnung Ih, 
JER.33.18	 ko I dikehnung ko trüp mübü, tsang mübü ko kangmübü mübünung lede Levi hung lanü bebürü thronung.”
JER.33.20	“Ihnü anyümong ko aromang arüh becho la rosohnung azengchotaba külüpko; ko hütsü khodesü müthsangnyangnung. 
JER.33.21	Hütsü kyo lede I dikehrü David trah lanü Yangthsaba chüronung azengchotaba külüpko; ko Levi hung lanü Ih lede dikehnungthsa azengchotaba külüpko; ko hütsüri khodesü müthsangnyangnung. 
JER.33.22	Ning chah chenghiti khidhengnung mükohcho kyo ko kihbekhüm la lihpi mükhihchehcho kyo, I dikehrü David tsurüti ko I dikehnung Levi hung lanü bebürü suhsohnung.”
JER.33.24	“Ihnü throchehcho tsutpu anyüh Israel ko Juda Ihnü mükhyüchorepü nyitsarünü choba tsü nühnü mümüdheo? Hütsüta arühnü I müyurü nyümre ko arüh yucho khüdu kyo mükhichire. 
JER.33.25	Ta Ih, 
JER.33.26	Ko Ihnü hi yutsatsa nguchicho kyo, Jakob tsurüti te ko I dikehrü David te I azengtacho yohpünung. Abraham, Isak ko Jakob trah michah yangthsanung David trah lanü Yangthsarü khüdu thronung. Ihnü I müyurü te yanglilüm ngunung ko arüh thali pungrohirosohnung.”
JER.34.1	 Babylon Yangthsaba Nebukadnezar ko abi rothsarü yola abi pohki liba yuchoti ko ahungti zeh, Jerusalem ko mükangmüshü liba yangditi mah yade, 
JER.34.2	, Israel Tsingrangnü I te wü Judarü Zedekia te hita yonung yocho, “Ih, 
JER.34.3	Nüh mütsichehnung; nüh rangnung ko abi khehla jünung. Nühnü romih dhsükehta apu te chotanung; hütsüpü nüh Babylon lang nowünung. 
JER.34.4	Zedekia, Ihnü nü nengdang tu yoro hi nyieng. Nüh chita la mükyüsehnung. 
JER.34.5	Nüh tbachi sünung ko nü müngu yangthsarü nü jümürü dhrürangde müchiji tahcho kyo, arühnü nü nengdang müchiji tahnung. Arühnü nü me tra yonung, ‘Ihrü Yangthsaba süko!’ Ih, 
JER.34.6	Achotsü Ihnü hiba yusi hi 
JER.34.7	Babylon Yangthsabanü Jerusalem mah yade, Zedekia khyang yangdi la tsü jücho. Rothsarüti tsünü Juda la nying liba atbüticho yangdi Lakish ko Azeka mah yacho.
JER.34.8	Yangthsaba Zedekia ko Jerusalemrünü arühbürü Israelrü ayurü müyohpünung nengdang, 
JER.34.9	arüh Ibrirü ayurü khingkurü ko adhrerü lehcheh müthehnung azengchotaba külüpcho. 
JER.34.10	Azirü ko müyurü apümnü arüh ayurüti müthehnung ko khodesü arüh thali ayurü mükangsohnung nyengchocho. 
JER.34.11	Arühnü arüh müthehcho, ta akhanglang arüh lümlong thsamüla arüh noro thali ayurü kangsohcho.
JER.34.12	Hütsüde 
JER.34.13	Israel Tsingrangnü I te hiroh-i müyurü te yosohcho: “Ihnü nührü jümürü Ijip lanü nüchehde azengchotaba khüdu arüh te külüpcho ko ayurü suro lanü nüchehcho. 
JER.34.14	 Kang dhünyeh müipi arüh kang dhüroh dikeh rorüh Ibrirü ayurü atümung lehcheh müthehnung Ihnü arüh te yocho. Ta nührü jümürütinü I yu münyicho mahkhang I yocho münguchicho. 
JER.34.15	Nyümao du tsü nührünü nührü lümlong thsamüla Ih künyangnungthsa nguchicho. Nührü atümungnü nührü jünirü Israelrü müthehnung nyengchocho, ko Ih mübüba Amübükuh la I bete nührünü azengchotaba külüpcho. 
JER.34.16	Ta nührünü yuje mücho Ih mükhimünguko. Nührünü müthehba ayurüti tsü nührü atümungnü nüli ro thali ayurü kangsohcho. 
JER.34.17	Hütsüeko ade, Ih, 
JER.34.18	Juda ko Jerusalem la adirüti yola Yangthsaba kuhla xükümrü, bebürü ko langnürütinü misüpung anyüh kang phohrüpcho longla tsü tsehchi I te azengchotaba külüpko. 
JER.34.19	Hütsünü Ihnü hiri nyitsarü chah arühnü misüpung chah nguchicho kyo nguchinung. 
JER.34.20	Ihnü arüh rorüh khehla jünung ko arüh me tsü uzati ko rangmü kanglungrünü tsunung. 
JER.34.21	Ihnü Juda Yangthsaba Zedekia ko abi pohki adirüti arüh rorüh khehla jünung. Nührü te chita zahpü liba Babylon rothsarü khyang Ihnü arüh jünung. 
JER.34.22	Ihnü yuzeng jünung, ko arühnü yangdi lang thalinung. Arühnü hütsü mahnung, kohchehnung, ko trüp-pehjünung. Ihnü Juda yangditi tsü süsü mülinungthsa lihpi kangsohnung. Ih, 
JER.35.1	Juda la Josia tsurü Jehoiakim Yangthsaba lide, 
JER.35.2	“Rekab hung yanglang wüng ko arüh te chotaang. Hütsüpü arüh tsü Amübükuh chongsah khüdu la no zürung ko arüh khyang yongkha tieng.” 
JER.35.3	Achotsü Ihnü Rekab hung apüm, Jazania (apa Jeremia tsurü, Habazinia tsurü) ko anirü ko atsurüti apüm, 
JER.35.4	arüh amübükuh yang norocho. Ihnü arüh tsü Igdalia tsurü azikehrü Hanan monoti chongsah lang nowücho. Hiba chongsah tsü Shalum tsurü Maaseia tsurü chongsah michah-Amübükuh la atungte khüdu ko aparü adirüti chongsah shündhün licho. 
JER.35.5	Hütsüpü Rekabrü bete tsü shing ko mütpah-tbhü yongkhanü jeng yohpüjüpü arüh te yocho, “Yongkha yong.”
JER.35.6	Ta arühnü lalingcho, “Ihrü yongkha müyongre. Ihrü jümürü Rekabrü tsurü Jonadabnü ihrü ko ihrü shümtsurü sünüsü yongkha müyongnung yuzeng jücho. 
JER.35.7	Abinü adesü ihrü te kuh müthsanung mahkhang luh müthsanung mahkhang shükusih mükhyümnung mahkhang mülihnung yocho. Hiba lih la ihrünü shirü kyo linung nengdang lede shükuh la du linung yuzeng jücho. 
JER.35.8	Jonadabnü jücho athülaba apüm ihrünü nyiko. Ihrübürü mahkhang ihrü nitpürü, ihrü tsurü ko tsularütinü khodesü yongkha müyongre. 
JER.35.9	Ihrünü alinung kuh müthsare, ihrünü shükuh la lire, ko ihrü shükusiluh, luh mahkhang fürü müle. 
JER.35.10	Ihrü jümürü Jonadabnü tu mülacho hütsüri apüm ihrünü khahkhah yohpüre. 
JER.35.11	Ta Nebukadnezarnü ihrü yucho mahde, Babylon ko Syriarü rothsarü tenü rangkhu Jerusalem lang ronung dhrongchehcho. Hütsünü ihrü chünye Jerusalem la liyare.”
JER.35.12	Hütsüde, Akohba 
JER.35.13	“Tuepü nührünü I yocho münyicho ko I athülaba mübichiro pü Ih, 
JER.35.14	Jonadab trahnü abi yu nyi yongkha müyongcho, ko chünye yingcheh arüh sünüsü müyongre. Ta nührü te Ihnü yo du yore, ko nührünü I yu münyi. 
JER.35.15	Ihnü nührü yang mütozah I dikehrü azikehrü müthehre, ko arühnü nührü te amünyi langti pehjünung ko yuje du nguchinung yore. Ko Ihnü nührü ko nührü jümürü khyang jüba lih la tsü lidu linung nengdang aparü tsingrangti mümübünung ko müdikehnung nührü te müzahsohko. Ta nührünü I yu münyi. 
JER.35.16	Jonadab trahnü arüh jümürünü jücho amülaba bichiko, ta nührünü I yu münyi. 
JER.35.17	Hütsünü ade, Ih, Akohba 
JER.35.18	Hütsüde Rekab hung te Akohba 
JER.35.19	Hütsünü Ih, Akohba 
JER.36.1	 Juda la Josia tsurü Jehoiakim yangthsacho kang müyüu la, 
JER.36.2	“Thrahlohcho khüdu hirung ko hütsüla Israel, Juda ko yucho apüm nengdang Ihnü nü te tuturü yocho hütsüri apüm thrahng. Josia yangthsathsaba tinü ade tizah la Ihnü nü te chotacho lüpcho thrahng. 
JER.36.3	Judarünü Ihnü arüh chah hironung licho achangba hiri apüm yuchide, kümüdeo arühnü arüh amünyi lang apüm lanü ximülanung. Hütsükhang Ihnü arüh khürah ko arüh münyi mülangpehjünung.”
JER.36.4	Achotsü Ihnü Neria tsurü Baruk dsiro 
JER.36.5	Hütsüpü Ihnü Baruk khyang athülaba hiri jücho: “Ih adelü Amübükuh la müzüdusohre. 
JER.36.6	Hütsüeko müyurü kongnung bekhyah la tsü Ihnü nüh hütsüla wüsohnyüre. I te 
JER.36.7	Kümüdeo arühnü arüh münyi lang lanü ximüla 
JER.36.8	Hütsüta Ihnü abi te yocho roh-i Baruknü Amübükuh la 
JER.36.9	Juda la Jehoiakim yangthsathsacho kang münga choo adüku-u la, 
JER.36.10	Hütsüla müyurü apümnü nyi yade, Baruknü thrahlohcho tsü khicho. Abinü hütsü yukha la athrahba, Shafan tsurü Gemaria liba chongsah Amübükuh lanü khicho. Abi chongsah tsü Amübükuh la Tbükhüm Asi trahtri shündhün amungthriba kekhüm la licho.
JER.36.11	Baruknü 
JER.36.12	Hütsüde abinü Yangthsaba kuhla, adirüti khiyu kihta pümyaba yukha athrahba chongsah la tsü wücho. Hütsüla athrahba Elishama, Shemaia tsurü Delaia, Akbor tsurü Elnathan, Shafan tsurü Gemaria, Hanania tsurü Zedekia ko aparü adirüti apüm pümcho. 
JER.36.13	Baruknü müyurü te khide yuchirü apüm te Mikaianü yocho. 
JER.36.14	Hütsünü adirütinü Jehudi (Kushi shümtsurü anyüuba ko Shelemiarü shümtsurü ko Nethania tsurü) tsü Baruk yang abinü müyurü te khiba thrahlohcho tsü chingnung müthehcho. Baruknü arüh khyang thrahlohcho tsü hirojücho. 
JER.36.15	Arühnü yocho, “Püm ko ihrü te thrahlohcho tsü khi young.” Achotsü Baruknü khi yocho. 
JER.36.16	Abinü hütsü khiko khanglang, arüh-e arührü dhengta Baruk te yocho, “Ihsanü hi Yangthsaba te yonung.” 
JER.36.17	Hütsüpü arühnü abi te tsingdhengcho, “Nühnü hi apüm khüta thrahcho ihrü te young? Jeremianü nü te cho thrahsohcho mah-o?”
JER.36.18	Baruknü lalingcho, “Jeremianü yutse apüm I te chocho ko Ihnü hiba thrahlohcho la ngakinü thrahcho.”
JER.36.19	Hütsüde arühnü abi te yocho, “Jeremia nühjü wü rangpehng. Nühjü rangcho sü khyangsü tümüdhesoh.”
JER.36.20	Adirütinü thrahlohcho tsü yukha athrahba Elishama kuhla yohpücho, ko Yangthsaba kuh lang wü abi te lüpcho tsü yocho. 
JER.36.21	Hütsüde Yangthsabanü thrahlohcho tsü hironung Jehudi müthehcho. Abinü hütsü Elishama kuh lanü hiro Yangthsaba ko abi mükang yarü adirüti apüm te khi yocho. 
JER.36.22	Hütsü tsingkang bekhyah thsacho ko Yangthsaba tsü abi tsingkang kuhla michang te pümcho. 
JER.36.23	Jehudinü vatpah asang müyü khichi du Yangthsabanü hütsü khyo nohchangnü tsehnahpü michang la yohcho. Thrahlohcho tsü mütrüpkhangde abinü khingchi tahcho. 
JER.36.24	Ta Yangthsaba ko hütsü yuchirü adirüti sünüsü müdrü mahkhang tu longri mülicho. 
JER.36.25	Elnathan, Delaia ko Gemariarünü Yangthsaba te thrahlohcho tsü tüdrüp pü kihchinye, abinü arüh yu tsü münyicho. 
JER.36.26	Hütsüpü abinü Yangthsaba tsurü Seraia ko Abdel tsurü Shelemiarü te Ih ko I athrahba Baruk rangnung yuzeng jücho. Ta 
JER.36.27	Yangthsaba Jehoiakimnü Baruk te Ihnü yo thrahsohba thrahlohcho tsü trüp-pehjüko khanglang, 
JER.36.28	nü I te thrahlohcho apa khüdu khyo akhudiba la zehcho apüm tsü thrahyohnung yocho. 
JER.36.29	nü I te hiroh-i Yangthsaba te yonung yocho, “Nühnü thrahlohcho tsü trüp-pehjüko, ko nühnü Jeremia te tuepü abinü Babylon Yangthsabanü ro hiba lih, müyurü ko kanglungrü changjünung thrahcho pü tsingdhengko. 
JER.36.30	Hütsüeko ade, Yangthsaba Jehoiakim, David yanglih la nü chahnü trahchocho sünüsü yangthsa müthsanung. Ih, 
JER.36.31	Nührünü shitpahcho münyi hiri apüm ngang, Ihnü nüh, nü trah ko nü pohki adirüti khingchinung. Nüh, Jerusalemrü ko Judarü sünüsü I yu münyi, hütsünü Ihnü yoba achangba apüm tsü nührü chah küronung.”
JER.36.32	Hütsüpü Ihnü thrahlohcho apa khüdu hiro I athrahba Baruk khyang jücho, ko Ihnü yocho lüpcho abinü thrahcho. Akhudiba alohba la zehba lüpcho ko Ihnü abi te yocho yusi apüm abinü thrahyohcho.
JER.37.1	Babylon Yangthsaba Nebukadnezarnü Josia tsurü Zedekia tsü Jehoiakim tsurü Jehoiakhin mülih Juda la Yangthsaba kangsohcho. 
JER.37.2	Ta 
JER.37.3	Yangthsaba Zedekianü ihrü yucho nengla 
JER.37.4	Ih hütsütadelü arangyoh la mürangyoh-e, müyurü yola alümxü mülipü rachiba bekhyah thsacho. 
JER.37.5	Babylon rothsarütinü Jerusalem mah yacho, ta Ijiprü rothsarüti lurü khu rocho yuchide, arühnü shehlicho.
JER.37.6	Hütsüde, 
JER.37.7	“Ijiprü rothsarü nü tronung role, ta arühnü thalinung. 
JER.37.8	Hütsüpü Babylonrü thali ronung, yangdi tsü mahnung, kohchehnung, ko trüp-pehjünung. 
JER.37.9	Babylonrü thali müronungepü lüm nührü jangjang tükiyohchü pü Ih, 
JER.37.10	Nührünü Babylonrü rothsarü tsü kohpü shükuh la thsakehrü du pehjü nye, arüh tsü shemüsulinung ko hiba yangdi hi alih chah rongkeh trüpnung.”
JER.37.11	Babylonrü rothsarüti Jerusalem lanü shehlicho, tunüo Ijiprü rothsarü chii rocho. 
JER.37.12	Achotsü Ihnü Jerusalem pehjüpü Benjamin lih lang tsutpu thsiking I nohlüm khyünung wünung shemüsucho. 
JER.37.13	Ta khode Ih Benjamin Tbükhüm chihcho, hütsüla anyahrü rothsarü yola anüchiba, nyüh khüdu, Hanania shümtsurü ko Shelemia tsurü anengnü Irija, abinü Ih yati yocho, “Nüh Babylon lang rang tsile!”
JER.37.14	Ihnü lalingcho, “Hütsüta mah! Ih rang tsirü mah.” Ta Irijanü I yu münyicho. Abinü Ih rangcho ko adirüti yanglang nowücho. 
JER.37.15	Arühnü I te rihlong chürocho ko Ih lahpü yukha athrahba Jonathan kuh tsü arangyoh kuh kangsoh Ih hütsüla khangtinung yuzeng jücho. 
JER.37.16	Ih alihyonglang akhangti la anyahli yohpücho.
JER.37.17	Akhanglang Yangthsaba Zedekianü Ih dsinung müthehcho, ko Yangthsaba kuhla abinü I te rang tsingdhengcho, “
JER.37.17	Ihnü lalingcho, “Lile,” “Nüh Babylon Yangthsaba khehla jünung.” 
JER.37.18	Hütsüde Ihnü abi te tsingdhengcho, “Ih akhangti la yohpünungthsa, Ihnü nüh, nü pohki adirüti ko müyurü nyüm tu thsamehcho?” 
JER.37.19	Babylon Yangthsabanü nüh ko nü yucho mümahnungepü nü te yoba azikehrü chah tu tikehcho? 
JER.37.20	Ko ade, Nüh Adibong, I yu nyieng ko Ihnü tsingdhengcho nguching pü Ihnü kihchire. Yanglilüm Jonathan kuh arangyoh lang Ih thali tüwüsoh. Nühnü Ih wüsohkhang, yuje Ih hütsüla süriri.”
JER.37.21	Hütsünü Yangthsaba Zedekianü Ih Yangthsaba kuhla khangtinung yuzeng jücho. Ih hütsüla licho, ko nyümong mükhu I khyang yangdi la hümthse müthümde hümthse khüdu-khüdu tüpcho.
JER.38.1	Madan tsurü Shefatia, Pashur tsurü Gedalia, Shelemia tsurü Jehukal, ko Malkia tsurü Pashur—hirinü, Ihnü 
JER.38.2	“Sünü emüthsa yangdi la tsü liyanang abi chita mahkhang yangkong mahkhang thsaranü sünung. Ta sünü wü Babylonrü chah hapnang abilü mükyüsehnung; abi akang khümchonung.” 
JER.38.3	nü yocho Ihnü arüh te hisü yocho, “Ihnü yangdi tsü Babylonrü rothsarü khehla jünung ko arühnü hütsü kohcheh khyünung.”
JER.38.4	Hütsüde adirütinü Yangthsaba yanglang wü yocho, “Nyitsarü hi süsohng. Hita chocho khunü yangdi la rothsarüti müsi sümsohre, ko yangdi la nying lirü apüm hütsüta kangre. Abinü müyurü tronung mahpü arüh thsakehjünung du müküpre.”
JER.38.5	Yangthsaba Zedekianü lalingcho, “Dee tsale, nührünü lümcho kyo nguching; Ihnü nührü müyatire.” 
JER.38.6	Hütsünü arühnü Ih nowü Yangthsaba kuhla Malkia kihkong la rangdüshü chahnü Ih züdusohcho. Kihkong la tsü chongbong chah khu kih müzehcho, ko Ih dhrümrangcho.
JER.38.7	Ta, Yangthsaba kuhla nguchirü, axangmicho Ethiopiarü Ebedmeleknü Ih arühnü kihkong la züdusohkopü yuchicho. Hütsütade Yangthsaba tsü Benjamin Tbükhüm la yukha pümcho. 
JER.38.8	Achotsü Ebedmeleknü yangthsaba yanglang wü yocho, 
JER.38.9	“Adibong, hiri nyitsarünü nguchiba tsü amülange. Arühnü Jeremia rangpü kihkong la dhiyohchüpüle, hütsüla abi ayangchonü süriri, tunüo yangdi la tsuyongnung müle.” 
JER.38.10	Hütsüde Yangthsabanü Ebedmelek yola nyüh asang nüpü ro Ih müsü denü kihkong la tsünü tphahchehnung mülacho. 
