MAT.1.1	Yisu †Kilisi ndê apai si ŋadênaŋ dindec. Iŋ sa akêŋ Dawid ndê, ma Dawid sa akêŋ Abraham ndê.
JHN.15.21	Ŋac oc sêkôm gêŋ hoŋ dinaŋ têŋ mac tu mac akêŋ whiŋ aö-ŋga, ŋahu bu ŋac sêŋyalê iŋ naŋ kêkiŋ aö gameŋ, naŋ dom.
JHN.15.22	“Aö bu wameŋ ma wahoc neŋ yom asê têŋ ŋac dom, dec ŋac si giso mba. Magoc ŋac sêŋgô aneŋ yom hoŋ su ma sêkêŋ whiŋ dom, dec ŋalêŋ mba bu sêmasaŋ yom têŋ Anötö tu ŋac si giso-ŋga. 
JHN.15.23	Asa naŋ atac tec aö, naŋ atac tec Damaŋ whiŋ. 
JHN.15.24	Aö gakôm gêŋ dalô yêc ŋac si aŋgô-ŋga, naŋ ŋamalac daŋ gitôm dom bu kôm. Aö bu watôc têŋ ŋac dom, dec ŋac si giso mba. Magoc ŋac sêlic su, ma sêkêŋ whiŋ aö dom. Mba! Ŋac sêtec aö, ma sêtec Damaŋ whiŋ. 
JHN.15.25	Ma bocdinaŋ Anötö ndê yom naŋ sêto yêc ŋac si buku yomsu-ŋga,
JHN.15.26	“Tiŋambu, aö waŋkiŋ Ŋalau meŋ bu puc mac dôŋ ma nem mac awham sa. Iŋ Ŋalau naŋ sa akêŋ Damaŋ, ma sôm yom ŋandô eŋ. Ma têŋ ndoc iŋ meŋ, naŋ iŋ oc hoc yom ŋandô asê pi aö. 
JHN.15.27	Ma mac oc ahoc yom ŋandô asê pi aö bocdinaŋ, b u mac ambo awhiŋ aö têŋ ŋamata-ŋga e meŋ têŋ dec.
JHN.16.1	“Aö gasôm yom hoŋ dindec têŋ mac bu wapuc mac dôŋ, bu ahu nem akêŋ whiŋ aö siŋ dom têŋ ndoc mac atap kisa sa. 
JHN.16.2	Lau Israel-ŋga oc sêmasuc mac su yêc gôlôwac Israel-ŋga. Ndoc oc meŋ, naŋ lau oc sêndic mac nem lau ŋatô ndu, ma ŋac oc gauc nem bu sêkôm gêŋ ŋayham tu sênem akiŋ Anötö-ŋga. 
JHN.16.3	Ŋac sêŋyalê Damaŋ dom, ma sêŋyalê aö dom, ma tu dinaŋ-ŋga dec ŋac oc sêkôm bocdinaŋ têŋ mac. 
JHN.16.4	Magoc kwahic dec aö gasôm yom dindec têŋ mac, bu têŋ ndoc gêŋ dau hôc asê mac, naŋ gauc nem bu aö gakêŋ puc mac gwanaŋ su.”
JHN.16.4	“Aö gasôm yom dinaŋ asê têŋ mac muŋ su dom, ŋahu bu aö gambo gawhiŋ mac. 
JHN.16.5	Magoc kwahic dec aö oc wahu mac siŋ, ma wambu watêŋ iŋ naŋ kêkiŋ aö gameŋ, naŋ wandi. Ma bocke dec mac nem daŋ ndac aö pi gameŋ wandi-ŋga dom? 
JHN.16.6	Tigeŋ tu aö gasôm bu wahu mac siŋ-ŋga, dec kayalê bu mac nem ŋalôm ŋawapac ŋandô. 
JHN.16.7	Aö wasôm yom ŋandô têŋ mac, bu aö bu wahu mac siŋ dec oc wanem mac sa. Aö bu wahu mac siŋ dom, goc Ŋalau Nem Mac Sa-ŋga oc têŋ mac meŋ dom. Magoc aö bu wandi, dec aö waŋkiŋ iŋ têŋ mac meŋ. 
JHN.16.8	Ma têŋ ndoc iŋ meŋ, naŋ iŋ oc tôc lau nom-ŋga si giso asê tiawê pi sac, ma pi lêŋ gitêŋ, ma pi Anötö ndê matôc. 
JHN.16.9	Iŋ oc tôc ŋac si sac ŋahu asê, naŋ sip ŋac sêkêŋ whiŋ aö dom. 
JHN.16.10	Ma iŋ oc tôc asê bu lau nom-ŋga sêŋyalê Anötö ndê lêŋ gitêŋ dom, bu aö oc watêŋ Damaŋ wandi, ma mac oc alic aö tiyham dom.
JHN.16.11	Ma iŋ oc tôc asê bu Anötö oc êmatôc sac hoŋ, tôm kwahic dec iŋ oc êmatôc nom dindec ŋadau.
JHN.16.12	“Yom daêsam yêc bu wasôm têŋ mac, magoc mac atôm dom bu akôc sa. 
JHN.16.13	Magoc têŋ ndoc Ŋalau Yom Ŋandô-ŋga meŋ su, naŋ iŋ oc nem mac sa bu aŋyalê yom ŋandô hoŋ. Ŋahu bu iŋ oc sôm dau ndê yom asê dom, magoc yom hoŋ naŋ iŋ ŋgô yêc alu Damaŋ, naŋ dec iŋ oc hoc asê. Ma iŋ oc kêŋ puc mac pi gêŋ naŋ oc hôc asê tiŋambu. 
JHN.16.14	Ŋalau Dabuŋ oc po aneŋ waêŋ sa, ŋahu bu iŋ oc kôc aö dauŋ neŋ yom, ma hoc asê têŋ mac. 
JHN.16.15	Damaŋ ndê gêŋ hoŋ ti aö neŋ, ma tu dinaŋ-ŋga dec gasôm têŋ mac bu gêŋ hoŋ naŋ Ŋalau oc hoc asê têŋ mac, naŋ meŋ akêŋ aö neŋ.”
JHN.16.16	Goc Yisu sôm, “Ŋasawa sauŋ mac oc alic aö dom, ma ŋasawa sauŋ mac oc alic aö tiyham.” 
JHN.16.17	Yisu sôm yom dinaŋ, goc iŋ ndê ŋgacsêŋomi sem yomgalôm, ma ŋatô sêsôm têŋ dandi, “Yom bocke dec iŋ sôm bu ŋasawa sauŋ yac oc dalic iŋ dom, ma ŋasawa sauŋ yac oc dalic iŋ tiyham? Ma iŋ sôm bu iŋ oc têŋ Damba ndi.” 
JHN.16.18	Goc sêndac dandi ŋapaŋ bu, “Iŋ ndê yom dinaŋ pi ŋasawa sauŋ, naŋ ŋahu bocke? Yac taŋyalê iŋ ndê yom ŋahu dom.”
JHN.16.19	Yisu kêyalê bu ŋac bu sêndac iŋ pi yom dau, dec sôm têŋ ŋac, “Aö gasôm bu ŋasawa sauŋ mac oc alic aö dom, ma ŋasawa sauŋ mac oc alic aö tiyham. Tu sake-ŋga mac am yomgalôm pi yom dau? 
JHN.16.20	Yomandô aö wasôm têŋ mac, bu têŋ ndoc aö wahu mac siŋ, naŋ mac oc ahu daŋgibo asê ma ataŋ, magoc lau sac nom-ŋga oc atac ŋayham sa. Mac oc ambo ti nem ŋalôm ŋawapac, magoc tiŋambu mac nem ŋalôm ŋawapac oc nem dau kwi ti atac ŋayham. 
JHN.16.21	Oc nditôm awhê tidaê naŋ ndê ndoc meŋ sa bu kôc balêkoc-ŋga. Iŋ ŋalôm ŋawapac bu iŋ kêsahê ŋandê atu. Tigeŋ têŋ ndoc iŋ kôc balêkoc dau su, naŋ iŋ oc gauc nem ŋandê dau tiyham dom, bu iŋ atac ŋayham sa bu iŋ ndê balêkoc hôc asê su. 
JHN.16.22	Ma mac bocdinaŋ, kwahic dec mac ambo ti ŋalôm ŋawapac, magoc tiŋambu aö walic mac tiyham, ma têŋ ndoc dinaŋ, mac oc atac ŋayham atu. Ma lau daŋ oc sêkôc atac ŋayham su yêc mac dom. 
JHN.16.23	Têŋ têm dinaŋ mac oc andac aö pi gêŋ daŋ tiyham dom. Yomandô aö wasôm têŋ mac, bu gêŋ sake naŋ mac ateŋ têŋ Damaŋ tu aneŋ ŋaê-ŋga, naŋ iŋ oc kêŋ têŋ mac. 
JHN.16.24	Têŋ ŋamata-ŋga e meŋ têŋ kwahic dec, mac ateŋ gêŋ daŋ tu aneŋ ŋaê-ŋga dom. Kwahic dec ma ndi, naŋ ateŋ gêŋ tu aneŋ ŋaê-ŋga. Ma Anötö oc kêŋ têŋ mac, ma mac oc atisambuc ŋandô.”
JHN.16.25	“Gêŋ hoŋ dinaŋ aö gasôm têŋ mac ŋa yom gôliŋ. Magoc têm oc meŋ sa, naŋ aö oc wasôm yom têŋ mac ŋa yom gôliŋ dom. Aö oc wasôm yom yêc awê têŋ mac pi Damaŋ. 
JHN.16.26	Têŋ ndoc dinaŋ mac oc ateŋ gêŋ tu aneŋ ŋaê-ŋga. Aö wasôm têŋ mac, bu aö dauŋ oc wanem mac awham têŋ Damaŋ lec dom. Mac daôm ateŋ nem mbec solop têŋ iŋ, 
JHN.16.27	bu iŋ atac whiŋ mac. Aêc! Damaŋ Anötö atac whiŋ mac, ŋahu bu mac atac whiŋ aö, ma akêŋ whiŋ bu iŋ kêkiŋ aö gameŋ. 
JHN.16.28	Aö gambo gawhiŋ Damaŋ muŋ su, dec gasip nom gameŋ. Ma kwahic dec aö bu wahu nom siŋ ma wambu watêŋ iŋ wandi.”
JHN.16.29	Têŋ dinaŋ Yisu ndê ŋgac-sêŋomi sêsôm têŋ iŋ, “Kwahic dec am sôm yom yêc awê, ma sôm ŋa yom gôliŋ dom. 
JHN.16.30	Ma kwahic dec yac aŋyalê bu am kêyalê gêŋ hoŋ. Ma lau sêkêŋ gêndac têŋ am dom magoc am kêyalê ŋac si gauc ti yom hoŋ muŋ. Tu dinaŋ-ŋga dec yac akêŋ whiŋ bu am mweŋ akêŋ Anötö ndê.” 
JHN.16.31	Goc Yisu sôm têŋ ŋac, “Kwahic dec mac akêŋ whiŋ, a? 
JHN.16.32	Aö wasôm têŋ mac, bu ndoc oc meŋ sa, ma kwahic dec meŋ kêpiŋ su, naŋ mac hoŋ oc ahu aö siŋ ma alhö têŋtêŋ. Magoc aö oc wambo taŋwasêŋ dom, bu Damaŋ oc mbo whiŋ aö. 
JHN.16.33	Aö gasôm yom hoŋ dindec têŋ mac bu wapuc mac dôŋ bu ambo ti atac malô tu aö-ŋga. Yêc nom mac oc atap ŋawapac sa, magoc ambo ti nem ŋalôm pêŋ dôŋ, bu aö gaku ŋaclai nom-ŋga dulu su.”
JHN.17.1	Yisu sôm yom dinaŋ su, goc tatac undambê, ma teŋ mbec bocdec bu, “Damaŋ, aneŋ ndoc hôc asê su. Po am Atôm, aö dec neŋ waêŋ sa, ma ŋalêŋ dinaŋ aö oc wapo am nem waêm sa. 
JHN.17.2	Am kêŋ ŋaclai têŋ aö pi ŋamalac hoŋ, tu bu wakêŋ lau hoŋ naŋ am kêŋ têŋ aö, naŋ sêmbo tali ŋapaŋ. 
JHN.17.3	Ma ŋac si ŋahu sêmbo tali ŋapaŋ-ŋga dau bocdec bu, sêŋyalê am Anötö ŋandô tigeŋ, ma sêŋyalê aö, Yisu Kilisi naŋ am kêkiŋ aö gameŋ.
JHN.17.4	“Aö gac dabiŋ gweleŋ naŋ am kêŋ sip aö amaŋ, ma tu dinaŋ-ŋga dec aö gapo nem waêm sa yêc nom. 
JHN.17.5	Têŋ ŋamata-ŋga nom dindec mbasi, naŋ aö dec gambo gawhiŋ am ma hêclu dawêkaiŋ ŋawasi atu dawhiŋ dauŋ. Kwahic dec Damaŋ, aö wandac am bu kôc aö sa bu wambo wawhiŋ am tiyham ti ŋawasi atu dau.”
JHN.17.6	Ma Yisu sôm, “O Damaŋ, am kêyaliŋ am nem lau sa yêc nom, ma kêŋ ŋac sêsip aö amaŋ. Aö gatôc am asê têŋ ŋac su, ma ŋac daŋga wambu am nem yom. 
JHN.17.7	Ma kwahic dec ŋac sêŋyalê bu gêŋ hoŋ naŋ aö gakôm, naŋ ŋahu am daôm, ma am kêŋ sip aö amaŋ bu wakôm-ŋga. 
JHN.17.8	Bu yom naŋ am kêŋ têŋ aö, naŋ aö gasôm asê têŋ ŋac, ma sêkôc sa. Ma ŋac sêŋyalê pi ŋandô bu muŋ-ŋga aö gambo gawhiŋ am, ma sêkêŋ whiŋ bu am daôm kêkiŋ aö gameŋ. 
JHN.17.9	Kwahic dec aö bu wateŋ mbec tu ŋac-ŋga. Aö wateŋ tu lau nom-ŋga hoŋ-ŋga dom, magoc aö wateŋ tu am nem lau hoŋ, naŋ am kêŋ sip aö amaŋ-ŋga. 
JHN.17.10	Aneŋ lau hoŋ sêti am nem, ma am nem lau hoŋ sêti aö neŋ. Ma aö gatap waêŋ sa tu ŋac-ŋga. 
JHN.17.11	Aneŋ têm wambo nom-ŋga pacndê, ma malô aö oc watêŋ am waloc. Magoc ŋac oc gacgeŋ sêmbo nom. O Damaŋ dabuŋ, aö bu wateŋ am bu yob lau dinaŋ ŋa am nem ŋaê ŋa-ŋaclai atu naŋ am gêlic ŋayham bu kêŋ têŋ aö. Yob ŋac bu sêpiŋ dau dôŋ sêti gêŋ tigeŋ, gitôm hêclu dati gêŋ tigeŋ. 
JHN.17.12	Têŋ ndoc aö gambo gawhiŋ ŋac, naŋ aö gayob ŋ ac ŋapep ŋa am nem ŋaê ŋa-ŋaclai naŋ am kêŋ têŋ aö. Ma bocdinaŋ ŋac si daŋ giŋga dom. Ŋgac tigeŋ naŋ gic waê bu peŋ, naŋ tawasê oc niŋga, bu kôm yom naŋ sêto yêc, naŋ ŋandô sa.
JHN.17.13	“Malô aö oc watêŋ am waloc. Tigeŋ kwahic dec aö gambo nom ma gasôm yom hoŋ dinaŋ asê têŋ aneŋ lau, tu bu aneŋ atac ŋayham nem ŋac ahuc, ma kôm ŋac sêtisambuc. 
JHN.17.14	Aö gakêŋ am nem yom têŋ ŋac, ma lau sac nom-ŋga atac tec ŋac. Sêtec ŋac ŋahu bu ŋac si mala ŋandô yêc nom dom, gitôm aö dauŋ neŋ malaŋ ŋandô yêc nom dom. 
JHN.17.15	Aö wateŋ am bu kôc ŋac su yêc nom dom, magoc aö wateŋ am bu yob ŋac tu ŋgac sac Sadaŋ-ŋga. 
JHN.17.16	Ŋac si mala ŋandô yêc nom dom, gitôm aö neŋ malaŋ ŋandô yêc nom dom. 
JHN.17.17	Damaŋ, am nem yom iŋ yom ŋandô eŋ. Kêŋ nem yom ŋandô sip ŋac si ŋalôm bu kôm ŋac sêti lau dabuŋ ŋandô. 
JHN.17.18	Tôm am kêkiŋ aö gasip nom gameŋ, dec aö waŋkiŋ ŋac sêsa sêndi sêmbo lau nom-ŋga ŋalôm. 
JHN.17.19	Kwahic dec aö gam dabuŋ dauŋ bu wandic bata am nem lêŋ nem lau si-ŋga, ma ŋalêŋ dau dinaŋ dec oc tôm bu ŋac dau sêti am nem lau dabuŋ.”
JHN.17.20	“Aö wateŋ mbec tu lau naŋ kwahic dec sêŋyalê aö, naŋ tawasê-ŋga dom. Aö wateŋ mbec tu lau hoŋ naŋ sêŋgô yom naŋ ŋac oc sêhoc asê pi aö, ma sêkêŋ whiŋ aö-ŋga sêwhiŋ. 
JHN.17.21	Kêŋ ŋac hoŋ sêmbo ti ŋalôm ma gauc tigeŋ, gitôm hêclu dati gêŋ tigeŋ, am mbo aö ŋalôm, ma aö gambo am ŋalôm. Pwiŋ ŋac hoŋ dôŋ sênem damiŋ hêclu, ma bocdinaŋ têŋ ndoc lau nom-ŋga sêlic ŋac sêpiŋ dau dôŋ ti ŋalôm tigeŋ, dec ŋac hoŋ oc sêkêŋ whiŋ bu am kêkiŋ aö gameŋ. 
JHN.17.22	Am nem ŋaclai ti ŋawasi naŋ am kêŋ têŋ aö, naŋ dec aö gakêŋ têŋ ŋac, bu ŋac oc sêti gêŋ tigeŋ gitôm hêclu dati gêŋ tigeŋ. 
JHN.17.23	Am mbo aö ŋalôm, ma aö wambo ŋac ŋalôm, tu bu wapiŋ ŋac dôŋ bu sêmbo ti ŋalôm ma gauc tigeŋ. Ma bocdinaŋ lau nom-ŋga oc sêŋyalê bu am kêkiŋ aö gameŋ, ma bu am atac whiŋ ŋac gitôm am atac whiŋ aö.
JHN.17.24	“Damaŋ, aö tac whiŋ bu lau hoŋ naŋ am kêŋ ŋac sêsip aö amaŋ, naŋ sêwhiŋ aö sêmeŋ ma sêmbo gameŋ naŋ aö oc wambo. Dec ŋac oc sêlic ŋawasi atu naŋ am kêŋ têŋ aö. Bu muŋ-ŋga, nom dindec mbasi, naŋ am atac whiŋ aö ndu andô, dec kêŋ ŋawasi dau têŋ aö. 
JHN.17.25	O Damaŋ gitêŋ, lau nom-ŋga sêŋyalê am dom. Tigeŋ aö kayalê am, ma lau dindec sêŋyalê bu am kêkiŋ aö gameŋ. 
JHN.17.26	Aö gatôc am asê têŋ ŋac, ma watôc am asê ŋapaŋ. Ma tu dinaŋ-ŋga dec am nem atac whiŋ aö-ŋga oc yêc ŋac si ŋalôm. Ma aö dauŋ oc wambo ŋac si ŋalôm wawhiŋ.”
JHN.18.1	Yisu teŋ mbec dau pacndê, goc iŋ ti ndê ŋgacsêŋomi sêhu Jerusalem siŋ, ma sêpi Busuŋ Kidron-ŋga ŋadaŋga si. Ma sêsôc ôm †olib-ŋga daŋ naŋ yêc dinaŋ. 
JHN.18.2	Judas, ŋgac naŋ hoc Yisu asê, naŋ kêyalê ôm dinaŋ, bu ndoc daêsam Yisu ti ŋgacsêŋomi sêkac sa sêmbo dindê. 
JHN.18.3	Bocdinaŋ têŋ ôbwêc dinaŋ iŋ kêkuc ŋac, ma sa têŋ ôm dau gi. Iŋ wê lau siŋ Rom-ŋga toŋ daŋ ma lau siŋ-ŋga lôm dabuŋ-ŋga ŋatô naŋ dabuŋsiga atu-tu ti lau Palêsai sêŋkiŋ. Ŋac sêŋsêlêŋ ti sêhôc daweŋ ti lam, ma wapa siŋ-ŋga, ma sêhôc asê ôm dinaŋ.
JHN.18.4	Yisu kêyalê gêŋ hoŋ naŋ oc hôc asê iŋ, goc sa gi ma ndac ŋac bu, “Mac aŋsalê asa?” 
JHN.18.5	Ma ŋac sêsôm, “Yac aŋsalê Yisu Nasaret-ŋga.” Dec Yisu sôm, “Aö dauŋ dindec.” (Têŋ ndoc dinaŋ, Judas, ŋgac hoc iŋ asê-ŋga, kalhac whiŋ lau dinaŋ.) 
JHN.18.6	Têŋ ndoc ŋac sêŋgô Yisu ndê yom bu, “Aö dauŋ dindec,” goc ŋac hoŋ sêyu dau su ma sêpeŋ sêsip nom si. 
JHN.18.7	Ma iŋ ndac tiyham, “Mac aŋsalê asa?” Ma sêsôm, “Yisu Nasaret-ŋga.” 
JHN.18.8	Goc iŋ ô yom ma sôm, “Aö gasôm su, bu aö dauŋ dindec. Mac asôm bu mac aŋsalê aö, ma bocdinaŋ atec aneŋ lau dindec sêlhö sêndi.” 
JHN.18.9	Yisu sôm yom dau tu bu nem iŋ ndê ŋgacsêŋomi si-ŋga. Ma tu dinaŋ-ŋga yom naŋ iŋ sôm muŋ su bocdec bu, “Aö oc wayob ŋamalac hoŋ naŋ Damaŋ kêŋ têŋ aö, bu ŋac si daŋ niŋga dom,” naŋ dec ŋandô sa.
JHN.18.10	Saimon Pita kôc iŋ ndê bieŋ baliŋ sa, ma pa dabuŋsiga ŋamata-ŋga ndê ŋgac akiŋ ndê daŋgalauŋ andô-ŋga su. Ŋgac akiŋ dau ndê ŋaê Malkus. 
JHN.18.11	Magoc Yisu sôm têŋ Pita, “Kêŋ nem bieŋ mbu sip ŋapaŋ ndi. Damaŋ kêŋ laclhu ŋawapac-ŋga dindec têŋ aö, ma aö gac waê bu wanôm.”
JHN.18.12	Goc ŋgac bata siŋ-ŋga ti ndê lau siŋ, ma lau siŋ sêyob lôm dabuŋ-ŋga naŋ lau bata Israel-ŋga sêŋkiŋ, naŋ sêkôc Yisu ma sêsô iŋ amba dôŋ. 
JHN.18.13	Goc sêwê iŋ sêtêŋ Kayapas lawa Anas ndê andu si. Kayapas, iŋ lau Israel si dabuŋsiga ŋamata-ŋga têŋ têm dinaŋ. 
JHN.18.14	Iŋ ŋgac naŋ muŋ-ŋga sôm asê têŋ lau bata Israel-ŋga, bu oc ŋayham bu ŋgac tigeŋ mbac ndu ô lau hoŋ.
JHN.18.15	Sêwê Yisu sêtêŋ dabuŋsiga ŋamata-ŋga ndê andu, ma sêsôc tuŋlôm naŋ kêgihi andu dau, naŋ si. Ma Saimon Pita lu ŋgacsêŋom daŋ sêŋkuc. Ŋgacsêŋom dau dabuŋsiga ŋamata-ŋga kêyalê iŋ tidôŋ, ma bocdinaŋ dec iŋ kêkuc Yisu ma gacgeŋ sôc tuŋlôm dau gi. 
JHN.18.16	Magoc Pita sôc gi dom, iŋ kalhac awê kêpiŋ gatam. Dec ŋgacsêŋom naŋ dabuŋsiga ŋamata-ŋga kêyalê, naŋ mbu gi ma sôm yom pi Pita whiŋ awhê akiŋ naŋ yob gatam, goc kôc Pita sôc gi. 
JHN.18.17	Ma awhê akiŋ dinaŋ ndac Pita bocdec, “Ma bocke? Am Yisu ndê ŋgacsêŋom daŋ whiŋ, a?” Magoc Pita pa dau ma sôm, “Mba! Aö dom!”
JHN.18.18	Têŋ ôbwêc dinaŋ gameŋ ŋalhuc sa, dec lau akiŋ ti lau siŋ lôm dabuŋ-ŋga sêkôm ya golom asê goc sêlhac sêŋgihi ma sêŋsulu. Ma Pita gi kalhac whiŋ ŋac ma kêsulu ya.
JHN.18.19	T êŋ dinaŋ, dabuŋsiga ŋamata-ŋga Anas
JHN.18.20	Ma Yisu sôm, “Aö gasôm aneŋ yom hoŋ yêc awê. Aö kadôhôŋ lau gambo ŋac si lôm wê-ŋga ma yêc lôm dabuŋ Jerusalem-ŋga, gameŋ naŋ lau Israel-ŋga hoŋ êlêmê sêkac dau sa sêmbo naŋ. Ma aö gasêc yom daŋ ahuc dom. 
JHN.18.21	Bocdinaŋ tu sake-ŋga am kêsu aö? Ndac lau naŋ sêŋgô aneŋ yom. Ŋac hoŋ sêŋyalê yom naŋ aö gasôm.” 
JHN.18.22	Têŋ ndoc Yisu sôm yom dinaŋ, goc ŋgac siŋ lôm dabuŋ-ŋga naŋ kalhac kêpiŋ iŋ, naŋ tap iŋ sip ali andô ma sôm, “Toc dabuŋsiga atu sa, ma ô iŋ ndê yom bocdinaŋ dom!” 
JHN.18.23	Dec Yisu sôm, “Yom naŋ aö gasôm, naŋ bu yom so, naŋ goc sôm têŋ aö. Magoc aö gasôm yom so daŋ dom, ma tu sake-ŋga dec am tap aö?” 
JHN.18.24	Têŋ dinaŋ Anas kêkiŋ Yisu têŋ dabuŋsiga ŋamata-ŋga Kayapas gi. Ma wac naŋ sêsô iŋ amba dôŋ, naŋ gacgeŋ yêc.
JHN.18.25	Saimon Pita kêsulu ya mbo, ma ŋamalac daŋ ndac iŋ, “Am ŋgac dau ndê ŋgacsêŋom daŋ, me?” Ma Pita pa dau ma sôm, “Mba!” 
JHN.18.26	Dabuŋsiga ŋamata-ŋga ndê ŋgac akiŋ daŋ mbo gameŋ dinaŋ. Iŋ ŋgac naŋ Pita pa iŋ ndê daŋgalauŋ su, naŋ ndê têŋgac. Ma iŋ sôm têŋ Pita, “Ma bocke? Aö galic am kalhac whiŋ ŋgac dinaŋ yêc ôm olib-ŋga. Yomandô, me?” 
JHN.18.27	Magoc Pita pa dau tiyham, ma ŋagahô eŋ dalec daŋ gic hu taŋ.
JHN.18.28	Ôbwêc pacndê, ma têŋ bêbêc ganduc lau bata Israel-ŋga sêhu Kayapas ndê andu siŋ ma sêwê Yisu sêtêŋ gôliŋwaga Rom-ŋga ndê andu si. Lau bata Israel-ŋga dinaŋ sêsôc andu dau dom, sêtöc dau ma gauc gêm bu oc kôm ŋac ŋadômbwi sa yêc Anötö aŋgô-ŋga, dec oc tôm dom bu sêneŋ Mwasiŋ Pasowa-ŋga.
JHN.18.29	Bocdinaŋ Pailot, ŋgac naŋ gêm gôliŋ gameŋ Judia-ŋga sa têŋ ŋac gi, ma ndac ŋac, “Mac asôm bu ŋgac dindec kôm giso bocke?” 
JHN.18.30	Ma sêô yom ma sêsôm, “Iŋ bu ndê giso mbasi, dec yac oc akôc iŋ atêŋ am ameŋ lec dom.” 
JHN.18.31	Dec Pailot sôm, “Mac daôm akôc iŋ sa andi, ma amatôc iŋ êŋkuc mac daôm nem yomsu.” Magoc ŋac sêsôm, “Mba! Bu mac lau Rom-ŋga akêŋ yao bu yac lau Israel-ŋga andic ŋamalac daŋ ndu dom.” 
JHN.18.32	Ŋalêŋ dinaŋ dec Yisu ndê yom pi lêŋ naŋ iŋ oc mbac ndu,
JHN.18.33	Têŋ dinaŋ Pailot hu ŋac siŋ ma sôc andu gi, goc ta Yisu sôc gi ma ndac iŋ, “Am lau Israel-ŋga si Kiŋ, a?” 
JHN.18.34	Ma Yisu ô yom bocdec bu, “Am sôm yom dinaŋ tôm am daôm nem gauc, me lau ŋatô sêsôm yom dau pi aö?” 
JHN.18.35	Ma Pailot sôm, “Aö ŋgac Israel-ŋga dom! Am daôm nem lau ti dabuŋsiga atu-tu Israel-ŋga sêkêŋ am têŋ aö mweŋ. Am kôm gêŋ giso bocke?” 
JHN.18.36	Dec Yisu sôm, “Aneŋ gôliŋ kiŋ-ŋga gitôm kiŋ nom dindec-ŋga si gôliŋ dom. Aö bu wanem gôliŋ gameŋ nom-ŋga daŋ, dec oc tôm bu aneŋ lau akiŋ sêyob aö ma sêndic siŋ bu lau bata Israel-ŋga sêkôc aö dôŋ dom. Magoc aö neŋ gôliŋ ŋahu yêc nom dindec dom.” 
JHN.18.37	Goc Pailot sôm, “Bocdinaŋ, am sôm bu am kiŋ daŋ, a?” Ma Yisu sôm, “Am daôm sôm bu aö kiŋ daŋ. Aneŋ dinaŋ kôc aö, ma aö gahôc asê nom tu gêŋ tigeŋ-ŋga, naŋ tu wahoc yom ŋandô asê-ŋga. Ma lau hoŋ naŋ atac whiŋ yom ŋandô, naŋ sêkôc aneŋ yom sa.” 
JHN.18.38	Pailot ŋgô yom dau goc ndac, “Ma yom bocke iŋ yom ŋandô?”
JHN.18.38	Iŋ sôm yom dinaŋ su, goc sa têŋ lau bata Israel-ŋga gi, ma sôm tiyham têŋ ŋac, “Aö gatap yom daŋ bu tamatôc iŋ pi-ŋga, naŋ sa dom. 
JHN.18.39	Magoc mac nem mêtê daŋ yêc, bu wahu gapocwalô daŋ siŋ têŋ mac têŋ Mwasiŋ Pasowa-ŋga ŋandoc. Mac atac whiŋ bu aö wahu ŋgac dindec, naŋ sêsam bu Kiŋ Israel-ŋga, naŋ siŋ têŋ mac, me mba?” 
JHN.18.40	Magoc sêmbwêc, “Mba! Iŋ dom! Hu Barabas siŋ têŋ yac.” Barabas iŋ lau naŋ sêŋgilí siŋ têŋ lau Rom-ŋga, naŋ si daŋ.
JHN.19.1	Goc Pailot kêŋ Yisu têŋ lau siŋ-ŋga bu sêhi iŋ ŋa sö. 
JHN.19.2	Ma sêŋsau bu sêtoc iŋ sa. Sêwhê wac kêm ma sêkêŋ iŋ uŋ gitôm suŋsuŋ, ma sêkêŋ iŋ sôc ŋakwê kokoc gitôm kiŋ si ŋakwê. 
JHN.19.3	Goc sêsôc sêsa sêlhac iŋ aŋgô-ŋga ma sêmbwêc, “Ei! Datoc lau Israel si Kiŋ dindec sa maŋ!” Ma sêtap iŋ sip ali andô.
JHN.19.4	Ma Pailot sa meŋ tiyham ma sôm têŋ lau bata bu, “Aŋgô su naŋ! Aö neŋ lau siŋ-ŋga oc sêkôc iŋ sa têŋ mac meŋ. Ma bocdinaŋ dec aŋyalê bu aö gatap yom daŋ sa pi iŋ dom.” 
JHN.19.5	Goc sêkôc Yisu sa meŋ, ti suŋsuŋ wac kêm ma ŋakwê kokoc. Ma Pailot sôm, “Alic ŋgac dau dec.” 
JHN.19.6	Têŋ ndoc dabuŋsiga atu-tu ma lau siŋ lôm dabuŋ-ŋga sêlic iŋ, naŋ sêmbwêc, “Ndic iŋ pi a gicso dau! Ndic iŋ pi a!” Magoc Pailot sôm, “Mba! Aö gatap yom daŋ sa pi iŋ dom. Mac daôm akôc iŋ sa andi ma andic iŋ pi a.” 
JHN.19.7	Ma lau bata Israel-ŋga sêsôm, “Iŋ toc dau sa ma sam dau bu Anötö ndê Atu! Ma tu yom sac dinaŋ-ŋga, yac mba yomsu sôm bu iŋ mbac ndu maŋ.”
JHN.19.8	Pailot ŋgô yom dinaŋ ma töc dau ŋandô. 
JHN.19.9	Goc iŋ kôc Yisu mbu sôc andu ŋalôm gi, ma ndac iŋ, “Am mweŋ akêŋ nde?” Magoc Yisu gêm dôŋ. 
