MAT.1.1	Yə̀mē sē lə̀tafē yə̀ mə̀sān mə̄cici Yɛso Krisəti, ywâ 
ACT.22.28	Nē nggɔn gu mē kàn dàn Bulusu de, “Nggə̄ ywan kə̄jī nggān anrīn də̀ sə̄ kan te wān Roman.”
ACT.22.28	Bulusu kàn sà gu mān de, “Wə̄ wān rɛ nkɔ̄n mə̄wə̀ rə̄rɛ̀ də̀ nggə̄ wān bə ngrin nggə̄ màn təte nggə̄ sə̄ sē bān kan te mə̄nē bān Roman, sē yə̄ wān tan yə̄ mwɔn?”
ACT.22.29	Mān tsūtswēywə̄ Bulusu rì və̄lɔn gu mē rɛn, mə̄nē bān sə̄ sē bə̄ mə̀rɛn yə̀ bə de mān ri gu Bulusu kan kā yə̄ dɔn. Mkpān yə̄ nggɔn bān kpānnɛ̄n gu mē tsə de Bulusu sē və̄lɔn wān Roman, yə kan sē gu kì yə̀ mpùr anrɛ̀n de gu nə̄ bə kan nzə̄nzɛ̄ kpān gu Bulusu.
ACT.22.30	Nggɔn bān kpānnɛ̄n gu mē fɔ̀ nkɔ̄n yə̄ gu màn nàn tsə kì yə̀ bān Yahuda sə̄ dan de Bulusu nan. Mbrɛ̄ yə̄ ywā yə̄ bə rɛn bə̄ Bulusu gu, gu nə̄ bə su nzə̄nzɛ̄ yə̄ gu nə̄ bə kan kpān gu. Gu tè ndu nə̄ bə ywe kə gyɔ nggɔn nggɔn bān tɔ̀ kī nə̄ Rì bə̄ nkyɛn mə̄nē bān sē nggɔn nggɔn yə̄ bān Yahuda mē kūkwār də̀tswē bə man kyūn sɔ̄n. Sē ə tswēyəmē yə̄ gu nə̄ bə lwe Bulusu ca gu mān də̀ gu nə̄ gu dōglò krè ə nggà bēshi mə̄nē bān kyūn sɔ̄n ə tswē yəmē.
ACT.23.1	Bulusu dōglò krè ə nggà bēshi mə̄nē nggɔn nggɔn bə mē, gu kàn beshi nàn bə kyɛn nggyə̄r də̀ dan bə de, “Gyə̄ nywɛngyə̆r nggə̄! Nggə̄ la ngrɛ̄n nkinē nə̄mān ə də̆r nggə̄ yə̀ kan nggə̄ cāzù ə nggà bēshi Rì yo. Nkɔ̄n yə̄ nggə̄ là zwe gu mān tɔ̄nzɛ̄ mâ nyə sū nrìnrīnmē.” 
ACT.23.2	Də̀ Naniya Tu nggɔn bān tɔ̀ kī nə̄ Rì gwɔ kì yə̀ Bulusu dan, gu dàn mə̄nē bān krē gi Bulusu gu de nə̄ bə ngwur gu ə nyū. 
ACT.23.3	Bulusu dàn Tu bān tɔ̀ de, “Wə̄ nē wān sē məme gu, Rì lə ngwur wə̄ nə̀nàn kpaki. Wə̄ sɔn ə tswē yəmē de wə̄ là sùr mə̄nē rɛn ə nkɔ̀n kì yə̀ Bān dan, də̀ sə̀ zà Bān yə̄ də̀ dan mə̄nē de nə̄ bə ngwur nggə̀!”
ACT.23.4	Mə̄nē bān krē hyuhyur gi Bulusu kan dan gu de, “Sē Tu nggɔn bān tɔ̀ kī nə̄ Rì wān wə̄ là rɛn gbəjā rɛn mē bə̄ gu ənə̀mē?”
ACT.23.5	Bulusu kàn sà mə̄nē bə mān də̀ dan bə de, “Nywɛngyə̆r nggə̄, nggə̄ la tsə de nē gu mē sē Tu nggɔn bān tɔ̀ kī nə̄ Rì yo. Lə̀tafē yə̀ rɛn Rì dan de, ‘Yə sē kpaki nə̄ wə̄ kàdə dan rɛn məme nkinē ətù nē wān sē cūn yə̄ mə̄nē bān mə̄wə̀ yo.’ ”
ACT.23.6	Də̀ mkpān yə̄ Bulusu ngrɛ̄n de nkyə̄nkyə̀r mə̄nē bān bə là gyɔ bə de bān Saduki bə̄ bān bə là gyɔ bə de 
ACT.23.7	Mān ə tswēywə̄ yə̄ Bulusu dàn rɛn yəmē, mə̄nē bān 
ACT.23.8	Mə̄nē bān Saduki la kpə te njìnjì de Rì lə tā mə̄nē shɛn ətù kyū yo. Kī yə̄ bə la kpə te njìnjì de shāmān nə̀nàn yo sē rɛn yə̄ mə̀lɛ̀kū bə̄ gbə̄gbrìn. Bān Yahuda bān bə là gyɔ bə de bān 
ACT.23.9	Bə kan sə̄ kplɔ glə̄ bə̄ nkəywə̀ nggānme, də̀ bān sē bān sə̄ tsar mə̄nē Bān, bān sē ənywī bān 
ACT.23.10	Də̀ vɛ̆n yə̀ mə̄nē bə mē nyə sē nggānme, nggɔn wān lwe nkyə̄r mə̄nē bān kpānnɛ̄n kàn tè mpūr anrɛ̀n gu ngrɛ̄n de mə̄nē bə lə kan Bulusu ngā te mbumbu ywə̄. Tswēyəmē gu nə̄ mə̄nē bān mə̄gu bān kpānnɛ̄n nyər də̀ gbō gu dɔ̄ru ənywī mgbɔ̀ mə̄nē bə mē də̀ lwe gu kə gyɔ̄ ə tswē ndu bān kpānnɛ̄n là sɔn də̀ là nan ndu mān.
ACT.23.11	É bū yə̀ mbrɛ̄ yəmūn, gu wān sē Nggɔn tə̄ nyə̄ krè gi Bulusu də̀ dan gu de, “Nan də̆r wə̄ vūn lwè! Wə̄ dan mə̄nē rɛn mə̄nggə̀ ə Wurisheliman ə sə̄kànmē də̀ yə sē kpaki nə̄ wə̄ ywē kə̄ dan mə̄nē bān gbù yə̀ bān Roman rɛn yə nə̀nàn.”
ACT.23.12	Ə mbrɛ̄ yə̀ ywā, bān Yahuda nə̄mān kyūntu bə te mgbɔ̀ də̀ kyūn zwē yə̄ bə lə ngun Bulusu. Mə̄nē bə mē shənrin de bə lə ngun Bulusu kpaki anrīn də̀ sə̄ nə̄ nkinē yə̀ rē bə̄ yə̀ sə̄ sə̄ nyər nywī nyū bə. 
ACT.23.13	Mə̄nē bə bān kyūn te mgbɔ̀ də̀ kyūn rɛn yəmē zwē sə̄ mwɔ̄n mə̄nē sɛ̀-nlyɛ̄. 
ACT.23.14	Də̀ mkpān yə̄ bə kyūn rɛn yəmē krɛ, bə zwē nggɔn nggɔn bān tɔ̀ kī nə̄ Rì bə̄ nggɔn nggɔn bān Yahuda ywe də̀ dan bə de, “Tə̄ shənrin yə̄ tə̄ lə la zà yə yo də̀ dan de, tə̄ lə ngun Bulusu kpaki anrīn də̀ lə sə sə̄ mə̀sər də̀ re nkinē. 
ACT.23.15	Nzɛ̂nmē, kan nə̄ gyə̄ bān sē nggɔn nggɔn bān Yahuda tè ndu ywè bə̄ nggɔn bān kpānnɛ̄n yə̄ bān Roman nə̄ gu gbō Bulusu lwè cà gyə̄ mān. Nə̄ gyə̄ gyùr nggɔn wān Roman gu de gyə̄ là fɔ̀ nkɔ̄n yə̄ gyə̄ nan kī nə̄mān tsə ətù Bulusu. Tə̄ lə kyūn də̀ ngun gu ə nkɔ̀n anrīn gu sə̄ nyə̄ sū sə̄kànmē bə̄ gyə̀.”
ACT.23.16	Vɛ̄n zāngyə̆r Bulusu gwɔ kì yə̀ mə̄nē bān Yahuda kyūn de bə lə nan Bulusu də̀ dōglò ywè bə̄ gu ə tswē ndu bān kpānnɛ̄n də̀ dàn gu rɛn yə. 
ACT.23.17	Tswēyəmē, Bulusu gyɔ nē gyə̄r ənywī nggɔn nggɔn bān kpānnɛ̄n də̀ dàn gu de nə̄ gu gbō vɛ̄n zāngyə̆r gu lwè cà wān sē nggɔn bə kūkwār ə tswē ndu yəmē də̀tswē gu man dàn gu rɛn yə̄ gu sē bə̄ yə. 
ACT.23.18	Nē nggɔn gu wān Bulusu rɛ̀n bə̄ gu gbō vɛ̄n gu mē ywè bə̄ wān sē nggɔn bə kūkwār də̀ dàn gu de, “Sē Bulusu wān wə̄ nə̄ tə̄ kan gu gyɔ̄ ə tàr mē, wān gyɔ nggə̄ də̀ bər de nə̄ nggə̄ gbō və̄nzɛ̀ mē lwe ca wə̄ mān, anrɛ̀n gu sē bə̄ rɛn yə̄ gu lə dan wə̀.”
ACT.23.19	Nē gu wān sē nggɔn bə kūkwār kàn ngwɔn gu vūn və̄nzɛ̀ gu də̀ gbō gu tè lə̀gə̀r də̀ rì gu de, “Sē rɛn nggyɛ̆ yə̄ bə de wə̄ nyə tswē dan nggə̀?”
ACT.23.20	Və̄nzɛ̀ gu sà gu mān də̀ dan de, “Nggɔn nggɔn bān Yahuda kyun de bə lə nyə̄ mbrɛ də̀ man dan wə̄ de nə̄ wə̄ gbō Bulusu lwè ywē ə nggà bēshi nggɔn nggɔn bān kyūntu yə̀ bān Yahuda. Bə dan de bə lə nyə̄ gyùr wə̄ de mə̄nē nggɔn nggɔn bə mē là fɔ nkɔ̄n yə̄ bə nan kī nə̄mān tsə ətù Bulusu. 
ACT.23.21	Kàdə kpə̄nyɛ̀n bə̄ rɛn mē yə̄ bə lə dan wə̄ yo. Mə̄nē mwɔn sɛ̀-nlyɛ̄ bān lə ywe kə kàn nyə̄r də̀ gbyɛ̄n gu ə nkɔ̀n. Mə̄nē bə mē shənrin de bə lə ngun Bulusu kpaki anrīn də̀ lə sə̄ nə̄ nkinē yə̀ rē bə̄ mə̀sər nyər nyū bə. Nzɛ̂nmē nē bə kyun krɛ yə̄ bə lə ngun gu də̀ là ji yə̄ bə lə gwɔ kì yə̀ wə̄ lə dan màn bə də̄ nyə bə̄ wə̀.”
ACT.23.22	Də̀ mkpān yə̄ və̄lɔn gu wān sē nggɔn gwɔ kī yə̄ və̄nzɛ̀ gu mē dan gu, gu kàn dàn və̄nzɛ̀ gu de, “Kàdə dan nənè de wə̄ kulwe rɛn yəmē sū nggə̄ yo.” Tswēyəmē gu nə̄ vɛ̄n gu dòglò kà gu dɔ̀n.
ACT.23.23	Tswēyəmē, nggɔn bān kpānnɛ̄n kūkwār gu mē gyɔ mə̄nē ywā bān sē nggɔn nggɔn tswē ndu gu də̀ dan bə de, “Nə̄ gyə̄ kyūn mə̄nē bān kpānnɛ̄n gigi-ywā bə̄ mə̄nē sɛ̀-tāmgbā bān là sa nyān də̀ te kɔ̄n bə̄ mə̄nē gigi-ywā bān là te kɔ̄n bə̄ par də̀tswē gyə̄ man dōglò ə mkpān yə̄ tīyār yə̄ bū də̀ man nə̄ gyə̄ ywè ə Kaseriya. 
ACT.23.24	Gyə̄ lə kyūn nyān nə̄mān yə̄ Bulusu lə sa nə̀nàn də̀tswē gyə̄ man lwè gu susù ywè kə nə̄ Gɔna Fɛle.” 
ACT.23.25	Nggɔn bān kpānnɛ̄n kūkwār gu mē car takə̀dā kàn tè ndu ywè bə̄ Gɔna Fɛle. Gu car takə̀dā yə də̀ dàn de:
ACT.23.26	Sē nggə̄ Kaludiyu Lisiya wān là car wə̄ Gɔna Fɛle wān sē nggɔn:
ACT.23.26	Nggə̄ zɛ wə̀.
ACT.23.27	Mə̄nē bān Yahuda vun və̄lɔn mē də̀ là nan bə ngun gu. Də̀ nggə̄ gwɔ de gu sē və̄lɔn wān kan tè wān Roman yə yə̄ nggə̄ doglo gbō mə̄nē bān kpānnɛ̄n bān nggə̄ là lwe də̀ ywe kə vun gu kpə̄ cūngwɔn ə ngwɔ̀n mə̄nē bə mē. 
ACT.23.28	Nggə̄ gbo və̄lɔn gu mē lwe ywe nggà bēshi bān sē nggɔn nggɔn də̀tswē bə man dan nggə̄ kì yə̀ bə là dan de gu nan. 
ACT.23.29	Nggə̄ gwɔ kì yə̀ mə̄nē bə dan de gu nan də̀ la ngrɛ̄n nkinē gyə̀r yə̀ gu nan yə̀ ma yə̀ bə ngun gu kē bə kàn gu gyɔ̄ ə jàrō gba yo. Kī yə̄ bə dan de gu nan sē kī yə̄ sē ətù Bān yə̀ mə̀bə. 
ACT.23.30	Də̀ nggə̄ gwɔ de bān Yahuda nə̄mān kyun de bə lə ngun gu, yə yə̄ nggə̄ nə̄ bə gbō gu lwe ca wə̄ mān də̀ dan bān Yahuda bə mē de nə̄ bə nyə tè rɛn yə ə nggà bēshi wə̀.
ACT.23.31	Mə̄nē bān kpānnɛ̄n bə mē nan kì yə̀ bə dan bə de nə̄ bə nan də̀ dōglo gbō Bulusu zər ə bū yəmē mâ bə ywe kə sū gbù yə̀ Yantibatiri. 
ACT.23.32	Də̀ mbrɛ̄ ngar, mə̄nē bān kpānnɛ̄n bān zər zə̀ gbō Bulusu te nkɔ̀n də̀ kan mərtu ywe tswē ndu bə də̀ kā bān sa nyān kyame dɔn nə̄ bə lwe gu ywe. 
ACT.23.33	Mə̄nē bə mē lwe Bulusu ywe kə sū Kaseriya tswē bə lwe takə̀dā ca Gɔna Fɛle də̀ kan Bulusu te gu ə ngwɔ̀n. 
ACT.23.34	Də̀ mkpān yə̄ Fɛle blā takə̀dā yə̄ Kaludiyu car cà gu mān krɛ̀, gu rì Bulusu de gu sē wān ru ə mə̀mē yə̀tan? Bulusu dan gu de gu sē wān ru ə nggà mə̀mē yə̀ Kilikiya, 
ACT.23.35	Fɛle gu kàn dàn gu de, “Mkpān yə̄ mə̄nē bān sē bə̄ rɛn bə̄ wə̄ də̀ nyə nzɛn, nggə̄ lə sə̄ gwɔ kī yə̄ bə lə dan de wə̄ nan.” Tswēyəmē, Gɔna Fɛle nə̄ bə kan Bulusu te mə̄nē bān là nan ndu yə̄ gbyɛ̄n nē də̀ dan de gu man sɔ̀n bə̄ bə ə lə̄kpə yə̀ Cūn Hiridu mɛ.
ACT.24.1	Də̀ mkpān yə̄ Bulusu tè vē tun ə Kaseriya, Naniya wān sē Tu nggɔn bān tɔ̀ kī nə̄ Rì gìgyə̀r bə̄ nggɔn nggɔn bān Yahuda nə̄mān bə̄ və̄lɔn gyə̄r wān sān gu re Tartulu dōglo zwē Gɔna Fɛle ywe mān. Tartulu sē nē wān là sùr mə̄nē rɛn. Mə̄nē bə nyə dan Gɔna Fɛle kī yə̄ bə dan de Bulusu nan yə̄ la tɔ̄nzɛ̄ yo. 
ACT.24.2	Bə kan nə̄ Tartulu mkpān de nə̄ gu rɛ̀n, də̀ gu rɛ̀n də̀ dan de,
ACT.24.2	“Gɔna Fɛle, sē wə̄ gu wān sē nggɔn mwɔ̄n mə̄nē mē kūkwār! Sē nkɔ̄n yə̄ wə̄ tsə rɛn yə yə̄ wə̄ là lwe tə̀ də̀ tə̄ ban mkpān nggān nzɛ̂nmē də̀ là sɔn sɔ̀n susù bə̄ nkəywə̀. Sē anrɛ̀n nkɔ̄n yə̄ tsə rɛn mə̀wə̄ yəmē yə̄ kī kənànme sər te zəze ə mə̀mē mə̀tə̄ nzɛ̂nmē. 
ACT.24.3	Tə̄ bān sē ə gbūgbu mē kūkwār kpənyɛn bə̄ kī yə yə̄ wə̄ là nan də̀ tə̄ nyər wə̄ nggānme ətù yə. 
ACT.24.4	Wə̄ gu wān sē nggɔn, la tɔ̄ nə̄ nggə̄ cā wə̄ mkpān zu nggān də̀ man rɛn yo. Nggə̄ là bər de wə̄ də̀ kpənyɛ̀n nə̄ wə̄ màn gwɔ kì yə̀ tə̄ lə dan fətsɛ̀ ətù və̄lɔn mē. 
ACT.24.5	Kī yə̄ tə̄ ngrɛn və̄lɔn gu mē là nan, sē gu là gbìn kɔ̄n te bān Yahuda ə mgbəmgbrè mē kūkwār də̀ kan sē kì yə̀ mpùr ə mə̀mē mē. Sē və̄lɔn gu mē wān sē nggɔn yə̄ mə̄nē bān là zwe rɛn yə̄ və̄lɔn wān gbù yə̀ Nazəreti mān. 
ACT.24.6	Kì yə̀ və̄lɔn gu mē nan nə̀nàn yə̀ tə̄ la kpə̄nyɛn bə̄ yə̄ yo də̀ vun gu, sē gu nan rɛn yə̄ gu là vu ngwɔn ri te Kə̄ Nggɔn yə̄ Rì. [Tə̄ kyun de tə̄ lə sùr gu rɛn ə nkɔ̄n yə̄ kì yə̀ sē ənywī Bān yə̀ mə̀tə̄. 
ACT.24.7	Sē ə tswēyəmē yə̄ Kaludiyu Lisiya wān sē nggɔn də̀ là lwe nkyə̄r mə̄nē bān kpānnɛ̄n gyɛ̂n nə̄ bə vūn gu kpə̄ mgbrêmgbrē ə ngwɔ̀n tə̀. 
ACT.24.8	Sē Lisiya gu wān dan mə̄nē bān dan de bə la kpə̄nyɛn bə̄ kì yə̀ gu là nan yo nə̄ bə lwe rɛn yə nyə sùr bə̄ wə̀.] Wə̄ də̀ rì gu rɛn yəmē nzɛn, wə̄ lə kan tɔ̄n wə̄ gwɔ ə nyū gu də̀ tsə de kì yə̀ tə̄ là dan de gu nan sē njìnjì.” 
ACT.24.9	Mkpān yə̄ Tartulu rɛ̀n krɛ̀, nkyɛn mə̄nē bān Yahuda bān sə̄ sē gìgyə̀r bə̄ gu dōglo kūkwār bə sa rɛn yə mān də̀ dan de kī yə̄ Tartulu dan kūkwār sē njìnjì.
ACT.24.10	Gɔna kàn nə̄ Bulusu mkpān de nə̄ gu rɛ̀n. Də̀ gu Bulusu dōglò krè də̀ rɛ̀n də̀ dan de,
ACT.24.10	“Nggə̄ tsə de sɛ̆ te kənàn nzɛ̂nmē yə̀ wə̄ là nan ndu sùr mə̄nē bān mə̀mē mē rɛn. Nzɛ̂nmē nggə̄ sē bə̄ te də̆r kə̄kla yə̄ nggə̄ lə dan wə̄ kì yə̀ nggə̄ tsə de nggə̄ nan bə̄ yə̀ nggə̄ la nan yo. 
ACT.24.11	Nzɛ̂nmē yə la mwɔ̄n vē tsɔ yə̀ nggə̄ ywe tswē rɛn bə̄ Rì ə Wurisheliman yo. (Nə̄ wə̄ tsə de rɛn yə̄ və̄lɔn mē rɛn mē kpənyɛn bə̄ kì yə̀ nggə̄ là dan wə̀.) 
ACT.24.12	Mə̄nē bān Yahuda la gwɔ nggə̄ tswē gàntan bə̄ nənè gyə̄r ənywī Kə̄ Nggɔn yə̄ Rì yo. Bə la ngrɛ̄n tswē yə̄ nggə̄ vu dər bə nənè nə̄mān cɔ̄ ə mə̀kə̀ yə̀ kyūntu mə̀bə yo. Bə la ngrɛ̄n tswē yə̄ nggə̄ vu dər mə̄nē bān gbù yəmūn cɔ̄ te nənè nə̄mān ə tswē nə̄mān yo. 
ACT.24.13	Mə̄nē bə mē la sē bə̄ nkinē gyə̀r yə̀ məmè yə̀ bə lə kan tsar wə̄ yə̀ bə lə dan nzɛ̂nmē de sē yə̀ nggə̄ nan yo. 
ACT.24.14	Kì yə̀ nggə̄ lə dan ə nggà bēshi wə̄ nzɛ̂nmē de yə̀ nggə̄ nan sē: Nggə̄ tsə de nggə̄ là rɛn bə̄ Rì wān təte tə̄ bān kùcī zwē mān. Nggə̄ là rɛn bə̄ Rì gu ə nkɔ̄n yə̄ zwē rɛn Yɛso mān, yə̄ bə là dan de rɛn yə̄ tù gu la sē njìnjì yo. Nggə̄ kpə te njìnjì nə̀nàn de rɛn yə̄ bə car sū ə lə̀tafē Bān yə̀ Musa bə̄ rɛn yə̄ bān dɔ̀n rɛn Rì dan də̀ bə car yə̄ sū, sē njìnjì. 
ACT.24.15	Tə̄ kūkwār tə̄ bə̄ mə̄nē bə mē kpə te njìnjì bə̄ Rì de mkpān gyə̄r gu lə tā mə̄nēnjì bān nan məme bə̄ bān nan zəze ə mgbəmgbrè mē kūkwār shɛn ətù kyū. 
ACT.24.16	Sē anrɛ̀n rɛn yəmē yə̄ nggə̄ là nər zwē mkpān mē kūkwār də̀tswē nggə̄ man kādə nan nkinē yə̀ sē məmè ə nggà bēshi Rì kē ə nggà bēshi nənè nə̄mān yo.
ACT.24.17	“Də̀ nggə̄ ngrɛn de nggə̄ te sɛ̆ kənànme də̀ la ywe Wurisheliman yo, yə nggə̄ kan dōglo lwe kə̄jī ywe kə là mə̄nē bān mə̄tə̀ bān shāmān də̀ man kan kan kī nggə̄ tɔ̄ nə̄ Rì mān. 
ACT.24.18	Sē mkpān yə yə̄ nggə̄ kan kī tɔ̄ nə̄ Rì ə Kə̄ Nggɔn yə̄ Rì yə yə̄ mə̄nē bə mē ngrɛ̄n nggə̀. Mkpān yəmūn nggə̄ sə̄ krɛ tɔ̀ kī yə̄ ngla məme yə mbɛ̄. Bə la ngrɛ̄n nkyə̄r mə̄nē nə̄mān bə̄ nggə̄ mān ə kə̄ yə yo. Bə la gwɔ bə nənè nə̄mān tswē te glə̄ mān ə kə̄ yə yo. 
ACT.24.19	Kì yə̀ nggə̄ tsə sē bān Yahuda nə̄mān bān ru ə mə̀mē yə̀ Yasiya sə̄ shāmān ə tswē yə, də̀ nggə̄ ngrɛn de mə̄nē bə mūn mān shāmān də̀ man dan nkinē nə̄mān məmè yə̀ bə də̄ ngrɛn de nggə̄ nan yə. 
ACT.24.20	Kē wə̄ lə nə̄ mə̄nē bān là kre ə sə̄kànmē dan rɛn məme nə̄mān yə̄ bə vun nggə̄ bə̄ yə ə mkpān yə̄ tə̄ dan rɛn yə ə nggà bēshi bān nggɔn nggɔn bə. 
ACT.24.21	Kì sē gyə̀r me yə̀ nggə̄ tsə de nggə̄ dan yə̄ kpān kpān ə mkpān yə̄ nggə̄ krē də̀ sə̄ te rɛn yə ə nggà bēshi bə. Nggə̄ dan de, ‘Gyə̄ là sùr nggə̄ rɛn nzɛ̂nmē anrɛ̀n nggə̄ kpə te njìnjì de Rì lə tā mə̄nē bān tsu shɛn ətù kyū.’ ”
ACT.24.22	Rɛn yə̄ nkɔ̄n Yɛso wān sē Nggɔn la sē rɛn suswɛ bə̄ Gɔna Fɛle yo. Gu nə̄ bə kan rɛn yə zwē yə̄ bə lə te ə nggà bēshi də̀ dan mə̄nē bə mē de, “Nggə̄ lə tsə kì yə̀ nggə̄ lə nan mān Lisiya wān sē nggɔn bān kpānnɛ̄n də̀ nyə̄ sū ə sə̄kànmē.” 
ACT.24.23	Gɔna Fɛle dàn nē nggɔn wān Bulusu sə̀ sē ə ngwɔ̀n gu de nə̄ bə nan gu gbyɛ̄n kyɛn də̀ man nə̄ gu mkpān yə̄ gu gə̄ cucu də̀ man kā kpə̄kpàn gu dɔn nə̄ bə lā gu mān bə̄ kì yə̀ gu là fɔ̀ de nə̄ bə nan gu yə̄.
ACT.24.24	Vē tè kənàn yə̀ gɔna gwɔ mə̀rɛn yə̀ mə̄nē bān Yahuda bə̄ yə̀ Bulusu dan gu, gu dōglò gbō mbə̄ywə̄ wān sān gu re Dərusila wān sē ngrin mə̄nē bān Yahuda də̀ bə ywe lə̄kpə tswē yə̄ Bulusu sə̄ sɔ̀n mān. Gu Fɛle nə̄ bə gbō Bulusu nyə tswē gu man gwɔ kì yə̀ Bulusu lə dan gu ətù nkɔ̄n yə̄ nē lə kpə̄ Yɛso Krisəti te njìnjì. 
ACT.24.25	Də̀ Bulusu sə̀ nàn ndu dan gu nkɔ̄n yə̄ nan kī zəze bə̄ nkɔ̄n yə̄ nē lə nan də̆r vūn lwè də̀ kà yə̄ gu nan kī məme yə̄ mgbəmgbrè mē, bə̄ rɛn yə̄ mbrɛ̄ sùr rɛn Rì, mpūr kan te Fɛle də̀ gu dàn Bulusu de, “Doglò ywè, rɛn wə̄ ma mān ənə̀mē. Nggə̄ də̄ sē bə̄ mkpān kə nə̄mān nggə̄ lə te ndu nə̄ bə gyɔ wə̄ nzɔ̆.”
ACT.24.26	Gɔna Fɛle sə̀ nàn ndu gyɔ Bulusu ywē kə̄ rɛ̀n bə̄ gu anrɛ̀n gu sə̄ ngrɛ̄n ə də̆r gu de Bulusu lə nə̄ gu kə̄jī də̀tswē gu man nàn gu zəze ə mkpān yə̄ sùr rɛn mə̀bə bə̄ bān Yahuda.
ACT.24.27	Bulusu sē ə ngwɔ̀n Fɛle tè sɛ ywā. Də̀ mkpān yə̄ sɛ ywā yəmē nyə̄ vūnga, Gɔna Fɛle la nàn ndu yə̄ gu sē gɔna nzɔ̆ yo, də̀ Bɔrukiya Fɛstu kya gyɛ̂n kàn vūn ndu yə̄ gu sē gɔna bān Yahuda. Gɔna Fɛle kà Bulusu dɔ̀n ə ngwɔ̀n mə̄nē bān kpānnɛ̄n də̀tswē də̆r man sù mə̄nē bān Yahuda də̀ bə man bɛ̄ gu de gu sē nē wān là nan zəze.
ACT.25.1	Fɛstu rù ə gbù yə̀ Roman nyə̄ tè vē tàr ə Kaseriya də̀ kàn ywè zər ə Wurisheliman. 
ACT.25.2	Sē ə Wurisheliman yə yə̄ nggɔn nggɔn mə̄nē bān tɔ̀ kī bə̄ mə̄nē bān sē nggɔn nggɔn mə̄nē bān Yahuda nyə dàn gu kī yə̄ bə dan de Bulusu nan yə̄ bə la kpə̄nyɛn bə̄ yə yo. Mə̄nē bə mē bər Fɛstu de, 
ACT.25.3	nə̄ gu nàn kì yə̀ lə sù bə dər də̀ man nə̄ mə̄nē nə̄mān gbō Bulusu ywe ə Wurisheliman nə̄ bə kə tè rɛn yə. Bə sə̄ fɔ̄ nkɔ̄n yəmē bə̄ Fɛstu anrɛ̀n bə sə̄ kyūn de mkpān yə̄ gu də̀ sē ə nkɔ̀n ywe Wurisheliman bə man ywe kə kpm Bulusu ə nkɔ̀n də̀ man ngun gu. 
ACT.25.4	Fɛstu sà bə mān de, “Bulusu sē ə ngwɔ̀n bān kpānnɛ̄n ə Kaseriya nzɛ̂nmē. Nggə̄ lə la cā mkpān zu ə Wurisheliman anrīn də̀ sə̄ mərtu ywe mān yo. 
ACT.25.5	Gyə̄ də̀ ngrɛn de gu nan nkinē məmè, gyə̄ nə̄ mə̄nē bān sē nggɔn nggɔn gyə̄ zwē nggə̄ mān ywe ə Kaseriya də̀ man kə sùr gu rɛn yə mān.”
ACT.25.6	Də̀ mkpān yə̄ Fɛstu rɛ̀n bə̄ mə̄nē bə mē krɛ̀, gu bàn vē yə̀ lə ma vē tāndà kə̄ sū vē gùr bə̄ bə anrīn də̀ sə̄ mə̀rtu ywè ə Kaseriya. Ə mbrɛ̀ yə̄ ywā yə̄ gu nyə sū mān, gu kə tè sɔ̀n ə lə̄kpə yə̀ sùr rɛn də̀ nə̄ bə lwe Bulusu nyə mān tswēywə̄. 
ACT.25.7	Mkpān yə̄ Bulusu nyə sū mān ə lə̄kpə yə̀ sùr rɛn yə, mə̄nē bān Yahuda bə mē bān ru ə Wurisheliman nyə ətù rɛn mə̄gu yə, dōglo krē ndè də̀ kan gu gyɔ̄ ə də̀ntswe bə də̀ dan gu kī nə̄mān nggānme yə̄ bə dan de gu nan. Mə̄nē bə mē la sē bə̄ nkinē gyə̀r yə̀ bə tsar mə̄nē de kī yə̄ bə dan de gu nan sē njìnjì yo. 
ACT.25.8	Bulusu dòglò də̀ dan kì yə̀ gu tsə də̀ dan bə de, “Nggə̄ la ngrɛ̄n nkinē məmè yə̀ nggə̄ nan yə̀ Bān yə̀ mə̄nē bān Yahuda la kpə̄nyɛ̀n bə̄ yə yo. Nggə̄ la nan nkinē yə̀ ca Kə̄ Nggɔn yə̄ Rì zù yo. Nggə̄ la dan rɛn nkinē gyə̄r məme ətù wān sē Cūn Roman yo.”
ACT.25.9	Fɛstu fɔ̀ nkɔ̄n yə̄ gu nan kì yə̀ lə sù mə̄nē bān Yahuda də̆r, gu kàn rì Bulusu de, “Wə̄ lə kpə̄nyɛn yə̄ wə̄ ywe ə Wurisheliman də̀tswē nggə̄ man kə sùr gyə̄ rɛn yəmē ə tswē yə?”
ACT.25.10	Bulusu sà gu mān de, “Nggə̄ là kre ə lə̄kpə yə̀ sùr rɛn yə̄ wān sē Cūn Roman kūkwār. Sē ə tswē yəmē yə̄ bə lə sùr nggə̄ rɛn. Wə̄ tukpə̀ wə̄ tsə de nggə̄ la nan mə̄nē bān Yahuda nkinē məmè yo. 
