GEN.1.1	Ndee jaxtnañuꞌu ja ni junkoo ñuyiu, ni saꞌa ia Dios andivi jin ñuyiu. 
JHN.5.25	Te kaꞌan ndandaa ndija san ja vaji ore, te vitna kuu nuu vi konini ñayiu ja ka kuu na kuinio ndiyi tnoꞌo kaꞌan san ja kuu san Seꞌe ia Dios, te na ñayiu nini jin ndee ini ndee anui, te kotekui. 
JHN.5.26	Chi maa Tata Dios jiñaꞌa ja ka teku ñayiu, te suni saa ni saꞌa ya jin maa san ja kuu san Seꞌe ya ja kuñaꞌa san ja vi kotekui. 
JHN.5.27	Te suni ni skuiso tniuu ña ya ja kaꞌnde san kuechi ñayiu, chi Seꞌe Teyii kuu san. 
JHN.5.28	Te ma vi saꞌu kuii ini ni jin tnoꞌo yaꞌa, chi kenta ore nuu ndiꞌi ndiyi ja ka oo yau ñaña vi konini tnoꞌo kaꞌan san. 
JHN.5.29	Te na ñayiu ni ka saꞌa javaꞌa, te vi ndatekui ja vi kotekui nikuii nikani. Su na ñayiu ni ka saꞌa jakueꞌe, te vi ndatekui nuu vi tnaꞌi tnundoꞌo ja vi tniuyaꞌui yika kuechi.
JHN.5.30	’Ma kuu saꞌun nagua saꞌa ni maa san, chi nagua nini san nuu Tata san, te saa jaꞌnde san kuechi. Te oo ndaa ja saꞌa san, chi masu nduku san nagua kuini maa san, chi saꞌa san nagua kuini maa Tata Dios, ia ni tetniuu ña jin san. 
JHN.5.31	Chi nuu ja ndakani san tnoꞌo ja jaꞌa maa san, te tu jiniuꞌu ja chituu ña jin maa san. 
JHN.5.32	Su Dios kuu ia ndakani tnoꞌo ja jaꞌa san, te jini san ja ndakani ndaa ya tnoꞌo ja kaꞌan ya jin san. 
JHN.5.33	Juan, chi ni ndakani ndaa de nuu ni ka tetniuu maa ni tee ja ni ka jikan tnoꞌo ña jin de. 
JHN.5.34	Su sein, chi tu jiniuꞌu san ja na in tee ndakani ja jaꞌa san, su kaꞌan san yaꞌa nagua ja vi kaku niꞌnu maa ni. 
JHN.5.35	Chi Juan kuu na kuinio ñuꞌu ja ni oyeꞌe, te ni oyeꞌe niꞌnu de, te ni ka kuini maa ni ja vi kusii ini ni ndee saa kiuu jin jayeꞌe niꞌnu de. 
JHN.5.36	Su sein, chi oo in ja xneꞌe kaji ka na in kuu san saa tnoꞌo ni ndakani Juan, chi tniuu ja ni taa maa Tata Dios ja skunkuu san kuu tniuu kaꞌnu ja saꞌa san yaꞌa. Te tniuu yaꞌa kuu ja ndakani ja jaꞌa san, ja maa Tata Dios kuu ia ni tetniuu ña jin san. 
JHN.5.37	Te suni ndakani maa Tata Dios ja jaꞌa san, ja ni tetniuu ña ya jin san. Te maa ni, chi tu saꞌun na ama ka nini ni tnoꞌo kaꞌan ya, te ni tu ka jini ni na yuꞌu na nuu ya, 
JHN.5.38	te ni tu oo tnoꞌo ya ini anu ni, chi tu ka kandija ña ni jin san ja kuu san ia ni tetniuu ya. 
JHN.5.39	Ka skuaꞌa guaꞌa ndevaꞌa maa ni nuu tutu ii, chi yun ka ndakani ini ni ja vi nukuꞌun ni ja vi koteku ni nikuii nikani, te tutu ii yun kuu ja ndakani ja jaꞌa san. 
JHN.5.40	Su tu ka kuini ni kikuei ni ja vi koo, nagua ja vi koteku ni.
JHN.5.41	’Sein, chi tu nduku san ja vi kaꞌan yiñuꞌu ñayiu ñuyiu jin san. 
JHN.5.42	Chi ja jini san ja tu ka kutoo ni ia Dios ndee ini ndee anu ni. 
JHN.5.43	Maa san, chi vaji san jin sivi maa Tata san, te tu ni ka jantaꞌu ña ni, su nuu ja inka tee na kii de jin sivi maa de, te tee yun guaa vi kuantaꞌu ni de. 
JHN.5.44	¿Te naxa kuu vi kandija maa ni? Te ka nduku ni ja vi kaꞌan yiñuꞌu ni jin in in maa ni, te masu ka nduku ni jayiñuꞌu vaji nuu ia Dios. 
JHN.5.45	Te ma vi ndakani ini ni ja sein kiꞌin san kaꞌan kuechi san ja jaꞌa ni nuu Tata Dios. Su oo in tee kaꞌan kuechi ja jaꞌa in in maa ni, te suu de kuu ndi Moisés, tee ka kukanu ini maa ni. 
JHN.5.46	Chi nuu ja jandaa ndija ja ka kandija ni Moisés, te suni vi kandija ña ni jin san, chi ja jaꞌa maa san ni kaꞌan Moisés nuu ni tee de. 
JHN.5.47	Su nuu ja tu ka kandija ni tnoꞌo ja ni tee Moisés, te ¿naxa kuu vi kandija ni tnoꞌo kaꞌan san? ―jiñaꞌa Jesús.
JHN.6.1	Te nuu ni yaꞌa ndiꞌi yun, te ni yaꞌa Jesús inka jioo ndute mar Galilea ja suni nani Tiberias. 
JHN.6.2	Te ka ndikin ña kuakuaꞌa ñayiu jin ya, chi ni ka jini tniuu naꞌnu ni saꞌa ya jin ñayiu ka kuꞌu. 
JHN.6.3	Yun te ni kakuei Jesús in nuu yuku, te yun ni ka junkoo ya jin tee ka skuaꞌa jin ya. 
JHN.6.4	Te saa chi ja ni kuyatni viko pascua ñayiu judio. 
JHN.6.5	Te nuu ni ndanenuu Jesús, te ni jini ya ja kuaꞌankuei kuakuaꞌa ñayiu nuu oo ya, te jiñaꞌa ya nuu Felipe:
JHN.6.5	―¿Ndenu vi niꞌo xtaa vi kiꞌon ja vi kaa ndiꞌi ñayiu yaꞌa? ―jiñaꞌa ya.
JHN.6.6	Su yaꞌa ni kaꞌan Jesús ja koto tnuni ña ya, chi ja jini guaꞌa maa ya nagua kuu ja saꞌa ya. 
JHN.6.7	Yun te jiñaꞌa Felipe:
JHN.6.7	―Ni yaꞌu uu ciento kiuu ja satniuo ma kenta vi kiꞌon ja vi kuñaꞌo in taꞌu in taꞌu ja vi kaa ñayiu yaꞌa ―jiñaꞌa de.
JHN.6.8	Te jiñaꞌa Andrés, inka tee ka skuaꞌa jin ya, ñani Simón Pedro:
JHN.6.9	―Yaꞌa oo in suchi lule ja nei uꞌun xtaa cebada vi uu chiaka kueli, ¿su nagua naꞌa kuu yaꞌa, te kuakuaꞌa ñayiu ka kuu? ―jiñaꞌa de.
JHN.6.10	Yun te jiñaꞌa Jesús:
JHN.6.10	―Vi kuñaꞌa ni ñayiu jian na vi junkoi.
JHN.6.10	Te oo kuakuaꞌa yuku nuu ka oi yun, te ni ka junkoo vaa ndee uꞌun mil teyii. 
JHN.6.11	Te ni tnii Jesús xtaa yun, te ni ndakuantaꞌu ya nuu ia Dios, te ni jaꞌnde ya ni jiñaꞌa ya nuu tee ka skuaꞌa jin ya, te tee yun ni ka skaka nuu ñayiu ka nukoo yun. Te suni saa ni ni saꞌa ya jin chiaka, te ni ka jai ndee nagua kuaꞌa ka kuini in in mai. 
JHN.6.12	Te nuu ni ka ndutu chii ñayiu yun, te jiñaꞌa ya nuu tee ka skuaꞌa jin ya:
JHN.6.12	―Vi ndaxtutu ni yuꞌu xtaa ja ni ndoo yaꞌa nagua ja ma junaa ni joo luluu ―jiñaꞌa ya.
JHN.6.13	Te nuu ni ka ndaxtutu de, te ni ka chitu de uxi uu chika yuꞌu xtaa ja ni ndoo nuu uꞌun xtaa cebada ja ni ka jaa ñayiu yun. 
JHN.6.14	Te nuu ni ka jini ñayiu yun tniuu kaꞌnu ni saꞌa Jesús, te ka kachi:
JHN.6.14	―Tee yaꞌa kuu ndija ndaa kuiti tee ndakani tnoꞌo ia Dios ja kii nuu ñuyiu ―ka kachi.
JHN.6.15	Su ni jini Jesús ja vi tenini ña ñayiu vi tnaa ñai ja kokuu ya rey, te ni kee maintnoꞌo ni ya kuaꞌan ya in yuku.
JHN.6.16	Te nuu ni kunee, te ni jaꞌankuei tee ka skuaꞌa jin ya yuꞌu ndute mar. 
JHN.6.17	Te ni kekuei de nuu in barco, te kuaꞌankuei de nuu ndute mar ichi ñuu Capernaúm. Te ja makunee, te tu na Jesús ndenta ja vi ndanitnaꞌa ya jin de. 
JHN.6.18	Te ni jinkondee jiondiso ndiso ni ka nuu ndute mar yun ja siun ni junkiꞌi in tachi niꞌi ndevaꞌa. 
JHN.6.19	Te nuu ja ni kuu vaa ndee uꞌun kilómetro ka skaka de barco nuu ndute yun, te ni ka jini de Jesús jika ya siki ndute mar, te majuntnaꞌa ya barco yun, te ni ka yuꞌu de. 
JHN.6.20	Su jiñaꞌa ya:
JHN.6.20	―Ma vi koyuꞌu ni, chi maa san kuu.
JHN.6.21	Yun te sii ini ndevaꞌa ni ka jantaꞌu ña de, te ni ndaa ya nuu barco yun. Te vini ni ndejioo nuu ñuꞌu yuꞌu ndute nuu ka kuini ya kiꞌinkuei ya.
JHN.6.22	Yun te inka kiuu tnee suaꞌa, te ni ka jini ñayiu ka oo inka jioo yuꞌu ndute mar ja tu na inka barco oo, chi invaa ni oo, te tu ni kiuu Jesús nuu barco yun, chi maa ni tee ka skuaꞌa jin ya kuaꞌankuei. 
JHN.6.23	Su sava ka barco ni jinokuei ndee Tiberias, yatni nuu ni ka jaa ñayiu xtaa na ni ndakuantaꞌu Jitoꞌo Jesús nuu ia Dios, te ni jaꞌnde ya. 
JHN.6.24	Su nuu ni ka jini ñayiu yun ja tu na Jesús oo yun, ni tee ka skuaꞌa jin ya, te ni ndakuei nuu barcoi, te kuaꞌankuei ñuu Capernaúm ka ndandukui Jesús.
JHN.6.25	Te nuu ni ka nukuꞌun ñai inka jioo yuꞌu ndute mar, te ka jiñaꞌi:
JHN.6.25	―Mastru, ¿na ore ni kenta ni yaꞌa?
JHN.6.26	Te jiñaꞌa Jesús:
JHN.6.26	―Kaꞌan ndandaa ndija san ja ka ndanduku ña ni, su masu ja ni ka jini ni tniuu kaꞌnu ni saꞌa san, chi chia ni ka jaa ni xtaa guaa ndee ni ka ndutu chii ni. 
JHN.6.27	Ma vi satniuu ni nuu kee ja vi kaa ni ndee in uu ni kiuu te ndiꞌi, chi vi satniuu ni nuu kee ja siun ni vi kokaa ni ja vi koteku ni nikuii nikani. Chi yaꞌa kuu ja taa Seꞌe Teyii ja vi kokaa ni, chi yun kuu ja ni chitniuu ña maa Tata Dios jin san ―jiñaꞌa ya.
JHN.6.28	Yun te ka jiñaꞌa de:
JHN.6.28	―¿Naxa vi saꞌa san ja kuu vi skunkuu san tniuu kuini ia Dios ja vi saꞌa san? ―ka jiñaꞌa de.
JHN.6.29	Yun te jiñaꞌa Jesús:
JHN.6.29	―Tniuu ia Dios kuu yaꞌa, ja vi kandija ña ni jin san ja kuu san ia ni tetniuu maa ya.
JHN.6.30	Yun te ka jiñaꞌa de:
JHN.6.30	―¿Nagua kuu jakaꞌnu saꞌa ni ja vi kuni san, te vi kandija ña san? ¿Te na tniuu kuu ja saꞌa ni? 
JHN.6.31	Ndi tata veluo, chi ni ka ojaa de maná nuu ñuꞌu teꞌa, nagua yoso nuu tutu ii: “Ni jiñaꞌa de xtaa oo ndee andivi ni ka jaa ñayiu” ―ka jiñaꞌa de.
JHN.6.32	Te jiñaꞌa Jesús:
JHN.6.32	―Kaꞌan ndandaa ndija san, ja masu Moisés kuu tee ni jiñaꞌa xtaa oo ndee andivi ja ni ka jaa ñayiu, chi maa Tata san kuu ia taa xtaa ndaa ndija ja vaji ndee andivi. 
JHN.6.33	Chi xtaa maa Dios kuu ia ni kuun ndee andivi, te jiñaꞌa ya ja ka teku ñayiu ñuyiu ―jiñaꞌa ya.
JHN.6.34	Yun te ka jiñaꞌa de:
JHN.6.34	―Siun ni kotaa ni xtaa yun ja na vi kokaa san.
JHN.6.35	Te jiñaꞌa Jesús:
JHN.6.35	―Maa san kuu xtaa ja taa ja teku. Te na in kikuei ja vi koo jin san, te ma vi kokokin saꞌun kai, te na in kandija ña jin san, te ma koyichi saꞌun kai. 
JHN.6.36	Su nagua ja ni kaꞌan san ja visi ni ka jini ña ni, su tu ka kandija ña ni. 
JHN.6.37	Ndiꞌi ñayiu ni taa maa Tata Dios kikuei ja vi koo jin san, te na in vaji nuu san, te ma skunu san jin ja kiꞌin. 
JHN.6.38	Chi ndee andivi makuun san, su masu ja saꞌa san nagua kuini maa san, chi ja saꞌa san nagua kuini maa ia ni tetniuu ña jin san. 
JHN.6.39	Te yaꞌa kuu ja kuini Tata Dios, ia ni tetniuu ña jin san, ja ndiꞌi ñayiu ni taa ya, ma skunaa san ni in, chi ndaxteku san jin kiuu sandiꞌi. 
JHN.6.40	Te yaꞌa kuu ja kuini ia ni tetniuu ña jin san, ja ndiꞌi ñayiu ka jini ña jin san ja kuu san Seꞌe ya, te ka kandija ñai, vi niꞌi ja vi kotekui nikuii nikani, chi ndaxteku san jin kiuu sandiꞌi ―jiñaꞌa ya.
JHN.6.41	Yun te ni ka jinkondee tee ka kuu nijaꞌnu nuu ñayiu judio, ka kaꞌan kueꞌe de siki Jesús, chi ni kachi ya: “Maa san kuu xtaa ja makuun ndee andivi”. 
JHN.6.42	Te ka kachi de:
JHN.6.42	―¿A masu tee yaꞌa kuu Jesús, seyii José? Te ja ka jinio tata de vi nana de, ¿te nau ja kaꞌan tee yaꞌa: “Ndee andivi makuun san vaji san”? ―ka kachi de.
JHN.6.43	Yun te jiñaꞌa Jesús:
JHN.6.43	―Ma vi kokaꞌan kueꞌe ni siki san. 
JHN.6.44	Chi ni in ñayiu ma kuu kikuei ja vi koi jin san nuu ja ma kana ña maa Tata san, ia ni tetniuu ña jin san, te ndaxteku san jin kiuu sandiꞌi. 
JHN.6.45	Chi yoso nuu tutu ii ja ni ka tee tee ni ka ndakani tnoꞌo ia Dios ndee janaꞌa nuu kaꞌan suaꞌa: “Ia Dios kaxtnoꞌo nuu ndiꞌi ñayiu”. Saa te ndiꞌi ñayiu ja ni ka onini tnoꞌo Tata Dios, te ni ka kutuꞌai tnoꞌo kaxtnoꞌo ya, te vajikuei ja vi koi jin san. 
JHN.6.46	Su ni in ñayiu tu na in jini nui Tata Dios, chi maintnoꞌo ia vaji nuu maa Dios, ia yaꞌa kuu ia jini ña jin maa Tata Dios. 
JHN.6.47	Te kaꞌan ndandaa ndija san ja na in kandija ña jin san, te kotekui nikuii nikani ―jiñaꞌa ya.
JHN.6.48	’Maa san kuu xtaa ja taa ja teku. 
JHN.6.49	Te ndi tata velu ni, ni ka jaa maná ja kuu xtaa ni kuun ndee andivi nuu ñuꞌu teꞌa, su ni ka jiꞌi. 
JHN.6.50	Te xtaa ja taa ja teku ja kaꞌan san yaꞌa kuu ia ja makuun ndee andivi, nagua ja na ñayiu na kaa xtaa yaꞌa, te ma kui. 
JHN.6.51	Maa san kuu xtaa taa ja teku ja makuun ndee andivi, te na ñayiu kaa xtaa yaꞌa, te kotekui nikuii nikani. Te xtaa ja kuñaꞌa san kuu yiki kuñu san, te kuñaꞌa san nagua ja vi koteku ñayiu ñuyiu ―jiñaꞌa ya.
JHN.6.52	Yun te ni ka jinkondee tee judio ka tee tnaꞌa maa de, te ka kachi de:
JHN.6.52	―¿Naxa kuu taa tee yaꞌa yiki kuñu de ja vi kao? ―ka kachi de.
JHN.6.53	Te jiñaꞌa Jesús:
JHN.6.53	―Kaꞌan ndandaa ndija san, nuu ja ma vi kaa ni yiki kuñu Seꞌe Teyii, vi ma vi koꞌo ni niñi ya, te ma vi koteku ni. 
JHN.6.54	Chi na in jaa yiki kuñu san vi jiꞌi niñi san, te kotekui nikuii nikani, te ndaxteku san jin kiuu sandiꞌi. 
JHN.6.55	Chi yiki kuñu san kuu jaguaꞌa ndija ja vi kaa ñayiu, te niñi san kuu jaguaꞌa ndija ja vi koꞌi. 
JHN.6.56	Te na in jaa yiki kuñu san vi jiꞌi niñi san, te oo ñayiu yun jin san vi oo san jin. 
JHN.6.57	Nagua ni tetniuu ña Tata Dios, ia teku, te teku maa san jin maꞌñu sagua Tata Dios, te suni saa ni na in na kaa ña jin san, te suni kotekui jin maꞌñu sagua san. 
JHN.6.58	Te maa san kuu xtaa ja ni kuun ndee andivi, su masu nagua ni ka jaa ndi tata velu ni maná, te ni ka jiꞌi de, chi na in kaa xtaa yaꞌa, te kotekui nikuii nikani ―jiñaꞌa ya.
JHN.6.59	Tnoꞌo yaꞌa ni kaꞌan Jesús nuu ni kaxtnoꞌo ya nuu ñayiu veꞌe ii sinagoga ja oo ñuu Capernaúm.
JHN.6.60	Yun te nuu ni ka onini ndiꞌi ñayiu ka skuaꞌa jin Jesús tnoꞌo ni kaxtnoꞌo ya, te ka kachi:
JHN.6.60	―Ndakui ndevaꞌa tnoꞌo yaꞌa, ¿na in kundee ini konini? ―ka kachi.
JHN.6.61	Te ni jini maa Jesús ja vi ndee maa ñayiu ka skuaꞌa jin ya ka kaꞌan kueꞌe siki tnoꞌo ni kaꞌan ya, te jiñaꞌa ya:
JHN.6.61	―¿A ka tunini ni tnoꞌo ni kaꞌan san yaꞌa? 
JHN.6.62	Te ¿naxa vi saꞌa ni nuu saa, nuu ja na vi kuni ni Seꞌe Teyii ja mandaa ya nuu ni oo ya ndee jaxtnañuꞌu? 
JHN.6.63	Te Espíritu kuu ia taa ja tekuo, te yiki kuñuo, chi tu saꞌun nagua niꞌo jin. Te tnoꞌo ja ni kaꞌan san yaꞌa kuu tnoꞌo ja vaji nuu maa Espíritu ia Dios ja taa ja vi kotekuo nikuii nikani. 
JHN.6.64	Su ka oo sava maa ni ja tu ka kandija ni ―jiñaꞌa ya. Chi ja jini Jesús ndee jaxtnañuꞌu ndee ñayiu ka kuu ja tu ka kandija, te ndee tee kuu ja xtuu ña nuu tee ka netniuu. 
JHN.6.65	Te jiñaꞌa ka ya:
JHN.6.65	―Yun guaa ja ni kaꞌan san ja ni in ñayiu ma kuu kikuei ja vi koo jin san nuu ja ma chindee chituu ña maa Tata Dios ―jiñaꞌa ya.
JHN.6.66	Te ndee kiuu yun ni ka kujioo kuakuaꞌa ñayiu ni ka oskuaꞌa jin Jesús, te tu ni ka ondikin ka ñai jin ya. 
JHN.6.67	Yun te jiñaꞌa Jesús nuu ndi uxi uu tee ka skuaꞌa jin ya:
JHN.6.67	―¿A suni ka kuini ni ja vi kujioo ni? ―jiñaꞌa ya.
JHN.6.68	Yun te jiñaꞌa Simón Pedro:
JHN.6.68	―Jitoꞌo, ¿na xiin nuu kiꞌinkuei san? Te maa ni guaa nevaꞌa tnoꞌo ja taa ja vi koteku san nikuii nikani. 
JHN.6.69	Te sein, chi ka kandija ña san vi ka jini san ja maa ni kuu ia ni tetniuu Dios vi Seꞌe maa ia Dios teku ―jiñaꞌa de.
JHN.6.70	Te jiñaꞌa Jesús:
JHN.6.70	―Maa san ni kaji ndi uxi uu ni, su in maa ni kuu ni na kuinio in tachi ―jiñaꞌa ya. 
JHN.6.71	Ni kaꞌan ya siki Judas Iscariote, seyii Simón, chi tee yaꞌa kuu tee oo neꞌu ndi uxi uu de ja xtuu ña de jin Jesús nuu tee ka netniuu.
JHN.7.1	Te nuu ni yaꞌa ndiꞌi yun, te ni jinkondee Jesús jikanuu ya Galilea. Chi tu ni kuini ya ja kiondita ya Judea, chi ka nduku ndee tee ka kuu nijaꞌnu nuu ñayiu judio ja vi kaꞌni ña de jin ya. 
JHN.7.2	Te ja ni kuyatni kiuu viko ñayiu judio ja nani viko veꞌe xtnuu kuii. 
JHN.7.3	Yun te ka jiñaꞌa ñani ya:
JHN.7.3	―Ma koo ka ron ñuo yaꞌa, te kuanoꞌo Judea, nagua ja suni na vi kuni ñayiu ka skuaꞌa jin ron tniuu saꞌa ron. 
JHN.7.4	Chi nuu ja na in kaꞌan ja vi kuni tniuu saꞌi, te ma saꞌa yuꞌi. Te nuu ja tniuu yaꞌa saꞌa ron, te xneꞌe nagua ja na vi kuni ndiꞌi ñayiu ñuyiu ―ka jiñaꞌa de.
JHN.7.5	Chi vini maa ñani ya, tu ka kandija ña jin ya.
JHN.7.6	Yun te jiñaꞌa Jesús:
JHN.7.6	―Ja nuu in in maa ni, chi ndiꞌi ni kiuu kuu guaꞌa, su sein chi kuini ka ja kenta kiuu ja kiꞌin san. 
JHN.7.7	Te ja ñayiu ñuyiu, chi tu ka kaꞌan uꞌu ña jin ni, su sein chi ka kaꞌan uꞌu ña jin san, chi ndakani san siki tniuu kueꞌe ka saꞌi. 
JHN.7.8	Kuanoꞌokuei maa ni viko yun, chi ma ndanuu sein ja noꞌo san, chi kuini ka ja skunkuu kiuu ja kiꞌin san ―jiñaꞌa ya.
JHN.7.9	Te saa jiñaꞌa Jesús, te ni kendoo ya Galilea.
JHN.7.10	Su nuu ja mavindanuu ñani ya, yun te suni ni ndanuu ya nuu viko yun, su ni jaꞌan yuꞌu ya ja ma vi kuni ña ñayiu. 
JHN.7.11	Te ni ka ndanduku ña tee ka kuu nijaꞌnu nuu ñayiu judio jin ya nuu viko yun, te ka kachi de:
JHN.7.11	―¿Ndenu oo tee yun?
JHN.7.12	Su ni ka kaꞌan ndevaꞌa ñayiu kuaꞌa yun ja jaꞌa ya, te sava de ka kachi: “Tee guaꞌa kuu de”. Su sava ka de ka kachi: “Ñaꞌa, chi ninoꞌo ni xndaꞌu de ñayiu ñuo”.
JHN.7.13	Su ni in de, tu ni kaꞌan ndijin ja jaꞌa ya, chi ka yuꞌu de tee ka kuu nijaꞌnu nuu ñayiu judio. 
JHN.7.14	Su nuu ja ni kuu sagua viko yun, te ni ndanuu Jesús veñuꞌu, te yun ni kaxtnoꞌo ya nuu ñayiu. 
JHN.7.15	Te vini ka saꞌu kuii kuiti ini tee judio ja ka kuu nijaꞌnu yun ka nini de, te ka kachi de:
JHN.7.15	―¿Naxa jini tee yaꞌa tnoꞌo kaꞌan de, te tu na in tee ni kaxtnoꞌo nuu de? ―ka kachi de.
JHN.7.16	Yun te jiñaꞌa Jesús:
JHN.7.16	―Tnoꞌo ja kaxtnoꞌo san yaꞌa, chi masu tnoꞌo maa san kuu, chi tnoꞌo maa ia ni tetniuu ña jin san kuu. 
JHN.7.17	Te na in kuini ja saꞌa nagua kuini ia Dios, te kuni a nuu Dios vaji tnoꞌo kaxtnoꞌo san yaꞌa axi tnoꞌo kaꞌan ni maa san kuu. 
JHN.7.18	Chi na in kaꞌan tnoꞌo mai, te javaꞌa mai ndukui. Su na in nduku javaꞌa na in ni tetniuu ña, te tee yun kuu tee ndaa, te tu na tnoꞌo kueꞌe kaꞌan de. 
JHN.7.19	Ni xndendoo Moisés Ley nuu in in maa ni, su ni in ni tu ka skunkuu ni, chi saa suaꞌa ka nduku ndee ni ja vi kaꞌni ña ni jin san ―jiñaꞌa ya.
JHN.7.20	Yun te ni ka kana ñayiu kuaꞌa yun, te ka jiñaꞌi:
JHN.7.20	―Vaa tachi ñuꞌu ña jin ni, ¿na in nduku ja kaꞌni ña jin ni? ―ka jiñaꞌi.
JHN.7.21	Yun te jiñaꞌa Jesús:
JHN.7.21	―Invaa tniuu kaꞌnu ni saꞌa san kiuu ndatatu, te vi ndiꞌi ni ni ka saꞌu kuii kuiti ini ni. 
JHN.7.22	Te jandaa ja Moisés ni kaꞌan ja vi chitnunio nuu yiki kuñuo, su masu Moisés ni jinkondee jin, chi ndee ndi tata veluo ni ka jinkondee ka chitnuni nuu yiki kuñu, te vi ndee kiuu ndatatu ka chitnuni maa ni nuu yiki kuñu seyii ni. 
JHN.7.23	Chi nuu ja ka chitnuni ni nuu yiki kuñu in seyii ni kiuu ndatatu, nagua ja ma vi kuiso kava ni Ley Moisés, ¿te nau ja ka kiti ini ni nuu san ja ni ndasavaꞌa san in tee kiuu ndatatu? 
JHN.7.24	Ma vi ndanduku ndichi ni naxa oo naxa kaa in ñayiu, chi vi skuaꞌa guaguaꞌa ni nagua kuu ndaa, te saa vi saꞌa ni ―jiñaꞌa ya.
JHN.7.25	Yun te ka jiñaꞌa sava ka tee maa Jerusalén:
JHN.7.25	―¿A masu tee yaꞌa kuu tee ka ndanduku ja vi kaꞌni? 
JHN.7.26	Te vi kondiaꞌa ni ja vi kaꞌan de jin nuu ndiꞌi ñayiu, te tu na in kaꞌan saꞌun, axi saa ni ka ndakuni ndaa ña tee ka tatnuni nuu ñuo ja tee yaꞌa kuu Kristu, ia ni tetniuu Dios. 
JHN.7.27	Su tee yaꞌa, chi ka jinio na ndenu kuu ñuu de. Su nuu na kii Kristu, chi ni in ñayiu tu na in kuni ndenu kii ya ―ka jiñaꞌa de.
JHN.7.28	Yun te ni kaxtnoꞌo Jesús nuu veñuꞌu kaꞌnu, te ni kana jaa ya, te jiñaꞌa ya:
JHN.7.28	―¿Nuu saa te a ka jini ña ni vi a ka jini ni ndenu vaji san? Su masu vaji san ja jaꞌa maa san, chi ia ndaa kuu ia ni tetniuu ña jin san, te tu ka jini maa ni ya. 
JHN.7.29	Su maa san, chi jini san ya, chi nuu maa ya vaji san, te maa ya ni tetniuu ña jin san ―jiñaꞌa ya.
JHN.7.30	Yun guaa ni ka nduku ndee de ja vi kakuiko ña de jin ya. Su ni in de tu ni kakuiko ña, chi kuini ka ja jino kiuu ja kuu ya. 
JHN.7.31	Su visi ni saa, te kuaꞌa ñayiu ni ka kandija ya, te ka kachi:
JHN.7.31	―Nuu na kii Kristu, ia tetniuu Dios, te ¿a saꞌa ka ya tniuu naꞌnu saa nagua saꞌa tee yaꞌa? ―ka kachi.
JHN.7.32	Te nuu ni ka onini tee ka kuu fariseo ja ka kaꞌan ñayiu tniuu naꞌnu ja saꞌa Jesús, te ni ka ndatnoꞌo tnaꞌa de jin tee ka kuu nijaꞌnu nuu sutu, te ni ka tetniuu de ndajaꞌa de ja vi kakuiko ña jin ya. 
JHN.7.33	Yun te jiñaꞌa Jesús:
JHN.7.33	―Vi koo nunuu kao ndesaa ka kiuu, te saa noꞌo san nuu oo ia ni tetniuu ña jin san. 
JHN.7.34	Te vi ndanduku ña ni jin san, su ma vi ndaniꞌi ña ni, chi ma kuu kentakuei ni nuu koo san ―jiñaꞌa ya.
JHN.7.35	Yun te ka ndatnoꞌo tnaꞌa maa tee ka kuu nijaꞌnu nuu ñayiu judio:
JHN.7.35	―¿Na ndenu kiꞌin tee yaꞌa ja ma vi nukuꞌon de? ¿A kiꞌin de nuu ni ka ndutenuu ñayiu ñuo neꞌu sava ka ñuu, te yun kaxtnoꞌo de nuu ñayiu sava ka ñuu yun? 
JHN.7.36	¿Axi naxa kei tnoꞌo kaꞌan de: “Vi ndanduku ña ni jin san, su ma vi ndaniꞌi ña ni, chi ma kuu kentakuei ni nuu koo san”? ―ka kachi de.
JHN.7.37	Yun te kiuu sandiꞌi ja kuu kiuu kaꞌnu ka viko yun, ni junkuiin Jesús, te ni kana jaa ya, te jiñaꞌa ya:
JHN.7.37	―Nuu ja ndee ni yichi, neꞌe ni nuu san, te koꞌo ni ndute taa san, 
JHN.7.38	te na in kandija ña jin san, te ndee ini ndee anui kaka ndute ja taa ja kotekui na kuinio yute nagua kaꞌan nuu tutu ii ―jiñaꞌa ya.
JHN.7.39	Te tnoꞌo yaꞌa ni kaꞌan Jesús ja jaꞌa Espíritu ia Dios ja vi niꞌi ñayiu vi kandija ña jin ya, chi kuini ka ja kii Espíritu ia Dios, chi chiaꞌan ka ja noꞌo ya nuu yeꞌe tajan ya.
JHN.7.40	Yun te nuu ni ka onini sava ñayiu kuaꞌa yun tnoꞌo yaꞌa, te ka kachi:
JHN.7.40	―Jandaa ndija ja tee ndakani tnoꞌo ia Dios kuu tee yaꞌa ―ka kachi.
JHN.7.41	Te sava ka de ka kachi:
JHN.7.41	―Kristu, ia ni tetniuu Dios, kuu tee yaꞌa.
JHN.7.41	Su sava ka de ka kachi:
JHN.7.41	―Ñaꞌa, chi masu ñuu Galilea kii Kristu. 
JHN.7.42	Chi kaꞌan nuu tutu ii ja Kristu kokuu tatatnoꞌo David, te kii ya ñuu Belén nuu ni okuu ñuu maa rey David ―ka kachi de.
JHN.7.43	Yun te ni ka jaꞌnde tnaꞌa ñayiu yun ja jaꞌa Jesús. 
