MAT.1.1	Ингье, Иса 
JHN.7.19	 квез 
JHN.7.20	– Вак 
JHN.7.21	Исади Вичин рахунар давамарна:
JHN.7.21	– За тек са кӀвалах авуна, куьн вири тажуб хьана. 
JHN.7.22	Куьне куь гадаяр, Мусадилай атанвай адет я лугьуз, Киш 
JHN.7.23	Мусадин Къанун чӀур тавун патал Киш юкъузни аялар суьннет ийиз хьайила, бес За Киш юкъуз инсан сагъар хъувуна лугьуз, вучиз квез Закай хъел къвезва? 
JHN.7.24	Винелай килигна ваъ, гьахъ-михьи къимет це.
JHN.7.25	Инал ярусалимвийрикай садбуру лугьуз хьана:
JHN.7.25	– Чи гьакимриз рекьиз кӀанзавай Инсан гьа им тушни? 
JHN.7.26	Килиг, Ам инсанрихъ галаз ачухдаказ рахазва, абуруни Адаз куьтӀни ийизвач. Ам 
JHN.7.27	Ам гьинай ятӀа, чаз чида, амма халисан Месигь атайла, Ам гьинай атанатӀа садазни чир жедач.
JHN.7.28	Аллагьдин 
JHN.7.28	– Квез Зун таниш я, Зун гьинай ятӀа квез чида. Зун Залай атанвайди туш, Зун Ракъурнавайди халисанди я. Ам квез чидач. 
JHN.7.29	Заз Ам хъсандиз чида. Зун Гьадан патавай атанвайди я. Зун Гьада Ракъурнавайди я.
JHN.7.30	Гьа чӀавуз абуруз Ам кьаз кӀан хьана, амма садавайни Адак гъил кягъиз хьанач, вучиз лагьайтӀа Адан вахт атанвачир. 
JHN.7.31	Халкьдин арада гзафбуру лугьузвай:
JHN.7.31	– Месигь атайла, Адавай и касди къалурай керемат-ишарайрилай гзаф керемат-ишараяр ийиз жедани кьван?
JHN.7.31	Гьа икӀ фикирзавай абуру Исадихъ 
JHN.7.32	Исадикай халкьди ийизвай кушкушар 
JHN.7.33	Исади лагьана:
JHN.7.33	– Зун куь арада са тӀимил вахтунда амукьда, ахпа Зун Жув Ракъурайдан патав хъфида. 
JHN.7.34	Куьн Захъ къекъведа, амма квез Зун жагъидач, Зун жедай чкадиз квевай къвез жедач.
JHN.7.35	– Чаз Вич жагъин тийидайвал Адаз гьиниз физ кӀанзаватӀа? Адаз, маса халкьарин арада авай чувудрин патав фена, гьана чувудар туширбурузни чирвилер гуз кӀанзаватӀа? 
JHN.7.36	«Куьн Захъ къекъведа, амма квез Зун жагъидач, Зун жедай чкадизни квевай къвез жедач» лугьузвай гафаралди Адаз вуч лугьуз кӀанзаватӀа?
JHN.7.37	Суварин эхиримжи ва лап чӀехи юкъуз Исади, къарагъна, ван алаз лагьана:
JHN.7.37	– Вуж цихъ къаних ятӀа, Зи патав ша, хъухъ. 
JHN.7.38	 кхьенвайвал, Захъ 
JHN.7.39	ИкӀ лугьудайла, Исадин фикирда Вичихъ иман авурбуруз гудай 
JHN.7.40	И гафар ван хьайи халкьдикай садбуру лугьузвай:
JHN.7.40	– Ам рикӀивайни гьа 
JHN.7.41	– Ам 
JHN.7.41	– Месигь 
JHN.7.42	Месигь 
JHN.7.43	Гьа икӀ Адан гьакъиндай халкьдин арада чуьруькар гьатна. 
JHN.7.44	Абурукай са бязибуруз Ам кьаз кӀанзавай, амма садани Адак гъил кянач.
JHN.7.45	Гьа икӀ Аллагьдин 
JHN.7.45	– Куьне Ам кьуна вучиз хканач?
JHN.7.46	– А инсанди лагьай хьтин гафар садани лагьайбур туш, – жаваб гана къаравулри.
JHN.7.47	– Ада куьнни алцурарнавани? – лагьана фарисейри. – 
JHN.7.48	Мегер адахъ 
JHN.7.49	Адахъ иман ийизвайди Аллагьди негьнавай халкь я, адаз 
JHN.7.50	Фарисейрин арада йифиз Исадин патав атай Никъадим авай.
JHN.7.51	– Инсандиз кар атӀудалди, адаз вичиз яб гана, адак тахсир кватӀа чирна кӀанда, – лагьана ада. – Къанундини чаз гьакӀ лугьузвачни кьван?
JHN.7.52	– Вунни 
JHN.7.53	Абур вири чпин кӀвалериз хъфена.
JHN.8.1	Иса Зейтун 
JHN.8.2	Экуьнахъ Ам мад Аллагьдин 
JHN.8.3	И арада 
JHN.8.4	– Муаллим, – лагьана абуру, – и паб зинавал ийизвайла кьунвайди я. 
JHN.8.5	 вичин 
JHN.8.6	Абуру и гафар, Ам кӀеве тваз кӀанз, ахпани Адак тахсирар кутун патал, лугьузвай. Амма Исади агъуз хьана, тупӀув чилел кхьинар ийизвай. 
JHN.8.7	Адавай мадни хабар кьаз хьайила, Ада, хкаж хьана, абуруз лагьана:
JHN.8.7	– Квекай ник 
JHN.8.8	Агъуз хьана, Ада мад чилел кхьинар авун давамна. 
JHN.8.9	И гафарин ван хьайила, вири хъфиз эгечӀна, сифте агъсакъалар хъфена. Тек Исани адан вилик акъвазнавай паб амукьна. 
JHN.8.10	Къарагъна, Исади адаз лагьана:
JHN.8.10	– Я вах, вал гунагьар илитӀзавайбур гьинва? Ваз кар атӀуз кӀан хьайи кас хьанани?
JHN.8.11	– Гьич садни, я Агъа! – жаваб гана ада.
JHN.8.11	– Зани ваз кар атӀузвач, – лагьана Исади. – Ахлад, мад гунагь крар хъийимир.
JHN.8.12	Исади халкьдиз мад лагьана:
JHN.8.12	– Зун дуьньядин экв я. Зи гуьгъуьнаваз атайди са чӀавузни мичӀе гьатдач, уьмуьр гузвай экв адахъ галаз жеда.
JHN.8.13	И чӀавуз 
JHN.8.13	– Ибур вири Вуна Жува Жувакай ийизвай шагьидвилер я, гьакӀ хьайила Ви гафар дуьзбур туш.
JHN.8.14	– Гьатта За лугьузвай гафар Жува Жувакай ийизвай шагьидвилер ятӀани, абур дуьзбур я, – жаваб яз лагьана Исади. – Зун гьинай атанатӀа ва гьиниз хъфидатӀа Заз чизва; амма квез Зун гьинай атанатӀа ва гьиниз хъфидатӀа чизвач. 
JHN.8.15	Куьне вири инсанри ийидай хьтин дуван ийизва. За саданни дуван ийизвач. 
JHN.8.16	За са нин ятӀани дуван ийизвай чӀавуз, За кьилди са Жува ваъ, Зун ракъурай 
JHN.8.17	Куь Къанундани кьве инсандин шагьидвал дуьзди я лугьузва. 
JHN.8.18	Закай Зани шагьидвал ийизва, Зун ракъурай Зи Бубадини.
JHN.8.19	Инал абуру Исадивай хабар кьуна:
JHN.8.19	– Бес Ви Буба гьина ава?
JHN.8.19	– Квез Зунни чидач, Зи Бубани, – жаваб гана Исади. – Квез Зун чидайтӀа, квез Зи Бубани чир жедай.
JHN.8.20	И гафар Исади Аллагьдин 
JHN.8.21	Исади абуруз мад лагьана:
JHN.8.21	– Зун хъфизва, амма Зун хъфизвай чкадиз квевай къвез жедач, куьн Захъ къекъвез жеда, амма квез жагъидач, гьа икӀ куьн 
JHN.8.22	Инал 
JHN.8.22	– «Зун физвай чкадиз квевай къвез жедач» гафаралди адаз вуч лугьуз кӀанзава? Вичиз Вич рекьиз кӀанзава жал?
JHN.8.23	Исадини абуруз лагьана:
JHN.8.23	– Куьн агъанай, Зун вининай я. Куьн и дуьньядай я; Зун и дуьньядай туш. 
JHN.8.24	Гьавиляй За квез лагьанай, куьн куь гунагьарни кумаз рекьида. Зун Гьам Вич Тирдан чӀалахъ куьн тахьайтӀа, куьн гунагьарни кумаз рекьида эхир.
JHN.8.25	Анал алайбуру Адаз лагьана:
JHN.8.25	– Бес Вун вуж я?
JHN.8.25	– Зун Вуж ятӀа, За квез сифтедилай лугьузва, – жаваб гана Исади. – 
JHN.8.26	Завай квекай гзаф ихтилатарни ийиз жеда, квек кутаз жедай тахсирарни гзаф я. Амма За Зун Ракъурайдавай ван хьайи гафар лугьузва. Зун Ракъурайди гьакъикъи я.
JHN.8.27	Ада 
JHN.8.28	Исади абуруз мад лагьана:
JHN.8.28	– Инсандин 
JHN.8.29	Зун Ракъурнавайди Захъ гала; За датӀана Адаз кӀандайвал ийизва. Гьавиляй Ада Зун текдиз тазвач.
JHN.8.30	Ада и ихтилатар ийидайла, Адахъ гзафбуру 
JHN.8.31	Имандал атанвай чувудриз Исади лагьана:
JHN.8.31	– Куьн Зи Гафариз вафа яз амукьайтӀа, квекай Зи гьакъикъи 
JHN.8.32	Квез гьакъикъат чир хьайитӀа, ада куьн азад ийида.
JHN.8.33	– Чун 
JHN.8.34	– За квез лап рикӀивай лугьузва, – жаваб гана Исади, – гьар ни гунагь кар ийизватӀа, гьадакай гунагьдин лукӀ жезва. 
JHN.8.35	ЛукӀ хизанда амукьдач, амма хва уьмуьрлух хизанда амукьда. 
JHN.8.36	Хци куьн лукӀвиляй азад авуртӀа, куьн рикӀивайни азад жеда. 
JHN.8.37	Куьн Ибрагьиман тухумдикай тирди Заз чизва. Амма, гьакӀ ятӀани, куьне За лугьузвай гафар кваз кьазвач. Гьавиляй квез Зун рекьиз кӀанзава. 
JHN.8.38	За лугьузвайди Заз Зи Бубадивай ван хьайиди я. Куьнени вирида куь бубайри лагьайвал ийизва.
JHN.8.39	– Чи буба – Ибрагьим я, – жаваб яз лагьана абуру.
JHN.8.39	– Куьн Ибрагьиман веледар тиртӀа, куьне Ибрагьиман крар кьиле тухудай, – лагьана Исади. 
JHN.8.40	– Исятда За квез Заз Аллагьдивай ван хьайи гьакъикъат лугьузва, амма квез Зун рекьиз кӀанзава. Ибрагьима акӀ ийидачир. 
JHN.8.41	Куьне куь бубади ийидай хьтин крар ийизва.
JHN.8.41	Инал абуру лагьана:
JHN.8.41	– Чун пажар туш. Чахъ са Буба ава, Амни Аллагь я.
JHN.8.42	– Аллагь куь Буба тиртӀа, квез Зун кӀан жедай, – лагьана Исади, – Зунни Аллагьдин патавай атана ина авайди я эхир. Зун Жув-Жувалай атанвайди туш, Зун Гьада ракъурнавайди я. 
JHN.8.43	Вучиз квевай За лугьузвай гафарин гъавурда гьатиз жезвач? Вучиз лагьайтӀа квевай Зи гафариз яб гуз жезвач. 
JHN.8.44	Куь буба 
JHN.8.45	За авайвал лугьун себеб яз, куьн Зи чӀалахъ жезвач.
JHN.8.46	Квевай нивай Зак гунагьар ква лагьана Зак тахсир квайди субутиз жеда? Квевай Зун гунагькар тирди субутиз жезвачтӀа, вучиз куьн За авайвал лугьуз хьайила, Зи чӀалахъ жезвач? 
JHN.8.47	Ни вич Аллагьдинди яз кьазватӀа, гьада Аллагьдин гафариз ябни гуда. Куьн Аллагьдинбур тахьуниз килигна, куьне Зи гафариз ябни гудач.
JHN.8.48	– Чна Вун 
JHN.8.49	– Зак жинерар квач, – жаваб гана Исади. – За Зи 
JHN.8.50	Зун Жуван 
JHN.8.51	За квез лап рикӀивай лугьузва, ни За лагьай гафар кьилиз акъудайтӀа, ам са чӀавузни рекьидач.
JHN.8.52	– Вак жин квайди гила чаз чир хьана, – лагьана чувудри. – 
JHN.8.53	Вун чи буба Ибрагьималай артухди яни? Ам кьенва, вири пайгъамбарарни кьенва. Вуна Жув няй кьазва?
JHN.8.54	– За Жува Жувал баркалла гъизвайтӀа, Зи баркалладихъ са къиметни жедачир, – жаваб гана Исади. – Зал баркалла гъизвайди Зи Буба я. Куьне Ам куь Аллагь я лугьузва. 
JHN.8.55	Квез Ам чидач, амма Заз чида. За Жуваз Ам чидач лагьанайтӀа, Закай куьн хьтин тапрукь жедай; амма Заз Ам чида ва Адан Гафни За кьилиз акъудзава. 
JHN.8.56	Куь буба Ибрагьим Зун къведай йикъахъ эрзиман тир: адаз Зун дуьньядиз атайди акунни авуна ва ам а кардал гзаф шадни хьана.
JHN.8.57	Инал чувудри Адаз лагьана:
JHN.8.57	– Ви яхцӀурни цӀуд йисни хьанвач, Ваз Ибрагьим акунани кьван?
JHN.8.58	– За квез лап рикӀивай лугьузва: Ибрагьим жедалдини Зун Авайди я, – жаваб гана Исади.
JHN.8.59	Исадиз къван гун патал, абуру гъиле къванер кьуна. Амма Иса Аллагьдин 
JHN.9.1	Фидай рекье Исадиз буьркьуьдаказ дидедиз хьанвай са инсан акуна. 
JHN.9.2	Исадивай Адан 
JHN.9.2	– Я Муаллим! Ам буьркьуьдаказ дидедиз хьун нин 
JHN.9.3	– Ам буьркьуьдаказ дидедиз хьун – адак вичик ва я адан диде-бубадик гунагьар квайвиляй туш, – жаваб гана Исади. – Инсанриз Аллагьдихъ авай къудрат къалурун патал, ам дидедиз буьркьуьдаказ хьанвайди я. 
JHN.9.4	Зун Ракъурнавайдан хатурдай ийидай крар чна югъ аламаз авуна кӀанда. Йиф алукьайла, абур садавайни кьилиз акъудиз жедач. 
JHN.9.5	Зун и дуьньяда амай кьван и дуьньядин экв я.
JHN.9.6	И гафар лугьуникди, Ада чилел цуькӀуьн
JHN.9.7	Идалай гуьгъуьниз Ада буьркьуьдаз лагьана:
JHN.9.7	– Шилугьаман латунал алад, анал чин чуьхуьх.
JHN.9.7	(Шилугьам – «ракъурнавайди» лагьай чӀал я.) Адани, фена, чин чуьхвена. Хкведай рекье адан вилериз экв хтана. 
JHN.9.8	Инал алай къуншийри ва виликдай ам къекъвераг яз акурбуру лагьана:
JHN.9.8	– Им ацукьна фир-хквербуруз це лугьузвай гьа кас тушни?
JHN.9.9	Садбуру «Эхь, ам гьам я», муькуьбуру: «Ваъ, им ам туш, идак гьадан ухшар ква» лугьузвай. Ада вичи лагьана:
JHN.9.9	– Ам зун я.
JHN.9.10	Абуру адавай хабар кьуна:
JHN.9.10	– Ви вилер гьикӀ хьана ахъа хъхьайди я?
JHN.9.11	Ада жаваб гана:
JHN.9.11	– Иса лугьудай Касди гъуруш гьазурна, зи вилеривай гуьцӀна заз лагьана: «Шилугьам гьавиздал фена чин чуьхуьх». За, фена, чин чуьхвена, хкведай рекье зи вилериз экв ахкуна.
JHN.9.12	– Иса гьина ава? – хабар кьуна абуру.
JHN.9.12	Адани абуруз «Чидач» лагьана.
JHN.9.13	Виликдай буьркьуь тир и кас абуру 
JHN.9.14	Адан вилериз Исади гъуруш яна ам дири хъувур югъ Киш 
JHN.9.15	Фарисейри адавай мад гъилера вилер гьикӀ сагъ хъхьанатӀа хабарар кьаз хьана.
JHN.9.15	– Ада зи вилериз гъуруш яна, зани чин чуьхвена, – жаваб гана виликдай буьркьуьда. – Гила заз аквазва.
JHN.9.16	Инал фарисейрикай садбуру лагьана:
JHN.9.16	– А Кас Аллагьдин патай туш, Ада Киш йикъал амал ийизвач.
JHN.9.16	Муькуьбуру лагьана:
JHN.9.16	– Ихьтин керемат-ишараяр гунагькардилай алакьдани?
JHN.9.16	Абурун арада гьуьжет гьатна. 
JHN.9.17	Абуру виликдай буьркьуь тирдаз лагьана:
JHN.9.17	– А Касди ви вилериз экв хкана. Вавай Адакай вуч лугьуз жеда?
JHN.9.17	– Ам 
JHN.9.18	Амма 
JHN.9.19	– И куьне буьркьуьдаказ ханвайди я лугьузвай кас куь хва яни? – хабар кьуна абуру. – Адан вилериз гьикӀ хьана экв ахкурди я?
JHN.9.20	– Ам чи хва тирди ва ам буьркьуьдаказ хайиди чаз чизва, – жаваб гана адан диде-бубади. – 
JHN.9.21	Гила адан вилериз гьикӀ экв хтанатӀа, ам чаз чизвач. Адан вилер ни ахъайнатӀани чаз чизвач. Ам бегьем яшар хьанвай инсан я, ам куьне адавай вичивай хабар яхъ. Вичикай ада вичи лугьурай.
JHN.9.22	Адан диде-бубади гьа икӀ жаваб ганай, вучиз лагьайтӀа абуруз чувудрин кьиле авайбурухъай кичӀедай. Чувудар, Иса ни 
JHN.9.23	ГьакӀ хьайила адан диде-бубади лагьанай:
JHN.9.23	– Ам бегьем яшар хьанвай инсан я, куьне адавай вичивай хабар яхъ.
JHN.9.24	Чувудрин кьиле авайбуру виликдай буьркьуь тирдаз кьвед лагьай гъилера эхверна, лагьана:
JHN.9.24	– Вун гьахъ я лагьана, Аллагьдин вилик кьин яхъ. Ви вилериз экв хкай Кас гунагькар тирди чаз чизва.
JHN.9.25	– Ам гунагькар яни-тушни заз чидач, – жаваб гана виликдай буьркьуьда, – заз чидайди анжах сад я – виликдай зун буьркьуь тир, гила заз аквазва.
JHN.9.26	Адавай мад хабар кьуна:
JHN.9.26	– Исади ваз вуч авуна? Ада ви вилер гьикӀ ахъайна?
JHN.9.27	– За квез лугьузвай, куьне заз яб гузвачир, – жаваб гана виликдай буьркьуьда. – Квез завай мад вуч кӀанзава? ТахьайтӀа квез Адан тилмизар жез кӀанзавани?
JHN.9.28	Абуру экъуьгъна лагьана:
JHN.9.28	– Адан тилмиз ятӀа вун я, чун 
JHN.9.29	Чаз чизва хьи, Мусади Аллагьди адаз вуч лагьанатӀа гьам лагьана, амма и Кас гьинай акъатнатӀа чаз чизвач.
JHN.9.30	– Мягьтел жедай кар ам я хьи, Касди зи вилер ахъа хъувуна, амма квез Ам гьинай ятӀани чизвач, – лагьана вилериз экв хтай касди. – 
JHN.9.31	Чаз чизва, Аллагьди гунагькарриз яб гудач. Ада Вич рикӀеллаз Вичи лагьайвал ийизвайбуруз яб гуда. 
JHN.9.32	Буьркьуьз дидедиз хьанвайдан вилер ахъа хъийидай Кас жеда лагьана эсиллагь ван хьайи кар туш. 
JHN.9.33	Ам Аллагьдин патай туширтӀа, Адалай затӀни алакьдачир.
JHN.9.34	Адаз жаваб яз фарисейри лагьана:
JHN.9.34	– Хьайи йикъалай туьтуьнив кьван гунагьрай ацӀанвай вуна гила чаз тарс гузвани?
JHN.9.34	Абуру ам чукурна.
JHN.9.35	А кас абуру чукурна лугьудай хабар Исадал агакьна. Ам жагъурна, Исади адаз лагьана:
JHN.9.35	– Вуна Инсандин 
JHN.9.36	– Адахъ иман ийидайвал Ам вуж я, я Агъа? – лагьана ада.
JHN.9.37	– Ваз Ам исятда аквазва, Ам вахъ галаз рахазва, – жаваб гана Исади.
JHN.9.38	Адани «За иман ийизва, я 
JHN.9.39	Исади лагьана:
JHN.9.39	– И дуьньядиз Зун дуван ийиз атанва: буьркьуьбуруз экв ахкун патал, аквазвайбур буьркьуь хьун патал.
JHN.9.40	И гафар ван хьайи Адан патав гвай са бязи фарисейри лагьана:
JHN.9.40	– Чунни буьркьуь я жал?
JHN.9.41	Исади лагьана:
JHN.9.41	– Куьн буьркьуь тиртӀа, квехъ гунагьар жедачир, амма куьне «чи вилериз экв аквазва» лугьузва. Гьавиляй куьн гунагькарар язни амукьзава.
JHN.10.1	Исади лагьана:
JHN.10.1	– За квез лап рикӀивай лугьузва: вуж хиперин парахдиз ракӀарай ваъ, маса чкадай – жугъундилай акьахна гьахьзаватӀа, гьам угъри ва чапхундайди я. 
JHN.10.2	РакӀарай гьахьдайди хипер хуьдай чубан я. 
JHN.10.3	Адаз ракӀарал алайда рак ахъайда, хиперни адаз муьтӀуьгъ жеда. Ада вичин хипер тӀварар кьаз эвериз парахдай акъудда. 
JHN.10.4	Вичин хипер парахдай акъудайла, ам абурун кӀвенкӀве аваз фида; адан ван чиз хиперни адан гуьгъуьна гьатна фида. 
JHN.10.5	Абур чарадан гуьгъуьна аваз фидач. Чарадакай абур катда, абуруз чарадан ван таниш туш.
JHN.10.6	Амма 
JHN.10.7	Исади давамар хъувуна:
JHN.10.7	– За квез лап рикӀивай лугьузва хьи, Зун хипер физ-хкведай рак я. 
JHN.10.8	Залай вилик атай кьванбур вири угъриярни чапхундайбур тир, амма хипер абуруз муьтӀуьгъ хьанач. 
JHN.10.9	Зун рак я. Вуж Зай фейитӀа, гьам хилас жеда. Зай физ-хтайдаз хъсан яйлахни жагъида. 
JHN.10.10	Угъри анжах чуьнуьхиз, яна рекьиз ва тергиз къвезвайди я. Зун уьмуьр гун патал атанвайди я. За ам алахьна ацӀайди ийида. 
JHN.10.11	Зун хъсан чубан я. Хъсан чубанди вичин хипер патал чанни гуда. 
JHN.10.12	Киридихъ кьунвайдакай хиперин иеси хьтин чубан жедач. Жанавур акурла, ам хиперни туна катда. Жанавурри хиперал вегьена абур кьуд патахъ чукӀурда, хипер гьар сад санихъ чкӀида. 
JHN.10.13	Киридихъ кьунвай чубан катда, ада хиперин аявалдач. 
JHN.10.14	Зун хъсан чубан я, Заз Зи хипер гьикӀ чидатӀа, Зунни Зи хипериз гьикӀ чидатӀа, 
JHN.10.15	гьакӀ Зи 
JHN.10.16	Захъ и парахда авачир маса хиперни ава, гьабурни За санал кӀватӀна кӀанзава. Гьабурузни Зи ван чида. Зи хиперикай кьиле са чубан авай са суьруь жеда. 
JHN.10.17	За Зи уьмуьр Заз цӀийи кьилелай мад уьмуьр хъхьун паталай гузва, гьа и кардиз килигна Зун Зи Бубадиз кӀанни ийида. 
JHN.10.18	Садани Завай Зи чан къачузвач, амма За адалай Жуван хушуналди гъил къачузва. Захъ Жуван чан гудай ва ам мад къахчудай ихтияр ава. И тагьким Заз Зи Бубади гана.
JHN.10.19	И гафари 
JHN.10.20	Абурукай гзафбуру лугьузвай:
JHN.10.20	– Ам 
JHN.10.21	– А гафар жин квайданбур туш, – лугьузвай муькуьбуру. – Жинживай буьркьуьдан вилер ахъайиз жеда жал?
JHN.10.22	ХъуьтӀуьн вахт тир. Ярусалимда Аллагьдин 
JHN.10.23	Иса Аллагьдин КӀвалин гьаятда Сулейманан 
JHN.10.24	Инал 
JHN.10.24	– Вуна чун кьве рикӀин яз гьикьван гагьда тада? Вун 
JHN.10.25	– За квез лагьанай, амма куьн Зи чӀалахъ хьанач, – жаваб гана Исади. – За Зи 
JHN.10.26	Амма куьне Захъ 
JHN.10.27	Зи хипер Заз муьтӀуьгъ жеда, Зазни гьабур чида, абур Зи гуьгъуьна гьатна жеда. 
JHN.10.28	За абуруз эбеди 
JHN.10.29	Абур вири Заз гайи Зи Буба виридалайни вине я, Зи Бубадин гъиляй садавайни са затӀни акъудиз жедач. 
JHN.10.30	Зунни Буба сад я.
JHN.10.31	Инал чувудри, Адал гьалчун патал, мад къванер гъилера хкьуна.
JHN.10.32	– Зи Бубадин куьмекдалди За квез гзаф хъсанвилер авуна, – лагьана Исади. – За авунвай гьи хъсанвиляй квез Зун къванцин хура тваз кӀанзава?
JHN.10.33	– Вуна, Вун инсан яз, Жув Аллагьдиз барабар яз кьазва, – жаваб яз лагьана чувудри. – Вуна авур хъсан крарай ваъ, ви асивилиз килигна, чаз Ваз къван гуз кӀанзава.
JHN.10.34	– Куь 
JHN.10.35	 кхьенвайбур чӀуриз жедач. Аллагьди Вичин Гафунин ван къвезвайбуруз аллагьар лугьузва. 
JHN.10.36	Бубади Хкянавай ва дуьньядиз Ракъурнавай За Зун Аллагьдин 
JHN.10.37	За ийизвай крар Зи Бубадин крар туштӀа, Зи чӀалахъ жемир. 
JHN.10.38	Куьн Зи чӀалахъ жезвачтӀа, За ийизвай Зи Бубадин крарин хьайитӀани чӀалахъ хьухь. Зи крарихъ куьн чӀалахъ хьайитӀа, квез Зун Зи Бубада, Бубани За авайди чир жеда.
JHN.10.39	Гьа чӀавуз чувудрин кьиле авайбуруз мад Ам кьаз кӀан хъхьана, амма Иса абурун гъиляй акъатна. 
JHN.10.40	Иса мад Ярдан вацӀун а патаз хъфена, виликдай 
JHN.10.41	Гзафбуру атана лугьузвай:
JHN.10.41	– Ягьяди авур са ахьтин керемат-ишара авач, амма ада Исадикай авур ихтилатар гьакъикъибур тир.
JHN.10.42	Ана авай гзаф инсанар Исадихъ ийизвай имандал атана.
JHN.11.1+JHN.11.2	Бетан лугьудай хуьре 
JHN.11.1+JHN.11.2	Абурун стха Лазар азарди кьунвай.
JHN.11.3	Вахари Исадин патав «Я Агъа, Ви рикӀ алайди азарди кьунва» лугьуз сад ракъурнай.
JHN.11.4	А хабар агакьайла, Исади лагьанай:
JHN.11.4	– А азарди адаз ажал гъидач, Лазар азарди кьуни Аллагьдал ва Адан Хцел 
JHN.11.5	Исадиз Марта, Майрам ва Лазар кӀандай. 
JHN.11.6	Лазар азарди кьунвайди я лагьана хабар фад агакьнайтӀани, Иса Вич авай чкада мадни кьве юкъуз амукьна. 
JHN.11.7	Идалай кьулухъ Ада Вичин 
JHN.11.7	– Ша чун мад 
JHN.11.8	– Я Муаллим! – лагьана тилмизри. – Гьа и йикъара 
JHN.11.9	– Йикъа цӀикьвед сят авачни? – жаваб гана Исади. – Инсан рекьяй юкъуз физваз хьайитӀа, ам кӀвач галкӀана ярх жедач, адаз и дуьнья экуь яз аквазва. 
JHN.11.10	Йифиз физвайдан кӀвач адав экв гвачирвиляй са затӀунихъ галкӀида.
JHN.11.11	И гафар лагьана, Ада давамар хъувуна:
JHN.11.11	– Чи дуст Лазар ахварал фенва, Зун ам ахварай авудиз физва.
JHN.11.12	Адан тилмизри лагьана:
JHN.11.12	– Я Агъа! Ам ахвариз фенватӀа, сагъ хъжеда.
JHN.11.13	Иса ам кьенвайдакай рахазвай, амма тилмизриз Ам гьакӀан ахварикай рахазвайди хьиз жезвай. 
JHN.11.14	Инал Исади ачухдиз лагьана:
JHN.11.14	– Лазар кьенва. 
JHN.11.15	Куьн 
JHN.11.16	Кьветхвер лакӀаб алай ТӀумая тилмизриз лагьана:
JHN.11.16	– Ша чунни Муаллимдихъ галаз фин, Адахъ галаз санал рекьин.
JHN.11.17	Иса Бетандиз атайла, Адаз Лазаран мейит кьуд йикъан вилик кьветӀе динжарнавайди чир хьана. 
JHN.11.18	Бетандилай Ярусалимдал кьван зур сятдин рехъ авай. 
JHN.11.19	Майраман ва Мартадин патав кьенвай стхадин башсагълугъвал гуз гзаф чувудар атанвай. 
JHN.11.20	Иса къвезвайдакай хабар хьайила, Марта Адан вилик экъечӀна; Майрам кӀвале амай. 
JHN.11.21	Мартади Исадиз лагьана:
JHN.11.21	– Я Агъа! Вун ина авайтӀа, зи стха рекьидачир. 
JHN.11.22	Амма заз чизва, исятдани вуч Вуна Аллагьдивай тӀалабайтӀа, гьам Ада Ваз гуда.
JHN.11.23	– Ви стхадал чан 
JHN.11.24	– Къияматдин 
JHN.11.25	– Уьмуьр гузвайдини, кьейила чан хкизвайдини Зун я, – лагьана Исади. – Захъ иман ийизвайди кьейитӀани, адал чан хкведа. 
JHN.11.26	Захъ иман ийиз уьмуьр тухузвайди са чӀавузни рекьидач. Вун и кардин чӀалахъ яни?
JHN.11.27	– Эхь, Агъа! – лагьана Мартади. – Вун Аллагьдин 
JHN.11.28	И гафар лагьана, Марта вичин вах Майраман патав хъфена. Ада Майрамаз чинеба эверна, лагьана:
JHN.11.28	– Муаллим ина ава, Ада ваз эверзава.
JHN.11.29	И гафар ван хьанмазни Майрам тадиз къарагъна, Исадин патав фена. 
JHN.11.30	Иса хуьруьз гьахьнавачир, Ам Мартадал гьалтай чкадал аламай. 
JHN.11.31	Майрамахъ галаз кӀвале ацукьна башсагълугъвал гузвай чувудар, Майрам тади кваз кӀваляй экъечӀуниз килигна, адан гуьгъуьна гьатна фена. Абуруз Майрама, кьейи стха динжарнавай кьветӀен патав фена, ишел ийизвай хьиз хьанай. 
JHN.11.32	Майрам Иса алай чкадал атана. Ам акурла, Майрам Адан кӀвачерик ярх хьана.
JHN.11.32	– Я Агъа! – лагьана ада. – Вун ина авайтӀа, рекьидачир зи стха.
JHN.11.33	Майрам ва адахъ галаз атай чувудар шехьзаваз акурла, Исадиз Вичизни гьайифар хьана. 
JHN.11.34	Ада гъалаба кваз хабар кьуна:
JHN.11.34	– Куьне ам гьина эцигнава?
JHN.11.34	– Фена Жув килиг, я Агъа! – жаваб гана абуру.
JHN.11.35	Исадик шел акатна. 
JHN.11.36	Гьанал чувудри лагьана:
JHN.11.36	– Аквазвани Адаз Лазар гьикьван кӀанзавайтӀа!
JHN.11.37	Амма абурукай са бязибуру лагьана:
JHN.11.37	– Адавай буьркьуьбурун вилериз экв хкиз жезва, бес Адавай Лазар кьиникьикай хуьз жедачирни?
JHN.11.38	Иса, гьайифди куз, мейит авай кьветӀин патав атана. КьветӀин сивел къван алай. 
JHN.11.39	Исади лагьана:
JHN.11.39	– Анлай къван алуд.
JHN.11.39	Рагьметдиз фенвайдан ваха, Мартади, Адаз лагьана:
JHN.11.39	– Я Агъа! Адак ни акатнава; ам ина аваз кьуд югъ я.
